ギルドリーヴ 	 Levemete
ラグナロク級六番艦：艦体中央部 	 IC-06 Central Decks
ラグナロク級六番艦：再生制御区 	 IC-06 Regeneration Grid
ラグナロク級六番艦：第一艦橋 	 IC-06 Main Bridge
バハムートコア 	 The Burning Heart
ラグナロク級四番艦：第一艦橋 	 IC-04 Main Bridge
生体管理区画 	 Bioweapon Storage
第VII生体区画 	 Bioweapon Sector VII
第IX生体区画 	 Bioweapon Sector IX
第XII生体区画 	 Bioweapon Sector XII
精神接続区画 	 Neurokinetic Linkup
第I信徒区画 	 Alpha Concourse
生体転送区 	 Bioweapon Deployment
再生制御区外殻 	 Outer Regeneration Grid
再生制御区内殻 	 Inner Regeneration Grid
一番艦管制区画 	 IC-01 Control
八番艦管制区画 	 IC-08 Control
九番艦管制区画 	 IC-09 Control
四番艦管制区画 	 IC-04 Control
二番艦管制区画 	 IC-02 Control
バインディングコイル制御区画 	 Coil Operations Deck
コア制御区画 	 Core Override
エーデルワイス商会 	 Dutiful Sisters of the Edelweiss
船着場の平屋 	 Dock Storehouse
応接室 	 Intercessory
地下 	 Weight Chamber
闇の世界 	 The World of Darkness
ケルベロスの胃袋 	 The Belly of the Beast
妖眼の領域 	 Sphere of the Sightless
妖竜の領域 	 Sphere of the Voiceless
妖犬の領域 	 Sphere of the Ravenous
暗闇の領域 	 Sphere of Naught
ケルベロスの胃袋 	 The Belly of the Beast
闇の渚 	 Dark Water
眼の島 	 The Eye
妖眼の展望台 	 The Vista
首の島 	 The Nape
妖竜の狩場 	 The Vermiculary
口の島 	 The Jaws
妖犬の門扉 	 Plutonium
闇の転送装置 	 The Verge
暗闇の殻 	 Pitch Black
古城アムダプール (Hard) 	 Amdapor Keep (Hard)
悲憤の前庭 	 Garden of Sorrow
苦渋の広間 	 The Moot Hall
厄災の十字廊 	 The Twain
流血の演舞場 	 Scarlet Ballroom
洋上の大型船 	 Rhotano Privateer
エーデルワイス商会
[双剣士ギルド] 	 Dutiful Sisters of the Edelweiss
ゴールドソーサー 	 The Gold Saucer
エントランススクウェア 	 Entrance Square
エーテライト・プラザ 	 Gold Saucer Aetheryte Plaza
カードスクウェア 	 Card Square
ワンダースクウェア 	 Wonder Square
ラウンドスクウェア 	 Round Square
イベントスクウェア 	 Event Square
ゴールドソーサー・ランディング 	 Airship Landing
メインカウンター 	 Main Counter
チョコボリフト 	 Chocobo Lift
ジャボテンダー 	 El Coloso
マウント・コレル 	 Mt. Corel
イベントステージ 	 Main Stage
くじテンダーボード 	 Cactpot Board
テーブル・マンダヴィル 	 The Manderville Tables
ラウンジ・マンダヴィル 	 The Manderville Lounge
チョコボスクウェア 	 Chocobo Square
チョコボレースカウンター 	 Race Counter
チョコボリフト 	 Chocobo Lift
崩れた構造体 	 Agrius Hull
帝国軍仮設作業場 	 Provisional Research Camp
浮行ガス充填区 	 Ceruleum Spill
幻龍の背 	 The Keeper's Spine
黙約の広間 	 The Forsworn Promise
（仮）第１障壁 	 First Ward
（仮）第2障壁 	 Second Ward
対竜バリスタ：フラヴィアン 	 Flavien's Arm
（仮）第3障壁 	 Third Ward
対竜バリスタ：シルヴトレル 	 Sylvetrel's Arm
（仮）第4障壁 	 Fourth Ward
対竜バリスタ：ハルドラス 	 Haldrath's Arm
聖徒門 	 The Arc of the Worthy
（仮）防衛橋エリア名 	 The Steps of Faith
エーテライト・プラザ 	 Gold Saucer Aetheryte Plaza
エントランススクウェア（カードスクウェア） 	 Entrance & Card Squares
ワンダースクウェア東（ドマ式麻雀） 	 Wonder Square East
ワンダースクウェア西 	 Wonder Square West
イベントスクウェア 	 Event Square
くじテンダーボード 	 Cactpot Board
ラウンドスクウェア 	 Round Square
チョコボスクウェア 	 Chocobo Square
低層 	 Forecastle
中層 	 Quarterdeck
高層 	 Stern
