ギルドリーヴ 	 Levemete
スウィートウォーター 	 Sweetwater
スタックス跡 	 Stacks
パイヤー物見塔 	 The Pyre
ソルトリー 	 The Saltery
ロッホワッチ塔 	 Lochwatch
壊神ラールガー像 	 The Destroyer
聖なる礼拝台 	 The Divine Audience
廃王テオドリック像 	 The Ruiner
ホワイトアイル陸橋 	 The White Aisle
アラミゴ 	 Ala Mhigo
女王の庭 	 The Queen's Gardens
アラミガン・クォーター 	 The Ala Mhigan Quarter
ギルバルド門 	 Gylbarde's Gate
王立第四兵舎 	 The Fourth Royal Casern
王立第三兵舎 	 The Third Royal Casern
コッター・トル 	 Cotter Tor
エナデム・オル 	 Aenadem Ol
ブラッドハウ墓地 	 Bloodhowe
エラントソードの墓 	 The Tomb of the Errant Sword
霊安所 	 The Charnel Parlor
列王の詩 	 The Song of Kings
強健王マンフレッドの墓 	 The Tomb of King Manfred
王の狩場 	 The Royal Hunting Grounds
エーテライト・プラザ 	 Rhalgr's Reach Aetheryte Plaza
野戦病院 	 The Barber
星導山寺院 	 The Temple of the Fist
アラミゴ王立飛空艇発着場 	 The Royal Airship Landing
アラミゴ王宮屋上庭園 	 The Royal Menagerie
壊神ラールガー像 	 The Destroyer
血嵐の訓戒 	 Bloodstorm
代価の墓地 	 Recompense
星降りの池 	 Starfall
チャクラ大滝 	 Chakra Falls
結晶化空間 	 Transparency
神話空間 	 Myth
被検世界「シグマ」V1.0 	 Sigmascape V1.0
被検世界「シグマ」V2.0 	 Sigmascape V2.0
被検世界「シグマ」V3.0 	 Sigmascape V3.0
被検世界「シグマ」V4.0 	 Sigmascape V4.0
迷いの森 	 Phantom Forest
屋敷の地下室 	 Mansion Cellar
瓦礫の塔：中層 	 Lower Tower of Ruin
瓦礫の塔：最上層 	 Upper Tower of Ruin 
被検世界「プサイ」V1.0 	 Psiscape V1.0
過去のカオスの神殿 	 The Chaos Shrine
次元の狭間 	 The Interdimensional Rift
最終検証フィールド 	 Final Verification
最終防衛ライン 	 The Last Line
沃土の寝室 	 The Soil Bed
環境制御棟 	 Environmental Control
第3浄化槽 	 Purification Tank C
第2浄化槽 	 Purification Tank B
第1浄化槽 	 Purification Tank A
汚泥王の謁見室 	 Kingsloam
被検世界「プサイ」V2.0 	 Psiscape V2.0
次元の狭間 	 The Interdimensional Rift
竜の星 	 The Dragonstar
再現宇宙 	 Creation
第一防衛ライン 	 The First Line
第二防衛ライン 	 The Second Line
エオルゼア同盟軍本陣 	 Alliance Headquarters
同盟軍塹壕 	 The Trenches
薄汚れた広場 	 The Field of Dust
飛空戦艦墜落現場 	 Crash Site
煤だらけの荒野 	 The Field of Soot
巨大爆撃痕 	 Impact Crater
灰だらけの荒野 	 The Field of Ash
帝国軍仮設ランディング 	 Provisional Imperial Landing
螺旋海峡 	 Rasen Kaikyo
オサード小大陸東岸 	 East Othard Coastline
玄水連山 	 The Gensui Chain
無二江流域 	 The Glittering Basin
七彩渓谷 	 Valley of the Fallen Rainbow
ドマ城下町 	 Doma
刃の海 	 The Sea of Blades
オンサル・ハカイル 	 Onsal Hakair
風止めの大岩 	 The Towering Still
ナーマ砂漠北端 	 Nhaama's Retreat
紅玉台場 	 The Ruby Price
境島 	 Barrier Isle
獄之蓋 	 Hells' Lid
蟹茹浜 	 The Crab Pots
血のナガレ 	 The Bleed
オニオウどん 	 Bathing Onio
サカズキ島 	 Sakazuki
ベッコウ島 	 The Isle of Bekko
ベッコウ噴泉 	 The Turtle's Back
碧のタマミズ 	 Tamamizu
珊瑚台 	 The Coral Banquet
沖之岩 	 Shoal Rock
スイの里 	 Sui-no-Sato
オノコロ島 	 Onokoro
筋違砦 	 Crick
アメノミハシラ 	 Heaven-on-High
万年松 	 Ten-thousand-year Pine
早逃桟橋 	 Quickscape Pier
蒼玉海溝 	 The Turquoise Trench
紫水宮 	 Shisui of the Violet Tides
アドヴェンチャー号 	 The Adventure
小林丸 	 The Kobayashi Maru
サイバイ洞 	 Saibai Cavern
カガミの仙窟 	 Exile
イシボタンの巌窟 	 The Anemone Gardens
イサリ村 	 Isari
ゼッキ島 	 The Isle of Zekki
海の穴 	 The Dive
タカラモチの棲処 	 The Air of the Opulent
酔いどれ蛙の船小屋 	 The Drunken Toad
不見転岩場 	 Unseen Spirits Laughing
アオサギ滝 	 The Heron's Flight
アオサギ川 	 The Heron's Way
ナマイ村 	 Namai
梅泉郷 	 Plum Spring
無二江 	 The One River
西龍鱗橋 	 Western Ryurin Bridge
東龍鱗橋 	 Eastern Ryurin Bridge
クサカリの里 	 Kusakari
カストルム・フルーミニス 	 Castrum Fluminis
ユヅカ代官屋敷 	 Yuzuka Manor
ガンエン廟 	 The Swallow's Compass
大龍月亮門 	 The Dairyu Moon Gates
青燐水保管所 	 Ceruleum Depot
高速魔導駆逐艇L‐XXIII 	 Imperial Hypersonic Assault Craft L-XXIII
烈士庵 	 The House of the Fierce
万糸条 	 The Ribbons
七彩溝 	 Prism Lake
門前侍町 	 Monzen
城下船場 	 Mercantile Docks
ドマ城 	 Doma Castle
裾踏橋 	 The Coattails
大龍瀑 	 The Dragon's Struggle
ドマ町人地 	 The Doman Enclave
再会の市 	 Reunion
ラギルの誤算 	 Ragill's Reckoning
臆病者の吊り橋 	 The Path of the Craven
ハク・カール 	 Hak Khaal
ライ・カール 	 Rai Khaal
ネム・カール 	 Nem Khaal
カコール・イロー 	 Kahkol Iloh
モル・イロー 	 Mol Iloh
明けの玉座 	 The Dawn Throne
アジム・カート 	 Azim Khaat
兄たちの橋 	 The Bridge of the High Rule Warriors
大地の傷痕 	 The Wound
蛇の食道 	 Throttle
楔石の虚 	 The House of the Crooked Coin
タオ・カール 	 Tao Khaal
昇月の高地 	 Moonrise
テール山脈 	 The Tail Mountains
空の山 	 Skypiercer
チャカ・ゾー 	 Chakha Zoh
バルダム覇道 	 Bardam's Mettle
キオルエン 	 Ceol Aen
ウヤギルの古巣穴 	 The Uyagir Caves
百一の啓示 	 The Hundred-and-one Revelations
ケレル・イロー 	 Qerel Iloh
暮れの玉座 	 The Dusk Throne
ヤト・カール 	 Yat Khaal
ナーマ砂漠 	 The Nhaama Desert
祝福の道 	 The Blessed Passage
ドタール・カー 	 Dotharl Khaa
船着場：城下船場 	 Mercantile Docks
船着場：ドマ町人地 	 Doman Enclave Docks
船着場：茜雲桟橋 	 Akanegumo Bridge Docks
[拡張街]船着場：茜雲桟橋 	 Akanegumo Bridge Docks Subdivision
帰燕館 	 Kienkan
車前会所 	 Shazenkai
エーテライト・プラザ 	 Doman Enclave Aetheryte Plaza
ドーロ・イロー 	 Dhoro Iloh
ザ・バーン 	 The Burn
万市場 	 The Ten Thousand Stalls
職人町 	 The Yard
田園地 	 The Enclave Demesne
栗斎塾 	 Rissai-juku
見廻組屯所 	 The Enclave Barracks
物見塔 	 The Watchtower
無二庭園 	 The One Garden
ドマ町人地南（栗斎塾） 	 The Southern Enclave
ドマ町人地北（無二庭園・田園地） 	 The Northern Enclave
無二江流域（ヤンサ方面） 	 The One River
エオルゼア同盟軍本陣 	 Eorzean Alliance Headquarters
ガレマール帝国軍天幕 	 Garlean Legion Tents
楽欲の僧院 オーボンヌ 	 The Orbonne Monastery
ゴルモア大密林 	 The Golmore Jungle
オーボンヌ修道院 	 The Orbonne Monastery
死せる都 	 The Necrohol
密林の円庭 	 The Jungle's Plea
機工士の領域 	 Realm of the Machinists
聖騎士の領域 	 Realm of the Templars
命なき街路 	 Lifeless Alley
雷神の領域 	 Realm of the Thunder God
水晶の監獄 	 Crystalline Gaol
懺悔室 	 Confessional
古の闘技場 	 The Forgotten Arena
セントラルポイント 	 Central Point
バル川西岸 	 The West Val River Bank
バル川源流域 	 The Val River Source
バル川東岸 	 The East Val River Bank
本部塔エントランス 	 Headquarters Entrance
バルデシオンアーセナル：最下層 	 The Basement
バルデシオンアーセナル：中層 	 The Belly
バルデシオンアーセナル：霊極層 	 The Umbral Tier
バルデシオンアーセナル：星極層 	 The Astral Tier
バルデシオンアーセナル：最上層 	 The Loft
西部魔力橋脚 	 The Western Columns
中央魔力橋脚 	 The Central Columns
東部魔力橋脚 	 The Eastern Columns
魔力橋基部 	 The Aetherbridge Foundation
水晶龍の縄張り 	 The Crystal Dragon's Bloom
封印術研究棟跡 	 Unverified Research
崩壊した学寮 	 Dormitory
委員長の執務室 	 Board Room
エントランス 	 Entranceway
妖槍オールラスラッハ封印区 	 Orlasrach Containment Unit
妖槍ムンジャルグ封印区 	 Munderg Containment Unit
真・斬鉄剣封印区 	 Shin-Zantetsuken Containment Unit
ランス・オブ・ヴァーチュー封印区 	 Lance of Virtue Containment Unit
プロトオズマ封印区 	 Proto Ozma Containment Unit
第二波止場 	 Pier #2
楽座街 	 Rakuza District
小波止場 	 The Short Pier
小金通り 	 Kogane Dori
第一波止場 	 Pier #1
異人街 	 Ijin District
潮風亭 	 Shiokaze Hostelry
転魂塔広場 	 Tenkonto
ウミネコ茶屋 	 Umineko Teahouse
ズイコウ像 	 The Statue of Zuiko
望海楼 	 Bokairo Inn
望海泉 	 Bokaisen Hot Springs
松葉門外広場 	 Matsuba Square
松葉門 	 Matsuba Gate
三条花街 	 Sanjo Hanamachi
赤誠組屯所 	 Sekiseigumi Barracks
御船蔵 	 Ofunakura Shipwrights
無地鼓座 	 The Mujikoza
参番蔵 	 San-ban Kura
伍番蔵 	 Go-ban Kura
小鍛冶屋 	 Kokajiya
クガネ御船蔵 	 Kugane Ofunakura
黒母衣丸 	 The Kuroboro Maru
ウルダハ商館 	 The Ruby Bazaar
楽水園 	 Rakusui Gardens
ガレマール帝国大使館 	 Garlean Consulate
ラザハン大使館 	 Thavnairian Consulate
ウルダハ商館応接室 	 Ruby Bazaar Offices
黄昏橋 	 Tasogare Bridge
船着場：第二波止場 	 Pier #2 Ferry Docks
クガネ・ランディング 	 Airship Landing
エーテライト・プラザ 	 Kugane Aetheryte Plaza
真ギルガメッシュ討滅戦 	 Kugane Ohashi
アマジナ杯闘技会決勝戦 	 The Dragon's Neck
船着場 	 Ferry Docks
ガンゴッシュ 	 Gangos
パガルザン 	 Paglth'an
ゾレマク 	 Zolm'ak
大平原 	 The Boundless Plains
ゾレマク祭場 	 Gathering Ring
トカゲの囲い場 	 Scalekin Pen
黄昏の庭 	 Sunseat
境界の谷 	 The Valley of No One
ゾレマク市街 	 Zolm'ak Citadel
黄金の平原 	 The Gilded Sea
アマルジャの移動集落 	 Drifting Encampment
商客物語
[特殊ダンジョン探索] 	 The Merchant's Tale
(Dungeon Entry)
ノルヴラント 	 Norvrandt
ノルヴラント 	 Norvrandt
クリスタリウム 	 The Crystarium
ユールモア 	 Eulmore
レイクランド 	 Lakeland
コルシア島 	 Kholusia
アム・アレーン 	 Amh Araeng
イル・メグ 	 Il Mheg
ラケティカ大森林 	 The Rak'tika Greatwood
テンペスト 	 The Tempest
秘密の花園 	 Hidden Gardens
迷いの森 	 Wanderlust
幻惑の湖 	 Dohn Toch
幻惑の城 	 Dohn Lran
微睡みの泉 	 Teag Gye
捻じれた大樹 	 The Twisted Trunk
フーアの浴場 	 The Bathing Pools
グリオールの寝床 	 The Atelier
水面のホール 	 Reflections
王冠の間 	 The Throne Room
至天の広間 	 The Hall of Ascension
冥界の大空洞 	 The Underworld
大改装区画 	 Repurposement
崩壊した通路 	 Collapsed Passage
次元潜行装置 	 The Dimensional Brake
煉獄の入口 	 The Dark Invitation
改装作業拠点 	 Repurposing
エーテル観測台 	 Aetherial Observation
主動力エーテル炉 	 Main Aether Furnace
次元潜行装置中枢 	 The Cornice
ドォーヌ・メグ 	 Dohn Mheg
幻惑の園 	 Lran Mheg
幻惑の城 	 Dohn Lran
シルクス・ツイニング 	 The Twinning
地下浅層 	 The Shallow
地下深層 	 The Deep
アーモロート 	 Amaurot
滅びゆく都 	 Fading Footsteps
滅びゆく星 	 Fading Hearth
見よ、獣は解き放たれた 	 And lo, vile beasts did rise,
それらは人々を殺し、街を焼いた 	 Leaving naught in their wake but blood and ash.
これが、第一の災いである 	 Thus did the first doom befall us.
この後、なお二つの災いが来る 	 It would not, however, prove the last.
明日は燃え殻となり塵となった 	 For soon did the sun bend low, scorching earth and boiling seas.
これが、第二の災いである 	 Thus did the second doom break us.
滅びは影のように速い 	 Yet it was neither claw nor flame, but our very sins─
すべてが失われようとしていた 	 Stacked to the heavens where they took root, corrupting its halls─
これが、第三の災いである 	 Thus did the third doom undo us.
グルグ火山 	 Mt. Gulg
崩れかけた山道 	 The Perished Path
純白門 	 The White Gate
光芒の階段 	 The Winding Flare
大タロースの背 	 The Spine of the Talos
大タロースの右腕 	 The Arm of the Talos
漂白された山道 	 The Pallid Path
改竄された山道 	 The Permuted Path
下層 	 The Rise Above
上層 	 The Cant Below
アナイダアカデミア 	 Akadaemia Anyder
水棲生物創造場 	 Ichthyology
草木生物創造場 	 Phytobiology
幻想生物創造場 	 Phantomology
アカデミア正門 	 The Main Gate
ミトロン院 	 The Words of Mitron
ハルマルト院 	 The Words of Halmarut
ラハブレア院 	 The Words of Lahabrea
構内 	 The Halls
屋上 	 Rooftop
階差閉宇宙 	 Liminal Space
キタンナ神影洞 	 The Qitana Ravel
キタリの誰何 	 The Qitari Dissent
神前の石扉 	 The Divine Threshold
ロックワ神の寝床 	 The Night of Yx'Lokwa
アンパ神の涙 	 Tears of the Gods
神影写しの虚 	 Shadowed Hollow
チャール神の踊場 	 The Leap of Ox'Charl
ラケティカ大飛瀑 	 Rak'tika Falls
ガトル神の祭壇 	 The Song of Ox'Gatorl
偽造された宮殿 	 The False Prayer
マリカの大井戸 	 Malikah's Well
トロッコターミナル 	 Terminus
マリカの水源 	 Malikah's Gift
無償の離宮 	 Unquestioned Acceptance
赤の水殿 	 The Jasper Walls
翠の坑道 	 The Jade Paths
青の水脈 	 The Turquoise Currents
漂白された洞穴 	 Blanch
迷える羊飼いの森 	 The Forest of the Lost Shepherd
水晶公の門 	 The Exarch Gate
風化した大地 	 Weathering
始まりの湖 	 The Source
狭間の空き地 	 Embrasure
従者の門 	 The Accensor Gate
帯の道 	 The Belt
千の山々 	 The Chiliad
ジョッブ砦 	 Fort Jobb
光耀教会 	 The Church of the First Light
岩の橋 	 The Bridges
ラディスカ物見塔 	 Radisca's Round
留めの堡塁 	 The Stay
北の集結地 	 Northern Staging Point
ホルミンスター 	 Holminster Switch
クリアメルト 	 Clearmelt
穢れなき証 	 Inviolate Witness
ラクサン城 	 Laxan Loft
首吊り塔 	 The Hanging Tower
三再誕の広間 	 The Hall of the Thrice Born
巨人の兎小屋 	 Hare Among Giants
オスタル厳命城 	 The Ostall Imperative
影狼の屋敷 	 Wolves of Shadow
サレン郷 	 Sullen
ウィード島 	 Weed
ブリック島 	 Brick
ノット島 	 Knot
ラップ島 	 Lap
ダンプソール桟橋 	 Dampsole
責苦の監獄 	 The Hour of Certain Durance
錆ついた鉄鎖 	 Mortal Irons
渇き知らずの浜 	 The Thirstless Shore
ケンの島 	 The Isle of Ken
裸岩 	 Naked Rock
ブライトクリフ 	 The Bright Cliff
シャドウ・フォールト 	 Shadow Fault
スクリー山地 	 Scree
ドヴェルガル山脈 	 The Duergar Mountains
クラックシェル海岸 	 Cracked Shell Beach
スティルタイド 	 Stilltide
穴あき小舟亭 	 The Leaky Keel
ガバナーの畑 	 Governor's Row
ホワイトオイルフォールズ 	 White Oil Falls
グリーリースタイズ 	 Greely Sties
スローロード 	 Slowroad
サザンクロッシング 	 Southern Crossing
グリーリーブリッジ 	 Greely Bridge
ワッツリバー下流 	 Lower Watts River
偏屈者の小屋 	 The Codger's Crook
ゲートタウン 	 Gatetown
歓迎の門 	 Open Arms
ホエール岬 	 The Whale's Breach
チゼルの岩門 	 The Chisel
クレイヴ灯台 	 The Clave
シーゲイザー 	 Seagazer
ストーンゲイザー 	 Stonegazer
ヴェンモント造船所 	 Venmont Yards
スプリットハル岬 	 The Split Hull
ライト村 	 Wright
ワックスシール牧場 	 Wax Seal Mills
ウィスパーウィンド入江 	 Whisperwind Cove
ボトムラング 	 Bottom Rung
ラダー大昇降機 	 The Ladder
バローアイル 	 Barrow Isle
シャープタンの泉 	 Sharptongue Drip
娘たちの舞踏場 	 The Lawns
トップラング 	 Top Rung
アミティー 	 Amity
八号坑口 	 Pit 8
トメラの村 	 Tomra
クイックウェイ 	 The Quick Way
南アンバーヒル 	 The Southern Hills of Amber
ワッツリバー上流 	 Upper Watts River
ボイルドアウルブリッジ 	 Boiled Owl Bridge
フルーブリッジ 	 Flue Bridge
コメラの村 	 Komra
ドヴェルグの煙突 	 The Duergar's Tewel
ドワーフの洞窟 	 Dwarven Hollows
カスール・シャル 	 Qasr Sharl
アンバーフィールド 	 The Fields of Amber
北アンバーヒル 	 The Northern Hills of Amber
中央アンバーヒル 	 The Central Hills of Amber
廃都ナバスアレン 	 Nabaath Areng
隊商の野営地 	 The Red Serai
砂の川 	 The River of Sand
シムーンの背骨 	 Samiel's Backbone
モルド・スーク 	 Mord Souq
帽子の塔 	 The Rack
手の風車 	 Our Ladies' Hands
足の風車 	 Our Ladies' Feet
眼の塔 	 Pitch
鼻の塔 	 Snitch
髭の塔 	 Twitch
旅立ちの宿 	 The Inn at Journey's Head
物見櫓 	 The Derrick
ナバースの断絶 	 The Nabaath Severance
ビラン大鉱山 	 Mount Biran Mines
ガリク村 	 Garik
尻尾の道 	 The Dragging Tail
トゥワイン 	 Twine
ケルク遺跡 	 Kelk
ゴンドラ操作場 	 Lift Station
ヌベイ旧鉱山 	 Nuvy's Leavings
マリカの大井戸 	 Malikah's Well
水の駅 	 Ladle
ゴンドラ操作場 	 Lift Station
アム・マリク新宮殿 	 The Pristine Palace of Amh Malik
無の大地 	 The Empty
ティム・グース 	 Timh Gyeus
姿見の湖 	 Longmirror Lake
フッブーテンブルク 	 Voeburtenburg
リダ・ラーン 	 Lydha Lran
フィソー・ラーン 	 Phisor Lran
ドォーヌ・メグ 	 Dohn Mheg
篤学者の荘園 	 The Bookman's Shelves
手鏡の湖 	 Handmirror Lake
ジズム・ラーン 	 Thysm Lran
水没した教会 	 The House of the First Light
魚たちの街 	 Deepwood Swim
ジェナーナ峠 	 Good Jenanna's Grace
プラ・エンニ茸窟 	 Pla Enni
ヴォレクドルフ 	 Wolekdorf
六つ子の浅瀬 	 Sextuplet Shallow
ダメルン巡礼教会跡 	 The Church at Dammroen Field
コラード菌床 	 Father Collard's Chambers
聖ファスリクの額 	 Saint Fathric's Temple
アンデンの羊小屋 	 Anden's Airs
エアラ登城橋 	 Old Earra Bridge
リェー・ギア城 	 Lyhe Ghiah
シチュア湿地 	 The Citia Swamps
トゥシ・メキタ湖 	 Lake Tusi Mek'ta
イキス・マヤエの森 	 The Blind Forest of Yx'Maja
クムル星遺跡群 	 The K'mul Astropolis
ゴーンの砦 	 Fort Gohn
スリザーバウ 	 Slitherbough
至暗所 	 The Darker
書記者の樹洞 	 Cleric
ロツァトル大階段 	 Lozatl's Conquest
ウォーヴンオウス 	 Woven Oath
アースタディアの胎 	 The Womb
水蛇の宝卵 	 Fruit of the Protector
割れた宝卵 	 The Husk
ダワトリ溺没神殿 	 The Covered Halls of Dwatl
ファノヴの里 	 Fanow
午睡の東屋 	 Sleepaway Common
ワイルドガーデン 	 The Wild Fete
射手の露宿 	 Bowrest
ミュリルの郷愁 	 Mjrl's Regret
風の渦 	 Windmire
四つの明星 	 The Morning Stars
ガトル神のムル 	 Ox'Gatorl Mul
ロックワ神のムル 	 Yx'Lokwa Mul
チャール神のムル 	 Ox'Charl Mul
アンパ神のムル 	 Yx'Anpa Mul
ユキス・ネルの大ピラミッド 	 The Great Pyramid of Ux'ner 
大トゥパサの崇神所 	 The Confessional of Toupasa the Elder
ノルヴラント大陸斜面 	 The Norvrandt Slope
キャリバン海底谷 	 The Caliban Gorge
アーモロート 	 Amaurot
オンドの潮溜まり 	 The Ondo Cups
フラウンダーの穴蔵 	 The Flounders' Floor
奇人のアトリエ 	 The Workbench
パールの砂壺 	 The Crock of Pearls
陸人の墓標 	 Where the Dry Return
主なき遺構 	 Walls of the Forgotten
プルプラ洞 	 Purpure
キャリバンの古巣穴 	 The Caliban Gap
アコラの塔 	 Achora Heights
ポリルリタ官庁街 	 The Polyleritae District
マカレンサス広場 	 The Macarenses Angle
人民弁論館 	 The Hall of Rhetoric
創造物管理局 	 Bureau of the Architect
人民管理局 	 Bureau of the Administrator
人民事務局 	 Bureau of the Secretariat
カピトル議事堂 	 The Capitol
第一の災い 	 The First Doom
第二の災い 	 The Second Doom
第三の災い 	 The Third Doom
エデンコア 	 The Core
エデン甲板 	 The Halo
ネレウス海淵 	 The Nereus Trench
アトラス山頂 	 Atlas Peak
妖精王の舞踏場 	 The Dancing Plague
イマキュレートクラウン 	 The Crown of the Immaculate
終末のアーモロート 	 The Dying Gasp
シルクスの峡間 	 The Syrcus Trench
ペンダント居住館：居室 	 The Pendants Personal Suite
星見の間  	 The Ocular
サンクチュアリ 	 Sanctuary
無の大地 	 The Empty
ナバース家の鉱山 	 The Nabaath Mines
ロンカの遺構 	 Ronkan Reflections
大トゥパサの崇神所 	 The Confessional of Toupasa the Elder
リェー・ギア・ダンジョン 	 The Dungeons of Lyhe Ghiah
ダンジョン入口 	 The Point of No Return
第一区画 	 1st Chamber
第二区画 	 2nd Chamber
第三区画 	 3rd Chamber
第四区画 	 4th Chamber
最終区画 	 Condemnation
円蓋の座 	 The Rotunda
天蓋の座 	 The Baldaquin
三学科の座 	 The Trivium
四学科の座 	 The Quadrivium
テセレーション鉄橋 	 Tessellation
エーテライト・プラザ 	 The Crystarium Aetheryte Plaza
エクセドラ大広場 	 The Exedra
深慮の間 	 Umbilicus
ドッサル大門 	 The Dossal Gate
シルクスの塔クリスタルタワー 	 The Syrcus Tower
テメノスルカリー牧場 	 Temenos Rookery
アマロ桟橋 	 The Amaro Launch
ミーン工芸館 	 The Crystalline Mean
スパジャイリクス医療館 	 Spagyrics
バリスティクス造兵館 	 Ballistics
博物陳列館 	 The Cabinet of Curiosity
自由弁論館 	 The Whispering Gallery
ホルトリウム園芸館 	 The Hortorium
ムジカ・ユニバーサリス 	 Musica Universalis
彷徨う階段亭 	 The Wandering Stairs
カテナリー居住館 	 The Catenaries
スウィートシーヴ果樹園 	 Sweetsieve
廃船街 	 The Derelicts
樹根の層 	 The Buttress
樹幹の層 	 The Understory
樹梢の層 	 The Canopy
樹葉の層 	 The Emergent
栄光の門 	 The Glory Gate
腐臭の花園 	 Nightsoil Pots
ジョイアスホール 	 Joyous Hall
入国審査室 	 The Bureau of Immigration
新民登録室 	 The Bureau of Registration
洗民室 	 The Delousery
一号交易室 	 Customs Office A-1
二号交易室 	 Customs Office A-2
交易倉庫 	 Customs Hold
ザイレムリフト 	 The Xylem Lift
ユールモア軍司令本部 	 Eulmoran Army Headquarters
メインステイ 	 The Mainstay
エーテライト・プラザ 	 Eulmore Aetheryte Plaza
グランドデイム・パーラー 	 The Grand Dame's Parlor
キャバレー・ビーハイヴ 	 The Beehive
クラウンリフト 	 The Crown Lift
スカイフロント 	 Skyfront
元首の執務室 	 The Offer
紫黒の森 	 The Bruise
薄煙の牧草地 	 The Blackened Meadow
焦熱の村落 	 The Burning Village
紫黒のギャップ 	 The Wound
家畜市広場 	 The Auction
燃え盛る交差路 	 The Fiery Crossroad
マナーハウスの前庭 	 The Manor House Courtyard
ペンダント居住館 	 The Pendants
三学科の座 	 The Trivium
四学科の座 	 The Quadrivium
クリスタリウム居室 	 Crystarium Personal Suites
風化した裂け目 	 The Rift of Sighs
錆ついた貯水池 	 The Rusted Reservoir
始まりの湖 	 The Source
サレン郷 	 Sullen
ケンの島 	 The Isle of Ken
ワッツリバー上流 	 Upper Watts River
ホワイトオイルフォールズ 	 White Oil Falls
ワッツリバー下流 	 Lower Watts River
シャープタンの泉 	 Sharptongue Drip
コルシア島沿岸西 	 The Western Kholusian Coast
シーゲイザーの入江 	 Seagazer Shoals
コルシア島沿岸東 	 The Eastern Kholusian Coast
廃船街 	 The Derelicts
砂の川 	 The River of Sand
ナバースの断絶 	 The Nabaath Severance
アンバーヒル 	 The Hills of Amber
手鏡の湖 	 Handmirror Lake
姿見の湖 	 Longmirror Lake
上の子らの流れ 	 The Haughty One
中の子らの流れ 	 The Jealous One
末の子らの流れ 	 The Spoiled One
聖ファスリクの額 	 Saint Fathric's Temple
コラードの排水溝 	 Father Collard's Failings
トゥシ・メキタ湖 	 Lake Tusi Mek'ta
血の酒坏 	 The Red Chalice
ロツァトル川 	 The Lozatl
ミュリルの郷愁南 	 South Mjrl's Regret
ウォーヴンオウス 	 Woven Oath
フラウンダーの穴蔵 	 The Flounders' Floor
陸人の墓標 	 Where the Dry Return
キャリバン海底谷北西 	 Northwest Caliban Gorge
キャリバンの古巣穴西 	 West Caliban Gap
キャリバンの古巣穴東 	 East Caliban Gap
プルプラ洞 	 Purpure
ノルヴラント大陸斜面 	 The Norvrandt Slope
エーテライト・プラザ 	 The Crystarium Aetheryte Plaza
マーケット（ムジカ・ユニバーサリス） 	 Musica Universalis Markets
テメノスルカリー牧場 	 Temenos Rookery
ドッサル大門前（星見の間） 	 The Dossal Gate
ペンダント居住館前 	 The Pendants
アマロ桟橋前 	 The Amaro Launch
ミーン工芸館前 	 The Crystalline Mean
博物陳列館前 	 The Cabinet of Curiosity
テセレーション鉄橋（レイクランド方面） 	 Tessellation (Lakeland)
エーテライト・プラザ 	 Eulmore Aetheryte Plaza
廃船街南東 	 Southeast Derelicts
メインステイ 	 The Mainstay
腐臭の花園 	 Nightsoil Pots
栄光の門 	 The Glory Gate
始まりの湖北東 	 Northeast Source
ケンの島 	 The Isle of Ken
始まりの湖南東 	 Southeast Source
リェー・ギア城北 	 North Lyhe Ghiah
魚たちの街 	 Deepwood Swim
姿見の湖中央 	 Central Longmirror Lake
ジズム・ラーン 	 Thysm Lran
姿見の湖南 	 South Longmirror Lake
トゥシ・メキタ湖北 	 North Lake Tusi Mek'ta
ダワトリ溺没神殿 	 The Covered Halls of Dwatl
栄光の道（コルシア島方面） 	 The Path to Glory (Kholusia)
栄光の道 	 The Path to Glory
シャープタンの泉 	 Sharptongue Drip
長老たちの集会所 	 Longbeard Council
呑んべぇの館 	 The Wet Whistle
ミサ・グロリアンダ 	 Mithai Glorianda
花侯爵の凱旋路 	 The March of the Marchioness
羊毛街道 	 The Woolen Way
ミサ・グロリアンダ 	 Mithai Glorianda
無言の崖 	 The Silent Cliffs
絡み根の林 	 The Trip
ダイヤーズウォッシュ 	 Dyers' Wash
岩兵の瞑目 	 The Deliberating Doll
ロツァトル川 	 The Lozatl
血の酒坏 	 The Red Chalice
弓の枝島 	 The Isle of Bows
姉妹の隠れ島 	 The Isle of Sisters
婿の枝島 	 The Isle of Consorts
トリンキュローの岩棚 	 The Trinculo Shelf
呑まれた天楼 	 The Swallowed Spire
ギャングウェイ 	 The Gangway
飛空艇桟橋 	 Airship Launch
オキス・ダランの深淵 	 The Ox'Dalan Gap
アマロ留 	 Amarokeep
兵棋の間 	 The Martial Court
春の泉 	 The Font of Quintessence
演奏の間 	 The Chamber of Celestial Song
オンサル・ハカイル 	 Onsal Hakair
オンサル・ハカイル西部 	 Western Onsal Hakair
オンサル・ハカイル東部 	 Eastern Onsal Hakair
オンサル・ハカイル南部 	 Southern Onsal Hakair
聖者バグルチの神託 	 Bagurchi Abjiya
侮られしバグルチの不屈 	 Bagurchi's Vindication
聡きバグルチの旅程 	 Bagurchi's Foresight
グラン・コスモス 	 The Grand Cosmos
騎士の城館 	 The Chivalric Sphere
王妃の庭園 	 The Regal Sphere
王の宮殿 	 The Divine Sphere
騎士の間 	 The Presence Chamber
剣槍の間 	 The Cross of Blades
蛍石のホール 	 The Myrhinne Hall
会食の間 	 The Chamber of Raised Cups
