呪術士ギルドのヤヤケは冒険者に頼みごとがあるようだ。			呪術士ギルドのヤヤケは冒険者に頼みごとがあるようだ。			声を聞きし者							
……ふう、急な戦闘にも関わらず、見事な戦いぶりでした。あなたは黒魔道士として、素晴らしい素質を持っていますね。これなら、迫る「星降りの刻」にも対抗できる……。			……ふう、急な戦闘にも関わらず、見事な戦いぶりでした。あなたは黒魔道士として、素晴らしい素質を持っていますね。これなら、迫る「星降りの刻」にも対抗できる……。			隠された呪文							
突然の無礼を許してください……。私の本体……シャトトが2300年前に体系化させた、黒魔法。その力が、どれほど継承されているのか確かめたかったのです。			突然の無礼を許してください……。私の本体……シャトトが2300年前に体系化させた、黒魔法。その力が、どれほど継承されているのか確かめたかったのです。			隠された呪文							
……ですが、少々無茶が過ぎたようですね。これ以上の活動は、この身体に負担がかかりすぎる。互いのエーテルが馴染むまで、長時間の活動は厳しいか……。			……ですが、少々無茶が過ぎたようですね。これ以上の活動は、この身体に負担がかかりすぎる。互いのエーテルが馴染むまで、長時間の活動は厳しいか……。			隠された呪文							
すみませんが、私はしばし眠らねばなりません……。貴方こそ、「星降りの刻」に立ち向かい破壊を成すべき人。どうか、その力を更に鍛えておいてください。			すみませんが、私はしばし眠らねばなりません……。貴方こそ、「星降りの刻」に立ち向かい破壊を成すべき人。どうか、その力を更に鍛えておいてください。			隠された呪文							
「星降りの刻」は、もうすぐそこ……。私も、なるべく早く、ふたたび目覚めますので……。どうか……力を蓄えて、おいて……。			「星降りの刻」は、もうすぐそこ……。私も、なるべく早く、ふたたび目覚めますので……。どうか……力を蓄えて、おいて……。			隠された呪文							
(-ラライ-)…………あら？　私はこれまで何を……。			(-ラライ-)…………あら？　私はこれまで何を……。			隠された呪文							
(-ラライ-)この、身体に残る疲労感は……。それに、どうして帽子が脱げているのでしょう。いったい、私の身に何が起きたのです……？			(-ラライ-)この、身体に残る疲労感は……。それに、どうして帽子が脱げているのでしょう。いったい、私の身に何が起きたのです……？			隠された呪文							
……なんとも信じがたい話ですが、事実なのでしょうね。この身体の内側に、何か別の存在が同居しているのを、確かに感じますから……。			……なんとも信じがたい話ですが、事実なのでしょうね。この身体の内側に、何か別の存在が同居しているのを、確かに感じますから……。			隠された呪文							
第五星暦に存在した魔法都市「マハ」において、黒魔法を生み出した開祖……それが「シャトト」様です。そんな伝説のお方の記憶が、まさか私の身体に……。			第五星暦に存在した魔法都市「マハ」において、黒魔法を生み出した開祖……それが「シャトト」様です。そんな伝説のお方の記憶が、まさか私の身体に……。			隠された呪文							
…………………………。			…………………………。			隠された呪文							
……駄目ですね。シャトト様に問いかけてみても、お返事はありません。どうやら、本当に眠っておられるようです。			……駄目ですね。シャトト様に問いかけてみても、お返事はありません。どうやら、本当に眠っておられるようです。			隠された呪文							
何が起きているのか、わからないことだらけですが、ひとまず、「ミルバネス礼拝堂」に戻りましょう……。一度、落ち着いて状況を整理させてください。			何が起きているのか、わからないことだらけですが、ひとまず、「ミルバネス礼拝堂」に戻りましょう……。一度、落ち着いて状況を整理させてください。			隠された呪文							
ウルダハに戻る間も、何度か呼びかけてみましたが、シャトト様から応答はありませんでした……。			ウルダハに戻る間も、何度か呼びかけてみましたが、シャトト様から応答はありませんでした……。			隠された呪文							
我が師ククルカ様が記した呪文によって、シャトト様の記憶が目覚めたということは……。此度の一件には、ククルカ様も関わっているのでしょう。			我が師ククルカ様が記した呪文によって、シャトト様の記憶が目覚めたということは……。此度の一件には、ククルカ様も関わっているのでしょう。			隠された呪文							
となると、事態の手がかりは、呪文が隠されていた「ナルの書」と「ザルの書」……。それに、シャトト様の記憶が眠っていたナル神の像もですね。			となると、事態の手がかりは、呪文が隠されていた「ナルの書」と「ザルの書」……。それに、シャトト様の記憶が眠っていたナル神の像もですね。			隠された呪文							
……私は、それらを調べて状況の把握に努めます。何か、ただならぬことが起きる予感がしてなりません……。			……私は、それらを調べて状況の把握に努めます。何か、ただならぬことが起きる予感がしてなりません……。			隠された呪文							
シャトト様は、何故、後世に記憶を残されたのでしょう。口にしておられたという「星降りの刻」とはいったい……。……何が起きてもいいよう、どうか修行をお願いします。			シャトト様は、何故、後世に記憶を残されたのでしょう。口にしておられたという「星降りの刻」とはいったい……。……何が起きてもいいよう、どうか修行をお願いします。			隠された呪文							
「黒魔道士」の新たなジョブクエストが開始されました。次のクエストは「レベル63」以上で、ミルバネス礼拝堂のラライから受注可能です。			「黒魔道士」の新たなジョブクエストが開始されました。次のクエストは「レベル63」以上で、ミルバネス礼拝堂のラライから受注可能です。			隠された呪文							
今後の「黒魔道士」のジョブクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「黒魔道士」のジョブクエスト受注条件は、コンプリート後のジャーナルで確認できます。			隠された呪文							
さぁ、あなたの破壊の力を見せるのです！			さぁ、あなたの破壊の力を見せるのです！			隠された呪文							
余興はここまで！　少し激しくいきますよ！			余興はここまで！　少し激しくいきますよ！			隠された呪文							
召喚魔紋より……来たれ、我が使い魔たちよ！			召喚魔紋より……来たれ、我が使い魔たちよ！			隠された呪文							
あなたの力、こんなものではないでしょう？その魂に秘められた破壊の力を示すのです！			あなたの力、こんなものではないでしょう？その魂に秘められた破壊の力を示すのです！			隠された呪文							
この程度の召喚魔紋とゴーレムなど、簡単に破壊してもらわねば！			この程度の召喚魔紋とゴーレムなど、簡単に破壊してもらわねば！			隠された呪文							
よろしい……本物の黒魔法というものを見せてあげましょう。			よろしい……本物の黒魔法というものを見せてあげましょう。			隠された呪文							
さぁ、急がなければ、消し炭になりますよ……？			さぁ、急がなければ、消し炭になりますよ……？			隠された呪文							
もっと、もっと魔力を高めるのです！なにもかも薙ぎ払う、破壊の魔力を！！			もっと、もっと魔力を高めるのです！なにもかも薙ぎ払う、破壊の魔力を！！			隠された呪文							
ミルバネス礼拝堂のラライは、冒険者に調べてほしいことがあるようだ。			ミルバネス礼拝堂のラライは、冒険者に調べてほしいことがあるようだ。			破壊を憎む者							
ラライから、カザグ・チャーの様子を見に行くように頼まれた。東ザナラーンのバーガンディ滝にいる「カザグ・チャー」と話そう。			ラライから、カザグ・チャーの様子を見に行くように頼まれた。東ザナラーンのバーガンディ滝にいる「カザグ・チャー」と話そう。			破壊を憎む者							
カザグ・チャーはローブ姿の男に襲われたらしい。東ザナラーンのバーガンディ滝周辺で、「ローブ姿の男」を探そう。			カザグ・チャーはローブ姿の男に襲われたらしい。東ザナラーンのバーガンディ滝周辺で、「ローブ姿の男」を探そう。			破壊を憎む者							
見つけた男は、人違いだったようだ。バーガンディ滝の「カザグ・チャー」と話そう。			見つけた男は、人違いだったようだ。バーガンディ滝の「カザグ・チャー」と話そう。			破壊を憎む者							
ザイ・ア・ネルハーは、情報をすりあわせるために、ラライの元へと向かった。ミルバネス礼拝堂の「ラライ」に事態の報告をしよう。			ザイ・ア・ネルハーは、情報をすりあわせるために、ラライの元へと向かった。ミルバネス礼拝堂の「ラライ」に事態の報告をしよう。			破壊を憎む者							
ザイ・ア・ネルハーは、最低限の協力を約束してくれたものの、冒険者と行動をともにするつもりはないようだ。教えてもらった黒魔法を使いこなせるように修行を積みながら、ラライやザイ・ア・ネルハーの調査の進展に備えよう。※黒魔道士のレベルが54以上になると、ミルバネス礼拝堂のラライから、次の黒魔道士クエストを受注することができます。			ザイ・ア・ネルハーは、最低限の協力を約束してくれたものの、冒険者と行動をともにするつもりはないようだ。教えてもらった黒魔法を使いこなせるように修行を積みながら、ラライやザイ・ア・ネルハーの調査の進展に備えよう。※黒魔道士のレベルが54以上になると、ミルバネス礼拝堂のラライから、次の黒魔道士クエストを受注することができます。			破壊を憎む者							
バーガンディ滝のカザグ・チャーと話す			バーガンディ滝のカザグ・チャーと話す			破壊を憎む者							
ローブ姿の男を探す			ローブ姿の男を探す			破壊を憎む者							
カザグ・チャーと話す			カザグ・チャーと話す			破壊を憎む者							
ミルバネス礼拝堂のラライに報告			ミルバネス礼拝堂のラライに報告			破壊を憎む者							
黒魔道士Forename Surnameよ。よいところに来てくれましたね。			黒魔道士Forename Surnameよ。よいところに来てくれましたね。			破壊を憎む者							
盗品が流れる闇市から、稀覯書を求める愛書家まで、「ザルの書」の行方を探っていたのですが……。どこにも、それらしき品の情報はありませんでした。			盗品が流れる闇市から、稀覯書を求める愛書家まで、「ザルの書」の行方を探っていたのですが……。どこにも、それらしき品の情報はありませんでした。			破壊を憎む者							
つまり、持ち主は「ザルの書」を手元に置いている可能性が高い。秘匿されていた箱の封印を解いている点からしても、魔法に精通しているとみて間違いないでしょう。			つまり、持ち主は「ザルの書」を手元に置いている可能性が高い。秘匿されていた箱の封印を解いている点からしても、魔法に精通しているとみて間違いないでしょう。			破壊を憎む者							
……となれば、禁術の修得を望む者と考えるのが妥当です。いかにして、黒魔法の存在を突き止めたのかは不明ですが、さらなる知識を求め、行動を起こしかねない。			……となれば、禁術の修得を望む者と考えるのが妥当です。いかにして、黒魔法の存在を突き止めたのかは不明ですが、さらなる知識を求め、行動を起こしかねない。			破壊を憎む者							
私たち以外で、黒魔法に関する知識を有する者といえば、かつて、ククルカ様の最期を看取った獣人たち……。……そこで、あなたに頼みたいことがあるのです！			私たち以外で、黒魔法に関する知識を有する者といえば、かつて、ククルカ様の最期を看取った獣人たち……。……そこで、あなたに頼みたいことがあるのです！			破壊を憎む者							
犯人が、彼らに接触しているかもしれません。まず「バーガンディ滝」に赴き、「カザグ・チャー」に、妙な輩が訪ねてこなかったか、聞いてみてはくれませんか？			犯人が、彼らに接触しているかもしれません。まず「バーガンディ滝」に赴き、「カザグ・チャー」に、妙な輩が訪ねてこなかったか、聞いてみてはくれませんか？			破壊を憎む者							
犯人が、獣人たちに接触しているかもしれません。「バーガンディ滝」に赴き、「カザグ・チャー」に、妙な輩が訪ねてこなかったか、聞いてみてはくれませんか？			犯人が、獣人たちに接触しているかもしれません。「バーガンディ滝」に赴き、「カザグ・チャー」に、妙な輩が訪ねてこなかったか、聞いてみてはくれませんか？			破壊を憎む者							
刎頚之友、此度の再会は喜ばしきことなれど、はたして何用であろうか？			刎頚之友、此度の再会は喜ばしきことなれど、はたして何用であろうか？			破壊を憎む者							
……そのような書物があろうとは！もしや、先ほど訪れしローブ姿の男と関わりが……？			……そのような書物があろうとは！もしや、先ほど訪れしローブ姿の男と関わりが……？			破壊を憎む者							
先刻、ローブを纏いし男、吾輩の前に現れ、「ともに黒魔法を極めるべし」と勧誘の言葉を述べん……。だが、誘いを断るなり、魔法を放ち襲ってきたのだ！			先刻、ローブを纏いし男、吾輩の前に現れ、「ともに黒魔法を極めるべし」と勧誘の言葉を述べん……。だが、誘いを断るなり、魔法を放ち襲ってきたのだ！			破壊を憎む者							
そして、信じられぬことに……男が吾輩を襲うのに用いたのは、確かに黒魔法であった！			そして、信じられぬことに……男が吾輩を襲うのに用いたのは、確かに黒魔法であった！			破壊を憎む者							
機略縦横、吾輩が応戦するや踵を返し退散したが、おそらくは、まだ遠くへは逃げておらぬはず！			機略縦横、吾輩が応戦するや踵を返し退散したが、おそらくは、まだ遠くへは逃げておらぬはず！			破壊を憎む者							
しかして汝、追撃するつもりなれば、油断禁物。件の男のほかにも、人の気配を感じたゆえ、徒党を組んでいるやもしれぬ……！			しかして汝、追撃するつもりなれば、油断禁物。件の男のほかにも、人の気配を感じたゆえ、徒党を組んでいるやもしれぬ……！			破壊を憎む者							
吾輩を襲いしローブ姿の男、まだ近隣におるはず……。件の男のほかにも、人の気配を感じとらん。ゆめゆめ油断せぬよう……！			吾輩を襲いしローブ姿の男、まだ近隣におるはず……。件の男のほかにも、人の気配を感じとらん。ゆめゆめ油断せぬよう……！			破壊を憎む者							
なんだ、君は……。ん……君が纏う魔力……さては、黒魔道士か！？			なんだ、君は……。ん……君が纏う魔力……さては、黒魔道士か！？			破壊を憎む者							
ついに、その尻尾を掴んだぞ……！さあ、「ヤツ」の居場所を吐け！			ついに、その尻尾を掴んだぞ……！さあ、「ヤツ」の居場所を吐け！			破壊を憎む者							
なんと返答する？			なんと返答する？			破壊を憎む者							
お前こそ黒魔道士だろう！			お前こそ黒魔道士だろう！			破壊を憎む者							
「ヤツ」とは誰のことだ……？			「ヤツ」とは誰のことだ……？			破壊を憎む者							
僕が黒魔道士だと……？何をわけのわからないことを……。…………もしかして、「ヤツ」とは関係ないのか？			僕が黒魔道士だと……？何をわけのわからないことを……。…………もしかして、「ヤツ」とは関係ないのか？			破壊を憎む者							
「ヤツ」を知らないだと……？…………嘘をついているようには見えないが。			「ヤツ」を知らないだと……？…………嘘をついているようには見えないが。			破壊を憎む者							
どうやら、双方に誤解が生まれているね……。あのアマルジャ族を襲った黒魔道士は、僕ではない。……そして、どうやら君の仲間でもないようだ。			どうやら、双方に誤解が生まれているね……。あのアマルジャ族を襲った黒魔道士は、僕ではない。……そして、どうやら君の仲間でもないようだ。			破壊を憎む者							
だが、君も、僕の言葉を鵜呑みにはできまい。さっきのアマルジャ族を交えて、話をしようじゃないか。僕にも聞きたいことがあるのでね……。			だが、君も、僕の言葉を鵜呑みにはできまい。さっきのアマルジャ族を交えて、話をしようじゃないか。僕にも聞きたいことがあるのでね……。			破壊を憎む者							
君という存在を、簡単に信じることはできない。さっきのアマルジャ族に、互いの潔白を証明してもらおう。			君という存在を、簡単に信じることはできない。さっきのアマルジャ族に、互いの潔白を証明してもらおう。			破壊を憎む者							
(-ローブ姿の男-)さて……。アマルジャ族にものを尋ねるというのも、奇妙な話だが……君を襲った男と、僕が別人だと証明してほしい。			(-ローブ姿の男-)さて……。アマルジャ族にものを尋ねるというのも、奇妙な話だが……君を襲った男と、僕が別人だと証明してほしい。			破壊を憎む者							
正真正銘、この御仁は襲撃者にあらず……。まったくの別人也。			正真正銘、この御仁は襲撃者にあらず……。まったくの別人也。			破壊を憎む者							
これで、完全に誤解は晴れたはずだが、一応、名乗っておこうか……。幻術士ギルドに所属する道士「ザイ・ア・ネルハー」だ。			これで、完全に誤解は晴れたはずだが、一応、名乗っておこうか……。幻術士ギルドに所属する道士「ザイ・ア・ネルハー」だ。			破壊を憎む者							
角尊より命じられた任務で、ある男を探している。禁忌とされている破壊の力「黒魔法」を使う男を……。			角尊より命じられた任務で、ある男を探している。禁忌とされている破壊の力「黒魔法」を使う男を……。			破壊を憎む者							
この辺りに向かったと聞き、調査をしていたところ、アマルジャ族の彼が、襲われているのを見かけたんだ……。もっとも、犯人は逃してしまったけどね。			この辺りに向かったと聞き、調査をしていたところ、アマルジャ族の彼が、襲われているのを見かけたんだ……。もっとも、犯人は逃してしまったけどね。			破壊を憎む者							
君は、僕の探している男とは無関係のようだが……。禁忌である「黒魔法」を使う者を見逃すわけにはいかない。何も知らないとは言わせないよ……！			君は、僕の探している男とは無関係のようだが……。禁忌である「黒魔法」を使う者を見逃すわけにはいかない。何も知らないとは言わせないよ……！			破壊を憎む者							
「ナルの書」と「ザルの書」……。そんな恐ろしい書物があったとは……。			「ナルの書」と「ザルの書」……。そんな恐ろしい書物があったとは……。			破壊を憎む者							
その「ラライ」という者とも話す必要がありそうだな……。3人で、今後のことを話そう。			その「ラライ」という者とも話す必要がありそうだな……。3人で、今後のことを話そう。			破壊を憎む者							
黒魔法の知識を狙う者……。「シャトトの魔石」を持つ汝よりも、黒魔法を使いこなせる者がいようとは考えられぬが……。			黒魔法の知識を狙う者……。「シャトトの魔石」を持つ汝よりも、黒魔法を使いこなせる者がいようとは考えられぬが……。			破壊を憎む者							
吾輩は、ダ・ザとドゾル・メロックを捜索し、此度の事態について伝えておく。汝は、「ラライ」の元へ戻るべきであろう。			吾輩は、ダ・ザとドゾル・メロックを捜索し、此度の事態について伝えておく。汝は、「ラライ」の元へ戻るべきであろう。			破壊を憎む者							
吾輩は、ダ・ザとドゾル・メロックを捜索し、此度の事態について伝えておこう。汝は、預言者「ラライ」の元へ戻るべきであろう。			吾輩は、ダ・ザとドゾル・メロックを捜索し、此度の事態について伝えておこう。汝は、預言者「ラライ」の元へ戻るべきであろう。			破壊を憎む者							
このラライという女、なんて頭が固いんだ……！破壊の力の危険性を理解していないのか！？			このラライという女、なんて頭が固いんだ……！破壊の力の危険性を理解していないのか！？			破壊を憎む者							
Forename Surnameよ！急にやってきて、キャンキャン喚くこの男は何者ですか！「愚かなことをした」だの、「黒魔法は使うな」だの！			Forename Surnameよ！急にやってきて、キャンキャン喚くこの男は何者ですか！「愚かなことをした」だの、「黒魔法は使うな」だの！			破壊を憎む者							
「破壊の力」を使う黒魔道士が、こんなにもいたとは！君たちの師匠であるククルカという男には、呆れて物も言えないよ。			「破壊の力」を使う黒魔道士が、こんなにもいたとは！君たちの師匠であるククルカという男には、呆れて物も言えないよ。			破壊を憎む者							
その男が余計な研究をしたせいで、「まつろわぬ魔道士」が生まれてしまったんだ！			その男が余計な研究をしたせいで、「まつろわぬ魔道士」が生まれてしまったんだ！			破壊を憎む者							
ある男を追っているという話をしたろう……？「まつろわぬ魔道士」とは、その人物が作り上げた、破壊の力を追い求める、危険思想の集団だ！			ある男を追っているという話をしたろう……？「まつろわぬ魔道士」とは、その人物が作り上げた、破壊の力を追い求める、危険思想の集団だ！			破壊を憎む者							
僕が追っているのは、奴らの指導者「ウォルディーヴ」。かつては、幻術士ギルドの一員だった男……。			僕が追っているのは、奴らの指導者「ウォルディーヴ」。かつては、幻術士ギルドの一員だった男……。			破壊を憎む者							
彼は「癒しの力」を使う幻術士でありながら、いつしか、他者を支配する力を望むようになっていった……。そして辿り着いたのが、「破壊の力」である黒魔法！			彼は「癒しの力」を使う幻術士でありながら、いつしか、他者を支配する力を望むようになっていった……。そして辿り着いたのが、「破壊の力」である黒魔法！			破壊を憎む者							
その思考が問題視され、ギルドを追放されたのだが……ウォルディーヴは、去り際に、こう言い残した。「破壊の力の脅威を思い知らせてやる」とね……。			その思考が問題視され、ギルドを追放されたのだが……ウォルディーヴは、去り際に、こう言い残した。「破壊の力の脅威を思い知らせてやる」とね……。			破壊を憎む者							
そして、年月を経て、ついにヤツは姿を現した……。黒魔法を現代に蘇らせ、その脅威を世に知らしめるために！			そして、年月を経て、ついにヤツは姿を現した……。黒魔法を現代に蘇らせ、その脅威を世に知らしめるために！			破壊を憎む者							
そ、そのウォルディーヴという男が、「ザルの書」を持ちだして、我欲のために黒魔法を、利用しようとしているのですか……！？			そ、そのウォルディーヴという男が、「ザルの書」を持ちだして、我欲のために黒魔法を、利用しようとしているのですか……！？			破壊を憎む者							
時期的にも、間違いないだろう……。そして連中は、徐々にではあるが黒魔法を修得しつつある。このまま野放しにしておくわけにはいかない！			時期的にも、間違いないだろう……。そして連中は、徐々にではあるが黒魔法を修得しつつある。このまま野放しにしておくわけにはいかない！			破壊を憎む者							
敵が、個人ではなく集団となると、事態は私が考えていたよりも、遥かに深刻です……。こちらも対抗手段を整えなくては……！			敵が、個人ではなく集団となると、事態は私が考えていたよりも、遥かに深刻です……。こちらも対抗手段を整えなくては……！			破壊を憎む者							
あなたが調査に赴いてくれている間に、だいぶ「ナルの書」の解読も進みました！新たに判明した黒魔法を、あなたに授けましょう！			あなたが調査に赴いてくれている間に、だいぶ「ナルの書」の解読も進みました！新たに判明した黒魔法を、あなたに授けましょう！			破壊を憎む者							
「破壊の力」に「破壊の力」で対抗するだって……！そんなことでは、被害が広がるだけじゃないか！結果として待つのは、悲劇だけだぞ！			「破壊の力」に「破壊の力」で対抗するだって……！そんなことでは、被害が広がるだけじゃないか！結果として待つのは、悲劇だけだぞ！			破壊を憎む者							
彼女彼は、「破壊の力」の担い手として、ククルカ様から、正統に使命を託された黒魔道士！力に溺れ、無駄に被害を増やすような戦い方はしません！			彼女彼は、「破壊の力」の担い手として、ククルカ様から、正統に使命を託された黒魔道士！力に溺れ、無駄に被害を増やすような戦い方はしません！			破壊を憎む者							
黒魔道士というのは野蛮な思考しかできないのか……。緊急事態でなければ、即刻、監獄送りにしてやるのに……！			黒魔道士というのは野蛮な思考しかできないのか……。緊急事態でなければ、即刻、監獄送りにしてやるのに……！			破壊を憎む者							
獣人たちとも繋がりのある、その情報網だけは評価しよう。何か進展があれば、情報交換には応じてやる……。ただし、僕の邪魔だけはしないでもらうぞ！			獣人たちとも繋がりのある、その情報網だけは評価しよう。何か進展があれば、情報交換には応じてやる……。ただし、僕の邪魔だけはしないでもらうぞ！			破壊を憎む者							
な、なんて身勝手な言い分でしょう……！まさか、あんな男と協力しなければならないなんて……！			な、なんて身勝手な言い分でしょう……！まさか、あんな男と協力しなければならないなんて……！			破壊を憎む者							
あんな、クソ真面目男の言うことは気にせず、私たちは私たちにできる備えをしましょう！			あんな、クソ真面目男の言うことは気にせず、私たちは私たちにできる備えをしましょう！			破壊を憎む者							
解読できた禁術の名は、「黒魔紋」。きっと、あなたの助けとなることでしょう……。あなたが修行を積んでいる間に、私も調査を進めておきます！			解読できた禁術の名は、「黒魔紋」。きっと、あなたの助けとなることでしょう……。あなたが修行を積んでいる間に、私も調査を進めておきます！			破壊を憎む者							
ミルバネス礼拝堂のラライのもとに、ふたたび訪問者が現れたようだ。			ミルバネス礼拝堂のラライのもとに、ふたたび訪問者が現れたようだ。			破壊と癒し							
ザイ・ア・ネルハーが、「まつろわぬ魔道士」のアジトを見つけたと告げて、去っていったらしい。アジトがあるという東ザナラーンのバーニングウォールで「ラライ」と合流しよう。			ザイ・ア・ネルハーが、「まつろわぬ魔道士」のアジトを見つけたと告げて、去っていったらしい。アジトがあるという東ザナラーンのバーニングウォールで「ラライ」と合流しよう。			破壊と癒し							
召喚された妖異を倒した。東ザナラーンに戻ろう。			召喚された妖異を倒した。東ザナラーンに戻ろう。			破壊と癒し							
「まつろわぬ魔道士」の主導者であるウォルディーヴを捕らえることができた。バーニングウォールで、「ラライ」と話そう。			「まつろわぬ魔道士」の主導者であるウォルディーヴを捕らえることができた。バーニングウォールで、「ラライ」と話そう。			破壊と癒し							
ラライはウルダハに帰っていった。バーニングウォールで、「カザグ・チャー」、「ドゾル･メロック」、「メンディカント269 ダ・ザ」と話そう。			ラライはウルダハに帰っていった。バーニングウォールで、「カザグ・チャー」、「ドゾル･メロック」、「メンディカント269 ダ・ザ」と話そう。			破壊と癒し							
獣人たちと話した。ミルバネス礼拝堂で「ラライ」と話そう。			獣人たちと話した。ミルバネス礼拝堂で「ラライ」と話そう。			破壊と癒し							
ウォルディーヴを逮捕し、ザルの書から新たな黒魔法を覚えることができた。ザイ・ア・ネルハーは、今後は、「破壊の力」と「癒しの力」が手を取り合える未来を信じていくようだ。※以下の条件を満たすと、ミルバネス礼拝堂のラライから、新たなジョブクエストを受注することができます。1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			ウォルディーヴを逮捕し、ザルの書から新たな黒魔法を覚えることができた。ザイ・ア・ネルハーは、今後は、「破壊の力」と「癒しの力」が手を取り合える未来を信じていくようだ。※以下の条件を満たすと、ミルバネス礼拝堂のラライから、新たなジョブクエストを受注することができます。1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			破壊と癒し							
バーニングウォールのラライと合流			バーニングウォールのラライと合流			破壊と癒し							
バーニングウォールのラライと話す			バーニングウォールのラライと話す			破壊と癒し							
カザグ・チャーと話す			カザグ・チャーと話す			破壊と癒し							
ドゾル・メロックと話す			ドゾル・メロックと話す			破壊と癒し							
メンディカント269ダ・ザと話す			メンディカント269ダ・ザと話す			破壊と癒し							
ミルバネス礼拝堂のラライと話す			ミルバネス礼拝堂のラライと話す			破壊と癒し							
ああ、Forename Surnameよ。よくぞ来てくれました……！先ほど、ここにザイ・ア・ネルハーが来たのです！			ああ、Forename Surnameよ。よくぞ来てくれました……！先ほど、ここにザイ・ア・ネルハーが来たのです！			破壊と癒し							
彼は「まつろわぬ魔道士」のアジトを見つけたと告げると、何処かへと走り去っていきました……！			彼は「まつろわぬ魔道士」のアジトを見つけたと告げると、何処かへと走り去っていきました……！			破壊と癒し							
おそらく、ひとりでアジトへ向かったのでしょう！いくら敵の勢力が縮小しているとはいえ、無茶がすぎます。この間学んだことを、もう忘れてしまったのでしょうか……。			おそらく、ひとりでアジトへ向かったのでしょう！いくら敵の勢力が縮小しているとはいえ、無茶がすぎます。この間学んだことを、もう忘れてしまったのでしょうか……。			破壊と癒し							
とにかく、私たちも戦いの準備を整えて向かわねば！奴らのアジトは、「バーニングウォール」だそうです！現地で落ち合いましょう！			とにかく、私たちも戦いの準備を整えて向かわねば！奴らのアジトは、「バーニングウォール」だそうです！現地で落ち合いましょう！			破壊と癒し							
私たちも戦いの準備を整えて向かわねば！奴らのアジトは、「バーニングウォール」だそうです！現地で落ち合いましょう！			私たちも戦いの準備を整えて向かわねば！奴らのアジトは、「バーニングウォール」だそうです！現地で落ち合いましょう！			破壊と癒し							
なんと、此の地に「まつろわぬ魔道士」が！戦支度が間に合えば、吾輩も汝らを追駆せん！……ザイ・ア・ネルハー？　目下、見かけてはおらぬ也。			なんと、此の地に「まつろわぬ魔道士」が！戦支度が間に合えば、吾輩も汝らを追駆せん！……ザイ・ア・ネルハー？　目下、見かけてはおらぬ也。			破壊と癒し							
ザイ・ア・ネルハーの姿が見えませんね……。もしや、すでに殺されてしまったのでしょうか……。			ザイ・ア・ネルハーの姿が見えませんね……。もしや、すでに殺されてしまったのでしょうか……。			破壊と癒し							
だとしても、引き下がるわけには行きません。ウォルディーヴは、どうやら最深部にいるようです。覚悟はいいですね……？			だとしても、引き下がるわけには行きません。ウォルディーヴは、どうやら最深部にいるようです。覚悟はいいですね……？			破壊と癒し							
ウォルディーヴですね！　さあ、観念なさい……！あなたの仲間たちは、みな倒しました。もう、逃げ場もありませんよ！			ウォルディーヴですね！　さあ、観念なさい……！あなたの仲間たちは、みな倒しました。もう、逃げ場もありませんよ！			破壊と癒し							
…………ふん。逃げる必要など、もうない。			…………ふん。逃げる必要など、もうない。			破壊と癒し							
ククク……召喚に必要な魔力は、すでに捧げおえた！これで、みなが私を崇め、集う！			ククク……召喚に必要な魔力は、すでに捧げおえた！これで、みなが私を崇め、集う！			破壊と癒し							
わかったのだよ……私には、まだ力が足りなかったのだ。この妖異を従えることさえできれば、もっと多くの民が、私を崇拝し、羨望し、私のもとへ集う……！			わかったのだよ……私には、まだ力が足りなかったのだ。この妖異を従えることさえできれば、もっと多くの民が、私を崇拝し、羨望し、私のもとへ集う……！			破壊と癒し							
なんて大きなヴォイドゲート……！まさか、あそこから妖異を召喚するつもり……！？			なんて大きなヴォイドゲート……！まさか、あそこから妖異を召喚するつもり……！？			破壊と癒し							
やめなさい……！そんな大きなヴォイドゲートから現れる妖異など、制御できるはずありません！			やめなさい……！そんな大きなヴォイドゲートから現れる妖異など、制御できるはずありません！			破壊と癒し							
さあ、闇の世界に棲みし妖獣「バーゲスト」よ！私の命に従い、その姿を現せ！			さあ、闇の世界に棲みし妖獣「バーゲスト」よ！私の命に従い、その姿を現せ！			破壊と癒し							
フ、フフフフ、フハハハハハハハ！さあて、形勢逆転だなあ！お前たちふたりだけで、敵う相手ではあるまい！			フ、フフフフ、フハハハハハハハ！さあて、形勢逆転だなあ！お前たちふたりだけで、敵う相手ではあるまい！			破壊と癒し							
(-？？？？-)ふたりだけじゃない……！			(-？？？？-)ふたりだけじゃない……！			破壊と癒し							
ウォルディーヴ……！貴様の企みを打倒せんという者は、ここにもいる！			ウォルディーヴ……！貴様の企みを打倒せんという者は、ここにもいる！			破壊と癒し							
ザイ・ア・ネルハー！あなた、今までどこに……！			ザイ・ア・ネルハー！あなた、今までどこに……！			破壊と癒し							
玩物喪志、悪逆無道！道理を忘れ、道を踏み外した貴様に、かける情けなし！			玩物喪志、悪逆無道！道理を忘れ、道を踏み外した貴様に、かける情けなし！			破壊と癒し							
