オールド・シャーレアンの小柄なグリーナーは、冒険者のことを探しているようだ。			オールド・シャーレアンの小柄なグリーナーは、冒険者のことを探しているようだ。			ギルドシップのモブハント（初級）							
それだけ強い結びつきがあるからこそ、例の救難信号が気になるところなんデスが……。とにかく、発信源を確認してみましょう。			それだけ強い結びつきがあるからこそ、例の救難信号が気になるところなんデスが……。とにかく、発信源を確認してみましょう。			電脳夢想 スティグマ・フォー							
えーっと、発信源は……報告にあった機械集落「オミクロンベース」の方デスね。さあ、偵察用サポーターの行方を捜しましょう……！			えーっと、発信源は……報告にあった機械集落「オミクロンベース」の方デスね。さあ、偵察用サポーターの行方を捜しましょう……！			電脳夢想 スティグマ・フォー							
ガガガ……データベースと照合。個体名Forenameと認識……。			ガガガ……データベースと照合。個体名Forenameと認識……。			電脳夢想 スティグマ・フォー							
Forename殿、サポーターを見つけたデス！でも、このポンコツが勝手にいじってたみたいで……。オイラ抗議するので、見守っていてほしいのデス！			Forename殿、サポーターを見つけたデス！でも、このポンコツが勝手にいじってたみたいで……。オイラ抗議するので、見守っていてほしいのデス！			電脳夢想 スティグマ・フォー							
や、やい、このポンコツめ！オイラたちのサポーターを盗むとは、どういうつもりデスか！			や、やい、このポンコツめ！オイラたちのサポーターを盗むとは、どういうつもりデスか！			電脳夢想 スティグマ・フォー							
ガガガ……毛むくじゃら有機生命体による非合理的な非難を、全面的に否定します。			ガガガ……毛むくじゃら有機生命体による非合理的な非難を、全面的に否定します。			電脳夢想 スティグマ・フォー							
そもそも、このような原始的機械に盗む価値などありません。当機「N-7000」は友好的行為として、このガラクタを作り出した文明に、警告を発したのです……！			そもそも、このような原始的機械に盗む価値などありません。当機「N-7000」は友好的行為として、このガラクタを作り出した文明に、警告を発したのです……！			電脳夢想 スティグマ・フォー							
ムキー！ガラクタとは失礼な……！			ムキー！ガラクタとは失礼な……！			電脳夢想 スティグマ・フォー							
……しかし、警告とはどういう意味なのデス？			……しかし、警告とはどういう意味なのデス？			電脳夢想 スティグマ・フォー							
毛むくじゃら有機生命体の低い知能レベルに合わせて説明します。そちらの有機生命体、個体名Forenameが、M-017と接触した後、しばらくして……			毛むくじゃら有機生命体の低い知能レベルに合わせて説明します。そちらの有機生命体、個体名Forenameが、M-017と接触した後、しばらくして……			電脳夢想 スティグマ・フォー							
我々は、当宙域中心にある廃星殻レムナントより、強力なエネルギー波の放出を検出しました。			我々は、当宙域中心にある廃星殻レムナントより、強力なエネルギー波の放出を検出しました。			電脳夢想 スティグマ・フォー							
終焉を謳うものを討滅したときの反応デスね……！			終焉を謳うものを討滅したときの反応デスね……！			電脳夢想 スティグマ・フォー							
問題は、そのエネルギー波に、戦争戦略マトリクス「スティグマ・ワン」のコードを用いた、命令データが含まれていたことです。			問題は、そのエネルギー波に、戦争戦略マトリクス「スティグマ・ワン」のコードを用いた、命令データが含まれていたことです。			電脳夢想 スティグマ・フォー							
命令は、ひとつ。ただ「生きろ」と。			命令は、ひとつ。ただ「生きろ」と。			電脳夢想 スティグマ・フォー							
それが事実だとして、何が問題だっていうんデスか？			それが事実だとして、何が問題だっていうんデスか？			電脳夢想 スティグマ・フォー							
この生存命令を受けて、長らく休眠状態を維持していた、兵站戦略マトリクス「スティグマ・フォー」が起動したのです。同機は、外征に要する兵器や物資の、製造を司る存在……			この生存命令を受けて、長らく休眠状態を維持していた、兵站戦略マトリクス「スティグマ・フォー」が起動したのです。同機は、外征に要する兵器や物資の、製造を司る存在……			電脳夢想 スティグマ・フォー							
このままスティグマ・フォーを放置すれば、新たな侵略兵器が製造され、アナタ方の星にも放たれるでしょう。			このままスティグマ・フォーを放置すれば、新たな侵略兵器が製造され、アナタ方の星にも放たれるでしょう。			電脳夢想 スティグマ・フォー							
何と言う？			何と言う？			電脳夢想 スティグマ・フォー							
今すぐスティグマ・フォーを破壊しよう			今すぐスティグマ・フォーを破壊しよう			電脳夢想 スティグマ・フォー							
今すぐスティグマ・フォーを停止させよう			今すぐスティグマ・フォーを停止させよう			電脳夢想 スティグマ・フォー							
ガガガ……破壊も停止も容認できません。当機を含むオミクロンが生存命令を実行し続けるには、スティグマ・フォーの製造能力が不可欠と考えられるのです。			ガガガ……破壊も停止も容認できません。当機を含むオミクロンが生存命令を実行し続けるには、スティグマ・フォーの製造能力が不可欠と考えられるのです。			電脳夢想 スティグマ・フォー							
でしたら、そのスティグマ・フォーの決定を覆せばいいのでは？侵略兵器を造り始めたのが、生存命令に従うためだとしたら、侵略が滅亡に繋がると信じ込ませればいいのデス！			でしたら、そのスティグマ・フォーの決定を覆せばいいのでは？侵略兵器を造り始めたのが、生存命令に従うためだとしたら、侵略が滅亡に繋がると信じ込ませればいいのデス！			電脳夢想 スティグマ・フォー							
ガガガ……毛むくじゃら有機生命体の提案に価値を認めます。情報戦のために製造された当機の能力を以てすれば、スティグマ・フォーの記憶を改竄可能……。			ガガガ……毛むくじゃら有機生命体の提案に価値を認めます。情報戦のために製造された当機の能力を以てすれば、スティグマ・フォーの記憶を改竄可能……。			電脳夢想 スティグマ・フォー							
過去に行われた侵略行動の記憶を、勝利ではなく敗北に終わったと改竄すれば、決定は覆るでしょう。			過去に行われた侵略行動の記憶を、勝利ではなく敗北に終わったと改竄すれば、決定は覆るでしょう。			電脳夢想 スティグマ・フォー							
ですが、そのためにはスティグマ・フォーにアクセスし、「次元」操作能力で、侵略の記憶に基づいた特殊空間を生成……。その中に侵入して、勝利を掴む強力な戦闘体が必要です。			ですが、そのためにはスティグマ・フォーにアクセスし、「次元」操作能力で、侵略の記憶に基づいた特殊空間を生成……。その中に侵入して、勝利を掴む強力な戦闘体が必要です。			電脳夢想 スティグマ・フォー							
それなら問題ないデス！ねっ、Forename殿？			それなら問題ないデス！ねっ、Forename殿？			電脳夢想 スティグマ・フォー							
何と言う？			何と言う？			電脳夢想 スティグマ・フォー							
任せておけ！			任せておけ！			電脳夢想 スティグマ・フォー							
やれるだけのことはやってみます……			やれるだけのことはやってみます……			電脳夢想 スティグマ・フォー							
オメガなら倒したことがある！			オメガなら倒したことがある！			電脳夢想 スティグマ・フォー							
ガガガ……アナタ方を同盟者と認定……これより共同で、スティグマ・フォー記憶改竄作戦を発動します。直ちにアクセスポイントに案内しましょう。			ガガガ……アナタ方を同盟者と認定……これより共同で、スティグマ・フォー記憶改竄作戦を発動します。直ちにアクセスポイントに案内しましょう。			電脳夢想 スティグマ・フォー							
なんだか妙な流れになってきたデスね……。			なんだか妙な流れになってきたデスね……。			電脳夢想 スティグマ・フォー							
ガガガ……この施設が、スティグマ・フォーとの通信が可能なアクセスポイントです。			ガガガ……この施設が、スティグマ・フォーとの通信が可能なアクセスポイントです。			電脳夢想 スティグマ・フォー							
当機が製造されて初めて訪れた、情報戦の機会……存在意義を果たすべく、必ずや作戦を成功させてみせましょう。			当機が製造されて初めて訪れた、情報戦の機会……存在意義を果たすべく、必ずや作戦を成功させてみせましょう。			電脳夢想 スティグマ・フォー							
そ、それって、初めての実戦ってことデスか？まさか本当にポンコツだったとは……！			そ、それって、初めての実戦ってことデスか？まさか本当にポンコツだったとは……！			電脳夢想 スティグマ・フォー							
毛むくじゃら有機生命体に対し、当機は、優れた情報戦能力を有していると反論します。当機の能力が必要なほどの文明と交戦したことがないだけです。			毛むくじゃら有機生命体に対し、当機は、優れた情報戦能力を有していると反論します。当機の能力が必要なほどの文明と交戦したことがないだけです。			電脳夢想 スティグマ・フォー							
すでにスティグマ・フォーへの強制接続は完了しています。あとは、「次元」操作技術により再現した記憶領域に侵入し、目標のコアユニットを追い詰めて破壊するのみ！			すでにスティグマ・フォーへの強制接続は完了しています。あとは、「次元」操作技術により再現した記憶領域に侵入し、目標のコアユニットを追い詰めて破壊するのみ！			電脳夢想 スティグマ・フォー							
さあ、同盟者Forename、当機による完璧な情報支援を信じ、作戦行動を開始してください！			さあ、同盟者Forename、当機による完璧な情報支援を信じ、作戦行動を開始してください！			電脳夢想 スティグマ・フォー							
Forename殿、このポンコツのことは、オイラがしっかり見張っておくデス！			Forename殿、このポンコツのことは、オイラがしっかり見張っておくデス！			電脳夢想 スティグマ・フォー							
さあ、同盟者Forename、当機による完璧な情報支援を信じ、作戦行動を開始してください！			さあ、同盟者Forename、当機による完璧な情報支援を信じ、作戦行動を開始してください！			電脳夢想 スティグマ・フォー							
作戦成功デスね！こちらからモニターしていましたが、手に汗握る戦いでした！			作戦成功デスね！こちらからモニターしていましたが、手に汗握る戦いでした！			電脳夢想 スティグマ・フォー							
オミクロンN-7000からの要請に基づき、ホログラム体を生成中……。			オミクロンN-7000からの要請に基づき、ホログラム体を生成中……。			電脳夢想 スティグマ・フォー							
ガガガ……同盟者Forename、当機は本作戦の成功を確認しました。スティグマ・フォーは現在、交渉用ホログラム体を現出中です。			ガガガ……同盟者Forename、当機は本作戦の成功を確認しました。スティグマ・フォーは現在、交渉用ホログラム体を現出中です。			電脳夢想 スティグマ・フォー							
ガガガ……現時刻をもって、当機は、兵站戦略マトリクス「スティグマ・フォー」に、侵略兵器の製造中止を正式要請します！			ガガガ……現時刻をもって、当機は、兵站戦略マトリクス「スティグマ・フォー」に、侵略兵器の製造中止を正式要請します！			電脳夢想 スティグマ・フォー							
記憶データに基づいて、要請の正当性を判断。侵略行動は敗北に繋がり、生存命令に反すると認定……直ちに侵略兵器の製造を中断する。			記憶データに基づいて、要請の正当性を判断。侵略行動は敗北に繋がり、生存命令に反すると認定……直ちに侵略兵器の製造を中断する。			電脳夢想 スティグマ・フォー							
や、やったー！			や、やったー！			電脳夢想 スティグマ・フォー							
N-7000殿、ポンコツと罵ったことを、お詫びしておくデス！情報戦のスペシャリストだと認めるデスよ！			N-7000殿、ポンコツと罵ったことを、お詫びしておくデス！情報戦のスペシャリストだと認めるデスよ！			電脳夢想 スティグマ・フォー							
ガガガ……同盟者Forename、ついでに毛むくじゃら有機生命体にも感謝を……。			ガガガ……同盟者Forename、ついでに毛むくじゃら有機生命体にも感謝を……。			電脳夢想 スティグマ・フォー							
しかし、侵略行動が停止された今、情報戦を専門とする当機は、もう永遠に存在意義を果たせる機会がなくなりました。かくなる上は自我をシャットダウンし、省エネルギーモードで……			しかし、侵略行動が停止された今、情報戦を専門とする当機は、もう永遠に存在意義を果たせる機会がなくなりました。かくなる上は自我をシャットダウンし、省エネルギーモードで……			電脳夢想 スティグマ・フォー							
前言撤回デス、このポンコツ！「生きろ」という意味を、何だと思ってるんデスか！			前言撤回デス、このポンコツ！「生きろ」という意味を、何だと思ってるんデスか！			電脳夢想 スティグマ・フォー							
Forename殿も、ひとこと言ってやってくださいデス！			Forename殿も、ひとこと言ってやってくださいデス！			電脳夢想 スティグマ・フォー							
何と言う？			何と言う？			電脳夢想 スティグマ・フォー							
情報戦の能力を、希望のために使え！			情報戦の能力を、希望のために使え！			電脳夢想 スティグマ・フォー							
自我を手放すのは、生存命令に反する！			自我を手放すのは、生存命令に反する！			電脳夢想 スティグマ・フォー							
そのとおりデス！アナタたちのマスターが「生きろ」と命じたのは、誰かに希望を伝え、未来に歩むことの意義を認識したからデス！			そのとおりデス！アナタたちのマスターが「生きろ」と命じたのは、誰かに希望を伝え、未来に歩むことの意義を認識したからデス！			電脳夢想 スティグマ・フォー							
ガガガ……たとえそうだとして、当機の情報戦能力が、何の役に立つというのでしょう？			ガガガ……たとえそうだとして、当機の情報戦能力が、何の役に立つというのでしょう？			電脳夢想 スティグマ・フォー							
アナタは、スティグマ・フォーを操れるはずデス！記憶データから、あれだけの再現ができるのであれば、滅亡文明を再現して蘇らせることだってできるはずでしょう！			アナタは、スティグマ・フォーを操れるはずデス！記憶データから、あれだけの再現ができるのであれば、滅亡文明を再現して蘇らせることだってできるはずでしょう！			電脳夢想 スティグマ・フォー							
仮に滅亡文明を再現したとして……その作業が終われば、またもや当機は存在意義を失います。その後に何をすればいいのでしょう？			仮に滅亡文明を再現したとして……その作業が終われば、またもや当機は存在意義を失います。その後に何をすればいいのでしょう？			電脳夢想 スティグマ・フォー							
…………カフェを、開くのデス！			…………カフェを、開くのデス！			電脳夢想 スティグマ・フォー							
オールド・シャーレアンの街にあるカフェ「ラストスタンド」で、オイラは人々が集い、食を楽しみ、語らう姿を見たのデス。そうして、ヒトは希望を伝えているのデス！			オールド・シャーレアンの街にあるカフェ「ラストスタンド」で、オイラは人々が集い、食を楽しみ、語らう姿を見たのデス。そうして、ヒトは希望を伝えているのデス！			電脳夢想 スティグマ・フォー							
Forenameたちは、絶望に打ち勝った！その希望を、絶望の中で滅亡した文明に伝えるのデス！メーティオンが確認した、すべての滅亡文明に対して……！			Forenameたちは、絶望に打ち勝った！その希望を、絶望の中で滅亡した文明に伝えるのデス！メーティオンが確認した、すべての滅亡文明に対して……！			電脳夢想 スティグマ・フォー							
ガガガ……毛むくじゃら有機生命体の提案は、実に意味不明です。			ガガガ……毛むくじゃら有機生命体の提案は、実に意味不明です。			電脳夢想 スティグマ・フォー							
しかし、我々が遭遇したもの以外の文明まで再現するとなると、高度な情報処理能力が求められるであろうと認められます。長期間、当機は存在意義を保持できるでしょう。			しかし、我々が遭遇したもの以外の文明まで再現するとなると、高度な情報処理能力が求められるであろうと認められます。長期間、当機は存在意義を保持できるでしょう。			電脳夢想 スティグマ・フォー							
そうでしょうとも！我ながら、面白いことを思いついてワクワクしてきたデス！			そうでしょうとも！我ながら、面白いことを思いついてワクワクしてきたデス！			電脳夢想 スティグマ・フォー							
ところでForename殿、この辺りで、カフェを作れそうな場所はないものでしょうか？			ところでForename殿、この辺りで、カフェを作れそうな場所はないものでしょうか？			電脳夢想 スティグマ・フォー							
ほうほう、「命なき街」に良さげな場所が！善は急げ……さっそく向かってみるのデス！			ほうほう、「命なき街」に良さげな場所が！善は急げ……さっそく向かってみるのデス！			電脳夢想 スティグマ・フォー							
さっそく、スティグマ・フォーにアクセスして、我々が滅ぼしたゴードナ文明の機械兵器を再現しました。			さっそく、スティグマ・フォーにアクセスして、我々が滅ぼしたゴードナ文明の機械兵器を再現しました。			電脳夢想 スティグマ・フォー							
生存命令に従うため、異星文明との友好的対話が必要と判断。N-7000からの要請に従い、異文明体の再現を開始します。			生存命令に従うため、異星文明との友好的対話が必要と判断。N-7000からの要請に従い、異文明体の再現を開始します。			電脳夢想 スティグマ・フォー							
カフェ警護システム起動……。			カフェ警護システム起動……。			電脳夢想 スティグマ・フォー							
ふんふん、客席もあればカウンターもある……カフェに最適な場所じゃないデスか！			ふんふん、客席もあればカウンターもある……カフェに最適な場所じゃないデスか！			電脳夢想 スティグマ・フォー							
なにより眺望がいい！絶望に染まったメーティオンたちが巣にした廃星殻、レムナントが一望できる点が最高デス！			なにより眺望がいい！絶望に染まったメーティオンたちが巣にした廃星殻、レムナントが一望できる点が最高デス！			電脳夢想 スティグマ・フォー							
かつて絶望の象徴であった場所を眺めながら、今この地には希望があるのだと語らうのデス！			かつて絶望の象徴であった場所を眺めながら、今この地には希望があるのだと語らうのデス！			電脳夢想 スティグマ・フォー							
それでは提案どおり、当機はスティグマ・フォーと協力し、滅亡文明のデータを解析……再現体を作っていきましょう。しかし、カフェとやらの概念が理解できません。			それでは提案どおり、当機はスティグマ・フォーと協力し、滅亡文明のデータを解析……再現体を作っていきましょう。しかし、カフェとやらの概念が理解できません。			電脳夢想 スティグマ・フォー							
その点はオイラにお任せデス！「ラストスタンド」に滞在していた経験を活かして、オイラがカフェを運営してみせるデス！			その点はオイラにお任せデス！「ラストスタンド」に滞在していた経験を活かして、オイラがカフェを運営してみせるデス！			電脳夢想 スティグマ・フォー							
名付けてカフェ「ラストレムナント」！どうデス、最高の店名でしょう？			名付けてカフェ「ラストレムナント」！どうデス、最高の店名でしょう？			電脳夢想 スティグマ・フォー							
当機には理解不能です。しかし、カフェを知る毛むくじゃら有機生命体が、そう言うのであれば、最高なのでしょう。			当機には理解不能です。しかし、カフェを知る毛むくじゃら有機生命体が、そう言うのであれば、最高なのでしょう。			電脳夢想 スティグマ・フォー							
Forename殿、本当にありがとうございました！オイラは、このポンコツとしばらくカフェ作りをやってみるデス！だから、たまには遊びに来てほしいのデスよ！			Forename殿、本当にありがとうございました！オイラは、このポンコツとしばらくカフェ作りをやってみるデス！だから、たまには遊びに来てほしいのデスよ！			電脳夢想 スティグマ・フォー							
ルヴェユール邸のメリルドは、冒険者に贈りたいものがあるようだ。			ルヴェユール邸のメリルドは、冒険者に贈りたいものがあるようだ。			旅の無事を祈って							
ルヴェユール家のハウスメイドと話す			ルヴェユール家のハウスメイドと話す			旅の無事を祈って							
Forename様、いつも大変お世話になっております。			Forename様、いつも大変お世話になっております。			旅の無事を祈って							
アメリアンス様がご用意なさっていた、あなた様へのお洋服をお預かりしています。			アメリアンス様がご用意なさっていた、あなた様へのお洋服をお預かりしています。			旅の無事を祈って							
お渡しする前に、サイズの微調整をさせてくださいませ。ご足労ではございますが、「ルヴェユール家のハウスメイド」に、お声がけいただけますでしょうか。			お渡しする前に、サイズの微調整をさせてくださいませ。ご足労ではございますが、「ルヴェユール家のハウスメイド」に、お声がけいただけますでしょうか。			旅の無事を祈って							
アメリアンス様からの感謝の気持ちはもちろんのこと、僭越ながら、わたくしども使用人からの、感謝の気持ちも込めさせていただきました。			アメリアンス様からの感謝の気持ちはもちろんのこと、僭越ながら、わたくしども使用人からの、感謝の気持ちも込めさせていただきました。			旅の無事を祈って							
アルフィノ様とアリゼー様のことも、どうか……これからもよろしくお願いいたします。			アルフィノ様とアリゼー様のことも、どうか……これからもよろしくお願いいたします。			旅の無事を祈って							
サイズの微調整をさせていただきたく、「ルヴェユール家のハウスメイド」にお声がけくださいませ。			サイズの微調整をさせていただきたく、「ルヴェユール家のハウスメイド」にお声がけくださいませ。			旅の無事を祈って							
Forename様、お洋服をお預かりしております。			Forename様、お洋服をお預かりしております。			旅の無事を祈って							
アメリアンス様のお見立ては正確ですが、お直しが必要かどうか、少しだけ確認させてください。			アメリアンス様のお見立ては正確ですが、お直しが必要かどうか、少しだけ確認させてください。			旅の無事を祈って							
うん……ええ……いいですね。肩幅はぴったり……そでの長さも……			うん……ええ……いいですね。肩幅はぴったり……そでの長さも……			旅の無事を祈って							
……完ッ璧でございます！			……完ッ璧でございます！			旅の無事を祈って							
大変お待たせいたしました。どうぞお受け取りくださいませ。あなた様の旅の無事を、皆で祈っております。			大変お待たせいたしました。どうぞお受け取りくださいませ。あなた様の旅の無事を、皆で祈っております。			旅の無事を祈って							
オールド・シャーレアンのシンギングウェイは、冒険者を探しているようだ。			オールド・シャーレアンのシンギングウェイは、冒険者を探しているようだ。			無窮の翼、現世に飛翔せん							
シンギングウェイから、奇妙なエーテル波の調査を請け負った。嘆きの海の涙の入江で「シンギングウェイ」に話しかけよう。			シンギングウェイから、奇妙なエーテル波の調査を請け負った。嘆きの海の涙の入江で「シンギングウェイ」に話しかけよう。			無窮の翼、現世に飛翔せん							
シンギングウェイから調査の詳細を聞いた。嘆きの海の苦悶の入江で「ニンジン型増幅装置」を使い、エーテル波の発信源を探ろう。			シンギングウェイから調査の詳細を聞いた。嘆きの海の苦悶の入江で「ニンジン型増幅装置」を使い、エーテル波の発信源を探ろう。			無窮の翼、現世に飛翔せん							
エーテル波の発信源を探り、近くに増幅装置を置いた。ヘイムダル級観察艇の残骸付近にいる「シンギングウェイ」に話しかけよう。			エーテル波の発信源を探り、近くに増幅装置を置いた。ヘイムダル級観察艇の残骸付近にいる「シンギングウェイ」に話しかけよう。			無窮の翼、現世に飛翔せん							
シンギングウェイや異邦の詩人と話し、バハムートの秘めた竜詩に形を与えることになった。闇の揺り籠付近の「指定地点」で、「無窮の魔笛」を使おう。			シンギングウェイや異邦の詩人と話し、バハムートの秘めた竜詩に形を与えることになった。闇の揺り籠付近の「指定地点」で、「無窮の魔笛」を使おう。			無窮の翼、現世に飛翔せん							
「無窮の魔笛」を吹き鳴らし、無窮の翼バハムート・アポクリファが現出した。バハムート・アポクリファは冒険者を主と認め、ともに数多の空を翔けようとしている。再び魔笛を吹き鳴らし、新たな世界、新たな未来へ向けて飛翔していこう。			「無窮の魔笛」を吹き鳴らし、無窮の翼バハムート・アポクリファが現出した。バハムート・アポクリファは冒険者を主と認め、ともに数多の空を翔けようとしている。再び魔笛を吹き鳴らし、新たな世界、新たな未来へ向けて飛翔していこう。			無窮の翼、現世に飛翔せん							
涙の入江でシンギングウェイと話す			涙の入江でシンギングウェイと話す			無窮の翼、現世に飛翔せん							
苦悶の入江でエーテル波の発信源を探しニンジン型増幅装置を使う			苦悶の入江でエーテル波の発信源を探しニンジン型増幅装置を使う			無窮の翼、現世に飛翔せん							
シンギングウェイと話す			シンギングウェイと話す			無窮の翼、現世に飛翔せん							
指定地点で無窮の魔笛を使う			指定地点で無窮の魔笛を使う			無窮の翼、現世に飛翔せん							
あっ、Forename！会えてよかった！ちょっと頼み事があって、探してたんだよ！			あっ、Forename！会えてよかった！ちょっと頼み事があって、探してたんだよ！			無窮の翼、現世に飛翔せん							
実は最近、オレが担当する月の大気維持システムの計器が、妙なエーテル波を受信し続けててさ。その調査に協力してほしいんだ！			実は最近、オレが担当する月の大気維持システムの計器が、妙なエーテル波を受信し続けててさ。その調査に協力してほしいんだ！			無窮の翼、現世に飛翔せん							
嘆きの海にある「ヘイムダル級観察艇の残骸」って、わかるかな。発信源はそのあたりなんだけど、あれって、かつてアーテリスで栄えたっていうアラグ文明の船だろ？			嘆きの海にある「ヘイムダル級観察艇の残骸」って、わかるかな。発信源はそのあたりなんだけど、あれって、かつてアーテリスで栄えたっていうアラグ文明の船だろ？			無窮の翼、現世に飛翔せん							
変なものが眠ってても怖いしさ。数々のアラグの遺跡を探索してきたお前に、ぜひ同行してもらいたいんだよ……な、お願い！			変なものが眠ってても怖いしさ。数々のアラグの遺跡を探索してきたお前に、ぜひ同行してもらいたいんだよ……な、お願い！			無窮の翼、現世に飛翔せん							
引き受けてくれるんだな、ありがとう！それじゃ、もうひとり協力を頼んでる人がいるから、さっそく呼んでくるよ！			引き受けてくれるんだな、ありがとう！それじゃ、もうひとり協力を頼んでる人がいるから、さっそく呼んでくるよ！			無窮の翼、現世に飛翔せん							
やあ、君とともに調査に赴けるなんて、実に心が躍る。道中よろしく頼むよ。			やあ、君とともに調査に赴けるなんて、実に心が躍る。道中よろしく頼むよ。			無窮の翼、現世に飛翔せん							
Forenameも知り合いなんだよな、シャーレアン留学中に仲良くなった、異邦の詩人さんだよ。今回は、この人にも同行を頼んでるんだ。			Forenameも知り合いなんだよな、シャーレアン留学中に仲良くなった、異邦の詩人さんだよ。今回は、この人にも同行を頼んでるんだ。			無窮の翼、現世に飛翔せん							
彼の話では、問題のエーテル波には独特のリズムがあるらしい。そう、まるで詩歌のようにね……。			彼の話では、問題のエーテル波には独特のリズムがあるらしい。そう、まるで詩歌のようにね……。			無窮の翼、現世に飛翔せん							
そうそう、だからアーテリスの詩や唄に詳しい詩人さんに、見解を聞いてみようと思ったんだよ。			そうそう、だからアーテリスの詩や唄に詳しい詩人さんに、見解を聞いてみようと思ったんだよ。			無窮の翼、現世に飛翔せん							
ヘイムダル級観察艇は、もともと衛星ダラガブ……つまりバハムートを監視する目的で月軌道に配置されたんだ。そんな船が奏でる詩歌だなんて、本当に興味深い。			ヘイムダル級観察艇は、もともと衛星ダラガブ……つまりバハムートを監視する目的で月軌道に配置されたんだ。そんな船が奏でる詩歌だなんて、本当に興味深い。			無窮の翼、現世に飛翔せん							
何より、月へ赴けるというのが楽しみでね。君にも同行を呼びかけるつもりと聞いて、ふたつ返事で引き受けたというわけさ。			何より、月へ赴けるというのが楽しみでね。君にも同行を呼びかけるつもりと聞いて、ふたつ返事で引き受けたというわけさ。			無窮の翼、現世に飛翔せん							
そう言ってもらえると嬉しいぜ！なんにせよ、これで臨時の調査隊結成だ。準備ができしだい、嘆きの海にある「涙の入江」に向かおう！			そう言ってもらえると嬉しいぜ！なんにせよ、これで臨時の調査隊結成だ。準備ができしだい、嘆きの海にある「涙の入江」に向かおう！			無窮の翼、現世に飛翔せん							
噂には聞いていたが、これが日々見上げていた白き月の正体か……地表の無機質さが、荘厳にさえ感じられるようだ。そしてあれが、終末を乗り越えた僕らの星……言葉にならないよ。			噂には聞いていたが、これが日々見上げていた白き月の正体か……地表の無機質さが、荘厳にさえ感じられるようだ。そしてあれが、終末を乗り越えた僕らの星……言葉にならないよ。			無窮の翼、現世に飛翔せん							
おっ、来たな！それじゃあ現地へ向かう前に、調査の詳細を説明しておくよ。			おっ、来たな！それじゃあ現地へ向かう前に、調査の詳細を説明しておくよ。			無窮の翼、現世に飛翔せん							
Forenameにやってほしいのは、ズバリ、解析に必要となる装置の設置だ。はい、これ持って！			Forenameにやってほしいのは、ズバリ、解析に必要となる装置の設置だ。はい、これ持って！			無窮の翼、現世に飛翔せん							
例のエーテル波は、出力が安定していなくてさ。発信源の近くにそいつを設置することで、波形を増幅して、より詳細な解析ができるようにするんだ。			例のエーテル波は、出力が安定していなくてさ。発信源の近くにそいつを設置することで、波形を増幅して、より詳細な解析ができるようにするんだ。			無窮の翼、現世に飛翔せん							
ってわけで、観察艇の周辺で、それっぽい場所を調べてみて！発信源に近づければ装置が反応するはずだから、そのまま置いてきてくれればいい。			ってわけで、観察艇の周辺で、それっぽい場所を調べてみて！発信源に近づければ装置が反応するはずだから、そのまま置いてきてくれればいい。			無窮の翼、現世に飛翔せん							
その間、オレは解析用サポーターの準備をしつつ、観察艇本体から情報を得られないか、詩人さんと試してみるよ。			その間、オレは解析用サポーターの準備をしつつ、観察艇本体から情報を得られないか、詩人さんと試してみるよ。			無窮の翼、現世に飛翔せん							
オレたちはヘイムダル級観察艇の残骸の近くにいるから、装置の設置が終わったら声をかけて！じゃ、よろしくなー！			オレたちはヘイムダル級観察艇の残骸の近くにいるから、装置の設置が終わったら声をかけて！じゃ、よろしくなー！			無窮の翼、現世に飛翔せん							
エーテル波の発信源は、このあたりにあるはずだよ。見つけたら、その場に装置を置いてきてくれよな！			エーテル波の発信源は、このあたりにあるはずだよ。見つけたら、その場に装置を置いてきてくれよな！			無窮の翼、現世に飛翔せん							
観察艇の本体から、興味深い情報が得られそうだ。噂には聞いていたが、レポリットの技術はすごいものだね……。			観察艇の本体から、興味深い情報が得られそうだ。噂には聞いていたが、レポリットの技術はすごいものだね……。			無窮の翼、現世に飛翔せん							
解析対象ノ、受信待チ。ブピー。			解析対象ノ、受信待チ。ブピー。			無窮の翼、現世に飛翔せん							
推進機関の部品だろうか、建造から5000年もの月日が流れてなお、淡い輝きを放っている。装置に反応はない……エーテル波の発信源ではなさそうだ。			推進機関の部品だろうか、建造から5000年もの月日が流れてなお、淡い輝きを放っている。装置に反応はない……エーテル波の発信源ではなさそうだ。			無窮の翼、現世に飛翔せん							
激しい破壊の結果か、外壁がごっそりと剥がれ落ちている……素材の劣化がほぼないあたりに、アラグの技術水準がうかがえた。装置に反応はない……エーテル波の発信源ではなさそうだ。			激しい破壊の結果か、外壁がごっそりと剥がれ落ちている……素材の劣化がほぼないあたりに、アラグの技術水準がうかがえた。装置に反応はない……エーテル波の発信源ではなさそうだ。			無窮の翼、現世に飛翔せん							
ヘイムダル級観察艇の本体表面に、明滅中の部品を見つけた。ニンジン型増幅装置が反応している……どうやら、ここがエーテル波の発信源らしい。			ヘイムダル級観察艇の本体表面に、明滅中の部品を見つけた。ニンジン型増幅装置が反応している……どうやら、ここがエーテル波の発信源らしい。			無窮の翼、現世に飛翔せん							
ニンジン型増幅装置を、その場に設置した。「シンギングウェイ」に声をかけて報告しよう。			ニンジン型増幅装置を、その場に設置した。「シンギングウェイ」に声をかけて報告しよう。			無窮の翼、現世に飛翔せん							
