プラ・エンニ茸窟のスール＝オールは、グランソンが出した答えを聞きたいようだ。			プラ・エンニ茸窟のスール＝オールは、グランソンが出した答えを聞きたいようだ。			いつか君が言った言葉							
視界の端にミリンダの姿を確認すると、彼女もオレに気づいて、こちらに向かって走り出した。			視界の端にミリンダの姿を確認すると、彼女もオレに気づいて、こちらに向かって走り出した。			あの忘れえぬ日々							
だが、ミリンダはオレの目の前で化け物へと変えられた。			だが、ミリンダはオレの目の前で化け物へと変えられた。			あの忘れえぬ日々							
ディカイオシュネーは、ミリンダが落とした「双頭狼の牙」を拾い上げると、罪喰い化した連中を連れて、どこかへと消え去った。			ディカイオシュネーは、ミリンダが落とした「双頭狼の牙」を拾い上げると、罪喰い化した連中を連れて、どこかへと消え去った。			あの忘れえぬ日々							
ミリンダは、ディカイオシュネーとともに行くわけでもなく、罪喰いの姿のまま、オレを見下ろすように立ち尽くしていた。			ミリンダは、ディカイオシュネーとともに行くわけでもなく、罪喰いの姿のまま、オレを見下ろすように立ち尽くしていた。			あの忘れえぬ日々							
まるで……「私を殺してくれ」と言っているかのようにな……。			まるで……「私を殺してくれ」と言っているかのようにな……。			あの忘れえぬ日々							
オレは背中の剣に手をかけながら、ミリンダと過ごした日々を思い返していた。			オレは背中の剣に手をかけながら、ミリンダと過ごした日々を思い返していた。			あの忘れえぬ日々							
だらしのないオレを、叱ってくれたミリンダ。猟で体の冷えたオレを、温かなスープで迎えてくれたミリンダ。くだらないオレの冗談に、笑顔を向けてくれたミリンダ。			だらしのないオレを、叱ってくれたミリンダ。猟で体の冷えたオレを、温かなスープで迎えてくれたミリンダ。くだらないオレの冗談に、笑顔を向けてくれたミリンダ。			あの忘れえぬ日々							
オレは、そんなミリンダを……この手で殺した。			オレは、そんなミリンダを……この手で殺した。			あの忘れえぬ日々							
真っ白な亡骸と化したミリンダを前に、オレは復讐を誓った。ブランデン、ディカイオシュネー……名前なんてどうでもいい。ミリンダを奪ったあの野郎だけは、オレがこの手で殺してやる……。			真っ白な亡骸と化したミリンダを前に、オレは復讐を誓った。ブランデン、ディカイオシュネー……名前なんてどうでもいい。ミリンダを奪ったあの野郎だけは、オレがこの手で殺してやる……。			あの忘れえぬ日々							
オレの顔の傷は、あの野郎への復讐心が途切れないように自ら刻んだものでね。傷の疼きだけが、オレに生きる目的を思い起こさせてくれるのさ。			オレの顔の傷は、あの野郎への復讐心が途切れないように自ら刻んだものでね。傷の疼きだけが、オレに生きる目的を思い起こさせてくれるのさ。			あの忘れえぬ日々							
おっと、辛気くさい話に付き合わせちまったな。だが、オレがあの野郎を追う理由はわかったはずだ。そういうことだから、悪いけど付き合ってくれるかい？			おっと、辛気くさい話に付き合わせちまったな。だが、オレがあの野郎を追う理由はわかったはずだ。そういうことだから、悪いけど付き合ってくれるかい？			あの忘れえぬ日々							
ありがとよ、相棒。オレはこの村に残って、引き続きあの野郎の行方を調べてみるぜ。少しの間、別行動といこう。			ありがとよ、相棒。オレはこの村に残って、引き続きあの野郎の行方を調べてみるぜ。少しの間、別行動といこう。			あの忘れえぬ日々							
モルド・スークのグランソンは、冒険者に伝えたいことがあるようだ。			モルド・スークのグランソンは、冒険者に伝えたいことがあるようだ。			ブランデンとソールディア							
グランソンと話した。ディカイオシュネーに罪喰いへと変えられてしまった人物の家族から、首飾りについて話を聞いてきたようだ。一年前、イル・メグに入り込んだスカベンジャーたちは、フッブート王国に伝わる三種の国宝のうち、「双頭狼の牙」と「双頭狼の眼」を持ち出したという。しかし、命がけで持ち出したふたつの宝はディカイオシュネーの手に渡り、関わった者たちは悲惨な末路をたどることとなった。グランソンは、ディカイオシュネーの足取りを追うために、未だイル・メグに眠る最後の宝である「双頭狼の爪」と呼ばれる指輪を入手しようと考えているようだ。イル・メグのリダ・ラーンにいる「グランソン」と話そう。			グランソンと話した。ディカイオシュネーに罪喰いへと変えられてしまった人物の家族から、首飾りについて話を聞いてきたようだ。一年前、イル・メグに入り込んだスカベンジャーたちは、フッブート王国に伝わる三種の国宝のうち、「双頭狼の牙」と「双頭狼の眼」を持ち出したという。しかし、命がけで持ち出したふたつの宝はディカイオシュネーの手に渡り、関わった者たちは悲惨な末路をたどることとなった。グランソンは、ディカイオシュネーの足取りを追うために、未だイル・メグに眠る最後の宝である「双頭狼の爪」と呼ばれる指輪を入手しようと考えているようだ。イル・メグのリダ・ラーンにいる「グランソン」と話そう。			ブランデンとソールディア							
グランソンと話した。プラ・エンニ茸窟のン・モゥ族から、双頭狼の爪の情報を集めよう。			グランソンと話した。プラ・エンニ茸窟のン・モゥ族から、双頭狼の爪の情報を集めよう。			ブランデンとソールディア							
プラ・エンニ茸窟のン・モゥ族から、双頭狼の爪の情報を集めた。「グランソン」と話そう。			プラ・エンニ茸窟のン・モゥ族から、双頭狼の爪の情報を集めた。「グランソン」と話そう。			ブランデンとソールディア							
グランソンと話した。プラ・エンニ茸窟の「スール＝オール」と話そう。			グランソンと話した。プラ・エンニ茸窟の「スール＝オール」と話そう。			ブランデンとソールディア							
スール＝オールと話した。スール＝オールは、ン・モゥ族でありながら、かつてフッブート王国に仕えていたようだ。そこでは、「光の戦士」と呼ばれた英雄のひとりであるブランデンや、フッブート王国の王女のソールディアとともに、人が魔物化する事件を追っていたという。スール＝オールから、双頭狼の爪の情報を聞き出すために、対価を支払うことになった。フッブーテンブルクの指定地点で見渡して、現れた魔物を討伐しよう。			スール＝オールと話した。スール＝オールは、ン・モゥ族でありながら、かつてフッブート王国に仕えていたようだ。そこでは、「光の戦士」と呼ばれた英雄のひとりであるブランデンや、フッブート王国の王女のソールディアとともに、人が魔物化する事件を追っていたという。スール＝オールから、双頭狼の爪の情報を聞き出すために、対価を支払うことになった。フッブーテンブルクの指定地点で見渡して、現れた魔物を討伐しよう。			ブランデンとソールディア							
指定地点で見渡して、現れた魔物を討伐した。プラ・エンニ茸窟の「スール＝オール」と話そう。			指定地点で見渡して、現れた魔物を討伐した。プラ・エンニ茸窟の「スール＝オール」と話そう。			ブランデンとソールディア							
スール＝オールと話した。グランソンが対価の支払いを終えるまで、しばらく待とう。※いずれかのTANKジョブのレベルが78以上になると、プラ・エンニ茸窟のスール＝オールから次のTANKロールクエストを受注することができます。			スール＝オールと話した。グランソンが対価の支払いを終えるまで、しばらく待とう。※いずれかのTANKジョブのレベルが78以上になると、プラ・エンニ茸窟のスール＝オールから次のTANKロールクエストを受注することができます。			ブランデンとソールディア							
リダ・ラーンのグランソンと話す			リダ・ラーンのグランソンと話す			ブランデンとソールディア							
プラ・エンニ茸窟で情報を集める			プラ・エンニ茸窟で情報を集める			ブランデンとソールディア							
グランソンと話す			グランソンと話す			ブランデンとソールディア							
スール＝オールと話す			スール＝オールと話す			ブランデンとソールディア							
指定地点で見渡して魔物を討伐			指定地点で見渡して魔物を討伐			ブランデンとソールディア							
スール＝オールと話す			スール＝オールと話す			ブランデンとソールディア							
本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「仕事には対価を」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「仕事には対価を」を完了する必要があります。			ブランデンとソールディア							
よう、相棒。			よう、相棒。			ブランデンとソールディア							
オレはあの後、件の首飾りを持っていた狩人の奥さんに会って、事の次第を報告してきた。			オレはあの後、件の首飾りを持っていた狩人の奥さんに会って、事の次第を報告してきた。			ブランデンとソールディア							
夫の死を知った彼女は、取り乱しつつも、首飾りについて知る限りのことを教えてくれたよ。			夫の死を知った彼女は、取り乱しつつも、首飾りについて知る限りのことを教えてくれたよ。			ブランデンとソールディア							
一年程前……命知らずのスカベンジャーたちが、妖精郷、イル・メグに向かったそうだ。			一年程前……命知らずのスカベンジャーたちが、妖精郷、イル・メグに向かったそうだ。			ブランデンとソールディア							
目的は、フッブート王国の遺産……手付かずの廃墟から、お宝を持ち帰ろうって話さ。そして、参加者のほとんどが妖精に襲われて死んじまった。			目的は、フッブート王国の遺産……手付かずの廃墟から、お宝を持ち帰ろうって話さ。そして、参加者のほとんどが妖精に襲われて死んじまった。			ブランデンとソールディア							
だが、一部の幸運な生き残りたちは、フッブート王国に伝わる三種の国宝のうち、二種を持ち帰った。これこそ、例の「腕輪」と「首飾り」さ。			だが、一部の幸運な生き残りたちは、フッブート王国に伝わる三種の国宝のうち、二種を持ち帰った。これこそ、例の「腕輪」と「首飾り」さ。			ブランデンとソールディア							
腕輪……つまり「双頭狼の牙」を手に入れた者は、金欲しさにユールモアの古物商の男に売却したらしい。おそらく、相棒が会った男のことだろう。			腕輪……つまり「双頭狼の牙」を手に入れた者は、金欲しさにユールモアの古物商の男に売却したらしい。おそらく、相棒が会った男のことだろう。			ブランデンとソールディア							
「双頭狼の牙」については、アンタも知っての通り、修復のためにライト村のミリンダに預けられ、襲撃を仕掛けてきたディカイオシュネーに奪われてしまった。			「双頭狼の牙」については、アンタも知っての通り、修復のためにライト村のミリンダに預けられ、襲撃を仕掛けてきたディカイオシュネーに奪われてしまった。			ブランデンとソールディア							
一方、首飾りの「双頭狼の眼」を手に入れた男は、いざという時に売却しようと肌身離さず所持していたが、腕輪同様、あの野郎に奪われてしまった。			一方、首飾りの「双頭狼の眼」を手に入れた男は、いざという時に売却しようと肌身離さず所持していたが、腕輪同様、あの野郎に奪われてしまった。			ブランデンとソールディア							
以上が、オレが彼女から聞いた話だ。			以上が、オレが彼女から聞いた話だ。			ブランデンとソールディア							
これが事実ならば、ディカイオシュネーの目的は、フッブート王国の国宝を入手すること、ってことになる……。			これが事実ならば、ディカイオシュネーの目的は、フッブート王国の国宝を入手すること、ってことになる……。			ブランデンとソールディア							
それなら、残った最後の国宝……「双頭狼の爪」と呼ばれる指輪を探して入手すれば、あの野郎をオレたちの元へ招待できるかもしれない、ってわけだ。			それなら、残った最後の国宝……「双頭狼の爪」と呼ばれる指輪を探して入手すれば、あの野郎をオレたちの元へ招待できるかもしれない、ってわけだ。			ブランデンとソールディア							
だが、イル・メグは危険な妖精の縄張りだ。スカベンジャーたちが、持ち帰ることのできなかった品を、どうやれば、安全に探し出せるのか……。			だが、イル・メグは危険な妖精の縄張りだ。スカベンジャーたちが、持ち帰ることのできなかった品を、どうやれば、安全に探し出せるのか……。			ブランデンとソールディア							
何と答える？			何と答える？			ブランデンとソールディア							
イル・メグに行ったことがある			イル・メグに行ったことがある			ブランデンとソールディア							
妖精の知り合いがいる			妖精の知り合いがいる			ブランデンとソールディア							
そいつは本当かい？なら、妖精たちに認められたってことじゃないか。			そいつは本当かい？なら、妖精たちに認められたってことじゃないか。			ブランデンとソールディア							
そいつは本当かい？妖精たちに認められたアンタが一緒なら、話が早いぜ。			そいつは本当かい？妖精たちに認められたアンタが一緒なら、話が早いぜ。			ブランデンとソールディア							
よし、それならオレたちがやるべきことはひとつだ。イル・メグに向かい、妖精たちから指輪について情報を集めよう。			よし、それならオレたちがやるべきことはひとつだ。イル・メグに向かい、妖精たちから指輪について情報を集めよう。			ブランデンとソールディア							
無事にここまでは来られたが……。さて、鬼が出るか蛇が出るか……いや、出るとすれば妖精か。			無事にここまでは来られたが……。さて、鬼が出るか蛇が出るか……いや、出るとすれば妖精か。			ブランデンとソールディア							
確か、妖精の中でもン・モゥ族は、フッブート王国の者たちとも関わりが深かったはずだ。連中の集落がどこにあるか、知っているか？			確か、妖精の中でもン・モゥ族は、フッブート王国の者たちとも関わりが深かったはずだ。連中の集落がどこにあるか、知っているか？			ブランデンとソールディア							
何と答える？			何と答える？			ブランデンとソールディア							
プラ・エンニ茸窟について話す			プラ・エンニ茸窟について話す			ブランデンとソールディア							
覚えていない			覚えていない			ブランデンとソールディア							
ここから北にある「プラ・エンニ茸窟」か……。了解だ、そこで情報を集めよう。			ここから北にある「プラ・エンニ茸窟」か……。了解だ、そこで情報を集めよう。			ブランデンとソールディア							
アンタだけが頼りなんだよ。頼む、思い出してくれ！			アンタだけが頼りなんだよ。頼む、思い出してくれ！			ブランデンとソールディア							
何か用かな？			何か用かな？			ブランデンとソールディア							
「双頭狼の爪」という指輪を探しているって？名前だけは聞いたことはあるが、どういった物かまでは知らないな。			「双頭狼の爪」という指輪を探しているって？名前だけは聞いたことはあるが、どういった物かまでは知らないな。			ブランデンとソールディア							
しかし、昔フッブート王国の王女に仕えていたという、「スール＝オール」なら、何か知っているかもしれないよ。変わり者の年寄りだから、話を聞いてくれるかはわからないけどね。			しかし、昔フッブート王国の王女に仕えていたという、「スール＝オール」なら、何か知っているかもしれないよ。変わり者の年寄りだから、話を聞いてくれるかはわからないけどね。			ブランデンとソールディア							
どうした、何か聞きたいことがありそうな顔をして。			どうした、何か聞きたいことがありそうな顔をして。			ブランデンとソールディア							
フッブート王国の国宝の指輪を知らんか、と？うむ、知っておるぞ。確か「双頭狼の爪」と言ったかのう？			フッブート王国の国宝の指輪を知らんか、と？うむ、知っておるぞ。確か「双頭狼の爪」と言ったかのう？			ブランデンとソールディア							
じゃが、フッブート王国はとうの昔に滅んだ国。その指輪が現在どこにあるのかまでは知らぬよ。			じゃが、フッブート王国はとうの昔に滅んだ国。その指輪が現在どこにあるのかまでは知らぬよ。			ブランデンとソールディア							
こいつらがン・モゥ族か……犬なのか人なのかよくわからん見た目をしているな……。ともかく、「双頭狼の爪」について情報を集めるとしよう。			こいつらがン・モゥ族か……犬なのか人なのかよくわからん見た目をしているな……。ともかく、「双頭狼の爪」について情報を集めるとしよう。			ブランデンとソールディア							
昔フッブート王国の王女に仕えていたという、「スール＝オール」なら、何か知っているかもしれないよ。変わり者の年寄りだから、話を聞いてくれるかはわからないけどね。			昔フッブート王国の王女に仕えていたという、「スール＝オール」なら、何か知っているかもしれないよ。変わり者の年寄りだから、話を聞いてくれるかはわからないけどね。			ブランデンとソールディア							
フッブート王国はとうの昔に滅んだ国。その指輪が現在どこにあるのかまでは知らぬよ。			フッブート王国はとうの昔に滅んだ国。その指輪が現在どこにあるのかまでは知らぬよ。			ブランデンとソールディア							
よう、相棒。「双頭狼の爪」について知ってそうなヤツはいたかい？			よう、相棒。「双頭狼の爪」について知ってそうなヤツはいたかい？			ブランデンとソールディア							
へえ、「スール＝オール」というン・モゥ族は、フッブート王国の王女に仕えていたことがあるのか……。よし、そいつから話を聞いてみようぜ。			へえ、「スール＝オール」というン・モゥ族は、フッブート王国の王女に仕えていたことがあるのか……。よし、そいつから話を聞いてみようぜ。			ブランデンとソールディア							
何じゃ、おぬしらは？ワシに何か用か？			何じゃ、おぬしらは？ワシに何か用か？			ブランデンとソールディア							
おぬしも聞いておろうが、先日、5人目の犠牲者が出た。魔物化したのは、まだ成人にも満たない娘子だったそうじゃ。			おぬしも聞いておろうが、先日、5人目の犠牲者が出た。魔物化したのは、まだ成人にも満たない娘子だったそうじゃ。			ブランデンとソールディア							
突然、フッブート王国の民たちが、魔物に変貌して人を襲い出す一連の事件……原因はわかっていないのか？			突然、フッブート王国の民たちが、魔物に変貌して人を襲い出す一連の事件……原因はわかっていないのか？			ブランデンとソールディア							
魔物化した亡骸を調べたところ、魔力の残滓を感じた。何者かが魔法を悪用して起こしているのは間違いない……が、犯人の特定までは至っておらん。			魔物化した亡骸を調べたところ、魔力の残滓を感じた。何者かが魔法を悪用して起こしているのは間違いない……が、犯人の特定までは至っておらん。			ブランデンとソールディア							
だが、我ら宮廷魔道士が必ず見つけ出してみせよう。それまでの間、騎士である貴様には、魔物化した者の始末を頼みたい。			だが、我ら宮廷魔道士が必ず見つけ出してみせよう。それまでの間、騎士である貴様には、魔物化した者の始末を頼みたい。			ブランデンとソールディア							
元は、人であった相手を討てと！？本当に、元に戻すことはできないのか……？			元は、人であった相手を討てと！？本当に、元に戻すことはできないのか……？			ブランデンとソールディア							
気持ちはわかるが、致し方あるまい。王国騎士団の理念は、「弱き者の為の正義」だったな。民を危険から守るためには、決断せねばならぬこともあろう。			気持ちはわかるが、致し方あるまい。王国騎士団の理念は、「弱き者の為の正義」だったな。民を危険から守るためには、決断せねばならぬこともあろう。			ブランデンとソールディア							
それに、万が一にも王族たちの身に危険が及ぶようなことがあれば、騎士であるおぬしの立場も危うくなるのじゃぞ。			それに、万が一にも王族たちの身に危険が及ぶようなことがあれば、騎士であるおぬしの立場も危うくなるのじゃぞ。			ブランデンとソールディア							
(-？？？？-)要らぬ心配だな！			(-？？？？-)要らぬ心配だな！			ブランデンとソールディア							
此度の事件は、フッブート王国第一王女である、このソールディアが手ずから解決してみせよう！			此度の事件は、フッブート王国第一王女である、このソールディアが手ずから解決してみせよう！			ブランデンとソールディア							
何をおっしゃる、姫様！そのような危険なことはおやめくだされ！			何をおっしゃる、姫様！そのような危険なことはおやめくだされ！			ブランデンとソールディア							
ほう、民ならば危険に晒されても良いと申すのか？彼らが奪われていく様を、私だけ安全な場所で見ていろと？			ほう、民ならば危険に晒されても良いと申すのか？彼らが奪われていく様を、私だけ安全な場所で見ていろと？			ブランデンとソールディア							
し、しかし……。			し、しかし……。			ブランデンとソールディア							
お前がブランデンだな。騎士団長からは、新米の割に腕が立つと聞いている。私の剣となり、捜査の補助にあたれ。			お前がブランデンだな。騎士団長からは、新米の割に腕が立つと聞いている。私の剣となり、捜査の補助にあたれ。			ブランデンとソールディア							
な、なんですと！？			な、なんですと！？			ブランデンとソールディア							
もうこれ以上、無辜の民を奪われたくはない。私は、彼らを守るためなら命すら懸けよう。			もうこれ以上、無辜の民を奪われたくはない。私は、彼らを守るためなら命すら懸けよう。			ブランデンとソールディア							
ブランデン、畏れるな……正義を成すことを！			ブランデン、畏れるな……正義を成すことを！			ブランデンとソールディア							
ソールディア様……仰せのままに。我が剣に誓って、必ずあなたと民をお守りいたします。			ソールディア様……仰せのままに。我が剣に誓って、必ずあなたと民をお守りいたします。			ブランデンとソールディア							
ありがとう、ブランデン。期待しているよ。			ありがとう、ブランデン。期待しているよ。			ブランデンとソールディア							
では、早速捜査に着手するとしよう。とにもかくにも、まずは情報を集めなければな！			では、早速捜査に着手するとしよう。とにもかくにも、まずは情報を集めなければな！			ブランデンとソールディア							
ソ……ソールディア様！お待ちくださいッ！			ソ……ソールディア様！お待ちくださいッ！			ブランデンとソールディア							
おてんば姫め……言い出したら聞かんのじゃから。頼むぞ、ブランデン。			おてんば姫め……言い出したら聞かんのじゃから。頼むぞ、ブランデン。			ブランデンとソールディア							
おいおい、大丈夫か？			おいおい、大丈夫か？			ブランデンとソールディア							
会って早々、頭を抱え込みおって……。いったい何じゃというのじゃ？			会って早々、頭を抱え込みおって……。いったい何じゃというのじゃ？			ブランデンとソールディア							
なぜワシがソールディア姫に仕えていたことを……？まさか、おぬし……ブランデンと同じ、過去を視る力を持っておるのか！			なぜワシがソールディア姫に仕えていたことを……？まさか、おぬし……ブランデンと同じ、過去を視る力を持っておるのか！			ブランデンとソールディア							
……何だって？			……何だって？			ブランデンとソールディア							
ふむ、少し興味が沸いてきたぞ。おぬしらの用件について話してみるがよい。			ふむ、少し興味が沸いてきたぞ。おぬしらの用件について話してみるがよい。			ブランデンとソールディア							
「双頭狼の爪」について教えてくれ、じゃと？ふうむ……我らン・モゥ族については知っておろう。頼みごとならば対価を払ってもらわねばな。			「双頭狼の爪」について教えてくれ、じゃと？ふうむ……我らン・モゥ族については知っておろう。頼みごとならば対価を払ってもらわねばな。			ブランデンとソールディア							
ワシらが水場として利用しているフッブーテンブルクの河に、かれこれ長い間棲み着いている魔物がおってな。そやつを倒してきてもらいたい。			ワシらが水場として利用しているフッブーテンブルクの河に、かれこれ長い間棲み着いている魔物がおってな。そやつを倒してきてもらいたい。			ブランデンとソールディア							
その間、おぬしには別の仕事を与えよう。			その間、おぬしには別の仕事を与えよう。			ブランデンとソールディア							
どうやら、こいつが件の「スール＝オール」らしいな。早く話を聞いてみようぜ。			どうやら、こいつが件の「スール＝オール」らしいな。早く話を聞いてみようぜ。			ブランデンとソールディア							
いろいろと聞きたいことはあるが、まずはスール＝オールのお使いを終わらせてからだ。			いろいろと聞きたいことはあるが、まずはスール＝オールのお使いを終わらせてからだ。			ブランデンとソールディア							
ワシらが水場として利用しているフッブーテンブルクの河に、かれこれ長い間棲み着いている魔物がおってな。そやつを倒してきてもらいたい。			ワシらが水場として利用しているフッブーテンブルクの河に、かれこれ長い間棲み着いている魔物がおってな。そやつを倒してきてもらいたい。			ブランデンとソールディア							
水場の魔物を倒してきたのじゃな？			水場の魔物を倒してきたのじゃな？			ブランデンとソールディア							
そうか……。そやつは、おぬしが視た過去に起こった、魔物化事件の犠牲者……人の成れの果てじゃよ。			そうか……。そやつは、おぬしが視た過去に起こった、魔物化事件の犠牲者……人の成れの果てじゃよ。			ブランデンとソールディア							
人が魔物に変異する現象か……。そいつは、罪喰い化とは違うものなのか？			人が魔物に変異する現象か……。そいつは、罪喰い化とは違うものなのか？			ブランデンとソールディア							
質問に答えるのは、ワシが与えた課題を終えてからじゃ。			質問に答えるのは、ワシが与えた課題を終えてからじゃ。			ブランデンとソールディア							
すでに縁を結んだForenameはともかく、おぬしの働きは「双頭狼の爪」について話す対価としては不十分。まだまだ働いてもらうぞい。			すでに縁を結んだForenameはともかく、おぬしの働きは「双頭狼の爪」について話す対価としては不十分。まだまだ働いてもらうぞい。			ブランデンとソールディア							
やれやれ。こっちは聞きたいことだらけだってのによ。スール＝オールにも……相棒、アンタにもな……。			やれやれ。こっちは聞きたいことだらけだってのによ。スール＝オールにも……相棒、アンタにもな……。			ブランデンとソールディア							
ともかく、こやつの対価の支払いが終わるまで待っておれ。それまでは何の問いにも答える気はない。			ともかく、こやつの対価の支払いが終わるまで待っておれ。それまでは何の問いにも答える気はない。			ブランデンとソールディア							
ライト村のグランソンは、冒険者を待っているようだ。			ライト村のグランソンは、冒険者を待っているようだ。			追憶せしは……							
グランソンと話した。グランソンは、ディカイオシュネーと双頭狼の牙の関係性について調べてもらいたいという。ユールモアのキャバレー・ビーハイヴにいる「古物商の男」と話そう。			グランソンと話した。グランソンは、ディカイオシュネーと双頭狼の牙の関係性について調べてもらいたいという。ユールモアのキャバレー・ビーハイヴにいる「古物商の男」と話そう。			追憶せしは……							
古物商の男と話した。双頭狼の牙は、光の氾濫で滅んだフッブート王国ゆかりの品だという。さらに、似た意匠の首飾りが、モルド・スークで売りに出されているという噂があるようだ。コルシア島のライト村にいる「グランソン」と話そう。			古物商の男と話した。双頭狼の牙は、光の氾濫で滅んだフッブート王国ゆかりの品だという。さらに、似た意匠の首飾りが、モルド・スークで売りに出されているという噂があるようだ。コルシア島のライト村にいる「グランソン」と話そう。			追憶せしは……							
グランソンと話した。アム・アレーンのモルド・スークに向かい、「グランソン」と話そう。			グランソンと話した。アム・アレーンのモルド・スークに向かい、「グランソン」と話そう。			追憶せしは……							
グランソンと話した。モルド・スークの住人たちから、首飾りの情報を集めよう。			グランソンと話した。モルド・スークの住人たちから、首飾りの情報を集めよう。			追憶せしは……							
モルド・スークの住人たちから、首飾りについての情報を集めた。モルド・スークの「グランソン」と話そう。			モルド・スークの住人たちから、首飾りについての情報を集めた。モルド・スークの「グランソン」と話そう。			追憶せしは……							
グランソンと話した。アム・アレーンのアンバーフィールドにある「指定地点」で見渡そう。			グランソンと話した。アム・アレーンのアンバーフィールドにある「指定地点」で見渡そう。			追憶せしは……							
「指定地点」で見渡して、首飾りを持つヒュム族のスカベンジャーを発見するも、ディカイオシュネーに先を越されてしまい、首飾りを持ち去られてしまった。罪喰いに変えられた人物を討伐しよう。			「指定地点」で見渡して、首飾りを持つヒュム族のスカベンジャーを発見するも、ディカイオシュネーに先を越されてしまい、首飾りを持ち去られてしまった。罪喰いに変えられた人物を討伐しよう。			追憶せしは……							
罪喰いを討伐した。アンバーフィールドの「グランソン」と話そう。			罪喰いを討伐した。アンバーフィールドの「グランソン」と話そう。			追憶せしは……							
グランソンと話した。モルド・スークに戻り、「グランソン」と再度話そう。			グランソンと話した。モルド・スークに戻り、「グランソン」と再度話そう。			追憶せしは……							
グランソンと話した。首飾りを奪われたことで、ディカイオシュネーの追跡は振り出しに戻ってしまった。グランソンは、罪喰いにされた人物の家族に報告を済ませてから、再びディカイオシュネーの足取りを追うつもりのようだ。※いずれかのTANKジョブのレベルが76以上になると、モルド・スークのグランソンから次のTANKロールクエストを受注することができます。			グランソンと話した。首飾りを奪われたことで、ディカイオシュネーの追跡は振り出しに戻ってしまった。グランソンは、罪喰いにされた人物の家族に報告を済ませてから、再びディカイオシュネーの足取りを追うつもりのようだ。※いずれかのTANKジョブのレベルが76以上になると、モルド・スークのグランソンから次のTANKロールクエストを受注することができます。			追憶せしは……							
キャバレー・ビーハイヴの古物商の男と話す			キャバレー・ビーハイヴの古物商の男と話す			追憶せしは……							
ライト村のグランソンと話す			ライト村のグランソンと話す			追憶せしは……							
モルド・スークのグランソンと話す			モルド・スークのグランソンと話す			追憶せしは……							
モルド・スークで情報を集める			モルド・スークで情報を集める			追憶せしは……							
グランソンと話す			グランソンと話す			追憶せしは……							
指定地点で見渡す			指定地点で見渡す			追憶せしは……							
罪喰いを討伐			罪喰いを討伐			追憶せしは……							
グランソンと話す			グランソンと話す			追憶せしは……							
グランソンと再度話す			グランソンと再度話す			追憶せしは……							
よう、待ってたぜ、相棒。			よう、待ってたぜ、相棒。			追憶せしは……							
さて、結果から言うと、残念だが未だ有益な情報は得られていない。この近辺にディカイオシュネーが現れたという情報もなく、完全に足取りが途絶えたわけだが……			さて、結果から言うと、残念だが未だ有益な情報は得られていない。この近辺にディカイオシュネーが現れたという情報もなく、完全に足取りが途絶えたわけだが……			追憶せしは……							
ひとつ気になっていることがあってな。それは、あの野郎が「双頭狼の牙」を持ち去ったことだ。			ひとつ気になっていることがあってな。それは、あの野郎が「双頭狼の牙」を持ち去ったことだ。			追憶せしは……							
そもそも罪喰いとは、意識を持たず本能で動く虫のようなもので、物に執着することなど考えられない。にも関わらず、あの野郎は腕輪を持ち去った、ということは……。			そもそも罪喰いとは、意識を持たず本能で動く虫のようなもので、物に執着することなど考えられない。にも関わらず、あの野郎は腕輪を持ち去った、ということは……。			追憶せしは……							
ディカイオシュネーを惹きつける何かが、「双頭狼の牙」にあったのか……あるいは、あの野郎が特別なだけなのか……。			ディカイオシュネーを惹きつける何かが、「双頭狼の牙」にあったのか……あるいは、あの野郎が特別なだけなのか……。			追憶せしは……							
そのことをハッキリさせるためにも、まずは「双頭狼の牙」がどういう曰く付きの物なのか調べたくてね。ミリンダに腕輪の修復を依頼した古物商の男から話を聞いてみたい。			そのことをハッキリさせるためにも、まずは「双頭狼の牙」がどういう曰く付きの物なのか調べたくてね。ミリンダに腕輪の修復を依頼した古物商の男から話を聞いてみたい。			追憶せしは……							
だが、オレは「双頭狼の牙」を紛失した経緯のことを、高価な腕輪目当ての狂言だと古物商の男に疑われていてな。ユールモアに出入りすることができないのさ。			だが、オレは「双頭狼の牙」を紛失した経緯のことを、高価な腕輪目当ての狂言だと古物商の男に疑われていてな。ユールモアに出入りすることができないのさ。			追憶せしは……							
ってことで、悪いが代わりに行ってもらえないか？件の男は、ユールモアの「キャバレー・ビーハイヴ」にいるらしい。何かわかったら、ここに戻ってきてくれ。			ってことで、悪いが代わりに行ってもらえないか？件の男は、ユールモアの「キャバレー・ビーハイヴ」にいるらしい。何かわかったら、ここに戻ってきてくれ。			追憶せしは……							
おや、私に何か用でも？			おや、私に何か用でも？			追憶せしは……							
「双頭狼の牙」について教えてほしい、と？			「双頭狼の牙」について教えてほしい、と？			追憶せしは……							
情報なら、いくらでもお伝えしましょう。それで手元に戻ってくるのなら、ね。			情報なら、いくらでもお伝えしましょう。それで手元に戻ってくるのなら、ね。			追憶せしは……							
