七賢人の庭のネムジジは、冒険者のことを待ち構えていたようだ。			七賢人の庭のネムジジは、冒険者のことを待ち構えていたようだ。			「パンデモニウム」への警告							
「エリディブス」は、すべてにおいて公平さを求められる座だ。テミスという、個人の感情は考慮されない……。それでも任せると言ってくれるのかい？			「エリディブス」は、すべてにおいて公平さを求められる座だ。テミスという、個人の感情は考慮されない……。それでも任せると言ってくれるのかい？			心まで寄生されし獄卒長							
たとえ、感情を排したとしても、お前が……テミスが、ずっとこの事態を見てきたことは変わらない。現状をよく知る者として、最善の手段を判じてくれるはずだ。			たとえ、感情を排したとしても、お前が……テミスが、ずっとこの事態を見てきたことは変わらない。現状をよく知る者として、最善の手段を判じてくれるはずだ。			心まで寄生されし獄卒長							
……では、調停者エリディブスとして告げよう。			……では、調停者エリディブスとして告げよう。			心まで寄生されし獄卒長							
現段階では、施設の破壊と、救出の続行の双方に利があり、いずれの可能性も、まだ失われてはいない。			現段階では、施設の破壊と、救出の続行の双方に利があり、いずれの可能性も、まだ失われてはいない。			心まで寄生されし獄卒長							
ならばまずは……これまでと同じく、創造生物を封印することで、「煉獄」以下の攻略を試みるべきだ。			ならばまずは……これまでと同じく、創造生物を封印することで、「煉獄」以下の攻略を試みるべきだ。			心まで寄生されし獄卒長							
あなたは、彼女彼の力やエリクトニオスの努力を知らない。まずはそれを実際に目にして、我々に監獄を平定することが、可能か否かを見極めてほしい。			あなたは、彼女彼の力やエリクトニオスの努力を知らない。まずはそれを実際に目にして、我々に監獄を平定することが、可能か否かを見極めてほしい。			心まで寄生されし獄卒長							
エリディブスの調停だというなら従うが……。お前たちの力が不足していると判断できたときには、パンデモニウムの破壊に、舵を切っても良いのだな？			エリディブスの調停だというなら従うが……。お前たちの力が不足していると判断できたときには、パンデモニウムの破壊に、舵を切っても良いのだな？			心まで寄生されし獄卒長							
そんなことはさせない。認めさせてやるよ、俺たちの力と決意を……。			そんなことはさせない。認めさせてやるよ、俺たちの力と決意を……。			心まで寄生されし獄卒長							
私がどれだけ手ほどきしようと、ろくに成長しなかった……。落ちこぼれだったお前が、言うようになったものだ。			私がどれだけ手ほどきしようと、ろくに成長しなかった……。落ちこぼれだったお前が、言うようになったものだ。			心まで寄生されし獄卒長							
落ちこぼれだとしても、決して諦められないものがある……！そんなこともわからないお前と、これ以上の会話は耐えられない。……俺は、少し頭を冷やしてくる。			落ちこぼれだとしても、決して諦められないものがある……！そんなこともわからないお前と、これ以上の会話は耐えられない。……俺は、少し頭を冷やしてくる。			心まで寄生されし獄卒長							
ずいぶんと気負っているようだな。このまま「煉獄」層へ挑むのはよろしくない。彼と会話をして、気を落ち着かせてやってくれないかい？			ずいぶんと気負っているようだな。このまま「煉獄」層へ挑むのはよろしくない。彼と会話をして、気を落ち着かせてやってくれないかい？			心まで寄生されし獄卒長							
……ひとりでは、会話もままならぬか。			……ひとりでは、会話もままならぬか。			心まで寄生されし獄卒長							
これまでの計画を続行するんだ。私もこれまで通り、「テミス」としてこの場にいようと思う。心持ちの話でしかないが……今はそのほうが嬉しいな。			これまでの計画を続行するんだ。私もこれまで通り、「テミス」としてこの場にいようと思う。心持ちの話でしかないが……今はそのほうが嬉しいな。			心まで寄生されし獄卒長							
……煉獄へ向かう前に礼を言わないとな。お前の意見のおかげで、パンデモニウムを破壊させずにすむかもしれない。			……煉獄へ向かう前に礼を言わないとな。お前の意見のおかげで、パンデモニウムを破壊させずにすむかもしれない。			心まで寄生されし獄卒長							
収監していた創造生物が暴れ始めたとき、獄卒たちはみな、パンデモニウムを元の状態に戻そうと必死だった。すぐに逃げ出したかった者もいただろうに……。			収監していた創造生物が暴れ始めたとき、獄卒たちはみな、パンデモニウムを元の状態に戻そうと必死だった。すぐに逃げ出したかった者もいただろうに……。			心まで寄生されし獄卒長							
中にいるみんなも、パンデモニウムの破壊なんて望んでいない。使命に忠実だった彼らを、必ず助け出して、俺たちが正しかったと証明するんだ……！			中にいるみんなも、パンデモニウムの破壊なんて望んでいない。使命に忠実だった彼らを、必ず助け出して、俺たちが正しかったと証明するんだ……！			心まで寄生されし獄卒長							
それにこのまま、ヘファイストスを消滅させてしまえば、「アテナの復活」という言葉の真意もわからなくなってしまう。			それにこのまま、ヘファイストスを消滅させてしまえば、「アテナの復活」という言葉の真意もわからなくなってしまう。			心まで寄生されし獄卒長							
俺だって、ヘファイストスがまともな奴だとは言わない。でも、その発言すべてが妄言だとも思えないんだ。			俺だって、ヘファイストスがまともな奴だとは言わない。でも、その発言すべてが妄言だとも思えないんだ。			心まで寄生されし獄卒長							
これまで母アテナの死については、職務中の事故ということ以外、なにも教えられてこなかった。周囲の人間も、まるで口止めされたかのように口を閉ざして……。			これまで母アテナの死については、職務中の事故ということ以外、なにも教えられてこなかった。周囲の人間も、まるで口止めされたかのように口を閉ざして……。			心まで寄生されし獄卒長							
ラハブレアが、母を直接殺していなかったとしても、今回と同じく、見捨てるような判断を下した可能性はあるだろう。俺は……その真相を知りたいんだ。			ラハブレアが、母を直接殺していなかったとしても、今回と同じく、見捨てるような判断を下した可能性はあるだろう。俺は……その真相を知りたいんだ。			心まで寄生されし獄卒長							
Forenameはどうだ？お前の知るラハブレアも、他人の命を顧みないような、非情な行動をとる男だったんだろう？			Forenameはどうだ？お前の知るラハブレアも、他人の命を顧みないような、非情な行動をとる男だったんだろう？			心まで寄生されし獄卒長							
何と言う？			何と言う？			心まで寄生されし獄卒長							
世界の裏で暗躍していた			世界の裏で暗躍していた			心まで寄生されし獄卒長							
仲間に憑依されたことがある			仲間に憑依されたことがある			心まで寄生されし獄卒長							
この時代の彼のことはわからない			この時代の彼のことはわからない			心まで寄生されし獄卒長							
人類の代表者である十四人委員会のメンバーなんだ。言いようによっては、世界の裏で暗躍しているとも言えるが……どうなんだ、その表現は？			人類の代表者である十四人委員会のメンバーなんだ。言いようによっては、世界の裏で暗躍しているとも言えるが……どうなんだ、その表現は？			心まで寄生されし獄卒長							
なんの目的で、そんなことをしたのか知らないが、人としての尊厳を踏みにじるような行為だな……！その仲間も、ずいぶんと屈辱だったろう。			なんの目的で、そんなことをしたのか知らないが、人としての尊厳を踏みにじるような行為だな……！その仲間も、ずいぶんと屈辱だったろう。			心まで寄生されし獄卒長							
以前に会ってから、かなりの年月が経ってるということか？ならば、改めて今のラハブレアを捉え直してほしい。奴が何を考え行動しているのか、お前の目で……。			以前に会ってから、かなりの年月が経ってるということか？ならば、改めて今のラハブレアを捉え直してほしい。奴が何を考え行動しているのか、お前の目で……。			心まで寄生されし獄卒長							
……ありがとう、お前の話を聞けたおかげで冷静になれたよ。怒りや焦りを抱いたまま反発していても、意味はないしな。			……ありがとう、お前の話を聞けたおかげで冷静になれたよ。怒りや焦りを抱いたまま反発していても、意味はないしな。			心まで寄生されし獄卒長							
俺とあいつの関係は、幼少の頃のまま止まっている。仲間を救うためにも、まずはラハブレアに、今の俺たちの実力を認めさせてやらないとな！			俺とあいつの関係は、幼少の頃のまま止まっている。仲間を救うためにも、まずはラハブレアに、今の俺たちの実力を認めさせてやらないとな！			心まで寄生されし獄卒長							
なんとしても、俺たちの手で煉獄の支配権を奪い返すんだ。だが、そのためには、この場で一番煉獄に詳しい人物……悔しいが、ラハブレアから情報を聞き出す必要がある。			なんとしても、俺たちの手で煉獄の支配権を奪い返すんだ。だが、そのためには、この場で一番煉獄に詳しい人物……悔しいが、ラハブレアから情報を聞き出す必要がある。			心まで寄生されし獄卒長							
ラハブレアは、お前に興味を抱いてるようだった。俺はあいにく歯牙にもかけられていないからな……。Forenameから、声をかけてみてくれないか？			ラハブレアは、お前に興味を抱いてるようだった。俺はあいにく歯牙にもかけられていないからな……。Forenameから、声をかけてみてくれないか？			心まで寄生されし獄卒長							
階層が違うと、仕事上、最低限の交流しかなくてな。あいにく俺は、煉獄の獄卒長のこともよく知らないんだ。ラハブレアから、情報を引き出してほしい。			階層が違うと、仕事上、最低限の交流しかなくてな。あいにく俺は、煉獄の獄卒長のこともよく知らないんだ。ラハブレアから、情報を引き出してほしい。			心まで寄生されし獄卒長							
エリクトニオスから、ずいぶん信頼されているらしい。それに、エリディブスから聞いたが、お前はどうやら、アゼムとも関係があるらしいな。			エリクトニオスから、ずいぶん信頼されているらしい。それに、エリディブスから聞いたが、お前はどうやら、アゼムとも関係があるらしいな。			心まで寄生されし獄卒長							
その奇妙なエーテル、誰かの使い魔というわけでもなさそうだ。もちろん、創造生物のイデアとも異なる……。これまでお前のような存在は見たことがない。			その奇妙なエーテル、誰かの使い魔というわけでもなさそうだ。もちろん、創造生物のイデアとも異なる……。これまでお前のような存在は見たことがない。			心まで寄生されし獄卒長							
この私でも創造不可能な存在まで出てくるとは……。まったく、アゼムが絡むと妙なことばかり起きる。			この私でも創造不可能な存在まで出てくるとは……。まったく、アゼムが絡むと妙なことばかり起きる。			心まで寄生されし獄卒長							
先代のアゼムもそうだったが、星全体のことを考えれば、捨てるべき感情や事象まで大事にする。その結果、勝手な行動ばかり……。			先代のアゼムもそうだったが、星全体のことを考えれば、捨てるべき感情や事象まで大事にする。その結果、勝手な行動ばかり……。			心まで寄生されし獄卒長							
エリディブス、先ほどのお前の言動もそうだ。最近、アゼムと行動していることが多いようだが、あまり奴から影響を受けるのは感心しないぞ……。			エリディブス、先ほどのお前の言動もそうだ。最近、アゼムと行動していることが多いようだが、あまり奴から影響を受けるのは感心しないぞ……。			心まで寄生されし獄卒長							
エメトセルクと同じようなことを言うんだな。自分の座に、真っ向から反するようなことをするつもりはないさ。			エメトセルクと同じようなことを言うんだな。自分の座に、真っ向から反するようなことをするつもりはないさ。			心まで寄生されし獄卒長							
先ほどの調停など、本当にエリディブスとして下したものか怪しいところだったが……まあいい、今は説教よりもやるべきことがある。			先ほどの調停など、本当にエリディブスとして下したものか怪しいところだったが……まあいい、今は説教よりもやるべきことがある。			心まで寄生されし獄卒長							
お前も、煉獄のことを聞きたいのだろう。支配権こそ奪われたままだが……私ならば、ある程度ここからでも内部の状況を察知できる。			お前も、煉獄のことを聞きたいのだろう。支配権こそ奪われたままだが……私ならば、ある程度ここからでも内部の状況を察知できる。			心まで寄生されし獄卒長							
さすが、パンデモニウムの長官だな。煉獄には、まだ創造生物が潜んでいるかい？			さすが、パンデモニウムの長官だな。煉獄には、まだ創造生物が潜んでいるかい？			心まで寄生されし獄卒長							
いや、生物の気配はもうほとんどない。おそらく、ヘーミテオスとやらを創る実験のために使用されたか、煉獄よりも深い最下層に移送されたのだろう。			いや、生物の気配はもうほとんどない。おそらく、ヘーミテオスとやらを創る実験のために使用されたか、煉獄よりも深い最下層に移送されたのだろう。			心まで寄生されし獄卒長							
だが……ヘファイストスめ、こちらを警戒して、最大級の障害だけは配置したようだ。			だが……ヘファイストスめ、こちらを警戒して、最大級の障害だけは配置したようだ。			心まで寄生されし獄卒長							
1体だけ、生物の気配がある。だいぶ弄られているようだが……この気配はおそらく、煉獄の獄卒長「ヘーゲモネー」だ。			1体だけ、生物の気配がある。だいぶ弄られているようだが……この気配はおそらく、煉獄の獄卒長「ヘーゲモネー」だ。			心まで寄生されし獄卒長							
魔術に長け、合理的な考えができる人物であった。だが、私の知る彼女の気配とは異なる点も多い。まるで何かに寄生されているような……。			魔術に長け、合理的な考えができる人物であった。だが、私の知る彼女の気配とは異なる点も多い。まるで何かに寄生されているような……。			心まで寄生されし獄卒長							
つまり、ヘーゲモネーも、半神ヘーミテオスと化している可能性が高いということだな。今度こそ獄卒長を、敵の支配から解放してみせる……！			つまり、ヘーゲモネーも、半神ヘーミテオスと化している可能性が高いということだな。今度こそ獄卒長を、敵の支配から解放してみせる……！			心まで寄生されし獄卒長							
Forename、テミス、お前たちの力を貸してくれ。俺たちの手で、なんとしてもヘーゲモネーを封印しよう。			Forename、テミス、お前たちの力を貸してくれ。俺たちの手で、なんとしてもヘーゲモネーを封印しよう。			心まで寄生されし獄卒長							
仲間がいると、ずいぶん強気だな。お前たちの力、存分に見せてもらうとしよう。			仲間がいると、ずいぶん強気だな。お前たちの力、存分に見せてもらうとしよう。			心まで寄生されし獄卒長							
ラハブレアめ、昔よりも理屈っぽくなったな……。とにかくまずは、俺たちの実力を見せつけることだ。そして獄卒たちを解放し、すべての真実を明らかにしよう。			ラハブレアめ、昔よりも理屈っぽくなったな……。とにかくまずは、俺たちの実力を見せつけることだ。そして獄卒たちを解放し、すべての真実を明らかにしよう。			心まで寄生されし獄卒長							
ヘーゲモネーは、理知的で理屈を重視する人物であった。それだけに、ヘファイストスにたぶらかされたとは思えない。となれば、やはり……。			ヘーゲモネーは、理知的で理屈を重視する人物であった。それだけに、ヘファイストスにたぶらかされたとは思えない。となれば、やはり……。			心まで寄生されし獄卒長							
手筈は、これまでと変わらない。君はヘーゲモネーとの戦闘を担ってくれ。私とエリクトニオスで、「檻」の魔法を行使する。			手筈は、これまでと変わらない。君はヘーゲモネーとの戦闘を担ってくれ。私とエリクトニオスで、「檻」の魔法を行使する。			心まで寄生されし獄卒長							
ヘーゲモネーが封印されたことは、こちらでも感知している。……どうやら、予想以上に弄りまわされているようだな。			ヘーゲモネーが封印されたことは、こちらでも感知している。……どうやら、予想以上に弄りまわされているようだな。			心まで寄生されし獄卒長							
無理もないが……エリクトニオスはずいぶんと興奮しているね。			無理もないが……エリクトニオスはずいぶんと興奮しているね。			心まで寄生されし獄卒長							
よし、ヘスペロスのときは叶わなかったが……今度は無事に、獄卒長を封印できたぞ！			よし、ヘスペロスのときは叶わなかったが……今度は無事に、獄卒長を封印できたぞ！			心まで寄生されし獄卒長							
これで、ラハブレアも俺たちのことを認めるはずだ！			これで、ラハブレアも俺たちのことを認めるはずだ！			心まで寄生されし獄卒長							
パンデモニウム正門のエリクトニオスは、興奮で感情を昂ぶらせているようだ。			パンデモニウム正門のエリクトニオスは、興奮で感情を昂ぶらせているようだ。			変容を遂げし獄卒長							
ラハブレアの言葉に激昂したエリクトニオスは、ヘファイストスのもとへと去っていってしまった。パンデモニウム正門の「ラハブレア」と話そう。			ラハブレアの言葉に激昂したエリクトニオスは、ヘファイストスのもとへと去っていってしまった。パンデモニウム正門の「ラハブレア」と話そう。			変容を遂げし獄卒長							
エリクトニオスを救い出すためにも、最下層「地獄」へと向かい、残る最後の獄卒長を倒すことになった。地獄へと乗り込み、ヘーミテオスと化した獄卒長「アグディスティス」を打倒しよう。※コンテンツファインダーから攻略に参加できます。			エリクトニオスを救い出すためにも、最下層「地獄」へと向かい、残る最後の獄卒長を倒すことになった。地獄へと乗り込み、ヘーミテオスと化した獄卒長「アグディスティス」を打倒しよう。※コンテンツファインダーから攻略に参加できます。			変容を遂げし獄卒長							
ヘーミテオス「アグディスティス」を打倒した。パンデモニウム正門へと戻る前に、周囲の様子を窺おう。			ヘーミテオス「アグディスティス」を打倒した。パンデモニウム正門へと戻る前に、周囲の様子を窺おう。			変容を遂げし獄卒長							
獄卒長アグディスティスが示した過去の光景。それは、エリクトニオスのことを母アテナが実験体と見なしていたという真実だった。パンデモニウム正門の「ラハブレア」と話そう。			獄卒長アグディスティスが示した過去の光景。それは、エリクトニオスのことを母アテナが実験体と見なしていたという真実だった。パンデモニウム正門の「ラハブレア」と話そう。			変容を遂げし獄卒長							
ラハブレアと話した。ラハブレアはアグディスティスへの悪態をつきながらも、冒険者が最後の相手だったことが、彼女にとって幸福だったと語るのだった。			ラハブレアと話した。ラハブレアはアグディスティスへの悪態をつきながらも、冒険者が最後の相手だったことが、彼女にとって幸福だったと語るのだった。			変容を遂げし獄卒長							
ラハブレアと話す			ラハブレアと話す			変容を遂げし獄卒長							
「万魔殿パンデモニウム：煉獄編3」を攻略			「万魔殿パンデモニウム：煉獄編3」を攻略			変容を遂げし獄卒長							
ラハブレアと話す			ラハブレアと話す			変容を遂げし獄卒長							
ヘーゲモネーが封印されたことは、こちらでも感知している。……どうやら、予想以上に弄り回されているようだな。			ヘーゲモネーが封印されたことは、こちらでも感知している。……どうやら、予想以上に弄り回されているようだな。			変容を遂げし獄卒長							
無理もないが……エリクトニオスはずいぶんと興奮しているね。			無理もないが……エリクトニオスはずいぶんと興奮しているね。			変容を遂げし獄卒長							
……宣言どおり、やってのけたぞ。煉獄を統べる獄卒長ヘーゲモネーは封印した。俺たちの計画が、机上の空論じゃないことがわかったろう。			……宣言どおり、やってのけたぞ。煉獄を統べる獄卒長ヘーゲモネーは封印した。俺たちの計画が、机上の空論じゃないことがわかったろう。			変容を遂げし獄卒長							
そうだな。意見が対立しているからといって、相手の行いを正当に評価できぬほど、狭量ではないつもりだ。			そうだな。意見が対立しているからといって、相手の行いを正当に評価できぬほど、狭量ではないつもりだ。			変容を遂げし獄卒長							
エーテル総量も少なく、創造魔法も使わない。そのような者が、私の想定を遥かに凌駕する戦闘能力を示すとは、実に興味深い物を見せてもらった。			エーテル総量も少なく、創造魔法も使わない。そのような者が、私の想定を遥かに凌駕する戦闘能力を示すとは、実に興味深い物を見せてもらった。			変容を遂げし獄卒長							
なら、今後もこちらの計画を……。			なら、今後もこちらの計画を……。			変容を遂げし獄卒長							
……だが、人員には大いに問題がある。この状況下で、足手まといを連れ歩く余裕などないはずだ。ひとり、この計画から外れてもらう必要があるな。			……だが、人員には大いに問題がある。この状況下で、足手まといを連れ歩く余裕などないはずだ。ひとり、この計画から外れてもらう必要があるな。			変容を遂げし獄卒長							
足手まとい、だと？			足手まとい、だと？			変容を遂げし獄卒長							
いち獄卒とはいえ、いまだ単独で「檻」も生み出せぬとは。少数で挑む以上、個々がその責任を完璧に果たす必要がある。そこに、願望ばかり大きい半人前など不要……。			いち獄卒とはいえ、いまだ単独で「檻」も生み出せぬとは。少数で挑む以上、個々がその責任を完璧に果たす必要がある。そこに、願望ばかり大きい半人前など不要……。			変容を遂げし獄卒長							
……半人前でも、全力で己の役割にあたればきっと成果を生む。Forenameとテミスは、俺にそう教えてくれた。			……半人前でも、全力で己の役割にあたればきっと成果を生む。Forenameとテミスは、俺にそう教えてくれた。			変容を遂げし獄卒長							
……どちらかに肩入れするわけではないが、彼の言うとおりだ。互いを補い合うことでも成功を掴むことはできるのだと、私も、パンデモニウムにきて強く実感した。			……どちらかに肩入れするわけではないが、彼の言うとおりだ。互いを補い合うことでも成功を掴むことはできるのだと、私も、パンデモニウムにきて強く実感した。			変容を遂げし獄卒長							
それに……願望を抱くことの何が悪い！願望から、己が進むべき新たな道を見出したり、行動を起こす活力を生むことだってあるだろう？			それに……願望を抱くことの何が悪い！願望から、己が進むべき新たな道を見出したり、行動を起こす活力を生むことだってあるだろう？			変容を遂げし獄卒長							
ならば語れ、お前はなにを望む。			ならば語れ、お前はなにを望む。			変容を遂げし獄卒長							
ヘファイストスの捕縛だ。奴の封印による解決を目指せば、被害は最小限に抑えられる。			ヘファイストスの捕縛だ。奴の封印による解決を目指せば、被害は最小限に抑えられる。			変容を遂げし獄卒長							
たしかにパンデモニウムごと破壊すれば、手早く、確実に奴を滅すことができるかもしれない。だが、多くの獄卒たちが巻き込まれてしまう。			たしかにパンデモニウムごと破壊すれば、手早く、確実に奴を滅すことができるかもしれない。だが、多くの獄卒たちが巻き込まれてしまう。			変容を遂げし獄卒長							
それに加えて……奴が口にしていた「アテナの復活」の方法を、永遠に聞き出すことが……。			それに加えて……奴が口にしていた「アテナの復活」の方法を、永遠に聞き出すことが……。			変容を遂げし獄卒長							
……結局、お前はそこに戻っていくのだな。			……結局、お前はそこに戻っていくのだな。			変容を遂げし獄卒長							
やはり、お前にはこの場を去ってもらうしかあるまい。そして二度と、パンデモニウムに現れるな。			やはり、お前にはこの場を去ってもらうしかあるまい。そして二度と、パンデモニウムに現れるな。			変容を遂げし獄卒長							
お前たちの計画に乗ってやるとしても……ヘファイストスは、消滅させるべきなのだ。アテナの復活などという軽挙妄動も……決して許されない。			お前たちの計画に乗ってやるとしても……ヘファイストスは、消滅させるべきなのだ。アテナの復活などという軽挙妄動も……決して許されない。			変容を遂げし獄卒長							
命は巡るもの、それこそが世の理だ。			命は巡るもの、それこそが世の理だ。			変容を遂げし獄卒長							
誰の母であろうとも、アテナの魂はとうに冥界へと還っている。あるいは、すでに新たな生命として旅立っているやもしれない。			誰の母であろうとも、アテナの魂はとうに冥界へと還っている。あるいは、すでに新たな生命として旅立っているやもしれない。			変容を遂げし獄卒長							
わかるか……？ヘファイストスの言葉がどれほど虚妄かということが。仮に肉体を再生したとて、そこにお前の母の魂など宿り得ないのだ。			わかるか……？ヘファイストスの言葉がどれほど虚妄かということが。仮に肉体を再生したとて、そこにお前の母の魂など宿り得ないのだ。			変容を遂げし獄卒長							
奴が、その理を凌駕する術を編み出していたらどうする！			奴が、その理を凌駕する術を編み出していたらどうする！			変容を遂げし獄卒長							
相手は、お前と同じ知識と記憶を持った存在なんだ。世の理だって、嫌というほど理解しているからこそ……なんの根拠もなく、復活なんて口にはしないだろう！？			相手は、お前と同じ知識と記憶を持った存在なんだ。世の理だって、嫌というほど理解しているからこそ……なんの根拠もなく、復活なんて口にはしないだろう！？			変容を遂げし獄卒長							
私とまったく同一の存在ではないとも説明したはずだ。自らの欲求のため、人を素材として用いるような輩が、まっとうな手段で復活を成すと思うか？			私とまったく同一の存在ではないとも説明したはずだ。自らの欲求のため、人を素材として用いるような輩が、まっとうな手段で復活を成すと思うか？			変容を遂げし獄卒長							
なら……まっとうな手段でなければ、母さんを復活させることも、できるってことか……？			なら……まっとうな手段でなければ、母さんを復活させることも、できるってことか……？			変容を遂げし獄卒長							
……己の願望のため、犠牲をも肯定するような物言いだな。獄卒たちを救うべきだと語っていたお前の主張は、母への執着を隠すための、愚者の詭弁か？			……己の願望のため、犠牲をも肯定するような物言いだな。獄卒たちを救うべきだと語っていたお前の主張は、母への執着を隠すための、愚者の詭弁か？			変容を遂げし獄卒長							
そのような物言いは、相手を追い詰めるだけだ。今、話しあうべきは……。			そのような物言いは、相手を追い詰めるだけだ。今、話しあうべきは……。			変容を遂げし獄卒長							
この星のためと言いながら、己が正道を進むがために妻を手に掛けるような男こそ、愚者ではないのかッ！			この星のためと言いながら、己が正道を進むがために妻を手に掛けるような男こそ、愚者ではないのかッ！			変容を遂げし獄卒長							
クッ……また聞こえる。頭の中に響く、あの声が……！			クッ……また聞こえる。頭の中に響く、あの声が……！			変容を遂げし獄卒長							
正しいのは……父と呼ぶべきなのは、ラハブレアなんかじゃない、ヘファイストスだと！			正しいのは……父と呼ぶべきなのは、ラハブレアなんかじゃない、ヘファイストスだと！			変容を遂げし獄卒長							
俺は、母さんを愛しているッ！だから……この、頭に響く声に従おう！			俺は、母さんを愛しているッ！だから……この、頭に響く声に従おう！			変容を遂げし獄卒長							
(-彼方から響く声-)……ダメです！エリクトニオス、その声に従っては……！			(-彼方から響く声-)……ダメです！エリクトニオス、その声に従っては……！			変容を遂げし獄卒長							
すまない。冷静になるべきだと教えてくれたのに……俺には無理だった。			すまない。冷静になるべきだと教えてくれたのに……俺には無理だった。			変容を遂げし獄卒長							
ヘファイストス……。一度失敗した反省を踏まえて、二重の策を仕掛けていたのだね。			ヘファイストス……。一度失敗した反省を踏まえて、二重の策を仕掛けていたのだね。			変容を遂げし獄卒長							
……ヘファイストスのほうが一枚上手だったと認めねばならんな。今のエリクトニオスは、明らかに正気ではなかった。			……ヘファイストスのほうが一枚上手だったと認めねばならんな。今のエリクトニオスは、明らかに正気ではなかった。			変容を遂げし獄卒長							
エリクトニオスは、私を前にしてからずっと感情を昂ぶらせていた。憎悪や怒りと言った感情をきっかけに発動する、精神的な呪縛をかけられていたのだろう。			エリクトニオスは、私を前にしてからずっと感情を昂ぶらせていた。憎悪や怒りと言った感情をきっかけに発動する、精神的な呪縛をかけられていたのだろう。			変容を遂げし獄卒長							
あの様子からして、エリクトニオスは、呪縛をかけられたことにすら気づかなかったはずだ。			あの様子からして、エリクトニオスは、呪縛をかけられたことにすら気づかなかったはずだ。			変容を遂げし獄卒長							
ヘファイストスが精神呪縛の術に長けているとすれば、獄卒長たちが、彼の手に堕ちた理由の説明にもなる。			ヘファイストスが精神呪縛の術に長けているとすれば、獄卒長たちが、彼の手に堕ちた理由の説明にもなる。			変容を遂げし獄卒長							
ヘスペロスが見せていた、ラハブレアに対する執着やエリクトニオスに対する嫉妬も、呪縛によって増幅されたものだと、考えられそうだ。			ヘスペロスが見せていた、ラハブレアに対する執着やエリクトニオスに対する嫉妬も、呪縛によって増幅されたものだと、考えられそうだ。			変容を遂げし獄卒長							
ところで……エリクトニオスが去る瞬間、何者かの思念を感じなかったかい？			ところで……エリクトニオスが去る瞬間、何者かの思念を感じなかったかい？			変容を遂げし獄卒長							
君も感じたのだね。こちらへの警告を発していたということは、残る獄卒の誰か……？			君も感じたのだね。こちらへの警告を発していたということは、残る獄卒の誰か……？			変容を遂げし獄卒長							
それが誰にせよ、警告すら間に合わぬほど、エリクトニオスの感情を刺激してしまったのは、この私だ。			それが誰にせよ、警告すら間に合わぬほど、エリクトニオスの感情を刺激してしまったのは、この私だ。			変容を遂げし獄卒長							
結局私は、自分自身に出し抜かれたようなものだな。この私では、あいつの望みを決して肯定できないことまで、ヘファイストスは予想していたのであろう。			結局私は、自分自身に出し抜かれたようなものだな。この私では、あいつの望みを決して肯定できないことまで、ヘファイストスは予想していたのであろう。			変容を遂げし獄卒長							
こんなことになるのならば……。			こんなことになるのならば……。			変容を遂げし獄卒長							
……だが、まだ手遅れではない。今なら、煉獄の支配権もこちらで奪い返せるだろう。残る最下層を攻略すれば、敵の本陣へたどり着けるはずだ。			……だが、まだ手遅れではない。今なら、煉獄の支配権もこちらで奪い返せるだろう。残る最下層を攻略すれば、敵の本陣へたどり着けるはずだ。			変容を遂げし獄卒長							
ああ、エリクトニオスの感情も、呪縛によって増幅されたものだ。本心から、離反したわけではない……！			ああ、エリクトニオスの感情も、呪縛によって増幅されたものだ。本心から、離反したわけではない……！			変容を遂げし獄卒長							
煉獄の獄卒長は封印できた……。ラハブレア、最下層の情報を教えてくれ。そこにはきっと、最後の獄卒長が待ち構えているはずだ。			煉獄の獄卒長は封印できた……。ラハブレア、最下層の情報を教えてくれ。そこにはきっと、最後の獄卒長が待ち構えているはずだ。			変容を遂げし獄卒長							
最下層……その名は「地獄」。			最下層……その名は「地獄」。			変容を遂げし獄卒長							
だが、そこに待ち受けているのは、獄卒長だけではない。どうやらヘファイストスは「地獄」に大量の罠を仕掛けたらしい。このままでは、足を踏み入れることすら不可能だろう。			だが、そこに待ち受けているのは、獄卒長だけではない。どうやらヘファイストスは「地獄」に大量の罠を仕掛けたらしい。このままでは、足を踏み入れることすら不可能だろう。			変容を遂げし獄卒長							
……となれば、こちらの切り札はForenameだな。			……となれば、こちらの切り札はForenameだな。			変容を遂げし獄卒長							
私たちとは、肉体のエーテル構成が異なるためだろう。彼女彼には、ヘファイストスの仕掛けた罠が発動しなかったんだ。先ほど判明した事実だから、敵もまだ対策できてはいまい。			私たちとは、肉体のエーテル構成が異なるためだろう。彼女彼には、ヘファイストスの仕掛けた罠が発動しなかったんだ。先ほど判明した事実だから、敵もまだ対策できてはいまい。			変容を遂げし獄卒長							
ならば、早急に攻め込むべきということか……。そいつに獄卒長を倒すだけの実力があることは、ヘファイストスもすでに承知しているだろうからな。			ならば、早急に攻め込むべきということか……。そいつに獄卒長を倒すだけの実力があることは、ヘファイストスもすでに承知しているだろうからな。			変容を遂げし獄卒長							
同感だが……その前に、ひとつ頼みがある。			同感だが……その前に、ひとつ頼みがある。			変容を遂げし獄卒長							
私たちは、何故ヘファイストスが、ああもエリクトニオスを欲するのか、その理由を知らない。			私たちは、何故ヘファイストスが、ああもエリクトニオスを欲するのか、その理由を知らない。			変容を遂げし獄卒長							
そして、あなたが何故そこまで、母に対するエリクトニオスの想いを頑なに否定するのか……。			そして、あなたが何故そこまで、母に対するエリクトニオスの想いを頑なに否定するのか……。			変容を遂げし獄卒長							
