幻術士ギルドのエ・スミ・ヤンは冒険者に頼みがあるようだ。			幻術士ギルドのエ・スミ・ヤンは冒険者に頼みがあるようだ。			偉人の後継者							
「不浄なるもの」にあてられた魔物を討伐した。ドラゴンヘッドで「不浄なるもの」を鎮めて浄化しよう。			「不浄なるもの」にあてられた魔物を討伐した。ドラゴンヘッドで「不浄なるもの」を鎮めて浄化しよう。			浄化の旅へ							
「不浄なるもの」を鎮めて浄化した。キャンプ・ドラゴンヘッドで「エシヴァ」と話そう。			「不浄なるもの」を鎮めて浄化した。キャンプ・ドラゴンヘッドで「エシヴァ」と話そう。			浄化の旅へ							
エシヴァは、次の目的地を調査しておくという。その間に、しっかりと修行を積んでおこう。※白魔道士のレベルが54以上になると、キャンプ・ドラゴンヘッドのエシヴァから、次の白魔道士クエストを受注することができます。			エシヴァは、次の目的地を調査しておくという。その間に、しっかりと修行を積んでおこう。※白魔道士のレベルが54以上になると、キャンプ・ドラゴンヘッドのエシヴァから、次の白魔道士クエストを受注することができます。			浄化の旅へ							
キャンプ・ドラゴンヘッドのエシヴァと話す			キャンプ・ドラゴンヘッドのエシヴァと話す			浄化の旅へ							
エシヴァと合流			エシヴァと合流			浄化の旅へ							
不浄なるものを鎮めて浄化する			不浄なるものを鎮めて浄化する			浄化の旅へ							
エシヴァと話す			エシヴァと話す			浄化の旅へ							
敵を殲滅せよ！			敵を殲滅せよ！			浄化の旅へ							
あっ、Forenameさん！ひととおり、ア・トワ様の旅の記録を読み終えたのですが、気になる記述がありまして……。			あっ、Forenameさん！ひととおり、ア・トワ様の旅の記録を読み終えたのですが、気になる記述がありまして……。			浄化の旅へ							
地下水脈を通じて「不浄なるもの」が流れ込み、ア・トワ様が調査に赴いたことがあったようなのです。水源地である北方のアバラシア山脈へ……。			地下水脈を通じて「不浄なるもの」が流れ込み、ア・トワ様が調査に赴いたことがあったようなのです。水源地である北方のアバラシア山脈へ……。			浄化の旅へ							
そして、旅の結果、浄化が行われたようですが、「地下水脈を通じて」という部分が引っかかるんです。			そして、旅の結果、浄化が行われたようですが、「地下水脈を通じて」という部分が引っかかるんです。			浄化の旅へ							
今回の「不浄なるもの」ですが、大精霊が警告を発するほどの危機が間近に迫っているのに、角尊や道士様は、誰も気付いていませんでした……。			今回の「不浄なるもの」ですが、大精霊が警告を発するほどの危機が間近に迫っているのに、角尊や道士様は、誰も気付いていませんでした……。			浄化の旅へ							
何より大精霊が「流れ込む」と表現したのも気になります。つまり、「不浄なるもの」が地下水脈を伝っていたため、発見できなかったのではないかと思うんです。			何より大精霊が「流れ込む」と表現したのも気になります。つまり、「不浄なるもの」が地下水脈を伝っていたため、発見できなかったのではないかと思うんです。			浄化の旅へ							
ア・トワ様による浄化から、かなりの年月が経過しています。それからの間に、新たな「不浄なるもの」の根源が、発生していたとしても不思議はありません。			ア・トワ様による浄化から、かなりの年月が経過しています。それからの間に、新たな「不浄なるもの」の根源が、発生していたとしても不思議はありません。			浄化の旅へ							
まずは、アバラシア山脈の南端……クルザス中央高地の「ドラゴンヘッド」近辺から、調査を開始してみましょう！			まずは、アバラシア山脈の南端……クルザス中央高地の「ドラゴンヘッド」近辺から、調査を開始してみましょう！			浄化の旅へ							
……見える世界すべてが凍てついています。地域によって、こんなにも景色が違うんですね。			……見える世界すべてが凍てついています。地域によって、こんなにも景色が違うんですね。			浄化の旅へ							
すみません、私、黒衣森を出たことがなかったので……。Forenameさんには、もう見慣れた光景ですよね。			すみません、私、黒衣森を出たことがなかったので……。Forenameさんには、もう見慣れた光景ですよね。			浄化の旅へ							
あなたが来るまで、現地の騎兵の方に、水脈に関する話を聞いていたのですが……。			あなたが来るまで、現地の騎兵の方に、水脈に関する話を聞いていたのですが……。			浄化の旅へ							
どうやら、その水脈の流れと合致する場所で、頻繁に魔物が現れ、問題になっていると言うじゃありませんか。しかも、異常に凶暴化しているらしく……。			どうやら、その水脈の流れと合致する場所で、頻繁に魔物が現れ、問題になっていると言うじゃありませんか。しかも、異常に凶暴化しているらしく……。			浄化の旅へ							
もしかして……「不浄なるもの」の穢れたエーテルに魔物があてられ、興奮した結果なのかもしれません！			もしかして……「不浄なるもの」の穢れたエーテルに魔物があてられ、興奮した結果なのかもしれません！			浄化の旅へ							
現在、南の方でフォルタン家の騎兵たちが、魔物の掃討作戦を展開しているそうです。私たちも行ってみましょう！			現在、南の方でフォルタン家の騎兵たちが、魔物の掃討作戦を展開しているそうです。私たちも行ってみましょう！			浄化の旅へ							
やはり「不浄なるもの」のせいで魔物が暴れています……！浄化の前に、騎士様とともに魔物を倒しましょう！			やはり「不浄なるもの」のせいで魔物が暴れています……！浄化の前に、騎士様とともに魔物を倒しましょう！			浄化の旅へ							
なんとか魔物は片付きました……。それにしても、あれが「不浄なるもの」……！Forenameさん、浄化をお願いします！			なんとか魔物は片付きました……。それにしても、あれが「不浄なるもの」……！Forenameさん、浄化をお願いします！			浄化の旅へ							
私にも、空気が澄み渡っていくのがわかります。これが白魔道士の力なんですね……。			私にも、空気が澄み渡っていくのがわかります。これが白魔道士の力なんですね……。			浄化の旅へ							
祖父が記した記録のとおりです……。そして、あなたのソウルクリスタルから、ひときわ強い輝きを感じますよ！			祖父が記した記録のとおりです……。そして、あなたのソウルクリスタルから、ひときわ強い輝きを感じますよ！			浄化の旅へ							
おそらく、浄化を経験したことで、ソウルクリスタルに宿ったア・トワ様の記憶が、あなたに力をもたらしたのでしょう……。			おそらく、浄化を経験したことで、ソウルクリスタルに宿ったア・トワ様の記憶が、あなたに力をもたらしたのでしょう……。			浄化の旅へ							
「不浄なるもの」を浄化することで、大いなる癒しの力を得ることができる。どうやらこの旅には、そうした一面もあるようですね……。			「不浄なるもの」を浄化することで、大いなる癒しの力を得ることができる。どうやらこの旅には、そうした一面もあるようですね……。			浄化の旅へ							
しかし、浄化の旅が白魔道士に成長を促すのだとしたら、ますます、角尊たちが森の外へ出ないのが理解できません。			しかし、浄化の旅が白魔道士に成長を促すのだとしたら、ますます、角尊たちが森の外へ出ないのが理解できません。			浄化の旅へ							
いったい、彼らはいつまで古い習慣に従って、森の中に閉じこもっているつもりなんでしょう……。			いったい、彼らはいつまで古い習慣に従って、森の中に閉じこもっているつもりなんでしょう……。			浄化の旅へ							
ともかく、ここで浄化をしたことで、新しくわかったことが沢山あります。「キャンプ・ドラゴンヘッド」で情報を整理しましょう。			ともかく、ここで浄化をしたことで、新しくわかったことが沢山あります。「キャンプ・ドラゴンヘッド」で情報を整理しましょう。			浄化の旅へ							
Forenameさん、おつかれさまでした。やはりあの魔物たちは、地下水脈を伝って流れる、「不浄なるもの」にあてられていたようですね。			Forenameさん、おつかれさまでした。やはりあの魔物たちは、地下水脈を伝って流れる、「不浄なるもの」にあてられていたようですね。			浄化の旅へ							
祖父が遺した記録によると、地下水脈の源流は、さらに西方のようです……。			祖父が遺した記録によると、地下水脈の源流は、さらに西方のようです……。			浄化の旅へ							
しかし、閉ざされたイシュガルドに入るには許可が必要です。幸いにも、Forenameさんは、イシュガルド貴族の方々とも懇意だとか。			しかし、閉ざされたイシュガルドに入るには許可が必要です。幸いにも、Forenameさんは、イシュガルド貴族の方々とも懇意だとか。			浄化の旅へ							
Forenameさんを保証人として、幻術皇名義の通行申請書を出してもらうよう、碩老樹瞑想窟に連絡しておきます。			Forenameさんを保証人として、幻術皇名義の通行申請書を出してもらうよう、碩老樹瞑想窟に連絡しておきます。			浄化の旅へ							
まったく……角尊がこの場にいれば、そんな面倒な手間を踏まずにすんだのに……。まあ、そんなこと愚痴っても仕方ありませんね。			まったく……角尊がこの場にいれば、そんな面倒な手間を踏まずにすんだのに……。まあ、そんなこと愚痴っても仕方ありませんね。			浄化の旅へ							
イシュガルドは同盟に復帰し、門戸も開かれつつあります。かの国に入国することは、以前ほど難しくはありません。			イシュガルドは同盟に復帰し、門戸も開かれつつあります。かの国に入国することは、以前ほど難しくはありません。			浄化の旅へ							
……ですが、これよりも先は、ア・トワ様も立ち入っていない未踏の地。より強い浄化の力が必要になるでしょう。			……ですが、これよりも先は、ア・トワ様も立ち入っていない未踏の地。より強い浄化の力が必要になるでしょう。			浄化の旅へ							
角尊たちのような白魔道士がこの場にいれば、みなで力を合わせ、先を急ぐこともできたでしょうが……。今は、あなたの癒しの力に頼るしかありません。			角尊たちのような白魔道士がこの場にいれば、みなで力を合わせ、先を急ぐこともできたでしょうが……。今は、あなたの癒しの力に頼るしかありません。			浄化の旅へ							
私は、次の目的地を特定するため、このあたりの地理などを調べてみます。			私は、次の目的地を特定するため、このあたりの地理などを調べてみます。			浄化の旅へ							
少し時間が必要ですので、その間に、新たに得た癒しの力に慣れておいてください。しっかりと修行を積んで、またここで会いましょう！			少し時間が必要ですので、その間に、新たに得た癒しの力に慣れておいてください。しっかりと修行を積んで、またここで会いましょう！			浄化の旅へ							
私が敵を叩きます！Forenameさんは、皆さんの回復を！			私が敵を叩きます！Forenameさんは、皆さんの回復を！			浄化の旅へ							
くっ、穢れたエーテルに魔物が引き寄せられています！			くっ、穢れたエーテルに魔物が引き寄せられています！			浄化の旅へ							
また魔物が来ましたか……！			また魔物が来ましたか……！			浄化の旅へ							
キリがありませんね……！元凶のスタグナントスプライトを、先に倒さないと！			キリがありませんね……！元凶のスタグナントスプライトを、先に倒さないと！			浄化の旅へ							
よし、これで……！あとは残った魔物を掃討するだけです！			よし、これで……！あとは残った魔物を掃討するだけです！			浄化の旅へ							
お役に立てず、すみません……！			お役に立てず、すみません……！			浄化の旅へ							
キャンプ・トランキルのラヤ・オ・センナは、「死霊の肉片」の調査を終えたようだ。			キャンプ・トランキルのラヤ・オ・センナは、「死霊の肉片」の調査を終えたようだ。			世界の癒し手							
ラヤ・オ・センナは「不浄なるもの」への対抗手段を考えついたという。北部森林のフォールゴウドで「エシヴァ」と話そう。			ラヤ・オ・センナは「不浄なるもの」への対抗手段を考えついたという。北部森林のフォールゴウドで「エシヴァ」と話そう。			世界の癒し手							
エシヴァもアラカのことを見逃せないと、呼び出しに応じてくれた。キャンプ・トランキルで「ラヤ・オ・センナ」と話そう。			エシヴァもアラカのことを見逃せないと、呼び出しに応じてくれた。キャンプ・トランキルで「ラヤ・オ・センナ」と話そう。			世界の癒し手							
ラヤ・オ・センナとア・ルン・センナは、浄化のため黒衣森を離れるという。高地ドラヴァニアのテイルフェザーで「エシヴァ」と話そう。			ラヤ・オ・センナとア・ルン・センナは、浄化のため黒衣森を離れるという。高地ドラヴァニアのテイルフェザーで「エシヴァ」と話そう。			世界の癒し手							
ア・ルン・センナは北西の方角からエーテルのゆらぎを感じるという。高地ドラヴァニアのモーン大岩窟で「アラカ」を探そう。			ア・ルン・センナは北西の方角からエーテルのゆらぎを感じるという。高地ドラヴァニアのモーン大岩窟で「アラカ」を探そう。			世界の癒し手							
「不浄なるもの」の根源であるドラゴンゾンビを倒した。モーン大岩窟の「ラヤ・オ・センナ」と話そう。			「不浄なるもの」の根源であるドラゴンゾンビを倒した。モーン大岩窟の「ラヤ・オ・センナ」と話そう。			世界の癒し手							
ラヤ・オ・センナは、アラカが未来に向けて生きることを願い言葉を届けた。エシヴァも、ア・ルン・センナと共に黒衣森の脅威に立ち向かうことを決めたようだ。モーン大岩窟の「ラヤ・オ・センナ」と話そう。			ラヤ・オ・センナは、アラカが未来に向けて生きることを願い言葉を届けた。エシヴァも、ア・ルン・センナと共に黒衣森の脅威に立ち向かうことを決めたようだ。モーン大岩窟の「ラヤ・オ・センナ」と話そう。			世界の癒し手							
ラヤ・オ・センナは、アラカを牢へ送った後に礼を言いたいという。キャンプ・トランキルの「ラヤ・オ・センナ」と話そう。			ラヤ・オ・センナは、アラカを牢へ送った後に礼を言いたいという。キャンプ・トランキルの「ラヤ・オ・センナ」と話そう。			世界の癒し手							
冒険者を待っていたエシヴァは、礼を言うと去っていった。ラヤ・オ・センナとア・ルン・センナは、今後は、森の内と外の両方から、黒衣森の調和のために働いていくことを決意するのだった。※以下の条件を満たすと、キャンプ・トランキルのラヤ・オ・センナから、新たなジョブクエストを受注することができます。1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			冒険者を待っていたエシヴァは、礼を言うと去っていった。ラヤ・オ・センナとア・ルン・センナは、今後は、森の内と外の両方から、黒衣森の調和のために働いていくことを決意するのだった。※以下の条件を満たすと、キャンプ・トランキルのラヤ・オ・センナから、新たなジョブクエストを受注することができます。1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			世界の癒し手							
フォールゴウドのエシヴァと話す			フォールゴウドのエシヴァと話す			世界の癒し手							
ラヤ・オ・センナと話す			ラヤ・オ・センナと話す			世界の癒し手							
テイルフェザーでエシヴァと合流			テイルフェザーでエシヴァと合流			世界の癒し手							
モーン大岩窟でアラカを探す			モーン大岩窟でアラカを探す			世界の癒し手							
モーン大岩窟のラヤ・オ・センナと話す			モーン大岩窟のラヤ・オ・センナと話す			世界の癒し手							
再度モーン大岩窟のラヤ・オ・センナと話す			再度モーン大岩窟のラヤ・オ・センナと話す			世界の癒し手							
キャンプ・トランキルのラヤ・オ・センナと話す			キャンプ・トランキルのラヤ・オ・センナと話す			世界の癒し手							
ドラゴンゾンビを倒せ！			ドラゴンゾンビを倒せ！			世界の癒し手							
スタグナントエーテルを癒してドラゴンゾンビを倒せ！			スタグナントエーテルを癒してドラゴンゾンビを倒せ！			世界の癒し手							
Forename、いいところに来たわね。「不浄なるもの」への対抗手段を考えついたわ……！			Forename、いいところに来たわね。「不浄なるもの」への対抗手段を考えついたわ……！			世界の癒し手							
詳しいことを話すから……エシヴァにも、このことを伝えてくれないかしら。			詳しいことを話すから……エシヴァにも、このことを伝えてくれないかしら。			世界の癒し手							
私もア・ルンを呼んでおくから、彼女に伝えたら、ここに戻ってきてちょうだい。			私もア・ルンを呼んでおくから、彼女に伝えたら、ここに戻ってきてちょうだい。			世界の癒し手							
エシヴァは、多分「フォールゴウド」に戻っていると思う。……来てくれるかわからないけど、よろしくね。			エシヴァは、多分「フォールゴウド」に戻っていると思う。……来てくれるかわからないけど、よろしくね。			世界の癒し手							
エシヴァは、多分「フォールゴウド」に戻っていると思う。私もア・ルンを呼んでおくから、エシヴァに伝えたら、ここに戻ってきてちょうだい。			エシヴァは、多分「フォールゴウド」に戻っていると思う。私もア・ルンを呼んでおくから、エシヴァに伝えたら、ここに戻ってきてちょうだい。			世界の癒し手							
Forenameさん……。この間は取り乱してしまいすいませんでした。どうかなさったのですか……？			Forenameさん……。この間は取り乱してしまいすいませんでした。どうかなさったのですか……？			世界の癒し手							
……角尊が、私を呼んでいるのですか？もう、私に会う気はないかと思っていました……。			……角尊が、私を呼んでいるのですか？もう、私に会う気はないかと思っていました……。			世界の癒し手							
アラカさんの暴挙は、放ってはおけませんものね……。……ええ、「キャンプ・トランキル」へ向かいましょう。			アラカさんの暴挙は、放ってはおけませんものね……。……ええ、「キャンプ・トランキル」へ向かいましょう。			世界の癒し手							
僕だって、やってみせる……。			僕だって、やってみせる……。			世界の癒し手							
…………今は、話を伺いましょう。			…………今は、話を伺いましょう。			世界の癒し手							
よく来てくれたわね、Forename。そして……エシヴァ。			よく来てくれたわね、Forename。そして……エシヴァ。			世界の癒し手							
長老の木に宿る大精霊が、死霊の肉片に反応したよ。黒衣森を蝕みつつある「不浄なるもの」と、同質の穢れたエーテルを帯びているということだ……。			長老の木に宿る大精霊が、死霊の肉片に反応したよ。黒衣森を蝕みつつある「不浄なるもの」と、同質の穢れたエーテルを帯びているということだ……。			世界の癒し手							
この状況を放置すれば、アラカの言葉どおり、いずれ、死霊が闊歩する死の世界が広まるだろうね……。			この状況を放置すれば、アラカの言葉どおり、いずれ、死霊が闊歩する死の世界が広まるだろうね……。			世界の癒し手							
……事態は一刻を争うということですか。それで、「不浄なるもの」への対抗手段とは？			……事態は一刻を争うということですか。それで、「不浄なるもの」への対抗手段とは？			世界の癒し手							
あたしとア・ルンが、黒衣森を出て、直接、高地ドラヴァニアに向かうことよ。			あたしとア・ルンが、黒衣森を出て、直接、高地ドラヴァニアに向かうことよ。			世界の癒し手							
私たち角尊が、黒衣森に留まることを求められているのは、精霊の声を、いつでも人々に伝えられるようにするため。森と人の架け橋となり、悲劇を防ぐためにね。			私たち角尊が、黒衣森に留まることを求められているのは、精霊の声を、いつでも人々に伝えられるようにするため。森と人の架け橋となり、悲劇を防ぐためにね。			世界の癒し手							
つまり、純粋なエーテル体ともいえる精霊との対話のため、常に修行をつづけ、感覚を研ぎ澄ませているということ……。私たちなら、微かなエーテルのゆらぎも捉えられるわ。			つまり、純粋なエーテル体ともいえる精霊との対話のため、常に修行をつづけ、感覚を研ぎ澄ませているということ……。私たちなら、微かなエーテルのゆらぎも捉えられるわ。			世界の癒し手							
私たちふたりの力で、アラカの「実験場」を突き止める。そして、Forenameを含めた3人で、力を合わせて浄化を行い、アラカを捕らえるの！			私たちふたりの力で、アラカの「実験場」を突き止める。そして、Forenameを含めた3人で、力を合わせて浄化を行い、アラカを捕らえるの！			世界の癒し手							
しかし、森の掟はどうなさるのです……？			しかし、森の掟はどうなさるのです……？			世界の癒し手							
カヌ・エ姉さまの許可は得てきたよ。僕たちがいない間、森に何か起きてもいいように、対策を打ってくださることになった。			カヌ・エ姉さまの許可は得てきたよ。僕たちがいない間、森に何か起きてもいいように、対策を打ってくださることになった。			世界の癒し手							
何より、君の言葉が効いたよ……。これ以上、君たちだけに重責をかけることはしない。……角尊として、白魔道士として、協力させてほしいんだ。			何より、君の言葉が効いたよ……。これ以上、君たちだけに重責をかけることはしない。……角尊として、白魔道士として、協力させてほしいんだ。			世界の癒し手							
森を出るという、その決意を……信じていいんですね……？			森を出るという、その決意を……信じていいんですね……？			世界の癒し手							
……先の非礼を詫びさせてください。感情が高ぶって、敬意を欠いた発言をしてしまいました。			……先の非礼を詫びさせてください。感情が高ぶって、敬意を欠いた発言をしてしまいました。			世界の癒し手							
いいのよ、お陰で目が覚めたんだから……。でも、森を離れるのは初めてで、勝手がわからないの。エシヴァには、案内役をお願いしてもいいかしら？			いいのよ、お陰で目が覚めたんだから……。でも、森を離れるのは初めてで、勝手がわからないの。エシヴァには、案内役をお願いしてもいいかしら？			世界の癒し手							
笑わないでよね、Forename。冒険者であるあなたと違って、旅には慣れてないんだから。……さあ、行くわよ！			笑わないでよね、Forename。冒険者であるあなたと違って、旅には慣れてないんだから。……さあ、行くわよ！			世界の癒し手							
Forenameさん……。私は角尊のおふたりとともに向かいます。「テイルフェザー」で落ち合うことにしましょう。			Forenameさん……。私は角尊のおふたりとともに向かいます。「テイルフェザー」で落ち合うことにしましょう。			世界の癒し手							
私たちが3人揃えば、どんなものだって浄化可能よ。さあ、高地ドラヴァニアに向かいましょう！			私たちが3人揃えば、どんなものだって浄化可能よ。さあ、高地ドラヴァニアに向かいましょう！			世界の癒し手							
Forenameさん……。私は角尊のおふたりとともに向かいます。「テイルフェザー」で落ち合うことにしましょう。			Forenameさん……。私は角尊のおふたりとともに向かいます。「テイルフェザー」で落ち合うことにしましょう。			世界の癒し手							
ふ、ふん……！　あたしは大丈夫……。あんたこそ、シッカリするのよ！ちゃんと、あたしを守ってよね……。			ふ、ふん……！　あたしは大丈夫……。あんたこそ、シッカリするのよ！ちゃんと、あたしを守ってよね……。			世界の癒し手							
黒衣森の外……全然違うんだね……。			黒衣森の外……全然違うんだね……。			世界の癒し手							
どうにか、ここまでは来れたわね……。いざ、こうして出てみれば、なんてことないじゃない！			どうにか、ここまでは来れたわね……。いざ、こうして出てみれば、なんてことないじゃない！			世界の癒し手							
……姉さま、ここに着くまで、ずっとエシヴァの後ろにくっついてたくせに。			……姉さま、ここに着くまで、ずっとエシヴァの後ろにくっついてたくせに。			世界の癒し手							
そ、そんなことより！ア・ルンは、何か感じないの！			そ、そんなことより！ア・ルンは、何か感じないの！			世界の癒し手							
ムカムカするような、嫌なエーテルのゆらぎを感じるよ……。多分、北西の方角から……。			ムカムカするような、嫌なエーテルのゆらぎを感じるよ……。多分、北西の方角から……。			世界の癒し手							
北西の方角というと「モーン大岩窟」ですね。確かに、あの近辺にも地下水脈が通っているようです。			北西の方角というと「モーン大岩窟」ですね。確かに、あの近辺にも地下水脈が通っているようです。			世界の癒し手							
ドラゴン族の住む土地ですから、より一層の注意が必要になりますね……。			ドラゴン族の住む土地ですから、より一層の注意が必要になりますね……。			世界の癒し手							
ふ、ふん、そんなの望むところよ！ドラゴン族だろうがアラカだろうが、みんなまとめて、ぶっ飛ばしてやろうじゃないの！			ふ、ふん、そんなの望むところよ！ドラゴン族だろうがアラカだろうが、みんなまとめて、ぶっ飛ばしてやろうじゃないの！			世界の癒し手							
ええっ！　別にぶっ飛ばさなくていいんじゃない？「不浄なるもの」さえ浄化できればいいんだから……。			ええっ！　別にぶっ飛ばさなくていいんじゃない？「不浄なるもの」さえ浄化できればいいんだから……。			世界の癒し手							
向こうが襲ってくるかもしれないでしょうが！いいから「モーン大岩窟」に行くわよ！黒衣森を死の世界にしてたまるもんですか！			向こうが襲ってくるかもしれないでしょうが！いいから「モーン大岩窟」に行くわよ！黒衣森を死の世界にしてたまるもんですか！			世界の癒し手							
北西の方角というと「モーン大岩窟」ですね。ドラゴン族の住む土地ですから、より一層の注意が必要になります……。			北西の方角というと「モーン大岩窟」ですね。ドラゴン族の住む土地ですから、より一層の注意が必要になります……。			世界の癒し手							
あなた、生きていたのね……。あのとき、死んじゃえばよかったのに……。			あなた、生きていたのね……。あのとき、死んじゃえばよかったのに……。			世界の癒し手							
そっちのふたりも角が生えてるけど……同族じゃなさそうね。みんな、私を捕らえるために来たのね……。どうして……どうして私は拒絶されるの？			そっちのふたりも角が生えてるけど……同族じゃなさそうね。みんな、私を捕らえるために来たのね……。どうして……どうして私は拒絶されるの？			世界の癒し手							
私たち、アウラ・ゼラは、故郷を持たぬ流浪の民……。いろいろな土地を巡っては、あらゆる迫害を受けてきたわ……。			私たち、アウラ・ゼラは、故郷を持たぬ流浪の民……。いろいろな土地を巡っては、あらゆる迫害を受けてきたわ……。			世界の癒し手							
とっても辛かった……だから、たくさん研究したの……。居場所を作るため、身を守るため、迫害に対抗する力を求めて……。			とっても辛かった……だから、たくさん研究したの……。居場所を作るため、身を守るため、迫害に対抗する力を求めて……。			世界の癒し手							
かわいいでしょう……？実験の果てに遂に完成させた、私の最高傑作……。			かわいいでしょう……？実験の果てに遂に完成させた、私の最高傑作……。			世界の癒し手							
でもね、ドラゴン族の強靭な身体に見合う生命力を、肉体にあたえることができなくて……。「不浄なるもの」に満たされた土地でしか活動できないの。			でもね、ドラゴン族の強靭な身体に見合う生命力を、肉体にあたえることができなくて……。「不浄なるもの」に満たされた土地でしか活動できないの。			世界の癒し手							
この世が「不浄なるもの」で満たされれば……そうなれば、この子も外へと旅に出られる。私を迫害した連中を見返すことができる……！			この世が「不浄なるもの」で満たされれば……そうなれば、この子も外へと旅に出られる。私を迫害した連中を見返すことができる……！			世界の癒し手							
姉さま……。あのドラゴンゾンビから、強い穢れたエーテルを感じる！あれが、「不浄なるもの」の根源に違いないよ！			姉さま……。あのドラゴンゾンビから、強い穢れたエーテルを感じる！あれが、「不浄なるもの」の根源に違いないよ！			世界の癒し手							
ええ、あいつは莫大な「不浄なるもの」を、体内に溜め込んでいるみたいね……。……ぶちのめして、徹底的に「浄化」するわよ！			ええ、あいつは莫大な「不浄なるもの」を、体内に溜め込んでいるみたいね……。……ぶちのめして、徹底的に「浄化」するわよ！			世界の癒し手							
あなたたちに理解してもらおうなんて思ってない……。私の復讐は、誰にも邪魔はさせないわ……。この子の力を見せてあげる！			あなたたちに理解してもらおうなんて思ってない……。私の復讐は、誰にも邪魔はさせないわ……。この子の力を見せてあげる！			世界の癒し手							
僕も、角尊として……やればできるんだ。			僕も、角尊として……やればできるんだ。			世界の癒し手							
「不浄なるもの」の根源は絶ちました。これで、黒衣森も大丈夫ですね……。			「不浄なるもの」の根源は絶ちました。これで、黒衣森も大丈夫ですね……。			世界の癒し手							
……………………そんな。			……………………そんな。			世界の癒し手							
私の……最高傑作が……。壊されちゃった……。			私の……最高傑作が……。壊されちゃった……。			世界の癒し手							
これで、もう私には何もない……。ずっと迫害されてきて、最後はひとり牢の中で朽ちる……。……嫌われ者にふさわしい末路ね。			これで、もう私には何もない……。ずっと迫害されてきて、最後はひとり牢の中で朽ちる……。……嫌われ者にふさわしい末路ね。			世界の癒し手							
私たちは、とっても臆病……。だから、自分と違うものを恐れて……傷つけてしまう。そしてあなたも、自分を拒否する者を恐れ、傷つけようとした。			私たちは、とっても臆病……。だから、自分と違うものを恐れて……傷つけてしまう。そしてあなたも、自分を拒否する者を恐れ、傷つけようとした。			世界の癒し手							
あなたの犯した罪は大きいけれど、それでもつぐなえるわ。「不浄なるもの」だって浄化できたように……ね。			あなたの犯した罪は大きいけれど、それでもつぐなえるわ。「不浄なるもの」だって浄化できたように……ね。			世界の癒し手							
だから、牢で朽ちるなんてもったいないと思うの……。それより、罪をつぐなったらどうしたいか、考えてみない？			だから、牢で朽ちるなんてもったいないと思うの……。それより、罪をつぐなったらどうしたいか、考えてみない？			世界の癒し手							
外の世界に出て、何をしてみたいか……。私も、たまにお話に行くから、一緒に考えましょう。			外の世界に出て、何をしてみたいか……。私も、たまにお話に行くから、一緒に考えましょう。			世界の癒し手							
「不浄なるもの」の根源を作りだしていた彼女を、捕らえたからには、黒衣森の危機も去ったことになる。すべては、君たちのおかげだ……。			「不浄なるもの」の根源を作りだしていた彼女を、捕らえたからには、黒衣森の危機も去ったことになる。すべては、君たちのおかげだ……。			世界の癒し手							
森の外からやってくる脅威に対して、自分が、どれだけ無力かを思い知らされたよ……。			森の外からやってくる脅威に対して、自分が、どれだけ無力かを思い知らされたよ……。			世界の癒し手							
……だから、僕も変わろうと思うんだ。また、森に不浄の影が忍び寄ったとき、ア・トワ様のように、外の世界へと旅立つ、そんな旅の角尊になってみせる。			……だから、僕も変わろうと思うんだ。また、森に不浄の影が忍び寄ったとき、ア・トワ様のように、外の世界へと旅立つ、そんな旅の角尊になってみせる。			世界の癒し手							
僕がこうして決断できたのは……エシヴァと、君のおかげだ。黒衣森のために、尽力してくれてありがとう。			僕がこうして決断できたのは……エシヴァと、君のおかげだ。黒衣森のために、尽力してくれてありがとう。			世界の癒し手							
……ア・ルン様。ならば、その時は、私を旅のお供としてお連れください！			……ア・ルン様。ならば、その時は、私を旅のお供としてお連れください！			世界の癒し手							
おひとりで旅をなさるなど、無謀が過ぎます！それに、記録する同行者がいなければ、旅の意義を、後世に伝えられないではありませんか。			おひとりで旅をなさるなど、無謀が過ぎます！それに、記録する同行者がいなければ、旅の意義を、後世に伝えられないではありませんか。			世界の癒し手							
未熟者ではありますが……どうか、私の祖父が、ア・トワ様に付き従ったように、あなたを、支えさせてください……。			未熟者ではありますが……どうか、私の祖父が、ア・トワ様に付き従ったように、あなたを、支えさせてください……。			世界の癒し手							
……ありがとう、僕たちのことを受け入れてくれて。君が、心から信望できるような角尊になってみせるよ。			……ありがとう、僕たちのことを受け入れてくれて。君が、心から信望できるような角尊になってみせるよ。			世界の癒し手							
私も、あなたをお守りする責務をまっとうできるよう、全力をもって、お仕えいたします。			私も、あなたをお守りする責務をまっとうできるよう、全力をもって、お仕えいたします。			世界の癒し手							
私と話そうとしてくれる人なんて、今までいなかった……。			私と話そうとしてくれる人なんて、今までいなかった……。			世界の癒し手							
ここを出たら、あたしたちはアラカを牢へ連れていくわ。あんたは、あとで「キャンプ・トランキル」へ来て。ちゃんとお礼を言わなくちゃね。			ここを出たら、あたしたちはアラカを牢へ連れていくわ。あんたは、あとで「キャンプ・トランキル」へ来て。ちゃんとお礼を言わなくちゃね。			世界の癒し手							
