ラザハンの小さな少年は、頼みたいことがあるようだ。			ラザハンの小さな少年は、頼みたいことがあるようだ。			紳士の長い眠り							
ただし、無からできるわけではなく、相応のエーテルが必要になるのですけどね。			ただし、無からできるわけではなく、相応のエーテルが必要になるのですけどね。			ママこそ最強							
ブラディヒルンド様、UFOについても詳しいんですね～。すごいです～。			ブラディヒルンド様、UFOについても詳しいんですね～。すごいです～。			ママこそ最強							
た、大したことありません。私の知識はUFOのデータで補われていますから、ユ、UFOに関する機能もすべて把握しています……。			た、大したことありません。私の知識はUFOのデータで補われていますから、ユ、UFOに関する機能もすべて把握しています……。			ママこそ最強							
もしかして……ヴァンフディはUFOを使って黄金を複製しているのでは？			もしかして……ヴァンフディはUFOを使って黄金を複製しているのでは？			ママこそ最強							
私もそう考えていました。ほかに黄金を生み出す術はありませんからね。			私もそう考えていました。ほかに黄金を生み出す術はありませんからね。			ママこそ最強							
も、もちろん、私もそう思っていましたぞ！			も、もちろん、私もそう思っていましたぞ！			ママこそ最強							
だとしたら、コヨコヨ殿のお友達は、騙されているか、脅されているかして、UFOを利用されているに違いありませんな……。			だとしたら、コヨコヨ殿のお友達は、騙されているか、脅されているかして、UFOを利用されているに違いありませんな……。			ママこそ最強							
こうなれば、やることはひとつ！ヴァンフディのもとへ向かい、お友達を救い出しましょう！！			こうなれば、やることはひとつ！ヴァンフディのもとへ向かい、お友達を救い出しましょう！！			ママこそ最強							
冒険者さん、かっ飛ばしました～！			冒険者さん、かっ飛ばしました～！			ママこそ最強							
トモダチは……どうしてるんだろう……。			トモダチは……どうしてるんだろう……。			ママこそ最強							
事件屋さんのお母さまも、超人的なのですね。待てよ、そうなるとおかしいぞ……。			事件屋さんのお母さまも、超人的なのですね。待てよ、そうなるとおかしいぞ……。			ママこそ最強							
そういえば、コヨコヨさんのお友達のUFOは、見た目こそ同じですが、より高性能だと聞いています。			そういえば、コヨコヨさんのお友達のUFOは、見た目こそ同じですが、より高性能だと聞いています。			ママこそ最強							
ヴァンフディ氏の悪い噂はいくつか耳に入ってましたが、今回の件は致命的でしたな……。			ヴァンフディ氏の悪い噂はいくつか耳に入ってましたが、今回の件は致命的でしたな……。			ママこそ最強							
久しぶりね、Forename。また、息子と仲良くしてくれてるようで、ありがとうね！			久しぶりね、Forename。また、息子と仲良くしてくれてるようで、ありがとうね！			ママこそ最強							
ところで、かくかくしたヒルディちゃんみたいなのは、新しいお友達かしら……？			ところで、かくかくしたヒルディちゃんみたいなのは、新しいお友達かしら……？			ママこそ最強							
さあ、ヴァンフディのもとに向かいますぞ……！			さあ、ヴァンフディのもとに向かいますぞ……！			ママこそ最強							
ならば、ヴァンフディ氏から屋敷に招待されている、私たちと共に向かうのがよさそうですな。なんでも、自家用の飛空艇を用意してくれるそうです。			ならば、ヴァンフディ氏から屋敷に招待されている、私たちと共に向かうのがよさそうですな。なんでも、自家用の飛空艇を用意してくれるそうです。			ママこそ最強							
そうね、こちらも商談の件をお断りしないといけないし、一緒に待ち合わせしている場所に向かいましょう。			そうね、こちらも商談の件をお断りしないといけないし、一緒に待ち合わせしている場所に向かいましょう。			ママこそ最強							
嘆きの海 南にいるヒルディブランドは、意気込んでいるようだ。			嘆きの海 南にいるヒルディブランドは、意気込んでいるようだ。			出奔した複製							
ヒルディブランドと話したところ、きんきんレポリットが駆けてきた。複製されたヒルディブランドが残っていたので、消去するため探すことになった。嘆きの海 北で「ヒルディブランド」と話し、同行させよう。			ヒルディブランドと話したところ、きんきんレポリットが駆けてきた。複製されたヒルディブランドが残っていたので、消去するため探すことになった。嘆きの海 北で「ヒルディブランド」と話し、同行させよう。			出奔した複製							
ヒルディブランドとナシュ・マカラッカを連れて、複製の手がかりを探し始めた。ふたりを連れた状態で、嘆きの海 北で手がかりを探そう。※同行状態が解除された場合、嘆きの海 北の「ヒルディブランド」か「ナシュ・マカラッカ」に話しかけることで同行を再開できます。			ヒルディブランドとナシュ・マカラッカを連れて、複製の手がかりを探し始めた。ふたりを連れた状態で、嘆きの海 北で手がかりを探そう。※同行状態が解除された場合、嘆きの海 北の「ヒルディブランド」か「ナシュ・マカラッカ」に話しかけることで同行を再開できます。			出奔した複製							
シンカーに刺さったハンマーを見つけたが、複製の手がかりではないようだ。ヒルディブランドとナシュ・マカラッカを連れた状態で、嘆きの海 北で手がかりを探そう。			シンカーに刺さったハンマーを見つけたが、複製の手がかりではないようだ。ヒルディブランドとナシュ・マカラッカを連れた状態で、嘆きの海 北で手がかりを探そう。			出奔した複製							
ムースに刺さったハンマーを見つけたが、複製の手がかりではないようだ。ヒルディブランドとナシュ・マカラッカを連れた状態で、嘆きの海 北で手がかりを探そう。			ムースに刺さったハンマーを見つけたが、複製の手がかりではないようだ。ヒルディブランドとナシュ・マカラッカを連れた状態で、嘆きの海 北で手がかりを探そう。			出奔した複製							
紳士的な足跡を発見し、複製されたヒルディブランドを発見した。そこにゴッドベルトが現れ、親子は感動の再会を果たし、複製も消去された。探していた鉱石を得たというゴッドベルトは、冒険者に頼みがあるという。ラザハンのエーテライト・プラザで「ヒルディブランド」と話そう。			紳士的な足跡を発見し、複製されたヒルディブランドを発見した。そこにゴッドベルトが現れ、親子は感動の再会を果たし、複製も消去された。探していた鉱石を得たというゴッドベルトは、冒険者に頼みがあるという。ラザハンのエーテライト・プラザで「ヒルディブランド」と話そう。			出奔した複製							
ヒルディブランドと話し、彼らはコヨコヨの仲間の捜索に向かった。デリオンは独自でコヨコヨの取材を続けるらしく、次回の協力を頼まれた。ゴッドベルトは、マンダヴィルウェポン製作に力をかしてほしいという。都合のいいときに、「マンダヴィル家の使用人」に声をかけよう。			ヒルディブランドと話し、彼らはコヨコヨの仲間の捜索に向かった。デリオンは独自でコヨコヨの取材を続けるらしく、次回の協力を頼まれた。ゴッドベルトは、マンダヴィルウェポン製作に力をかしてほしいという。都合のいいときに、「マンダヴィル家の使用人」に声をかけよう。			出奔した複製							
ヒルディブランドと話して同行させる			ヒルディブランドと話して同行させる			出奔した複製							
ヒルディブランドとナシュ・マカラッカを連れて手がかりを探す			ヒルディブランドとナシュ・マカラッカを連れて手がかりを探す			出奔した複製							
ヒルディブランドとナシュ・マカラッカを連れて再度手がかりを探す			ヒルディブランドとナシュ・マカラッカを連れて再度手がかりを探す			出奔した複製							
ヒルディブランドとナシュ・マカラッカを連れてさらに手がかりを探す			ヒルディブランドとナシュ・マカラッカを連れてさらに手がかりを探す			出奔した複製							
ラザハンのヒルディブランドと話す			ラザハンのヒルディブランドと話す			出奔した複製							
コヨコヨさん、つぶらな瞳がかわいいです～。			コヨコヨさん、つぶらな瞳がかわいいです～。			出奔した複製							
あなたの持つ「超える力」という超能力は非常に興味深い。異星人の件が落ち着いたら、ぜひ取材させてください。			あなたの持つ「超える力」という超能力は非常に興味深い。異星人の件が落ち着いたら、ぜひ取材させてください。			出奔した複製							
コヨコヨ……みんなの言葉、わからない。キミと話すことできて、助かった。			コヨコヨ……みんなの言葉、わからない。キミと話すことできて、助かった。			出奔した複製							
さあ、コヨコヨ殿のお友達の捜索を開始しますぞ……！			さあ、コヨコヨ殿のお友達の捜索を開始しますぞ……！			出奔した複製							
あのう、水を差すようで悪いのですが……我々の星で消息を絶ったという、漠然とした情報だけで、どうやって異星人を探すのでしょう？			あのう、水を差すようで悪いのですが……我々の星で消息を絶ったという、漠然とした情報だけで、どうやって異星人を探すのでしょう？			出奔した複製							
私、長年にわたって異星人の取材をしてきましたが、そう簡単に見つかるものではありませんよ。			私、長年にわたって異星人の取材をしてきましたが、そう簡単に見つかるものではありませんよ。			出奔した複製							
ヒルディブランド様は凄い方なんです！きっと今回も、大胆不敵で華麗に解決してくれますよ～！			ヒルディブランド様は凄い方なんです！きっと今回も、大胆不敵で華麗に解決してくれますよ～！			出奔した複製							
は、ハッハッハ、その通りですぞ！事件屋の勘を研ぎ澄まし、手がかりをキャッチしてみせます……！			は、ハッハッハ、その通りですぞ！事件屋の勘を研ぎ澄まし、手がかりをキャッチしてみせます……！			出奔した複製							
ヒルディブランド様、がんばってください～！			ヒルディブランド様、がんばってください～！			出奔した複製							
ハッ、それはもしかして「チャネリング」ですかッ！？高次の存在と交信して、解を得ようとしている？これまた、興味深いぞ……。			ハッ、それはもしかして「チャネリング」ですかッ！？高次の存在と交信して、解を得ようとしている？これまた、興味深いぞ……。			出奔した複製							
やあ、こちらにいらっしゃいましたか。			やあ、こちらにいらっしゃいましたか。			出奔した複製							
実は、あなた方が探していた人物と、特徴が一致するヒトを目撃したもので、報せにきました。			実は、あなた方が探していた人物と、特徴が一致するヒトを目撃したもので、報せにきました。			出奔した複製							
あれれ？でも、探していたヒルディブランド様は見つかりましたよ～。			あれれ？でも、探していたヒルディブランド様は見つかりましたよ～。			出奔した複製							
なんと……！まさに、あなたの姿を目撃したのですが……おかしいな。			なんと……！まさに、あなたの姿を目撃したのですが……おかしいな。			出奔した複製							
ついさっき、嘆きの海の北の方で見かけ、声をかけようとしたら、去っていったのです。私を追い越してきたとも思えませんが……。			ついさっき、嘆きの海の北の方で見かけ、声をかけようとしたら、去っていったのです。私を追い越してきたとも思えませんが……。			出奔した複製							
もしかして……ウサギさんが見たのは、複製されたヒルディブランド様じゃないでしょうか？			もしかして……ウサギさんが見たのは、複製されたヒルディブランド様じゃないでしょうか？			出奔した複製							
冒険者さん、コヨコヨさんに、ほかにも複製がいるのかどうか聞いてみてください～。			冒険者さん、コヨコヨさんに、ほかにも複製がいるのかどうか聞いてみてください～。			出奔した複製							
コヨコヨ……そういえば、ヒルディブランドの複製、すべて消そうとしたけど、ひとりだけ逃げられた。			コヨコヨ……そういえば、ヒルディブランドの複製、すべて消そうとしたけど、ひとりだけ逃げられた。			出奔した複製							
それ、複製するとき、失敗した個体。だから、動きが予想外で、どこか行っちゃった。			それ、複製するとき、失敗した個体。だから、動きが予想外で、どこか行っちゃった。			出奔した複製							
それは、困りましたな……。私の複製がどこかで勝手な真似をしてしまうと、事件屋の看板に傷がつきかねません。			それは、困りましたな……。私の複製がどこかで勝手な真似をしてしまうと、事件屋の看板に傷がつきかねません。			出奔した複製							
一刻も早く探しだして、コヨコヨ殿に消してもらいたい。お友達の捜索は、そのあとでも構いませんかな？			一刻も早く探しだして、コヨコヨ殿に消してもらいたい。お友達の捜索は、そのあとでも構いませんかな？			出奔した複製							
コヨコヨ……もとはといえば、ボクのミス。もちろん、それで大丈夫。			コヨコヨ……もとはといえば、ボクのミス。もちろん、それで大丈夫。			出奔した複製							
それでは、私の複製の捜索に向かいましょう！			それでは、私の複製の捜索に向かいましょう！			出奔した複製							
用事も済んだところなので、私も協力しますよ。ひとまず、目撃した場所、嘆きの海の北へ向かいましょう。			用事も済んだところなので、私も協力しますよ。ひとまず、目撃した場所、嘆きの海の北へ向かいましょう。			出奔した複製							
スースー…………。			スースー…………。			出奔した複製							
この異星人は、果たしてどんな能力を秘めているのか……？			この異星人は、果たしてどんな能力を秘めているのか……？			出奔した複製							
コヨコヨ……複製機能、たまに誤作動起こす。迷惑かけて、ごめん。			コヨコヨ……複製機能、たまに誤作動起こす。迷惑かけて、ごめん。			出奔した複製							
目撃した場所はこの辺りです……。			目撃した場所はこの辺りです……。			出奔した複製							
ふむ、付近には私らしき紳士の姿は見当たりませんな……。			ふむ、付近には私らしき紳士の姿は見当たりませんな……。			出奔した複製							
まだそう遠くへは行っていないと思いますが、ここら辺を探す必要がありそうですね。			まだそう遠くへは行っていないと思いますが、ここら辺を探す必要がありそうですね。			出奔した複製							
だとしたら、二手に分かれますか？私はナシュと冒険者殿と共に、西に向かいましょう。			だとしたら、二手に分かれますか？私はナシュと冒険者殿と共に、西に向かいましょう。			出奔した複製							
では、私は残りのおふたりと共に、東を捜索します。			では、私は残りのおふたりと共に、東を捜索します。			出奔した複製							
ええッ！？私が異星人たちといっしょに……ッ！？			ええッ！？私が異星人たちといっしょに……ッ！？			出奔した複製							
いいじゃないですか。この際、ゆっくり話して誤解を解きたいところでした。新たなご友人とも親睦を深めたいですしね。			いいじゃないですか。この際、ゆっくり話して誤解を解きたいところでした。新たなご友人とも親睦を深めたいですしね。			出奔した複製							
それでは、我々も出発しましょう。ここのエスコートは、冒険者殿に任せますぞ！			それでは、我々も出発しましょう。ここのエスコートは、冒険者殿に任せますぞ！			出奔した複製							
彫金ハンマーが刺さっている。どうやら、これが致命傷になったようだ……。			彫金ハンマーが刺さっている。どうやら、これが致命傷になったようだ……。			出奔した複製							
何か変な虫が倒れてます～。			何か変な虫が倒れてます～。			出奔した複製							
こ、このハンマーは、まさか……いや、月にいるわけがない、きっと何かの間違い……。			こ、このハンマーは、まさか……いや、月にいるわけがない、きっと何かの間違い……。			出奔した複製							
どうやら、私の複製とは関係がないようです。先に向かいましょう！			どうやら、私の複製とは関係がないようです。先に向かいましょう！			出奔した複製							
何をする？			何をする？			出奔した複製							
話す			話す			出奔した複製							
同行状態を解除する			同行状態を解除する			出奔した複製							
キャンセル			キャンセル			出奔した複製							
月といえば、その衛星である、ダラガブに飛んでいったことを思い出しますな。あれが私の最長飛行記録ですぞ。			月といえば、その衛星である、ダラガブに飛んでいったことを思い出しますな。あれが私の最長飛行記録ですぞ。			出奔した複製							
空に浮かんだ、青いお月様がきれいです～。			空に浮かんだ、青いお月様がきれいです～。			出奔した複製							
「闇の揺り籠」について話す			「闇の揺り籠」について話す			出奔した複製							
月の息吹を感じる、素晴らしき絶景ですな……！			月の息吹を感じる、素晴らしき絶景ですな……！			出奔した複製							
崖下から、温泉が出てます～！			崖下から、温泉が出てます～！			出奔した複製							
ハッハッハ、あれは温泉ではありません、ナシュ。天然資源の青燐水が噴き出しているのです！だから、月の方はお金持ちで、大きなお屋敷を持てるのですぞ！			ハッハッハ、あれは温泉ではありません、ナシュ。天然資源の青燐水が噴き出しているのです！だから、月の方はお金持ちで、大きなお屋敷を持てるのですぞ！			出奔した複製							
さすが、ヒルディブランド様です～！何でも知ってるんですね～。			さすが、ヒルディブランド様です～！何でも知ってるんですね～。			出奔した複製							
「星」について話す			「星」について話す			出奔した複製							
なんと美しい、満天の星空ですな……！			なんと美しい、満天の星空ですな……！			出奔した複製							
雲ひとつない、とってもきれいな夜空です～。			雲ひとつない、とってもきれいな夜空です～。			出奔した複製							
そういえば……。ここに連れてこられてから、ずっと夜のままな気がしますぞ。朝はまだこないのでしょうか……？			そういえば……。ここに連れてこられてから、ずっと夜のままな気がしますぞ。朝はまだこないのでしょうか……？			出奔した複製							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			出奔した複製							
ハッハッハ、冒険者殿も忙しそうですな。構いませんよ、ナシュと先ほどのところでお待ちしておりますぞ！			ハッハッハ、冒険者殿も忙しそうですな。構いませんよ、ナシュと先ほどのところでお待ちしておりますぞ！			出奔した複製							
冒険者さん、どこかに用事ですか～？ヒルディブランド様といっしょに、さっきのところに戻ってます～。			冒険者さん、どこかに用事ですか～？ヒルディブランド様といっしょに、さっきのところに戻ってます～。			出奔した複製							
お待ちしておりました！さあ、私の複製の探索を再開しますぞ！			お待ちしておりました！さあ、私の複製の探索を再開しますぞ！			出奔した複製							
お帰りなさい、冒険者さん。それじゃあ、ヒルディブランド様の複製を探しましょう！			お帰りなさい、冒険者さん。それじゃあ、ヒルディブランド様の複製を探しましょう！			出奔した複製							
このクエストを進行させるには、ヒルディブランドとナシュ・マカラッカが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			このクエストを進行させるには、ヒルディブランドとナシュ・マカラッカが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			出奔した複製							
おや、ナシュはどこでしょう？			おや、ナシュはどこでしょう？			出奔した複製							
あれれ、ヒルディブランド様がいませんよ～。			あれれ、ヒルディブランド様がいませんよ～。			出奔した複製							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			出奔した複製							
同行者がまだ到着していない。近くまで迎えにいって、ともに探索しよう。			同行者がまだ到着していない。近くまで迎えにいって、ともに探索しよう。			出奔した複製							
彫金ハンマーが刺さっている。こちらも、それが致命傷になったようだ……。			彫金ハンマーが刺さっている。こちらも、それが致命傷になったようだ……。			出奔した複製							
また、何かが倒れてます～。よく見たら、かわいいお顔をしてますよ～。			また、何かが倒れてます～。よく見たら、かわいいお顔をしてますよ～。			出奔した複製							
ま、またも、ハンマーが……。			ま、またも、ハンマーが……。			出奔した複製							
あれれ？この彫金ハンマーってもしかして～？			あれれ？この彫金ハンマーってもしかして～？			出奔した複製							
こ、これも私の複製とは関係がないようです！ほかを当たりましょう……！			こ、これも私の複製とは関係がないようです！ほかを当たりましょう……！			出奔した複製							
紳士的な足跡が、北西へと続いている……。			紳士的な足跡が、北西へと続いている……。			出奔した複製							
これは……私の靴の跡と同じですぞ！複製の足跡に間違いありません！			これは……私の靴の跡と同じですぞ！複製の足跡に間違いありません！			出奔した複製							
目標は近い、足跡が続くこの先に向かいましょう……！			目標は近い、足跡が続くこの先に向かいましょう……！			出奔した複製							
紳士的な気配を感じますぞ。きっとこの辺りに、私の複製がいるはず……			紳士的な気配を感じますぞ。きっとこの辺りに、私の複製がいるはず……			出奔した複製							
北東には、それらしき姿は見当たりませんでした。			北東には、それらしき姿は見当たりませんでした。			出奔した複製							
コヨコヨさんも来たようですね～。			コヨコヨさんも来たようですね～。			出奔した複製							
私を発見しましたぞ！			私を発見しましたぞ！			出奔した複製							
(-複製されたヒルディブランド-)ああ……不覚です……。なぜ、あのとき逃げてしまったんでしょう……。			(-複製されたヒルディブランド-)ああ……不覚です……。なぜ、あのとき逃げてしまったんでしょう……。			出奔した複製							
ヒルディブランド様、何だか変です～。			ヒルディブランド様、何だか変です～。			出奔した複製							
明らかな失敗作ですな。あの振る舞いは、私らしくありません。			明らかな失敗作ですな。あの振る舞いは、私らしくありません。			出奔した複製							
ああ、ザル神よ、感謝します。昏睡状態だった我が愛息子を、お救いくださったのですね……。			ああ、ザル神よ、感謝します。昏睡状態だった我が愛息子を、お救いくださったのですね……。			出奔した複製							
(-複製されたヒルディブランド-)皆を見捨てて、自分だけ助かるなんて……私はなんてことを……。			(-複製されたヒルディブランド-)皆を見捨てて、自分だけ助かるなんて……私はなんてことを……。			出奔した複製							
何かおかしい……私の愛が届かない……。あれは、我が息子ではないのか……？			何かおかしい……私の愛が届かない……。あれは、我が息子ではないのか……？			出奔した複製							
(-複製されたヒルディブランド-)あれは……私……！？			(-複製されたヒルディブランド-)あれは……私……！？			出奔した複製							
(-複製されたヒルディブランド-)今度こそ、逃げちゃ駄目だ……。救わねば……！			(-複製されたヒルディブランド-)今度こそ、逃げちゃ駄目だ……。救わねば……！			出奔した複製							
マンダヴィィィィィィィル！ダブルゥ～～夢幻～～闘ゥ～～舞～～ッ！！！			マンダヴィィィィィィィル！ダブルゥ～～夢幻～～闘ゥ～～舞～～ッ！！！			出奔した複製							
い、いまのはいったい……？			い、いまのはいったい……？			出奔した複製							
ヒトを歓迎するために造りかけていた機構が、偶然にも作動したようです。			ヒトを歓迎するために造りかけていた機構が、偶然にも作動したようです。			出奔した複製							
どうやら解決したみたいですが、ヒドい散らかりようですね……。			どうやら解決したみたいですが、ヒドい散らかりようですね……。			出奔した複製							
月はみんなのものなんですから、ちゃんと片付けて帰ってくださいよ。			月はみんなのものなんですから、ちゃんと片付けて帰ってくださいよ。			出奔した複製							
……ホウ。			……ホウ。			出奔した複製							
ハッハッハ！我が息子よ、元気そうで何より！ママも喜びますぞ！			ハッハッハ！我が息子よ、元気そうで何より！ママも喜びますぞ！			出奔した複製							
それもこれも、献身的に看病してくれたナシュと、私のタマシイを連れ戻してくれた、Forename殿のおかげです。			それもこれも、献身的に看病してくれたナシュと、私のタマシイを連れ戻してくれた、Forename殿のおかげです。			出奔した複製							
息子を救ってくれて、本当に感謝しています。おふたりとも、どうもありがとう。			息子を救ってくれて、本当に感謝しています。おふたりとも、どうもありがとう。			出奔した複製							
そして、コヨコヨ殿。あなたの乗り物に危害を加えてしまい、申し訳ございません。もし壊れてしまったのなら、私に何なりとお申し付けください。			そして、コヨコヨ殿。あなたの乗り物に危害を加えてしまい、申し訳ございません。もし壊れてしまったのなら、私に何なりとお申し付けください。			出奔した複製							
コヨコヨ……宇宙船、一時的に誤作動起こしただけ、問題ない。			コヨコヨ……宇宙船、一時的に誤作動起こしただけ、問題ない。			出奔した複製							
それはよかった、安心しました。			それはよかった、安心しました。			出奔した複製							
ときに、Forename殿。私は月に希少な鉱石を探しにきたのですが、つい先程、目的の品を手に入れることができましてな。			ときに、Forename殿。私は月に希少な鉱石を探しにきたのですが、つい先程、目的の品を手に入れることができましてな。			出奔した複製							
それに関連して、あなたに頼みたいことがあるのです。後ほど、ラザハンにて話を聞いてはいただけないでしょうか？			それに関連して、あなたに頼みたいことがあるのです。後ほど、ラザハンにて話を聞いてはいただけないでしょうか？			出奔した複製							
コヨコヨ殿のお友達を探すためにも、みなで母なる星へと戻りましょう！			コヨコヨ殿のお友達を探すためにも、みなで母なる星へと戻りましょう！			出奔した複製							
ずっと超常的なことを追ってきた私ですが、ここまで驚くべきことが立て続けに起きるとは……。途中からマヒしてしまいました。			ずっと超常的なことを追ってきた私ですが、ここまで驚くべきことが立て続けに起きるとは……。途中からマヒしてしまいました。			出奔した複製							
だが、これは願ってもない取材のチャンス！この特ダネは逃しはしません……！			だが、これは願ってもない取材のチャンス！この特ダネは逃しはしません……！			出奔した複製							
魔物に刺さっていた彫金ハンマーは、やっぱり、ゴッドベルト様のものだったんですね～。			魔物に刺さっていた彫金ハンマーは、やっぱり、ゴッドベルト様のものだったんですね～。			出奔した複製							
ひとまず、今回の取材の結果をまとめなければなりません。盛りだくさんなので、それだけでも大仕事ですよ。			ひとまず、今回の取材の結果をまとめなければなりません。盛りだくさんなので、それだけでも大仕事ですよ。			出奔した複製							
コヨコヨ……ヒルディブランドの複製、しっかり消しておいた、もう大丈夫。			コヨコヨ……ヒルディブランドの複製、しっかり消しておいた、もう大丈夫。			出奔した複製							
ど、どうも。UFOに拐われて、いろいろと大変な目に遭いましたが、何とか戻ってこられました。			ど、どうも。UFOに拐われて、いろいろと大変な目に遭いましたが、何とか戻ってこられました。			出奔した複製							
これからも、ナシュさんを陰ながら見守っていくので、どうか、俺のことは気にしないでください！			これからも、ナシュさんを陰ながら見守っていくので、どうか、俺のことは気にしないでください！			出奔した複製							
懐かしの星に戻ってきましたぞ！父上は、何やら人を呼びにいったようですが……。			懐かしの星に戻ってきましたぞ！父上は、何やら人を呼びにいったようですが……。			出奔した複製							
さっそく、私はナシュと共に、コヨコヨ殿のお友達の捜索を開始しますぞ！			さっそく、私はナシュと共に、コヨコヨ殿のお友達の捜索を開始しますぞ！			出奔した複製							
事件屋の勘が手がかりをキャーーッチしました！善は急げです、ハーッハッハッハ！！			事件屋の勘が手がかりをキャーーッチしました！善は急げです、ハーッハッハッハ！！			出奔した複製							
ヒルディブランド様、待ってください～！			ヒルディブランド様、待ってください～！			出奔した複製							
チャネリングで何かを掴んだようですね。興味深いぞ……実に興味深い…………。			チャネリングで何かを掴んだようですね。興味深いぞ……実に興味深い…………。			出奔した複製							
Forenameさん、私は大きな勘違いをしていたようでした。			Forenameさん、私は大きな勘違いをしていたようでした。			出奔した複製							
月で小兎型異星人と相互接触(コンタクト)したことで、彼らに星を侵略する気がないことは理解できました。			月で小兎型異星人と相互接触(コンタクト)したことで、彼らに星を侵略する気がないことは理解できました。			出奔した複製							
しかし……！あの、コヨコヨと呼ばれる異星人こそ、我々の星を狙う正真正銘の侵略者に違いありません！			しかし……！あの、コヨコヨと呼ばれる異星人こそ、我々の星を狙う正真正銘の侵略者に違いありません！			出奔した複製							
私はこれから独自に、コヨコヨを取材していくことにしました。その際、あなたがいてくれると大変助かります。			私はこれから独自に、コヨコヨを取材していくことにしました。その際、あなたがいてくれると大変助かります。			出奔した複製							
もちろん、報酬はお支払いしますので、次なる取材のときは、また協力をお願いします！			もちろん、報酬はお支払いしますので、次なる取材のときは、また協力をお願いします！			出奔した複製							
ホッホッホゥ、お待たせしました。それでは、さっそくお話しさせてください。			ホッホッホゥ、お待たせしました。それでは、さっそくお話しさせてください。			出奔した複製							
私の頼みというのは、ほかでもない、我が家に古くから伝わる最強の武器……			私の頼みというのは、ほかでもない、我が家に古くから伝わる最強の武器……			出奔した複製							
「マンダヴィルウェポン」の製作に協力してほしいのです！			「マンダヴィルウェポン」の製作に協力してほしいのです！			出奔した複製							
それは、私の遠い先祖によって開発されたもの。もはや現物こそ存在しませんが、古文書に記されたレシピが、長年、マンダヴィル家に受け継がれてきました。			それは、私の遠い先祖によって開発されたもの。もはや現物こそ存在しませんが、古文書に記されたレシピが、長年、マンダヴィル家に受け継がれてきました。			出奔した複製							
何と言う？			何と言う？			出奔した複製							
なぜ急に武器製作を？			なぜ急に武器製作を？			出奔した複製							
ゴッドベルトは彫金師では？			ゴッドベルトは彫金師では？			出奔した複製							
たしかに、私は武器製作とは無縁の彫金師……疑問に思うのも無理はありません。その決断に至った理由をお話ししましょう。			たしかに、私は武器製作とは無縁の彫金師……疑問に思うのも無理はありません。その決断に至った理由をお話ししましょう。			出奔した複製							
少し前のことになります。私は新進気鋭の商人との商談のため、このラザハンを訪れていた。			少し前のことになります。私は新進気鋭の商人との商談のため、このラザハンを訪れていた。			出奔した複製							
商談そのものは、実質的な買収提案であったため、すぐに破談となり、帰路につこうとしていたのですが……その矢先に、あの、おぞましい終末現象が発生したのです。			商談そのものは、実質的な買収提案であったため、すぐに破談となり、帰路につこうとしていたのですが……その矢先に、あの、おぞましい終末現象が発生したのです。			出奔した複製							
私は襲いくる獣に立ち向かいましたが、すべての人々を護ることはできず、多大なる犠牲が出ました。			私は襲いくる獣に立ち向かいましたが、すべての人々を護ることはできず、多大なる犠牲が出ました。			出奔した複製							
その光景が忘れられず、仕事も手につかなくなり、失意のどん底にいたとき……聞いたのです。あなたが終末に立ち向かい元凶を払ったと。			その光景が忘れられず、仕事も手につかなくなり、失意のどん底にいたとき……聞いたのです。あなたが終末に立ち向かい元凶を払ったと。			出奔した複製							
Forename殿は、歩み続けていた。ならば私も、立ち止まっている場合ではない……！			Forename殿は、歩み続けていた。ならば私も、立ち止まっている場合ではない……！			出奔した複製							
かくして私は、世界平和を護るため、自分ができることは何かと、真剣に考え始めました。その結論こそが、マンダヴィルウェポンの製作だったのです。			かくして私は、世界平和を護るため、自分ができることは何かと、真剣に考え始めました。その結論こそが、マンダヴィルウェポンの製作だったのです。			出奔した複製							
それからは、素材集めに奔走しました。マンダリウムという、まれに隕石に含有する希少な金属があり、その純度の高い鉱石が必要だったのです。			それからは、素材集めに奔走しました。マンダリウムという、まれに隕石に含有する希少な金属があり、その純度の高い鉱石が必要だったのです。			出奔した複製							
世界中を探しても、なかなか見つかりませんでしたが、月へと渡って、やっと条件に合うものが入手できました。			世界中を探しても、なかなか見つかりませんでしたが、月へと渡って、やっと条件に合うものが入手できました。			出奔した複製							
とはいえ、まだ必要な素材が足りておりません。ぜひ、その入手に力をお借りしたい！			とはいえ、まだ必要な素材が足りておりません。ぜひ、その入手に力をお借りしたい！			出奔した複製							
もしも、力添えをいただけるようなら、ご都合がよいときに、こちらのマンダヴィル家の使用人に声をかけてください。			もしも、力添えをいただけるようなら、ご都合がよいときに、こちらのマンダヴィル家の使用人に声をかけてください。			出奔した複製							
さすれば、私も予定を空けて駆けつけることにしましょう。では、よろしくお願いしますぞ！			さすれば、私も予定を空けて駆けつけることにしましょう。では、よろしくお願いしますぞ！			出奔した複製							
一方  ラザハン  某所――			一方  ラザハン  某所――			出奔した複製							
(-星戦士団の監視兵の声-)囚人が逃げたぞーーー！！			(-星戦士団の監視兵の声-)囚人が逃げたぞーーー！！			出奔した複製							
