ヴォロク連王宮のエレンヴィルは、冒険者たちを待っていたようだ。			ヴォロク連王宮のエレンヴィルは、冒険者たちを待っていたようだ。			継承の儀							
ロネークに乗って移動しますか？			ロネークに乗って移動しますか？			ロネークの背に揺られて							
ペースは落とすが、振り落とされるなよ。			ペースは落とすが、振り落とされるなよ。			ロネークの背に揺られて							
さて……今のうちに荒野の説明でもしておくか。			さて……今のうちに荒野の説明でもしておくか。			ロネークの背に揺られて							
シャーローニ荒野は変わったって話をしたよな。実は、さっきの宿場町もここ数年でできた場所なんだ。			シャーローニ荒野は変わったって話をしたよな。実は、さっきの宿場町もここ数年でできた場所なんだ。			ロネークの背に揺られて							
町が出来る前は、水を補給できる場所も少なくて、ウチワサボテンに頼ることもあったほどだ。			町が出来る前は、水を補給できる場所も少なくて、ウチワサボテンに頼ることもあったほどだ。			ロネークの背に揺られて							
知ってるか？赤い実の果汁とシャクシャクした茎で、渇きを癒せるんだ。			知ってるか？赤い実の果汁とシャクシャクした茎で、渇きを癒せるんだ。			ロネークの背に揺られて							
……道の脇に注目してくれ。青燐水が溜まった穴が見えるはずだ。			……道の脇に注目してくれ。青燐水が溜まった穴が見えるはずだ。			ロネークの背に揺られて							
日光で自然発火する異様な姿……それが死を連想させるのか、現地民には変わった訓話が伝わってるらしい。			日光で自然発火する異様な姿……それが死を連想させるのか、現地民には変わった訓話が伝わってるらしい。			ロネークの背に揺られて							
青燐水を神聖視する部族もいるそうだ……ワラキ族だったか。			青燐水を神聖視する部族もいるそうだ……ワラキ族だったか。			ロネークの背に揺られて							
……っと、ここを曲がれば到着だ。降りる準備をしてくれ。			……っと、ここを曲がれば到着だ。降りる準備をしてくれ。			ロネークの背に揺られて							
ロネークたちも、乗せてくれてありがとな。			ロネークたちも、乗せてくれてありがとな。			ロネークの背に揺られて							
やれやれ、本当にロネークが不足してるんだな。すぐに次の客を乗せて行っちまった……。			やれやれ、本当にロネークが不足してるんだな。すぐに次の客を乗せて行っちまった……。			ロネークの背に揺られて							
さて……			さて……			ロネークの背に揺られて							
ここがシェシェネ青燐泉。トラル大陸の各地から、一攫千金を夢見る労働者が集う、シャーローニ荒野で、最も活気のある町だ。			ここがシェシェネ青燐泉。トラル大陸の各地から、一攫千金を夢見る労働者が集う、シャーローニ荒野で、最も活気のある町だ。			ロネークの背に揺られて							
フーサタイ宿場町の変貌ぶりにも驚かされたが……こっちも3年でえらい変わりようだ。俺だけ、時間の流れに置いていかれた気分になる。			フーサタイ宿場町の変貌ぶりにも驚かされたが……こっちも3年でえらい変わりようだ。俺だけ、時間の流れに置いていかれた気分になる。			ロネークの背に揺られて							
目的地のシャーローニ駅はこの町の東……このまま直行してもいいが、次の列車が発車するまでは、まだしばらく時間がある。			目的地のシャーローニ駅はこの町の東……このまま直行してもいいが、次の列車が発車するまでは、まだしばらく時間がある。			ロネークの背に揺られて							
そんなわけで、発車を待つまでの間、町の見物も兼ねて、同郷の知り合いを訪ねてもいいか？俺の師の友人でな……イヤーテという名前の女性だ。			そんなわけで、発車を待つまでの間、町の見物も兼ねて、同郷の知り合いを訪ねてもいいか？俺の師の友人でな……イヤーテという名前の女性だ。			ロネークの背に揺られて							
……ありがとな。ヤースラニ荒野に帰郷するなら、声くらいかけていかないと後がうるさい。			……ありがとな。ヤースラニ荒野に帰郷するなら、声くらいかけていかないと後がうるさい。			ロネークの背に揺られて							
イヤーテさんは10年くらい前に故郷を出てから、稼ぎのためにトラル大陸を転々としてる人なんだが……今はここでひと山当てるつもりらしい。			イヤーテさんは10年くらい前に故郷を出てから、稼ぎのためにトラル大陸を転々としてる人なんだが……今はここでひと山当てるつもりらしい。			ロネークの背に揺られて							
じゃ、さっそく探してくるか……。おたくも「青灰色の髪のシャトナ族」を探してもらえると助かる。			じゃ、さっそく探してくるか……。おたくも「青灰色の髪のシャトナ族」を探してもらえると助かる。			ロネークの背に揺られて							
ロネークに乗るのは初めてだよな？……おたくなら、関係なく乗りこなせそうだが。			ロネークに乗るのは初めてだよな？……おたくなら、関係なく乗りこなせそうだが。			ロネークの背に揺られて							
んー？イヤーテは私だけど、どうしたの？			んー？イヤーテは私だけど、どうしたの？			ロネークの背に揺られて							
イヤーテさん、そいつは俺のツレだ。			イヤーテさん、そいつは俺のツレだ。			ロネークの背に揺られて							
あれっ、もしかしてあんた……！			あれっ、もしかしてあんた……！			ロネークの背に揺られて							
エレネッシ……			エレネッシ……			ロネークの背に揺られて							
エレンヴィル、だ！			エレンヴィル、だ！			ロネークの背に揺られて							
……って、すっかり男の子になったんだねえ。子どものころは、そりゃあ可愛らしかったのに。			……って、すっかり男の子になったんだねえ。子どものころは、そりゃあ可愛らしかったのに。			ロネークの背に揺られて							
何年前の話をしてるんだ……。3年前に帰ってきたときも会ってるだろう。			何年前の話をしてるんだ……。3年前に帰ってきたときも会ってるだろう。			ロネークの背に揺られて							
あら、そうだっけ？ごめんごめん、長く生きてると記憶が曖昧になってさあ。			あら、そうだっけ？ごめんごめん、長く生きてると記憶が曖昧になってさあ。			ロネークの背に揺られて							
この人は同郷のイヤーテさん。俺の師であるカフキワの幼馴染みだ。			この人は同郷のイヤーテさん。俺の師であるカフキワの幼馴染みだ。			ロネークの背に揺られて							
よろしくね！			よろしくね！			ロネークの背に揺られて							
それにしても、友達連れでふたり旅とはねぇ……あのエレネッシパが！			それにしても、友達連れでふたり旅とはねぇ……あのエレネッシパが！			ロネークの背に揺られて							
何と言う？			何と言う？			ロネークの背に揺られて							
エレネッ……なんて？			エレネッ……なんて？			ロネークの背に揺られて							
それが元の名前？			それが元の名前？			ロネークの背に揺られて							
……エレネッシパは俺の故郷での名だ。グリーナーとして働き始めるときに、面倒が起きないよう、あっちのヴィエラ族に倣って名前を変えたんだ。			……エレネッシパは俺の故郷での名だ。グリーナーとして働き始めるときに、面倒が起きないよう、あっちのヴィエラ族に倣って名前を変えたんだ。			ロネークの背に揺られて							
まあ、帰郷するなら、どのみちおたくには知られてただろうけどな。……とりあえず、今までどおりに呼んでくれ。			まあ、帰郷するなら、どのみちおたくには知られてただろうけどな。……とりあえず、今までどおりに呼んでくれ。			ロネークの背に揺られて							
なるほど、里帰りのついでに立ち寄ってくれたんだね。いいなあ、私もカフキワに会いたくなってきちゃったよ。			なるほど、里帰りのついでに立ち寄ってくれたんだね。いいなあ、私もカフキワに会いたくなってきちゃったよ。			ロネークの背に揺られて							
カフキワはエレネッシパの師であり、母親なんだよ。あの子、すんごい弓の名手でさあ……会うたびに、ご馳走を狩ってきてくれるんだ。			カフキワはエレネッシパの師であり、母親なんだよ。あの子、すんごい弓の名手でさあ……会うたびに、ご馳走を狩ってきてくれるんだ。			ロネークの背に揺られて							
俺から見れば、イヤーテさんも相当だったけどな。シャトナ族は、自然の恵みを受けて生きる狩猟採集民……一流の狩人が多い。			俺から見れば、イヤーテさんも相当だったけどな。シャトナ族は、自然の恵みを受けて生きる狩猟採集民……一流の狩人が多い。			ロネークの背に揺られて							
カフキワは別格だよ！武器の扱いもだけど、何より動物に詳しいのなんのって！			カフキワは別格だよ！武器の扱いもだけど、何より動物に詳しいのなんのって！			ロネークの背に揺られて							
なにせ、その知識を見込まれて、グルージャジャ様の一行に加わっていたくらいなんだから！			なにせ、その知識を見込まれて、グルージャジャ様の一行に加わっていたくらいなんだから！			ロネークの背に揺られて							
もともと好奇心が強い方だったけど、あの旅で大陸のあちこちに行って、火が付いたんだろうね。			もともと好奇心が強い方だったけど、あの旅で大陸のあちこちに行って、火が付いたんだろうね。			ロネークの背に揺られて							
子ども……エレネッシパが生まれてからも、折を見ては私に預けて、未知の動物を探しに行ってさ。			子ども……エレネッシパが生まれてからも、折を見ては私に預けて、未知の動物を探しに行ってさ。			ロネークの背に揺られて							
あの頃のエレネッシパ、寂しくて泣いちゃったり、一緒に連れていけって必死にせがんだり……大変だったよねえ？			あの頃のエレネッシパ、寂しくて泣いちゃったり、一緒に連れていけって必死にせがんだり……大変だったよねえ？			ロネークの背に揺られて							
……おい、余計なことを喋るな。			……おい、余計なことを喋るな。			ロネークの背に揺られて							
いいじゃないの、せっかく友達を連れてきてるんだから。			いいじゃないの、せっかく友達を連れてきてるんだから。			ロネークの背に揺られて							
でもカフキワは、「一人前になるまでは連れていかない」って……。それが、あの子なりのケジメだったんだろうね。			でもカフキワは、「一人前になるまでは連れていかない」って……。それが、あの子なりのケジメだったんだろうね。			ロネークの背に揺られて							
で、その一人前として認める条件として出されたのが、黄金郷を見つけだすこと、だったわけだ。……前にも話したとおりな。			で、その一人前として認める条件として出されたのが、黄金郷を見つけだすこと、だったわけだ。……前にも話したとおりな。			ロネークの背に揺られて							
俺はバカ正直に探し始めて、その努力が無駄に終わると、「おとぎ話」だったんだと考えるようになった。俺の目を外に向けさせるための方便だったんだろうってさ。			俺はバカ正直に探し始めて、その努力が無駄に終わると、「おとぎ話」だったんだと考えるようになった。俺の目を外に向けさせるための方便だったんだろうってさ。			ロネークの背に揺られて							
だが、本当に「黄金郷の扉」を見つけられた。			だが、本当に「黄金郷の扉」を見つけられた。			ロネークの背に揺られて							
え、うそ！？見つけたの！？			え、うそ！？見つけたの！？			ロネークの背に揺られて							
継承の儀の課題だったんだ。トラル大陸に住んでて、なんで知らないんだよ……。			継承の儀の課題だったんだ。トラル大陸に住んでて、なんで知らないんだよ……。			ロネークの背に揺られて							
すごい……すごいよ、エレネッシパ！カフキワ、ぜったい喜ぶよ……！			すごい……すごいよ、エレネッシパ！カフキワ、ぜったい喜ぶよ……！			ロネークの背に揺られて							
まあ、今回の旅について、あれこれ聞いてはくるだろうな。			まあ、今回の旅について、あれこれ聞いてはくるだろうな。			ロネークの背に揺られて							
それじゃあ、そろそろ出発するか。			それじゃあ、そろそろ出発するか。			ロネークの背に揺られて							
立ち寄ってくれてありがとね。カフキワによろしく……			立ち寄ってくれてありがとね。カフキワによろしく……			ロネークの背に揺られて							
(-？？？？-)誰か、誰かたすけて！！			(-？？？？-)誰か、誰かたすけて！！			ロネークの背に揺られて							
今のって……悲鳴！？			今のって……悲鳴！？			ロネークの背に揺られて							
イヤーテさんはここに居てくれ。			イヤーテさんはここに居てくれ。			ロネークの背に揺られて							
無事だといいけど……。あんたも、危ない目に遭いそうになったらすぐ逃げるんだよ！？			無事だといいけど……。あんたも、危ない目に遭いそうになったらすぐ逃げるんだよ！？			ロネークの背に揺られて							
……どうやら、野盗の類らしいな。			……どうやら、野盗の類らしいな。			ロネークの背に揺られて							
ああ、お願いします……どうか助けてください……！大切な物を奪われてしまったんです……！			ああ、お願いします……どうか助けてください……！大切な物を奪われてしまったんです……！			ロネークの背に揺られて							
おたくはたしかウクラマトの乳母の……ナミーカさんか！？			おたくはたしかウクラマトの乳母の……ナミーカさんか！？			ロネークの背に揺られて							
(-ナミーカ-)まあ、あなた方は……！			(-ナミーカ-)まあ、あなた方は……！			ロネークの背に揺られて							
おい、勝手にベラベラ喋ってんじゃねえ！失せねえと、このババアの命はないぜ。			おい、勝手にベラベラ喋ってんじゃねえ！失せねえと、このババアの命はないぜ。			ロネークの背に揺られて							
……この場合、命がないのはおたくらの方だと思うがな。			……この場合、命がないのはおたくらの方だと思うがな。			ロネークの背に揺られて							
アァ！？			アァ！？			ロネークの背に揺られて							
な、なぁ……こいつ、さっきウクラマトって言わなかったか？それになんか……やたらと強そうな奴を連れてるぜ……。			な、なぁ……こいつ、さっきウクラマトって言わなかったか？それになんか……やたらと強そうな奴を連れてるぜ……。			ロネークの背に揺られて							
おい……奪ったブツを、ボスのところへ持っていけ！ここは俺たちに任せろ！			おい……奪ったブツを、ボスのところへ持っていけ！ここは俺たちに任せろ！			ロネークの背に揺られて							
(-ナミーカ-)待って、それはとても大事な物なんです！どうか返してっ……！			(-ナミーカ-)待って、それはとても大事な物なんです！どうか返してっ……！			ロネークの背に揺られて							
……野盗の相手は任せていいか？俺はナミーカさんを追う！			……野盗の相手は任せていいか？俺はナミーカさんを追う！			ロネークの背に揺られて							
クソッ！　あの野郎、勝手なマネを！すぐに捕まえて……			クソッ！　あの野郎、勝手なマネを！すぐに捕まえて……			ロネークの背に揺られて							
チッ……こいつをとっとと片付けるぞ。ババアと野郎の口封じはそのあとだ。			チッ……こいつをとっとと片付けるぞ。ババアと野郎の口封じはそのあとだ。			ロネークの背に揺られて							
つ、つえぇ…なんだこいつ…			つ、つえぇ…なんだこいつ…			ロネークの背に揺られて							
ううっ…ボスにバレたら殺される…			ううっ…ボスにバレたら殺される…			ロネークの背に揺られて							
Forename様。助けていただき、本当にありがとうございました……。			Forename様。助けていただき、本当にありがとうございました……。			ロネークの背に揺られて							
悪い、野盗は逃しちまった。向かった先の見当はついてるが……			悪い、野盗は逃しちまった。向かった先の見当はついてるが……			ロネークの背に揺られて							
……さっき、大切な物を奪われたって言ってたよな。どんな物だか、聞いてもいいか？			……さっき、大切な物を奪われたって言ってたよな。どんな物だか、聞いてもいいか？			ロネークの背に揺られて							
は、はい……奪われたのは、ウクラマト様から感謝の気持ちにと頂いた腕輪なのです……。			は、はい……奪われたのは、ウクラマト様から感謝の気持ちにと頂いた腕輪なのです……。			ロネークの背に揺られて							
そいつは……替えが効くような物じゃないな。			そいつは……替えが効くような物じゃないな。			ロネークの背に揺られて							
……たしかおたくは、あいつがガキのころから世話をしてた、専属の乳母だったよな？			……たしかおたくは、あいつがガキのころから世話をしてた、専属の乳母だったよな？			ロネークの背に揺られて							
ええ、そうですが……私もいい歳ですからね。ウクラマト様の独り立ちを見届けたあとには、故郷のヤースラニ荒野に帰ろうと決めていたのです。			ええ、そうですが……私もいい歳ですからね。ウクラマト様の独り立ちを見届けたあとには、故郷のヤースラニ荒野に帰ろうと決めていたのです。			ロネークの背に揺られて							
ウクラマト様ときたら、育ててくれたお礼だなんて言って、こんな私に素敵な腕輪を贈ってくださいました。			ウクラマト様ときたら、育ててくれたお礼だなんて言って、こんな私に素敵な腕輪を贈ってくださいました。			ロネークの背に揺られて							
それがあまりに嬉しくて……人目のあるところで腕輪を身に着けてしまったのが、よくなかったのでしょう。			それがあまりに嬉しくて……人目のあるところで腕輪を身に着けてしまったのが、よくなかったのでしょう。			ロネークの背に揺られて							
金銭ならいくら盗られても構いません。でも、あれだけは……本当に大切な品だったのに……！			金銭ならいくら盗られても構いません。でも、あれだけは……本当に大切な品だったのに……！			ロネークの背に揺られて							
……どうする？まあ、その様子じゃ聞くまでもなさそうだが。			……どうする？まあ、その様子じゃ聞くまでもなさそうだが。			ロネークの背に揺られて							
何と言う？			何と言う？			ロネークの背に揺られて							
腕輪は自分が取り戻す！			腕輪は自分が取り戻す！			ロネークの背に揺られて							
ラマチの代わりにぶっ飛ばす！			ラマチの代わりにぶっ飛ばす！			ロネークの背に揺られて							
そんな……あなた様が危険な目に遭ってしまったら……！			そんな……あなた様が危険な目に遭ってしまったら……！			ロネークの背に揺られて							
……十中八九、危険な目に遭うのは奴らの方だ。Forenameの強さは信じていい。			……十中八九、危険な目に遭うのは奴らの方だ。Forenameの強さは信じていい。			ロネークの背に揺られて							
どちらかと言えば、いかに「法」ってやつに触れないよう、腕輪を取り戻すかが腕の見せ所だろう。もちろん俺も協力する。			どちらかと言えば、いかに「法」ってやつに触れないよう、腕輪を取り戻すかが腕の見せ所だろう。もちろん俺も協力する。			ロネークの背に揺られて							
まあ、なんて頼もしい……！さすが、ウクラマト様が心から信頼を寄せる方々ですね。			まあ、なんて頼もしい……！さすが、ウクラマト様が心から信頼を寄せる方々ですね。			ロネークの背に揺られて							
ひとまずナミーカさんを、シェシェネ青燐泉まで送ろう。人目も多いし、イヤーテさんに付いててもらえば、何かあったときも安心だろ？			ひとまずナミーカさんを、シェシェネ青燐泉まで送ろう。人目も多いし、イヤーテさんに付いててもらえば、何かあったときも安心だろ？			ロネークの背に揺られて							
本当に何から何まで……ありがとうございます。			本当に何から何まで……ありがとうございます。			ロネークの背に揺られて							
ナミーカさんは無事だ。怪我もしていないから安心してくれ。			ナミーカさんは無事だ。怪我もしていないから安心してくれ。			ロネークの背に揺られて							
ふたりから事情は聞いたよ……ナミーカさんは私が責任もって守ったげる！野盗どもが近づいてきたら、騒ぎまくって追い払ってやるわ！			ふたりから事情は聞いたよ……ナミーカさんは私が責任もって守ったげる！野盗どもが近づいてきたら、騒ぎまくって追い払ってやるわ！			ロネークの背に揺られて							
……にしても、人の物を盗む奴らは本当に許せないよ。大切な思い出まで、平気で奪っていくんだからさ。			……にしても、人の物を盗む奴らは本当に許せないよ。大切な思い出まで、平気で奪っていくんだからさ。			ロネークの背に揺られて							
何はともあれ、みんなが無事でよかった。			何はともあれ、みんなが無事でよかった。			ロネークの背に揺られて							
町にはイヤーテさんの採掘仲間も多いらしい。ここにいればひとまず安全だろう。			町にはイヤーテさんの採掘仲間も多いらしい。ここにいればひとまず安全だろう。			ロネークの背に揺られて							
メワヘイゾーン付近のエレンヴィルは、木材を見つめている。			メワヘイゾーン付近のエレンヴィルは、木材を見つめている。			大地が鳴いた日							
エレンヴィルと話した。シャーローニ荒野のメワヘイゾーン付近で、木材置き場にある「枕木用の木材」を持ち上げよう。			エレンヴィルと話した。シャーローニ荒野のメワヘイゾーン付近で、木材置き場にある「枕木用の木材」を持ち上げよう。			大地が鳴いた日							
枕木用の木材を持ち上げた。メワヘイゾーンの外まで運搬して「指定地点」に置こう。			枕木用の木材を持ち上げた。メワヘイゾーンの外まで運搬して「指定地点」に置こう。			大地が鳴いた日							
ワーリカたちの手伝いが完了した。シャーローニ駅付近の「エレンヴィル」と話そう。			ワーリカたちの手伝いが完了した。シャーローニ駅付近の「エレンヴィル」と話そう。			大地が鳴いた日							
線路の復旧を待った。シャーローニ駅付近のエレンヴィルに声をかけよう。			線路の復旧を待った。シャーローニ駅付近のエレンヴィルに声をかけよう。			大地が鳴いた日							
グルージャジャがゾラージャとの一騎討ちに敗れてしまった。トライヨラの金凰の間にいる「ウクラマト」と話そう。ほかの地に移動してしまった場合は、ヴォロク連王宮の「勇連隊の衛兵」に話しかけることで、金凰の間に通してもらえるようだ。			グルージャジャがゾラージャとの一騎討ちに敗れてしまった。トライヨラの金凰の間にいる「ウクラマト」と話そう。ほかの地に移動してしまった場合は、ヴォロク連王宮の「勇連隊の衛兵」に話しかけることで、金凰の間に通してもらえるようだ。			大地が鳴いた日							
仲間たちは、信じがたい出来事に言葉を失っている。グルージャジャの命を繋ぎ止められるだろうか……。			仲間たちは、信じがたい出来事に言葉を失っている。グルージャジャの命を繋ぎ止められるだろうか……。			大地が鳴いた日							
枕木用の木材を持ち上げる			枕木用の木材を持ち上げる			大地が鳴いた日							
指定地点に枕木用の木材を置く			指定地点に枕木用の木材を置く			大地が鳴いた日							
エレンヴィルと話す			エレンヴィルと話す			大地が鳴いた日							
金凰の間のウクラマトと話す			金凰の間のウクラマトと話す			大地が鳴いた日							
あなた方と話せてよかった。今度は一緒に狩りでもしましょう。			あなた方と話せてよかった。今度は一緒に狩りでもしましょう。			大地が鳴いた日							
次はいつ遊びに来る？もっと外の話を聞かせてほしいな！			次はいつ遊びに来る？もっと外の話を聞かせてほしいな！			大地が鳴いた日							
さて、ワーリカが戻るのを待つとして……よそのロネークがここまで入り込まなくてもいいように、街道沿いまでは移動させておくか。			さて、ワーリカが戻るのを待つとして……よそのロネークがここまで入り込まなくてもいいように、街道沿いまでは移動させておくか。			大地が鳴いた日							
ふたりで手分けして、「枕木用の木材」を運ぶとしよう。			ふたりで手分けして、「枕木用の木材」を運ぶとしよう。			大地が鳴いた日							
運搬作業は、ラヴィリンソスで死ぬほどやらされたからな。……これくらいなら普通だと思うようになった。			運搬作業は、ラヴィリンソスで死ぬほどやらされたからな。……これくらいなら普通だと思うようになった。			大地が鳴いた日							
メワヘイゾーンから木材を運んでこよう。			メワヘイゾーンから木材を運んでこよう。			大地が鳴いた日							
ふう……。これだけあれば十分そうだな。			ふう……。これだけあれば十分そうだな。			大地が鳴いた日							
運ばせちまってすまねえな！重かっただろ？			運ばせちまってすまねえな！重かっただろ？			大地が鳴いた日							
残りは俺たちがやっておくから、お前さんたちは、ひと休みしてくれ。			残りは俺たちがやっておくから、お前さんたちは、ひと休みしてくれ。			大地が鳴いた日							
それにしても、本当にありがとね！列車が復旧したら、一番に乗せてあげるから！			それにしても、本当にありがとね！列車が復旧したら、一番に乗せてあげるから！			大地が鳴いた日							
あー……それなんだが、復旧後の一番列車は、予約客で埋まっちまってるんだよ。			あー……それなんだが、復旧後の一番列車は、予約客で埋まっちまってるんだよ。			大地が鳴いた日							
すまねえが、次に出る二番列車でもいいか？もちろん手伝ってくれた礼に、一等客室の切符をふたり分、無料で用意するからよ！			すまねえが、次に出る二番列車でもいいか？もちろん手伝ってくれた礼に、一等客室の切符をふたり分、無料で用意するからよ！			大地が鳴いた日							
俺は構わないというか、ありがたいくらいの話だ。ナミーカさんみたいに前から予約している人こそ、先に乗って当然だろうからな。			俺は構わないというか、ありがたいくらいの話だ。ナミーカさんみたいに前から予約している人こそ、先に乗って当然だろうからな。			大地が鳴いた日							
ありがとな！せっかくの機会だし、一番列車が出発するところは、ぜひ見てってくれよな！			ありがとな！せっかくの機会だし、一番列車が出発するところは、ぜひ見てってくれよな！			大地が鳴いた日							
線路脇から眺めると、ド迫力だぜ！？			線路脇から眺めると、ド迫力だぜ！？			大地が鳴いた日							
一番列車の運転士はニトウィケさんだよ！列車の運転技術では、彼女の右に出る人はいないってくらい、もうパワフルで、しかも安定しててさあ……！			一番列車の運転士はニトウィケさんだよ！列車の運転技術では、彼女の右に出る人はいないってくらい、もうパワフルで、しかも安定しててさあ……！			大地が鳴いた日							
……そんなことより、俺たちは仕事だ！いくぞ、シェンダ！			……そんなことより、俺たちは仕事だ！いくぞ、シェンダ！			大地が鳴いた日							
さて、もう俺たちにできることはなさそうだな。シャーローニ駅の方で待つとするか。			さて、もう俺たちにできることはなさそうだな。シャーローニ駅の方で待つとするか。			大地が鳴いた日							
ありがとな！おかげで、これ以上客を待たせずに済みそうだぜ！			ありがとな！おかげで、これ以上客を待たせずに済みそうだぜ！			大地が鳴いた日							
キミたちのおかげで、ようやく作業が進んだよ！あとは枕木を交換すれば、元どおりに走れるはずさ！			キミたちのおかげで、ようやく作業が進んだよ！あとは枕木を交換すれば、元どおりに走れるはずさ！			大地が鳴いた日							
残りの作業は俺たちに任せてくれ。列車の走りっぷり、楽しみにしててくれよな！			残りの作業は俺たちに任せてくれ。列車の走りっぷり、楽しみにしててくれよな！			大地が鳴いた日							
列車の復旧まで、おたくもここで休むか？			列車の復旧まで、おたくもここで休むか？			大地が鳴いた日							
これより物語が大きく進展するため、カットシーンが連続して再生されます。			これより物語が大きく進展するため、カットシーンが連続して再生されます。			大地が鳴いた日							
しばらく時間がかかるため、十分にプレイ時間を確保したうえで、続きを進めることを、お勧めいたします。			しばらく時間がかかるため、十分にプレイ時間を確保したうえで、続きを進めることを、お勧めいたします。			大地が鳴いた日							
列車の復旧まで待ちますか？			列車の復旧まで待ちますか？			大地が鳴いた日							
うそだろ……オヤジ……。			うそだろ……オヤジ……。			大地が鳴いた日							
Forename様……。金凰の間へお戻りになりますか？			Forename様……。金凰の間へお戻りになりますか？			大地が鳴いた日							
「金凰の間」へ移動しますか？			「金凰の間」へ移動しますか？			大地が鳴いた日							
釉薬の工房のコーナは、まだ伝えたいことがあるようだ。			釉薬の工房のコーナは、まだ伝えたいことがあるようだ。			壺の試練							
レディロクと話す			レディロクと話す			壺の試練							
ウクラマトと話す			ウクラマトと話す			壺の試練							
ローペリと話す			ローペリと話す			壺の試練							
フォンジャンテーンと話す			フォンジャンテーンと話す			壺の試練							
ウクラマトと話す			ウクラマトと話す			壺の試練							
カーヘのために作った料理、アタシもひと皿味見したけど、めちゃめちゃ美味かったぜ！ついついおかわりしちまったもん！			カーヘのために作った料理、アタシもひと皿味見したけど、めちゃめちゃ美味かったぜ！ついついおかわりしちまったもん！			壺の試練							
フゴォ……フゴォ……カーヘが作った　オイルランプさっそく　献上　連王宮～！			フゴォ……フゴォ……カーヘが作った　オイルランプさっそく　献上　連王宮～！			壺の試練							
選者いわく、「壺の試練」に参加する継承候補者たちは、アースンシャイア西側の建物で待つように、とのこと。僕は、サンクレッドたちと合流してから向かいます。			選者いわく、「壺の試練」に参加する継承候補者たちは、アースンシャイア西側の建物で待つように、とのこと。僕は、サンクレッドたちと合流してから向かいます。			壺の試練							
そうそう、ラマチを呼びに来る途中で見かけた、ルヴェユール家の兄妹にもお伝えしておきましたよ。			そうそう、ラマチを呼びに来る途中で見かけた、ルヴェユール家の兄妹にもお伝えしておきましたよ。			壺の試練							
アタシらは競争相手なんだから、律儀に教えなくてもいいのに。兄さんって、昔からクソ真面目だよなぁ……。			アタシらは競争相手なんだから、律儀に教えなくてもいいのに。兄さんって、昔からクソ真面目だよなぁ……。			壺の試練							
ともかく、選者の「レディロク」のところに向かおうぜ！			ともかく、選者の「レディロク」のところに向かおうぜ！			壺の試練							
フゴォ……フゴォ……カーヘ残って　ひと安心！ふたりなら　きっと試練も　上手くいく～！			フゴォ……フゴォ……カーヘ残って　ひと安心！ふたりなら　きっと試練も　上手くいく～！			壺の試練							
みんなは、まだ来てねぇみたいだな。			みんなは、まだ来てねぇみたいだな。			壺の試練							
フゴォ……フゴォ……世話人ラコロクの　手伝い感謝！			フゴォ……フゴォ……世話人ラコロクの　手伝い感謝！			壺の試練							
ほかの候補者　集まり次第　お待ちかねの　試練を発表！それまで少し　待っていて！			ほかの候補者　集まり次第　お待ちかねの　試練を発表！それまで少し　待っていて！			壺の試練							
こちらは上手くいって、ひとりの壺匠を引き止めることができたよ。君たちの方はどうだったんだい？			こちらは上手くいって、ひとりの壺匠を引き止めることができたよ。君たちの方はどうだったんだい？			壺の試練							
そうか、そちらも順調だったようだね。			そうか、そちらも順調だったようだね。			壺の試練							
フゴォ……フゴォ……ゾラージャ様　モブたちの村　ようこそモブ！外征進めて　よその土地から　壺匠たち連れてきて！			フゴォ……フゴォ……ゾラージャ様　モブたちの村　ようこそモブ！外征進めて　よその土地から　壺匠たち連れてきて！			壺の試練							
ゾラージャ様は　力持ち！とてとてたくさん　落石を　軽々ぜんぶ　運んでくれた！さすがは本命　奇跡の子　次代の王は　決まりかも！？			ゾラージャ様は　力持ち！とてとてたくさん　落石を　軽々ぜんぶ　運んでくれた！さすがは本命　奇跡の子　次代の王は　決まりかも！？			壺の試練							
あのゾラージャが、落石の片付けをしてきただなんて、意外だな。己の目的にしか、興味がないものだと思ってたが。			あのゾラージャが、落石の片付けをしてきただなんて、意外だな。己の目的にしか、興味がないものだと思ってたが。			壺の試練							
(-戦のバクージャジャ-)おやおやァ、皆さんお揃いで。			(-戦のバクージャジャ-)おやおやァ、皆さんお揃いで。			壺の試練							
あいつ……私たちがモブリン族の頼みを聞いてる間、どこかに隠れてたんじゃないでしょうね。			あいつ……私たちがモブリン族の頼みを聞いてる間、どこかに隠れてたんじゃないでしょうね。			壺の試練							
フゴォ……フゴォ……それでは　さっそく　試練を発表！			フゴォ……フゴォ……それでは　さっそく　試練を発表！			壺の試練							
知ってのとおり　大嵐のあと契約していた壺匠たち　とてとてたくさん　去っていった！			知ってのとおり　大嵐のあと契約していた壺匠たち　とてとてたくさん　去っていった！			壺の試練							
壺匠たちの金細工　外つ国　売れる輸出品！供給減れば　大問題　トライヨラも大打撃！			壺匠たちの金細工　外つ国　売れる輸出品！供給減れば　大問題　トライヨラも大打撃！			壺の試練							
そこでみんなに　見つけてほしい！それぞれひとり　見つけてほしい！彫金職人　腕利き職人　どうかここに　連れてきて！			そこでみんなに　見つけてほしい！それぞれひとり　見つけてほしい！彫金職人　腕利き職人　どうかここに　連れてきて！			壺の試練							
