木工師ギルドのベアティヌは、相談したいことがあるようだ。			木工師ギルドのベアティヌは、相談したいことがあるようだ。			新人木工師、チェミ・ジンジャル！							
しばらく会えなくなるが、元気でやれよ。「ベアティヌ」にも、そう伝えてくれ。			しばらく会えなくなるが、元気でやれよ。「ベアティヌ」にも、そう伝えてくれ。			愛別離苦							
Forenameさん……ゲイルハードに……武器を届けてくれたのですね……			Forenameさん……ゲイルハードに……武器を届けてくれたのですね……			愛別離苦							
ええ、当然ですよね……木工師ですから、依頼は、こなさなければ……ですが……			ええ、当然ですよね……木工師ですから、依頼は、こなさなければ……ですが……			愛別離苦							
私は……我慢できなかったんです……ゲイルハードが、弓を変えようとしないことが……。			私は……我慢できなかったんです……ゲイルハードが、弓を変えようとしないことが……。			愛別離苦							
あの弓は、もう限界なんです……彼自身のために、もっとよい弓を作ると言っても……聞き入れてもらえなくて……			あの弓は、もう限界なんです……彼自身のために、もっとよい弓を作ると言っても……聞き入れてもらえなくて……			愛別離苦							
それで、つい怒ってケンカになってしまったんです……。ハァ……依頼人に考えを押し付けてしまうなんて……私……職人失格ですよね……。			それで、つい怒ってケンカになってしまったんです……。ハァ……依頼人に考えを押し付けてしまうなんて……私……職人失格ですよね……。			愛別離苦							
ゲイルハードは、もう発ってしまいましたか……今までも窮地を切り抜けてきた彼ならば、きっと大丈夫だと信じたいのですが……。			ゲイルハードは、もう発ってしまいましたか……今までも窮地を切り抜けてきた彼ならば、きっと大丈夫だと信じたいのですが……。			愛別離苦							
雲霧街のバルトヴューは、少し落ち込んでいるようだ。			雲霧街のバルトヴューは、少し落ち込んでいるようだ。			父を憂う息子							
バルトヴューは、命の恩人の正教の修道士に杖を送りたいようだ。イシュガルドのエーテライト・プラザにいる「正教の修道士」と話そう。			バルトヴューは、命の恩人の正教の修道士に杖を送りたいようだ。イシュガルドのエーテライト・プラザにいる「正教の修道士」と話そう。			父を憂う息子							
正教の修道士はダークチェスナットロッドが欲しいようだ。「ダークチェスナットロッド」を製作し、エーテライト・プラザの「正教の修道士」に納品しよう。			正教の修道士はダークチェスナットロッドが欲しいようだ。「ダークチェスナットロッド」を製作し、エーテライト・プラザの「正教の修道士」に納品しよう。			父を憂う息子							
正教の修道士にダークチェスナットロッドを納品した。フィリパレが雇っていたことは内緒にして、雲霧街の「バルトヴュー」に報告しよう。			正教の修道士にダークチェスナットロッドを納品した。フィリパレが雇っていたことは内緒にして、雲霧街の「バルトヴュー」に報告しよう。			父を憂う息子							
バルトヴューに報告した。彼は、子の心配も知らず、竜に再び挑むと気炎を吐いた。バルトヴューの弓術士の訓練に負けないくらい、木工師の修行に励もう。※木工師のレベルが58以上になると、雲霧街のバルトヴューから次の木工師クエストを受注することができます。			バルトヴューに報告した。彼は、子の心配も知らず、竜に再び挑むと気炎を吐いた。バルトヴューの弓術士の訓練に負けないくらい、木工師の修行に励もう。※木工師のレベルが58以上になると、雲霧街のバルトヴューから次の木工師クエストを受注することができます。			父を憂う息子							
正教の修道士と話す			正教の修道士と話す			父を憂う息子							
ダークチェスナットロッドを製作正教の修道士にダークチェスナットロッドを納品			ダークチェスナットロッドを製作正教の修道士にダークチェスナットロッドを納品			父を憂う息子							
バルトヴューに報告			バルトヴューに報告			父を憂う息子							
……おう、あんたか。ヌーグルヴィルに戦いを挑んだものの、未だ、騎士にはなれてないよ……。			……おう、あんたか。ヌーグルヴィルに戦いを挑んだものの、未だ、騎士にはなれてないよ……。			父を憂う息子							
あんたが作ってくれた弓が悪かった訳じゃねぇ。矢の伸びも威力もスゲェ、本当にいい代物だったさ。……だが、俺は弓術士として、まだまだ半端者らしい。			あんたが作ってくれた弓が悪かった訳じゃねぇ。矢の伸びも威力もスゲェ、本当にいい代物だったさ。……だが、俺は弓術士として、まだまだ半端者らしい。			父を憂う息子							
ヌーグルヴィルに向けて、ありったけの矢を放ったが、素早く飛び回られて仕留めることができなかった。それどころか、怒り狂った奴の猛反撃で危うく死にかけてな……。			ヌーグルヴィルに向けて、ありったけの矢を放ったが、素早く飛び回られて仕留めることができなかった。それどころか、怒り狂った奴の猛反撃で危うく死にかけてな……。			父を憂う息子							
……ところが、幸いにも、正教の修道士がとおりがかり、気を失っていた俺を助けてくれたのさ。			……ところが、幸いにも、正教の修道士がとおりがかり、気を失っていた俺を助けてくれたのさ。			父を憂う息子							
修道士さまには、デッカイ恩ができちまった……。恩は必ず返すのが、俺の性分だ。			修道士さまには、デッカイ恩ができちまった……。恩は必ず返すのが、俺の性分だ。			父を憂う息子							
そんなこんなで、何で返すべきか考えあぐねていたんだが、いいところに来てくれたぜ……。……あんた、木工師なら杖も作れるだろう？			そんなこんなで、何で返すべきか考えあぐねていたんだが、いいところに来てくれたぜ……。……あんた、木工師なら杖も作れるだろう？			父を憂う息子							
正教の修道士には、幻術の心得があってな。良い幻具を贈ってやることができれば、喜ぶと思うんだ。とはいえ、俺には、杖の良し悪しはさっぱりわからねぇ……。			正教の修道士には、幻術の心得があってな。良い幻具を贈ってやることができれば、喜ぶと思うんだ。とはいえ、俺には、杖の良し悪しはさっぱりわからねぇ……。			父を憂う息子							
すまないが、「エーテライト・プラザ」にいる、「正教の修道士」から話を聞いて、好みの杖を作ってくれよ。代金は必ず後で支払う……頼んだぜ。			すまないが、「エーテライト・プラザ」にいる、「正教の修道士」から話を聞いて、好みの杖を作ってくれよ。代金は必ず後で支払う……頼んだぜ。			父を憂う息子							
すまないが、「エーテライト・プラザ」にいる、「正教の修道士」から話を聞いて、好みの杖を作ってくれよ。代金は必ず後で支払う……頼んだぜ。			すまないが、「エーテライト・プラザ」にいる、「正教の修道士」から話を聞いて、好みの杖を作ってくれよ。代金は必ず後で支払う……頼んだぜ。			父を憂う息子							
……ほう、君があの人に頼まれて杖を？礼は不要だと言ったのですが、彼も律儀な男ですね。しかし、これ以上、断り続けるのも失礼というもの……。			……ほう、君があの人に頼まれて杖を？礼は不要だと言ったのですが、彼も律儀な男ですね。しかし、これ以上、断り続けるのも失礼というもの……。			父を憂う息子							
それでは、お言葉に甘えさせていただきましょう。「ダークチェスナットロッド」を、作っていただけないでしょうか？ちょうど幻具が傷んでいて、替え時だったのです。			それでは、お言葉に甘えさせていただきましょう。「ダークチェスナットロッド」を、作っていただけないでしょうか？ちょうど幻具が傷んでいて、替え時だったのです。			父を憂う息子							
俺には、杖の良し悪しはさっぱりわからねぇ……。木工師のあんたに任せるぜ。			俺には、杖の良し悪しはさっぱりわからねぇ……。木工師のあんたに任せるぜ。			父を憂う息子							
「ダークチェスナットロッド」を、作っていただけないでしょうか？ちょうど幻具が傷んでいて、替え時だったのです。			「ダークチェスナットロッド」を、作っていただけないでしょうか？ちょうど幻具が傷んでいて、替え時だったのです。			父を憂う息子							
これは……大地に根付いていた頃の大木の息吹さえ、感じられるほど、素材の生命力を感じる素晴らしい幻具です！今まで以上に、癒し手として働くことができそうですよ。			これは……大地に根付いていた頃の大木の息吹さえ、感じられるほど、素材の生命力を感じる素晴らしい幻具です！今まで以上に、癒し手として働くことができそうですよ。			父を憂う息子							
それにしても、フィリパレ君のような小さな依頼人が、君のような熟練木工師を雇うとは……少しばかり驚きました。			それにしても、フィリパレ君のような小さな依頼人が、君のような熟練木工師を雇うとは……少しばかり驚きました。			父を憂う息子							
……え？　私のために杖を作るよう依頼したのは、フィリパレ君ではなく、父親のバルトヴュー氏ですって？			……え？　私のために杖を作るよう依頼したのは、フィリパレ君ではなく、父親のバルトヴュー氏ですって？			父を憂う息子							
修道士さま、父ちゃんを助けてくれたお礼を持ってきたよ。僕が捕った野鳥、食べ応えのある大物さ！			修道士さま、父ちゃんを助けてくれたお礼を持ってきたよ。僕が捕った野鳥、食べ応えのある大物さ！			父を憂う息子							
……なるほど、どうやら私の早とちりだったようですね。お礼でしたら、君のお父さんからすでにいただいたところですよ。			……なるほど、どうやら私の早とちりだったようですね。お礼でしたら、君のお父さんからすでにいただいたところですよ。			父を憂う息子							
だから、お気持ちだけで充分です。その獲物は、食べ盛りの君にこそ必要でしょう。			だから、お気持ちだけで充分です。その獲物は、食べ盛りの君にこそ必要でしょう。			父を憂う息子							
……なんだ、父ちゃんが先に礼をしてたのか。			……なんだ、父ちゃんが先に礼をしてたのか。			父を憂う息子							
ありがとう、フィリパレ君。君は、実に父親想いの孝行息子なのですね。			ありがとう、フィリパレ君。君は、実に父親想いの孝行息子なのですね。			父を憂う息子							
さて、あなたにも礼をせねばなりません。バルトヴュー氏にも、よくよく礼を伝えてください。それでは、私は聖務がありますので失礼しますね。			さて、あなたにも礼をせねばなりません。バルトヴュー氏にも、よくよく礼を伝えてください。それでは、私は聖務がありますので失礼しますね。			父を憂う息子							
実はね……あの修道士さんに頼んで、父ちゃんを助けに行ってもらっていたんだ。ドラゴン族との戦いで、怪我人が出るかもしれないからって。			実はね……あの修道士さんに頼んで、父ちゃんを助けに行ってもらっていたんだ。ドラゴン族との戦いで、怪我人が出るかもしれないからって。			父を憂う息子							
でも、この事は内緒だよ？父ちゃんの面子が丸潰れになっちゃうからね。今回で懲りて、もう危ないことはやめてくれればいいけど……。			でも、この事は内緒だよ？父ちゃんの面子が丸潰れになっちゃうからね。今回で懲りて、もう危ないことはやめてくれればいいけど……。			父を憂う息子							
届けてくれたかい、ありがとよ！あんたが作った杖だったら、きっといい恩返しになったはずだ。少ないが、代金を受け取ってくれ……。			届けてくれたかい、ありがとよ！あんたが作った杖だったら、きっといい恩返しになったはずだ。少ないが、代金を受け取ってくれ……。			父を憂う息子							
今回の敗北で、俺は弓術士としての未熟さを痛感した……。でも、ヌーグルヴィル狩りを諦めたわけじゃないぜ。これからは、しばらく訓練に励むことにするよ！			今回の敗北で、俺は弓術士としての未熟さを痛感した……。でも、ヌーグルヴィル狩りを諦めたわけじゃないぜ。これからは、しばらく訓練に励むことにするよ！			父を憂う息子							
クガネのコトカゼは、冒険者に渡したいものがあるようだ。			クガネのコトカゼは、冒険者に渡したいものがあるようだ。			一脚の安楽椅子							
クガネのコトカゼから、チェミ・ジンジャルの手紙を受け取った。ヤンサのナマイ村にいる「チェミ・ジンジャル」と話そう			クガネのコトカゼから、チェミ・ジンジャルの手紙を受け取った。ヤンサのナマイ村にいる「チェミ・ジンジャル」と話そう			一脚の安楽椅子							
チェミ・ジンジャルは、ベアティヌから与えられた課題をこなすため、奮起しているようだ。ナマイ村で困っている人を探そう。			チェミ・ジンジャルは、ベアティヌから与えられた課題をこなすため、奮起しているようだ。ナマイ村で困っている人を探そう。			一脚の安楽椅子							
レイザンは、ドマ町人地の人々が、安心して食事を楽しむことのできる家具を作成してほしいという。ナマイ村の住民たちと話し、ドマの食文化について調査しよう。			レイザンは、ドマ町人地の人々が、安心して食事を楽しむことのできる家具を作成してほしいという。ナマイ村の住民たちと話し、ドマの食文化について調査しよう。			一脚の安楽椅子							
住民たちによると、ドマ町人地では、食事中の姿を人に見られることをよしとしないようだ。ナマイ村の「チェミ・ジンジャル」と話そう。			住民たちによると、ドマ町人地では、食事中の姿を人に見られることをよしとしないようだ。ナマイ村の「チェミ・ジンジャル」と話そう。			一脚の安楽椅子							
チェミ・ジンジャルと話し、製作物が決まった。「衝立の材料」をもとに「高級衝立」を製作し、ナマイ村の「レイザン」に納品しよう。※「衝立の材料」を失った場合は、チェミ・ジンジャルに話しかけましょう。材料を入手し、再挑戦が可能になります。			チェミ・ジンジャルと話し、製作物が決まった。「衝立の材料」をもとに「高級衝立」を製作し、ナマイ村の「レイザン」に納品しよう。※「衝立の材料」を失った場合は、チェミ・ジンジャルに話しかけましょう。材料を入手し、再挑戦が可能になります。			一脚の安楽椅子							
レイザンは、高級衝立を設置することで、ドマ町人地の人々が安心して食事を楽しめるだろうと喜んだ。グリダニアの「木工師ギルド」へ戻ろう。			レイザンは、高級衝立を設置することで、ドマ町人地の人々が安心して食事を楽しめるだろうと喜んだ。グリダニアの「木工師ギルド」へ戻ろう。			一脚の安楽椅子							
木工師ギルドへと戻ってきたチェミ・ジンジャルは、かつて母に一脚の安楽椅子を作ったときのことを思い出し、職人として大切なことに気づいたようだ。木工師ギルド前にいる「チェミ・ジンジャル」と話そう。			木工師ギルドへと戻ってきたチェミ・ジンジャルは、かつて母に一脚の安楽椅子を作ったときのことを思い出し、職人として大切なことに気づいたようだ。木工師ギルド前にいる「チェミ・ジンジャル」と話そう。			一脚の安楽椅子							
チェミ・ジンジャルは、職人として成長を遂げ、再び歩き出した。生まれ変わった彼女の姿を見届けるため、ベアティヌからの依頼を待とう。※木工師のレベルが70以上になると、木工師ギルドのチェミ・ジンジャルから次の木工師クエストを受注することができます。			チェミ・ジンジャルは、職人として成長を遂げ、再び歩き出した。生まれ変わった彼女の姿を見届けるため、ベアティヌからの依頼を待とう。※木工師のレベルが70以上になると、木工師ギルドのチェミ・ジンジャルから次の木工師クエストを受注することができます。			一脚の安楽椅子							
ナマイ村のチェミ・ジンジャルと話す			ナマイ村のチェミ・ジンジャルと話す			一脚の安楽椅子							
困っている人を探す			困っている人を探す			一脚の安楽椅子							
ナマイ村の住民から話を聞く			ナマイ村の住民から話を聞く			一脚の安楽椅子							
チェミ・ジンジャルと話す			チェミ・ジンジャルと話す			一脚の安楽椅子							
製作手帳 クラスクエスト：高級衝立を製作レイザンに高級衝立を納品			製作手帳 クラスクエスト：高級衝立を製作レイザンに高級衝立を納品			一脚の安楽椅子							
木工師ギルドへ戻る			木工師ギルドへ戻る			一脚の安楽椅子							
チェミ・ジンジャルと話す			チェミ・ジンジャルと話す			一脚の安楽椅子							
あぁ、Forenameさんかい。ちょうど、あんた宛てにチェミ嬢ちゃんから、文が届いているよ……ほら、さっそく読んでごらん。			あぁ、Forenameさんかい。ちょうど、あんた宛てにチェミ嬢ちゃんから、文が届いているよ……ほら、さっそく読んでごらん。			一脚の安楽椅子							
(-チェミからの手紙-)Forenameさんへ。ウチです、チェミ・ジンジャルです。今、ウチはヤンサのナマイ村という場所に来ています。			(-チェミからの手紙-)Forenameさんへ。ウチです、チェミ・ジンジャルです。今、ウチはヤンサのナマイ村という場所に来ています。			一脚の安楽椅子							
(-チェミからの手紙-)ドマに伝わる文化は、とっても素晴らしいです。ヤンサ地方固有の素材を使っているせいか、初めて目にするものばかりです。			(-チェミからの手紙-)ドマに伝わる文化は、とっても素晴らしいです。ヤンサ地方固有の素材を使っているせいか、初めて目にするものばかりです。			一脚の安楽椅子							
(-チェミからの手紙-)特に点心と呼ばれている饅頭のような料理が、ウチのお気に入りです！			(-チェミからの手紙-)特に点心と呼ばれている饅頭のような料理が、ウチのお気に入りです！			一脚の安楽椅子							
(-チェミからの手紙-)Forenameさんにもご馳走したいので、良かったら「ナマイ村」までお越しください。食の追求人チェミ・ジンジャル			(-チェミからの手紙-)Forenameさんにもご馳走したいので、良かったら「ナマイ村」までお越しください。食の追求人チェミ・ジンジャル			一脚の安楽椅子							
わっ、Forenameさん！お久しぶりです～！			わっ、Forenameさん！お久しぶりです～！			一脚の安楽椅子							
Forenameさんも、ドマ料理の食べ歩きに来たんですか？なら、いいお店を知っているのでご案内しますよ！			Forenameさんも、ドマ料理の食べ歩きに来たんですか？なら、いいお店を知っているのでご案内しますよ！			一脚の安楽椅子							
い、いやだなあ、冗談ですってば！ドマ伝来の木工技術は、バッチリ修得済みですよ！ちょっと合間に美味しいものを食べていただけで……。			い、いやだなあ、冗談ですってば！ドマ伝来の木工技術は、バッチリ修得済みですよ！ちょっと合間に美味しいものを食べていただけで……。			一脚の安楽椅子							
ひいっ！			ひいっ！			一脚の安楽椅子							
よ、よーし！Forenameさんもいらっしゃったことですし、早速「困っている人」を探しに行きましょう！			よ、よーし！Forenameさんもいらっしゃったことですし、早速「困っている人」を探しに行きましょう！			一脚の安楽椅子							
チェミ嬢ちゃんは、ずいぶん食に熱心なようだね。調理師ギルドの職人かなんかかい？			チェミ嬢ちゃんは、ずいぶん食に熱心なようだね。調理師ギルドの職人かなんかかい？			一脚の安楽椅子							
困っていることがないかって？ああ、あるさ……。			困っていることがないかって？ああ、あるさ……。			一脚の安楽椅子							
私はドマが占領される前に、料理人をしていたのだがね。ようやくガレマール帝国の支配も終わったということで、ふたたび料理屋を開こうと考えているんだ。			私はドマが占領される前に、料理人をしていたのだがね。ようやくガレマール帝国の支配も終わったということで、ふたたび料理屋を開こうと考えているんだ。			一脚の安楽椅子							
私はドマが占領される前に、料理人をしていたのだがね。いつかガレマール帝国の支配が終わったときに、ふたたび料理屋を開こうと考えているんだ。			私はドマが占領される前に、料理人をしていたのだがね。いつかガレマール帝国の支配が終わったときに、ふたたび料理屋を開こうと考えているんだ。			一脚の安楽椅子							
当然のことだが、店を開くとなれば、椅子やら何やら家具を調達する必要があるだろう？だが、予算も限られている上、腕のいい職人が見つからなくてね。			当然のことだが、店を開くとなれば、椅子やら何やら家具を調達する必要があるだろう？だが、予算も限られている上、腕のいい職人が見つからなくてね。			一脚の安楽椅子							
その悩み、ウチたち、グリダニアの木工師ギルドにお任せください！あなたの理想の家具を立ち所に作ってみせますよ！			その悩み、ウチたち、グリダニアの木工師ギルドにお任せください！あなたの理想の家具を立ち所に作ってみせますよ！			一脚の安楽椅子							
おお、それはありがたい。是非お願いしていいだろうか？			おお、それはありがたい。是非お願いしていいだろうか？			一脚の安楽椅子							
承りました！では早速、どんな家具をお求めですか？			承りました！では早速、どんな家具をお求めですか？			一脚の安楽椅子							
私が店を開こうとしているドマ町人地では、この村の住人とは、少し違う食事作法があってね。彼らが安心して食事を楽しむことのできる家具が欲しいんだ。			私が店を開こうとしているドマ町人地では、この村の住人とは、少し違う食事作法があってね。彼らが安心して食事を楽しむことのできる家具が欲しいんだ。			一脚の安楽椅子							
ふむふむ……そうだ、Forenameさん！ただウチが家具を作るだけでは、面白くありません。ここはひとつ、勝負といきませんか？			ふむふむ……そうだ、Forenameさん！ただウチが家具を作るだけでは、面白くありません。ここはひとつ、勝負といきませんか？			一脚の安楽椅子							
お互いに作った家具を持ち寄って、どちらがより優れているか、依頼人の方に判定してもらうんです！			お互いに作った家具を持ち寄って、どちらがより優れているか、依頼人の方に判定してもらうんです！			一脚の安楽椅子							
ここまでウチはろくに依頼を達成できていません……。このままでは師匠に見放されてしまいます。師匠にウチの技術を証明するチャンスがほしいんです！			ここまでウチはろくに依頼を達成できていません……。このままでは師匠に見放されてしまいます。師匠にウチの技術を証明するチャンスがほしいんです！			一脚の安楽椅子							
やったー！ありがとうございます！			やったー！ありがとうございます！			一脚の安楽椅子							
よくわからんが、とにかくよろしく頼むよ。製作に悩んだら、「村の住民」の意見も聞いてみるといい。かつてドマ町人地に住んでいた人もいるだろうからね。			よくわからんが、とにかくよろしく頼むよ。製作に悩んだら、「村の住民」の意見も聞いてみるといい。かつてドマ町人地に住んでいた人もいるだろうからね。			一脚の安楽椅子							
Forenameさん、製作物のヒントが得られたら、ウチの所までお越しください。材料をお渡ししますので～！			Forenameさん、製作物のヒントが得られたら、ウチの所までお越しください。材料をお渡ししますので～！			一脚の安楽椅子							
困ってる人～……困ってる人はいませんか～……。……この村、そもそも人が少なすぎます……。			困ってる人～……困ってる人はいませんか～……。……この村、そもそも人が少なすぎます……。			一脚の安楽椅子							
ドマ町人地の人は、田舎者の村人よりも洒落ていてね。お高くとまっているっていうか、品がいいっていうのか……とにかく作法に厳しい人が多い印象だなぁ。			ドマ町人地の人は、田舎者の村人よりも洒落ていてね。お高くとまっているっていうか、品がいいっていうのか……とにかく作法に厳しい人が多い印象だなぁ。			一脚の安楽椅子							
ええ、確かに私は以前、町人地で暮らしておりましたわ。帝国軍の横暴に耐えかねて、この村に逃れてきましたけれど。			ええ、確かに私は以前、町人地で暮らしておりましたわ。帝国軍の横暴に耐えかねて、この村に逃れてきましたけれど。			一脚の安楽椅子							
え？ドマ町人地に住んでいた人の食卓風景を知りたいから、食事しているところを見せてほしいですって？			え？ドマ町人地に住んでいた人の食卓風景を知りたいから、食事しているところを見せてほしいですって？			一脚の安楽椅子							
そんな恥知らずなこと、到底できませんわ！			そんな恥知らずなこと、到底できませんわ！			一脚の安楽椅子							
僕は、ドマ町人地から来たんだけどね……。ここの連中は、気はいいんだが礼儀作法がなってないよ。道端で飯を食ったり、人前で茶を飲んだりしちゃってさ……。			僕は、ドマ町人地から来たんだけどね……。ここの連中は、気はいいんだが礼儀作法がなってないよ。道端で飯を食ったり、人前で茶を飲んだりしちゃってさ……。			一脚の安楽椅子							
食事ってのは、もっと親しい人と落ち着いた場所で、するべきものなんだって、大きな声で言いたいもんだね。小心者だから、衝立でもないと言えないけどさ……。			食事ってのは、もっと親しい人と落ち着いた場所で、するべきものなんだって、大きな声で言いたいもんだね。小心者だから、衝立でもないと言えないけどさ……。			一脚の安楽椅子							
君の連れは、ずいぶん元気がいいね……。			君の連れは、ずいぶん元気がいいね……。			一脚の安楽椅子							
Forenameさん、製作物が決まったらウチの所までお越しください。材料をお渡ししますので～！			Forenameさん、製作物が決まったらウチの所までお越しください。材料をお渡ししますので～！			一脚の安楽椅子							
おや、Forenameさん！何を作るか決まったんですか？			おや、Forenameさん！何を作るか決まったんですか？			一脚の安楽椅子							
何を作って勝負する？			何を作って勝負する？			一脚の安楽椅子							
むしろ料理屋そのもの			むしろ料理屋そのもの			一脚の安楽椅子							
料理を守るための木盾			料理を守るための木盾			一脚の安楽椅子							
客席を仕切る衝立			客席を仕切る衝立			一脚の安楽椅子							
ええっ！！家具どころか店を建ててしまおうと！？豪快が行きすぎてますよ！！			ええっ！！家具どころか店を建ててしまおうと！？豪快が行きすぎてますよ！！			一脚の安楽椅子							
盾が必要な料理屋って！？食事中にいったいなにが起こるんですか……。イヤですよ、そんなところで食事するの……。			盾が必要な料理屋って！？食事中にいったいなにが起こるんですか……。イヤですよ、そんなところで食事するの……。			一脚の安楽椅子							
……衝立……ですか？なにかこう、複雑な意匠の家具とかではなく？			……衝立……ですか？なにかこう、複雑な意匠の家具とかではなく？			一脚の安楽椅子							
も、もしやForenameさん……わざと負けようとしていませんか……？			も、もしやForenameさん……わざと負けようとしていませんか……？			一脚の安楽椅子							
だとすれば心外です……！ウチは自分の技術に絶対の自信を持っています！勝ちを譲ってもらう必要はありません！			だとすれば心外です……！ウチは自分の技術に絶対の自信を持っています！勝ちを譲ってもらう必要はありません！			一脚の安楽椅子							
そ、そうですよね……。一流の職人であるForenameさんが、そんな無粋な真似をするわけがありませんよね……。			そ、そうですよね……。一流の職人であるForenameさんが、そんな無粋な真似をするわけがありませんよね……。			一脚の安楽椅子							
すみません……早く師匠に認められなければと焦っていて……。おそらく今回が、ウチの技術を証明する最後のチャンス……。もし認められなければ、今後仕事を与えてもらえないかも……。			すみません……早く師匠に認められなければと焦っていて……。おそらく今回が、ウチの技術を証明する最後のチャンス……。もし認められなければ、今後仕事を与えてもらえないかも……。			一脚の安楽椅子							
ウチが、早く一人前の職人になって、財政難の木工師ギルドを救わなくちゃいけないんだ……。そのためには、少しでも難しくて繊細で高級なものを作って……。			ウチが、早く一人前の職人になって、財政難の木工師ギルドを救わなくちゃいけないんだ……。そのためには、少しでも難しくて繊細で高級なものを作って……。			一脚の安楽椅子							
……ハッ！すみません！「高級衝立」の製作に必要な材料ですよね？			……ハッ！すみません！「高級衝立」の製作に必要な材料ですよね？			一脚の安楽椅子							
はい、どうぞ！ギルドからいただいた研修費で購入したものですので、気兼ねなくお使いください！			はい、どうぞ！ギルドからいただいた研修費で購入したものですので、気兼ねなくお使いください！			一脚の安楽椅子							
君の連れは、ずいぶん元気がいいね……。			君の連れは、ずいぶん元気がいいね……。			一脚の安楽椅子							
えっ、材料をなくした……？			えっ、材料をなくした……？			一脚の安楽椅子							
ずいぶん余裕ですね……ウチのような若輩者など、恐るるに足らずといったところでしょうか。			ずいぶん余裕ですね……ウチのような若輩者など、恐るるに足らずといったところでしょうか。			一脚の安楽椅子							
……す、すみません……今、余裕がなくて……。……どうぞ、素材です。お納めください。			……す、すみません……今、余裕がなくて……。……どうぞ、素材です。お納めください。			一脚の安楽椅子							
納品物を作成したら、「レイザン」さんにお渡しください～。			納品物を作成したら、「レイザン」さんにお渡しください～。			一脚の安楽椅子							
おお、これは……。			おお、これは……。			一脚の安楽椅子							
先生にも見せてください……。			先生にも見せてください……。			一脚の安楽椅子							
し、師匠！？			し、師匠！？			一脚の安楽椅子							
フフフフ……美しい食卓ですね……。ドマ文化特有の絢爛な装飾が、見事に再現されています……。とても新人が作ったとは思えない、高い技術力を感じますよ……。			フフフフ……美しい食卓ですね……。ドマ文化特有の絢爛な装飾が、見事に再現されています……。とても新人が作ったとは思えない、高い技術力を感じますよ……。			一脚の安楽椅子							
次はForenameさんの作品ですが……ふう……なんて、素敵な衝立なのでしょう……。素材の特性を活かした、素晴らしい出来です……。			次はForenameさんの作品ですが……ふう……なんて、素敵な衝立なのでしょう……。素材の特性を活かした、素晴らしい出来です……。			一脚の安楽椅子							
なるほど……これも素晴らしい逸品です……。チェミの作った食卓ほど複雑な装飾はないものの、再現するためには高い技術が要求されるでしょう……。			なるほど……これも素晴らしい逸品です……。チェミの作った食卓ほど複雑な装飾はないものの、再現するためには高い技術が要求されるでしょう……。			一脚の安楽椅子							
私個人の批評としては……こんなものです……。しかし、あくまで作品の善し悪しを選ぶのは、依頼人の方……。さあ、どちらを受け取るか、決めてください……。			私個人の批評としては……こんなものです……。しかし、あくまで作品の善し悪しを選ぶのは、依頼人の方……。さあ、どちらを受け取るか、決めてください……。			一脚の安楽椅子							
あ、ああ。どっちを選ぶかは、初めに見たときから決まってるんだ。今回の依頼、私が選ぶ勝者は…………			あ、ああ。どっちを選ぶかは、初めに見たときから決まってるんだ。今回の依頼、私が選ぶ勝者は…………			一脚の安楽椅子							
こちらだ！			こちらだ！			一脚の安楽椅子							
た、確かに、Forenameさんが作った物は、素晴らしい出来だと思います……。でも……ウチだって、技術力では劣っていないはずです！！			た、確かに、Forenameさんが作った物は、素晴らしい出来だと思います……。でも……ウチだって、技術力では劣っていないはずです！！			一脚の安楽椅子							
……依頼人の方、なぜそちらを選ばれたのですか……？			……依頼人の方、なぜそちらを選ばれたのですか……？			一脚の安楽椅子							
ああ……ドマ町人地の人たちは、食事を他人に見せることを嫌う。だから、この衝立で仕切りを作ってあげることで、安心して食事を楽しんでもらえると思ったんだ。			ああ……ドマ町人地の人たちは、食事を他人に見せることを嫌う。だから、この衝立で仕切りを作ってあげることで、安心して食事を楽しんでもらえると思ったんだ。			一脚の安楽椅子							
確かに、そのお嬢さんが作った食卓は逸品だ。でも、どんなに豪華絢爛な食卓でも、それだけでは、心置きなく食事をすることはできないんだ。			確かに、そのお嬢さんが作った食卓は逸品だ。でも、どんなに豪華絢爛な食卓でも、それだけでは、心置きなく食事をすることはできないんだ。			一脚の安楽椅子							
チェミ……あなたは依頼を受けた後、現地の人々と触れ合う時間を惜しみ、豪華で複雑な意匠を探し求めて、歩き回っていたのでは？			チェミ……あなたは依頼を受けた後、現地の人々と触れ合う時間を惜しみ、豪華で複雑な意匠を探し求めて、歩き回っていたのでは？			一脚の安楽椅子							
自らの技術力を証明することに固執し、依頼人の心に真摯に向き合うことがなかった……。これでは、依頼人を満足させることはできません……。			自らの技術力を証明することに固執し、依頼人の心に真摯に向き合うことがなかった……。これでは、依頼人を満足させることはできません……。			一脚の安楽椅子							
きっとForenameさんは、自らの足を使って、現地の人々と触れ合って回ったのでしょう……。			きっとForenameさんは、自らの足を使って、現地の人々と触れ合って回ったのでしょう……。			一脚の安楽椅子							
この衝立からは、Forenameさんの真心を感じます。とても良い製作物だと思います……。			この衝立からは、Forenameさんの真心を感じます。とても良い製作物だと思います……。			一脚の安楽椅子							
