錬金術師ギルドのセヴェリアンは、憤慨しているようだ。			錬金術師ギルドのセヴェリアンは、憤慨しているようだ。			奇怪な死体							
古の錬金術師らは、この結晶を、「人造生命体」の心核として用いたと伝えられている……。法を侵し、人を殺めてでも、これを欲する錬金術師はいるだろう。			古の錬金術師らは、この結晶を、「人造生命体」の心核として用いたと伝えられている……。法を侵し、人を殺めてでも、これを欲する錬金術師はいるだろう。			ココロツヨキオンナ							
ふふ……ウィルトウェークには、こう伝えるがいい。敵は手段を選ばず、秘法を究めんとする錬金術師に違いないと！			ふふ……ウィルトウェークには、こう伝えるがいい。敵は手段を選ばず、秘法を究めんとする錬金術師に違いないと！			ココロツヨキオンナ							
生命の神秘を解せんとするは、錬金術師のサガ……。だが不用意に馬脚を現し、俗人を敵にまわすは二流の輩。ふふふ……私なら誰にも悟られぬよう、もっと巧くやるものを。			生命の神秘を解せんとするは、錬金術師のサガ……。だが不用意に馬脚を現し、俗人を敵にまわすは二流の輩。ふふふ……私なら誰にも悟られぬよう、もっと巧くやるものを。			ココロツヨキオンナ							
ふふ……ウィルトウェークには、こう伝えるがいい。敵は手段を選ばず、秘法を究めんとする錬金術師に違いないと！			ふふ……ウィルトウェークには、こう伝えるがいい。敵は手段を選ばず、秘法を究めんとする錬金術師に違いないと！			ココロツヨキオンナ							
生命の神秘を解せんとするは、錬金術師のサガ……。だが不用意に馬脚を現し、俗人を敵にまわすは二流の輩。ふふふ……私なら誰にも悟られぬよう、もっと巧くやるものを。			生命の神秘を解せんとするは、錬金術師のサガ……。だが不用意に馬脚を現し、俗人を敵にまわすは二流の輩。ふふふ……私なら誰にも悟られぬよう、もっと巧くやるものを。			ココロツヨキオンナ							
おかえり！君が留守してるあいだに、捜査にもだいぶ進展があったよ！			おかえり！君が留守してるあいだに、捜査にもだいぶ進展があったよ！			ココロツヨキオンナ							
帰ってきたか！……その顔、何かつかんできたようだな。			帰ってきたか！……その顔、何かつかんできたようだな。			ココロツヨキオンナ							
……これが証拠品か、たしかに受け取ったぞ。すぐにでもセヴェリアンの意見を聞きたいところだが、まずは、チャネネの報告を聞いてほしい。			……これが証拠品か、たしかに受け取ったぞ。すぐにでもセヴェリアンの意見を聞きたいところだが、まずは、チャネネの報告を聞いてほしい。			ココロツヨキオンナ							
君が留守してるあいだに、捜査にもだいぶ進展があったよ！ロウェナ商会に、その錫杖を売ったコソ泥をつかまえたの！供述によると、偶然潜り込んだ、湖畔の洞窟から盗んだ品だって。			君が留守してるあいだに、捜査にもだいぶ進展があったよ！ロウェナ商会に、その錫杖を売ったコソ泥をつかまえたの！供述によると、偶然潜り込んだ、湖畔の洞窟から盗んだ品だって。			ココロツヨキオンナ							
コソ泥は、盗掘者の隠れ家だと思ってたみたいだけど、実はそこが、問題の犯罪集団のアジトだったってわけ！私たちも、すぐに踏み込んだんだけど……。			コソ泥は、盗掘者の隠れ家だと思ってたみたいだけど、実はそこが、問題の犯罪集団のアジトだったってわけ！私たちも、すぐに踏み込んだんだけど……。			ココロツヨキオンナ							
……すでに犯人の姿はなく、引き払われたあとだった。かわりに見つかったのは、おびただしい量の血痕……！おそらくは失踪した人々を使って行った、人体実験の痕跡だ……。			……すでに犯人の姿はなく、引き払われたあとだった。かわりに見つかったのは、おびただしい量の血痕……！おそらくは失踪した人々を使って行った、人体実験の痕跡だ……。			ココロツヨキオンナ							
現時点で、これだけは言える。連中は、金銭めあての窃盗団などでは断じてない！……この点について、セヴェリアンは何か言っていたか？			現時点で、これだけは言える。連中は、金銭めあての窃盗団などでは断じてない！……この点について、セヴェリアンは何か言っていたか？			ココロツヨキオンナ							
……なるほど、この錫杖は、ある種の錬金術師が欲する品。「人造生命体」の心核を形成しうる、古代文明の遺物か……。これで、犯人像が絞り込めたな！			……なるほど、この錫杖は、ある種の錬金術師が欲する品。「人造生命体」の心核を形成しうる、古代文明の遺物か……。これで、犯人像が絞り込めたな！			ココロツヨキオンナ							
犯人は、秘法探究のために殺しも厭わぬ、外法な錬金術師！このあたりは古代の遺跡も近く、よそ者も潜り込みやすい……おぞましい実験には、うってつけの場所だったわけだ！			犯人は、秘法探究のために殺しも厭わぬ、外法な錬金術師！このあたりは古代の遺跡も近く、よそ者も潜り込みやすい……おぞましい実験には、うってつけの場所だったわけだ！			ココロツヨキオンナ							
危険な犯人はまだ、この近くに潜伏してる……。これまで以上に慎重に、捜査を進める必要がありそうだね。			危険な犯人はまだ、この近くに潜伏してる……。これまで以上に慎重に、捜査を進める必要がありそうだね。			ココロツヨキオンナ							
錬金術師ギルドのセヴェリアンは、酷く焦っているようだ。			錬金術師ギルドのセヴェリアンは、酷く焦っているようだ。			禁断の研究							
セヴェリアンから依頼を受けた。ウルダハの錬金術師ギルドにいる「セヴェリアン」に「知力の秘薬」「心力の秘薬」「活力の秘薬」を1個ずつ納品しよう。			セヴェリアンから依頼を受けた。ウルダハの錬金術師ギルドにいる「セヴェリアン」に「知力の秘薬」「心力の秘薬」「活力の秘薬」を1個ずつ納品しよう。			禁断の研究							
セヴェリアンに知力の秘薬、心力の秘薬、活力の秘薬を納品した。究極の錬金術とは、5年前に死んだワ・ナージャを死から救い出すものらしい。セヴェリアンは再び究極の錬金術に挑むという。彼の挑戦が無為にならないよう祈りながら、錬金術の努力を続けよう。※錬金術師のレベルが50以上になると、セヴェリアンから次の錬金術師クエストを受注することができます。			セヴェリアンに知力の秘薬、心力の秘薬、活力の秘薬を納品した。究極の錬金術とは、5年前に死んだワ・ナージャを死から救い出すものらしい。セヴェリアンは再び究極の錬金術に挑むという。彼の挑戦が無為にならないよう祈りながら、錬金術の努力を続けよう。※錬金術師のレベルが50以上になると、セヴェリアンから次の錬金術師クエストを受注することができます。			禁断の研究							
セヴェリアンに依頼品を納品			セヴェリアンに依頼品を納品			禁断の研究							
なぜ……なぜだ……！　どうして上手くいかない！解への道は通じたはず、だが何かが決定的に違う……！			なぜ……なぜだ……！　どうして上手くいかない！解への道は通じたはず、だが何かが決定的に違う……！			禁断の研究							
手順か、材料か、それとも文献の解釈なのか！？やはり呪術に頼るしか……いや、あれではゾンビーを生み出すだけだ。			手順か、材料か、それとも文献の解釈なのか！？やはり呪術に頼るしか……いや、あれではゾンビーを生み出すだけだ。			禁断の研究							
駄目だ、駄目だ駄目だ！　やり直しだっ！私は諦めんぞ……成功するまで、何度でも……！			駄目だ、駄目だ駄目だ！　やり直しだっ！私は諦めんぞ……成功するまで、何度でも……！			禁断の研究							
助手っ！　お前は「知力の秘薬」「心力の秘薬」「活力の秘薬」を1個ずつ作って持ってこい！			助手っ！　お前は「知力の秘薬」「心力の秘薬」「活力の秘薬」を1個ずつ作って持ってこい！			禁断の研究							
ぼさっとするな、お前の都合など知ったことか！私だって、訳が分からないんだ……！			ぼさっとするな、お前の都合など知ったことか！私だって、訳が分からないんだ……！			禁断の研究							
……頼む……力を、貸してくれ…………。			……頼む……力を、貸してくれ…………。			禁断の研究							
薬はそろったのか！？「知力の秘薬」と「心力の秘薬」、それに「活力の秘薬」だぞ！			薬はそろったのか！？「知力の秘薬」と「心力の秘薬」、それに「活力の秘薬」だぞ！			禁断の研究							
ああ……素晴らしいな、お前の仕事は……。相変わらず綿密で、的確で、そして……冷静だ。			ああ……素晴らしいな、お前の仕事は……。相変わらず綿密で、的確で、そして……冷静だ。			禁断の研究							
……すまない、おかげで少し落ち着いた。「究極の錬金術」が、思ったように進まなくてな。再挑戦の材料が必要だったのだ。			……すまない、おかげで少し落ち着いた。「究極の錬金術」が、思ったように進まなくてな。再挑戦の材料が必要だったのだ。			禁断の研究							
ブラックスコーピオンを加え、効果を高めた「知力の秘薬」。アーリマンの皮膜を生かした「心力の秘薬」……。			ブラックスコーピオンを加え、効果を高めた「知力の秘薬」。アーリマンの皮膜を生かした「心力の秘薬」……。			禁断の研究							
慎重な扱いが必要なグレネードの灰を煎じた「活力の秘薬」。そして前回お前が作ったものを参考に、私が「剛力の秘薬」を作った。			慎重な扱いが必要なグレネードの灰を煎じた「活力の秘薬」。そして前回お前が作ったものを参考に、私が「剛力の秘薬」を作った。			禁断の研究							
知力、心力、活力、剛力。これら人の根源たる力を集めれば、死した肉体が蘇る……ああ、それが「究極の錬金術」なのだ。			知力、心力、活力、剛力。これら人の根源たる力を集めれば、死した肉体が蘇る……ああ、それが「究極の錬金術」なのだ。			禁断の研究							
薬を渡したことを悔やむか？他ならぬお前になら、その権利があるだろう。……私だって、馬鹿げていると思ったものだ。			薬を渡したことを悔やむか？他ならぬお前になら、その権利があるだろう。……私だって、馬鹿げていると思ったものだ。			禁断の研究							
だが結局、私は錬金術を信じた。錬金術で作った後悔を、錬金術で晴らす……そのために、5年の歳月を費やしたのだ。			だが結局、私は錬金術を信じた。錬金術で作った後悔を、錬金術で晴らす……そのために、5年の歳月を費やしたのだ。			禁断の研究							
ワ・ナージャという名を覚えているか？お前が毒薬を渡した、ワ・ブリナの姉で……私の恋人だ。5年前の霊災で、亡くなった。			ワ・ナージャという名を覚えているか？お前が毒薬を渡した、ワ・ブリナの姉で……私の恋人だ。5年前の霊災で、亡くなった。			禁断の研究							
私は彼女を蘇らせたい。せめて一言伝えるまでは、手を止めるわけにはいかんのだ……！			私は彼女を蘇らせたい。せめて一言伝えるまでは、手を止めるわけにはいかんのだ……！			禁断の研究							
エラリグ墓地のグレインファルは、報告したいことがあるようだ。			エラリグ墓地のグレインファルは、報告したいことがあるようだ。			罪への報いか							
グレインファルたちは、過去に犯した過ちを悔いているようだ。「心の臓の刃」の行方を追うために、ウルダハ中の店に聞き込みを行うことになった。ウルダハのエラリグ墓地前にいる「グレインファル」と話そう。			グレインファルたちは、過去に犯した過ちを悔いているようだ。「心の臓の刃」の行方を追うために、ウルダハ中の店に聞き込みを行うことになった。ウルダハのエラリグ墓地前にいる「グレインファル」と話そう。			罪への報いか							
グレインファルと話し、聞き込みの分担を決めた。ウルダハのエシュテム宝飾店にいる「マルセル」と話そう。			グレインファルと話し、聞き込みの分担を決めた。ウルダハのエシュテム宝飾店にいる「マルセル」と話そう。			罪への報いか							
マルセルは、「心の臓の刃」をアンソベルトという商人に売却したという。マルセルとの話の途中で、フ・ラミンから連絡が入った。どうやら、グレインファルに何か異変が起こったようだ。ウルダハのフロンデール薬学院にいる「フ・ラミン」と話そう。			マルセルは、「心の臓の刃」をアンソベルトという商人に売却したという。マルセルとの話の途中で、フ・ラミンから連絡が入った。どうやら、グレインファルに何か異変が起こったようだ。ウルダハのフロンデール薬学院にいる「フ・ラミン」と話そう。			罪への報いか							
何者かの襲撃を受けたグレインファルは、犯人にも手傷を負わせていたようだ。ポポックリから、現場に残された血痕を辿る方法について相談を受けた。錬金術師ギルドの「セヴェリアン」と話そう。			何者かの襲撃を受けたグレインファルは、犯人にも手傷を負わせていたようだ。ポポックリから、現場に残された血痕を辿る方法について相談を受けた。錬金術師ギルドの「セヴェリアン」と話そう。			罪への報いか							
セヴェリアンによると、血中の成分を分解して発光反応を起こす薬があるという。　「血液反応薬の材料」をもとに「血液反応薬」を製作し、ザル回廊の「ポポックリ」に納品しよう。※「血液反応薬の材料」を失った場合は、セヴェリアンに話しかけましょう。材料を入手し、再挑戦が可能になります。			セヴェリアンによると、血中の成分を分解して発光反応を起こす薬があるという。　「血液反応薬の材料」をもとに「血液反応薬」を製作し、ザル回廊の「ポポックリ」に納品しよう。※「血液反応薬の材料」を失った場合は、セヴェリアンに話しかけましょう。材料を入手し、再挑戦が可能になります。			罪への報いか							
ポポックリに血液反応薬を渡した。道端の「発光する血痕」を追いかけ、サファイアアベニュー国際市場に向かい、「ポポックリ」と話そう。			ポポックリに血液反応薬を渡した。道端の「発光する血痕」を追いかけ、サファイアアベニュー国際市場に向かい、「ポポックリ」と話そう。			罪への報いか							
薬屋ララキャによると、腕から血を流した人物が傷薬を購入していったという。ウルダハのザル大門の方向へ向かった「ポポックリ」の後を追おう。			薬屋ララキャによると、腕から血を流した人物が傷薬を購入していったという。ウルダハのザル大門の方向へ向かった「ポポックリ」の後を追おう。			罪への報いか							
ポポックリとともに襲撃犯を追って、貸し倉庫へと辿り着いた。倉庫を借りているのは、エシュテム宝飾店から「心の臓の刃」を購入した商人、アンソベルトだという。犯人が立て籠もった場合に備え、今は身体を休めよう。※錬金術師のレベルが70以上になると、サファイアアベニュー国際市場にいるポポックリから次の錬金術師クエストを受注することができます。			ポポックリとともに襲撃犯を追って、貸し倉庫へと辿り着いた。倉庫を借りているのは、エシュテム宝飾店から「心の臓の刃」を購入した商人、アンソベルトだという。犯人が立て籠もった場合に備え、今は身体を休めよう。※錬金術師のレベルが70以上になると、サファイアアベニュー国際市場にいるポポックリから次の錬金術師クエストを受注することができます。			罪への報いか							
グレインファルと話す			グレインファルと話す			罪への報いか							
エシュテム宝飾店のマルセルと話す			エシュテム宝飾店のマルセルと話す			罪への報いか							
フロンデール薬学院のフ・ラミンと話す			フロンデール薬学院のフ・ラミンと話す			罪への報いか							
セヴェリアンと話す			セヴェリアンと話す			罪への報いか							
製作手帳 クラスクエスト：血液反応薬を製作パールレーン付近にいるポポックリに血液反応薬を納品			製作手帳 クラスクエスト：血液反応薬を製作パールレーン付近にいるポポックリに血液反応薬を納品			罪への報いか							
ポポックリを追う			ポポックリを追う			罪への報いか							
再度ポポックリを追う			再度ポポックリを追う			罪への報いか							
待たせたな……お前の「差し入れ」のおかげで、ムムエポから話を聞くことに成功したぞ。詳細は、俺っちの旧友たちが到着してから話そう。			待たせたな……お前の「差し入れ」のおかげで、ムムエポから話を聞くことに成功したぞ。詳細は、俺っちの旧友たちが到着してから話そう。			罪への報いか							
このふたりは、ポポックリとセセルッカ……。アマジナ鉱山社の御曹司兄弟で、俺っちたちの古い友人だ。今回、ムムエポとの面会でも便宜を図ってくれた……。			このふたりは、ポポックリとセセルッカ……。アマジナ鉱山社の御曹司兄弟で、俺っちたちの古い友人だ。今回、ムムエポとの面会でも便宜を図ってくれた……。			罪への報いか							
さて、ムムエポから聞いた「心の臓の刃」の真相を話す前に、俺っちたちが犯した罪について、話しておかなきゃならない。とある少女の幸せを奪った、決して許されない罪の話を……。			さて、ムムエポから聞いた「心の臓の刃」の真相を話す前に、俺っちたちが犯した罪について、話しておかなきゃならない。とある少女の幸せを奪った、決して許されない罪の話を……。			罪への報いか							
今から15年前のことだ……。ニエルフレーヌと俺っちたちは、ガレマール帝国の脅威に対して、弱腰な態度を見せるウルダハの指導者たちに反感を抱いていた。			今から15年前のことだ……。ニエルフレーヌと俺っちたちは、ガレマール帝国の脅威に対して、弱腰な態度を見せるウルダハの指導者たちに反感を抱いていた。			罪への報いか							
あるとき、俺たちは、民衆からの支持を集めたうえで、砂蠍衆に「帝国との早期開戦」を提言しようとした。……自作自演の騒動を、企ててな。			あるとき、俺たちは、民衆からの支持を集めたうえで、砂蠍衆に「帝国との早期開戦」を提言しようとした。……自作自演の騒動を、企ててな。			罪への報いか							
祝祭のパレードで、見世物の魔物を暴走させ、グレインファルとニエルフレーヌたちが華麗に解決する。そして、人気を得て発言力を高める……今思えば浅はかな計画ね。			祝祭のパレードで、見世物の魔物を暴走させ、グレインファルとニエルフレーヌたちが華麗に解決する。そして、人気を得て発言力を高める……今思えば浅はかな計画ね。			罪への報いか							
そして、この計画は失敗に終わり、暴れ回った魔物が、ミンフィリアの父親、ウォーバートンさんを……。私たちは、あの子から唯一の家族を奪ってしまったのよ！			そして、この計画は失敗に終わり、暴れ回った魔物が、ミンフィリアの父親、ウォーバートンさんを……。私たちは、あの子から唯一の家族を奪ってしまったのよ！			罪への報いか							
だがその後、ラミンはあの子にとって必要な存在になった。お前は、できる限りの償いをしたさ。ただ逃げ出しただけの俺っちとは違う……。			だがその後、ラミンはあの子にとって必要な存在になった。お前は、できる限りの償いをしたさ。ただ逃げ出しただけの俺っちとは違う……。			罪への報いか							
この先、どんな善行を積もうが、この罪が消えることはない。俺っちはこれからも、自分の犯した罪を背負って生きていく…………死んじまった、コイツの分まで。			この先、どんな善行を積もうが、この罪が消えることはない。俺っちはこれからも、自分の犯した罪を背負って生きていく…………死んじまった、コイツの分まで。			罪への報いか							
これが俺っちたちの犯した罪だ……受け入れろとは言わん。あんたはあんたの目的で、「心の臓の刃」の行方を追えばいい。だが、利害が一致する間は協力したい……セセルッカ、続きを。			これが俺っちたちの犯した罪だ……受け入れろとは言わん。あんたはあんたの目的で、「心の臓の刃」の行方を追えばいい。だが、利害が一致する間は協力したい……セセルッカ、続きを。			罪への報いか							
……帝国との二重間諜だったウォーバートン氏は、帝国以上の脅威が、ウルダハに迫っているという情報を得ていた。おそらく、第七霊災がらみのことだったと思うんだが……。			……帝国との二重間諜だったウォーバートン氏は、帝国以上の脅威が、ウルダハに迫っているという情報を得ていた。おそらく、第七霊災がらみのことだったと思うんだが……。			罪への報いか							
そんなことを想像だにしなかった俺っちたちは、その「脅威」を利用して、民衆を焚きつけようとした。帝国との開戦に向け、世論を盛り上げようとしたのさ。			そんなことを想像だにしなかった俺っちたちは、その「脅威」を利用して、民衆を焚きつけようとした。帝国との開戦に向け、世論を盛り上げようとしたのさ。			罪への報いか							
だが、情報を知るウォーバートン氏は、死んじまってるからな。ウルダハに迫る脅威ってのが何なのか、わからずじまいだ。それでも、ニエルフレーヌは諦めなかったようだ。			だが、情報を知るウォーバートン氏は、死んじまってるからな。ウルダハに迫る脅威ってのが何なのか、わからずじまいだ。それでも、ニエルフレーヌは諦めなかったようだ。			罪への報いか							
ヤツはムムエポと結託し、「心の臓の刃」を使うことにした。おそらく、「心の臓の刃」でウォーバートンを蘇らせて、情報を聞き出そうとしたんだろうな。			ヤツはムムエポと結託し、「心の臓の刃」を使うことにした。おそらく、「心の臓の刃」でウォーバートンを蘇らせて、情報を聞き出そうとしたんだろうな。			罪への報いか							
だがその前に、帝国との開戦を煽る反乱分子を始末するために、砂蠍衆が雇った暗殺者集団、「見えざる毒尾」によって、ニエルフレーヌは殺されてしまったんだ！			だがその前に、帝国との開戦を煽る反乱分子を始末するために、砂蠍衆が雇った暗殺者集団、「見えざる毒尾」によって、ニエルフレーヌは殺されてしまったんだ！			罪への報いか							
亡骸を見つけたムムエポは、これを「心の臓の刃」の効果を試す絶好の機会だと考え、ニエルフレーヌを「被験者」にした……。			亡骸を見つけたムムエポは、これを「心の臓の刃」の効果を試す絶好の機会だと考え、ニエルフレーヌを「被験者」にした……。			罪への報いか							
だがニエルフレーヌは蘇ることはなかった！「心の臓の刃」の触媒が壊れていて、魔力が足りなかったせいらしいが……ちくしょう！			だがニエルフレーヌは蘇ることはなかった！「心の臓の刃」の触媒が壊れていて、魔力が足りなかったせいらしいが……ちくしょう！			罪への報いか							
例の女性の遺体が似た症状をしているのも、同様の理由だろう。その後、大導師の職を罷免されたムムエポは監獄へと収監され、「心の臓の刃」は本来の持ち主であるロロリトに返却された。			例の女性の遺体が似た症状をしているのも、同様の理由だろう。その後、大導師の職を罷免されたムムエポは監獄へと収監され、「心の臓の刃」は本来の持ち主であるロロリトに返却された。			罪への報いか							
その後、ロロリト邸に忍び込んだ俺っちが、盗み出したものの……すでに「心の臓の刃」は魔力を失っていた。			その後、ロロリト邸に忍び込んだ俺っちが、盗み出したものの……すでに「心の臓の刃」は魔力を失っていた。			罪への報いか							
もはやただの短剣に成り下がっていた「心の臓の刃」は、俺っちが、スートクリークの川底に投げ捨てたはずだが……。今回の事件の犯人が拾って利用したのか……。			もはやただの短剣に成り下がっていた「心の臓の刃」は、俺っちが、スートクリークの川底に投げ捨てたはずだが……。今回の事件の犯人が拾って利用したのか……。			罪への報いか							
元々、「心の臓の刃」は「宝剣」と呼ばれるほど価値が高い物だ。誰かが拾って市場に流し、犯人の手に渡った可能性もある。			元々、「心の臓の刃」は「宝剣」と呼ばれるほど価値が高い物だ。誰かが拾って市場に流し、犯人の手に渡った可能性もある。			罪への報いか							
手掛かりが残っているとすれば、市場だけだ。ウルダハ中の店舗に聞き込みを行えば、何かわかるかもしれん。そのためには人手が必要だ……悪いが一緒に来てくれるか？			手掛かりが残っているとすれば、市場だけだ。ウルダハ中の店舗に聞き込みを行えば、何かわかるかもしれん。そのためには人手が必要だ……悪いが一緒に来てくれるか？			罪への報いか							
……すまない、恩に着るぞ……。誰がどの店を回るかについては、「エラリグ墓地」の外に出てから決めるとしよう。			……すまない、恩に着るぞ……。誰がどの店を回るかについては、「エラリグ墓地」の外に出てから決めるとしよう。			罪への報いか							
俺っちは、サファイアアベニュー国際市場を当たってみよう。セセルッカとポポックリは、ルビーロード国際市場を頼む。			俺っちは、サファイアアベニュー国際市場を当たってみよう。セセルッカとポポックリは、ルビーロード国際市場を頼む。			罪への報いか							
あんたは「エシュテム宝飾店」を当たってみてくれ。「心の臓の刃」の元々の所有者である、ロロリトが経営する店だ。その後の足跡について、何か掴んでいるかもしれない。			あんたは「エシュテム宝飾店」を当たってみてくれ。「心の臓の刃」の元々の所有者である、ロロリトが経営する店だ。その後の足跡について、何か掴んでいるかもしれない。			罪への報いか							
私たちの罪を知った上で……あなたは協力してくれるというの……？			私たちの罪を知った上で……あなたは協力してくれるというの……？			罪への報いか							
「心の臓の刃」……必ず見つけてやる。ニエルフレーヌのために！			「心の臓の刃」……必ず見つけてやる。ニエルフレーヌのために！			罪への報いか							
あの頃みたいに、またこの四人で集まる日が来るとはな。			あの頃みたいに、またこの四人で集まる日が来るとはな。			罪への報いか							
おや、これはこれは。Surname様ではございませんか。何か御用でしょうか？			おや、これはこれは。Surname様ではございませんか。何か御用でしょうか？			罪への報いか							
おや、そちらはご高名な冒険者の方とお見受けいたします。私は、宝飾店「エシュテム」の外商、マルセルと申します。何か御用でしょうか？			おや、そちらはご高名な冒険者の方とお見受けいたします。私は、宝飾店「エシュテム」の外商、マルセルと申します。何か御用でしょうか？			罪への報いか							
「心の臓の刃」ですか……その名を聞くのも、ずいぶんと久しぶりですね。			「心の臓の刃」ですか……その名を聞くのも、ずいぶんと久しぶりですね。			罪への報いか							
ですが、過去に「心の臓の刃」が盗まれたことはございませんよ。……ああ、そういえば以前、賊に狙われたことがありましたね。しかし、盗まれたのは冒険者の方に依頼して用意した贋作です。			ですが、過去に「心の臓の刃」が盗まれたことはございませんよ。……ああ、そういえば以前、賊に狙われたことがありましたね。しかし、盗まれたのは冒険者の方に依頼して用意した贋作です。			罪への報いか							
とはいえ、本物の「心の臓の刃」は魔力を失っており、贋作と変わらないほど価値が急落してしまったため、「アンソベルト」という商人の方に売却されたはず……。			とはいえ、本物の「心の臓の刃」は魔力を失っており、贋作と変わらないほど価値が急落してしまったため、「アンソベルト」という商人の方に売却されたはず……。			罪への報いか							
それにしても、あの方はまだ呪縛から逃れられないのでしょうか。我がエシュテムの花形彫金師として名を馳せた、ニエルフレーヌ様は……。			それにしても、あの方はまだ呪縛から逃れられないのでしょうか。我がエシュテムの花形彫金師として名を馳せた、ニエルフレーヌ様は……。			罪への報いか							
(-フ・ラミンの声-)もしもし、Forenameさん！？今すぐ「フロンデール薬学院」に来て！！グレインファルが……グレインファルが……！！			(-フ・ラミンの声-)もしもし、Forenameさん！？今すぐ「フロンデール薬学院」に来て！！グレインファルが……グレインファルが……！！			罪への報いか							
どうやら火急の用件のご様子。私のことはお構いなく、また何かございましたら、お問い合わせください。			どうやら火急の用件のご様子。私のことはお構いなく、また何かございましたら、お問い合わせください。			罪への報いか							
Forenameさん……グレインファルが、誰かに刺されて……治療師によれば、すごく危険な状態だって……。			Forenameさん……グレインファルが、誰かに刺されて……治療師によれば、すごく危険な状態だって……。			罪への報いか							
誰に刺されたのかはわからないが、襲撃現場にはふたり分の血痕が残されていた。片方は、おそらくグレインファルの反撃を受けた犯人の血だ。			誰に刺されたのかはわからないが、襲撃現場にはふたり分の血痕が残されていた。片方は、おそらくグレインファルの反撃を受けた犯人の血だ。			罪への報いか							
手負いの犯人が残した血痕を辿ることができれば、襲撃者まで行き着くことができるんだが……。ご丁寧に、途中で拭き取られてやがった！			手負いの犯人が残した血痕を辿ることができれば、襲撃者まで行き着くことができるんだが……。ご丁寧に、途中で拭き取られてやがった！			罪への報いか							
あんたら錬金術師の親玉、「セヴェリアン」なら、消えてしまった血痕を辿ることができるだろ！？頼む、話を聞いてきてくれ！			あんたら錬金術師の親玉、「セヴェリアン」なら、消えてしまった血痕を辿ることができるだろ！？頼む、話を聞いてきてくれ！			罪への報いか							
俺たちは、グレインファルが襲撃された現場、「パールレーン」から「ゴールドコート」へ向かう通路で待つ！必ず薬を持ってきてくれ！！			俺たちは、グレインファルが襲撃された現場、「パールレーン」から「ゴールドコート」へ向かう通路で待つ！必ず薬を持ってきてくれ！！			罪への報いか							
Forenameか。詳しい話はラミンから聞いてくれ。			Forenameか。詳しい話はラミンから聞いてくれ。			罪への報いか							
死ぬなよ……グレインファル……！！			死ぬなよ……グレインファル……！！			罪への報いか							
なに？仲間が何者かに襲われた、だと？もっと詳しく話してみろ。			なに？仲間が何者かに襲われた、だと？もっと詳しく話してみろ。			罪への報いか							
ほう……襲撃者の手掛かりは現場に残された血痕しかなく、それも途中で拭き取られていて、足跡を辿ることはできないと。だが、私ならそれを解決できると信じて来たわけだな。			ほう……襲撃者の手掛かりは現場に残された血痕しかなく、それも途中で拭き取られていて、足跡を辿ることはできないと。だが、私ならそれを解決できると信じて来たわけだな。			罪への報いか							
いい心がけだ。偉大なる錬金術師であるこの私にかかれば、その程度のことは造作もない。			いい心がけだ。偉大なる錬金術師であるこの私にかかれば、その程度のことは造作もない。			罪への報いか							
いいか、そもそも血液を完全に拭き取ることなど不可能だ。見た目は綺麗に消えていたとしても、血液に含まれる成分まで消すことはできない。			いいか、そもそも血液を完全に拭き取ることなど不可能だ。見た目は綺麗に消えていたとしても、血液に含まれる成分まで消すことはできない。			罪への報いか							
「血液反応薬」という薬がある。血中のある成分を触媒にして、発光反応を起こす薬だ。材料を分けてやるから、作ってみるがいい。			「血液反応薬」という薬がある。血中のある成分を触媒にして、発光反応を起こす薬だ。材料を分けてやるから、作ってみるがいい。			罪への報いか							
依頼人は、アマジナ鉱山社の御曹司、「ポポックリ」だったな？では、襲撃者が高飛びする前に、急いで薬を作って持っていってやるがいい。			依頼人は、アマジナ鉱山社の御曹司、「ポポックリ」だったな？では、襲撃者が高飛びする前に、急いで薬を作って持っていってやるがいい。			罪への報いか							
それと……どうやら事件は真相に近づきつつあるようだが、降りかかる火の粉には十分気を払え。まだまだお前には働いてもらわねば困るからな。			それと……どうやら事件は真相に近づきつつあるようだが、降りかかる火の粉には十分気を払え。まだまだお前には働いてもらわねば困るからな。			罪への報いか							
血液反応薬の材料なら、腐るほどある。完成したら、「ポポックリ」に渡してやれ。			血液反応薬の材料なら、腐るほどある。完成したら、「ポポックリ」に渡してやれ。			罪への報いか							
血液反応薬が完成したようだな……うむ、いい出来だ。早速、「ポポックリ」に渡してやるといい。			血液反応薬が完成したようだな……うむ、いい出来だ。早速、「ポポックリ」に渡してやるといい。			罪への報いか							
ここでグレインファルは襲われたらしい……。襲撃犯め……絶対に探し出してやるからな……！			ここでグレインファルは襲われたらしい……。襲撃犯め……絶対に探し出してやるからな……！			罪への報いか							
くそ……この報いは必ず受けさせてやる……！			くそ……この報いは必ず受けさせてやる……！			罪への報いか							
グレインファル……。			グレインファル……。			罪への報いか							
頼んでた薬ができたのか！？よし、早速使ってみよう！			頼んでた薬ができたのか！？よし、早速使ってみよう！			罪への報いか							
おお、すごいぜ！拭き取られたはずの犯人の血痕が、光って見える！ヤツは「サファイアアベニュー国際市場」の方へ向かったようだぞ！			おお、すごいぜ！拭き取られたはずの犯人の血痕が、光って見える！ヤツは「サファイアアベニュー国際市場」の方へ向かったようだぞ！			罪への報いか							
よーし、これなら！			よーし、これなら！			罪への報いか							
