ショートストップ野営地のタップクリクスは、冒険者を疑いの目で見ている。			ショートストップ野営地のタップクリクスは、冒険者を疑いの目で見ている。			冒険者はゴブの仲間							
ゴブリン族どもを、仲間の呪術士に狙わせてる……！邪魔するなら、そいつらが痛い目にあうぜ！さあ、この場から消えやがれ！！			ゴブリン族どもを、仲間の呪術士に狙わせてる……！邪魔するなら、そいつらが痛い目にあうぜ！さあ、この場から消えやがれ！！			築いたものを壊さぬために							
くそっ、追いつめたまではいいが、コイツラを守りながらだと戦えない……！頼む、アタシに代わって、奴をやっちまってくれ……！			くそっ、追いつめたまではいいが、コイツラを守りながらだと戦えない……！頼む、アタシに代わって、奴をやっちまってくれ……！			築いたものを壊さぬために							
シュコォ……シュコォ……戦い不得意　やっぱり　やられた……。			シュコォ……シュコォ……戦い不得意　やっぱり　やられた……。			築いたものを壊さぬために							
シュコォ……シュコォ……追い詰めたけど　反撃されて見てのとおりの　ありさまぞ……。			シュコォ……シュコォ……追い詰めたけど　反撃されて見てのとおりの　ありさまぞ……。			築いたものを壊さぬために							
くそっ、追いつめたまではいいが、コイツラを守りながらだと戦えない……！頼む、アタシに代わって、奴をやっちまってくれ……！			くそっ、追いつめたまではいいが、コイツラを守りながらだと戦えない……！頼む、アタシに代わって、奴をやっちまってくれ……！			築いたものを壊さぬために							
くっ……まだ味方がいたのか……！ここから消えてくれるなら見逃したが、仕方ねぇ……。おい、テメェら、やっちまえ！！			くっ……まだ味方がいたのか……！ここから消えてくれるなら見逃したが、仕方ねぇ……。おい、テメェら、やっちまえ！！			築いたものを壊さぬために							
シュコォ……シュコォ……戦い不得意　やっぱり　やられた……。			シュコォ……シュコォ……戦い不得意　やっぱり　やられた……。			築いたものを壊さぬために							
シュコォ……シュコォ……追い詰めたけど　反撃されて見てのとおりの　ありさまぞ……。			シュコォ……シュコォ……追い詰めたけど　反撃されて見てのとおりの　ありさまぞ……。			築いたものを壊さぬために							
くそっ、追いつめたまではいいが、コイツラを守りながらだと戦えない……！頼む、アタシに代わって、奴をやっちまってくれ……！			くそっ、追いつめたまではいいが、コイツラを守りながらだと戦えない……！頼む、アタシに代わって、奴をやっちまってくれ……！			築いたものを壊さぬために							
まさか……俺の仲間が……！？ま、まいった！　投降する！だから命は助けてくれ！！			まさか……俺の仲間が……！？ま、まいった！　投降する！だから命は助けてくれ！！			築いたものを壊さぬために							
シュコォ……シュコォ……仕返し　見事で　スカッとしたぞ～！			シュコォ……シュコォ……仕返し　見事で　スカッとしたぞ～！			築いたものを壊さぬために							
シュコォ……シュコォ……なんとも見事な　戦いぶり～！感心　感謝　ありがとぞな～！			シュコォ……シュコォ……なんとも見事な　戦いぶり～！感心　感謝　ありがとぞな～！			築いたものを壊さぬために							
まさか……俺の仲間が……！？ま、まいった！　投降する！だから命は助けてくれ！！			まさか……俺の仲間が……！？ま、まいった！　投降する！だから命は助けてくれ！！			築いたものを壊さぬために							
奴は降参したんだね……ありがとう……！アイツの始末は、アタシに任せときな。後で、イディルシャイアまで来ておくれ！			奴は降参したんだね……ありがとう……！アイツの始末は、アタシに任せときな。後で、イディルシャイアまで来ておくれ！			築いたものを壊さぬために							
シュコォ……シュコォ……仕返し　見事で　スカッとしたぞ～！			シュコォ……シュコォ……仕返し　見事で　スカッとしたぞ～！			築いたものを壊さぬために							
シュコォ……シュコォ……なんとも見事な　戦いぶり～！感心　感謝　ありがとぞな～！			シュコォ……シュコォ……なんとも見事な　戦いぶり～！感心　感謝　ありがとぞな～！			築いたものを壊さぬために							
まさか……俺の仲間が……！？ま、まいった！　投降する！だから命は助けてくれ！！			まさか……俺の仲間が……！？ま、まいった！　投降する！だから命は助けてくれ！！			築いたものを壊さぬために							
いろいろ苦労をかけたね。アンタがいてくれたお陰で、無事に事件は解決だよ。			いろいろ苦労をかけたね。アンタがいてくれたお陰で、無事に事件は解決だよ。			築いたものを壊さぬために							
この辺りには、シャーレアンの廃墟を隠れ家にしようと、各都市を追われた犯罪者が来ることがあるんだ。海から河をさかのぼって、やってくるのがほとんどだね。			この辺りには、シャーレアンの廃墟を隠れ家にしようと、各都市を追われた犯罪者が来ることがあるんだ。海から河をさかのぼって、やってくるのがほとんどだね。			築いたものを壊さぬために							
何にせよ、盗品を取り戻せてよかった。仲間の傷も深くはないようだし、ゴブリン族との信頼関係も、崩れずに済んで何よりだったと思うよ。			何にせよ、盗品を取り戻せてよかった。仲間の傷も深くはないようだし、ゴブリン族との信頼関係も、崩れずに済んで何よりだったと思うよ。			築いたものを壊さぬために							
シャーレアン学士街のミッドナイト・デューは、苦虫をかみつぶしたような顔で考えている。			シャーレアン学士街のミッドナイト・デューは、苦虫をかみつぶしたような顔で考えている。			河を伝ってきた奴ら							
ミッドナイト・デューによると、南の河岸で、犯人のものと思われる船が見つかったようだ。低地ドラヴァニアの聖モシャーヌ植物園の南で、「ミッドナイト・デュー」と合流しよう。			ミッドナイト・デューによると、南の河岸で、犯人のものと思われる船が見つかったようだ。低地ドラヴァニアの聖モシャーヌ植物園の南で、「ミッドナイト・デュー」と合流しよう。			河を伝ってきた奴ら							
ミッドナイト・デューと分担して捜索を行うことになった。低地ドラヴァニア西側の山間で、犯人を探そう。			ミッドナイト・デューと分担して捜索を行うことになった。低地ドラヴァニア西側の山間で、犯人を探そう。			河を伝ってきた奴ら							
山間の探索中に、犯人を発見して討伐した。聖モシャーヌ植物園の南にいる「ミッドナイト・デュー」に報告しよう。			山間の探索中に、犯人を発見して討伐した。聖モシャーヌ植物園の南にいる「ミッドナイト・デュー」に報告しよう。			河を伝ってきた奴ら							
ミッドナイト・デューに報告した。どうやらこちらでも犯人を見つけたようだが、問題が起きているようだ……。			ミッドナイト・デューに報告した。どうやらこちらでも犯人を見つけたようだが、問題が起きているようだ……。			河を伝ってきた奴ら							
聖モシャーヌ植物園の南でミッドナイト・デューと話す			聖モシャーヌ植物園の南でミッドナイト・デューと話す			河を伝ってきた奴ら							
低地ドラヴァニアの西側で犯人を探す			低地ドラヴァニアの西側で犯人を探す			河を伝ってきた奴ら							
聖モシャーヌ植物園の南でミッドナイト・デューに報告			聖モシャーヌ植物園の南でミッドナイト・デューに報告			河を伝ってきた奴ら							
今しがた、仲間から連絡があったよ。南の河岸で、8人乗りの小船が見つかったそうだ。犯人のものと見ていいだろうね。			今しがた、仲間から連絡があったよ。南の河岸で、8人乗りの小船が見つかったそうだ。犯人のものと見ていいだろうね。			河を伝ってきた奴ら							
アタシは先に向かうから、「聖モシャーヌ植物園」の南で落ちあうとしよう。			アタシは先に向かうから、「聖モシャーヌ植物園」の南で落ちあうとしよう。			河を伝ってきた奴ら							
奴ら、やっぱり小船で河を伝って侵入してきたみたいだね。アンタは西の山間を調べてくれるかい？アタシは、この辺りを調べてみよう。			奴ら、やっぱり小船で河を伝って侵入してきたみたいだね。アンタは西の山間を調べてくれるかい？アタシは、この辺りを調べてみよう。			河を伝ってきた奴ら							
奴ら、やっぱり小船で河を伝って侵入してきたみたいだね。アンタは西の山間を調べてくれるかい？アタシは、この辺りを調べてみよう。			奴ら、やっぱり小船で河を伝って侵入してきたみたいだね。アンタは西の山間を調べてくれるかい？アタシは、この辺りを調べてみよう。			河を伝ってきた奴ら							
アタイらの邪魔はさせない！			アタイらの邪魔はさせない！			河を伝ってきた奴ら							
イヒヒ、殺してやる！			イヒヒ、殺してやる！			河を伝ってきた奴ら							
なに、奴らに襲われたって！？……しかし、それをあっさり撃退するとはね。まったく、アンタの腕には恐れ入るよ。			なに、奴らに襲われたって！？……しかし、それをあっさり撃退するとはね。まったく、アンタの腕には恐れ入るよ。			河を伝ってきた奴ら							
こっちも犯人を見つけたんだが、ちと、問題が起こってしまってね……。			こっちも犯人を見つけたんだが、ちと、問題が起こってしまってね……。			河を伝ってきた奴ら							
マトーヤの洞窟の三下りなホウキは、サッサカ掃除をしているようだ。			マトーヤの洞窟の三下りなホウキは、サッサカ掃除をしているようだ。			三番目の疑問							
知識を望んだ冒険者は、交換条件として、三下りなホウキの望みを叶えることになった。低地ドラヴァニア西側の岩壁方面にあるという「小さな木橋」を探し出そう。			知識を望んだ冒険者は、交換条件として、三下りなホウキの望みを叶えることになった。低地ドラヴァニア西側の岩壁方面にあるという「小さな木橋」を探し出そう。			三番目の疑問							
小さな木橋を発見した。この「小さな木橋」を探索しよう。			小さな木橋を発見した。この「小さな木橋」を探索しよう。			三番目の疑問							
小さな木橋を、十分に探索した。マトーヤの洞窟の「三下りなホウキ」に報告しよう。			小さな木橋を、十分に探索した。マトーヤの洞窟の「三下りなホウキ」に報告しよう。			三番目の疑問							
三下りなホウキに、小さな木橋について報告した。話を聞いて喜んだ三下りなホウキは、マトーヤが持つという「水晶の目」について教えてくれた。しかし、マトーヤの望みについては知らないようだ……。			三下りなホウキに、小さな木橋について報告した。話を聞いて喜んだ三下りなホウキは、マトーヤが持つという「水晶の目」について教えてくれた。しかし、マトーヤの望みについては知らないようだ……。			三番目の疑問							
低地ドラヴァニアの西側で小さな木橋を探す			低地ドラヴァニアの西側で小さな木橋を探す			三番目の疑問							
小さな木橋を探索			小さな木橋を探索			三番目の疑問							
マトーヤの洞窟の三下りなホウキに報告			マトーヤの洞窟の三下りなホウキに報告			三番目の疑問							
本クエストは「探索型クエスト」です。進行中、ジャーナルや目的リストや地図に、ヒントが表示されない場合があります。			本クエストは「探索型クエスト」です。進行中、ジャーナルや目的リストや地図に、ヒントが表示されない場合があります。			三番目の疑問							
ナニカ、ゴヨウデ、サッサカサ！ボクらの知識を望むなら、ボクらの望みも叶えてヨ！			ナニカ、ゴヨウデ、サッサカサ！ボクらの知識を望むなら、ボクらの望みも叶えてヨ！			三番目の疑問							
サッサカ掃除を終えたとき、埃を出しに行くけれど、お外に行くといつだって、橋に見とれてしまうのサ。			サッサカ掃除を終えたとき、埃を出しに行くけれど、お外に行くといつだって、橋に見とれてしまうのサ。			三番目の疑問							
大きくって、つやつやしてて、ヒビなんか入っているのも、とびきりステキ！うっとりしながら、色や大きさを見比べちゃうんだケレド……			大きくって、つやつやしてて、ヒビなんか入っているのも、とびきりステキ！うっとりしながら、色や大きさを見比べちゃうんだケレド……			三番目の疑問							
ふと、気になっちゃったのサ。このあたりで、いちばん小さな橋はどれかってネ。			ふと、気になっちゃったのサ。このあたりで、いちばん小さな橋はどれかってネ。			三番目の疑問							
鳥に聞いたところによると、西の岩壁の方に、「小さな木橋」があるラシイ。それを探してきてくれたら、ボクの知識をオスソワケ！			鳥に聞いたところによると、西の岩壁の方に、「小さな木橋」があるラシイ。それを探してきてくれたら、ボクの知識をオスソワケ！			三番目の疑問							
鳥に聞いたところによると、西の岩壁の方に、「小さな木橋」があるラシイ。それを探してきてくれたら、ボクの知識をオスソワケ！			鳥に聞いたところによると、西の岩壁の方に、「小さな木橋」があるラシイ。それを探してきてくれたら、ボクの知識をオスソワケ！			三番目の疑問							
小さな木橋を発見した！			小さな木橋を発見した！			三番目の疑問							
オカエリ、ナサイデ、サッサカサ！それで、サッサと見つかった？いちばん小さな、可愛い橋は！			オカエリ、ナサイデ、サッサカサ！それで、サッサと見つかった？いちばん小さな、可愛い橋は！			三番目の疑問							
わあ～！　ソレハ、ステキナ、サッサカサ！大きな石橋も好きだけど、その子もなんて魅力的！いつかきっと、会いたいナァ。			わあ～！　ソレハ、ステキナ、サッサカサ！大きな石橋も好きだけど、その子もなんて魅力的！いつかきっと、会いたいナァ。			三番目の疑問							
見つけてくれてありがとう、お礼にサッサと教えるヨ！ボクがマトーヤ様から授かった知識……ずばり、「水晶の目」にツイテ！			見つけてくれてありがとう、お礼にサッサと教えるヨ！ボクがマトーヤ様から授かった知識……ずばり、「水晶の目」にツイテ！			三番目の疑問							
マトーヤ様が持ってるなかで、いちばん大事なスグレモノ。キラキラ世界にかざしてみれば、エーテルの流れに導かれ、見えない真実も見えてクル。			マトーヤ様が持ってるなかで、いちばん大事なスグレモノ。キラキラ世界にかざしてみれば、エーテルの流れに導かれ、見えない真実も見えてクル。			三番目の疑問							
いったい、どこまで見えるのかナァ？ヒトには、ふたつも目がついてるのに、もひとつあったら、混乱しソウ……。			いったい、どこまで見えるのかナァ？ヒトには、ふたつも目がついてるのに、もひとつあったら、混乱しソウ……。			三番目の疑問							
……エッ？　知りたいのは、マトーヤ様の「望み」ダッテ？あらあら残念、それはボクの知らないことサ。だって、教えられていないモノ！			……エッ？　知りたいのは、マトーヤ様の「望み」ダッテ？あらあら残念、それはボクの知らないことサ。だって、教えられていないモノ！			三番目の疑問							
マトーヤの洞窟の二枚目なホウキは、サッサカ掃除をしているようだ。			マトーヤの洞窟の二枚目なホウキは、サッサカ掃除をしているようだ。			二番目の欲求							
知識を望んだ冒険者は、交換条件として、二枚目なホウキの望みを叶えることになった。マトーヤの洞窟前や、シャーレアン学士街にある水場を西へとさかのぼり、「キレイな湧水地」から「キレイな湧水」を入手しよう。			知識を望んだ冒険者は、交換条件として、二枚目なホウキの望みを叶えることになった。マトーヤの洞窟前や、シャーレアン学士街にある水場を西へとさかのぼり、「キレイな湧水地」から「キレイな湧水」を入手しよう。			二番目の欲求							
キレイな湧水を入手した。マトーヤの洞窟の「二枚目なホウキ」に「キレイな湧水」を渡そう。			キレイな湧水を入手した。マトーヤの洞窟の「二枚目なホウキ」に「キレイな湧水」を渡そう。			二番目の欲求							
二枚目なホウキにキレイな湧水を渡したが、思ったほど感激しなかったようだ。二枚目なホウキの要求をよく聞いて、望みのものを見せよう。			二枚目なホウキにキレイな湧水を渡したが、思ったほど感激しなかったようだ。二枚目なホウキの要求をよく聞いて、望みのものを見せよう。			二番目の欲求							
二枚目なホウキに泣いて見せた。はじめて見た涙に感激した二枚目なホウキは、シャーレアンについて教えてくれた。しかし、マトーヤの望みについては知らないようだ……。			二枚目なホウキに泣いて見せた。はじめて見た涙に感激した二枚目なホウキは、シャーレアンについて教えてくれた。しかし、マトーヤの望みについては知らないようだ……。			二番目の欲求							
低地ドラヴァニアの西側でキレイな湧水地を探してキレイな湧水を入手			低地ドラヴァニアの西側でキレイな湧水地を探してキレイな湧水を入手			二番目の欲求							
マトーヤの洞窟の二枚目なホウキにキレイな湧水を渡す			マトーヤの洞窟の二枚目なホウキにキレイな湧水を渡す			二番目の欲求							
二枚目なホウキに望みのものを見せる			二枚目なホウキに望みのものを見せる			二番目の欲求							
本クエストは「探索型クエスト」です。進行中、ジャーナルや目的リストや地図に、ヒントが表示されない場合があります。			本クエストは「探索型クエスト」です。進行中、ジャーナルや目的リストや地図に、ヒントが表示されない場合があります。			二番目の欲求							
ナニカ、ゴヨウデ、サッサカサ！ボクらの知識を望むなら、ボクらの望みも叶えてヨ！			ナニカ、ゴヨウデ、サッサカサ！ボクらの知識を望むなら、ボクらの望みも叶えてヨ！			二番目の欲求							
ボクは「キレイ」の探求者。本当にキレイなものが、いつもほしくてたまらナイ。……なんといっても、ホウキだし。			ボクは「キレイ」の探求者。本当にキレイなものが、いつもほしくてたまらナイ。……なんといっても、ホウキだし。			二番目の欲求							
それでね、今いちばん見てみたいのが、「本当にキレイな水」ってワケ。			それでね、今いちばん見てみたいのが、「本当にキレイな水」ってワケ。			二番目の欲求							
洞窟を出たとこや、シャーレアン学士街に水場があるでショウ？あれを西の岩壁の方にさかのぼって、キレイな湧水地から「キレイな湧水」を汲んできてほしいのサ。			洞窟を出たとこや、シャーレアン学士街に水場があるでショウ？あれを西の岩壁の方にさかのぼって、キレイな湧水地から「キレイな湧水」を汲んできてほしいのサ。			二番目の欲求							
それが本当にキレイな水だったなら、ボクの知識をオスソワケ！			それが本当にキレイな水だったなら、ボクの知識をオスソワケ！			二番目の欲求							
洞窟を出たとこや、シャーレアン学士街に水場があるでショウ？あれを西の山の方にさかのぼって、キレイな湧水地から「キレイな湧水」を汲んできてほしいのサ。			洞窟を出たとこや、シャーレアン学士街に水場があるでショウ？あれを西の山の方にさかのぼって、キレイな湧水地から「キレイな湧水」を汲んできてほしいのサ。			二番目の欲求							
オカエリ、ナサイデ、サッサカサ！それで、サッサと見つかった？とびきりキレイな湧水は！			オカエリ、ナサイデ、サッサカサ！それで、サッサと見つかった？とびきりキレイな湧水は！			二番目の欲求							
スゴイヤ、オドロキ、サッサカサ！向こう側まで透き通って、あるのかないのか、わからナイ！			スゴイヤ、オドロキ、サッサカサ！向こう側まで透き通って、あるのかないのか、わからナイ！			二番目の欲求							
……うーん、でもでも、何でダロウ。思ったよりも、ただの水。やっぱり、「アレ」でなきゃ駄目なのカシラ……。			……うーん、でもでも、何でダロウ。思ったよりも、ただの水。やっぱり、「アレ」でなきゃ駄目なのカシラ……。			二番目の欲求							
「アレ」は、ボクらホウキの間で、幻の水と呼ばれるモノ。どんな水よりキレイと聞くけど、顔のないホウキには、まるで無縁のものなのサ。			「アレ」は、ボクらホウキの間で、幻の水と呼ばれるモノ。どんな水よりキレイと聞くけど、顔のないホウキには、まるで無縁のものなのサ。			二番目の欲求							
ヒトなら、みんな持ってるけれど、マトーヤ様は見せてくれナイ。緋汐海よりしょっぱくて、サリャク河より清んでる「アレ」。			ヒトなら、みんな持ってるけれど、マトーヤ様は見せてくれナイ。緋汐海よりしょっぱくて、サリャク河より清んでる「アレ」。			二番目の欲求							
ねえねえ、キミも持ってるんでショウ？見せてくれたら今度こそ、ボクの知識をオスソワケ！			ねえねえ、キミも持ってるんでショウ？見せてくれたら今度こそ、ボクの知識をオスソワケ！			二番目の欲求							
「アレ」は、ボクらホウキの間で、幻の水と呼ばれるモノ。どんな水よりキレイと聞くけど、顔のないホウキには、まるで無縁のものなのサ。			「アレ」は、ボクらホウキの間で、幻の水と呼ばれるモノ。どんな水よりキレイと聞くけど、顔のないホウキには、まるで無縁のものなのサ。			二番目の欲求							
ヒトなら、みんな持ってるけれど、マトーヤ様は見せてくれナイ。緋汐海よりしょっぱくて、サリャク河より清んでる「アレ」。			ヒトなら、みんな持ってるけれど、マトーヤ様は見せてくれナイ。緋汐海よりしょっぱくて、サリャク河より清んでる「アレ」。			二番目の欲求							
ねえねえ、キミも持ってるんでショウ？見せてくれたら今度こそ、ボクの知識をオスソワケ！			ねえねえ、キミも持ってるんでショウ？見せてくれたら今度こそ、ボクの知識をオスソワケ！			二番目の欲求							
ナニナニ、ドウシタ、サッサカサ！ちょこっと興味を引かれたけれど、ボクが見たいのは「アレ」なのサ！			ナニナニ、ドウシタ、サッサカサ！ちょこっと興味を引かれたけれど、ボクが見たいのは「アレ」なのサ！			二番目の欲求							
…………！			…………！			二番目の欲求							
ナ……ナンダカ、ドキドキ、サッサカサ！これが噂の……そう「ナミダ」！キラキラ落ちて、とってもキレイ……。			ナ……ナンダカ、ドキドキ、サッサカサ！これが噂の……そう「ナミダ」！キラキラ落ちて、とってもキレイ……。			二番目の欲求							
ありがとう、お礼にサッサと教えるヨ！ボクがマトーヤ様から授かった知識……ずばり、「シャーレアン」にツイテ！			ありがとう、お礼にサッサと教えるヨ！ボクがマトーヤ様から授かった知識……ずばり、「シャーレアン」にツイテ！			二番目の欲求							
シャーレアンは、知の都。そこで生み出される知恵の数々は、「哲学者議会」っていうヒトたちが吟味してたんダ。			シャーレアンは、知の都。そこで生み出される知恵の数々は、「哲学者議会」っていうヒトたちが吟味してたんダ。			二番目の欲求							
マトーヤ様は、「哲学者議会」をはじめ、他人に研究を振り回されるのが大嫌いダッタ。妬まれ、恨まれ、決まりだからと縛られることがサ……。			マトーヤ様は、「哲学者議会」をはじめ、他人に研究を振り回されるのが大嫌いダッタ。妬まれ、恨まれ、決まりだからと縛られることがサ……。			二番目の欲求							
ホウキにはわかんないけど、そういうのって、穂先に絡んだ埃みたいなものなんでショウ？			ホウキにはわかんないけど、そういうのって、穂先に絡んだ埃みたいなものなんでショウ？			二番目の欲求							
……エッ？　知りたいのは、マトーヤ様の「望み」ダッテ？あらあら残念、それはボクの知らないことサ。だって、教えられていないモノ！			……エッ？　知りたいのは、マトーヤ様の「望み」ダッテ？あらあら残念、それはボクの知らないことサ。だって、教えられていないモノ！			二番目の欲求							
マトーヤの洞窟のサロ・ロッゴは、悲嘆に暮れているようだ。			マトーヤの洞窟のサロ・ロッゴは、悲嘆に暮れているようだ。			役目は果たせず							
サロ・ロッゴは、すっかりトードに戻されるつもりで、水辺を荒らす乱暴者の討伐を依頼してきた。低地ドラヴァニアのマトーヤの洞窟前にある「指定地点」3箇所で待機し、現れた「フラットフット・オプケン」を討伐しよう。			サロ・ロッゴは、すっかりトードに戻されるつもりで、水辺を荒らす乱暴者の討伐を依頼してきた。低地ドラヴァニアのマトーヤの洞窟前にある「指定地点」3箇所で待機し、現れた「フラットフット・オプケン」を討伐しよう。			役目は果たせず							
フラットフット・オプケンを討伐した。マトーヤの洞窟の「サロ・ロッゴ」に報告しよう。			フラットフット・オプケンを討伐した。マトーヤの洞窟の「サロ・ロッゴ」に報告しよう。			役目は果たせず							
サロ・ロッゴに報告した。これでトードに戻されても安心だと語るサロ・ロッゴだが、諦めきれない様子で、冒険者に何かを求めている。サロ・ロッゴの様子をよく観察して、彼の望む行動をとろう。			サロ・ロッゴに報告した。これでトードに戻されても安心だと語るサロ・ロッゴだが、諦めきれない様子で、冒険者に何かを求めている。サロ・ロッゴの様子をよく観察して、彼の望む行動をとろう。			役目は果たせず							
サロ・ロッゴを励ました。やる気を取り戻した彼を後押しすべく、マトーヤの洞窟の「マトーヤ」に声をかけよう。			サロ・ロッゴを励ました。やる気を取り戻した彼を後押しすべく、マトーヤの洞窟の「マトーヤ」に声をかけよう。			役目は果たせず							
マトーヤに声をかけ、サロ・ロッゴを交えて話した。望みはないと語るマトーヤだったが、自分の死後、その目を閉じさせ、四つ葉なホウキを呼んでくる役目を、サロ・ロッゴに託した。冒険者も、意地っ張りの彼女の様子を、たまには見にくることにしよう。			マトーヤに声をかけ、サロ・ロッゴを交えて話した。望みはないと語るマトーヤだったが、自分の死後、その目を閉じさせ、四つ葉なホウキを呼んでくる役目を、サロ・ロッゴに託した。冒険者も、意地っ張りの彼女の様子を、たまには見にくることにしよう。			役目は果たせず							
マトーヤの洞窟前の指定地点で待機してフラットフット・オプケンを討伐			マトーヤの洞窟前の指定地点で待機してフラットフット・オプケンを討伐			役目は果たせず							
マトーヤの洞窟のサロ・ロッゴに報告			マトーヤの洞窟のサロ・ロッゴに報告			役目は果たせず							
サロ・ロッゴに望みの行動をとる			サロ・ロッゴに望みの行動をとる			役目は果たせず							
マトーヤと話す			マトーヤと話す			役目は果たせず							
本クエストは「探索型クエスト」です。進行中、ジャーナルや目的リストや地図に、ヒントが表示されない場合があります。			本クエストは「探索型クエスト」です。進行中、ジャーナルや目的リストや地図に、ヒントが表示されない場合があります。			役目は果たせず							
ゲコォ……ゲコォ……。思い返せば、長くて短い日々でありましたケロ……。			ゲコォ……ゲコォ……。思い返せば、長くて短い日々でありましたケロ……。			役目は果たせず							
ゲコゲコと鳴くだけのトードだったわたくしが、たまたまマトーヤ様に選ばれて、ポロッゴとして、知恵と名前をいただいたケロ……。			ゲコゲコと鳴くだけのトードだったわたくしが、たまたまマトーヤ様に選ばれて、ポロッゴとして、知恵と名前をいただいたケロ……。			役目は果たせず							
失敗ばかりだったけど、幸せな毎日でしたケロ。それが、ついに終わってしまうなんて……ゲコゲコ……。			失敗ばかりだったけど、幸せな毎日でしたケロ。それが、ついに終わってしまうなんて……ゲコゲコ……。			役目は果たせず							
お客人様、わたくしめが物言わぬトードに戻される前に、最後の頼みを聞いてはいただけませんか……？			お客人様、わたくしめが物言わぬトードに戻される前に、最後の頼みを聞いてはいただけませんか……？			役目は果たせず							
トードの住処でもある、この洞窟前の水辺に、乱暴なフラットフット・オプケンが降りてくることがあるケロ。奴らを退治し、わたくしめに安住の地を……どうか……！			トードの住処でもある、この洞窟前の水辺に、乱暴なフラットフット・オプケンが降りてくることがあるケロ。奴らを退治し、わたくしめに安住の地を……どうか……！			役目は果たせず							
トードの住処でもある、この洞窟前の水辺に、乱暴なフラットフット・オプケンが降りてくることがあるケロ。奴らを退治し、わたくしめに安住の地を……どうか……！			トードの住処でもある、この洞窟前の水辺に、乱暴なフラットフット・オプケンが降りてくることがあるケロ。奴らを退治し、わたくしめに安住の地を……どうか……！			役目は果たせず							
ゲコッ……ああ、お客人様！フラットフット・オプケンめを、退治してくださったのですね！			ゲコッ……ああ、お客人様！フラットフット・オプケンめを、退治してくださったのですね！			役目は果たせず							
ありがとうございます……。ここまで付き合ってくださったお客人様のおかげで、ただのトードに戻されても、もう安心ケロ。			ありがとうございます……。ここまで付き合ってくださったお客人様のおかげで、ただのトードに戻されても、もう安心ケロ。			役目は果たせず							
それでは……さようならケロ、優しいお方。草むらで跳ねるわたくしと出会っても、踏みつぶしたり、しないでくださいね。			それでは……さようならケロ、優しいお方。草むらで跳ねるわたくしと出会っても、踏みつぶしたり、しないでくださいね。			役目は果たせず							
…………ハァ、本当は諦めたくないケロ。でも、もはや励まされてもダメダメだケロ……。もっと元気に、「がんばれ」って背中を押してくれなくちゃ……。			…………ハァ、本当は諦めたくないケロ。でも、もはや励まされてもダメダメだケロ……。もっと元気に、「がんばれ」って背中を押してくれなくちゃ……。			役目は果たせず							
……………………………………チラッ。			……………………………………チラッ。			役目は果たせず							
サロ・ロッゴは意気消沈しているようだ。何かを求めるように、こちらを見ている……。			サロ・ロッゴは意気消沈しているようだ。何かを求めるように、こちらを見ている……。			役目は果たせず							
もはや、励まされてもダメダメだケロ……。もっと元気に、「がんばれ」って背中を押してくれなくちゃ……。……………………………………チラッ。			もはや、励まされてもダメダメだケロ……。もっと元気に、「がんばれ」って背中を押してくれなくちゃ……。……………………………………チラッ。			役目は果たせず							
サロ・ロッゴは意気消沈しているようだ。何かを求めるように、こちらを見ている……。			サロ・ロッゴは意気消沈しているようだ。何かを求めるように、こちらを見ている……。			役目は果たせず							
…………何ケロ？こんな、だめトードなんて、捨て置くケロ。今さらがんばっても、きっと無駄ケロ……。			…………何ケロ？こんな、だめトードなんて、捨て置くケロ。今さらがんばっても、きっと無駄ケロ……。			役目は果たせず							
ケロッ……！お、お、お客人様ぁ～～～！			ケロッ……！お、お、お客人様ぁ～～～！			役目は果たせず							
熱い応援、感謝ケロ！沼の底のようだったわたくしの心が、ボコボコと煮立ってきましたケロ！			熱い応援、感謝ケロ！沼の底のようだったわたくしの心が、ボコボコと煮立ってきましたケロ！			役目は果たせず							
諦めるにはまだ早い……！マトーヤ様の望みなら、ご本人に伺ってみるべきケロ！いざ、当たって砕けるケロ～～～～ッ！			諦めるにはまだ早い……！マトーヤ様の望みなら、ご本人に伺ってみるべきケロ！いざ、当たって砕けるケロ～～～～ッ！			役目は果たせず							
ということで……あのぉ……まずはお客人様から、マトーヤ様にお声掛けくださいませんか？そうしたらわたくしも、あとに続きますので……ゲコォ。			ということで……あのぉ……まずはお客人様から、マトーヤ様にお声掛けくださいませんか？そうしたらわたくしも、あとに続きますので……ゲコォ。			役目は果たせず							
まずはお客人様から、マトーヤ様にお声がけくださいませんか？そうしたらわたくしも、あとに続きますので……ゲコォ。			まずはお客人様から、マトーヤ様にお声がけくださいませんか？そうしたらわたくしも、あとに続きますので……ゲコォ。			役目は果たせず							
……何だい、真剣な話だって？どれ、シュトラたちには席を外させるかね。これでくだらない用件だったら、容赦しないよ。			……何だい、真剣な話だって？どれ、シュトラたちには席を外させるかね。これでくだらない用件だったら、容赦しないよ。			役目は果たせず							
……何だい、真剣な話だって？フン、くだらない用件だったら、容赦しないよ。			……何だい、真剣な話だって？フン、くだらない用件だったら、容赦しないよ。			役目は果たせず							
おお、我が主、マトーヤ様！このサロ・ロッゴの質問に、どうか答えてほしいケロ。			おお、我が主、マトーヤ様！このサロ・ロッゴの質問に、どうか答えてほしいケロ。			役目は果たせず							
