情報屋のワイモンドは、冒険者に紹介したい仕事があるようだ。			情報屋のワイモンドは、冒険者に紹介したい仕事があるようだ。			謎の事件屋							
ワイモンドによると、「ウルダハの秘宝」の警備については、銀冑団が対策本部を立てているらしい。ウルダハのフロンデール歩廊で、怪盗白仮面の対策本部の関係者を探してみよう。			ワイモンドによると、「ウルダハの秘宝」の警備については、銀冑団が対策本部を立てているらしい。ウルダハのフロンデール歩廊で、怪盗白仮面の対策本部の関係者を探してみよう。			旧怨なる亡霊							
銀冑団に入ったハンフリーが、対策本部の本部長であるフィリスを紹介してくれた。フィリスは冒険者たちに、連続殺人事件を止めるよう依頼してきた。捜査の手はずを確認するため、フロンデール歩廊の「ヒルディブランド」と話そう。			銀冑団に入ったハンフリーが、対策本部の本部長であるフィリスを紹介してくれた。フィリスは冒険者たちに、連続殺人事件を止めるよう依頼してきた。捜査の手はずを確認するため、フロンデール歩廊の「ヒルディブランド」と話そう。			旧怨なる亡霊							
ヒルディブランドは、歴史学者の殺害現場で調査を行いたいようだ。西ザナラーンのササモの八十階段にいる「ヒルディブランド」と話そう。			ヒルディブランドは、歴史学者の殺害現場で調査を行いたいようだ。西ザナラーンのササモの八十階段にいる「ヒルディブランド」と話そう。			旧怨なる亡霊							
被害者の親族である老婆と会うことができた。老婆は、すべての事件はシラディハの亡霊の仕業に違いないという。ヒルディブランドはどう考えているのか、聞いてみよう。			被害者の親族である老婆と会うことができた。老婆は、すべての事件はシラディハの亡霊の仕業に違いないという。ヒルディブランドはどう考えているのか、聞いてみよう。			旧怨なる亡霊							
サンシルク前のワイモンドと話す			サンシルク前のワイモンドと話す			旧怨なる亡霊							
フロンデール歩廊で対策本部関係者を探す			フロンデール歩廊で対策本部関係者を探す			旧怨なる亡霊							
ヒルディブランドと話す			ヒルディブランドと話す			旧怨なる亡霊							
ササモの八十階段のヒルディブランドと話す			ササモの八十階段のヒルディブランドと話す			旧怨なる亡霊							
Forename、大変よ！「怪盗白仮面」の事件が……急展開を迎えたわ！			Forename、大変よ！「怪盗白仮面」の事件が……急展開を迎えたわ！			旧怨なる亡霊							
ついに彼が殺人を……いえ、連続殺人を起こしてしまったのよ！			ついに彼が殺人を……いえ、連続殺人を起こしてしまったのよ！			旧怨なる亡霊							
情報によれば、現在までの被害者は3人。いずれも、各界の著名人ばかり……。			情報によれば、現在までの被害者は3人。いずれも、各界の著名人ばかり……。			旧怨なる亡霊							
殺人現場には、毎回「怪盗白仮面」からの、メッセージカードが残されているようなの。「白き秤は、5つの命の重さを求める」……ってね。			殺人現場には、毎回「怪盗白仮面」からの、メッセージカードが残されているようなの。「白き秤は、5つの命の重さを求める」……ってね。			旧怨なる亡霊							
この連続殺人事件を記事にした途端、「ミスリルアイ」は売り切れ続出でね。読者からの問い合わせ対応もあって、記者は大忙し。			この連続殺人事件を記事にした途端、「ミスリルアイ」は売り切れ続出でね。読者からの問い合わせ対応もあって、記者は大忙し。			旧怨なる亡霊							
だから、前回の予告状に書かれていた、「ウルダハの秘宝」や「正義の裁き」を調べる時間がなくて……。まずは、そこから取材にあたらないといけないわ。			だから、前回の予告状に書かれていた、「ウルダハの秘宝」や「正義の裁き」を調べる時間がなくて……。まずは、そこから取材にあたらないといけないわ。			旧怨なる亡霊							
ウルダハの噂話なら、情報屋の「ワイモンド」に聞くのが早いわ。彼なら、いつもサンシルクの前にいるはずよ。一緒に聞きにいきましょう！			ウルダハの噂話なら、情報屋の「ワイモンド」に聞くのが早いわ。彼なら、いつもサンシルクの前にいるはずよ。一緒に聞きにいきましょう！			旧怨なる亡霊							
よォ、今日はエリーと一緒なんだな。彼女は俺のお得意さんでね、よくしてもらってるよ。			よォ、今日はエリーと一緒なんだな。彼女は俺のお得意さんでね、よくしてもらってるよ。			旧怨なる亡霊							
話の察しはつくぜ、「ウルダハの秘宝」についてだろう？だが、俺も大した情報はつかめてねぇってのが本音だ。なんせ、ウルダハのお宝なんて、山ほどあるからな……。			話の察しはつくぜ、「ウルダハの秘宝」についてだろう？だが、俺も大した情報はつかめてねぇってのが本音だ。なんせ、ウルダハのお宝なんて、山ほどあるからな……。			旧怨なる亡霊							
代わりに、ひとつ情報をやるよ。ウルダハ宝物庫の警備を預かる「銀冑団」が、「怪盗白仮面」の対策本部を立ち上げたらしいぜ。			代わりに、ひとつ情報をやるよ。ウルダハ宝物庫の警備を預かる「銀冑団」が、「怪盗白仮面」の対策本部を立ち上げたらしいぜ。			旧怨なる亡霊							
対策本部……ね。銀冑団総長室付近に行けば、関係者と話せるかもしれないわ。Forename、さっそく行ってみましょう。			対策本部……ね。銀冑団総長室付近に行けば、関係者と話せるかもしれないわ。Forename、さっそく行ってみましょう。			旧怨なる亡霊							
……なぁ、エリー。今回の事件は、ちょいとマズイ臭いがするぜ。			……なぁ、エリー。今回の事件は、ちょいとマズイ臭いがするぜ。			旧怨なる亡霊							
今までとは違う、危険な臭いだ。お前はただの記者……あまり深入りするんじゃねぇぞ。			今までとは違う、危険な臭いだ。お前はただの記者……あまり深入りするんじゃねぇぞ。			旧怨なる亡霊							
私も、嫌な予感がしてるわ……いつもどおり、勘だけど。それでも、私には人々に「真実」を伝える使命があるからね。やれるかぎりはやってみるつもりよ、ご忠告ありがとう。			私も、嫌な予感がしてるわ……いつもどおり、勘だけど。それでも、私には人々に「真実」を伝える使命があるからね。やれるかぎりはやってみるつもりよ、ご忠告ありがとう。			旧怨なる亡霊							
……アンタも気をつけろよ。今回の事件は、今までとは毛色が違う。長年この仕事やってると、そういうのがわかるんだよ。			……アンタも気をつけろよ。今回の事件は、今までとは毛色が違う。長年この仕事やってると、そういうのがわかるんだよ。			旧怨なる亡霊							
こ、こいつって、もしかして……。			こ、こいつって、もしかして……。			旧怨なる亡霊							
ムッ、なんだお前ら。関係者以外は立ち入り禁止だぞ！？			ムッ、なんだお前ら。関係者以外は立ち入り禁止だぞ！？			旧怨なる亡霊							
って、お前は……！あの「光の紳士」のお供の冒険者！？横のは……嫌味な記者の姉ちゃんか！			って、お前は……！あの「光の紳士」のお供の冒険者！？横のは……嫌味な記者の姉ちゃんか！			旧怨なる亡霊							
ふん、久しぶりね、ニセ「光の戦士」さん。まさか、貴方が銀冑団に入ってたなんて……驚きだわ。			ふん、久しぶりね、ニセ「光の戦士」さん。まさか、貴方が銀冑団に入ってたなんて……驚きだわ。			旧怨なる亡霊							
ひ、「光の紳士」の働きに感銘を受けて、俺も世のためにできることを探そうと思っただけだ……。元々剣術は得意だったから、銀冑団の入団試験を受けたのさ。			ひ、「光の紳士」の働きに感銘を受けて、俺も世のためにできることを探そうと思っただけだ……。元々剣術は得意だったから、銀冑団の入団試験を受けたのさ。			旧怨なる亡霊							
……そうだ、どうせ「怪盗白仮面」の事件について、あの「光の紳士」と一緒に、捜査するつもりなんだろう！？対策本部の本部長を呼んでやるから、待ってな！			……そうだ、どうせ「怪盗白仮面」の事件について、あの「光の紳士」と一緒に、捜査するつもりなんだろう！？対策本部の本部長を呼んでやるから、待ってな！			旧怨なる亡霊							
本部長は、歴史に詳しい才女なんだ。ヤツが「ベラフディア四大神器」を集めてると聞いて、今回の事件に強い興味を持ったらしい。			本部長は、歴史に詳しい才女なんだ。ヤツが「ベラフディア四大神器」を集めてると聞いて、今回の事件に強い興味を持ったらしい。			旧怨なる亡霊							
今回の本部長も、自ら志願したそうだからな。彼女なら、「ウルダハの秘宝」も守りとおしてくれるはずさ！			今回の本部長も、自ら志願したそうだからな。彼女なら、「ウルダハの秘宝」も守りとおしてくれるはずさ！			旧怨なる亡霊							
あなたが「怪盗白仮面」対策本部の本部長さん？私はミスリルアイの記者、エリーと申します。			あなたが「怪盗白仮面」対策本部の本部長さん？私はミスリルアイの記者、エリーと申します。			旧怨なる亡霊							
はい、銀冑団のフィリスと申します。エリーさんがいらっしゃったということは……おとなりの冒険者さんは、Forenameさん？			はい、銀冑団のフィリスと申します。エリーさんがいらっしゃったということは……おとなりの冒険者さんは、Forenameさん？			旧怨なる亡霊							
あら、よくご存知ね。			あら、よくご存知ね。			旧怨なる亡霊							
はい、今回の対策を立てるにあたって、エリーさんの「特集記事」を熟読しましたから！			はい、今回の対策を立てるにあたって、エリーさんの「特集記事」を熟読しましたから！			旧怨なる亡霊							
これまで「怪盗白仮面」を追ってきた皆さんには、今回の捜査にも、ぜひ参加していただきたいと思っていました！実は、すでに事件屋さんには先行して依頼を……。			これまで「怪盗白仮面」を追ってきた皆さんには、今回の捜査にも、ぜひ参加していただきたいと思っていました！実は、すでに事件屋さんには先行して依頼を……。			旧怨なる亡霊							
さすがはウルダハ朝の王家に仕える、王宮近衛兵。これまでの傭兵くずれとは、警備に対する姿勢が違う。			さすがはウルダハ朝の王家に仕える、王宮近衛兵。これまでの傭兵くずれとは、警備に対する姿勢が違う。			旧怨なる亡霊							
あら、ブリアルディアン君。先に来ていたのね。			あら、ブリアルディアン君。先に来ていたのね。			旧怨なる亡霊							
やあ、エリー、Forename。			やあ、エリー、Forename。			旧怨なる亡霊							
いきなり失礼だが……君たちには、この「粉」をかぶってもらう。			いきなり失礼だが……君たちには、この「粉」をかぶってもらう。			旧怨なる亡霊							
ええっ、ちょっ……な、なにこれ？ケホッ！　ケホッ！			ええっ、ちょっ……な、なにこれ？ケホッ！　ケホッ！			旧怨なる亡霊							
……ふたりとも問題ないようだな、安心した。これは「怪盗白仮面」の変装を解くために用意した、「粉末ミラージュディスペラー」だ。			……ふたりとも問題ないようだな、安心した。これは「怪盗白仮面」の変装を解くために用意した、「粉末ミラージュディスペラー」だ。			旧怨なる亡霊							
銀冑団から、奴の変装対策について依頼があってね。以前、ベスパーベイで手に入れた特殊マスクを分析し、錬金術師ギルドの力を借りて作製したのさ。			銀冑団から、奴の変装対策について依頼があってね。以前、ベスパーベイで手に入れた特殊マスクを分析し、錬金術師ギルドの力を借りて作製したのさ。			旧怨なる亡霊							
す、すごいじゃない！これがあれば、「怪盗白仮面」の変装も怖くないわ！			す、すごいじゃない！これがあれば、「怪盗白仮面」の変装も怖くないわ！			旧怨なる亡霊							
ですが、「粉」の作製には費用と時間がかかるため、あまりお渡しすることはできません……。恥ずかしながら、銀冑団は予算があまりないのです。			ですが、「粉」の作製には費用と時間がかかるため、あまりお渡しすることはできません……。恥ずかしながら、銀冑団は予算があまりないのです。			旧怨なる亡霊							
それでも、十分な力になりそうよ。……そうだ、「ウルダハの秘宝」は特定できた？「ベラフディア四大神器」の最後のひとつ……って話だけど。			それでも、十分な力になりそうよ。……そうだ、「ウルダハの秘宝」は特定できた？「ベラフディア四大神器」の最後のひとつ……って話だけど。			旧怨なる亡霊							
いえ、当時の書物を全て読み返しましたが、わかりません。そもそも「ベラフディア四大神器」とは、当時の絵巻物に登場する、おとぎ話上の物なのです。			いえ、当時の書物を全て読み返しましたが、わかりません。そもそも「ベラフディア四大神器」とは、当時の絵巻物に登場する、おとぎ話上の物なのです。			旧怨なる亡霊							
「黄昏の刻、絶望の淵に光輝あり。　その者、奇跡を起こせし、ベラフディア『光の四戦士』なり」			「黄昏の刻、絶望の淵に光輝あり。　その者、奇跡を起こせし、ベラフディア『光の四戦士』なり」			旧怨なる亡霊							
「ベラフディア四大神器」とは、この「光の四戦士」が持っていた神器とされていますが、具体的な名称は、どこにも記録されていません……。			「ベラフディア四大神器」とは、この「光の四戦士」が持っていた神器とされていますが、具体的な名称は、どこにも記録されていません……。			旧怨なる亡霊							
予想をするのも、もはや下策だろう。コスタ・デル・ソルとコロセウムでの事件において、「怪盗白仮面」は、こちらの予想とは異なる品を奪っている。			予想をするのも、もはや下策だろう。コスタ・デル・ソルとコロセウムでの事件において、「怪盗白仮面」は、こちらの予想とは異なる品を奪っている。			旧怨なる亡霊							
ええ、ここの宝物庫には、ベラフディア縁の品が多くあります。ですから、宝物庫の警備には一番の手練を配備し、「粉末ミラージュディスペラー」を優先的に持たせました。			ええ、ここの宝物庫には、ベラフディア縁の品が多くあります。ですから、宝物庫の警備には一番の手練を配備し、「粉末ミラージュディスペラー」を優先的に持たせました。			旧怨なる亡霊							
警備は我々におまかせください！宝物庫の中身は、すべて守ってみせますよ。……それでは本部長、失礼します。			警備は我々におまかせください！宝物庫の中身は、すべて守ってみせますよ。……それでは本部長、失礼します。			旧怨なる亡霊							
そのため、一方で、もうひとつの事件……。「怪盗白仮面」の新たな犯行である、例の連続殺人事件まで、手が回っていないのが現状なのです。			そのため、一方で、もうひとつの事件……。「怪盗白仮面」の新たな犯行である、例の連続殺人事件まで、手が回っていないのが現状なのです。			旧怨なる亡霊							
こちらについては、銅刃団が調査に入っていますが、彼らだけでは捜査は難航することでしょう。そこで、あなた方に調査をお願いしたいのです。			こちらについては、銅刃団が調査に入っていますが、彼らだけでは捜査は難航することでしょう。そこで、あなた方に調査をお願いしたいのです。			旧怨なる亡霊							
(-？？？？-)フッフッフ……匂います……！大事件の香りを……キャッチしましたぞ！			(-？？？？-)フッフッフ……匂います……！大事件の香りを……キャッチしましたぞ！			旧怨なる亡霊							
お呼びにあずかりました、事件屋ヒルディブランド！颯爽と参上いたしましたぞ！			お呼びにあずかりました、事件屋ヒルディブランド！颯爽と参上いたしましたぞ！			旧怨なる亡霊							
ゴホッゴホッ……ひ、ひどい！これは噂に聞く「粉」ですかな！？ゴホッ、私は「怪盗白仮面」ではございませんぞ！！			ゴホッゴホッ……ひ、ひどい！これは噂に聞く「粉」ですかな！？ゴホッ、私は「怪盗白仮面」ではございませんぞ！！			旧怨なる亡霊							
チッ……本物か。			チッ……本物か。			旧怨なる亡霊							
ヒ、ヒルディブランド様もいらっしゃったようですし、連続殺人事件の現状についてご説明します。			ヒ、ヒルディブランド様もいらっしゃったようですし、連続殺人事件の現状についてご説明します。			旧怨なる亡霊							
これまで3名となった被害者は、出版関係者と行政の官吏。そして、史学研究者です。彼らには、これといった共通点は見られません……。			これまで3名となった被害者は、出版関係者と行政の官吏。そして、史学研究者です。彼らには、これといった共通点は見られません……。			旧怨なる亡霊							
ふぅむ、なるほど……。亡くなった方々の死因は、なんだったのでしょう？刺殺ですか、絞殺ですか、それとも……！？			ふぅむ、なるほど……。亡くなった方々の死因は、なんだったのでしょう？刺殺ですか、絞殺ですか、それとも……！？			旧怨なる亡霊							
それは……毎回、異なっていて、こちらも共通点は……。とにかく、予告されている残りの二名の殺人を、どうか止めていただきたいのです。			それは……毎回、異なっていて、こちらも共通点は……。とにかく、予告されている残りの二名の殺人を、どうか止めていただきたいのです。			旧怨なる亡霊							
……ふむ、あとは捜査の中で調べましょう。この事件を最後に、凶悪殺人鬼と化した大悪党……「怪盗白仮面」を、必ずや捕らえて見せますぞ！			……ふむ、あとは捜査の中で調べましょう。この事件を最後に、凶悪殺人鬼と化した大悪党……「怪盗白仮面」を、必ずや捕らえて見せますぞ！			旧怨なる亡霊							
頼もしいかぎりです。念のため「粉末ミラージュディスペラー」をお渡ししますね。1回分だけですので、慎重にお使いください。			頼もしいかぎりです。念のため「粉末ミラージュディスペラー」をお渡ししますね。1回分だけですので、慎重にお使いください。			旧怨なる亡霊							
「粉末ミラージュディスペラー」があれば、「怪盗白仮面」の変装も怖くないわね……！			「粉末ミラージュディスペラー」があれば、「怪盗白仮面」の変装も怖くないわね……！			旧怨なる亡霊							
また「光の紳士」に会えるとは……！銀冑団に入ってよかったぜ！			また「光の紳士」に会えるとは……！銀冑団に入ってよかったぜ！			旧怨なる亡霊							
宝物庫の警備は、我々におまかせください。連続殺人事件の方を、よろしくお願いいたします。			宝物庫の警備は、我々におまかせください。連続殺人事件の方を、よろしくお願いいたします。			旧怨なる亡霊							
フフフ……最後の事件までご一緒することになるとは、冒険者殿、さすがは私のファン一号ですぞ！			フフフ……最後の事件までご一緒することになるとは、冒険者殿、さすがは私のファン一号ですぞ！			旧怨なる亡霊							
いえ、改めてこう呼ばせてください……。「運命の友 Forename」殿と！！			いえ、改めてこう呼ばせてください……。「運命の友 Forename」殿と！！			旧怨なる亡霊							
さて、Forename殿。ひとまず、直前の被害者である史学研究者の、殺害現場に向かってみましょう。			さて、Forename殿。ひとまず、直前の被害者である史学研究者の、殺害現場に向かってみましょう。			旧怨なる亡霊							
私が調べたところによると、史学研究者は「ササモの八十階段」付近で、殺害されていたようです。			私が調べたところによると、史学研究者は「ササモの八十階段」付近で、殺害されていたようです。			旧怨なる亡霊							
まだ何か手がかりが残されているかもしれません。さっそく、向かってみましょう！			まだ何か手がかりが残されているかもしれません。さっそく、向かってみましょう！			旧怨なる亡霊							
なに、怪しい奴がいたら、フィリス殿から預かった「粉末ミラージュディスペラー」で、正体を見抜いてやりますとも！			なに、怪しい奴がいたら、フィリス殿から預かった「粉末ミラージュディスペラー」で、正体を見抜いてやりますとも！			旧怨なる亡霊							
この辺りが、事件現場のようだな……。花が手向けられている。			この辺りが、事件現場のようだな……。花が手向けられている。			旧怨なる亡霊							
ご覧ください、Forename殿！花が手向けられていますぞ！私の推理によると、これはお花屋さんの落としも……。			ご覧ください、Forename殿！花が手向けられていますぞ！私の推理によると、これはお花屋さんの落としも……。			旧怨なる亡霊							
(-？？？？-)……お主らはぁ、ここで何をやっておるのかねぇ。			(-？？？？-)……お主らはぁ、ここで何をやっておるのかねぇ。			旧怨なる亡霊							
その花を手向けたのは、ワタシだぁよ……。ここで死んだぁ、ワタシの息子のためにねぇ……。			その花を手向けたのは、ワタシだぁよ……。ここで死んだぁ、ワタシの息子のためにねぇ……。			旧怨なる亡霊							
おお……やはり私の推理どおり、ご遺族の物でしたか！！ご婦人、突然の不幸をお悔やみ申し上げますぞ。			おお……やはり私の推理どおり、ご遺族の物でしたか！！ご婦人、突然の不幸をお悔やみ申し上げますぞ。			旧怨なる亡霊							
私は、事件屋ヒルディブランド。現在「怪盗白仮面」による連続殺人を阻止するべく、捜査を進めている素敵な紳士ですぞ！			私は、事件屋ヒルディブランド。現在「怪盗白仮面」による連続殺人を阻止するべく、捜査を進めている素敵な紳士ですぞ！			旧怨なる亡霊							
……捜査……ですってぇ……！？アア……アア……なんて恐ろしい……！そんなもの、そんなもの、今すぐやめなさい！！			……捜査……ですってぇ……！？アア……アア……なんて恐ろしい……！そんなもの、そんなもの、今すぐやめなさい！！			旧怨なる亡霊							
アア……さもなければ……お主らも「ゾンビー」にさせられてしまうよ！！息子と……息子と同じようにねぇ！！			アア……さもなければ……お主らも「ゾンビー」にさせられてしまうよ！！息子と……息子と同じようにねぇ！！			旧怨なる亡霊							
生きている人が、ゾンビーに……？そんな馬鹿なことがあるものですか。			生きている人が、ゾンビーに……？そんな馬鹿なことがあるものですか。			旧怨なる亡霊							
……かつてザナラーン地方には、「シラディハ」という、ウルダハの兄弟国家があってねぇ……。約400年前、両国は大きな戦争をしたのさ。			……かつてザナラーン地方には、「シラディハ」という、ウルダハの兄弟国家があってねぇ……。約400年前、両国は大きな戦争をしたのさ。			旧怨なる亡霊							
その戦争で、シラディハの民は、ある薬を開発したのよぉ……。それが、人をゾンビー化させる恐怖の秘薬……「ゾンビパウダー」さ……！			その戦争で、シラディハの民は、ある薬を開発したのよぉ……。それが、人をゾンビー化させる恐怖の秘薬……「ゾンビパウダー」さ……！			旧怨なる亡霊							
息子は「ゾンビパウダー」で自我を失い……処分された。駆けつけた銅刃団は「異常な事件」だからと、情報を隠蔽……。遺体も回収されちまったのさぁ……。			息子は「ゾンビパウダー」で自我を失い……処分された。駆けつけた銅刃団は「異常な事件」だからと、情報を隠蔽……。遺体も回収されちまったのさぁ……。			旧怨なる亡霊							
「ゾンビパウダー」……。そんなものを手に入れられる「怪盗白仮面」って、いったい何者なのかしら？			「ゾンビパウダー」……。そんなものを手に入れられる「怪盗白仮面」って、いったい何者なのかしら？			旧怨なる亡霊							
シラディハの民……そうさ、そうにちがいない……。彼らは「ゾンビパウダー」を作ることができるからねぇ……。			シラディハの民……そうさ、そうにちがいない……。彼らは「ゾンビパウダー」を作ることができるからねぇ……。			旧怨なる亡霊							
……けど、そんなことあり得りゃしないんだよ……ヒヒヒ……！あの国は、400年前に滅んでいるんだからねぇ……ヒヒヒ！！			……けど、そんなことあり得りゃしないんだよ……ヒヒヒ……！あの国は、400年前に滅んでいるんだからねぇ……ヒヒヒ！！			旧怨なる亡霊							
ああ……きっと「怪盗白仮面」は「この世のもの」ではない……。シラディハが生んだ、憎しみの亡霊に違いないのさ！！			ああ……きっと「怪盗白仮面」は「この世のもの」ではない……。シラディハが生んだ、憎しみの亡霊に違いないのさ！！			旧怨なる亡霊							
ワタシは、祖母に聞いたことがある……！「ベラフディア四大神器」には、おそろしい威力の「大魔法」が秘められているってね！			ワタシは、祖母に聞いたことがある……！「ベラフディア四大神器」には、おそろしい威力の「大魔法」が秘められているってね！			旧怨なる亡霊							
その魔法で、ウルダハに復讐をする気なんだ！ああ、おそろしい……！　おそろしい……！光の四戦士様……我々ウルダハの民をお守りください……！			その魔法で、ウルダハに復讐をする気なんだ！ああ、おそろしい……！　おそろしい……！光の四戦士様……我々ウルダハの民をお守りください……！			旧怨なる亡霊							
……私の息子も、シラディハの歴史なぞ調べなければ！ああ、あの国の歴史には触れてはならぬ……！これ以上詮索したら、端から呪い殺されてしまう……！			……私の息子も、シラディハの歴史なぞ調べなければ！ああ、あの国の歴史には触れてはならぬ……！これ以上詮索したら、端から呪い殺されてしまう……！			旧怨なる亡霊							
(-？？？？-)はぁ、はぁ……。どこじゃ……奴は、どこにいるんじゃ……。			(-？？？？-)はぁ、はぁ……。どこじゃ……奴は、どこにいるんじゃ……。			旧怨なる亡霊							
あの少女が持ってきた「モサモサトニック」のおかげで、青春時代ほどの毛髪を手に入れたはいいが、あっというまに効果がきれてもうた……。			あの少女が持ってきた「モサモサトニック」のおかげで、青春時代ほどの毛髪を手に入れたはいいが、あっというまに効果がきれてもうた……。			旧怨なる亡霊							
ああ、ワシの青春……モサモサトニックはどこじゃ……！あの「事件屋」とかいう連中を、ひっ捕まえて、何としてでも吐き出させなければ……！！			ああ、ワシの青春……モサモサトニックはどこじゃ……！あの「事件屋」とかいう連中を、ひっ捕まえて、何としてでも吐き出させなければ……！！			旧怨なる亡霊							
事件屋ヒルディブランドは、武器怪盗を捜しに、アドネール占星台に向かおうとしているようだ。			事件屋ヒルディブランドは、武器怪盗を捜しに、アドネール占星台に向かおうとしているようだ。			天下無双の挑戦者							
捜査に参加することが許され、ヒルディブランドは喜んでいるようだ。さっそく、クルザス中央高地のアドネール占星台にいる「オトリ役の傭兵」と話そう。			捜査に参加することが許され、ヒルディブランドは喜んでいるようだ。さっそく、クルザス中央高地のアドネール占星台にいる「オトリ役の傭兵」と話そう。			天下無双の挑戦者							
オトリ役の傭兵に、見回りを頼まれた。アドネール占星台にいる「見回りの傭兵」と話そう。			オトリ役の傭兵に、見回りを頼まれた。アドネール占星台にいる「見回りの傭兵」と話そう。			天下無双の挑戦者							
見回りの傭兵と話したが、武器怪盗らしき人物は見つからなかった。アドネール占星台にいる「ヒルディブランド」と話そう。			見回りの傭兵と話したが、武器怪盗らしき人物は見つからなかった。アドネール占星台にいる「ヒルディブランド」と話そう。			天下無双の挑戦者							
エリーのアイデアで、アドネール占星台の外で見回りをすることになった。アドネール占星台の東にある「指定地点」で待機しよう。			エリーのアイデアで、アドネール占星台の外で見回りをすることになった。アドネール占星台の東にある「指定地点」で待機しよう。			天下無双の挑戦者							
なんと、武器怪盗とはギルガメッシュのことだった。クルザス中央高地のグリフィン大橋に向かい、「ヒルディブランド」と話そう。			なんと、武器怪盗とはギルガメッシュのことだった。クルザス中央高地のグリフィン大橋に向かい、「ヒルディブランド」と話そう。			天下無双の挑戦者							
ギルガメッシュは、グリフィン大橋の奥で冒険者と戦うつもりのようだ。武器怪盗の「ギルガメッシュ」を討伐しよう。※コンテンツファインダーから攻略に参加できます。			ギルガメッシュは、グリフィン大橋の奥で冒険者と戦うつもりのようだ。武器怪盗の「ギルガメッシュ」を討伐しよう。※コンテンツファインダーから攻略に参加できます。			天下無双の挑戦者							
ギルガメッシュを討伐することができた。グリフィン大橋の外にいる「ブリアルディアン」に報告しよう。			ギルガメッシュを討伐することができた。グリフィン大橋の外にいる「ブリアルディアン」に報告しよう。			天下無双の挑戦者							
ブリアルディアンに、ギルガメッシュ討伐の旨を報告した。西ザナラーンのベスパーベイにいる「ドリルダ」に、「契約の剣」を守ることができたと報告しに行こう。			ブリアルディアンに、ギルガメッシュ討伐の旨を報告した。西ザナラーンのベスパーベイにいる「ドリルダ」に、「契約の剣」を守ることができたと報告しに行こう。			天下無双の挑戦者							
ブリアルディアンが「契約の剣」を渡した人物は、ドリルダに変装した「怪盗白仮面」であった。そして、新たな予告状が届けられる……。事件屋たちは「怪盗白仮面」の次の犯行を止めることができるのだろうか……？			ブリアルディアンが「契約の剣」を渡した人物は、ドリルダに変装した「怪盗白仮面」であった。そして、新たな予告状が届けられる……。事件屋たちは「怪盗白仮面」の次の犯行を止めることができるのだろうか……？			天下無双の挑戦者							
アドネール占星台のオトリ役の傭兵と話す			アドネール占星台のオトリ役の傭兵と話す			天下無双の挑戦者							
見回りの傭兵と話す			見回りの傭兵と話す			天下無双の挑戦者							
ヒルディブランドと話す			ヒルディブランドと話す			天下無双の挑戦者							
指定地点で待機			指定地点で待機			天下無双の挑戦者							
ヒルディブランドと話す			ヒルディブランドと話す			天下無双の挑戦者							
「ギルガメッシュ」を討伐する			「ギルガメッシュ」を討伐する			天下無双の挑戦者							
ブリアルディアンと話す			ブリアルディアンと話す			天下無双の挑戦者							
ベスパーベイのドリルダと話す			ベスパーベイのドリルダと話す			天下無双の挑戦者							
さぁ、さっそく我々も、クルザスの「アドネール占星台」に向かいますぞ！			さぁ、さっそく我々も、クルザスの「アドネール占星台」に向かいますぞ！			天下無双の挑戦者							
まずは、現地でオトリ役をしている傭兵殿に、状況を聞いてみるとしましょう！			まずは、現地でオトリ役をしている傭兵殿に、状況を聞いてみるとしましょう！			天下無双の挑戦者							
まずは、現地でオトリ役をしている傭兵殿に、状況を聞いてみるとしましょう！			まずは、現地でオトリ役をしている傭兵殿に、状況を聞いてみるとしましょう！			天下無双の挑戦者							
はぁ、結局、武器は見つからなかったぜ……。気を取り直して、クルザスってとこに行くか！			はぁ、結局、武器は見つからなかったぜ……。気を取り直して、クルザスってとこに行くか！			天下無双の挑戦者							
ドリルダ殿の自警団の方ですな？雪原での任務、ご苦労さまですぞ！しかし、私が来たからには、大船に乗った気持ちで……。			ドリルダ殿の自警団の方ですな？雪原での任務、ご苦労さまですぞ！しかし、私が来たからには、大船に乗った気持ちで……。			天下無双の挑戦者							
なんだ、貴様らは。我々は特務の最中だ、気軽に話しかけるでない。			なんだ、貴様らは。我々は特務の最中だ、気軽に話しかけるでない。			天下無双の挑戦者							
……依頼主の意向で、捜査に参加させることになった。適当に、周囲の見まわりでも指示してやれ。			……依頼主の意向で、捜査に参加させることになった。適当に、周囲の見まわりでも指示してやれ。			天下無双の挑戦者							
ぼくは、全体の指揮が忙しい。……くれぐれも邪魔はするなよ。			ぼくは、全体の指揮が忙しい。……くれぐれも邪魔はするなよ。			天下無双の挑戦者							
ブリアルディアン殿、お待ちください、確認事項が……。……むむ、行ってしまわれたな。			ブリアルディアン殿、お待ちください、確認事項が……。……むむ、行ってしまわれたな。			天下無双の挑戦者							
私は男爵殿に話をしてくる、この場は貴様らに頼むぞ。			私は男爵殿に話をしてくる、この場は貴様らに頼むぞ。			天下無双の挑戦者							
すっげーなぁ！ここは一面雪なんだな！			すっげーなぁ！ここは一面雪なんだな！			天下無双の挑戦者							
よぅし、不審人物を探しがてら、オレも自分の武器を探してくるぜ！			よぅし、不審人物を探しがてら、オレも自分の武器を探してくるぜ！			天下無双の挑戦者							
……待たせたな。不審人物は現れなかっただろうな？			……待たせたな。不審人物は現れなかっただろうな？			天下無双の挑戦者							
