甲冑師ギルドのハ・ナンザは、冒険者に話したいことがあるようだ。			甲冑師ギルドのハ・ナンザは、冒険者に話したいことがあるようだ。			個性を求めて							
デザインの個人レッスンまでしてあげちゃった。あの人だったら、なんでもサービスしてあげちゃう。			デザインの個人レッスンまでしてあげちゃった。あの人だったら、なんでもサービスしてあげちゃう。			オシャレな甲冑							
……そうそう、オシャレな鎧だったわね。デザインだけじゃなく、ちゃんと色使いにも気を配ってる？例えば同じ色でも、光沢の有無で印象は変わるハズよ。			……そうそう、オシャレな鎧だったわね。デザインだけじゃなく、ちゃんと色使いにも気を配ってる？例えば同じ色でも、光沢の有無で印象は変わるハズよ。			オシャレな甲冑							
……あら、あなたったら、甲冑にまでオシャレを持ち込む気？この間、ルガディン族の男性が、同じことを聞きにきたの。お堅いけれど、真面目で屈強な男前だったわぁ……。			……あら、あなたったら、甲冑にまでオシャレを持ち込む気？この間、ルガディン族の男性が、同じことを聞きにきたの。お堅いけれど、真面目で屈強な男前だったわぁ……。			オシャレな甲冑							
デザインの個人レッスンまでしてあげちゃった。あの人だったら、なんでもサービスしてあげちゃう。			デザインの個人レッスンまでしてあげちゃった。あの人だったら、なんでもサービスしてあげちゃう。			オシャレな甲冑							
……そうそう、オシャレな鎧だったわね。デザインだけじゃなく、ちゃんと色使いにも気を配ってる？例えば同じ色でも、光沢の有無で印象は変わるハズよ。			……そうそう、オシャレな鎧だったわね。デザインだけじゃなく、ちゃんと色使いにも気を配ってる？例えば同じ色でも、光沢の有無で印象は変わるハズよ。			オシャレな甲冑							
……オシャレで強度のある鎧ですか？かつて、銀冑団が隆盛を誇った時代には、華やかな装飾を施した、式典用の甲冑が作られたといいます。			……オシャレで強度のある鎧ですか？かつて、銀冑団が隆盛を誇った時代には、華やかな装飾を施した、式典用の甲冑が作られたといいます。			オシャレな甲冑							
ですが、繊細な装飾を施したとしても、戦いで傷つけば、すぐに剥がれてしまいます。			ですが、繊細な装飾を施したとしても、戦いで傷つけば、すぐに剥がれてしまいます。			オシャレな甲冑							
つまり、全面を飾るのではなく、縁取りなど、ポイントを絞って装飾を施すことが重要……。だと思うのですが、参考になりましたでしょうか？			つまり、全面を飾るのではなく、縁取りなど、ポイントを絞って装飾を施すことが重要……。だと思うのですが、参考になりましたでしょうか？			オシャレな甲冑							
……あら、今度は甲冑作りに挑戦ですか？そうですね、かつて、銀冑団が隆盛を誇った時代には、華やかな装飾を施した、式典用の甲冑が作られたといいます。			……あら、今度は甲冑作りに挑戦ですか？そうですね、かつて、銀冑団が隆盛を誇った時代には、華やかな装飾を施した、式典用の甲冑が作られたといいます。			オシャレな甲冑							
ですが、繊細な装飾を施したとしても、戦いで傷つけば、すぐに剥がれてしまいます。			ですが、繊細な装飾を施したとしても、戦いで傷つけば、すぐに剥がれてしまいます。			オシャレな甲冑							
つまり、全面を飾るのではなく、縁取りなど、ポイントを絞って装飾を施すことが重要……。だと思うのですが、参考になりましたでしょうか？			つまり、全面を飾るのではなく、縁取りなど、ポイントを絞って装飾を施すことが重要……。だと思うのですが、参考になりましたでしょうか？			オシャレな甲冑							
どうだい、裁縫師ギルドや彫金師ギルドでの話は、少しは、参考になったかい？			どうだい、裁縫師ギルドや彫金師ギルドでの話は、少しは、参考になったかい？			オシャレな甲冑							
……「光沢を活かした色使い」と「ポイントを絞った装飾」か。そうなると、表面を光沢を出した暗い色にして……明るい色の「ローズゴールド」で、縁取りの装飾を施そう。			……「光沢を活かした色使い」と「ポイントを絞った装飾」か。そうなると、表面を光沢を出した暗い色にして……明るい色の「ローズゴールド」で、縁取りの装飾を施そう。			オシャレな甲冑							
主素材は、前回と同じくチタンにして剛性を備えようか。さしずめ、「チタンスレイヤーキュイラス」だね！できたら「ベナテール」に届けて、喜ばせてやんなよ！			主素材は、前回と同じくチタンにして剛性を備えようか。さしずめ、「チタンスレイヤーキュイラス」だね！できたら「ベナテール」に届けて、喜ばせてやんなよ！			オシャレな甲冑							
さしずめ、「チタンスレイヤーキュイラス」だね！できたら「ベナテール」に届けて、喜ばせてやんなよ！			さしずめ、「チタンスレイヤーキュイラス」だね！できたら「ベナテール」に届けて、喜ばせてやんなよ！			オシャレな甲冑							
やあ、待ちかねていたよ。バルバレラ向けのオシャレで、なおかつ強度のある鎧……用意はできそうかい？			やあ、待ちかねていたよ。バルバレラ向けのオシャレで、なおかつ強度のある鎧……用意はできそうかい？			オシャレな甲冑							
まさか貴様、あの要望に応えられたというのか……？……どれ、我が精査してやろう。			まさか貴様、あの要望に応えられたというのか……？……どれ、我が精査してやろう。			オシャレな甲冑							
シ、シンプルなデザインながら、なんと美しい甲冑なのだ！「ローズゴールド」の華やかさが気品を引き出している！あのデタラメな要望を、こうも見事にこなすとは……！！			シ、シンプルなデザインながら、なんと美しい甲冑なのだ！「ローズゴールド」の華やかさが気品を引き出している！あのデタラメな要望を、こうも見事にこなすとは……！！			オシャレな甲冑							
うん、この艶やかな色……気に入ったわ！それに、縁取りの細工が、華麗さを添えているのも悪くないわね！……やるじゃない！			うん、この艶やかな色……気に入ったわ！それに、縁取りの細工が、華麗さを添えているのも悪くないわね！……やるじゃない！			オシャレな甲冑							
Forenameさん、ありがとう。強度も心配なさそうだし、やっぱり君は凄いや。これで、バルバレラの防具も整った……後は……。			Forenameさん、ありがとう。強度も心配なさそうだし、やっぱり君は凄いや。これで、バルバレラの防具も整った……後は……。			オシャレな甲冑							
なんだ、呼び出されたと思ったら、そういうことかよ。お前、また仲間の防具なんか整えてるのか……。			なんだ、呼び出されたと思ったら、そういうことかよ。お前、また仲間の防具なんか整えてるのか……。			オシャレな甲冑							
ワンマガ……君こそ一番の問題なんだぞ。先頭で戦う剣術士の防具には、仲間の命もかかっているんだ。			ワンマガ……君こそ一番の問題なんだぞ。先頭で戦う剣術士の防具には、仲間の命もかかっているんだ。			オシャレな甲冑							
……俺は、今のままでも充分に戦えるさ。仲間の命というなら、癒し手であるお前はどうなんだ？お前がどん臭いから、防具に頼らなくちゃならないんだろ。			……俺は、今のままでも充分に戦えるさ。仲間の命というなら、癒し手であるお前はどうなんだ？お前がどん臭いから、防具に頼らなくちゃならないんだろ。			オシャレな甲冑							
どん臭いだと……？僕は、みんなを一生懸命に護っている！そもそも君が頼りないから、心配しているんじゃないか！			どん臭いだと……？僕は、みんなを一生懸命に護っている！そもそも君が頼りないから、心配しているんじゃないか！			オシャレな甲冑							
頼りないたぁ、ずいぶんな言いようだな！命がけで、お前たちを護ってきた俺に向かってよ！……もういい……俺は仲間を抜けるぞ！			頼りないたぁ、ずいぶんな言いようだな！命がけで、お前たちを護ってきた俺に向かってよ！……もういい……俺は仲間を抜けるぞ！			オシャレな甲冑							
勝手にしてくれ！…………君の代わりなんて、すぐに見つかるさ。			勝手にしてくれ！…………君の代わりなんて、すぐに見つかるさ。			オシャレな甲冑							
……あのふたりは幼馴染なのよ。冒険者として名を上げるって、田舎から出て来てから、ずっと一緒だったのにね……。			……あのふたりは幼馴染なのよ。冒険者として名を上げるって、田舎から出て来てから、ずっと一緒だったのにね……。			オシャレな甲冑							
……冒険者も、なにかと大変なものだな。			……冒険者も、なにかと大変なものだな。			オシャレな甲冑							
好敵手よ……。悔しいが貴様は、客の要望に見事に応えた。			好敵手よ……。悔しいが貴様は、客の要望に見事に応えた。			オシャレな甲冑							
我も、ウルダハの裁縫師に教えを請い、デザインを学んだが、それを活かすことができなかった。客の立場に立つ甲冑師となるには、まだまだ学びが足りぬ……。			我も、ウルダハの裁縫師に教えを請い、デザインを学んだが、それを活かすことができなかった。客の立場に立つ甲冑師となるには、まだまだ学びが足りぬ……。			オシャレな甲冑							
だが、我が最も教えを請わなければならない相手……それは、ハ・ナンザなのだ。			だが、我が最も教えを請わなければならない相手……それは、ハ・ナンザなのだ。			オシャレな甲冑							
ハ・ナンザは、ギルドと会社の看板を背負った上でなお、さまざまな客の要望に応えている……。我が学ぶべきことも、数多く知っているはずだ。			ハ・ナンザは、ギルドと会社の看板を背負った上でなお、さまざまな客の要望に応えている……。我が学ぶべきことも、数多く知っているはずだ。			オシャレな甲冑							
あの女に頭を下げるなど、以前は考えられなかったが……しかし、我は変わらねばならぬのだ……。			あの女に頭を下げるなど、以前は考えられなかったが……しかし、我は変わらねばならぬのだ……。			オシャレな甲冑							
甲冑師ギルドのハ・ナンザは、冒険者に伝えたいことがあるようだ。			甲冑師ギルドのハ・ナンザは、冒険者に伝えたいことがあるようだ。			甲冑師、苦渋の決断							
ハ・ナンザから依頼を受けた。リムサ・ロミンサの甲冑師ギルドにいる「ハ・ナンザ」に「ミスリルアーマードカリガ」「ミスリルエルモDX」「ミスリルソルレット」を1個ずつ納品しよう。			ハ・ナンザから依頼を受けた。リムサ・ロミンサの甲冑師ギルドにいる「ハ・ナンザ」に「ミスリルアーマードカリガ」「ミスリルエルモDX」「ミスリルソルレット」を1個ずつ納品しよう。			甲冑師、苦渋の決断							
ハ・ナンザにミスリルアーマードカリガ、ミスリルエルモDX、ミスリルソルレットを1個ずつ納品した。リムサ・ロミンサの甲冑師ギルドにいる「ブランシュティル」に報告しよう。			ハ・ナンザにミスリルアーマードカリガ、ミスリルエルモDX、ミスリルソルレットを1個ずつ納品した。リムサ・ロミンサの甲冑師ギルドにいる「ブランシュティル」に報告しよう。			甲冑師、苦渋の決断							
ブランシュティルに報告した。ブランシュティルとの勝負は不戦敗になったが、ギルド存続の危機を救い、ギルド員の団結と、技術向上に、大きく貢献することができた。負けられない次の勝負のため、今以上に甲冑師として修業を積もう。※甲冑師のレベルが50以上になると、ハ・ナンザから次の甲冑師クエストを受注することができます。			ブランシュティルに報告した。ブランシュティルとの勝負は不戦敗になったが、ギルド存続の危機を救い、ギルド員の団結と、技術向上に、大きく貢献することができた。負けられない次の勝負のため、今以上に甲冑師として修業を積もう。※甲冑師のレベルが50以上になると、ハ・ナンザから次の甲冑師クエストを受注することができます。			甲冑師、苦渋の決断							
ハ・ナンザに依頼品を納品			ハ・ナンザに依頼品を納品			甲冑師、苦渋の決断							
ブランシュティルに報告			ブランシュティルに報告			甲冑師、苦渋の決断							
ブランシュティルから、また勝負の申し入れがあった。あの野郎、負けてもへこたれちゃいないみたいだね。			ブランシュティルから、また勝負の申し入れがあった。あの野郎、負けてもへこたれちゃいないみたいだね。			甲冑師、苦渋の決断							
次は勝つと息巻いてるみたいだし、気を引き締めるんだよ？手負いの獣ってのは、なかなか手強いもんだからね。			次は勝つと息巻いてるみたいだし、気を引き締めるんだよ？手負いの獣ってのは、なかなか手強いもんだからね。			甲冑師、苦渋の決断							
それで、次の勝負の品だけど、あの男、複数の品物を期日以内に作る勝負をしたいだとさ。			それで、次の勝負の品だけど、あの男、複数の品物を期日以内に作る勝負をしたいだとさ。			甲冑師、苦渋の決断							
作る品物は「ミスリルアーマードカリガ」、「ミスリルエルモDX」、「ミスリルソルレット」を1個ずつだ。			作る品物は「ミスリルアーマードカリガ」、「ミスリルエルモDX」、「ミスリルソルレット」を1個ずつだ。			甲冑師、苦渋の決断							
どれもがミスリル……霊銀鉱をふんだんに使った装備品さ。あえて同系の課題を提示するとは、まったく大した自信だよ。			どれもがミスリル……霊銀鉱をふんだんに使った装備品さ。あえて同系の課題を提示するとは、まったく大した自信だよ。			甲冑師、苦渋の決断							
いいかいForename。全速全力でブランシュティルの自信を叩き潰しな！2連勝して、あの男に今日こそ引導を渡してやるんだよ！			いいかいForename。全速全力でブランシュティルの自信を叩き潰しな！2連勝して、あの男に今日こそ引導を渡してやるんだよ！			甲冑師、苦渋の決断							
完成したら私のところに持ってくるんだ。念には念を入れて、出来栄えを確かめさせてもらうよ。			完成したら私のところに持ってくるんだ。念には念を入れて、出来栄えを確かめさせてもらうよ。			甲冑師、苦渋の決断							
「ミスリルアーマードカリガ」と「ミスリルエルモDX」、そして「ミスリルソルレット」を1個ずつ揃えてきな！			「ミスリルアーマードカリガ」と「ミスリルエルモDX」、そして「ミスリルソルレット」を1個ずつ揃えてきな！			甲冑師、苦渋の決断							
……さすがだよ、Forename。前回の勝負同様、非の打ちどころがない。だけど……この装備品は……！			……さすがだよ、Forename。前回の勝負同様、非の打ちどころがない。だけど……この装備品は……！			甲冑師、苦渋の決断							
いったんギルドへ譲ってもらいたい。ギルドの信用問題にかかわる痛恨の失敗があってね。あんたの作った物がギルドに必要なんだ……！			いったんギルドへ譲ってもらいたい。ギルドの信用問題にかかわる痛恨の失敗があってね。あんたの作った物がギルドに必要なんだ……！			甲冑師、苦渋の決断							
前にあんたが尻拭いした、スィシンって甲冑師を覚えてるかい？実は、そいつが……またやっちまったんだ。			前にあんたが尻拭いした、スィシンって甲冑師を覚えてるかい？実は、そいつが……またやっちまったんだ。			甲冑師、苦渋の決断							
スィシンもあんたを見習い、腕を上げてたんだが……今回に限ってしくじってね。黒渦団の依頼が、期日に間に合わなかったんだ。			スィシンもあんたを見習い、腕を上げてたんだが……今回に限ってしくじってね。黒渦団の依頼が、期日に間に合わなかったんだ。			甲冑師、苦渋の決断							
スィシンに責任を取らせ、切って捨てるのは、たやすい。だけど、ギルド員の失敗を助けられない組織は、私の目指す甲冑師ギルドじゃないんだ……。			スィシンに責任を取らせ、切って捨てるのは、たやすい。だけど、ギルド員の失敗を助けられない組織は、私の目指す甲冑師ギルドじゃないんだ……。			甲冑師、苦渋の決断							
ブランシュティルも、道理がわかる男だ。事情を話せば、期日を延ばしてくれるかもしれない。だから、あんたの装備品をギルドに譲ってほしい！！			ブランシュティルも、道理がわかる男だ。事情を話せば、期日を延ばしてくれるかもしれない。だから、あんたの装備品をギルドに譲ってほしい！！			甲冑師、苦渋の決断							
譲ってあげますか？			譲ってあげますか？			甲冑師、苦渋の決断							
はい			はい			甲冑師、苦渋の決断							
いいえ			いいえ			甲冑師、苦渋の決断							
……すまない、本当にすまない！作り直しで、手間をかけるが……どうか、頼む！あんたの装備品でないと、先方は納得しないんだ。			……すまない、本当にすまない！作り直しで、手間をかけるが……どうか、頼む！あんたの装備品でないと、先方は納得しないんだ。			甲冑師、苦渋の決断							
……よく言ってくれた、恩に着るよ。ほら、スィシン、あんたからもお礼を言いな。			……よく言ってくれた、恩に着るよ。ほら、スィシン、あんたからもお礼を言いな。			甲冑師、苦渋の決断							
Forename！本当に、ありがとうございます！ブランシュティルとの大事な勝負だったというのに。			Forename！本当に、ありがとうございます！ブランシュティルとの大事な勝負だったというのに。			甲冑師、苦渋の決断							
あなたとギルドマスターの厚意、絶対に無駄にしません！！あなたのような素晴らしい甲冑師を目指してさらに精進します！！			あなたとギルドマスターの厚意、絶対に無駄にしません！！あなたのような素晴らしい甲冑師を目指してさらに精進します！！			甲冑師、苦渋の決断							
あんたの品なら、黒渦団は必ず満足するはず。ありがとう、あんたはギルドの救世主だ！そして、ギルド発展の牽引力だね！			あんたの品なら、黒渦団は必ず満足するはず。ありがとう、あんたはギルドの救世主だ！そして、ギルド発展の牽引力だね！			甲冑師、苦渋の決断							
さあ、急いでブランシュティルに事情を説明にいってくれ。			さあ、急いでブランシュティルに事情を説明にいってくれ。			甲冑師、苦渋の決断							
何……我との勝負の品をギルドに譲っただと……！？ほら見たことか、やはりお前は、ギルドの連中に足を引っ張られている。			何……我との勝負の品をギルドに譲っただと……！？ほら見たことか、やはりお前は、ギルドの連中に足を引っ張られている。			甲冑師、苦渋の決断							
今回の勝負は、期日の厳守も条件に入れていた。だが、貴様は事情がどうあれ、期日を満たせぬ……。ゆえに、我の勝利だ！			今回の勝負は、期日の厳守も条件に入れていた。だが、貴様は事情がどうあれ、期日を満たせぬ……。ゆえに、我の勝利だ！			甲冑師、苦渋の決断							
だが、納得いかん、不愉快だ。次回の勝負は、必ず貴様の全力を見せよ！それを我が、叩き潰してくれる！			だが、納得いかん、不愉快だ。次回の勝負は、必ず貴様の全力を見せよ！それを我が、叩き潰してくれる！			甲冑師、苦渋の決断							
フウゲツは、冒険者に話したいことがあるようだ。			フウゲツは、冒険者に話したいことがあるようだ。			甲冑師にとっての個性							
フウゲツと話した。修行の一環として、お客さんを実際に相手にしてみるよう指示された。転魂塔広場にいる「ギョウセイ」と話そう。			フウゲツと話した。修行の一環として、お客さんを実際に相手にしてみるよう指示された。転魂塔広場にいる「ギョウセイ」と話そう。			甲冑師にとっての個性							
ギョウセイと話した。ギョウセイは、御前試合という、剣術の腕前を披露する格式高い試合で使用する、頭防具を作ってほしいらしい。どちらが作った頭防具が気に入ってもらえるか、ブランシュティルと勝負することとなった。素材を入手するため、小鍛冶屋の「ウンリュウ」と話そう。			ギョウセイと話した。ギョウセイは、御前試合という、剣術の腕前を披露する格式高い試合で使用する、頭防具を作ってほしいらしい。どちらが作った頭防具が気に入ってもらえるか、ブランシュティルと勝負することとなった。素材を入手するため、小鍛冶屋の「ウンリュウ」と話そう。			甲冑師にとっての個性							
ウンリュウと話した。どのような頭防具を作ればよいか、着想を得られそうな人たちを紹介してくれた。クガネの、赤誠組屯所にいる「赤誠組の隊士」、楽座街にいる「陽気な露店商人」と話そう。			ウンリュウと話した。どのような頭防具を作ればよいか、着想を得られそうな人たちを紹介してくれた。クガネの、赤誠組屯所にいる「赤誠組の隊士」、楽座街にいる「陽気な露店商人」と話そう。			甲冑師にとっての個性							
赤誠組の隊士と陽気な露店商人と話した。額や顎を守れる総面が、最適そうだ。素材を入手するため、小鍛冶屋の「ウンリュウ」と話そう。			赤誠組の隊士と陽気な露店商人と話した。額や顎を守れる総面が、最適そうだ。素材を入手するため、小鍛冶屋の「ウンリュウ」と話そう。			甲冑師にとっての個性							
ウンリュウから材料を受けとった。「総面の材料」をもとに「御前試合用の総面」を製作し、小鍛冶屋の「フウゲツ」に納品しよう。※「総面の材料」を失った場合は、ウンリュウに話しかけましょう。材料を入手し、再挑戦が可能になります。			ウンリュウから材料を受けとった。「総面の材料」をもとに「御前試合用の総面」を製作し、小鍛冶屋の「フウゲツ」に納品しよう。※「総面の材料」を失った場合は、ウンリュウに話しかけましょう。材料を入手し、再挑戦が可能になります。			甲冑師にとっての個性							
御前試合用の総面をフウゲツに納品した。ギョウセイは、ブランシュティルの製作した兜ではなく、冒険者の製作した総面を選んだ。結果に納得のいかないブランシュティルは抗議するが、フウゲツに注意を受ける。続けてフウゲツは、個性の出し方を勘違いしているとブランシュティルを諭す。反省したブランシュティルと共に、甲冑師としての腕を、さらに高めていくとしよう。※甲冑師のレベルが70以上になると、小鍛冶屋のブランシュティルから次の甲冑師クエストを受注することができます。			御前試合用の総面をフウゲツに納品した。ギョウセイは、ブランシュティルの製作した兜ではなく、冒険者の製作した総面を選んだ。結果に納得のいかないブランシュティルは抗議するが、フウゲツに注意を受ける。続けてフウゲツは、個性の出し方を勘違いしているとブランシュティルを諭す。反省したブランシュティルと共に、甲冑師としての腕を、さらに高めていくとしよう。※甲冑師のレベルが70以上になると、小鍛冶屋のブランシュティルから次の甲冑師クエストを受注することができます。			甲冑師にとっての個性							
ギョウセイと話す			ギョウセイと話す			甲冑師にとっての個性							
ウンリュウと話す			ウンリュウと話す			甲冑師にとっての個性							
赤誠組の隊士と話す			赤誠組の隊士と話す			甲冑師にとっての個性							
陽気な露店商人と話す			陽気な露店商人と話す			甲冑師にとっての個性							
ウンリュウと話す			ウンリュウと話す			甲冑師にとっての個性							
製作手帳 クラスクエスト：御前試合用の総面を製作フウゲツに御前試合用の総面を納品			製作手帳 クラスクエスト：御前試合用の総面を製作フウゲツに御前試合用の総面を納品			甲冑師にとっての個性							
Forenameくんじゃないですか。東方式の甲冑作りには、慣れてきましたか？			Forenameくんじゃないですか。東方式の甲冑作りには、慣れてきましたか？			甲冑師にとっての個性							
ふむ、すっかり基礎は修得できたようですね。では、そろそろ実践で腕を磨いてもらうことにしましょう。つまり、今度は実際にお客さんを相手にするということです。			ふむ、すっかり基礎は修得できたようですね。では、そろそろ実践で腕を磨いてもらうことにしましょう。つまり、今度は実際にお客さんを相手にするということです。			甲冑師にとっての個性							
実はちょうど、あるお武家様から仕事を依頼されていましてね。それを、君たちに引き受けて貰おうかと思っていたのです。			実はちょうど、あるお武家様から仕事を依頼されていましてね。それを、君たちに引き受けて貰おうかと思っていたのです。			甲冑師にとっての個性							
うむ……望むところだ。して、その客とやらは、どこにいるのだ？			うむ……望むところだ。して、その客とやらは、どこにいるのだ？			甲冑師にとっての個性							
転魂塔広場で待ち合わせをすることになっています。お武家様の名前は、ギョウセイさんとおっしゃいます。話を聞いて、満足して頂けるものを作ってあげてくださいね。			転魂塔広場で待ち合わせをすることになっています。お武家様の名前は、ギョウセイさんとおっしゃいます。話を聞いて、満足して頂けるものを作ってあげてくださいね。			甲冑師にとっての個性							
なるほど、承知した。では、Forenameよ。さっそく、その「ギョウセイ」殿とやらに会いに行くとしよう。			なるほど、承知した。では、Forenameよ。さっそく、その「ギョウセイ」殿とやらに会いに行くとしよう。			甲冑師にとっての個性							
依頼人のギョウセイさんとは、転魂塔広場で待ち合わせをすることになっています。話を聞いて、満足して頂けるものを作ってあげてくださいね。			依頼人のギョウセイさんとは、転魂塔広場で待ち合わせをすることになっています。話を聞いて、満足して頂けるものを作ってあげてくださいね。			甲冑師にとっての個性							
こちらがギョウセイ殿か。こうして、本物の侍と仕事をするのは初めてだ……。			こちらがギョウセイ殿か。こうして、本物の侍と仕事をするのは初めてだ……。			甲冑師にとっての個性							
Forenameよ。修行の調子はどうだ、腕に磨きをかけているか？			Forenameよ。修行の調子はどうだ、腕に磨きをかけているか？			甲冑師にとっての個性							
如何にも、それがしがギョウセイだが、うぬらは？			如何にも、それがしがギョウセイだが、うぬらは？			甲冑師にとっての個性							
フウゲツ殿のお弟子でござったか、これは失敬！無礼を承知で、つかぬことを伺ってもよろしいだろうか？お二方は弟子になられてから、いかほど経たれるので？			フウゲツ殿のお弟子でござったか、これは失敬！無礼を承知で、つかぬことを伺ってもよろしいだろうか？お二方は弟子になられてから、いかほど経たれるので？			甲冑師にとっての個性							
なんと、最近エオルゼアからやって来て、東方の甲冑技術を学んでいる最中と申されるか！？そ、そうであったか……。			なんと、最近エオルゼアからやって来て、東方の甲冑技術を学んでいる最中と申されるか！？そ、そうであったか……。			甲冑師にとっての個性							
……されど、フウゲツ殿が任せたのであれば信じよう。今回、製作を依頼したいのは、御前試合で使用する頭防具でござる！			……されど、フウゲツ殿が任せたのであれば信じよう。今回、製作を依頼したいのは、御前試合で使用する頭防具でござる！			甲冑師にとっての個性							
御前試合というのは、いったい何なんだ？			御前試合というのは、いったい何なんだ？			甲冑師にとっての個性							
高貴な方々の御前で、剣術の腕前を披露する、それは格式高い試合のことでござる。見事な太刀捌きを見せれば、高禄での登用もあり得るのだ！			高貴な方々の御前で、剣術の腕前を披露する、それは格式高い試合のことでござる。見事な太刀捌きを見せれば、高禄での登用もあり得るのだ！			甲冑師にとっての個性							
なるほど……今後の人生が掛かった大一番ということだな。ギョウセイ殿、我に任せるがよい。大船に乗った気持ちでいてくれたまえ。			なるほど……今後の人生が掛かった大一番ということだな。ギョウセイ殿、我に任せるがよい。大船に乗った気持ちでいてくれたまえ。			甲冑師にとっての個性							
おぉ、なんと心強いお言葉！さすが、フウゲツ殿のお弟子は違いますな……！			おぉ、なんと心強いお言葉！さすが、フウゲツ殿のお弟子は違いますな……！			甲冑師にとっての個性							
Forenameよ。どちらが、よりギョウセイ殿の気に入る頭防具を作れるか、ここはひとつ、勝負といこうではないか！			Forenameよ。どちらが、よりギョウセイ殿の気に入る頭防具を作れるか、ここはひとつ、勝負といこうではないか！			甲冑師にとっての個性							
我が、独創的なデザインを作れるのだと知れば、フウゲツ殿も、基礎ばかりではなく、独創性の身に付け方を、教えてくれるようになるやもしれないしな。			我が、独創的なデザインを作れるのだと知れば、フウゲツ殿も、基礎ばかりではなく、独創性の身に付け方を、教えてくれるようになるやもしれないしな。			甲冑師にとっての個性							
製作に必要な素材に関しては、これまでと同様に、「ウンリュウ」殿を頼ればいいのであろう。			製作に必要な素材に関しては、これまでと同様に、「ウンリュウ」殿を頼ればいいのであろう。			甲冑師にとっての個性							
ギョウセイ殿、しばしお待ちあれ。少し時間をおいた後、第一波止場の小鍛冶屋を訪ねてほしい。			ギョウセイ殿、しばしお待ちあれ。少し時間をおいた後、第一波止場の小鍛冶屋を訪ねてほしい。			甲冑師にとっての個性							
承知仕った！首を長くして待つことにしますぞ！			承知仕った！首を長くして待つことにしますぞ！			甲冑師にとっての個性							
それがし、首を長くして待つことにしますぞ！			それがし、首を長くして待つことにしますぞ！			甲冑師にとっての個性							
御前試合は、大事な行事のようだ。ということは、目立ったほうがよいに違いないだろうな……。			御前試合は、大事な行事のようだ。ということは、目立ったほうがよいに違いないだろうな……。			甲冑師にとっての個性							
無事、お客さんにお会いできたようですね。満足して頂けるものを作ってあげてくださいね。			無事、お客さんにお会いできたようですね。満足して頂けるものを作ってあげてくださいね。			甲冑師にとっての個性							
どっちが作ったものが選ばれるか、勝負するんだろう？ブランシュティルから、さっき聞いたぜ。			どっちが作ったものが選ばれるか、勝負するんだろう？ブランシュティルから、さっき聞いたぜ。			甲冑師にとっての個性							
……だが、御前試合に相応しい代物となると、どんな頭防具を作ればいいか、悩んでいるんじゃないか？よければ、この人たちに意見を聞いてみるといい。			……だが、御前試合に相応しい代物となると、どんな頭防具を作ればいいか、悩んでいるんじゃないか？よければ、この人たちに意見を聞いてみるといい。			甲冑師にとっての個性							
ひとりは、篭手作りのときに尋ねた「赤誠組の隊士」だ。彼もまた、御前試合に出場した経験を持っているから、貴重な意見が聞けるはずさ。			ひとりは、篭手作りのときに尋ねた「赤誠組の隊士」だ。彼もまた、御前試合に出場した経験を持っているから、貴重な意見が聞けるはずさ。			甲冑師にとっての個性							
もうひとりは、楽座街にいる「陽気な露店商人」だ。彼は、あらゆる武具を商ってきた目利きだからな。話を聞けば、何か着想が得られるかもしれないぞ。			もうひとりは、楽座街にいる「陽気な露店商人」だ。彼は、あらゆる武具を商ってきた目利きだからな。話を聞けば、何か着想が得られるかもしれないぞ。			甲冑師にとっての個性							
何を作るか決まったら、教えてくれよな。製作に必要な素材を見繕ってやるからさ。			何を作るか決まったら、教えてくれよな。製作に必要な素材を見繕ってやるからさ。			甲冑師にとっての個性							
「赤誠組の隊士」と「陽気な露店商人」に話を聞いてみて、何を作るか決まったら、教えてくれよな。製作に必要な素材を見繕ってやるからさ。			「赤誠組の隊士」と「陽気な露店商人」に話を聞いてみて、何を作るか決まったら、教えてくれよな。製作に必要な素材を見繕ってやるからさ。			甲冑師にとっての個性							
先日、篭手について尋ねてきた者ではないか。良い篭手を作ることはできたか？			先日、篭手について尋ねてきた者ではないか。良い篭手を作ることはできたか？			甲冑師にとっての個性							
今度は御前試合に出る者のために頭防具を作ると申すか！知ってのとおり、御前試合は大勢の貴人が訪れる公儀の場……派手な色合いや形は避けた方がよかろう。			今度は御前試合に出る者のために頭防具を作ると申すか！知ってのとおり、御前試合は大勢の貴人が訪れる公儀の場……派手な色合いや形は避けた方がよかろう。			甲冑師にとっての個性							
それがしが試合に臨んだときには、視界が良好な面具を顔にあてがって、気合を入れたものだ。			それがしが試合に臨んだときには、視界が良好な面具を顔にあてがって、気合を入れたものだ。			甲冑師にとっての個性							
よってらっしゃい、見てらっしゃい！何をお求めで！？			よってらっしゃい、見てらっしゃい！何をお求めで！？			甲冑師にとっての個性							
御前試合にちょうどいい頭防具は何か、だって？そうだな、人にもよるんだが、定番は面具だろう。額と頬を守る半首や、顎も守れる総面といったもののことさ。			御前試合にちょうどいい頭防具は何か、だって？そうだな、人にもよるんだが、定番は面具だろう。額と頬を守る半首や、顎も守れる総面といったもののことさ。			甲冑師にとっての個性							
