選者殿のチャ・ラカ・ティアは、協力者を探しているようだ。			選者殿のチャ・ラカ・ティアは、協力者を探しているようだ。			崖っぷち准教授の論文							
やっぱり、どこまでも続く花畑が見えてさ……愉快な仲間との楽しい時間が、ずーっと続いてるみたいだったんだ！			やっぱり、どこまでも続く花畑が見えてさ……愉快な仲間との楽しい時間が、ずーっと続いてるみたいだったんだ！			迷えるクジラと水脈							
あははっ、みんなで歌って踊って、楽しかったなぁ！俺と、俺が、おれがい～っぱいいて、みんなで、うぇッおえっ…………			あははっ、みんなで歌って踊って、楽しかったなぁ！俺と、俺が、おれがい～っぱいいて、みんなで、うぇッおえっ…………			迷えるクジラと水脈							
おいおい、無理して動くなよ……。さっきまでこの道端で、魚みたいに痙攣を起こしてたじゃないか。			おいおい、無理して動くなよ……。さっきまでこの道端で、魚みたいに痙攣を起こしてたじゃないか。			迷えるクジラと水脈							
本当にありがとうございます…………まだ、幻覚が続いてるみたいで……うぅ……。			本当にありがとうございます…………まだ、幻覚が続いてるみたいで……うぅ……。			迷えるクジラと水脈							
す、すまないけど……もう少し休むよ……。例の、打ち上げられた魚……聞き込み、頼……む……。			す、すまないけど……もう少し休むよ……。例の、打ち上げられた魚……聞き込み、頼……む……。			迷えるクジラと水脈							
……今は、ちょっと…………聞き込み、頼む……。			……今は、ちょっと…………聞き込み、頼む……。			迷えるクジラと水脈							
お前さんら、何か用があって遥々来たみたいだな。どれ、こいつの面倒は俺が看ておいてやるよ。			お前さんら、何か用があって遥々来たみたいだな。どれ、こいつの面倒は俺が看ておいてやるよ。			迷えるクジラと水脈							
魚の事件かぁ……あれは、すごい光景だったよ。打ち上げられた魚で、浜辺が埋め尽くされてね。漁師たちが片付けてるらしいが、ありゃあ大変だろうよ。			魚の事件かぁ……あれは、すごい光景だったよ。打ち上げられた魚で、浜辺が埋め尽くされてね。漁師たちが片付けてるらしいが、ありゃあ大変だろうよ。			迷えるクジラと水脈							
予兆と思えるような変わった出来事も、特になかったかな……。あの日は、普段どおりのきれいな満月の夜だったのにね。			予兆と思えるような変わった出来事も、特になかったかな……。あの日は、普段どおりのきれいな満月の夜だったのにね。			迷えるクジラと水脈							
魚たちが打ち上がる前に、予兆と思えるような変わった出来事も、特になかったかな……。あの日は、普段どおりのきれいな満月の夜だったのにね。			魚たちが打ち上がる前に、予兆と思えるような変わった出来事も、特になかったかな……。あの日は、普段どおりのきれいな満月の夜だったのにね。			迷えるクジラと水脈							
魚が散らかってるなって？ふぅ、これでもずいぶん片付けたんだぜ！早く処分しねぇと腐っちまうし、商売上がったりだし散々だ！			魚が散らかってるなって？ふぅ、これでもずいぶん片付けたんだぜ！早く処分しねぇと腐っちまうし、商売上がったりだし散々だ！			迷えるクジラと水脈							
そもそも、打ち上げられたアルネアンサーモンは、産卵のため川を遡上するとき以外は、陸に寄り付かないんだ。			そもそも、打ち上げられたアルネアンサーモンは、産卵のため川を遡上するとき以外は、陸に寄り付かないんだ。			迷えるクジラと水脈							
とにかく、こんなこと起きるのは初めてだよ。そんで、二度とゴメンだね。			とにかく、こんなこと起きるのは初めてだよ。そんで、二度とゴメンだね。			迷えるクジラと水脈							
漁師ってのは、泳いでる魚を捕るもんだっての！とにかく、こんなこと起きるのは初めてだよ。そんで、二度とゴメンだね。			漁師ってのは、泳いでる魚を捕るもんだっての！とにかく、こんなこと起きるのは初めてだよ。そんで、二度とゴメンだね。			迷えるクジラと水脈							
魚が打ち上げられた日に、何があったか？不可解なことと言えば、同じ頃に衆園の森から流れる川が、増水して大変だったよ……。			魚が打ち上げられた日に、何があったか？不可解なことと言えば、同じ頃に衆園の森から流れる川が、増水して大変だったよ……。			迷えるクジラと水脈							
海から潮が逆流してきて、森の奥まで魚を運んできたって噂もあるくらいでさ。			海から潮が逆流してきて、森の奥まで魚を運んできたって噂もあるくらいでさ。			迷えるクジラと水脈							
海から潮が逆流してきて、森の奥まで魚を運んできたって噂もあるくらいでさ。増水ついでに、そんな妙なこと起こるもんかねぇ。			海から潮が逆流してきて、森の奥まで魚を運んできたって噂もあるくらいでさ。増水ついでに、そんな妙なこと起こるもんかねぇ。			迷えるクジラと水脈							
この兄さん、いくらか良くなってきたみたいだな。うちで用意した錬金薬も効いてるようだ。			この兄さん、いくらか良くなってきたみたいだな。うちで用意した錬金薬も効いてるようだ。			迷えるクジラと水脈							
ああ、話を聞いてまわってきてくれたんだな、ありがとう……。まだ立ち歩くのはちょっと……っていう感じだけど、この人が看ていてくれたおかげで、だいぶマシになったよ。			ああ、話を聞いてまわってきてくれたんだな、ありがとう……。まだ立ち歩くのはちょっと……っていう感じだけど、この人が看ていてくれたおかげで、だいぶマシになったよ。			迷えるクジラと水脈							
それで、何か関係のありそうなことはわかったか……？			それで、何か関係のありそうなことはわかったか……？			迷えるクジラと水脈							
ふむ……魚が打ち上がったのは満月の夜で、川を海水が逆流……海嘯が起きるほどの潮位だったってことか。普段は沿岸で見ない魚っていうのも、クジラとの共通点になるな。			ふむ……魚が打ち上がったのは満月の夜で、川を海水が逆流……海嘯が起きるほどの潮位だったってことか。普段は沿岸で見ない魚っていうのも、クジラとの共通点になるな。			迷えるクジラと水脈							
海嘯に乗って密林のほうへ遡っていった魚っていうのが気になる。何より、浜に打ち上げられて死んじまった個体よりは、正確なデータが得られそうだ。			海嘯に乗って密林のほうへ遡っていった魚っていうのが気になる。何より、浜に打ち上げられて死んじまった個体よりは、正確なデータが得られそうだ。			迷えるクジラと水脈							
それがシャーレアンに来たクジラと似た状態なら、ふたつの現象が、同種の要因によるものという証拠になる。			それがシャーレアンに来たクジラと似た状態なら、ふたつの現象が、同種の要因によるものという証拠になる。			迷えるクジラと水脈							
よし、それじゃあグリーナーとしてのお前に依頼だ。クシールローダ川を遡っていったという、「アルネアンサーモン」を釣ってきてくれ！			よし、それじゃあグリーナーとしてのお前に依頼だ。クシールローダ川を遡っていったという、「アルネアンサーモン」を釣ってきてくれ！			迷えるクジラと水脈							
釣り餌なら、外洋種から淡水種まで広い種の魚が好む、「ウマビル」がここでも使えるんじゃないかな。サベネア島までやってきた成果を出せたら嬉しいよ！			釣り餌なら、外洋種から淡水種まで広い種の魚が好む、「ウマビル」がここでも使えるんじゃないかな。サベネア島までやってきた成果を出せたら嬉しいよ！			迷えるクジラと水脈							
クシールローダ川に向かい、釣り餌に「ウマビル」を使って、「アルネアンサーモン」を釣ってきてくれ！今回の事件を解き明かす、糸口になるんじゃないかと思うんだ。			クシールローダ川に向かい、釣り餌に「ウマビル」を使って、「アルネアンサーモン」を釣ってきてくれ！今回の事件を解き明かす、糸口になるんじゃないかと思うんだ。			迷えるクジラと水脈							
おお、よかったぁ……！張り切ってここまで来たからな、お前のおかげで、ちゃんと成果が得られて嬉しいよ！			おお、よかったぁ……！張り切ってここまで来たからな、お前のおかげで、ちゃんと成果が得られて嬉しいよ！			迷えるクジラと水脈							
俺の方でも収穫があったぞ！介抱してくれた錬金術師たちと情報交換ができたんだ。彼らはエーテル学についても、素晴らしい見識を持っててな。			俺の方でも収穫があったぞ！介抱してくれた錬金術師たちと情報交換ができたんだ。彼らはエーテル学についても、素晴らしい見識を持っててな。			迷えるクジラと水脈							
ほとんど身動きがとれずではあったけど、苦しい思いをしてまで、現地に来た甲斐があったよ。			ほとんど身動きがとれずではあったけど、苦しい思いをしてまで、現地に来た甲斐があったよ。			迷えるクジラと水脈							
そこから得た学びを活かすためにも、まずは、はやいとこ帰ってサンプルの分析だな……！			そこから得た学びを活かすためにも、まずは、はやいとこ帰ってサンプルの分析だな……！			迷えるクジラと水脈							
うぅぅ、帰りは新型を使わなくていいにせよ、またエーテライトかぁ……！！			うぅぅ、帰りは新型を使わなくていいにせよ、またエーテライトかぁ……！！			迷えるクジラと水脈							
ああ、お前も帰ったか！帰路もやっぱりエーテル酔いはしたけど……まぁ、新型を一度知ってしまえばね。			ああ、お前も帰ったか！帰路もやっぱりエーテル酔いはしたけど……まぁ、新型を一度知ってしまえばね。			迷えるクジラと水脈							
ジャングルで見つかった魚の分析も、あらかた終わったよ。件の魚と、クジラの生体エーテルの乱れを比較したところ、案の定、ぴたりと一致したんだ。			ジャングルで見つかった魚の分析も、あらかた終わったよ。件の魚と、クジラの生体エーテルの乱れを比較したところ、案の定、ぴたりと一致したんだ。			迷えるクジラと水脈							
北洋のクジラと、豊穣海の魚、いずれも水脈のエーテル濃度の急変動によって、近づかないはずの陸地に接近してしまった、と……。			北洋のクジラと、豊穣海の魚、いずれも水脈のエーテル濃度の急変動によって、近づかないはずの陸地に接近してしまった、と……。			迷えるクジラと水脈							
しかし、この乱れは激し過ぎる……。やっぱり、俺の「水脈潮汐説」では説明ができない現象だ。			しかし、この乱れは激し過ぎる……。やっぱり、俺の「水脈潮汐説」では説明ができない現象だ。			迷えるクジラと水脈							
こんな異常な急変動が起こったら、仮説が破綻しちまう。保護されているクジラたちを安全に海に還すためにも、どうにか要因を解明したいが……。			こんな異常な急変動が起こったら、仮説が破綻しちまう。保護されているクジラたちを安全に海に還すためにも、どうにか要因を解明したいが……。			迷えるクジラと水脈							
何と言う？			何と言う？			迷えるクジラと水脈							
満月の夜に海嘯が起きたと聞いた			満月の夜に海嘯が起きたと聞いた			迷えるクジラと水脈							
潮の干満とは関係ないのか？			潮の干満とは関係ないのか？			迷えるクジラと水脈							
なるほど……サベネア島の島民が、そんな話をしてたんだっけ。			なるほど……サベネア島の島民が、そんな話をしてたんだっけ。			迷えるクジラと水脈							
月の満ち欠けによって起こる潮の変化のような現象……それが水脈にもあるならば、月の異変の影響は、大いに受けるはずですよね。			月の満ち欠けによって起こる潮の変化のような現象……それが水脈にもあるならば、月の異変の影響は、大いに受けるはずですよね。			迷えるクジラと水脈							
最近、月に起きた異変と言えば……			最近、月に起きた異変と言えば……			迷えるクジラと水脈							
ゾディアークの消失か……！月の内部に封じられていた巨大なエーテルが還ったんだ、その影響が、水脈に影響を及ぼしたとしてもおかしくはない！			ゾディアークの消失か……！月の内部に封じられていた巨大なエーテルが還ったんだ、その影響が、水脈に影響を及ぼしたとしてもおかしくはない！			迷えるクジラと水脈							
「水脈潮汐説」に例外が生じた理由にもなるが、だとすれば、今回のようなケースが続発する可能性もあるな……。			「水脈潮汐説」に例外が生じた理由にもなるが、だとすれば、今回のようなケースが続発する可能性もあるな……。			迷えるクジラと水脈							
君がエーテライトを使ってサベネア島まで行ったと聞きましてね。驚かされましたが、さぞや大発見があったろうと……しかし、この雰囲気は何事です？			君がエーテライトを使ってサベネア島まで行ったと聞きましてね。驚かされましたが、さぞや大発見があったろうと……しかし、この雰囲気は何事です？			迷えるクジラと水脈							
ふむ……。			ふむ……。			迷えるクジラと水脈							
チャ・ラカ……いたずらに不安を煽るのではなく、君は研究者として、どのような新たな仮説を打ち立てるつもりです？			チャ・ラカ……いたずらに不安を煽るのではなく、君は研究者として、どのような新たな仮説を打ち立てるつもりです？			迷えるクジラと水脈							
新たな仮説……ですか。俺の「水脈潮汐説」は、ゾディアークの存在が前提だった。それが消えた状況での水脈の変動を、予測するには……			新たな仮説……ですか。俺の「水脈潮汐説」は、ゾディアークの存在が前提だった。それが消えた状況での水脈の変動を、予測するには……			迷えるクジラと水脈							
そうか！ゾディアークのような高密度エーテル塊が、天になかった時代の古生物のデータを調べれば！			そうか！ゾディアークのような高密度エーテル塊が、天になかった時代の古生物のデータを調べれば！			迷えるクジラと水脈							
ちょっと、チャ・ラカさん！！さすがにそこまで古い時代から現代まで、生き残り続けている海洋生物なんて、見つかっていませんよ！			ちょっと、チャ・ラカさん！！さすがにそこまで古い時代から現代まで、生き残り続けている海洋生物なんて、見つかっていませんよ！			迷えるクジラと水脈							
ええっ！だってForenameなら、見つけてきてくれそうじゃないか……！？			ええっ！だってForenameなら、見つけてきてくれそうじゃないか……！？			迷えるクジラと水脈							
いくら腕利きのグリーナーでも、無茶苦茶ですよ！Forenameさんに、どれだけ世界中駆け回らせるつもりですか！？			いくら腕利きのグリーナーでも、無茶苦茶ですよ！Forenameさんに、どれだけ世界中駆け回らせるつもりですか！？			迷えるクジラと水脈							
そんなこと言うなよ、見つかるったら！なぁ、Forename！！			そんなこと言うなよ、見つかるったら！なぁ、Forename！！			迷えるクジラと水脈							
はははっ、その調子です！多少の難題も、諦めず、考え続けなければ！			はははっ、その調子です！多少の難題も、諦めず、考え続けなければ！			迷えるクジラと水脈							
「漁師」がレベル88以上になると、選者殿の「チャ・ラカ・ティア」から、次のクエストが受注可能です。			「漁師」がレベル88以上になると、選者殿の「チャ・ラカ・ティア」から、次のクエストが受注可能です。			迷えるクジラと水脈							
次のクエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「生まれ死んで答を得る」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「生まれ死んで答を得る」を完了する必要があります。			迷えるクジラと水脈							
選者殿のチャ・ラカ・ティアは、論文の仮説構築に難航しているようだ。			選者殿のチャ・ラカ・ティアは、論文の仮説構築に難航しているようだ。			満ちた時代の魚							
チャ・ラカ・ティアから研究対象を釣ってくるよう依頼された。「スマラグドス」を6匹、選者殿の「チャ・ラカ・ティア」へ納品しよう。「スマラグドス」はエルピスのレーテー海で「スカイスプーン」を釣り餌にして釣りあげることができる。※納品は、収集価値「503」以上で可能となりますが、「1183」以上で納品した場合、より多くの報酬が得られます。			チャ・ラカ・ティアから研究対象を釣ってくるよう依頼された。「スマラグドス」を6匹、選者殿の「チャ・ラカ・ティア」へ納品しよう。「スマラグドス」はエルピスのレーテー海で「スカイスプーン」を釣り餌にして釣りあげることができる。※納品は、収集価値「503」以上で可能となりますが、「1183」以上で納品した場合、より多くの報酬が得られます。			満ちた時代の魚							
チャ・ラカ・ティアに「スマラグドス」を納品した。彼が己の疑問に答えを出せるよう、少し時間を空けて再訪しよう。			チャ・ラカ・ティアに「スマラグドス」を納品した。彼が己の疑問に答えを出せるよう、少し時間を空けて再訪しよう。			満ちた時代の魚							
エルピスのレーテー海で釣り上げたスマラグドスをチャ・ラカ・ティアに納品			エルピスのレーテー海で釣り上げたスマラグドスをチャ・ラカ・ティアに納品			満ちた時代の魚							
本クエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「生まれ死んで答を得る」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「生まれ死んで答を得る」を完了する必要があります。			満ちた時代の魚							
なにかスパッと考え方を変えられるような、思い切ったアイディアが必要なんだよなぁ……うーん…………。			なにかスパッと考え方を変えられるような、思い切ったアイディアが必要なんだよなぁ……うーん…………。			満ちた時代の魚							
うーん、ダメだ……。やっぱり新たな仮説を構築するためには、ゾディアークが存在しなかった時代のサンプルが必要だ。			うーん、ダメだ……。やっぱり新たな仮説を構築するためには、ゾディアークが存在しなかった時代のサンプルが必要だ。			満ちた時代の魚							
せっかく、ここまで研究を進めてきたのに、論文が白紙になっちまうだなんて……。			せっかく、ここまで研究を進めてきたのに、論文が白紙になっちまうだなんて……。			満ちた時代の魚							
Forename、何でもいい、俺に閃きを与えてくれ！どんな荒唐無稽なアイディアでもいい、打開策が必要なんだ！			Forename、何でもいい、俺に閃きを与えてくれ！どんな荒唐無稽なアイディアでもいい、打開策が必要なんだ！			満ちた時代の魚							
何と答える？			何と答える？			満ちた時代の魚							
自分なら古代のサンプルも採集できるが？			自分なら古代のサンプルも採集できるが？			満ちた時代の魚							
何とかならないでもないような……			何とかならないでもないような……			満ちた時代の魚							
……お前のその表情……。何か方法があるっていうのか？			……お前のその表情……。何か方法があるっていうのか？			満ちた時代の魚							
……意味深だなぁ！でも、詳しく語らないところを見ると、何か事情があるんだろ？これ以上詳しく聞くのは、今はやめておくよ。			……意味深だなぁ！でも、詳しく語らないところを見ると、何か事情があるんだろ？これ以上詳しく聞くのは、今はやめておくよ。			満ちた時代の魚							
しっかし、古代のサンプルを入手するのに自信があるなんて！腕利きだとは思っていたが、本当に滅茶苦茶なヤツだな！けど、これで光明が見えてきたってもんだぜ！			しっかし、古代のサンプルを入手するのに自信があるなんて！腕利きだとは思っていたが、本当に滅茶苦茶なヤツだな！けど、これで光明が見えてきたってもんだぜ！			満ちた時代の魚							
探すなら、できるだけ現生生物の近縁種がいいと思う。古くからエーテル器官が変わらない古代魚とされる、「スマラグドス」が見つかるといいんじゃないかな。			探すなら、できるだけ現生生物の近縁種がいいと思う。古くからエーテル器官が変わらない古代魚とされる、「スマラグドス」が見つかるといいんじゃないかな。			満ちた時代の魚							
どこにアテがあるのか知らないが……お前を信じてる。その場所に赴いて、研究サンプルとなる古代魚を探してきてくれ！よろしく頼むぞ、Forename！			どこにアテがあるのか知らないが……お前を信じてる。その場所に赴いて、研究サンプルとなる古代魚を探してきてくれ！よろしく頼むぞ、Forename！			満ちた時代の魚							
「エルピス」のレーテー海付近で釣り餌「スカイスプーン」を使い、「スマラグドス」を釣り、チャ・ラカ・ティアに納品しましょう。			「エルピス」のレーテー海付近で釣り餌「スカイスプーン」を使い、「スマラグドス」を釣り、チャ・ラカ・ティアに納品しましょう。			満ちた時代の魚							
どこにアテがあるのか知らないが……お前を信じてる。「スマラグドス」という古代生物を探してきてくれ！よろしく頼むぞ、Forename！			どこにアテがあるのか知らないが……お前を信じてる。「スマラグドス」という古代生物を探してきてくれ！よろしく頼むぞ、Forename！			満ちた時代の魚							
「エルピス」のレーテー海付近で釣り餌「スカイスプーン」を使い、「スマラグドス」を釣り、チャ・ラカ・ティアに納品しましょう。			「エルピス」のレーテー海付近で釣り餌「スカイスプーン」を使い、「スマラグドス」を釣り、チャ・ラカ・ティアに納品しましょう。			満ちた時代の魚							
これが「スマラグドス」……！まさか実物を拝める日が来るなんて、夢みたいだぜ！			これが「スマラグドス」……！まさか実物を拝める日が来るなんて、夢みたいだぜ！			満ちた時代の魚							
これが「スマラグドス」……！しかもこんな大物が見られるなんて、目眩までしそうだ……！			これが「スマラグドス」……！しかもこんな大物が見られるなんて、目眩までしそうだ……！			満ちた時代の魚							
お前が採集してきてくれたサンプルを分析してみた。まさに古代のサンプルと呼ぶにふさわしい、興味深い数値が出たぞ。			お前が採集してきてくれたサンプルを分析してみた。まさに古代のサンプルと呼ぶにふさわしい、興味深い数値が出たぞ。			満ちた時代の魚							
ちょうどここのところ、大学の上層部のほうじゃ、分かたれる前の世界について、話が飛び交ってるらしいからな。お前がどこまで行ってくれたんだろうって、考えてたんだ。			ちょうどここのところ、大学の上層部のほうじゃ、分かたれる前の世界について、話が飛び交ってるらしいからな。お前がどこまで行ってくれたんだろうって、考えてたんだ。			満ちた時代の魚							
ゴブリン族の科学者集団が、時間遡上に挑んでいるだなんて噂が、研究者界隈で、まことしやかに囁かれてたのを思い出したりしてさ。まさかお前なら、そうして遠い時代へ……とかってな。			ゴブリン族の科学者集団が、時間遡上に挑んでいるだなんて噂が、研究者界隈で、まことしやかに囁かれてたのを思い出したりしてさ。まさかお前なら、そうして遠い時代へ……とかってな。			満ちた時代の魚							
お前がそこまで実現して、俺の研究に協力してくれるってなら……もう、恐れ入るしかないよ！			お前がそこまで実現して、俺の研究に協力してくれるってなら……もう、恐れ入るしかないよ！			満ちた時代の魚							
さて、鱗に残った痕跡から推測するに、ゾディアークが存在しなかった環境においても、水脈のエーテル濃度には、周期的な揺らぎが存在したようだ。			さて、鱗に残った痕跡から推測するに、ゾディアークが存在しなかった環境においても、水脈のエーテル濃度には、周期的な揺らぎが存在したようだ。			満ちた時代の魚							
ただし、その変動周期は、現代よりも緩やかだった。やっぱり現代の水脈の揺らぎは、月にあった膨大なエーテルが影響していたってことさ。			ただし、その変動周期は、現代よりも緩やかだった。やっぱり現代の水脈の揺らぎは、月にあった膨大なエーテルが影響していたってことさ。			満ちた時代の魚							
つまり、今回のクジラたちの一件は、ゾディアーク消失に伴う、突発的な揺り戻し現象ってことだ。			つまり、今回のクジラたちの一件は、ゾディアーク消失に伴う、突発的な揺り戻し現象ってことだ。			満ちた時代の魚							
これで「水脈潮汐説」の理論は完成する……。そのはずなのに……なんだかしっくりこないんだ……。			これで「水脈潮汐説」の理論は完成する……。そのはずなのに……なんだかしっくりこないんだ……。			満ちた時代の魚							
法則を見つけただけでいいのか？揺り戻し現象が収まるまでの間、ただクジラたちが、また陸に迷い込むのを見ているだけでいいのかって……。			法則を見つけただけでいいのか？揺り戻し現象が収まるまでの間、ただクジラたちが、また陸に迷い込むのを見ているだけでいいのかって……。			満ちた時代の魚							
教授、来てくれたんですね！Forenameの協力のおかげで、論文完成が見えてきたところなんですよ！			教授、来てくれたんですね！Forenameの協力のおかげで、論文完成が見えてきたところなんですよ！			満ちた時代の魚							
……この前話していたところの、ゾディアークを内包した月が存在しなかった時代の生物……。そのサンプルを手に入れたのですね。			……この前話していたところの、ゾディアークを内包した月が存在しなかった時代の生物……。そのサンプルを手に入れたのですね。			満ちた時代の魚							
古代世界への到達についての情報は、教授会以上の立場には、学識として共有されだしています。教え子とはいえ、伝えておくことは叶いませんでしたが……。			古代世界への到達についての情報は、教授会以上の立場には、学識として共有されだしています。教え子とはいえ、伝えておくことは叶いませんでしたが……。			満ちた時代の魚							
先の見えないなか、君は古代世界のサンプルが研究に不可欠と考え、彼女彼を信じて、採集を託した……。その行動が、論文を完成に導くのでしょう。			先の見えないなか、君は古代世界のサンプルが研究に不可欠と考え、彼女彼を信じて、採集を託した……。その行動が、論文を完成に導くのでしょう。			満ちた時代の魚							
そうか、教授になれたら、もっと確かな情報が……。いやしかし、本当にこいつのおかげです！俺は欲しい情報を示しただけ……。			そうか、教授になれたら、もっと確かな情報が……。いやしかし、本当にこいつのおかげです！俺は欲しい情報を示しただけ……。			満ちた時代の魚							
だけど、俺ってば理論だけ解明すれば、それでいいのかって考え始めたら、止まらなくて……。教授、なにか助言をいただけないでしょうか……？			だけど、俺ってば理論だけ解明すれば、それでいいのかって考え始めたら、止まらなくて……。教授、なにか助言をいただけないでしょうか……？			満ちた時代の魚							
……答えを示すのは、私ではありませんよ、チャ・ラカ。その悩みこそが、君の研究者としての分岐点なのだから。			……答えを示すのは、私ではありませんよ、チャ・ラカ。その悩みこそが、君の研究者としての分岐点なのだから。			満ちた時代の魚							
むろん、このまま論文を完成させてもいい。基礎研究としても、若手研究者の支援プロジェクトとしても、十分にすばらしい成果でしょう。			むろん、このまま論文を完成させてもいい。基礎研究としても、若手研究者の支援プロジェクトとしても、十分にすばらしい成果でしょう。			満ちた時代の魚							
好奇心と、謎を解き明かす楽しみを原動力とし、研究に打ち込むことも、研究者のあり方のひとつ。			好奇心と、謎を解き明かす楽しみを原動力とし、研究に打ち込むことも、研究者のあり方のひとつ。			満ちた時代の魚							
一方で、新たに得た知識を、何に使うか追い求める応用研究もまた、重要なものです。			一方で、新たに得た知識を、何に使うか追い求める応用研究もまた、重要なものです。			満ちた時代の魚							
君は今回の件で、眼前で危機に陥っている存在と出会い、世界のどこへも臆さず進む相棒を得た。それらは新たな動機となり得るものでしょう。			君は今回の件で、眼前で危機に陥っている存在と出会い、世界のどこへも臆さず進む相棒を得た。それらは新たな動機となり得るものでしょう。			満ちた時代の魚							
どちらに、何により「執着」できるのかを考えてみなさい。私に言えるのは、それだけですよ。			どちらに、何により「執着」できるのかを考えてみなさい。私に言えるのは、それだけですよ。			満ちた時代の魚							
参ったな、執着か……。今までずっと、俺は謎を解き明かす楽しさだけで、学問を続けてきたから……こんな気持ちになるのは初めてだ。			参ったな、執着か……。今までずっと、俺は謎を解き明かす楽しさだけで、学問を続けてきたから……こんな気持ちになるのは初めてだ。			満ちた時代の魚							
少し……考えてみるよ。だからすまない、もう少しだけ付き合ってくれないか？			少し……考えてみるよ。だからすまない、もう少しだけ付き合ってくれないか？			満ちた時代の魚							
お前がいてくれれば、俺は先に進める気がするんだ。			お前がいてくれれば、俺は先に進める気がするんだ。			満ちた時代の魚							
エーテル学部の貢献ランクが上昇しました！チャ・ラカ・ティアはあなたの事を、「研究室の後見人」と感じているようです！			エーテル学部の貢献ランクが上昇しました！チャ・ラカ・ティアはあなたの事を、「研究室の後見人」と感じているようです！			満ちた時代の魚							
魔法大学取引のストーリークエストが発行されました！「漁師」がレベル90以上になると、選者殿の「チャ・ラカ・ティア」から受注可能です。			魔法大学取引のストーリークエストが発行されました！「漁師」がレベル90以上になると、選者殿の「チャ・ラカ・ティア」から受注可能です。			満ちた時代の魚							
次のクエストを進行するためには、「メインクエスト：暁月のフィナーレ」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：暁月のフィナーレ」を完了する必要があります。			満ちた時代の魚							
選者殿のチャ・ラカ・ティアは、完成間近の論文に真剣に向き合っているようだ。			選者殿のチャ・ラカ・ティアは、完成間近の論文に真剣に向き合っているようだ。			港の先の未来へ							
チャ・ラカ・ティアと話した。彼は論文の結論を最後に進めるべき道筋について、悩んでいるようだ。オールド・シャーレアンの沈思の森にある「指定地点」で見渡してみよう。			チャ・ラカ・ティアと話した。彼は論文の結論を最後に進めるべき道筋について、悩んでいるようだ。オールド・シャーレアンの沈思の森にある「指定地点」で見渡してみよう。			港の先の未来へ							
チャ・ラカ・ティアは、論文で一番解き明かしたい謎について心を決めたようだ。論文の仮説を証明するため、月の生物からデータを採集したい。嘆きの海のベストウェイ・バローにいる「物知りレポリット」と話そう。			チャ・ラカ・ティアは、論文で一番解き明かしたい謎について心を決めたようだ。論文の仮説を証明するため、月の生物からデータを採集したい。嘆きの海のベストウェイ・バローにいる「物知りレポリット」と話そう。			港の先の未来へ							
物知りレポリットに、エーテル数値を測定しやすい生物の話を聞くことができた。エーテル数値のサンプルとして、「ラメントサバイバー」を、選者殿の「チャ・ラカ・ティア」へ納品しよう。「ラメントサバイバー」は嘆きの海の痛みの峡谷付近で「グレイワーム」などの釣り餌で釣りあげることができる。			物知りレポリットに、エーテル数値を測定しやすい生物の話を聞くことができた。エーテル数値のサンプルとして、「ラメントサバイバー」を、選者殿の「チャ・ラカ・ティア」へ納品しよう。「ラメントサバイバー」は嘆きの海の痛みの峡谷付近で「グレイワーム」などの釣り餌で釣りあげることができる。			港の先の未来へ							
チャ・ラカ・ティアに「ラメントサバイバー」を納品した。きっと論文を完成させると誓う彼には、いよいよ講評会が迫っているようだ。オールド・シャーレアンのフェノメノン大講堂にいる「大学の案内職員」と話そう。			チャ・ラカ・ティアに「ラメントサバイバー」を納品した。きっと論文を完成させると誓う彼には、いよいよ講評会が迫っているようだ。オールド・シャーレアンのフェノメノン大講堂にいる「大学の案内職員」と話そう。			港の先の未来へ							
チャ・ラカ・ティアの論文は高い評価を受け、研究室の存続と教授への昇進も決まったようだ。彼は回復したクジラの旅立ちを見送り、これからは実地調査にも自分で赴きたいと語る。オールド・シャーレアンの選者殿に戻り、「チャ・ラカ・ティア」と話そう。			チャ・ラカ・ティアの論文は高い評価を受け、研究室の存続と教授への昇進も決まったようだ。彼は回復したクジラの旅立ちを見送り、これからは実地調査にも自分で赴きたいと語る。オールド・シャーレアンの選者殿に戻り、「チャ・ラカ・ティア」と話そう。			港の先の未来へ							
ネレーにも研究への執念が宿ったことを認められたチャ・ラカ・ティア。より立派な研究者を目指していくことを語る彼の表情は明るいようだ。			ネレーにも研究への執念が宿ったことを認められたチャ・ラカ・ティア。より立派な研究者を目指していくことを語る彼の表情は明るいようだ。			港の先の未来へ							
指定地点で見渡す			指定地点で見渡す			港の先の未来へ							
ベストウェイ・バローの物知りレポリットと話す			ベストウェイ・バローの物知りレポリットと話す			港の先の未来へ							
嘆きの海にある痛みの峡谷付近でラメントサバイバーを釣り選者殿のチャ・ラカ・ティアに納品			嘆きの海にある痛みの峡谷付近でラメントサバイバーを釣り選者殿のチャ・ラカ・ティアに納品			港の先の未来へ							
フェノメノン大講堂の大学の案内職員と話す			フェノメノン大講堂の大学の案内職員と話す			港の先の未来へ							
チャ・ラカ・ティアと話す			チャ・ラカ・ティアと話す			港の先の未来へ							
