クガネのヒルディブランドは、シグレの帰りを待っているようだ。			クガネのヒルディブランドは、シグレの帰りを待っているようだ。			薬に侵されし最強の男							
小判でどうしようと……？			小判でどうしようと……？			のべつ幕なし武器怪盗							
そんなところに置いて、どうするというのでござるか……？			そんなところに置いて、どうするというのでござるか……？			のべつ幕なし武器怪盗							
まぁ、見てなって！			まぁ、見てなって！			のべつ幕なし武器怪盗							
ワオーン！！			ワオーン！！			のべつ幕なし武器怪盗							
ワンワン！！			ワンワン！！			のべつ幕なし武器怪盗							
な、なんと、ここまで小判が好物だとは……がめつい犬でござるな……。			な、なんと、ここまで小判が好物だとは……がめつい犬でござるな……。			のべつ幕なし武器怪盗							
ダイゴロウ殿、ヨウジンボウ殿のところへ、我々を案内してもらいたいのですぞ！			ダイゴロウ殿、ヨウジンボウ殿のところへ、我々を案内してもらいたいのですぞ！			のべつ幕なし武器怪盗							
ワオーン！！			ワオーン！！			のべつ幕なし武器怪盗							
ぐぬぬ……どうやって行けばいいものか……。			ぐぬぬ……どうやって行けばいいものか……。			のべつ幕なし武器怪盗							
ワオーン！			ワオーン！			のべつ幕なし武器怪盗							
どうした、ダイゴロウ？向こうで待ってるように言ったじゃないか。			どうした、ダイゴロウ？向こうで待ってるように言ったじゃないか。			のべつ幕なし武器怪盗							
ヒ、ヒルちゃん！？			ヒ、ヒルちゃん！？			のべつ幕なし武器怪盗							
ヨウジンボウ殿、観念するのです！もう逃げられませんぞ！			ヨウジンボウ殿、観念するのです！もう逃げられませんぞ！			のべつ幕なし武器怪盗							
さぁ、ソボロ助広を返すのです！			さぁ、ソボロ助広を返すのです！			のべつ幕なし武器怪盗							
あいにくだが、断る！			あいにくだが、断る！			のべつ幕なし武器怪盗							
以前、そこにいる冒険者に負けてからというもの、再戦を挑むために、名刀を片っ端から集めていたのだ……。			以前、そこにいる冒険者に負けてからというもの、再戦を挑むために、名刀を片っ端から集めていたのだ……。			のべつ幕なし武器怪盗							
アメノムラクモを我が物にしてから、挑むつもりだったが……もうよい！ここで決着をつけてやる！			アメノムラクモを我が物にしてから、挑むつもりだったが……もうよい！ここで決着をつけてやる！			のべつ幕なし武器怪盗							
以前、とある冒険者に敗れてからというもの、再戦を挑むために、名刀を片っ端から集めていたのだ……。			以前、とある冒険者に敗れてからというもの、再戦を挑むために、名刀を片っ端から集めていたのだ……。			のべつ幕なし武器怪盗							
アメノムラクモを我が物にしてから、挑むつもりだったが……その邪魔立てをするというなら、容赦はせぬぞ！			アメノムラクモを我が物にしてから、挑むつもりだったが……その邪魔立てをするというなら、容赦はせぬぞ！			のべつ幕なし武器怪盗							
冒険者殿、ここは私にお任せを！成敗し、ソボロ助広を取り戻してみせましょう！！			冒険者殿、ここは私にお任せを！成敗し、ソボロ助広を取り戻してみせましょう！！			のべつ幕なし武器怪盗							
フッフッフ……この事件屋ヒルディブランドの出番ですな！シグレ殿、ここは私におまかせあれ！			フッフッフ……この事件屋ヒルディブランドの出番ですな！シグレ殿、ここは私におまかせあれ！			のべつ幕なし武器怪盗							
取り逃げされたソボロ助広を、華麗にキャッチしてみせますぞ！			取り逃げされたソボロ助広を、華麗にキャッチしてみせますぞ！			のべつ幕なし武器怪盗							
ダイゴロウ殿、さぁこちらへ！			ダイゴロウ殿、さぁこちらへ！			のべつ幕なし武器怪盗							
ダイゴロウは、俺以外には懐かぬわ！			ダイゴロウは、俺以外には懐かぬわ！			のべつ幕なし武器怪盗							
な、何ぃ！？			な、何ぃ！？			のべつ幕なし武器怪盗							
ヒルディブランド様のお家はお金持ちだから、ダイゴロウさんに好かれたみたいです～！			ヒルディブランド様のお家はお金持ちだから、ダイゴロウさんに好かれたみたいです～！			のべつ幕なし武器怪盗							
ソボロ助広を返していただけないようなら、ダイゴロウ殿は私が迎え入れてしまいますぞ？			ソボロ助広を返していただけないようなら、ダイゴロウ殿は私が迎え入れてしまいますぞ？			のべつ幕なし武器怪盗							
ダ、ダイゴロウ！帰ってくるんだ！！			ダ、ダイゴロウ！帰ってくるんだ！！			のべつ幕なし武器怪盗							
……わかった、俺の負けだ。ほら、持っていけ！			……わかった、俺の負けだ。ほら、持っていけ！			のべつ幕なし武器怪盗							
た、戦わずして取り戻してしまうとは……！事件屋殿、恐るべし！！			た、戦わずして取り戻してしまうとは……！事件屋殿、恐るべし！！			のべつ幕なし武器怪盗							
あぁぁぁぁぁーーーーーーーー！！			あぁぁぁぁぁーーーーーーーー！！			のべつ幕なし武器怪盗							
むっ……ソボロ助広はどこだ？			むっ……ソボロ助広はどこだ？			のべつ幕なし武器怪盗							
へへっ……ソボロ助広、またまた頂戴したぜ！			へへっ……ソボロ助広、またまた頂戴したぜ！			のべつ幕なし武器怪盗							
な、なんだと……！？返しやがれ！			な、なんだと……！？返しやがれ！			のべつ幕なし武器怪盗							
(-？？？？-)そこまでだ！			(-？？？？-)そこまでだ！			のべつ幕なし武器怪盗							
げげっ！			げげっ！			のべつ幕なし武器怪盗							
くっ……！ソボロ助広、必ず取り戻すからな！			くっ……！ソボロ助広、必ず取り戻すからな！			のべつ幕なし武器怪盗							
シグレよ……罪人を勝手に牢から逃がすとは、いったいどういうことか、説明してもらおうか！？			シグレよ……罪人を勝手に牢から逃がすとは、いったいどういうことか、説明してもらおうか！？			のべつ幕なし武器怪盗							
事件屋殿、ここは私が……。			事件屋殿、ここは私が……。			のべつ幕なし武器怪盗							
そ、それには、理由があるのでござる。ソボロ助広を奪還すべく、捜査協力を申し出たため、一時的に牢から出しただけで……。			そ、それには、理由があるのでござる。ソボロ助広を奪還すべく、捜査協力を申し出たため、一時的に牢から出しただけで……。			のべつ幕なし武器怪盗							
その協力者とやらは、どこにも姿が見当たらぬではないか。まんまと逃げられたようだが？			その協力者とやらは、どこにも姿が見当たらぬではないか。まんまと逃げられたようだが？			のべつ幕なし武器怪盗							
……シグレ、お主を脱獄幇助の罪で捕縛する！			……シグレ、お主を脱獄幇助の罪で捕縛する！			のべつ幕なし武器怪盗							
お待ちください。シグレ殿も、ソボロ助広を取り戻したい一心で、一匹オオカミ殿を牢から出したにすぎませぬ。			お待ちください。シグレ殿も、ソボロ助広を取り戻したい一心で、一匹オオカミ殿を牢から出したにすぎませぬ。			のべつ幕なし武器怪盗							
それに一匹オオカミ殿も、必ずや我々の元に戻ってくるはず……。どうか、今回は見逃してはいただけませぬかな？			それに一匹オオカミ殿も、必ずや我々の元に戻ってくるはず……。どうか、今回は見逃してはいただけませぬかな？			のべつ幕なし武器怪盗							
……我々、赤誠組は冒険者殿に大きなご恩があります。しかし、局中法度は決して破ってはならぬもの。			……我々、赤誠組は冒険者殿に大きなご恩があります。しかし、局中法度は決して破ってはならぬもの。			のべつ幕なし武器怪盗							
冒険者殿の頼みとは言えど、法度に背いた者を見逃すという、例外を生み出すわけにはいかないのです。どうか、ご理解ください……。			冒険者殿の頼みとは言えど、法度に背いた者を見逃すという、例外を生み出すわけにはいかないのです。どうか、ご理解ください……。			のべつ幕なし武器怪盗							
どれだけ頼まれたとて、法度に背いた者を見逃すという、例外を生み出すわけにはいかないのです。どうか、ご理解ください……。			どれだけ頼まれたとて、法度に背いた者を見逃すという、例外を生み出すわけにはいかないのです。どうか、ご理解ください……。			のべつ幕なし武器怪盗							
さぁ、どんどん聞き込みをして、情報収集しますぞーっ！			さぁ、どんどん聞き込みをして、情報収集しますぞーっ！			のべつ幕なし武器怪盗							
シグレ殿を連れて行かれてしまうとは……。このヒルディブランド、一生の不覚！			シグレ殿を連れて行かれてしまうとは……。このヒルディブランド、一生の不覚！			のべつ幕なし武器怪盗							
助ける方法を考えるためにも、ここはひとまず、クガネに戻りましょう！行きますぞ、ナシュ！			助ける方法を考えるためにも、ここはひとまず、クガネに戻りましょう！行きますぞ、ナシュ！			のべつ幕なし武器怪盗							
シグレさんも一匹オオカミさんも、いなくなっちゃいました……。			シグレさんも一匹オオカミさんも、いなくなっちゃいました……。			のべつ幕なし武器怪盗							
Forename殿、待ちわびておりましたぞ！			Forename殿、待ちわびておりましたぞ！			のべつ幕なし武器怪盗							
あれからいろいろ考えを巡らせたところ、シグレ殿を見逃してもらう策を、見事エスコートしたのですぞ！			あれからいろいろ考えを巡らせたところ、シグレ殿を見逃してもらう策を、見事エスコートしたのですぞ！			のべつ幕なし武器怪盗							
一匹オオカミ殿は、こう語っていました。アケボノ殿が、お侍を罠にかけソボロ助広を奪ったと……。			一匹オオカミ殿は、こう語っていました。アケボノ殿が、お侍を罠にかけソボロ助広を奪ったと……。			のべつ幕なし武器怪盗							
私の事件屋の勘によれば、その一件は、何か大きな事件の一端である気がするのです。			私の事件屋の勘によれば、その一件は、何か大きな事件の一端である気がするのです。			のべつ幕なし武器怪盗							
さすがヒルディブランド様です～！一匹オオカミさんが悪くないってわかれば、きっと赤誠組の人も、シグレさんを許してくれます～！			さすがヒルディブランド様です～！一匹オオカミさんが悪くないってわかれば、きっと赤誠組の人も、シグレさんを許してくれます～！			のべつ幕なし武器怪盗							
そのとおり！そんなわけで、私はさっそくアケボノ殿を捜査しますぞ！ナシュは、ここで少し待っているのです！			そのとおり！そんなわけで、私はさっそくアケボノ殿を捜査しますぞ！ナシュは、ここで少し待っているのです！			のべつ幕なし武器怪盗							
ナシュ、お留守番します～！			ナシュ、お留守番します～！			のべつ幕なし武器怪盗							
ヒルディブランド様が戻ってくるまで、冒険者さんも、待っていてください～！			ヒルディブランド様が戻ってくるまで、冒険者さんも、待っていてください～！			のべつ幕なし武器怪盗							
こそこそ嗅ぎ回りおって、邪魔くさいものよ。例の品の完成を急がねばな……。			こそこそ嗅ぎ回りおって、邪魔くさいものよ。例の品の完成を急がねばな……。			のべつ幕なし武器怪盗							
シグレさんも一匹オオカミさんも、いなくなっちゃいました……。			シグレさんも一匹オオカミさんも、いなくなっちゃいました……。			のべつ幕なし武器怪盗							
紅玉台場のシグレは、次の一手を考えているようだ。			紅玉台場のシグレは、次の一手を考えているようだ。			狙われた獲物							
シグレは、サカズキ島の海賊衆に怪しげな小舟を見ていないか、聞き込みをすることにしたようだ。紅玉海のサカズキ島にいる見張り役に聞き込みをしよう。			シグレは、サカズキ島の海賊衆に怪しげな小舟を見ていないか、聞き込みをすることにしたようだ。紅玉海のサカズキ島にいる見張り役に聞き込みをしよう。			狙われた獲物							
見張り役に聞き込みをしたところ、帆別銭を払ってない小舟がベッコウ島へ向かったという。サカズキ島の「シグレ」に報告しよう。			見張り役に聞き込みをしたところ、帆別銭を払ってない小舟がベッコウ島へ向かったという。サカズキ島の「シグレ」に報告しよう。			狙われた獲物							
シグレに報告した。「こそドロ一匹オオカミ」を探すため、紅玉海のベッコウ島にある「指定地点」で見渡そう。			シグレに報告した。「こそドロ一匹オオカミ」を探すため、紅玉海のベッコウ島にある「指定地点」で見渡そう。			狙われた獲物							
指定地点で見渡したところ、そこで見つけたのは紳士的なゾンビーだった。彼のエーテル感知能力によると、ヒルディブランドが近くにいるようだ。ベッコウ島の「紳士的なゾンビー」と話そう。			指定地点で見渡したところ、そこで見つけたのは紳士的なゾンビーだった。彼のエーテル感知能力によると、ヒルディブランドが近くにいるようだ。ベッコウ島の「紳士的なゾンビー」と話そう。			狙われた獲物							
ヒルディブランドを背負った「こそドロ一匹オオカミ」を発見したが、惜しくも大隼に乗って逃げられてしまった。一方、ナシュ・マカラッカの爆弾によって、ヒルディブランドは復活を果たした。事件の匂いを嗅ぎつけた、ベッコウ島の「ヒルディブランド」と話そう。			ヒルディブランドを背負った「こそドロ一匹オオカミ」を発見したが、惜しくも大隼に乗って逃げられてしまった。一方、ナシュ・マカラッカの爆弾によって、ヒルディブランドは復活を果たした。事件の匂いを嗅ぎつけた、ベッコウ島の「ヒルディブランド」と話そう。			狙われた獲物							
ヒルディブランドと話したところ、幼気なキキルン族を介抱していた。彼によると仲間のキキルン族が誘拐されたという。シグレは饒舌な交易商人の仕業だと推理したようだ。クガネの小金通りにいる「饒舌な交易商人」と話そう。			ヒルディブランドと話したところ、幼気なキキルン族を介抱していた。彼によると仲間のキキルン族が誘拐されたという。シグレは饒舌な交易商人の仕業だと推理したようだ。クガネの小金通りにいる「饒舌な交易商人」と話そう。			狙われた獲物							
饒舌な交易商人を追及したところ、威厳のある赤誠組隊士が現れて、彼はお縄となって連れていかれた。誘拐されたキキルン族も無事に戻り去っていった。シグレは「こそドロ一匹オオカミ」を捕らえることで、赤誠組入隊を目指す浪人だという。ヒルディブランドは新たな怪盗事件に大張り切りのようだ。小金通りの「シグレ」と話そう。			饒舌な交易商人を追及したところ、威厳のある赤誠組隊士が現れて、彼はお縄となって連れていかれた。誘拐されたキキルン族も無事に戻り去っていった。シグレは「こそドロ一匹オオカミ」を捕らえることで、赤誠組入隊を目指す浪人だという。ヒルディブランドは新たな怪盗事件に大張り切りのようだ。小金通りの「シグレ」と話そう。			狙われた獲物							
シグレと話したところ、「こそドロ一匹オオカミ」を捕らえるため、事件屋ともども協力を頼まれた。またも一騒動の幕が開いたようだ……。			シグレと話したところ、「こそドロ一匹オオカミ」を捕らえるため、事件屋ともども協力を頼まれた。またも一騒動の幕が開いたようだ……。			狙われた獲物							
イハキと話す			イハキと話す			狙われた獲物							
シグレに報告			シグレに報告			狙われた獲物							
指定地点で見渡す			指定地点で見渡す			狙われた獲物							
紳士的なゾンビーと話す			紳士的なゾンビーと話す			狙われた獲物							
ヒルディブランドと話す			ヒルディブランドと話す			狙われた獲物							
クガネの饒舌な交易商人と話す			クガネの饒舌な交易商人と話す			狙われた獲物							
シグレと話す			シグレと話す			狙われた獲物							
塔、高いです～。			塔、高いです～。			狙われた獲物							
紅玉台場の防人が見ておらぬとなると、サカズキ島の海賊衆をあたるほかなさそうだ。			紅玉台場の防人が見ておらぬとなると、サカズキ島の海賊衆をあたるほかなさそうだ。			狙われた獲物							
帆別銭を徴収するため、海を行き交う船を見張る彼らならば、一匹オオカミの小舟も見かけているはず……。どのみち、紅玉海を渡る我らも銭は払っておかねばならぬ。			帆別銭を徴収するため、海を行き交う船を見張る彼らならば、一匹オオカミの小舟も見かけているはず……。どのみち、紅玉海を渡る我らも銭は払っておかねばならぬ。			狙われた獲物							
しからば、サカズキ島へ向かうでござる。拙者は帆別銭を勘定しておくので、そなたらに、見張り役への聞き込みをお頼み申す！			しからば、サカズキ島へ向かうでござる。拙者は帆別銭を勘定しておくので、そなたらに、見張り役への聞き込みをお頼み申す！			狙われた獲物							
も、もう少し、安くならぬでしょうか……？			も、もう少し、安くならぬでしょうか……？			狙われた獲物							
島にツノはえてます～。			島にツノはえてます～。			狙われた獲物							
なんだ、怪しげな小舟を見てないかだって……？それなら、ついさっき帆別銭を払ってない小舟を見かけたところだ。			なんだ、怪しげな小舟を見てないかだって……？それなら、ついさっき帆別銭を払ってない小舟を見かけたところだ。			狙われた獲物							
だが、聞いておどろくな……乗っていたのは亡者だったんだ！波をものともせず、小舟が揺れようともソイツは直立不動……ピクリとも動かず、スーッと海を滑るように……！			だが、聞いておどろくな……乗っていたのは亡者だったんだ！波をものともせず、小舟が揺れようともソイツは直立不動……ピクリとも動かず、スーッと海を滑るように……！			狙われた獲物							
オレたちが相手にしているのは人だからな、化け物なんて埒外だ。け、決して、ビビってるわけじゃねえぞ！			オレたちが相手にしているのは人だからな、化け物なんて埒外だ。け、決して、ビビってるわけじゃねえぞ！			狙われた獲物							
アンタ、そんな奴を追ってるのか？その小舟なら、ベッコウ島の方へ向かったが、関わらない方が身のためだぜ、不吉な匂いがプンプンしたぞ。			アンタ、そんな奴を追ってるのか？その小舟なら、ベッコウ島の方へ向かったが、関わらない方が身のためだぜ、不吉な匂いがプンプンしたぞ。			狙われた獲物							
アンタ、化け物みたいな奴を追ってるのか？その小舟なら、ベッコウ島の方へ向かったが、関わらない方が身のためだぜ、不吉な匂いがプンプンしたぞ。			アンタ、化け物みたいな奴を追ってるのか？その小舟なら、ベッコウ島の方へ向かったが、関わらない方が身のためだぜ、不吉な匂いがプンプンしたぞ。			狙われた獲物							
亡者が乗った小舟が、ベッコウ島へ向かったと？あの不気味……いや、貴重な人形を見間違えたということか……一匹オオカミの尻尾、見事に掴んでみせたでござるな！			亡者が乗った小舟が、ベッコウ島へ向かったと？あの不気味……いや、貴重な人形を見間違えたということか……一匹オオカミの尻尾、見事に掴んでみせたでござるな！			狙われた獲物							
さすが冒険者さん、すごいです～。			さすが冒険者さん、すごいです～。			狙われた獲物							
ときに、帆別銭なのだが、海賊衆の方がそなたの姿を見て、無代でよいと言われた。何やら、海賊衆とそなたには、浅からぬ縁があるようだ。			ときに、帆別銭なのだが、海賊衆の方がそなたの姿を見て、無代でよいと言われた。何やら、海賊衆とそなたには、浅からぬ縁があるようだ。			狙われた獲物							
拙者、なにぶん懐が寒いもので、助かったでござる。さすれば、ベッコウ島へ向かい、一匹オオカミを探しましょう！			拙者、なにぶん懐が寒いもので、助かったでござる。さすれば、ベッコウ島へ向かい、一匹オオカミを探しましょう！			狙われた獲物							
あっ、大きな耳と尻尾のある、何だかモフモフした人、発見です～！			あっ、大きな耳と尻尾のある、何だかモフモフした人、発見です～！			狙われた獲物							
一匹オオカミめ、ひっ捕らえてくれるわッ！			一匹オオカミめ、ひっ捕らえてくれるわッ！			狙われた獲物							
一匹オオカミよ、ここで会ったが百年目！ついに、お主にも年貢の納め時が……			一匹オオカミよ、ここで会ったが百年目！ついに、お主にも年貢の納め時が……			狙われた獲物							
なっ……一匹オオカミではない？うっ、この漂う死臭……もしや、成仏できなかった亡者の類！？			なっ……一匹オオカミではない？うっ、この漂う死臭……もしや、成仏できなかった亡者の類！？			狙われた獲物							
どちらサマか知りませんガ、人のことを成仏できなかったなんて、失礼デスヨ。私は生前よりも今の自分を愛し、前向きに生きてますカラ。			どちらサマか知りませんガ、人のことを成仏できなかったなんて、失礼デスヨ。私は生前よりも今の自分を愛し、前向きに生きてますカラ。			狙われた獲物							
あ～、ゾンビーさんじゃないですか～！どうして、ココにいるんですか～？			あ～、ゾンビーさんじゃないですか～！どうして、ココにいるんですか～？			狙われた獲物							
おやおや、先生の助手サンではありませんカ。こんなトコロで再会するとは、またも奇遇デスネ……！話せば長くなりますガ、少しばかり寿命をクダサイ。			おやおや、先生の助手サンではありませんカ。こんなトコロで再会するとは、またも奇遇デスネ……！話せば長くなりますガ、少しばかり寿命をクダサイ。			狙われた獲物							
私は、セイレーン海に死霊が住む島があるという噂を聞き、「ゾンビー紳士団」にスカウトするため船旅に出たのデス。もっとも、また空振りだったのデスガネ……。			私は、セイレーン海に死霊が住む島があるという噂を聞き、「ゾンビー紳士団」にスカウトするため船旅に出たのデス。もっとも、また空振りだったのデスガネ……。			狙われた獲物							
エッ……アナタがあの島を掃討したのデスカ？どうりで、スケルトンがただの遺骨になってるわけデス。まったく、死霊だからって見境なく浄化するのはやめてくれマセン？			エッ……アナタがあの島を掃討したのデスカ？どうりで、スケルトンがただの遺骨になってるわけデス。まったく、死霊だからって見境なく浄化するのはやめてくれマセン？			狙われた獲物							
まあ、それは置いとイテ……。仕方なくエオルゼアに戻ろうとシタラ、困ったことに、絶海の孤島で方角がわからなくなりマシタ。			まあ、それは置いとイテ……。仕方なくエオルゼアに戻ろうとシタラ、困ったことに、絶海の孤島で方角がわからなくなりマシタ。			狙われた獲物							
そこで、わずかに感じる先生のエーテルの方向へ、舟を漕いでイッタ、故郷に帰れるものと信じてネ……。すると、こんなトコロに辿り着いてしまったというわけデス。			そこで、わずかに感じる先生のエーテルの方向へ、舟を漕いでイッタ、故郷に帰れるものと信じてネ……。すると、こんなトコロに辿り着いてしまったというわけデス。			狙われた獲物							
ちょうどよかったです～！ナシュたちも、一匹オオカミさんに盗まれた、ヒルディブランド様を探してたんですよ～。			ちょうどよかったです～！ナシュたちも、一匹オオカミさんに盗まれた、ヒルディブランド様を探してたんですよ～。			狙われた獲物							
ゾンビーさん、ヒルディブランド様がいるところまで、案内してください～！			ゾンビーさん、ヒルディブランド様がいるところまで、案内してください～！			狙われた獲物							
承りマシタ！先生はもう、この腐った目と鼻の先デスヨ！			承りマシタ！先生はもう、この腐った目と鼻の先デスヨ！			狙われた獲物							
ところで、その格好はどうしたんですか～？とっても、可愛いですね～！			ところで、その格好はどうしたんですか～？とっても、可愛いですね～！			狙われた獲物							
これは、旅の途中で出会った、旅芸人の一座からもらったモノ。怖がられることが多いノデ、思い切って印象を変えてみマシタ。好感を受けてもらえたなら幸いデス！			これは、旅の途中で出会った、旅芸人の一座からもらったモノ。怖がられることが多いノデ、思い切って印象を変えてみマシタ。好感を受けてもらえたなら幸いデス！			狙われた獲物							
さあ皆さん、私の後に付いてきてくだサイヨ～！			さあ皆さん、私の後に付いてきてくだサイヨ～！			狙われた獲物							
いやはや、何が何だかさっぱりわからぬが、一匹オオカミの足取りは途絶えてしまった……。ここは、「ぞんびい」殿を信じて付いていくしかないでござる。			いやはや、何が何だかさっぱりわからぬが、一匹オオカミの足取りは途絶えてしまった……。ここは、「ぞんびい」殿を信じて付いていくしかないでござる。			狙われた獲物							
「えおるぜあ」の亡者は何とも……明るいでござるな。			「えおるぜあ」の亡者は何とも……明るいでござるな。			狙われた獲物							
ゾンビーさん、モフモフが似合ってます～！			ゾンビーさん、モフモフが似合ってます～！			狙われた獲物							
オオオオオオ……！紳士的なエーテルを感じマス！先生はきっとこの先にいるハズ……！			オオオオオオ……！紳士的なエーテルを感じマス！先生はきっとこの先にいるハズ……！			狙われた獲物							
一匹オオカミも、この先にということでござるな？今度こそ、ひっ捕らえてくれるわッ！			一匹オオカミも、この先にということでござるな？今度こそ、ひっ捕らえてくれるわッ！			狙われた獲物							
もう逃がさぬぞ！神妙にお縄を頂戴しろ！			もう逃がさぬぞ！神妙にお縄を頂戴しろ！			狙われた獲物							
げっ！　見つかっちまったぜ！			げっ！　見つかっちまったぜ！			狙われた獲物							
あ～、ナシュの絵とそっくりです～！			あ～、ナシュの絵とそっくりです～！			狙われた獲物							
一匹オオカミよ、ここで会ったが百年目！ついに、お主にも年貢の納め時がやってきたでござる！			一匹オオカミよ、ここで会ったが百年目！ついに、お主にも年貢の納め時がやってきたでござる！			狙われた獲物							
待ていッ！			待ていッ！			狙われた獲物							
ヒルディブランド様のために、特製のお薬をこしらえました～！さあ、お目覚めの時間ですよ～！			ヒルディブランド様のために、特製のお薬をこしらえました～！さあ、お目覚めの時間ですよ～！			狙われた獲物							
アアーーーーーーーーーーーーーーーーーッ！			アアーーーーーーーーーーーーーーーーーッ！			狙われた獲物							
にっ、人形が叫んだ！？			にっ、人形が叫んだ！？			狙われた獲物							
げっ！　爆弾！？			げっ！　爆弾！？			狙われた獲物							
おいっ！　何やってんだよ！早くそいつを投げ捨てろっ……！！			おいっ！　何やってんだよ！早くそいつを投げ捨てろっ……！！			狙われた獲物							
あぁぁぁぁぁー！Forename殿ぉぉぉぉぉー！助けてくださーーーーーーーーーーーーーーーいッ！			あぁぁぁぁぁー！Forename殿ぉぉぉぉぉー！助けてくださーーーーーーーーーーーーーーーいッ！			狙われた獲物							
何と言う？			何と言う？			狙われた獲物							
ヒルディブランドを助けよう！			ヒルディブランドを助けよう！			狙われた獲物							
こそドロ一匹オオカミを捕まえよう！			こそドロ一匹オオカミを捕まえよう！			狙われた獲物							
ヒルディブランド様なら落ちても平気です～！まずは、一匹オオカミさんを捕まえましょう～！			ヒルディブランド様なら落ちても平気です～！まずは、一匹オオカミさんを捕まえましょう～！			狙われた獲物							
さあ、観念するのだ！さすれば、引き上げてやるぞ……。			さあ、観念するのだ！さすれば、引き上げてやるぞ……。			狙われた獲物							
ええい、こうなったら……それっ！！			ええい、こうなったら……それっ！！			狙われた獲物							
まさか、このオイラが追いつめられるとはな。さすがに、今回の獲物はデカすぎたか……。			まさか、このオイラが追いつめられるとはな。さすがに、今回の獲物はデカすぎたか……。			狙われた獲物							
だが、お宝じゃなかったなら用はねえ。じゃあな、アバヨ～！			だが、お宝じゃなかったなら用はねえ。じゃあな、アバヨ～！			狙われた獲物							
こ、小癪な～、一匹オオカミめぇ～！			こ、小癪な～、一匹オオカミめぇ～！			狙われた獲物							
あんまりですぞ！ナシュも、Forename殿も……！			あんまりですぞ！ナシュも、Forename殿も……！			狙われた獲物							
やりました～！ヒルディブランド様、復活です～！			やりました～！ヒルディブランド様、復活です～！			狙われた獲物							
い、いったい、どういう仕組みで動いているのやら……。とにかく、よくできた「からくり人形」でござる。			い、いったい、どういう仕組みで動いているのやら……。とにかく、よくできた「からくり人形」でござる。			狙われた獲物							
何をおっしゃいますか、お侍サン。先生はからくり人形などではありまセン……。			何をおっしゃいますか、お侍サン。先生はからくり人形などではありまセン……。			狙われた獲物							
そうですよ～！ヒルディブランド様は、大胆不敵で素敵な旅の事件屋です～！			そうですよ～！ヒルディブランド様は、大胆不敵で素敵な旅の事件屋です～！			狙われた獲物							
おや、そこにいるのはお侍さん……？ということは、ここは東方ですかな？			おや、そこにいるのはお侍さん……？ということは、ここは東方ですかな？			狙われた獲物							
ヒルディブランド復活の場に早くも駆けつけるとは……もしかして……こんな東の果てにも……私のファンが？			ヒルディブランド復活の場に早くも駆けつけるとは……もしかして……こんな東の果てにも……私のファンが？			狙われた獲物							
むむっ……！さっそくですが、この事件屋ヒルディブランド、すぐ近くで事件の匂いをキャーーーッチしましたぞ！			むむっ……！さっそくですが、この事件屋ヒルディブランド、すぐ近くで事件の匂いをキャーーーッチしましたぞ！			狙われた獲物							
早く現場に駆けつけねば！　ハーッハッハッハ！！			早く現場に駆けつけねば！　ハーッハッハッハ！！			狙われた獲物							
あー、ヒルディブランド様～！ナシュを置いていかないでください～！！			あー、ヒルディブランド様～！ナシュを置いていかないでください～！！			狙われた獲物							
先生が元気そうでよかったデス。そして、その変わらぬ紳士ぶりを見て、急に「ゾンビー紳士団」の仲間が恋しくなってきマシタ……。			先生が元気そうでよかったデス。そして、その変わらぬ紳士ぶりを見て、急に「ゾンビー紳士団」の仲間が恋しくなってきマシタ……。			狙われた獲物							
そろそろ、エオルゼアに戻るとシマス。では、皆さん、ゴキゲンヨウ！			そろそろ、エオルゼアに戻るとシマス。では、皆さん、ゴキゲンヨウ！			狙われた獲物							
いやはや、何がどうなっているのやら……。「えおるぜあ」の人々は摩訶不思議でござる。			いやはや、何がどうなっているのやら……。「えおるぜあ」の人々は摩訶不思議でござる。			狙われた獲物							
惜しくも一匹オオカミを逃してしまったが、探していた友人と再会できたようでよかった。せっかく会えたのだから、後を追いましょう。			惜しくも一匹オオカミを逃してしまったが、探していた友人と再会できたようでよかった。せっかく会えたのだから、後を追いましょう。			狙われた獲物							
こ、これは、妖怪「ねずみ坊主」……？			こ、これは、妖怪「ねずみ坊主」……？			狙われた獲物							
事件の匂いがします～。			事件の匂いがします～。			狙われた獲物							
仲間が、仲間が、大変っちゃ。			仲間が、仲間が、大変っちゃ。			狙われた獲物							
これは、皆さん。この事件屋ヒルディブランド、復活早々、「キキルン族誘拐事件」に遭遇しましたぞ！			これは、皆さん。この事件屋ヒルディブランド、復活早々、「キキルン族誘拐事件」に遭遇しましたぞ！			狙われた獲物							
こちらの幼気なキキルン族のお仲間が、クガネという街にて、何者かに拐われてしまったというのです。			こちらの幼気なキキルン族のお仲間が、クガネという街にて、何者かに拐われてしまったというのです。			狙われた獲物							
ボクは東アルデナード商会の商船の乗組員っちゃ。クガネの港で荷下ろしをしていたら、東方人に美味しいご馳走があると誘われたっちゃ。			ボクは東アルデナード商会の商船の乗組員っちゃ。クガネの港で荷下ろしをしていたら、東方人に美味しいご馳走があると誘われたっちゃ。			狙われた獲物							
なっ……ねずみ坊主が喋った？			なっ……ねずみ坊主が喋った？			狙われた獲物							
キキルン族が喋ったら何か悪いっちゃ？とにかく、話を続けるっちゃ……。			キキルン族が喋ったら何か悪いっちゃ？とにかく、話を続けるっちゃ……。			狙われた獲物							
