八分儀広場の生真面目な警備兵は、冒険者に頼みたいことがあるようだ。			八分儀広場の生真面目な警備兵は、冒険者に頼みたいことがあるようだ。			青魔道士と名乗る男							
マスクカーニバルなんて下品な見世物に出るようだけど、相手は瞬殺されるでしょうって、答えといたわよ。			マスクカーニバルなんて下品な見世物に出るようだけど、相手は瞬殺されるでしょうって、答えといたわよ。			真なるジークフリード							
そういえば……冴えない男から、ジークフリードのことを、しつこく聞かれたな。			そういえば……冴えない男から、ジークフリードのことを、しつこく聞かれたな。			真なるジークフリード							
その得意技やら、弱点やら、熱心に質問されたよ。だが、コロセウムで百戦錬磨のヤツに敵う者はいない。きっと、マスクカーニバルでも同じことだろうよ。			その得意技やら、弱点やら、熱心に質問されたよ。だが、コロセウムで百戦錬磨のヤツに敵う者はいない。きっと、マスクカーニバルでも同じことだろうよ。			真なるジークフリード							
ジークフリードのことを尋ねまわっているヤツなら、さっきまでいたんだが……			ジークフリードのことを尋ねまわっているヤツなら、さっきまでいたんだが……			真なるジークフリード							
おっと、こうしちゃいられない！ジークフリードとマスク・ザ・ブルーの、大一番が始まっちまうぜ……！			おっと、こうしちゃいられない！ジークフリードとマスク・ザ・ブルーの、大一番が始まっちまうぜ……！			真なるジークフリード							
マスクカーニバルなんて下品な見世物、大富豪令嬢の私が見るものではないわ。まあ、フランツ様が出場するなら考えてもいいけど……。			マスクカーニバルなんて下品な見世物、大富豪令嬢の私が見るものではないわ。まあ、フランツ様が出場するなら考えてもいいけど……。			真なるジークフリード							
ジークフリードの得意技やら、弱点やら、冴えない男から、熱心に質問されたが……まさか、あんな貧相な男がヤツと戦うわけじゃないよな？			ジークフリードの得意技やら、弱点やら、冴えない男から、熱心に質問されたが……まさか、あんな貧相な男がヤツと戦うわけじゃないよな？			真なるジークフリード							
そっちはどうだった？マーティンはさっきまで、この辺りにいたみたいだけど……。			そっちはどうだった？マーティンはさっきまで、この辺りにいたみたいだけど……。			真なるジークフリード							
おや、Forename君と、ロイスさん？こんなところで、どうしました……？			おや、Forename君と、ロイスさん？こんなところで、どうしました……？			真なるジークフリード							
どうしましたじゃないわよ、まったく！こんなときに私服にまで着替えて、あなたってば……。			どうしましたじゃないわよ、まったく！こんなときに私服にまで着替えて、あなたってば……。			真なるジークフリード							
試合の時間が迫ってるんで、探しにきたのよ！マスクカーニバルを懸けた、大事な決戦なんだからね……！			試合の時間が迫ってるんで、探しにきたのよ！マスクカーニバルを懸けた、大事な決戦なんだからね……！			真なるジークフリード							
それならご安心ください！コロセウムや剣術士ギルドで聞き込みをして、ジークフリードの「下調べ」はバッチリですよ……！			それならご安心ください！コロセウムや剣術士ギルドで聞き込みをして、ジークフリードの「下調べ」はバッチリですよ……！			真なるジークフリード							
やはり、ヤツは力任せの近接攻撃しかできないキンニクだるま！開始から怒涛の如く強力な青魔法を食らわせれば、なす術もなくイチコロでしょう！			やはり、ヤツは力任せの近接攻撃しかできないキンニクだるま！開始から怒涛の如く強力な青魔法を食らわせれば、なす術もなくイチコロでしょう！			真なるジークフリード							
さあ、ブルースカイへ向かいましょう！ジークフリードを深い青に沈めてお見せしますよ……！			さあ、ブルースカイへ向かいましょう！ジークフリードを深い青に沈めてお見せしますよ……！			真なるジークフリード							
さぁさぁ、お集まりの紳士淑女の皆さん！お待ちかねの夢の対決、西紀の一戦の開幕だ！			さぁさぁ、お集まりの紳士淑女の皆さん！お待ちかねの夢の対決、西紀の一戦の開幕だ！			真なるジークフリード							
まずはご存じ、蒼天の空より鮮やかで、紺碧の海よりも深い……闘技場をそんな群青に染める仮面の紳士！			まずはご存じ、蒼天の空より鮮やかで、紺碧の海よりも深い……闘技場をそんな群青に染める仮面の紳士！			真なるジークフリード							
初代マスク・ザ・ブルゥーーーーーーッ！			初代マスク・ザ・ブルゥーーーーーーッ！			真なるジークフリード							
対する挑戦者はぁ……コロセウムのスターにして、かの古典小説から現れた世界一の剣士！			対する挑戦者はぁ……コロセウムのスターにして、かの古典小説から現れた世界一の剣士！			真なるジークフリード							
ジークフリードォーーーーーーッ！			ジークフリードォーーーーーーッ！			真なるジークフリード							
お～っとぉ～～～！これはいったい……！？ジークフリードの出で立ちが、いつもと違うようだぁーーー！！			お～っとぉ～～～！これはいったい……！？ジークフリードの出で立ちが、いつもと違うようだぁーーー！！			真なるジークフリード							
青魔道士の小賢しい術に対抗するため、こちらも帝国製の武器で、少しばかり武装させてもらった。			青魔道士の小賢しい術に対抗するため、こちらも帝国製の武器で、少しばかり武装させてもらった。			真なるジークフリード							
我がアマジナ鉱山社では、青燐機関の研究のために、魔導兵器の残骸を回収していたりもするのでね……。			我がアマジナ鉱山社では、青燐機関の研究のために、魔導兵器の残骸を回収していたりもするのでね……。			真なるジークフリード							
なにが少しばかりよ！もはや、世界一の剣士とされる、小説のジークフリードの原型もないじゃないッ！？			なにが少しばかりよ！もはや、世界一の剣士とされる、小説のジークフリードの原型もないじゃないッ！？			真なるジークフリード							
フ、フン……土壇場の付け焼刃など問題なしッ！			フ、フン……土壇場の付け焼刃など問題なしッ！			真なるジークフリード							
いくぞ！　こわっぱ！！			いくぞ！　こわっぱ！！			真なるジークフリード							
うりゃりゃりゃーー！！			うりゃりゃりゃーー！！			真なるジークフリード							
ぜえ　ぜえ　ぜえ……ど、どうだ！　まいったか！！			ぜえ　ぜえ　ぜえ……ど、どうだ！　まいったか！！			真なるジークフリード							
おっとぉ～！ジークフリードの予想外の攻撃も驚きだが、さすがはマスク・ザ・ブルー、咄嗟の判断で乗り切った～～～！			おっとぉ～！ジークフリードの予想外の攻撃も驚きだが、さすがはマスク・ザ・ブルー、咄嗟の判断で乗り切った～～～！			真なるジークフリード							
おのれ、帝国製の武器のうえに、分身までするとは……。「下調べ」は無駄だったが、負けるものか……。			おのれ、帝国製の武器のうえに、分身までするとは……。「下調べ」は無駄だったが、負けるものか……。			真なるジークフリード							
ジークフリードの猛攻になす術もなく、ダウンかと思われたが、マスク・ザ・ブルー、立ち上がった～～～！			ジークフリードの猛攻になす術もなく、ダウンかと思われたが、マスク・ザ・ブルー、立ち上がった～～～！			真なるジークフリード							
さすがですね。この武器に耐えられるなんて、並大抵じゃありませんよ。でも……終わりにしましょう。			さすがですね。この武器に耐えられるなんて、並大抵じゃありませんよ。でも……終わりにしましょう。			真なるジークフリード							
終わらせるのは私だ！			終わらせるのは私だ！			真なるジークフリード							
青魔道士の切り札を喰らうがいいッ……！！			青魔道士の切り札を喰らうがいいッ……！！			真なるジークフリード							
なんとぉ～～～！マーティンの捨て身の技にも、ジークフリードは倒れないッ！挑戦者の勝利だぁ～～～～～～！			なんとぉ～～～！マーティンの捨て身の技にも、ジークフリードは倒れないッ！挑戦者の勝利だぁ～～～～～～！			真なるジークフリード							
なんという技だ……。いまのは、この装甲がなければ、やられていた。恐るべし……青魔道士。			なんという技だ……。いまのは、この装甲がなければ、やられていた。恐るべし……青魔道士。			真なるジークフリード							
父上、私は帝国製の武器を使った分、有利でした。だからこそ、マスク・ザ・ブルーに、もう一度、チャンスを与えたい。			父上、私は帝国製の武器を使った分、有利でした。だからこそ、マスク・ザ・ブルーに、もう一度、チャンスを与えたい。			真なるジークフリード							
別に構わんが……何度、戦っても同じことではないか？			別に構わんが……何度、戦っても同じことではないか？			真なるジークフリード							
いえ、それはないでしょう。私の次なる相手には、もうひとりのマスク・ザ・ブルー……			いえ、それはないでしょう。私の次なる相手には、もうひとりのマスク・ザ・ブルー……			真なるジークフリード							
二代目マスク・ザ・ブルーを指名します！			二代目マスク・ザ・ブルーを指名します！			真なるジークフリード							
ななな、なんとぉ～！試合は二代目との決戦に持ち越されたようだぁーーー！			ななな、なんとぉ～！試合は二代目との決戦に持ち越されたようだぁーーー！			真なるジークフリード							
果たして、敗れてしまった初代の仇を、二代目マスク・ザ・ブルーは討てるのかぁーーー！乞うご期待ッ……！！			果たして、敗れてしまった初代の仇を、二代目マスク・ザ・ブルーは討てるのかぁーーー！乞うご期待ッ……！！			真なるジークフリード							
ジークフリードに負けちゃったわけだけど……結果的に彼のおかげで救われたわね。			ジークフリードに負けちゃったわけだけど……結果的に彼のおかげで救われたわね。			真なるジークフリード							
先生、負け、ちゃった、みたいです、ね……。			先生、負け、ちゃった、みたいです、ね……。			真なるジークフリード							
はぁ…………面目……ない……。			はぁ…………面目……ない……。			真なるジークフリード							
ジークフリードが、まともに戦っても敵わない相手だと悟り、青魔道士の切り札をもってして、引き分けに持ち込もうとしました。そうすればまた、「下調べ」して再戦できますからね。			ジークフリードが、まともに戦っても敵わない相手だと悟り、青魔道士の切り札をもってして、引き分けに持ち込もうとしました。そうすればまた、「下調べ」して再戦できますからね。			真なるジークフリード							
しかし、「自爆」すら効かないとは……。惨敗を喫してしまいました。			しかし、「自爆」すら効かないとは……。惨敗を喫してしまいました。			真なるジークフリード							
まあ、そう落ち込まないで。未知の武器を持つ相手に、あなたは善戦してくれたわ……。			まあ、そう落ち込まないで。未知の武器を持つ相手に、あなたは善戦してくれたわ……。			真なるジークフリード							
ブルースカイの経営権も、二代目との勝負に持ち越しになったことだしね……。			ブルースカイの経営権も、二代目との勝負に持ち越しになったことだしね……。			真なるジークフリード							
Forename、またも頼ることになってしまったけど、あなたなら、ジークフリードに勝ってくれると信じているわ！			Forename、またも頼ることになってしまったけど、あなたなら、ジークフリードに勝ってくれると信じているわ！			真なるジークフリード							
何と言う？			何と言う？			真なるジークフリード							
任せてくれ！			任せてくれ！			真なるジークフリード							
こうなると思った			こうなると思った			真なるジークフリード							
…………			…………			真なるジークフリード							
その意気よ！ウチの看板闘士、マスク・ザ・ブルーの意地を見せてあげて！			その意気よ！ウチの看板闘士、マスク・ザ・ブルーの意地を見せてあげて！			真なるジークフリード							
あら、熟練した青魔道士の勘ってところ……？覚悟ができていたのなら、なによりね。			あら、熟練した青魔道士の勘ってところ……？覚悟ができていたのなら、なによりね。			真なるジークフリード							
気が進まないのね。勝手に話を進めてしまって、本当にごめんなさい。いま答えを出さなくてもいいわ、ゆっくり考えておいて。			気が進まないのね。勝手に話を進めてしまって、本当にごめんなさい。いま答えを出さなくてもいいわ、ゆっくり考えておいて。			真なるジークフリード							
それと……かねてより準備していた、新たな試合も追加されたから、あなたの裁量で、いつでも挑戦してみてね。それじゃあ、健闘を祈ってるわ……！			それと……かねてより準備していた、新たな試合も追加されたから、あなたの裁量で、いつでも挑戦してみてね。それじゃあ、健闘を祈ってるわ……！			真なるジークフリード							
今回の敗北で私は思い知ったよ。己が青魔道士としておごり高ぶっていたとね……。「青魔道士万能説」の研究も、イチからやり直そうと思う。			今回の敗北で私は思い知ったよ。己が青魔道士としておごり高ぶっていたとね……。「青魔道士万能説」の研究も、イチからやり直そうと思う。			真なるジークフリード							
よかったら、君にも青魔道士だけで「危険地帯」へ突入する、実証研究を手伝ってもらいたい。			よかったら、君にも青魔道士だけで「危険地帯」へ突入する、実証研究を手伝ってもらいたい。			真なるジークフリード							
君の持つ青魔道書に、研究対象の「危険地帯」をまとめておくので、気が向いたときにでも、挑戦してくれたら幸いだ。もちろん、報酬はきちんと支払うよ。			君の持つ青魔道書に、研究対象の「危険地帯」をまとめておくので、気が向いたときにでも、挑戦してくれたら幸いだ。もちろん、報酬はきちんと支払うよ。			真なるジークフリード							
詳しくは、我が助手のラトージャ君から聞いてくれ。それと、彼に同盟記章と交換できる、特製の品を用意してもらった。ぜひとも、品揃えを見て励みにしてくれたまえ。			詳しくは、我が助手のラトージャ君から聞いてくれ。それと、彼に同盟記章と交換できる、特製の品を用意してもらった。ぜひとも、品揃えを見て励みにしてくれたまえ。			真なるジークフリード							
そしてなにより、ジークフリードに勝利してほしい！ヤツは強大だが、限界まで成長した君に勝てない相手ではない！			そしてなにより、ジークフリードに勝利してほしい！ヤツは強大だが、限界まで成長した君に勝てない相手ではない！			真なるジークフリード							
二代目マスク・ザ・ブルー、Forenameよ！初代の……私の無念を晴らすべく、どうか仇を討ってくれ……！！			二代目マスク・ザ・ブルー、Forenameよ！初代の……私の無念を晴らすべく、どうか仇を討ってくれ……！！			真なるジークフリード							
青魔道士コンテンツ「マスクカーニバル」に、新たなステージが追加されました。「ブルースカイの案内人」から挑戦することができます。			青魔道士コンテンツ「マスクカーニバル」に、新たなステージが追加されました。「ブルースカイの案内人」から挑戦することができます。			真なるジークフリード							
また、「青魔道士ログ」が開放されました。メインコマンドの「青魔道書」に追加されたタブから、「青魔道士ログ」のメニューを開いて挑戦することができます。			また、「青魔道士ログ」が開放されました。メインコマンドの「青魔道書」に追加されたタブから、「青魔道士ログ」のメニューを開いて挑戦することができます。			真なるジークフリード							
さらに、「泣男のラトージャ」より、同盟記章の取引が行えるようになりました。今後の冒険に役立てましょう！			さらに、「泣男のラトージャ」より、同盟記章の取引が行えるようになりました。今後の冒険に役立てましょう！			真なるジークフリード							
ウルダハのペ・ヤンディは、冒険者の訪れを待っていたようだ。			ウルダハのペ・ヤンディは、冒険者の訪れを待っていたようだ。			覆面闘技祭と青頭巾							
ペ・ヤンディから、マーティンの手紙を渡された。クガネでの調査が進んでいないので、冒険者が協力することになった。クガネの第二波止場で「マーティン」と話そう。			ペ・ヤンディから、マーティンの手紙を渡された。クガネでの調査が進んでいないので、冒険者が協力することになった。クガネの第二波止場で「マーティン」と話そう。			覆面闘技祭と青頭巾							
マーティンと話したところ、いろいろあって彼は茶屋で働いていた。「覆面闘技祭」の調査のため情報収集することになった。クガネの潮風亭で情報を集めよう。			マーティンと話したところ、いろいろあって彼は茶屋で働いていた。「覆面闘技祭」の調査のため情報収集することになった。クガネの潮風亭で情報を集めよう。			覆面闘技祭と青頭巾							
覆面闘技祭についての情報を集めた。第二波止場の「マーティン」と話そう。			覆面闘技祭についての情報を集めた。第二波止場の「マーティン」と話そう。			覆面闘技祭と青頭巾							
マーティンと話し、覆面闘技祭の入場券を闇商人から購入することになった。クガネの「小金通り」のマーティンと話そう。			マーティンと話し、覆面闘技祭の入場券を闇商人から購入することになった。クガネの「小金通り」のマーティンと話そう。			覆面闘技祭と青頭巾							
闇商人こと、ギョドウからマーティンは入場券を入手した。覆面闘技祭を観戦するため、クガネの異人街の城門前にいる「覆面闘技祭のもぎり」と話そう。			闇商人こと、ギョドウからマーティンは入場券を入手した。覆面闘技祭を観戦するため、クガネの異人街の城門前にいる「覆面闘技祭のもぎり」と話そう。			覆面闘技祭と青頭巾							
覆面闘技祭のもぎりと話し、覆面闘技祭を観戦した。マーティンは青頭巾なる闘士が、失踪したヌティバ・ブンティバだという。異人街の城門前にいる「マーティン」と話そう。			覆面闘技祭のもぎりと話し、覆面闘技祭を観戦した。マーティンは青頭巾なる闘士が、失踪したヌティバ・ブンティバだという。異人街の城門前にいる「マーティン」と話そう。			覆面闘技祭と青頭巾							
マーティンと話し、青頭巾を待ち伏せしたところ、彼はヌティバ・ブンティバではないと言い張り、覆面闘技祭を主催するカゲヤマと、花形闘士である黄金頭巾が現れた。マーティンは覆面闘技祭がマスクカーニバルの模倣だと主張するが、カゲヤマはそれを否定。黄金頭巾との対決で決着をつけることになった。第二波止場の「マーティン」と話そう。			マーティンと話し、青頭巾を待ち伏せしたところ、彼はヌティバ・ブンティバではないと言い張り、覆面闘技祭を主催するカゲヤマと、花形闘士である黄金頭巾が現れた。マーティンは覆面闘技祭がマスクカーニバルの模倣だと主張するが、カゲヤマはそれを否定。黄金頭巾との対決で決着をつけることになった。第二波止場の「マーティン」と話そう。			覆面闘技祭と青頭巾							
マーティンと話した。彼は試合に向けて黄金頭巾の下調べをするという。控え闘士として、腕を磨いて、青魔法「ビリビリ」をラーニングして、マーティンのもとへ戻ってこよう。※青魔道士のレベルが65以上になり、青魔法「ビリビリ」をラーニングすると、第二波止場のマーティンから次の青魔道士クエストを受注することができます。			マーティンと話した。彼は試合に向けて黄金頭巾の下調べをするという。控え闘士として、腕を磨いて、青魔法「ビリビリ」をラーニングして、マーティンのもとへ戻ってこよう。※青魔道士のレベルが65以上になり、青魔法「ビリビリ」をラーニングすると、第二波止場のマーティンから次の青魔道士クエストを受注することができます。			覆面闘技祭と青頭巾							
クガネのマーティンと話す			クガネのマーティンと話す			覆面闘技祭と青頭巾							
潮風亭で情報収集する			潮風亭で情報収集する			覆面闘技祭と青頭巾							
マーティンと話す			マーティンと話す			覆面闘技祭と青頭巾							
マーティンと再度話す			マーティンと再度話す			覆面闘技祭と青頭巾							
覆面闘技祭のもぎりと話す			覆面闘技祭のもぎりと話す			覆面闘技祭と青頭巾							
マーティンと話す			マーティンと話す			覆面闘技祭と青頭巾							
マーティンと再度話す			マーティンと再度話す			覆面闘技祭と青頭巾							
Forenameさん。せっかく来てくれたのですが、先生のお達しどおり、青魔法「闘争本能」をラーニングしてきてもらえませんか……？			Forenameさん。せっかく来てくれたのですが、先生のお達しどおり、青魔法「闘争本能」をラーニングしてきてもらえませんか……？			覆面闘技祭と青頭巾							
青魔法「闘争本能」をラーニングすると、ペ・ヤンディから、次の青魔道士クエストを受注することができます。			青魔法「闘争本能」をラーニングすると、ペ・ヤンディから、次の青魔道士クエストを受注することができます。			覆面闘技祭と青頭巾							
Forenameさん！ますます、青魔道士として腕を上げられ、青魔法「闘争本能」もラーニングされたようですね！			Forenameさん！ますます、青魔道士として腕を上げられ、青魔法「闘争本能」もラーニングされたようですね！			覆面闘技祭と青頭巾							
私も四代目マスク・ザ・ブルーとしてデビューし、日々、ブルースカイで技を磨いてますよ！			私も四代目マスク・ザ・ブルーとしてデビューし、日々、ブルースカイで技を磨いてますよ！			覆面闘技祭と青頭巾							
ところで、「覆面闘技祭」なるものを調査するため、クガネに向かった先生から、あなた宛てに手紙が届いてます。			ところで、「覆面闘技祭」なるものを調査するため、クガネに向かった先生から、あなた宛てに手紙が届いてます。			覆面闘技祭と青頭巾							
(-マーティンからの手紙-)拝啓、Forename君。異国の地にて茶の湯を沸かしながら、この手紙をしたためている。			(-マーティンからの手紙-)拝啓、Forename君。異国の地にて茶の湯を沸かしながら、この手紙をしたためている。			覆面闘技祭と青頭巾							
(-マーティンからの手紙-)目的の調査の進展を報告したいところだが……実はクガネに到着早々、酷い災難に遭ってしまい、遅々として進んでいないのだ。			(-マーティンからの手紙-)目的の調査の進展を報告したいところだが……実はクガネに到着早々、酷い災難に遭ってしまい、遅々として進んでいないのだ。			覆面闘技祭と青頭巾							
(-マーティンからの手紙-)そこで、この遅れを取り戻すためにも、どうか君の手を貸してもらえないだろうか？			(-マーティンからの手紙-)そこで、この遅れを取り戻すためにも、どうか君の手を貸してもらえないだろうか？			覆面闘技祭と青頭巾							
(-マーティンからの手紙-)詳しい事は、ぜひ現地で直接、相談させてもらいたい。取り急ぎ、クガネの赤誠組屯所前の茶屋まで来られたし。			(-マーティンからの手紙-)詳しい事は、ぜひ現地で直接、相談させてもらいたい。取り急ぎ、クガネの赤誠組屯所前の茶屋まで来られたし。			覆面闘技祭と青頭巾							
やっぱり、先生ひとりじゃ荷が重かったようですね……。あなたがいないとダメなようです。			やっぱり、先生ひとりじゃ荷が重かったようですね……。あなたがいないとダメなようです。			覆面闘技祭と青頭巾							
どうか、Forenameさん、クガネに向かい先生の力になってあげてください。			どうか、Forenameさん、クガネに向かい先生の力になってあげてください。			覆面闘技祭と青頭巾							
Forenameさん、クガネに向かい先生の力になってあげてください。彼は赤誠組屯所前のお茶屋で待っているようです。			Forenameさん、クガネに向かい先生の力になってあげてください。彼は赤誠組屯所前のお茶屋で待っているようです。			覆面闘技祭と青頭巾							
いらっしゃいませ～。おいしい、お茶やお団子はいかがでしょうか～？			いらっしゃいませ～。おいしい、お茶やお団子はいかがでしょうか～？			覆面闘技祭と青頭巾							
ハッ、Forename君ではないか……！？			ハッ、Forename君ではないか……！？			覆面闘技祭と青頭巾							
何と言う？			何と言う？			覆面闘技祭と青頭巾							
転職した？			転職した？			覆面闘技祭と青頭巾							
似合ってるよ			似合ってるよ			覆面闘技祭と青頭巾							
て、手紙で記したように、これは私の身に起こった、とある災難が関係しているのだ。ちょうど退勤時間だしな、手短に説明しよう……。			て、手紙で記したように、これは私の身に起こった、とある災難が関係しているのだ。ちょうど退勤時間だしな、手短に説明しよう……。			覆面闘技祭と青頭巾							
クガネに到着し、ひとまず宿を探そうとした私は、右も左もわからぬ異国の地で迷ってしまった。そんなとき、親切なナマズが手、いやヒレを差し伸べてくれた。			クガネに到着し、ひとまず宿を探そうとした私は、右も左もわからぬ異国の地で迷ってしまった。そんなとき、親切なナマズが手、いやヒレを差し伸べてくれた。			覆面闘技祭と青頭巾							
ありがたいと、そのヒレを取ったのが運の尽き。ナマズの正体は詐欺師であり、騙された私は一文無しとなって、身ぐるみはがされてしまったのだ。			ありがたいと、そのヒレを取ったのが運の尽き。ナマズの正体は詐欺師であり、騙された私は一文無しとなって、身ぐるみはがされてしまったのだ。			覆面闘技祭と青頭巾							
災難はそれで終わらず、裸で途方に暮れて彷徨っていたところ、今度は不審者と間違われ、赤誠組の隊士にお縄にされてな。			災難はそれで終わらず、裸で途方に暮れて彷徨っていたところ、今度は不審者と間違われ、赤誠組の隊士にお縄にされてな。			覆面闘技祭と青頭巾							
なんとか誤解は解けたものの、すかんぴんで頼れる者もなし。そんな私に同情してくれた隊士から仕事を紹介してもらい、この茶屋で住み込みで働くことになったというわけだ……。			なんとか誤解は解けたものの、すかんぴんで頼れる者もなし。そんな私に同情してくれた隊士から仕事を紹介してもらい、この茶屋で住み込みで働くことになったというわけだ……。			覆面闘技祭と青頭巾							
茶の湯は奥深い、覚えるのもひと苦労で、本来の目的が手つかずだったが、やっと余裕ができた。君も来てくれたことだし、さっそく「覆面闘技祭」の調査といこう。			茶の湯は奥深い、覚えるのもひと苦労で、本来の目的が手つかずだったが、やっと余裕ができた。君も来てくれたことだし、さっそく「覆面闘技祭」の調査といこう。			覆面闘技祭と青頭巾							
とにもかくにも、まずは情報収集からだ。私は茶屋を回るから、君は酒場の「潮風亭」で、聞き込みをしてもらいたい。			とにもかくにも、まずは情報収集からだ。私は茶屋を回るから、君は酒場の「潮風亭」で、聞き込みをしてもらいたい。			覆面闘技祭と青頭巾							
お互い情報が集まったら、またここで落ち合おう。それでは、頼んだよ！			お互い情報が集まったら、またここで落ち合おう。それでは、頼んだよ！			覆面闘技祭と青頭巾							
酒よりも、「覆面闘技祭」に興味があるのか？つい最近始まった闘獣の見世物らしいが、あっという間に人気興行になったと聞く……。			酒よりも、「覆面闘技祭」に興味があるのか？つい最近始まった闘獣の見世物らしいが、あっという間に人気興行になったと聞く……。			覆面闘技祭と青頭巾							
なんでも、魔物の技を使うという、「青仙術士」たちが目を引いているようだ。酒に例えると、物珍しい新酒といったところか……。			なんでも、魔物の技を使うという、「青仙術士」たちが目を引いているようだ。酒に例えると、物珍しい新酒といったところか……。			覆面闘技祭と青頭巾							
「覆面闘技祭」なら、こないだ観にいったぜ。当初は「青頭巾」ってヤツが花形闘士と騒がれていたが、いまや一番人気なのは「黄金頭巾」さ。			「覆面闘技祭」なら、こないだ観にいったぜ。当初は「青頭巾」ってヤツが花形闘士と騒がれていたが、いまや一番人気なのは「黄金頭巾」さ。			覆面闘技祭と青頭巾							
魔物相手に負け知らずなのはもちろん、彼に挑戦する者たちも、ことごとく打ち破った堂々の王者だ。			魔物相手に負け知らずなのはもちろん、彼に挑戦する者たちも、ことごとく打ち破った堂々の王者だ。			覆面闘技祭と青頭巾							
言っとくが、「覆面闘技祭」の入場券は、発売即完売って有様だから、簡単には手に入らないぞ。まあ、金に糸目をつけなければ、手はあるがな……。			言っとくが、「覆面闘技祭」の入場券は、発売即完売って有様だから、簡単には手に入らないぞ。まあ、金に糸目をつけなければ、手はあるがな……。			覆面闘技祭と青頭巾							
「覆面闘技祭」について知りたい？人と魔物を戦わせる、あんな下品な見世物、ワシは理解に苦しむが、大衆には人気なようだ。			「覆面闘技祭」について知りたい？人と魔物を戦わせる、あんな下品な見世物、ワシは理解に苦しむが、大衆には人気なようだ。			覆面闘技祭と青頭巾							
我慢ならんのは、クガネ奉行にまで気に入られ、いまやクガネ城の「天守能楽堂」で行われていること。まったく、お奉行は何を考えておられるのやら……。			我慢ならんのは、クガネ奉行にまで気に入られ、いまやクガネ城の「天守能楽堂」で行われていること。まったく、お奉行は何を考えておられるのやら……。			覆面闘技祭と青頭巾							
「覆面闘技祭」もいいが、酒について聞いていかぬか……？			「覆面闘技祭」もいいが、酒について聞いていかぬか……？			覆面闘技祭と青頭巾							
「覆面闘技祭」の入場券は即完売するので、入手は難しい。それこそ、「黄金頭巾」の試合の券は争奪戦になるんだ。			「覆面闘技祭」の入場券は即完売するので、入手は難しい。それこそ、「黄金頭巾」の試合の券は争奪戦になるんだ。			覆面闘技祭と青頭巾							
クガネ城の「天守能楽堂」と言えば、その名の通り、能楽をはじめとした、伝統文化を披露するためにある。品のない大衆興行を催すような場ではないのだ……。			クガネ城の「天守能楽堂」と言えば、その名の通り、能楽をはじめとした、伝統文化を披露するためにある。品のない大衆興行を催すような場ではないのだ……。			覆面闘技祭と青頭巾							
さて、情報は集まっただろうか……？			さて、情報は集まっただろうか……？			覆面闘技祭と青頭巾							
なるほど……。「覆面闘技祭」が、最近始まったものだということは、やはり、我らのマスクカーニバルを模倣したに違いない。			なるほど……。「覆面闘技祭」が、最近始まったものだということは、やはり、我らのマスクカーニバルを模倣したに違いない。			覆面闘技祭と青頭巾							
それを確かめるためにも、いちど、かの興行をこの目で見なければなるまい。			それを確かめるためにも、いちど、かの興行をこの目で見なければなるまい。			覆面闘技祭と青頭巾							
入場券が入手困難ということは、私も聞いている。だが、闇商人が裏で売買しているという噂を耳にした。			入場券が入手困難ということは、私も聞いている。だが、闇商人が裏で売買しているという噂を耳にした。			覆面闘技祭と青頭巾							
そのような輩から購入するのは、負い目を感じるが、これも調査のためだ、背に腹は代えられん。闇商人が出没するという、「小金通り」の裏路地に向かおう。			そのような輩から購入するのは、負い目を感じるが、これも調査のためだ、背に腹は代えられん。闇商人が出没するという、「小金通り」の裏路地に向かおう。			覆面闘技祭と青頭巾							
さて、闇商人はこの辺りを縄張りとしているそうだが……。			さて、闇商人はこの辺りを縄張りとしているそうだが……。			覆面闘技祭と青頭巾							
(-聞き覚えのある声-)あるっぺよ～！「覆面闘技祭」の入場券あるっぺよ～！			(-聞き覚えのある声-)あるっぺよ～！「覆面闘技祭」の入場券あるっぺよ～！			覆面闘技祭と青頭巾							
(-闇商人らしきナマズオ-)うぺぺぺぺ……！？姐御旦那が、なんでこんなところにいるっぺな！			(-闇商人らしきナマズオ-)うぺぺぺぺ……！？姐御旦那が、なんでこんなところにいるっぺな！			覆面闘技祭と青頭巾							
何と言う？			何と言う？			覆面闘技祭と青頭巾							
お前はギョシン！			お前はギョシン！			覆面闘技祭と青頭巾							
お前はギョドウ！			お前はギョドウ！			覆面闘技祭と青頭巾							
お前はギョフン！			お前はギョフン！			覆面闘技祭と青頭巾							
ギョドウだっぺ！			ギョドウだっぺ！			覆面闘技祭と青頭巾							
さっすが、姐御旦那！ギョドウっぺよ！			さっすが、姐御旦那！ギョドウっぺよ！			覆面闘技祭と青頭巾							
お、お前は、あのときの卑劣な詐欺師……！			お、お前は、あのときの卑劣な詐欺師……！			覆面闘技祭と青頭巾							
あのときのチョロい異国人っぺな……！うぺぺ……まさか姐御旦那の知り合いだったなんて、思いもしなかったっぺよ……。			あのときのチョロい異国人っぺな……！うぺぺ……まさか姐御旦那の知り合いだったなんて、思いもしなかったっぺよ……。			覆面闘技祭と青頭巾							
お前に騙され、どんなに苦労させられたか……！奪った私の金と、大事な衣装を返してくれ！			お前に騙され、どんなに苦労させられたか……！奪った私の金と、大事な衣装を返してくれ！			覆面闘技祭と青頭巾							
