聖ガンリオル占星院のジャンヌキナルは、冒険者に知らせたいことがあるようだ。			聖ガンリオル占星院のジャンヌキナルは、冒険者に知らせたいことがあるようだ。			東風吹き込む占星院							
ゆえに、炎天座の祝福を暗示するアルカナを「均衡」と呼ぶ。その力を用いることで、正義の裁きを下すための、大いなる力を得られるだろう。			ゆえに、炎天座の祝福を暗示するアルカナを「均衡」と呼ぶ。その力を用いることで、正義の裁きを下すための、大いなる力を得られるだろう。			「塔・均衡」葛藤を裁け							
さあ、これにて炎天の門は開かれた。紅き星々の導きあらば、どんな困難も乗り越えられよう。			さあ、これにて炎天の門は開かれた。紅き星々の導きあらば、どんな困難も乗り越えられよう。			「塔・均衡」葛藤を裁け							
さて、次なる修練の地は、南ザナラーンの「リトルアラミゴ」なる地。そこで、次なる「六天」の門を開こう。			さて、次なる修練の地は、南ザナラーンの「リトルアラミゴ」なる地。そこで、次なる「六天」の門を開こう。			「塔・均衡」葛藤を裁け							
さあ、Forenameよ、この場で空を見上げつつ、夜空の星々がもっとも輝く時を待つのだ。			さあ、Forenameよ、この場で空を見上げつつ、夜空の星々がもっとも輝く時を待つのだ。			「塔・均衡」葛藤を裁け							
口の中に砂が入るのも、だいぶ慣れてきました……。			口の中に砂が入るのも、だいぶ慣れてきました……。			「塔・均衡」葛藤を裁け							
さあ、Forenameよ。閃くようにまばゆく輝く「雷天座」を知り、その門を開くが良い！			さあ、Forenameよ。閃くようにまばゆく輝く「雷天座」を知り、その門を開くが良い！			「塔・均衡」葛藤を裁け							
雷の天界である、雷天(らいてん)には、工神ビエルゴが築きし、機械仕掛けの塔がそびえ、壊神ラールガーが砕きし彗星より、雷の力を得ているという。			雷の天界である、雷天(らいてん)には、工神ビエルゴが築きし、機械仕掛けの塔がそびえ、壊神ラールガーが砕きし彗星より、雷の力を得ているという。			「塔・均衡」葛藤を裁け							
ゆえに、雷天座の祝福を暗示するアルカナを「塔」と呼ぶ。その力を用いることで、堅固なる塔の如く、強き護りの力を得るだろう。			ゆえに、雷天座の祝福を暗示するアルカナを「塔」と呼ぶ。その力を用いることで、堅固なる塔の如く、強き護りの力を得るだろう。			「塔・均衡」葛藤を裁け							
雷天座とは、雷天の門を示す星々……。今、汝はその門を開いたのだ……。			雷天座とは、雷天の門を示す星々……。今、汝はその門を開いたのだ……。			「塔・均衡」葛藤を裁け							
六天の門を開こうとするならば、それぞれの星座に適した場所というものがある。星とは、見上げる場所により、異なって見えるからな。			六天の門を開こうとするならば、それぞれの星座に適した場所というものがある。星とは、見上げる場所により、異なって見えるからな。			「塔・均衡」葛藤を裁け							
同じ星空のはずなのに、見上げる場所が変わると、印象が変わるものですね……。			同じ星空のはずなのに、見上げる場所が変わると、印象が変わるものですね……。			「塔・均衡」葛藤を裁け							
修練の地を求め、各地を巡ったが、噂に聞くとおり、エオルゼアは争いで満ちていた。			修練の地を求め、各地を巡ったが、噂に聞くとおり、エオルゼアは争いで満ちていた。			「塔・均衡」葛藤を裁け							
ここリトルアラミゴでは、戦で故郷を失った者が苦しみ、イシュガルドでは、千年に渡り竜と争い続けている……。			ここリトルアラミゴでは、戦で故郷を失った者が苦しみ、イシュガルドでは、千年に渡り竜と争い続けている……。			「塔・均衡」葛藤を裁け							
かような苦しみを運命と諦め、見捨てることもできよう。しかし、占星術の知を学べば、自らの力で困難に立ち向かい、運命を切り開くこともできる。			かような苦しみを運命と諦め、見捨てることもできよう。しかし、占星術の知を学べば、自らの力で困難に立ち向かい、運命を切り開くこともできる。			「塔・均衡」葛藤を裁け							
「占星術師」として、歩み始めたからには、その力をいかに用いるかを、よくよく考えておけ。			「占星術師」として、歩み始めたからには、その力をいかに用いるかを、よくよく考えておけ。			「塔・均衡」葛藤を裁け							
……確かに、占星魔法の力があれば、戦災に苦しむ人々を、癒やし、救うこともできましょう。しかし、そのような意見は、シャーレアンでは少数派なのでは？			……確かに、占星魔法の力があれば、戦災に苦しむ人々を、癒やし、救うこともできましょう。しかし、そのような意見は、シャーレアンでは少数派なのでは？			「塔・均衡」葛藤を裁け							
汝の言うとおりだ。「シャーレアンは歴史の観察者であれ、介入するべからず」…………悲しいかな、こうした考え方が主流なのだ。			汝の言うとおりだ。「シャーレアンは歴史の観察者であれ、介入するべからず」…………悲しいかな、こうした考え方が主流なのだ。			「塔・均衡」葛藤を裁け							
指導者の派遣を求める、ジャンヌキナルの要請が、長年に渡って認められてこなかった理由も、そこにある。だが、わしは己の信念を貫き、この地に来たのだ……。			指導者の派遣を求める、ジャンヌキナルの要請が、長年に渡って認められてこなかった理由も、そこにある。だが、わしは己の信念を貫き、この地に来たのだ……。			「塔・均衡」葛藤を裁け							
さて……これで、ザナラーンの地での修練は終いとしよう。それでは、皇都へ戻るぞ。			さて……これで、ザナラーンの地での修練は終いとしよう。それでは、皇都へ戻るぞ。			「塔・均衡」葛藤を裁け							
戻られましたか、Forenameさん。レヴェヴァ師は、さっそく次なる修練の地を探すべく、出ていかれました。			戻られましたか、Forenameさん。レヴェヴァ師は、さっそく次なる修練の地を探すべく、出ていかれました。			「塔・均衡」葛藤を裁け							
師曰く、今後も「六天」の門を開くのに、貴方を同行させる所存とのこと。その修練に備え、力をつけておくように……だそうです。			師曰く、今後も「六天」の門を開くのに、貴方を同行させる所存とのこと。その修練に備え、力をつけておくように……だそうです。			「塔・均衡」葛藤を裁け							
聖ガンリオル占星院のジャンヌキナルは、冒険者に伝えたいことがあるようだ。			聖ガンリオル占星院のジャンヌキナルは、冒険者に伝えたいことがあるようだ。			交わりし運命							
講話会の開催が決定したという。クルザス西部高地の聖フィネア連隊の露営地にいる「レヴェヴァ」と話そう。			講話会の開催が決定したという。クルザス西部高地の聖フィネア連隊の露営地にいる「レヴェヴァ」と話そう。			交わりし運命							
レヴェヴァと話した。聖フィネア連隊の露営地の「聖フィネア連隊の負傷兵」に、「アスペクト・ベネフィク」をしよう。			レヴェヴァと話した。聖フィネア連隊の露営地の「聖フィネア連隊の負傷兵」に、「アスペクト・ベネフィク」をしよう。			交わりし運命							
負傷者たちを癒した。聖フィネア連隊の露営地にいる「レヴェヴァ」と話そう。			負傷者たちを癒した。聖フィネア連隊の露営地にいる「レヴェヴァ」と話そう。			交わりし運命							
レヴェヴァと話した。襲われて負傷した「レヴェヴァ」に、「アスペクト・ベネフィク」をしよう。			レヴェヴァと話した。襲われて負傷した「レヴェヴァ」に、「アスペクト・ベネフィク」をしよう。			交わりし運命							
レヴェヴァを癒した。彼女は、ジャンヌキナルから父、ルフィンの日記を譲り受け、やる気を新たにした。聖ガンリオル占星院の「ジャンヌキナル」と話そう。			レヴェヴァを癒した。彼女は、ジャンヌキナルから父、ルフィンの日記を譲り受け、やる気を新たにした。聖ガンリオル占星院の「ジャンヌキナル」と話そう。			交わりし運命							
ジャンヌキナルと話した。占星術を広める行動の結果が出始めているようだ。刺客からレヴェヴァを守るためにも、占星術の修練に励もう。※占星術師のレベルが56以上になると、聖ガンリオル占星院のジャンヌキナルから次の占星術師クエストを受注することができます。			ジャンヌキナルと話した。占星術を広める行動の結果が出始めているようだ。刺客からレヴェヴァを守るためにも、占星術の修練に励もう。※占星術師のレベルが56以上になると、聖ガンリオル占星院のジャンヌキナルから次の占星術師クエストを受注することができます。			交わりし運命							
聖フィネア連隊の露営地のレヴェヴァと話す			聖フィネア連隊の露営地のレヴェヴァと話す			交わりし運命							
聖フィネア連隊の負傷兵にアスペクト・ベネフィクをする			聖フィネア連隊の負傷兵にアスペクト・ベネフィクをする			交わりし運命							
聖フィネア連隊の露営地のレヴェヴァと話す			聖フィネア連隊の露営地のレヴェヴァと話す			交わりし運命							
レヴェヴァにアスペクト・ベネフィクをする			レヴェヴァにアスペクト・ベネフィクをする			交わりし運命							
聖ガンリオル占星院のジャンヌキナルと話す			聖ガンリオル占星院のジャンヌキナルと話す			交わりし運命							
ごきげんよう、Forenameさん。レヴェヴァ師による、次の講話会の開催が決まりました。前回の反省を生かし、今度こそ成功させましょう。			ごきげんよう、Forenameさん。レヴェヴァ師による、次の講話会の開催が決まりました。前回の反省を生かし、今度こそ成功させましょう。			交わりし運命							
開催地は、ドラゴン族との戦いに明け暮れる人々が集う、「聖フィネア連隊の露営地」です。現地で集合しましょう。			開催地は、ドラゴン族との戦いに明け暮れる人々が集う、「聖フィネア連隊の露営地」です。現地で集合しましょう。			交わりし運命							
前回の反省を生かし、今度こそ成功させましょう。			前回の反省を生かし、今度こそ成功させましょう。			交わりし運命							
Forenameさん……！ここは、想像以上に危険でした……。			Forenameさん……！ここは、想像以上に危険でした……。			交わりし運命							
Forename、気をつけろ。講話会の開催を触れ歩いていたら、カンプランが殴られた。			Forename、気をつけろ。講話会の開催を触れ歩いていたら、カンプランが殴られた。			交わりし運命							
彼らは「占星術師が来る」と聞き、ドラゴン族の動向を占ってもらえると信じていたようです。どうやら、裏切られたと感じているようでして……。			彼らは「占星術師が来る」と聞き、ドラゴン族の動向を占ってもらえると信じていたようです。どうやら、裏切られたと感じているようでして……。			交わりし運命							
シャーレアン式占星術の本分は、竜の行動予測に非ず。だからこそ、癒し手としての力を示すべきであろう。			シャーレアン式占星術の本分は、竜の行動予測に非ず。だからこそ、癒し手としての力を示すべきであろう。			交わりし運命							
この連隊は負傷者も多いと聞く。彼らを癒やし、身を以て占星魔法を体験してもらおう。			この連隊は負傷者も多いと聞く。彼らを癒やし、身を以て占星魔法を体験してもらおう。			交わりし運命							
これが占星魔法の癒しだ……。			これが占星魔法の癒しだ……。			交わりし運命							
すぐに、楽にして差し上げます。			すぐに、楽にして差し上げます。			交わりし運命							
くぅ、もう耐えられない……。			くぅ、もう耐えられない……。			交わりし運命							
親切に、ありがとうございました！			親切に、ありがとうございました！			交わりし運命							
うう……苦しい。			うう……苦しい。			交わりし運命							
おお、ありがとうございます！これが占星魔法の癒しの力ですか……効果てきめんですね。			おお、ありがとうございます！これが占星魔法の癒しの力ですか……効果てきめんですね。			交わりし運命							
誰か、助けてください……。			誰か、助けてください……。			交わりし運命							
助かった、ありがとうございます。へぇ～、占星術の治癒魔法なんですか！			助かった、ありがとうございます。へぇ～、占星術の治癒魔法なんですか！			交わりし運命							
うぅ……皆のもの……離れろ……。			うぅ……皆のもの……離れろ……。			交わりし運命							
どうされました、レヴェヴァ師！？急に具合でも悪くなりましたか！？			どうされました、レヴェヴァ師！？急に具合でも悪くなりましたか！？			交わりし運命							
レヴェヴァ様……その傷は！？			レヴェヴァ様……その傷は！？			交わりし運命							
(-北洋の巴術士-)……ちっ、毎度、邪魔な剣術士だねぇ。			(-北洋の巴術士-)……ちっ、毎度、邪魔な剣術士だねぇ。			交わりし運命							
はっ、その刺青は……我らを付け狙ってきた賊か！			はっ、その刺青は……我らを付け狙ってきた賊か！			交わりし運命							
(-北洋の巴術士-)そろそろ、こっちも手段を選んでられなくってね。だが、嬢ちゃんが大人しくシャーレアンに戻るなら、これ以上、痛い目には遭わせないでおいてやるさ。			(-北洋の巴術士-)そろそろ、こっちも手段を選んでられなくってね。だが、嬢ちゃんが大人しくシャーレアンに戻るなら、これ以上、痛い目には遭わせないでおいてやるさ。			交わりし運命							
(-北洋の巴術士-)こっちは、シャーレアンを導く「哲学者議会」の許可なしに、異国に赴いた「占星術師」の身柄を確保するのが任務でね。			(-北洋の巴術士-)こっちは、シャーレアンを導く「哲学者議会」の許可なしに、異国に赴いた「占星術師」の身柄を確保するのが任務でね。			交わりし運命							
議会の結論を待ったところで、派遣は否決されるだけだろう！わしは、個人的に赴いただけだ……！議会にどうこう言われる筋合いはない！			議会の結論を待ったところで、派遣は否決されるだけだろう！わしは、個人的に赴いただけだ……！議会にどうこう言われる筋合いはない！			交わりし運命							
(-北洋の巴術士-)そんな詭弁は通用しないよ。我が主は、管理を外れた知識の拡散を忌み嫌うもんでね。			(-北洋の巴術士-)そんな詭弁は通用しないよ。我が主は、管理を外れた知識の拡散を忌み嫌うもんでね。			交わりし運命							
(-北洋の巴術士-)実際、先日の講話会だって総スカンだったじゃないか。人混みに紛れて、嬢ちゃんに接近しようと思ったが……聴衆のひとりもいないんじゃ、それも無理さね。			(-北洋の巴術士-)実際、先日の講話会だって総スカンだったじゃないか。人混みに紛れて、嬢ちゃんに接近しようと思ったが……聴衆のひとりもいないんじゃ、それも無理さね。			交わりし運命							
……なるほど、Forenameさんが癒した騎兵は、貴方の部下だったというわけですね……。			……なるほど、Forenameさんが癒した騎兵は、貴方の部下だったというわけですね……。			交わりし運命							
(-北洋の巴術士-)我が主は、十数年前にこの地で起きた「占星術師」殺し……嬢ちゃんの父親の悲劇を、繰り返したくないというお考えなのさ。			(-北洋の巴術士-)我が主は、十数年前にこの地で起きた「占星術師」殺し……嬢ちゃんの父親の悲劇を、繰り返したくないというお考えなのさ。			交わりし運命							
レヴェヴァ師が、彼の娘さんですって……！？そうでしたか……ならば、なおさら師をお守りしなくては！			レヴェヴァ師が、彼の娘さんですって……！？そうでしたか……ならば、なおさら師をお守りしなくては！			交わりし運命							
(-北洋の巴術士-)今回は「警告」だよ！父親の仇に、知識を授けてやる必要があるのか、よくよく考えてみるこったね！			(-北洋の巴術士-)今回は「警告」だよ！父親の仇に、知識を授けてやる必要があるのか、よくよく考えてみるこったね！			交わりし運命							
Forenameさん、レヴェヴァ師を癒しましょう！			Forenameさん、レヴェヴァ師を癒しましょう！			交わりし運命							
Forenameさんも、レヴェヴァ師を癒してください……。			Forenameさんも、レヴェヴァ師を癒してください……。			交わりし運命							
Forenameさんも、レヴェヴァ師を癒してください……。			Forenameさんも、レヴェヴァ師を癒してください……。			交わりし運命							
ふたりとも、ありがとう……。おかげで傷はすっかり癒えた。			ふたりとも、ありがとう……。おかげで傷はすっかり癒えた。			交わりし運命							
申し訳ありません……。私の要請のせいで、師を危険な目に……。……まさか「哲学者議会」が、占星術の拡散を嫌っていたなんて。			申し訳ありません……。私の要請のせいで、師を危険な目に……。……まさか「哲学者議会」が、占星術の拡散を嫌っていたなんて。			交わりし運命							
わしが選んだ道だ、汝は悪くない。父上がイシュガルドに占星術を広める活動をしていたと聞き、その遺志を継ぐ決意で赴いたのだ……。			わしが選んだ道だ、汝は悪くない。父上がイシュガルドに占星術を広める活動をしていたと聞き、その遺志を継ぐ決意で赴いたのだ……。			交わりし運命							
……やはり父上は、イシュガルドの民に殺されていたのだな。先日、殺された「占星術師」の話を聞き、予想はしていたのだ。わしは……イシュガルドの民を許せそうもない……！			……やはり父上は、イシュガルドの民に殺されていたのだな。先日、殺された「占星術師」の話を聞き、予想はしていたのだ。わしは……イシュガルドの民を許せそうもない……！			交わりし運命							
それでも彼は……ルフィンは……最後までイシュガルドの民を、イシュガルドの未来を信じてくれていましたよ。			それでも彼は……ルフィンは……最後までイシュガルドの民を、イシュガルドの未来を信じてくれていましたよ。			交わりし運命							
なぜ、その名を……！？ルフィンこそ、わが父上の名……。			なぜ、その名を……！？ルフィンこそ、わが父上の名……。			交わりし運命							
彼は、私がシャーレアンに留学していたときの学友です。私は、ルフィンの最期にも立ち会いました……。イシュガルドに占星術を広めるのは、私と彼の夢だったのです。			彼は、私がシャーレアンに留学していたときの学友です。私は、ルフィンの最期にも立ち会いました……。イシュガルドに占星術を広めるのは、私と彼の夢だったのです。			交わりし運命							
これは、レヴェヴァ師が持っていた方がいいでしょう。私が引き取り、心の支えにしてきた……ルフィンの日記です。			これは、レヴェヴァ師が持っていた方がいいでしょう。私が引き取り、心の支えにしてきた……ルフィンの日記です。			交わりし運命							
……わしはまだ、イシュガルドの民を許せそうにはない。だが、このような形で父上の思い出と出会えようとは……。意を決して、イシュガルドに来てよかった……。			……わしはまだ、イシュガルドの民を許せそうにはない。だが、このような形で父上の思い出と出会えようとは……。意を決して、イシュガルドに来てよかった……。			交わりし運命							
ひとりのイシュガルド人として、許してくれとは言えません。しかし、これだけは言わせてください……。己が手で運命に立ち向かう師の姿は、ルフィンにそっくりです。			ひとりのイシュガルド人として、許してくれとは言えません。しかし、これだけは言わせてください……。己が手で運命に立ち向かう師の姿は、ルフィンにそっくりです。			交わりし運命							
……そうか、わしは父上に似ておるか。ならば娘として、父上の分まで運命を切り開かねばな……。			……そうか、わしは父上に似ておるか。ならば娘として、父上の分まで運命を切り開かねばな……。			交わりし運命							
……みなさんなら、可能でしょう。現に、自分も占星術を多くの人に知らせたくなりました。			……みなさんなら、可能でしょう。現に、自分も占星術を多くの人に知らせたくなりました。			交わりし運命							
カタブツのカンプランが……これは大きな収穫です。運命は、確実に動き出しているようですよ。			カタブツのカンプランが……これは大きな収穫です。運命は、確実に動き出しているようですよ。			交わりし運命							
わしは決めたぞ、ジャンヌキナル。講話会を無期限延期とし、しばらくは、この露営地を中心に、各地で負傷者たちの救護活動にあたることにする。			わしは決めたぞ、ジャンヌキナル。講話会を無期限延期とし、しばらくは、この露営地を中心に、各地で負傷者たちの救護活動にあたることにする。			交わりし運命							
……確かに、占星魔法を広めるには効果的ですね。カンプラン……シャーレアンからの刺客の件もありますから、くれぐれも、レヴェヴァ師を頼みますよ。			……確かに、占星魔法を広めるには効果的ですね。カンプラン……シャーレアンからの刺客の件もありますから、くれぐれも、レヴェヴァ師を頼みますよ。			交わりし運命							
ジャンヌキナル……今度ゆっくりと、父上の話を聞かせてくれ。			ジャンヌキナル……今度ゆっくりと、父上の話を聞かせてくれ。			交わりし運命							
……では、Forenameさん。私たちは占星院に戻りましょう。			……では、Forenameさん。私たちは占星院に戻りましょう。			交わりし運命							
父上の日記は、毎晩、星を見ながら読むとしよう……。			父上の日記は、毎晩、星を見ながら読むとしよう……。			交わりし運命							
……講話会は延期になったとはいえ、結果も現れはじめました。十数年前にルフィンが起こした行動が、巡り巡って、私たちの運命を切り開いているのですね。			……講話会は延期になったとはいえ、結果も現れはじめました。十数年前にルフィンが起こした行動が、巡り巡って、私たちの運命を切り開いているのですね。			交わりし運命							
さて、貴方には「マレフィラ」を伝授しておきましょう。シャーレアンの刺客から、レヴェヴァ師を護るためにも、我々には、力が必要となりますから……！			さて、貴方には「マレフィラ」を伝授しておきましょう。シャーレアンの刺客から、レヴェヴァ師を護るためにも、我々には、力が必要となりますから……！			交わりし運命							
クガネのキョクホウは、心配事があるようだ。			クガネのキョクホウは、心配事があるようだ。			天地習合							
キョクホウから、ともにムラクモを探すよう依頼された。クガネの楽水園にある南の祠付近の「指定地点」で、あたりを見渡そう。			キョクホウから、ともにムラクモを探すよう依頼された。クガネの楽水園にある南の祠付近の「指定地点」で、あたりを見渡そう。			天地習合							
南の祠付近にて、あたりを見渡したが、ムラクモの姿はなかった。ムラクモを探すために、小波止場にある西の祠付近の「キョクホウ」と合流しよう。			南の祠付近にて、あたりを見渡したが、ムラクモの姿はなかった。ムラクモを探すために、小波止場にある西の祠付近の「キョクホウ」と合流しよう。			天地習合							
キョクホウと合流した。ムラクモは、祠から現れた悪霊に襲われ、負傷していた。クガネの結界は、今にも破られそうだ。駆けつけたレヴェヴァとともに、犠牲を払うことなく結界を張りなおすために、クガネ城前の「指定地点」で、金狐クガネが現れるまで待機しよう。			キョクホウと合流した。ムラクモは、祠から現れた悪霊に襲われ、負傷していた。クガネの結界は、今にも破られそうだ。駆けつけたレヴェヴァとともに、犠牲を払うことなく結界を張りなおすために、クガネ城前の「指定地点」で、金狐クガネが現れるまで待機しよう。			天地習合							
キョクホウ、レヴェヴァと協力して、金狐クガネの荒魂を鎮めた。			キョクホウ、レヴェヴァと協力して、金狐クガネの荒魂を鎮めた。			天地習合							
ついに、キョクホウは、クガネの結界を張りなおすことができた。占星術と風水術の未来について語り合うため、黄昏橋の「キョクホウ」と話そう。			ついに、キョクホウは、クガネの結界を張りなおすことができた。占星術と風水術の未来について語り合うため、黄昏橋の「キョクホウ」と話そう。			天地習合							
キョクホウと話した。レヴェヴァの予言どおり、冒険者、レヴェヴァ、キョクホウが協力して、クガネの災いを祓ったことで、占星術と風水術に新たな境地が開かれた。これにて、三者は各自の道を追求することになった。いつの日か、彼らが再び交わったとき、果たして何が起きるのだろうか……。※以下の条件を満たすと、聖ガンリオル占星院のジャンヌキナルから、新たなジョブクエストを受注することができます。1.「漆黒のヴィランズ」のプレイ権を所有している。2.「メインクエスト：漆黒のヴィランズ」の、　「漆黒のヴィランズ」を完了する。3.HEALERロールの「ロールクエスト 漆黒編」を完了する。			キョクホウと話した。レヴェヴァの予言どおり、冒険者、レヴェヴァ、キョクホウが協力して、クガネの災いを祓ったことで、占星術と風水術に新たな境地が開かれた。これにて、三者は各自の道を追求することになった。いつの日か、彼らが再び交わったとき、果たして何が起きるのだろうか……。※以下の条件を満たすと、聖ガンリオル占星院のジャンヌキナルから、新たなジョブクエストを受注することができます。1.「漆黒のヴィランズ」のプレイ権を所有している。2.「メインクエスト：漆黒のヴィランズ」の、　「漆黒のヴィランズ」を完了する。3.HEALERロールの「ロールクエスト 漆黒編」を完了する。			天地習合							
指定地点で見渡す			指定地点で見渡す			天地習合							
キョクホウと話す			キョクホウと話す			天地習合							
指定地点で待機			指定地点で待機			天地習合							
キョクホウと話す			キョクホウと話す			天地習合							
悪霊を討伐して人々を護れ！			悪霊を討伐して人々を護れ！			天地習合							
金狐クガネを弱らせろ！			金狐クガネを弱らせろ！			天地習合							
金狐を弱らせて怨念と怨恨を癒やせ！			金狐を弱らせて怨念と怨恨を癒やせ！			天地習合							
金狐の荒魂に「アスペクト・ベネフィク」を使い鎮めろ！			金狐の荒魂に「アスペクト・ベネフィク」を使い鎮めろ！			天地習合							
姉者兄者、いいところに来てくれた！実は、結界の様子を見回りに行ったまま、ムラクモの爺さんが戻らないんだ……。			姉者兄者、いいところに来てくれた！実は、結界の様子を見回りに行ったまま、ムラクモの爺さんが戻らないんだ……。			天地習合							
もしかしたら、また悪霊が現れちまったのかもしれない。念のため、巡回の経路を辿ってムラクモの爺さんを探したい。楽水園にある南の祠まで、いっしょに来てくれ。			もしかしたら、また悪霊が現れちまったのかもしれない。念のため、巡回の経路を辿ってムラクモの爺さんを探したい。楽水園にある南の祠まで、いっしょに来てくれ。			天地習合							
こんな朽ちた祠を毎日見回って、何を企んでいるのですか？貴方が煽る「クガネの危機」を現実とするために、自ら厄を振りまいてるのでは？			こんな朽ちた祠を毎日見回って、何を企んでいるのですか？貴方が煽る「クガネの危機」を現実とするために、自ら厄を振りまいてるのでは？			天地習合							
見てのとおり、厄介な相手に絡まれちまった。適当にあしらっておくから、姉者兄者はムラクモの爺さんを探してくれ。			見てのとおり、厄介な相手に絡まれちまった。適当にあしらっておくから、姉者兄者はムラクモの爺さんを探してくれ。			天地習合							
姉者兄者、ムラクモは見つかったか？			姉者兄者、ムラクモは見つかったか？			天地習合							
見あたらないか……いったい何処に……？祠の結界も、不安定になってきている……。これは、かなり危険な状態だぞ……！			見あたらないか……いったい何処に……？祠の結界も、不安定になってきている……。これは、かなり危険な状態だぞ……！			天地習合							
やれやれ、何が「危険な状態」なんです？貴方が煽る「クガネの危機」を現実とするために、自ら厄を振りまいてるのでしょう？			やれやれ、何が「危険な状態」なんです？貴方が煽る「クガネの危機」を現実とするために、自ら厄を振りまいてるのでしょう？			天地習合							
ウドク、この野郎！何度言ったら、わかるんだよ！？この結界の綻びから漏れる、悪しき気を感じないのか？			ウドク、この野郎！何度言ったら、わかるんだよ！？この結界の綻びから漏れる、悪しき気を感じないのか？			天地習合							
偉大なる風水士カザンの血筋であることを鼻にかけ、嘘八百を並べ立てて、人々の不安を煽るとは言語道断！民を騙して儲けようなど、我ら善良なる風水士が許しませんよ！			偉大なる風水士カザンの血筋であることを鼻にかけ、嘘八百を並べ立てて、人々の不安を煽るとは言語道断！民を騙して儲けようなど、我ら善良なる風水士が許しませんよ！			天地習合							
ああッ、もう時間の無駄だッ！欲に目が眩んじまうと、こんな強い気も感じないのかよ！？せいぜいケガをしないよう、安全なところに隠れときな！			ああッ、もう時間の無駄だッ！欲に目が眩んじまうと、こんな強い気も感じないのかよ！？せいぜいケガをしないよう、安全なところに隠れときな！			天地習合							
姉者兄者、小波止場の西の祠に行ってみよう！			姉者兄者、小波止場の西の祠に行ってみよう！			天地習合							
ちっ、クガネの危機を煽る「バクチ風水士」の自作自演など、我ら善良なる風水士が許しません！			ちっ、クガネの危機を煽る「バクチ風水士」の自作自演など、我ら善良なる風水士が許しません！			天地習合							
ムラクモの爺さん……しっかりしろ！今すぐ癒してやるからな！！			ムラクモの爺さん……しっかりしろ！今すぐ癒してやるからな！！			天地習合							
うぅ……キョクホウ……。結界の綻びから悪霊が現れ、襲われたのだ……。どうにか祓ったものの、このザマでな……。			うぅ……キョクホウ……。結界の綻びから悪霊が現れ、襲われたのだ……。どうにか祓ったものの、このザマでな……。			天地習合							
ヌシである金狐の魂は、かなり力を取り戻しているようだ……。もう、ためらっている時間はない……結界を再構築するのだ！			ヌシである金狐の魂は、かなり力を取り戻しているようだ……。もう、ためらっている時間はない……結界を再構築するのだ！			天地習合							
ダメだ……曾祖父さんと同じ方法じゃ、力を取り戻した金狐を再び封じこめることはできない！より強い結界を結ぶには、人身御供が必要なんだぞ！？			ダメだ……曾祖父さんと同じ方法じゃ、力を取り戻した金狐を再び封じこめることはできない！より強い結界を結ぶには、人身御供が必要なんだぞ！？			天地習合							
私を……生贄とするのだ！私は、もう十分生きた……。師匠カザンの下に行っても、いい頃合いだろうて……。			私を……生贄とするのだ！私は、もう十分生きた……。師匠カザンの下に行っても、いい頃合いだろうて……。			天地習合							
できるわけないだろっ！そんなこと、許すもんか！それ以上言ったら、あんたでも殴るぞ！！			できるわけないだろっ！そんなこと、許すもんか！それ以上言ったら、あんたでも殴るぞ！！			天地習合							
感情に流されず、冷静に考えるのだ！老い先短い私なんぞの命を惜しんで、クガネの街が滅ぼされては、話にならんぞ……！？			感情に流されず、冷静に考えるのだ！老い先短い私なんぞの命を惜しんで、クガネの街が滅ぼされては、話にならんぞ……！？			天地習合							
どっちもいやだ！！風水術がだめなら、占星術でなんとかできないか……。			どっちもいやだ！！風水術がだめなら、占星術でなんとかできないか……。			天地習合							
姉者兄者、占星術は運命を切り開くんだよな！？だったら、何か、いい方法はないのか！？			姉者兄者、占星術は運命を切り開くんだよな！？だったら、何か、いい方法はないのか！？			天地習合							
クガネを救う方法は？			クガネを救う方法は？			天地習合							
生贄の代わりに天の力を使う			生贄の代わりに天の力を使う			天地習合							
…………			…………			天地習合							
つまり、生贄から得られる「人」の命の力に代えて、占星術によって「天」の力を借りようってのか！？			つまり、生贄から得られる「人」の命の力に代えて、占星術によって「天」の力を借りようってのか！？			天地習合							
(-威厳のある声-)そのとおりだ！			(-威厳のある声-)そのとおりだ！			天地習合							
さすがは、Forename。よくぞ、わしと同じ答えにたどりついたな。			さすがは、Forename。よくぞ、わしと同じ答えにたどりついたな。			天地習合							
(-威厳のある声-)その問いならば、わしが答えよう！			(-威厳のある声-)その問いならば、わしが答えよう！			天地習合							
風脈、地脈、水脈に加えて、「人」の命が必要ならば、占星術によって「天」の力で代替すればよいのじゃ！			風脈、地脈、水脈に加えて、「人」の命が必要ならば、占星術によって「天」の力で代替すればよいのじゃ！			天地習合							
レ、レヴェヴァ師！？ほんとうに、レヴェヴァ師か？どうして、クガネに！？			レ、レヴェヴァ師！？ほんとうに、レヴェヴァ師か？どうして、クガネに！？			天地習合							
教皇庁での講話会が大成功に終わってな。シャーレアン式占星術を学ぶ学科が、聖アンダリム神学院に設置されることが決まった。			教皇庁での講話会が大成功に終わってな。シャーレアン式占星術を学ぶ学科が、聖アンダリム神学院に設置されることが決まった。			天地習合							
これにて、父とわしの宿願が成就した。次は、わし自身の志を果たす番だ！			これにて、父とわしの宿願が成就した。次は、わし自身の志を果たす番だ！			天地習合							
