解放軍の将校は、冒険者を待っていたようだ。			解放軍の将校は、冒険者を待っていたようだ。			ウェポン襲来							
皇都から派遣されてきたというウァレンスは、試作魔導兵器と、その開発チームを従えてやってきた。それが「ウェポン」シリーズ。			皇都から派遣されてきたというウァレンスは、試作魔導兵器と、その開発チームを従えてやってきた。それが「ウェポン」シリーズ。			悲しみのアリー							
ヴァリス陛下からの命令で、帝国独自の対蛮神兵器を完成させる密命を帯びていたの。でも、その陛下が亡くなったことで、彼は暴走を始めた。			ヴァリス陛下からの命令で、帝国独自の対蛮神兵器を完成させる密命を帯びていたの。でも、その陛下が亡くなったことで、彼は暴走を始めた。			悲しみのアリー							
究極の力を持ったウェポンを完成させ、あわよくば皇帝の座を我が物に……と。			究極の力を持ったウェポンを完成させ、あわよくば皇帝の座を我が物に……と。			悲しみのアリー							
でも……私が思うに、ウァレンスがウェポンの開発を始めた理由は別にある。			でも……私が思うに、ウァレンスがウェポンの開発を始めた理由は別にある。			悲しみのアリー							
彼はガイウス・ヴァン・バエサル……つまり、義父上に、強い劣等感を持っている……。			彼はガイウス・ヴァン・バエサル……つまり、義父上に、強い劣等感を持っている……。			悲しみのアリー							
我にだと？だが、ウァレンス……聞かぬ名だな……。			我にだと？だが、ウァレンス……聞かぬ名だな……。			悲しみのアリー							
元々、魔導技術者でもあったウァレンスは、魔導技術を積極的に取り込んだ作戦の立案が評価され、軍内で出世街道を歩んでいた。			元々、魔導技術者でもあったウァレンスは、魔導技術を積極的に取り込んだ作戦の立案が評価され、軍内で出世街道を歩んでいた。			悲しみのアリー							
でも、その先には、自分を超える才能が……ガイウス・バエサルがいた。			でも、その先には、自分を超える才能が……ガイウス・バエサルがいた。			悲しみのアリー							
新設された第XIV軍団の軍団長に、義父上が抜擢されたこと。さらに魔導技師としても優秀なネロ幕僚長を配下につけ、アルテマウェポンを手に入れたこと……。			新設された第XIV軍団の軍団長に、義父上が抜擢されたこと。さらに魔導技師としても優秀なネロ幕僚長を配下につけ、アルテマウェポンを手に入れたこと……。			悲しみのアリー							
次々と自分の上を行く義父上を、憎み続けた。実力ある属州人を重用する義父上に対抗して、本国で「純血主義」とかいう論文を発表するほどに……。			次々と自分の上を行く義父上を、憎み続けた。実力ある属州人を重用する義父上に対抗して、本国で「純血主義」とかいう論文を発表するほどに……。			悲しみのアリー							
それでは、完全な逆恨みではないか。嫉妬心に駆られた人間ほど、恐ろしいものはないな……。			それでは、完全な逆恨みではないか。嫉妬心に駆られた人間ほど、恐ろしいものはないな……。			悲しみのアリー							
では、お前の身体にあるという痣とは……。			では、お前の身体にあるという痣とは……。			悲しみのアリー							
義父上には知られたくはなかった……そう……ウァレンスたち差別主義者にやられたんだ。彼らは、私たちのことを消耗品としか思っていないから……。			義父上には知られたくはなかった……そう……ウァレンスたち差別主義者にやられたんだ。彼らは、私たちのことを消耗品としか思っていないから……。			悲しみのアリー							
すまぬ……まさか、お前たちが、そのような状況に身を置かれていようとは……。			すまぬ……まさか、お前たちが、そのような状況に身を置かれていようとは……。			悲しみのアリー							
謝らないで、義父上。本気で脱走しようと思えば、できていたはずだもの……。私たちは、自分の意思でウァレンスのもとに残ると決めたんだ。			謝らないで、義父上。本気で脱走しようと思えば、できていたはずだもの……。私たちは、自分の意思でウァレンスのもとに残ると決めたんだ。			悲しみのアリー							
私たちが逃げ出せば、別の属州人がまた「部品」にされるだけ。それなら私たちの手でウェポンを完成させ、その力を使って、ウァレンスや帝国を倒し、差別のない自由な国を造る……。			私たちが逃げ出せば、別の属州人がまた「部品」にされるだけ。それなら私たちの手でウェポンを完成させ、その力を使って、ウァレンスや帝国を倒し、差別のない自由な国を造る……。			悲しみのアリー							
義父上がいなくなって、居場所を失った私たちが、笑顔で暮らすことのできる場所を……。それが、兄さんたちを突き動かした「理想」なの……。			義父上がいなくなって、居場所を失った私たちが、笑顔で暮らすことのできる場所を……。それが、兄さんたちを突き動かした「理想」なの……。			悲しみのアリー							
そのために……お前たちは、命をなげうって戦ってきたのか。			そのために……お前たちは、命をなげうって戦ってきたのか。			悲しみのアリー							
ミリサンディアも、レックスも、リコンも。兄さんの理想と「強者が弱者を導く先にこそ、未来がある」という、義父上の言葉を信じて、命がけで戦ったんだよ。			ミリサンディアも、レックスも、リコンも。兄さんの理想と「強者が弱者を導く先にこそ、未来がある」という、義父上の言葉を信じて、命がけで戦ったんだよ。			悲しみのアリー							
もちろん、自分たちを犠牲にするようなやり方を、義父上は許さないだろうとは、わかっていたけど……。			もちろん、自分たちを犠牲にするようなやり方を、義父上は許さないだろうとは、わかっていたけど……。			悲しみのアリー							
あまりに強力すぎるウェポンという兵器を、あのウァレンスに、好きに使わせていいわけがない……。彼を止められるのは、私たちだけだったから……。			あまりに強力すぎるウェポンという兵器を、あのウァレンスに、好きに使わせていいわけがない……。彼を止められるのは、私たちだけだったから……。			悲しみのアリー							
特に、あのI号機は……。			特に、あのI号機は……。			悲しみのアリー							
そう……あの力があれば……。兄さんとウェルリトは、私が救ってみせる……！もうこれ以上、家族や同胞を傷つけさせはしない……！			そう……あの力があれば……。兄さんとウェルリトは、私が救ってみせる……！もうこれ以上、家族や同胞を傷つけさせはしない……！			悲しみのアリー							
……義父上、もしもアルフォンス兄さんを助けることができたら、協力してあげてほしいな……兄さんが目指す、理想の国造りを。			……義父上、もしもアルフォンス兄さんを助けることができたら、協力してあげてほしいな……兄さんが目指す、理想の国造りを。			悲しみのアリー							
ギムリトでは、義父上のことを敵だなんて言っていたけど、兄さんは、今でもガイウス・バエサルに憧れているんだよ。			ギムリトでは、義父上のことを敵だなんて言っていたけど、兄さんは、今でもガイウス・バエサルに憧れているんだよ。			悲しみのアリー							
そうか……。			そうか……。			悲しみのアリー							
わかった……約束しよう、アルフォンスを必ず救うと。そして、これまで辛い思いをしてきたお前たちが、安心して暮らすことのできる場所を造ろう。			わかった……約束しよう、アルフォンスを必ず救うと。そして、これまで辛い思いをしてきたお前たちが、安心して暮らすことのできる場所を造ろう。			悲しみのアリー							
ありがとう、義父上……。			ありがとう、義父上……。			悲しみのアリー							
……かつては、我も同じ過ちを犯した。アルテマウェポンの力にすがり、支配という名の平和をもたらさんとした……。			……かつては、我も同じ過ちを犯した。アルテマウェポンの力にすがり、支配という名の平和をもたらさんとした……。			悲しみのアリー							
故にこそ、誤った道を進もうとしている、アルフォンスを救いたい。			故にこそ、誤った道を進もうとしている、アルフォンスを救いたい。			悲しみのアリー							
だが、そのためには、情報が必要だ。教えてくれ、アリー。お前の兄は、いまどこにいるのだ。			だが、そのためには、情報が必要だ。教えてくれ、アリー。お前の兄は、いまどこにいるのだ。			悲しみのアリー							
それは……			それは……			悲しみのアリー							
ごめんなさい、わからないの……。			ごめんなさい、わからないの……。			悲しみのアリー							
そうか……ならば、同盟軍にも協力を要請して、徹底的に捜索するほかあるまい。			そうか……ならば、同盟軍にも協力を要請して、徹底的に捜索するほかあるまい。			悲しみのアリー							
エオルゼアの英雄……あなたが、私の義兄姉たちを……。			エオルゼアの英雄……あなたが、私の義兄姉たちを……。			悲しみのアリー							
いえ……エオルゼアへ攻め入ったのは、私たち……あなたはあなたの、成すべきことを成しただけ……。怨んではいない……。			いえ……エオルゼアへ攻め入ったのは、私たち……あなたはあなたの、成すべきことを成しただけ……。怨んではいない……。			悲しみのアリー							
英雄さん……私は、あなたにお願いをできる立場ではないけど……			英雄さん……私は、あなたにお願いをできる立場ではないけど……			悲しみのアリー							
この先に、何が待ち受けていたとしても……義父上、そしてアルフォンス兄さんの力になってあげてほしい……。それは、もう私たちには叶わないことだから……。			この先に、何が待ち受けていたとしても……義父上、そしてアルフォンス兄さんの力になってあげてほしい……。それは、もう私たちには叶わないことだから……。			悲しみのアリー							
ありがとう、英雄さん……。厳しい役回りを押しつけてしまって、ごめんなさい……。			ありがとう、英雄さん……。厳しい役回りを押しつけてしまって、ごめんなさい……。			悲しみのアリー							
私は、アルフォンス兄さんを救うために、これから義父上を裏切ることになる……。でも、この人がそばにいてくれれば、きっと……。			私は、アルフォンス兄さんを救うために、これから義父上を裏切ることになる……。でも、この人がそばにいてくれれば、きっと……。			悲しみのアリー							
セウェラ、アリーを休ませてくれ。			セウェラ、アリーを休ませてくれ。			悲しみのアリー							
貴殿は、一度ギラバニアへと戻り、これまでのことを同盟軍に報告してもらえるだろうか。			貴殿は、一度ギラバニアへと戻り、これまでのことを同盟軍に報告してもらえるだろうか。			悲しみのアリー							
あの孤児たちのことになると、随分と必死じゃないか……。過去、5つの都市を滅ぼした男とは思えぬくらいだ。罪滅ぼしのつもりか？			あの孤児たちのことになると、随分と必死じゃないか……。過去、5つの都市を滅ぼした男とは思えぬくらいだ。罪滅ぼしのつもりか？			悲しみのアリー							
死者は生者を許しはしない。ただ、生きている者を救いたいと願うだけだ。それを偽善と呼びたくば、好きにするがいい……。			死者は生者を許しはしない。ただ、生きている者を救いたいと願うだけだ。それを偽善と呼びたくば、好きにするがいい……。			悲しみのアリー							
ガレアン族に善き心などあるはずがない……。あるはずがないのだ……。そうでなければ、私は……。			ガレアン族に善き心などあるはずがない……。あるはずがないのだ……。そうでなければ、私は……。			悲しみのアリー							
エメラルドウェポンの脅威を払えたことは喜ぶべきだろう。あなたも、危険を顧みず、よくぞ戦い抜いてくれた。だが、ガイウス様の心中を思うと複雑だな……。			エメラルドウェポンの脅威を払えたことは喜ぶべきだろう。あなたも、危険を顧みず、よくぞ戦い抜いてくれた。だが、ガイウス様の心中を思うと複雑だな……。			悲しみのアリー							
戦い、倒さねばならなかった……。そして、彼らの生死に向き合うべきは、貴殿ではなく我だ。そのことだけは覚えておいてもらいたい。			戦い、倒さねばならなかった……。そして、彼らの生死に向き合うべきは、貴殿ではなく我だ。そのことだけは覚えておいてもらいたい。			悲しみのアリー							
カステッルム・マリヌムにて、エメラルドウェポンの破壊に成功したと、伝令より聞き及んでいます！ルビーウェポンの迎撃から始まった作戦も、いよいよ大詰めですね！			カステッルム・マリヌムにて、エメラルドウェポンの破壊に成功したと、伝令より聞き及んでいます！ルビーウェポンの迎撃から始まった作戦も、いよいよ大詰めですね！			悲しみのアリー							
それでは、詳細な戦況をお聞かせ願えますか？			それでは、詳細な戦況をお聞かせ願えますか？			悲しみのアリー							
ありがとうございます。お伝えいただいた内容は、報告書にまとめて、上に提出いたします！			ありがとうございます。お伝えいただいた内容は、報告書にまとめて、上に提出いたします！			悲しみのアリー							
それでは、作戦の遂行、お疲れさまでした！何か動きがあるまで、お待ちください！			それでは、作戦の遂行、お疲れさまでした！何か動きがあるまで、お待ちください！			悲しみのアリー							
一方  ウェルリト・第VII軍団懲罰室――			一方  ウェルリト・第VII軍団懲罰室――			悲しみのアリー							
3機目のウェポンが破壊され……			3機目のウェポンが破壊され……			悲しみのアリー							
グッ……！！			グッ……！！			悲しみのアリー							
さらに、あの機体の操縦者候補だった妹にも逃げられた……ときた。			さらに、あの機体の操縦者候補だった妹にも逃げられた……ときた。			悲しみのアリー							
ウゥ……！！			ウゥ……！！			悲しみのアリー							
しかも、よりにもよって、ガイウスの下へ行くとはな。まったく……誰にでも軽々しく尻を振る女だ。兄であるキミが、ちゃんとしつけておかないからだぞォ？			しかも、よりにもよって、ガイウスの下へ行くとはな。まったく……誰にでも軽々しく尻を振る女だ。兄であるキミが、ちゃんとしつけておかないからだぞォ？			悲しみのアリー							
んん？どうしたんだね？次はキミの番だよ？			んん？どうしたんだね？次はキミの番だよ？			悲しみのアリー							
そうか！　キミは今日が初めてだったね！大丈夫大丈夫、怖がることなんてないんだぞォ？			そうか！　キミは今日が初めてだったね！大丈夫大丈夫、怖がることなんてないんだぞォ？			悲しみのアリー							
いま、このお兄さんは、「ワルイモノ」に支配されそうになっているのさ。			いま、このお兄さんは、「ワルイモノ」に支配されそうになっているのさ。			悲しみのアリー							
だからこうして、私たちが、お兄さんの中から「ワルイモノ」を追い出そうとしているんだよ。キミだって、彼を助けたいと思うだろう？			だからこうして、私たちが、お兄さんの中から「ワルイモノ」を追い出そうとしているんだよ。キミだって、彼を助けたいと思うだろう？			悲しみのアリー							
うんうんッ！　そうだろうともッ！なら、もう一度頑張ってみようかッ……？			うんうんッ！　そうだろうともッ！なら、もう一度頑張ってみようかッ……？			悲しみのアリー							
がーんばれ、がーんばれッ！			がーんばれ、がーんばれッ！			悲しみのアリー							
(-エレゼン族の少年-)が……がーんばれ、がーんばれッ！			(-エレゼン族の少年-)が……がーんばれ、がーんばれッ！			悲しみのアリー							
(-ウァレンスと子どもたち-)がーんばれ、がーんばれッ！			(-ウァレンスと子どもたち-)がーんばれ、がーんばれッ！			悲しみのアリー							
ぐあぁぁぁッ……！！			ぐあぁぁぁッ……！！			悲しみのアリー							
うん……うん……ッ！　よくできました……ッ！みんな、本当に良くできた子どもたちだなァ……！お義父さんは嬉しいぞォ！			うん……うん……ッ！　よくできました……ッ！みんな、本当に良くできた子どもたちだなァ……！お義父さんは嬉しいぞォ！			悲しみのアリー							
それに引き換え、キミは……			それに引き換え、キミは……			悲しみのアリー							
属州人の割に使える男だと思っていたが……所詮は、愚鈍で汚らわしい蛮族に過ぎなかったようだなァ！こうなれば、あの娘の代わりに、使い捨ての駒にしてやろうッ！			属州人の割に使える男だと思っていたが……所詮は、愚鈍で汚らわしい蛮族に過ぎなかったようだなァ！こうなれば、あの娘の代わりに、使い捨ての駒にしてやろうッ！			悲しみのアリー							
あの機体で出撃し、ガイウスを殺せッ！もしも、再び私を裏切るような真似をしてみろォ？貴様の同胞どもは、ひとり残らず……			あの機体で出撃し、ガイウスを殺せッ！もしも、再び私を裏切るような真似をしてみろォ？貴様の同胞どもは、ひとり残らず……			悲しみのアリー							
根・絶・や・し・だッ！！！！			根・絶・や・し・だッ！！！！			悲しみのアリー							
……まァ、あれにはゼノスの戦闘データが搭載されている。オーバーソウルモードの強制起動をかければ、負けることはない。安心して、疑似聖石システムの贄となるがよいぞォ？			……まァ、あれにはゼノスの戦闘データが搭載されている。オーバーソウルモードの強制起動をかければ、負けることはない。安心して、疑似聖石システムの贄となるがよいぞォ？			悲しみのアリー							
残された短い人生、せいぜい謳歌するのだな……。			残された短い人生、せいぜい謳歌するのだな……。			悲しみのアリー							
ンフフフフフ……。			ンフフフフフ……。			悲しみのアリー							
(-ウァレンスの副官-)ウァレンス様、I号機のオーバーソウルモード起動試験のお時間です。			(-ウァレンスの副官-)ウァレンス様、I号機のオーバーソウルモード起動試験のお時間です。			悲しみのアリー							
ああ、そうだったそうだった！わざわざすまないね、すぐに向かうとしよう！			ああ、そうだったそうだった！わざわざすまないね、すぐに向かうとしよう！			悲しみのアリー							
それじゃあ……キミと……			それじゃあ……キミと……			悲しみのアリー							
キミとキミ！お義父さんについてきたまえ！			キミとキミ！お義父さんについてきたまえ！			悲しみのアリー							
こ、これでいい……あとは、あの機体を奪って……計画を遂行する……。そのために、兄妹たちが命を賭してくれたのだ……。			こ、これでいい……あとは、あの機体を奪って……計画を遂行する……。そのために、兄妹たちが命を賭してくれたのだ……。			悲しみのアリー							
あれが喰えるのは、蛮神だけじゃない……。究極の力を手に入れ、ウァレンスを……帝国を打ち倒す……。そうすれば、同胞たちは自由になれる……。			あれが喰えるのは、蛮神だけじゃない……。究極の力を手に入れ、ウァレンスを……帝国を打ち倒す……。そうすれば、同胞たちは自由になれる……。			悲しみのアリー							
義父上……路上で拾っただけの私たちを、家族と呼んでくれるのなら……。どうか、アリーを頼みます……。			義父上……路上で拾っただけの私たちを、家族と呼んでくれるのなら……。どうか、アリーを頼みます……。			悲しみのアリー							
ミリサンディア、リコン、レックス……もうすぐ、すべてが終わる……。			ミリサンディア、リコン、レックス……もうすぐ、すべてが終わる……。			悲しみのアリー							
あと少しの間、そこから見守っていてくれ……。			あと少しの間、そこから見守っていてくれ……。			悲しみのアリー							
準備はできているか？			準備はできているか？			悲しみのアリー							
完了しております。			完了しております。			悲しみのアリー							
じゃ、始めよう。			じゃ、始めよう。			悲しみのアリー							
疑似聖石システム、スタンバイ。ダイヤウェポンの環境をロード。			疑似聖石システム、スタンバイ。ダイヤウェポンの環境をロード。			悲しみのアリー							
ヒッ……いったい、何をどうすれば……！			ヒッ……いったい、何をどうすれば……！			悲しみのアリー							
いろいろと試してみたいことがあってねぇ。キミ……ええっと、何という名前だったかな……？ともかく、実験への献身的な協力に感謝するよ。			いろいろと試してみたいことがあってねぇ。キミ……ええっと、何という名前だったかな……？ともかく、実験への献身的な協力に感謝するよ。			悲しみのアリー							
そ、そんなことより、約束を違えるなよ……！貴様の実験とやらに付き合えば、家族を解放すると……！			そ、そんなことより、約束を違えるなよ……！貴様の実験とやらに付き合えば、家族を解放すると……！			悲しみのアリー							
すでにゼノスのデータを入れてあるな？オーバーソウルモードを発動させろ。			すでにゼノスのデータを入れてあるな？オーバーソウルモードを発動させろ。			悲しみのアリー							
了解。			了解。			悲しみのアリー							
(-疑似聖石システム-)戦闘データ、コード「ゼノス・イェー・ガルヴァス」……スタンバイ。生体コアの「上書き」を開始します。			(-疑似聖石システム-)戦闘データ、コード「ゼノス・イェー・ガルヴァス」……スタンバイ。生体コアの「上書き」を開始します。			悲しみのアリー							
ぐわぁぁぁぁぁぁぁぁぁ！！			ぐわぁぁぁぁぁぁぁぁぁ！！			悲しみのアリー							
私の……心が……侵されていく……！！だが……これで……家族だけは……！！さらばだ……みんな……！！			私の……心が……侵されていく……！！だが……これで……家族だけは……！！さらばだ……みんな……！！			悲しみのアリー							
狩りに……相応しい獲物は……どこだ……？			狩りに……相応しい獲物は……どこだ……？			悲しみのアリー							
ゼノス・イェー・ガルヴァスの人格に切り替わりました。			ゼノス・イェー・ガルヴァスの人格に切り替わりました。			悲しみのアリー							
ふむ……実験を一時中断、システムを落とせ！			ふむ……実験を一時中断、システムを落とせ！			悲しみのアリー							
疑似聖石システム、ダウン。			疑似聖石システム、ダウン。			悲しみのアリー							
開口一番に獲物を求めるとはね……。いくら戦闘技能が十二分でも、この気まぐれさは、兵器としての信頼性を低めかねないぞ？			開口一番に獲物を求めるとはね……。いくら戦闘技能が十二分でも、この気まぐれさは、兵器としての信頼性を低めかねないぞ？			悲しみのアリー							
それにしても、汚らわしい……毎度、毎度、操縦席がダメになってしまうのも困りものだなぁ。部品だってタダではないというのに。			それにしても、汚らわしい……毎度、毎度、操縦席がダメになってしまうのも困りものだなぁ。部品だってタダではないというのに。			悲しみのアリー							
まあいい、次だ、次だ……。掃除が終わったら、パラメータを変えて実験を再開する。そして、操縦席に座ってもらうのは……。			まあいい、次だ、次だ……。掃除が終わったら、パラメータを変えて実験を再開する。そして、操縦席に座ってもらうのは……。			悲しみのアリー							
ですが、彼の家族は解放すると、先ほど約束を……。			ですが、彼の家族は解放すると、先ほど約束を……。			悲しみのアリー							
あは…………あっはっはっはっは！！あーっはっはっはっはっは！！！ひーっひっひっひ……ひーっ……！！			あは…………あっはっはっはっは！！あーっはっはっはっはっは！！！ひーっひっひっひ……ひーっ……！！			悲しみのアリー							
まったく、キミがそんなに面白い男だとは知らなかったぞぉ！この私が、汚らわしい属州人と約束を交わすなどと……最高のジョークじゃないかぁ！！			まったく、キミがそんなに面白い男だとは知らなかったぞぉ！この私が、汚らわしい属州人と約束を交わすなどと……最高のジョークじゃないかぁ！！			悲しみのアリー							
アリーのことは、私にお任せを……。ガイウス様を信頼していないわけではないのだが、年頃の少女のケアとなれば、同性の私の方がよかろう。			アリーのことは、私にお任せを……。ガイウス様を信頼していないわけではないのだが、年頃の少女のケアとなれば、同性の私の方がよかろう。			悲しみのアリー							
ウェポン……戦いのたびに操縦者の命を吸うとは、なんという非道な兵器なのだ……。			ウェポン……戦いのたびに操縦者の命を吸うとは、なんという非道な兵器なのだ……。			悲しみのアリー							
おそらく、第VII軍団の主力は、属州総督府が置かれた、ウェルリトの都にいるはずだ。だが、そこにアルフォンスがいるとは限らない。			おそらく、第VII軍団の主力は、属州総督府が置かれた、ウェルリトの都にいるはずだ。だが、そこにアルフォンスがいるとは限らない。			悲しみのアリー							
アリーによれば、まだウェポンは残っているそうだ。となれば、依然、捜索の手を緩めるわけにはいかん。			アリーによれば、まだウェポンは残っているそうだ。となれば、依然、捜索の手を緩めるわけにはいかん。			悲しみのアリー							
ポルタ・プレトリアの解放軍の将校は、冒険者に相談があるようだ。			ポルタ・プレトリアの解放軍の将校は、冒険者に相談があるようだ。			はじめてのともだち							
解放軍の将校と話した。帝国軍の支配から解放されたばかりの、ターンクリフ住民たちの心のケアを依頼された。ギラバニア湖畔地帯のポルタ・プレトリアの「解放軍の輸送兵」と話して、ターンクリフへ向かおう。			解放軍の将校と話した。帝国軍の支配から解放されたばかりの、ターンクリフ住民たちの心のケアを依頼された。ギラバニア湖畔地帯のポルタ・プレトリアの「解放軍の輸送兵」と話して、ターンクリフへ向かおう。			はじめてのともだち							
解放軍の輸送兵と話して、ターンクリフまで移動した。ウェルリトのターンクリフで、困っている人を探そう。ターンクリフを離れてしまった場合は、ポルタ・プレトリアにいる「解放軍の輸送兵」が、ターンクリフまで案内してくれるようだ。			解放軍の輸送兵と話して、ターンクリフまで移動した。ウェルリトのターンクリフで、困っている人を探そう。ターンクリフを離れてしまった場合は、ポルタ・プレトリアにいる「解放軍の輸送兵」が、ターンクリフまで案内してくれるようだ。			はじめてのともだち							
アヴィリナと話した。帝国軍で魔導技師として働いていたという彼女は、戦死者を弔うための慰霊碑を建てたいという。ターンクリフの「体格の良いガーロンド社員」と話そう。			アヴィリナと話した。帝国軍で魔導技師として働いていたという彼女は、戦死者を弔うための慰霊碑を建てたいという。ターンクリフの「体格の良いガーロンド社員」と話そう。			はじめてのともだち							
体格の良いガーロンド社員と話した。ウェルリト出身の戦死者をまとめた名簿には、アヴィリナの知人である「ミリサンディア」の名も記載されていたようだ。アヴィリナは、ウェポンシリーズにまつわる悲しみを終わらせるために、自分にできることを探したいと語った。ポルタ・プレトリアの「解放軍の将校」と話そう。			体格の良いガーロンド社員と話した。ウェルリト出身の戦死者をまとめた名簿には、アヴィリナの知人である「ミリサンディア」の名も記載されていたようだ。アヴィリナは、ウェポンシリーズにまつわる悲しみを終わらせるために、自分にできることを探したいと語った。ポルタ・プレトリアの「解放軍の将校」と話そう。			はじめてのともだち							
解放軍の将校と話した。冒険者が、ターンクリフの街から第VII軍団を追い払ったことで、ウェルリト市民たちの間では、これを機に帝国の属州から外れて、独立を勝ち取ろうという声が高まっているという。新たな「ウェポン」の情報が入る頃に、再び「解放軍の将校」を訪ねよう。			解放軍の将校と話した。冒険者が、ターンクリフの街から第VII軍団を追い払ったことで、ウェルリト市民たちの間では、これを機に帝国の属州から外れて、独立を勝ち取ろうという声が高まっているという。新たな「ウェポン」の情報が入る頃に、再び「解放軍の将校」を訪ねよう。			はじめてのともだち							
解放軍の輸送兵と話す			解放軍の輸送兵と話す			はじめてのともだち							
困っている住民を探す			困っている住民を探す			はじめてのともだち							
体格の良いガーロンド社員と話す			体格の良いガーロンド社員と話す			はじめてのともだち							
ポルタ・プレトリアの解放軍の将校と話す			ポルタ・プレトリアの解放軍の将校と話す			はじめてのともだち							
Forenameさん、ちょうどよかった。あなたに相談がございます。			Forenameさん、ちょうどよかった。あなたに相談がございます。			はじめてのともだち							
実は、我々アラミゴ解放軍では、ターンクリフに兵を派遣し、彼の地の住民たちへの支援活動を開始したのです。			実は、我々アラミゴ解放軍では、ターンクリフに兵を派遣し、彼の地の住民たちへの支援活動を開始したのです。			はじめてのともだち							
長年に亘る帝国支配から、急に解放されたことで、生活は一変し、未来への不安も大きいでしょうからね。同じ経験をしてきた隣人として、力を貸したいと考えたのです。			長年に亘る帝国支配から、急に解放されたことで、生活は一変し、未来への不安も大きいでしょうからね。同じ経験をしてきた隣人として、力を貸したいと考えたのです。			はじめてのともだち							
ですが、生活物資の支援や警備への協力ならともかく、心のケアとなると、一筋縄にはいきません。その点で、助力をお願いできないでしょうか……？			ですが、生活物資の支援や警備への協力ならともかく、心のケアとなると、一筋縄にはいきません。その点で、助力をお願いできないでしょうか……？			はじめてのともだち							
ありがとうございます。解放の英雄が相談相手となれば、ウェルリトの住民たちの心も、安らぐことでしょう。			ありがとうございます。解放の英雄が相談相手となれば、ウェルリトの住民たちの心も、安らぐことでしょう。			はじめてのともだち							
では、「解放軍の輸送兵」と話して、ターンクリフに向かい、現地住民に声をかけてあげてください。			では、「解放軍の輸送兵」と話して、ターンクリフに向かい、現地住民に声をかけてあげてください。			はじめてのともだち							
ターンクリフに向かうのですか？では、私にお任せください！			ターンクリフに向かうのですか？では、私にお任せください！			はじめてのともだち							
「ターンクリフ」へ移動しますか？			「ターンクリフ」へ移動しますか？			はじめてのともだち							
あなたは……もしや、あの白い魔導兵器を操縦して、「サファイアウェポン」を撃破した方では……！？			あなたは……もしや、あの白い魔導兵器を操縦して、「サファイアウェポン」を撃破した方では……！？			はじめてのともだち							
(-アヴィリナ-)おお、やはり……！私の名はアヴィリナ、ここターンクリフで生まれ育ちましたが、10年前に帝国軍の徴兵に遭い、魔導技師として働かされていました。			(-アヴィリナ-)おお、やはり……！私の名はアヴィリナ、ここターンクリフで生まれ育ちましたが、10年前に帝国軍の徴兵に遭い、魔導技師として働かされていました。			はじめてのともだち							
(-アヴィリナ-)しかし、あなた方が来てくださったおかげで、帝国軍は撤退し、ようやく自由の身となることができました。本当に何とお礼を言えばいいのか……。			(-アヴィリナ-)しかし、あなた方が来てくださったおかげで、帝国軍は撤退し、ようやく自由の身となることができました。本当に何とお礼を言えばいいのか……。			はじめてのともだち							
(-アヴィリナ-)この国が帝国に支配されてから、もう何十年になるか……多くの国民が帝国軍人として戦場に送られ、命を落としてきました。			(-アヴィリナ-)この国が帝国に支配されてから、もう何十年になるか……多くの国民が帝国軍人として戦場に送られ、命を落としてきました。			はじめてのともだち							
(-アヴィリナ-)たまたま助かっただけの私が、これまで犠牲になった方々のために、できることと言えば、弔うことぐらいしかありません……。			(-アヴィリナ-)たまたま助かっただけの私が、これまで犠牲になった方々のために、できることと言えば、弔うことぐらいしかありません……。			はじめてのともだち							
(-アヴィリナ-)ならばせめて、弔いの気持ちが後世まで続くように、犠牲者の名が刻まれた慰霊碑を建てたいと考えたのです。			(-アヴィリナ-)ならばせめて、弔いの気持ちが後世まで続くように、犠牲者の名が刻まれた慰霊碑を建てたいと考えたのです。			はじめてのともだち							
(-アヴィリナ-)ですが、戦死者名簿が保管されている格納庫は、青い制服を着た方々と、アラミゴ解放軍が封鎖しており……私たちは入ることができません。			(-アヴィリナ-)ですが、戦死者名簿が保管されている格納庫は、青い制服を着た方々と、アラミゴ解放軍が封鎖しており……私たちは入ることができません。			はじめてのともだち							
(-アヴィリナ-)もしよろしければ、私を格納庫に入れてもらえるよう、あの方々にお口添えいただけないでしょうか？			(-アヴィリナ-)もしよろしければ、私を格納庫に入れてもらえるよう、あの方々にお口添えいただけないでしょうか？			はじめてのともだち							
(-アヴィリナ-)ああ、ありがとうございます……！では、格納庫に向かいましょう！			(-アヴィリナ-)ああ、ありがとうございます……！では、格納庫に向かいましょう！			はじめてのともだち							
「解放軍の輸送兵」と話して、ウェルリトに向かい、現地の住民の話を聞いてあげてください。			「解放軍の輸送兵」と話して、ウェルリトに向かい、現地の住民の話を聞いてあげてください。			はじめてのともだち							
ターンクリフに向かうのですか？では、私にお任せください！			ターンクリフに向かうのですか？では、私にお任せください！			はじめてのともだち							
「ターンクリフ」へ移動しますか？			「ターンクリフ」へ移動しますか？			はじめてのともだち							
すみませんが、ここは関係者以外立ち入り禁止なんですよ。っと……誰かと思えば、あなたでしたか。			すみませんが、ここは関係者以外立ち入り禁止なんですよ。っと……誰かと思えば、あなたでしたか。			はじめてのともだち							
おや、Forenameさん。こんなところで何をしているんですか？			おや、Forenameさん。こんなところで何をしているんですか？			はじめてのともだち							
