選者殿のデブロイは、どこか気分が悪そうだ。			選者殿のデブロイは、どこか気分が悪そうだ。			激マズ完全食							
ほかの工程は私が引き受けますので、どうか、「黄金のスパイス」の製作をお願いします！			ほかの工程は私が引き受けますので、どうか、「黄金のスパイス」の製作をお願いします！			健康長寿の秘訣							
材料が足りなくなったら、わしに声をかけてくれれば、渡そう。それでは、美味いカレーを期待しておるぞい。			材料が足りなくなったら、わしに声をかけてくれれば、渡そう。それでは、美味いカレーを期待しておるぞい。			健康長寿の秘訣							
材料が足りなくなったか？あんたはスパイスを作るという話じゃったのう。ほれ、早く美味いカレーを作ってくれ。			材料が足りなくなったか？あんたはスパイスを作るという話じゃったのう。ほれ、早く美味いカレーを作ってくれ。			健康長寿の秘訣							
おお、スパイスが完成したようじゃな。美味いカレーを期待しておるぞい。			おお、スパイスが完成したようじゃな。美味いカレーを期待しておるぞい。			健康長寿の秘訣							
エオルゼア風カレーライスの味の決め手となる、「黄金のスパイス」は完成しましたでしょうか……？			エオルゼア風カレーライスの味の決め手となる、「黄金のスパイス」は完成しましたでしょうか……？			健康長寿の秘訣							
ありがとうございます！いい香りが漂ってきました、これなら最高のカレーができます！あとは私に任せてください！			ありがとうございます！いい香りが漂ってきました、これなら最高のカレーができます！あとは私に任せてください！			健康長寿の秘訣							
ほほう、これがエオルゼア風カレーライス。色も香りも、ラザハンのカレーとは違うのう。さて、その味やいかに……。			ほほう、これがエオルゼア風カレーライス。色も香りも、ラザハンのカレーとは違うのう。さて、その味やいかに……。			健康長寿の秘訣							
いかが……でしたでしょうか？			いかが……でしたでしょうか？			健康長寿の秘訣							
素晴らしい……素晴らしく、美味かったぞ……！食べれば食べるほどに、味が渾然一体となり、不思議な調和感を醸し出しておった。			素晴らしい……素晴らしく、美味かったぞ……！食べれば食べるほどに、味が渾然一体となり、不思議な調和感を醸し出しておった。			健康長寿の秘訣							
Forename君と、デブロイ君、ふたりの想いが、ひとつの目標に向かっていると……熱い熱い想いを感じたぞ！			Forename君と、デブロイ君、ふたりの想いが、ひとつの目標に向かっていると……熱い熱い想いを感じたぞ！			健康長寿の秘訣							
では、アスコルビン酸の合成法は……？			では、アスコルビン酸の合成法は……？			健康長寿の秘訣							
教えよう！このカレーの味は、黄金以上の価値がある！			教えよう！このカレーの味は、黄金以上の価値がある！			健康長寿の秘訣							
なるほど、ココナッツミルクから……			なるほど、ココナッツミルクから……			健康長寿の秘訣							
ご教示、ありがとうございました！			ご教示、ありがとうございました！			健康長寿の秘訣							
最後にお聞かせ願いたいのですが、ジャルヴァズ師にとって、健康長寿の秘訣とは何でしょう？			最後にお聞かせ願いたいのですが、ジャルヴァズ師にとって、健康長寿の秘訣とは何でしょう？			健康長寿の秘訣							
まあ、栄養に気をつけることはもちろんじゃが……とにかく、美味いものを食うことじゃ！			まあ、栄養に気をつけることはもちろんじゃが……とにかく、美味いものを食うことじゃ！			健康長寿の秘訣							
美味いと感じれば、胃の活動が活発になり、逆に不味いと感じれば、消化管の動きは止まってしまう。せっかくの栄養も、身体に吸収されねば何の意味もないからの！			美味いと感じれば、胃の活動が活発になり、逆に不味いと感じれば、消化管の動きは止まってしまう。せっかくの栄養も、身体に吸収されねば何の意味もないからの！			健康長寿の秘訣							
……！！やっぱり、美味しさは生きる上で大切ということですね！			……！！やっぱり、美味しさは生きる上で大切ということですね！			健康長寿の秘訣							
ジャルヴァズ師、ありがとうございます！どうか、いつまでもお元気で……！			ジャルヴァズ師、ありがとうございます！どうか、いつまでもお元気で……！			健康長寿の秘訣							
これで、目的は達成です。オールド・シャーレアンに戻りましょう！			これで、目的は達成です。オールド・シャーレアンに戻りましょう！			健康長寿の秘訣							
エオルゼア風カレーライス、美味かったぞい！さらに寿命が延びた気がするわい。			エオルゼア風カレーライス、美味かったぞい！さらに寿命が延びた気がするわい。			健康長寿の秘訣							
今回は遠くまでお付き合いいただき、ありがとうございました！ジャルヴァズ師から教わった手法で、アスコルビン酸を合成してみようと思います。			今回は遠くまでお付き合いいただき、ありがとうございました！ジャルヴァズ師から教わった手法で、アスコルビン酸を合成してみようと思います。			健康長寿の秘訣							
私たちの完全食、メルヴィンブレッドの完成まであと少しです。最後まで、どうかよろしくお願いしますね！			私たちの完全食、メルヴィンブレッドの完成まであと少しです。最後まで、どうかよろしくお願いしますね！			健康長寿の秘訣							
次のクエストは、「錬金術師／調理師」のいずれかがレベル88以上になると、工匠殿の「デブロイ」から受注可能です。			次のクエストは、「錬金術師／調理師」のいずれかがレベル88以上になると、工匠殿の「デブロイ」から受注可能です。			健康長寿の秘訣							
本クエストで製作した「NQアイテム」を所持しています。このアイテムは、使用することはありません。売却もできませんので、不用でしたら破棄してください。			本クエストで製作した「NQアイテム」を所持しています。このアイテムは、使用することはありません。売却もできませんので、不用でしたら破棄してください。			健康長寿の秘訣							
工匠殿のデブロイは、困り果てているようだ。			工匠殿のデブロイは、困り果てているようだ。			美味しい完全食							
デブロイからアスコルビン酸の製作を依頼された。「特製の添加物」を6個製作し、工匠殿の「デブロイ」へ納品しよう。※納品は、収集価値「160」以上で可能となりますが、「340」以上で納品した場合、より多くの報酬が得られます。			デブロイからアスコルビン酸の製作を依頼された。「特製の添加物」を6個製作し、工匠殿の「デブロイ」へ納品しよう。※納品は、収集価値「160」以上で可能となりますが、「340」以上で納品した場合、より多くの報酬が得られます。			美味しい完全食							
デブロイに「特製の添加物」を納品した。ついに完成したメルヴィンブレッドが品評会に出される日を心待ちにしておこう。			デブロイに「特製の添加物」を納品した。ついに完成したメルヴィンブレッドが品評会に出される日を心待ちにしておこう。			美味しい完全食							
デブロイに特製の添加物を納品			デブロイに特製の添加物を納品			美味しい完全食							
これは、同志Forename……。			これは、同志Forename……。			美味しい完全食							
あれから、アスコルビン酸を合成してみたのですが……何度やってもうまくいきません。			あれから、アスコルビン酸を合成してみたのですが……何度やってもうまくいきません。			美味しい完全食							
ジャルヴァズさんに教わった手順どおりのはずなのに、どうしても、失敗してしまいます。			ジャルヴァズさんに教わった手順どおりのはずなのに、どうしても、失敗してしまいます。			美味しい完全食							
恥ずかしながら、これは単純に私の技術不足……アスコルビン酸の合成は、かなりの腕がいるようです。			恥ずかしながら、これは単純に私の技術不足……アスコルビン酸の合成は、かなりの腕がいるようです。			美味しい完全食							
結局、最後まで頼ってしまって、大変申し訳ないのですが……			結局、最後まで頼ってしまって、大変申し訳ないのですが……			美味しい完全食							
どうか、アスコルビン酸を合成して、メルヴィンブレッド完成への最後の鍵……「特製の添加物」の製作をお願いします！			どうか、アスコルビン酸を合成して、メルヴィンブレッド完成への最後の鍵……「特製の添加物」の製作をお願いします！			美味しい完全食							
アスコルビン酸を合成して、メルヴィンブレッド完成への最後の鍵……「特製の添加物」の製作を、どうかお願いいたします！			アスコルビン酸を合成して、メルヴィンブレッド完成への最後の鍵……「特製の添加物」の製作を、どうかお願いいたします！			美味しい完全食							
助かりました、ありがとうございます！これがココナッツミルクから合成されたアスコルビン酸！さすがです、私には何度やってもできませんでした……。			助かりました、ありがとうございます！これがココナッツミルクから合成されたアスコルビン酸！さすがです、私には何度やってもできませんでした……。			美味しい完全食							
こ、これは美しい！合成されたアスコルビン酸が、輝いて見えます！これさえあれば、残された課題もクリアできるでしょう！			こ、これは美しい！合成されたアスコルビン酸が、輝いて見えます！これさえあれば、残された課題もクリアできるでしょう！			美味しい完全食							
納品、どうもありがとうございます。さっそく、メルヴィンブレッドを作ってみました。もう少しで焼き上がりますので、少々、お待ちくださいね！			納品、どうもありがとうございます。さっそく、メルヴィンブレッドを作ってみました。もう少しで焼き上がりますので、少々、お待ちくださいね！			美味しい完全食							
私の方でも独自に試行錯誤を繰り返し、最終的にこのような、ふっくらしたパンになりました。			私の方でも独自に試行錯誤を繰り返し、最終的にこのような、ふっくらしたパンになりました。			美味しい完全食							
何と言う？			何と言う？			美味しい完全食							
美味しそう……！			美味しそう……！			美味しい完全食							
ど、どこかで見た気が……！？			ど、どこかで見た気が……！？			美味しい完全食							
とにかく、早く食べてみてくださいな！			とにかく、早く食べてみてくださいな！			美味しい完全食							
まずは、味の感想からきかせてもらえますか……？			まずは、味の感想からきかせてもらえますか……？			美味しい完全食							
何と言う？			何と言う？			美味しい完全食							
掛け値なしに美味い！			掛け値なしに美味い！			美味しい完全食							
甘味があふれル！　嗚呼、甘美なり！！			甘味があふれル！　嗚呼、甘美なり！！			美味しい完全食							
よかった！そして、食感はどうでした……？			よかった！そして、食感はどうでした……？			美味しい完全食							
何と言う？			何と言う？			美味しい完全食							
しっとりふわふわでクセになる！			しっとりふわふわでクセになる！			美味しい完全食							
未だかつてない食感に、宇宙の法則が乱れる！！			未だかつてない食感に、宇宙の法則が乱れる！！			美味しい完全食							
それは何より！最後に、香りはいかがでしたか……？			それは何より！最後に、香りはいかがでしたか……？			美味しい完全食							
何と言う？			何と言う？			美味しい完全食							
芳しい香りが吹き抜けた！			芳しい香りが吹き抜けた！			美味しい完全食							
芳醇な香りに、食欲がリミットブレイクした！！			芳醇な香りに、食欲がリミットブレイクした！！			美味しい完全食							
うんうん！味も、食感も、風味も完璧な、美味しいパンができましたね……！			うんうん！味も、食感も、風味も完璧な、美味しいパンができましたね……！			美味しい完全食							
それでいて、栄養のバランスも完璧……今度こそ完全食として申し分ありません！			それでいて、栄養のバランスも完璧……今度こそ完全食として申し分ありません！			美味しい完全食							
ひとえに、同志Forename、あなたのおかげです、本当に感謝しています！			ひとえに、同志Forename、あなたのおかげです、本当に感謝しています！			美味しい完全食							
これなら、必ず哲学者議会の品評会でも勝算があるはず！当日は、ぜひあなたにも出席していただきたいので、お待ちしていますよ……！			これなら、必ず哲学者議会の品評会でも勝算があるはず！当日は、ぜひあなたにも出席していただきたいので、お待ちしていますよ……！			美味しい完全食							
医学部の貢献ランクが上昇しました！デブロイはあなたの事を、「最高の職人さん」と感じているようです！			医学部の貢献ランクが上昇しました！デブロイはあなたの事を、「最高の職人さん」と感じているようです！			美味しい完全食							
魔法大学取引のストーリークエストが発行されました！「錬金術師／調理師」のいずれかがレベル90以上になると、工匠殿の「デブロイ」から受注可能です。			魔法大学取引のストーリークエストが発行されました！「錬金術師／調理師」のいずれかがレベル90以上になると、工匠殿の「デブロイ」から受注可能です。			美味しい完全食							
工匠殿のデブロイは、いつになく意気込んでいるようだ。			工匠殿のデブロイは、いつになく意気込んでいるようだ。			シャーレアンの食文化							
哲学者議会による完全食の品評会が開催されるという。オールド・シャーレアンの哲学者の広場前にいる「デブロイ」と話そう。			哲学者議会による完全食の品評会が開催されるという。オールド・シャーレアンの哲学者の広場前にいる「デブロイ」と話そう。			シャーレアンの食文化							
デブロイと話し、完全食の品評会に出席した。ラストスタンドの常連だったフロギュステールも現れ、見事、メルヴィンブレッドが完全食として採用された。哲学者の広場前にいる「デブロイ」と話そう。			デブロイと話し、完全食の品評会に出席した。ラストスタンドの常連だったフロギュステールも現れ、見事、メルヴィンブレッドが完全食として採用された。哲学者の広場前にいる「デブロイ」と話そう。			シャーレアンの食文化							
デブロイと話した。彼女は敗北したガルヴロッシュに料理を振る舞い元気づけたいという。オールド・シャーレアンのラストスタンドにいる「デブロイ」と話そう。			デブロイと話した。彼女は敗北したガルヴロッシュに料理を振る舞い元気づけたいという。オールド・シャーレアンのラストスタンドにいる「デブロイ」と話そう。			シャーレアンの食文化							
デブロイと話した。彼女はシャーレアンの郷土料理、フィッシュボールを作るそうだ。冒険者はフィッシュボール必需品の製作を頼まれた。「フィッシュボール必需品素材」をもとに、「フィッシュボール必需品」を製作し、オールド・シャーレアンのラストスタンドにいる「デブロイ」に納品しよう。※「フィッシュボール必需品素材」を失った場合は、ディコンに話しかけましょう。材料を入手し、再挑戦が可能になります。			デブロイと話した。彼女はシャーレアンの郷土料理、フィッシュボールを作るそうだ。冒険者はフィッシュボール必需品の製作を頼まれた。「フィッシュボール必需品素材」をもとに、「フィッシュボール必需品」を製作し、オールド・シャーレアンのラストスタンドにいる「デブロイ」に納品しよう。※「フィッシュボール必需品素材」を失った場合は、ディコンに話しかけましょう。材料を入手し、再挑戦が可能になります。			シャーレアンの食文化							
デブロイにフィッシュボール必需品を渡した。フィッシュボールを食べたガルヴロッシュは、思わず笑顔を見せて、メルヴィンとの過去を語るのだった。工匠殿に戻り「デブロイ」と話そう。			デブロイにフィッシュボール必需品を渡した。フィッシュボールを食べたガルヴロッシュは、思わず笑顔を見せて、メルヴィンとの過去を語るのだった。工匠殿に戻り「デブロイ」と話そう。			シャーレアンの食文化							
デブロイと話した。彼女はこれからも医学部の学生として、そしてラストスタンドの従業員として、シャーレアンに美食の文化を広めていくと誓うのだった。			デブロイと話した。彼女はこれからも医学部の学生として、そしてラストスタンドの従業員として、シャーレアンに美食の文化を広めていくと誓うのだった。			シャーレアンの食文化							
デブロイと話す			デブロイと話す			シャーレアンの食文化							
デブロイと再度話す			デブロイと再度話す			シャーレアンの食文化							
デブロイとさらに話す			デブロイとさらに話す			シャーレアンの食文化							
製作手帳 魔法大学取引：フィッシュボール必需品を製作デブロイにフィッシュボール必需品を納品			製作手帳 魔法大学取引：フィッシュボール必需品を製作デブロイにフィッシュボール必需品を納品			シャーレアンの食文化							
デブロイと話す			デブロイと話す			シャーレアンの食文化							
同志Forename、お待ちしていましたよ。ついに、哲学者議会による完全食の品評会が開催されます！			同志Forename、お待ちしていましたよ。ついに、哲学者議会による完全食の品評会が開催されます！			シャーレアンの食文化							
私はメルヴィンブレッドが採用されると信じています。品評会は「哲学者の広場」で開かれるので、胸を張って向かいましょう！			私はメルヴィンブレッドが採用されると信じています。品評会は「哲学者の広場」で開かれるので、胸を張って向かいましょう！			シャーレアンの食文化							
この議事堂を前にすると、さすがに緊張してきますね……。それでは、品評会に臨みましょう！			この議事堂を前にすると、さすがに緊張してきますね……。それでは、品評会に臨みましょう！			シャーレアンの食文化							
皆様、お集まりいただきありがとうございます。これより、哲学者議会・食品安全委員会による、「完全食」選定品評会を開催いたします。			皆様、お集まりいただきありがとうございます。これより、哲学者議会・食品安全委員会による、「完全食」選定品評会を開催いたします。			シャーレアンの食文化							
ご存じのとおり、この「完全食」は、食料供給に問題が生じたケースを想定した非常食であります。			ご存じのとおり、この「完全食」は、食料供給に問題が生じたケースを想定した非常食であります。			シャーレアンの食文化							
ラヴィリンソスで生産可能な食材のみを用い、生存に必要な、すべての栄養を摂取可能な食品を作ることが目的。さて、試作品が2点提出されているのですが……			ラヴィリンソスで生産可能な食材のみを用い、生存に必要な、すべての栄養を摂取可能な食品を作ることが目的。さて、試作品が2点提出されているのですが……			シャーレアンの食文化							
ひとつ目は、ガルヴロッシュ教授による、「ヘルスブレッド」……。			ひとつ目は、ガルヴロッシュ教授による、「ヘルスブレッド」……。			シャーレアンの食文化							
ふたつ目は、医学生デブロイによる、「メルヴィンブレッド」……。			ふたつ目は、医学生デブロイによる、「メルヴィンブレッド」……。			シャーレアンの食文化							
食品安全委員会として、これら2点のいずれを採用するか、栄養価の測定と試食を行った後、審議に入りたいと思います。			食品安全委員会として、これら2点のいずれを採用するか、栄養価の測定と試食を行った後、審議に入りたいと思います。			シャーレアンの食文化							
測定の結果、栄養価は横並びで、どちらも基準を満たしていた。ヘルスブレッドもメルヴィンブレッドも、栄養摂取を目的とする完全食として、ひとまず合格だ。			測定の結果、栄養価は横並びで、どちらも基準を満たしていた。ヘルスブレッドもメルヴィンブレッドも、栄養摂取を目的とする完全食として、ひとまず合格だ。			シャーレアンの食文化							
栄養価が同じだとすると、違いはその味のみとなります。ヘルスブレッドはお世辞にも美味とは言い難いですがメルヴィンブレッドはとてもおいしかった。			栄養価が同じだとすると、違いはその味のみとなります。ヘルスブレッドはお世辞にも美味とは言い難いですがメルヴィンブレッドはとてもおいしかった。			シャーレアンの食文化							
そうなると、美食という付加価値が付いた、メルヴィンブレッドを採用するのが道理でありましょう。			そうなると、美食という付加価値が付いた、メルヴィンブレッドを採用するのが道理でありましょう。			シャーレアンの食文化							
お待ちください。確かにメルヴィンブレッドに比べ、我がヘルスブレッドは味では劣っています。			お待ちください。確かにメルヴィンブレッドに比べ、我がヘルスブレッドは味では劣っています。			シャーレアンの食文化							
しかし、製作効率という面ではどうでしょう？			しかし、製作効率という面ではどうでしょう？			シャーレアンの食文化							
メルヴィンブレッドは味のために、甘味料や油脂を添付し、酵母にまでこだわった結果、手間ひまがかかっております。			メルヴィンブレッドは味のために、甘味料や油脂を添付し、酵母にまでこだわった結果、手間ひまがかかっております。			シャーレアンの食文化							
その点、我がヘルスブレッドは、徹底した効率化により、簡易かつ迅速に製造できます。			その点、我がヘルスブレッドは、徹底した効率化により、簡易かつ迅速に製造できます。			シャーレアンの食文化							
どうか、冷静に考え直してみてください。そもそも、有事の際に美食など必要でしょうか……？			どうか、冷静に考え直してみてください。そもそも、有事の際に美食など必要でしょうか……？			シャーレアンの食文化							
確かにそれは頷けます。製作効率というところを見逃していました。			確かにそれは頷けます。製作効率というところを見逃していました。			シャーレアンの食文化							
完全食の配給が必要な事態となれば、食料生産に対する手間は、簡素であるにこしたことはない。効率を重視するとなれば、ヘルスブレッドに軍配が上がろうな。			完全食の配給が必要な事態となれば、食料生産に対する手間は、簡素であるにこしたことはない。効率を重視するとなれば、ヘルスブレッドに軍配が上がろうな。			シャーレアンの食文化							
(-？？？？-)お待ちなさい……！			(-？？？？-)お待ちなさい……！			シャーレアンの食文化							
これは、フロギュステール様。わざわざ、お越しくださったのですね。			これは、フロギュステール様。わざわざ、お越しくださったのですね。			シャーレアンの食文化							
隠居の身ではあるが、「完全食」と聞いて気になってな。			隠居の身ではあるが、「完全食」と聞いて気になってな。			シャーレアンの食文化							
あ、あなたは……！			あ、あなたは……！			シャーレアンの食文化							
メルヴィンブレッド、とてもおいしかったよ。			メルヴィンブレッド、とてもおいしかったよ。			シャーレアンの食文化							
さて、シャーレアンでは、とかく美食が軽視されがちだ。それは何故かと問われれば、美食の追求が道楽であり、非効率であると思われているがゆえ……。			さて、シャーレアンでは、とかく美食が軽視されがちだ。それは何故かと問われれば、美食の追求が道楽であり、非効率であると思われているがゆえ……。			シャーレアンの食文化							
だが、疲れたときに甘い茶を欲するのは、身体が糖分を求めてのことであり、好みの問題ではない。			だが、疲れたときに甘い茶を欲するのは、身体が糖分を求めてのことであり、好みの問題ではない。			シャーレアンの食文化							
さらには、その文化、あるいは暮らしと言い換えてもいい……そこで受容されてきた味が、安心感を与え、心を落ち着かせる効果があるのを知っているだろうか？			さらには、その文化、あるいは暮らしと言い換えてもいい……そこで受容されてきた味が、安心感を与え、心を落ち着かせる効果があるのを知っているだろうか？			シャーレアンの食文化							
家庭の味に懐かしさを覚えるのも、そのひとつだ。私は思索に行き詰まったときにラストスタンドで一服するが、それもリラックス効果を求めてのこと。			家庭の味に懐かしさを覚えるのも、そのひとつだ。私は思索に行き詰まったときにラストスタンドで一服するが、それもリラックス効果を求めてのこと。			シャーレアンの食文化							
このように、味覚には単なる快楽を超えた重要な役割がある。では、有事に陥ったとき、毎日、口にする味として、君たちはどちらが良いと考える？			このように、味覚には単なる快楽を超えた重要な役割がある。では、有事に陥ったとき、毎日、口にする味として、君たちはどちらが良いと考える？			シャーレアンの食文化							
生存を脅かされるような危機的状況、心理的な圧迫を前に、顔をしかめるような味で、心を落ち着かせることはできるだろうか？			生存を脅かされるような危機的状況、心理的な圧迫を前に、顔をしかめるような味で、心を落ち着かせることはできるだろうか？			シャーレアンの食文化							
正直……ヘルスブレッドを毎日食べることを想像すると、心を穏やかに保てる気はしない。その結果、危機に対する判断に誤りが生じたら……			正直……ヘルスブレッドを毎日食べることを想像すると、心を穏やかに保てる気はしない。その結果、危機に対する判断に誤りが生じたら……			シャーレアンの食文化							
そうですね……たとえ手間ひまかかろうとも、美味しいものを食べて、心を落ち着かせた方が冷静になれます。結果的にその方が効率的かもしれません。			そうですね……たとえ手間ひまかかろうとも、美味しいものを食べて、心を落ち着かせた方が冷静になれます。結果的にその方が効率的かもしれません。			シャーレアンの食文化							
それでは、フロギュステール様のご意見も参考にして、投票による最終審査に移りましょう。			それでは、フロギュステール様のご意見も参考にして、投票による最終審査に移りましょう。			シャーレアンの食文化							
結果を発表いたします。			結果を発表いたします。			シャーレアンの食文化							
ヘルスブレッド、1票、メルヴィンブレッド、5票、よって、医学生デブロイの試作品を完全食として採用します！			ヘルスブレッド、1票、メルヴィンブレッド、5票、よって、医学生デブロイの試作品を完全食として採用します！			シャーレアンの食文化							
教授、これもあなたの研究のおかげで……			教授、これもあなたの研究のおかげで……			シャーレアンの食文化							
やりましたね、同志Forename！一時はヒヤッとしましたが、あのラストスタンドの常連さんが、元哲学者議会の有力議員だったなんて……。			やりましたね、同志Forename！一時はヒヤッとしましたが、あのラストスタンドの常連さんが、元哲学者議会の有力議員だったなんて……。			シャーレアンの食文化							
これで、すべて終わったわけですが、すみません、最後にひとつだけお願いさせてください。			これで、すべて終わったわけですが、すみません、最後にひとつだけお願いさせてください。			シャーレアンの食文化							
ガルヴロッシュ教授はお堅い人ですが、決して悪人ではない。完全食が採用されず落ち込んでいる教授を、料理で元気付けてあげたくて……力を貸してほしいんです。			ガルヴロッシュ教授はお堅い人ですが、決して悪人ではない。完全食が採用されず落ち込んでいる教授を、料理で元気付けてあげたくて……力を貸してほしいんです。			シャーレアンの食文化							
何と言う？			何と言う？			シャーレアンの食文化							
わかった			わかった			シャーレアンの食文化							
腕を振るおう			腕を振るおう			シャーレアンの食文化							
ありがとうございます！さっそく「ラストスタンド」に向かいましょう！			ありがとうございます！さっそく「ラストスタンド」に向かいましょう！			シャーレアンの食文化							
よう、ガルヴロッシュ教授の鼻を明かしてやったようだな！シャーレアンの食文化を守ってくれてありがとよ！			よう、ガルヴロッシュ教授の鼻を明かしてやったようだな！シャーレアンの食文化を守ってくれてありがとよ！			シャーレアンの食文化							
さて、ガルヴロッシュ教授のために用意する料理ですが、シャーレアンの郷土料理、フィッシュボールにしようと思います。			さて、ガルヴロッシュ教授のために用意する料理ですが、シャーレアンの郷土料理、フィッシュボールにしようと思います。			シャーレアンの食文化							
ディコン店長から聞いたのですが……メルヴィンさんとガルヴロッシュ教授が学生時代に、好んで食べていた料理なんだそうです。			ディコン店長から聞いたのですが……メルヴィンさんとガルヴロッシュ教授が学生時代に、好んで食べていた料理なんだそうです。			シャーレアンの食文化							
白身魚の身とオニオンをペースト状になるまですり潰し、そこにミルクやペッパーを加えてよく練り、さらに小麦粉を足して楕円形に丸めてアツアツの油に……			白身魚の身とオニオンをペースト状になるまですり潰し、そこにミルクやペッパーを加えてよく練り、さらに小麦粉を足して楕円形に丸めてアツアツの油に……			シャーレアンの食文化							
って、すみません……簡潔に述べましょう。			って、すみません……簡潔に述べましょう。			シャーレアンの食文化							
あなたには魚のすり身を揚げるための、上質な油を作ってもらいたい。油の質によって、仕上がりが大きく変わるのです。			あなたには魚のすり身を揚げるための、上質な油を作ってもらいたい。油の質によって、仕上がりが大きく変わるのです。			シャーレアンの食文化							
あなたにはフィッシュボールの要ともいえる、魚のすり身を作ってもらいたい。			あなたにはフィッシュボールの要ともいえる、魚のすり身を作ってもらいたい。			シャーレアンの食文化							
ほかの工程は私に任せてください。素材がなくなったときは、ディコン店長が渡してくれます。			ほかの工程は私に任せてください。素材がなくなったときは、ディコン店長が渡してくれます。			シャーレアンの食文化							
美味いフィッシュボールを作って、ガルヴロッシュ教授に、あっと言わせてやろうぜ！			美味いフィッシュボールを作って、ガルヴロッシュ教授に、あっと言わせてやろうぜ！			シャーレアンの食文化							
それでは、「フィッシュボール必需品」の製作、どうかよろしくお願いします！			それでは、「フィッシュボール必需品」の製作、どうかよろしくお願いします！			シャーレアンの食文化							
素材がなくなったら、持っていくといい。あんたの腕ならきっといいものができるだろうな！			素材がなくなったら、持っていくといい。あんたの腕ならきっといいものができるだろうな！			シャーレアンの食文化							
「フィッシュボール必需品」が完成したようだな。さあ、早くデブロイに渡してやってくれ。			「フィッシュボール必需品」が完成したようだな。さあ、早くデブロイに渡してやってくれ。			シャーレアンの食文化							
こちらの準備はばっちりですよ！「フィッシュボール必需品」は完成しましたでしょうか？			こちらの準備はばっちりですよ！「フィッシュボール必需品」は完成しましたでしょうか？			シャーレアンの食文化							
どうもありがとうございます！これなら、きっと美味しいフィッシュボールができます。仕上げは私にお任せください！			どうもありがとうございます！これなら、きっと美味しいフィッシュボールができます。仕上げは私にお任せください！			シャーレアンの食文化							
ガルヴロッシュ教授もお店に呼んであるので、思い出の味を食べて、元気を出してもらいましょう！			ガルヴロッシュ教授もお店に呼んであるので、思い出の味を食べて、元気を出してもらいましょう！			シャーレアンの食文化							
ふん……こんなところに呼び出すとは、君たちは、敗者をあざ笑うつもりか？			ふん……こんなところに呼び出すとは、君たちは、敗者をあざ笑うつもりか？			シャーレアンの食文化							
教授、私たちはあなたにお料理を振る舞いたいだけです。どうか、何も言わずに食べてください。			教授、私たちはあなたにお料理を振る舞いたいだけです。どうか、何も言わずに食べてください。			シャーレアンの食文化							
……美味かった。			……美味かった。			シャーレアンの食文化							
ガルヴロッシュ教授、シャーレアンにも、こんな素朴ながらも美味しい郷土料理があります。決して、この国に美食の文化が存在しなかったわけじゃない。			ガルヴロッシュ教授、シャーレアンにも、こんな素朴ながらも美味しい郷土料理があります。決して、この国に美食の文化が存在しなかったわけじゃない。			シャーレアンの食文化							
栄養素はもちろん重要です。ですが、美味しく感じてこそ消化が促され、身体の力となるのだと……ジャルヴァズ師は教えてくれました。			栄養素はもちろん重要です。ですが、美味しく感じてこそ消化が促され、身体の力となるのだと……ジャルヴァズ師は教えてくれました。			シャーレアンの食文化							
私がかつて、賢人パンを考案したのは、メルヴィンのためだった。研究に没頭するあまり、食事をおろそかにしがちな彼のために、手早く栄養摂取できるものを作ろうとしたのだ。			私がかつて、賢人パンを考案したのは、メルヴィンのためだった。研究に没頭するあまり、食事をおろそかにしがちな彼のために、手早く栄養摂取できるものを作ろうとしたのだ。			シャーレアンの食文化							
しかし、その完成を前に彼は帰らぬ人となった。私は親友を失ったやり場のない憤りを、美食というものにぶつけるしかなかったのだ。			しかし、その完成を前に彼は帰らぬ人となった。私は親友を失ったやり場のない憤りを、美食というものにぶつけるしかなかったのだ。			シャーレアンの食文化							
思えば、メルヴィンが最も愛していたものを憎むとは、お門違いもいいところだな……。			思えば、メルヴィンが最も愛していたものを憎むとは、お門違いもいいところだな……。			シャーレアンの食文化							
そして、今回の件で美食の必要性は否定できなくなった。認めよう……私が間違っていたよ。			そして、今回の件で美食の必要性は否定できなくなった。認めよう……私が間違っていたよ。			シャーレアンの食文化							
これから、私は自分なりの美味しい完全食を研究する。そして、亡き友の名を冠した君たちの完全食、メルヴィンブレッドを超えてみせよう。			これから、私は自分なりの美味しい完全食を研究する。そして、亡き友の名を冠した君たちの完全食、メルヴィンブレッドを超えてみせよう。			シャーレアンの食文化							
いえ、あれは私たちふたりの作品じゃないんです。そもそもメルヴィンブレッドは、教授が開発していた、ヘルスブレッドがベースになっているんですから……。			いえ、あれは私たちふたりの作品じゃないんです。そもそもメルヴィンブレッドは、教授が開発していた、ヘルスブレッドがベースになっているんですから……。			シャーレアンの食文化							
私は、栄養学的に完成していたヘルスブレッドを、Forenameさんのお力を借りつつ、栄養価を損なわぬよう、美味しくしただけです。			私は、栄養学的に完成していたヘルスブレッドを、Forenameさんのお力を借りつつ、栄養価を損なわぬよう、美味しくしただけです。			シャーレアンの食文化							
メルヴィンブレッドは、私とForenameさんだけでなく、ガルヴロッシュ教授の作品でもあるんです……！			メルヴィンブレッドは、私とForenameさんだけでなく、ガルヴロッシュ教授の作品でもあるんです……！			シャーレアンの食文化							
