ラストスタンドのグ・ラハ・ティアは、冒険者の返事が気になるようだ。			ラストスタンドのグ・ラハ・ティアは、冒険者の返事が気になるようだ。			明日への一歩							
ライナさんもチャイ・ヌズさんも、行動する前に相手のことを第一に考えていて……私も見習いたいと思います。			ライナさんもチャイ・ヌズさんも、行動する前に相手のことを第一に考えていて……私も見習いたいと思います。			英雄は奔走する							
お前がここの人々に信頼されていることは、今の会話からだけでも窺い知れた。			お前がここの人々に信頼されていることは、今の会話からだけでも窺い知れた。			英雄は奔走する							
サンクレッドのおかげで、それくらいはわかるようになったよ。			サンクレッドのおかげで、それくらいはわかるようになったよ。			英雄は奔走する							
えっ……？ゼロさんは、サンクレッドに会ったんですか？			えっ……？ゼロさんは、サンクレッドに会ったんですか？			英雄は奔走する							
あ、いえ、今話すようなことじゃありませんでしたね。気にしないでください。			あ、いえ、今話すようなことじゃありませんでしたね。気にしないでください。			英雄は奔走する							
ではさっそく……樹梢の層、樹幹の層、廃船街で、それぞれ市民たちと話してみましょう！			ではさっそく……樹梢の層、樹幹の層、廃船街で、それぞれ市民たちと話してみましょう！			英雄は奔走する							
何をする？			何をする？			英雄は奔走する							
話す			話す			英雄は奔走する							
同行状態を解除する			同行状態を解除する			英雄は奔走する							
キャンセル			キャンセル			英雄は奔走する							
狭く隔離された土地に、高くそびえる豪奢な楼閣。この街からは、どこか妖異の領域に似たものを感じる。			狭く隔離された土地に、高くそびえる豪奢な楼閣。この街からは、どこか妖異の領域に似たものを感じる。			英雄は奔走する							
己の心に焼きついた、幸福な記憶の影……そんな郷愁を込めて作られた場所に違いない。			己の心に焼きついた、幸福な記憶の影……そんな郷愁を込めて作られた場所に違いない。			英雄は奔走する							
クリスタリウムからはそういった印象を受けなかった。同じ世界でも「領域の主」によって、こうも変わるものなんだな。			クリスタリウムからはそういった印象を受けなかった。同じ世界でも「領域の主」によって、こうも変わるものなんだな。			英雄は奔走する							
私はクリスタリウムに住まいをいただいてますが、たまにユールモアを訪れることもあります。			私はクリスタリウムに住まいをいただいてますが、たまにユールモアを訪れることもあります。			英雄は奔走する							
私はクリスタリウムに住まいをいただいてますが、たまにガイアと一緒にユールモアを訪れることもあります。			私はクリスタリウムに住まいをいただいてますが、たまにガイアと一緒にユールモアを訪れることもあります。			英雄は奔走する							
そのたびに、街の雰囲気が、明るく変わっていってるのを実感するんです。			そのたびに、街の雰囲気が、明るく変わっていってるのを実感するんです。			英雄は奔走する							
この街を、ヴァウスリーがいたころに戻すわけにはいきません。不安が生じないよう、みなさんと話しましょう！			この街を、ヴァウスリーがいたころに戻すわけにはいきません。不安が生じないよう、みなさんと話しましょう！			英雄は奔走する							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			英雄は奔走する							
別の用事でもあるのか？それは構わないが、私はなにもすることがない。さっき皆で話していた場所で待っているぞ。			別の用事でもあるのか？それは構わないが、私はなにもすることがない。さっき皆で話していた場所で待っているぞ。			英雄は奔走する							
ほかに行く場所があるんですか？でしたら、「エーテライト・プラザ」でお待ちしてますね！			ほかに行く場所があるんですか？でしたら、「エーテライト・プラザ」でお待ちしてますね！			英雄は奔走する							
戻ってきたか。それじゃ行くぞ。			戻ってきたか。それじゃ行くぞ。			英雄は奔走する							
ほかの用事は、もういいんですか？それでは、行きましょう。			ほかの用事は、もういいんですか？それでは、行きましょう。			英雄は奔走する							
「キャバレー・ビーハイヴ」について話す			「キャバレー・ビーハイヴ」について話す			英雄は奔走する							
「廃船街」について話す			「廃船街」について話す			英雄は奔走する							
ここは酒場のようだが、壇上にある、あの細い柱はいったい……？			ここは酒場のようだが、壇上にある、あの細い柱はいったい……？			英雄は奔走する							
ああ、踊りとは、見る者の魂を震わせるものだったな。ならば、柱を軸としたあの動きは、棒状の得物による戦いの演舞、か。			ああ、踊りとは、見る者の魂を震わせるものだったな。ならば、柱を軸としたあの動きは、棒状の得物による戦いの演舞、か。			英雄は奔走する							
かつて脅威に晒された世界だからこそ、こういった実利的な娯楽が好まれるというわけだな。			かつて脅威に晒された世界だからこそ、こういった実利的な娯楽が好まれるというわけだな。			英雄は奔走する							
酒場、ですか……。そういえば、サンクレッドから聞いたことがあります。現実逃避の手段のひとつとして、お酒を求める人もいると。			酒場、ですか……。そういえば、サンクレッドから聞いたことがあります。現実逃避の手段のひとつとして、お酒を求める人もいると。			英雄は奔走する							
この場所も当初は、酔うことで罪喰いの恐怖を忘れるために作られたのでしょう。今は純粋に楽しむために訪れる人が多そうですけど。			この場所も当初は、酔うことで罪喰いの恐怖を忘れるために作られたのでしょう。今は純粋に楽しむために訪れる人が多そうですけど。			英雄は奔走する							
わ、私にはまだちょっと早いのかな、って思います……！			わ、私にはまだちょっと早いのかな、って思います……！			英雄は奔走する							
この一角は瓦礫が多いようだが、片付けをしているアレは、妖異……ではないか。			この一角は瓦礫が多いようだが、片付けをしているアレは、妖異……ではないか。			英雄は奔走する							
いや、妖異の中には、石を依り代にする者もいるからな。どことなく似た印象を受けたんだが……。			いや、妖異の中には、石を依り代にする者もいるからな。どことなく似た印象を受けたんだが……。			英雄は奔走する							
ガレマルドで見た機械仕掛けの人形といい、いろいろな存在が作られ、利用されているんだな。			ガレマルドで見た機械仕掛けの人形といい、いろいろな存在が作られ、利用されているんだな。			英雄は奔走する							
ヴァウスリー失脚の前後に起こった騒動で、自由市民にも、少なからぬ被害が出たと聞きます。			ヴァウスリー失脚の前後に起こった騒動で、自由市民にも、少なからぬ被害が出たと聞きます。			英雄は奔走する							
そうして所有者がいなくなった資産の一部を財源に、ここ廃船街の修繕や改築を進めているのだとか。			そうして所有者がいなくなった資産の一部を財源に、ここ廃船街の修繕や改築を進めているのだとか。			英雄は奔走する							
すべての人を都市内に収容できない以上、周辺の住環境を、改善していく必要がありますからね。			すべての人を都市内に収容できない以上、周辺の住環境を、改善していく必要がありますからね。			英雄は奔走する							
ん？あんたどこかで見たことがあるような……？			ん？あんたどこかで見たことがあるような……？			英雄は奔走する							
おや、後ろを気にされて、どうかしましたか？どなたかお連れの方でも……？			おや、後ろを気にされて、どうかしましたか？どなたかお連れの方でも……？			英雄は奔走する							
ダメだ、呑まなきゃやってられないよ……。			ダメだ、呑まなきゃやってられないよ……。			英雄は奔走する							
このクエストを進行させるには、ゼロとリーンが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			このクエストを進行させるには、ゼロとリーンが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			英雄は奔走する							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			英雄は奔走する							
あれ、あんたもしかして「闇の戦士」様？なんでこんなところに……。			あれ、あんたもしかして「闇の戦士」様？なんでこんなところに……。			英雄は奔走する							
へぇ、あんたの故郷も大変なんだな。そんなら何か手助けを必要としてるんじゃないか？			へぇ、あんたの故郷も大変なんだな。そんなら何か手助けを必要としてるんじゃないか？			英雄は奔走する							
まだまだ復興が始まったばかりで危なっかしいけどさ、以前の、光に怯えていたころの俺らとは違う。力になるから、なんでも言ってくれよな！			まだまだ復興が始まったばかりで危なっかしいけどさ、以前の、光に怯えていたころの俺らとは違う。力になるから、なんでも言ってくれよな！			英雄は奔走する							
いつまでも光に怯えてちゃ、復興も進まねぇからな。俺らにできることなら、なんでも言ってくれよ！			いつまでも光に怯えてちゃ、復興も進まねぇからな。俺らにできることなら、なんでも言ってくれよ！			英雄は奔走する							
これは、「闇の戦士」様、それに光の巫女殿ではありませんか。何か御用ですか？			これは、「闇の戦士」様、それに光の巫女殿ではありませんか。何か御用ですか？			英雄は奔走する							
なんと、貴殿の故郷が敵の脅威に晒されている……！？この街が辿った歴史に鑑みれば、遠い地の出来事だとはとても思えません。			なんと、貴殿の故郷が敵の脅威に晒されている……！？この街が辿った歴史に鑑みれば、遠い地の出来事だとはとても思えません。			英雄は奔走する							
しかし、あの強大な光をもつ大罪喰いですらも、討ち倒すことができたのです。皆で力を合わせれば、どのような局面も打開できましょう！			しかし、あの強大な光をもつ大罪喰いですらも、討ち倒すことができたのです。皆で力を合わせれば、どのような局面も打開できましょう！			英雄は奔走する							
以前は敵対していたクリスタリウムとも、良好な関係を築けています。皆で力を合わせれば、どのような局面も打開できましょう！			以前は敵対していたクリスタリウムとも、良好な関係を築けています。皆で力を合わせれば、どのような局面も打開できましょう！			英雄は奔走する							
まったく……明日のことなど知るかと遊び呆けてきたのに。急に平和になってしまったものだから、明日のことが不安で仕方ないんだ。			まったく……明日のことなど知るかと遊び呆けてきたのに。急に平和になってしまったものだから、明日のことが不安で仕方ないんだ。			英雄は奔走する							
ええっ、あんたの故郷が滅びるかどうかの瀬戸際だって？それなのに、こんな酒場をほっつき歩いてていいのかい！？			ええっ、あんたの故郷が滅びるかどうかの瀬戸際だって？それなのに、こんな酒場をほっつき歩いてていいのかい！？			英雄は奔走する							
いや、わざわざその話をしてくれたくらいだ、こういう場所にすら、何か希望を探しにきたに違いない。そうだよな……嘆いてないで行動あるのみだ！			いや、わざわざその話をしてくれたくらいだ、こういう場所にすら、何か希望を探しにきたに違いない。そうだよな……嘆いてないで行動あるのみだ！			英雄は奔走する							
このままじっとしていても、何も変わらないもんな。不安に負けず、前に進んでみるよ。だからあんたも、がんばってくれ！			このままじっとしていても、何も変わらないもんな。不安に負けず、前に進んでみるよ。だからあんたも、がんばってくれ！			英雄は奔走する							
市民たちの様子はどうだった？以前のユールモアからは想像できないくらい、皆、前向きだったのではないか？			市民たちの様子はどうだった？以前のユールモアからは想像できないくらい、皆、前向きだったのではないか？			英雄は奔走する							
光が怖くなくなったわけじゃないけれど……Forenameちゃんのためなら、みんな応援してくれるはずだわ！			光が怖くなくなったわけじゃないけれど……Forenameちゃんのためなら、みんな応援してくれるはずだわ！			英雄は奔走する							
む、リーンたちは一緒ではないのか？問題ないようなら、こちらへ連れてきてくれ。			む、リーンたちは一緒ではないのか？問題ないようなら、こちらへ連れてきてくれ。			英雄は奔走する							
そうか、やはり市民の皆も、お前の手助けをしたいという想いは一緒だな。			そうか、やはり市民の皆も、お前の手助けをしたいという想いは一緒だな。			英雄は奔走する							
Forenameちゃんが、故郷を救うために街中を駆け回っているらしいって、誰かが話しているのが聞こえてきたわ。			Forenameちゃんが、故郷を救うために街中を駆け回っているらしいって、誰かが話しているのが聞こえてきたわ。			英雄は奔走する							
元首代行の読みどおり……さっそく噂が広まり始めているようだな。			元首代行の読みどおり……さっそく噂が広まり始めているようだな。			英雄は奔走する							
あとは、市民たちを集めて、光の力を用いることを、私の口から説明するだけか……。			あとは、市民たちを集めて、光の力を用いることを、私の口から説明するだけか……。			英雄は奔走する							
まがりなりにも元首代行なのだから、皆の信頼に応えるためにも、やり遂げてみせよう。あとのことは任せてくれ。			まがりなりにも元首代行なのだから、皆の信頼に応えるためにも、やり遂げてみせよう。あとのことは任せてくれ。			英雄は奔走する							
(-？？？？-)あの……もしかしてキミは、オレを助けてくれた少女では？			(-？？？？-)あの……もしかしてキミは、オレを助けてくれた少女では？			英雄は奔走する							
おお、やはり！覚えてるかな、オレ、メオルを食べていたせいで、ヴァウスリーに心を操られてしまって……。			おお、やはり！覚えてるかな、オレ、メオルを食べていたせいで、ヴァウスリーに心を操られてしまって……。			英雄は奔走する							
けど、キミが治療してくれたおかげで、こうして立ち直れたんだよ。			けど、キミが治療してくれたおかげで、こうして立ち直れたんだよ。			英雄は奔走する							
あのときの……！お元気そうで、なによりです！			あのときの……！お元気そうで、なによりです！			英雄は奔走する							
オレを助けてくれたのは、光の巫女だったと人づてに聞いて、もしまた会えたら、礼を言いたいと思っていたんだ。			オレを助けてくれたのは、光の巫女だったと人づてに聞いて、もしまた会えたら、礼を言いたいと思っていたんだ。			英雄は奔走する							
光の氾濫を食い止めるほどの力を持った人なら、あれくらい、容易いことだったのかもしれないが……本当に助かった、ありがとう！			光の氾濫を食い止めるほどの力を持った人なら、あれくらい、容易いことだったのかもしれないが……本当に助かった、ありがとう！			英雄は奔走する							
今の男が言っていた、メオルとは何だ？			今の男が言っていた、メオルとは何だ？			英雄は奔走する							
罪喰い……肉体が光に染まった異形を材料とした食物だって？			罪喰い……肉体が光に染まった異形を材料とした食物だって？			英雄は奔走する							
……なるほど、そんなものを喰っていれば、自我を保てなくなるのも道理だ。			……なるほど、そんなものを喰っていれば、自我を保てなくなるのも道理だ。			英雄は奔走する							
ヴァウスリーには、罪喰いを操る力がありました。それで、メオルを食べた人は、彼の支配を受けることになってしまったんです……。			ヴァウスリーには、罪喰いを操る力がありました。それで、メオルを食べた人は、彼の支配を受けることになってしまったんです……。			英雄は奔走する							
幸い、私が光の力を制御して、心を縛る術をほどいたことで、なんとか治療できました。今では、身体に影響も残っていません。			幸い、私が光の力を制御して、心を縛る術をほどいたことで、なんとか治療できました。今では、身体に影響も残っていません。			英雄は奔走する							
簡単に言ってくれるが、それは並大抵のことじゃないぞ。			簡単に言ってくれるが、それは並大抵のことじゃないぞ。			英雄は奔走する							
かつて闇の力に侵された者を大勢見たことがある。あれに似た状態を治療できる能力を持っているとしたら、面倒に巻き込まれることも多かったんじゃないか？			かつて闇の力に侵された者を大勢見たことがある。あれに似た状態を治療できる能力を持っているとしたら、面倒に巻き込まれることも多かったんじゃないか？			英雄は奔走する							
ええ、私ひとりでは背負いきれないほどに……。そのせいで多くの人々の人生に影響を与えてしまいました。			ええ、私ひとりでは背負いきれないほどに……。そのせいで多くの人々の人生に影響を与えてしまいました。			英雄は奔走する							
そのことを理解するほどに、逃げ出したく、投げ出したくなったけど……私には言葉と背中で、進み方を示してくれる人たちがいた。			そのことを理解するほどに、逃げ出したく、投げ出したくなったけど……私には言葉と背中で、進み方を示してくれる人たちがいた。			英雄は奔走する							
だから、こう思えたんです。私も、私にできることからやってみようって。			だから、こう思えたんです。私も、私にできることからやってみようって。			英雄は奔走する							
運命と向き合ったうえで、ただ従うのではなく、自分から進む道を選ぶ……。			運命と向き合ったうえで、ただ従うのではなく、自分から進む道を選ぶ……。			英雄は奔走する							
……強いな、この世界の人間は。			……強いな、この世界の人間は。			英雄は奔走する							
あのときは無我夢中でしたが、みなさんが元気になられて、本当によかったです。			あのときは無我夢中でしたが、みなさんが元気になられて、本当によかったです。			英雄は奔走する							
わざわざユールモアの民のことを気にかけてくれたのだ。あとは私たちが、混乱なく収まるように働きかけよう。			わざわざユールモアの民のことを気にかけてくれたのだ。あとは私たちが、混乱なく収まるように働きかけよう。			英雄は奔走する							
クリスタリウムの自治組織には、此度の気遣い、大きな借りができたな。また折に触れ、こちらからも協力させてもらおう。			クリスタリウムの自治組織には、此度の気遣い、大きな借りができたな。また折に触れ、こちらからも協力させてもらおう。			英雄は奔走する							
ちょっとの間だけでも、お顔が見られて嬉しかったわ。落ち着いたら、また会いにきてちょうだいね！			ちょっとの間だけでも、お顔が見られて嬉しかったわ。落ち着いたら、また会いにきてちょうだいね！			英雄は奔走する							
半妖として生まれた私が、闇の氾濫から逃れ、こうして人の姿を保っているのは、運命的とも言えるだろう。			半妖として生まれた私が、闇の氾濫から逃れ、こうして人の姿を保っているのは、運命的とも言えるだろう。			英雄は奔走する							
だが、そのことに疑問も抱かず、自分に何ができるかを考えようともしなかった……そうしないように、己を閉ざしていたんだ。			だが、そのことに疑問も抱かず、自分に何ができるかを考えようともしなかった……そうしないように、己を閉ざしていたんだ。			英雄は奔走する							
だから今は、考えたい。半妖である私だけにできることが、何かあるはずだと。			だから今は、考えたい。半妖である私だけにできることが、何かあるはずだと。			英雄は奔走する							
必ず見つけてみせるぞ。この世界で。			必ず見つけてみせるぞ。この世界で。			英雄は奔走する							
ベストウェイ・バローのウリエンジェは、ヤ・シュトラと合流したいようだ。			ベストウェイ・バローのウリエンジェは、ヤ・シュトラと合流したいようだ。			ヴォイドの月							
霊水の剣付近のヤ・シュトラと話す			霊水の剣付近のヤ・シュトラと話す			ヴォイドの月							
赤き月の探索地点を調べる			赤き月の探索地点を調べる			ヴォイドの月							
ゼロと話す			ゼロと話す			ヴォイドの月							
ヤ・シュトラからの呼び出しか。			ヤ・シュトラからの呼び出しか。			ヴォイドの月							
あら、ウリエンジェたちは一緒じゃないのかしら？			あら、ウリエンジェたちは一緒じゃないのかしら？			ヴォイドの月							
妙なサボテンにちょっかいを掛けられたりもしたが、錬金術師たちに危害もなく、概ね異常なしだ。お前たちの作業も終わったのか？			妙なサボテンにちょっかいを掛けられたりもしたが、錬金術師たちに危害もなく、概ね異常なしだ。お前たちの作業も終わったのか？			ヴォイドの月							
エスティニアンさんが護ってくれたおかげで、「剣」の修復はバッチリだよ！			エスティニアンさんが護ってくれたおかげで、「剣」の修復はバッチリだよ！			ヴォイドの月							
「剣」の封印機構のことなら……修復して再利用したいという申し出に、私はほんの少しだけ、知識と力を貸したにすぎない。			「剣」の封印機構のことなら……修復して再利用したいという申し出に、私はほんの少しだけ、知識と力を貸したにすぎない。			ヴォイドの月							
この先は貴殿らでやりとげると信じて見守ろう。ヴェーネスが託した未来を歩んでいくのは、ほかならない貴殿らなのだから。			この先は貴殿らでやりとげると信じて見守ろう。ヴェーネスが託した未来を歩んでいくのは、ほかならない貴殿らなのだから。			ヴォイドの月							
無事に「剣」の修復も完了したようですね。レポリットのマシンの配備とあわせて、対妖異防衛網の構築も大詰めを迎えたと言えるでしょう。			無事に「剣」の修復も完了したようですね。レポリットのマシンの配備とあわせて、対妖異防衛網の構築も大詰めを迎えたと言えるでしょう。			ヴォイドの月							
では、急ぎヤ・シュトラと合流を。彼女の号令を以て、ヴォイドゲートを開くとしましょう。			では、急ぎヤ・シュトラと合流を。彼女の号令を以て、ヴォイドゲートを開くとしましょう。			ヴォイドの月							
いよいよだな。			いよいよだな。			ヴォイドの月							
ヤ・シュトラには、マシンの整備と配置について、お伝えしておきました……。			ヤ・シュトラには、マシンの整備と配置について、お伝えしておきました……。			ヴォイドの月							
そして、あなた方がヴォイドへ向かったあとのことは……私たちにお任せください。ゲートと対妖異防衛網の維持に努めましょう。			そして、あなた方がヴォイドへ向かったあとのことは……私たちにお任せください。ゲートと対妖異防衛網の維持に努めましょう。			ヴォイドの月							
マシンの配備、助かったわ。これでゲートを開けるための準備がすべて整った……手順だけ最終確認をしておきましょう。			マシンの配備、助かったわ。これでゲートを開けるための準備がすべて整った……手順だけ最終確認をしておきましょう。			ヴォイドの月							
第一段階として、まずアルフィノたちに連絡。バブイルの塔を再起動し、エーテルの送信を開始する。			第一段階として、まずアルフィノたちに連絡。バブイルの塔を再起動し、エーテルの送信を開始する。			ヴォイドの月							
十分な量のエーテルが月へと到達したら、第二段階に移行。私とウリエンジェで協力して術式を展開し、ヴォイドゲートを開くわ。			十分な量のエーテルが月へと到達したら、第二段階に移行。私とウリエンジェで協力して術式を展開し、ヴォイドゲートを開くわ。			ヴォイドの月							
続く第三段階で、あなたの手も貸して頂戴。私が合図したら「剣」にエーテルを注ぎ込んでほしいの。それをトリガーに防衛網が起動するようにしてあるわ。			続く第三段階で、あなたの手も貸して頂戴。私が合図したら「剣」にエーテルを注ぎ込んでほしいの。それをトリガーに防衛網が起動するようにしてあるわ。			ヴォイドの月							
それじゃあ、みんな……行動開始よ！			それじゃあ、みんな……行動開始よ！			ヴォイドの月							
…………。			…………。			ヴォイドの月							
ゼロは、深く続く大穴を見つめている……。			ゼロは、深く続く大穴を見つめている……。			ヴォイドの月							
ゴルベーザの駒が出てこようが、返り討ちにしてやるさ。			ゴルベーザの駒が出てこようが、返り討ちにしてやるさ。			ヴォイドの月							
監視者の館やベストウェイ・バローもなさそうね。もともと存在していなかったのか、「闇の氾濫」に呑み込まれてしまったのか……。			監視者の館やベストウェイ・バローもなさそうね。もともと存在していなかったのか、「闇の氾濫」に呑み込まれてしまったのか……。			ヴォイドの月							
「闇の氾濫」の影響か、月面は赤く染まっている……。			「闇の氾濫」の影響か、月面は赤く染まっている……。			ヴォイドの月							
どれだけ目をこらしても、生き物や建造物は見えない。荒涼とした大地が、どこまでも広がっている……。			どれだけ目をこらしても、生き物や建造物は見えない。荒涼とした大地が、どこまでも広がっている……。			ヴォイドの月							
神経を研ぎ澄ましてみたものの、自分たちのほかに、何の気配も感じない……。			神経を研ぎ澄ましてみたものの、自分たちのほかに、何の気配も感じない……。			ヴォイドの月							
どうやら、確認できる範囲にアジュダヤはいないようだ。大穴のそばの「ゼロ」と話してみよう。			どうやら、確認できる範囲にアジュダヤはいないようだ。大穴のそばの「ゼロ」と話してみよう。			ヴォイドの月							
ラピス・マナリスの青炎の棘のヴァルシャンは、うつむいている。			ラピス・マナリスの青炎の棘のヴァルシャンは、うつむいている。			ヴリトラの想い							
アルフィノと話す			アルフィノと話す			ヴリトラの想い							
使えそうな容器を探す			使えそうな容器を探す			ヴリトラの想い							
指定地点で木製のタルを使い青燐水入りのタルを入手			指定地点で木製のタルを使い青燐水入りのタルを入手			ヴリトラの想い							
指定地点に青燐水入りのタルを積み込む			指定地点に青燐水入りのタルを積み込む			ヴリトラの想い							
指定地点で待機			指定地点で待機			ヴリトラの想い							
アルフィノと話す			アルフィノと話す			ヴリトラの想い							
カイナッツォ……。気がかりな言葉を遺してくれたものだわ。			カイナッツォ……。気がかりな言葉を遺してくれたものだわ。			ヴリトラの想い							
命の巡りに還ることは、やはり、一部の妖異にとって宿願のようなものなのでしょうね。あんなにも晴れやかに消えていくだなんて……。			命の巡りに還ることは、やはり、一部の妖異にとって宿願のようなものなのでしょうね。あんなにも晴れやかに消えていくだなんて……。			ヴリトラの想い							
姉の手がかりを得たというのに、あいつはなぜ意気消沈しているんだ。			姉の手がかりを得たというのに、あいつはなぜ意気消沈しているんだ。			ヴリトラの想い							
まったく、なんだって奴らは、アジュダヤの眼を使ってこちらに乗り込んできたんだろうな……。			まったく、なんだって奴らは、アジュダヤの眼を使ってこちらに乗り込んできたんだろうな……。			ヴリトラの想い							
「ラピス・マナリス」へ向かうのかい？それならすぐに連れてってやらァ！			「ラピス・マナリス」へ向かうのかい？それならすぐに連れてってやらァ！			ヴリトラの想い							
「ラピス・マナリス」へ向かいますか？			「ラピス・マナリス」へ向かいますか？			ヴリトラの想い							
姉さん……。眼に込められたエーテルまで、こんなに弱々しくなって……。			姉さん……。眼に込められたエーテルまで、こんなに弱々しくなって……。			ヴリトラの想い							
すぐにでもヴォイドに向かいたいが、ゴルベーザの領域がわからなければ、助けようもない。いったいどうしたら……！			すぐにでもヴォイドに向かいたいが、ゴルベーザの領域がわからなければ、助けようもない。いったいどうしたら……！			ヴリトラの想い							
落ち着け、ヴリトラ。			落ち着け、ヴリトラ。			ヴリトラの想い							
動揺は不安を招き、不安が判断を狂わせる。お前には、気持ちを落ち着かせる時間が必要だ。			動揺は不安を招き、不安が判断を狂わせる。お前には、気持ちを落ち着かせる時間が必要だ。			ヴリトラの想い							
ヴォイドでアジュダヤを探す方法を改めて考えるのは、それからでも遅くないはずだぞ。			ヴォイドでアジュダヤを探す方法を改めて考えるのは、それからでも遅くないはずだぞ。			ヴリトラの想い							
あ、ああ……わかった……。			あ、ああ……わかった……。			ヴリトラの想い							
俺はその間、アルフィノたちを手伝ってくる。ここから少し戻った集落跡にいるはずだ。			俺はその間、アルフィノたちを手伝ってくる。ここから少し戻った集落跡にいるはずだ。			ヴリトラの想い							
私たちも行きましょう。			私たちも行きましょう。			ヴリトラの想い							
あら、あなたまで来てくれたの？			あら、あなたまで来てくれたの？			ヴリトラの想い							
ヴリトラのことは放っておいてやれ。			ヴリトラのことは放っておいてやれ。			ヴリトラの想い							
ヴォイドゲートが消失したことで、ガレマルドの妖異問題も収束するでしょうね。			ヴォイドゲートが消失したことで、ガレマルドの妖異問題も収束するでしょうね。			ヴリトラの想い							
アルフィノとアリゼーの手伝いをするのか。ほかに興味を引くようなものもなし、面倒なことでなければ構わない。			アルフィノとアリゼーの手伝いをするのか。ほかに興味を引くようなものもなし、面倒なことでなければ構わない。			ヴリトラの想い							
冷静に……これから何をすべきかを考えるんだ……。			冷静に……これから何をすべきかを考えるんだ……。			ヴリトラの想い							
ヴリトラの姿が見えないようだが、彼の様子は……？			ヴリトラの姿が見えないようだが、彼の様子は……？			ヴリトラの想い							
あいつのことは、少しそっとしておいてやりたくてな。お前たちの用件がまだなら、手を貸そう。			あいつのことは、少しそっとしておいてやりたくてな。お前たちの用件がまだなら、手を貸そう。			ヴリトラの想い							
助かるわ、ありがとう。ひとまずこの洞窟の見回りは済ませたところよ。			助かるわ、ありがとう。ひとまずこの洞窟の見回りは済ませたところよ。			ヴリトラの想い							
ヴォイドゲートが閉じられたからか、やっぱり新たな妖異は出現してないみたい。			ヴォイドゲートが閉じられたからか、やっぱり新たな妖異は出現してないみたい。			ヴリトラの想い							
それで、アルフィノを手伝おうとしてたの。ほら、奥の方で青燐水が湧いていたでしょう？あれを雪上車に積めるだけ積んじゃいたいなって。			それで、アルフィノを手伝おうとしてたの。ほら、奥の方で青燐水が湧いていたでしょう？あれを雪上車に積めるだけ積んじゃいたいなって。			ヴリトラの想い							
暖房にも欠かせない燃料だし、持って帰れたら、きっとみんな喜ぶわ！			暖房にも欠かせない燃料だし、持って帰れたら、きっとみんな喜ぶわ！			ヴリトラの想い							
そういうわけで、放棄された資材の中から使えそうな樽や容器を見つけてね。青燐水を汲みあげようとしているんだ。			そういうわけで、放棄された資材の中から使えそうな樽や容器を見つけてね。青燐水を汲みあげようとしているんだ。			ヴリトラの想い							
じゃあ、ひとまずある分の容器を預かって、汲みあげるとするか。お前たちはもう少し容器を探すといい。			じゃあ、ひとまずある分の容器を預かって、汲みあげるとするか。お前たちはもう少し容器を探すといい。			ヴリトラの想い							
頼もしいよ。できるかぎりの青燐水を持ち帰りたいからね。			頼もしいよ。できるかぎりの青燐水を持ち帰りたいからね。			ヴリトラの想い							
Forename、ヤ・シュトラ。ふたりは私たちと一緒に集落の跡地で、使えそうな容器を探すのを手伝ってくれる？			Forename、ヤ・シュトラ。ふたりは私たちと一緒に集落の跡地で、使えそうな容器を探すのを手伝ってくれる？			ヴリトラの想い							
容器を見つけることができたら、エスティニアンたちに合流して、青燐水を汲みだしてもらえると助かるわ。			容器を見つけることができたら、エスティニアンたちに合流して、青燐水を汲みだしてもらえると助かるわ。			ヴリトラの想い							
君の方は使えそうな入れ物は見つかったかい？見つけ次第、泉で青燐水を汲みあげてもらえると助かるよ。			君の方は使えそうな入れ物は見つかったかい？見つけ次第、泉で青燐水を汲みあげてもらえると助かるよ。			ヴリトラの想い							
うーん、これは使えるかしら？中身が漏れないような、しっかりしたものじゃないと……。			うーん、これは使えるかしら？中身が漏れないような、しっかりしたものじゃないと……。			ヴリトラの想い							
ゼロが自分から協力を申し出てくれて嬉しいわ。少しは、私たちに気を許してくれているのかしらね。			ゼロが自分から協力を申し出てくれて嬉しいわ。少しは、私たちに気を許してくれているのかしらね。			ヴリトラの想い							
破損していて、青燐水を溜められそうにない……。ほかの容器を探してみよう。			破損していて、青燐水を溜められそうにない……。ほかの容器を探してみよう。			ヴリトラの想い							
壊れていない「木製のタル」を発見した！青燐水が湧きだす「フォンス・マナリス」へ向かおう。			壊れていない「木製のタル」を発見した！青燐水が湧きだす「フォンス・マナリス」へ向かおう。			ヴリトラの想い							
燃える水か。これを汲みあげて運ぶくらい、たやすいことだ。			燃える水か。これを汲みあげて運ぶくらい、たやすいことだ。			ヴリトラの想い							
青燐水を汲みあげた！			青燐水を汲みあげた！			ヴリトラの想い							
青燐水を汲めたのなら、雪上車のところまで運べ。車は、モンス・アルバスの山腹に停まったままだそうだ。			青燐水を汲めたのなら、雪上車のところまで運べ。車は、モンス・アルバスの山腹に停まったままだそうだ。			ヴリトラの想い							
エスティニアンも、先に汲んだ分を持って、そちらへ向かっている。			エスティニアンも、先に汲んだ分を持って、そちらへ向かっている。			ヴリトラの想い							
