忘れられた騎士亭のアルドランは、冒険者に任せたい手配書があるようだ。			忘れられた騎士亭のアルドランは、冒険者に任せたい手配書があるようだ。			イシュガルドのリスキーモブ							
ここは「聖大厩舎」です。あら、お届け物ですか？			ここは「聖大厩舎」です。あら、お届け物ですか？			皇都の文化							
ありがとうございます。間違いなく、頼んだチョコボの飼料です。これで食べ盛りのチョコボたちも、満足してくれるでしょう。			ありがとうございます。間違いなく、頼んだチョコボの飼料です。これで食べ盛りのチョコボたちも、満足してくれるでしょう。			皇都の文化							
ここでは、主に騎兵向けの軍用チョコボの、飼育や訓練を行っているのです。			ここでは、主に騎兵向けの軍用チョコボの、飼育や訓練を行っているのです。			皇都の文化							
訓練が厳しいぶん、育ち盛りのチョコボたちには、たっぷり食べさせてあげなくちゃいけませんからね。さっそく、持ってきてくださった飼料を……。			訓練が厳しいぶん、育ち盛りのチョコボたちには、たっぷり食べさせてあげなくちゃいけませんからね。さっそく、持ってきてくださった飼料を……。			皇都の文化							
……あら？　「当番の獣牧士」の姿が見当たりません。おそらく「ライトフェザー闘技場」にいるでしょうから、呼んできてもらえませんか？　シェビリアが怒っていると！			……あら？　「当番の獣牧士」の姿が見当たりません。おそらく「ライトフェザー闘技場」にいるでしょうから、呼んできてもらえませんか？　シェビリアが怒っていると！			皇都の文化							
「当番の獣牧士」の姿が見当たりません。おそらく「ライトフェザー闘技場」にいるでしょうから、呼んできてもらえませんか？			「当番の獣牧士」の姿が見当たりません。おそらく「ライトフェザー闘技場」にいるでしょうから、呼んできてもらえませんか？			皇都の文化							
「当番の獣牧士」を探してるのかい？ああ、あいつなら闘技場の中に入っていったぜ。			「当番の獣牧士」を探してるのかい？ああ、あいつなら闘技場の中に入っていったぜ。			皇都の文化							
「ライトフェザー闘技場」へ入りますか？			「ライトフェザー闘技場」へ入りますか？			皇都の文化							
はい			はい			皇都の文化							
いいえ			いいえ			皇都の文化							
おや、アンタも闘技の開始待ちかい？へへへ、俺もいてもたってもいられなくてね。			おや、アンタも闘技の開始待ちかい？へへへ、俺もいてもたってもいられなくてね。			皇都の文化							
強いチョコボってのは美しいものだ！そんな、何よりも美しいチョコボと俺は出会いたい！だからこそ、聖大厩舎の獣牧士にまで、なっちまってね。			強いチョコボってのは美しいものだ！そんな、何よりも美しいチョコボと俺は出会いたい！だからこそ、聖大厩舎の獣牧士にまで、なっちまってね。			皇都の文化							
……シェビリアが呼んでるって？ってことは飼料が届いたのか！　こうしちゃいられねぇ！チョコボたちに、たんまり食わせてやらなくちゃな！			……シェビリアが呼んでるって？ってことは飼料が届いたのか！　こうしちゃいられねぇ！チョコボたちに、たんまり食わせてやらなくちゃな！			皇都の文化							
当番の獣牧士が戻ってきましたよ。お手数をお掛けしました、ありがとうございます。			当番の獣牧士が戻ってきましたよ。お手数をお掛けしました、ありがとうございます。			皇都の文化							
イシュガルドはチョコボの名産地で、古くからチョコボの軍事利用が盛んなんです。			イシュガルドはチョコボの名産地で、古くからチョコボの軍事利用が盛んなんです。			皇都の文化							
その中でも、ライトフェザー闘技場で行われている試合は、軍事訓練としてだけでなく、市民の娯楽にもなっています。			その中でも、ライトフェザー闘技場で行われている試合は、軍事訓練としてだけでなく、市民の娯楽にもなっています。			皇都の文化							
「ライトフェザー」の名のとおり、「羽根が舞い散る」熱戦は、見ているだけでハラハラドキドキしますからね。			「ライトフェザー」の名のとおり、「羽根が舞い散る」熱戦は、見ているだけでハラハラドキドキしますからね。			皇都の文化							
私は、そうした文化を守りたいんです。寒冷化の影響で、チョコボの繁殖は難しくなってますから、せめて飼育に関しては、どこにも負けないようがんばりますよ！			私は、そうした文化を守りたいんです。寒冷化の影響で、チョコボの繁殖は難しくなってますから、せめて飼育に関しては、どこにも負けないようがんばりますよ！			皇都の文化							
忘れられた騎士亭のジブリオンは、常連客に酒をおごりたいようだ。			忘れられた騎士亭のジブリオンは、常連客に酒をおごりたいようだ。			酔うに酔えない男							
ジブリオンは、常連客に酒をおごりたいようだ。忘れられた騎士亭の階段下にいる「酔うに酔えない男」に、「ホットワイン」を渡そう。			ジブリオンは、常連客に酒をおごりたいようだ。忘れられた騎士亭の階段下にいる「酔うに酔えない男」に、「ホットワイン」を渡そう。			酔うに酔えない男							
酔うに酔えない男にホットワインを届けた。彼は貴族に仕えていたが、その家の婦人が異端者と協力関係にあったということで家が崩壊し、解雇されてしまったようだ。イシュガルド・ランディングにいる「元貴族の旦那」に「ホットワイン」を渡そう。			酔うに酔えない男にホットワインを届けた。彼は貴族に仕えていたが、その家の婦人が異端者と協力関係にあったということで家が崩壊し、解雇されてしまったようだ。イシュガルド・ランディングにいる「元貴族の旦那」に「ホットワイン」を渡そう。			酔うに酔えない男							
元貴族の旦那にホットワインを渡した。もうすぐ飛空艇の搭乗の時間だが、息子の姿がないという。イシュガルド上層で「元貴族の子息」を探そう。			元貴族の旦那にホットワインを渡した。もうすぐ飛空艇の搭乗の時間だが、息子の姿がないという。イシュガルド上層で「元貴族の子息」を探そう。			酔うに酔えない男							
元貴族の子息を見つけた。神聖裁判所は戦神「ハルオーネ」の前で戦うことで「セイギ」を示す場所らしい。元貴族の子息は自分が強ければ、という想いを残したまま去っていった。			元貴族の子息を見つけた。神聖裁判所は戦神「ハルオーネ」の前で戦うことで「セイギ」を示す場所らしい。元貴族の子息は自分が強ければ、という想いを残したまま去っていった。			酔うに酔えない男							
酔うに酔えない男にホットワインを渡す			酔うに酔えない男にホットワインを渡す			酔うに酔えない男							
イシュガルド・ランディングの元貴族の旦那にホットワインを渡す			イシュガルド・ランディングの元貴族の旦那にホットワインを渡す			酔うに酔えない男							
元貴族の子息と話す			元貴族の子息と話す			酔うに酔えない男							
お前さん、ちょっと頼まれてくれるか？階段下で飲んでいる男に、この「ホットワイン」を届けてやっちゃくれないか？			お前さん、ちょっと頼まれてくれるか？階段下で飲んでいる男に、この「ホットワイン」を届けてやっちゃくれないか？			酔うに酔えない男							
ウチの常連客なんだが、最近、仕事を失っちまってなぁ……。傷心のやっこさんに、一杯おごってやりたいのさ。			ウチの常連客なんだが、最近、仕事を失っちまってなぁ……。傷心のやっこさんに、一杯おごってやりたいのさ。			酔うに酔えない男							
ウチの常連客なんだが、最近、仕事を失っちまってなぁ……。傷心のやっこさんに、一杯おごってやりたいのさ。			ウチの常連客なんだが、最近、仕事を失っちまってなぁ……。傷心のやっこさんに、一杯おごってやりたいのさ。			酔うに酔えない男							
なんだって……なんだってこんなことに……。無常すぎるぜ……こんなの……。			なんだって……なんだってこんなことに……。無常すぎるぜ……こんなの……。			酔うに酔えない男							
……ジブリオンの旦那からだって？こいつはありがてぇ……。何もかも……忘れたい気分なんだ……。			……ジブリオンの旦那からだって？こいつはありがてぇ……。何もかも……忘れたい気分なんだ……。			酔うに酔えない男							
つい先日まで、俺はある貴族に仕える騎兵だったんだ。だが、その家の夫人が異端告発されて、すべて変わっちまった。結局、旦那の爵位まで剥奪されて、俺も解雇ってわけよ。			つい先日まで、俺はある貴族に仕える騎兵だったんだ。だが、その家の夫人が異端告発されて、すべて変わっちまった。結局、旦那の爵位まで剥奪されて、俺も解雇ってわけよ。			酔うに酔えない男							
これを飲んで全部忘れちまいたい…………いや、やっぱり止めとこう。いくら飲んでも、今は酔えやしねぇ……。			これを飲んで全部忘れちまいたい…………いや、やっぱり止めとこう。いくら飲んでも、今は酔えやしねぇ……。			酔うに酔えない男							
この「ホットワイン」を、代わりに俺の元主……「元貴族の旦那」様に、餞別として届けてくれないか。まだ「イシュガルド・ランディング」にいるはずだ。			この「ホットワイン」を、代わりに俺の元主……「元貴族の旦那」様に、餞別として届けてくれないか。まだ「イシュガルド・ランディング」にいるはずだ。			酔うに酔えない男							
旦那様は何も知らなかったんだ……あまりに不憫すぎる。せめて今までお世話になった礼をしたいが、顔を見たら、涙がとまらなくなっちまう……頼むよ。			旦那様は何も知らなかったんだ……あまりに不憫すぎる。せめて今までお世話になった礼をしたいが、顔を見たら、涙がとまらなくなっちまう……頼むよ。			酔うに酔えない男							
この「ホットワイン」を俺の元主……「元貴族の旦那」様に、餞別として届けてくれないか。まだ「イシュガルド・ランディング」にいるはずだ。			この「ホットワイン」を俺の元主……「元貴族の旦那」様に、餞別として届けてくれないか。まだ「イシュガルド・ランディング」にいるはずだ。			酔うに酔えない男							
……はて、私に何かご用かな？			……はて、私に何かご用かな？			酔うに酔えない男							
……あの騎兵が私に？そうか、彼にも悪いことをしてしまったな……。異端告発された妻のため、私もできるだけのことはしたのだ。			……あの騎兵が私に？そうか、彼にも悪いことをしてしまったな……。異端告発された妻のため、私もできるだけのことはしたのだ。			酔うに酔えない男							
無罪を勝ち取ろうと「決闘裁判」に挑みもしたが、告発者との戦いに敗れ、妻の有罪が確定してしまった……。すべては何も守れぬほど、私が弱かったことが原因さ。			無罪を勝ち取ろうと「決闘裁判」に挑みもしたが、告発者との戦いに敗れ、妻の有罪が確定してしまった……。すべては何も守れぬほど、私が弱かったことが原因さ。			酔うに酔えない男							
しかし、戦神が下された神判なら、受け入れるしかあるまい。さて、もう搭乗する時間だが……息子はどこに行ったのだ？すまないが、いっしょに探してはくれないだろうか。			しかし、戦神が下された神判なら、受け入れるしかあるまい。さて、もう搭乗する時間だが……息子はどこに行ったのだ？すまないが、いっしょに探してはくれないだろうか。			酔うに酔えない男							
しかし、戦神が下された神判なら、受け入れるしかあるまい。さて、もう搭乗する時間だが……息子はどこに行ったのだ？すまないが、いっしょに探してはくれないだろうか。			しかし、戦神が下された神判なら、受け入れるしかあるまい。さて、もう搭乗する時間だが……息子はどこに行ったのだ？すまないが、いっしょに探してはくれないだろうか。			酔うに酔えない男							
父上が、探しているって？……ありがとう、すぐに行くよ。			父上が、探しているって？……ありがとう、すぐに行くよ。			酔うに酔えない男							
皇都を去る前にね、「神聖裁判所」を見ておきたかったんだ。父上は、ここが戦神「ハルオーネ」の御前で戦って、「セイギ」を示す場所だと言っていたよ……。			皇都を去る前にね、「神聖裁判所」を見ておきたかったんだ。父上は、ここが戦神「ハルオーネ」の御前で戦って、「セイギ」を示す場所だと言っていたよ……。			酔うに酔えない男							
でも、下された「セイギ」は、母上の命を奪った。僕が強かったら、母上のことも助けられたのかな……。			でも、下された「セイギ」は、母上の命を奪った。僕が強かったら、母上のことも助けられたのかな……。			酔うに酔えない男							
……もう行かなくちゃ。呼びにきてくれてありがとう、お姉さんお兄さん。			……もう行かなくちゃ。呼びにきてくれてありがとう、お姉さんお兄さん。			酔うに酔えない男							
フォルタン伯爵邸付近のトルスフェルは、誰に仕事を頼むか迷っているようだ。			フォルタン伯爵邸付近のトルスフェルは、誰に仕事を頼むか迷っているようだ。			四大名家巡り							
トルスフェルから、フォルタン家以外の四大名家に晩餐会の招待状を届ける仕事を請け負った。アインハルト伯爵邸の「バーテロット」に「晩餐会の招待状」を渡そう。			トルスフェルから、フォルタン家以外の四大名家に晩餐会の招待状を届ける仕事を請け負った。アインハルト伯爵邸の「バーテロット」に「晩餐会の招待状」を渡そう。			四大名家巡り							
バーテロットに晩餐会の招待状を渡した。ゼーメル伯爵邸の「ジェヌレット」に「晩餐会の招待状」を渡そう。			バーテロットに晩餐会の招待状を渡した。ゼーメル伯爵邸の「ジェヌレット」に「晩餐会の招待状」を渡そう。			四大名家巡り							
ジェヌレットに晩餐会の招待状を渡した。デュランデル伯爵邸の「フラモンシス」に「晩餐会の招待状」を渡そう。			ジェヌレットに晩餐会の招待状を渡した。デュランデル伯爵邸の「フラモンシス」に「晩餐会の招待状」を渡そう。			四大名家巡り							
フラモンシスに晩餐会の招待状を渡した。フォルタン伯爵邸の「トルスフェル」に報告しよう。			フラモンシスに晩餐会の招待状を渡した。フォルタン伯爵邸の「トルスフェル」に報告しよう。			四大名家巡り							
トルスフェルに報告した。四大名家は常に一枚岩というわけではない。トルスフェルの助言通り、イシュガルドで活動するときはそのことを忘れないようにしよう。			トルスフェルに報告した。四大名家は常に一枚岩というわけではない。トルスフェルの助言通り、イシュガルドで活動するときはそのことを忘れないようにしよう。			四大名家巡り							
アインハルト伯爵邸のバーテロットに晩餐会の招待状を渡す			アインハルト伯爵邸のバーテロットに晩餐会の招待状を渡す			四大名家巡り							
ゼーメル伯爵邸のジェヌレットに晩餐会の招待状を渡す			ゼーメル伯爵邸のジェヌレットに晩餐会の招待状を渡す			四大名家巡り							
デュランデル伯爵邸のフラモンシスに晩餐会の招待状を渡す			デュランデル伯爵邸のフラモンシスに晩餐会の招待状を渡す			四大名家巡り							
トルスフェルに報告			トルスフェルに報告			四大名家巡り							
……なんと、冒険者様が仕事を受けてくださると！？申し訳ありませんが、お言葉に甘えさせていただきます。			……なんと、冒険者様が仕事を受けてくださると！？申し訳ありませんが、お言葉に甘えさせていただきます。			四大名家巡り							
我が家を除く、四大名家の家々を巡り、この「晩餐会の招待状」を届けてください。次回の晩餐会に、各名家のみなさまを、お招きしたいのです。			我が家を除く、四大名家の家々を巡り、この「晩餐会の招待状」を届けてください。次回の晩餐会に、各名家のみなさまを、お招きしたいのです。			四大名家巡り							
むろん当主の方に、直接お渡しすることは難しいでしょう。ですから、それぞれの家を守る門衛に手渡し、招待の旨を伝えるだけで構いません。			むろん当主の方に、直接お渡しすることは難しいでしょう。ですから、それぞれの家を守る門衛に手渡し、招待の旨を伝えるだけで構いません。			四大名家巡り							
我が家を除く、四大名家の家々を巡り、この「晩餐会の招待状」を届けてください。次回の晩餐会に、各名家のみなさまを、お招きしたいのです。			我が家を除く、四大名家の家々を巡り、この「晩餐会の招待状」を届けてください。次回の晩餐会に、各名家のみなさまを、お招きしたいのです。			四大名家巡り							
アインハルト家に何用だ？用件なら、私が承ろう。			アインハルト家に何用だ？用件なら、私が承ろう。			四大名家巡り							
フォルタン家からの「晩餐会の招待状」か。懇意にしていただいているし、ありがたいお誘いであると思う。			フォルタン家からの「晩餐会の招待状」か。懇意にしていただいているし、ありがたいお誘いであると思う。			四大名家巡り							
……しかし、砦の防衛失敗や相次ぐ異端疑惑で、アインハルト伯爵閣下は、苦境に立っておられる。華やかな晩餐会に、出席なさる心のゆとりがあるかは……。			……しかし、砦の防衛失敗や相次ぐ異端疑惑で、アインハルト伯爵閣下は、苦境に立っておられる。華やかな晩餐会に、出席なさる心のゆとりがあるかは……。			四大名家巡り							
いや、すまぬ。今の話は忘れてほしい。「晩餐会の招待状」は、必ずやお館様に届けよう。			いや、すまぬ。今の話は忘れてほしい。「晩餐会の招待状」は、必ずやお館様に届けよう。			四大名家巡り							
「晩餐会の招待状」は、必ずやお館様に届けよう。			「晩餐会の招待状」は、必ずやお館様に届けよう。			四大名家巡り							
ここはゼーメル家の屋敷。用なき者が近づく場所ではない。			ここはゼーメル家の屋敷。用なき者が近づく場所ではない。			四大名家巡り							
フォルタン家からの「晩餐会の招待状」か……。主に必ず届けよう。だが、招待をお受けになるかどうかは保証しかねる。			フォルタン家からの「晩餐会の招待状」か……。主に必ず届けよう。だが、招待をお受けになるかどうかは保証しかねる。			四大名家巡り							
ここ最近は、ファルコンネストの復旧作業の関連で、ゼーメル伯爵閣下はご多忙の身……時間を作るのが難しいのだ。何卒、ご理解いただきたい。			ここ最近は、ファルコンネストの復旧作業の関連で、ゼーメル伯爵閣下はご多忙の身……時間を作るのが難しいのだ。何卒、ご理解いただきたい。			四大名家巡り							
フォルタン家からの「晩餐会の招待状」か……。主に必ず届けよう。			フォルタン家からの「晩餐会の招待状」か……。主に必ず届けよう。			四大名家巡り							
ここはデュランデル家の敷地だが、何か用かな？			ここはデュランデル家の敷地だが、何か用かな？			四大名家巡り							
フォルタン家からの「晩餐会の招待状」？なるほど……何か目論みがあるのか……。			フォルタン家からの「晩餐会の招待状」？なるほど……何か目論みがあるのか……。			四大名家巡り							
黒地の紋章を掲げるフォルタン家とアインハルト家、赤地の紋章を掲げるゼーメル家とデュランデル家では、何かと意見の相違があって、しのぎを削っているんだ。			黒地の紋章を掲げるフォルタン家とアインハルト家、赤地の紋章を掲げるゼーメル家とデュランデル家では、何かと意見の相違があって、しのぎを削っているんだ。			四大名家巡り							
まあいいさ、「晩餐会の招待状」は必ず主に届けるよ。四大名家として、礼儀を欠いては問題があるからね。			まあいいさ、「晩餐会の招待状」は必ず主に届けるよ。四大名家として、礼儀を欠いては問題があるからね。			四大名家巡り							
まあいいさ、「晩餐会の招待状」は必ず主に届けるよ。四大名家として、礼儀を欠いては問題があるからね。			まあいいさ、「晩餐会の招待状」は必ず主に届けるよ。四大名家として、礼儀を欠いては問題があるからね。			四大名家巡り							
晩餐会の招待状を渡していただけたようですね。お手数をお掛けいたしました。			晩餐会の招待状を渡していただけたようですね。お手数をお掛けいたしました。			四大名家巡り							
イシュガルド四大名家は、いずれも建国の英雄……征竜将「ハルドラス」様とともに戦った「十二騎士」の末裔。そして、歴代教皇を輩出してきた名門でもあります。			イシュガルド四大名家は、いずれも建国の英雄……征竜将「ハルドラス」様とともに戦った「十二騎士」の末裔。そして、歴代教皇を輩出してきた名門でもあります。			四大名家巡り							
しかし、それ故にドラゴン族との戦いともなれば団結しますが、互いに権力の場で、しのぎを削り合う間柄でもあるのです。イシュガルドで活動する上で、覚えておくといいでしょうね。			しかし、それ故にドラゴン族との戦いともなれば団結しますが、互いに権力の場で、しのぎを削り合う間柄でもあるのです。イシュガルドで活動する上で、覚えておくといいでしょうね。			四大名家巡り							
イシュガルド・ランディングのクリオは、書類に目を落として困ったように唸っている。			イシュガルド・ランディングのクリオは、書類に目を落として困ったように唸っている。			試験飛行計画中							
クリオから、飛空艇の試験飛行の計画書を届けてほしいと頼まれた。イシュガルドの聖ガンリオル占星院にいる「ジャンヌキナル」に「飛行計画書」を渡そう。			クリオから、飛空艇の試験飛行の計画書を届けてほしいと頼まれた。イシュガルドの聖ガンリオル占星院にいる「ジャンヌキナル」に「飛行計画書」を渡そう。			試験飛行計画中							
ジャンヌキナルに飛行計画書を渡した。ドラゴン族の活動周期と日程が重なっているそうで、修理を急いでほしいとの伝言を頼まれた。イシュガルドのスカイスチール機工房にいる「フロムロー」と話そう。			ジャンヌキナルに飛行計画書を渡した。ドラゴン族の活動周期と日程が重なっているそうで、修理を急いでほしいとの伝言を頼まれた。イシュガルドのスカイスチール機工房にいる「フロムロー」と話そう。			試験飛行計画中							
フロムローと話した。修理を急ぐよう伝えると、できるだけのことはすると答え、そのことをクリオにも伝えるよう頼まれた。イシュガルド・ランディングの「クリオ」に報告しよう。			フロムローと話した。修理を急ぐよう伝えると、できるだけのことはすると答え、そのことをクリオにも伝えるよう頼まれた。イシュガルド・ランディングの「クリオ」に報告しよう。			試験飛行計画中							
クリオに報告した。飛空艇を飛ばすには、さまざまな苦労があるようだ。			クリオに報告した。飛空艇を飛ばすには、さまざまな苦労があるようだ。			試験飛行計画中							
ジャンヌキナルに飛行計画書を渡す			ジャンヌキナルに飛行計画書を渡す			試験飛行計画中							
スカイスチール機工房のフロムローと話す			スカイスチール機工房のフロムローと話す			試験飛行計画中							
イシュガルド・ランディングのクリオに報告			イシュガルド・ランディングのクリオに報告			試験飛行計画中							
ひとつ頼まれごとをきいてくれるか？現在、修理中の物資輸送用飛空艇があるのだが、それの試験飛行計画を立てているんだ。			ひとつ頼まれごとをきいてくれるか？現在、修理中の物資輸送用飛空艇があるのだが、それの試験飛行計画を立てているんだ。			試験飛行計画中							
そのため、安全な航行の段取りを整えなければならなくてね。「聖ガンリオル占星院」に行き、「ジャンヌキナル」に、この「飛行計画書」を渡してほしい。			そのため、安全な航行の段取りを整えなければならなくてね。「聖ガンリオル占星院」に行き、「ジャンヌキナル」に、この「飛行計画書」を渡してほしい。			試験飛行計画中							
「聖ガンリオル占星院」に行き、「ジャンヌキナル」に、その「飛行計画書」を渡してほしい。			「聖ガンリオル占星院」に行き、「ジャンヌキナル」に、その「飛行計画書」を渡してほしい。			試験飛行計画中							
ごきげんうるわしゅう存じます。星々の導きを聞きにこられたのですか？			ごきげんうるわしゅう存じます。星々の導きを聞きにこられたのですか？			試験飛行計画中							
これはこれは、クリオ様の使いでしたか。しかしまた、ギリギリの日取りの計画ですね……。ドラゴン族の活動周期と重なっているようです。			これはこれは、クリオ様の使いでしたか。しかしまた、ギリギリの日取りの計画ですね……。ドラゴン族の活動周期と重なっているようです。			試験飛行計画中							
航行中の飛空艇にとって、ドラゴン族との遭遇は死活問題でしてね。			航行中の飛空艇にとって、ドラゴン族との遭遇は死活問題でしてね。			試験飛行計画中							
星を観測し、ドラゴン族の活動周期を予測する占星術士が、飛空艇の航行予定を確認するのです。			星を観測し、ドラゴン族の活動周期を予測する占星術士が、飛空艇の航行予定を確認するのです。			試験飛行計画中							
しかし、輸送状況を鑑みると、遅らせるのは厳しそうですね。「スカイスチール機工房」の「フロムロー」様に、修理を急げないかとお伝えいただけませんか？			しかし、輸送状況を鑑みると、遅らせるのは厳しそうですね。「スカイスチール機工房」の「フロムロー」様に、修理を急げないかとお伝えいただけませんか？			試験飛行計画中							
「スカイスチール機工房」の「フロムロー」様に、修理を急げないかとお伝えいただけませんか？			「スカイスチール機工房」の「フロムロー」様に、修理を急げないかとお伝えいただけませんか？			試験飛行計画中							
……ううむ、修理を急げと。そう簡単に言われましても……。			……ううむ、修理を急げと。そう簡単に言われましても……。			試験飛行計画中							
我々、「スカイスチール機工房」では、四大名家の一角、「アインハルト家」の管轄のもと、バリスタやカノン砲といった、対竜兵器の開発を行っています。			我々、「スカイスチール機工房」では、四大名家の一角、「アインハルト家」の管轄のもと、バリスタやカノン砲といった、対竜兵器の開発を行っています。			試験飛行計画中							
もちろん、近年エオルゼアに流入した魔導技術を用い、飛空艇の建造や修理を行うのも、我が工房の役目。急げと言われれば急ぎますが……。			もちろん、近年エオルゼアに流入した魔導技術を用い、飛空艇の建造や修理を行うのも、我が工房の役目。急げと言われれば急ぎますが……。			試験飛行計画中							
とはいえ、相手がドラゴン族となれば、仕方ありませんね。できるかぎりのことはしましょう。「クリオ」さんにも、そのようにお伝えください。			とはいえ、相手がドラゴン族となれば、仕方ありませんね。できるかぎりのことはしましょう。「クリオ」さんにも、そのようにお伝えください。			試験飛行計画中							
とはいえ、相手がドラゴン族となれば、仕方ありませんね。できるかぎりのことはしましょう。「クリオ」さんにも、そのようにお伝えください。			とはいえ、相手がドラゴン族となれば、仕方ありませんね。できるかぎりのことはしましょう。「クリオ」さんにも、そのようにお伝えください。			試験飛行計画中							
……ありがとう、事情はわかったよ。わざわざ、あちこち行ってもらって悪かったね。だが、飛空艇を飛ばすのも、一苦労だってよくわかったろう？			……ありがとう、事情はわかったよ。わざわざ、あちこち行ってもらって悪かったね。だが、飛空艇を飛ばすのも、一苦労だってよくわかったろう？			試験飛行計画中							
氷壁の先のクルザス西部高地や、アバラシア雲海に渡るには、どうしたって、飛空艇頼りになりがちでね。ところが航行中をドラゴン族に襲われたら、イチコロだ。			氷壁の先のクルザス西部高地や、アバラシア雲海に渡るには、どうしたって、飛空艇頼りになりがちでね。ところが航行中をドラゴン族に襲われたら、イチコロだ。			試験飛行計画中							
そんなこんなで、ランディングでは教皇庁の指導の下、占星術士や機工士の力を借りて、慎重に飛空艇を運用しているのさ。			そんなこんなで、ランディングでは教皇庁の指導の下、占星術士や機工士の力を借りて、慎重に飛空艇を運用しているのさ。			試験飛行計画中							
エーテライト・プラザの信心深い老人は、話し相手を探しているようだ。			エーテライト・プラザの信心深い老人は、話し相手を探しているようだ。			イシュガルドの歴史							
信心深い老人は、外から来た冒険者のため、イシュガルドの歴史を教えてくれるという。イシュガルドの聖レネット広場で「信心深い老人」と話そう。			信心深い老人は、外から来た冒険者のため、イシュガルドの歴史を教えてくれるという。イシュガルドの聖レネット広場で「信心深い老人」と話そう。			イシュガルドの歴史							
信心深い老人から「聖レネット」についての歴史を聞いた。次の話を、聖バルロアイアン広場の「信心深い老人」から聞こう。			信心深い老人から「聖レネット」についての歴史を聞いた。次の話を、聖バルロアイアン広場の「信心深い老人」から聞こう。			イシュガルドの歴史							
信心深い老人から「聖バルロアイアン」についての歴史を聞いた。さらにイシュガルドへの理解を深めるため、聖レマノー大聖堂の「ウトルゲルラン」の話を聞きにいこう。			信心深い老人から「聖バルロアイアン」についての歴史を聞いた。さらにイシュガルドへの理解を深めるため、聖レマノー大聖堂の「ウトルゲルラン」の話を聞きにいこう。			イシュガルドの歴史							
ウトルゲルランの話を聞いた。聖レマノー大聖堂は初代教皇とされる「聖人レマノー」の名を冠した聖堂のようだ。イシュガルドに多くみられる聖人たちを讃える文化は、国民がひとつになってドラゴン族と戦い続けてきた証なのだという。			ウトルゲルランの話を聞いた。聖レマノー大聖堂は初代教皇とされる「聖人レマノー」の名を冠した聖堂のようだ。イシュガルドに多くみられる聖人たちを讃える文化は、国民がひとつになってドラゴン族と戦い続けてきた証なのだという。			イシュガルドの歴史							
聖レネット広場の信心深い老人と話す			聖レネット広場の信心深い老人と話す			イシュガルドの歴史							
信心深い老人と再度話す			信心深い老人と再度話す			イシュガルドの歴史							
聖レマノー大聖堂のウトルゲルランと話す			聖レマノー大聖堂のウトルゲルランと話す			イシュガルドの歴史							
外から来た冒険者かの？なら、この辺りにある物は珍しいじゃろう。イシュガルドの歴史に関係深い物が多いからの。			外から来た冒険者かの？なら、この辺りにある物は珍しいじゃろう。イシュガルドの歴史に関係深い物が多いからの。			イシュガルドの歴史							
よければ、この老いぼれの話相手になってもらえんか？外から来た者にも知ってほしい話があるのじゃ。「聖レネット広場」で待っておるぞ。			よければ、この老いぼれの話相手になってもらえんか？外から来た者にも知ってほしい話があるのじゃ。「聖レネット広場」で待っておるぞ。			イシュガルドの歴史							
この石像を見るがよい。これは「聖レネット」様の像でな。竜槍「ゲイボルグ」を手に、活躍なさった女竜騎士様じゃ。			この石像を見るがよい。これは「聖レネット」様の像でな。竜槍「ゲイボルグ」を手に、活躍なさった女竜騎士様じゃ。			イシュガルドの歴史							
恋人を殺したドラゴン族を追跡して追いつめ、見事、復讐を成し遂げた英雄じゃよ。復讐の後は槍を置き、修道女となったがな。			恋人を殺したドラゴン族を追跡して追いつめ、見事、復讐を成し遂げた英雄じゃよ。復讐の後は槍を置き、修道女となったがな。			イシュガルドの歴史							
戦いの道から離れた「聖レネット」様は、貧しき者のために奉仕したんじゃ。			戦いの道から離れた「聖レネット」様は、貧しき者のために奉仕したんじゃ。			イシュガルドの歴史							
そんなレネット様の偉業を称えて造られた「凱旋門」は、「聖レネット」様の清貧を貫いた生き様から、「清貧の凱旋門」と呼ばれておるよ。			そんなレネット様の偉業を称えて造られた「凱旋門」は、「聖レネット」様の清貧を貫いた生き様から、「清貧の凱旋門」と呼ばれておるよ。			イシュガルドの歴史							
イシュガルドは、石細工が盛んでの。こうした偉人を石像として遺すのが常なのじゃ。あちこちにそういった物が見えておるじゃろう？			イシュガルドは、石細工が盛んでの。こうした偉人を石像として遺すのが常なのじゃ。あちこちにそういった物が見えておるじゃろう？			イシュガルドの歴史							
……さて、次の話でもするかの。「聖バルロアイアン広場」で待っておるぞ。			……さて、次の話でもするかの。「聖バルロアイアン広場」で待っておるぞ。			イシュガルドの歴史							
これは「聖バルロアイアン」様の石像じゃ。昔の「蒼の竜騎士」での。数百年前に邪竜「ニーズヘッグ」を退けたお方じゃよ。			これは「聖バルロアイアン」様の石像じゃ。昔の「蒼の竜騎士」での。数百年前に邪竜「ニーズヘッグ」を退けたお方じゃよ。			イシュガルドの歴史							
「蒼の竜騎士」……知っておろう。対ドラゴン族の先鋭である竜騎士の中で、筆頭の者にのみあたえられる称号じゃ。			「蒼の竜騎士」……知っておろう。対ドラゴン族の先鋭である竜騎士の中で、筆頭の者にのみあたえられる称号じゃ。			イシュガルドの歴史							
もっとも、そのように尊敬を集めるお方の石像が、損壊してしまったことは、由々しき事態……。			もっとも、そのように尊敬を集めるお方の石像が、損壊してしまったことは、由々しき事態……。			イシュガルドの歴史							
