ドマ町人地のコザクラは、仕事に励んでいるようだ。			ドマ町人地のコザクラは、仕事に励んでいるようだ。			君臣の義を以って							
……けど、あたしは本気でここを、よろずの食材と料理が楽しめる場所にしたいんだ。涎のあふれる、いい夢だろう？			……けど、あたしは本気でここを、よろずの食材と料理が楽しめる場所にしたいんだ。涎のあふれる、いい夢だろう？			町人地は根気よく							
さきほどお話しした、十分な交易ができていないという問題……それによって、民の食卓は今、かなり偏ってしまっています。			さきほどお話しした、十分な交易ができていないという問題……それによって、民の食卓は今、かなり偏ってしまっています。			町人地は根気よく							
新たな交易先は探し続けるとして、まずはドマの民同士で作物の交換をしたり、食材を持ち寄って、少しでも違う料理を食べてほしい……。			新たな交易先は探し続けるとして、まずはドマの民同士で作物の交換をしたり、食材を持ち寄って、少しでも違う料理を食べてほしい……。			町人地は根気よく							
なにせ、復興は長丁場でありますれば。民の心身に活を入れるべく、復興計画の第一弾として、市場の建設を進めることにしたのでございまする。			なにせ、復興は長丁場でありますれば。民の心身に活を入れるべく、復興計画の第一弾として、市場の建設を進めることにしたのでございまする。			町人地は根気よく							
まだまだ、場所を整えてる段階だけどね。先は長いから、あんたが協力してくれたら、とても助かるよ。			まだまだ、場所を整えてる段階だけどね。先は長いから、あんたが協力してくれたら、とても助かるよ。			町人地は根気よく							
ミツバさん、お話ありがとうございました。			ミツバさん、お話ありがとうございました。			町人地は根気よく							
それでは、実際にSurname殿にお願いしたいことを、「車前会所」に戻って、ご説明いたしまする。			それでは、実際にSurname殿にお願いしたいことを、「車前会所」に戻って、ご説明いたしまする。			町人地は根気よく							
たびたびご足労をおかけして恐縮ですが……先に戻って、お待ちしておりますね。			たびたびご足労をおかけして恐縮ですが……先に戻って、お待ちしておりますね。			町人地は根気よく							
あんたが協力してくれたら、とても助かるよ。詳しいことは、車前会所のコザクラから聞いておくれ。			あんたが協力してくれたら、とても助かるよ。詳しいことは、車前会所のコザクラから聞いておくれ。			町人地は根気よく							
お付き合い、まことにありがとうございました。あれが、わたくしたちの復興の、先端でございまする。			お付き合い、まことにありがとうございました。あれが、わたくしたちの復興の、先端でございまする。			町人地は根気よく							
……ご覧になられたとおり、まだほぼ更地でありますれば、何をするにも物資が必要となりまする。そこについて、あなた様に協力をお願いしたいのです。			……ご覧になられたとおり、まだほぼ更地でありますれば、何をするにも物資が必要となりまする。そこについて、あなた様に協力をお願いしたいのです。			町人地は根気よく							
資材、食材、衣類に薬……どういったものでも構いませぬ。あなた様が使わぬものを、わたくしどもに、譲ってはいただけぬでしょうか？			資材、食材、衣類に薬……どういったものでも構いませぬ。あなた様が使わぬものを、わたくしどもに、譲ってはいただけぬでしょうか？			町人地は根気よく							
無論、タダでとは申しませぬ。日々の活動資金のうちから、いただいたものに相応の金額を、お渡しさせていただきます。			無論、タダでとは申しませぬ。日々の活動資金のうちから、いただいたものに相応の金額を、お渡しさせていただきます。			町人地は根気よく							
ご協力いただけるのでしたら、不要な品を、わたくしの隣の「義援物資置き場」へ。何卒、よろしくお願いいたしまする……！			ご協力いただけるのでしたら、不要な品を、わたくしの隣の「義援物資置き場」へ。何卒、よろしくお願いいたしまする……！			町人地は根気よく							
ドマ町人地の「義援物資置き場」が利用できるようになりました！不要なアイテムを譲り、復興に貢献していきましょう。詳しい説明は「コザクラ」から聞くことができます。			ドマ町人地の「義援物資置き場」が利用できるようになりました！不要なアイテムを譲り、復興に貢献していきましょう。詳しい説明は「コザクラ」から聞くことができます。			町人地は根気よく							
