ココブシの目撃情報が入ったため、さっそく情報を集めに行きたいようだ。			ココブシの目撃情報が入ったため、さっそく情報を集めに行きたいようだ。			臆病者の牙							
妖異学者どもが遺跡より掘り当てし、呪われし遺物「モルモーの壺」の破壊。ましてやその壺、アラクランの賊に奪われしものなり。			妖異学者どもが遺跡より掘り当てし、呪われし遺物「モルモーの壺」の破壊。ましてやその壺、アラクランの賊に奪われしものなり。			猛り狂う危機							
組織「アラクラン」は、話も通じぬ粗暴なる者ども。一度に多数を相手するは、危機を学ばぬ愚かな呪術士。「スリプル」にて眠りに誘う策こそ、賢き呪術士。			組織「アラクラン」は、話も通じぬ粗暴なる者ども。一度に多数を相手するは、危機を学ばぬ愚かな呪術士。「スリプル」にて眠りに誘う策こそ、賢き呪術士。			猛り狂う危機							
さぁ、アラクランはドライボーンの南東を移動中。奴らが秘匿せし「モルモーの壺」を破壊するべし。			さぁ、アラクランはドライボーンの南東を移動中。奴らが秘匿せし「モルモーの壺」を破壊するべし。			猛り狂う危機							
Forenameさん、ちょっと待ってください！その壺、僕に破壊させてください！			Forenameさん、ちょっと待ってください！その壺、僕に破壊させてください！			猛り狂う危機							
すみません、僕がForenameさんの手伝いをすれば、きっと兄ちゃん達も僕のことを認めてくれると思って、後ろを付いてきてしまったんです、だから……！			すみません、僕がForenameさんの手伝いをすれば、きっと兄ちゃん達も僕のことを認めてくれると思って、後ろを付いてきてしまったんです、だから……！			猛り狂う危機							
おいてめぇら！俺らが離れているうちに、なにしてやがるんだ！！			おいてめぇら！俺らが離れているうちに、なにしてやがるんだ！！			猛り狂う危機							
わわっ！　ま、まだいたの！？			わわっ！　ま、まだいたの！？			猛り狂う危機							
Forenameさんの呪術、凄いかっこいい……。僕には魔法の才能がないから、本当に羨ましいです。			Forenameさんの呪術、凄いかっこいい……。僕には魔法の才能がないから、本当に羨ましいです。			猛り狂う危機							
僕は才能が無いから……魔力の少なさを補おうとして、「魔力増幅薬」を作ってみたりしたけど、全然ダメでした。効果が小さすぎて、何の役にも立ちませんでした。			僕は才能が無いから……魔力の少なさを補おうとして、「魔力増幅薬」を作ってみたりしたけど、全然ダメでした。効果が小さすぎて、何の役にも立ちませんでした。			猛り狂う危機							
このままじゃ、兄ちゃん達の「仲間」になれない。いつまでも一人ぼっちのままです……。			このままじゃ、兄ちゃん達の「仲間」になれない。いつまでも一人ぼっちのままです……。			猛り狂う危機							
……これが、モルモーの壺ですね。これを僕が壊せば、兄ちゃん達も僕のこと、少しは認めてくれる……！			……これが、モルモーの壺ですね。これを僕が壊せば、兄ちゃん達も僕のこと、少しは認めてくれる……！			猛り狂う危機							
(-モルモーの壺-)ちょ、ちょ、ちょ、ちょ～っと待ってよぉ！アタシを壊すのはやめなさいって～！			(-モルモーの壺-)ちょ、ちょ、ちょ、ちょ～っと待ってよぉ！アタシを壊すのはやめなさいって～！			猛り狂う危機							
ひ、ひゃあ！！！壺が…………喋った！？　妖異「モルモー」！？			ひ、ひゃあ！！！壺が…………喋った！？　妖異「モルモー」！？			猛り狂う危機							
(-モルモーの壺-)ウフフ……確かにアタシはモルモーだけどぉ……邪悪な妖異じゃないわ、その反対よ！			(-モルモーの壺-)ウフフ……確かにアタシはモルモーだけどぉ……邪悪な妖異じゃないわ、その反対よ！			猛り狂う危機							
(-モルモーの壺-)人に力を貸した罰で、悪い妖異に封じられちゃったの。壺のフタを開けてくれたら、貴方の願いを叶えてあげる！さぁ、何がほしい？　お金？　名誉？			(-モルモーの壺-)人に力を貸した罰で、悪い妖異に封じられちゃったの。壺のフタを開けてくれたら、貴方の願いを叶えてあげる！さぁ、何がほしい？　お金？　名誉？			猛り狂う危機							
べ、別に僕は、金や名誉のために生きてなんかいない！……ね、願いがあるとすれば……兄ちゃん達と一緒に戦える、魔力が欲しいくらいで……。			べ、別に僕は、金や名誉のために生きてなんかいない！……ね、願いがあるとすれば……兄ちゃん達と一緒に戦える、魔力が欲しいくらいで……。			猛り狂う危機							
(-モルモーの壺-)ウフフフフッ！　素敵な願いじゃない！貴方には隠された魔法の才能があるわ。アタシなら、その才能を開花させてあげられる♪			(-モルモーの壺-)ウフフフフッ！　素敵な願いじゃない！貴方には隠された魔法の才能があるわ。アタシなら、その才能を開花させてあげられる♪			猛り狂う危機							
(-モルモーの壺-)アタシを信じて！さあ、フタを開けて…………！！			(-モルモーの壺-)アタシを信じて！さあ、フタを開けて…………！！			猛り狂う危機							
…………ふう。なんだ、何も起こらないじゃないですか……。やれやれ、モルモーに騙されちゃったみたいですね。			…………ふう。なんだ、何も起こらないじゃないですか……。やれやれ、モルモーに騙されちゃったみたいですね。			猛り狂う危機							
さあ、Forenameさん、帰りましょうか。……ああ、壺をぶっ壊すんでしたっけ？			さあ、Forenameさん、帰りましょうか。……ああ、壺をぶっ壊すんでしたっけ？			猛り狂う危機							
はい、これで終わり♪それじゃあアタシはぁ…………。……それじゃあボクは、一人で帰りますね。			はい、これで終わり♪それじゃあアタシはぁ…………。……それじゃあボクは、一人で帰りますね。			猛り狂う危機							
……生けるForenameの帰還。それは無上の喜び。			……生けるForenameの帰還。それは無上の喜び。			猛り狂う危機							
時にForenameよ、先ほどココブシを見かけたのだが……何やらおかしな様子、汝、その理由を知らんや？			時にForenameよ、先ほどココブシを見かけたのだが……何やらおかしな様子、汝、その理由を知らんや？			猛り狂う危機							
何を伝える？			何を伝える？			猛り狂う危機							
ココブシが試練中に現れた			ココブシが試練中に現れた			猛り狂う危機							
…………。			…………。			猛り狂う危機							
その頑なな心に隠せし秘密、我が弟に関わること故、是非とも明かすべし。			その頑なな心に隠せし秘密、我が弟に関わること故、是非とも明かすべし。			猛り狂う危機							
な、なんと、ココブシが……！？			な、なんと、ココブシが……！？			猛り狂う危機							
修行中の呪術士の邪魔をするなど、非常に危険な行為。後でよく叱らねばなりませんねぇ……。			修行中の呪術士の邪魔をするなど、非常に危険な行為。後でよく叱らねばなりませんねぇ……。			猛り狂う危機							
しかし、よくぞ不測の事態の中で勝利を得ました。貴方が戦いの中で、危機の学びを活かした証拠です。			しかし、よくぞ不測の事態の中で勝利を得ました。貴方が戦いの中で、危機の学びを活かした証拠です。			猛り狂う危機							
それでは、私がひとつ魔法を教えましょう。呪術「コラプス」……属性無き破壊魔法です。			それでは、私がひとつ魔法を教えましょう。呪術「コラプス」……属性無き破壊魔法です。			猛り狂う危機							
魔力を糧に修行を積み、魔力をより磨いてきなさい。ククク……貴方の成長には期待しているんですよ……頑張ってくださいねぇ……。			魔力を糧に修行を積み、魔力をより磨いてきなさい。ククク……貴方の成長には期待しているんですよ……頑張ってくださいねぇ……。			猛り狂う危機							
クエスト「ClsThm150」のバトルを開始しますか？			クエスト「ClsThm150」のバトルを開始しますか？			猛り狂う危機							
はい			はい			猛り狂う危機							
いいえ			いいえ			猛り狂う危機							
ま、魔法は使えなくても……僕だって戦えるんだ！			ま、魔法は使えなくても……僕だって戦えるんだ！			猛り狂う危機							
大丈夫ですか！？僕の薬で、傷を癒します！			大丈夫ですか！？僕の薬で、傷を癒します！			猛り狂う危機							
呪術士ギルドマスターのココブキは冒険者に次なる「呪術の深淵」の章を教えようとしている。			呪術士ギルドマスターのココブキは冒険者に次なる「呪術の深淵」の章を教えようとしている。			枯れ果てし危機							
呪術士ギルドマスター、ココバニから呪術の深淵の「枯れ果てし危機」を学ぼう。			呪術士ギルドマスター、ココバニから呪術の深淵の「枯れ果てし危機」を学ぼう。			枯れ果てし危機							
極性の変化を意識しながら、ブラックブラッシュに赴き「エフト」を8体倒そう。			極性の変化を意識しながら、ブラックブラッシュに赴き「エフト」を8体倒そう。			枯れ果てし危機							
エフトを討伐した。「呪術士ギルド」の「ココバニ」に報告しよう。			エフトを討伐した。「呪術士ギルド」の「ココバニ」に報告しよう。			枯れ果てし危機							
「エーテル輸送箱」がアマルジャ族に奪われたらしい。まずは「ドライボーン」の南方に赴き、「装甲兵員輸送車」を調べ、「アマルジャ族」を退治して「アマルジャの鮮血」を手に入れよう。			「エーテル輸送箱」がアマルジャ族に奪われたらしい。まずは「ドライボーン」の南方に赴き、「装甲兵員輸送車」を調べ、「アマルジャ族」を退治して「アマルジャの鮮血」を手に入れよう。			枯れ果てし危機							
「装甲兵員輸送車」を調べ、「エーテル輸送箱」を入手しよう。			「装甲兵員輸送車」を調べ、「エーテル輸送箱」を入手しよう。			枯れ果てし危機							
「エーテル輸送箱」を入手した。「呪術士ギルド」の「ココバニ」に報告しよう。			「エーテル輸送箱」を入手した。「呪術士ギルド」の「ココバニ」に報告しよう。			枯れ果てし危機							
魔力の制御の仕方を学び、命の源泉となるエーテルを取り返した冒険者。ココバニから教わったことを胸に、更なる修行に励もう。※呪術士のレベルが15以上になると、ココブキから　次の呪術士クエストを受注することができます。			魔力の制御の仕方を学び、命の源泉となるエーテルを取り返した冒険者。ココバニから教わったことを胸に、更なる修行に励もう。※呪術士のレベルが15以上になると、ココブキから　次の呪術士クエストを受注することができます。			枯れ果てし危機							
ココバニと話す			ココバニと話す			枯れ果てし危機							
エフトを討伐			エフトを討伐			枯れ果てし危機							
ココバニと話す			ココバニと話す			枯れ果てし危機							
装甲兵員輸送車を調べ、アマルジャ族からアマルジャの鮮血を入手			装甲兵員輸送車を調べ、アマルジャ族からアマルジャの鮮血を入手			枯れ果てし危機							
装甲兵員輸送車を調べエーテル輸送箱を入手			装甲兵員輸送車を調べエーテル輸送箱を入手			枯れ果てし危機							
呪術士ギルドのココバニにエーテル輸送箱とアマルジャの鮮血を渡す			呪術士ギルドのココバニにエーテル輸送箱とアマルジャの鮮血を渡す			枯れ果てし危機							
フ……いいですね。貴方の魔力が前より輝いているのが、私にはよく、わかりますよ……。			フ……いいですね。貴方の魔力が前より輝いているのが、私にはよく、わかりますよ……。			枯れ果てし危機							
それでは、今日は三男のココバニから、「枯れ果てし危機」の章を学んでごらんなさい。			それでは、今日は三男のココバニから、「枯れ果てし危機」の章を学んでごらんなさい。			枯れ果てし危機							
イヒヒヒィ！　Forenameじゃねぇか！ノコノコやってくるとは、まだまだ恐れ知らずのようだなぁ！？			イヒヒヒィ！　Forenameじゃねぇか！ノコノコやってくるとは、まだまだ恐れ知らずのようだなぁ！？			枯れ果てし危機							
さぁ、「枯れ果てし危機」の章を読み説いてやるぜぇ！？覚悟はいいなぁ！？　チビるんじゃねぇぞぉ！！			さぁ、「枯れ果てし危機」の章を読み説いてやるぜぇ！？覚悟はいいなぁ！？　チビるんじゃねぇぞぉ！！			枯れ果てし危機							
「呪術の深淵：枯れ果てし危機」嗚呼、我が猛々しき魔力よ、素晴らしきかな。豪炎燃え盛り、氷刃凍てつき、雷撃迸り敵を討たん。			「呪術の深淵：枯れ果てし危機」嗚呼、我が猛々しき魔力よ、素晴らしきかな。豪炎燃え盛り、氷刃凍てつき、雷撃迸り敵を討たん。			枯れ果てし危機							
嗚呼、魔力枯れ果てし時の、恐ろしきかな。その豪炎消え失せ、その氷刃溶け去り、その雷撃途絶えん。我、危機を覚えるなり。			嗚呼、魔力枯れ果てし時の、恐ろしきかな。その豪炎消え失せ、その氷刃溶け去り、その雷撃途絶えん。我、危機を覚えるなり。			枯れ果てし危機							
これよぉ……超こえぇだろぉ……？魔力を使い果たした呪術士は、何もできねぇってことだ！			これよぉ……超こえぇだろぉ……？魔力を使い果たした呪術士は、何もできねぇってことだ！			枯れ果てし危機							
俺達呪術士にとって、魔力は命と同義だぁ！戦いの最中に魔力が尽きりゃ、命も尽きる……これが「枯れ果てし危機」だぜぇ！			俺達呪術士にとって、魔力は命と同義だぁ！戦いの最中に魔力が尽きりゃ、命も尽きる……これが「枯れ果てし危機」だぜぇ！			枯れ果てし危機							
魔力の制御には、「極性」を知っとく必要があるぜぇ！魔力の発散方法は「霊極性」と「星極性」っつぅ、二つの極性の偏り方によって変わる！			魔力の制御には、「極性」を知っとく必要があるぜぇ！魔力の発散方法は「霊極性」と「星極性」っつぅ、二つの極性の偏り方によって変わる！			枯れ果てし危機							
魂が霊極性に近い「アンブラルブリザード」状態になりゃ、魔法の威力は下がるが、魔力の消費も下がるぜぇ！			魂が霊極性に近い「アンブラルブリザード」状態になりゃ、魔法の威力は下がるが、魔力の消費も下がるぜぇ！			枯れ果てし危機							
逆に、魂が星極性の「アストラルファイア」状態になりゃ、魔法の威力も、魔力の消費もドカンと上がるからなぁ！			逆に、魂が星極性の「アストラルファイア」状態になりゃ、魔法の威力も、魔力の消費もドカンと上がるからなぁ！			枯れ果てし危機							
極性の変化と魔力の枯渇を意識しながら、エフトを8体倒してきてみな！くれぐれも、死なねぇようにするんだぜぇ！！			極性の変化と魔力の枯渇を意識しながら、エフトを8体倒してきてみな！くれぐれも、死なねぇようにするんだぜぇ！！			枯れ果てし危機							
イヒヒヒヒィ！　よくぞ生きて帰ってきたなぁ！さて、魔力を使って敵を破壊してきた、テメェに今問おう！			イヒヒヒヒィ！　よくぞ生きて帰ってきたなぁ！さて、魔力を使って敵を破壊してきた、テメェに今問おう！			枯れ果てし危機							
もし、戦いの中で魔力が尽きたら……テメェだったらどうすんだぁ、Forename！			もし、戦いの中で魔力が尽きたら……テメェだったらどうすんだぁ、Forename！			枯れ果てし危機							
戦闘中に魔力が尽きた場合、どうする？			戦闘中に魔力が尽きた場合、どうする？			枯れ果てし危機							
逃げる			逃げる			枯れ果てし危機							
呪具で殴る			呪具で殴る			枯れ果てし危機							
おうおう、潔いじゃねぇか！逃げて魔力の回復を待つ、それもひとつの解決策だぁ！だが、逃げ場がねえ時にゃ「エーテル」を使うんだぜぇ？			おうおう、潔いじゃねぇか！逃げて魔力の回復を待つ、それもひとつの解決策だぁ！だが、逃げ場がねえ時にゃ「エーテル」を使うんだぜぇ？			枯れ果てし危機							
そうそう……最終兵器の杖でボコっと……っておいぃい！　杖で殴るのはやめとけ！！敵に近づかなきゃいけねぇし、威力もしょっぺぇ！			そうそう……最終兵器の杖でボコっと……っておいぃい！　杖で殴るのはやめとけ！！敵に近づかなきゃいけねぇし、威力もしょっぺぇ！			枯れ果てし危機							
そんなあぶねぇことしないで、自分の魔力を回復させることを考えろぉ！例えば「エーテル」を飲む、とかなぁ！？			そんなあぶねぇことしないで、自分の魔力を回復させることを考えろぉ！例えば「エーテル」を飲む、とかなぁ！？			枯れ果てし危機							
エーテルってのは、俺達にとっては命の雫だぁ！だがよぉ、その命の雫であるエーテルを欲するのは、俺達だけじゃねぇ……魔力を必要とする者、全てだ！			エーテルってのは、俺達にとっては命の雫だぁ！だがよぉ、その命の雫であるエーテルを欲するのは、俺達だけじゃねぇ……魔力を必要とする者、全てだ！			枯れ果てし危機							
先刻よぉ、エーテルを運送していた隊商の荷車が、アマルジャ族に襲われ、積荷を奪われたらしいぜぇ！命の水、エーテル泥棒は許せねぇ……そうだろぉ？			先刻よぉ、エーテルを運送していた隊商の荷車が、アマルジャ族に襲われ、積荷を奪われたらしいぜぇ！命の水、エーテル泥棒は許せねぇ……そうだろぉ？			枯れ果てし危機							
さぁ、「呪術の深淵：枯れ果てし危機」の復習だ！アマルジャ族を倒し「エーテル輸送箱」を取り返しやがれ！奴らの装甲兵員輸送車は、ドライボーンの南方らしいぜぇ！			さぁ、「呪術の深淵：枯れ果てし危機」の復習だ！アマルジャ族を倒し「エーテル輸送箱」を取り返しやがれ！奴らの装甲兵員輸送車は、ドライボーンの南方らしいぜぇ！			枯れ果てし危機							
おっと、ついでにココブキ兄者からの依頼だぁ！アマルジャ族を倒したら、「アマルジャの鮮血」を採ってきて欲しいっていってたぜぇ？			おっと、ついでにココブキ兄者からの依頼だぁ！アマルジャ族を倒したら、「アマルジャの鮮血」を採ってきて欲しいっていってたぜぇ？			枯れ果てし危機							
敵の気配を感じた！！			敵の気配を感じた！！			枯れ果てし危機							
テメェ、「エーテル輸送箱」と「アマルジャの鮮血」、持ってこれたんだろうなぁ？			テメェ、「エーテル輸送箱」と「アマルジャの鮮血」、持ってこれたんだろうなぁ？			枯れ果てし危機							
10、20、30……ウヒヒ、よしよし。大量のエーテルを見ると、心が落ち着くぜぇ……。			10、20、30……ウヒヒ、よしよし。大量のエーテルを見ると、心が落ち着くぜぇ……。			枯れ果てし危機							
おやおや……ココバニ。Forenameの修行は順調なようじゃないですか。			おやおや……ココバニ。Forenameの修行は順調なようじゃないですか。			枯れ果てし危機							
ククク……アマルジャの鮮血も十分あるようだ、これがあれば、ココブシも……。			ククク……アマルジャの鮮血も十分あるようだ、これがあれば、ココブシも……。			枯れ果てし危機							
ココブキ兄ちゃん！僕を呪術士ギルドに呼ぶなんて珍しいじゃん。やっと僕に呪術を教えてくれる気になったの？			ココブキ兄ちゃん！僕を呪術士ギルドに呼ぶなんて珍しいじゃん。やっと僕に呪術を教えてくれる気になったの？			枯れ果てし危機							
コッ、ココブシちゅぁ～ん！　よく来たねぇ～！ほらぁ～Forenameが、アマルジャの鮮血を持ってきてくれたんだよ？			コッ、ココブシちゅぁ～ん！　よく来たねぇ～！ほらぁ～Forenameが、アマルジャの鮮血を持ってきてくれたんだよ？			枯れ果てし危機							
知人の錬金術師に聞いたんだよぉ～。アマルジャの鮮血は、ココブシちゃんが挑んでる「魔力増幅薬」研究の実験素材に使えるって。			知人の錬金術師に聞いたんだよぉ～。アマルジャの鮮血は、ココブシちゃんが挑んでる「魔力増幅薬」研究の実験素材に使えるって。			枯れ果てし危機							
ほら、こういう風にね、錬金術師として呪術士と協力して行けば良いだろう？無理に呪術士にならなくたって、仲良くできるんだよ？			ほら、こういう風にね、錬金術師として呪術士と協力して行けば良いだろう？無理に呪術士にならなくたって、仲良くできるんだよ？			枯れ果てし危機							
そうだぜココブシぃ、戦場は危険なんだぁ。それに俺達呪術士は、人を守ることが苦手だぁ……。だから、協力することも必要だぜぇ？			そうだぜココブシぃ、戦場は危険なんだぁ。それに俺達呪術士は、人を守ることが苦手だぁ……。だから、協力することも必要だぜぇ？			枯れ果てし危機							
……はぁ、結局また説得？僕はそんな「助け合い」がしたい訳じゃない。兄ちゃんたちと一緒に、敵を倒したいんだ！			……はぁ、結局また説得？僕はそんな「助け合い」がしたい訳じゃない。兄ちゃんたちと一緒に、敵を倒したいんだ！			枯れ果てし危機							
こ、ココブシちゃぁ～ん！！お兄ちゃんは過保護をやめられないけど、嫌いにならないでぇ～！！			こ、ココブシちゃぁ～ん！！お兄ちゃんは過保護をやめられないけど、嫌いにならないでぇ～！！			枯れ果てし危機							
……ご、ごほん。困ったものです、ココブシは我ら兄弟の中で、ずば抜けて魔法の才能がないのです。			……ご、ごほん。困ったものです、ココブシは我ら兄弟の中で、ずば抜けて魔法の才能がないのです。			枯れ果てし危機							
魔力の総量が、とにかく少ない。意欲はあっても、魔法は全く使えない……。ムリに魔法を使えば、命の危険さえあるでしょう。			魔力の総量が、とにかく少ない。意欲はあっても、魔法は全く使えない……。ムリに魔法を使えば、命の危険さえあるでしょう。			枯れ果てし危機							
その点貴方には魔力の才能がある……。貴方はその力を伸ばすためにも、鍛錬を怠らないようにしてくださいねぇ……。			その点貴方には魔力の才能がある……。貴方はその力を伸ばすためにも、鍛錬を怠らないようにしてくださいねぇ……。			枯れ果てし危機							
呪術士ギルドマスターのココブキは冒険者に次なる「呪術の深淵」の章を教えようとしている。			呪術士ギルドマスターのココブキは冒険者に次なる「呪術の深淵」の章を教えようとしている。			枯れ果てし危機							
呪術士ギルドマスター、ココバニから呪術の深淵の「枯れ果てし危機」を学ぼう。			呪術士ギルドマスター、ココバニから呪術の深淵の「枯れ果てし危機」を学ぼう。			枯れ果てし危機							
極性の変化を意識しながら、ブラックブラッシュに赴き「エフト」を8体倒そう。			極性の変化を意識しながら、ブラックブラッシュに赴き「エフト」を8体倒そう。			枯れ果てし危機							
エフトを討伐した。「呪術士ギルド」の「ココバニ」に報告しよう。			エフトを討伐した。「呪術士ギルド」の「ココバニ」に報告しよう。			枯れ果てし危機							
「エーテル輸送箱」がアマルジャ族に奪われたらしい。まずは「ドライボーン」の南方に赴き、「装甲兵員輸送車」を調べ、「アマルジャ族」を退治して「アマルジャの鮮血」を手に入れよう。			「エーテル輸送箱」がアマルジャ族に奪われたらしい。まずは「ドライボーン」の南方に赴き、「装甲兵員輸送車」を調べ、「アマルジャ族」を退治して「アマルジャの鮮血」を手に入れよう。			枯れ果てし危機							
「装甲兵員輸送車」を調べ、「エーテル輸送箱」を入手しよう。			「装甲兵員輸送車」を調べ、「エーテル輸送箱」を入手しよう。			枯れ果てし危機							
「エーテル輸送箱」を入手した。「呪術士ギルド」の「ココバニ」に報告しよう。			「エーテル輸送箱」を入手した。「呪術士ギルド」の「ココバニ」に報告しよう。			枯れ果てし危機							
ココブキの話を聞いてみよう。			ココブキの話を聞いてみよう。			枯れ果てし危機							
魔力の制御の仕方を学び、命の源泉となるエーテルを取り返した冒険者。ココバニから教わったことを胸に、更なる修行に励もう。※呪術士のレベルが15以上になると、ココブキから　次の呪術士クエストを受注することができます。			魔力の制御の仕方を学び、命の源泉となるエーテルを取り返した冒険者。ココバニから教わったことを胸に、更なる修行に励もう。※呪術士のレベルが15以上になると、ココブキから　次の呪術士クエストを受注することができます。			枯れ果てし危機							
ココバニと話す			ココバニと話す			枯れ果てし危機							
エフトを討伐			エフトを討伐			枯れ果てし危機							
ココバニと話す			ココバニと話す			枯れ果てし危機							
装甲兵員輸送車を調べ、アマルジャ族からアマルジャの鮮血を入手			装甲兵員輸送車を調べ、アマルジャ族からアマルジャの鮮血を入手			枯れ果てし危機							
装甲兵員輸送車を調べエーテル輸送箱を入手			装甲兵員輸送車を調べエーテル輸送箱を入手			枯れ果てし危機							
呪術士ギルドのココバニにエーテル輸送箱とアマルジャの鮮血を渡す			呪術士ギルドのココバニにエーテル輸送箱とアマルジャの鮮血を渡す			枯れ果てし危機							
ココブキと話す			ココブキと話す			枯れ果てし危機							
敵の気配を感じた！！			敵の気配を感じた！！			枯れ果てし危機							
フ……いいですね。貴方の魔力が前より輝いているのが、私にはよく、わかりますよ……。			フ……いいですね。貴方の魔力が前より輝いているのが、私にはよく、わかりますよ……。			枯れ果てし危機							
それでは、今日は三男のココバニから、「枯れ果てし危機」の章を学んでごらんなさい。			それでは、今日は三男のココバニから、「枯れ果てし危機」の章を学んでごらんなさい。			枯れ果てし危機							
イヒヒヒィ！　Forenameじゃねぇか！ノコノコやってくるとは、まだまだ恐れ知らずのようだなぁ！？			イヒヒヒィ！　Forenameじゃねぇか！ノコノコやってくるとは、まだまだ恐れ知らずのようだなぁ！？			枯れ果てし危機							
さぁ、「枯れ果てし危機」の章を読み説いてやるぜぇ！？覚悟はいいなぁ！？　チビるんじゃねぇぞぉ！！			さぁ、「枯れ果てし危機」の章を読み説いてやるぜぇ！？覚悟はいいなぁ！？　チビるんじゃねぇぞぉ！！			枯れ果てし危機							
「呪術の深淵：枯れ果てし危機」嗚呼、我が猛々しき魔力よ、素晴らしきかな。豪炎燃え盛り、氷刃凍てつき、雷撃迸り敵を討たん。			「呪術の深淵：枯れ果てし危機」嗚呼、我が猛々しき魔力よ、素晴らしきかな。豪炎燃え盛り、氷刃凍てつき、雷撃迸り敵を討たん。			枯れ果てし危機							
嗚呼、魔力枯れ果てし時の、恐ろしきかな。その豪炎消え失せ、その氷刃溶け去り、その雷撃途絶えん。我、危機を覚えるなり。			嗚呼、魔力枯れ果てし時の、恐ろしきかな。その豪炎消え失せ、その氷刃溶け去り、その雷撃途絶えん。我、危機を覚えるなり。			枯れ果てし危機							
これよぉ……超こえぇだろぉ……？魔力を使い果たした呪術士は、何もできねぇってことだ！			これよぉ……超こえぇだろぉ……？魔力を使い果たした呪術士は、何もできねぇってことだ！			枯れ果てし危機							
俺達呪術士にとって、魔力は命と同義だぁ！戦いの最中に魔力が尽きりゃ、命も尽きる……これが「枯れ果てし危機」だぜぇ！			俺達呪術士にとって、魔力は命と同義だぁ！戦いの最中に魔力が尽きりゃ、命も尽きる……これが「枯れ果てし危機」だぜぇ！			枯れ果てし危機							
魔力の制御には、「極性」を知っとく必要があるぜぇ！魔力の発散方法は「霊極性」と「星極性」っつぅ、二つの極性の偏り方によって変わる！			魔力の制御には、「極性」を知っとく必要があるぜぇ！魔力の発散方法は「霊極性」と「星極性」っつぅ、二つの極性の偏り方によって変わる！			枯れ果てし危機							
魂が霊極性に近い「アンブラルブリザード」状態になりゃ、魔法の威力は下がるが、魔力の消費も下がるぜぇ！			魂が霊極性に近い「アンブラルブリザード」状態になりゃ、魔法の威力は下がるが、魔力の消費も下がるぜぇ！			枯れ果てし危機							
逆に、魂が星極性の「アストラルファイア」状態になりゃ、魔法の威力も、魔力の消費もドカンと上がるからなぁ！			逆に、魂が星極性の「アストラルファイア」状態になりゃ、魔法の威力も、魔力の消費もドカンと上がるからなぁ！			枯れ果てし危機							
極性の変化と魔力の枯渇を意識しながら、エフトを8体倒してきてみな！くれぐれも、死なねぇようにするんだぜぇ！！			極性の変化と魔力の枯渇を意識しながら、エフトを8体倒してきてみな！くれぐれも、死なねぇようにするんだぜぇ！！			枯れ果てし危機							
イヒヒヒヒィ！　よくぞ生きて帰ってきたなぁ！さて、魔力を使って敵を破壊してきた、テメェに今問おう！			イヒヒヒヒィ！　よくぞ生きて帰ってきたなぁ！さて、魔力を使って敵を破壊してきた、テメェに今問おう！			枯れ果てし危機							
もし、戦いの中で魔力が尽きたら……テメェだったらどうすんだぁ、Forename！			もし、戦いの中で魔力が尽きたら……テメェだったらどうすんだぁ、Forename！			枯れ果てし危機							
戦闘中に魔力が尽きた場合、どうする？			戦闘中に魔力が尽きた場合、どうする？			枯れ果てし危機							
逃げる			逃げる			枯れ果てし危機							
呪具で殴る			呪具で殴る			枯れ果てし危機							
おうおう、潔いじゃねぇか！逃げて魔力の回復を待つ、それもひとつの解決策だぁ！だが、逃げ場がねえ時にゃ「エーテル」を使うんだぜぇ？			おうおう、潔いじゃねぇか！逃げて魔力の回復を待つ、それもひとつの解決策だぁ！だが、逃げ場がねえ時にゃ「エーテル」を使うんだぜぇ？			枯れ果てし危機							
そうそう……最終兵器の杖でボコっと……っておいぃい！　杖で殴るのはやめとけ！！敵に近づかなきゃいけねぇし、威力もしょっぺぇ！			そうそう……最終兵器の杖でボコっと……っておいぃい！　杖で殴るのはやめとけ！！敵に近づかなきゃいけねぇし、威力もしょっぺぇ！			枯れ果てし危機							
そんなあぶねぇことしないで、自分の魔力を回復させることを考えろぉ！例えば「エーテル」を飲む、とかなぁ！？			そんなあぶねぇことしないで、自分の魔力を回復させることを考えろぉ！例えば「エーテル」を飲む、とかなぁ！？			枯れ果てし危機							
エーテルってのは、俺達にとっては命の雫だぁ！だがよぉ、その命の雫であるエーテルを欲するのは、俺達だけじゃねぇ……魔力を必要とする者、全てだ！			エーテルってのは、俺達にとっては命の雫だぁ！だがよぉ、その命の雫であるエーテルを欲するのは、俺達だけじゃねぇ……魔力を必要とする者、全てだ！			枯れ果てし危機							
先刻よぉ、エーテルを運送していた隊商の荷車が、アマルジャ族に襲われ、積荷を奪われたらしいぜぇ！命の水、エーテル泥棒は許せねぇ……そうだろぉ？			先刻よぉ、エーテルを運送していた隊商の荷車が、アマルジャ族に襲われ、積荷を奪われたらしいぜぇ！命の水、エーテル泥棒は許せねぇ……そうだろぉ？			枯れ果てし危機							
さぁ、「呪術の深淵：枯れ果てし危機」の復習だ！アマルジャ族を倒し「エーテル輸送箱」を取り返しやがれ！奴らの装甲兵員輸送車は、ドライボーンの南方らしいぜぇ！			さぁ、「呪術の深淵：枯れ果てし危機」の復習だ！アマルジャ族を倒し「エーテル輸送箱」を取り返しやがれ！奴らの装甲兵員輸送車は、ドライボーンの南方らしいぜぇ！			枯れ果てし危機							
