流星の間のリムサ・ロミンサの駐在武官は、冒険者に頼みたいことがあるようだ。			流星の間のリムサ・ロミンサの駐在武官は、冒険者に頼みたいことがあるようだ。			いざ、出航の時							
(-強情な海嘯派のサハギン族-)何と美味なのか！このような、美味な酒は味わったことが……！た、たのむ、もう一杯……いや、せめてもう一口だけでも！			(-強情な海嘯派のサハギン族-)何と美味なのか！このような、美味な酒は味わったことが……！た、たのむ、もう一杯……いや、せめてもう一口だけでも！			母なる女王							
もちろん。質問に答えていただけたなら、一杯とは言わず、ひと瓶でも、ひと樽でも……。			もちろん。質問に答えていただけたなら、一杯とは言わず、ひと瓶でも、ひと樽でも……。			母なる女王							
(-強情な海嘯派のサハギン族-)ハァ……ハァ……ゴクリ……な、何が知りたいのだ、言ってみろ！だから、もっと果実酒を……このとおりだ！！			(-強情な海嘯派のサハギン族-)ハァ……ハァ……ゴクリ……な、何が知りたいのだ、言ってみろ！だから、もっと果実酒を……このとおりだ！！			母なる女王							
シュコォ……　シュコォ……吐かぬなら～　吐くまで聞くよ～　このチーズで～			シュコォ……　シュコォ……吐かぬなら～　吐くまで聞くよ～　このチーズで～			母なる女王							
(-強情な海嘯派のサハギン族-)フスィーッ……な、なにをするつもりだ！			(-強情な海嘯派のサハギン族-)フスィーッ……な、なにをするつもりだ！			母なる女王							
(-強情な海嘯派のサハギン族-)な……なん……この……臭……い……！！			(-強情な海嘯派のサハギン族-)な……なん……この……臭……い……！！			母なる女王							
(-強情な海嘯派のサハギン族-)グ、グエェーッ！オボボボボボボボボボボ！！			(-強情な海嘯派のサハギン族-)グ、グエェーッ！オボボボボボボボボボボ！！			母なる女王							
シュコォ……　シュコォ……ゴブリンチーズ　とてとて美味いが　とてとて臭い！吐かぬなら～　吐くまで嗅がすぞ～　ゴブリンチーズ～！			シュコォ……　シュコォ……ゴブリンチーズ　とてとて美味いが　とてとて臭い！吐かぬなら～　吐くまで嗅がすぞ～　ゴブリンチーズ～！			母なる女王							
違うもんなら、とっくに吐いてるがな……。			違うもんなら、とっくに吐いてるがな……。			母なる女王							
(-強情な海嘯派のサハギン族-)フスィーッ……わかったからもうやめてくれ……何でも答えるから許してくれーッ！			(-強情な海嘯派のサハギン族-)フスィーッ……わかったからもうやめてくれ……何でも答えるから許してくれーッ！			母なる女王							
改めて問おう。なぜこの埠頭を襲ったのだ？			改めて問おう。なぜこの埠頭を襲ったのだ？			母なる女王							
(-強情な海嘯派のサハギン族-)フスィーッ……ドォウ様の命令だ。貴様らヒレナシどもの都へ攻めこむための、足がかりにしようと考えていたようだ。			(-強情な海嘯派のサハギン族-)フスィーッ……ドォウ様の命令だ。貴様らヒレナシどもの都へ攻めこむための、足がかりにしようと考えていたようだ。			母なる女王							
リムサ・ロミンサを攻める、だと……？海嘯派の戦力だけでは無謀にも思えるが……。			リムサ・ロミンサを攻める、だと……？海嘯派の戦力だけでは無謀にも思えるが……。			母なる女王							
(-強情な海嘯派のサハギン族-)ドォウ様には切り札があるのだ。それが何かは知らぬが、絶大な力だと聞いている。			(-強情な海嘯派のサハギン族-)ドォウ様には切り札があるのだ。それが何かは知らぬが、絶大な力だと聞いている。			母なる女王							
やはり、水神リヴァイアサンを召喚するつもりか？			やはり、水神リヴァイアサンを召喚するつもりか？			母なる女王							
(-強情な海嘯派のサハギン族-)違う。もっとも色濃く水神様の祝福を受けた、最初の存在という噂だ。			(-強情な海嘯派のサハギン族-)違う。もっとも色濃く水神様の祝福を受けた、最初の存在という噂だ。			母なる女王							
……そうであっては、ほしくなかったが、ドォウ殿の切り札とは、偽神獣のことで間違いあるまい。			……そうであっては、ほしくなかったが、ドォウ殿の切り札とは、偽神獣のことで間違いあるまい。			母なる女王							
これが最後の質問だ。ドォウ殿は、いまどこに？			これが最後の質問だ。ドォウ殿は、いまどこに？			母なる女王							
(-強情な海嘯派のサハギン族-)……南東にある諸島の外れ、名もなき小島の洞窟にて儀式を行っておられる。祝福されし存在を呼ぶために違いあるまい……！			(-強情な海嘯派のサハギン族-)……南東にある諸島の外れ、名もなき小島の洞窟にて儀式を行っておられる。祝福されし存在を呼ぶために違いあるまい……！			母なる女王							
情報提供、感謝する。			情報提供、感謝する。			母なる女王							
ドォウ殿が潜伏しているという小島は、おそらく、シェルダレー諸島にある無人島のことだろう。そこで海都攻めの準備を整えている、といったところか。			ドォウ殿が潜伏しているという小島は、おそらく、シェルダレー諸島にある無人島のことだろう。そこで海都攻めの準備を整えている、といったところか。			母なる女王							
ところでよ……偽神獣ってのは、そう簡単に手懐けられる存在なのか？			ところでよ……偽神獣ってのは、そう簡単に手懐けられる存在なのか？			母なる女王							
終末の獣を制御することなど、誰にもできるはずがない。すぐに止めなければ、海嘯派の者たちにも累が及ぶだろう。			終末の獣を制御することなど、誰にもできるはずがない。すぐに止めなければ、海嘯派の者たちにも累が及ぶだろう。			母なる女王							
潜伏先と目される小島までは、黒渦団の軍船で向かおう。各自、リムサ・ロミンサの船着場に集まってくれ。			潜伏先と目される小島までは、黒渦団の軍船で向かおう。各自、リムサ・ロミンサの船着場に集まってくれ。			母なる女王							
まだ隠していることがないとも限らん。シャマニ・ローマニとブレイフロクスは、引き続き尋問を続けてくれ。			まだ隠していることがないとも限らん。シャマニ・ローマニとブレイフロクスは、引き続き尋問を続けてくれ。			母なる女王							
遅かったじゃねェか、団長代行。ま、俺にかかればこんなモンよ。			遅かったじゃねェか、団長代行。ま、俺にかかればこんなモンよ。			母なる女王							
こいつらじゃ、準備運動にもなりゃしねぇ。			こいつらじゃ、準備運動にもなりゃしねぇ。			母なる女王							
久しぶりの召集だったので、少し張り切っちゃいました。			久しぶりの召集だったので、少し張り切っちゃいました。			母なる女王							
シュコォ……　シュコォ……この程度　ゴブにかかれば　なんのその～全員まとめて　一網打尽～！			シュコォ……　シュコォ……この程度　ゴブにかかれば　なんのその～全員まとめて　一網打尽～！			母なる女王							
キャンドルキープ埠頭に向かい、「ヴェイスケート」さんたちに、加勢をお願いします！			キャンドルキープ埠頭に向かい、「ヴェイスケート」さんたちに、加勢をお願いします！			母なる女王							
まさか、音に聞こえし海雄旅団と共闘することになろうとは……。黒渦団にいて良かった……。			まさか、音に聞こえし海雄旅団と共闘することになろうとは……。黒渦団にいて良かった……。			母なる女王							
皆、揃っているな。これより、海嘯派の司祭、ドォウ殿が拠点にしていると思われる小島へ向かう！			皆、揃っているな。これより、海嘯派の司祭、ドォウ殿が拠点にしていると思われる小島へ向かう！			母なる女王							
融和派のノォル殿も、現地にて、我々と合流するつもりのようだ。			融和派のノォル殿も、現地にて、我々と合流するつもりのようだ。			母なる女王							
件の小島には、偽神獣が潜んでいる可能性もあるだろう。くれぐれも注意して事に当たってくれ！			件の小島には、偽神獣が潜んでいる可能性もあるだろう。くれぐれも注意して事に当たってくれ！			母なる女王							
君も、海雄旅団の団長代行として、皆の士気が上がる言葉をかけてくれ！			君も、海雄旅団の団長代行として、皆の士気が上がる言葉をかけてくれ！			母なる女王							
何と言う？			何と言う？			母なる女王							
強き力は！			強き力は！			母なる女王							
我ら～？			我ら～？			母なる女王							
(-海雄旅団一同-)弱き者のために！さあ、行くぞ！			(-海雄旅団一同-)弱き者のために！さあ、行くぞ！			母なる女王							
そんな掛け声、聞いたこともねぇが……。			そんな掛け声、聞いたこともねぇが……。			母なる女王							
ともかく、行くぞ！			ともかく、行くぞ！			母なる女王							
探したぞ、ドォウ殿……。			探したぞ、ドォウ殿……。			母なる女王							
貴殿は偽神獣の居場所について心当たりがあるようだが、詳しく教えてはもらえないだろうか？			貴殿は偽神獣の居場所について心当たりがあるようだが、詳しく教えてはもらえないだろうか？			母なる女王							
フシュシュシュシュ……。			フシュシュシュシュ……。			母なる女王							
おい……見るからにヤバそうなヤツが来たぜ！			おい……見るからにヤバそうなヤツが来たぜ！			母なる女王							
フスィーッ……あの姿、間違いない……拙者どもが海で最初に目撃した獣でござる！			フスィーッ……あの姿、間違いない……拙者どもが海で最初に目撃した獣でござる！			母なる女王							
やはり、ここにいたか偽神獣……！			やはり、ここにいたか偽神獣……！			母なる女王							
まさか、超える力が……！？まずいな……。			まさか、超える力が……！？まずいな……。			母なる女王							
野郎ども！団長代行に指一本触れさせるんじゃねえぞ！			野郎ども！団長代行に指一本触れさせるんじゃねえぞ！			母なる女王							
フスィーッ……我らが女王「蒼茫の母」よ、ご報告いたします。ヒレナシどもは、不可思議な術を使って、水神様の祝福を受けた者を、たぶらかして回っているようです。			フスィーッ……我らが女王「蒼茫の母」よ、ご報告いたします。ヒレナシどもは、不可思議な術を使って、水神様の祝福を受けた者を、たぶらかして回っているようです。			母なる女王							
それにより、一族の中から、水神様を偽りの神と愚弄し、ヒレナシどもに近づく融和派なる者が現れる始末……。			それにより、一族の中から、水神様を偽りの神と愚弄し、ヒレナシどもに近づく融和派なる者が現れる始末……。			母なる女王							
急ぎ水神様を降ろし、ふたたび祝福を賜る必要がございますが、海底のクリスタル鉱脈は底をつき始め……再召喚の目処は立っておりませぬ。			急ぎ水神様を降ろし、ふたたび祝福を賜る必要がございますが、海底のクリスタル鉱脈は底をつき始め……再召喚の目処は立っておりませぬ。			母なる女王							
じきにわらわは産卵期を迎えるというのに……一族が分裂した状態では、おちおち産卵地に入ることもできぬ！ああ、どうすればよいのじゃ……！			じきにわらわは産卵期を迎えるというのに……一族が分裂した状態では、おちおち産卵地に入ることもできぬ！ああ、どうすればよいのじゃ……！			母なる女王							
何者だ……！？貴様らの謁見を許した覚えはないぞ！			何者だ……！？貴様らの謁見を許した覚えはないぞ！			母なる女王							
(-融和派のサハギン族-)フスィーッ……申し上げます、蒼茫の母よ。我々は、サハギン族とヒトの融和を目指す者です。			(-融和派のサハギン族-)フスィーッ……申し上げます、蒼茫の母よ。我々は、サハギン族とヒトの融和を目指す者です。			母なる女王							
(-融和派のサハギン族-)偽りの神を降ろしてまで、産卵地のために戦う時代は終わりました。			(-融和派のサハギン族-)偽りの神を降ろしてまで、産卵地のために戦う時代は終わりました。			母なる女王							
(-融和派のサハギン族-)ヒトと和平を結び、互いの領地を分け合うことで、産卵地の安全を確保することができるのです。			(-融和派のサハギン族-)ヒトと和平を結び、互いの領地を分け合うことで、産卵地の安全を確保することができるのです。			母なる女王							
それはまことか……？			それはまことか……？			母なる女王							
騙されてはなりませんぞ、蒼茫の母よ！こやつらは信仰を捨て、ヒレナシどもに寝返った逆賊にござります！			騙されてはなりませんぞ、蒼茫の母よ！こやつらは信仰を捨て、ヒレナシどもに寝返った逆賊にござります！			母なる女王							
土地を明け渡すつもりがあるなら、なぜこれまで争ってきたのです？和睦を結ぼうものなら必ずや裏切られるに決まっております！やがて産卵地もろとも、皆殺しにされるのは必定ッ！			土地を明け渡すつもりがあるなら、なぜこれまで争ってきたのです？和睦を結ぼうものなら必ずや裏切られるに決まっております！やがて産卵地もろとも、皆殺しにされるのは必定ッ！			母なる女王							
おお、なんと無慈悲な……やはりヒレナシどもは、一族にとっての仇敵よな……。			おお、なんと無慈悲な……やはりヒレナシどもは、一族にとっての仇敵よな……。			母なる女王							
かような脅威を前に、愛する我が子らの中に水神様を忘れ、裏切りを働く者どもが現れようとは……。もはや、何も信じられぬ……			かような脅威を前に、愛する我が子らの中に水神様を忘れ、裏切りを働く者どもが現れようとは……。もはや、何も信じられぬ……			母なる女王							
こうなっては、我らに未来はありません。産卵を諦め、海の底で朽ちていくしか……。			こうなっては、我らに未来はありません。産卵を諦め、海の底で朽ちていくしか……。			母なる女王							
そんな……ドォウよ、なんとかならぬのか……！			そんな……ドォウよ、なんとかならぬのか……！			母なる女王							
ああ……産卵できぬのは厭じゃ……。我らの未来を奪われるのは……			ああ……産卵できぬのは厭じゃ……。我らの未来を奪われるのは……			母なる女王							
厭じゃーーー！！			厭じゃーーー！！			母なる女王							
(-融和派のサハギン族-)フスィーッ……な、なにが起こっているのだ！？			(-融和派のサハギン族-)フスィーッ……な、なにが起こっているのだ！？			母なる女王							
(-融和派のサハギン族-)お、おやめください、蒼茫の母よ！			(-融和派のサハギン族-)お、おやめください、蒼茫の母よ！			母なる女王							
(-融和派のサハギン族-)ギャァァァァァァァァ！！！			(-融和派のサハギン族-)ギャァァァァァァァァ！！！			母なる女王							
な、なんという御姿……！これは、水神様が与え給うた、新たな祝福の力なのか！？			な、なんという御姿……！これは、水神様が与え給うた、新たな祝福の力なのか！？			母なる女王							
ほかの獣とは、段違いの強さだな……。さすがは偽神獣ってところか。			ほかの獣とは、段違いの強さだな……。さすがは偽神獣ってところか。			母なる女王							
気がついたようだが、いささか厳しい状況だ。君も力を貸してくれ。			気がついたようだが、いささか厳しい状況だ。君も力を貸してくれ。			母なる女王							
フスィーッ……蒼茫の母よ、好機ですぞ！ヒレナシの首領を亡き者とし、産卵地を奪うのです！			フスィーッ……蒼茫の母よ、好機ですぞ！ヒレナシの首領を亡き者とし、産卵地を奪うのです！			母なる女王							
ど、どうなってやがる！？身体から力が……抜けちまって…………			ど、どうなってやがる！？身体から力が……抜けちまって…………			母なる女王							
(-海嘯派のサハギン族-)フスィーッ！？は、母よ……なぜ我らをォ……！！			(-海嘯派のサハギン族-)フスィーッ！？は、母よ……なぜ我らをォ……！！			母なる女王							
まずい、あの攻撃を再び受けては……！！			まずい、あの攻撃を再び受けては……！！			母なる女王							
何が起こったのかは知らねェが、やられた分はやり返す！			何が起こったのかは知らねェが、やられた分はやり返す！			母なる女王							
落ち着け！さきほどの技は、周辺にいる生物のエーテルを吸収するようだ。このまま戦っては分が悪い。			落ち着け！さきほどの技は、周辺にいる生物のエーテルを吸収するようだ。このまま戦っては分が悪い。			母なる女王							
ランドゥネル、ウ・オド！思い出せ、俺たち海雄旅団の戦い方を！			ランドゥネル、ウ・オド！思い出せ、俺たち海雄旅団の戦い方を！			母なる女王							
戦略的撤退だ！……団長代行、しんがりは頼んだぞ！			戦略的撤退だ！……団長代行、しんがりは頼んだぞ！			母なる女王							
いよいよ、偽神獣のお出ましってか。			いよいよ、偽神獣のお出ましってか。			母なる女王							
偽神獣だかなんだか知らねェが、せいぜいこの俺をたぎらせてくれよォ……！			偽神獣だかなんだか知らねェが、せいぜいこの俺をたぎらせてくれよォ……！			母なる女王							
敵の本陣に出向くんだ。油断はするなよ。			敵の本陣に出向くんだ。油断はするなよ。			母なる女王							
ここは私とブレイフロクスにお任せください。			ここは私とブレイフロクスにお任せください。			母なる女王							
シュコォ……　シュコォ……ゴブたち　ここで　おるすば～ん！			シュコォ……　シュコォ……ゴブたち　ここで　おるすば～ん！			母なる女王							
クッ……ようやく偽神獣を発見したというのに、仕損じてしまうとは……！			クッ……ようやく偽神獣を発見したというのに、仕損じてしまうとは……！			母なる女王							
やあ、首尾はどうでしたか？と言っても、その様子では……。			やあ、首尾はどうでしたか？と言っても、その様子では……。			母なる女王							
ああ、討伐は失敗だ。奴め、まさかこちらの行動を阻害する能力を持っているとは……。厄介な相手だな……。			ああ、討伐は失敗だ。奴め、まさかこちらの行動を阻害する能力を持っているとは……。厄介な相手だな……。			母なる女王							
あれも元は海嘯派のサハギン族なのか？			あれも元は海嘯派のサハギン族なのか？			母なる女王							
君が「超える力」で何を視たのか、皆に教えてくれないか？			君が「超える力」で何を視たのか、皆に教えてくれないか？			母なる女王							
フスィーッ！拙者どもの母なる女王の不安を煽り、偽神獣に転じさせるとは、何という鬼畜の所業か！			フスィーッ！拙者どもの母なる女王の不安を煽り、偽神獣に転じさせるとは、何という鬼畜の所業か！			母なる女王							
ドォウという司祭が、獣化について知っていたとは思えませんが、彼の不安を煽る言葉が、きっかけとなったのは、間違いなさそうですね……。			ドォウという司祭が、獣化について知っていたとは思えませんが、彼の不安を煽る言葉が、きっかけとなったのは、間違いなさそうですね……。			母なる女王							
あのまま偽神獣と戦っていたら、こいつらの母親を殺すハメになってたってことかよ……？チッ、胸くそわりィ！			あのまま偽神獣と戦っていたら、こいつらの母親を殺すハメになってたってことかよ……？チッ、胸くそわりィ！			母なる女王							
フスィーッ……母なる女王と戦うなど……ましてや、母を殺すなどと……到底できようはずもない……。			フスィーッ……母なる女王と戦うなど……ましてや、母を殺すなどと……到底できようはずもない……。			母なる女王							
ところでよ……偽神獣に向かって銃撃したのは、どこのどいつなんだァ？あの一発がなけりゃ、俺たち全員やられてたぜ。			ところでよ……偽神獣に向かって銃撃したのは、どこのどいつなんだァ？あの一発がなけりゃ、俺たち全員やられてたぜ。			母なる女王							
ともかく、今後について話し合おう。先ほど、洋上に待機させていた黒渦団の船より、偽神獣が海中を通って小島を脱したと情報があった。			ともかく、今後について話し合おう。先ほど、洋上に待機させていた黒渦団の船より、偽神獣が海中を通って小島を脱したと情報があった。			母なる女王							
引き続き偽神獣を捜索するように、指示しておこう。が、見つけたとて、再びあの技を受けては……。			引き続き偽神獣を捜索するように、指示しておこう。が、見つけたとて、再びあの技を受けては……。			母なる女王							
その心配はいらない。海雄旅団が蛮神を打ち破ってこられたのは、一度の戦いで、無理に勝敗を決しようとしてこなかったからだ。			その心配はいらない。海雄旅団が蛮神を打ち破ってこられたのは、一度の戦いで、無理に勝敗を決しようとしてこなかったからだ。			母なる女王							
敵の技を、性質を見極め、必要とあらば撤退して、対策を練った上で再戦するのさ。今回だって多くの情報を得られた、そうだろう、団長代行？			敵の技を、性質を見極め、必要とあらば撤退して、対策を練った上で再戦するのさ。今回だって多くの情報を得られた、そうだろう、団長代行？			母なる女王							
何と言う？			何と言う？			母なる女王							
偽神獣の正体はサハギン族の女王だった			偽神獣の正体はサハギン族の女王だった			母なる女王							
偽神獣の攻撃手段がわかった			偽神獣の攻撃手段がわかった			母なる女王							
そうだな。獣は、生前の性質に引っ張られていることがあるようだが、そこから行動パターンを推測することも可能だろう。			そうだな。獣は、生前の性質に引っ張られていることがあるようだが、そこから行動パターンを推測することも可能だろう。			母なる女王							
そのとおりだ。奴の技は、俺たちのエーテルを吸収し、行動を阻害する……厄介な相手だが、対策を立てれば勝てるはずだ。			そのとおりだ。奴の技は、俺たちのエーテルを吸収し、行動を阻害する……厄介な相手だが、対策を立てれば勝てるはずだ。			母なる女王							
ほかにもわかったことがある。海中を行動する能力はあるようだが、基本は洞窟などの陸地に潜伏しているようだ。			ほかにもわかったことがある。海中を行動する能力はあるようだが、基本は洞窟などの陸地に潜伏しているようだ。			母なる女王							
なるほど……我らが成すべきことが見えてきたようだな。			なるほど……我らが成すべきことが見えてきたようだな。			母なる女王							
あの巨体が隠れ潜むことが可能な、洞窟がある小島や沿岸部を中心に捜索を続行する……。そして、再戦に備えて必勝の策を練ること……！			あの巨体が隠れ潜むことが可能な、洞窟がある小島や沿岸部を中心に捜索を続行する……。そして、再戦に備えて必勝の策を練ること……！			母なる女王							
サハギン族との融和のため、ラノシアに生きる者たちのために、いまは各々にできることをやるしかない。それでは、いったん解散しよう。			サハギン族との融和のため、ラノシアに生きる者たちのために、いまは各々にできることをやるしかない。それでは、いったん解散しよう。			母なる女王							
…………。			…………。			母なる女王							
私たちは、黒渦団本部で書記官に情報を共有しよう。			私たちは、黒渦団本部で書記官に情報を共有しよう。			母なる女王							
勝ち目がない時は、とっとと逃げて次の策を練る。これを勝てるまで繰り返すのが、俺たち海雄旅団の戦い方だ。正直格好良いモンじゃあないが、仲間の誰かが死ぬよりずっといい。			勝ち目がない時は、とっとと逃げて次の策を練る。これを勝てるまで繰り返すのが、俺たち海雄旅団の戦い方だ。正直格好良いモンじゃあないが、仲間の誰かが死ぬよりずっといい。			母なる女王							
ようやく偽神獣の野郎を見つけたっつうのによォ……。チッ、次こそ串刺しにしてやらァ！			ようやく偽神獣の野郎を見つけたっつうのによォ……。チッ、次こそ串刺しにしてやらァ！			母なる女王							
あれが偽神獣か……。久しぶりに倒しがいのある奴が現れやがったな。			あれが偽神獣か……。久しぶりに倒しがいのある奴が現れやがったな。			母なる女王							
フスィーッ……偽神獣も、拙者たちの同胞が変異した姿なのでござろうか？もしそうだとすれば、いったい何者が……。			フスィーッ……偽神獣も、拙者たちの同胞が変異した姿なのでござろうか？もしそうだとすれば、いったい何者が……。			母なる女王							
ようやく見つけた偽神獣だ。必ず討伐を果たしたい。			ようやく見つけた偽神獣だ。必ず討伐を果たしたい。			母なる女王							
リムサ・ロミンサを出入りする商船にも協力を要請してくれ。偽神獣を発見次第、黒渦団に通報するように伝えるんだ。			リムサ・ロミンサを出入りする商船にも協力を要請してくれ。偽神獣を発見次第、黒渦団に通報するように伝えるんだ。			母なる女王							
しかし、偽神獣は危険な技を使うと聞いています。対策はあるのでしょうか？			しかし、偽神獣は危険な技を使うと聞いています。対策はあるのでしょうか？			母なる女王							
海雄旅団は「超える力」を持たずとも、蛮神討伐を幾度も成してきた者たちだ。彼らを信じよう。			海雄旅団は「超える力」を持たずとも、蛮神討伐を幾度も成してきた者たちだ。彼らを信じよう。			母なる女王							
……しかし、念には念を入れておくべきだろう。「あの男」を呼び戻すことも考えなければな。			……しかし、念には念を入れておくべきだろう。「あの男」を呼び戻すことも考えなければな。			母なる女王							
さすがの海雄旅団副団長でも、たったひとりであの男の居所を掴むのは難しいだろう。エインザルにも捜索に加わるよう命じておくべきか。			さすがの海雄旅団副団長でも、たったひとりであの男の居所を掴むのは難しいだろう。エインザルにも捜索に加わるよう命じておくべきか。			母なる女王							
さて……先ほど受けた偽神獣の技の影響が、残っていないとも限らない。少しの間、君は身体を休めていてくれ。			さて……先ほど受けた偽神獣の技の影響が、残っていないとも限らない。少しの間、君は身体を休めていてくれ。			母なる女王							
何か動きがあり次第、連絡させてもらう。しばしの間、待っていてほしい。			何か動きがあり次第、連絡させてもらう。しばしの間、待っていてほしい。			母なる女王							
ついに偽神獣と遭遇したと聞いております。しかし、厄介な技を使う敵のようですね……。			ついに偽神獣と遭遇したと聞いております。しかし、厄介な技を使う敵のようですね……。			母なる女王							
黒渦団：軍令部の黒渦団の書記官は、まだ伝えられる情報はないようだ。			黒渦団：軍令部の黒渦団の書記官は、まだ伝えられる情報はないようだ。			海雄旅団の秘策							
黒渦団の書記官と話していると、ヴェイスケートからリンクパール通信が入った。偽神獣が使用する、生物のエーテルを吸収する技について、話したいことがあるようだ。東ラノシアのコスタ・デル・ソルの「ヴェイスケート」と話そう。			黒渦団の書記官と話していると、ヴェイスケートからリンクパール通信が入った。偽神獣が使用する、生物のエーテルを吸収する技について、話したいことがあるようだ。東ラノシアのコスタ・デル・ソルの「ヴェイスケート」と話そう。			海雄旅団の秘策							
ヴェイスケートは、偽神獣の技への対抗策を考えていたようだが、思いつかなかったようだ。しかし、海雄旅団において最強の存在であった、とある男を呼び戻すことができれば、偽神獣の技を阻止することも可能だという。その男と会うために、東ラノシアのブラッドショアの「指定地点」で指笛を吹こう。			ヴェイスケートは、偽神獣の技への対抗策を考えていたようだが、思いつかなかったようだ。しかし、海雄旅団において最強の存在であった、とある男を呼び戻すことができれば、偽神獣の技を阻止することも可能だという。その男と会うために、東ラノシアのブラッドショアの「指定地点」で指笛を吹こう。			海雄旅団の秘策							
指定地点で指笛を吹いて、現れたロレンスと話した。ロレンスは、偽神獣の技を封じるためには、遠方から銃撃することで、行動を妨害する必要があるが、その役割はメルウィブには向いていないという。東ラノシアの隠れ滝付近の高台で「ロレンス」と話そう。			指定地点で指笛を吹いて、現れたロレンスと話した。ロレンスは、偽神獣の技を封じるためには、遠方から銃撃することで、行動を妨害する必要があるが、その役割はメルウィブには向いていないという。東ラノシアの隠れ滝付近の高台で「ロレンス」と話そう。			海雄旅団の秘策							
ロレンスと再度話して、シルバーサンド一家海賊団の昔話を聞いた。シルバーサンド一家の首領であり、メルウィブの父のブルーフィスは、リヴァイアサンとの戦闘でテンパードにされ、逆賊として娘であるメルウィブの手で討たれたという。コスタ・デル・ソルの「ヴェイスケート」と話そう。			ロレンスと再度話して、シルバーサンド一家海賊団の昔話を聞いた。シルバーサンド一家の首領であり、メルウィブの父のブルーフィスは、リヴァイアサンとの戦闘でテンパードにされ、逆賊として娘であるメルウィブの手で討たれたという。コスタ・デル・ソルの「ヴェイスケート」と話そう。			海雄旅団の秘策							
ヴェイスケートと話した。ロレンスの協力を取り付けたことで、偽神獣への対策は整った。下甲板層の黒渦団：軍令部の「黒渦団の書記官」と話そう。			ヴェイスケートと話した。ロレンスの協力を取り付けたことで、偽神獣への対策は整った。下甲板層の黒渦団：軍令部の「黒渦団の書記官」と話そう。			海雄旅団の秘策							
黒渦団の書記官と話した。書記官は、ロレンスの名に聞き覚えがあるようだが、どこで聞いたかは思い出せないようだ。偽神獣の捜索に進展があるまで待機しよう。※いずれかの近接物理DPSジョブのレベルが90以上になると、黒渦団：軍令部の黒渦団の書記官から次の近接物理DPSロールクエストを受注することができます。			黒渦団の書記官と話した。書記官は、ロレンスの名に聞き覚えがあるようだが、どこで聞いたかは思い出せないようだ。偽神獣の捜索に進展があるまで待機しよう。※いずれかの近接物理DPSジョブのレベルが90以上になると、黒渦団：軍令部の黒渦団の書記官から次の近接物理DPSロールクエストを受注することができます。			海雄旅団の秘策							
コスタ・デル・ソルのヴェイスケートと話す			コスタ・デル・ソルのヴェイスケートと話す			海雄旅団の秘策							
指定地点で指笛を吹く			指定地点で指笛を吹く			海雄旅団の秘策							
ロレンスと話す			ロレンスと話す			海雄旅団の秘策							
ヴェイスケートと話す			ヴェイスケートと話す			海雄旅団の秘策							
黒渦団：軍令部の黒渦団の書記官と話す			黒渦団：軍令部の黒渦団の書記官と話す			海雄旅団の秘策							
どうも、Forenameさん。偽神獣の行方については、依然捜索中です。すみませんが、時間が経ってからまたお越しください。			どうも、Forenameさん。偽神獣の行方については、依然捜索中です。すみませんが、時間が経ってからまたお越しください。			海雄旅団の秘策							
(-ヴェイスケートの声-)おう、団長代行。			(-ヴェイスケートの声-)おう、団長代行。			海雄旅団の秘策							
(-ヴェイスケートの声-)例の偽神獣の技について、話したいことがあってな。悪いが、コスタ・デル・ソルまで来てくれないか？			(-ヴェイスケートの声-)例の偽神獣の技について、話したいことがあってな。悪いが、コスタ・デル・ソルまで来てくれないか？			海雄旅団の秘策							
何らかの対抗策でも思いつかれたのでしょうか？ともかく、お手数ですがコスタ・デル・ソルに向かい、「ヴェイスケート」殿から詳しい話を聞いてきてください。			何らかの対抗策でも思いつかれたのでしょうか？ともかく、お手数ですがコスタ・デル・ソルに向かい、「ヴェイスケート」殿から詳しい話を聞いてきてください。			海雄旅団の秘策							
わざわざ来てもらって悪いな。			わざわざ来てもらって悪いな。			海雄旅団の秘策							
あれから、いろいろと考えてみたんだが、例の偽神獣の技に対抗する手段は、思いつかなくてな。			あれから、いろいろと考えてみたんだが、例の偽神獣の技に対抗する手段は、思いつかなくてな。			海雄旅団の秘策							
だが、ある男を呼び戻せば、話は変わってくる。かつての海雄旅団において「最強」の存在であった、その男がいれば、例の技の発動を阻止することも可能なはずだ。			だが、ある男を呼び戻せば、話は変わってくる。かつての海雄旅団において「最強」の存在であった、その男がいれば、例の技の発動を阻止することも可能なはずだ。			海雄旅団の秘策							
なぜなら、その男は常人離れした眼を持っていてな。たった一度「視る」だけで、どんな攻撃も見切ることができるのさ。			なぜなら、その男は常人離れした眼を持っていてな。たった一度「視る」だけで、どんな攻撃も見切ることができるのさ。			海雄旅団の秘策							
リヴァイアサンやタイタンに勝利できたのも、その男の眼があればこそ……。そうでなかったなら、俺たちはとっくに全滅していただろう。			リヴァイアサンやタイタンに勝利できたのも、その男の眼があればこそ……。そうでなかったなら、俺たちはとっくに全滅していただろう。			海雄旅団の秘策							
ただ……ちょっと性格に難があってな。いや、それを言い出したら、そもそも海雄旅団自体が、問題児ばかりの集まりなんだが……。			ただ……ちょっと性格に難があってな。いや、それを言い出したら、そもそも海雄旅団自体が、問題児ばかりの集まりなんだが……。			海雄旅団の秘策							
