トメラの村のジオットは、酒も呑まずに佇んでいる。			トメラの村のジオットは、酒も呑まずに佇んでいる。			誇り高き追放者							
やったわね。これで依頼は完了よ！			やったわね。これで依頼は完了よ！			ソープロシュネーの光							
アルバート！こっちに宝箱があったわ！			アルバート！こっちに宝箱があったわ！			ソープロシュネーの光							
へぇ……なかなか似合ってるじゃない。だけど、その鎧に見合う活躍をしてくれないとね？			へぇ……なかなか似合ってるじゃない。だけど、その鎧に見合う活躍をしてくれないとね？			ソープロシュネーの光							
おい、相棒……！Forename！			おい、相棒……！Forename！			ソープロシュネーの光							
しっかりせんかい！このアホ面ヒュム高慢エルフ破廉恥ドワーフ猫もどきのミステル筋肉ゴリゴリガルジェント鱗まみれのドラン通さないロンゾピョンピョコ兎のヴィース娘野郎！！お前の母ちゃんホブゴブリン！！			しっかりせんかい！このアホ面ヒュム高慢エルフ破廉恥ドワーフ猫もどきのミステル筋肉ゴリゴリガルジェント鱗まみれのドラン通さないロンゾピョンピョコ兎のヴィース娘野郎！！お前の母ちゃんホブゴブリン！！			ソープロシュネーの光							
何と答える？			何と答える？			ソープロシュネーの光							
聞き捨てならない……			聞き捨てならない……			ソープロシュネーの光							
聞かなかったことにする……			聞かなかったことにする……			ソープロシュネーの光							
あ、相変わらず冗談の通じないヤツじゃの。怒りは生きる力になるゆえ、ワシの語彙力を総動員して、愛の罵声を浴びせただけであって、本当にお前さんの母ちゃんが……			あ、相変わらず冗談の通じないヤツじゃの。怒りは生きる力になるゆえ、ワシの語彙力を総動員して、愛の罵声を浴びせただけであって、本当にお前さんの母ちゃんが……			ソープロシュネーの光							
うむ、それが大人の対応というものじゃな。ちなみに、あえて伝えておくと、怒りは生きる力になるゆえ、愛の罵声を浴びせただけであって、本当にお前さんの母ちゃんが……			うむ、それが大人の対応というものじゃな。ちなみに、あえて伝えておくと、怒りは生きる力になるゆえ、愛の罵声を浴びせただけであって、本当にお前さんの母ちゃんが……			ソープロシュネーの光							
と、とにかく、ソープロシュネーは、再生した罪喰いを伴って飛び去っていきよったぞい。もう周囲は安全じゃよ。			と、とにかく、ソープロシュネーは、再生した罪喰いを伴って飛び去っていきよったぞい。もう周囲は安全じゃよ。			ソープロシュネーの光							
それにしても、突然どうしたんじゃ？お前さん、意識がもうろうとしておったが……。			それにしても、突然どうしたんじゃ？お前さん、意識がもうろうとしておったが……。			ソープロシュネーの光							
なんと、ソープロシュネー……いや、生前のラミットの過去を視たというのか！？さすがは水晶公の縁者……そんな異能を秘めておったとは……！			なんと、ソープロシュネー……いや、生前のラミットの過去を視たというのか！？さすがは水晶公の縁者……そんな異能を秘めておったとは……！			ソープロシュネーの光							
聞いたかぎり、おそらくお前さんが視たのは、ラミットが里を出て、旅を始めた頃の様子じゃな。当時はまだ、兜を身に着けた礼儀正しい人物であったわけじゃ。			聞いたかぎり、おそらくお前さんが視たのは、ラミットが里を出て、旅を始めた頃の様子じゃな。当時はまだ、兜を身に着けた礼儀正しい人物であったわけじゃ。			ソープロシュネーの光							
行き倒れの若者を救った点も、実にドワーフ的な行いと言えよう。それが、素顔を晒して歩く、破廉恥者になってしまうとは……いったい何があったのやら……。			行き倒れの若者を救った点も、実にドワーフ的な行いと言えよう。それが、素顔を晒して歩く、破廉恥者になってしまうとは……いったい何があったのやら……。			ソープロシュネーの光							
まあ、わからんことを考えても仕方がないの。ソープロシュネーの能力を確認できたことじゃ……今回はここまでとし、クリスタリウムに戻るぞい！			まあ、わからんことを考えても仕方がないの。ソープロシュネーの能力を確認できたことじゃ……今回はここまでとし、クリスタリウムに戻るぞい！			ソープロシュネーの光							
ング、ング、ング……プハァ……。やはり、ひと仕事終えた後の麦酒は格別じゃわい。			ング、ング、ング……プハァ……。やはり、ひと仕事終えた後の麦酒は格別じゃわい。			ソープロシュネーの光							
……ゴホン。ともかく、繰り返すが今回の目的は果たせたわけじゃ。ソープロシュネーの再生能力、お前さんも見たじゃろう？			……ゴホン。ともかく、繰り返すが今回の目的は果たせたわけじゃ。ソープロシュネーの再生能力、お前さんも見たじゃろう？			ソープロシュネーの光							
とはいえ、その様子からすると、やつの能力を封じる手段を、思いついたわけではあるまい。			とはいえ、その様子からすると、やつの能力を封じる手段を、思いついたわけではあるまい。			ソープロシュネーの光							
……安心せい。さすがにワシも、一朝一夕で対策が考案できるとは思っておらん。			……安心せい。さすがにワシも、一朝一夕で対策が考案できるとは思っておらん。			ソープロシュネーの光							
お前さんも、癒やし手としての修行を積みながら、じっくりと対応法を考えてみてくれ！ワシも酒を呑みながら、思案にふけってみるからの！			お前さんも、癒やし手としての修行を積みながら、じっくりと対応法を考えてみてくれ！ワシも酒を呑みながら、思案にふけってみるからの！			ソープロシュネーの光							
彷徨う階段亭のジオットは、ひたすらに酒を呑み続けているようだ。			彷徨う階段亭のジオットは、ひたすらに酒を呑み続けているようだ。			古の大再生魔法							
ソープロシュネーが目撃された場所で罪喰いを討伐することで、おびき寄せてみることになった。ラケティカ大森林のスリザーバウで「ジオット」と合流しよう。			ソープロシュネーが目撃された場所で罪喰いを討伐することで、おびき寄せてみることになった。ラケティカ大森林のスリザーバウで「ジオット」と合流しよう。			古の大再生魔法							
ジオットと手分けをして、はぐれ罪喰いを討伐することになった。イキス・マヤエの森の「指定地点」で見渡して、はぐれ罪喰いを討伐しよう。			ジオットと手分けをして、はぐれ罪喰いを討伐することになった。イキス・マヤエの森の「指定地点」で見渡して、はぐれ罪喰いを討伐しよう。			古の大再生魔法							
はぐれ罪喰いを討伐した。イキス・マヤエの森の「指定地点」で見渡して、更にはぐれ罪喰いを討伐しよう。			はぐれ罪喰いを討伐した。イキス・マヤエの森の「指定地点」で見渡して、更にはぐれ罪喰いを討伐しよう。			古の大再生魔法							
必要なだけのはぐれ罪喰いを討伐し終えた。イキス・マヤエの森で「ジオット」と合流しよう。			必要なだけのはぐれ罪喰いを討伐し終えた。イキス・マヤエの森で「ジオット」と合流しよう。			古の大再生魔法							
ソープロシュネーが再生能力で復活してみせたところで、冒険者はふたたびラミットの過去を視る。ラミットは、ロンカ洞でアルバートたちとともに何かを護る守護者を討伐しようとしていたようだ。ラケティカ大森林で、戦いの結末を見届けよう。			ソープロシュネーが再生能力で復活してみせたところで、冒険者はふたたびラミットの過去を視る。ラミットは、ロンカ洞でアルバートたちとともに何かを護る守護者を討伐しようとしていたようだ。ラケティカ大森林で、戦いの結末を見届けよう。			古の大再生魔法							
ラミットは、古の大再生魔法「リバイヴ」で、妹を助けようとしていたようだ。冒険者が過去を視ている間に、ジオットがなんとかソープロシュネーを追い返してくれたらしい。彷徨う階段亭に戻り、「ジオット」と話そう。			ラミットは、古の大再生魔法「リバイヴ」で、妹を助けようとしていたようだ。冒険者が過去を視ている間に、ジオットがなんとかソープロシュネーを追い返してくれたらしい。彷徨う階段亭に戻り、「ジオット」と話そう。			古の大再生魔法							
ジオットは、冒険者が視た過去をもとに、古の大再生魔法とラミットの妹について調べてみるという。ジオットが酒に呑まれず調査を完遂させると信じて、冒険者は修行に励んでおこう。※いずれかのHEALERジョブのレベルが78以上になると、彷徨う階段亭のジオットから次のHEALERロールクエストを受注することができます。			ジオットは、冒険者が視た過去をもとに、古の大再生魔法とラミットの妹について調べてみるという。ジオットが酒に呑まれず調査を完遂させると信じて、冒険者は修行に励んでおこう。※いずれかのHEALERジョブのレベルが78以上になると、彷徨う階段亭のジオットから次のHEALERロールクエストを受注することができます。			古の大再生魔法							
スリザーバウのジオットと合流			スリザーバウのジオットと合流			古の大再生魔法							
指定地点で見渡し、罪喰いを討伐			指定地点で見渡し、罪喰いを討伐			古の大再生魔法							
指定地点で見渡し、罪喰いを更に討伐			指定地点で見渡し、罪喰いを更に討伐			古の大再生魔法							
ジオットと合流			ジオットと合流			古の大再生魔法							
彷徨う階段亭のジオットと話す			彷徨う階段亭のジオットと話す			古の大再生魔法							
本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「イキス・マヤエの森」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「イキス・マヤエの森」を完了する必要があります。			古の大再生魔法							
ング、ング、ング……プハァ……。			ング、ング、ング……プハァ……。			古の大再生魔法							
ラリホー！我が相棒、Forenameよ！またぞろ、真面目に生きておるようじゃの！			ラリホー！我が相棒、Forenameよ！またぞろ、真面目に生きておるようじゃの！			古の大再生魔法							
ワシはと言えば、今日も今日とて「彷徨う階段亭」で、酒をかっ喰らっておるぞい！			ワシはと言えば、今日も今日とて「彷徨う階段亭」で、酒をかっ喰らっておるぞい！			古の大再生魔法							
……仕方ないじゃろう？調べ物をしようにも、モーレンとかいう男に、博物陳列館への出入りを禁じられてしまったんじゃから……。			……仕方ないじゃろう？調べ物をしようにも、モーレンとかいう男に、博物陳列館への出入りを禁じられてしまったんじゃから……。			古の大再生魔法							
ちっとばかり、手元が狂って、蜂蜜酒を本にひっかけたからといって、烈火のごとく怒り狂いおってからに、これだから頭でっかちは……			ちっとばかり、手元が狂って、蜂蜜酒を本にひっかけたからといって、烈火のごとく怒り狂いおってからに、これだから頭でっかちは……			古の大再生魔法							
な、なんじゃ、その目は！まさか、お前さんまでモーレンの味方をするのか？嗚呼、我らが友情はどうなってしまったのじゃ？			な、なんじゃ、その目は！まさか、お前さんまでモーレンの味方をするのか？嗚呼、我らが友情はどうなってしまったのじゃ？			古の大再生魔法							
せっかく、ワシが酒場で噂を集めに集めて、ソープロシュネーの目撃情報を掴んだというのに……！			せっかく、ワシが酒場で噂を集めに集めて、ソープロシュネーの目撃情報を掴んだというのに……！			古の大再生魔法							
何と言う？			何と言う？			古の大再生魔法							
はやく本題に入って……			はやく本題に入って……			古の大再生魔法							
さすがジオット！			さすがジオット！			古の大再生魔法							
あいかわらず冗談が通じなくて、むしろ安心したぞい。			あいかわらず冗談が通じなくて、むしろ安心したぞい。			古の大再生魔法							
ダッハッハッ！もっと褒めるがいい、おヒゲが素敵ねと称えるがいい！そして、何なら一杯おごるといいぞい！			ダッハッハッ！もっと褒めるがいい、おヒゲが素敵ねと称えるがいい！そして、何なら一杯おごるといいぞい！			古の大再生魔法							
とにかく、目撃された場所の近くで、罪喰い狩りに励めば、いずれソープロシュネーを、おびき出すことができる！			とにかく、目撃された場所の近くで、罪喰い狩りに励めば、いずれソープロシュネーを、おびき出すことができる！			古の大再生魔法							
結局、行動原理の解明も進んでおらんゆえ、こうなったら一度、ダメ元で戦ってみようと思うんじゃ。手合わせすることで、得られる情報もあるかもしれん。			結局、行動原理の解明も進んでおらんゆえ、こうなったら一度、ダメ元で戦ってみようと思うんじゃ。手合わせすることで、得られる情報もあるかもしれん。			古の大再生魔法							
ま……ワシとお前さんの腕なら、無理をせん限り、倒せずとも逃げ切ることくらいはできるじゃろ。			ま……ワシとお前さんの腕なら、無理をせん限り、倒せずとも逃げ切ることくらいはできるじゃろ。			古の大再生魔法							
さて、今回の目的地はラケティカ大森林じゃ！呑み友達によれば、はぐれ罪喰いが目撃されておるらしい。戦支度を整えて来い……「スリザーバウ」で合流じゃ！			さて、今回の目的地はラケティカ大森林じゃ！呑み友達によれば、はぐれ罪喰いが目撃されておるらしい。戦支度を整えて来い……「スリザーバウ」で合流じゃ！			古の大再生魔法							
ング、ング、ング……プハァ……。			ング、ング、ング……プハァ……。			古の大再生魔法							
ワシは、以前にソープロシュネーを探し求めて、ラケティカ大森林を訪れたことがあっての……。ここの連中とも、それなりに仲が良いんじゃよ。			ワシは、以前にソープロシュネーを探し求めて、ラケティカ大森林を訪れたことがあっての……。ここの連中とも、それなりに仲が良いんじゃよ。			古の大再生魔法							
闇なんぞを崇め奉る奇妙な連中じゃが、酒を酌み交わせば、悪いやつらじゃないとわかる。乾杯、ラリホー、もう一杯ってなもんよ。			闇なんぞを崇め奉る奇妙な連中じゃが、酒を酌み交わせば、悪いやつらじゃないとわかる。乾杯、ラリホー、もう一杯ってなもんよ。			古の大再生魔法							
それでな、久しぶりに森の果実酒を楽しみながら、情報を集めてみたわけじゃが……			それでな、久しぶりに森の果実酒を楽しみながら、情報を集めてみたわけじゃが……			古の大再生魔法							
はぐれ罪喰いどもは、この集落を出て東、「イキス・マヤエの森」に出没するらしいぞい。例によって手分けをして、罪喰いを狩ってから合流じゃ！			はぐれ罪喰いどもは、この集落を出て東、「イキス・マヤエの森」に出没するらしいぞい。例によって手分けをして、罪喰いを狩ってから合流じゃ！			古の大再生魔法							
まさかお前さん……酔っているわけじゃあるまいな？いいか、手分けをして罪喰いを何体か倒してから、ここでまた合流じゃ！			まさかお前さん……酔っているわけじゃあるまいな？いいか、手分けをして罪喰いを何体か倒してから、ここでまた合流じゃ！			古の大再生魔法							
さて、これで下準備は完了じゃな……。そこらの木陰に隠れて、やっこさんを待つとするかの。			さて、これで下準備は完了じゃな……。そこらの木陰に隠れて、やっこさんを待つとするかの。			古の大再生魔法							
(-ジオットの囁き声-)そろそろ、やっこさんが現れても良い頃合いじゃが……。			(-ジオットの囁き声-)そろそろ、やっこさんが現れても良い頃合いじゃが……。			古の大再生魔法							
(-ジオットの囁き声-)ムッ！？いつの間に……転移してきたのか！			(-ジオットの囁き声-)ムッ！？いつの間に……転移してきたのか！			古の大再生魔法							
(-ジオットの囁き声-)Forename、いつでも仕掛けられるよう、準備を怠るなよ？まずは観察が優先じゃが、いつ見つかるかわからんからの！			(-ジオットの囁き声-)Forename、いつでも仕掛けられるよう、準備を怠るなよ？まずは観察が優先じゃが、いつ見つかるかわからんからの！			古の大再生魔法							
そのまま散ってしまえい！			そのまま散ってしまえい！			古の大再生魔法							
ま、そう上手くはいかんわな……。無限の再生能力……こいつは、ちとやっかいじゃぞい。			ま、そう上手くはいかんわな……。無限の再生能力……こいつは、ちとやっかいじゃぞい。			古の大再生魔法							
Forename！まさか、お前さん、また……！			Forename！まさか、お前さん、また……！			古の大再生魔法							
こいつが、失われた大再生魔法の守護者ってわけか！ラミット……準備はいいな！？			こいつが、失われた大再生魔法の守護者ってわけか！ラミット……準備はいいな！？			古の大再生魔法							
もちろんよ……。この魔法を求めて、私は長い旅に耐えてきたんだもの……必ず勝利して、古代ロンカ文明の遺産を継承してみせるわ！			もちろんよ……。この魔法を求めて、私は長い旅に耐えてきたんだもの……必ず勝利して、古代ロンカ文明の遺産を継承してみせるわ！			古の大再生魔法							
よし、倒したッ！みんな、無事だな？			よし、倒したッ！みんな、無事だな？			古の大再生魔法							
ええ、大丈夫よ。それよりも、まずは目的を果たしてしまいましょう。古代ロンカ文明の封印されし大再生魔法……その継承を！			ええ、大丈夫よ。それよりも、まずは目的を果たしてしまいましょう。古代ロンカ文明の封印されし大再生魔法……その継承を！			古の大再生魔法							
ラミット……この像から感じる魔力は、相当なものです。お気をつけて……。			ラミット……この像から感じる魔力は、相当なものです。お気をつけて……。			古の大再生魔法							
ありがとう、シルヴァ。でも、ここまで来て、後戻りなんてできないわ。			ありがとう、シルヴァ。でも、ここまで来て、後戻りなんてできないわ。			古の大再生魔法							
知恵の番人たる聖なるフクロウよ……。ロンカ皇帝の名において、導師ラミットが命ず……。封ぜられし再生の魔法を、我に開示せよ！			知恵の番人たる聖なるフクロウよ……。ロンカ皇帝の名において、導師ラミットが命ず……。封ぜられし再生の魔法を、我に開示せよ！			古の大再生魔法							
大丈夫か、ラミット！？			大丈夫か、ラミット！？			古の大再生魔法							
や、やったわ……。ついに、手に入れた……古の大再生魔法「リバイヴ」を！			や、やったわ……。ついに、手に入れた……古の大再生魔法「リバイヴ」を！			古の大再生魔法							
これで……これで、妹たちを助けられる！			これで……これで、妹たちを助けられる！			古の大再生魔法							
よし、それじゃあ、ブランデンやナイルベルトたちと合流して、妹さんのところに向かおうぜ！			よし、それじゃあ、ブランデンやナイルベルトたちと合流して、妹さんのところに向かおうぜ！			古の大再生魔法							
しゃきっとせんかい！このアホ面ヒュム高慢エルフ破廉恥ドワーフ猫もどきのミステル筋肉ゴリゴリガルジェント鱗まみれのドラン通さないロンゾピョンピョコ兎のヴィース娘野郎！！お前の母ちゃんホブゴブリン！！			しゃきっとせんかい！このアホ面ヒュム高慢エルフ破廉恥ドワーフ猫もどきのミステル筋肉ゴリゴリガルジェント鱗まみれのドラン通さないロンゾピョンピョコ兎のヴィース娘野郎！！お前の母ちゃんホブゴブリン！！			古の大再生魔法							
どうやら、また過去を視たようじゃな。その力……知り得ぬことを解明するには役立つが、戦の最中だけは、止めてくれんか？			どうやら、また過去を視たようじゃな。その力……知り得ぬことを解明するには役立つが、戦の最中だけは、止めてくれんか？			古の大再生魔法							
フラフラのお前さんを庇いながら、ソープロシュネーを追い返すのに、どれほど苦労したことか！ま、一族最強のワシの腕前に感謝するがいいぞい！			フラフラのお前さんを庇いながら、ソープロシュネーを追い返すのに、どれほど苦労したことか！ま、一族最強のワシの腕前に感謝するがいいぞい！			古の大再生魔法							
それで……今回は何を視たんじゃ？			それで……今回は何を視たんじゃ？			古の大再生魔法							
ふむ……古代ロンカ文明の封印されし大再生魔法、か……。どうにも、その辺りがソープロシュネーの能力と、関わりがありそうじゃの……。			ふむ……古代ロンカ文明の封印されし大再生魔法、か……。どうにも、その辺りがソープロシュネーの能力と、関わりがありそうじゃの……。			古の大再生魔法							
よし、今回はここまでとしよう。いずれにせよ、もう少し調査が必要じゃ。クリスタリウムに戻って、知的探求といくぞい。			よし、今回はここまでとしよう。いずれにせよ、もう少し調査が必要じゃ。クリスタリウムに戻って、知的探求といくぞい。			古の大再生魔法							
ング、ング、ング……プハァ……。気持ちのいい戦のあとは、麦酒に限るのう！			ング、ング、ング……プハァ……。気持ちのいい戦のあとは、麦酒に限るのう！			古の大再生魔法							
なんじゃ、その眼は……。ドワーフが酒を呑まずして何とする？			なんじゃ、その眼は……。ドワーフが酒を呑まずして何とする？			古の大再生魔法							
しかし、同じ酒ばかり呑んでおるわけじゃないぞ？戦の後は麦酒、本を読むなら蜂蜜酒、歌を歌うなら果実酒、口喧嘩をするなら蒸留酒に限る！			しかし、同じ酒ばかり呑んでおるわけじゃないぞ？戦の後は麦酒、本を読むなら蜂蜜酒、歌を歌うなら果実酒、口喧嘩をするなら蒸留酒に限る！			古の大再生魔法							
さて、次は蜂蜜酒でも頼むとするか……。古の大再生魔法と、ラミットの妹とやらがいた場所、古文書やら一族の記録やらにあたって、調べるしかないからの……。			さて、次は蜂蜜酒でも頼むとするか……。古の大再生魔法と、ラミットの妹とやらがいた場所、古文書やら一族の記録やらにあたって、調べるしかないからの……。			古の大再生魔法							
と、いうことで、ワシは蜂蜜酒を呑まにゃならん。お前さんは、適当に修行でもして待っておくことじゃな！			と、いうことで、ワシは蜂蜜酒を呑まにゃならん。お前さんは、適当に修行でもして待っておくことじゃな！			古の大再生魔法							
彷徨う階段亭のジオットは、酒を味わいながらも冒険者に鋭い視線を送っているようだ。			彷徨う階段亭のジオットは、酒を味わいながらも冒険者に鋭い視線を送っているようだ。			治癒魔法の原理							
ソープロシュネーの再生能力の手がかりを得るため、罪喰いを癒やす実験を試みることになった。アム・アレーンのモルド・スークで「ジオット」と話そう。			ソープロシュネーの再生能力の手がかりを得るため、罪喰いを癒やす実験を試みることになった。アム・アレーンのモルド・スークで「ジオット」と話そう。			治癒魔法の原理							
ジオットは、酒の力で罪喰いを倒してみせると去っていった。ジオット曰く、モルドの地酒はなかなかのものらしい。モルド・スークにジオットが残していった「モルドの地酒」を調べよう。			ジオットは、酒の力で罪喰いを倒してみせると去っていった。ジオット曰く、モルドの地酒はなかなかのものらしい。モルド・スークにジオットが残していった「モルドの地酒」を調べよう。			治癒魔法の原理							
モルドの地酒は、モルド族以外は呑めたものではないらしい。モルド・スークの南東に向かい、「ジオット」と合流しよう。			モルドの地酒は、モルド族以外は呑めたものではないらしい。モルド・スークの南東に向かい、「ジオット」と合流しよう。			治癒魔法の原理							
ジオットは、見事に罪喰いを討伐していた。「倒された罪喰い」を癒し、治癒魔法による変化はないか様子を見てみよう。			ジオットは、見事に罪喰いを討伐していた。「倒された罪喰い」を癒し、治癒魔法による変化はないか様子を見てみよう。			治癒魔法の原理							
ソープロシュネーの再生能力は、治癒魔法とは異なるものらしい。また、ソープロシュネー自体も、何かしらの行動原理があって再生を行っているようだ。彷徨う階段亭に戻り、「ジオット」と話そう。			ソープロシュネーの再生能力は、治癒魔法とは異なるものらしい。また、ソープロシュネー自体も、何かしらの行動原理があって再生を行っているようだ。彷徨う階段亭に戻り、「ジオット」と話そう。			治癒魔法の原理							
ジオットは、見落としている何かを思い出すまで酒を呑むという。その間の時間を無駄にしないよう、冒険者も有意義に過ごそう。※いずれかのHEALERジョブのレベルが76以上になると、彷徨う階段亭のジオットから次のHEALERロールクエストを受注することができます。			ジオットは、見落としている何かを思い出すまで酒を呑むという。その間の時間を無駄にしないよう、冒険者も有意義に過ごそう。※いずれかのHEALERジョブのレベルが76以上になると、彷徨う階段亭のジオットから次のHEALERロールクエストを受注することができます。			治癒魔法の原理							
モルド・スークのジオットと話す			モルド・スークのジオットと話す			治癒魔法の原理							
モルドの地酒を調べる			モルドの地酒を調べる			治癒魔法の原理							
ジオットと合流			ジオットと合流			治癒魔法の原理							
倒された罪喰いを癒す			倒された罪喰いを癒す			治癒魔法の原理							
彷徨う階段亭のジオットと話す			彷徨う階段亭のジオットと話す			治癒魔法の原理							
ング、ング、ング……プハァ……。			ング、ング、ング……プハァ……。			治癒魔法の原理							
ラリホー！我が相棒、Forenameよ！なかなかに実力に磨きをかけてきたようじゃな！			ラリホー！我が相棒、Forenameよ！なかなかに実力に磨きをかけてきたようじゃな！			治癒魔法の原理							
ヒック……言わんでもいい！二重……いや三重に分裂して見える、お前さんの身のこなし……壮絶な修行を積んだからこそ、体得できたのだとわかるぞい！			ヒック……言わんでもいい！二重……いや三重に分裂して見える、お前さんの身のこなし……壮絶な修行を積んだからこそ、体得できたのだとわかるぞい！			治癒魔法の原理							
……わかっておるじゃろうが、冗談じゃぞ？ドワーフが、この程度の酒で目を回すものか！			……わかっておるじゃろうが、冗談じゃぞ？ドワーフが、この程度の酒で目を回すものか！			治癒魔法の原理							
……ゴホン。ところで、お前さん、ソープロシュネーの再生能力を、封殺する方法を思いついたかの？			……ゴホン。ところで、お前さん、ソープロシュネーの再生能力を、封殺する方法を思いついたかの？			治癒魔法の原理							
ふむ、さしものForenameも、一度、見ただけで対策を考案することはできんか……。ならば、少しばかり実験してみるぞい。			ふむ、さしものForenameも、一度、見ただけで対策を考案することはできんか……。ならば、少しばかり実験してみるぞい。			治癒魔法の原理							
はぐれ罪喰いを探して仕留め、お前さんの治癒魔法で癒してみるのじゃ。			はぐれ罪喰いを探して仕留め、お前さんの治癒魔法で癒してみるのじゃ。			治癒魔法の原理							
もちろん、罪喰いは生物ではないゆえ、治癒は失敗するじゃろう。じゃが、いかに失敗するのか反応を確認することで、ソープロシュネーの能力に迫る手がかりが得られるかもしれん。			もちろん、罪喰いは生物ではないゆえ、治癒は失敗するじゃろう。じゃが、いかに失敗するのか反応を確認することで、ソープロシュネーの能力に迫る手がかりが得られるかもしれん。			治癒魔法の原理							
酒場に来ていた隊商から聞いたところによれば、折よく、アム・アレーンで、はぐれ罪喰いが出没しておるらしい。さっそく「モルド・スーク」に向かうぞい！			酒場に来ていた隊商から聞いたところによれば、折よく、アム・アレーンで、はぐれ罪喰いが出没しておるらしい。さっそく「モルド・スーク」に向かうぞい！			治癒魔法の原理							
ング、ング、ング……プハァ……。			ング、ング、ング……プハァ……。			治癒魔法の原理							
モルド族が作る酒なぞ、呑めたもんではないと思っておったが、なかなかどうして、イケるではないか！			モルド族が作る酒なぞ、呑めたもんではないと思っておったが、なかなかどうして、イケるではないか！			治癒魔法の原理							
もう、このやりとりも、いい加減ウンザリしてきたぞと言いたげな顔じゃの。じゃが、ドワーフは呑めば呑むほど強くなる……ヒック！			もう、このやりとりも、いい加減ウンザリしてきたぞと言いたげな顔じゃの。じゃが、ドワーフは呑めば呑むほど強くなる……ヒック！			治癒魔法の原理							
嘘だと思うかの……？ならば、ワシ自らが証明してみせるぞい！			嘘だと思うかの……？ならば、ワシ自らが証明してみせるぞい！			治癒魔法の原理							
すでに、はぐれ罪喰いが現れる場所は、調べておいた。ワシが先に行って、酒の力でチョチョイと倒しておくからの。			すでに、はぐれ罪喰いが現れる場所は、調べておいた。ワシが先に行って、酒の力でチョチョイと倒しておくからの。			治癒魔法の原理							
では、後でモルド・スークの南東に来るが良い！あ……そこにある「モルドの地酒」……まだ残ってるから、お前さん呑んでもいいぞい！			では、後でモルド・スークの南東に来るが良い！あ……そこにある「モルドの地酒」……まだ残ってるから、お前さん呑んでもいいぞい！			治癒魔法の原理							
半分ほど残った「モルドの地酒」だ。強烈な匂いを放っている。			半分ほど残った「モルドの地酒」だ。強烈な匂いを放っている。			治癒魔法の原理							
モルドの地酒を呑む？			モルドの地酒を呑む？			治癒魔法の原理							
呑む！			呑む！			治癒魔法の原理							
呑まない……			呑まない……			治癒魔法の原理							
覚悟を決めて「モルドの地酒」を呑み干した！最初に感じたのは、泥水のような風味この世のものとは思えぬ泥臭ささわやかな春風のような風味舌先の痺れ味のないただの水酒精の強さ遠い日の思い出神々を呪いたくなる雑味、最後に残ったのは、焼け付くような喉の痛み自分の決断への後悔かすかに甘みのあるフルーティーな後味虚無ただの酒精軽い酩酊感明日への希望砂利のような喉の異物感……。			覚悟を決めて「モルドの地酒」を呑み干した！最初に感じたのは、泥水のような風味この世のものとは思えぬ泥臭ささわやかな春風のような風味舌先の痺れ味のないただの水酒精の強さ遠い日の思い出神々を呪いたくなる雑味、最後に残ったのは、焼け付くような喉の痛み自分の決断への後悔かすかに甘みのあるフルーティーな後味虚無ただの酒精軽い酩酊感明日への希望砂利のような喉の異物感……。			治癒魔法の原理							
あのドワーフと同じくらい、いい呑みっぷりネ！モルド族以外で、その酒をひと口以上呑めたのは、アナタたち二人だけネ、驚愕ネ！			あのドワーフと同じくらい、いい呑みっぷりネ！モルド族以外で、その酒をひと口以上呑めたのは、アナタたち二人だけネ、驚愕ネ！			治癒魔法の原理							
超える力か、あるいは生物としての純粋な生存本能か、とにかく危険を察知したので、呑むのをやめておいた。			超える力か、あるいは生物としての純粋な生存本能か、とにかく危険を察知したので、呑むのをやめておいた。			治癒魔法の原理							
たしかに、止めておいたほうがいいネ！モルド族以外で、その酒を普通に呑んだのは、さっきのドワーフだけネ、驚愕ネ！			たしかに、止めておいたほうがいいネ！モルド族以外で、その酒を普通に呑んだのは、さっきのドワーフだけネ、驚愕ネ！			治癒魔法の原理							
はぐれ罪喰いが倒れている……。			はぐれ罪喰いが倒れている……。			治癒魔法の原理							
ほれ、見ての通り、罪喰いは始末したぞい！			ほれ、見ての通り、罪喰いは始末したぞい！			治癒魔法の原理							
実は、もう1体倒したんじゃが、張り切りすぎて、原型を留めんくらいになってしまっての！危うく、イロイロと逆流しかけたもんで、片付けておいたぞい。			実は、もう1体倒したんじゃが、張り切りすぎて、原型を留めんくらいになってしまっての！危うく、イロイロと逆流しかけたもんで、片付けておいたぞい。			治癒魔法の原理							
とにかく、ワシが酒を呑んでも、戦いに支障がないことはハッキリしたはずじゃ。ここらで、今日の目的を果たしておくぞい。			とにかく、ワシが酒を呑んでも、戦いに支障がないことはハッキリしたはずじゃ。ここらで、今日の目的を果たしておくぞい。			治癒魔法の原理							
この「倒された罪喰い」に向かって、治癒を施してみてくれんかの？			この「倒された罪喰い」に向かって、治癒を施してみてくれんかの？			治癒魔法の原理							
この「倒された罪喰い」に向かって、治癒を施してみてくれんかの？			この「倒された罪喰い」に向かって、治癒を施してみてくれんかの？			治癒魔法の原理							
ふむ……予想どおりではあるが、反応はないの。ここから導き出されるのは……？			ふむ……予想どおりではあるが、反応はないの。ここから導き出されるのは……？			治癒魔法の原理							
治癒魔法が効かないということは？			治癒魔法が効かないということは？			治癒魔法の原理							
