格闘士ギルド受付のガガルナは、冒険者に依頼があるようだ。			格闘士ギルド受付のガガルナは、冒険者に依頼があるようだ。			亡国からの雷動							
ハ・ラハ・ティアを倒せ！			ハ・ラハ・ティアを倒せ！			力を統べる者、力を担う者							
Forename、未だ死闘を経ずして、互いの「第七のチャクラ」を開く方法は見つかっていません。			Forename、未だ死闘を経ずして、互いの「第七のチャクラ」を開く方法は見つかっていません。			力を統べる者、力を担う者							
……ですが、もう時間がありません。ハ・ラハ・ティアとの交渉を引っ張るのも、そろそろ限界……。我々は、戦わねばなりません。			……ですが、もう時間がありません。ハ・ラハ・ティアとの交渉を引っ張るのも、そろそろ限界……。我々は、戦わねばなりません。			力を統べる者、力を担う者							
チャクハが「リトルアラミゴ」付近で、最後の情報収集をしています。ひとまず彼女と合流しましょう。			チャクハが「リトルアラミゴ」付近で、最後の情報収集をしています。ひとまず彼女と合流しましょう。			力を統べる者、力を担う者							
時間はもうない、さてどうするべきでしょうか……。			時間はもうない、さてどうするべきでしょうか……。			力を統べる者、力を担う者							
ああ、Forenameさん……。私が探ったところ、ゼンツァはまだ殺されていませんでした。ただ、先ほど遺跡方面に連れていかれたようです……。			ああ、Forenameさん……。私が探ったところ、ゼンツァはまだ殺されていませんでした。ただ、先ほど遺跡方面に連れていかれたようです……。			力を統べる者、力を担う者							
結局、死闘を経ずしてチャクラを開く方法も、私には見つけることができませんでした……。……それなのに、もう交渉の時間切れだなんて。			結局、死闘を経ずしてチャクラを開く方法も、私には見つけることができませんでした……。……それなのに、もう交渉の時間切れだなんて。			力を統べる者、力を担う者							
……Forenameさん。今最もチャクラが開いているのはあなたです。あなたは、陽の第七、陰の第六までチャクラを開いている。			……Forenameさん。今最もチャクラが開いているのはあなたです。あなたは、陽の第七、陰の第六までチャクラを開いている。			力を統べる者、力を担う者							
あとは陰の「第七のチャクラ」が開けば、師匠と同等に……。だからForenameさん、お願いします！……私と戦って、最後のチャクラを開いてください！			あとは陰の「第七のチャクラ」が開けば、師匠と同等に……。だからForenameさん、お願いします！……私と戦って、最後のチャクラを開いてください！			力を統べる者、力を担う者							
オ・チャクハと死闘をする？			オ・チャクハと死闘をする？			力を統べる者、力を担う者							
はい			はい			力を統べる者、力を担う者							
いいえ			いいえ			力を統べる者、力を担う者							
(-ウィダルゲルト-)ま、待ってください！もし、死闘によってチャクハが死んでしまったら……。そうして得た力で、ゼンツァを助ける意味はあるのですか！？			(-ウィダルゲルト-)ま、待ってください！もし、死闘によってチャクハが死んでしまったら……。そうして得た力で、ゼンツァを助ける意味はあるのですか！？			力を統べる者、力を担う者							
(-ウィダルゲルト-)強大な力は確かに魅力です……。ですが、本当に大事なものを見失ってしまったら、かつての僕と同じではありませんか！！			(-ウィダルゲルト-)強大な力は確かに魅力です……。ですが、本当に大事なものを見失ってしまったら、かつての僕と同じではありませんか！！			力を統べる者、力を担う者							
(-ウィダルゲルト-)チャクハ、落ち着いてください……。Forenameの言うとおりです！			(-ウィダルゲルト-)チャクハ、落ち着いてください……。Forenameの言うとおりです！			力を統べる者、力を担う者							
(-ウィダルゲルト-)陰の「第七のチャクラ」を開けば、確かに勝率はあがります。でも、君を失ってゼンツァを助けても、彼女は喜びません！			(-ウィダルゲルト-)陰の「第七のチャクラ」を開けば、確かに勝率はあがります。でも、君を失ってゼンツァを助けても、彼女は喜びません！			力を統べる者、力を担う者							
(-ウィダルゲルト-)僕たちのチャクラは、ハ・ラハ・ティアには及ばない。でも、足りない力を補い、力を合わせて戦えば……。奇跡は起こるはずです。			(-ウィダルゲルト-)僕たちのチャクラは、ハ・ラハ・ティアには及ばない。でも、足りない力を補い、力を合わせて戦えば……。奇跡は起こるはずです。			力を統べる者、力を担う者							
(-ウィダルゲルト-)「陰の流派」と「陽の流派」が反目しあう前……陰陽の流派が入り混じったラールガー星導教とは、そうした戦い方をする「仲間」だったのではないでしょうか。			(-ウィダルゲルト-)「陰の流派」と「陽の流派」が反目しあう前……陰陽の流派が入り混じったラールガー星導教とは、そうした戦い方をする「仲間」だったのではないでしょうか。			力を統べる者、力を担う者							
……ありがとうございます、ウィダルゲルト。			……ありがとうございます、ウィダルゲルト。			力を統べる者、力を担う者							
(-ウィダルゲルト-)それでは、ハ・ラハ・ティアの下に行きましょう！まずは僕が彼の説得にかかります。それでダメなら……手を合わせて戦いましょう！			(-ウィダルゲルト-)それでは、ハ・ラハ・ティアの下に行きましょう！まずは僕が彼の説得にかかります。それでダメなら……手を合わせて戦いましょう！			力を統べる者、力を担う者							
さぁ、行きましょう！			さぁ、行きましょう！			力を統べる者、力を担う者							
Forename、用意はいいですか？それでは、ハ・ラハ・ティアの居る場所に向かいましょう！			Forename、用意はいいですか？それでは、ハ・ラハ・ティアの居る場所に向かいましょう！			力を統べる者、力を担う者							
ハ・ラハ・ティア！近くで見ているのだろう……聞け！！			ハ・ラハ・ティア！近くで見ているのだろう……聞け！！			力を統べる者、力を担う者							
僕たちは、お前が持ちかけた取引には応じない！我々「陽の流派」と「陰の流派」は、源流を同じくする仲間！反目する意味などなく、率先して手を取りあうべき存在だ！			僕たちは、お前が持ちかけた取引には応じない！我々「陽の流派」と「陰の流派」は、源流を同じくする仲間！反目する意味などなく、率先して手を取りあうべき存在だ！			力を統べる者、力を担う者							
陰陽合わせた、かつてのラールガー星導教を再興しよう！それこそが、星導山寺院を興した開祖への義である！！			陰陽合わせた、かつてのラールガー星導教を再興しよう！それこそが、星導山寺院を興した開祖への義である！！			力を統べる者、力を担う者							
「陽の流派」を継ぎし者は、想像どおりの腑抜けですね……。あなたは、ラールガー星導教の本質を忘れているようです。			「陽の流派」を継ぎし者は、想像どおりの腑抜けですね……。あなたは、ラールガー星導教の本質を忘れているようです。			力を統べる者、力を担う者							
破壊の神「ラールガー」に近づくため、過酷な研鑽を積むことこそが、星導教の本質……。			破壊の神「ラールガー」に近づくため、過酷な研鑽を積むことこそが、星導教の本質……。			力を統べる者、力を担う者							
同志との死闘によってしか、陰陽十四のチャクラをすべて開くことができぬのも、この「本質」を忘れぬための試練と言えましょう。			同志との死闘によってしか、陰陽十四のチャクラをすべて開くことができぬのも、この「本質」を忘れぬための試練と言えましょう。			力を統べる者、力を担う者							
「陽の流派」はアラミゴ王家におもねることで、本質を忘れた。滅ぼされたのも道理というものでしょう……。			「陽の流派」はアラミゴ王家におもねることで、本質を忘れた。滅ぼされたのも道理というものでしょう……。			力を統べる者、力を担う者							
お前たちが我らの糧となることで、ラールガー星導教は強く、大きくなるのです。それこそが、星導山寺院を興した開祖への義！			お前たちが我らの糧となることで、ラールガー星導教は強く、大きくなるのです。それこそが、星導山寺院を興した開祖への義！			力を統べる者、力を担う者							
「陽の流派」は王家と癒着し、その破壊の力を民に向けたことで滅んだ！本質ではなく、力の使い方を間違えたゆえ！			「陽の流派」は王家と癒着し、その破壊の力を民に向けたことで滅んだ！本質ではなく、力の使い方を間違えたゆえ！			力を統べる者、力を担う者							
これもまた、お前の言う「破壊」を求めた結果だ！「陰の流派」もまた、仲間の命の破壊を是とするのならば、かつての「陽の流派」と同じく滅ぶだろう！			これもまた、お前の言う「破壊」を求めた結果だ！「陰の流派」もまた、仲間の命の破壊を是とするのならば、かつての「陽の流派」と同じく滅ぶだろう！			力を統べる者、力を担う者							
我々は、考えねばならない！同志との死闘によってしか、陰陽十四のチャクラは開かない。ならば、それを避ける方法を……綺麗ごとを考え続けるのだ！			我々は、考えねばならない！同志との死闘によってしか、陰陽十四のチャクラは開かない。ならば、それを避ける方法を……綺麗ごとを考え続けるのだ！			力を統べる者、力を担う者							
力を担う者は、偉大な世界と同じ重責を果たす義務がある！未来を生きる我々が学ぶべきは、過去ではなく未来だ！再興のための「力」を、どう使うか考えるべきだ！			力を担う者は、偉大な世界と同じ重責を果たす義務がある！未来を生きる我々が学ぶべきは、過去ではなく未来だ！再興のための「力」を、どう使うか考えるべきだ！			力を統べる者、力を担う者							
綺麗ごとしかわからぬ餓鬼が……。私の目的を邪魔するものは、すべて排除するまで……。ゼンツァとチャクハ……そしてウィダルゲルトを殺しなさい！			綺麗ごとしかわからぬ餓鬼が……。私の目的を邪魔するものは、すべて排除するまで……。ゼンツァとチャクハ……そしてウィダルゲルトを殺しなさい！			力を統べる者、力を担う者							
そして、我が陰の流派の糧とするため、陽の「第七のチャクラ」を開きしヒューラン族エレゼン族ララフェル族ミコッテ族ルガディン族アウラ族ロスガル族ヴィエラ族の冒険者を、生け捕りとするのです！			そして、我が陰の流派の糧とするため、陽の「第七のチャクラ」を開きしヒューラン族エレゼン族ララフェル族ミコッテ族ルガディン族アウラ族ロスガル族ヴィエラ族の冒険者を、生け捕りとするのです！			力を統べる者、力を担う者							
ゼンツァ、ゼンツァ！　大丈夫！？			ゼンツァ、ゼンツァ！　大丈夫！？			力を統べる者、力を担う者							
チャクハ……ウィダルゲルト……。ありがとう、ありがとう……。			チャクハ……ウィダルゲルト……。ありがとう、ありがとう……。			力を統べる者、力を担う者							
……育ててもらった恩を忘れ、師を裏切るとは。まったく、ゼンツァとチャクハは悪い子ですね。			……育ててもらった恩を忘れ、師を裏切るとは。まったく、ゼンツァとチャクハは悪い子ですね。			力を統べる者、力を担う者							
お前たちも陽の継承者も、もはや不要……。生命を支える「気」を差し出し、私に詫びなさい。			お前たちも陽の継承者も、もはや不要……。生命を支える「気」を差し出し、私に詫びなさい。			力を統べる者、力を担う者							
みなぎる、みなぎる！！3人の「気」が我が血流にのり、体内を巡っている！愚かな弟子も、最後に師の力となれて嬉しいでしょう！！			みなぎる、みなぎる！！3人の「気」が我が血流にのり、体内を巡っている！愚かな弟子も、最後に師の力となれて嬉しいでしょう！！			力を統べる者、力を担う者							
ククク……。温かい……まるで、湯の中にいるようだ……。今の私なら、過去最強の技を放てそうですよ……。			ククク……。温かい……まるで、湯の中にいるようだ……。今の私なら、過去最強の技を放てそうですよ……。			力を統べる者、力を担う者							
さあ、お前らは用済みだ……死ね！！			さあ、お前らは用済みだ……死ね！！			力を統べる者、力を担う者							
私の最高の技を、受け止めた……だと！？			私の最高の技を、受け止めた……だと！？			力を統べる者、力を担う者							
Forename……！まさか先の戦いで、最後のチャクラが開いたのか！？			Forename……！まさか先の戦いで、最後のチャクラが開いたのか！？			力を統べる者、力を担う者							
これで、Forenameの陰陽すべてのチャクラが開いた！……つまり、奴と同等の力になったということ！			これで、Forenameの陰陽すべてのチャクラが開いた！……つまり、奴と同等の力になったということ！			力を統べる者、力を担う者							
ええ……！私たちがForenameを支えれば……勝機はあります！			ええ……！私たちがForenameを支えれば……勝機はあります！			力を統べる者、力を担う者							
勝機、ですって……？我が弟子は、素行も悪ければ頭も悪いようだ。やれやれ、どこで育て方を間違えたんでしょうね……。			勝機、ですって……？我が弟子は、素行も悪ければ頭も悪いようだ。やれやれ、どこで育て方を間違えたんでしょうね……。			力を統べる者、力を担う者							
Forenameはチャクラが開いたばかり……。かたや私は、3人のモンクから新鮮な「気」を奪い、大いなる力を手にしているのです！			Forenameはチャクラが開いたばかり……。かたや私は、3人のモンクから新鮮な「気」を奪い、大いなる力を手にしているのです！			力を統べる者、力を担う者							
死にぞこないの雑魚が何匹増えようと、関係ない！そのすべてを、私が蹴散らしてやりましょう！！			死にぞこないの雑魚が何匹増えようと、関係ない！そのすべてを、私が蹴散らしてやりましょう！！			力を統べる者、力を担う者							
チャクハに事情は聞いたよ。まさか助けに来てくれるだなんて、思わなかったよ……。本当に、ありがとう。			チャクハに事情は聞いたよ。まさか助けに来てくれるだなんて、思わなかったよ……。本当に、ありがとう。			力を統べる者、力を担う者							
ああ、ゼンツァとこうして再会できるなんて……！本当に……夢みたいです！！			ああ、ゼンツァとこうして再会できるなんて……！本当に……夢みたいです！！			力を統べる者、力を担う者							
僕ら3人は、ゼンツァを救うことができた。この、力のおかげで……。			僕ら3人は、ゼンツァを救うことができた。この、力のおかげで……。			力を統べる者、力を担う者							
だけど結局、ハ・ラハ・ティアを説得することはできなかった。……僕は、戦うことでしか未来を切り開けないのだろうか。			だけど結局、ハ・ラハ・ティアを説得することはできなかった。……僕は、戦うことでしか未来を切り開けないのだろうか。			力を統べる者、力を担う者							
破壊の中でしか……ラールガー星導教は生きられないのだろうか……。			破壊の中でしか……ラールガー星導教は生きられないのだろうか……。			力を統べる者、力を担う者							
……でもさ、アタシたちは、あんたたちの力のおかげで救われたんだよ。「モンク」の力は、何かを救う力なんだ。			……でもさ、アタシたちは、あんたたちの力のおかげで救われたんだよ。「モンク」の力は、何かを救う力なんだ。			力を統べる者、力を担う者							
ウィダルゲルト、お願いがあります……。陰陽が協力しあう「ラールガー星導教」の再興を、私たちに手伝わせてください。			ウィダルゲルト、お願いがあります……。陰陽が協力しあう「ラールガー星導教」の再興を、私たちに手伝わせてください。			力を統べる者、力を担う者							
まだ生き残ってる「陰の流派」の連中も、連れてくる。新たな陰陽ラールガー星導教を興そう？それで、みんなで力のことを考えよう？			まだ生き残ってる「陰の流派」の連中も、連れてくる。新たな陰陽ラールガー星導教を興そう？それで、みんなで力のことを考えよう？			力を統べる者、力を担う者							
ひとりで考えると、どうしても暗くなりがちだ。だけど、仲間と一緒に考えると、明るくなれる。同じ志を持つもの同士なら、なおさらさ。			ひとりで考えると、どうしても暗くなりがちだ。だけど、仲間と一緒に考えると、明るくなれる。同じ志を持つもの同士なら、なおさらさ。			力を統べる者、力を担う者							
陰陽十四すべてのチャクラを開いた存在は、ハ・ラハ・ティア亡き今、Forenameだけ。優しい力を持つ「モンク」です。			陰陽十四すべてのチャクラを開いた存在は、ハ・ラハ・ティア亡き今、Forenameだけ。優しい力を持つ「モンク」です。			力を統べる者、力を担う者							
破壊のみを求めたわけではないForenameが、ラールガー星導教の至高の高みにいたっている……。それは古い因習の破壊……新たな道の創造です。			破壊のみを求めたわけではないForenameが、ラールガー星導教の至高の高みにいたっている……。それは古い因習の破壊……新たな道の創造です。			力を統べる者、力を担う者							
それにForenameは、奴の技を受け止めることで、最後のチャクラを開いた。どちらかが死なずとも、チャクラを開く手はあるということ！			それにForenameは、奴の技を受け止めることで、最後のチャクラを開いた。どちらかが死なずとも、チャクラを開く手はあるということ！			力を統べる者、力を担う者							
……ゼンツァ、チャクハ、ありがとう。ともに「力」の使い方を考え、道をつくりましょう！僕らが、新たなラールガー星導教の礎を築いていくのです！			……ゼンツァ、チャクハ、ありがとう。ともに「力」の使い方を考え、道をつくりましょう！僕らが、新たなラールガー星導教の礎を築いていくのです！			力を統べる者、力を担う者							
Forename、あなたは我々の目指す高みです。呪縛を壊し、自由を創るために力を使う「モンク」……。			Forename、あなたは我々の目指す高みです。呪縛を壊し、自由を創るために力を使う「モンク」……。			力を統べる者、力を担う者							
我々は、かつて祖先が星に導かれ、山に登ったように、あなたという星を目指して、至高の高みに至る道筋を探します。			我々は、かつて祖先が星に導かれ、山に登ったように、あなたという星を目指して、至高の高みに至る道筋を探します。			力を統べる者、力を担う者							
僕は弱い……迷い、恐れ、後悔をする。ただ、闇の先に光があるだけで、前を向けます。			僕は弱い……迷い、恐れ、後悔をする。ただ、闇の先に光があるだけで、前を向けます。			力を統べる者、力を担う者							
Forename！どうか、「ラールガー星導教」を導く星であってください！強く、正しく、高潔な力の持ち主として！！			Forename！どうか、「ラールガー星導教」を導く星であってください！強く、正しく、高潔な力の持ち主として！！			力を統べる者、力を担う者							
「モンク」の物語が、ひとつの区切りを迎えました！次の「モンク」のジョブクエストを開始するためには、以下の条件を満たす必要があります。			「モンク」の物語が、ひとつの区切りを迎えました！次の「モンク」のジョブクエストを開始するためには、以下の条件を満たす必要があります。			力を統べる者、力を担う者							
1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			力を統べる者、力を担う者							
条件を満たし、彫金師ギルドの「エリック」に話しかけ、新たなジョブクエストを開始しましょう！			条件を満たし、彫金師ギルドの「エリック」に話しかけ、新たなジョブクエストを開始しましょう！			力を統べる者、力を担う者							
僕の……力が……足りなかった……。			僕の……力が……足りなかった……。			力を統べる者、力を担う者							
クハッ……ゼンツァを、お願いします……。			クハッ……ゼンツァを、お願いします……。			力を統べる者、力を担う者							
チャクハ……ごめんね……ありがとう……。			チャクハ……ごめんね……ありがとう……。			力を統べる者、力を担う者							
僕とチャクハが、ゼンツァを助けます！Forenameは、ハ・ラハ・ティアを抑えてください！			僕とチャクハが、ゼンツァを助けます！Forenameは、ハ・ラハ・ティアを抑えてください！			力を統べる者、力を担う者							
ゼンツァ……今助けるから！			ゼンツァ……今助けるから！			力を統べる者、力を担う者							
チャクハ……それにふたりとも、なんでここに……！？			チャクハ……それにふたりとも、なんでここに……！？			力を統べる者、力を担う者							
ククク……私に勝つつもりでも……？			ククク……私に勝つつもりでも……？			力を統べる者、力を担う者							
ふむ、なかなか足掻きますねぇ……。それでは、手を変えてみましょう。			ふむ、なかなか足掻きますねぇ……。それでは、手を変えてみましょう。			力を統べる者、力を担う者							
不穏な気の流れがします……注意してください！			不穏な気の流れがします……注意してください！			力を統べる者、力を担う者							
戦いの中で、覚醒しようとしているのですか……面白い！			戦いの中で、覚醒しようとしているのですか……面白い！			力を統べる者、力を担う者							
敵の手が緩みました、今のうちに……ゼンツァ！			敵の手が緩みました、今のうちに……ゼンツァ！			力を統べる者、力を担う者							
素晴らしい……体中から気が溢れ出てくるぞ！			素晴らしい……体中から気が溢れ出てくるぞ！			力を統べる者、力を担う者							
戦いの中でさらなる成長をしたForenameなら……ハ・ラハ・ティアに勝てるはずです！			戦いの中でさらなる成長をしたForenameなら……ハ・ラハ・ティアに勝てるはずです！			力を統べる者、力を担う者							
周りは私たちが抑えます！Forenameは、ハ・ラハ・ティアを！			周りは私たちが抑えます！Forenameは、ハ・ラハ・ティアを！			力を統べる者、力を担う者							
アタシだって……力になりたい！			アタシだって……力になりたい！			力を統べる者、力を担う者							
さぁ、そろそろ決着をつけましょうかね……。我が最終奥義を、御覧なさい！			さぁ、そろそろ決着をつけましょうかね……。我が最終奥義を、御覧なさい！			力を統べる者、力を担う者							
何か仕掛けてきますよ……気をつけて！			何か仕掛けてきますよ……気をつけて！			力を統べる者、力を担う者							
ハ・ラハ・ティア、もうやめてください！私たちは、新たな道を探すべきです、新たな道はあるはずです！			ハ・ラハ・ティア、もうやめてください！私たちは、新たな道を探すべきです、新たな道はあるはずです！			力を統べる者、力を担う者							
Forenameは、奴を殺さず第七のチャクラを開いた！つまり、探せば手はあるはずなんだ！			Forenameは、奴を殺さず第七のチャクラを開いた！つまり、探せば手はあるはずなんだ！			力を統べる者、力を担う者							
クク……そんなもの、探す意味もありません。破壊の神「ラールガー」の教えを、忘れたのですか？			クク……そんなもの、探す意味もありません。破壊の神「ラールガー」の教えを、忘れたのですか？			力を統べる者、力を担う者							
……もはや……これまでか……。ああ……私のチャクラが、私の野望が消えていく……。			……もはや……これまでか……。ああ……私のチャクラが、私の野望が消えていく……。			力を統べる者、力を担う者							
レヴナンツトールのウィダルゲルトは、冒険者が訪ねてくるのを待っていた。			レヴナンツトールのウィダルゲルトは、冒険者が訪ねてくるのを待っていた。			ゼンツァとチャクハ							
デ・ゼンツァとオ・チャクハからウィダルゲルトに、手紙が届いたそうだ。彼女たちはダラガブの爪で、待っているという。北ザナラーンのダラガブの爪の南にいる「ウィダルゲルト」と話そう。			デ・ゼンツァとオ・チャクハからウィダルゲルトに、手紙が届いたそうだ。彼女たちはダラガブの爪で、待っているという。北ザナラーンのダラガブの爪の南にいる「ウィダルゲルト」と話そう。			ゼンツァとチャクハ							
デ・ゼンツァとオ・チャクハと戦い、新たなチャクラを開いた。彼女たちが言うには、「陰の流派」と「陽の流派」が闘うことで異なる側面のチャクラが開くらしい。ふたりは、これ以上戦いたくないのでモンクの道を捨ててほしいと言い残し、去っていった。ダラガブの爪の南にいる「ウィダルゲルト」と再び話そう。			デ・ゼンツァとオ・チャクハと戦い、新たなチャクラを開いた。彼女たちが言うには、「陰の流派」と「陽の流派」が闘うことで異なる側面のチャクラが開くらしい。ふたりは、これ以上戦いたくないのでモンクの道を捨ててほしいと言い残し、去っていった。ダラガブの爪の南にいる「ウィダルゲルト」と再び話そう。			ゼンツァとチャクハ							
異なる側面のチャクラとは、何のことだろうか？モードゥナに来ているはずのエリック博士が、何か知っているかもしれない。レヴナンツトールの「ウィダルゲルト」と話そう。			異なる側面のチャクラとは、何のことだろうか？モードゥナに来ているはずのエリック博士が、何か知っているかもしれない。レヴナンツトールの「ウィダルゲルト」と話そう。			ゼンツァとチャクハ							
「陰の流派」と、ウィダルゲルトの「陽の流派」は、元をたどればひとつであったと、エリック博士は言った。しかし、なぜ両流派は協力できないのであろうか？技を鍛えつつ、ウィダルゲルトが情報を集めるのを待とう。※モンクのレベルが56以上になると、レヴナンツトールのウィダルゲルトから次のモンククエストを受注することができます。			「陰の流派」と、ウィダルゲルトの「陽の流派」は、元をたどればひとつであったと、エリック博士は言った。しかし、なぜ両流派は協力できないのであろうか？技を鍛えつつ、ウィダルゲルトが情報を集めるのを待とう。※モンクのレベルが56以上になると、レヴナンツトールのウィダルゲルトから次のモンククエストを受注することができます。			ゼンツァとチャクハ							
ダラガブの爪の南にいるウィダルゲルトと話す			ダラガブの爪の南にいるウィダルゲルトと話す			ゼンツァとチャクハ							
ウィダルゲルトと再び話す			ウィダルゲルトと再び話す			ゼンツァとチャクハ							
レヴナンツトールのウィダルゲルトと話す			レヴナンツトールのウィダルゲルトと話す			ゼンツァとチャクハ							
デ・ゼンツァとオ・チャクハを倒せ！			デ・ゼンツァとオ・チャクハを倒せ！			ゼンツァとチャクハ							
Forename、待っていました！……実は、ゼンツァとチャクハから手紙が届いたのです。			Forename、待っていました！……実は、ゼンツァとチャクハから手紙が届いたのです。			ゼンツァとチャクハ							
手紙にはこう書かれていました。「ダラガブの爪」で、Forenameと僕と話したいと……。			手紙にはこう書かれていました。「ダラガブの爪」で、Forenameと僕と話したいと……。			ゼンツァとチャクハ							
彼女たち……裏切り者が、何を話すつもりなのかわかりませんが、こちらも、いろいろと聞きたいことがあります。			彼女たち……裏切り者が、何を話すつもりなのかわかりませんが、こちらも、いろいろと聞きたいことがあります。			ゼンツァとチャクハ							
実は、エリック博士からも手紙が届いていて……「陰の流派」についての調査結果を説明してくれるそうです。ただ、僕はその前にふたりに会っておきたい。			実は、エリック博士からも手紙が届いていて……「陰の流派」についての調査結果を説明してくれるそうです。ただ、僕はその前にふたりに会っておきたい。			ゼンツァとチャクハ							
修行の日々で、情が移ったのでしょうか……僕には、彼女たちが単なる悪党だとは思えないのです。Forename、「ダラガブの爪」に行きましょう。			修行の日々で、情が移ったのでしょうか……僕には、彼女たちが単なる悪党だとは思えないのです。Forename、「ダラガブの爪」に行きましょう。			ゼンツァとチャクハ							
ゼンツァ、チャクハ……久しぶりですね。			ゼンツァ、チャクハ……久しぶりですね。			ゼンツァとチャクハ							
……来てくれてありがとう。騙して、悪かったと思ってるよ。			……来てくれてありがとう。騙して、悪かったと思ってるよ。			ゼンツァとチャクハ							
でも……私たち「陰の流派」と、あなた方「陽の流派」が戦うことは、お互いのためでもあるのです。			でも……私たち「陰の流派」と、あなた方「陽の流派」が戦うことは、お互いのためでもあるのです。			ゼンツァとチャクハ							
師匠……いや、ウィダルゲルト。あなたは「陰の流派」の者と拳を合わせた際に、今までと違う感覚のチャクラが開いたと言いましたね？			師匠……いや、ウィダルゲルト。あなたは「陰の流派」の者と拳を合わせた際に、今までと違う感覚のチャクラが開いたと言いましたね？			ゼンツァとチャクハ							
アタシたちは、互いに拳を交えることで、それぞれ「異なる側面のチャクラ」を開くことができるんだ。			アタシたちは、互いに拳を交えることで、それぞれ「異なる側面のチャクラ」を開くことができるんだ。			ゼンツァとチャクハ							
「異なる側面のチャクラ」……だと？それが真実ならば、互いに協力できることがあるはず。詳しく説明をしてくれ！			「異なる側面のチャクラ」……だと？それが真実ならば、互いに協力できることがあるはず。詳しく説明をしてくれ！			ゼンツァとチャクハ							
協力……。そういうのは師匠……「本当の師匠」に禁じられているんだ。			協力……。そういうのは師匠……「本当の師匠」に禁じられているんだ。			ゼンツァとチャクハ							
本来は、こうした会話も禁じられているのです。さあ、戦いましょう……それが私たちの答えです！			本来は、こうした会話も禁じられているのです。さあ、戦いましょう……それが私たちの答えです！			ゼンツァとチャクハ							
あくまでも、拳で語り合うと……仕方ありません……。Forename、応戦しましょう！			あくまでも、拳で語り合うと……仕方ありません……。Forename、応戦しましょう！			ゼンツァとチャクハ							
はぁ、はぁ……さすがに、なかなかやりますね。フフ……おかげで、チャクラが開いたのを感じます。師匠のおっしゃるとおりでしたね。			はぁ、はぁ……さすがに、なかなかやりますね。フフ……おかげで、チャクラが開いたのを感じます。師匠のおっしゃるとおりでしたね。			ゼンツァとチャクハ							
ああ……力がみなぎる。でも、これ以上のチャクラを開くには、より激しく戦う必要がある。			ああ……力がみなぎる。でも、これ以上のチャクラを開くには、より激しく戦う必要がある。			ゼンツァとチャクハ							
そう、殺しあうつもりでね……。			そう、殺しあうつもりでね……。			ゼンツァとチャクハ							
……あなた方が「陽の流派」の「モンク」であるかぎり、私たちは、あなた方を襲い続けることになるでしょう。			……あなた方が「陽の流派」の「モンク」であるかぎり、私たちは、あなた方を襲い続けることになるでしょう。			ゼンツァとチャクハ							
本当は、これを伝えるために呼び出したんだ……。			本当は、これを伝えるために呼び出したんだ……。			ゼンツァとチャクハ							
でも、アタシたちは、あんたたちを殺したくない！！			でも、アタシたちは、あんたたちを殺したくない！！			ゼンツァとチャクハ							
だから、「モンク」の道を捨ててさ、ラールガー星導教の復興も、諦めてくれよ……。……それで、どこかに逃げてくれ！			だから、「モンク」の道を捨ててさ、ラールガー星導教の復興も、諦めてくれよ……。……それで、どこかに逃げてくれ！			ゼンツァとチャクハ							
ま、待て、ゼンツァ、チャクハ……！			ま、待て、ゼンツァ、チャクハ……！			ゼンツァとチャクハ							
ゼンツァとチャクハは、「モンク」の道を捨てろというが、そんなこと、できるはずがありません……。			ゼンツァとチャクハは、「モンク」の道を捨てろというが、そんなこと、できるはずがありません……。			ゼンツァとチャクハ							
それにしても、「異なる側面のチャクラ」とは、いったい何なのでしょう？			それにしても、「異なる側面のチャクラ」とは、いったい何なのでしょう？			ゼンツァとチャクハ							
……エリック博士が、そろそろ到着している頃合いだ。ひとまず、話を聞きに行きましょう。			……エリック博士が、そろそろ到着している頃合いだ。ひとまず、話を聞きに行きましょう。			ゼンツァとチャクハ							
やれやれ、ここは辛気臭い場所だな！			やれやれ、ここは辛気臭い場所だな！			ゼンツァとチャクハ							
エリック博士……。「陰の流派」について、なにかわかったことはありますか？			エリック博士……。「陰の流派」について、なにかわかったことはありますか？			ゼンツァとチャクハ							
(-エリック-)愚問の極みだな、吾輩を誰だと思っているのだ！？いいか、阿呆にもわかるように丁寧に説明してやる！よく聞くように！			(-エリック-)愚問の極みだな、吾輩を誰だと思っているのだ！？いいか、阿呆にもわかるように丁寧に説明してやる！よく聞くように！			ゼンツァとチャクハ							
(-エリック-)ラールガー星導教が、アラミゴ王家と接近する前のこと……星導山寺院の修行僧たちの間で、ひとつの論争が巻き起こった。			(-エリック-)ラールガー星導教が、アラミゴ王家と接近する前のこと……星導山寺院の修行僧たちの間で、ひとつの論争が巻き起こった。			ゼンツァとチャクハ							
(-エリック-)一方は、王家とともに歩むことこそが繁栄の道とし、他方は、権力に媚びることこそが堕落の道と非難した。激しい論争は諍いに発展し、両者は決裂……分派したのだ。			(-エリック-)一方は、王家とともに歩むことこそが繁栄の道とし、他方は、権力に媚びることこそが堕落の道と非難した。激しい論争は諍いに発展し、両者は決裂……分派したのだ。			ゼンツァとチャクハ							
