レヴナンツトールのシ・ルン・ティアは、今後の修行について考えているようだ。			レヴナンツトールのシ・ルン・ティアは、今後の修行について考えているようだ。			不可避の定め							
聞き込み、ごくろうさん！なるほど…………オレが集めた情報とも、おおむね一致する。沖合の商船の積荷は不明、船員も不気味な連中ばかり、と。			聞き込み、ごくろうさん！なるほど…………オレが集めた情報とも、おおむね一致する。沖合の商船の積荷は不明、船員も不気味な連中ばかり、と。			暗殺団を追って							
おそらく商船は、暗殺団の洋上拠点だな……。陸に拠点を置かないことで、当局の監視を逃れてきたんだろう。			おそらく商船は、暗殺団の洋上拠点だな……。陸に拠点を置かないことで、当局の監視を逃れてきたんだろう。			暗殺団を追って							
イエロージャケットの知り合いにも探りを入れてみたが……表向きは近東のラザハンとの交易船。だが洋上で、ガレマール帝国の船と接触している疑いが強いらしい。			イエロージャケットの知り合いにも探りを入れてみたが……表向きは近東のラザハンとの交易船。だが洋上で、ガレマール帝国の船と接触している疑いが強いらしい。			暗殺団を追って							
ただ、申告どおり交易もしているから、踏み込む決め手がない。それで、手を出しあぐねてるってことなんだが……			ただ、申告どおり交易もしているから、踏み込む決め手がない。それで、手を出しあぐねてるってことなんだが……			暗殺団を追って							
…………理由がなくて踏み込めないっていうなら、決定的な「証拠」が露見すりゃいいんだよな？			…………理由がなくて踏み込めないっていうなら、決定的な「証拠」が露見すりゃいいんだよな？			暗殺団を追って							
つまり、オレたちが積荷を開けちまうんだよ！……連中が上げ下ろししてる荷箱を、手わけして調べようぜ。			つまり、オレたちが積荷を開けちまうんだよ！……連中が上げ下ろししてる荷箱を、手わけして調べようぜ。			暗殺団を追って							
ここの積荷を調べてるんだが、ひとつ開かない箱があるんだ。こいつは、合鍵がないと無理かもな……。			ここの積荷を調べてるんだが、ひとつ開かない箱があるんだ。こいつは、合鍵がないと無理かもな……。			暗殺団を追って							
中身は、ガレマール帝国製の青燐水貯蔵タンクのようだ……。			中身は、ガレマール帝国製の青燐水貯蔵タンクのようだ……。			暗殺団を追って							
敵が襲いかかってきた！！			敵が襲いかかってきた！！			暗殺団を追って							
ごくろうさん、怪我はなかったか？オレが調べた積荷の方も、帝国製の青燐水タンクやレーション。クロもクロ、完全に真っ黒だったぜ！			ごくろうさん、怪我はなかったか？オレが調べた積荷の方も、帝国製の青燐水タンクやレーション。クロもクロ、完全に真っ黒だったぜ！			暗殺団を追って							
こいつを通報すりゃ、一発で御用だろう。……ん、ほかに何か見つけたのか？			こいつを通報すりゃ、一発で御用だろう。……ん、ほかに何か見つけたのか？			暗殺団を追って							
暗殺者が、荷箱の鍵らしきものを落とした？そういやそこに、やけに固く施錠された箱があるが……。			暗殺者が、荷箱の鍵らしきものを落とした？そういやそこに、やけに固く施錠された箱があるが……。			暗殺団を追って							
……オレは、イエロージャケットに連絡をつけてくる。「鍵のかかった荷箱」に、その鍵が使えるかどうか、試してみてくれ！			……オレは、イエロージャケットに連絡をつけてくる。「鍵のかかった荷箱」に、その鍵が使えるかどうか、試してみてくれ！			暗殺団を追って							
鍵のかかった荷箱の内側から、か細いうめき声が聞こえる……。			鍵のかかった荷箱の内側から、か細いうめき声が聞こえる……。			暗殺団を追って							
(-？？？？-)…………ここ……どこ……？……海……？			(-？？？？-)…………ここ……どこ……？……海……？			暗殺団を追って							
(-？？？？-)わたし…………眠ってた？　この箱のなかで……？……どうして？　思いだせない……何も…………。			(-？？？？-)わたし…………眠ってた？　この箱のなかで……？……どうして？　思いだせない……何も…………。			暗殺団を追って							
何と声をかける？			何と声をかける？			暗殺団を追って							
……記憶がない？			……記憶がない？			暗殺団を追って							
……名前は？			……名前は？			暗殺団を追って							
(-？？？？-)…………はい……。あっ…………でも……			(-？？？？-)…………はい……。あっ…………でも……			暗殺団を追って							
ことば、ひとつ…………浮かんできた……。…………「アリア」……わたしの名前……？			ことば、ひとつ…………浮かんできた……。…………「アリア」……わたしの名前……？			暗殺団を追って							
えっと…………「アリア」……？			えっと…………「アリア」……？			暗殺団を追って							
頭に…………浮かびました……。……これ……わたしの名前……？			頭に…………浮かびました……。……これ……わたしの名前……？			暗殺団を追って							
何と答える？			何と答える？			暗殺団を追って							
……だと思う			……だと思う			暗殺団を追って							
いい名前だ			いい名前だ			暗殺団を追って							
……あなたに、そう言われると……そうだった気がします。えっと……？			……あなたに、そう言われると……そうだった気がします。えっと……？			暗殺団を追って							
……そう言われると……ちょっとうれしいです。えっと……？			……そう言われると……ちょっとうれしいです。えっと……？			暗殺団を追って							
Forenameさん、ですね？……助けてくれて、ありがとう！			Forenameさん、ですね？……助けてくれて、ありがとう！			暗殺団を追って							
……Forename、大丈夫か！何かあったのか！			……Forename、大丈夫か！何かあったのか！			暗殺団を追って							
荷箱のなかに……その娘が？密航者……いや、暗殺団に拐われた若者か……。			荷箱のなかに……その娘が？密航者……いや、暗殺団に拐われた若者か……。			暗殺団を追って							
近くに、あんたを拐った連中がいるかもしれん。とりあえず、ここを離れて……			近くに、あんたを拐った連中がいるかもしれん。とりあえず、ここを離れて……			暗殺団を追って							
……おいおい、怯える小動物みたいな目で見ないでくれよ。Forenameからも、何か言ってくれ。			……おいおい、怯える小動物みたいな目で見ないでくれよ。Forenameからも、何か言ってくれ。			暗殺団を追って							
アリアに何と言う？			アリアに何と言う？			暗殺団を追って							
優しいお兄さんだよ			優しいお兄さんだよ			暗殺団を追って							
恐いおじさんだよ			恐いおじさんだよ			暗殺団を追って							
そう…………なんですか……？でも、Forenameさんが言うのなら、きっと、そうなんだと思います……。			そう…………なんですか……？でも、Forenameさんが言うのなら、きっと、そうなんだと思います……。			暗殺団を追って							
何だか知らないが、お前にはなついてるらしいな。……とりあえず、宿まで行くことにしようぜ？			何だか知らないが、お前にはなついてるらしいな。……とりあえず、宿まで行くことにしようぜ？			暗殺団を追って							
おーい、ますますビビっちまってるぞ！？…………とりあえず、何とか宿まで連れてきてくれ。お前には、なついてるみたいだからな。			おーい、ますますビビっちまってるぞ！？…………とりあえず、何とか宿まで連れてきてくれ。お前には、なついてるみたいだからな。			暗殺団を追って							
深い眠りについているようだ……。			深い眠りについているようだ……。			暗殺団を追って							
あの娘……宿につくなり、崩れ落ちるように寝ちまったぜ。疲れがどっと出たんだろうな……。			あの娘……宿につくなり、崩れ落ちるように寝ちまったぜ。疲れがどっと出たんだろうな……。			暗殺団を追って							
それと例の暗殺団の話だが……人もいることだし、外で話をしよう。			それと例の暗殺団の話だが……人もいることだし、外で話をしよう。			暗殺団を追って							
まずは、商船の話の続報だ。イエロージャケットは、すぐに動いてくれたんだが……。			まずは、商船の話の続報だ。イエロージャケットは、すぐに動いてくれたんだが……。			暗殺団を追って							
……残念ながら商船の逃げ足の方が、一歩早かったそうだ。まあ連中も、今後は動きづらくなるだろうがな！			……残念ながら商船の逃げ足の方が、一歩早かったそうだ。まあ連中も、今後は動きづらくなるだろうがな！			暗殺団を追って							
問題は、あの娘……アリアのことだな。記憶がないというが……口もとから、かすかに薬物の香りがした。			問題は、あの娘……アリアのことだな。記憶がないというが……口もとから、かすかに薬物の香りがした。			暗殺団を追って							
おそらく人の記憶を壊す、特殊な薬品を嗅がされたんだ。……発見が遅れれば、「呪印」を刻まれて、暗殺団の人形にされていたはずだ。			おそらく人の記憶を壊す、特殊な薬品を嗅がされたんだ。……発見が遅れれば、「呪印」を刻まれて、暗殺団の人形にされていたはずだ。			暗殺団を追って							
救出できて、本当にお手柄だったな！あとは、失くした記憶が戻るといいんだが……。			救出できて、本当にお手柄だったな！あとは、失くした記憶が戻るといいんだが……。			暗殺団を追って							
……いまはとにかく、アリアの回復を待とう。記憶が戻れば、身元も探しやすくなる。誘拐の経緯なんかも、わかるかもしれないしな！			……いまはとにかく、アリアの回復を待とう。記憶が戻れば、身元も探しやすくなる。誘拐の経緯なんかも、わかるかもしれないしな！			暗殺団を追って							
建国十二騎士像付近のシ・ルン・ティアは、一刻も早くアリアを救出したいと考えている。			建国十二騎士像付近のシ・ルン・ティアは、一刻も早くアリアを救出したいと考えている。			抗う力							
シ・ルンと話した。アリアが拐われた先を探すため、呪術士ギルドのあるウルダハのアルダネス聖櫃堂で「シ・ルン・ティア」と話そう。			シ・ルンと話した。アリアが拐われた先を探すため、呪術士ギルドのあるウルダハのアルダネス聖櫃堂で「シ・ルン・ティア」と話そう。			抗う力							
シ・ルンと話した。ヤヤケの尽力により、妖異の女王リリスが潜む場所は、禁忌都市の異名をとるマハの遺跡らしいと特定できた。彼女はまた、リリスとの決戦では毒消しが有用だという情報も、もたらしてくれた。呪術士ギルドの「シ・ルン・ティア」と話そう。			シ・ルンと話した。ヤヤケの尽力により、妖異の女王リリスが潜む場所は、禁忌都市の異名をとるマハの遺跡らしいと特定できた。彼女はまた、リリスとの決戦では毒消しが有用だという情報も、もたらしてくれた。呪術士ギルドの「シ・ルン・ティア」と話そう。			抗う力							
シ・ルンと話した。マハへ向かう飛空艇を確保するため、レヴナンツトールに向かい、ガーロンド・アイアンワークスの「ジェシー」と話そう。			シ・ルンと話した。マハへ向かう飛空艇を確保するため、レヴナンツトールに向かい、ガーロンド・アイアンワークスの「ジェシー」と話そう。			抗う力							
ジェシーみずから飛空艇を駆り、冒険者とシ・ルンをマハへ運んでくれることになった。大妖異リリスの完全復活を阻止し、アリアを救出するため、決戦にそなえよう。ヤヤケが教えてくれた、毒消しの用意も忘れずに。準備ができたら、モードゥナの銀泪湖北岸へと向かい、「ジェシー」と話そう。			ジェシーみずから飛空艇を駆り、冒険者とシ・ルンをマハへ運んでくれることになった。大妖異リリスの完全復活を阻止し、アリアを救出するため、決戦にそなえよう。ヤヤケが教えてくれた、毒消しの用意も忘れずに。準備ができたら、モードゥナの銀泪湖北岸へと向かい、「ジェシー」と話そう。			抗う力							
シ・ルンとともに大妖異リリスを倒し、儀式を阻止した。アリアを救助し、モードゥナへ戻ろう。			シ・ルンとともに大妖異リリスを倒し、儀式を阻止した。アリアを救助し、モードゥナへ戻ろう。			抗う力							
アリアの魂は帰還した。冒険者とシ・ルン、そしてアリアの「抗う力」は、大妖異リリスの狡智をも凌駕したのだ。銀泪湖北岸の「シ・ルン・ティア」と話そう。			アリアの魂は帰還した。冒険者とシ・ルン、そしてアリアの「抗う力」は、大妖異リリスの狡智をも凌駕したのだ。銀泪湖北岸の「シ・ルン・ティア」と話そう。			抗う力							
シ・ルン、アリアとともにジェシーに礼を伝えた。レヴナンツトールの「シ・ルン・ティア」と話そう。			シ・ルン、アリアとともにジェシーに礼を伝えた。レヴナンツトールの「シ・ルン・ティア」と話そう。			抗う力							
「抗う力」をこの上ない形で体現してみせた冒険者。師としての役目を終えたシ・ルンは、ひとり旅に戻ることになった。一方、天性の魔力をすべて失ったアリアだが、いつか冒険者と肩を並べて戦える日を夢みて、赤魔道士としての修行を続けるという。彼らとともに戦った日々の記憶を胸に、赤魔道士としての道を歩みつづけよう。※以下の条件を満たすと、レヴナンツトールのアリアから、新たなジョブクエストを受注することができます。1.「漆黒のヴィランズ」のプレイ権を所有している。2.「メインクエスト：漆黒のヴィランズ」の、　「漆黒のヴィランズ」を完了する。3.ソーサラー系DPSロールの「ロールクエスト 漆黒編」を完了する。			「抗う力」をこの上ない形で体現してみせた冒険者。師としての役目を終えたシ・ルンは、ひとり旅に戻ることになった。一方、天性の魔力をすべて失ったアリアだが、いつか冒険者と肩を並べて戦える日を夢みて、赤魔道士としての修行を続けるという。彼らとともに戦った日々の記憶を胸に、赤魔道士としての道を歩みつづけよう。※以下の条件を満たすと、レヴナンツトールのアリアから、新たなジョブクエストを受注することができます。1.「漆黒のヴィランズ」のプレイ権を所有している。2.「メインクエスト：漆黒のヴィランズ」の、　「漆黒のヴィランズ」を完了する。3.ソーサラー系DPSロールの「ロールクエスト 漆黒編」を完了する。			抗う力							
呪術士ギルドのシ・ルン・ティアと話す			呪術士ギルドのシ・ルン・ティアと話す			抗う力							
シ・ルン・ティアと再度話す			シ・ルン・ティアと再度話す			抗う力							
レヴナンツトールのジェシーと話す			レヴナンツトールのジェシーと話す			抗う力							
ジェシーと再度話す			ジェシーと再度話す			抗う力							
シ・ルン・ティアと話す			シ・ルン・ティアと話す			抗う力							
シ・ルン・ティアと再度話す			シ・ルン・ティアと再度話す			抗う力							
……これから、ウルダハの呪術士ギルドに向かおうと思う。もちろん、アリアの居場所を探るためだ。			……これから、ウルダハの呪術士ギルドに向かおうと思う。もちろん、アリアの居場所を探るためだ。			抗う力							
大妖異リリスは、アリアを新たな依代として、魂を移し替えようとしているが……妖異学の文献をあたるかぎり、この儀式は決して簡単ではない。			大妖異リリスは、アリアを新たな依代として、魂を移し替えようとしているが……妖異学の文献をあたるかぎり、この儀式は決して簡単ではない。			抗う力							
だが、くわしいことはオレにもわからん……。そこで専門家に頼ろうってわけさ。			だが、くわしいことはオレにもわからん……。そこで専門家に頼ろうってわけさ。			抗う力							
何せ呪術士ギルドは、妖異研究を行う数少ない組織だからな。それに、マハから魔法の知識を受け継いだ土地柄……リリスに関連した古文書も、あるかもしれん！			何せ呪術士ギルドは、妖異研究を行う数少ない組織だからな。それに、マハから魔法の知識を受け継いだ土地柄……リリスに関連した古文書も、あるかもしれん！			抗う力							
……何やら、緊急の御用件とのことで、話を伺っているところですわ。			……何やら、緊急の御用件とのことで、話を伺っているところですわ。			抗う力							
よう、Forename。猟書家(りょうしょか)として知られる、こちらのヤヤケ導師に、事情を話したところだ。			よう、Forename。猟書家(りょうしょか)として知られる、こちらのヤヤケ導師に、事情を話したところだ。			抗う力							
これはこれは、どなたがいらっしゃると思えば……破壊の化身、Forenameさま。			これはこれは、どなたがいらっしゃると思えば……破壊の化身、Forenameさま。			抗う力							
これはこれは、どなたがいらっしゃると思えば……呪術士ギルドの朋、Forename。			これはこれは、どなたがいらっしゃると思えば……呪術士ギルドの朋、Forename。			抗う力							
ようこそ。ご用件は、さきほど伺ったところですわ。			ようこそ。ご用件は、さきほど伺ったところですわ。			抗う力							
実は問題の大妖異、リリスについての文献は、ほとんどが邪法にかかわる禁断の古文書。最奥の書架から持ちだすのも、ひと苦労なのですが……。			実は問題の大妖異、リリスについての文献は、ほとんどが邪法にかかわる禁断の古文書。最奥の書架から持ちだすのも、ひと苦労なのですが……。			抗う力							
ここはひとつ、私がとりなしておきましょう。……あちらでお待ちください。			ここはひとつ、私がとりなしておきましょう。……あちらでお待ちください。			抗う力							
…………これは、想像以上に深刻な危機のようです。妖異の女王リリス……とうに滅んだ存在と思っておりましたが、現存しているとなれば、看過するわけにまいりませんわ！			…………これは、想像以上に深刻な危機のようです。妖異の女王リリス……とうに滅んだ存在と思っておりましたが、現存しているとなれば、看過するわけにまいりませんわ！			抗う力							
特に危険なのは、リリスが人心を蝕む点です。その血族は、ごく血の薄い者も含めれば、相当な数になるでしょう。彼らの心に忍び込み、操る力を持つとすれば……これは大変なこと！			特に危険なのは、リリスが人心を蝕む点です。その血族は、ごく血の薄い者も含めれば、相当な数になるでしょう。彼らの心に忍び込み、操る力を持つとすれば……これは大変なこと！			抗う力							
……ランバードなる男が使った「呪印」は、その力を借りたもの。みずからの血で女王リリスの御名を刻むことで、人を「意思なき人形」に変えたに違いありませんわ！			……ランバードなる男が使った「呪印」は、その力を借りたもの。みずからの血で女王リリスの御名を刻むことで、人を「意思なき人形」に変えたに違いありませんわ！			抗う力							
ランバードが使ったのは、リリスの持つ力の、ほんの一端にすぎないと……？			ランバードが使ったのは、リリスの持つ力の、ほんの一端にすぎないと……？			抗う力							
……ええ、そしてリリスは、我ら人の子を憎んでいるはず。初代カロワイズにより、力なき依代に召喚され、罠にかけられたのですから。			……ええ、そしてリリスは、我ら人の子を憎んでいるはず。初代カロワイズにより、力なき依代に召喚され、罠にかけられたのですから。			抗う力							
リリスは、獲物の生命力を奪う以外にも、毒素を撒く技を、得意としていたと伝えられています。ですが……かの大魔道士は周到に、毒消しを用意していた。			リリスは、獲物の生命力を奪う以外にも、毒素を撒く技を、得意としていたと伝えられています。ですが……かの大魔道士は周到に、毒消しを用意していた。			抗う力							
そのためリリスは、まんまと魔器に封じられ、あげくは、愛用の魔杖まで奪われてしまったようなのです……。			そのためリリスは、まんまと魔器に封じられ、あげくは、愛用の魔杖まで奪われてしまったようなのです……。			抗う力							
……それから1000年以上、人の子に対する復讐の機会を、ずっと窺っていたわけか。			……それから1000年以上、人の子に対する復讐の機会を、ずっと窺っていたわけか。			抗う力							
ええ……本来のリリスは、妖異の女王とも称される強大な存在。力を完全に発揮できる肉体を、何よりも欲していることでしょう。			ええ……本来のリリスは、妖異の女王とも称される強大な存在。力を完全に発揮できる肉体を、何よりも欲していることでしょう。			抗う力							
ゆえに、ただ自由の身になるためだけではなく……「完全」な存在として再臨するために、血族を操って、「究極の器」を用意したのですよ！			ゆえに、ただ自由の身になるためだけではなく……「完全」な存在として再臨するために、血族を操って、「究極の器」を用意したのですよ！			抗う力							
その「器」が、アリアか……！不完全な肉体ですら、あれほどの妖気を発していた存在だ。完全に再臨すれば、エオルゼアを脅威にさらしかねん。			その「器」が、アリアか……！不完全な肉体ですら、あれほどの妖気を発していた存在だ。完全に再臨すれば、エオルゼアを脅威にさらしかねん。			抗う力							
しかも、きわめて狡猾だ……いままで企みが露見しなかったのも、血族たちが、巧妙に操られていたせいかもしれんな。…………事態の深刻さは、よくわかった。			しかも、きわめて狡猾だ……いままで企みが露見しなかったのも、血族たちが、巧妙に操られていたせいかもしれんな。…………事態の深刻さは、よくわかった。			抗う力							
が、そんなことよりも……オレたちがいま知りたいのは、アリアの居場所だ。			が、そんなことよりも……オレたちがいま知りたいのは、アリアの居場所だ。			抗う力							
リリスが召喚された邪法の性質上……再臨の儀式を行うには、天体の運行や天候、場所など、召喚されたときに近い条件を満たす必要があります。			リリスが召喚された邪法の性質上……再臨の儀式を行うには、天体の運行や天候、場所など、召喚されたときに近い条件を満たす必要があります。			抗う力							
そして当時、召喚に使われた魔紋は、いまなお遺跡にある様子。すなわちリリスが向かった場所は、禁忌都市「マハ」かと……！			そして当時、召喚に使われた魔紋は、いまなお遺跡にある様子。すなわちリリスが向かった場所は、禁忌都市「マハ」かと……！			抗う力							
何……お前、マハの廃墟へ行ったことがあるって？ふむ…………飛空艇と操舵手が必要か。			何……お前、マハの廃墟へ行ったことがあるって？ふむ…………飛空艇と操舵手が必要か。			抗う力							
マハの遺跡があるのは、たしか……ヤフェームの湿地帯か。飛空艇と、腕のいい操舵手が必要だな。			マハの遺跡があるのは、たしか……ヤフェームの湿地帯か。飛空艇と、腕のいい操舵手が必要だな。			抗う力							
待てよ……もってこいの相談相手がいるじゃないか。ガーロンド社のジェシー会長代行だ！			待てよ……もってこいの相談相手がいるじゃないか。ガーロンド社のジェシー会長代行だ！			抗う力							
善は急げだ。さっそく、連絡をつけてくるぜ！			善は急げだ。さっそく、連絡をつけてくるぜ！			抗う力							
リリスに関する古文書は、すぐにもとの場所へ戻しましたよ。悪用も可能な、禁断の知の宝庫ですからね……。			リリスに関する古文書は、すぐにもとの場所へ戻しましたよ。悪用も可能な、禁断の知の宝庫ですからね……。			抗う力							
ジェシー会長代行と連絡がついたぜ。フネを出すぐらいお安い御用って、すぐに引き受けてくれたぞ！			ジェシー会長代行と連絡がついたぜ。フネを出すぐらいお安い御用って、すぐに引き受けてくれたぞ！			抗う力							
ヤヤケ導師にも、何から何まで世話になった。恩に着る……！			ヤヤケ導師にも、何から何まで世話になった。恩に着る……！			抗う力							
ふふ……実は私、もしも貴方がたに何か頼まれることがあったら、助けてさしあげるよう、ある方から頼まれていたのですよ。			ふふ……実は私、もしも貴方がたに何か頼まれることがあったら、助けてさしあげるよう、ある方から頼まれていたのですよ。			抗う力							
ウィルキン氏というお名前に、覚えはありませんか？裕福な商人で、呪術士ギルドも多額の寄進を受けております。……その方たってのお願いでしたから。			ウィルキン氏というお名前に、覚えはありませんか？裕福な商人で、呪術士ギルドも多額の寄進を受けております。……その方たってのお願いでしたから。			抗う力							
そういうことか……人助けはしとくもんだな！次は「ジェシー」会長代行と会いに、レヴナンツトールへ行くぞ！			そういうことか……人助けはしとくもんだな！次は「ジェシー」会長代行と会いに、レヴナンツトールへ行くぞ！			抗う力							
リリスとの決戦には「毒消し」をお忘れなく。準備を怠ると、きっと痛い目を見ますからね？			リリスとの決戦には「毒消し」をお忘れなく。準備を怠ると、きっと痛い目を見ますからね？			抗う力							
リリスとの決戦には「毒消し」をお忘れなく。準備を怠ると、きっと痛い目を見ますからね？			リリスとの決戦には「毒消し」をお忘れなく。準備を怠ると、きっと痛い目を見ますからね？			抗う力							
ジェシー会長代行みずから、操舵してくれるそうだ。飛空艇は、銀泪湖の方に停めてあるってよ。			ジェシー会長代行みずから、操舵してくれるそうだ。飛空艇は、銀泪湖の方に停めてあるってよ。			抗う力							
話はシ・ルンから聞いたわ。フネは用意してあるわよ。			話はシ・ルンから聞いたわ。フネは用意してあるわよ。			抗う力							
マハの遺跡があるヤフェーム湿地までは、私が舵を取る。アリアに借りを返すって、約束したからね……！			マハの遺跡があるヤフェーム湿地までは、私が舵を取る。アリアに借りを返すって、約束したからね……！			抗う力							
フネはレヴナンツトールの外、「銀泪湖北岸」に停めてあるわ。じゃあ、いきましょうか。			フネはレヴナンツトールの外、「銀泪湖北岸」に停めてあるわ。じゃあ、いきましょうか。			抗う力							
……いよいよ、決戦だ。やることは簡単だ、マハへ乗り込んでリリスをぶっ倒す。それで妖異の血は力を失い、アリアの呪いは解ける。			……いよいよ、決戦だ。やることは簡単だ、マハへ乗り込んでリリスをぶっ倒す。それで妖異の血は力を失い、アリアの呪いは解ける。			抗う力							
リリスはアリアを新たな器として、完全復活を遂げようとしている。その儀式が完了する前に、乗り込まなきゃならん。……「毒消し」の準備も、忘れないようにな！			リリスはアリアを新たな器として、完全復活を遂げようとしている。その儀式が完了する前に、乗り込まなきゃならん。……「毒消し」の準備も、忘れないようにな！			抗う力							
マハに乗り込んで、妖異の女王リリスを倒す！くどいようだが、「毒消し」は持ってきたな？			マハに乗り込んで、妖異の女王リリスを倒す！くどいようだが、「毒消し」は持ってきたな？			抗う力							
ジェシー会長代行みずから、飛空艇を出してくれる。準備ができたら、会長代行に声をかけろ！			ジェシー会長代行みずから、飛空艇を出してくれる。準備ができたら、会長代行に声をかけろ！			抗う力							
準備はいい……？これから、禁忌都市「マハ」へと向かうわよ。			準備はいい……？これから、禁忌都市「マハ」へと向かうわよ。			抗う力							
それじゃ、フネに乗り込んでちょうだい。妖異の女王だか何だか知らないけど……必ず、アリアを助けるのよ！			それじゃ、フネに乗り込んでちょうだい。妖異の女王だか何だか知らないけど……必ず、アリアを助けるのよ！			抗う力							
リリスにとっては、完全復活を遂げるための、千載一遇の機だ。邪魔が入ったら、儀式を強行するかもしれん。			リリスにとっては、完全復活を遂げるための、千載一遇の機だ。邪魔が入ったら、儀式を強行するかもしれん。			抗う力							
そうなれば儀式を完遂される前に、リリスを倒す！それで、アリアを呪われた定めから救いだせる……。			そうなれば儀式を完遂される前に、リリスを倒す！それで、アリアを呪われた定めから救いだせる……。			抗う力							
なぜだ、アリア……！リリスは倒したぞ……なぜ、目を覚まさない！			なぜだ、アリア……！リリスは倒したぞ……なぜ、目を覚まさない！			抗う力							
ここ、どこ……？誰もいない……どうして？			ここ、どこ……？誰もいない……どうして？			抗う力							
そっか、ここはわたしの心のなか。わたし……もうすぐ、いなくなっちゃうんだ。あの魔物に、身体を乗っ取られて……。			そっか、ここはわたしの心のなか。わたし……もうすぐ、いなくなっちゃうんだ。あの魔物に、身体を乗っ取られて……。			抗う力							
(-？？？？-)然り……定めを受け入れよ、愛し子よ。我が肉体は滅ぼされたが、魂は、汝のうちに逃げのびた……。			(-？？？？-)然り……定めを受け入れよ、愛し子よ。我が肉体は滅ぼされたが、魂は、汝のうちに逃げのびた……。			抗う力							
(-？？？？-)汝の「心」が消え去れば、我は完全なる肉体を得て、甦る。そして、忌々しい人の子すべてに、復讐を遂げよう！			(-？？？？-)汝の「心」が消え去れば、我は完全なる肉体を得て、甦る。そして、忌々しい人の子すべてに、復讐を遂げよう！			抗う力							
くっくっく…………抗うな、新たなる「器」よ。心を無にし、我に明けわたせ……。			くっくっく…………抗うな、新たなる「器」よ。心を無にし、我に明けわたせ……。			抗う力							
そう……わたしは、作られた存在。リリスのために、生みだされた器……。			そう……わたしは、作られた存在。リリスのために、生みだされた器……。			抗う力							
だから、受け入れるしかないの。生まれる前から…………こうなる定めだった。			だから、受け入れるしかないの。生まれる前から…………こうなる定めだった。			抗う力							
先輩、ごめんなさい……。思い出、いっぱい作れなくて。			先輩、ごめんなさい……。思い出、いっぱい作れなくて。			抗う力							
…………さよなら。			…………さよなら。			抗う力							
やっぱり……こんなの、やだよ！わたし、もっと生きたい！			やっぱり……こんなの、やだよ！わたし、もっと生きたい！			抗う力							
人の子め、まだ逆らうか……！抗うな…………定めを受け入れよ……！			人の子め、まだ逆らうか……！抗うな…………定めを受け入れよ……！			抗う力							
抗ってみせる！			抗ってみせる！			抗う力							
アリア、気がついたのか！？			アリア、気がついたのか！？			抗う力							
師匠…………先輩……？リリスは！？　まだ、そこに…………！			師匠…………先輩……？リリスは！？　まだ、そこに…………！			抗う力							
そうだったのか……だが、もう心配ないぞ。アリアの心が、しがみつくリリスの魂に打ち勝ったんだ。			そうだったのか……だが、もう心配ないぞ。アリアの心が、しがみつくリリスの魂に打ち勝ったんだ。			抗う力							
いいえ……先輩たちが、リリスを倒してくれたおかげです！			いいえ……先輩たちが、リリスを倒してくれたおかげです！			抗う力							
前に言ったことを覚えてるか？これから教えるのは、ただの魔法じゃない……。不可避の定めにさえ、抗うことができる力だって。			前に言ったことを覚えてるか？これから教えるのは、ただの魔法じゃない……。不可避の定めにさえ、抗うことができる力だって。			抗う力							
お前たちが、それを証明してくれたんだ。			お前たちが、それを証明してくれたんだ。			抗う力							
……そんじゃ引き揚げますか！気を抜くな、宿に帰るまでが冒険だぜ！			……そんじゃ引き揚げますか！気を抜くな、宿に帰るまでが冒険だぜ！			抗う力							
……ありがとうございます！無事に帰ってこられたのは、先輩のおかげです！			……ありがとうございます！無事に帰ってこられたのは、先輩のおかげです！			抗う力							
威勢よく飛びだしたはいいけど……あんなとこまでフネで突っ込むなんて、正直、生きた心地がしなかったわ。			威勢よく飛びだしたはいいけど……あんなとこまでフネで突っ込むなんて、正直、生きた心地がしなかったわ。			抗う力							
Forename、ごくろうさん！お前の奮闘があったからこそ、無事にアリアを救うことができた。			Forename、ごくろうさん！お前の奮闘があったからこそ、無事にアリアを救うことができた。			抗う力							
そして、オレたちのために飛空艇を出してくれた、ジェシー会長代行に礼を言わないとな！			そして、オレたちのために飛空艇を出してくれた、ジェシー会長代行に礼を言わないとな！			抗う力							
……命拾いした借りを、返しただけよ。私は、損得勘定はキッチリしないと気が済まないの。どっかの会長と違ってね。			……命拾いした借りを、返しただけよ。私は、損得勘定はキッチリしないと気が済まないの。どっかの会長と違ってね。			抗う力							
さて、私はこの子……じゃなくて、フネの面倒を看なきゃいけないから、ここでお別れね。			さて、私はこの子……じゃなくて、フネの面倒を看なきゃいけないから、ここでお別れね。			抗う力							
ジェシーさん、お世話になりました！先輩、師匠……レヴナンツトールへ戻りましょう！			ジェシーさん、お世話になりました！先輩、師匠……レヴナンツトールへ戻りましょう！			抗う力							
…………あれ、まだ帰らないの？アリアたちとレヴナンツトールへ向かうんじゃないの？			…………あれ、まだ帰らないの？アリアたちとレヴナンツトールへ向かうんじゃないの？			抗う力							
前に先輩とレヴナンツトールへ来たのは、いつでしたっけ……。もう、遠いむかしみたいな感じがします。			前に先輩とレヴナンツトールへ来たのは、いつでしたっけ……。もう、遠いむかしみたいな感じがします。			抗う力							
Forename……。お前がいてくれて、よかった。アリアを救うことができたのは、お前のおかげだ。			Forename……。お前がいてくれて、よかった。アリアを救うことができたのは、お前のおかげだ。			抗う力							
