シャバーブチェのラホージャは不安そうだ。			シャバーブチェのラホージャは不安そうだ。			遭遇！ 敵は盗賊団！？							
だから「アラガーナ」って町で、商人さんたちを探してみよ！			だから「アラガーナ」って町で、商人さんたちを探してみよ！			喋々！ 仲良し大作戦							
Forenameちゃんは覚えてる？商人さんたち、ひとりはヒゲがあって、もうひとりは青い瞳が印象的な人だったよ！			Forenameちゃんは覚えてる？商人さんたち、ひとりはヒゲがあって、もうひとりは青い瞳が印象的な人だったよ！			喋々！ 仲良し大作戦							
あひぃっ……！？			あひぃっ……！？			喋々！ 仲良し大作戦							
ここにいたんだ！Forenameちゃん、さっすがー！			ここにいたんだ！Forenameちゃん、さっすがー！			喋々！ 仲良し大作戦							
あっ、あなたたちは……！			あっ、あなたたちは……！			喋々！ 仲良し大作戦							
もう商人のふりしたってだめだからねー！ふたりとも盗賊団の一味なことはわかってるんだから！			もう商人のふりしたってだめだからねー！ふたりとも盗賊団の一味なことはわかってるんだから！			喋々！ 仲良し大作戦							
ひいいいい！助けてシャルトフィット様ああああ！！！			ひいいいい！助けてシャルトフィット様ああああ！！！			喋々！ 仲良し大作戦							
……あなたたちさ、ウチらが怖いみたいだけど、本当は、シャルトフィットの方が怖いんじゃない？前も脅されてたし。			……あなたたちさ、ウチらが怖いみたいだけど、本当は、シャルトフィットの方が怖いんじゃない？前も脅されてたし。			喋々！ 仲良し大作戦							
ウチは、大切な祭器を取り戻したい。でもそれよりも、あなたたちが怯えた様子だったのが、ずっと気になってて……			ウチは、大切な祭器を取り戻したい。でもそれよりも、あなたたちが怯えた様子だったのが、ずっと気になってて……			喋々！ 仲良し大作戦							
だから、ちゃんとお話ししてみたいなって思ったの。まずはあなたたちの名前を教えて？			だから、ちゃんとお話ししてみたいなって思ったの。まずはあなたたちの名前を教えて？			喋々！ 仲良し大作戦							
名前……			名前……			喋々！ 仲良し大作戦							
そういえば、シャルトフィット様に名前を聞かれたこともなかった……。いつも「お前たち」って……。			そういえば、シャルトフィット様に名前を聞かれたこともなかった……。いつも「お前たち」って……。			喋々！ 仲良し大作戦							
(-アヴェネル-)自分はアヴェネル、こちらはペピンです。ふたりともウルダハの貧民街出身で、商人をしているというシャルトフィット様に拾われました。			(-アヴェネル-)自分はアヴェネル、こちらはペピンです。ふたりともウルダハの貧民街出身で、商人をしているというシャルトフィット様に拾われました。			喋々！ 仲良し大作戦							
(-ペピン-)シャ、シャルトフィット様は言いました。「僕も君たちと同じ、搾取されてばかりの人生だ。　権力者に反抗し、僕たちが生きやすい世界をつくろう」って。			(-ペピン-)シャ、シャルトフィット様は言いました。「僕も君たちと同じ、搾取されてばかりの人生だ。　権力者に反抗し、僕たちが生きやすい世界をつくろう」って。			喋々！ 仲良し大作戦							
(-ペピン-)それができる力があるんだって、あの祭器も見せてくれて……。護りの力があれば、殴られて痛い思いをすることもないし、近づいてきた人も簡単に倒せるから……。			(-ペピン-)それができる力があるんだって、あの祭器も見せてくれて……。護りの力があれば、殴られて痛い思いをすることもないし、近づいてきた人も簡単に倒せるから……。			喋々！ 仲良し大作戦							
(-アヴェネル-)それで、言われるままに行商を装いながら、獲物になるキャラバンを探して……襲撃の手伝いを……。			(-アヴェネル-)それで、言われるままに行商を装いながら、獲物になるキャラバンを探して……襲撃の手伝いを……。			喋々！ 仲良し大作戦							
(-アヴェネル-)本当は、悪いことしたくないけど……シャルトフィット様には借りがあるし、なにより怖いんです。護りの力を使って折檻された仲間もいて……逆らえません。			(-アヴェネル-)本当は、悪いことしたくないけど……シャルトフィット様には借りがあるし、なにより怖いんです。護りの力を使って折檻された仲間もいて……逆らえません。			喋々！ 仲良し大作戦							
そっかー、あの人も商人らしいし、似た境遇の人を集めてるみたいだね。あれ、でも、カクージャのおじさんは傭兵だったような？			そっかー、あの人も商人らしいし、似た境遇の人を集めてるみたいだね。あれ、でも、カクージャのおじさんは傭兵だったような？			喋々！ 仲良し大作戦							
(-アヴェネル-)ええ、シャルトフィット様が雇った傭兵です。祭器に頼らなくても、すごく強くて……。			(-アヴェネル-)ええ、シャルトフィット様が雇った傭兵です。祭器に頼らなくても、すごく強くて……。			喋々！ 仲良し大作戦							
(-ペピン-)寡黙な人ですが、一度だけ故郷の話をしてくれたことがあります。船に乗って、遠くの大陸から来たって……。			(-ペピン-)寡黙な人ですが、一度だけ故郷の話をしてくれたことがあります。船に乗って、遠くの大陸から来たって……。			喋々！ 仲良し大作戦							
アヴェネルさん、ペピンさん、敵のはずのウチらに、正直に話してくれてありがと！			アヴェネルさん、ペピンさん、敵のはずのウチらに、正直に話してくれてありがと！			喋々！ 仲良し大作戦							
(-アヴェネル-)こちらこそ、話を聞いてもらって……名前を呼んでもらって、嬉しかったです。それで、お願いがあるんですが……			(-アヴェネル-)こちらこそ、話を聞いてもらって……名前を呼んでもらって、嬉しかったです。それで、お願いがあるんですが……			喋々！ 仲良し大作戦							
(-アヴェネル-)あともう少しだけ見逃してもらえませんか？すべてが終わったら、自首しますから……！			(-アヴェネル-)あともう少しだけ見逃してもらえませんか？すべてが終わったら、自首しますから……！			喋々！ 仲良し大作戦							
(-アヴェネル-)もちろん逃げるためじゃありません！まだ残っている仲間たちを説得したいんです！			(-アヴェネル-)もちろん逃げるためじゃありません！まだ残っている仲間たちを説得したいんです！			喋々！ 仲良し大作戦							
(-アヴェネル-)それに盗賊団の内部にいれば、セートジャさんが祭器を取り戻せるように、助けることだって……！			(-アヴェネル-)それに盗賊団の内部にいれば、セートジャさんが祭器を取り戻せるように、助けることだって……！			喋々！ 仲良し大作戦							
わかった、ありがと！じゃあ、解放軍の闘士さんたちにも、まだ捕まえないでねって、お願いしておくね！			わかった、ありがと！じゃあ、解放軍の闘士さんたちにも、まだ捕まえないでねって、お願いしておくね！			喋々！ 仲良し大作戦							
(-アヴェネル-)信じてくれて、ありがとうございます……！じゃあ、私たちは一時的に盗賊団へ戻ります。おふたりもお気をつけて！			(-アヴェネル-)信じてくれて、ありがとうございます……！じゃあ、私たちは一時的に盗賊団へ戻ります。おふたりもお気をつけて！			喋々！ 仲良し大作戦							
やっぱ、あの人たちと話せてよかったー！味方になってくれるみたいだし、カクージャのおじさんの話も聞かせてもらえたしね！			やっぱ、あの人たちと話せてよかったー！味方になってくれるみたいだし、カクージャのおじさんの話も聞かせてもらえたしね！			喋々！ 仲良し大作戦							
そういえば、カクージャのおじさん、初めて会ったとき、ちょっと動揺してたよね？あれってウチがマムージャ族で、同郷だからかも……？			そういえば、カクージャのおじさん、初めて会ったとき、ちょっと動揺してたよね？あれってウチがマムージャ族で、同郷だからかも……？			喋々！ 仲良し大作戦							
なんだかんだで、いつも見逃してくれるし、絶対に根っからの悪人には、見えないんだよね。			なんだかんだで、いつも見逃してくれるし、絶対に根っからの悪人には、見えないんだよね。			喋々！ 仲良し大作戦							
だからウチ、やっぱりおじさんに会って直接お話がしたい！アヴェネルさんたちにも語ってたっていう故郷の話をきっかけに、なにか事情を聞けるかも……！			だからウチ、やっぱりおじさんに会って直接お話がしたい！アヴェネルさんたちにも語ってたっていう故郷の話をきっかけに、なにか事情を聞けるかも……！			喋々！ 仲良し大作戦							
そのために……「故郷の香り」を贈るのはどうだろ？故郷を思い出せるようなお香を、香炉と一緒にあげたら、懐かしい気持ちになって話してくれそう！			そのために……「故郷の香り」を贈るのはどうだろ？故郷を思い出せるようなお香を、香炉と一緒にあげたら、懐かしい気持ちになって話してくれそう！			喋々！ 仲良し大作戦							
ウチらは「コーパル」っていう、古い樹脂を燃やして香にするんだ。ほかの材料はウチが用意するから、採ってきてもらってもいい？			ウチらは「コーパル」っていう、古い樹脂を燃やして香にするんだ。ほかの材料はウチが用意するから、採ってきてもらってもいい？			喋々！ 仲良し大作戦							
アラギリにいたときに解放軍の人から、このあたりだとラストフォレストで採れるって聞いたよ！香りで興奮した魔物が近くにいるかもしれないから、気をつけて！			アラギリにいたときに解放軍の人から、このあたりだとラストフォレストで採れるって聞いたよ！香りで興奮した魔物が近くにいるかもしれないから、気をつけて！			喋々！ 仲良し大作戦							
ウチは、調合するほかの香料を売ってないか探してみる！奥にお店がありそうだし！			ウチは、調合するほかの香料を売ってないか探してみる！奥にお店がありそうだし！			喋々！ 仲良し大作戦							
あとね、香炉はウチのお古をあげちゃうつもり！無事に祭器を取り戻してトライヨラに帰ったら、自分へのご褒美に新しいの買っちゃおーかな！			あとね、香炉はウチのお古をあげちゃうつもり！無事に祭器を取り戻してトライヨラに帰ったら、自分へのご褒美に新しいの買っちゃおーかな！			喋々！ 仲良し大作戦							
その行動は出現した敵を倒さないと実行できません			その行動は出現した敵を倒さないと実行できません			喋々！ 仲良し大作戦							
どう、コーパル見つかったー？			どう、コーパル見つかったー？			喋々！ 仲良し大作戦							
ありがと！とっても上質なコーパルだー！ウチが集めた材料と合わせれば、伝統的なお香の出来上がり！			ありがと！とっても上質なコーパルだー！ウチが集めた材料と合わせれば、伝統的なお香の出来上がり！			喋々！ 仲良し大作戦							
すぐに調合するから、Forenameちゃん、先にカクージャのおじさんを探してもらってていい？			すぐに調合するから、Forenameちゃん、先にカクージャのおじさんを探してもらってていい？			喋々！ 仲良し大作戦							
このあたりの人に聞いたら、やっぱりマムージャ族って目立つみたいでね、ラストロックって場所で見たって話を聞いたのー。			このあたりの人に聞いたら、やっぱりマムージャ族って目立つみたいでね、ラストロックって場所で見たって話を聞いたのー。			喋々！ 仲良し大作戦							
きっと川辺で水浴みしてるんだと思うから、そのあたり中心に、お願い！			きっと川辺で水浴みしてるんだと思うから、そのあたり中心に、お願い！			喋々！ 仲良し大作戦							
お香の調合が終わったら、ウチもすぐ追いかけるよ！だからラストロックの水辺で、「カクージャ」のおじさんを探してみて！			お香の調合が終わったら、ウチもすぐ追いかけるよ！だからラストロックの水辺で、「カクージャ」のおじさんを探してみて！			喋々！ 仲良し大作戦							
お前、なぜここに……！			お前、なぜここに……！			喋々！ 仲良し大作戦							
あー！　ここにいたんだー！			あー！　ここにいたんだー！			喋々！ 仲良し大作戦							
あのね、これあげる！香炉はウチのお古なんだけど……お香も作ってみたんだ！			あのね、これあげる！香炉はウチのお古なんだけど……お香も作ってみたんだ！			喋々！ 仲良し大作戦							
Forenameちゃんが、頑張ってコーパルを用意してくれてね。故郷のことを思い出せるはずだから、試してみてよ！			Forenameちゃんが、頑張ってコーパルを用意してくれてね。故郷のことを思い出せるはずだから、試してみてよ！			喋々！ 仲良し大作戦							
火を点けなくとも、わかる。懐かしい香りだ……。			火を点けなくとも、わかる。懐かしい香りだ……。			喋々！ 仲良し大作戦							
だが、郷愁を誘うのはやめてくれ。帰りたいと焦がれ続けても、すぐには帰れぬのだから。			だが、郷愁を誘うのはやめてくれ。帰りたいと焦がれ続けても、すぐには帰れぬのだから。			喋々！ 仲良し大作戦							
今はただ、シャルトフィットの約束を信じて、やつの傭兵として働き続けるしかないのだ……！悪行だと承知しながらな！			今はただ、シャルトフィットの約束を信じて、やつの傭兵として働き続けるしかないのだ……！悪行だと承知しながらな！			喋々！ 仲良し大作戦							
どういうこと……？			どういうこと……？			喋々！ 仲良し大作戦							
トラル大陸に渡るための船代は、豪邸が買えるほどの大金だと聞いた……。十分に働けば、やつがそれを肩代わりしてくれると！			トラル大陸に渡るための船代は、豪邸が買えるほどの大金だと聞いた……。十分に働けば、やつがそれを肩代わりしてくれると！			喋々！ 仲良し大作戦							
えっ……？			えっ……？			喋々！ 仲良し大作戦							
あのー、エオルゼアからトライヨラの船代だよね？絶対そんなにかかるはずないよ……！？			あのー、エオルゼアからトライヨラの船代だよね？絶対そんなにかかるはずないよ……！？			喋々！ 仲良し大作戦							
だ、だが、シャルトフィットは……口下手な自分に代わって、船主と交渉してくれたのだぞ？			だ、だが、シャルトフィットは……口下手な自分に代わって、船主と交渉してくれたのだぞ？			喋々！ 仲良し大作戦							
トラル大陸からエオルゼアに渡るのと、その逆とでは、航海の難しさが天と地ほど違うから、彼の交渉術なしではもっと高くつくのだと……			トラル大陸からエオルゼアに渡るのと、その逆とでは、航海の難しさが天と地ほど違うから、彼の交渉術なしではもっと高くつくのだと……			喋々！ 仲良し大作戦							
俺は……騙されていたのか……。			俺は……騙されていたのか……。			喋々！ 仲良し大作戦							
やっぱシャルトフィットって、人を騙して……！もーー！　許せなーい！			やっぱシャルトフィットって、人を騙して……！もーー！　許せなーい！			喋々！ 仲良し大作戦							
ねー、いまからリムサ・ロミンサ行こ？ウチがお世話になった商船の人を紹介してあげるから、それで正規の値段でトラル大陸に帰っちゃいなよ！			ねー、いまからリムサ・ロミンサ行こ？ウチがお世話になった商船の人を紹介してあげるから、それで正規の値段でトラル大陸に帰っちゃいなよ！			喋々！ 仲良し大作戦							
最初は仲良くなって、味方になってほしいって思ってたけど……おじさんが故郷に帰りたいなら、そっちのが大事！			最初は仲良くなって、味方になってほしいって思ってたけど……おじさんが故郷に帰りたいなら、そっちのが大事！			喋々！ 仲良し大作戦							
お嬢ちゃん……。			お嬢ちゃん……。			喋々！ 仲良し大作戦							
ありがたい申し出だが、まだ故郷には帰れない。			ありがたい申し出だが、まだ故郷には帰れない。			喋々！ 仲良し大作戦							
騙されていたとはいえ、悪事に加担していたのは事実。シャルトフィットとけじめをつけなくては。			騙されていたとはいえ、悪事に加担していたのは事実。シャルトフィットとけじめをつけなくては。			喋々！ 仲良し大作戦							
帰りたくなったら、いつでも言ってねーー！！			帰りたくなったら、いつでも言ってねーー！！			喋々！ 仲良し大作戦							
うん、仲間にはなってくれなかったけど、これでよかったと思う！			うん、仲間にはなってくれなかったけど、これでよかったと思う！			喋々！ 仲良し大作戦							
Forenameちゃん、ウチらも戻ろっか！「アラギリ」なら兵士さんもいっぱいで安心だし！			Forenameちゃん、ウチらも戻ろっか！「アラギリ」なら兵士さんもいっぱいで安心だし！			喋々！ 仲良し大作戦							
カクージャさんもやっぱいい人だったね！いい人すぎて、騙されちゃったみたいだけど……。			カクージャさんもやっぱいい人だったね！いい人すぎて、騙されちゃったみたいだけど……。			喋々！ 仲良し大作戦							
そういう人たちを言葉巧みに騙して悪いことさせる、シャルトフィットって、やっぱ許せない！			そういう人たちを言葉巧みに騙して悪いことさせる、シャルトフィットって、やっぱ許せない！			喋々！ 仲良し大作戦							
そのくせ逃げ足ばっかり早くって、もー！探すのもひと苦労だよ！			そのくせ逃げ足ばっかり早くって、もー！探すのもひと苦労だよ！			喋々！ 仲良し大作戦							
でもさ、商人さんたちが味方になってくれるなら、新しい情報が入ってくるかもしれないよね！			でもさ、商人さんたちが味方になってくれるなら、新しい情報が入ってくるかもしれないよね！			喋々！ 仲良し大作戦							
アラギリのセートジャは、なにやら動揺しているようだ。			アラギリのセートジャは、なにやら動揺しているようだ。			内通！ 盗賊団の野望							
セートジャのもとへ手紙が届いた。そこには、変装させた冒険者を、眼鏡をかけた男性のところへ向かわせる指示が書かれていた。ギラバニア湖畔地帯のアラミガン・クォーターへと向かい、「セートジャ」と話そう。			セートジャのもとへ手紙が届いた。そこには、変装させた冒険者を、眼鏡をかけた男性のところへ向かわせる指示が書かれていた。ギラバニア湖畔地帯のアラミガン・クォーターへと向かい、「セートジャ」と話そう。			内通！ 盗賊団の野望							
セートジャと話し、目立たない市民服に着替えた。アラミガン・クォーターにいるらしい「眼鏡をかけた男性」を探して話しかけよう。※衣替状態が解除された場合、再度「セートジャ」に話しかけることで衣替状態になれます。			セートジャと話し、目立たない市民服に着替えた。アラミガン・クォーターにいるらしい「眼鏡をかけた男性」を探して話しかけよう。※衣替状態が解除された場合、再度「セートジャ」に話しかけることで衣替状態になれます。			内通！ 盗賊団の野望							
眼鏡をかけた男性は冒険者に会わせたい人物がいるらしい。引き続き変装したまま、アラミガン・クォーターの別の場所へ移動した「眼鏡をかけた男性」と話そう。※衣替状態が解除された場合、再度「セートジャ」に話しかけることで衣替状態になれます。			眼鏡をかけた男性は冒険者に会わせたい人物がいるらしい。引き続き変装したまま、アラミガン・クォーターの別の場所へ移動した「眼鏡をかけた男性」と話そう。※衣替状態が解除された場合、再度「セートジャ」に話しかけることで衣替状態になれます。			内通！ 盗賊団の野望							
眼鏡をかけた男性のもとにはカクージャがいて、シャルトフィットの計画を話してくれた。アラミガン・クォーターの「セートジャ」のもとへと戻り、報告しよう。			眼鏡をかけた男性のもとにはカクージャがいて、シャルトフィットの計画を話してくれた。アラミガン・クォーターの「セートジャ」のもとへと戻り、報告しよう。			内通！ 盗賊団の野望							
セートジャと話した。シャルトフィットがアラミゴ王宮を攻め入る計画を阻止すべく、セートジャへの協力を続けよう。※いずれかの遠隔物理DPSジョブのレベルが100以上になると、アラミガン・クォーターのセートジャから次の遠隔物理DPSロールクエストを受注することができます。			セートジャと話した。シャルトフィットがアラミゴ王宮を攻め入る計画を阻止すべく、セートジャへの協力を続けよう。※いずれかの遠隔物理DPSジョブのレベルが100以上になると、アラミガン・クォーターのセートジャから次の遠隔物理DPSロールクエストを受注することができます。			内通！ 盗賊団の野望							
アラミガン・クォーターのセートジャと話す			アラミガン・クォーターのセートジャと話す			内通！ 盗賊団の野望							
衣替状態で眼鏡をかけた男性と話す			衣替状態で眼鏡をかけた男性と話す			内通！ 盗賊団の野望							
衣替状態で眼鏡をかけた男性と再度話す			衣替状態で眼鏡をかけた男性と再度話す			内通！ 盗賊団の野望							
セートジャと話す			セートジャと話す			内通！ 盗賊団の野望							
Forenameちゃん、大変ー！聞いて！			Forenameちゃん、大変ー！聞いて！			内通！ 盗賊団の野望							
あのね、さっき急に、知らない人から手紙をもらったの。その人も頼まれものを預かっただけらしくて、送り主はわからないんだけど……。			あのね、さっき急に、知らない人から手紙をもらったの。その人も頼まれものを預かっただけらしくて、送り主はわからないんだけど……。			内通！ 盗賊団の野望							
こっちの言葉に不慣れで、正確な内容を読み解けてるか、ちょっと不安で……。Forenameちゃんにも読んでもらっていい？			こっちの言葉に不慣れで、正確な内容を読み解けてるか、ちょっと不安で……。Forenameちゃんにも読んでもらっていい？			内通！ 盗賊団の野望							
(-差出人不明の手紙-)Forenameを、アラミガン・クォーターに向かわせ、眼鏡をかけた男性と接触させるべし。			(-差出人不明の手紙-)Forenameを、アラミガン・クォーターに向かわせ、眼鏡をかけた男性と接触させるべし。			内通！ 盗賊団の野望							
(-差出人不明の手紙-)ただし、Forenameには、身元がわからぬよう変装させておくこと。			(-差出人不明の手紙-)ただし、Forenameには、身元がわからぬよう変装させておくこと。			内通！ 盗賊団の野望							
なんだか不気味な指示だけど……この前、味方になってくれたアヴェネルさんたちが、なにか情報を手に入れたのかも？			なんだか不気味な指示だけど……この前、味方になってくれたアヴェネルさんたちが、なにか情報を手に入れたのかも？			内通！ 盗賊団の野望							
ひとまず一緒にアラミガン・クォーターまで行こ！			ひとまず一緒にアラミガン・クォーターまで行こ！			内通！ 盗賊団の野望							
よし、じゃあ、Forenameちゃん！ここからはお手数だけど、変装して指定された人を探して！			よし、じゃあ、Forenameちゃん！ここからはお手数だけど、変装して指定された人を探して！			内通！ 盗賊団の野望							
ウチはそれとなーく周囲を窺って、危ないところには近づかないようにしておくから大丈夫。			ウチはそれとなーく周囲を窺って、危ないところには近づかないようにしておくから大丈夫。			内通！ 盗賊団の野望							
お洋服は用意したから、これに着替えてね！			お洋服は用意したから、これに着替えてね！			内通！ 盗賊団の野望							
はだけちゃったら直してあげるから、ウチのところへ戻ってきて！			はだけちゃったら直してあげるから、ウチのところへ戻ってきて！			内通！ 盗賊団の野望							
あ、お着替え手伝おっか？市民の格好のForenameちゃんも、とっても可愛いよー！			あ、お着替え手伝おっか？市民の格好のForenameちゃんも、とっても可愛いよー！			内通！ 盗賊団の野望							
あ、お洋服整え直してあげようか？市民の格好のForenameちゃんも、とっても可愛い！			あ、お洋服整え直してあげようか？市民の格好のForenameちゃんも、とっても可愛い！			内通！ 盗賊団の野望							
あなたは……。解放者様が何のご用で？			あなたは……。解放者様が何のご用で？			内通！ 盗賊団の野望							
このクエストを進行させるには、衣替状態で目的を達成する必要があります。「セートジャ」に話しかけて、着替えましょう！			このクエストを進行させるには、衣替状態で目的を達成する必要があります。「セートジャ」に話しかけて、着替えましょう！			内通！ 盗賊団の野望							
あなたがForenameさんですね。初めましてですが、警戒は不要です。自分もアヴェネルたちに説得されて、あなた方の側につきました。			あなたがForenameさんですね。初めましてですが、警戒は不要です。自分もアヴェネルたちに説得されて、あなた方の側につきました。			内通！ 盗賊団の野望							
更生の機会をくれるマムージャ族のお嬢さんと、彼女に協力するあなたの姿を見て、己の愚かさを恥じています。あなた方には、本当に感謝していますよ。			更生の機会をくれるマムージャ族のお嬢さんと、彼女に協力するあなたの姿を見て、己の愚かさを恥じています。あなた方には、本当に感謝していますよ。			内通！ 盗賊団の野望							
すみません、それだけどうしても言いたくて。本題に入りますね。			すみません、それだけどうしても言いたくて。本題に入りますね。			内通！ 盗賊団の野望							
今回こんな回りくどい方法を取らせてもらってるのは、シャルトフィットやほかの盗賊団の者たちに、感づかれないようにするため……。			今回こんな回りくどい方法を取らせてもらってるのは、シャルトフィットやほかの盗賊団の者たちに、感づかれないようにするため……。			内通！ 盗賊団の野望							
実は、どうしても、あなたに会わせたい人がいましてね。どうかこちらに、変装したままいらしてください……。			実は、どうしても、あなたに会わせたい人がいましてね。どうかこちらに、変装したままいらしてください……。			内通！ 盗賊団の野望							
あの……。			あの……。			内通！ 盗賊団の野望							
このクエストを進行させるには、衣替状態で目的を達成する必要があります。「セートジャ」に話しかけて、着替えましょう！			このクエストを進行させるには、衣替状態で目的を達成する必要があります。「セートジャ」に話しかけて、着替えましょう！			内通！ 盗賊団の野望							
ありがとうございます。では、お呼びしてきますね。			ありがとうございます。では、お呼びしてきますね。			内通！ 盗賊団の野望							
来てくれて助かる。シャルトフィットと縁を切ろうとして、しくじってしまってな。			来てくれて助かる。シャルトフィットと縁を切ろうとして、しくじってしまってな。			内通！ 盗賊団の野望							
祭器を奪えればと思ったんだが、返り討ちにあった。だが、収穫がなかったわけじゃない……。			祭器を奪えればと思ったんだが、返り討ちにあった。だが、収穫がなかったわけじゃない……。			内通！ 盗賊団の野望							
諸君、解放軍の警戒も強まるなか、よくぞ集まってくれた……。			諸君、解放軍の警戒も強まるなか、よくぞ集まってくれた……。			内通！ 盗賊団の野望							
僕たちはこれまで、祭器が秘めた護りの力を使うことで、キャラバンの襲撃を繰り返してきたわけだが……			僕たちはこれまで、祭器が秘めた護りの力を使うことで、キャラバンの襲撃を繰り返してきたわけだが……			内通！ 盗賊団の野望							
物流を乱されたことで、アラミゴは、「再び」混乱状態に陥りつつある。まさに計画どおりだ……！			物流を乱されたことで、アラミゴは、「再び」混乱状態に陥りつつある。まさに計画どおりだ……！			内通！ 盗賊団の野望							
諸君、思い出すがいい。強き者に虐げられ、這いつくばって泥水を啜るようにして、惨めに生きてきた日々のことを……！			諸君、思い出すがいい。強き者に虐げられ、這いつくばって泥水を啜るようにして、惨めに生きてきた日々のことを……！			内通！ 盗賊団の野望							
この僕、シャルトフィットが目指すのは、権力を持たない弱者こそが生きやすい世界！			この僕、シャルトフィットが目指すのは、権力を持たない弱者こそが生きやすい世界！			内通！ 盗賊団の野望							
満を持して、これまで集めてきた軍資金を投じ、打ち捨てられた魔導兵器を修復、戦力化することに成功した！これと祭器を合わせれば、アラミゴを乗っ取ることすらできよう！			満を持して、これまで集めてきた軍資金を投じ、打ち捨てられた魔導兵器を修復、戦力化することに成功した！これと祭器を合わせれば、アラミゴを乗っ取ることすらできよう！			内通！ 盗賊団の野望							
シャルトフィット！お前、よくも騙してたな！			シャルトフィット！お前、よくも騙してたな！			内通！ 盗賊団の野望							
俺とお前の契約は不履行だ！セートジャの祭器を返してもらおう！			俺とお前の契約は不履行だ！セートジャの祭器を返してもらおう！			内通！ 盗賊団の野望							
(-アヴェネル-)カクージャさんはシャルトフィット様の側近……。仲違いなんて、そ、相当の理由なんじゃ……！？			(-アヴェネル-)カクージャさんはシャルトフィット様の側近……。仲違いなんて、そ、相当の理由なんじゃ……！？			内通！ 盗賊団の野望							
静かにーーーー！！			静かにーーーー！！			内通！ 盗賊団の野望							
この者は、同族のマムージャ娘に唆されてしまったようだ。そして、こともあろうに僕らに刃を向けようとしている！			この者は、同族のマムージャ娘に唆されてしまったようだ。そして、こともあろうに僕らに刃を向けようとしている！			内通！ 盗賊団の野望							
カクージャの肩を持つなら、今後一切、お前たちには護りの力を与えないぞ。			カクージャの肩を持つなら、今後一切、お前たちには護りの力を与えないぞ。			内通！ 盗賊団の野望							
見放されたくなければ、さあ、カクージャに粛清を！			見放されたくなければ、さあ、カクージャに粛清を！			内通！ 盗賊団の野望							
そう、それでいい。			そう、それでいい。			内通！ 盗賊団の野望							
それにしても……これ以上邪魔が入るようなら、早急に計画を決行しなくてはな。			それにしても……これ以上邪魔が入るようなら、早急に計画を決行しなくてはな。			内通！ 盗賊団の野望							
そうして、「護りの力」の衝撃波で袋叩きにされたあと……こいつを始め、俺たち側についてくれた奴らが、こっそり匿ってくれたんだ。			そうして、「護りの力」の衝撃波で袋叩きにされたあと……こいつを始め、俺たち側についてくれた奴らが、こっそり匿ってくれたんだ。			内通！ 盗賊団の野望							
今回の件で、シャルトフィットは焦っている。アラミゴを乗っ取るべく、王宮に攻め入るつもりだ。			今回の件で、シャルトフィットは焦っている。アラミゴを乗っ取るべく、王宮に攻め入るつもりだ。			内通！ 盗賊団の野望							
どうかこのことを、あの子に……セートジャに伝えてくれ。			どうかこのことを、あの子に……セートジャに伝えてくれ。			内通！ 盗賊団の野望							
おかえり、Forenameちゃん！どうだった……？			おかえり、Forenameちゃん！どうだった……？			内通！ 盗賊団の野望							
やっぱり味方の人たちだったんだね！カクージャのおじさんも危険を承知で、祭器を取り返そうとしてくれて……。			やっぱり味方の人たちだったんだね！カクージャのおじさんも危険を承知で、祭器を取り返そうとしてくれて……。			内通！ 盗賊団の野望							
ほんとに、みんなに助けてもらってるなぁ。			ほんとに、みんなに助けてもらってるなぁ。			内通！ 盗賊団の野望							
王宮に攻め込むつもりって情報があるなら、解放軍の人たちと情報共有すれば、対策も立てやすいよね！			王宮に攻め込むつもりって情報があるなら、解放軍の人たちと情報共有すれば、対策も立てやすいよね！			内通！ 盗賊団の野望							
悪事を止めて、祭器を取り戻すためにも……Forenameちゃんなら大丈夫だろうけど、できるだけ鍛錬を重ねといて！			悪事を止めて、祭器を取り戻すためにも……Forenameちゃんなら大丈夫だろうけど、できるだけ鍛錬を重ねといて！			内通！ 盗賊団の野望							
あっ、それと……変装用の服は脱いできてくれたんだね！素朴な姿もいいけど、あなたらしい格好の方がやっぱ素敵！			あっ、それと……変装用の服は脱いできてくれたんだね！素朴な姿もいいけど、あなたらしい格好の方がやっぱ素敵！			内通！ 盗賊団の野望							
アラミガン・クォーターのセートジャは、シャルトフィットの悪事を阻止するつもりのようだ。			アラミガン・クォーターのセートジャは、シャルトフィットの悪事を阻止するつもりのようだ。			打倒！ シャルトフィット盗賊団							
セートジャのもとに、いよいよシャルトフィットたちがアラミゴ王宮へ攻め入ろうとしているという情報が入った。阻止すべく、アラミガン・クォーターの城門前にいる「セートジャ」と話そう。			セートジャのもとに、いよいよシャルトフィットたちがアラミゴ王宮へ攻め入ろうとしているという情報が入った。阻止すべく、アラミガン・クォーターの城門前にいる「セートジャ」と話そう。			打倒！ シャルトフィット盗賊団							
セートジャと話した。戦いの準備ができ次第、アラミガン・クォーターの城門前にいる「セートジャ」に再度話しかけよう。			セートジャと話した。戦いの準備ができ次第、アラミガン・クォーターの城門前にいる「セートジャ」に再度話しかけよう。			打倒！ シャルトフィット盗賊団							
セートジャと話し、シャルトフィットたちの後を追った。彼らの悪事を阻止し、祭器を奪還しよう。			セートジャと話し、シャルトフィットたちの後を追った。彼らの悪事を阻止し、祭器を奪還しよう。			打倒！ シャルトフィット盗賊団							
