弓術士ギルドのルシアヌは、新しい技を学ぶ方法を教えようとしているようだ。			弓術士ギルドのルシアヌは、新しい技を学ぶ方法を教えようとしているようだ。			響きあうふたつの音色							
ギドゥロと話す			ギドゥロと話す			氷墓に捧ぐ歌							
聖フィネア連隊の騎兵と話す			聖フィネア連隊の騎兵と話す			氷墓に捧ぐ歌							
指定地点で見渡して現れた魔物を討伐			指定地点で見渡して現れた魔物を討伐			氷墓に捧ぐ歌							
サンソン大牙士と話す			サンソン大牙士と話す			氷墓に捧ぐ歌							
セレヌに「敬礼する」をする			セレヌに「敬礼する」をする			氷墓に捧ぐ歌							
サンソン大牙士と話す			サンソン大牙士と話す			氷墓に捧ぐ歌							
テイルフェザーのサンソン大牙士と話す			テイルフェザーのサンソン大牙士と話す			氷墓に捧ぐ歌							
俺は、自分自身の心が導くままに行動する……。			俺は、自分自身の心が導くままに行動する……。			氷墓に捧ぐ歌							
Forenameさん、朗報ですよ！前回、ギドゥロとあなたが助けた騎士、アラムナン卿から、「終焉の戦歌」に関する情報が届いたのです！			Forenameさん、朗報ですよ！前回、ギドゥロとあなたが助けた騎士、アラムナン卿から、「終焉の戦歌」に関する情報が届いたのです！			氷墓に捧ぐ歌							
すさまじい詩歌を吟じるという女性が、「聖フィネア連隊の露営地」にいるらしいのです。何でもその歌は、「すべての命を昇天させる」とか！			すさまじい詩歌を吟じるという女性が、「聖フィネア連隊の露営地」にいるらしいのです。何でもその歌は、「すべての命を昇天させる」とか！			氷墓に捧ぐ歌							
ギドゥロ！　お前も来い！さっそく「聖フィネア連隊の露営地」に向かうぞ！			ギドゥロ！　お前も来い！さっそく「聖フィネア連隊の露営地」に向かうぞ！			氷墓に捧ぐ歌							
私は、もう歌わない……。いいや、歌いたくないんだ……。			私は、もう歌わない……。いいや、歌いたくないんだ……。			氷墓に捧ぐ歌							
無理して歌わなくたっていーさ。歌ってのは、誰かに強制されて歌うもんじゃねぇしな。			無理して歌わなくたっていーさ。歌ってのは、誰かに強制されて歌うもんじゃねぇしな。			氷墓に捧ぐ歌							
Forenameさん、弱り果てましたよ。件の詩歌を吟じる女性は見つけられたのですが……。その人物「セレヌ」は、何故か詩歌を披露してくれないんです。			Forenameさん、弱り果てましたよ。件の詩歌を吟じる女性は見つけられたのですが……。その人物「セレヌ」は、何故か詩歌を披露してくれないんです。			氷墓に捧ぐ歌							
今「ギドゥロ」が、なんとか打ち解けようと話しかけてます。あいつの話術が、彼女の心を開けばいいのですが……。			今「ギドゥロ」が、なんとか打ち解けようと話しかけてます。あいつの話術が、彼女の心を開けばいいのですが……。			氷墓に捧ぐ歌							
今「ギドゥロ」が、なんとか打ち解けようと話しかけてます。あいつの話術が、彼女の心を開けばいいのですが……。			今「ギドゥロ」が、なんとか打ち解けようと話しかけてます。あいつの話術が、彼女の心を開けばいいのですが……。			氷墓に捧ぐ歌							
嫌がる女に無理強いはしたくはねぇ……。だが、歌えない理由だけでも、聞かせちゃぁくれねぇか？			嫌がる女に無理強いはしたくはねぇ……。だが、歌えない理由だけでも、聞かせちゃぁくれねぇか？			氷墓に捧ぐ歌							
私は、吟遊詩人ではない。ドラゴン族を討つために戦う騎兵……。詩歌は、できるなら歌いたくないのだ……。			私は、吟遊詩人ではない。ドラゴン族を討つために戦う騎兵……。詩歌は、できるなら歌いたくないのだ……。			氷墓に捧ぐ歌							
歌は、命令されて歌うもんじゃねぇ。本人が歌いたくないってんなら、仕方ないんじゃねぇか？			歌は、命令されて歌うもんじゃねぇ。本人が歌いたくないってんなら、仕方ないんじゃねぇか？			氷墓に捧ぐ歌							
……何を甘いことを言っている。俺たちだって、任務でこの場に出向いているんだ。私情に流されてどうする……！			……何を甘いことを言っている。俺たちだって、任務でこの場に出向いているんだ。私情に流されてどうする……！			氷墓に捧ぐ歌							
ところで、セレヌさん。先ほど、あなたの仲間に聞いたのですが、近々、大規模な作戦を行うそうですね？			ところで、セレヌさん。先ほど、あなたの仲間に聞いたのですが、近々、大規模な作戦を行うそうですね？			氷墓に捧ぐ歌							
あぁ、ドラゴン族の眷属どもを狩る、掃討作戦のことだな。私も参加することになっている……。兵に犠牲を出さぬよう、全力を尽くすつもりだ。			あぁ、ドラゴン族の眷属どもを狩る、掃討作戦のことだな。私も参加することになっている……。兵に犠牲を出さぬよう、全力を尽くすつもりだ。			氷墓に捧ぐ歌							
その作戦……俺たちにも手伝わせてもらえませんか？戦いの中、あなたが詩歌を用いる機会があるかもしれない。それを、俺たちが聴くのは構わないでしょう？			その作戦……俺たちにも手伝わせてもらえませんか？戦いの中、あなたが詩歌を用いる機会があるかもしれない。それを、俺たちが聴くのは構わないでしょう？			氷墓に捧ぐ歌							
……勝手にしろ。ただ、お前たちは援護に徹するんだ。不利を悟ったら、必ず撤退してくれ。			……勝手にしろ。ただ、お前たちは援護に徹するんだ。不利を悟ったら、必ず撤退してくれ。			氷墓に捧ぐ歌							
すみませんが、ふたりも加勢をお願いします。北西の「ツインプールズ」で、作戦を展開するそうなので、向こうで「聖フィネア連隊の騎兵」に加勢を申し出ましょう。			すみませんが、ふたりも加勢をお願いします。北西の「ツインプールズ」で、作戦を展開するそうなので、向こうで「聖フィネア連隊の騎兵」に加勢を申し出ましょう。			氷墓に捧ぐ歌							
サンソンといい、セレヌといい、槍術士の連中って、どうして、ああも前のめりなのかね……。なんのために、吟遊詩人がいると思ってんだよ。			サンソンといい、セレヌといい、槍術士の連中って、どうして、ああも前のめりなのかね……。なんのために、吟遊詩人がいると思ってんだよ。			氷墓に捧ぐ歌							
俺は、奴らが気になるからいくよ。「聖フィネア連隊の騎兵」に参加するって言えばいいんだな？お前も来るんなら、「ツインプールズ」で会おうぜー。			俺は、奴らが気になるからいくよ。「聖フィネア連隊の騎兵」に参加するって言えばいいんだな？お前も来るんなら、「ツインプールズ」で会おうぜー。			氷墓に捧ぐ歌							
あなたを巻き込んでしまい、申し訳ありません……。しかし、これも「終焉の戦歌」のためです！			あなたを巻き込んでしまい、申し訳ありません……。しかし、これも「終焉の戦歌」のためです！			氷墓に捧ぐ歌							
戦うのは構わない……。だが、お前たちは援護に徹するんだ。			戦うのは構わない……。だが、お前たちは援護に徹するんだ。			氷墓に捧ぐ歌							
俺ぁ吟遊詩人だからな……。元より、大立ち回りをする気はないぜ。ただ、ここにいる連中のために一曲奏でるだけさ。			俺ぁ吟遊詩人だからな……。元より、大立ち回りをする気はないぜ。ただ、ここにいる連中のために一曲奏でるだけさ。			氷墓に捧ぐ歌							
むっ、そなたも加勢してくれるのか。それはありがたい！			むっ、そなたも加勢してくれるのか。それはありがたい！			氷墓に捧ぐ歌							
此度の掃討作戦を行うのは、ここより北西の地点だ。どうやら、そなたは弓術を使うようだな。ならば、指示した場所から支援し、敵の頭数を減らしてくれ。			此度の掃討作戦を行うのは、ここより北西の地点だ。どうやら、そなたは弓術を使うようだな。ならば、指示した場所から支援し、敵の頭数を減らしてくれ。			氷墓に捧ぐ歌							
セレヌさん。あなたが、戦いの最中に詩歌の力を用いるかもしれない。俺は、あなたの近くで戦わせていただきます。			セレヌさん。あなたが、戦いの最中に詩歌の力を用いるかもしれない。俺は、あなたの近くで戦わせていただきます。			氷墓に捧ぐ歌							
好きにしろ……。ただし、無理をするなよ。			好きにしろ……。ただし、無理をするなよ。			氷墓に捧ぐ歌							
さーて、俺たちも行きますかね。持ち場で、敵を待ち構えりゃいいんだろ？雑魚を減らして、あいつらの負担を減らしてやりましょーか。			さーて、俺たちも行きますかね。持ち場で、敵を待ち構えりゃいいんだろ？雑魚を減らして、あいつらの負担を減らしてやりましょーか。			氷墓に捧ぐ歌							
此度の掃討作戦を行うのは、ここより北西の地点だ。どうやら、そなたは弓術を使うようだな。ならば、指示した場所から支援し、敵の頭数を減らしてくれ。			此度の掃討作戦を行うのは、ここより北西の地点だ。どうやら、そなたは弓術を使うようだな。ならば、指示した場所から支援し、敵の頭数を減らしてくれ。			氷墓に捧ぐ歌							
決して、セレヌからは離れませんよ！			決して、セレヌからは離れませんよ！			氷墓に捧ぐ歌							
お前は、前に出るな！前線は私たちに任せるんだ！			お前は、前に出るな！前線は私たちに任せるんだ！			氷墓に捧ぐ歌							
お前の持ち場は、ここじゃねぇだろ？サンソンたちのことは、俺が見ておくからよ。Forenameは、自分の戦いに集中してくれや！			お前の持ち場は、ここじゃねぇだろ？サンソンたちのことは、俺が見ておくからよ。Forenameは、自分の戦いに集中してくれや！			氷墓に捧ぐ歌							
また、犠牲がでてしまった……。			また、犠牲がでてしまった……。			氷墓に捧ぐ歌							
作戦は成功したらしいぜ。だがよ、ドラゴン族の眷属ってのは、あんなに強ぇのか……。			作戦は成功したらしいぜ。だがよ、ドラゴン族の眷属ってのは、あんなに強ぇのか……。			氷墓に捧ぐ歌							
掃討作戦自体は成功しましたが……セレヌは結局、詩歌をまったく使いませんでした。			掃討作戦自体は成功しましたが……セレヌは結局、詩歌をまったく使いませんでした。			氷墓に捧ぐ歌							
そして……ドラゴン族の猛攻をまともに受けたために、かなりの被害を出してしまいました……。			そして……ドラゴン族の猛攻をまともに受けたために、かなりの被害を出してしまいました……。			氷墓に捧ぐ歌							
……また、部隊でともに過ごした戦友を失った。			……また、部隊でともに過ごした戦友を失った。			氷墓に捧ぐ歌							
♪眠れ……　眠れ……　勇敢なる騎士よ……♪♪氷天の宮殿にて……　ハルオーネの元で……♪♪その御魂を……　静かに休ませ給え……♪			♪眠れ……　眠れ……　勇敢なる騎士よ……♪♪氷天の宮殿にて……　ハルオーネの元で……♪♪その御魂を……　静かに休ませ給え……♪			氷墓に捧ぐ歌							
これは……イシュガルドに伝わるレクイエムか……？			これは……イシュガルドに伝わるレクイエムか……？			氷墓に捧ぐ歌							
その歌は「すべての命を昇天させる」……。……そうか、これがセレヌの詩歌。			その歌は「すべての命を昇天させる」……。……そうか、これがセレヌの詩歌。			氷墓に捧ぐ歌							
俺は、レクイエムを無理に歌わせようとしたのか……。			俺は、レクイエムを無理に歌わせようとしたのか……。			氷墓に捧ぐ歌							
サンソンの奴、苦しそうだな……。……俺たちも「セレヌ」に「敬礼」して、彼女の戦友たちの冥福を祈ろうや……。			サンソンの奴、苦しそうだな……。……俺たちも「セレヌ」に「敬礼」して、彼女の戦友たちの冥福を祈ろうや……。			氷墓に捧ぐ歌							
俺は、レクイエムを無理に歌わせようとしたのか……。			俺は、レクイエムを無理に歌わせようとしたのか……。			氷墓に捧ぐ歌							
サンソンの奴、苦しそうだな……。……俺たちも「セレヌ」に「敬礼」して、彼女の戦友たちの冥福を祈ろうや……。			サンソンの奴、苦しそうだな……。……俺たちも「セレヌ」に「敬礼」して、彼女の戦友たちの冥福を祈ろうや……。			氷墓に捧ぐ歌							
「セレヌ」に「敬礼」をして、死者の冥福を祈ろう……。			「セレヌ」に「敬礼」をして、死者の冥福を祈ろう……。			氷墓に捧ぐ歌							
……お前たちが気に病む必要はないさ。私も、きちんと説明していなかったのだから。			……お前たちが気に病む必要はないさ。私も、きちんと説明していなかったのだから。			氷墓に捧ぐ歌							
ドラゴン族との戦いでは、簡単に人が死ぬ……。別れが辛くなるから、深入りせず、人を遠ざけてきた。それでも、やはり見知った者が死ぬのは辛いものだな……。			ドラゴン族との戦いでは、簡単に人が死ぬ……。別れが辛くなるから、深入りせず、人を遠ざけてきた。それでも、やはり見知った者が死ぬのは辛いものだな……。			氷墓に捧ぐ歌							
だったら、別れのときに後悔しないよう、もっと、言葉を交わすべきだな……。			だったら、別れのときに後悔しないよう、もっと、言葉を交わすべきだな……。			氷墓に捧ぐ歌							
……ああ、お前たちを見て、そう思ったよ。それぞれの個性が反発しあってしまっている。そこの冒険者殿がいなかったら、すぐに壊れてしまいそうだ……。			……ああ、お前たちを見て、そう思ったよ。それぞれの個性が反発しあってしまっている。そこの冒険者殿がいなかったら、すぐに壊れてしまいそうだ……。			氷墓に捧ぐ歌							
素直になる必要があるのは、私だけじゃなさそうだな。失ってから気付くのでは遅いぞ……？			素直になる必要があるのは、私だけじゃなさそうだな。失ってから気付くのでは遅いぞ……？			氷墓に捧ぐ歌							
私の歌うレクイエムは、古代イシュガルドの研究をしている史学者から教わった。彼なら、その「終焉の戦歌」を知っているかもしれない。			私の歌うレクイエムは、古代イシュガルドの研究をしている史学者から教わった。彼なら、その「終焉の戦歌」を知っているかもしれない。			氷墓に捧ぐ歌							
彼の名は「シルヴィエル」。今は「テイルフェザー」で遺跡の研究をしてるという。一度、訪ねてみるといい……。			彼の名は「シルヴィエル」。今は「テイルフェザー」で遺跡の研究をしてるという。一度、訪ねてみるといい……。			氷墓に捧ぐ歌							
セレヌの歌、心に刺さったぜ……。			セレヌの歌、心に刺さったぜ……。			氷墓に捧ぐ歌							
……さあ、「テイルフェザー」に行きましょう。そのシルヴィエルさんという史学者から、「戦歌」の情報を聞けるかもしれない……。			……さあ、「テイルフェザー」に行きましょう。そのシルヴィエルさんという史学者から、「戦歌」の情報を聞けるかもしれない……。			氷墓に捧ぐ歌							
吟遊詩人の戦歌は、仲間に対して激励の念を込めることで、その力を発揮する……。			吟遊詩人の戦歌は、仲間に対して激励の念を込めることで、その力を発揮する……。			氷墓に捧ぐ歌							
なら、すべてを滅ぼす戦歌っていうのは、いったい、どんな激励の念を込めるんだろうな……。			なら、すべてを滅ぼす戦歌っていうのは、いったい、どんな激励の念を込めるんだろうな……。			氷墓に捧ぐ歌							
セレヌの歌から浮かんだ旋律を、形にしてんだ……。			セレヌの歌から浮かんだ旋律を、形にしてんだ……。			氷墓に捧ぐ歌							
ああ、Forenameさん。シルヴィエルさん、調査のため集落を離れているそうです。しばらくは、帰還を待つほかなさそうですね。			ああ、Forenameさん。シルヴィエルさん、調査のため集落を離れているそうです。しばらくは、帰還を待つほかなさそうですね。			氷墓に捧ぐ歌							
……なあ、Forename。お前は、セレヌの戦いを通して、何を想った……？感じたものがあるんなら、聞かせてくれねぇか？			……なあ、Forename。お前は、セレヌの戦いを通して、何を想った……？感じたものがあるんなら、聞かせてくれねぇか？			氷墓に捧ぐ歌							
……なるほど。しかし、サンソンはあれだけの体験をしたってのに、メモばっか取ってて…………本当に無粋な奴。			……なるほど。しかし、サンソンはあれだけの体験をしたってのに、メモばっか取ってて…………本当に無粋な奴。			氷墓に捧ぐ歌							
ともかく、少し時間が空きます…………。この地に、どんな脅威があるかわかりませんから、万全の備えをお願いします。			ともかく、少し時間が空きます…………。この地に、どんな脅威があるかわかりませんから、万全の備えをお願いします。			氷墓に捧ぐ歌							
テイルフェザーのサンソン大牙士は、ギドゥロの帰還を待っているようだ。			テイルフェザーのサンソン大牙士は、ギドゥロの帰還を待っているようだ。			道は詩聖へと続く							
サンソン大牙士は、雲海に住むモーグリの存在を聞くと、旅を再開する決意を固めた。いなくなったギドゥロへの伝言を、シルヴィエルに託すように頼まれた。テイルフェザーの「シルヴィエル」と話そう。			サンソン大牙士は、雲海に住むモーグリの存在を聞くと、旅を再開する決意を固めた。いなくなったギドゥロへの伝言を、シルヴィエルに託すように頼まれた。テイルフェザーの「シルヴィエル」と話そう。			道は詩聖へと続く							
シルヴィエルの側には、ギドゥロがいた。ギドゥロは、ドラヴァニア雲海を目指すか、しばらく考えてみるという。高地ドラヴァニアの不浄の三塔の前で「サンソン大牙士」と話そう。			シルヴィエルの側には、ギドゥロがいた。ギドゥロは、ドラヴァニア雲海を目指すか、しばらく考えてみるという。高地ドラヴァニアの不浄の三塔の前で「サンソン大牙士」と話そう。			道は詩聖へと続く							
サンソン大牙士と話した。ドラヴァニア雲海のソーム・アル山頂で「サンソン大牙士」と話そう。			サンソン大牙士と話した。ドラヴァニア雲海のソーム・アル山頂で「サンソン大牙士」と話そう。			道は詩聖へと続く							
サンソン大牙士は長老に挨拶をするため去っていった。岩陰にギドゥロの姿が見えたが気のせいだろうか……。ドラヴァニア雲海のモグモグホームで「モグリン」と話そう。			サンソン大牙士は長老に挨拶をするため去っていった。岩陰にギドゥロの姿が見えたが気のせいだろうか……。ドラヴァニア雲海のモグモグホームで「モグリン」と話そう。			道は詩聖へと続く							
モグリンは、「終焉の戦歌」を探すことを禁じながらも、同じく戦歌を探しているモーグリの存在を教えてくれた。ドラヴァニア雲海のエイル・トームで「サンソン大牙士」と話そう。			モグリンは、「終焉の戦歌」を探すことを禁じながらも、同じく戦歌を探しているモーグリの存在を教えてくれた。ドラヴァニア雲海のエイル・トームで「サンソン大牙士」と話そう。			道は詩聖へと続く							
サンソン大牙士から、「終焉の戦歌」を探すモーグリ族の捜索を頼まれた。エイル・トームの「指定地点」で周囲を見渡して、モグチャを探そう。			サンソン大牙士から、「終焉の戦歌」を探すモーグリ族の捜索を頼まれた。エイル・トームの「指定地点」で周囲を見渡して、モグチャを探そう。			道は詩聖へと続く							
モグチャは見つからなかった。エイル・トームの「指定地点」で周囲を見渡して、再度モグチャを探そう。			モグチャは見つからなかった。エイル・トームの「指定地点」で周囲を見渡して、再度モグチャを探そう。			道は詩聖へと続く							
モグチャは見つからなかった。エイル・トームの「指定地点」で周囲を見渡して、さらにモグチャを探そう。			モグチャは見つからなかった。エイル・トームの「指定地点」で周囲を見渡して、さらにモグチャを探そう。			道は詩聖へと続く							
モグチャは見つからなかった。ドラヴァニア雲海のランドロード遺構にある「指定地点」で周囲を見渡して、もう一度モグチャを探そう。			モグチャは見つからなかった。ドラヴァニア雲海のランドロード遺構にある「指定地点」で周囲を見渡して、もう一度モグチャを探そう。			道は詩聖へと続く							
サンソン大牙士と合流したところ、通りかかったモグチャを発見した。モグチャが「終焉の戦歌」を探す仲間に加わった。モグモグホームで「モグリン」と話そう。			サンソン大牙士と合流したところ、通りかかったモグチャを発見した。モグチャが「終焉の戦歌」を探す仲間に加わった。モグモグホームで「モグリン」と話そう。			道は詩聖へと続く							
モグリンと話したが、仲間が足りていないことを見ぬかれ、旅に出る資格は得られなかった。モグチャとサンソン大牙士は、この地でギドゥロを探すそうだ。※吟遊詩人のレベルが60以上になると、モグモグホームのサンソン大牙士から、次の吟遊詩人クエストを受注することができます。			モグリンと話したが、仲間が足りていないことを見ぬかれ、旅に出る資格は得られなかった。モグチャとサンソン大牙士は、この地でギドゥロを探すそうだ。※吟遊詩人のレベルが60以上になると、モグモグホームのサンソン大牙士から、次の吟遊詩人クエストを受注することができます。			道は詩聖へと続く							
シルヴィエルと話す			シルヴィエルと話す			道は詩聖へと続く							
サンソン大牙士と話す			サンソン大牙士と話す			道は詩聖へと続く							
ソーム・アル山頂のサンソン大牙士と話す			ソーム・アル山頂のサンソン大牙士と話す			道は詩聖へと続く							
モグモグホームのモグリンと話す			モグモグホームのモグリンと話す			道は詩聖へと続く							
サンソン大牙士と話す			サンソン大牙士と話す			道は詩聖へと続く							
指定地点で周囲を見渡す			指定地点で周囲を見渡す			道は詩聖へと続く							
指定地点で再度周囲を見渡す			指定地点で再度周囲を見渡す			道は詩聖へと続く							
指定地点でさらに周囲を見渡す			指定地点でさらに周囲を見渡す			道は詩聖へと続く							
指定地点でもう一度周囲を見渡す			指定地点でもう一度周囲を見渡す			道は詩聖へと続く							
モグリンと話す			モグリンと話す			道は詩聖へと続く							
本クエストを進行するためには、「メインクエスト：蒼天のイシュガルド」の、「雲海のモーグリ族」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：蒼天のイシュガルド」の、「雲海のモーグリ族」を完了する必要があります。			道は詩聖へと続く							
ああ、Forenameさん……。ギドゥロは、あれから一向に姿を見せません……。……やはり、グリダニアに帰ったのでしょうか。			ああ、Forenameさん……。ギドゥロは、あれから一向に姿を見せません……。……やはり、グリダニアに帰ったのでしょうか。			道は詩聖へと続く							
シルヴィエルさんとも話したのですが、「天空に詩聖あり」という伝承の言葉は、天から歌声が聞こえてくることの表現みたいです。			シルヴィエルさんとも話したのですが、「天空に詩聖あり」という伝承の言葉は、天から歌声が聞こえてくることの表現みたいです。			道は詩聖へと続く							
そして、やはり雷鳴などの喩えなのではないか、と……。ギドゥロの予想どおりでしたね……。天空から聞こえる歌声なんて、何かの比喩に決まってる。			そして、やはり雷鳴などの喩えなのではないか、と……。ギドゥロの予想どおりでしたね……。天空から聞こえる歌声なんて、何かの比喩に決まってる。			道は詩聖へと続く							
でないと、空の上に歌を嗜む種族がいることになってしまう。そんなモーグリ族のような種族、いるわけないですよね……。			でないと、空の上に歌を嗜む種族がいることになってしまう。そんなモーグリ族のような種族、いるわけないですよね……。			道は詩聖へと続く							
………………なっ！雲海にモーグリの住む集落があるですって……！？そ、そんな……早く言ってくださいよ、人が悪い！			………………なっ！雲海にモーグリの住む集落があるですって……！？そ、そんな……早く言ってくださいよ、人が悪い！			道は詩聖へと続く							
もし、雲海のモーグリたちが、音楽を愛するなら、「終焉の戦歌」を知っていてもおかしくありません！急いで、現地に案内してください！			もし、雲海のモーグリたちが、音楽を愛するなら、「終焉の戦歌」を知っていてもおかしくありません！急いで、現地に案内してください！			道は詩聖へと続く							
……ギドゥロだって吟遊詩人です。戦歌があると聞けば、追いかけてくるかもしれません……。			……ギドゥロだって吟遊詩人です。戦歌があると聞けば、追いかけてくるかもしれません……。			道は詩聖へと続く							
「シルヴィエル」さんに、ギドゥロへの伝言を託してくれませんか？俺は先に「不浄の三塔」に向かっておきますから……。			「シルヴィエル」さんに、ギドゥロへの伝言を託してくれませんか？俺は先に「不浄の三塔」に向かっておきますから……。			道は詩聖へと続く							
ゲッ……Forename……！			ゲッ……Forename……！			道は詩聖へと続く							
……ふふ、ギドゥロ君、ついに見つかったね。よく、サンソン君のことをこっそり眺めたり、彼とどんな話をしたのか、聞きにきたりしてたんだよ。			……ふふ、ギドゥロ君、ついに見つかったね。よく、サンソン君のことをこっそり眺めたり、彼とどんな話をしたのか、聞きにきたりしてたんだよ。			道は詩聖へと続く							
霊峰「ソーム・アル」の頂に、そんな場所があるとは……。確かに「詩聖」が雲海のモーグリ族を指し示すと、考えることもできるだろう。			霊峰「ソーム・アル」の頂に、そんな場所があるとは……。確かに「詩聖」が雲海のモーグリ族を指し示すと、考えることもできるだろう。			道は詩聖へと続く							
……どうだい、一緒に「ドラヴァニア雲海」を目指してみては。意地を張るのも、疲れるものだろう？			……どうだい、一緒に「ドラヴァニア雲海」を目指してみては。意地を張るのも、疲れるものだろう？			道は詩聖へと続く							
……なあ、Forename。お前は、俺がどうするべきだと思う？			……なあ、Forename。お前は、俺がどうするべきだと思う？			道は詩聖へと続く							
ギドゥロはどうするべき？			ギドゥロはどうするべき？			道は詩聖へと続く							
一緒に向かおう			一緒に向かおう			道は詩聖へと続く							
…………			…………			道は詩聖へと続く							
粋な吟遊詩人であるお前が、そうまで言うんなら、少しだけ、考えてやるか……。			粋な吟遊詩人であるお前が、そうまで言うんなら、少しだけ、考えてやるか……。			道は詩聖へと続く							
粋な吟遊詩人であるお前は、俺自身で決めろと言ってんだな。……少しだけ、考えてみるわ。			粋な吟遊詩人であるお前は、俺自身で決めろと言ってんだな。……少しだけ、考えてみるわ。			道は詩聖へと続く							
霊峰「ソーム・アル」の頂に、そんな場所があるとは……。確かに「詩聖」が雲海のモーグリ族を指し示すと、考えることもできるだろう。			霊峰「ソーム・アル」の頂に、そんな場所があるとは……。確かに「詩聖」が雲海のモーグリ族を指し示すと、考えることもできるだろう。			道は詩聖へと続く							
これは、また威容を誇る建造物ですね……。ギドゥロがいたら、この風景を歌にしたことでしょう……。			これは、また威容を誇る建造物ですね……。ギドゥロがいたら、この風景を歌にしたことでしょう……。			道は詩聖へと続く							
さて、ここからは、Forenameさんが頼りです。ドラゴン族の住処を抜けて、霊峰の先、「ドラヴァニア雲海」へと向かいましょう……！			さて、ここからは、Forenameさんが頼りです。ドラゴン族の住処を抜けて、霊峰の先、「ドラヴァニア雲海」へと向かいましょう……！			道は詩聖へと続く							
なんて景色なんだ……俺に詩才はありませんから、せめて、奴と再会できたとき、この光景を伝えられるよう、目に焼き付けておきます。			なんて景色なんだ……俺に詩才はありませんから、せめて、奴と再会できたとき、この光景を伝えられるよう、目に焼き付けておきます。			道は詩聖へと続く							
さて、この集落の長老に挨拶せねばなりませんね……。その「モグリン」様という方のところに向かいましょう。			さて、この集落の長老に挨拶せねばなりませんね……。その「モグリン」様という方のところに向かいましょう。			道は詩聖へと続く							
こちらがモグリン様……なんとも、貫禄が……。			こちらがモグリン様……なんとも、貫禄が……。			道は詩聖へと続く							
……おぬしから「終焉の戦歌」の名を聞くとは驚いたくぽ。しかし、あの戦歌は、あまりにも危険過ぎるくぽ……。			……おぬしから「終焉の戦歌」の名を聞くとは驚いたくぽ。しかし、あの戦歌は、あまりにも危険過ぎるくぽ……。			道は詩聖へと続く							
モグたちにとって、あれは禁忌の歌くぽ。さっきも、「モグチャ」という名の若い吟遊モーグリが、「終焉の戦歌」を探したいと言うから、叱ったところくぽ。			モグたちにとって、あれは禁忌の歌くぽ。さっきも、「モグチャ」という名の若い吟遊モーグリが、「終焉の戦歌」を探したいと言うから、叱ったところくぽ。			道は詩聖へと続く							
「モグチャ」は、怒って集落を出ていってしまったくぽ。どうやら「モグモグホーム」の北へ向かったようくぽ。ちょーっとだけ、心配くぽ……。			「モグチャ」は、怒って集落を出ていってしまったくぽ。どうやら「モグモグホーム」の北へ向かったようくぽ。ちょーっとだけ、心配くぽ……。			道は詩聖へと続く							
…………ふむ。Forenameさん、どうも様子がおかしい。ここは一度退いて、集落の外で落ち合いましょう……。			…………ふむ。Forenameさん、どうも様子がおかしい。ここは一度退いて、集落の外で落ち合いましょう……。			道は詩聖へと続く							
「モグチャ」は、怒って集落を出ていってしまったくぽ。どうやら「モグモグホーム」の北へ向かったようくぽ。ちょーっとだけ、心配くぽ……。			「モグチャ」は、怒って集落を出ていってしまったくぽ。どうやら「モグモグホーム」の北へ向かったようくぽ。ちょーっとだけ、心配くぽ……。			道は詩聖へと続く							
モグリン様は、禁忌と言いながら、俺たちと目的を同じくするモーグリの存在を教えてくれた。いったい、何故なのでしょう……？			モグリン様は、禁忌と言いながら、俺たちと目的を同じくするモーグリの存在を教えてくれた。いったい、何故なのでしょう……？			道は詩聖へと続く							
……何か、裏がありそうですね。ともかく、「モグチャ」という名のモーグリが鍵のようです。集落の北を何箇所か、ふたりで捜索してみましょう！			……何か、裏がありそうですね。ともかく、「モグチャ」という名のモーグリが鍵のようです。集落の北を何箇所か、ふたりで捜索してみましょう！			道は詩聖へと続く							
モグチャらしき姿は見当たりませんね……。			モグチャらしき姿は見当たりませんね……。			道は詩聖へと続く							
いじいじ……モグリンさまのバカ……くぽ……。			いじいじ……モグリンさまのバカ……くぽ……。			道は詩聖へと続く							
うーん、見つからないですね……。てっきり、「モグチャを探せ」という、モグリン様のメッセージかと思ったのですが……。			うーん、見つからないですね……。てっきり、「モグチャを探せ」という、モグリン様のメッセージかと思ったのですが……。			道は詩聖へと続く							
(-いじいじモーグリ-)くぽぽ～！？　い、いったい誰くぽ～！？モ、モグをいじめるつもりくぽ！？			(-いじいじモーグリ-)くぽぽ～！？　い、いったい誰くぽ～！？モ、モグをいじめるつもりくぽ！？			道は詩聖へと続く							
いじめはしないさ……君は、モグチャ、だね……？			いじめはしないさ……君は、モグチャ、だね……？			道は詩聖へと続く							
……なんで、モグの名前を知ってるくぽ？君たち、何者くぽ……？			……なんで、モグの名前を知ってるくぽ？君たち、何者くぽ……？			道は詩聖へと続く							
くぽぽ～！　「終焉の戦歌」を探してるくぽ！？モグと、おんなじくぽ～！			くぽぽ～！　「終焉の戦歌」を探してるくぽ！？モグと、おんなじくぽ～！			道は詩聖へと続く							
モグは、歌が大好きくぽっ。「空の地にひびく歌声、円と広がり、近づく者を破壊せん」……村にそう伝わる戦歌を探してみたいって、お願いしたら……。			モグは、歌が大好きくぽっ。「空の地にひびく歌声、円と広がり、近づく者を破壊せん」……村にそう伝わる戦歌を探してみたいって、お願いしたら……。			道は詩聖へと続く							
