イシュガルド上層の不安げな商人は、飛空艇が帰還しないことを心配しているようだ。			イシュガルド上層の不安げな商人は、飛空艇が帰還しないことを心配しているようだ。			空賊たち							
こちらも、ヤフェーム湿地に乗り込んで、妖異たちから「要」をかっさらい、ラドリアを助けだすのね！			こちらも、ヤフェーム湿地に乗り込んで、妖異たちから「要」をかっさらい、ラドリアを助けだすのね！			禁忌都市マハ							
……ま、ラドリアの救助は、「要」を探すついでだがな。			……ま、ラドリアの救助は、「要」を探すついでだがな。			禁忌都市マハ							
霊風の羅針盤をウタタが作りなおしてくれたんで、俺らも妖異を追って、ヤフェーム湿地へ飛べるはずだ。心の覚悟を決めた奴から、飛空艇の発着場に集合しろ！			霊風の羅針盤をウタタが作りなおしてくれたんで、俺らも妖異を追って、ヤフェーム湿地へ飛べるはずだ。心の覚悟を決めた奴から、飛空艇の発着場に集合しろ！			禁忌都市マハ							
「要」も手に入れる、ラドリアも救い出す。同時に、ふたつの目的を完遂させることになるわ。困難な仕事になりそうね……。			「要」も手に入れる、ラドリアも救い出す。同時に、ふたつの目的を完遂させることになるわ。困難な仕事になりそうね……。			禁忌都市マハ							
「要」を取り戻すべく、私も同行させてもらう。マハに、1500年のときを経て降り立つことになるな……。			「要」を取り戻すべく、私も同行させてもらう。マハに、1500年のときを経て降り立つことになるな……。			禁忌都市マハ							
現地へは、ここから飛空艇を使っていく。お前は前回と同様、冒険者たちを率いて先陣を切ってくれ。目的は、マハの「要」が眠る、遺跡の最深部への到達だ。			現地へは、ここから飛空艇を使っていく。お前は前回と同様、冒険者たちを率いて先陣を切ってくれ。目的は、マハの「要」が眠る、遺跡の最深部への到達だ。			禁忌都市マハ							
妖異どもが待ち構えていることを考えれば、空から一気に遺跡まで到達しようってのは危険すぎる……。手前の湿地帯で船を降ろして、徒歩で進んでいくぞ。			妖異どもが待ち構えていることを考えれば、空から一気に遺跡まで到達しようってのは危険すぎる……。手前の湿地帯で船を降ろして、徒歩で進んでいくぞ。			禁忌都市マハ							
なんでも、最深部まではネコじじいが先導できるそうだ。ラドリアや生存者の捜索は、俺の方で受け持つんで、お前たち冒険者は、最深部を目指すことだけ考えればいい。			なんでも、最深部まではネコじじいが先導できるそうだ。ラドリアや生存者の捜索は、俺の方で受け持つんで、お前たち冒険者は、最深部を目指すことだけ考えればいい。			禁忌都市マハ							
……ただし、遺跡に辿り着いてからも油断するなよ。妖異から「要」を守るため、守護者も目覚めているはずだからな。荒事には慣れっこだろうが……気ぃ抜くんじゃねえぞ。			……ただし、遺跡に辿り着いてからも油断するなよ。妖異から「要」を守るため、守護者も目覚めているはずだからな。荒事には慣れっこだろうが……気ぃ抜くんじゃねえぞ。			禁忌都市マハ							
目的は、マハの「要」が眠る、遺跡の最深部への到達だ。ラドリアや生存者の捜索は、俺の方で受け持つんで、お前たち冒険者は、最深部を目指すことだけ考えればいい。			目的は、マハの「要」が眠る、遺跡の最深部への到達だ。ラドリアや生存者の捜索は、俺の方で受け持つんで、お前たち冒険者は、最深部を目指すことだけ考えればいい。			禁忌都市マハ							
……ここが、遺跡の最深部か。			……ここが、遺跡の最深部か。			禁忌都市マハ							
あなたたち冒険者は、素晴らしい成果を上げてくれた。その功績につづきたかったけど、生憎こっちは空振り……。ラドリアは、まだ見つかっていないわ。			あなたたち冒険者は、素晴らしい成果を上げてくれた。その功績につづきたかったけど、生憎こっちは空振り……。ラドリアは、まだ見つかっていないわ。			禁忌都市マハ							
その女の生死よりも、今は「要」の確保が肝要……。すぐに仕事に取りかかるぞ！			その女の生死よりも、今は「要」の確保が肝要……。すぐに仕事に取りかかるぞ！			禁忌都市マハ							
(-？？？？-)ヒャヒャヒャ……ヒャーヒャヒャヒャ！ここまでの案内、ご苦労サマ……！			(-？？？？-)ヒャヒャヒャ……ヒャーヒャヒャヒャ！ここまでの案内、ご苦労サマ……！			禁忌都市マハ							
ウフフ、ずーっと切り刻んでやりたいと思っていた冒険者……。こうして再会できるとは、ディアボロス様に感謝だネ。再会を祝して、このフェルディア様が土産を持ってきたヨ……！			ウフフ、ずーっと切り刻んでやりたいと思っていた冒険者……。こうして再会できるとは、ディアボロス様に感謝だネ。再会を祝して、このフェルディア様が土産を持ってきたヨ……！			禁忌都市マハ							
なるほど、それが「要」カ……。君らのおかげで、ディアボロス様の命令を果たせそうダ。案内のお礼に、このフェルディア様が土産を持ってきたヨ……！			なるほど、それが「要」カ……。君らのおかげで、ディアボロス様の命令を果たせそうダ。案内のお礼に、このフェルディア様が土産を持ってきたヨ……！			禁忌都市マハ							
ネェ……君たち、この女を探していたんだロウ？女の命が大切ならば……その「要」をヨコセ！			ネェ……君たち、この女を探していたんだロウ？女の命が大切ならば……その「要」をヨコセ！			禁忌都市マハ							
勘違いも甚だしいな、おふざけボケ妖異！その女は、俺らに何度もチョッカイ出してくる厄介者でね。この機会に、引導を渡してやろうと探していただけさ！			勘違いも甚だしいな、おふざけボケ妖異！その女は、俺らに何度もチョッカイ出してくる厄介者でね。この機会に、引導を渡してやろうと探していただけさ！			禁忌都市マハ							
おいおい、その顔はなんだ、ラドリア。俺は、お前を出し抜いたことはあっても、助けてやったことなんざ、一度もないはずだが……？			おいおい、その顔はなんだ、ラドリア。俺は、お前を出し抜いたことはあっても、助けてやったことなんざ、一度もないはずだが……？			禁忌都市マハ							
出し抜いたといや……はじめて会ったときもそうだったな！アラグの石ころを前に高笑いしてる金髪女の脳天に、でっかい靴跡つけてやったときは、痛快だったぜ！			出し抜いたといや……はじめて会ったときもそうだったな！アラグの石ころを前に高笑いしてる金髪女の脳天に、でっかい靴跡つけてやったときは、痛快だったぜ！			禁忌都市マハ							
こっ、こんのぉ人でなしがぁ！！一瞬でもアンタにすがったアタイが馬鹿だった！今すぐ、その土手っ腹に風穴開けてやる！			こっ、こんのぉ人でなしがぁ！！一瞬でもアンタにすがったアタイが馬鹿だった！今すぐ、その土手っ腹に風穴開けてやる！			禁忌都市マハ							
てめえの銃の腕前を思い出してからほざきな。10ヤルムの至近距離で、狙いを外したこともあるくせによ！			てめえの銃の腕前を思い出してからほざきな。10ヤルムの至近距離で、狙いを外したこともあるくせによ！			禁忌都市マハ							
……ええい、貴様、戯言もいい加減にシロ！貴様の、そのにやけた顔面から切り刻んでヤル！			……ええい、貴様、戯言もいい加減にシロ！貴様の、そのにやけた顔面から切り刻んでヤル！			禁忌都市マハ							
今だ、ネコじじい！			今だ、ネコじじい！			禁忌都市マハ							
ヌウッ！　グ……グアア……こ、この光ハ！			ヌウッ！　グ……グアア……こ、この光ハ！			禁忌都市マハ							
道化の妖異よ、この世界は貴様の遊技場ではない！我らの世界から、消え失せろ！！			道化の妖異よ、この世界は貴様の遊技場ではない！我らの世界から、消え失せろ！！			禁忌都市マハ							
グ、グウウ……！　貴様ら、このボクを欺くトハ……。この屈辱、絶対に忘れないヨ……！			グ、グウウ……！　貴様ら、このボクを欺くトハ……。この屈辱、絶対に忘れないヨ……！			禁忌都市マハ							
……逃げたみてえだな。俺らも、とっとと退散すんぞ。			……逃げたみてえだな。俺らも、とっとと退散すんぞ。			禁忌都市マハ							
上手くいったから、いいようなものの、レオファードの無茶は、もうコリゴリよ……。……ってボヤくのも、これで何回目かしら……ハァ……。			上手くいったから、いいようなものの、レオファードの無茶は、もうコリゴリよ……。……ってボヤくのも、これで何回目かしら……ハァ……。			禁忌都市マハ							
「要」も我らの手に入り、女空賊も救助できた。此度の成果は上々と言ってよかろう！			「要」も我らの手に入り、女空賊も救助できた。此度の成果は上々と言ってよかろう！			禁忌都市マハ							
よし、どうにか無事にマハの遺跡から脱出できたな！ラドリアは、ひどく憔悴してたんで休ませている。ま、命に別状はないだろ。			よし、どうにか無事にマハの遺跡から脱出できたな！ラドリアは、ひどく憔悴してたんで休ませている。ま、命に別状はないだろ。			禁忌都市マハ							
というわけで、見事に作戦は成功さ。さすが、「レッドビル」とForenameだな！			というわけで、見事に作戦は成功さ。さすが、「レッドビル」とForenameだな！			禁忌都市マハ							
……けっ！　おい、ネコじじい。なーにが、妖異を完全に「消滅」させるだ。あのボケ妖異、普通に逃げていったじゃねえか。			……けっ！　おい、ネコじじい。なーにが、妖異を完全に「消滅」させるだ。あのボケ妖異、普通に逃げていったじゃねえか。			禁忌都市マハ							
ふん、「要」の本来の力を、あの程度と思うでないぞ？力を使いこなす術を突き止め、全力を発揮させることが叶えば、あのような下劣な妖異に遅れなど取らぬわ！			ふん、「要」の本来の力を、あの程度と思うでないぞ？力を使いこなす術を突き止め、全力を発揮させることが叶えば、あのような下劣な妖異に遅れなど取らぬわ！			禁忌都市マハ							
つまり、今すぐは全力を出せないってことじゃねえか。まったく、中途半端なもんだぜ……。			つまり、今すぐは全力を出せないってことじゃねえか。まったく、中途半端なもんだぜ……。			禁忌都市マハ							
貴様、その「中途半端なもん」のおかげで、囚われていた女空賊を救い出せたことを忘れるなよ？貴様の口先八丁だけでは、今回の成果はなかったのだぞ！			貴様、その「中途半端なもん」のおかげで、囚われていた女空賊を救い出せたことを忘れるなよ？貴様の口先八丁だけでは、今回の成果はなかったのだぞ！			禁忌都市マハ							
……ま、あのままラドリアを見捨てて逃げちまっても、俺らに不利益はなかったんだがな。			……ま、あのままラドリアを見捨てて逃げちまっても、俺らに不利益はなかったんだがな。			禁忌都市マハ							
…………だが、あの状況でよく俺の意図を読み取った。確かに、ラドリアを救えたのは、お前の手柄だ。			…………だが、あの状況でよく俺の意図を読み取った。確かに、ラドリアを救えたのは、お前の手柄だ。			禁忌都市マハ							
パロック繋留基地のレオファードは、ラドリアの目覚めを待つつもりのようだ。			パロック繋留基地のレオファードは、ラドリアの目覚めを待つつもりのようだ。			この空の平和							
レオファードから、ラドリアの目覚めを一緒に待つよう指示された。アバラシア雲海のコールドウィンド島に立つ「レッドビル」の旗から、パロック繋留基地に向かい、レオファードの私室で「レオファード」と話そう。			レオファードから、ラドリアの目覚めを一緒に待つよう指示された。アバラシア雲海のコールドウィンド島に立つ「レッドビル」の旗から、パロック繋留基地に向かい、レオファードの私室で「レオファード」と話そう。			この空の平和							
ラドリアは、マハの魔道士が記したという魔道書を「レッドビル」に託し、去っていった。レオファードは、魔道書の解読と「要」が全力を解放するための調整をケット・シーに命じる。「要」を使って妖異を消滅させ、これ以上雲海を去ってしまう者を出さないよう、レオファードも決意を新たにするのだった。			ラドリアは、マハの魔道士が記したという魔道書を「レッドビル」に託し、去っていった。レオファードは、魔道書の解読と「要」が全力を解放するための調整をケット・シーに命じる。「要」を使って妖異を消滅させ、これ以上雲海を去ってしまう者を出さないよう、レオファードも決意を新たにするのだった。			この空の平和							
レオファードの私室でレオファードと話す			レオファードの私室でレオファードと話す			この空の平和							
上手くいったから、いいようなものの、レオファードの無茶は、もうコリゴリよ……。……ってボヤくのも、これで何回目かしら……ハァ……。			上手くいったから、いいようなものの、レオファードの無茶は、もうコリゴリよ……。……ってボヤくのも、これで何回目かしら……ハァ……。			この空の平和							
……あの男、マハで頭でも打ったのであろうか。それとも、私を褒めたように見せかけ、なにか罠を……？			……あの男、マハで頭でも打ったのであろうか。それとも、私を褒めたように見せかけ、なにか罠を……？			この空の平和							
さて、マハの遺跡から「要」も入手できた。ラドリアが目覚めるまでは、しばらく待機だな。			さて、マハの遺跡から「要」も入手できた。ラドリアが目覚めるまでは、しばらく待機だな。			この空の平和							
おーっと、だからって勝手に旅立つんじゃねえぞ？ラドリアが目覚め次第、いろいろと聞き出さにゃならん。お前も、俺の部屋で待つんだ。			おーっと、だからって勝手に旅立つんじゃねえぞ？ラドリアが目覚め次第、いろいろと聞き出さにゃならん。お前も、俺の部屋で待つんだ。			この空の平和							
ラドリア、船の中でもずっとうなされてた。相当、ひどい目にあったみたいね……。彼女の目覚めを、「レオファード」の部屋で待ちましょう。			ラドリア、船の中でもずっとうなされてた。相当、ひどい目にあったみたいね……。彼女の目覚めを、「レオファード」の部屋で待ちましょう。			この空の平和							
「要」の全力を解放することが叶えば、女王スカアハも、ディアボロスも、我らの敵ではない……！			「要」の全力を解放することが叶えば、女王スカアハも、ディアボロスも、我らの敵ではない……！			この空の平和							
おお、来たか……。激戦だったからな、お前も少し身体を休めときな。ラドリアも、まもなく目を覚ますだろう。			おお、来たか……。激戦だったからな、お前も少し身体を休めときな。ラドリアも、まもなく目を覚ますだろう。			この空の平和							
救助されたのは、アタイだけか……？なあ、遺跡の中に、他の生存者は……。			救助されたのは、アタイだけか……？なあ、遺跡の中に、他の生存者は……。			この空の平和							
……答えろ。お前は、何らかの目的があってあの遺跡に向かったはずだ。マハについて、どこまで情報を得ていた？			……答えろ。お前は、何らかの目的があってあの遺跡に向かったはずだ。マハについて、どこまで情報を得ていた？			この空の平和							
以前、雲海を探索したときに、妙な遺跡がある浮島で、古文書を見つけたんだ。そこに、魔航船や「要」のことが書かれていてね……。			以前、雲海を探索したときに、妙な遺跡がある浮島で、古文書を見つけたんだ。そこに、魔航船や「要」のことが書かれていてね……。			この空の平和							
マハの魔道士が記した書物だろうか……？女よ、誰の手によって記されたものかは、わかるか？			マハの魔道士が記した書物だろうか……？女よ、誰の手によって記されたものかは、わかるか？			この空の平和							
暗号化魔法が施されていた上に、1500年分の劣化だ。アタイらのオツムじゃ、読み解けない箇所も多くてね……。相当、地位の高い奴が書いたようだったが。			暗号化魔法が施されていた上に、1500年分の劣化だ。アタイらのオツムじゃ、読み解けない箇所も多くてね……。相当、地位の高い奴が書いたようだったが。			この空の平和							
古文書の内容が真実なら、魔航船は凄まじい力を持っている。そいつを手に入れ、マハが有していた知識を独占すれば、アタイが、この空の女王になれると考えたんだ……。			古文書の内容が真実なら、魔航船は凄まじい力を持っている。そいつを手に入れ、マハが有していた知識を独占すれば、アタイが、この空の女王になれると考えたんだ……。			この空の平和							
ハッ……だが、結果はこのザマ。自分の仲間も守れないで、何が空賊、何が空の女王だ……。			ハッ……だが、結果はこのザマ。自分の仲間も守れないで、何が空賊、何が空の女王だ……。			この空の平和							
……ラドリアと言ったな、そなたに尋ねたい。仲間を殺した妖異どもを許せぬ気持ちはあるか？			……ラドリアと言ったな、そなたに尋ねたい。仲間を殺した妖異どもを許せぬ気持ちはあるか？			この空の平和							
当たり前だろう……奴は、アタイの仲間を大勢殺した！！やれるもんなら、この手で引導を渡してやりたいよ！			当たり前だろう……奴は、アタイの仲間を大勢殺した！！やれるもんなら、この手で引導を渡してやりたいよ！			この空の平和							
……妖異を滅すべしという想い、それは我らもおなじ。どうか、この空の平和のため、そなたら「大鷲連合」の力を、我らに貸してはもらえぬだろうか？			……妖異を滅すべしという想い、それは我らもおなじ。どうか、この空の平和のため、そなたら「大鷲連合」の力を、我らに貸してはもらえぬだろうか？			この空の平和							
…………ごめんだね。この空の平和なんて、今のアタイが受け止めるには広すぎる。			…………ごめんだね。この空の平和なんて、今のアタイが受け止めるには広すぎる。			この空の平和							
個人的な因縁が理由じゃないよ……そもそも無理なんだ。うちの主力部隊は、遺跡でみんな死んじまった……。力になれるほどの戦力は、もう「大鷲連合」にはない。			個人的な因縁が理由じゃないよ……そもそも無理なんだ。うちの主力部隊は、遺跡でみんな死んじまった……。力になれるほどの戦力は、もう「大鷲連合」にはない。			この空の平和							
ずいぶんと、アクが抜けちまったもんだな。仲間がいないと怖いんで、ケツまくって逃げ出しますってか？まったく、つまらねえ女を救出したもんだ……！			ずいぶんと、アクが抜けちまったもんだな。仲間がいないと怖いんで、ケツまくって逃げ出しますってか？まったく、つまらねえ女を救出したもんだ……！			この空の平和							
そうやって、アタイを奮起させようって魂胆だろう……？だが、すまないね……マハの古文書はアンタらに託すよ。うまく使って、妖異どもをぶちのめしておくれ……。			そうやって、アタイを奮起させようって魂胆だろう……？だが、すまないね……マハの古文書はアンタらに託すよ。うまく使って、妖異どもをぶちのめしておくれ……。			この空の平和							
……おい、ねこジジイ。そのボロ本を、一秒でも早く解き明かしやがれ。「要」の力を使いこなす方法を、何としても突き止めるんだ。			……おい、ねこジジイ。そのボロ本を、一秒でも早く解き明かしやがれ。「要」の力を使いこなす方法を、何としても突き止めるんだ。			この空の平和							
道化野郎を退散させることはできたが、完全に消滅させられたわけじゃなかった……。女王との対決にゃ、まだまだ力不足ってことだからな。			道化野郎を退散させることはできたが、完全に消滅させられたわけじゃなかった……。女王との対決にゃ、まだまだ力不足ってことだからな。			この空の平和							
他の連中は、それぞれの仕事に全力を注ぐことに集中しろ。調査でも修行でも、やり過ぎて足りない、ってことはねえ。			他の連中は、それぞれの仕事に全力を注ぐことに集中しろ。調査でも修行でも、やり過ぎて足りない、ってことはねえ。			この空の平和							
……妖異どもの首、必ず「レッドビル」がいただく。これ以上、この自由な空を荒らされてたまるかよ……。			……妖異どもの首、必ず「レッドビル」がいただく。これ以上、この自由な空を荒らされてたまるかよ……。			この空の平和							
……「要」は、ヒトどもの手に渡ったか。			……「要」は、ヒトどもの手に渡ったか。			この空の平和							
ディアボロス様、申し訳ございまセン……。しかし、必ずやこの手で、連中を葬り去ってみせますノデ……！			ディアボロス様、申し訳ございまセン……。しかし、必ずやこの手で、連中を葬り去ってみせますノデ……！			この空の平和							
夜闇に潜んで事を為さんとするのも、そろそろ限界か……。我の障害となり立ちはだかるのならば、もはや捨て置けぬ。			夜闇に潜んで事を為さんとするのも、そろそろ限界か……。我の障害となり立ちはだかるのならば、もはや捨て置けぬ。			この空の平和							
女王の力が満ちるのも、まもなく……！そのときこそ、我の宿願が叶うのだから！！			女王の力が満ちるのも、まもなく……！そのときこそ、我の宿願が叶うのだから！！			この空の平和							
コールドウィンド島のスタシアは、ケット・シーに頼まれ冒険者を探していたようだ。			コールドウィンド島のスタシアは、ケット・シーに頼まれ冒険者を探していたようだ。			影の国ダン・スカー							
前回までの冒険録：妖異を消滅させる力を持つ「要」を求め、冒険者はケット・シーと「レッドビル」の面々を伴い、古の都市マハに降り立つ。おなじく「要」を狙う妖異フェルディアが、空賊団「大鷲連合」を率いるラドリアを人質にとり迫ってくるも、レオファードとケット・シーの連携により、これを撃退することに成功。一同は、見事「要」を手中に収める。だが、妖異によって「大鷲連合」が壊滅してしまった悲しみから、レオファードの好敵手ラドリアが雲海を去ってしまった。「要」の全力を解放して妖異を消滅させるため、ケット・シーは、ラドリアの残したマハの書物の解読にとりかかるのだった。　　　　　　　　　　　　*　*　*ケット・シーがマハの書物から重大な発見をしたらしい。アバラシア雲海のコールドウィンド島に立つ「レッドビル」の旗から、パロック繋留基地に向かい、レオファードの私室で「ケット・シー」と話そう。			前回までの冒険録：妖異を消滅させる力を持つ「要」を求め、冒険者はケット・シーと「レッドビル」の面々を伴い、古の都市マハに降り立つ。おなじく「要」を狙う妖異フェルディアが、空賊団「大鷲連合」を率いるラドリアを人質にとり迫ってくるも、レオファードとケット・シーの連携により、これを撃退することに成功。一同は、見事「要」を手中に収める。だが、妖異によって「大鷲連合」が壊滅してしまった悲しみから、レオファードの好敵手ラドリアが雲海を去ってしまった。「要」の全力を解放して妖異を消滅させるため、ケット・シーは、ラドリアの残したマハの書物の解読にとりかかるのだった。　　　　　　　　　　　　*　*　*ケット・シーがマハの書物から重大な発見をしたらしい。アバラシア雲海のコールドウィンド島に立つ「レッドビル」の旗から、パロック繋留基地に向かい、レオファードの私室で「ケット・シー」と話そう。			影の国ダン・スカー							
ケット・シーの主人クェーサルとディアボロスの因縁が明らかになった。そのとき、件のディアボロスがパロック繋留基地を襲撃。妖異を消滅させる「要」を奪われてしまった。アバラシア雲海のコールドウィンド島に立つ「レッドビル」の旗から、パロック繋留基地に向かい、「レオファード」と話そう。			ケット・シーの主人クェーサルとディアボロスの因縁が明らかになった。そのとき、件のディアボロスがパロック繋留基地を襲撃。妖異を消滅させる「要」を奪われてしまった。アバラシア雲海のコールドウィンド島に立つ「レッドビル」の旗から、パロック繋留基地に向かい、「レオファード」と話そう。			影の国ダン・スカー							
ケット・シーは、ラドリアが以前訪れていた浮島が、ディアボロスたちの潜伏先だという推測をたてる。怪我により同行が難しいレオファードに代わり、「大鷲連合」とともに浮島へ突入することになった。ディアボロスが潜む浮島、「影の国ダン・スカー」を攻略しよう。 ※コンテンツファインダーから攻略に参加できます。			ケット・シーは、ラドリアが以前訪れていた浮島が、ディアボロスたちの潜伏先だという推測をたてる。怪我により同行が難しいレオファードに代わり、「大鷲連合」とともに浮島へ突入することになった。ディアボロスが潜む浮島、「影の国ダン・スカー」を攻略しよう。 ※コンテンツファインダーから攻略に参加できます。			影の国ダン・スカー							
「影の国ダン・スカー」を攻略した。アバラシア雲海のコールドウィンド島に立つ「レッドビル」の旗から、パロック繋留基地へ戻ろう。			「影の国ダン・スカー」を攻略した。アバラシア雲海のコールドウィンド島に立つ「レッドビル」の旗から、パロック繋留基地へ戻ろう。			影の国ダン・スカー							
あわやという瞬間に現れたレオファードの助けにより、ディアボロスの撃退に成功した。アバラシア雲海のコールドウィンド島に立つ「レッドビル」の旗から、パロック繋留基地に向かい、「レオファード」と話そう。			あわやという瞬間に現れたレオファードの助けにより、ディアボロスの撃退に成功した。アバラシア雲海のコールドウィンド島に立つ「レッドビル」の旗から、パロック繋留基地に向かい、「レオファード」と話そう。			影の国ダン・スカー							
レオファードは妖異を消滅させ作戦を成功させたことを誇るが、そのために愛機、レミーユ号を失ったことを悔やんでいた。レミーユ号への愛着と、それを犠牲にしてでもケット・シーを救ったことで、彼の胸中は、様々な想いに満たされているようだ……。			レオファードは妖異を消滅させ作戦を成功させたことを誇るが、そのために愛機、レミーユ号を失ったことを悔やんでいた。レミーユ号への愛着と、それを犠牲にしてでもケット・シーを救ったことで、彼の胸中は、様々な想いに満たされているようだ……。			影の国ダン・スカー							
レオファードの私室でケット・シーと話す			レオファードの私室でケット・シーと話す			影の国ダン・スカー							
パロック繋留基地のレオファードと話す			パロック繋留基地のレオファードと話す			影の国ダン・スカー							
「影の国ダン・スカー」を攻略			「影の国ダン・スカー」を攻略			影の国ダン・スカー							
パロック繋留基地のレオファードと話す			パロック繋留基地のレオファードと話す			影の国ダン・スカー							
Forename！　よかった、ここで会えて！ケット・シーに頼まれて、あなたを探していたのよ。			Forename！　よかった、ここで会えて！ケット・シーに頼まれて、あなたを探していたのよ。			影の国ダン・スカー							
ラドリアから提供されたマハの書物を紐解いて、ケット・シーが「要」の力の解放方法を調べてたんだけど……。とても重大な記述を読み解いたらしいの。			ラドリアから提供されたマハの書物を紐解いて、ケット・シーが「要」の力の解放方法を調べてたんだけど……。とても重大な記述を読み解いたらしいの。			影の国ダン・スカー							
なんでも、ディアボロスや女王スカアハだけじゃなく、ケット・シー自身にも関わることらしいわ……。			なんでも、ディアボロスや女王スカアハだけじゃなく、ケット・シー自身にも関わることらしいわ……。			影の国ダン・スカー							
その内容を、私たちにも伝えたいって言っててね。あなたも、私たちのアジト「パロック繋留基地」まで来て、一緒に「ケット・シー」の話を聞いてくれないかしら。			その内容を、私たちにも伝えたいって言っててね。あなたも、私たちのアジト「パロック繋留基地」まで来て、一緒に「ケット・シー」の話を聞いてくれないかしら。			影の国ダン・スカー							
この旗から、アジトへの道のりは覚えているでしょう？あなたも、私たちのアジト「パロック繋留基地」まで来て、一緒に「ケット・シー」の話を聞いてくれないかしら。			この旗から、アジトへの道のりは覚えているでしょう？あなたも、私たちのアジト「パロック繋留基地」まで来て、一緒に「ケット・シー」の話を聞いてくれないかしら。			影の国ダン・スカー							
おお、お前も来たか。ねこジジイめ、勿体つけやがって……。いったい、どんな記述を読み解いたってんだ……？			おお、お前も来たか。ねこジジイめ、勿体つけやがって……。いったい、どんな記述を読み解いたってんだ……？			影の国ダン・スカー							
ケット・シー、ずっと深刻な顔なんだ……。			ケット・シー、ずっと深刻な顔なんだ……。			影の国ダン・スカー							
来てくれてありがとう。「ケット・シー」から話を聞きましょう。			来てくれてありがとう。「ケット・シー」から話を聞きましょう。			影の国ダン・スカー							
当時マハに仕えていた高位の魔道士が記した、この書物……。ここには、「要」の力を解放する術だけではなく、我が主、クェーサル様に関する、「真実」が記されておった。			当時マハに仕えていた高位の魔道士が記した、この書物……。ここには、「要」の力を解放する術だけではなく、我が主、クェーサル様に関する、「真実」が記されておった。			影の国ダン・スカー							
それは……魔大戦の折、あのディアボロスを召喚したのが、大魔道士であった、クェーサル様だったということだ……！			それは……魔大戦の折、あのディアボロスを召喚したのが、大魔道士であった、クェーサル様だったということだ……！			影の国ダン・スカー							
え、でも、あなたのご主人様って、マハが、魔大戦で強大な力を奮うのに反対だったんじゃ……。なのに、どうしてディアボロスの召喚を？			え、でも、あなたのご主人様って、マハが、魔大戦で強大な力を奮うのに反対だったんじゃ……。なのに、どうしてディアボロスの召喚を？			影の国ダン・スカー							
早期終戦を狙った、苦肉の策での召喚だったようだ……。戦力ではなく、「抑止力」として威嚇に用いるという条件で、クェーサル様も召喚に同意されたらしい……。			早期終戦を狙った、苦肉の策での召喚だったようだ……。戦力ではなく、「抑止力」として威嚇に用いるという条件で、クェーサル様も召喚に同意されたらしい……。			影の国ダン・スカー							
だが、奴らは……愚かなマハの連中は、その条件を無視し、ディアボロスを、敵国アムダプールに投入することを決定……！抗議に赴いたクェーサル様を、国賊として幽閉しおったのだ！			だが、奴らは……愚かなマハの連中は、その条件を無視し、ディアボロスを、敵国アムダプールに投入することを決定……！抗議に赴いたクェーサル様を、国賊として幽閉しおったのだ！			影の国ダン・スカー							
そうして、「邪魔者」を幽閉したマハの魔道士どもは、ディアボロスから、多くの邪な知識を得た。			そうして、「邪魔者」を幽閉したマハの魔道士どもは、ディアボロスから、多くの邪な知識を得た。			影の国ダン・スカー							
女王スカアハの召喚方法や、「棺」による妖異の制御なども、ディアボロスから得た、異界の秘術だったようだ……。			女王スカアハの召喚方法や、「棺」による妖異の制御なども、ディアボロスから得た、異界の秘術だったようだ……。			影の国ダン・スカー							
マハの連中は、それだけの所業を行いながら、大洪水を予見するや、すぐさまクェーサル様にすがりつきおった。民を助けるため、どうか魔航船を制御してほしい、とな……。			マハの連中は、それだけの所業を行いながら、大洪水を予見するや、すぐさまクェーサル様にすがりつきおった。民を助けるため、どうか魔航船を制御してほしい、とな……。			影の国ダン・スカー							
だが、お主らも知っての通り、魔航船は、女王スカアハの暴走により妖異の巣窟と化した……。ディアボロスが授けた制御方法に、偽りがあったに違いない。			だが、お主らも知っての通り、魔航船は、女王スカアハの暴走により妖異の巣窟と化した……。ディアボロスが授けた制御方法に、偽りがあったに違いない。			影の国ダン・スカー							
……唯一の救いは、ディアボロスが、アムダプールの白魔道士たちに封印されたことだろう。奴と女王スカアハが合流するのを防げたのだから。			……唯一の救いは、ディアボロスが、アムダプールの白魔道士たちに封印されたことだろう。奴と女王スカアハが合流するのを防げたのだから。			影の国ダン・スカー							
んで、1500年も経ってから、当時のリベンジを狙ってる、と。なるほど、あのコウモリ妖異、ぽっと出の小悪党かと思いきや、その実、すべての黒幕だったわけか……。			んで、1500年も経ってから、当時のリベンジを狙ってる、と。なるほど、あのコウモリ妖異、ぽっと出の小悪党かと思いきや、その実、すべての黒幕だったわけか……。			影の国ダン・スカー							
もしも、クェーサル様が今の世に生きてらしたら、必ずやディアボロスを召喚した責任を取ろうとしたはず……。ならば、その役目……使い魔である私が果たすが道理！			もしも、クェーサル様が今の世に生きてらしたら、必ずやディアボロスを召喚した責任を取ろうとしたはず……。ならば、その役目……使い魔である私が果たすが道理！			影の国ダン・スカー							
「要」の力を解放する術も読み解けた！主に代わり、この私がディアボロスを消滅させてみせる！			「要」の力を解放する術も読み解けた！主に代わり、この私がディアボロスを消滅させてみせる！			影の国ダン・スカー							
フッ、意気込むのはいいが、気を逸らせておっ死ぬんじゃねえぞ。そんなオチじゃ、俺らも、お前のご主人様も拍子抜けだからな？			フッ、意気込むのはいいが、気を逸らせておっ死ぬんじゃねえぞ。そんなオチじゃ、俺らも、お前のご主人様も拍子抜けだからな？			影の国ダン・スカー							
