オサード小大陸東岸のソロバンは、冒険者に仕事を紹介してくれるようだ。			オサード小大陸東岸のソロバンは、冒険者に仕事を紹介してくれるようだ。			鬼の棲む島							
玄武と話した。次は朱雀のアラミタマを鎮めるよう依頼を受けた。醴泉神社の「朱雀」と話そう。			玄武と話した。次は朱雀のアラミタマを鎮めるよう依頼を受けた。醴泉神社の「朱雀」と話そう。			朱色慕情							
朱雀と話した。朱雀は、獣の身でありながらヒトであるテンゼンを愛していたようだ。仲間とともに「朱雀征魂戦」を攻略して、朱雀のアラミタマを鎮めよう！※コンテンツファインダーから攻略に参加できます。			朱雀と話した。朱雀は、獣の身でありながらヒトであるテンゼンを愛していたようだ。仲間とともに「朱雀征魂戦」を攻略して、朱雀のアラミタマを鎮めよう！※コンテンツファインダーから攻略に参加できます。			朱色慕情							
「朱雀征魂戦」を攻略して、朱雀のアラミタマを鎮めた。醴泉神社に戻ろう。			「朱雀征魂戦」を攻略して、朱雀のアラミタマを鎮めた。醴泉神社に戻ろう。			朱色慕情							
朱雀のアラミタマを鎮め、テンゼンとの過去について聞いた。朱雀が再生の力を手に入れたことには、テンゼンの死が関係していたようだ。醴泉神社の「玄武」と話そう。			朱雀のアラミタマを鎮め、テンゼンとの過去について聞いた。朱雀が再生の力を手に入れたことには、テンゼンの死が関係していたようだ。醴泉神社の「玄武」と話そう。			朱色慕情							
玄武と話した。ソロバンが修行中に祝詞を読み間違え、亀の姿へと変わっていた。まだまだ碧のタマミズに戻ることはできないようだ。碧のタマミズにいる「ブンチン」と話そう。			玄武と話した。ソロバンが修行中に祝詞を読み間違え、亀の姿へと変わっていた。まだまだ碧のタマミズに戻ることはできないようだ。碧のタマミズにいる「ブンチン」と話そう。			朱色慕情							
ブンチンと話した。修行に奮闘するソロバンの現状を報告すると、ブンチンは感心した様子だった。朱雀との戦いで消耗した体力を回復しながら、玄武からの依頼を待とう。			ブンチンと話した。修行に奮闘するソロバンの現状を報告すると、ブンチンは感心した様子だった。朱雀との戦いで消耗した体力を回復しながら、玄武からの依頼を待とう。			朱色慕情							
醴泉神社の玄武と話す			醴泉神社の玄武と話す			朱色慕情							
朱雀と話す			朱雀と話す			朱色慕情							
「朱雀征魂戦」を攻略			「朱雀征魂戦」を攻略			朱色慕情							
玄武と話す			玄武と話す			朱色慕情							
碧のタマミズにいるブンチンと話す			碧のタマミズにいるブンチンと話す			朱色慕情							
お客人、ちょうどいいところに来てくださいましたなぁ～。			お客人、ちょうどいいところに来てくださいましたなぁ～。			朱色慕情							
実は、先ほど、一匹の狸がやってきましてなぁ～。以前のように、お客人に宛てた手紙を咥えておりましたので、お渡ししておきますぞぉ～。			実は、先ほど、一匹の狸がやってきましてなぁ～。以前のように、お客人に宛てた手紙を咥えておりましたので、お渡ししておきますぞぉ～。			朱色慕情							
(-謎めいた手紙-)時下、白虎との戦いの疲れも癒えた頃であろう。再び醴泉神社まで来られたし。			(-謎めいた手紙-)時下、白虎との戦いの疲れも癒えた頃であろう。再び醴泉神社まで来られたし。			朱色慕情							
察するに、手紙の差出人は「玄武」様のようですなぁ～？ついでにソロバンの様子も見てきてくださると嬉しいですぞぉ～。			察するに、手紙の差出人は「玄武」様のようですなぁ～？ついでにソロバンの様子も見てきてくださると嬉しいですぞぉ～。			朱色慕情							
待っておったぞ、白虎を鎮めしヒトの子よ。おや、座敷わらしは一緒ではないのか？			待っておったぞ、白虎を鎮めしヒトの子よ。おや、座敷わらしは一緒ではないのか？			朱色慕情							
ならば、おぬしらが通信に使っている「りんくぱある」とやらで、呼び出してはどうじゃ？			ならば、おぬしらが通信に使っている「りんくぱある」とやらで、呼び出してはどうじゃ？			朱色慕情							
(-タタルの声-)はい、タタルでっす！			(-タタルの声-)はい、タタルでっす！			朱色慕情							
(-タタルの声-)今、醴泉神社にいるのでっすか？では、私もすぐに向かうのでっす！			(-タタルの声-)今、醴泉神社にいるのでっすか？では、私もすぐに向かうのでっす！			朱色慕情							
ほっほっほ、便利な道具じゃのう。では、座敷わらしが到着するまで、しばし待つとしよう。			ほっほっほ、便利な道具じゃのう。では、座敷わらしが到着するまで、しばし待つとしよう。			朱色慕情							
お待たせしましたでっす！			お待たせしましたでっす！			朱色慕情							
来たか、座敷わらしよ。			来たか、座敷わらしよ。			朱色慕情							
もう座敷わらしでいいのでっす……。			もう座敷わらしでいいのでっす……。			朱色慕情							
さておき、前回の修行で、ソロバンは大きく成長した。あの調子なら、大災厄の折には、戦力として数えられるほどになるかもしれんのう。			さておき、前回の修行で、ソロバンは大きく成長した。あの調子なら、大災厄の折には、戦力として数えられるほどになるかもしれんのう。			朱色慕情							
……ところで、そのソロバンさんはどこでっすか？			……ところで、そのソロバンさんはどこでっすか？			朱色慕情							
ああ、ソロバンなら目下、特殊な修行中でのう……今は姿を見せることができないのじゃ。			ああ、ソロバンなら目下、特殊な修行中でのう……今は姿を見せることができないのじゃ。			朱色慕情							
がんばってるでっすね！			がんばってるでっすね！			朱色慕情							
さて、わざわざおぬしを呼びつけたのは、ほかでもない。			さて、わざわざおぬしを呼びつけたのは、ほかでもない。			朱色慕情							
近頃、また一段と鎮石の封印が弱まってきておってな。どうやら、黄龍が力を取りもどしつつあるようじゃ。			近頃、また一段と鎮石の封印が弱まってきておってな。どうやら、黄龍が力を取りもどしつつあるようじゃ。			朱色慕情							
黄龍の封印が完全に解けるより前に、急ぎ、四聖獣の力を集結させなければならん。			黄龍の封印が完全に解けるより前に、急ぎ、四聖獣の力を集結させなければならん。			朱色慕情							
そのためには、Forenameに、残る四聖獣のアラミタマを鎮めてもらう必要がある。			そのためには、Forenameに、残る四聖獣のアラミタマを鎮めてもらう必要がある。			朱色慕情							
次はどなたのアラミタマを鎮めるのでっすか？			次はどなたのアラミタマを鎮めるのでっすか？			朱色慕情							
うむ、それはな……っと、どうやら到着したようじゃな。			うむ、それはな……っと、どうやら到着したようじゃな。			朱色慕情							
(-凜々しい女性の声-)久しぶりですね、翁(おきな)。			(-凜々しい女性の声-)久しぶりですね、翁(おきな)。			朱色慕情							
こうして顔を合わせるのは、何百年ぶりかのう。相変わらず、おぬしはあの場所に囚われているようじゃな、朱雀よ。			こうして顔を合わせるのは、何百年ぶりかのう。相変わらず、おぬしはあの場所に囚われているようじゃな、朱雀よ。			朱色慕情							
……世間話をしに来たのではありません。私を呼び出した用件について聞かせていただきましょうか。もっとも、おおよそ想像はついていますが……。			……世間話をしに来たのではありません。私を呼び出した用件について聞かせていただきましょうか。もっとも、おおよそ想像はついていますが……。			朱色慕情							
黄龍の封印が解けようとしておる。あの忌まわしい災厄を、引き起こすわけにはいかん。今こそ、我ら四聖獣の力が必要なのじゃ。			黄龍の封印が解けようとしておる。あの忌まわしい災厄を、引き起こすわけにはいかん。今こそ、我ら四聖獣の力が必要なのじゃ。			朱色慕情							
ゆえに、そこなるヒトの子に、私のアラミタマを鎮めさせようというのですね。			ゆえに、そこなるヒトの子に、私のアラミタマを鎮めさせようというのですね。			朱色慕情							
然り。Forenameには、人智を超えた才がある。まるで、テンゼンの生まれ変わりのようじゃ。			然り。Forenameには、人智を超えた才がある。まるで、テンゼンの生まれ変わりのようじゃ。			朱色慕情							
……現在(いま)も、テンゼンは私と共に在るのです！翁よ、くれぐれも言葉に気をつけてください！			……現在(いま)も、テンゼンは私と共に在るのです！翁よ、くれぐれも言葉に気をつけてください！			朱色慕情							
Forenameと言いましたね？あなたを討つことで証明してみせましょう。テンゼンの代わりなど、存在し得ないことを……。			Forenameと言いましたね？あなたを討つことで証明してみせましょう。テンゼンの代わりなど、存在し得ないことを……。			朱色慕情							
しばし、境内の入口で待っています。命など惜しくないというのなら、我のもとに来たらんことを……。			しばし、境内の入口で待っています。命など惜しくないというのなら、我のもとに来たらんことを……。			朱色慕情							
……白虎さんの時と違って、なんだか好戦的でっすね。大人しくアラミタマを鎮めさせてはくれなさそうなのでっす……。			……白虎さんの時と違って、なんだか好戦的でっすね。大人しくアラミタマを鎮めさせてはくれなさそうなのでっす……。			朱色慕情							
あの気性の激しさ……どうやら、アラミタマの影響が強くなっておるようじゃ。征魂の儀式の前に、少し「朱雀」と話をしてみてくれ。			あの気性の激しさ……どうやら、アラミタマの影響が強くなっておるようじゃ。征魂の儀式の前に、少し「朱雀」と話をしてみてくれ。			朱色慕情							
それでは、ソロバンのこと、よろしくお願いしますぞぉ～。			それでは、ソロバンのこと、よろしくお願いしますぞぉ～。			朱色慕情							
Forenameか。玄武の爺さんが探していたようだぞ。			Forenameか。玄武の爺さんが探していたようだぞ。			朱色慕情							
あくまで、戦おうというのですね。			あくまで、戦おうというのですね。			朱色慕情							
使命のためとあらば、いかなる強敵にもひるまず挑む。その勇ましさは確かに、あのヒトに…………			使命のためとあらば、いかなる強敵にもひるまず挑む。その勇ましさは確かに、あのヒトに…………			朱色慕情							
いえ！　やはり認められません！英雄と呼ぶにふさわしいヒトは、テンゼンただひとり！代わりになる存在など、この世にはあってはならぬのです！			いえ！　やはり認められません！英雄と呼ぶにふさわしいヒトは、テンゼンただひとり！代わりになる存在など、この世にはあってはならぬのです！			朱色慕情							
(-？？？？-)そうであれば、黄龍は復活し紅玉海は炎に満ちる。四聖獣としての矜持までアラミタマに喰われたか？			(-？？？？-)そうであれば、黄龍は復活し紅玉海は炎に満ちる。四聖獣としての矜持までアラミタマに喰われたか？			朱色慕情							
白虎……私は四聖獣である前に、テンゼンを愛した一羽の鳥に過ぎません。愛するヒトの代わりなど、どうして認められましょう？			白虎……私は四聖獣である前に、テンゼンを愛した一羽の鳥に過ぎません。愛するヒトの代わりなど、どうして認められましょう？			朱色慕情							
だが、テンゼンはもういないのだぞ。その身を投げ打つ覚悟で黄龍と戦い、命を落としたのだ。我らの目の前でな。			だが、テンゼンはもういないのだぞ。その身を投げ打つ覚悟で黄龍と戦い、命を落としたのだ。我らの目の前でな。			朱色慕情							
どうしてそんなことが言えるのです、白虎！あなたとて、テンゼンのことを慕っていたはず！あのヒトとの旅の記憶を忘れたとでも！？			どうしてそんなことが言えるのです、白虎！あなたとて、テンゼンのことを慕っていたはず！あのヒトとの旅の記憶を忘れたとでも！？			朱色慕情							
テンゼンを忘れることなど、できようはずもない……。だが、歩みを止めて涙を流すばかりが弔いではない。Forenameがそう教えてくれたのだ。			テンゼンを忘れることなど、できようはずもない……。だが、歩みを止めて涙を流すばかりが弔いではない。Forenameがそう教えてくれたのだ。			朱色慕情							
Forename……不快な存在だ……！！四聖獣を誑(たぶら)かし、私たちからあのヒトを奪うつもりか！			Forename……不快な存在だ……！！四聖獣を誑(たぶら)かし、私たちからあのヒトを奪うつもりか！			朱色慕情							
支離滅裂な思考や言動……どうやらアラミタマの影響が強くなりつつあるようだな。手遅れになる前に、鎮めてやってくれ。			支離滅裂な思考や言動……どうやらアラミタマの影響が強くなりつつあるようだな。手遅れになる前に、鎮めてやってくれ。			朱色慕情							
私が心を許すヒトは、テンゼンただひとり！かような紛い物に、この愛を鎮められようはずもない！			私が心を許すヒトは、テンゼンただひとり！かような紛い物に、この愛を鎮められようはずもない！			朱色慕情							
朱雀に何と言う？			朱雀に何と言う？			朱色慕情							
絶対に鎮めてみせる			絶対に鎮めてみせる			朱色慕情							
負けるわけにはいかない			負けるわけにはいかない			朱色慕情							
ヒトの子風情が……いいでしょう、ならばすぐに始めるとしましょう。			ヒトの子風情が……いいでしょう、ならばすぐに始めるとしましょう。			朱色慕情							
この獄之蓋の底に、私の棲まう巣穴があります。哀しき鳥たちの終の場所が……そこに、あなたの亡骸も加えてみせましょう……。			この獄之蓋の底に、私の棲まう巣穴があります。哀しき鳥たちの終の場所が……そこに、あなたの亡骸も加えてみせましょう……。			朱色慕情							
朱雀は現在でも、テンゼンの命を救えなかったことを悔いている。「黄龍との戦いの折、もっと私に力があれば……」そうやって、幾星霜も己を責め続けているのだ。			朱雀は現在でも、テンゼンの命を救えなかったことを悔いている。「黄龍との戦いの折、もっと私に力があれば……」そうやって、幾星霜も己を責め続けているのだ。			朱色慕情							
その深き愛と後悔ゆえに、アラミタマを解き放てば負の感情が噴出し、今以上に不安定な状態になるはずだ。			その深き愛と後悔ゆえに、アラミタマを解き放てば負の感情が噴出し、今以上に不安定な状態になるはずだ。			朱色慕情							
お前をテンゼンと見紛うような言動があっても、動揺するなよ。それはただの幻……アラミタマが見せる悪夢なのだからな。			お前をテンゼンと見紛うような言動があっても、動揺するなよ。それはただの幻……アラミタマが見せる悪夢なのだからな。			朱色慕情							
Forenameよ、改めて頼みたい。どうか、アラミタマを鎮めるだけではなく、彼女の心も静めてやってくれないか。			Forenameよ、改めて頼みたい。どうか、アラミタマを鎮めるだけではなく、彼女の心も静めてやってくれないか。			朱色慕情							
感謝する。朱雀の地脈を操る術には、お前と言えど手を焼くはずだ。戦いの折は、地脈の流れを注視しておくといいだろう。			感謝する。朱雀の地脈を操る術には、お前と言えど手を焼くはずだ。戦いの折は、地脈の流れを注視しておくといいだろう。			朱色慕情							
すまんが……「朱雀」のこと、よろしく頼むぞい。			すまんが……「朱雀」のこと、よろしく頼むぞい。			朱色慕情							
……白虎さんの時と違って、なんだか好戦的でっすね。大人しくアラミタマを鎮めさせてはくれなさそうなのでっす……。			……白虎さんの時と違って、なんだか好戦的でっすね。大人しくアラミタマを鎮めさせてはくれなさそうなのでっす……。			朱色慕情							
朱雀が来ているのか。ならば、ヤツと話しておかねばなるまい。			朱雀が来ているのか。ならば、ヤツと話しておかねばなるまい。			朱色慕情							
朱雀の地脈を操る術には、お前と言えど手を焼くはずだ。戦いの折は、地脈の流れを注視しておくといいだろう。			朱雀の地脈を操る術には、お前と言えど手を焼くはずだ。戦いの折は、地脈の流れを注視しておくといいだろう。			朱色慕情							
……ずっと、夢を見ていたようです。テンゼンの死を受け入れられない私の弱さが見せた、悪い夢を。			……ずっと、夢を見ていたようです。テンゼンの死を受け入れられない私の弱さが見せた、悪い夢を。			朱色慕情							
これまでの、あなたに対しての失礼な言動の数々、謝罪いたします。その眩しいほどの清らかな心が、私を目覚めさせてくれました……。			これまでの、あなたに対しての失礼な言動の数々、謝罪いたします。その眩しいほどの清らかな心が、私を目覚めさせてくれました……。			朱色慕情							
私を救ってくれたあなたに、聞いてもらいたい話があります。私が、どのようにテンゼンと出会い……そして、失ったのか……。			私を救ってくれたあなたに、聞いてもらいたい話があります。私が、どのようにテンゼンと出会い……そして、失ったのか……。			朱色慕情							
遙か遙か、遠い昔の話です。私は、燃えさかる炎のような、紅く煌めく体毛を持って、生まれてきました。			遙か遙か、遠い昔の話です。私は、燃えさかる炎のような、紅く煌めく体毛を持って、生まれてきました。			朱色慕情							
その姿は、幸か不幸か、再生の神通力を持つとされる伝説の鳥、「鳳凰」と酷似しておりました。			その姿は、幸か不幸か、再生の神通力を持つとされる伝説の鳥、「鳳凰」と酷似しておりました。			朱色慕情							
ゆえに多くの人々が、不死の力を得ようと、私を捕らえようと追い続けたのです。			ゆえに多くの人々が、不死の力を得ようと、私を捕らえようと追い続けたのです。			朱色慕情							
しかし、彼だけは……テンゼンだけは、この身を、ありのままの存在として見てくれた。だからこそ、私は彼に惹かれ、彼の助けとなりたかった……。			しかし、彼だけは……テンゼンだけは、この身を、ありのままの存在として見てくれた。だからこそ、私は彼に惹かれ、彼の助けとなりたかった……。			朱色慕情							
異能の力を持つテンゼンと、百年以上もの時を生きる四聖獣は、新たな仲間を増やすにつれ、人々に恐れられるようになりました。			異能の力を持つテンゼンと、百年以上もの時を生きる四聖獣は、新たな仲間を増やすにつれ、人々に恐れられるようになりました。			朱色慕情							
それでもなお、彼は人々を恨まなかった。むしろ率先して人々を救うため、旅を続けたのです。			それでもなお、彼は人々を恨まなかった。むしろ率先して人々を救うため、旅を続けたのです。			朱色慕情							
東に怪異あれば行って斃し、西に幽鬼あればこれを祓う。そうするうちに人々の印象は、少しずつ変わっていき……ついには、帝より黄龍討伐の命を賜ったのです。			東に怪異あれば行って斃し、西に幽鬼あればこれを祓う。そうするうちに人々の印象は、少しずつ変わっていき……ついには、帝より黄龍討伐の命を賜ったのです。			朱色慕情							
アラミタマに心を呑まれて暴走した黄龍との戦いは苛烈を極め……当時、たかだか百年生きただけの獣に過ぎない私たちは、為す術もありませんでした。			アラミタマに心を呑まれて暴走した黄龍との戦いは苛烈を極め……当時、たかだか百年生きただけの獣に過ぎない私たちは、為す術もありませんでした。			朱色慕情							
……そう、私たちは何もできなかった。この地を死地と覚悟を決め、自身のすべてをもって、黄龍と相討ちになろうと突撃するテンゼンを、止めることすら……。			……そう、私たちは何もできなかった。この地を死地と覚悟を決め、自身のすべてをもって、黄龍と相討ちになろうと突撃するテンゼンを、止めることすら……。			朱色慕情							
散りゆくテンゼンを見て、私は強く想いました。			散りゆくテンゼンを見て、私は強く想いました。			朱色慕情							
この身が鳳凰であったなら……鳳凰が持つと伝えられる再生の力で、愛するヒトを救うことができるのに、と！！			この身が鳳凰であったなら……鳳凰が持つと伝えられる再生の力で、愛するヒトを救うことができるのに、と！！			朱色慕情							
……それから数百年後、何の因果か、私は瑞獣へと裏返ることで再生の力を手に入れました。彼を救えなかった後悔が、そうさせたのかもしれません。			……それから数百年後、何の因果か、私は瑞獣へと裏返ることで再生の力を手に入れました。彼を救えなかった後悔が、そうさせたのかもしれません。			朱色慕情							
今の私には力がある。大切なヒトが守りたかったものを守るための力が。			今の私には力がある。大切なヒトが守りたかったものを守るための力が。			朱色慕情							
そう思えるようになったのは、あなたがアラミタマを鎮めてくれたからこそです。ありがとう、Forename。			そう思えるようになったのは、あなたがアラミタマを鎮めてくれたからこそです。ありがとう、Forename。			朱色慕情							
さあ、心配性の「玄武」翁に、私はもう大丈夫だと伝えに行かなければ。			さあ、心配性の「玄武」翁に、私はもう大丈夫だと伝えに行かなければ。			朱色慕情							
外へ出たいのかい？案内なら、おいらに任せとくれ！			外へ出たいのかい？案内なら、おいらに任せとくれ！			朱色慕情							
「醴泉神社」から出ますか？			「醴泉神社」から出ますか？			朱色慕情							
醴泉神社に戻りたいんだね？案内なら、おいらに任せとくれ！			醴泉神社に戻りたいんだね？案内なら、おいらに任せとくれ！			朱色慕情							
「醴泉神社」へ移動しますか？			「醴泉神社」へ移動しますか？			朱色慕情							
Forename、戻ったか。どうやら、上手くいったようじゃのう。			Forename、戻ったか。どうやら、上手くいったようじゃのう。			朱色慕情							
ええ、心配かけましたね、翁。私はもう大丈夫です。			ええ、心配かけましたね、翁。私はもう大丈夫です。			朱色慕情							
朱雀さん、なんだかさっきまでと雰囲気が違うのでっす。まるで長年の憑き物が取れたような、晴れやかな顔をしているのでっす！			朱雀さん、なんだかさっきまでと雰囲気が違うのでっす。まるで長年の憑き物が取れたような、晴れやかな顔をしているのでっす！			朱色慕情							
フフフ、そうかもしれません。ようやく、テンゼンの死を受け入れることができたから。			フフフ、そうかもしれません。ようやく、テンゼンの死を受け入れることができたから。			朱色慕情							
我々瑞獣は寿命が長いゆえ、苦悩する時間も多い。だが、なにも悪いことばかりではない。再び立ち上がるための時間も十分にあるのだから。			我々瑞獣は寿命が長いゆえ、苦悩する時間も多い。だが、なにも悪いことばかりではない。再び立ち上がるための時間も十分にあるのだから。			朱色慕情							
……白虎、ありがとう。			……白虎、ありがとう。			朱色慕情							
おお、忘れておった。そろそろソロバンの修行の経過を確認せんといかん。			おお、忘れておった。そろそろソロバンの修行の経過を確認せんといかん。			朱色慕情							
お～い、ソロバンや！			お～い、ソロバンや！			朱色慕情							
あ、あれはなんでっす！？			あ、あれはなんでっす！？			朱色慕情							
鳥でっすか！？			鳥でっすか！？			朱色慕情							
飛空艇でっすか！？			飛空艇でっすか！？			朱色慕情							
いや……あれは……。			いや……あれは……。			朱色慕情							
……ソロバンじゃ！			……ソロバンじゃ！			朱色慕情							
ソ、ソロバンさん……でっす……！？			ソ、ソロバンさん……でっす……！？			朱色慕情							
(-ソロバン？-)修行でこんな姿にされるなんて聞いてないよぉ～！こんなのまるで、亀じゃないかぁ～！			(-ソロバン？-)修行でこんな姿にされるなんて聞いてないよぉ～！こんなのまるで、亀じゃないかぁ～！			朱色慕情							
元から亀じゃないでっすか……。			元から亀じゃないでっすか……。			朱色慕情							
大方、また祝詞を読み間違えて、その身に亀の魂でも降ろしてしまったのじゃろう。			大方、また祝詞を読み間違えて、その身に亀の魂でも降ろしてしまったのじゃろう。			朱色慕情							
でもまぁ～すぐ元に戻れるんだよねぇ～？玉手箱の時みたいにさぁ～。			でもまぁ～すぐ元に戻れるんだよねぇ～？玉手箱の時みたいにさぁ～。			朱色慕情							
どうじゃろ、Forenameが、青龍を鎮める頃には元に戻れるかもしれんな。			どうじゃろ、Forenameが、青龍を鎮める頃には元に戻れるかもしれんな。			朱色慕情							
それっていつなのぉ～！！			それっていつなのぉ～！！			朱色慕情							
さて、Forenameよ。おぬしと言えども、朱雀との戦いで体力を消耗したはず。一度地上へと戻り、休息するとよい。			さて、Forenameよ。おぬしと言えども、朱雀との戦いで体力を消耗したはず。一度地上へと戻り、休息するとよい。			朱色慕情							
では、私も帰るのでっす！Forenameさんには、次の依頼が来る頃に連絡するでっす！			では、私も帰るのでっす！Forenameさんには、次の依頼が来る頃に連絡するでっす！			朱色慕情							
悪いけど、「ブンチン」様への報告だけ頼んだよぉ～。こんな姿じゃ、碧のタマミズに帰れないからさぁ～。			悪いけど、「ブンチン」様への報告だけ頼んだよぉ～。こんな姿じゃ、碧のタマミズに帰れないからさぁ～。			朱色慕情							
Forenameさん、おかえりなさいでっす！朱雀さんのアラミタマを鎮めることはできたでっすか？			Forenameさん、おかえりなさいでっす！朱雀さんのアラミタマを鎮めることはできたでっすか？			朱色慕情							
それにしても、「ららへる」というヒトの種族は、ずいぶん小さい身なりをしているのだな……。			それにしても、「ららへる」というヒトの種族は、ずいぶん小さい身なりをしているのだな……。			朱色慕情							
今の私には力がある。大切なヒトが守りたかったものを守るための力が。			今の私には力がある。大切なヒトが守りたかったものを守るための力が。			朱色慕情							
そう思えるようになったのは、あなたがアラミタマを鎮めてくれたからこそです。ありがとう、Forename。			そう思えるようになったのは、あなたがアラミタマを鎮めてくれたからこそです。ありがとう、Forename。			朱色慕情							
お客人、よくぞ戻られましたなぁ～。して、ソロバンの様子はいかがでしたかなぁ～？			お客人、よくぞ戻られましたなぁ～。して、ソロバンの様子はいかがでしたかなぁ～？			朱色慕情							
ふむふむ、ソロバンが修行に失敗して亀になったとぉ～。なるほど、何を言っているのかさっぱりわかりませんぞぉ～。			ふむふむ、ソロバンが修行に失敗して亀になったとぉ～。なるほど、何を言っているのかさっぱりわかりませんぞぉ～。			朱色慕情							
何はともあれ、ソロバンは熱心に精進しておるようですなぁ～。しばらくしたら、また様子を見に行ってやってくだされぇ～。			何はともあれ、ソロバンは熱心に精進しておるようですなぁ～。しばらくしたら、また様子を見に行ってやってくだされぇ～。			朱色慕情							
おぬしと言えども、朱雀との戦いで体力を消耗したはず。一度地上へと戻り、休息するとよい。			おぬしと言えども、朱雀との戦いで体力を消耗したはず。一度地上へと戻り、休息するとよい。			朱色慕情							
えぇ～……オイラ、本当にこのままなのぉ～……？			えぇ～……オイラ、本当にこのままなのぉ～……？			朱色慕情							
テンゼン……どうか私を見守っていてください……。			テンゼン……どうか私を見守っていてください……。			朱色慕情							
朱雀の苦悩は理解できる。我ら四聖獣はテンゼンのことを慕っていたからな。無論、青龍もな。			朱雀の苦悩は理解できる。我ら四聖獣はテンゼンのことを慕っていたからな。無論、青龍もな。			朱色慕情							
エモートアクション「鼻歌」を覚えた！			エモートアクション「鼻歌」を覚えた！			朱色慕情							
碧のタマミズのブンチンは、冒険者に伝えたいことがあるようだ。			碧のタマミズのブンチンは、冒険者に伝えたいことがあるようだ。			群青の誓い							
前回までの冒険録：白虎の次に冒険者がアラミタマを鎮める四聖獣は、再生の力を持つ鳥の瑞獣、朱雀だった。獣の身でありながらテンゼンに恋心を抱く朱雀は、同じ異能の力を持つ冒険者の存在を認めようとしない。しかし、冒険者との戦いで心に平穏を取り戻した朱雀は、テンゼンの死を受け入れ、黄龍の再封印という自らの使命を思い出したのであった。　　　　　　　　　　　　*　*　*ブンチンから手渡された玄武の手紙には、醴泉神社の鎮石の封印が今にも破れようとしていると綴られていた。紅玉海の醴泉神社にいる「玄武」と話そう。			前回までの冒険録：白虎の次に冒険者がアラミタマを鎮める四聖獣は、再生の力を持つ鳥の瑞獣、朱雀だった。獣の身でありながらテンゼンに恋心を抱く朱雀は、同じ異能の力を持つ冒険者の存在を認めようとしない。しかし、冒険者との戦いで心に平穏を取り戻した朱雀は、テンゼンの死を受け入れ、黄龍の再封印という自らの使命を思い出したのであった。　　　　　　　　　　　　*　*　*ブンチンから手渡された玄武の手紙には、醴泉神社の鎮石の封印が今にも破れようとしていると綴られていた。紅玉海の醴泉神社にいる「玄武」と話そう。			群青の誓い							
玄武と話した。黄龍の復活を阻止するため、急ぎ四聖獣の力を束ねる必要があるようだ。紅玉海のベッコウ島にいる「青龍」と話そう。			玄武と話した。黄龍の復活を阻止するため、急ぎ四聖獣の力を束ねる必要があるようだ。紅玉海のベッコウ島にいる「青龍」と話そう。			群青の誓い							
青龍と話した。テンゼンとの勝負に敗れたことがキッカケで、人助けの旅に同行するようになったという青龍は、いつかテンゼンを超えることを誓ったという。しかし、再戦の機会を伺っている内に、テンゼンは黄龍と刺し違えて命を落としてしまった。誓いを果たす相手を失い、自暴自棄になっていた青龍は、アラミタマが囁く甘言に心を売り渡す。悪鬼へと堕ちようとしている青龍を止めるため、「青龍征魂戦」を攻略して、青龍のアラミタマを鎮めよう！※コンテンツファインダーから攻略に参加できます。			青龍と話した。テンゼンとの勝負に敗れたことがキッカケで、人助けの旅に同行するようになったという青龍は、いつかテンゼンを超えることを誓ったという。しかし、再戦の機会を伺っている内に、テンゼンは黄龍と刺し違えて命を落としてしまった。誓いを果たす相手を失い、自暴自棄になっていた青龍は、アラミタマが囁く甘言に心を売り渡す。悪鬼へと堕ちようとしている青龍を止めるため、「青龍征魂戦」を攻略して、青龍のアラミタマを鎮めよう！※コンテンツファインダーから攻略に参加できます。			群青の誓い							
「青龍征魂戦」を攻略して、青龍のアラミタマを鎮めた。ベッコウ島の「青龍」と話そう。			「青龍征魂戦」を攻略して、青龍のアラミタマを鎮めた。ベッコウ島の「青龍」と話そう。			群青の誓い							
青龍と話した。大蛇信仰が盛んな島で生まれ育った青龍は、幸運を司る神として崇められていたが、次第に人々から恐れられるようになっていったという。それから、自らを討伐するためにやってくる荒武者たちを倒していく内にテンゼンと出会い、人助けの旅に同行することになる。青龍は、命を助けられた上に居場所まで与えられるという大恩に報いるため、いつかテンゼンを越えて、弱き者たちの力となると誓ったようだ。本当の誓いを思い出した青龍は、黄龍の復活が迫る醴泉神社へと戻ることを決意する。			青龍と話した。大蛇信仰が盛んな島で生まれ育った青龍は、幸運を司る神として崇められていたが、次第に人々から恐れられるようになっていったという。それから、自らを討伐するためにやってくる荒武者たちを倒していく内にテンゼンと出会い、人助けの旅に同行することになる。青龍は、命を助けられた上に居場所まで与えられるという大恩に報いるため、いつかテンゼンを越えて、弱き者たちの力となると誓ったようだ。本当の誓いを思い出した青龍は、黄龍の復活が迫る醴泉神社へと戻ることを決意する。			群青の誓い							
醴泉神社の玄武と話す			醴泉神社の玄武と話す			群青の誓い							
ベッコウ島の青龍と話す			ベッコウ島の青龍と話す			群青の誓い							
「青龍征魂戦」を攻略			「青龍征魂戦」を攻略			群青の誓い							
青龍と話す			青龍と話す			群青の誓い							
これはこれは、お客人、ようこそいらっしゃいましたなぁ～。			これはこれは、お客人、ようこそいらっしゃいましたなぁ～。			群青の誓い							
