革細工師ギルドのゲヴァは、紹介したい依頼があるようだ。			革細工師ギルドのゲヴァは、紹介したい依頼があるようだ。			博物学者と剥製師							
フィンガレスグローブは、指先を露出させた型のグローブで、特に、武器に触れる指先の感覚を重んじるファイターに好まれる防具よ。			フィンガレスグローブは、指先を露出させた型のグローブで、特に、武器に触れる指先の感覚を重んじるファイターに好まれる防具よ。			革細工師ギルドの危機							
チョーカーは、急所の喉元を守る大切な防具。敏感な場所を守るだけに、しなやかさと丈夫さを最大限に活かした加工が求められるわ。			チョーカーは、急所の喉元を守る大切な防具。敏感な場所を守るだけに、しなやかさと丈夫さを最大限に活かした加工が求められるわ。			革細工師ギルドの危機							
それからタージェ。防御だけじゃなく、相手を威嚇したり、攻撃手段として使われることもあるわ。勇ましい飾り付けは、使い手の心を鼓舞するでしょう。			それからタージェ。防御だけじゃなく、相手を威嚇したり、攻撃手段として使われることもあるわ。勇ましい飾り付けは、使い手の心を鼓舞するでしょう。			革細工師ギルドの危機							
……どれも、要所を分かって作られているわ。ただ丈夫ならいいってわけじゃないことを、さすがに、もう心得ているみたいじゃない。			……どれも、要所を分かって作られているわ。ただ丈夫ならいいってわけじゃないことを、さすがに、もう心得ているみたいじゃない。			革細工師ギルドの危機							
それじゃ、長ったらしいウンチクはおしまい。時間もないことだし、大急ぎで依頼人に届けてくれる？			それじゃ、長ったらしいウンチクはおしまい。時間もないことだし、大急ぎで依頼人に届けてくれる？			革細工師ギルドの危機							
ラプトルフィンガレスグローブは、豊饒神祭壇の衛兵「ピモ・ネルハー」に。			ラプトルフィンガレスグローブは、豊饒神祭壇の衛兵「ピモ・ネルハー」に。			革細工師ギルドの危機							
ラプトルタージェは、カーラインカフェにいる「リューリック」に。			ラプトルタージェは、カーラインカフェにいる「リューリック」に。			革細工師ギルドの危機							
ラプトルチョーカーは、木陰の東屋の「ナゴ・ジャワンタル」よ。			ラプトルチョーカーは、木陰の東屋の「ナゴ・ジャワンタル」よ。			革細工師ギルドの危機							
それじゃ、頼んだわよ！……ふぅ、あんたのお陰で、ようやく「品評会」用の品の仕上げに入れるよ……。			それじゃ、頼んだわよ！……ふぅ、あんたのお陰で、ようやく「品評会」用の品の仕上げに入れるよ……。			革細工師ギルドの危機							
革細工師ギルドに依頼した、「ラプトルフィンガレスグローブ」を待っているんだ。			革細工師ギルドに依頼した、「ラプトルフィンガレスグローブ」を待っているんだ。			革細工師ギルドの危機							
はぁ……うっとりする仕上がりだね。自分のためだけに作られたかのように手に馴染む。どれだけ待とうと、革細工師ギルド以外には頼めんよ。			はぁ……うっとりする仕上がりだね。自分のためだけに作られたかのように手に馴染む。どれだけ待とうと、革細工師ギルド以外には頼めんよ。			革細工師ギルドの危機							
それにしても……大変そうだな。「品評会」も近いのに、ギルドの職人がいっせいに辞めたんだろ？いったい、何があったのだろうな……。			それにしても……大変そうだな。「品評会」も近いのに、ギルドの職人がいっせいに辞めたんだろ？いったい、何があったのだろうな……。			革細工師ギルドの危機							
おっ、革細工師ギルドの職人だな？頼んでた「ラプトルタージェ」が待てど暮らせど届かなくて困ってるんだ……。			おっ、革細工師ギルドの職人だな？頼んでた「ラプトルタージェ」が待てど暮らせど届かなくて困ってるんだ……。			革細工師ギルドの危機							
おお、こいつはすげえや！革細工師ギルドの職人の腕は、やっぱり見事だな。待った甲斐があったってもんだ。ありがとな！			おお、こいつはすげえや！革細工師ギルドの職人の腕は、やっぱり見事だな。待った甲斐があったってもんだ。ありがとな！			革細工師ギルドの危機							
噂といえば、革細工師ギルドが、大変なんだって？冒険者の職人が逃げ出したとか聞いたけど。おおかた、金の稼げる仕事に流れたのかねぇ。			噂といえば、革細工師ギルドが、大変なんだって？冒険者の職人が逃げ出したとか聞いたけど。おおかた、金の稼げる仕事に流れたのかねぇ。			革細工師ギルドの危機							
おい、革細工師ギルドの職人か！？依頼した「ラプトルチョーカー」が届かないんだが、いったいぜんたい、どれだけ待たせるつもりだ！			おい、革細工師ギルドの職人か！？依頼した「ラプトルチョーカー」が届かないんだが、いったいぜんたい、どれだけ待たせるつもりだ！			革細工師ギルドの危機							
あーあ、こんなことなら新興ブランドの「アンクル・ボサ」に依頼すればよかったよ！革細工師ギルドだって、大したことないんだろっ！？			あーあ、こんなことなら新興ブランドの「アンクル・ボサ」に依頼すればよかったよ！革細工師ギルドだって、大したことないんだろっ！？			革細工師ギルドの危機							
んむ、むむむ……！？こっ、このラプトルチョーカーは……！なんて美しく、しなやかで、丈夫な……			んむ、むむむ……！？こっ、このラプトルチョーカーは……！なんて美しく、しなやかで、丈夫な……			革細工師ギルドの危機							
……いやいや。チョーカーなんて単純な防具、誰でもこのくらい作れるさ！			……いやいや。チョーカーなんて単純な防具、誰でもこのくらい作れるさ！			革細工師ギルドの危機							
そもそも、納期を破るようじゃ職人失格だ。「品評会」で毎年、最高賞をとってるからって慢心にも程があるんじゃないか？			そもそも、納期を破るようじゃ職人失格だ。「品評会」で毎年、最高賞をとってるからって慢心にも程があるんじゃないか？			革細工師ギルドの危機							
あんたら革細工師ギルドなんて、もう時代遅れだよ。今は早さと安さの時代っ！あの、分からず屋のお頭に、よーく教えてやるんだな。			あんたら革細工師ギルドなんて、もう時代遅れだよ。今は早さと安さの時代っ！あの、分からず屋のお頭に、よーく教えてやるんだな。			革細工師ギルドの危機							
革細工師ギルドのやり方は、時代遅れだ。あの分からず屋のお頭に、よーく教えてやるんだな。			革細工師ギルドのやり方は、時代遅れだ。あの分からず屋のお頭に、よーく教えてやるんだな。			革細工師ギルドの危機							
ああ、お帰り。ぜんぶ届けてくれたかい。……納期を破るようじゃ、職人失格だって？ははは、痛いところを突かれたね。			ああ、お帰り。ぜんぶ届けてくれたかい。……納期を破るようじゃ、職人失格だって？ははは、痛いところを突かれたね。			革細工師ギルドの危機							
そう、まだ納品を待ってる客がいる……。ウチの……革細工師ギルドの品を待ってる人が。			そう、まだ納品を待ってる客がいる……。ウチの……革細工師ギルドの品を待ってる人が。			革細工師ギルドの危機							
決めた……品評会の品を作るのは、やめだ。今の今まで迷ってたが、アタシが本当に作りたいのは、ウチの革細工を必要としてくれる人のための品だ。			決めた……品評会の品を作るのは、やめだ。今の今まで迷ってたが、アタシが本当に作りたいのは、ウチの革細工を必要としてくれる人のための品だ。			革細工師ギルドの危機							
ウチのギルドが時代遅れだなんて思ってないし、やり方を変える気はない。だから、アタシはアタシなりにけじめをつけるよ。			ウチのギルドが時代遅れだなんて思ってないし、やり方を変える気はない。だから、アタシはアタシなりにけじめをつけるよ。			革細工師ギルドの危機							
品評会は、また来年出せばいいんだ。さて、もうひとふんばりするかな。今回は助かったよ、ご苦労だったね。			品評会は、また来年出せばいいんだ。さて、もうひとふんばりするかな。今回は助かったよ、ご苦労だったね。			革細工師ギルドの危機							
宝杖通りのエルドは、注文に追われ、困っているようだ。			宝杖通りのエルドは、注文に追われ、困っているようだ。			宣伝大作戦							
エルドは、ブーツの注文が増えているが、材料となる皮革の調達ができないらしい。仕入れ妨害の疑惑がある、宝杖通りの「ゲルハルト」と話そう。			エルドは、ブーツの注文が増えているが、材料となる皮革の調達ができないらしい。仕入れ妨害の疑惑がある、宝杖通りの「ゲルハルト」と話そう。			宣伝大作戦							
ゲルハルトと話した。材料の買い占めは、やはり彼の仕業であった。宝杖通りの「エルド」に報告しよう。			ゲルハルトと話した。材料の買い占めは、やはり彼の仕業であった。宝杖通りの「エルド」に報告しよう。			宣伝大作戦							
エルドに報告した。別の皮革を使って、新商品を作ることになった。「ダルメルスカウトレギンス」を製作し、宝杖通りの「エルド」に納品しよう。			エルドに報告した。別の皮革を使って、新商品を作ることになった。「ダルメルスカウトレギンス」を製作し、宝杖通りの「エルド」に納品しよう。			宣伝大作戦							
ダルメルスカウトレギンスをエルドに渡した。この品の宣伝を手伝うために、イシュガルドの忘れられた騎士亭にいる「オブルナル」に「試供品のブーツ」を渡そう。			ダルメルスカウトレギンスをエルドに渡した。この品の宣伝を手伝うために、イシュガルドの忘れられた騎士亭にいる「オブルナル」に「試供品のブーツ」を渡そう。			宣伝大作戦							
オブルナルに試供品のブーツを渡した。喜んだ彼は、観客の前で冒険者も巻き込んだブーツの宣伝をしてくれた。宝杖通りの「エルド」に報告しよう。			オブルナルに試供品のブーツを渡した。喜んだ彼は、観客の前で冒険者も巻き込んだブーツの宣伝をしてくれた。宝杖通りの「エルド」に報告しよう。			宣伝大作戦							
エルドに報告した。派手な宣伝は、イシュガルドの平民の潜在的な欲求を引き出すための、エルドの戦術だった。エルドのしたたかさを見習って、賢く革細工師の腕を磨いていこう。※革細工師のレベルが58以上になると、宝杖通りのエルドから次の革細工師クエストを受注することができます。			エルドに報告した。派手な宣伝は、イシュガルドの平民の潜在的な欲求を引き出すための、エルドの戦術だった。エルドのしたたかさを見習って、賢く革細工師の腕を磨いていこう。※革細工師のレベルが58以上になると、宝杖通りのエルドから次の革細工師クエストを受注することができます。			宣伝大作戦							
ゲルハルトと話す			ゲルハルトと話す			宣伝大作戦							
エルドに報告			エルドに報告			宣伝大作戦							
ダルメルスカウトレギンスを製作エルドにダルメルスカウトレギンスを納品			ダルメルスカウトレギンスを製作エルドにダルメルスカウトレギンスを納品			宣伝大作戦							
忘れられた騎士亭のオブルナルに試供品のブーツを渡す			忘れられた騎士亭のオブルナルに試供品のブーツを渡す			宣伝大作戦							
宝杖通りのエルドに報告			宝杖通りのエルドに報告			宣伝大作戦							
Forenameさん、聞いてください。例のブーツが評判を呼んで、問い合わせが増えているんです。事業を拡大するために、ウチの職人さんも増やしました！			Forenameさん、聞いてください。例のブーツが評判を呼んで、問い合わせが増えているんです。事業を拡大するために、ウチの職人さんも増やしました！			宣伝大作戦							
問題なのは、ブーツを作るために必要な皮革材の確保です。いつもの取引先から仕入れようと思ったのですが、断られてしまったんですよ……。			問題なのは、ブーツを作るために必要な皮革材の確保です。いつもの取引先から仕入れようと思ったのですが、断られてしまったんですよ……。			宣伝大作戦							
……そいつは妙だな。ここに来る前に商人のゲルハルトを見かけたが、ワイバーンレザーの革細工製品の予約を受け付けていたぞ？			……そいつは妙だな。ここに来る前に商人のゲルハルトを見かけたが、ワイバーンレザーの革細工製品の予約を受け付けていたぞ？			宣伝大作戦							
Forenameさん、ゲルハルトさんのところへ行き、様子を見てきてもらえませんか？私が行っても、相手にしてくれないと思いますから……。			Forenameさん、ゲルハルトさんのところへ行き、様子を見てきてもらえませんか？私が行っても、相手にしてくれないと思いますから……。			宣伝大作戦							
Forenameさん、ゲルハルトさんのところへ行き、様子を見てきてもらえませんか？私が行っても、相手にしてくれないと思いますから……。			Forenameさん、ゲルハルトさんのところへ行き、様子を見てきてもらえませんか？私が行っても、相手にしてくれないと思いますから……。			宣伝大作戦							
……あんたが客じゃないことくらい、お見通しだぞ。あの小娘と組んでいる「異邦の名工」とやらだろう？今日は、何用で来たのだ？			……あんたが客じゃないことくらい、お見通しだぞ。あの小娘と組んでいる「異邦の名工」とやらだろう？今日は、何用で来たのだ？			宣伝大作戦							
なるほど、ワイバーンレザーが手に入らぬと……。当然のことだ、ワシが買い占めたのだからな。			なるほど、ワイバーンレザーが手に入らぬと……。当然のことだ、ワシが買い占めたのだからな。			宣伝大作戦							
フン……たまたま「必要」だったから、買い占めただけだ。材料を確保するのも、商売では競争なのだ、覚えておけ。			フン……たまたま「必要」だったから、買い占めただけだ。材料を確保するのも、商売では競争なのだ、覚えておけ。			宣伝大作戦							
ああ、ほかの取引先を探しても無駄だぞ。この辺りの仲買人には、すべて声をかけておいた。エルドの商会には売るなとな……フン！			ああ、ほかの取引先を探しても無駄だぞ。この辺りの仲買人には、すべて声をかけておいた。エルドの商会には売るなとな……フン！			宣伝大作戦							
……そう、やはり、ゲルハルトさんの仕業だったんですね。でも、こんなことではめげませんよ！危機こそ商機ですから！			……そう、やはり、ゲルハルトさんの仕業だったんですね。でも、こんなことではめげませんよ！危機こそ商機ですから！			宣伝大作戦							
皮革材が手に入らないなら、視点を変えるしかないですね。実は、以前から、凝ったデザインを採り入れた商品も、開発してみたいと思っていたんです。			皮革材が手に入らないなら、視点を変えるしかないですね。実は、以前から、凝ったデザインを採り入れた商品も、開発してみたいと思っていたんです。			宣伝大作戦							
それには、戦闘用のレギンスが参考になると思っていました。あのデザインは、イシュガルドの平民には新鮮に映ります。材料も見直して、大胆な装飾のブーツを売り出しましょう！			それには、戦闘用のレギンスが参考になると思っていました。あのデザインは、イシュガルドの平民には新鮮に映ります。材料も見直して、大胆な装飾のブーツを売り出しましょう！			宣伝大作戦							
素材の皮革に「ダルメルレザー」を使った、「ダルメルスカウトレギンス」なんてどうでしょうか？性能に加え、「着飾る」ことをアピールしてみるんです。			素材の皮革に「ダルメルレザー」を使った、「ダルメルスカウトレギンス」なんてどうでしょうか？性能に加え、「着飾る」ことをアピールしてみるんです。			宣伝大作戦							
ウチの職人さんは、ダルメルレザーを扱ったことがないけど、前回のように、手本があれば作れるはず！Forenameさん、今回もよろしく頼みますよ！			ウチの職人さんは、ダルメルレザーを扱ったことがないけど、前回のように、手本があれば作れるはず！Forenameさん、今回もよろしく頼みますよ！			宣伝大作戦							
素材の皮革に「ダルメルレザー」を使った、「ダルメルスカウトレギンス」なんてどうでしょうか？性能に加え、「着飾る」ことをアピールしてみるんです。			素材の皮革に「ダルメルレザー」を使った、「ダルメルスカウトレギンス」なんてどうでしょうか？性能に加え、「着飾る」ことをアピールしてみるんです。			宣伝大作戦							
想像以上の出来だわ……きっと、お客様も驚きます！これこそ、わが商会の新たな主力商品となりますよ！			想像以上の出来だわ……きっと、お客様も驚きます！これこそ、わが商会の新たな主力商品となりますよ！			宣伝大作戦							
こうなれば、善は急げです！……ちょっと待っててくださいね！			こうなれば、善は急げです！……ちょっと待っててくださいね！			宣伝大作戦							
Forenameさんの品を手本に、ウチの職人さんに、大急ぎで試供品を作ってもらいました！			Forenameさんの品を手本に、ウチの職人さんに、大急ぎで試供品を作ってもらいました！			宣伝大作戦							
さあ、これからが勝負です！いい商品も、宣伝しなければ、お客様に届きませんからね。そこで、例の吟遊詩人さんにお願いしてみようと思うんです！			さあ、これからが勝負です！いい商品も、宣伝しなければ、お客様に届きませんからね。そこで、例の吟遊詩人さんにお願いしてみようと思うんです！			宣伝大作戦							
Forenameさんが作った品ですもの、きっと、興味を引いてくれるはず！			Forenameさんが作った品ですもの、きっと、興味を引いてくれるはず！			宣伝大作戦							
「忘れられた騎士亭」にいる「オブルナル」さんに、この「試供品のブーツ」を渡して、宣伝を依頼してもらえませんか！			「忘れられた騎士亭」にいる「オブルナル」さんに、この「試供品のブーツ」を渡して、宣伝を依頼してもらえませんか！			宣伝大作戦							
「忘れられた騎士亭」にいる「オブルナル」さんに、この「試供品のブーツ」を渡して、宣伝を依頼してもらえませんか！			「忘れられた騎士亭」にいる「オブルナル」さんに、この「試供品のブーツ」を渡して、宣伝を依頼してもらえませんか！			宣伝大作戦							
……おや、君は「異邦の名工」さんじゃないか。なに、試供品のブーツを持ってきただって？			……おや、君は「異邦の名工」さんじゃないか。なに、試供品のブーツを持ってきただって？			宣伝大作戦							
なんて格好いいブーツだ……実に素晴らしい出来だよ！これを僕にくれるのかい？　エルドさんも気前がいいな。喜んで、宣伝に協力させてもらうよ。			なんて格好いいブーツだ……実に素晴らしい出来だよ！これを僕にくれるのかい？　エルドさんも気前がいいな。喜んで、宣伝に協力させてもらうよ。			宣伝大作戦							
さあさあ、お集まりの紳士、淑女の皆さん。こちらのお方こそ、森深きグリダニアよりやって来た、異邦の名工……Forenameだ！			さあさあ、お集まりの紳士、淑女の皆さん。こちらのお方こそ、森深きグリダニアよりやって来た、異邦の名工……Forenameだ！			宣伝大作戦							
巷で話題のエルドの店で、活躍中の革細工師……！そんな彼女彼が、驚くべき新作を作ったよ！			巷で話題のエルドの店で、活躍中の革細工師……！そんな彼女彼が、驚くべき新作を作ったよ！			宣伝大作戦							
オ、オブルナルが宣伝を買って出るなんて……！まさか、こんな手を使われるとは……くそ！！			オ、オブルナルが宣伝を買って出るなんて……！まさか、こんな手を使われるとは……くそ！！			宣伝大作戦							
私が履いている、この素敵なブーツが欲しいなら、今すぐ、宝杖通りのエルドの店で予約だ！			私が履いている、この素敵なブーツが欲しいなら、今すぐ、宝杖通りのエルドの店で予約だ！			宣伝大作戦							
ふふふ、皆さん、興味を持ったようだね。お役に立てたかな？			ふふふ、皆さん、興味を持ったようだね。お役に立てたかな？			宣伝大作戦							
Forenameさん！さっきまで、予約に来るお客様が殺到して大変だったんです！オブルナルさんは、いったいどんな宣伝をしていたんですか？			Forenameさん！さっきまで、予約に来るお客様が殺到して大変だったんです！オブルナルさんは、いったいどんな宣伝をしていたんですか？			宣伝大作戦							
あら、そこまで派手にやっちゃったんですか……！ごめんなさい、商品の宣伝だけのつもりだったのに、Forenameさんも有名人になっちゃいますね。			あら、そこまで派手にやっちゃったんですか……！ごめんなさい、商品の宣伝だけのつもりだったのに、Forenameさんも有名人になっちゃいますね。			宣伝大作戦							
いいことじゃないか。腕のいい職人てのは、自然に注目されるもんだ。			いいことじゃないか。腕のいい職人てのは、自然に注目されるもんだ。			宣伝大作戦							
そうですよね！　才能ある人は、報われてしかるべきなんです！腕の良い職人さんの品が、お客様に届かないなんて……！この私が、絶対に許さないんですから！！			そうですよね！　才能ある人は、報われてしかるべきなんです！腕の良い職人さんの品が、お客様に届かないなんて……！この私が、絶対に許さないんですから！！			宣伝大作戦							
……どうしたんだ、そんなにアツくなって。			……どうしたんだ、そんなにアツくなって。			宣伝大作戦							
い……いえ、別になんでもないです。			い……いえ、別になんでもないです。			宣伝大作戦							
それにしても、「着飾る」ための靴がよく平民に売れたな。そういうのは、貴族か一部の富者の特権だったのに。			それにしても、「着飾る」ための靴がよく平民に売れたな。そういうのは、貴族か一部の富者の特権だったのに。			宣伝大作戦							
……これは賭けだったんです。でも、私は階級に関わらず、誰もが「着飾りたい」って心を、胸に抱いていると思った……。			……これは賭けだったんです。でも、私は階級に関わらず、誰もが「着飾りたい」って心を、胸に抱いていると思った……。			宣伝大作戦							
だから、宣伝することで、その心を解放したかったんです。……やはり、私の見込みは間違ってませんでしたね！			だから、宣伝することで、その心を解放したかったんです。……やはり、私の見込みは間違ってませんでしたね！			宣伝大作戦							
でも、その商機も、良い商品がなければ生まれません。Forenameさんの良い品のおかげですね。また、よろしくお願いします！			でも、その商機も、良い商品がなければ生まれません。Forenameさんの良い品のおかげですね。また、よろしくお願いします！			宣伝大作戦							
革細工師ギルド付近のアテルーネは、剥製の評判を聞かせたいようだ。			革細工師ギルド付近のアテルーネは、剥製の評判を聞かせたいようだ。			剥製が抱える難事							
アテルーネと話した。剥製の展示はうまくいっているように思えたが、グリダニアの道士であるマーマデュークから非難され、剥製の撤去を求められてしまった。今後どうするのか聞くため、革細工師ギルド付近の「アテルーネ」と話そう。			アテルーネと話した。剥製の展示はうまくいっているように思えたが、グリダニアの道士であるマーマデュークから非難され、剥製の撤去を求められてしまった。今後どうするのか聞くため、革細工師ギルド付近の「アテルーネ」と話そう。			剥製が抱える難事							
アテルーネと話した。アテルーネは、撤去する気はないようだが、どうしたら剥製を飾り続けられるか悩んでいる。革細工師ギルドの「ゲヴァ」に相談してみよう。			アテルーネと話した。アテルーネは、撤去する気はないようだが、どうしたら剥製を飾り続けられるか悩んでいる。革細工師ギルドの「ゲヴァ」に相談してみよう。			剥製が抱える難事							
ゲヴァと相談した。ゲヴァによれば、剥製の意義が理解されていないから、非難されるのではないかという。問題解決の手助けをしてもらえることになり、その一環として革細工の製作を頼まれた。革細工師ギルドの受付にいる「ランダル」から「ジャケットの材料」を貰いにいこう。			ゲヴァと相談した。ゲヴァによれば、剥製の意義が理解されていないから、非難されるのではないかという。問題解決の手助けをしてもらえることになり、その一環として革細工の製作を頼まれた。革細工師ギルドの受付にいる「ランダル」から「ジャケットの材料」を貰いにいこう。			剥製が抱える難事							
ランダルからジャケットの材料を貰った。ゲヴァから依頼されたとおり、「ジャケットの材料」をもとに「高級ダルメルジャケット」を製作し、革細工師ギルドの「ゲヴァ」に納品しよう。※「ジャケットの材料」を失った場合は、ランダルに話しかけましょう。材料を入手し、再挑戦が可能になります。			ランダルからジャケットの材料を貰った。ゲヴァから依頼されたとおり、「ジャケットの材料」をもとに「高級ダルメルジャケット」を製作し、革細工師ギルドの「ゲヴァ」に納品しよう。※「ジャケットの材料」を失った場合は、ランダルに話しかけましょう。材料を入手し、再挑戦が可能になります。			剥製が抱える難事							
ゲヴァに高級ダルメルジャケットを納品した。ギルドの新作展示会で、高級ダルメルジャケットとともに、剥製を展示して、来客に訴えたらどうかと提案された。革細工師ギルド付近の「アテルーネ」と話そう。			ゲヴァに高級ダルメルジャケットを納品した。ギルドの新作展示会で、高級ダルメルジャケットとともに、剥製を展示して、来客に訴えたらどうかと提案された。革細工師ギルド付近の「アテルーネ」と話そう。			剥製が抱える難事							
アテルーネと話した。マーマデュークの手により、「ヘネガダルメル」の剥製は無理やり撤去されてしまっていた。このままでは、展示会に出品する剥製がない。アテルーネがいい案を思いつくよう、革細工の腕を磨いて待とう。※革細工師のレベルが70以上になると、革細工師ギルド付近のアテルーネから次の革細工師クエストを受注することができます。			アテルーネと話した。マーマデュークの手により、「ヘネガダルメル」の剥製は無理やり撤去されてしまっていた。このままでは、展示会に出品する剥製がない。アテルーネがいい案を思いつくよう、革細工の腕を磨いて待とう。※革細工師のレベルが70以上になると、革細工師ギルド付近のアテルーネから次の革細工師クエストを受注することができます。			剥製が抱える難事							
アテルーネと話す			アテルーネと話す			剥製が抱える難事							
ゲヴァと話す			ゲヴァと話す			剥製が抱える難事							
ランダルからジャケットの材料を貰う			ランダルからジャケットの材料を貰う			剥製が抱える難事							
製作手帳 クラスクエスト：高級ダルメルジャケットを製作高級ダルメルジャケットをゲヴァに納品			製作手帳 クラスクエスト：高級ダルメルジャケットを製作高級ダルメルジャケットをゲヴァに納品			剥製が抱える難事							
アテルーネと話す			アテルーネと話す			剥製が抱える難事							
来たわね、Forename。ベアーちゃんの件は残念だったけど、ヘネガダルメルの剥製は、ますます注目を浴びているわ。			来たわね、Forename。ベアーちゃんの件は残念だったけど、ヘネガダルメルの剥製は、ますます注目を浴びているわ。			剥製が抱える難事							
エニオンの手袋に関心を持つ人もいて、そこから、私が研究する博物学に興味を持ってくれる人もでてきたの。私の偉業が、キミたちが造った剥製が認められようとしているのよ！			エニオンの手袋に関心を持つ人もいて、そこから、私が研究する博物学に興味を持ってくれる人もでてきたの。私の偉業が、キミたちが造った剥製が認められようとしているのよ！			剥製が抱える難事							
こんなに多くの人に剥製を見てもらえるなんて……僕、嬉しくてたまりません！これからもがんばって、良い剥製を造っていきます！			こんなに多くの人に剥製を見てもらえるなんて……僕、嬉しくてたまりません！これからもがんばって、良い剥製を造っていきます！			剥製が抱える難事							
……けしからーん！！この、マーマデュークの目を盗み、こんなことを！！			……けしからーん！！この、マーマデュークの目を盗み、こんなことを！！			剥製が抱える難事							
最近、民が空き地に集まっておるから何かと思えば……こんなものを囲んでいるとは！命を冒涜していると思わないのか！			最近、民が空き地に集まっておるから何かと思えば……こんなものを囲んでいるとは！命を冒涜していると思わないのか！			剥製が抱える難事							
あっ、あれ、道士様ですよね！グリダニアでは、とっても偉い人だって聞きましたけど……。なんだか、すっごく怒ってます……！			あっ、あれ、道士様ですよね！グリダニアでは、とっても偉い人だって聞きましたけど……。なんだか、すっごく怒ってます……！			剥製が抱える難事							
ちょっと、あなた、話を聞いてもらえる？これは、絶滅危惧種を剥製にして後世に残すという……。			ちょっと、あなた、話を聞いてもらえる？これは、絶滅危惧種を剥製にして後世に残すという……。			剥製が抱える難事							
あああ、森の精霊の声が聞こえる！動物たちが剥製にされ見世物に貶められているのを、嘆き、悲しんでおられる！			あああ、森の精霊の声が聞こえる！動物たちが剥製にされ見世物に貶められているのを、嘆き、悲しんでおられる！			剥製が抱える難事							
精霊が立腹するなんて、よっぽどのことですね……。うっ……生き物を飾るとは、なんて残酷なんだ！			精霊が立腹するなんて、よっぽどのことですね……。うっ……生き物を飾るとは、なんて残酷なんだ！			剥製が抱える難事							
そこの者ども！！貴様らが、この見世物を生み出したのか！即刻、撤去するように！			そこの者ども！！貴様らが、この見世物を生み出したのか！即刻、撤去するように！			剥製が抱える難事							
ううっ、Surnameさぁん……！剥製のこと、すっごく否定されちゃいましたよ……！ぼ、僕たちは、これからどうしたら……。			ううっ、Surnameさぁん……！剥製のこと、すっごく否定されちゃいましたよ……！ぼ、僕たちは、これからどうしたら……。			剥製が抱える難事							
Surnameさん！僕、これからも精一杯がんばりますので、よろしくお願いします！			Surnameさん！僕、これからも精一杯がんばりますので、よろしくお願いします！			剥製が抱える難事							
……ぷはっ、ああ、よく我慢したわ、私！罵詈雑言を抑えるのに必死だったのよ！			……ぷはっ、ああ、よく我慢したわ、私！罵詈雑言を抑えるのに必死だったのよ！			剥製が抱える難事							
しっかし、道士と言うわりにはあまりにも未熟じゃない？見たところ私より年上なのに、考えがとてつもなく浅いわ。剥製を見世物としか思えないなんて、人生経験が少なすぎるのよ。			しっかし、道士と言うわりにはあまりにも未熟じゃない？見たところ私より年上なのに、考えがとてつもなく浅いわ。剥製を見世物としか思えないなんて、人生経験が少なすぎるのよ。			剥製が抱える難事							
そもそも、見た目からして虫唾が走るわ。精霊の声という権威を笠に、言いたい放題するだけで、祭り上げられて調子に乗っているのがミエミエよね。			そもそも、見た目からして虫唾が走るわ。精霊の声という権威を笠に、言いたい放題するだけで、祭り上げられて調子に乗っているのがミエミエよね。			剥製が抱える難事							
……あら、ごめんあそばせ。抑えていたぶん、溢れ出てしまったみたい。			……あら、ごめんあそばせ。抑えていたぶん、溢れ出てしまったみたい。			剥製が抱える難事							
ともかく、あんなのでも、グリダニアでは、精霊の言葉を代弁する道士の命令は絶対……。キミなら簡単に始末できそうだけれど、それは知的でないわね。			ともかく、あんなのでも、グリダニアでは、精霊の言葉を代弁する道士の命令は絶対……。キミなら簡単に始末できそうだけれど、それは知的でないわね。			剥製が抱える難事							
やり返すなら、博物学者らしく知的にいかなくては……。そうね、「ゲヴァ」に事情を伝えて、知恵を貸してもらいましょう。革細工師ギルドも、いろいろな経験を積んでいるからね……。			やり返すなら、博物学者らしく知的にいかなくては……。そうね、「ゲヴァ」に事情を伝えて、知恵を貸してもらいましょう。革細工師ギルドも、いろいろな経験を積んでいるからね……。			剥製が抱える難事							
Surnameさぁん……どうしましょう……！			Surnameさぁん……どうしましょう……！			剥製が抱える難事							
あら、Forename。さっき、なにか騒ぎでもあったの？空き地から、大きな声が聞こえてきたけど。			あら、Forename。さっき、なにか騒ぎでもあったの？空き地から、大きな声が聞こえてきたけど。			剥製が抱える難事							
道士がそんなことを……なんだか昔を思い出すわね。グリダニアでは、ひと昔前まで、皮革材の装飾品も贅沢だと批判されていたのよ。			道士がそんなことを……なんだか昔を思い出すわね。グリダニアでは、ひと昔前まで、皮革材の装飾品も贅沢だと批判されていたのよ。			剥製が抱える難事							
けれど、革細工師たちの地道な働きかけで、革細工が実用品で、命を頂くに値するものだと認めさせたの。			けれど、革細工師たちの地道な働きかけで、革細工が実用品で、命を頂くに値するものだと認めさせたの。			剥製が抱える難事							
おそらく、今回の問題も同じこと……。剥製の展示が、意味のあることだと認めてもらえないかぎり、道士の心は変えられないだろうね。			おそらく、今回の問題も同じこと……。剥製の展示が、意味のあることだと認めてもらえないかぎり、道士の心は変えられないだろうね。			剥製が抱える難事							
……よし。Forenameの関わる事業がピンチなんだ。私も、一肌脱いであげようじゃないか。			……よし。Forenameの関わる事業がピンチなんだ。私も、一肌脱いであげようじゃないか。			剥製が抱える難事							
