斧術士ギルドマスターのヴィルンズーンが、冒険者に伝えたいことがあるようだ。			斧術士ギルドマスターのヴィルンズーンが、冒険者に伝えたいことがあるようだ。			宿縁を断ち切る日							
斧術士ギルドマスターのヴィルンズーンは、冒険者に斧術の基礎を学ぶための試練を課そうとしている。			斧術士ギルドマスターのヴィルンズーンは、冒険者に斧術の基礎を学ぶための試練を課そうとしている。			豪傑の試練と務め							
修行の詳細は、ブルーンバルから聞くよう、ヴィルンズーンに指示を受けた。斧術士ギルドの稽古場にいる「ブルーンバル」と話そう。			修行の詳細は、ブルーンバルから聞くよう、ヴィルンズーンに指示を受けた。斧術士ギルドの稽古場にいる「ブルーンバル」と話そう。			豪傑の試練と務め							
ブルーンバルから課せられたのは、岩を割る「岩砕き」という修行だった。中央ラノシアの「ローグ川」付近で、修業を監督している「ロットゲイム」と話そう。			ブルーンバルから課せられたのは、岩を割る「岩砕き」という修行だった。中央ラノシアの「ローグ川」付近で、修業を監督している「ロットゲイム」と話そう。			豪傑の試練と務め							
ロットゲイムは、用意した岩を壊せと言った。「ローグ川」のほとりにある「硬そうな岩」を「へヴィスウィング」で破壊しよう。			ロットゲイムは、用意した岩を壊せと言った。「ローグ川」のほとりにある「硬そうな岩」を「へヴィスウィング」で破壊しよう。			豪傑の試練と務め							
硬そうな岩を3個壊した。「ロットゲイム」に報告しよう。			硬そうな岩を3個壊した。「ロットゲイム」に報告しよう。			豪傑の試練と務め							
ロットゲイムは、さらに岩を壊せという。「ローグ川」のほとりにある「硬そうな岩」を「へヴィスウィング」で破壊しよう。			ロットゲイムは、さらに岩を壊せという。「ローグ川」のほとりにある「硬そうな岩」を「へヴィスウィング」で破壊しよう。			豪傑の試練と務め							
硬そうな岩を3個壊した。「ロットゲイム」に報告しよう。			硬そうな岩を3個壊した。「ロットゲイム」に報告しよう。			豪傑の試練と務め							
ロットゲイムは、冒険者の修行ぶりに満足したようだ。「斧術士ギルド」の「ヴィルンズーン」に報告しよう。			ロットゲイムは、冒険者の修行ぶりに満足したようだ。「斧術士ギルド」の「ヴィルンズーン」に報告しよう。			豪傑の試練と務め							
ヴィルンズーンは、レッドルースター農場近くに出たメガロクラブ退治をしてほしいようだ。「斧術士ギルド」にいる協力者「ソルクウィブ」に会いに行こう。			ヴィルンズーンは、レッドルースター農場近くに出たメガロクラブ退治をしてほしいようだ。「斧術士ギルド」にいる協力者「ソルクウィブ」に会いに行こう。			豪傑の試練と務め							
ソルクウィブと挨拶を交わした。低地ラノシアの「モーニングウィドー」にある「メガロクラブの巣」を調べに行こう。			ソルクウィブと挨拶を交わした。低地ラノシアの「モーニングウィドー」にある「メガロクラブの巣」を調べに行こう。			豪傑の試練と務め							
メガロクラブの巣を調べていると、ネッダードから、メガロクラブに襲われている孫を助けてほしいと頼まれた。「モーニングウィドー」にいる「シガード」を助けに行こう。			メガロクラブの巣を調べていると、ネッダードから、メガロクラブに襲われている孫を助けてほしいと頼まれた。「モーニングウィドー」にいる「シガード」を助けに行こう。			豪傑の試練と務め							
襲われているシガードの助けに入り、メガロクラブを倒した。助けたシガードから、両親が魔物に殺されたという彼の身の上を聞かされ、両親の仇の魔物を倒してほしいと懇願された。「斧術士ギルド」にいる「ヴィルンズーン」へ報告に行こう。			襲われているシガードの助けに入り、メガロクラブを倒した。助けたシガードから、両親が魔物に殺されたという彼の身の上を聞かされ、両親の仇の魔物を倒してほしいと懇願された。「斧術士ギルド」にいる「ヴィルンズーン」へ報告に行こう。			豪傑の試練と務め							
ヴィルンズーンに、ことのあらましを報告した。ヴィルンズーンは、少年の両親を殺した魔物についても知っており、彼の身の上に心を痛めているようだった。しかし、今の冒険者に勝てる相手ではないので、戦うならば、今以上に強くなれと冒険者に語った。※斧術士のレベルが10以上になると、ヴィルンズーンから次の斧術士クエストを受注することができます。			ヴィルンズーンに、ことのあらましを報告した。ヴィルンズーンは、少年の両親を殺した魔物についても知っており、彼の身の上に心を痛めているようだった。しかし、今の冒険者に勝てる相手ではないので、戦うならば、今以上に強くなれと冒険者に語った。※斧術士のレベルが10以上になると、ヴィルンズーンから次の斧術士クエストを受注することができます。			豪傑の試練と務め							
ブルーンバルと話す			ブルーンバルと話す			豪傑の試練と務め							
ロットゲイムと話す			ロットゲイムと話す			豪傑の試練と務め							
中央ラノシアの硬そうな岩をへヴィスウィングで破壊			中央ラノシアの硬そうな岩をへヴィスウィングで破壊			豪傑の試練と務め							
ロットゲイムと話す			ロットゲイムと話す			豪傑の試練と務め							
中央ラノシアの硬そうな岩をへヴィスウィングで破壊			中央ラノシアの硬そうな岩をへヴィスウィングで破壊			豪傑の試練と務め							
ロットゲイムと話す			ロットゲイムと話す			豪傑の試練と務め							
斧術士ギルドのヴィルンズーンに報告			斧術士ギルドのヴィルンズーンに報告			豪傑の試練と務め							
ソルクウィブと話す			ソルクウィブと話す			豪傑の試練と務め							
メガロクラブの巣を調べる			メガロクラブの巣を調べる			豪傑の試練と務め							
シガードを助けに行く			シガードを助けに行く			豪傑の試練と務め							
斧術士ギルドのヴィルンズーンと話す			斧術士ギルドのヴィルンズーンと話す			豪傑の試練と務め							
ふむ、どうやら順調に斧術の腕を磨いているようだな。そろそろ、本格的な修業を始めてもいい頃合いだ。			ふむ、どうやら順調に斧術の腕を磨いているようだな。そろそろ、本格的な修業を始めてもいい頃合いだ。			豪傑の試練と務め							
では、斧の特徴とは何か？それは刃の厚さ、重さを利用した破壊力に他ならない。そして圧倒的な筋力が、圧倒的な破壊力を支える！			では、斧の特徴とは何か？それは刃の厚さ、重さを利用した破壊力に他ならない。そして圧倒的な筋力が、圧倒的な破壊力を支える！			豪傑の試練と務め							
……そこで、だ。斧術士たちに伝わる、伝統的な修行法をお前に授ける。それを果たして見せるのだ、Forename。			……そこで、だ。斧術士たちに伝わる、伝統的な修行法をお前に授ける。それを果たして見せるのだ、Forename。			豪傑の試練と務め							
修行の内容は、階下の稽古場にいる「ブルーンバル」から聞くがいい。			修行の内容は、階下の稽古場にいる「ブルーンバル」から聞くがいい。			豪傑の試練と務め							
ギルドマスターから話は聞いてるぜ。オレがブルーンバルだ、よろしくな。			ギルドマスターから話は聞いてるぜ。オレがブルーンバルだ、よろしくな。			豪傑の試練と務め							
これからお前には、斧を使って岩を破壊する「岩砕き」という修行を行ってもらう。			これからお前には、斧を使って岩を破壊する「岩砕き」という修行を行ってもらう。			豪傑の試練と務め							
ゼファー陸門を出た先、ローグ川にかかる橋の傍に「ロットゲイム」というギルド員が待っている。その者に、修行の詳細を聞くといい。			ゼファー陸門を出た先、ローグ川にかかる橋の傍に「ロットゲイム」というギルド員が待っている。その者に、修行の詳細を聞くといい。			豪傑の試練と務め							
岩砕きの修行を命じられたそうであるな。そこに、「硬そうな岩」を3個ほど用意したのである。そいつを、「へヴィスウィング」で破壊してみるがよい。			岩砕きの修行を命じられたそうであるな。そこに、「硬そうな岩」を3個ほど用意したのである。そいつを、「へヴィスウィング」で破壊してみるがよい。			豪傑の試練と務め							
「硬そうな岩」を「へヴィスウィング」で破壊しよう。			「硬そうな岩」を「へヴィスウィング」で破壊しよう。			豪傑の試練と務め							
なかなか、やるではないか。さらに、「へヴィスウィング」で砕いてくるがよい。終わったら、自分への報告を忘れるでないぞ？			なかなか、やるではないか。さらに、「へヴィスウィング」で砕いてくるがよい。終わったら、自分への報告を忘れるでないぞ？			豪傑の試練と務め							
うむ、見事な修業ぶりであった。岩を割る音が、今でもこの耳に響いておる。「ヴィルンズーン」師へ報告するがよい。			うむ、見事な修業ぶりであった。岩を割る音が、今でもこの耳に響いておる。「ヴィルンズーン」師へ報告するがよい。			豪傑の試練と務め							
基礎修行はしっかり終わったようだな。次はレッドルースター農場からの緊急依頼だ。無差別に人々を襲う、「メガロクラブ」を駆逐せよ！			基礎修行はしっかり終わったようだな。次はレッドルースター農場からの緊急依頼だ。無差別に人々を襲う、「メガロクラブ」を駆逐せよ！			豪傑の試練と務め							
初仕事ゆえ、今回は手助けしてくれる同行者をつけよう。名は「ソルクウィブ」……熟練の幻術士だ。すでに階下で待っているから、声をかけてこい。			初仕事ゆえ、今回は手助けしてくれる同行者をつけよう。名は「ソルクウィブ」……熟練の幻術士だ。すでに階下で待っているから、声をかけてこい。			豪傑の試練と務め							
話は聞いてるよ、アタイがソルクウィブだ。ウチのアニキ……ヴィルンズーンのところの連中は、みんなアタイが面倒見てきたのさ。			話は聞いてるよ、アタイがソルクウィブだ。ウチのアニキ……ヴィルンズーンのところの連中は、みんなアタイが面倒見てきたのさ。			豪傑の試練と務め							
依頼は低地ラノシアのモーニングウィドー近くにある「メガロクラブの巣」を調べて、魔物を駆除しろってさ。んじゃ、アタイは先に現地に向かってるよォ！			依頼は低地ラノシアのモーニングウィドー近くにある「メガロクラブの巣」を調べて、魔物を駆除しろってさ。んじゃ、アタイは先に現地に向かってるよォ！			豪傑の試練と務め							
見てみなよ、巣はもぬけの殻だ。どうやらメガロクラブは留守のようだねェ。どこへ出かけているのやら……？			見てみなよ、巣はもぬけの殻だ。どうやらメガロクラブは留守のようだねェ。どこへ出かけているのやら……？			豪傑の試練と務め							
お、お助けぇ～っ！！			お、お助けぇ～っ！！			豪傑の試練と務め							
あ、あっちで孫が、メガロクラブに襲われておりますのじゃ！あれほど巣に近づいてはならんと、言うたのに……！			あ、あっちで孫が、メガロクラブに襲われておりますのじゃ！あれほど巣に近づいてはならんと、言うたのに……！			豪傑の試練と務め							
ほら、Forename！ぼやぼやしてる暇はないよ、爺さんの孫を助けに行くんだ、急ぐよォ！！			ほら、Forename！ぼやぼやしてる暇はないよ、爺さんの孫を助けに行くんだ、急ぐよォ！！			豪傑の試練と務め							
ちくしょう、ちくしょうっ！バケモノめ、バケモノめぇっ！！こっちにくんなぁっ！			ちくしょう、ちくしょうっ！バケモノめ、バケモノめぇっ！！こっちにくんなぁっ！			豪傑の試練と務め							
え……え、あ、ありが……とう！			え……え、あ、ありが……とう！			豪傑の試練と務め							
クエスト「豪傑の試練と務め」のバトルを開始しますか？			クエスト「豪傑の試練と務め」のバトルを開始しますか？			豪傑の試練と務め							
はい			はい			豪傑の試練と務め							
いいえ			いいえ			豪傑の試練と務め							
あ、ありがとう姉ちゃん兄ちゃん、助けてくれて。オレ、シガードっていうんだ。			あ、ありがとう姉ちゃん兄ちゃん、助けてくれて。オレ、シガードっていうんだ。			豪傑の試練と務め							
最近魔物が増えて、オレの父ちゃんと母ちゃんも前に山のようにでっかい魔物に殺されてさ……。			最近魔物が増えて、オレの父ちゃんと母ちゃんも前に山のようにでっかい魔物に殺されてさ……。			豪傑の試練と務め							
お願いだよ、姉ちゃん兄ちゃん。いつか父ちゃんと母ちゃんの仇も討っておくれよ！			お願いだよ、姉ちゃん兄ちゃん。いつか父ちゃんと母ちゃんの仇も討っておくれよ！			豪傑の試練と務め							
坊や、アンタの気持ちはよーく分かるよォ。このForenameたち斧術士ギルドの奴らは、アンタみたいな力のない人々の味方なんだ。			坊や、アンタの気持ちはよーく分かるよォ。このForenameたち斧術士ギルドの奴らは、アンタみたいな力のない人々の味方なんだ。			豪傑の試練と務め							
だから安心して、朗報を待ってな。その代わり、爺ちゃんを心配させちゃダメさ。さ、反省したならもうお帰り。			だから安心して、朗報を待ってな。その代わり、爺ちゃんを心配させちゃダメさ。さ、反省したならもうお帰り。			豪傑の試練と務め							
帰ったか……それじゃあForename、斧術士ギルドに戻って、ウチのアニキ……「ヴィルンズーン」に報告しておきな。			帰ったか……それじゃあForename、斧術士ギルドに戻って、ウチのアニキ……「ヴィルンズーン」に報告しておきな。			豪傑の試練と務め							
なんとか無事にメガロクラブを倒したようだな。大切なことは、少年の命を救えたことだ。			なんとか無事にメガロクラブを倒したようだな。大切なことは、少年の命を救えたことだ。			豪傑の試練と務め							
あのメガロクラブだが……どうやら最近、元の生息地を追い出され農場の近くに住み着いていたらしい。			あのメガロクラブだが……どうやら最近、元の生息地を追い出され農場の近くに住み着いていたらしい。			豪傑の試練と務め							
追い出した魔物というのが、ラノシアでも悪名高い大物でな。縄張りを広げたのか、最近、各地で暴れまわっているという。			追い出した魔物というのが、ラノシアでも悪名高い大物でな。縄張りを広げたのか、最近、各地で暴れまわっているという。			豪傑の試練と務め							
中には少年の両親のように、殺された者もいるそうだ。まったく、気の毒な話だ……。			中には少年の両親のように、殺された者もいるそうだ。まったく、気の毒な話だ……。			豪傑の試練と務め							
仇を討ってやりたいと思うかもしれぬが、逸るなよ。今戦ったところで、到底叶う相手ではない。少年の願い、叶えたくば強くなるのだ、Forename。			仇を討ってやりたいと思うかもしれぬが、逸るなよ。今戦ったところで、到底叶う相手ではない。少年の願い、叶えたくば強くなるのだ、Forename。			豪傑の試練と務め							
メガロクラブの群れを倒せ			メガロクラブの群れを倒せ			豪傑の試練と務め							
回復魔法でサポートするよォ！			回復魔法でサポートするよォ！			豪傑の試練と務め							
Forename、アタイの側から離れないようにしな！			Forename、アタイの側から離れないようにしな！			豪傑の試練と務め							
お前たち、加勢するぞ！心配で、追いかけてきたのは正解だったな！			お前たち、加勢するぞ！心配で、追いかけてきたのは正解だったな！			豪傑の試練と務め							
ヘッ、そこそこしぶとい奴もいるようだな！			ヘッ、そこそこしぶとい奴もいるようだな！			豪傑の試練と務め							
斧術士ギルドへの入門を認められた冒険者。受け取ったウェザードウォーアクスを装備して、斧術士ギルドにいる「ヴィルンズーン」に声をかけよう。			斧術士ギルドへの入門を認められた冒険者。受け取ったウェザードウォーアクスを装備して、斧術士ギルドにいる「ヴィルンズーン」に声をかけよう。			豪胆なる斧							
ヴィルンズーンから斧術士ギルドへの入門を認められた。斧の扱いに慣れるため、「ラット」「シープ」「レディバグ」を3体ずつ討伐しよう。			ヴィルンズーンから斧術士ギルドへの入門を認められた。斧の扱いに慣れるため、「ラット」「シープ」「レディバグ」を3体ずつ討伐しよう。			豪胆なる斧							
指定された魔物の討伐を終えた。斧術士ギルドにいる「ヴィルンズーン」に報告しよう。			指定された魔物の討伐を終えた。斧術士ギルドにいる「ヴィルンズーン」に報告しよう。			豪胆なる斧							
ヴィルンズーンは戻ってきた冒険者に、斧術の修行も日々の努力が肝要であり、じっくり鍛えていけと言葉をかけた。※斧術士のレベルが5以上になると、ヴィルンズーンから次の斧術士クエストを受注することができます。			ヴィルンズーンは戻ってきた冒険者に、斧術の修行も日々の努力が肝要であり、じっくり鍛えていけと言葉をかけた。※斧術士のレベルが5以上になると、ヴィルンズーンから次の斧術士クエストを受注することができます。			豪胆なる斧							
斧術でラットを討伐			斧術でラットを討伐			豪胆なる斧							
斧術でシープを討伐			斧術でシープを討伐			豪胆なる斧							
斧術でレディバグを討伐			斧術でレディバグを討伐			豪胆なる斧							
斧術士ギルドのヴィルンズーンに報告			斧術士ギルドのヴィルンズーンに報告			豪胆なる斧							
よく似合っているぞ、Forename。斧を渡したのは、潮風で錆びつかせるためではない。			よく似合っているぞ、Forename。斧を渡したのは、潮風で錆びつかせるためではない。			豪胆なる斧							
お前に試練を与え、乗り越えさせるためだ。斧術士ギルドの長として、お前に試練を与える。			お前に試練を与え、乗り越えさせるためだ。斧術士ギルドの長として、お前に試練を与える。			豪胆なる斧							
リムサ・ロミンサの周辺をうろつく魔物どもを退治せよ。これは、民たちの安寧のためでもある。			リムサ・ロミンサの周辺をうろつく魔物どもを退治せよ。これは、民たちの安寧のためでもある。			豪胆なる斧							
標的は「ラット」、「シープ」、そして「レディバグ」だ。それぞれ3体ずつ、倒してみせよ。			標的は「ラット」、「シープ」、そして「レディバグ」だ。それぞれ3体ずつ、倒してみせよ。			豪胆なる斧							
よくぞ戻ってきた。首尾よく、魔物を討ち果たすことができたようだな。			よくぞ戻ってきた。首尾よく、魔物を討ち果たすことができたようだな。			豪胆なる斧							
お前にはまだまだ足らないものがある。今後、お前はその足らないものを学び、補い、そして身に付けなくてはならない。			お前にはまだまだ足らないものがある。今後、お前はその足らないものを学び、補い、そして身に付けなくてはならない。			豪胆なる斧							
斧を振った回数が、そして流した汗こそが、斧術という道を進んでいくための道を作る。一歩ずつ、踏みしめるようにして進んでいくのだ。			斧を振った回数が、そして流した汗こそが、斧術という道を進んでいくための道を作る。一歩ずつ、踏みしめるようにして進んでいくのだ。			豪胆なる斧							
「斧術士」のクラスクエストが開始されました。次のクエストは「レベル5」以上で受注可能になります。レベルを上げ、再度ギルドを訪れてください。			「斧術士」のクラスクエストが開始されました。次のクエストは「レベル5」以上で受注可能になります。レベルを上げ、再度ギルドを訪れてください。			豪胆なる斧							
斧術士ギルドの受付ブラウトータは、ギルドへの入門手続きをするにあたって、冒険者の心を確かめようとしているようだ。			斧術士ギルドの受付ブラウトータは、ギルドへの入門手続きをするにあたって、冒険者の心を確かめようとしているようだ。			戦場を圧する斧術士							
ブラウトータから、ギルドマスター「ヴィルンズーン」に入門の意思を伝えるよう言われた。斧術士ギルド受付前にいる「ヴィルンズーン」に声をかけよう。			ブラウトータから、ギルドマスター「ヴィルンズーン」に入門の意思を伝えるよう言われた。斧術士ギルド受付前にいる「ヴィルンズーン」に声をかけよう。			戦場を圧する斧術士							
ヴィルンズーンから斧術士ギルドへの入門を認められた。斧の扱いに慣れるため、「ラット」「シープ」「レディバグ」を3体ずつ討伐しよう。			ヴィルンズーンから斧術士ギルドへの入門を認められた。斧の扱いに慣れるため、「ラット」「シープ」「レディバグ」を3体ずつ討伐しよう。			戦場を圧する斧術士							
指定された魔物の討伐を終えた。「斧術士ギルド」にて待つ「ヴィルンズーン」に報告しよう。			指定された魔物の討伐を終えた。「斧術士ギルド」にて待つ「ヴィルンズーン」に報告しよう。			戦場を圧する斧術士							
ヴィルンズーンは戻ってきた冒険者に、斧術の修行も日々の努力が肝要であり、じっくり鍛えていけと言葉をかけた。※斧術士のレベルが5以上になると、ヴィルンズーンから次の斧術士クエストを受注することができます。			ヴィルンズーンは戻ってきた冒険者に、斧術の修行も日々の努力が肝要であり、じっくり鍛えていけと言葉をかけた。※斧術士のレベルが5以上になると、ヴィルンズーンから次の斧術士クエストを受注することができます。			戦場を圧する斧術士							
ヴィルンズーンと話す			ヴィルンズーンと話す			戦場を圧する斧術士							
斧術でラットを討伐			斧術でラットを討伐			戦場を圧する斧術士							
斧術でシープを討伐			斧術でシープを討伐			戦場を圧する斧術士							
斧術でレディバグを討伐			斧術でレディバグを討伐			戦場を圧する斧術士							
斧術士ギルドのヴィルンズーンに報告			斧術士ギルドのヴィルンズーンに報告			戦場を圧する斧術士							
おう、「斧術士ギルド」に入る心は決まったのかい？			おう、「斧術士ギルド」に入る心は決まったのかい？			戦場を圧する斧術士							
空			空			戦場を圧する斧術士							
空			空			戦場を圧する斧術士							
空			空			戦場を圧する斧術士							
そうか、少々残念だが、仕方あるまい。君には君の進んでいる道があり、それがまだ、斧術士ギルドと交わらなかったというだけだ。			そうか、少々残念だが、仕方あるまい。君には君の進んでいる道があり、それがまだ、斧術士ギルドと交わらなかったというだけだ。			戦場を圧する斧術士							
了解した、君の入門を歓迎する。では早速、斧術士ギルドのギルドマスターを紹介しよう。厳つい顔をしているから、取っつき難いかもしれんが……。			了解した、君の入門を歓迎する。では早速、斧術士ギルドのギルドマスターを紹介しよう。厳つい顔をしているから、取っつき難いかもしれんが……。			戦場を圧する斧術士							
斧術士ギルドのギルドマスターはこの部屋の中央部におられる「ヴィルンズーン」師だ。さあ、準備が整ったら、彼に話しかけてみてくれ。			斧術士ギルドのギルドマスターはこの部屋の中央部におられる「ヴィルンズーン」師だ。さあ、準備が整ったら、彼に話しかけてみてくれ。			戦場を圧する斧術士							
俺の名はヴィルンズーン。斧術士ギルドの、ギルドマスターを務める者だ。よく来てくれた、お前の入門を歓迎しよう。			俺の名はヴィルンズーン。斧術士ギルドの、ギルドマスターを務める者だ。よく来てくれた、お前の入門を歓迎しよう。			戦場を圧する斧術士							
……斧術とは、砕き、断ち切り、破壊するための術。敵をただ倒すだけではなく、文字通り「圧倒」するための戦闘術だ。			……斧術とは、砕き、断ち切り、破壊するための術。敵をただ倒すだけではなく、文字通り「圧倒」するための戦闘術だ。			戦場を圧する斧術士							
誰よりも強い力を振るい、誰よりも長く戦場に立ち続け、そして誰よりも多くの敵を倒す……斧術士とは、戦場でそんな務めを背負う者なのだ。			誰よりも強い力を振るい、誰よりも長く戦場に立ち続け、そして誰よりも多くの敵を倒す……斧術士とは、戦場でそんな務めを背負う者なのだ。			戦場を圧する斧術士							
ゆえに、問おう。お前は我が斧術士ギルドに入門し、斧術士の道を究めるつもりがあるのか？			ゆえに、問おう。お前は我が斧術士ギルドに入門し、斧術士の道を究めるつもりがあるのか？			戦場を圧する斧術士							
斧術士ギルドに入門するか？			斧術士ギルドに入門するか？			戦場を圧する斧術士							
はい			はい			戦場を圧する斧術士							
いいえ			いいえ			戦場を圧する斧術士							
……俺の見込み違いであったか？まぁ、良かろう。こちらとしては、強制するつもりはないのでな。			……俺の見込み違いであったか？まぁ、良かろう。こちらとしては、強制するつもりはないのでな。			戦場を圧する斧術士							
そうか……今の決意を、ゆめゆめ忘れるな。斧術士の道は、ひとつとして安易なことなどない。時には傷つき、倒れることもあろう。そのことを心せよ。			そうか……今の決意を、ゆめゆめ忘れるな。斧術士の道は、ひとつとして安易なことなどない。時には傷つき、倒れることもあろう。そのことを心せよ。			戦場を圧する斧術士							
では……斧術士ギルドの長として、お前に最初の試練を与える。			では……斧術士ギルドの長として、お前に最初の試練を与える。			戦場を圧する斧術士							
リムサ・ロミンサの周辺をうろつく魔物どもを退治せよ。これは、民たちの安寧のためでもある。			リムサ・ロミンサの周辺をうろつく魔物どもを退治せよ。これは、民たちの安寧のためでもある。			戦場を圧する斧術士							
標的は「ラット」、「シープ」、そして「レディバグ」だ。それぞれ3体ずつ、倒してみせよ。			標的は「ラット」、「シープ」、そして「レディバグ」だ。それぞれ3体ずつ、倒してみせよ。			戦場を圧する斧術士							
よくぞ戻ってきた。首尾よく、魔物を討ち果たすことができたようだな。			よくぞ戻ってきた。首尾よく、魔物を討ち果たすことができたようだな。			戦場を圧する斧術士							
お前には、まだまだ足らないものがある。今後、お前はその足らないものを学び、補い、そして身に付けなくてはならない。			お前には、まだまだ足らないものがある。今後、お前はその足らないものを学び、補い、そして身に付けなくてはならない。			戦場を圧する斧術士							
この「討伐手帳」をお前に与えよう。これには、斧術の訓練において適した相手が記されている。			この「討伐手帳」をお前に与えよう。これには、斧術の訓練において適した相手が記されている。			戦場を圧する斧術士							
もちろん、鍛錬の方法はこれひとつではないが……迷ったときは、この手帳がお前の一助となるだろう。			もちろん、鍛錬の方法はこれひとつではないが……迷ったときは、この手帳がお前の一助となるだろう。			戦場を圧する斧術士							
斧を振った回数が、そして流した汗こそが、斧術という道を進んでいくための道を作る。一歩ずつ、踏みしめるようにして進んでいくのだ。			斧を振った回数が、そして流した汗こそが、斧術という道を進んでいくための道を作る。一歩ずつ、踏みしめるようにして進んでいくのだ。			戦場を圧する斧術士							
「斧術士」のクラスクエストが開始されました。次のクエストは「レベル5」以上で受注可能になります。レベルを上げ、再度ギルドを訪れてください。			「斧術士」のクラスクエストが開始されました。次のクエストは「レベル5」以上で受注可能になります。レベルを上げ、再度ギルドを訪れてください。			戦場を圧する斧術士							
斧術士ギルドの受付ブラウトータは、ギルドへの入門手続きをするにあたって、冒険者の心を確かめようとしているようだ。			斧術士ギルドの受付ブラウトータは、ギルドへの入門手続きをするにあたって、冒険者の心を確かめようとしているようだ。			戦場を圧する斧術士							
ブラウトータから、ギルドマスター「ヴィルンズーン」に入門の意思を伝えるよう言われた。斧術士ギルド受付前にいる「ヴィルンズーン」に声をかけよう。			ブラウトータから、ギルドマスター「ヴィルンズーン」に入門の意思を伝えるよう言われた。斧術士ギルド受付前にいる「ヴィルンズーン」に声をかけよう。			戦場を圧する斧術士							
冒険者は斧術士ギルドマスターのヴィルンズーンから、ギルドの一員として斧術を学ぶことを許可された。彼から受けとった「ウェザードウォーアクス」を装備し、もう一度、「ヴィルンズーン」に声をかけよう。			冒険者は斧術士ギルドマスターのヴィルンズーンから、ギルドの一員として斧術を学ぶことを許可された。彼から受けとった「ウェザードウォーアクス」を装備し、もう一度、「ヴィルンズーン」に声をかけよう。			戦場を圧する斧術士							
ヴィルンズーンと話す			ヴィルンズーンと話す			戦場を圧する斧術士							
ン……決心したのか？我が斧術士ギルドに入門すると？			ン……決心したのか？我が斧術士ギルドに入門すると？			戦場を圧する斧術士							
空			空			戦場を圧する斧術士							
空			空			戦場を圧する斧術士							
空			空			戦場を圧する斧術士							
まぁ、納得いくまで、自分でじっくり考えるといい。実戦となれば、判断の遅れが命取りだが……今は判断の誤りこそ、お前の命取りとなるからな。			まぁ、納得いくまで、自分でじっくり考えるといい。実戦となれば、判断の遅れが命取りだが……今は判断の誤りこそ、お前の命取りとなるからな。			戦場を圧する斧術士							
了解した、君の入門を歓迎する。では早速、斧術士ギルドのギルドマスターを紹介しよう。厳つい顔をしているから、取っつき難いかもしれんが……。			了解した、君の入門を歓迎する。では早速、斧術士ギルドのギルドマスターを紹介しよう。厳つい顔をしているから、取っつき難いかもしれんが……。			戦場を圧する斧術士							
斧術士ギルドのギルドマスターはこの部屋の中央部におられる「ヴィルンズーン」師だ。さあ、準備が整ったら、彼に話しかけてみてくれ。			斧術士ギルドのギルドマスターはこの部屋の中央部におられる「ヴィルンズーン」師だ。さあ、準備が整ったら、彼に話しかけてみてくれ。			戦場を圧する斧術士							
俺の名はヴィルンズーン。斧術士ギルドの、ギルドマスターを務める者だ。よく来てくれた、お前の入門を歓迎しよう。			俺の名はヴィルンズーン。斧術士ギルドの、ギルドマスターを務める者だ。よく来てくれた、お前の入門を歓迎しよう。			戦場を圧する斧術士							
……斧術とは、砕き、断ち切り、破壊するための術。敵をただ倒すだけではなく、文字通り「圧倒」するための戦闘術だ。			……斧術とは、砕き、断ち切り、破壊するための術。敵をただ倒すだけではなく、文字通り「圧倒」するための戦闘術だ。			戦場を圧する斧術士							
誰よりも強い力を振るい、誰よりも長く戦場に立ち続け、そして誰よりも多くの敵を倒す……斧術士とは、戦場でそんな務めを背負う者なのだ。			誰よりも強い力を振るい、誰よりも長く戦場に立ち続け、そして誰よりも多くの敵を倒す……斧術士とは、戦場でそんな務めを背負う者なのだ。			戦場を圧する斧術士							
ゆえに、問おう。お前は我が斧術士ギルドに入門し、斧術士の道を究めるつもりがあるのか？			ゆえに、問おう。お前は我が斧術士ギルドに入門し、斧術士の道を究めるつもりがあるのか？			戦場を圧する斧術士							
斧術士ギルドに入門するか？			斧術士ギルドに入門するか？			戦場を圧する斧術士							
はい			はい			戦場を圧する斧術士							
いいえ			いいえ			戦場を圧する斧術士							
……俺の見込み違いであったか？まぁ、良かろう。こちらとしては、強制するつもりはないのでな。			……俺の見込み違いであったか？まぁ、良かろう。こちらとしては、強制するつもりはないのでな。			戦場を圧する斧術士							
そうか……今の決意を、ゆめゆめ忘れるな。斧術士の道は、ひとつとして安易なことなどない。時には傷つき、倒れることもあろう。そのことを心せよ。			そうか……今の決意を、ゆめゆめ忘れるな。斧術士の道は、ひとつとして安易なことなどない。時には傷つき、倒れることもあろう。そのことを心せよ。			戦場を圧する斧術士							
この「ウェザードウォーアクス」を受け取れ。それこそ、お前の決意の証。さあ、その斧を身につけた姿を、この俺に見せてみろ。			この「ウェザードウォーアクス」を受け取れ。それこそ、お前の決意の証。さあ、その斧を身につけた姿を、この俺に見せてみろ。			戦場を圧する斧術士							
新しいクラスを修得しました！受け取った武器を装備することで、クラスチェンジができます。			新しいクラスを修得しました！受け取った武器を装備することで、クラスチェンジができます。			戦場を圧する斧術士							
クラスチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			クラスチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			戦場を圧する斧術士							
