星戦士団本営の星戦士団の哨兵は、目玉の妖異を見張っている。			星戦士団本営の星戦士団の哨兵は、目玉の妖異を見張っている。			続・ヴォイドの傍観者							
(-分裂した目玉-)髪を振り乱し、呪いの言葉を吐きながら立ち去る姿は、まさに悪鬼のようであっタ。			(-分裂した目玉-)髪を振り乱し、呪いの言葉を吐きながら立ち去る姿は、まさに悪鬼のようであっタ。			ヴォイドの傍観者							
(-分裂した目玉-)それゆえ男は、髪を振り乱す者(スカルミリョーネ)と呼ばれるようになり、やがて、自らそう名乗るようになっていっタ……。			(-分裂した目玉-)それゆえ男は、髪を振り乱す者(スカルミリョーネ)と呼ばれるようになり、やがて、自らそう名乗るようになっていっタ……。			ヴォイドの傍観者							
かなり深くに埋めてやったはずだったガ……ニンゲンの生への執着心、侮れナイ。			かなり深くに埋めてやったはずだったガ……ニンゲンの生への執着心、侮れナイ。			ヴォイドの傍観者							
それが、とある妖異のニンゲンだったころの話ダ。オマエにとって、興味のある内容かどうかは知らないがナ。			それが、とある妖異のニンゲンだったころの話ダ。オマエにとって、興味のある内容かどうかは知らないがナ。			ヴォイドの傍観者							
さてと、オレはそろそろ、オレたちのところに戻ル。じゃあナ。			さてと、オレはそろそろ、オレたちのところに戻ル。じゃあナ。			ヴォイドの傍観者							
ここは、ニンゲンたちがエーテルを喰らう場所のようだナ。			ここは、ニンゲンたちがエーテルを喰らう場所のようだナ。			ヴォイドの傍観者							
オレが呼んでル？飢えよりもまず、孤独を恐れるとは、オレらしい……。まぁもう少しだけ、ニンゲンたちを観察させてホシイ。			オレが呼んでル？飢えよりもまず、孤独を恐れるとは、オレらしい……。まぁもう少しだけ、ニンゲンたちを観察させてホシイ。			ヴォイドの傍観者							
ここの料理は本当に美味しいよ！まるでムリガの神々が祝福してくれたように、食べれば食べるほど、力がモリモリ増してくるんだ！			ここの料理は本当に美味しいよ！まるでムリガの神々が祝福してくれたように、食べれば食べるほど、力がモリモリ増してくるんだ！			ヴォイドの傍観者							
美味しいのは本当だけど、それで強くなれたら苦労はしねぇ。ちゃんと「訓え」にならって、真面目にやらなきゃ。			美味しいのは本当だけど、それで強くなれたら苦労はしねぇ。ちゃんと「訓え」にならって、真面目にやらなきゃ。			ヴォイドの傍観者							
喰えば喰うほど、強くなる、カ……。			喰えば喰うほど、強くなる、カ……。			ヴォイドの傍観者							
オレが約束したのなら、ひとつ教えてやろウ。妖異の強さというのは、どれだけ上質で、大量のエーテルを蓄えているかに尽きル。			オレが約束したのなら、ひとつ教えてやろウ。妖異の強さというのは、どれだけ上質で、大量のエーテルを蓄えているかに尽きル。			ヴォイドの傍観者							
異能を持った英雄「メモリア使い」であれば、闇に呑まれた直後から、強力な妖異となっていタ。			異能を持った英雄「メモリア使い」であれば、闇に呑まれた直後から、強力な妖異となっていタ。			ヴォイドの傍観者							
一方、大多数を占める並のニンゲンは、これといって特徴のない、矮小な妖異になるのが当たり前。オレみたいに、ナ。			一方、大多数を占める並のニンゲンは、これといって特徴のない、矮小な妖異になるのが当たり前。オレみたいに、ナ。			ヴォイドの傍観者							
だが、中には例外がいル。オレが出会ったアイツも、そのひとりだっタ……。			だが、中には例外がいル。オレが出会ったアイツも、そのひとりだっタ……。			ヴォイドの傍観者							
(-分裂した目玉-)その妖異……スカルミリョーネは、ひどく臆病だっタ。空腹で、狩りをする必要に迫られた場合にも、己より遥かに弱い相手しか、決して狙おうとはしなかっタ。			(-分裂した目玉-)その妖異……スカルミリョーネは、ひどく臆病だっタ。空腹で、狩りをする必要に迫られた場合にも、己より遥かに弱い相手しか、決して狙おうとはしなかっタ。			ヴォイドの傍観者							
(-分裂した目玉-)ゆえに少量のエーテルしか得られズ、常に飢餓と恐怖に突き動かされ、獲物を求めてさまよっていタ。			(-分裂した目玉-)ゆえに少量のエーテルしか得られズ、常に飢餓と恐怖に突き動かされ、獲物を求めてさまよっていタ。			ヴォイドの傍観者							
(-分裂した目玉-)万一、己より強いものに出くわした際には、ただ生き残るため、一目散に逃走すル。抵抗のそぶりすら見せずにナ。			(-分裂した目玉-)万一、己より強いものに出くわした際には、ただ生き残るため、一目散に逃走すル。抵抗のそぶりすら見せずにナ。			ヴォイドの傍観者							
(-分裂した目玉-)だが、真の強者とは逃げる隙すら与えナイ。そんな存在に、彼も遭遇してしまったのサ……。			(-分裂した目玉-)だが、真の強者とは逃げる隙すら与えナイ。そんな存在に、彼も遭遇してしまったのサ……。			ヴォイドの傍観者							
(-黒鎧の騎士-)無様だな……。			(-黒鎧の騎士-)無様だな……。			ヴォイドの傍観者							
なんだ、こやつから感じる不気味なエーテルは……！？			なんだ、こやつから感じる不気味なエーテルは……！？			ヴォイドの傍観者							
(-黒鎧の騎士-)さきほどの相手……なぜ戦わずに逃げた？			(-黒鎧の騎士-)さきほどの相手……なぜ戦わずに逃げた？			ヴォイドの傍観者							
なにを馬鹿な……私の力では、あんな大きな奴に敵うはずがない。			なにを馬鹿な……私の力では、あんな大きな奴に敵うはずがない。			ヴォイドの傍観者							
(-黒鎧の騎士-)……なるほど。十分な力さえあれば戦っていたと？では、これならどうだ？			(-黒鎧の騎士-)……なるほど。十分な力さえあれば戦っていたと？では、これならどうだ？			ヴォイドの傍観者							
お、おぉ……！			お、おぉ……！			ヴォイドの傍観者							
感じる……私の身体から、とてつもない力を感じるぞォッ！			感じる……私の身体から、とてつもない力を感じるぞォッ！			ヴォイドの傍観者							
(-黒鎧の騎士-)それ、また来たぞ。			(-黒鎧の騎士-)それ、また来たぞ。			ヴォイドの傍観者							
フシュルルル……。貴様、私にいったい何をしたのだ？			フシュルルル……。貴様、私にいったい何をしたのだ？			ヴォイドの傍観者							
(-黒鎧の騎士-)私は何もしておらん。さきほど与えたのは、ただの微小なエーテル。お前は、自分がもともと持っていた力を振るったにすぎない。			(-黒鎧の騎士-)私は何もしておらん。さきほど与えたのは、ただの微小なエーテル。お前は、自分がもともと持っていた力を振るったにすぎない。			ヴォイドの傍観者							
な、なんだと？まさか私にこれほどの力があったとは……！			な、なんだと？まさか私にこれほどの力があったとは……！			ヴォイドの傍観者							
(-黒鎧の騎士-)恐れは目を曇らせる。ひたすら弱き存在を喰らい続けた結果、己がどれほどの力を得ていたのか気付かぬほどにな……。			(-黒鎧の騎士-)恐れは目を曇らせる。ひたすら弱き存在を喰らい続けた結果、己がどれほどの力を得ていたのか気付かぬほどにな……。			ヴォイドの傍観者							
(-黒鎧の騎士-)恐怖心によって動くのではなく、志を持って、高みを目指してみたいとは思わぬか？私についてくれば、今度こそ本物の力をくれてやろう。			(-黒鎧の騎士-)恐怖心によって動くのではなく、志を持って、高みを目指してみたいとは思わぬか？私についてくれば、今度こそ本物の力をくれてやろう。			ヴォイドの傍観者							
(-分裂した目玉-)死の存在しない世界において、生への異常な執着は、まさに才能と呼べるモノ。			(-分裂した目玉-)死の存在しない世界において、生への異常な執着は、まさに才能と呼べるモノ。			ヴォイドの傍観者							
(-分裂した目玉-)それを見抜いていた黒鎧の騎士は、彼に覚醒を促すと、自らの配下として迎えるのだっタ……。			(-分裂した目玉-)それを見抜いていた黒鎧の騎士は、彼に覚醒を促すと、自らの配下として迎えるのだっタ……。			ヴォイドの傍観者							
ン……？もしかして、スカルミリョーネを知っていたカ？アイツがまだ生きていたとしても、オレは驚かないナ。			ン……？もしかして、スカルミリョーネを知っていたカ？アイツがまだ生きていたとしても、オレは驚かないナ。			ヴォイドの傍観者							
ところで、こっちの世界、いくら喰っても強くなれないのカ？それはつまらナイ……。			ところで、こっちの世界、いくら喰っても強くなれないのカ？それはつまらナイ……。			ヴォイドの傍観者							
そろそろオレたちのところに戻るとしよウ。			そろそろオレたちのところに戻るとしよウ。			ヴォイドの傍観者							
ワタクシがひとりで寂しがってるですッテ？それに、強い妖異の話と言われましてモ、困りましたわネ……			ワタクシがひとりで寂しがってるですッテ？それに、強い妖異の話と言われましてモ、困りましたわネ……			ヴォイドの傍観者							
ほら、あそこの殿方を御覧ナサイ。あのようなお行儀の悪い言葉づかイ……ワタクシ、気になって仕方ありませんノ。			ほら、あそこの殿方を御覧ナサイ。あのようなお行儀の悪い言葉づかイ……ワタクシ、気になって仕方ありませんノ。			ヴォイドの傍観者							
はぁ～！？ったく、クソめんどくせぇなあ。なんで俺と出かけんのに、親父の許しがいるんだよ？			はぁ～！？ったく、クソめんどくせぇなあ。なんで俺と出かけんのに、親父の許しがいるんだよ？			ヴォイドの傍観者							
まぁ！　そんな品のない言葉遣い、よくないわ。お父様が耳にしたら、なんて仰るか……。			まぁ！　そんな品のない言葉遣い、よくないわ。お父様が耳にしたら、なんて仰るか……。			ヴォイドの傍観者							
お父様、お父様って、お前いくつだよ？ざけんじゃねぇぞ、ったくよぉ……			お父様、お父様って、お前いくつだよ？ざけんじゃねぇぞ、ったくよぉ……			ヴォイドの傍観者							
どうです、ひどい言葉づかイでしょウ？それに引き換え、あのムスメは、よく躾けられてるみたいネ。			どうです、ひどい言葉づかイでしょウ？それに引き換え、あのムスメは、よく躾けられてるみたいネ。			ヴォイドの傍観者							
あら、何カシラ……。ワタクシ、過去にあんなムスメを見たことがあるようナ……。			あら、何カシラ……。ワタクシ、過去にあんなムスメを見たことがあるようナ……。			ヴォイドの傍観者							
(-分裂した目玉-)そのムスメは、ゴロツキ同然の、成り上がり者の家に生まれたノ。			(-分裂した目玉-)そのムスメは、ゴロツキ同然の、成り上がり者の家に生まれたノ。			ヴォイドの傍観者							
(-分裂した目玉-)多くの使用人にかしずかれ、淑女として育てられはしたガ、籠に囚われた鳥も同然の扱イ。			(-分裂した目玉-)多くの使用人にかしずかれ、淑女として育てられはしたガ、籠に囚われた鳥も同然の扱イ。			ヴォイドの傍観者							
(-分裂した目玉-)何より苦痛だったのは、両親からの厳しい躾ケ。言葉づかイすらも厳しく制限され、ムスメは「自分」であるコトを否定されていタ……。			(-分裂した目玉-)何より苦痛だったのは、両親からの厳しい躾ケ。言葉づかイすらも厳しく制限され、ムスメは「自分」であるコトを否定されていタ……。			ヴォイドの傍観者							
(-分裂した目玉-)あるときムスメは、使用人の手を借りて、屋敷の外へと抜け出し、ひとときの自由を楽しんダ。			(-分裂した目玉-)あるときムスメは、使用人の手を借りて、屋敷の外へと抜け出し、ひとときの自由を楽しんダ。			ヴォイドの傍観者							
(-分裂した目玉-)だが、それを知った父親によってすぐに連れ戻されると、窓を開け、風を浴びるコトすら禁じられてしまっタ。			(-分裂した目玉-)だが、それを知った父親によってすぐに連れ戻されると、窓を開け、風を浴びるコトすら禁じられてしまっタ。			ヴォイドの傍観者							
(-分裂した目玉-)「自分は両親の道具ではない……」籠の中の鳥ですら自由に鳴けるというのに、ムスメには、何ひとつ主張するコトは許されなかっタ……。			(-分裂した目玉-)「自分は両親の道具ではない……」籠の中の鳥ですら自由に鳴けるというのに、ムスメには、何ひとつ主張するコトは許されなかっタ……。			ヴォイドの傍観者							
(-分裂した目玉-)そして……なんとかふたたび屋敷を抜け出す算段を立てた日のコト。			(-分裂した目玉-)そして……なんとかふたたび屋敷を抜け出す算段を立てた日のコト。			ヴォイドの傍観者							
遅いわね……ここで待ち合わせるって約束したのに。			遅いわね……ここで待ち合わせるって約束したのに。			ヴォイドの傍観者							
あの若造どもを待ってるんなら、来ねぇぞ？			あの若造どもを待ってるんなら、来ねぇぞ？			ヴォイドの傍観者							
お父様、どうして……！来ないって、どういうこと？			お父様、どうして……！来ないって、どういうこと？			ヴォイドの傍観者							
最近、ここらで派手に遊び回ってる連中がいるとは聞いてたが、俺の娘に手ェ出すとは、ふざけんじゃねぇぜ、まったく……。二度とお前に近寄らねぇように、全員魚の餌にしてやったよ。			最近、ここらで派手に遊び回ってる連中がいるとは聞いてたが、俺の娘に手ェ出すとは、ふざけんじゃねぇぜ、まったく……。二度とお前に近寄らねぇように、全員魚の餌にしてやったよ。			ヴォイドの傍観者							
ひどい……。お父様は、そうまでして私を苦しめたいのですか？			ひどい……。お父様は、そうまでして私を苦しめたいのですか？			ヴォイドの傍観者							
小娘が、ナメた口を利くな！お前は俺がのしあがるための大切な道具だ。余計なことをして、価値を下げるんじゃねぇ。			小娘が、ナメた口を利くな！お前は俺がのしあがるための大切な道具だ。余計なことをして、価値を下げるんじゃねぇ。			ヴォイドの傍観者							
ここから出ていくことも、俺に歯向かうことも許さん。これからは何を言われても「はい、お父様」とだけ答えるんだ！			ここから出ていくことも、俺に歯向かうことも許さん。これからは何を言われても「はい、お父様」とだけ答えるんだ！			ヴォイドの傍観者							
オラ、どうした？返事をしろ、返事を！			オラ、どうした？返事をしろ、返事を！			ヴォイドの傍観者							
……じゃねぇ。			……じゃねぇ。			ヴォイドの傍観者							
アァ？今なんて……			アァ？今なんて……			ヴォイドの傍観者							
ざけんじゃねぇぞ、コラァァァ！			ざけんじゃねぇぞ、コラァァァ！			ヴォイドの傍観者							
ぐあああああっ！			ぐあああああっ！			ヴォイドの傍観者							
ああ、最高だ！言いたいことを言って、やりたいことをやるだけで、こんなにも素敵な気分になれるなんて！			ああ、最高だ！言いたいことを言って、やりたいことをやるだけで、こんなにも素敵な気分になれるなんて！			ヴォイドの傍観者							
私を閉じ込める鳥籠は、すべてブッ壊す。これからは、どこまでも風のように自由になってみせる！			私を閉じ込める鳥籠は、すべてブッ壊す。これからは、どこまでも風のように自由になってみせる！			ヴォイドの傍観者							
(-分裂した目玉-)それからムスメは、お屋敷を出て旅に出タ。自由を得たことで眠っていた才能が目覚めたのか、戦場に己の居場所を見つけだしたそうヨ。			(-分裂した目玉-)それからムスメは、お屋敷を出て旅に出タ。自由を得たことで眠っていた才能が目覚めたのか、戦場に己の居場所を見つけだしたそうヨ。			ヴォイドの傍観者							
(-分裂した目玉-)それから彼女が有名になるのに、時間はかからなかったワ。その美しい外見と相反する、野蛮きわまりない戦い方と言動は、誰よりも鮮烈な印象を与えたんですモノ。			(-分裂した目玉-)それから彼女が有名になるのに、時間はかからなかったワ。その美しい外見と相反する、野蛮きわまりない戦い方と言動は、誰よりも鮮烈な印象を与えたんですモノ。			ヴォイドの傍観者							
(-分裂した目玉-)ついたあだ名は、野蛮な女(バルバリシア)。その名は風に乗って、広く知れ渡るコトになったと言ウ……。			(-分裂した目玉-)ついたあだ名は、野蛮な女(バルバリシア)。その名は風に乗って、広く知れ渡るコトになったと言ウ……。			ヴォイドの傍観者							
はたして、お屋敷を出たコトは、彼女にとって幸せなコトだったのカシラ……？			はたして、お屋敷を出たコトは、彼女にとって幸せなコトだったのカシラ……？			ヴォイドの傍観者							
今のワタクシには、何もわからナイ……。どちらにしろ、彼女も妖異になってしまったのだモノ……			今のワタクシには、何もわからナイ……。どちらにしろ、彼女も妖異になってしまったのだモノ……			ヴォイドの傍観者							
いけない、そろそろワタクシたちのところに戻りませんト。それではゴキゲンヨウ……。			いけない、そろそろワタクシたちのところに戻りませんト。それではゴキゲンヨウ……。			ヴォイドの傍観者							
フゥ、風がキモチイイゼ……。			フゥ、風がキモチイイゼ……。			ヴォイドの傍観者							
エェ～、オレが戻ってこいっテ！？オレの方がこっちに来いヨ！			エェ～、オレが戻ってこいっテ！？オレの方がこっちに来いヨ！			ヴォイドの傍観者							
見ろヨ、この自由な空ヲ！ニンゲンたちは、ここから空へと飛び立っていくんダロ？オレにも翼があったなら、飛んでいけたんだがナ……。			見ろヨ、この自由な空ヲ！ニンゲンたちは、ここから空へと飛び立っていくんダロ？オレにも翼があったなら、飛んでいけたんだがナ……。			ヴォイドの傍観者							
オレたち妖異ってのはヨ、領域に棲むモンなんダ。強い者は自分の領域を作り、弱い者はそこに棲まわせてもらウ。			オレたち妖異ってのはヨ、領域に棲むモンなんダ。強い者は自分の領域を作り、弱い者はそこに棲まわせてもらウ。			ヴォイドの傍観者							
そして、領域の主ってのは、自分の領域から出たがらナイ。その場こそが、己の力を最大限に発揮できる場所だからサ。			そして、領域の主ってのは、自分の領域から出たがらナイ。その場こそが、己の力を最大限に発揮できる場所だからサ。			ヴォイドの傍観者							
だがそれは、ずっと同じ場所に留まるということでもあル。なかには退屈するヤツもいるんダ……。			だがそれは、ずっと同じ場所に留まるということでもあル。なかには退屈するヤツもいるんダ……。			ヴォイドの傍観者							
(-分裂した目玉-)その妖異……バルバリシアは、とにかく退屈していタ。己の領域を作りあげたはイイが、そこから動くことはなく、たまに手下が運んでくるエサを喰らうダケ……。			(-分裂した目玉-)その妖異……バルバリシアは、とにかく退屈していタ。己の領域を作りあげたはイイが、そこから動くことはなく、たまに手下が運んでくるエサを喰らうダケ……。			ヴォイドの傍観者							
(-分裂した目玉-)そうして得たエーテルで、長い髪を艶めかせるのが、彼女のささやかな愉シミ……。しかしそれも、一帯に獲物がいなくなるまでのコトだっタ。			(-分裂した目玉-)そうして得たエーテルで、長い髪を艶めかせるのが、彼女のささやかな愉シミ……。しかしそれも、一帯に獲物がいなくなるまでのコトだっタ。			ヴォイドの傍観者							
(-分裂した目玉-)歯向かう者がいなくなったとき、彼女は初めて気づいタ。この領域は、自分を閉じ込める鳥籠でもあったのだト。			(-分裂した目玉-)歯向かう者がいなくなったとき、彼女は初めて気づいタ。この領域は、自分を閉じ込める鳥籠でもあったのだト。			ヴォイドの傍観者							
(-分裂した目玉-)このままでは、ここでひとり朽ちてしまウ……焦る彼女の前に、お客さんがやってきタ。それも、とびっきりの大物がナ……。			(-分裂した目玉-)このままでは、ここでひとり朽ちてしまウ……焦る彼女の前に、お客さんがやってきタ。それも、とびっきりの大物がナ……。			ヴォイドの傍観者							
はぁ……こう退屈ばかり続くと、髪の艶も褪せていくわね。もっと力があれば、どこへだって飛んでいけるのに……。			はぁ……こう退屈ばかり続くと、髪の艶も褪せていくわね。もっと力があれば、どこへだって飛んでいけるのに……。			ヴォイドの傍観者							
(-黒鎧の騎士-)ほう、力を欲するか？……ならば、私がくれてやろうではないか。			(-黒鎧の騎士-)ほう、力を欲するか？……ならば、私がくれてやろうではないか。			ヴォイドの傍観者							
誰だい！？			誰だい！？			ヴォイドの傍観者							
あっ、ああァッ！ち、力が……迸る……！			あっ、ああァッ！ち、力が……迸る……！			ヴォイドの傍観者							
(-黒鎧の騎士-)さぁ、力は与えたぞ。己が望みを、叶えてみせよ！			(-黒鎧の騎士-)さぁ、力は与えたぞ。己が望みを、叶えてみせよ！			ヴォイドの傍観者							
私は……私の望みはッ……！			私は……私の望みはッ……！			ヴォイドの傍観者							
(-黒鎧の騎士-)これは、領域を移動させているのか？……面白い。			(-黒鎧の騎士-)これは、領域を移動させているのか？……面白い。			ヴォイドの傍観者							
こんなことができるなんて……！アンタ、私にいったい何をした？			こんなことができるなんて……！アンタ、私にいったい何をした？			ヴォイドの傍観者							
(-黒鎧の騎士-)私はエーテルを与えたに過ぎない。それをこのように使ったのは、お前の意志によるものだ。			(-黒鎧の騎士-)私はエーテルを与えたに過ぎない。それをこのように使ったのは、お前の意志によるものだ。			ヴォイドの傍観者							
私の、意志……。			私の、意志……。			ヴォイドの傍観者							
(-黒鎧の騎士-)しかし、どこに行こうが、闇しかあるまい。いったいどこへ向かっている？			(-黒鎧の騎士-)しかし、どこに行こうが、闇しかあるまい。いったいどこへ向かっている？			ヴォイドの傍観者							
ここじゃなければ、どこへだって。風は、行くあてなんかなくたって吹くもんだろう？			ここじゃなければ、どこへだって。風は、行くあてなんかなくたって吹くもんだろう？			ヴォイドの傍観者							
(-分裂した目玉-)自由を求め、領域ごと彼方へと飛び立たんとする気概……それは、すべてが終わった世界においては稀有な素質だっタ。			(-分裂した目玉-)自由を求め、領域ごと彼方へと飛び立たんとする気概……それは、すべてが終わった世界においては稀有な素質だっタ。			ヴォイドの傍観者							
(-分裂した目玉-)黒鎧の騎士は彼女にさらなる力を与えると、強大な軍勢の一翼を担わせたんだとサ……。			(-分裂した目玉-)黒鎧の騎士は彼女にさらなる力を与えると、強大な軍勢の一翼を担わせたんだとサ……。			ヴォイドの傍観者							
どうだ、すげぇ妖異だロ？……って、動き出した領域から振り落とされちまったセイで、オレはそれ以来、バルバリシアの姿を見てないんだけどナ！			どうだ、すげぇ妖異だロ？……って、動き出した領域から振り落とされちまったセイで、オレはそれ以来、バルバリシアの姿を見てないんだけどナ！			ヴォイドの傍観者							
ニンゲンたちも、そんな野心を秘めて、空へと飛んでいくのカ？オレもヒクウテイとやらに乗って、風を感じてみたいガ……。			ニンゲンたちも、そんな野心を秘めて、空へと飛んでいくのカ？オレもヒクウテイとやらに乗って、風を感じてみたいガ……。			ヴォイドの傍観者							
ま、それはまたの機会とするサ。そろそろオレたちのところに戻らねぇと、オレが泣いちまうからナ……！			ま、それはまたの機会とするサ。そろそろオレたちのところに戻らねぇと、オレが泣いちまうからナ……！			ヴォイドの傍観者							
ほかの目玉たちも大人しくしています。ここで保護していれば、民を脅かす心配はなさそうですよ。			ほかの目玉たちも大人しくしています。ここで保護していれば、民を脅かす心配はなさそうですよ。			ヴォイドの傍観者							
オマエ、オレたち見つけてくれタ！オレ、寂しくナイ！			オマエ、オレたち見つけてくれタ！オレ、寂しくナイ！			ヴォイドの傍観者							
対価として、オレたちから何か話は聞けたカ？			対価として、オレたちから何か話は聞けたカ？			ヴォイドの傍観者							
何と言う？			何と言う？			ヴォイドの傍観者							
スカルミリョーネとバルバリシアの過去を……			スカルミリョーネとバルバリシアの過去を……			ヴォイドの傍観者							
どうして彼らの過去を知っていた？			どうして彼らの過去を知っていた？			ヴォイドの傍観者							
オレたち、喰らって混じりあう前は、それぞれが、それぞれに異なる生の中で、たくさんの妖異を……そうなる前のニンゲンを見てきたのサ。			オレたち、喰らって混じりあう前は、それぞれが、それぞれに異なる生の中で、たくさんの妖異を……そうなる前のニンゲンを見てきたのサ。			ヴォイドの傍観者							
その中には、ウワサの四天王だって含まれていル。アンタの目的は知らナイが、ヴォイドで活動する以上、知っておいて損はない情報だロ？			その中には、ウワサの四天王だって含まれていル。アンタの目的は知らナイが、ヴォイドで活動する以上、知っておいて損はない情報だロ？			ヴォイドの傍観者							
対価に満足してもらえたなら良かっタ。それじゃオレ、さっそく元に戻ル！			対価に満足してもらえたなら良かっタ。それじゃオレ、さっそく元に戻ル！			ヴォイドの傍観者							
って、アレ……？オレたち、もしかして、足りナイ……？			って、アレ……？オレたち、もしかして、足りナイ……？			ヴォイドの傍観者							
オレたち、これでみんなじゃナイ。残りのオレたち揃うまで、元に戻れナイ。			オレたち、これでみんなじゃナイ。残りのオレたち揃うまで、元に戻れナイ。			ヴォイドの傍観者							
でも、近くに気配、感じナイ。オレたち、どこへ行っタ……？			でも、近くに気配、感じナイ。オレたち、どこへ行っタ……？			ヴォイドの傍観者							
な、なんと！まだほかにも目玉がいるというのですか？			な、なんと！まだほかにも目玉がいるというのですか？			ヴォイドの傍観者							
しかし、貴殿のお話によれば、目玉たちは、ただ人の生活を覗き見ていただけの様子……。あまり騒ぎ立てずとも、よさそうですね。			しかし、貴殿のお話によれば、目玉たちは、ただ人の生活を覗き見ていただけの様子……。あまり騒ぎ立てずとも、よさそうですね。			ヴォイドの傍観者							
それでは、残りの目玉が近くに戻ってくるまで、私が保護しつつ、様子を見ておくことにします。			それでは、残りの目玉が近くに戻ってくるまで、私が保護しつつ、様子を見ておくことにします。			ヴォイドの傍観者							
別のオレたちが近くに戻ってきたら、また探すのを手伝ってくれよナ！			別のオレたちが近くに戻ってきたら、また探すのを手伝ってくれよナ！			ヴォイドの傍観者							
