クイックサンドのモモジゴは、何やら頼みごとがあるようだ。			クイックサンドのモモジゴは、何やら頼みごとがあるようだ。			凛とした女侍							
モモジゴの証言で事なきを得たが、遺体を検分させてもらったところ、確かに刀傷が残されておった。もしや、我らと同じ侍の仕業……？			モモジゴの証言で事なきを得たが、遺体を検分させてもらったところ、確かに刀傷が残されておった。もしや、我らと同じ侍の仕業……？			海都を震わす人斬りの宴！							
無暗に殺生を繰り返すとは、刀を持つ者にあるまじき所業。この事件の犯人こそ、この都の討つべき悪とみた。侍の大義にかけて、悪を許さず！			無暗に殺生を繰り返すとは、刀を持つ者にあるまじき所業。この事件の犯人こそ、この都の討つべき悪とみた。侍の大義にかけて、悪を許さず！			海都を震わす人斬りの宴！							
よーし、犯人捜しといこう。なんだか、わくわくしてきたぞ……。さっそく、人が集まる「国際街商通り」で、事件の情報を集めようぜ！			よーし、犯人捜しといこう。なんだか、わくわくしてきたぞ……。さっそく、人が集まる「国際街商通り」で、事件の情報を集めようぜ！			海都を震わす人斬りの宴！							
うーむ、被害者の共通点とは……？			うーむ、被害者の共通点とは……？			海都を震わす人斬りの宴！							
イエロージャケットに捕まったときは、そら大変だったよ。刀を差した東方風の爺さんなんて、いかにも怪しげだもんな……。			イエロージャケットに捕まったときは、そら大変だったよ。刀を差した東方風の爺さんなんて、いかにも怪しげだもんな……。			海都を震わす人斬りの宴！							
連続殺人事件？ああ、この国際街商通りでも、もっぱらの話題さ。なんせ、被害者に馴染の客がいたもんでね、早期解決を望むよ。			連続殺人事件？ああ、この国際街商通りでも、もっぱらの話題さ。なんせ、被害者に馴染の客がいたもんでね、早期解決を望むよ。			海都を震わす人斬りの宴！							
あの事件のことを聞きたいのかい？酷い話でね、この街に寄った旅人まで殺されたんだ。いったい、何の恨みがあってそんなことをするんだろうか……。			あの事件のことを聞きたいのかい？酷い話でね、この街に寄った旅人まで殺されたんだ。いったい、何の恨みがあってそんなことをするんだろうか……。			海都を震わす人斬りの宴！							
連続殺人！　怖いっちゃ！だって、キキルン族もやられたっちゃ！がたがた、ぶるぶる、夜も眠れないっちゃ！			連続殺人！　怖いっちゃ！だって、キキルン族もやられたっちゃ！がたがた、ぶるぶる、夜も眠れないっちゃ！			海都を震わす人斬りの宴！							
連続殺人事件は、この国際街商通りでも、もっぱらの話題さ。なんせ、被害者に馴染の客がいたもんでね、早期解決を望むよ。			連続殺人事件は、この国際街商通りでも、もっぱらの話題さ。なんせ、被害者に馴染の客がいたもんでね、早期解決を望むよ。			海都を震わす人斬りの宴！							
酷い話でね、この街に寄った旅人まで殺されたんだ。いったい、何の恨みがあってそんなことをするんだろうか……。			酷い話でね、この街に寄った旅人まで殺されたんだ。いったい、何の恨みがあってそんなことをするんだろうか……。			海都を震わす人斬りの宴！							
連続殺人！　怖いっちゃ！だって、キキルン族もやられたっちゃ！がたがた、ぶるぶる、夜も眠れないっちゃ！			連続殺人！　怖いっちゃ！だって、キキルン族もやられたっちゃ！がたがた、ぶるぶる、夜も眠れないっちゃ！			海都を震わす人斬りの宴！							
市場の馴染客と旅人、そして「ききるん族」か……。被害者に共通点は見受けられぬようだ。			市場の馴染客と旅人、そして「ききるん族」か……。被害者に共通点は見受けられぬようだ。			海都を震わす人斬りの宴！							
こちらが集めた情報では、被害者は皆、船着場付近で行方がわからなくなって、遺体で発見されている。			こちらが集めた情報では、被害者は皆、船着場付近で行方がわからなくなって、遺体で発見されている。			海都を震わす人斬りの宴！							
ふむ……犯人は無差別に、桟橋を通りがかった者を殺していると見た。			ふむ……犯人は無差別に、桟橋を通りがかった者を殺していると見た。			海都を震わす人斬りの宴！							
通り魔ってやつか、恐ろしいねぇ……。だが、そうなってくると、どう犯人を捜せばいいんだ？			通り魔ってやつか、恐ろしいねぇ……。だが、そうなってくると、どう犯人を捜せばいいんだ？			海都を震わす人斬りの宴！							
ここは、囮を仕掛けるというのはどうだ。人通りの少ない深夜の桟橋を歩き回り、犯人を誘き寄せて、ひっ捕らえるのだ。			ここは、囮を仕掛けるというのはどうだ。人通りの少ない深夜の桟橋を歩き回り、犯人を誘き寄せて、ひっ捕らえるのだ。			海都を震わす人斬りの宴！							
そいつはいい考えだ！で、誰が、囮となるんだい……？			そいつはいい考えだ！で、誰が、囮となるんだい……？			海都を震わす人斬りの宴！							
ええっ！　俺っ！？な、なんでまた、俺なんだよ～！			ええっ！　俺っ！？な、なんでまた、俺なんだよ～！			海都を震わす人斬りの宴！							
被害者に共通点はないと言ったが、不思議と、この街に多い海賊連中は含まれておらん。つまり、武器を持っていない者だけが狙われたわけじゃ。			被害者に共通点はないと言ったが、不思議と、この街に多い海賊連中は含まれておらん。つまり、武器を持っていない者だけが狙われたわけじゃ。			海都を震わす人斬りの宴！							
ということで、腰に刀を差しているワシも、Forename殿も、囮役は務まらん。いやはや、残念至極である……。			ということで、腰に刀を差しているワシも、Forename殿も、囮役は務まらん。いやはや、残念至極である……。			海都を震わす人斬りの宴！							
臆するな、犯人が現れたら、すぐにワシらが捕えてやる。それでは、「船着場」の方へ向かうとしよう。			臆するな、犯人が現れたら、すぐにワシらが捕えてやる。それでは、「船着場」の方へ向かうとしよう。			海都を震わす人斬りの宴！							
ああ、なんでまたこんな目に……。くわばら、くわばら……。			ああ、なんでまたこんな目に……。くわばら、くわばら……。			海都を震わす人斬りの宴！							
しからば、いい頃合いになったら、作戦開始といこう。			しからば、いい頃合いになったら、作戦開始といこう。			海都を震わす人斬りの宴！							
で、で、で、出たァァァァ～ッ！！			で、で、で、出たァァァァ～ッ！！			海都を震わす人斬りの宴！							
むう、あの刀は……。			むう、あの刀は……。			海都を震わす人斬りの宴！							
ひっ捕らえる間もなく、犯人に逃げられてしまったな……。お主の悲鳴に大層たまげたようだ。			ひっ捕らえる間もなく、犯人に逃げられてしまったな……。お主の悲鳴に大層たまげたようだ。			海都を震わす人斬りの宴！							
め、面目ない……。			め、面目ない……。			海都を震わす人斬りの宴！							
まあよい、実はあやつが持つ刀に見覚えがあってのう……。祖国の港街クガネでは、「えおるぜあ」から来た豪商が、銘刀を買い漁っていると、たいそう噂になっておった。			まあよい、実はあやつが持つ刀に見覚えがあってのう……。祖国の港街クガネでは、「えおるぜあ」から来た豪商が、銘刀を買い漁っていると、たいそう噂になっておった。			海都を震わす人斬りの宴！							
立ち寄った小鍛冶の店先で、売約済みになっておった刀に、あの一振りに似た銘刀があったのを思い出したのだ。確か買い手は、「ららふぇる族」の豪商という話じゃったが……。			立ち寄った小鍛冶の店先で、売約済みになっておった刀に、あの一振りに似た銘刀があったのを思い出したのだ。確か買い手は、「ららふぇる族」の豪商という話じゃったが……。			海都を震わす人斬りの宴！							
この辺りのララフェル族の豪商といえば……ゲゲルジュさんだ。俺は踊り子の興行でお世話になったことがあるけど、あの人がそんなことを……？			この辺りのララフェル族の豪商といえば……ゲゲルジュさんだ。俺は踊り子の興行でお世話になったことがあるけど、あの人がそんなことを……？			海都を震わす人斬りの宴！							
該当する者がいるのだな、その者を追及してみよう。して、どこへ向かえばいいのだ？			該当する者がいるのだな、その者を追及してみよう。して、どこへ向かえばいいのだ？			海都を震わす人斬りの宴！							
ゲゲルジュさんは、「コスタ・デル・ソル」に住んでいるよ。何かの間違いだと思うけどなぁ……。			ゲゲルジュさんは、「コスタ・デル・ソル」に住んでいるよ。何かの間違いだと思うけどなぁ……。			海都を震わす人斬りの宴！							
さあ、単刀直入に、この者を追及してみよう。			さあ、単刀直入に、この者を追及してみよう。			海都を震わす人斬りの宴！							
ゲゲルジュさんは、下衆なところもあるけれど、それは、ほら、あっち方面のことだからなぁ……。			ゲゲルジュさんは、下衆なところもあるけれど、それは、ほら、あっち方面のことだからなぁ……。			海都を震わす人斬りの宴！							
ワシのまどろみを邪魔する者は誰じゃ……？妙な東方の者まで連れだって、どんな用件で参ったというのだ？			ワシのまどろみを邪魔する者は誰じゃ……？妙な東方の者まで連れだって、どんな用件で参ったというのだ？			海都を震わす人斬りの宴！							
ワシのまどろみを邪魔する者は誰じゃ……って、あなたは？三大珍味を集めてくれた冒険者殿ではないか！			ワシのまどろみを邪魔する者は誰じゃ……って、あなたは？三大珍味を集めてくれた冒険者殿ではないか！			海都を震わす人斬りの宴！							
きょ、今日はまた、東方の者まで連れだって、いったい、どんな用件で参られたのじゃ？			きょ、今日はまた、東方の者まで連れだって、いったい、どんな用件で参られたのじゃ？			海都を震わす人斬りの宴！							
なるほど、ワシに連続殺人の疑いがかかっておると……。もちろんそれは間違いじゃ、ワシは潔白である。じゃが……犯人に心当たりがあるぞ。			なるほど、ワシに連続殺人の疑いがかかっておると……。もちろんそれは間違いじゃ、ワシは潔白である。じゃが……犯人に心当たりがあるぞ。			海都を震わす人斬りの宴！							
それはきっと、「グルミ・ボルルミ」の奴であろう。貿易で巨万の富を得て、悠々自適に暮らす道楽者じゃ。そいつは、東方の物のコレクターでな、特に刀を集めておる。			それはきっと、「グルミ・ボルルミ」の奴であろう。貿易で巨万の富を得て、悠々自適に暮らす道楽者じゃ。そいつは、東方の物のコレクターでな、特に刀を集めておる。			海都を震わす人斬りの宴！							
こないだも、由緒ある銘刀とやらを自慢しながら、人を斬ってみたいとぼやいておったが……まさか実行するとはな。昔から趣味の悪い奴だったものの、ついに一線を越えよったか……。			こないだも、由緒ある銘刀とやらを自慢しながら、人を斬ってみたいとぼやいておったが……まさか実行するとはな。昔から趣味の悪い奴だったものの、ついに一線を越えよったか……。			海都を震わす人斬りの宴！							
その者で間違いなさそうだな。おのれ、道楽で人を斬るとは、まさしく鬼畜の所業……。			その者で間違いなさそうだな。おのれ、道楽で人を斬るとは、まさしく鬼畜の所業……。			海都を震わす人斬りの宴！							
ゲゲルジュ殿、一度は疑ってしまったこと、誠にあいすまぬ。どうか、その不届き者の居場所を教えてもらえぬか？			ゲゲルジュ殿、一度は疑ってしまったこと、誠にあいすまぬ。どうか、その不届き者の居場所を教えてもらえぬか？			海都を震わす人斬りの宴！							
奴は船に住んでおってな、しばらくはこの辺りに投錨していたが、そろそろ、場所を変えるとか言っていたのう。			奴は船に住んでおってな、しばらくはこの辺りに投錨していたが、そろそろ、場所を変えるとか言っていたのう。			海都を震わす人斬りの宴！							
船か、乗り込むのは難しそうだな。でも、今逃してしまうと、もっと困難なことに……。			船か、乗り込むのは難しそうだな。でも、今逃してしまうと、もっと困難なことに……。			海都を震わす人斬りの宴！							
ぬほほほほ、ちょうどよかったのう～。実はワシのもとに、そのグルミ・ボルルミから、船上で開かれる「宴の招待状」が届いておったところなのじゃ。			ぬほほほほ、ちょうどよかったのう～。実はワシのもとに、そのグルミ・ボルルミから、船上で開かれる「宴の招待状」が届いておったところなのじゃ。			海都を震わす人斬りの宴！							
どうせ行くつもりもなかったので、その招待状をやろう。船着場で待っている、「グルミ・ボルルミの従者」に渡すがいい。			どうせ行くつもりもなかったので、その招待状をやろう。船着場で待っている、「グルミ・ボルルミの従者」に渡すがいい。			海都を震わす人斬りの宴！							
冒険者殿に借りを返すためにも、その招待状をやろう。船着場で待っている、「グルミ・ボルルミの従者」に渡すがいい。			冒険者殿に借りを返すためにも、その招待状をやろう。船着場で待っている、「グルミ・ボルルミの従者」に渡すがいい。			海都を震わす人斬りの宴！							
そこの興行師にでも、ワシの変装をさせれば、気付かれずに、他の者も従者として船に乗り込めるであろう。奴は厄介な商売敵でもある、片付けてもらえば、こちらも助かる。			そこの興行師にでも、ワシの変装をさせれば、気付かれずに、他の者も従者として船に乗り込めるであろう。奴は厄介な商売敵でもある、片付けてもらえば、こちらも助かる。			海都を震わす人斬りの宴！							
かたじけない、恩に着る。では、モモジゴには変装をしてもらい、船着場へと向かおう。			かたじけない、恩に着る。では、モモジゴには変装をしてもらい、船着場へと向かおう。			海都を震わす人斬りの宴！							
もしかして……また、俺が危険な目に遭うんじゃないか……？			もしかして……また、俺が危険な目に遭うんじゃないか……？			海都を震わす人斬りの宴！							
なかなか、風光明媚な眺めじゃな。紅玉海を思い出すわい……。			なかなか、風光明媚な眺めじゃな。紅玉海を思い出すわい……。			海都を震わす人斬りの宴！							
ぬほほほほほ、船上の宴とはまた、高まるのう～！……似てる？			ぬほほほほほ、船上の宴とはまた、高まるのう～！……似てる？			海都を震わす人斬りの宴！							
「宴の招待状」を、船着場で待っている、「グルミ・ボルルミの従者」に渡すがいい。奴は厄介な商売敵でもある、片付けてもらえば、こちらも助かる。			「宴の招待状」を、船着場で待っている、「グルミ・ボルルミの従者」に渡すがいい。奴は厄介な商売敵でもある、片付けてもらえば、こちらも助かる。			海都を震わす人斬りの宴！							
これはこれは、ゲゲルジュ様のお付きの方ですね。それでは、招待状を拝見してもよろしいでしょうか？			これはこれは、ゲゲルジュ様のお付きの方ですね。それでは、招待状を拝見してもよろしいでしょうか？			海都を震わす人斬りの宴！							
……確かに。それでは、グルミ・ボルルミ様の船へとご案内します。			……確かに。それでは、グルミ・ボルルミ様の船へとご案内します。			海都を震わす人斬りの宴！							
さすがはグルミ・ボルルミ殿！宴も東方の趣向を凝らしていて、実にお見事！			さすがはグルミ・ボルルミ殿！宴も東方の趣向を凝らしていて、実にお見事！			海都を震わす人斬りの宴！							
ホッホッホ、こんなものは大したことない。さて、自慢の刀のお披露目といこうかのう……。			ホッホッホ、こんなものは大したことない。さて、自慢の刀のお披露目といこうかのう……。			海都を震わす人斬りの宴！							
これは、ゲゲルジュ殿……よくぞ、いらしてくださった。おやおや、貴方も東方の侍風の用心棒を、雇われたようですな！			これは、ゲゲルジュ殿……よくぞ、いらしてくださった。おやおや、貴方も東方の侍風の用心棒を、雇われたようですな！			海都を震わす人斬りの宴！							
それは、結構、結構。しかし、私の刀のコレクションにはかないますまい！			それは、結構、結構。しかし、私の刀のコレクションにはかないますまい！			海都を震わす人斬りの宴！							
罪なき人々を斬った刀を見せびらかす気か……？鬼畜の沙汰も、ここまでだ。			罪なき人々を斬った刀を見せびらかす気か……？鬼畜の沙汰も、ここまでだ。			海都を震わす人斬りの宴！							
お主、ゲゲルジュではないな……？しかし、どこかで……。			お主、ゲゲルジュではないな……？しかし、どこかで……。			海都を震わす人斬りの宴！							
アンタに斬り殺されかけた者だよ。忘れたとは、言わせねーぜ！			アンタに斬り殺されかけた者だよ。忘れたとは、言わせねーぜ！			海都を震わす人斬りの宴！							
そうか、あの夜の……。フフフ、刀というのはな、眺めるだけより使うほうが、何倍も愉しめると気付いてしまってのう……。			そうか、あの夜の……。フフフ、刀というのはな、眺めるだけより使うほうが、何倍も愉しめると気付いてしまってのう……。			海都を震わす人斬りの宴！							
外道め……もはや縄をかける気も失せた。……斬捨御免。			外道め……もはや縄をかける気も失せた。……斬捨御免。			海都を震わす人斬りの宴！							
善良な市民の宴に押しかけて、脅しをかけるというのか？よかろう、私の用心棒と手合せしてもらおう。余興には持ってこいだ……表へ出よ。			善良な市民の宴に押しかけて、脅しをかけるというのか？よかろう、私の用心棒と手合せしてもらおう。余興には持ってこいだ……表へ出よ。			海都を震わす人斬りの宴！							
出あえ、オスティルグレイン！			出あえ、オスティルグレイン！			海都を震わす人斬りの宴！							
……刀の握り方がなっとらん。格好だけの偽者と見た。			……刀の握り方がなっとらん。格好だけの偽者と見た。			海都を震わす人斬りの宴！							
偽者も本物もあるもんか。侍ってのは、刀を持った剣術士のことだろう？俺は剣術を極めたんだ、この銘刀の斬れ味を試してやるぜ。			偽者も本物もあるもんか。侍ってのは、刀を持った剣術士のことだろう？俺は剣術を極めたんだ、この銘刀の斬れ味を試してやるぜ。			海都を震わす人斬りの宴！							
やれやれ……。Forename殿、本物の侍の違いを見せてやろうぞ。			やれやれ……。Forename殿、本物の侍の違いを見せてやろうぞ。			海都を震わす人斬りの宴！							
いや待て……すぐ終わってしまってはつまらん。お主の出番は最後にとっておこう。うってつけの前座を呼んでやる。			いや待て……すぐ終わってしまってはつまらん。お主の出番は最後にとっておこう。うってつけの前座を呼んでやる。			海都を震わす人斬りの宴！							
さあ、我らは高みの見物といこう。			さあ、我らは高みの見物といこう。			海都を震わす人斬りの宴！							
ほう……ではワシも下がるとしよう。偽者どもなんぞ、Forename殿、お主ひとりで充分じゃろう。			ほう……ではワシも下がるとしよう。偽者どもなんぞ、Forename殿、お主ひとりで充分じゃろう。			海都を震わす人斬りの宴！							
者ども、この曲者を斬り捨てぇい！			者ども、この曲者を斬り捨てぇい！			海都を震わす人斬りの宴！							
やっと追い詰めたぞ。船を捨ててまで逃げおって、この卑怯者めが……観念せい。			やっと追い詰めたぞ。船を捨ててまで逃げおって、この卑怯者めが……観念せい。			海都を震わす人斬りの宴！							
わ、私の部下を全滅させるとは……。お主ら、いったい何者……？			わ、私の部下を全滅させるとは……。お主ら、いったい何者……？			海都を震わす人斬りの宴！							
我が名はムソウサイ、そして、この者は我が弟子Forename殿。人の姿をした浮世の鬼に、天誅を下しに参った侍である。			我が名はムソウサイ、そして、この者は我が弟子Forename殿。人の姿をした浮世の鬼に、天誅を下しに参った侍である。			海都を震わす人斬りの宴！							
ムソウサイ……どこかで聞いたような……。ハッ、東方で刀を買い付けるときに聞いた、伝説の剣豪の名ではないか！　どおりでかなわぬわけだ……！			ムソウサイ……どこかで聞いたような……。ハッ、東方で刀を買い付けるときに聞いた、伝説の剣豪の名ではないか！　どおりでかなわぬわけだ……！			海都を震わす人斬りの宴！							
え、ええい、いくら剣豪といえども、私の持つ銘刀の切れ味にはかなうまい……！			え、ええい、いくら剣豪といえども、私の持つ銘刀の切れ味にはかなうまい……！			海都を震わす人斬りの宴！							
お主もこの刃の餌食となるがいいッ！！			お主もこの刃の餌食となるがいいッ！！			海都を震わす人斬りの宴！							
罪なき人々を殺めておいて、反省の色ひとつないとはな……。よんどころなし……斬る。			罪なき人々を殺めておいて、反省の色ひとつないとはな……。よんどころなし……斬る。			海都を震わす人斬りの宴！							
このような者、Forename殿には斬らせたくもない、ワシの務めじゃ……。			このような者、Forename殿には斬らせたくもない、ワシの務めじゃ……。			海都を震わす人斬りの宴！							
さて、思わぬエセ侍との戦いになったが、冒険者殿にとっては役不足であったろうな。			さて、思わぬエセ侍との戦いになったが、冒険者殿にとっては役不足であったろうな。			海都を震わす人斬りの宴！							
侍にとって、最もよい修行となるのは、実力が拮抗する侍と、剣を交えることなのだ。しかし、この地には、なかなかおらんのが難点じゃのう……。			侍にとって、最もよい修行となるのは、実力が拮抗する侍と、剣を交えることなのだ。しかし、この地には、なかなかおらんのが難点じゃのう……。			海都を震わす人斬りの宴！							
ふう、解決したね。それにしても、爺さん、アンタすげー人らしいな？			ふう、解決したね。それにしても、爺さん、アンタすげー人らしいな？			海都を震わす人斬りの宴！							
なあに、昔の話じゃ。今は気ままな、隠居の老いぼれよ……。			なあに、昔の話じゃ。今は気ままな、隠居の老いぼれよ……。			海都を震わす人斬りの宴！							
グルミ・ボルルミの奴を片付けてくれたか。越えてはならん一線を越えたのだ、当然の報いよの……。			グルミ・ボルルミの奴を片付けてくれたか。越えてはならん一線を越えたのだ、当然の報いよの……。			海都を震わす人斬りの宴！							
この後始末は、任せておくがいい。ワシの私有地で起こったこと……外には漏らさぬ。			この後始末は、任せておくがいい。ワシの私有地で起こったこと……外には漏らさぬ。			海都を震わす人斬りの宴！							
何から何まで、かたじけない、恩に着る。			何から何まで、かたじけない、恩に着る。			海都を震わす人斬りの宴！							
これにて一件落着。悪の蔓延る世は栄え……			これにて一件落着。悪の蔓延る世は栄え……			海都を震わす人斬りの宴！							
爺さんっ！　大丈夫かっ！？			爺さんっ！　大丈夫かっ！？			海都を震わす人斬りの宴！							
ああ……案ずるでない。少し、疲れたまで……歳は取りたくないのう……。			ああ……案ずるでない。少し、疲れたまで……歳は取りたくないのう……。			海都を震わす人斬りの宴！							
さあ、次の都へ向かおう。風の向くまま、気の向くまま……。			さあ、次の都へ向かおう。風の向くまま、気の向くまま……。			海都を震わす人斬りの宴！							
ほう、どうも森の方に風が向いているようだ。モモジゴよ、森の都へと参ろうぞ。			ほう、どうも森の方に風が向いているようだ。モモジゴよ、森の都へと参ろうぞ。			海都を震わす人斬りの宴！							
森都といえば、グ、「グリダニア」か。あそこは……まあ、いいや、向かおうか。			森都といえば、グ、「グリダニア」か。あそこは……まあ、いいや、向かおうか。			海都を震わす人斬りの宴！							
ハ、ハハハ……あ、相変わらずいい街だね。			ハ、ハハハ……あ、相変わらずいい街だね。			海都を震わす人斬りの宴！							
グルミ・ボルルミの奴は、越えてはならん一線を越えたのだ、当然の報いよ……。			グルミ・ボルルミの奴は、越えてはならん一線を越えたのだ、当然の報いよ……。			海都を震わす人斬りの宴！							
森と調和した、素晴らしき街ではないか。しかし、そんな街にも隠れた悪はいるもの。ワシらが探り当てるまで、お主は己で鍛錬を積んでおいてくれ。			森と調和した、素晴らしき街ではないか。しかし、そんな街にも隠れた悪はいるもの。ワシらが探り当てるまで、お主は己で鍛錬を積んでおいてくれ。			海都を震わす人斬りの宴！							
さ、さっそく、俺、この街の悪を探すため、情報収集に行ってくるよ～！			さ、さっそく、俺、この街の悪を探すため、情報収集に行ってくるよ～！			海都を震わす人斬りの宴！							
赤誠組屯所のマコトは、困惑しているようだ。			赤誠組屯所のマコトは、困惑しているようだ。			ベッコウ島の決闘							
マコトと話した。彼女と冒険者に不信感が募り、赤誠組隊士たちが去ってしまったという。マコトから隊士たちを集めてくるよう頼まれた。クガネの街中にいる赤誠組隊士たちと話そう。			マコトと話した。彼女と冒険者に不信感が募り、赤誠組隊士たちが去ってしまったという。マコトから隊士たちを集めてくるよう頼まれた。クガネの街中にいる赤誠組隊士たちと話そう。			ベッコウ島の決闘							
赤誠組隊士たちと話した。赤誠組屯所の「マコト」に報告しよう。			赤誠組隊士たちと話した。赤誠組屯所の「マコト」に報告しよう。			ベッコウ島の決闘							
マコトに報告した。赤誠組隊士たちは、ムソウサイが世直しの旅をしていたことを知り考えを改める。モモジゴが現れ、得意の口上でマコトへの不信も払拭された。ウゲツ一派との決戦に向かうことになった。紅玉海のベッコウ島へ向かった「マコト」と合流しよう。			マコトに報告した。赤誠組隊士たちは、ムソウサイが世直しの旅をしていたことを知り考えを改める。モモジゴが現れ、得意の口上でマコトへの不信も払拭された。ウゲツ一派との決戦に向かうことになった。紅玉海のベッコウ島へ向かった「マコト」と合流しよう。			ベッコウ島の決闘							
マコトと合流した。冒険者はウゲツを死闘の果てに倒し、指導者を失ったウゲツ一派の侍たちは、去っていった。紅玉海のウゲツを包囲しよう。			マコトと合流した。冒険者はウゲツを死闘の果てに倒し、指導者を失ったウゲツ一派の侍たちは、去っていった。紅玉海のウゲツを包囲しよう。			ベッコウ島の決闘							
マコトはウゲツにとどめをさした。これにて、一件落着のようだ。クガネの赤誠組屯所へ戻った「マコト」と話そう。			マコトはウゲツにとどめをさした。これにて、一件落着のようだ。クガネの赤誠組屯所へ戻った「マコト」と話そう。			ベッコウ島の決闘							
マコトと話した。赤誠組隊士たちのほとんどが、ムソウサイの世直しの旅の影響で侍になったようだ。悪を成敗し平和を護るという、ムソウサイから教わった侍の大義。それは、ひんがしの国の侍たちにも確かに伝わっているのだった。これからも、侍の道を踏み外すことなく歩んでいこう。※以下の条件を満たすと、赤誠組屯所のマコトから、新たなジョブクエストを受注することができます。1.「漆黒のヴィランズ」のプレイ権を所有している。2.「メインクエスト：漆黒のヴィランズ」の、　「漆黒のヴィランズ」を完了する。3.ファイター系DPSロールの「ロールクエスト 漆黒編」を完了する。			マコトと話した。赤誠組隊士たちのほとんどが、ムソウサイの世直しの旅の影響で侍になったようだ。悪を成敗し平和を護るという、ムソウサイから教わった侍の大義。それは、ひんがしの国の侍たちにも確かに伝わっているのだった。これからも、侍の道を踏み外すことなく歩んでいこう。※以下の条件を満たすと、赤誠組屯所のマコトから、新たなジョブクエストを受注することができます。1.「漆黒のヴィランズ」のプレイ権を所有している。2.「メインクエスト：漆黒のヴィランズ」の、　「漆黒のヴィランズ」を完了する。3.ファイター系DPSロールの「ロールクエスト 漆黒編」を完了する。			ベッコウ島の決闘							
赤誠組隊士たちと話す			赤誠組隊士たちと話す			ベッコウ島の決闘							
マコトに報告			マコトに報告			ベッコウ島の決闘							
ベッコウ島のマコトと合流			ベッコウ島のマコトと合流			ベッコウ島の決闘							
クガネのマコトと話す			クガネのマコトと話す			ベッコウ島の決闘							
Forename殿……。恐れていたことが、現実となってしまいました。赤誠組の隊士たちが……次々と屯所から去っていったのです。			Forename殿……。恐れていたことが、現実となってしまいました。赤誠組の隊士たちが……次々と屯所から去っていったのです。			ベッコウ島の決闘							
私がウゲツの妹であり、貴方がムソウサイ様の弟子であることが、知られたため、不信感が募ってしまったようです。			私がウゲツの妹であり、貴方がムソウサイ様の弟子であることが、知られたため、不信感が募ってしまったようです。			ベッコウ島の決闘							
決戦を目前にしての兵力減少……。このままでは、ウゲツ一派に勝てません。なんとか、離れていった隊士たちを呼び戻さねば……。			決戦を目前にしての兵力減少……。このままでは、ウゲツ一派に勝てません。なんとか、離れていった隊士たちを呼び戻さねば……。			ベッコウ島の決闘							
私がウゲツの妹なのはどうしようもありませんが……。貴方の師、ムソウサイ様の誤解だけでも解ければ、戻ってきてもらえるかもしれない。			私がウゲツの妹なのはどうしようもありませんが……。貴方の師、ムソウサイ様の誤解だけでも解ければ、戻ってきてもらえるかもしれない。			ベッコウ島の決闘							
今一度、私から隊士たちを説得してみようと思います。そこで、皆を集めるのに力を貸していただきたい。			今一度、私から隊士たちを説得してみようと思います。そこで、皆を集めるのに力を貸していただきたい。			ベッコウ島の決闘							
屯所周辺と街の北側は、私が回ります。お手数ですがForename殿は南側を回り、「赤誠組の隊士」たちを集めてきてくださいませんか？			屯所周辺と街の北側は、私が回ります。お手数ですがForename殿は南側を回り、「赤誠組の隊士」たちを集めてきてくださいませんか？			ベッコウ島の決闘							
貴方は……マコトさんが連れてきた異国の侍ですね？罪人ムソウサイの弟子と話すことなどありませんが……。			貴方は……マコトさんが連れてきた異国の侍ですね？罪人ムソウサイの弟子と話すことなどありませんが……。			ベッコウ島の決闘							
局長代理から弁明があるというなら、一応、耳に入れておきますかね……。			局長代理から弁明があるというなら、一応、耳に入れておきますかね……。			ベッコウ島の決闘							
あんたは、シデンを討った異国の侍だな？あの副局長をも凌駕する腕前は認めるけどな、それもこれも、卑怯者のムソウサイから得たものだろ……。			あんたは、シデンを討った異国の侍だな？あの副局長をも凌駕する腕前は認めるけどな、それもこれも、卑怯者のムソウサイから得たものだろ……。			ベッコウ島の決闘							
局長代理がお呼びだってか？ケッ、ウゲツの妹が今さらなんだってんだ。まあ、どうしてもってんなら……行ってやるけどよ。			局長代理がお呼びだってか？ケッ、ウゲツの妹が今さらなんだってんだ。まあ、どうしてもってんなら……行ってやるけどよ。			ベッコウ島の決闘							
な、なんだよ……？僕は別に、ふたりのことは疑ってないさ。でも、どうしても共闘する気になれないんだ……。			な、なんだよ……？僕は別に、ふたりのことは疑ってないさ。でも、どうしても共闘する気になれないんだ……。			ベッコウ島の決闘							
局長代理から話があるって？気持ちは変わらないと思うけど、聞いてみるよ……。			局長代理から話があるって？気持ちは変わらないと思うけど、聞いてみるよ……。			ベッコウ島の決闘							
いったい局長代理は、どう弁明する気なんですかね……。			いったい局長代理は、どう弁明する気なんですかね……。			ベッコウ島の決闘							
くだらねぇ言い訳だったら、すぐに帰ってやるぜ。			くだらねぇ言い訳だったら、すぐに帰ってやるぜ。			ベッコウ島の決闘							
なんだか、バツが悪いんだよなぁ……。			なんだか、バツが悪いんだよなぁ……。			ベッコウ島の決闘							
お手数をおかけしました。それでは、皆の説得を試みてみます。			お手数をおかけしました。それでは、皆の説得を試みてみます。			ベッコウ島の決闘							
