巴術士ギルドのトゥビルゲイムは、冒険者に任せたい仕事があるようだ。			巴術士ギルドのトゥビルゲイムは、冒険者に任せたい仕事があるようだ。			業火の召喚獣							
「召喚士」の新たなジョブクエストが開始されました。次のクエストは「レベル63」以上で、アプカル滝のヤ・ミトラから受注可能です。			「召喚士」の新たなジョブクエストが開始されました。次のクエストは「レベル63」以上で、アプカル滝のヤ・ミトラから受注可能です。			時を超えし使者							
今後の「召喚士」のジョブクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「召喚士」のジョブクエスト受注条件は、コンプリート後のジャーナルで確認できます。			時を超えし使者							
不滅隊：作戦本部のダンシング・ウルフ大闘士は、沈痛な面持ちで冒険者を待っている。			不滅隊：作戦本部のダンシング・ウルフ大闘士は、沈痛な面持ちで冒険者を待っている。			その真相は							
ダンシング・ウルフ大闘士によると、トリスタンの犯行らしき襲撃事件がまた起きてしまったそうだ。被害者から話を聞きに行かなければ。中央ザナラーンのナナワ銀山の「襲われた鉱員」と話そう。			ダンシング・ウルフ大闘士によると、トリスタンの犯行らしき襲撃事件がまた起きてしまったそうだ。被害者から話を聞きに行かなければ。中央ザナラーンのナナワ銀山の「襲われた鉱員」と話そう。			その真相は							
情報を聞くために、襲われた鉱員の仕事を手伝うことになった。ナナワ銀山で「スプリガンの痕跡」を調べて、魔物から「紅銀鉱」を入手しよう。			情報を聞くために、襲われた鉱員の仕事を手伝うことになった。ナナワ銀山で「スプリガンの痕跡」を調べて、魔物から「紅銀鉱」を入手しよう。			その真相は							
スプリガンから紅銀鉱を取り返した。ナナワ銀山の「襲われた鉱員」に「紅銀鉱」を渡そう。			スプリガンから紅銀鉱を取り返した。ナナワ銀山の「襲われた鉱員」に「紅銀鉱」を渡そう。			その真相は							
襲われた鉱員から襲撃事件の話を聞いた。どうやら、トリスタンらしき犯人はクリスタルを狙っているようだ。不滅隊：作戦本部の「ダンシング・ウルフ大闘士」と話そう。			襲われた鉱員から襲撃事件の話を聞いた。どうやら、トリスタンらしき犯人はクリスタルを狙っているようだ。不滅隊：作戦本部の「ダンシング・ウルフ大闘士」と話そう。			その真相は							
ダンシング・ウルフが他の襲撃事件を調べ直した所、すべての事件でクリスタルが奪われていた。犯人の目的は、蛮神の召喚だったのだ。召喚士狩りという歴史を繰り返させないために、トリスタンに負けない力を蓄えておこう。※召喚士のレベルが56以上になると、不滅隊：作戦本部のダンシング・ウルフ大闘士から次の召喚士クエストを受注することができます。			ダンシング・ウルフが他の襲撃事件を調べ直した所、すべての事件でクリスタルが奪われていた。犯人の目的は、蛮神の召喚だったのだ。召喚士狩りという歴史を繰り返させないために、トリスタンに負けない力を蓄えておこう。※召喚士のレベルが56以上になると、不滅隊：作戦本部のダンシング・ウルフ大闘士から次の召喚士クエストを受注することができます。			その真相は							
ナナワ銀山の襲われた鉱員と話す			ナナワ銀山の襲われた鉱員と話す			その真相は							
スプリガンの痕跡を調べて魔物から紅銀鉱を入手			スプリガンの痕跡を調べて魔物から紅銀鉱を入手			その真相は							
襲われた鉱員に紅銀鉱を渡す			襲われた鉱員に紅銀鉱を渡す			その真相は							
不滅隊：作戦本部のダンシング・ウルフ大闘士と話す			不滅隊：作戦本部のダンシング・ウルフ大闘士と話す			その真相は							
来てくれたか……！不滅隊に情報が入ってきた……ただ、こちらの望まぬ形でな。そう、ふたたび襲撃事件が起きてしまったのだ……！			来てくれたか……！不滅隊に情報が入ってきた……ただ、こちらの望まぬ形でな。そう、ふたたび襲撃事件が起きてしまったのだ……！			その真相は							
調査報告に目を通したが、トリスタンの犯行の可能性が高い。ヤ・ミトラの嬢ちゃんには、俺から連絡しておく。現場の「ナナワ銀山」で、鉱員から話を聞こう……！			調査報告に目を通したが、トリスタンの犯行の可能性が高い。ヤ・ミトラの嬢ちゃんには、俺から連絡しておく。現場の「ナナワ銀山」で、鉱員から話を聞こう……！			その真相は							
嬢ちゃんも、すぐに来るそうだ。しかし、この鉱員……。			嬢ちゃんも、すぐに来るそうだ。しかし、この鉱員……。			その真相は							
少しだけ調べたいことがあるの。悪いけど、先に向っておいて……。			少しだけ調べたいことがあるの。悪いけど、先に向っておいて……。			その真相は							
また、調査ってかあ？もう事情聴取は勘弁してくれよ……。その度に仕事中断させられて、納期過ぎちまってんだぜ？			また、調査ってかあ？もう事情聴取は勘弁してくれよ……。その度に仕事中断させられて、納期過ぎちまってんだぜ？			その真相は							
そうだな、話が聞きたいってんなら、協力的姿勢を見せてもらわねえとなあ……。例えば、そっちのオッサンには、鉱石を運搬してもらうとか！			そうだな、話が聞きたいってんなら、協力的姿勢を見せてもらわねえとなあ……。例えば、そっちのオッサンには、鉱石を運搬してもらうとか！			その真相は							
姉ちゃん兄ちゃんは、魔法使いか？さっきスプリガンどもに、稀少な「紅銀鉱」を奪われちまってよ。そいつを取り返してきてくれ！			姉ちゃん兄ちゃんは、魔法使いか？さっきスプリガンどもに、稀少な「紅銀鉱」を奪われちまってよ。そいつを取り返してきてくれ！			その真相は							
ちょっと待て、俺たちに仕事を手伝えというのか！？			ちょっと待て、俺たちに仕事を手伝えというのか！？			その真相は							
だーかーらー、協力的姿勢を見せてほしいのさあ。俺は仕事を手伝ってもらえて、時間のロスを軽減できる。あんたらは情報を得ることができる……文句ないだろう？			だーかーらー、協力的姿勢を見せてほしいのさあ。俺は仕事を手伝ってもらえて、時間のロスを軽減できる。あんたらは情報を得ることができる……文句ないだろう？			その真相は							
……仕方ない、すまんが、Forename。この付近を探して、その「紅銀鉱」とやらを、スプリガンどもから取り返してきてくれ……！			……仕方ない、すまんが、Forename。この付近を探して、その「紅銀鉱」とやらを、スプリガンどもから取り返してきてくれ……！			その真相は							
スプリガンどもに「紅銀鉱」を奪われちまったんだ。まだ、その辺をうろついてるはずだからよ。そいつを取り返してきてくれ！			スプリガンどもに「紅銀鉱」を奪われちまったんだ。まだ、その辺をうろついてるはずだからよ。そいつを取り返してきてくれ！			その真相は							
ぬう……なあに、不滅隊の教練に比べれば、これしき……！			ぬう……なあに、不滅隊の教練に比べれば、これしき……！			その真相は							
よう、姉ちゃん兄ちゃん！「紅銀鉱」は取り返せたかいー？			よう、姉ちゃん兄ちゃん！「紅銀鉱」は取り返せたかいー？			その真相は							
おっ、数もバッチリだな！いやあ、助かったぜー！			おっ、数もバッチリだな！いやあ、助かったぜー！			その真相は							
遅くなって、ごめんなさい……！……ダンシング・ウルフ大闘士、なんだか疲れていない？			遅くなって、ごめんなさい……！……ダンシング・ウルフ大闘士、なんだか疲れていない？			その真相は							
……何でもない。それより、話を聞かせてくれ。			……何でもない。それより、話を聞かせてくれ。			その真相は							
ああ、銀山で作業をしてたら、ローブの男が現れたんだ。いきなり、炎をぶっ放す魔物をけしかけて来やがってよ……。			ああ、銀山で作業をしてたら、ローブの男が現れたんだ。いきなり、炎をぶっ放す魔物をけしかけて来やがってよ……。			その真相は							
炎の魔物……Forename、イフリート・エギを……！			炎の魔物……Forename、イフリート・エギを……！			その真相は							
うわっ、スゲー！ローブの男が命令してた炎の魔物と同じだ！			うわっ、スゲー！ローブの男が命令してた炎の魔物と同じだ！			その真相は							
やはりね……。ところで、ローブの男が襲ってきたときは、どんな仕事をしていたの？			やはりね……。ところで、ローブの男が襲ってきたときは、どんな仕事をしていたの？			その真相は							
ああ、ナナワ銀山では、鉱石だけじゃなくて、クリスタルも産出するんだけどよ……。ちょうど、採掘したクリスタルの搬出中だったな。			ああ、ナナワ銀山では、鉱石だけじゃなくて、クリスタルも産出するんだけどよ……。ちょうど、採掘したクリスタルの搬出中だったな。			その真相は							
炎の魔物に襲われて、慌てて逃げ出してさ。その後、戻ってみたら、列車に積んでたクリスタルが、ごっそりなくなってたんだ。			炎の魔物に襲われて、慌てて逃げ出してさ。その後、戻ってみたら、列車に積んでたクリスタルが、ごっそりなくなってたんだ。			その真相は							
クリスタルがなくなっていた……？			クリスタルがなくなっていた……？			その真相は							
ああ、俺が見たのは、それで全部さ。そんじゃ、手伝ってくれてありがとうなー！			ああ、俺が見たのは、それで全部さ。そんじゃ、手伝ってくれてありがとうなー！			その真相は							
待てよ……確か、ドライボーンで聞き込みをしたときも、クリスタルが奪われていた、という話を聞いたような……。			待てよ……確か、ドライボーンで聞き込みをしたときも、クリスタルが奪われていた、という話を聞いたような……。			その真相は							
少し見えてきたかもしれん……！俺は作戦本部に戻って、ほかの事件も洗い出してみる。お前たちも、後から来てくれ！			少し見えてきたかもしれん……！俺は作戦本部に戻って、ほかの事件も洗い出してみる。お前たちも、後から来てくれ！			その真相は							
トリスタンの目的がクリスタルだとしたら……！私たちも「ウルダハ」へ向かいましょう！			トリスタンの目的がクリスタルだとしたら……！私たちも「ウルダハ」へ向かいましょう！			その真相は							
クリスタルが敵の狙いだとしたら、推測できる部分もあるわ。ダンシング・ウルフ大闘士から、話を聞いてみましょう。			クリスタルが敵の狙いだとしたら、推測できる部分もあるわ。ダンシング・ウルフ大闘士から、話を聞いてみましょう。			その真相は							
……思ったとおりだったぞ。襲撃事件に関する資料を見なおしてみたが、すべての事件でクリスタルが持ち去られていた。			……思ったとおりだったぞ。襲撃事件に関する資料を見なおしてみたが、すべての事件でクリスタルが持ち去られていた。			その真相は							
疑似蛮神「召喚獣」を使役する召喚士は、蛮神との関わりがとても深い……。			疑似蛮神「召喚獣」を使役する召喚士は、蛮神との関わりがとても深い……。			その真相は							
そんな人物がクリスタルを狙う理由といえば……やはり、蛮神召喚を目論んでいると考えるべきね。			そんな人物がクリスタルを狙う理由といえば……やはり、蛮神召喚を目論んでいると考えるべきね。			その真相は							
俺はイフリートと戦って、その力をこの身で味わった……。あの圧倒的な力を、味方として利用できる召喚魔法は、大きな可能性を秘めていると思ってる。			俺はイフリートと戦って、その力をこの身で味わった……。あの圧倒的な力を、味方として利用できる召喚魔法は、大きな可能性を秘めていると思ってる。			その真相は							
だが、トリスタンが蛮神召喚なんて暴挙を犯せば……召喚魔法まで有害なものとみなされ、戦術として利用することが難しくなっちまう！			だが、トリスタンが蛮神召喚なんて暴挙を犯せば……召喚魔法まで有害なものとみなされ、戦術として利用することが難しくなっちまう！			その真相は							
アラグの遺物、アラガントームストーンを調べてわかったの。かつて、敵対する蛮神を退けたアラグの召喚士は、一度は英雄と称えられていたわ……。			アラグの遺物、アラガントームストーンを調べてわかったの。かつて、敵対する蛮神を退けたアラグの召喚士は、一度は英雄と称えられていたわ……。			その真相は							
しかし、やがて、その強大な力に溺れて、私利私欲のために、召喚魔法を使う者が現れはじめた……。			しかし、やがて、その強大な力に溺れて、私利私欲のために、召喚魔法を使う者が現れはじめた……。			その真相は							
もちろん、召喚士がみな愚者だったわけではないでしょう。でも、人々の中には「蛮神の力を使うから悪に堕ちる」という、思想が広がってしまった……。			もちろん、召喚士がみな愚者だったわけではないでしょう。でも、人々の中には「蛮神の力を使うから悪に堕ちる」という、思想が広がってしまった……。			その真相は							
そして、人々の恐れが頂点に達したとき、召喚士狩りが行われ、彼らは歴史の表舞台から消えた……。これが、第三星暦の末期に起こった史実よ……。			そして、人々の恐れが頂点に達したとき、召喚士狩りが行われ、彼らは歴史の表舞台から消えた……。これが、第三星暦の末期に起こった史実よ……。			その真相は							
トリスタンが蛮神召喚を行えば、歴史が繰り返されてしまう。俺は、クリスタルの流通経路の警護を見なおしてみる。必ずや、ヤツを止めなければ……！			トリスタンが蛮神召喚を行えば、歴史が繰り返されてしまう。俺は、クリスタルの流通経路の警護を見なおしてみる。必ずや、ヤツを止めなければ……！			その真相は							
Forename。遺物から得られた新たな技の知識を、あなたに授けるわ。トリスタンを捕えるためにも、力を蓄えておいて……！			Forename。遺物から得られた新たな技の知識を、あなたに授けるわ。トリスタンを捕えるためにも、力を蓄えておいて……！			その真相は							
アプカル滝のヤ・ミトラを通じて、プリンキピアから話があるようだ。			アプカル滝のヤ・ミトラを通じて、プリンキピアから話があるようだ。			プリンクの試練							
ヤ・ミトラと話し、第二の試練を受けることになった。北ザナラーンのキャンプ・ブルーフォグにいる「ダンシング・ウルフ大闘士」と話そう。			ヤ・ミトラと話し、第二の試練を受けることになった。北ザナラーンのキャンプ・ブルーフォグにいる「ダンシング・ウルフ大闘士」と話そう。			プリンクの試練							
ダンシング・ウルフ大闘士と話した。第二の試練は「技」の試練。戦いの準備を整えて、北ザナラーンのブルーフォグにいる「クリスピン上等闘兵」と話し、現れた敵を討伐しよう。			ダンシング・ウルフ大闘士と話した。第二の試練は「技」の試練。戦いの準備を整えて、北ザナラーンのブルーフォグにいる「クリスピン上等闘兵」と話し、現れた敵を討伐しよう。			プリンクの試練							
クリスピンとデニースの召喚獣に勝利した。ブルーフォグの「ジャジャサム少闘士」と話し、現れた敵を討伐しよう。			クリスピンとデニースの召喚獣に勝利した。ブルーフォグの「ジャジャサム少闘士」と話し、現れた敵を討伐しよう。			プリンクの試練							
ジャジャサムの召喚獣に勝利した。ブルーフォグの「ジャジャサム少闘士」と再度話し、現れた敵を討伐しよう。			ジャジャサムの召喚獣に勝利した。ブルーフォグの「ジャジャサム少闘士」と再度話し、現れた敵を討伐しよう。			プリンクの試練							
ジャジャサム少闘士の召喚獣に再度勝利した。ブルーフォグの「ダンシング・ウルフ大闘士」と話そう。			ジャジャサム少闘士の召喚獣に再度勝利した。ブルーフォグの「ダンシング・ウルフ大闘士」と話そう。			プリンクの試練							
無事に第二の試練を乗り越えたようだ。グリダニアへ戻り、アプカル滝の「ヤ・ミトラ」と話そう。			無事に第二の試練を乗り越えたようだ。グリダニアへ戻り、アプカル滝の「ヤ・ミトラ」と話そう。			プリンクの試練							
ヤ・ミトラと話した。プリンキピアから最後の試練を受けるため、さらに召喚士としての技を磨いていこう。※召喚士のレベルが65以上になると、アプカル滝のヤ・ミトラから次の召喚士クエストを受注することができます。			ヤ・ミトラと話した。プリンキピアから最後の試練を受けるため、さらに召喚士としての技を磨いていこう。※召喚士のレベルが65以上になると、アプカル滝のヤ・ミトラから次の召喚士クエストを受注することができます。			プリンクの試練							
キャンプ・ブルーフォグのダンシング・ウルフ大闘士と話す			キャンプ・ブルーフォグのダンシング・ウルフ大闘士と話す			プリンクの試練							
クリスピン上等闘兵と話し、敵を討伐			クリスピン上等闘兵と話し、敵を討伐			プリンクの試練							
ジャジャサム少闘士と話し、敵を討伐			ジャジャサム少闘士と話し、敵を討伐			プリンクの試練							
ジャジャサム少闘士と再度話し、敵を討伐			ジャジャサム少闘士と再度話し、敵を討伐			プリンクの試練							
ダンシング・ウルフ大闘士と話す			ダンシング・ウルフ大闘士と話す			プリンクの試練							
グリダニアのヤ・ミトラと話す			グリダニアのヤ・ミトラと話す			プリンクの試練							
元気にやってたか？いまちょっと、ヤ・ミトラの嬢ちゃんを口説いてるとこなんだ。いやいや、変な意味じゃなくて、仕事の話だぞ？			元気にやってたか？いまちょっと、ヤ・ミトラの嬢ちゃんを口説いてるとこなんだ。いやいや、変な意味じゃなくて、仕事の話だぞ？			プリンクの試練							
それはさておき……そこの、ヤバそうな本は何だ！？使い魔だって聞いたが、ほんとに噛みついたりしないんだろうな？			それはさておき……そこの、ヤバそうな本は何だ！？使い魔だって聞いたが、ほんとに噛みついたりしないんだろうな？			プリンクの試練							
おかえりなさいませ、お嬢様ご主人様。こちらがお嬢様ご主人様とヤ・ミトラ様の、共同研究の拠点と伺っております。			おかえりなさいませ、お嬢様ご主人様。こちらがお嬢様ご主人様とヤ・ミトラ様の、共同研究の拠点と伺っております。			プリンクの試練							
いらっしゃい、Forename。第二の試練についてプリンクから話があるそうよ。			いらっしゃい、Forename。第二の試練についてプリンクから話があるそうよ。			プリンクの試練							
おめでとうございます、お嬢様ご主人様は、第二の試練を受けるのにふさわしい段階に到達しました。			おめでとうございます、お嬢様ご主人様は、第二の試練を受けるのにふさわしい段階に到達しました。			プリンクの試練							
ふさわしい段階って……何でわかるの？			ふさわしい段階って……何でわかるの？			プリンクの試練							
エーテル波形を分析することで、お嬢様ご主人様が最近、使用した術の威力や精度がわかります。正確な判定を下すには、試練を受けていただく必要がありますが。			エーテル波形を分析することで、お嬢様ご主人様が最近、使用した術の威力や精度がわかります。正確な判定を下すには、試練を受けていただく必要がありますが。			プリンクの試練							
…………第二の試練は、「技」の試練。限定された条件での戦いぶりを分析するため、対戦相手の召喚士を複数名、お借りしたいのですが……。			…………第二の試練は、「技」の試練。限定された条件での戦いぶりを分析するため、対戦相手の召喚士を複数名、お借りしたいのですが……。			プリンクの試練							
複数の召喚士……？そんなの、簡単に用意できるわけがないでしょう？			複数の召喚士……？そんなの、簡単に用意できるわけがないでしょう？			プリンクの試練							
なあ、嬢ちゃん。ちょうど、俺が乗っかれそうな話になってるじゃないか！			なあ、嬢ちゃん。ちょうど、俺が乗っかれそうな話になってるじゃないか！			プリンクの試練							
Forename、実はな……蛮神との戦いに、召喚士の力を借りようという動きが出ている。お前の評判が、不滅隊のお偉いさんに伝わったんだ！			Forename、実はな……蛮神との戦いに、召喚士の力を借りようという動きが出ている。お前の評判が、不滅隊のお偉いさんに伝わったんだ！			プリンクの試練							
すでに俺の傘下で、駆けだしの召喚士たちが特訓中だ。イフリート討滅戦の生還者から、指折りの猛者を選んで、アシエンから回収したソウルクリスタルを授与してある。			すでに俺の傘下で、駆けだしの召喚士たちが特訓中だ。イフリート討滅戦の生還者から、指折りの猛者を選んで、アシエンから回収したソウルクリスタルを授与してある。			プリンクの試練							
彼らに本格的な稽古をつけたいから、Forenameを借りたいって、この間から、ダンシング・ウルフ大闘士がうるさくってね……。			彼らに本格的な稽古をつけたいから、Forenameを借りたいって、この間から、ダンシング・ウルフ大闘士がうるさくってね……。			プリンクの試練							
どのみち「試練」とやらに、召喚士が必要なんだろう？こっちは全面的に協力する。かわりに、ちょいと俺の部下たちに胸を貸してくれればいいさ！			どのみち「試練」とやらに、召喚士が必要なんだろう？こっちは全面的に協力する。かわりに、ちょいと俺の部下たちに胸を貸してくれればいいさ！			プリンクの試練							
……よいお話に思えますね。新しい召喚士の方々に、私めから基礎を指南することもできますし。			……よいお話に思えますね。新しい召喚士の方々に、私めから基礎を指南することもできますし。			プリンクの試練							
乗るしかないわね……こちらにも益があるのだし。			乗るしかないわね……こちらにも益があるのだし。			プリンクの試練							
決まりだな！北ザナラーンの「キャンプ・ブルーフォグ」で待っているぞ。			決まりだな！北ザナラーンの「キャンプ・ブルーフォグ」で待っているぞ。			プリンクの試練							
そこの3人が、今回の試練に協力してくれる召喚士だそうよ。おたがい怪我のないように、真剣にいきましょう。			そこの3人が、今回の試練に協力してくれる召喚士だそうよ。おたがい怪我のないように、真剣にいきましょう。			プリンクの試練							
よろしくお願いします、お嬢様ご主人様。準備ができしだい、第二の試練を始めさせていただきます。			よろしくお願いします、お嬢様ご主人様。準備ができしだい、第二の試練を始めさせていただきます。			プリンクの試練							
今回は、召喚士どうしの実地訓練のような内容と聞いております。どうぞ、よろしくお願いします。			今回は、召喚士どうしの実地訓練のような内容と聞いております。どうぞ、よろしくお願いします。			プリンクの試練							
特務隊のデニース闘軍曹だよ。今回はよろしく！			特務隊のデニース闘軍曹だよ。今回はよろしく！			プリンクの試練							
ん……オレに用か？まだ、試練は始まっていないよな？			ん……オレに用か？まだ、試練は始まっていないよな？			プリンクの試練							
プリンクの第二の試練は、北ザナラーンの「キャンプ・ブルーフォグ」で行われるわ。			プリンクの第二の試練は、北ザナラーンの「キャンプ・ブルーフォグ」で行われるわ。			プリンクの試練							
ダンシング・ウルフ大闘士には、忙しいForenameに、あなたの部下の訓練まで頼めないわよ、って断っていたのだけどね。			ダンシング・ウルフ大闘士には、忙しいForenameに、あなたの部下の訓練まで頼めないわよ、って断っていたのだけどね。			プリンクの試練							
第二の試練は、「技」の試練。お嬢様ご主人様の動きが、どれだけ洗練されたものかを、確かめさせていただきます……！			第二の試練は、「技」の試練。お嬢様ご主人様の動きが、どれだけ洗練されたものかを、確かめさせていただきます……！			プリンクの試練							
さて……全員そろったな！それでは第二の試練ってヤツの内容を、説明してもらおう。			さて……全員そろったな！それでは第二の試練ってヤツの内容を、説明してもらおう。			プリンクの試練							
はい。先にも申しましたとおり、この試練は「技」の試練。単純な魔力の強さではなく、技術的成熟度を評価するものです。			はい。先にも申しましたとおり、この試練は「技」の試練。単純な魔力の強さではなく、技術的成熟度を評価するものです。			プリンクの試練							
3人の召喚士の召喚獣に、私めが特別な補助魔法を付与します。お嬢様ご主人様は、彼らの召喚獣と戦ってください。			3人の召喚士の召喚獣に、私めが特別な補助魔法を付与します。お嬢様ご主人様は、彼らの召喚獣と戦ってください。			プリンクの試練							
補助魔法で、詳細な戦闘記録を保存できるらしいわ。分析して、あなたの技の洗練度を測るんだって。何だか魔法大学の実証試験じみてきたけど、がんばってね……！			補助魔法で、詳細な戦闘記録を保存できるらしいわ。分析して、あなたの技の洗練度を測るんだって。何だか魔法大学の実証試験じみてきたけど、がんばってね……！			プリンクの試練							
それでは、3人から自己紹介してもらおう！全員、特務隊の俺の部下たちだ。			それでは、3人から自己紹介してもらおう！全員、特務隊の俺の部下たちだ。			プリンクの試練							
クリスピン上等闘兵と申します。何やら知的興味をそそられる試練ですね。Forenameさん、どうぞよろしく。			クリスピン上等闘兵と申します。何やら知的興味をそそられる試練ですね。Forenameさん、どうぞよろしく。			プリンクの試練							
デニース闘軍曹だよ。召喚士としちゃ新米だけど、実戦経験はそれなりのつもりさ！今回はクリスピンと、二人一組で対戦させてもらうよ。			デニース闘軍曹だよ。召喚士としちゃ新米だけど、実戦経験はそれなりのつもりさ！今回はクリスピンと、二人一組で対戦させてもらうよ。			プリンクの試練							
ジャジャサム少闘士だ。あんたが、噂に名高いForenameか……。お手柔らかに頼むぜ！			ジャジャサム少闘士だ。あんたが、噂に名高いForenameか……。お手柔らかに頼むぜ！			プリンクの試練							
では、それぞれ所定の位置へ！Forename、準備ができたら、まずは、「クリスピン上等闘兵」とデニース闘軍曹の組に声をかけてくれ。			では、それぞれ所定の位置へ！Forename、準備ができたら、まずは、「クリスピン上等闘兵」とデニース闘軍曹の組に声をかけてくれ。			プリンクの試練							
その次は、「ジャジャサム少闘士」の召喚獣との対戦になる。連戦だ、締めてかかれよ！			その次は、「ジャジャサム少闘士」の召喚獣との対戦になる。連戦だ、締めてかかれよ！			プリンクの試練							
Forename、準備ができたら、まずは、「クリスピン上等闘兵」とデニース闘軍曹の組に声をかけてくれ。			Forename、準備ができたら、まずは、「クリスピン上等闘兵」とデニース闘軍曹の組に声をかけてくれ。			プリンクの試練							
まずは、あたしたちの召喚獣が相手だよ！準備万端整ったら、クリスピンに声をかけて！			まずは、あたしたちの召喚獣が相手だよ！準備万端整ったら、クリスピンに声をかけて！			プリンクの試練							
……まずはお手並み拝見だな。あんたの戦いぶり、じっくり見せてもらうぜ。			……まずはお手並み拝見だな。あんたの戦いぶり、じっくり見せてもらうぜ。			プリンクの試練							
いま、北ザナラーンの「ブルーフォグ」で、第二の試練をやっているところよ。			いま、北ザナラーンの「ブルーフォグ」で、第二の試練をやっているところよ。			プリンクの試練							
お嬢様ご主人様、第二の試練の舞台は、北ザナラーンの「ブルーフォグ」でございます。			お嬢様ご主人様、第二の試練の舞台は、北ザナラーンの「ブルーフォグ」でございます。			プリンクの試練							
それでは、いきますよ？僕とデニース闘軍曹の召喚する、イフリート・エギが相手です！			それでは、いきますよ？僕とデニース闘軍曹の召喚する、イフリート・エギが相手です！			プリンクの試練							
ハハッ！2体同時に、相手できるかな！			ハハッ！2体同時に、相手できるかな！			プリンクの試練							
さすがだな！次は「ジャジャサム少闘士」に声をかけて、試練を続けてくれ。			さすがだな！次は「ジャジャサム少闘士」に声をかけて、試練を続けてくれ。			プリンクの試練							
補助魔法で、少しは強化されていたはずだけど……さすがに相手にならなかったわね。			補助魔法で、少しは強化されていたはずだけど……さすがに相手にならなかったわね。			プリンクの試練							
お嬢様ご主人様、おみごとでございます。それでは、試練を続行いたしましょう。			お嬢様ご主人様、おみごとでございます。それでは、試練を続行いたしましょう。			プリンクの試練							
完敗でした……。鮮やかな手並み、思わず見とれてしまいました。			完敗でした……。鮮やかな手並み、思わず見とれてしまいました。			プリンクの試練							
……こりゃ、負けても仕方ないね。悔しくないって言えば、嘘になるけどさ！			……こりゃ、負けても仕方ないね。悔しくないって言えば、嘘になるけどさ！			プリンクの試練							
クリスピンとデニースじゃ、話にならなかったか。悪いがオレの呼びだす召喚獣は、あいつらふたりのを合わせたより、ずっと強いぜ？			クリスピンとデニースじゃ、話にならなかったか。悪いがオレの呼びだす召喚獣は、あいつらふたりのを合わせたより、ずっと強いぜ？			プリンクの試練							
いくぜ！こいつがホンモノの……イフリート・エギだ！			いくぜ！こいつがホンモノの……イフリート・エギだ！			プリンクの試練							
次の相手も「ジャジャサム少闘士」の召喚獣だぞ。あいつは負けずぎらいで、加減を知らないからな。油断はするなよ！			次の相手も「ジャジャサム少闘士」の召喚獣だぞ。あいつは負けずぎらいで、加減を知らないからな。油断はするなよ！			プリンクの試練							
Forenameが一枚上だったけど、今度のイフリート・エギは、なかなか強力だったわね。			Forenameが一枚上だったけど、今度のイフリート・エギは、なかなか強力だったわね。			プリンクの試練							
お嬢様ご主人様、おつかれではありませんか？充分に休息を取ってから、対戦に臨んでください。			お嬢様ご主人様、おつかれではありませんか？充分に休息を取ってから、対戦に臨んでください。			プリンクの試練							
ジャジャサム少闘士の召喚獣も、やられましたか……。もう誰も敵いませんね。			ジャジャサム少闘士の召喚獣も、やられましたか……。もう誰も敵いませんね。			プリンクの試練							
まだ終わりじゃないよ。ジャジャサムは、やる気みたいだ！			まだ終わりじゃないよ。ジャジャサムは、やる気みたいだ！			プリンクの試練							
チッ……認めるよ。オレの召喚獣の負け……それも惨敗だってな！			チッ……認めるよ。オレの召喚獣の負け……それも惨敗だってな！			プリンクの試練							
だがこの程度じゃ、あんたの「試練」にならないだろ？さいわいオレは、むかし海雄旅団にいて、イフリート以外の蛮神とも、戦ったことがあるんだ。			だがこの程度じゃ、あんたの「試練」にならないだろ？さいわいオレは、むかし海雄旅団にいて、イフリート以外の蛮神とも、戦ったことがあるんだ。			プリンクの試練							
そう……複数の召喚獣を使役できるのは、あんただけじゃねえのさ！Forename、あんたの最後の相手は、このタイタン・エギだ！			そう……複数の召喚獣を使役できるのは、あんただけじゃねえのさ！Forename、あんたの最後の相手は、このタイタン・エギだ！			プリンクの試練							
海雄旅団あがりの隊士がいたなんて、驚きね。いずれ、いい召喚士になるんじゃないかしら。			海雄旅団あがりの隊士がいたなんて、驚きね。いずれ、いい召喚士になるんじゃないかしら。			プリンクの試練							
お嬢様ご主人様の戦闘記録を、分析中です。みごとな戦いぶりで、結果は言うまでもないと思いますが……。			お嬢様ご主人様の戦闘記録を、分析中です。みごとな戦いぶりで、結果は言うまでもないと思いますが……。			プリンクの試練							
タイタン・エギならば、少しはいけるかと思ったのですが。さすがに、無理でしたね……。			タイタン・エギならば、少しはいけるかと思ったのですが。さすがに、無理でしたね……。			プリンクの試練							
いいものを見せてもらったよ。戻ったら、猛特訓しなきゃ……！			いいものを見せてもらったよ。戻ったら、猛特訓しなきゃ……！			プリンクの試練							
できれば、自分自身も戦闘に参加したかったぜ。まあ、結果は同じだっただろうけどな……。			できれば、自分自身も戦闘に参加したかったぜ。まあ、結果は同じだっただろうけどな……。			プリンクの試練							
おつかれさん！これで第二の試練とやらは、合格ってことでいいんだよな？			おつかれさん！これで第二の試練とやらは、合格ってことでいいんだよな？			プリンクの試練							
はい、ただいま分析結果が出ました。お嬢様ご主人様の「技」のキレは、間違いなく一級のもの。今回の試練も、堂々と乗り越えられました。			はい、ただいま分析結果が出ました。お嬢様ご主人様の「技」のキレは、間違いなく一級のもの。今回の試練も、堂々と乗り越えられました。			プリンクの試練							
