双剣士ギルドのジャックは、冒険者に変わった仕事を依頼したいようだ。			双剣士ギルドのジャックは、冒険者に変わった仕事を依頼したいようだ。			月影の導き							
Forename……！？アカギ……！？			Forename……！？アカギ……！？			融雪の雨に							
見てのとおりだ、ユキ姫よ。お主の忍びと家臣の心は、まだ死んでおらぬようだ。			見てのとおりだ、ユキ姫よ。お主の忍びと家臣の心は、まだ死んでおらぬようだ。			融雪の雨に							
さあ、まだ絶望の淵に沈む必要はない！あなたの「忍び」の力を信じるならば……今一度、あなたの「本当の心」を、刃を託せ！！			さあ、まだ絶望の淵に沈む必要はない！あなたの「忍び」の力を信じるならば……今一度、あなたの「本当の心」を、刃を託せ！！			融雪の雨に							
……助けて！俺を……私を助けて、Forename！こいつらを、やっつけて！！			……助けて！俺を……私を助けて、Forename！こいつらを、やっつけて！！			融雪の雨に							
さぁ、ユキ姫からあたえられた重要な任務だ！Forename……斬り込め！！			さぁ、ユキ姫からあたえられた重要な任務だ！Forename……斬り込め！！			融雪の雨に							
ユキ姫様、ユキ姫様……よくぞご無事で……！			ユキ姫様、ユキ姫様……よくぞご無事で……！			融雪の雨に							
……お前たちこそ、怪我はないか？すぐに街に戻り、治療をしよう。			……お前たちこそ、怪我はないか？すぐに街に戻り、治療をしよう。			融雪の雨に							
Forename……。お主という忍びに仕えられて良かった。私ひとりでは成し得なかった……本当にありがとう。			Forename……。お主という忍びに仕えられて良かった。私ひとりでは成し得なかった……本当にありがとう。			融雪の雨に							
無事、家宝も取り返した。これを金と換えれば、農具を買い改め、蔵を建てられる。……復興が、始まるんだ！			無事、家宝も取り返した。これを金と換えれば、農具を買い改め、蔵を建てられる。……復興が、始まるんだ！			融雪の雨に							
忍びの方、私たちからもお礼を言わせてください。ユキ姫様は私たちにとって、代わりの効かぬ復興の旗です。よくぞお守りくださいました……感謝の言葉もありません。			忍びの方、私たちからもお礼を言わせてください。ユキ姫様は私たちにとって、代わりの効かぬ復興の旗です。よくぞお守りくださいました……感謝の言葉もありません。			融雪の雨に							
……さあ、これで「井ノ国」の冬は終わるだろう！降り積もった雪は春の陽に溶け、恵みの雨となる！急ぎ帰郷し、みなとともに国造りに励むのだ！			……さあ、これで「井ノ国」の冬は終わるだろう！降り積もった雪は春の陽に溶け、恵みの雨となる！急ぎ帰郷し、みなとともに国造りに励むのだ！			融雪の雨に							
Forename。お主の忍びとしての任務が、ひとつの国を救ったのだ。誇りとして、心にしまえ。			Forename。お主の忍びとしての任務が、ひとつの国を救ったのだ。誇りとして、心にしまえ。			融雪の雨に							
……さあ、平屋に戻ろう。大任を終えたあとだ、休息が必要だろう。			……さあ、平屋に戻ろう。大任を終えたあとだ、休息が必要だろう。			融雪の雨に							
……お主は、忍びとしてあたえられた任務をすべてこなした。さらに、ユキ姫の心を開き、真に頼られる忍びとなった。さあ、しばしの休息を……。			……お主は、忍びとしてあたえられた任務をすべてこなした。さらに、ユキ姫の心を開き、真に頼られる忍びとなった。さあ、しばしの休息を……。			融雪の雨に							
オボロ……！！ああよかった、やはりここにいたか！！			オボロ……！！ああよかった、やはりここにいたか！！			融雪の雨に							
ユ、ユキ姫！？　国に帰ったのでは！？			ユ、ユキ姫！？　国に帰ったのでは！？			融雪の雨に							
お前に言い忘れたことがあってな。今回のこと、隠れ里の忍びに世話になったと、「井ノ国」として正式に礼状をだそうと思う。			お前に言い忘れたことがあってな。今回のこと、隠れ里の忍びに世話になったと、「井ノ国」として正式に礼状をだそうと思う。			融雪の雨に							
ドマの件で、隠れ里も大変だろう。これもなにかの縁、お互い協力していこうと伝えたくてな。礼状は、長老に宛てればよいな？			ドマの件で、隠れ里も大変だろう。これもなにかの縁、お互い協力していこうと伝えたくてな。礼状は、長老に宛てればよいな？			融雪の雨に							
……あ、ああ。そうか、それは里の者も喜ぶはずだ。丁寧にありがた……………………長老に、文を？			……あ、ああ。そうか、それは里の者も喜ぶはずだ。丁寧にありがた……………………長老に、文を？			融雪の雨に							
承知した！では、Forename、オボロ。いつの日か再会できると信じているぞ！			承知した！では、Forename、オボロ。いつの日か再会できると信じているぞ！			融雪の雨に							
…………しまった！私は怪我でエオルゼアに残留していることになっている！動きまわっていたことが長老に明らかになると、私の嘘が……！			…………しまった！私は怪我でエオルゼアに残留していることになっている！動きまわっていたことが長老に明らかになると、私の嘘が……！			融雪の雨に							
す、すぐに追わねば！しかし、ユキ姫の足の速さは折り紙付き！！あああーーーーーーーーー！！			す、すぐに追わねば！しかし、ユキ姫の足の速さは折り紙付き！！あああーーーーーーーーー！！			融雪の雨に							
「忍者」の物語が、ひとつの区切りを迎えました！次の「忍者」のジョブクエストを開始するためには、以下の条件を満たす必要があります。			「忍者」の物語が、ひとつの区切りを迎えました！次の「忍者」のジョブクエストを開始するためには、以下の条件を満たす必要があります。			融雪の雨に							
1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			融雪の雨に							
条件を満たし、船着場の平屋の「オボロ」に話しかけ、新たなジョブクエストを開始しましょう！			条件を満たし、船着場の平屋の「オボロ」に話しかけ、新たなジョブクエストを開始しましょう！			融雪の雨に							
すま……ぬ、後は……任せた……！			すま……ぬ、後は……任せた……！			融雪の雨に							
クソッ……姫様は、頼んだぞ……！			クソッ……姫様は、頼んだぞ……！			融雪の雨に							
Forename……負けないで……！			Forename……負けないで……！			融雪の雨に							
Forename殿は、オボロ殿を頼む！			Forename殿は、オボロ殿を頼む！			融雪の雨に							
レッドウェイ、わかってるでしょうね？報酬分の働きはしてもらうよ！			レッドウェイ、わかってるでしょうね？報酬分の働きはしてもらうよ！			融雪の雨に							
うん、想定外……でも、問題ない……俺こそが強い忍び……！			うん、想定外……でも、問題ない……俺こそが強い忍び……！			融雪の雨に							
……しかたがない、あれを使おう。			……しかたがない、あれを使おう。			融雪の雨に							
Forename、口寄せの陣を破壊するのだ！			Forename、口寄せの陣を破壊するのだ！			融雪の雨に							
ど、どうしよう……もう……奥の手……使う……ウン！			ど、どうしよう……もう……奥の手……使う……ウン！			融雪の雨に							
Forename、やっかいな幻術士を倒せ！			Forename、やっかいな幻術士を倒せ！			融雪の雨に							
こ、こ、これ以上は、報酬の割に合わない……！！い、命は大事、俺の命は一番大事、ウン！！			こ、こ、これ以上は、報酬の割に合わない……！！い、命は大事、俺の命は一番大事、ウン！！			融雪の雨に							
レッドウェイ……。契約違反は、命を持って償ってもらうよ！！			レッドウェイ……。契約違反は、命を持って償ってもらうよ！！			融雪の雨に							
なっ……何を……！わ、わ、わ、わ、わ、わあぁぁぁぁぁ！！			なっ……何を……！わ、わ、わ、わ、わ、わあぁぁぁぁぁ！！			融雪の雨に							
どいつもこいつも、使えない連中だね！仕方ない、あたしが相手をしてやるよ！			どいつもこいつも、使えない連中だね！仕方ない、あたしが相手をしてやるよ！			融雪の雨に							
……あ、あいつら、仲間じゃなかったのかよ！！			……あ、あいつら、仲間じゃなかったのかよ！！			融雪の雨に							
レッドウェイ……哀れな忍びだ……。			レッドウェイ……哀れな忍びだ……。			融雪の雨に							
己の忍びに、なんてことを……！			己の忍びに、なんてことを……！			融雪の雨に							
傭兵なんだからぁ、仕事ができなきゃクビ……当然でしょ……？			傭兵なんだからぁ、仕事ができなきゃクビ……当然でしょ……？			融雪の雨に							
違う……！　忍びは、心と刃を預けた仲間だ！Forenameが、それを証明してくれる！			違う……！　忍びは、心と刃を預けた仲間だ！Forenameが、それを証明してくれる！			融雪の雨に							
オボロは、考えがまとまったようだ。			オボロは、考えがまとまったようだ。			雲晴れる夜に							
オボロからツバメの看病をするよう頼まれた。船着場の平屋の「ツバメ」に話しかけよう。			オボロからツバメの看病をするよう頼まれた。船着場の平屋の「ツバメ」に話しかけよう。			雲晴れる夜に							
ツバメの怪我は、ほとんど治ったようだ。彼女は、自分のことよりオボロの様子を見に行ってほしいという。高地ラノシアの愚か者の滝に向かい、「オボロ」を探そう。			ツバメの怪我は、ほとんど治ったようだ。彼女は、自分のことよりオボロの様子を見に行ってほしいという。高地ラノシアの愚か者の滝に向かい、「オボロ」を探そう。			雲晴れる夜に							
オボロは復讐の対象について、真実を知りたいと言う。そこに、ツバメが現れた。愚か者の滝の「ツバメ」と話そう。			オボロは復讐の対象について、真実を知りたいと言う。そこに、ツバメが現れた。愚か者の滝の「ツバメ」と話そう。			雲晴れる夜に							
ツバメは、オボロの決断を支援したいようだ。カラスの言い残した情報を確かめるため、低地ラノシアのキャンドルキープ埠頭に行き、警備兵「ザルメル」と話そう。			ツバメは、オボロの決断を支援したいようだ。カラスの言い残した情報を確かめるため、低地ラノシアのキャンドルキープ埠頭に行き、警備兵「ザルメル」と話そう。			雲晴れる夜に							
ザルメルによると、夜明けに小型船が港に着く予定らしい。キャンドルキープ埠頭が見渡せる崖の上の「指定地点」で待機し、目標の登場を待とう。			ザルメルによると、夜明けに小型船が港に着く予定らしい。キャンドルキープ埠頭が見渡せる崖の上の「指定地点」で待機し、目標の登場を待とう。			雲晴れる夜に							
オボロとツバメと共に、ゲッカイを倒すことができた。そこに、死んだふりをしていたカラスが現れ、オボロたちに最後の「東方の忍装束」を渡した。東ラノシアの船着場の平屋に戻り、「オボロ」と話そう。			オボロとツバメと共に、ゲッカイを倒すことができた。そこに、死んだふりをしていたカラスが現れ、オボロたちに最後の「東方の忍装束」を渡した。東ラノシアの船着場の平屋に戻り、「オボロ」と話そう。			雲晴れる夜に							
オボロに「活殺自在」を伝授され、最後の「東方の忍装束」を託された。ツバメは里に帰るが、オボロは外の世界を知るために、しばらくエオルゼアに残るようだ。己の心の闇を認め、克服したオボロならば、きっと素晴らしい里の担い手となることだろう。※以下の条件を満たすと、船着場の平屋のオボロから、新たなジョブクエストを受注することができます。1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			オボロに「活殺自在」を伝授され、最後の「東方の忍装束」を託された。ツバメは里に帰るが、オボロは外の世界を知るために、しばらくエオルゼアに残るようだ。己の心の闇を認め、克服したオボロならば、きっと素晴らしい里の担い手となることだろう。※以下の条件を満たすと、船着場の平屋のオボロから、新たなジョブクエストを受注することができます。1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			雲晴れる夜に							
ツバメと話す			ツバメと話す			雲晴れる夜に							
愚か者の滝でオボロを探す			愚か者の滝でオボロを探す			雲晴れる夜に							
ツバメと話す			ツバメと話す			雲晴れる夜に							
キャンドルキープ埠頭のザルメルと話す			キャンドルキープ埠頭のザルメルと話す			雲晴れる夜に							
指定地点で待機			指定地点で待機			雲晴れる夜に							
船着場の平屋のオボロと話す			船着場の平屋のオボロと話す			雲晴れる夜に							
世話になったな、Forename。お主との出会いがなければ、任務は達成できなかったであろう。			世話になったな、Forename。お主との出会いがなければ、任務は達成できなかったであろう。			雲晴れる夜に							
我々は、もうじき里に帰る……。任務を終えたら、すぐ里に戻るよう命じられているからな。			我々は、もうじき里に帰る……。任務を終えたら、すぐ里に戻るよう命じられているからな。			雲晴れる夜に							
カラスの言い残した情報は、確かに気がかり。しかし、師匠の生存を調べるのは、私にあたえられた役目ではござらぬ……。			カラスの言い残した情報は、確かに気がかり。しかし、師匠の生存を調べるのは、私にあたえられた役目ではござらぬ……。			雲晴れる夜に							
……私は、里の忍び。長からの命に従い、カラスを殺めることだけが我が務め。己の心で刃を振るうことは、許されておらぬのだ。			……私は、里の忍び。長からの命に従い、カラスを殺めることだけが我が務め。己の心で刃を振るうことは、許されておらぬのだ。			雲晴れる夜に							
里に帰る前に、行きたいところがある……。エオルゼアで過ごす最後の時だ、少しくらいはよかろう。			里に帰る前に、行きたいところがある……。エオルゼアで過ごす最後の時だ、少しくらいはよかろう。			雲晴れる夜に							
私が戻るまでの間、ツバメの様子をみてやってほしい。……では、頼んだぞ。			私が戻るまでの間、ツバメの様子をみてやってほしい。……では、頼んだぞ。			雲晴れる夜に							
あの戦い以来、オボロ様は悩んでいるようです……。どうか、話を聞いてあげていただけませんか？			あの戦い以来、オボロ様は悩んでいるようです……。どうか、話を聞いてあげていただけませんか？			雲晴れる夜に							
私はもう、大丈夫です……。致命的な怪我はありませんでしたし。そもそも、カラスの目的は、オボロ様を挑発することでしたから。			私はもう、大丈夫です……。致命的な怪我はありませんでしたし。そもそも、カラスの目的は、オボロ様を挑発することでしたから。			雲晴れる夜に							
……それにしても、オボロ様は、どこに行ってしまったのでしょう。出立も近いというのに……。			……それにしても、オボロ様は、どこに行ってしまったのでしょう。出立も近いというのに……。			雲晴れる夜に							
悩んでいるオボロ様が、行きそうな場所……。……どこか、心当たりはあるでしょうか？			悩んでいるオボロ様が、行きそうな場所……。……どこか、心当たりはあるでしょうか？			雲晴れる夜に							
オボロが行きそうな場所は？			オボロが行きそうな場所は？			雲晴れる夜に							
リムサ・ロミンサ			リムサ・ロミンサ			雲晴れる夜に							
愚か者の滝			愚か者の滝			雲晴れる夜に							
ブロンズレイク			ブロンズレイク			雲晴れる夜に							
リムサ・ロミンサ……そうですねぇ、人が多くいる場所には、あまりいかない方です。人気のない場所で、どこか心当たりはありませんか？			リムサ・ロミンサ……そうですねぇ、人が多くいる場所には、あまりいかない方です。人気のない場所で、どこか心当たりはありませんか？			雲晴れる夜に							
そういえば、以前おふたりで修行に行ってましたね。……ええ、きっとそこだと思います。			そういえば、以前おふたりで修行に行ってましたね。……ええ、きっとそこだと思います。			雲晴れる夜に							
Forename様、お願いします。オボロ様の様子をみに行っていただけませんか？里の者には、心情を話しづらいと思うのです。			Forename様、お願いします。オボロ様の様子をみに行っていただけませんか？里の者には、心情を話しづらいと思うのです。			雲晴れる夜に							
私は、あの方の決断なら何でも従いましょう。だから、オボロ様の決断を、促してあげてください……。			私は、あの方の決断なら何でも従いましょう。だから、オボロ様の決断を、促してあげてください……。			雲晴れる夜に							
ブロンズレイク……ですか。出立前にひとっ風呂……しそうな方ではないですね。もっと、静かな場所に行ってそうな気がします……。			ブロンズレイク……ですか。出立前にひとっ風呂……しそうな方ではないですね。もっと、静かな場所に行ってそうな気がします……。			雲晴れる夜に							
私は、あの方の決断なら何でも従いましょう。だから、オボロ様の決断を、促してあげてください……。			私は、あの方の決断なら何でも従いましょう。だから、オボロ様の決断を、促してあげてください……。			雲晴れる夜に							
お主には、ツバメを見ているよう頼んだはずだが……いや、彼女からの頼みか……余計な真似を……。			お主には、ツバメを見ているよう頼んだはずだが……いや、彼女からの頼みか……余計な真似を……。			雲晴れる夜に							
それにしても、よくここにいるのがわかったものだ。あの修行以来、この滝の音が気に入ってな。この音を聞いていると、心が静まる……。			それにしても、よくここにいるのがわかったものだ。あの修行以来、この滝の音が気に入ってな。この音を聞いていると、心が静まる……。			雲晴れる夜に							
……なのに、まったく情けないものだ。里へ報告に帰ろうと思ったものの、決心がつかぬ。今の私の心では、刃は曇る一方だ。			……なのに、まったく情けないものだ。里へ報告に帰ろうと思ったものの、決心がつかぬ。今の私の心では、刃は曇る一方だ。			雲晴れる夜に							
……Forename。里の意志ではなく、自分の意志で忍びとなったお主に聞きたい。お主は、何のために刃を掲げる？			……Forename。里の意志ではなく、自分の意志で忍びとなったお主に聞きたい。お主は、何のために刃を掲げる？			雲晴れる夜に							
何のために刃を掲げる？			何のために刃を掲げる？			雲晴れる夜に							
己のため			己のため			雲晴れる夜に							
力のため			力のため			雲晴れる夜に							
仲間のため			仲間のため			雲晴れる夜に							
答えない			答えない			雲晴れる夜に							
……迷いのない、澄んだ空のような答えだ。そうだな、刃は己を活かすものにほかならぬ。			……迷いのない、澄んだ空のような答えだ。そうだな、刃は己を活かすものにほかならぬ。			雲晴れる夜に							
……そうだな、強き刃は強き力だ。刃は力のためにあり、力は自分自身のものだ……。			……そうだな、強き刃は強き力だ。刃は力のためにあり、力は自分自身のものだ……。			雲晴れる夜に							
仲間の……ため。……まったく、眩しいほどに曇りなき答えだ。ああそうだ、私もそうなのだ……。			仲間の……ため。……まったく、眩しいほどに曇りなき答えだ。ああそうだ、私もそうなのだ……。			雲晴れる夜に							
……すまぬ、無粋なことを聞いた。己が心の内は、安易に他人に語るべきものではないな。そう、自分自身がわかっていればよいのだ。			……すまぬ、無粋なことを聞いた。己が心の内は、安易に他人に語るべきものではないな。そう、自分自身がわかっていればよいのだ。			雲晴れる夜に							
先の戦いで気づいてはいた……。仲間を不用意に傷つけられ、心を怒りに染めた時の私は、確かに普段よりも強く、大きな力が湧き出ていたのだ。			先の戦いで気づいてはいた……。仲間を不用意に傷つけられ、心を怒りに染めた時の私は、確かに普段よりも強く、大きな力が湧き出ていたのだ。			雲晴れる夜に							
私は、里にとっての「正しい心」を持つ、忍びの優等生ではなかったようだ……。			私は、里にとっての「正しい心」を持つ、忍びの優等生ではなかったようだ……。			雲晴れる夜に							
真の裏切り者を見つけ出し、この手で復讐を遂げたい。私は、この気持ちを、心を……正しいと信じる！それを誰に非難されようと、構うものか！			真の裏切り者を見つけ出し、この手で復讐を遂げたい。私は、この気持ちを、心を……正しいと信じる！それを誰に非難されようと、構うものか！			雲晴れる夜に							
私は、真実を知るために行く。里の忍びとしてではなく、私自身の心のために！任務のためという、自身への言い訳を捨てて！			私は、真実を知るために行く。里の忍びとしてではなく、私自身の心のために！任務のためという、自身への言い訳を捨てて！			雲晴れる夜に							
本当に師匠が真の敵であったなら、激戦は免れぬ。さらばだ、Forename……。遥かエオルゼアの地でお主に会えて、本当によかった。			本当に師匠が真の敵であったなら、激戦は免れぬ。さらばだ、Forename……。遥かエオルゼアの地でお主に会えて、本当によかった。			雲晴れる夜に							
(-ツバメ-)……Forename様。			(-ツバメ-)……Forename様。			雲晴れる夜に							
どうしても気になって……。こっそりと、付いてきてしまいました。			どうしても気になって……。こっそりと、付いてきてしまいました。			雲晴れる夜に							
もし、本当に黒幕がゲッカイ様だったならば……。オボロ様は刺し違えてでも、彼を殺すでしょう。			もし、本当に黒幕がゲッカイ様だったならば……。オボロ様は刺し違えてでも、彼を殺すでしょう。			雲晴れる夜に							
……私の刃は、仲間のために在ります。だから私は、オボロ様を守るために、ともに戦います。			……私の刃は、仲間のために在ります。だから私は、オボロ様を守るために、ともに戦います。			雲晴れる夜に							
Forename様、どうか力を貸してください。生まれに囚われぬ、自由な心で刃を持ったあなたの強さが、私たちの戦いには必要なのです……。			Forename様、どうか力を貸してください。生まれに囚われぬ、自由な心で刃を持ったあなたの強さが、私たちの戦いには必要なのです……。			雲晴れる夜に							
カラスが残した言葉「キャンドルキープ埠頭」……。オボロ様は、そこに向かったはずです。彼の地の警備兵に、状況を聞いてみましょう。			カラスが残した言葉「キャンドルキープ埠頭」……。オボロ様は、そこに向かったはずです。彼の地の警備兵に、状況を聞いてみましょう。			雲晴れる夜に							
この辺りで何か変化はないか……だって？夜明けに小型船が入港する予定だが、それ以外はいつもどおりだね。			この辺りで何か変化はないか……だって？夜明けに小型船が入港する予定だが、それ以外はいつもどおりだね。			雲晴れる夜に							
ああ、変化といえばそうだ。黒髪の農夫が、同じようなことを聞きにきたよ。			ああ、変化といえばそうだ。黒髪の農夫が、同じようなことを聞きにきたよ。			雲晴れる夜に							
……なるほど。黒髪の農夫とは、おそらく、変装したオボロ様のことでしょう。やはり、ひとりで戦いにきていたのですね。			……なるほど。黒髪の農夫とは、おそらく、変装したオボロ様のことでしょう。やはり、ひとりで戦いにきていたのですね。			雲晴れる夜に							
オボロ様と合流したいところですが、敵は「隠密諜報部隊」……迂闊に動くと危険です。別々の場所で身を潜め、ゲッカイ様が来るのを待ちましょう。			オボロ様と合流したいところですが、敵は「隠密諜報部隊」……迂闊に動くと危険です。別々の場所で身を潜め、ゲッカイ様が来るのを待ちましょう。			雲晴れる夜に							
私は西側の海岸付近に向かいます。Forename様は、崖の上で待機を……。			私は西側の海岸付近に向かいます。Forename様は、崖の上で待機を……。			雲晴れる夜に							
夜明けに小型船が来る予定だが……それ以外は、いつもどおりだね。			夜明けに小型船が来る予定だが……それ以外は、いつもどおりだね。			雲晴れる夜に							
な、何者……ッ！？			な、何者……ッ！？			雲晴れる夜に							
(-？？？？-)鼠か……。			(-？？？？-)鼠か……。			雲晴れる夜に							
帝国軍「隠密諜報部隊」の隊長殿と、お見受けいたす。			帝国軍「隠密諜報部隊」の隊長殿と、お見受けいたす。			雲晴れる夜に							
(-？？？？-)……ああ、そうだ。			(-？？？？-)……ああ、そうだ。			雲晴れる夜に							
いかにも私が、帝国軍が誇る隠密諜報部隊……「魔導忍衆」の長、ゲッカイである。			いかにも私が、帝国軍が誇る隠密諜報部隊……「魔導忍衆」の長、ゲッカイである。			雲晴れる夜に							
ふむ、お前は里に帰ったと思っていたよ。カラスが死んだと聞いていたからな。			ふむ、お前は里に帰ったと思っていたよ。カラスが死んだと聞いていたからな。			雲晴れる夜に							
オボロよ、少したくましくなったな……。だが顔がやつれている、十分に休憩は取れているか？お前は昔から、無理をしすぎるきらいがある。			オボロよ、少したくましくなったな……。だが顔がやつれている、十分に休憩は取れているか？お前は昔から、無理をしすぎるきらいがある。			雲晴れる夜に							
本当に……師匠なのですね。……私たちに「忍び」の心を教えてくれた師匠が！里の面々から、理想の忍びとも言われた師匠が、なぜですか！			本当に……師匠なのですね。……私たちに「忍び」の心を教えてくれた師匠が！里の面々から、理想の忍びとも言われた師匠が、なぜですか！			雲晴れる夜に							
なぜもなにも……。「忍び」として、誰よりも正しく生きているだけだ。私が心に抱きし刃は、里のためだけにある。			なぜもなにも……。「忍び」として、誰よりも正しく生きているだけだ。私が心に抱きし刃は、里のためだけにある。			雲晴れる夜に							
……忍者は、常に故郷たる「里」を守るため、その時々に、最適な勢力と契約を交わしてきた。			……忍者は、常に故郷たる「里」を守るため、その時々に、最適な勢力と契約を交わしてきた。			雲晴れる夜に							
永きに亘ってそれは「ドマ」だったが、ガレマール帝国の侵攻により、状況が変わったのだ。……ゆえに私は弱き主を見限り、強き主を求めた。			永きに亘ってそれは「ドマ」だったが、ガレマール帝国の侵攻により、状況が変わったのだ。……ゆえに私は弱き主を見限り、強き主を求めた。			雲晴れる夜に							
ドマが敗北する中、なぜ、隠れ里が壊滅を免れたと思う？すべては、この私の働きゆえなのだよ。			ドマが敗北する中、なぜ、隠れ里が壊滅を免れたと思う？すべては、この私の働きゆえなのだよ。			雲晴れる夜に							
我々の里は、ドマとともに歩んできた！ドマの民は我々を信じていた！……我々は、命をかけて守らねばならなかった！			我々の里は、ドマとともに歩んできた！ドマの民は我々を信じていた！……我々は、命をかけて守らねばならなかった！			雲晴れる夜に							
貴方は、我々を信じて死んでいったドマの民を。帝国の猛攻によって、無残に殺された仲間を……！なんとも思わなかったのか！？			貴方は、我々を信じて死んでいったドマの民を。帝国の猛攻によって、無残に殺された仲間を……！なんとも思わなかったのか！？			雲晴れる夜に							
ああ……歴史ある里の繁栄と比べれば、脆弱な人の個々の命など、すべて等しく無価値だ。			ああ……歴史ある里の繁栄と比べれば、脆弱な人の個々の命など、すべて等しく無価値だ。			雲晴れる夜に							
私が正しいと信じた「心」は、間違っていなかった……。師匠……いや、ゲッカイ！あなたをここで殺す……散っていった魂のために！			私が正しいと信じた「心」は、間違っていなかった……。師匠……いや、ゲッカイ！あなたをここで殺す……散っていった魂のために！			雲晴れる夜に							
復讐か……しようもない。カラスを殺し、任務を終えたはずのお前が、里に帰らず、私を追った理由がそれか。			復讐か……しようもない。カラスを殺し、任務を終えたはずのお前が、里に帰らず、私を追った理由がそれか。			雲晴れる夜に							
「任務」ではなく「己の心」で動くことは、集団行動を基本とする、里の教えでは禁じられているだろう。心などに手下はついてこないからな。			「任務」ではなく「己の心」で動くことは、集団行動を基本とする、里の教えでは禁じられているだろう。心などに手下はついてこないからな。			雲晴れる夜に							
帝国軍というのは、なかなかに居心地がよい。冷酷無慈悲な、強き心を持つ者がたくさんいる。お前などよりも優秀な手下が、幾人も育っておるぞ。			帝国軍というのは、なかなかに居心地がよい。冷酷無慈悲な、強き心を持つ者がたくさんいる。お前などよりも優秀な手下が、幾人も育っておるぞ。			雲晴れる夜に							
今のお前は、手下のひとりも持たぬ。心に乱された弱き刃しか持たぬ、哀れな鼠よ。勝敗は決まっている……。			今のお前は、手下のひとりも持たぬ。心に乱された弱き刃しか持たぬ、哀れな鼠よ。勝敗は決まっている……。			雲晴れる夜に							
(-？？？？-)確かに、「手下」は来ないかもしれませんね。任務ではありませんから。			(-？？？？-)確かに、「手下」は来ないかもしれませんね。任務ではありませんから。			雲晴れる夜に							
でも、「心」をともにする「同志」は来ます。			でも、「心」をともにする「同志」は来ます。			雲晴れる夜に							
ツバメ、なぜ……！			ツバメ、なぜ……！			雲晴れる夜に							
私だけではありません。Forename様も、もうすぐ来てくれるはずです。			私だけではありません。Forename様も、もうすぐ来てくれるはずです。			雲晴れる夜に							
くっくっく……同志、か。冒険者なんぞに助けを求めるとは、里の忍びも堕ちたものだ。師の心すら理解できぬお前が、なぜ他人を信じる。			くっくっく……同志、か。冒険者なんぞに助けを求めるとは、里の忍びも堕ちたものだ。師の心すら理解できぬお前が、なぜ他人を信じる。			雲晴れる夜に							
Forename様は、心に刃を抱いた正しき忍び。あなたのような、心の腐れた抜け忍ではない。			Forename様は、心に刃を抱いた正しき忍び。あなたのような、心の腐れた抜け忍ではない。			雲晴れる夜に							
Forename……。今は、お主の助太刀に、感謝するほかない。			Forename……。今は、お主の助太刀に、感謝するほかない。			雲晴れる夜に							
同志よ。ともに師匠を……ゲッカイを倒そう！			同志よ。ともに師匠を……ゲッカイを倒そう！			雲晴れる夜に							
ツバメ、Forename。私の「心」を支えてくれて、ありがとう……。			ツバメ、Forename。私の「心」を支えてくれて、ありがとう……。			雲晴れる夜に							
……そして、カラス。お前は、この結末にむけて筋書きを描いていたのだな。			……そして、カラス。お前は、この結末にむけて筋書きを描いていたのだな。			雲晴れる夜に							
(-？？？？-)ウププ、気持ちわるゥ～。ヒトのこと勝手に殺さないでよネェ～。			(-？？？？-)ウププ、気持ちわるゥ～。ヒトのこと勝手に殺さないでよネェ～。			雲晴れる夜に							
え……お前、カ、カラスか？生きてたのか！？　え、な、なんで！？			え……お前、カ、カラスか？生きてたのか！？　え、な、なんで！？			雲晴れる夜に							
弟子なんだから、師匠の得意技を覚えただけさァ。ウププ、死んだふりは、古式遁術の基本だヨォ～。			弟子なんだから、師匠の得意技を覚えただけさァ。ウププ、死んだふりは、古式遁術の基本だヨォ～。			雲晴れる夜に							
お、おお……そ、そうか。では、なぜ、ここに……？			お、おお……そ、そうか。では、なぜ、ここに……？			雲晴れる夜に							
……ヒヨコちゃんヒヨコ君の忘れ物だヨ。			……ヒヨコちゃんヒヨコ君の忘れ物だヨ。			雲晴れる夜に							
あっ、これは……。Forename様の最後の忍び装束……。そういえば……。			あっ、これは……。Forename様の最後の忍び装束……。そういえば……。			雲晴れる夜に							
配達屋さんとしての「任務」が残ってたからネェ。……んじゃ！			配達屋さんとしての「任務」が残ってたからネェ。……んじゃ！			雲晴れる夜に							
ま、待てカラス！……お前のおかげで、里の復讐を遂げることができた。			ま、待てカラス！……お前のおかげで、里の復讐を遂げることができた。			雲晴れる夜に							
里の長老たちは、裏切り者を誤解していたのだ。私が長老に説明をするから、ともに里に帰らないか……？			里の長老たちは、裏切り者を誤解していたのだ。私が長老に説明をするから、ともに里に帰らないか……？			雲晴れる夜に							
ウワッ、その発言は筋書きになかったわァ……。いくらボクが裏切りの主犯じゃないっつったって、善行をしてたワケじゃないんだけドォ？			ウワッ、その発言は筋書きになかったわァ……。いくらボクが裏切りの主犯じゃないっつったって、善行をしてたワケじゃないんだけドォ？			雲晴れる夜に							
少なくとも、このエオルゼアでの戦いは、互いに命を賭けたものだった……。……どちらも、忍びとして間違っていない。			少なくとも、このエオルゼアでの戦いは、互いに命を賭けたものだった……。……どちらも、忍びとして間違っていない。			雲晴れる夜に							
