円蓋の座のチョラ・ゾイは、憧れの人物の到着を待ちかねているようだ。			円蓋の座のチョラ・ゾイは、憧れの人物の到着を待ちかねているようだ。			職人に寄り添う新道具							
今回も、「モーエンツール」4段階目への改良が完了しましたっ！新たな色をまとった「[???]」、さぁ、掲げてみてください！			今回も、「モーエンツール」4段階目への改良が完了しましたっ！新たな色をまとった「[???]」、さぁ、掲げてみてください！			色づく改良計画							
うんうん、手によく馴染んでいるようですね！こんな道具が作れて、職人冥利に尽きるというもの……。いつもありがとうございますっ！			うんうん、手によく馴染んでいるようですね！こんな道具が作れて、職人冥利に尽きるというもの……。いつもありがとうございますっ！			色づく改良計画							
特殊ルール： ジョブ・クラス固定ミーン工芸館前のチョラ・ゾイは、「モーエンツール」の次なる改良を始めたいようだ。			特殊ルール： ジョブ・クラス固定ミーン工芸館前のチョラ・ゾイは、「モーエンツール」の次なる改良を始めたいようだ。			名にふさわしき改良計画							
※本クエストには「 ジョブ・クラス固定」が、　設定されています。　受注時と同じクラスでのみ進行できます。「モーエンツール」の改良に必要な材料は、ミーン工芸館前の「キナーナ」に取引資本を渡すことで用意してもらえ、またギャザラーの場合は、取引資本を精選することでも得られるようだ。ミーン工芸館前の「チョラ・ゾイ」に、所持品またはアーマリーチェストに入れた「モーエンツール」と、材料を渡して、次の段階へ改良してもらおう。			※本クエストには「 ジョブ・クラス固定」が、　設定されています。　受注時と同じクラスでのみ進行できます。「モーエンツール」の改良に必要な材料は、ミーン工芸館前の「キナーナ」に取引資本を渡すことで用意してもらえ、またギャザラーの場合は、取引資本を精選することでも得られるようだ。ミーン工芸館前の「チョラ・ゾイ」に、所持品またはアーマリーチェストに入れた「モーエンツール」と、材料を渡して、次の段階へ改良してもらおう。			名にふさわしき改良計画							
「モーエンツール」の改良が「5段階目」に到達した。さらなる性能の向上を目指すチョラ・ゾイたちと協力して、「モーエンツール」の改良を進めていこう。			「モーエンツール」の改良が「5段階目」に到達した。さらなる性能の向上を目指すチョラ・ゾイたちと協力して、「モーエンツール」の改良を進めていこう。			名にふさわしき改良計画							
ゾイズクリスタライン・ソーゾイズクリスタライン・クロスペインハンマーゾイズクリスタライン・レイジングハンマーゾイズクリスタライン・マレットゾイズクリスタライン・ラウンドナイフゾイズクリスタライン・ニードルゾイズクリスタライン・アレンビックゾイズクリスタライン・フライパンゾイズクリスタライン・ピックゾイズクリスタライン・ハチェットゾイズクリスタライン・フィッシングロッドを装備から外して所持しモーエンツールの四次加工部材【木工】を90個集めモーエンツールの四次加工部材【鍛冶】を90個集めモーエンツールの四次加工部材【甲冑】を90個集めモーエンツールの四次加工部材【彫金】を90個集めモーエンツールの四次加工部材【革細工】を90個集めモーエンツールの四次加工部材【裁縫】を90個集めモーエンツールの四次加工部材【錬金】を90個集めモーエンツールの四次加工部材【調理】を90個集めモーエンツールの四次加工精油【採掘】を210個とモーエンツールの四次加工精油【園芸】を210個とモーエンツール・シャフトの四次加工精油【漁師】を80個と改良用のライトニングクラスターを210個集め改良用のアースクラスターを210個集めモーエンツール・リールの四次加工精油【漁師】を80個集めミーン工芸館前のチョラ・ゾイに渡す			ゾイズクリスタライン・ソーゾイズクリスタライン・クロスペインハンマーゾイズクリスタライン・レイジングハンマーゾイズクリスタライン・マレットゾイズクリスタライン・ラウンドナイフゾイズクリスタライン・ニードルゾイズクリスタライン・アレンビックゾイズクリスタライン・フライパンゾイズクリスタライン・ピックゾイズクリスタライン・ハチェットゾイズクリスタライン・フィッシングロッドを装備から外して所持しモーエンツールの四次加工部材【木工】を90個集めモーエンツールの四次加工部材【鍛冶】を90個集めモーエンツールの四次加工部材【甲冑】を90個集めモーエンツールの四次加工部材【彫金】を90個集めモーエンツールの四次加工部材【革細工】を90個集めモーエンツールの四次加工部材【裁縫】を90個集めモーエンツールの四次加工部材【錬金】を90個集めモーエンツールの四次加工部材【調理】を90個集めモーエンツールの四次加工精油【採掘】を210個とモーエンツールの四次加工精油【園芸】を210個とモーエンツール・シャフトの四次加工精油【漁師】を80個と改良用のライトニングクラスターを210個集め改良用のアースクラスターを210個集めモーエンツール・リールの四次加工精油【漁師】を80個集めミーン工芸館前のチョラ・ゾイに渡す			名にふさわしき改良計画							
クエスト「名にふさわしき改良計画」にて入手できる主道具は、現在のクラス「[Job]」のモーエンツールとなります。「名にふさわしき改良計画」を「[Job]」で受注しますか？			クエスト「名にふさわしき改良計画」にて入手できる主道具は、現在のクラス「[Job]」のモーエンツールとなります。「名にふさわしき改良計画」を「[Job]」で受注しますか？			名にふさわしき改良計画							
[Job]のモーエンツールを改良しますか？			[Job]のモーエンツールを改良しますか？			名にふさわしき改良計画							
もう少し悩んでみる			もう少し悩んでみる			名にふさわしき改良計画							
[Job]のモーエンツールを改良する			[Job]のモーエンツールを改良する			名にふさわしき改良計画							
「名にふさわしき改良計画」を受注した場合、クエストを完了、あるいは破棄するまで、ほかのクラスで「名にふさわしき改良計画」を受注できません。			「名にふさわしき改良計画」を受注した場合、クエストを完了、あるいは破棄するまで、ほかのクラスで「名にふさわしき改良計画」を受注できません。			名にふさわしき改良計画							
改良したいモーエンツールに応じたクラスとなり、再度、チョラ・ゾイに話しかけてください。			改良したいモーエンツールに応じたクラスとなり、再度、チョラ・ゾイに話しかけてください。			名にふさわしき改良計画							
「[???]」を、所持または装備していないと、クエスト「名にふさわしき改良計画」を受注することができません。			「[???]」を、所持または装備していないと、クエスト「名にふさわしき改良計画」を受注することができません。			名にふさわしき改良計画							
「[???]」は、すでに取得済みです。ほかのクラスとなり、再度チョラ・ゾイに話しかけてください。			「[???]」は、すでに取得済みです。ほかのクラスとなり、再度チョラ・ゾイに話しかけてください。			名にふさわしき改良計画							
どうもです、Forenameさん！ここまでのご協力、ありがとうございますっ！			どうもです、Forenameさん！ここまでのご協力、ありがとうございますっ！			名にふさわしき改良計画							
モーエンツールのひとつに私の名前を付けられて、職人としての自信というものも、ようやく自分のなかに根付いてきた気がします。			モーエンツールのひとつに私の名前を付けられて、職人としての自信というものも、ようやく自分のなかに根付いてきた気がします。			名にふさわしき改良計画							
そう言えるようなったとは、得難いことだ。道具の可能性と同じだけ、まだまだ伸び盛りであるな。			そう言えるようなったとは、得難いことだ。道具の可能性と同じだけ、まだまだ伸び盛りであるな。			名にふさわしき改良計画							
前回は、材料に合わせて工程を調整し、道具の性能を磨くとともに、新しい色彩を宿らせることができた。職人チョラ・ゾイらしい色をな。			前回は、材料に合わせて工程を調整し、道具の性能を磨くとともに、新しい色彩を宿らせることができた。職人チョラ・ゾイらしい色をな。			名にふさわしき改良計画							
次なる改良では、吾が編み出した特別な技法をおぬしに託そう。それを会得したうえで、さらなる改良を施せば、道具は新たな輝きを放ち始めるであろう。			次なる改良では、吾が編み出した特別な技法をおぬしに託そう。それを会得したうえで、さらなる改良を施せば、道具は新たな輝きを放ち始めるであろう。			名にふさわしき改良計画							
グレノルトさんが編み出した技を！？まだまだ技術的に及ばない私なんかに……！			グレノルトさんが編み出した技を！？まだまだ技術的に及ばない私なんかに……！			名にふさわしき改良計画							
……いえ。もう弱気でいては駄目、ですよね！			……いえ。もう弱気でいては駄目、ですよね！			名にふさわしき改良計画							
左様、いずれは通らねばならぬ道だ。必要な助言は与えるゆえ、案ずるな！			左様、いずれは通らねばならぬ道だ。必要な助言は与えるゆえ、案ずるな！			名にふさわしき改良計画							
……はいっ！職人チョラ・ゾイ、がんばります！			……はいっ！職人チョラ・ゾイ、がんばります！			名にふさわしき改良計画							
モーエンツールは、皆さんに与えてもらった環境のおかげで、決して私ひとりでは作れなかったものです。その気持ちを込めて、とびきり輝かせてみせますっ！			モーエンツールは、皆さんに与えてもらった環境のおかげで、決して私ひとりでは作れなかったものです。その気持ちを込めて、とびきり輝かせてみせますっ！			名にふさわしき改良計画							
Forenameさんには今回も、稀少材料の調達をお願いできますか？			Forenameさんには今回も、稀少材料の調達をお願いできますか？			名にふさわしき改良計画							
「モーエンツール」の改良準備は、私の手元で進めていますっ！Forenameさんには今回も、稀少材料の調達をお願いできますか？			「モーエンツール」の改良準備は、私の手元で進めていますっ！Forenameさんには今回も、稀少材料の調達をお願いできますか？			名にふさわしき改良計画							
今回必要となる稀少材料は、「[???]」です！			今回必要となる稀少材料は、「[???]」です！			名にふさわしき改良計画							
そして新しい稀少材料に見合うよう、取引資本としてご用意いただきたいのは、「好事家向けのブックシェルフ好事家向けのシャンデリア好事家向けのエスカッシャン好事家向けのバグナウ好事家向けのドリンキングアプカル好事家向けのジャケット好事家向けのプランターパーティション好事家向けのスパゲッティ・ネーロ」ですね！			そして新しい稀少材料に見合うよう、取引資本としてご用意いただきたいのは、「好事家向けのブックシェルフ好事家向けのシャンデリア好事家向けのエスカッシャン好事家向けのバグナウ好事家向けのドリンキングアプカル好事家向けのジャケット好事家向けのプランターパーティション好事家向けのスパゲッティ・ネーロ」ですね！			名にふさわしき改良計画							
今回稀少材料としてご用意いただきたいのは、「[???]」と、「[???]」ですっ！			今回稀少材料としてご用意いただきたいのは、「[???]」と、「[???]」ですっ！			名にふさわしき改良計画							
それらの稀少材料を商会から提供してもらうには、取引資本に「好事家向けの皇金鉱好事家向けのクローヴ」を、ご調達いただければと！			それらの稀少材料を商会から提供してもらうには、取引資本に「好事家向けの皇金鉱好事家向けのクローヴ」を、ご調達いただければと！			名にふさわしき改良計画							
今回稀少材料としてご用意いただきたいのは、「[???]」と、「[???]」ですっ！			今回稀少材料としてご用意いただきたいのは、「[???]」と、「[???]」ですっ！			名にふさわしき改良計画							
それらの稀少材料を商会から提供してもらうには、取引資本に「オイルスリッカー」と、「ゴンザーロスラッグ」をご調達いただければ！			それらの稀少材料を商会から提供してもらうには、取引資本に「オイルスリッカー」と、「ゴンザーロスラッグ」をご調達いただければ！			名にふさわしき改良計画							
改めて、ギャザラーさんには稀少材料の提供についてご案内です！採集した品を「精選」して稀少材料を得るか、取引資本をキナーナさんと交換するか、どちらも可能ですよっ！			改めて、ギャザラーさんには稀少材料の提供についてご案内です！採集した品を「精選」して稀少材料を得るか、取引資本をキナーナさんと交換するか、どちらも可能ですよっ！			名にふさわしき改良計画							
取引資本を集めてもらう手順は、これまでと同じです。必ず改良した「モーエンツール」を使って、調達作業をお願いしますね！			取引資本を集めてもらう手順は、これまでと同じです。必ず改良した「モーエンツール」を使って、調達作業をお願いしますね！			名にふさわしき改良計画							
調達した取引資本を、テントの「キナーナ」さんに渡せば、今回も、商会取り扱いの稀少材料を用意してもらえるはずです。もし手順に迷ったら、グレノルトさんが教えてくださいますよ！			調達した取引資本を、テントの「キナーナ」さんに渡せば、今回も、商会取り扱いの稀少材料を用意してもらえるはずです。もし手順に迷ったら、グレノルトさんが教えてくださいますよ！			名にふさわしき改良計画							
引き続き、改良作業は私が行いますのでっ！必要な材料をご用意いただいたら「モーエンツール」と一緒に、この「すたじお」の私のところへ持ってきてくださいね！			引き続き、改良作業は私が行いますのでっ！必要な材料をご用意いただいたら「モーエンツール」と一緒に、この「すたじお」の私のところへ持ってきてくださいね！			名にふさわしき改良計画							
ミーン工芸館前の「チョラ・ゾイ」に、主道具と改良に必要となる材料を渡すことで、改良された道具が入手できます。			ミーン工芸館前の「チョラ・ゾイ」に、主道具と改良に必要となる材料を渡すことで、改良された道具が入手できます。			名にふさわしき改良計画							
主道具を改良するために必要な材料は、ミーン工芸館前の「キナーナ」に、取引資本を渡すことで手に入ります。			主道具を改良するために必要な材料は、ミーン工芸館前の「キナーナ」に、取引資本を渡すことで手に入ります。			名にふさわしき改良計画							
もしくは、もととなるアイテムを採集し、「精選」によって、直接稀少材料を入手することもできます。プレイスタイルに合わせて、稀少材料を集めていきましょう！			もしくは、もととなるアイテムを採集し、「精選」によって、直接稀少材料を入手することもできます。プレイスタイルに合わせて、稀少材料を集めていきましょう！			名にふさわしき改良計画							
「精選」をして稀少材料を得るには、クエスト「生命、精選、もうひとつの答え」を完了し、「精選」を開放しておく必要があります。			「精選」をして稀少材料を得るには、クエスト「生命、精選、もうひとつの答え」を完了し、「精選」を開放しておく必要があります。			名にふさわしき改良計画							
取引資本は、製作手帳の「スペシャルレシピ」から、「モーエンツール」の項目を選択することで製作できます。			取引資本は、製作手帳の「スペシャルレシピ」から、「モーエンツール」の項目を選択することで製作できます。			名にふさわしき改良計画							
また、取引資本を製作する際には、「モーエンツール」を装備している必要があります。加えて一部の稀少材料は「スクリップ」で入手できます。			また、取引資本を製作する際には、「モーエンツール」を装備している必要があります。加えて一部の稀少材料は「スクリップ」で入手できます。			名にふさわしき改良計画							
取引資本・精選対象となる素材は、採集手帳の「モーエンツール」の項目を選択することで、採集場所を確認できます。			取引資本・精選対象となる素材は、採集手帳の「モーエンツール」の項目を選択することで、採集場所を確認できます。			名にふさわしき改良計画							
また、対象アイテムを採集する際には、「モーエンツール」を装備している必要があります。			また、対象アイテムを採集する際には、「モーエンツール」を装備している必要があります。			名にふさわしき改良計画							
取引資本・精選対象となる魚には、専用の釣り餌が必要になります。釣り餌も、おなじく「キナーナ」から入手できます。			取引資本・精選対象となる魚には、専用の釣り餌が必要になります。釣り餌も、おなじく「キナーナ」から入手できます。			名にふさわしき改良計画							
また、取引資本となる魚を釣る際には、「モーエンツール」を装備している必要があります。			また、取引資本となる魚を釣る際には、「モーエンツール」を装備している必要があります。			名にふさわしき改良計画							
本クエストをコンプリートする際には、改良する「モーエンツール」を装備せずに、所持品またはアーマリーチェストに入れてください。			本クエストをコンプリートする際には、改良する「モーエンツール」を装備せずに、所持品またはアーマリーチェストに入れてください。			名にふさわしき改良計画							
手順に不明点があったか？まず頼みたいことは、取引資本となる物資を、「モーエンツール」を使って用意してもらうことぞ。			手順に不明点があったか？まず頼みたいことは、取引資本となる物資を、「モーエンツール」を使って用意してもらうことぞ。			名にふさわしき改良計画							
調達した取引資本を「キナーナ」に渡せば、商会取り扱いの稀少材料を用意してもらえる手筈になっておる。必要なものが揃ったら、チョラ・ゾイに声を掛けるとよい。			調達した取引資本を「キナーナ」に渡せば、商会取り扱いの稀少材料を用意してもらえる手筈になっておる。必要なものが揃ったら、チョラ・ゾイに声を掛けるとよい。			名にふさわしき改良計画							
ミーン工芸館前の「チョラ・ゾイ」に、主道具と改良に必要となる稀少材料を渡すことで、改良された道具が入手できます。			ミーン工芸館前の「チョラ・ゾイ」に、主道具と改良に必要となる稀少材料を渡すことで、改良された道具が入手できます。			名にふさわしき改良計画							
なお、稀少材料は、ミーン工芸館前の「キナーナ」に、取引資本となるアイテムを納品することで入手できます。			なお、稀少材料は、ミーン工芸館前の「キナーナ」に、取引資本となるアイテムを納品することで入手できます。			名にふさわしき改良計画							
取引資本は、製作手帳の「スペシャルレシピ」から、「モーエンツール」の項目を選択することで製作できます。			取引資本は、製作手帳の「スペシャルレシピ」から、「モーエンツール」の項目を選択することで製作できます。			名にふさわしき改良計画							
また、取引資本を製作する際には、「モーエンツール」を装備している必要があります。加えて一部の稀少材料は「スクリップ」で入手できます。			また、取引資本を製作する際には、「モーエンツール」を装備している必要があります。加えて一部の稀少材料は「スクリップ」で入手できます。			名にふさわしき改良計画							
取引資本は、採集手帳の「モーエンツール」の項目を選択することで、採集場所を確認できます。			取引資本は、採集手帳の「モーエンツール」の項目を選択することで、採集場所を確認できます。			名にふさわしき改良計画							
また、取引資本を採集する際には、「モーエンツール」を装備している必要があります。			また、取引資本を採集する際には、「モーエンツール」を装備している必要があります。			名にふさわしき改良計画							
取引資本となる魚には、専用の釣り餌が必要になります。釣り餌も、おなじく「キナーナ」から入手できます。			取引資本となる魚には、専用の釣り餌が必要になります。釣り餌も、おなじく「キナーナ」から入手できます。			名にふさわしき改良計画							
また、取引資本となる魚を釣る際には、「モーエンツール」を装備している必要があります。			また、取引資本となる魚を釣る際には、「モーエンツール」を装備している必要があります。			名にふさわしき改良計画							
本クエストをコンプリートする際には、改良する「モーエンツール」を装備せずに、所持品またはアーマリーチェストに入れてください。			本クエストをコンプリートする際には、改良する「モーエンツール」を装備せずに、所持品またはアーマリーチェストに入れてください。			名にふさわしき改良計画							
Forenameさん、ありがとうございますっ！今回も必要な稀少材料を揃えていただけたようですので、「モーエンツール」と一緒に、お預かりできればと！			Forenameさん、ありがとうございますっ！今回も必要な稀少材料を揃えていただけたようですので、「モーエンツール」と一緒に、お預かりできればと！			名にふさわしき改良計画							
引き続きのご協力、大変助かります！私のほうは、気合も準備もバッチリですよっ！			引き続きのご協力、大変助かります！私のほうは、気合も準備もバッチリですよっ！			名にふさわしき改良計画							
チョラ・ゾイに伝授した技法は、吾のお墨付きであるぞ。安心して今回の改良を見守るがよい。			チョラ・ゾイに伝授した技法は、吾のお墨付きであるぞ。安心して今回の改良を見守るがよい。			名にふさわしき改良計画							
道具も稀少材料も、確かにお預かりしました！錬鉄科の設備をお借りして「モーエンツール」を改良してきますね。こちらで、しばらくお待ちいただければとっ！			道具も稀少材料も、確かにお預かりしました！錬鉄科の設備をお借りして「モーエンツール」を改良してきますね。こちらで、しばらくお待ちいただければとっ！			名にふさわしき改良計画							
絶対成功させるんだ……っ！教えてもらったグレノルトさんの匠の技で、必ずこの道具に、新しい光を宿らせるんだから！			絶対成功させるんだ……っ！教えてもらったグレノルトさんの匠の技で、必ずこの道具に、新しい光を宿らせるんだから！			名にふさわしき改良計画							
グレノルトさんの作品のような……そう、私にとっても大事な、あのヤカンの輝きを思い出してっ……！そして「闇の戦士」様が取り戻してくれた、星々の輝きを！			グレノルトさんの作品のような……そう、私にとっても大事な、あのヤカンの輝きを思い出してっ……！そして「闇の戦士」様が取り戻してくれた、星々の輝きを！			名にふさわしき改良計画							
はぁっ……万感の想いを込めて、作り上げましたっ！今までで、一番の道具になったと思います！			はぁっ……万感の想いを込めて、作り上げましたっ！今までで、一番の道具になったと思います！			名にふさわしき改良計画							
吾の道具と比べても、遜色ないほどであろう。さぁForename殿、さっそくその手に掲げてみられよ！			吾の道具と比べても、遜色ないほどであろう。さぁForename殿、さっそくその手に掲げてみられよ！			名にふさわしき改良計画							
使い手に合った道具は、美しさも兼ね備えるはずです。私の思う限りの美しい輝きを発揮できるよう、グレノルトさんに教えていただいた技法に挑戦しましたっ！			使い手に合った道具は、美しさも兼ね備えるはずです。私の思う限りの美しい輝きを発揮できるよう、グレノルトさんに教えていただいた技法に挑戦しましたっ！			名にふさわしき改良計画							
左様であれば、師として誇らしいものよ。しかし吾の伝えた技法だけで、これほどの輝きを引き出すとは……仕事の傍ら、どのような想いを込めたのだ？			左様であれば、師として誇らしいものよ。しかし吾の伝えた技法だけで、これほどの輝きを引き出すとは……仕事の傍ら、どのような想いを込めたのだ？			名にふさわしき改良計画							
えっと、それは……！			えっと、それは……！			名にふさわしき改良計画							
また新しく、素晴らしいお仕事を成されたようですわね。			また新しく、素晴らしいお仕事を成されたようですわね。			名にふさわしき改良計画							
モーエンさん！			モーエンさん！			名にふさわしき改良計画							
貴女のお名前をつけた新道具の出来も上々と聞き、今度はこちらが伺わねばと参ったのです。ケシ・トラオ様も、こちらの様子を気にしておられましたよ。			貴女のお名前をつけた新道具の出来も上々と聞き、今度はこちらが伺わねばと参ったのです。ケシ・トラオ様も、こちらの様子を気にしておられましたよ。			名にふさわしき改良計画							
そう、今回のお仕事をしたとき……思い出していたんです。			そう、今回のお仕事をしたとき……思い出していたんです。			名にふさわしき改良計画							
(-グレノルトの言葉-)『吾の才を見出してくださった、モーエン殿の瞳……。　その深き色の如く輝けと、幾千のヤカンを鍛えることで、　吾の職人としての道は定まったのだ……！』			(-グレノルトの言葉-)『吾の才を見出してくださった、モーエン殿の瞳……。　その深き色の如く輝けと、幾千のヤカンを鍛えることで、　吾の職人としての道は定まったのだ……！』			名にふさわしき改良計画							
グレノルトさんがヤカンのことをお話していたのを、道具を打ちこみながら、胸に浮かべていました。私が職人を目指した大事なきっかけでしたから。			グレノルトさんがヤカンのことをお話していたのを、道具を打ちこみながら、胸に浮かべていました。私が職人を目指した大事なきっかけでしたから。			名にふさわしき改良計画							
私が惚れ込んだグレノルトさんのヤカンにも、グレノルトさんがモーエンさんを想う、人と人の、絆から生まれた美しさが込められていたと思うんです。			私が惚れ込んだグレノルトさんのヤカンにも、グレノルトさんがモーエンさんを想う、人と人の、絆から生まれた美しさが込められていたと思うんです。			名にふさわしき改良計画							
全部、繋がっているんですね。グレノルトさんとモーエンさんが出会ったこと、そのヤカンに出会って私が職人を目指したことも。			全部、繋がっているんですね。グレノルトさんとモーエンさんが出会ったこと、そのヤカンに出会って私が職人を目指したことも。			名にふさわしき改良計画							
そしてForenameさんと出会い、助けていただいていることも……。この新しい道具の輝きは、繋がりから生まれた新しい光なんです！			そしてForenameさんと出会い、助けていただいていることも……。この新しい道具の輝きは、繋がりから生まれた新しい光なんです！			名にふさわしき改良計画							
今回のお仕事ができたのは、モーエンさんのおかげです！正真正銘、チョラ・ゾイが作ったものと呼べる、新しい道具を作れましたよっ！			今回のお仕事ができたのは、モーエンさんのおかげです！正真正銘、チョラ・ゾイが作ったものと呼べる、新しい道具を作れましたよっ！			名にふさわしき改良計画							
職人として、随分良い顔をするようになったな。			職人として、随分良い顔をするようになったな。			名にふさわしき改良計画							
吾は、チョラ・ゾイの内に眠っていた職人としての才を、ほんの少し導いただけであろう。おぬしが見事な道具を作り上げたこと、誇らしく思うぞ。			吾は、チョラ・ゾイの内に眠っていた職人としての才を、ほんの少し導いただけであろう。おぬしが見事な道具を作り上げたこと、誇らしく思うぞ。			名にふさわしき改良計画							
グレノルトさん……！！ありがとうございますっ！			グレノルトさん……！！ありがとうございますっ！			名にふさわしき改良計画							
今回も、「モーエンツール」5段階目への改良が完了しましたっ！新たな輝きを放つ「[???]」、さぁ、掲げてみてください！			今回も、「モーエンツール」5段階目への改良が完了しましたっ！新たな輝きを放つ「[???]」、さぁ、掲げてみてください！			名にふさわしき改良計画							
うんうん、Forenameさんのお手元で、より輝きが増しているように感じます！今回も任せていただき、ありがとうございましたっ！			うんうん、Forenameさんのお手元で、より輝きが増しているように感じます！今回も任せていただき、ありがとうございましたっ！			名にふさわしき改良計画							
ミーン工芸館前のグレノルトは、皆の労をねぎらいたいようだ。			ミーン工芸館前のグレノルトは、皆の労をねぎらいたいようだ。			階段亭で乾杯を							
グレノルトと話し、彷徨う階段亭でささやかな打ち上げの会を催した。モーエンに何らかを告げようとしていたグレノルトは、酔いつぶれてしまったようだ。ミーン工芸館前で復調した様子の「グレノルト」と話そう。			グレノルトと話し、彷徨う階段亭でささやかな打ち上げの会を催した。モーエンに何らかを告げようとしていたグレノルトは、酔いつぶれてしまったようだ。ミーン工芸館前で復調した様子の「グレノルト」と話そう。			階段亭で乾杯を							
グレノルトは打ち上げでの様子をよく覚えていないようだ。ともあれ、モーエンツールも、それを取り巻く職人たちの可能性も、まだまだこれからだ。道具のさらなる改良に向け、これからも協力していこう。			グレノルトは打ち上げでの様子をよく覚えていないようだ。ともあれ、モーエンツールも、それを取り巻く職人たちの可能性も、まだまだこれからだ。道具のさらなる改良に向け、これからも協力していこう。			階段亭で乾杯を							
グレノルトと話す			グレノルトと話す			階段亭で乾杯を							
愛弟子の成長と活躍を目にし、何やら吾までもが、高揚感に浮かされているようだ。此度は実作業にも加わらず、いくらか助言しただけであるのにな。			愛弟子の成長と活躍を目にし、何やら吾までもが、高揚感に浮かされているようだ。此度は実作業にも加わらず、いくらか助言しただけであるのにな。			階段亭で乾杯を							
そこで今日こそは、尽力してくれたチョラ・ゾイと貴殿をねぎらい、酒場で祝杯を挙げたいと思うのだが、いかがであろうか？			そこで今日こそは、尽力してくれたチョラ・ゾイと貴殿をねぎらい、酒場で祝杯を挙げたいと思うのだが、いかがであろうか？			階段亭で乾杯を							
ええぇ～っ、嬉しいです！！いいんですか、グレノルトさん！			ええぇ～っ、嬉しいです！！いいんですか、グレノルトさん！			階段亭で乾杯を							
うむ、吾から皆への馳走とするゆえ、気兼ねなく楽しむといい。とはいえ吾はやはり下戸であるからな、パープルカロットジュースで、宴の空気に酔うとしよう。			うむ、吾から皆への馳走とするゆえ、気兼ねなく楽しむといい。とはいえ吾はやはり下戸であるからな、パープルカロットジュースで、宴の空気に酔うとしよう。			階段亭で乾杯を							
それでは、彷徨う階段亭へ向かうとするか。モーエン殿も、商談でムジカ・ユニバーサリスへ赴かれたゆえ、道中に声をかけて参ろう。			それでは、彷徨う階段亭へ向かうとするか。モーエン殿も、商談でムジカ・ユニバーサリスへ赴かれたゆえ、道中に声をかけて参ろう。			階段亭で乾杯を							
えへへ、ここのところ緊張続きでしたが、今日はパーっとやっちゃいますよーっ！			えへへ、ここのところ緊張続きでしたが、今日はパーっとやっちゃいますよーっ！			階段亭で乾杯を							
吾らも、若かりし時分にはこうして、同じ志を持つ仲間と賑やかに集まったものだったな……。			吾らも、若かりし時分にはこうして、同じ志を持つ仲間と賑やかに集まったものだったな……。			階段亭で乾杯を							
モーエン殿、貴女と知り合ったのも、思えば、この酒場での集まりであったか。それから幾度となく、夢や仕事のことを語り合ったものだ。			モーエン殿、貴女と知り合ったのも、思えば、この酒場での集まりであったか。それから幾度となく、夢や仕事のことを語り合ったものだ。			階段亭で乾杯を							
ええ、またこんな時間を過ごせるなんて……。グレノルトさんが求道のため旅に出てしまってから、もう望めないものかと思っていましたわ。			ええ、またこんな時間を過ごせるなんて……。グレノルトさんが求道のため旅に出てしまってから、もう望めないものかと思っていましたわ。			階段亭で乾杯を							
モーエン殿……！			モーエン殿……！			階段亭で乾杯を							
……貴女に誇れる職人になるまではと、自ら選んだ道です。			……貴女に誇れる職人になるまではと、自ら選んだ道です。			階段亭で乾杯を							
後悔してはおりません。なれど……これほど長い間、離れるつもりもなかったのです。つまりは己の不出来と弱さゆえのこと……。			後悔してはおりません。なれど……これほど長い間、離れるつもりもなかったのです。つまりは己の不出来と弱さゆえのこと……。			階段亭で乾杯を							
まあ、決してそのような……！			まあ、決してそのような……！			階段亭で乾杯を							
だが今の吾ならば……モーエン殿、貴女にずっと伝えたかったことが……！！			だが今の吾ならば……モーエン殿、貴女にずっと伝えたかったことが……！！			階段亭で乾杯を							
わわわ、グレノルトさんたちの人生の大舞台みたいですっ！がんばって～！！			わわわ、グレノルトさんたちの人生の大舞台みたいですっ！がんばって～！！			階段亭で乾杯を							
モーエン様、しっかり……！			モーエン様、しっかり……！			階段亭で乾杯を							
モーエン、殿…………。			モーエン、殿…………。			階段亭で乾杯を							
ハッ、これは……ワイン！？ぐぐグレノルトさん、パープルカロットジュースと間違えて、ワインを呑んでいたみたいですーーーっ！			ハッ、これは……ワイン！？ぐぐグレノルトさん、パープルカロットジュースと間違えて、ワインを呑んでいたみたいですーーーっ！			階段亭で乾杯を							
もう、本当に昔のまま！			もう、本当に昔のまま！			階段亭で乾杯を							
……きっとまた今度、聞かせてくださいね？ずっと前から、私にとっても十分誇らしい方なのだから……。			……きっとまた今度、聞かせてくださいね？ずっと前から、私にとっても十分誇らしい方なのだから……。			階段亭で乾杯を							
気づいたら、吾はこちらに運ばれていたようだ。すっかり宴の様子を覚えておらぬのだが……はて、モーエン殿はお帰りになったのであろうか？			気づいたら、吾はこちらに運ばれていたようだ。すっかり宴の様子を覚えておらぬのだが……はて、モーエン殿はお帰りになったのであろうか？			階段亭で乾杯を							
はいっ、モーエンさんなら改めて訪ねてこられるとのことです！ぜひぜひ、また今度続きを！			はいっ、モーエンさんなら改めて訪ねてこられるとのことです！ぜひぜひ、また今度続きを！			階段亭で乾杯を							
昔も、モーエン殿と同席した酒宴では途中から記憶をなくしてな。やれやれ、酒も呑んでおらぬはずが……何やら粗相をしておらねばよいが。			昔も、モーエン殿と同席した酒宴では途中から記憶をなくしてな。やれやれ、酒も呑んでおらぬはずが……何やら粗相をしておらねばよいが。			階段亭で乾杯を							
