スイの里のクレナイは、碧のタマミズのインバンを心待ちにしている。			スイの里のクレナイは、碧のタマミズのインバンを心待ちにしている。			ヒスイとクレナイ							
依頼の品を入手した。ハンサクを救助しよう。			依頼の品を入手した。ハンサクを救助しよう。			勘定方の新天地							
ハンサクを救助した。筋違砦の「ツキカゲ」に「トビザメのヒレ」を渡そう。			ハンサクを救助した。筋違砦の「ツキカゲ」に「トビザメのヒレ」を渡そう。			勘定方の新天地							
ツキカゲにトビザメのヒレを渡した。キキモからの依頼の品は、すべて揃った。晴れて東アルデナード商会との取引を開始できる。果たして、成功するだろうか……。			ツキカゲにトビザメのヒレを渡した。キキモからの依頼の品は、すべて揃った。晴れて東アルデナード商会との取引を開始できる。果たして、成功するだろうか……。			勘定方の新天地							
ツキカゲと話す			ツキカゲと話す			勘定方の新天地							
クガネのキキモにキキモ宛の書状を渡す			クガネのキキモにキキモ宛の書状を渡す			勘定方の新天地							
筋違砦のツキカゲに東アルデナード商会の契約書を渡す			筋違砦のツキカゲに東アルデナード商会の契約書を渡す			勘定方の新天地							
ハンサクと合流してトビザメのヒレを入手			ハンサクと合流してトビザメのヒレを入手			勘定方の新天地							
ハンサクを救助			ハンサクを救助			勘定方の新天地							
ツキカゲにトビザメのヒレを渡す			ツキカゲにトビザメのヒレを渡す			勘定方の新天地							
Forename殿は、遭難しかけた海賊衆を導く船頭だね。			Forename殿は、遭難しかけた海賊衆を導く船頭だね。			勘定方の新天地							
Forename殿、力添えに感謝する。東アルデナード商会のキキモ殿に、正式に取引を申し込むゆえ、その繋ぎを引き続き、任せたいんじゃ……。			Forename殿、力添えに感謝する。東アルデナード商会のキキモ殿に、正式に取引を申し込むゆえ、その繋ぎを引き続き、任せたいんじゃ……。			勘定方の新天地							
いかんせん、我ら海賊衆はクガネに出入りできんのでな。まずは取引にあたって文をしたためるゆえ、階段上の勘定方の詰所まで、ご同行願いたい。			いかんせん、我ら海賊衆はクガネに出入りできんのでな。まずは取引にあたって文をしたためるゆえ、階段上の勘定方の詰所まで、ご同行願いたい。			勘定方の新天地							
じゃあ、アタシは商材の用意をすすめとくかね。Forename殿、なんだか手間をかけるが、アタシからも、よろしく頼むよ！			じゃあ、アタシは商材の用意をすすめとくかね。Forename殿、なんだか手間をかけるが、アタシからも、よろしく頼むよ！			勘定方の新天地							
ご足労願って、すまないな。取引の諸条件を文に記しておいた……。これを東アルデナード商会の「キキモ」殿に届けてくれ。			ご足労願って、すまないな。取引の諸条件を文に記しておいた……。これを東アルデナード商会の「キキモ」殿に届けてくれ。			勘定方の新天地							
仮に、先方が追加条件を提示してきたとしても、わしら海賊衆は、最大限に応じるつもりじゃ。取引が実現するよう、どうか取りなしてくれよ！			仮に、先方が追加条件を提示してきたとしても、わしら海賊衆は、最大限に応じるつもりじゃ。取引が実現するよう、どうか取りなしてくれよ！			勘定方の新天地							
書状を東アルデナード商会の「キキモ」殿に届けてくれ。取引が実現するよう、どうか取りなしてくれよ！			書状を東アルデナード商会の「キキモ」殿に届けてくれ。取引が実現するよう、どうか取りなしてくれよ！			勘定方の新天地							
Forename様。また、お越しいただいたということは、良い報せを期待してもよろしいのでしょうか？			Forename様。また、お越しいただいたということは、良い報せを期待してもよろしいのでしょうか？			勘定方の新天地							
こうも早く話が進むとは！Forename様、素晴らしい取引をご紹介いただき、ありがとうございます。			こうも早く話が進むとは！Forename様、素晴らしい取引をご紹介いただき、ありがとうございます。			勘定方の新天地							
海賊衆との取引は、もちろん大歓迎です。ツキカゲ様から提示していただいた条件も充分です。このままの形で、取引を行うことを確約いたしましょう。			海賊衆との取引は、もちろん大歓迎です。ツキカゲ様から提示していただいた条件も充分です。このままの形で、取引を行うことを確約いたしましょう。			勘定方の新天地							
さらに、もうひとつ提案があります。今回の商品に加えて、依頼する品をそろえていただければ、買い取り額を増額させていただきましょう。			さらに、もうひとつ提案があります。今回の商品に加えて、依頼する品をそろえていただければ、買い取り額を増額させていただきましょう。			勘定方の新天地							
必要なのは、主に紅玉海で産する贅沢品です。帝国の海洋進出に伴い、海の治安が悪化した影響で、仕入れが難しくなり、困っているのですよ。			必要なのは、主に紅玉海で産する贅沢品です。帝国の海洋進出に伴い、海の治安が悪化した影響で、仕入れが難しくなり、困っているのですよ。			勘定方の新天地							
どうかお渡しした契約書を、「ツキカゲ」様にお届けください。			どうかお渡しした契約書を、「ツキカゲ」様にお届けください。			勘定方の新天地							
どうかお渡しした契約書を、「ツキカゲ」様にお届けください。			どうかお渡しした契約書を、「ツキカゲ」様にお届けください。			勘定方の新天地							
Forename殿、お帰りなさい。東アルデナード商会の手ごたえは、どうだった？			Forename殿、お帰りなさい。東アルデナード商会の手ごたえは、どうだった？			勘定方の新天地							
Forename、親分と会ってくれて、ありがとよ！おかげで、俺まで褒美をもらっちまった。			Forename、親分と会ってくれて、ありがとよ！おかげで、俺まで褒美をもらっちまった。			勘定方の新天地							
Forename殿、戻られたか。それで、キキモ殿から良い回答は得られたか？			Forename殿、戻られたか。それで、キキモ殿から良い回答は得られたか？			勘定方の新天地							
なんと、言い値で買い取ってくれる上に、新たな取引まで！これで、当面の財政難は回避できそうじゃ。			なんと、言い値で買い取ってくれる上に、新たな取引まで！これで、当面の財政難は回避できそうじゃ。			勘定方の新天地							
Forename殿、大役を見事に果たしていただいた。心から、感謝する。			Forename殿、大役を見事に果たしていただいた。心から、感謝する。			勘定方の新天地							
契約書に記されているのは、「万年亀の甲羅」に「大玉紅真珠」、それから「トビザメのヒレ」じゃな……。			契約書に記されているのは、「万年亀の甲羅」に「大玉紅真珠」、それから「トビザメのヒレ」じゃな……。			勘定方の新天地							
どれもクガネでは、入手が困難な高級品ばかり。さすがは、「えおるぜあ」随一の商会だけのことはある。目の付け所がちがうねぇ。			どれもクガネでは、入手が困難な高級品ばかり。さすがは、「えおるぜあ」随一の商会だけのことはある。目の付け所がちがうねぇ。			勘定方の新天地							
それじゃ、さっそく、オレがひとっぱしりして、依頼の品々を調達してきますよ、親分！			それじゃ、さっそく、オレがひとっぱしりして、依頼の品々を調達してきますよ、親分！			勘定方の新天地							
ハンサクの申し出はありがたいが、手分けしたほうが早かろう。「万年亀の甲羅」はわしが、スズメは「大玉紅真珠」を、ハンサクは「トビザメのヒレ」の調達を頼む。			ハンサクの申し出はありがたいが、手分けしたほうが早かろう。「万年亀の甲羅」はわしが、スズメは「大玉紅真珠」を、ハンサクは「トビザメのヒレ」の調達を頼む。			勘定方の新天地							
合点承知！！「トビザメのヒレ」なら、沖之岩の海岸ですね。さっそく、行ってきます！！			合点承知！！「トビザメのヒレ」なら、沖之岩の海岸ですね。さっそく、行ってきます！！			勘定方の新天地							
あーあ、調達数も確認せずに飛び出していっちまった。ったく……相変らず、抜けてるヤツだな。ありゃ、ハンサクじゃなくて、ヌケサクだ。			あーあ、調達数も確認せずに飛び出していっちまった。ったく……相変らず、抜けてるヤツだな。ありゃ、ハンサクじゃなくて、ヌケサクだ。			勘定方の新天地							
そういってやるな、スズメよ。ヤツは、前の船でひどい目にあい、必死で逃げ出してきた身。ようやくめぐりあった仲間に認められたくて、必死なんじゃ。			そういってやるな、スズメよ。ヤツは、前の船でひどい目にあい、必死で逃げ出してきた身。ようやくめぐりあった仲間に認められたくて、必死なんじゃ。			勘定方の新天地							
海賊衆にいる連中なんて、みんなそんなモンでは？アタシだって、今は、海賊衆が家族です。			海賊衆にいる連中なんて、みんなそんなモンでは？アタシだって、今は、海賊衆が家族です。			勘定方の新天地							
おおかた、昔の仲間との思わぬ再会に動揺して、いつも以上に、やる気がから回っておるんじゃろ……。			おおかた、昔の仲間との思わぬ再会に動揺して、いつも以上に、やる気がから回っておるんじゃろ……。			勘定方の新天地							
えっ！？親分、それは、ハンサクが東アルデナード商会を騙っていた、あのゴロツキどもの仲間だったってことですか？			えっ！？親分、それは、ハンサクが東アルデナード商会を騙っていた、あのゴロツキどもの仲間だったってことですか？			勘定方の新天地							
ああ、ハンサクは、隠そうとしてるようじゃがな。ヤツは、Forename殿を案内しなかったのではない。できなかったんじゃ……。			ああ、ハンサクは、隠そうとしてるようじゃがな。ヤツは、Forename殿を案内しなかったのではない。できなかったんじゃ……。			勘定方の新天地							
捨てた仲間と顔を合わせれば、ろくなことはない。連中は帆別銭の支払いを拒んだゆえ、樽詰めして海に放り込んだ。だが、生き延びて、報復にやってくる恐れはあるからな。			捨てた仲間と顔を合わせれば、ろくなことはない。連中は帆別銭の支払いを拒んだゆえ、樽詰めして海に放り込んだ。だが、生き延びて、報復にやってくる恐れはあるからな。			勘定方の新天地							
ハンサクが、下衆なゴロツキどもの仲間だったなんて……！			ハンサクが、下衆なゴロツキどもの仲間だったなんて……！			勘定方の新天地							
スズメ？どうかしたのか、顔色が悪いぞ？			スズメ？どうかしたのか、顔色が悪いぞ？			勘定方の新天地							
い、いや、なんでもありません、親分。ゴロツキどもの悪行に、胸くそ悪くなっただけです。そ、そろそろ、アタシも「大玉紅真珠」を調達しにいきます！			い、いや、なんでもありません、親分。ゴロツキどもの悪行に、胸くそ悪くなっただけです。そ、そろそろ、アタシも「大玉紅真珠」を調達しにいきます！			勘定方の新天地							
スズメは、どうしたんじゃ……？ゴロツキどもは、もう海に流したことだし、ハンサクは過去を捨て、今や海賊衆の仲間じゃ。			スズメは、どうしたんじゃ……？ゴロツキどもは、もう海に流したことだし、ハンサクは過去を捨て、今や海賊衆の仲間じゃ。			勘定方の新天地							
というわけで、飛び出したハンサクの助太刀が必要じゃ。Forename殿、お願いできるか？			というわけで、飛び出したハンサクの助太刀が必要じゃ。Forename殿、お願いできるか？			勘定方の新天地							
後先考えず危険に飛び込むハンサクを見守りつつ、沖之岩の南東の海岸で、「トビザメのヒレ」をひとつ入手してくれ。では、わしも依頼の品を調達に出るとする。			後先考えず危険に飛び込むハンサクを見守りつつ、沖之岩の南東の海岸で、「トビザメのヒレ」をひとつ入手してくれ。では、わしも依頼の品を調達に出るとする。			勘定方の新天地							
ひゃー、助かった。Forename、ありがとよ！でも、どうしてここに！？			ひゃー、助かった。Forename、ありがとよ！でも、どうしてここに！？			勘定方の新天地							
なるほど、親分が……。話し途中で飛び出しちまうなんて、やっぱオレってダメだな。頑張ったって、いつもうまくいかない……。			なるほど、親分が……。話し途中で飛び出しちまうなんて、やっぱオレってダメだな。頑張ったって、いつもうまくいかない……。			勘定方の新天地							
でも、依頼の品はアンタが揃えてくれたんだろ？だったら、急いで親分に届けようぜ！オレは、先に戻ってるな！			でも、依頼の品はアンタが揃えてくれたんだろ？だったら、急いで親分に届けようぜ！オレは、先に戻ってるな！			勘定方の新天地							
Forename殿に、しりぬぐいさせるとは……。ハンサクの野郎……まったく使えないヤツだよ……。			Forename殿に、しりぬぐいさせるとは……。ハンサクの野郎……まったく使えないヤツだよ……。			勘定方の新天地							
おお、待ちわびたぜ！オレだけ手ぶらで戻ったから、肩身が狭くてね！さあさあ、依頼の品を親分に手渡してくれ。			おお、待ちわびたぜ！オレだけ手ぶらで戻ったから、肩身が狭くてね！さあさあ、依頼の品を親分に手渡してくれ。			勘定方の新天地							
Forename殿、ご苦労だったのう。事の次第は、ハンサクから聞いたが、いやはや何から何まで、かたじけない……。			Forename殿、ご苦労だったのう。事の次第は、ハンサクから聞いたが、いやはや何から何まで、かたじけない……。			勘定方の新天地							
おお、これはまた立派なヒレじゃ！おかげで、キキモ殿の期待を上回る品を納められよう。			おお、これはまた立派なヒレじゃ！おかげで、キキモ殿の期待を上回る品を納められよう。			勘定方の新天地							
それでは、集めた品々を手土産代わりに、キキモ殿との打ち合わせを、お膳立てするとしようかの。押収品の受け渡し方法などを、詰めてしまわねばならん。			それでは、集めた品々を手土産代わりに、キキモ殿との打ち合わせを、お膳立てするとしようかの。押収品の受け渡し方法などを、詰めてしまわねばならん。			勘定方の新天地							
それじゃあ、アタシは押収品を、船に運び入れる準備をしておくよ。			それじゃあ、アタシは押収品を、船に運び入れる準備をしておくよ。			勘定方の新天地							
おおスズメよ、気が利くな、頼んだぞ。			おおスズメよ、気が利くな、頼んだぞ。			勘定方の新天地							
……だが、やはり少し元気がないようじゃ……。スズメに、いったい何があったんじゃ……？			……だが、やはり少し元気がないようじゃ……。スズメに、いったい何があったんじゃ……？			勘定方の新天地							
姉さん、珍しく、真珠の調達にも手こずってたようですぜ。ところで親分、海賊衆はクガネには行けないってのに、どうやってキキモ殿と打ち合わせをするんで？			姉さん、珍しく、真珠の調達にも手こずってたようですぜ。ところで親分、海賊衆はクガネには行けないってのに、どうやってキキモ殿と打ち合わせをするんで？			勘定方の新天地							
サカズキ島のツキカゲは、心配事があるようだ。			サカズキ島のツキカゲは、心配事があるようだ。			大シケ勘定方							
ツキカゲは、スズメがハンサクに仇討するつもりだと予想している。紅玉海のサカズキ島にいる「スズメ」と話し、仇討を止めよう。			ツキカゲは、スズメがハンサクに仇討するつもりだと予想している。紅玉海のサカズキ島にいる「スズメ」と話し、仇討を止めよう。			大シケ勘定方							
スズメと話して、仇討を思いとどまらせた。取引場所の安全を確保するため、サカズキ島の「指定地点」で見渡そう。			スズメと話して、仇討を思いとどまらせた。取引場所の安全を確保するため、サカズキ島の「指定地点」で見渡そう。			大シケ勘定方							
指定地点の安全を確認した。サカズキ島の北にいる「スズメ」と合流しよう。			指定地点の安全を確認した。サカズキ島の北にいる「スズメ」と合流しよう。			大シケ勘定方							
スズメを襲う魔物を討伐した。サカズキ島の北にいる「スズメ」を救助しよう。			スズメを襲う魔物を討伐した。サカズキ島の北にいる「スズメ」を救助しよう。			大シケ勘定方							
スズメを救助し、キキモへの荷の引き渡しも無事に終わりそうだ。紅玉海の筋違砦にいる「ツキカゲ」と話そう。			スズメを救助し、キキモへの荷の引き渡しも無事に終わりそうだ。紅玉海の筋違砦にいる「ツキカゲ」と話そう。			大シケ勘定方							
ツキカゲと話した。冒険者の協力によって、海賊衆の財政難は解決の方向に向かう兆しが見えた。勘定方の海賊衆の絆も深まり、海賊衆はさらなる活躍をみせることだろう。			ツキカゲと話した。冒険者の協力によって、海賊衆の財政難は解決の方向に向かう兆しが見えた。勘定方の海賊衆の絆も深まり、海賊衆はさらなる活躍をみせることだろう。			大シケ勘定方							
サカズキ島のスズメと話す			サカズキ島のスズメと話す			大シケ勘定方							
指定地点で見渡す			指定地点で見渡す			大シケ勘定方							
スズメと合流			スズメと合流			大シケ勘定方							
スズメを救助			スズメを救助			大シケ勘定方							
筋違砦のツキカゲと話す			筋違砦のツキカゲと話す			大シケ勘定方							
スズメは、ハンサクに仇討するために、取引場所の安全確保に向かったのやもしれん……！			スズメは、ハンサクに仇討するために、取引場所の安全確保に向かったのやもしれん……！			大シケ勘定方							
海賊衆は、様々な過去を背負った者たちの集団じゃ。ゆえに、ひとたび海賊衆に入ったのであれば過去を捨て、たとえ親の仇と言えど、身内同士の私闘は禁止じゃ。			海賊衆は、様々な過去を背負った者たちの集団じゃ。ゆえに、ひとたび海賊衆に入ったのであれば過去を捨て、たとえ親の仇と言えど、身内同士の私闘は禁止じゃ。			大シケ勘定方							
スズメめ……海賊衆をも捨てる覚悟か！？何とかして、ふたりを護らねば！！			スズメめ……海賊衆をも捨てる覚悟か！？何とかして、ふたりを護らねば！！			大シケ勘定方							
だが、そろそろ船を出港させねば、取引に間に合わん。船はわしが指揮せにゃならんが、取引場所につくころには、スズメが仇討を果たしてしまう！			だが、そろそろ船を出港させねば、取引に間に合わん。船はわしが指揮せにゃならんが、取引場所につくころには、スズメが仇討を果たしてしまう！			大シケ勘定方							
Forename殿、急ぎハンサクのもとへ向かい、スズメを止めてくれ！			Forename殿、急ぎハンサクのもとへ向かい、スズメを止めてくれ！			大シケ勘定方							
Forename殿、急ぎハンサクのもとへ向かい、スズメを止めてくれ！			Forename殿、急ぎハンサクのもとへ向かい、スズメを止めてくれ！			大シケ勘定方							
スズメさんが、昔の仲間たちが襲った村の出だったなんて……。オレは……オレは……。			スズメさんが、昔の仲間たちが襲った村の出だったなんて……。オレは……オレは……。			大シケ勘定方							
Forename殿、止めてくれるな！でないと、貴方にも刃を向けることになっちまう！誰も、アタシの仇討の邪魔はさせないよ！			Forename殿、止めてくれるな！でないと、貴方にも刃を向けることになっちまう！誰も、アタシの仇討の邪魔はさせないよ！			大シケ勘定方							
スズメに何と言う？			スズメに何と言う？			大シケ勘定方							
海賊衆どうしの仇討は禁止だ			海賊衆どうしの仇討は禁止だ			大シケ勘定方							
海賊衆入りしたときに、過去は捨てたはず			海賊衆入りしたときに、過去は捨てたはず			大シケ勘定方							
海賊衆同士の仇討が禁じられてるのはわかってる！でも、頑固者の父ちゃんも、優しかった母ちゃんも……。こいつらのせいで、こいつらのせいで……！			海賊衆同士の仇討が禁じられてるのはわかってる！でも、頑固者の父ちゃんも、優しかった母ちゃんも……。こいつらのせいで、こいつらのせいで……！			大シケ勘定方							
そう簡単に、捨てられるものかよ！？頑固者の父ちゃんも、優しかった母ちゃんも……こいつらのせいで、こいつらのせいで……！			そう簡単に、捨てられるものかよ！？頑固者の父ちゃんも、優しかった母ちゃんも……こいつらのせいで、こいつらのせいで……！			大シケ勘定方							
仇討しなきゃ、気が済まない！あの世の両親に顔向けができないじゃないか！			仇討しなきゃ、気が済まない！あの世の両親に顔向けができないじゃないか！			大シケ勘定方							
(-響き渡る声-)この、大うつけがぁ！！海賊衆を抜けるんは、船に乗れなくなったときのみじゃ！			(-響き渡る声-)この、大うつけがぁ！！海賊衆を抜けるんは、船に乗れなくなったときのみじゃ！			大シケ勘定方							
海賊衆は、みな家族！その家族に手をかけたもんは、例外なく死罪じゃ！うぬに、その覚悟はあるんじゃろな！？			海賊衆は、みな家族！その家族に手をかけたもんは、例外なく死罪じゃ！うぬに、その覚悟はあるんじゃろな！？			大シケ勘定方							
もちろんです……！そのつもりで、ここに来ました……！！			もちろんです……！そのつもりで、ここに来ました……！！			大シケ勘定方							
フン、そこまで言うなら、承知した。スズメの納得いくようにすればいい。だが、落とし前をつけるのは、キキモ殿との取引の後にせい！			フン、そこまで言うなら、承知した。スズメの納得いくようにすればいい。だが、落とし前をつけるのは、キキモ殿との取引の後にせい！			大シケ勘定方							
この取引には、海賊衆すべての未来がかかっとる！うぬの手前勝手な理由で、海賊衆を総崩れにさせるつもりか！？			この取引には、海賊衆すべての未来がかかっとる！うぬの手前勝手な理由で、海賊衆を総崩れにさせるつもりか！？			大シケ勘定方							
う……世話になったみなに、迷惑をかけるわけには……。取引が終わるまでは、しかと役目を果たします……。			う……世話になったみなに、迷惑をかけるわけには……。取引が終わるまでは、しかと役目を果たします……。			大シケ勘定方							
よし、ならば、さっさと取引場所周辺の安全を確保せい！いけ、スズメ、ハンサク！！			よし、ならば、さっさと取引場所周辺の安全を確保せい！いけ、スズメ、ハンサク！！			大シケ勘定方							
(-スズメとハンサク-)合点承知！！			(-スズメとハンサク-)合点承知！！			大シケ勘定方							
スズメ、抜け駆けは許さんぞ！！すべてが終わるまで、ハンサクへの手出しは一切厳禁じゃ！			スズメ、抜け駆けは許さんぞ！！すべてが終わるまで、ハンサクへの手出しは一切厳禁じゃ！			大シケ勘定方							
も、もちろんです！			も、もちろんです！			大シケ勘定方							
ふぅ……間一髪間に合ったな。Forename殿が、スズメを止めてくれたおかげじゃ、かたじけない！			ふぅ……間一髪間に合ったな。Forename殿が、スズメを止めてくれたおかげじゃ、かたじけない！			大シケ勘定方							
わしは積荷の見張りに戻るが、予断は許さん状況じゃ。Forename殿も、島の北側で辺りを見回し、安全を確認してくれ。			わしは積荷の見張りに戻るが、予断は許さん状況じゃ。Forename殿も、島の北側で辺りを見回し、安全を確認してくれ。			大シケ勘定方							
それが済んだら、スズメの様子も見てやってほしい。よろしく頼んだぞ。			それが済んだら、スズメの様子も見てやってほしい。よろしく頼んだぞ。			大シケ勘定方							
お前さんは、島の北側の安全を確認してくれ。それが済んだら、スズメの様子も見てやってほしい。よろしく頼んだぞ。			お前さんは、島の北側の安全を確認してくれ。それが済んだら、スズメの様子も見てやってほしい。よろしく頼んだぞ。			大シケ勘定方							
ちくしょー、ちくしょー！魔物もハンサクも、みんな仕留めてやる！			ちくしょー、ちくしょー！魔物もハンサクも、みんな仕留めてやる！			大シケ勘定方							
この付近には、魔物がいないようだ。スズメの様子を確認しよう。			この付近には、魔物がいないようだ。スズメの様子を確認しよう。			大シケ勘定方							
Forename殿……ハンサクが駆けつけてくれたが、ふたりしてこのザマだ。まだ魔物が残ってる……ブッ倒してくれ……。			Forename殿……ハンサクが駆けつけてくれたが、ふたりしてこのザマだ。まだ魔物が残ってる……ブッ倒してくれ……。			大シケ勘定方							
敵が襲いかかってきた！！			敵が襲いかかってきた！！			大シケ勘定方							
スズメさんをかばって、このザマだ……。じきに動けるようになる……。			スズメさんをかばって、このザマだ……。じきに動けるようになる……。			大シケ勘定方							
Forename殿……気張ってくれ。すまないが、アタシらはまだ動けそうにない。			Forename殿……気張ってくれ。すまないが、アタシらはまだ動けそうにない。			大シケ勘定方							
また助けてもらっちまったな……。俺は、これぐらい、どうってことない……。先に、スズメさんを見てやってくれ……。			また助けてもらっちまったな……。俺は、これぐらい、どうってことない……。先に、スズメさんを見てやってくれ……。			大シケ勘定方							
Forename殿……。危ないところを、ありがとう。			Forename殿……。危ないところを、ありがとう。			大シケ勘定方							
怒りのあまり、背後の魔物に気付くのが遅れちまった。ハンサクが盾になってくれたおかげで、命拾いしたが……これは罪滅ぼしのつもりか！？			怒りのあまり、背後の魔物に気付くのが遅れちまった。ハンサクが盾になってくれたおかげで、命拾いしたが……これは罪滅ぼしのつもりか！？			大シケ勘定方							
そ、そんなんじゃない……。とっさのことで、考えるヒマさえなかった。身体が勝手に動いただけで……ともかく、無事でよかった。			そ、そんなんじゃない……。とっさのことで、考えるヒマさえなかった。身体が勝手に動いただけで……ともかく、無事でよかった。			大シケ勘定方							
ハッ……。確かに、そそっかしいハンサクが、後先なんて、考えるはずもないか……。			ハッ……。確かに、そそっかしいハンサクが、後先なんて、考えるはずもないか……。			大シケ勘定方							
照れるな、褒めちゃいないぞ！自分を殺そうとしているヤツを助ける野郎なんざ、やっぱり、ハンサクじゃなくてヌケサクだ……。			照れるな、褒めちゃいないぞ！自分を殺そうとしているヤツを助ける野郎なんざ、やっぱり、ハンサクじゃなくてヌケサクだ……。			大シケ勘定方							
ハァ……あほらしい……。今を生きようと必死に駆けずりまわるハンサクを見ていたら、変えられない過去にこだわる自分が、ちっぽけに思えてきたよ。			ハァ……あほらしい……。今を生きようと必死に駆けずりまわるハンサクを見ていたら、変えられない過去にこだわる自分が、ちっぽけに思えてきたよ。			大シケ勘定方							
ようやく気付いたか、スズメよ。ならば、ハンサクとわしに何を言うべきかわかるじゃろ？			ようやく気付いたか、スズメよ。ならば、ハンサクとわしに何を言うべきかわかるじゃろ？			大シケ勘定方							
ハンサク、すまない……。そして、助けてくれて、ありがとう。こんなアタシだが……海賊衆に残っててもいいか？			ハンサク、すまない……。そして、助けてくれて、ありがとう。こんなアタシだが……海賊衆に残っててもいいか？			大シケ勘定方							
残るもなにも……スズメさんの居場所は、海賊衆だけだ！			残るもなにも……スズメさんの居場所は、海賊衆だけだ！			大シケ勘定方							
親分、お願いします……。ハンサクよりも、ずっとうつけ者ですが、これからもアタシを海賊衆においてください！			親分、お願いします……。ハンサクよりも、ずっとうつけ者ですが、これからもアタシを海賊衆においてください！			大シケ勘定方							
はっ、もとより、そのつもりじゃ。海賊衆は、家柄にも、過去の栄光にも、ましてや国にも頼らん。ただ家族たる仲間との絆にのみ頼り、生きていくんじゃ！			はっ、もとより、そのつもりじゃ。海賊衆は、家柄にも、過去の栄光にも、ましてや国にも頼らん。ただ家族たる仲間との絆にのみ頼り、生きていくんじゃ！			大シケ勘定方							
(-スズメとハンサク-)はいッ！			(-スズメとハンサク-)はいッ！			大シケ勘定方							
と、ところで、親分……キキモ殿が、そろそろ到着する頃合いじゃないんですかい？大切な取引相手を、ほっぽり出しておくのはマズいんじゃ……。			と、ところで、親分……キキモ殿が、そろそろ到着する頃合いじゃないんですかい？大切な取引相手を、ほっぽり出しておくのはマズいんじゃ……。			大シケ勘定方							
これで取引がご破算になったとしても、大切な家族を同時にふたりも失うよりマシじゃ！家族がおれば、力を合わせて難局を打破できるからのう！			これで取引がご破算になったとしても、大切な家族を同時にふたりも失うよりマシじゃ！家族がおれば、力を合わせて難局を打破できるからのう！			大シケ勘定方							
(-呼びかける声-)誰が、取引をご破算にするですって？			(-呼びかける声-)誰が、取引をご破算にするですって？			大シケ勘定方							
取引場所に着いても、荷を見張る配下の者のみで、ツキカゲ殿がいないと荷は渡せぬと言われ、捜しにきました。ひとまずご無事のようで安心しました。			取引場所に着いても、荷を見張る配下の者のみで、ツキカゲ殿がいないと荷は渡せぬと言われ、捜しにきました。ひとまずご無事のようで安心しました。			大シケ勘定方							
こ、これは、キキモ殿……身内の恥をさらしてしまったようじゃのう……。			こ、これは、キキモ殿……身内の恥をさらしてしまったようじゃのう……。			大シケ勘定方							
いえいえ、むしろ取引相手を見極めるいい機会でしたわ。海賊衆が結束力に優れた、信頼に値する組織だとわかりました。ぜひとも我が商会との独占契約を結ばせてください。			いえいえ、むしろ取引相手を見極めるいい機会でしたわ。海賊衆が結束力に優れた、信頼に値する組織だとわかりました。ぜひとも我が商会との独占契約を結ばせてください。			大シケ勘定方							
さあ、まずは最初の取引を完了させましょう。あれほどの荷を、船に運びこむのは大変難儀ですので。			さあ、まずは最初の取引を完了させましょう。あれほどの荷を、船に運びこむのは大変難儀ですので。			大シケ勘定方							
は、はい、すぐに運び入れます！			は、はい、すぐに運び入れます！			大シケ勘定方							
ハンサク、行くぞ！			ハンサク、行くぞ！			大シケ勘定方							
Forename殿……何から何まで、世話になった。荷の受け渡しに戻るゆえ、のちほど筋違砦で会おう！			Forename殿……何から何まで、世話になった。荷の受け渡しに戻るゆえ、のちほど筋違砦で会おう！			大シケ勘定方							
Forename殿……取引も無事に終わり、紅玉海産の贅沢品と、押収品の買い取りの継続的な契約まで取り付けたんじゃ。			Forename殿……取引も無事に終わり、紅玉海産の贅沢品と、押収品の買い取りの継続的な契約まで取り付けたんじゃ。			大シケ勘定方							
スズメとハンサクも家族同然に、協力して仕事に励んでおってな。これで、海賊衆の窮状も、どうにか持ちなおせるじゃろう。			スズメとハンサクも家族同然に、協力して仕事に励んでおってな。これで、海賊衆の窮状も、どうにか持ちなおせるじゃろう。			大シケ勘定方							
すべては、Forename殿が、わしらに力を貸して、絆を結んでくれたおかげじゃ。本当に、ありがとう。			すべては、Forename殿が、わしらに力を貸して、絆を結んでくれたおかげじゃ。本当に、ありがとう。			大シケ勘定方							
お前さんも、わしら海賊衆の一員じゃと思っとる。好きなときに、顔を出してくれ。いつでも歓迎するぞ。			お前さんも、わしら海賊衆の一員じゃと思っとる。好きなときに、顔を出してくれ。いつでも歓迎するぞ。			大シケ勘定方							
筋違砦のカイザンは、度胸ある者を探しているようだ。			筋違砦のカイザンは、度胸ある者を探しているようだ。			海賊衆の仕置							
弱らせたオオウミヘビに大きな麻袋を使い捕獲			弱らせたオオウミヘビに大きな麻袋を使い捕獲			海賊衆の仕置							
カイザンに捕獲したオオウミヘビを渡す			カイザンに捕獲したオオウミヘビを渡す			海賊衆の仕置							
なあ、姉ちゃん兄ちゃん。ひとつ、度胸がいる仕事を引き受けてくれないか？			なあ、姉ちゃん兄ちゃん。ひとつ、度胸がいる仕事を引き受けてくれないか？			海賊衆の仕置							
沖之岩の西に、「オオウミヘビ」がいる。そいつを3匹、ある程度弱らせてから、「大きな麻袋」を使って捕獲してくれ。			沖之岩の西に、「オオウミヘビ」がいる。そいつを3匹、ある程度弱らせてから、「大きな麻袋」を使って捕獲してくれ。			海賊衆の仕置							
