剣術士ギルドのルルツが、冒険者に耳寄りな情報を教えたいようだ。			剣術士ギルドのルルツが、冒険者に耳寄りな情報を教えたいようだ。			自由騎士の誓約							
そして、私もいつか……この剣を光らせることができるよう、精一杯努めてみせる！			そして、私もいつか……この剣を光らせることができるよう、精一杯努めてみせる！			志すは真の騎士							
ソルクザギル様……。もう一度、いっしょにやることはできませんか。どうか、私に協力してください。			ソルクザギル様……。もう一度、いっしょにやることはできませんか。どうか、私に協力してください。			志すは真の騎士							
……わかった、ともに行こう。だが、騎士の資格のないわしは、「銀冑団」に戻るつもりはない。			……わかった、ともに行こう。だが、騎士の資格のないわしは、「銀冑団」に戻るつもりはない。			志すは真の騎士							
裏で貴君を支えながら、わしなりのやり方で「己の聖剣」を貫き、ウルダハを守ってみせよう。			裏で貴君を支えながら、わしなりのやり方で「己の聖剣」を貫き、ウルダハを守ってみせよう。			志すは真の騎士							
Forename Surname……。感謝する。			Forename Surname……。感謝する。			志すは真の騎士							
貴君は、信念としての「聖剣」を信じ、これからも自由騎士として、皆の模範となるよう精進してほしい。			貴君は、信念としての「聖剣」を信じ、これからも自由騎士として、皆の模範となるよう精進してほしい。			志すは真の騎士							
ようやく、わしも自由騎士になれるか……。……ふふ、清々しい気分だ。			ようやく、わしも自由騎士になれるか……。……ふふ、清々しい気分だ。			志すは真の騎士							
貴君は、信念としての「聖剣」を信じ、これからも自由騎士として、皆の模範となるよう精進してほしい。			貴君は、信念としての「聖剣」を信じ、これからも自由騎士として、皆の模範となるよう精進してほしい。			志すは真の騎士							
今後、どんな難局にも「私の聖剣」で対応してみせよう。私の本分は「銀冑団」を率いて、ウルダハを……ウルダハの精神を守ることなのだから。			今後、どんな難局にも「私の聖剣」で対応してみせよう。私の本分は「銀冑団」を率いて、ウルダハを……ウルダハの精神を守ることなのだから。			志すは真の騎士							
……行ってしまうのですか、ソルクザギルさん。			……行ってしまうのですか、ソルクザギルさん。			志すは真の騎士							
ああ、もうお前に教えることはない。一度ウルダハに戻り、友を……ジェンリンスを助け、ひとりの市民として故郷を守ろうと思う。			ああ、もうお前に教えることはない。一度ウルダハに戻り、友を……ジェンリンスを助け、ひとりの市民として故郷を守ろうと思う。			志すは真の騎士							
わかりました、どうかお気をつけて。これまで、ありがとうございました。			わかりました、どうかお気をつけて。これまで、ありがとうございました。			志すは真の騎士							
なに、一段落したら、また戻ってくるさ。今度は、ファルコンネストの復興を手伝いにな。それが、ハンドレッド・アイズとの約束でもあったのだから。			なに、一段落したら、また戻ってくるさ。今度は、ファルコンネストの復興を手伝いにな。それが、ハンドレッド・アイズとの約束でもあったのだから。			志すは真の騎士							
はい……！お待ちしてます……！			はい……！お待ちしてます……！			志すは真の騎士							
行ってしまいましたね……。姉さん兄さん、一度「ファルコンネスト」に戻りましょう。			行ってしまいましたね……。姉さん兄さん、一度「ファルコンネスト」に戻りましょう。			志すは真の騎士							
……いろいろありましたが、「真の騎士」としての在り方がわかったような気がします。			……いろいろありましたが、「真の騎士」としての在り方がわかったような気がします。			志すは真の騎士							
僕は、あの場に立ち会えたことを誇りに、これからも、イシュガルドのために活動していきます。			僕は、あの場に立ち会えたことを誇りに、これからも、イシュガルドのために活動していきます。			志すは真の騎士							
そして、僕もいつか、自由騎士のあなたのように、自分の力ですべてを守れる男になりたい！			そして、僕もいつか、自由騎士のあなたのように、自分の力ですべてを守れる男になりたい！			志すは真の騎士							
Forenameさん……長い間、本当にありがとうございました！			Forenameさん……長い間、本当にありがとうございました！			志すは真の騎士							
「ナイト」の物語が、ひとつの区切りを迎えました！次の「ナイト」のジョブクエストを開始するためには、以下の条件を満たす必要があります。			「ナイト」の物語が、ひとつの区切りを迎えました！次の「ナイト」のジョブクエストを開始するためには、以下の条件を満たす必要があります。			志すは真の騎士							
1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			志すは真の騎士							
条件を満たし、ウルダハ王政庁の「ジェンリンス」に話しかけ、新たなジョブクエストを開始しましょう！			条件を満たし、ウルダハ王政庁の「ジェンリンス」に話しかけ、新たなジョブクエストを開始しましょう！			志すは真の騎士							
Forenameさん！手加減は抜きですよ！　本気で行きます！			Forenameさん！手加減は抜きですよ！　本気で行きます！			志すは真の騎士							
さすが自由騎士……一筋縄には行きませんね……！			さすが自由騎士……一筋縄には行きませんね……！			志すは真の騎士							
まだだ！　まだ、倒れることなんてできませんよ！			まだだ！　まだ、倒れることなんてできませんよ！			志すは真の騎士							
ハァハァ……くそぉぉぉ！　負けるもんかぁぁぁぁ！			ハァハァ……くそぉぉぉ！　負けるもんかぁぁぁぁ！			志すは真の騎士							
見せてもらおう、実戦で鍛えられた貴君の実力を！			見せてもらおう、実戦で鍛えられた貴君の実力を！			志すは真の騎士							
やるではないか！だが、わしも負けはせぬ！			やるではないか！だが、わしも負けはせぬ！			志すは真の騎士							
そろそろ見せてやろう……我流の騎士の真髄をな！			そろそろ見せてやろう……我流の騎士の真髄をな！			志すは真の騎士							
どうだ、我が鉄壁の守り！貴君といえど、早々には破れまい！			どうだ、我が鉄壁の守り！貴君といえど、早々には破れまい！			志すは真の騎士							
くっ……さすがは光の戦士といったところか……だが、まだ終わらんぞ！			くっ……さすがは光の戦士といったところか……だが、まだ終わらんぞ！			志すは真の騎士							
ふははは！　貴君との戦いは楽しいぞ！どんどん力が湧いてくる！			ふははは！　貴君との戦いは楽しいぞ！どんどん力が湧いてくる！			志すは真の騎士							
……そう、これこそ、わしが求めていたものだ！			……そう、これこそ、わしが求めていたものだ！			志すは真の騎士							
剣術士ギルドのミラは、冒険者に伝えたいことがあるようだ。			剣術士ギルドのミラは、冒険者に伝えたいことがあるようだ。			ウル王杯闘技会の始まり							
ミラと話した。大会に出場するために、剣術士ギルドの「指定地点」で待機しよう。			ミラと話した。大会に出場するために、剣術士ギルドの「指定地点」で待機しよう。			ウル王杯闘技会の始まり							
指定地点で待機していると、初戦の相手であるバーソロミューが現れた。準備が整ったら、剣術士ギルドの「闘技会の受付人」に話しかけて予選に出場しよう。			指定地点で待機していると、初戦の相手であるバーソロミューが現れた。準備が整ったら、剣術士ギルドの「闘技会の受付人」に話しかけて予選に出場しよう。			ウル王杯闘技会の始まり							
ウル王杯闘技会の予選に参加し、見事、ザル・ブロックを制した。ウルダハの剣術士ギルドに戻ろう。			ウル王杯闘技会の予選に参加し、見事、ザル・ブロックを制した。ウルダハの剣術士ギルドに戻ろう。			ウル王杯闘技会の始まり							
剣術士ギルドの「アンドゥルー」に話しかけ、健闘を称え合おう。			剣術士ギルドの「アンドゥルー」に話しかけ、健闘を称え合おう。			ウル王杯闘技会の始まり							
アンドゥルーやブロンズ・ブル、バーソロミューと健闘を称え合った。剣術士ギルドの「ミラ」と話そう。			アンドゥルーやブロンズ・ブル、バーソロミューと健闘を称え合った。剣術士ギルドの「ミラ」と話そう。			ウル王杯闘技会の始まり							
ミラと話した。次の試合は、今後行われるナル・ブロックを制した者との決勝戦のようだ。本番まで、腕を磨いておくとしよう。※ナイトのレベルが65以上になると、剣術士ギルドのミラから次のナイトクエストを受注することができます。			ミラと話した。次の試合は、今後行われるナル・ブロックを制した者との決勝戦のようだ。本番まで、腕を磨いておくとしよう。※ナイトのレベルが65以上になると、剣術士ギルドのミラから次のナイトクエストを受注することができます。			ウル王杯闘技会の始まり							
指定地点で待機			指定地点で待機			ウル王杯闘技会の始まり							
闘技会の受付人と話す			闘技会の受付人と話す			ウル王杯闘技会の始まり							
アンドゥルーと話す			アンドゥルーと話す			ウル王杯闘技会の始まり							
ミラと話す			ミラと話す			ウル王杯闘技会の始まり							
よく来たな。いよいよForenameの出番がやってきたぞ！			よく来たな。いよいよForenameの出番がやってきたぞ！			ウル王杯闘技会の始まり							
各ブロックの出場選手は8名……。つまり合計3回、勝ち上がることができれば、決勝戦に進めることになる。			各ブロックの出場選手は8名……。つまり合計3回、勝ち上がることができれば、決勝戦に進めることになる。			ウル王杯闘技会の始まり							
初戦の相手も、すでに決まっているぞ。Forenameの最初の相手は、銀冑団のバーソロミューだ！			初戦の相手も、すでに決まっているぞ。Forenameの最初の相手は、銀冑団のバーソロミューだ！			ウル王杯闘技会の始まり							
バーソロミューに勝てた場合、その後は、同じくトーナメントを勝ち上がってきた者と戦うことになる。勝ち進むにつれて、対する相手も強敵となるだろうな。			バーソロミューに勝てた場合、その後は、同じくトーナメントを勝ち上がってきた者と戦うことになる。勝ち進むにつれて、対する相手も強敵となるだろうな。			ウル王杯闘技会の始まり							
試合に出場するには、剣術士ギルドにいる、「闘技会の受付人」のそばで待っていればいいからな。……それでは、健闘を祈っているぞ！			試合に出場するには、剣術士ギルドにいる、「闘技会の受付人」のそばで待っていればいいからな。……それでは、健闘を祈っているぞ！			ウル王杯闘技会の始まり							
試合に出場するには、剣術士ギルドにいる、「闘技会の受付人」のそばで待っていればいいからな。……それでは、健闘を祈っているぞ！			試合に出場するには、剣術士ギルドにいる、「闘技会の受付人」のそばで待っていればいいからな。……それでは、健闘を祈っているぞ！			ウル王杯闘技会の始まり							
随時、受付を済ませておりますので、今しばらくお待ちください。			随時、受付を済ませておりますので、今しばらくお待ちください。			ウル王杯闘技会の始まり							
まさか、貴方が初戦の相手になるとは、思ってもいませんでしたぞ！まったく、運がいいんだか悪いんだか……。			まさか、貴方が初戦の相手になるとは、思ってもいませんでしたぞ！まったく、運がいいんだか悪いんだか……。			ウル王杯闘技会の始まり							
私も、銀冑団を背負っての出場です。やるからには、全力で行かせてもらいますから、よろしくお願いしますよ！			私も、銀冑団を背負っての出場です。やるからには、全力で行かせてもらいますから、よろしくお願いしますよ！			ウル王杯闘技会の始まり							
準備ができましたら、改めてお声がけください。いよいよ本番です……頑張ってくださいね！			準備ができましたら、改めてお声がけください。いよいよ本番です……頑張ってくださいね！			ウル王杯闘技会の始まり							
試合に出場するには、剣術士ギルドにいる、「闘技会の受付人」に話しかければいいはずだ。……それでは、健闘を祈っているぞ！			試合に出場するには、剣術士ギルドにいる、「闘技会の受付人」に話しかければいいはずだ。……それでは、健闘を祈っているぞ！			ウル王杯闘技会の始まり							
準備は整いましたか？			準備は整いましたか？			ウル王杯闘技会の始まり							
ザル・ブロックの各試合が終わったわけだが、それにしても激闘の連続だったな！			ザル・ブロックの各試合が終わったわけだが、それにしても激闘の連続だったな！			ウル王杯闘技会の始まり							
はい！さすがというべきでしょうか、Forenameの強さが目立ちましたね。			はい！さすがというべきでしょうか、Forenameの強さが目立ちましたね。			ウル王杯闘技会の始まり							
あぁ、そうだったな！見事決勝戦に駒を進めた、Forenameの戦いを中心に、各試合を振り返るとするか！			あぁ、そうだったな！見事決勝戦に駒を進めた、Forenameの戦いを中心に、各試合を振り返るとするか！			ウル王杯闘技会の始まり							
Forenameの初戦は、銀冑団のバーソロミューでした！バーソロミューも意地を見せたのですが、Forenameが一枚上手でしたね。			Forenameの初戦は、銀冑団のバーソロミューでした！バーソロミューも意地を見せたのですが、Forenameが一枚上手でしたね。			ウル王杯闘技会の始まり							
あぁ、銀冑団を背負っているという気迫は凄く伝わってきたが、残念ながら及ばなかったな……！次のForenameの相手は、ブロンズ・ブルだった！			あぁ、銀冑団を背負っているという気迫は凄く伝わってきたが、残念ながら及ばなかったな……！次のForenameの相手は、ブロンズ・ブルだった！			ウル王杯闘技会の始まり							
えぇ、コロセウムでの経験と持ち前の腕力を活かした、豪快な技を繰り出したブロンズ・ブルでしたが、冷静にかいくぐったForenameが、勝利を掴みました！			えぇ、コロセウムでの経験と持ち前の腕力を活かした、豪快な技を繰り出したブロンズ・ブルでしたが、冷静にかいくぐったForenameが、勝利を掴みました！			ウル王杯闘技会の始まり							
そして次が、ザル・ブロック最後の戦い。イシュガルドの神殿騎士団より参戦した、アンドゥルーとの試合でした！			そして次が、ザル・ブロック最後の戦い。イシュガルドの神殿騎士団より参戦した、アンドゥルーとの試合でした！			ウル王杯闘技会の始まり							
神殿騎士団に伝わる技を引っさげ、激闘を繰り広げたんだが、各技を見事に対処したForenameが制し、決勝戦に駒を進めたな！			神殿騎士団に伝わる技を引っさげ、激闘を繰り広げたんだが、各技を見事に対処したForenameが制し、決勝戦に駒を進めたな！			ウル王杯闘技会の始まり							
さて、次回はナル・ブロックの各試合が行われます！剣術士ギルドのミラが登場するなど、こちらも楽しみなブロックですね！			さて、次回はナル・ブロックの各試合が行われます！剣術士ギルドのミラが登場するなど、こちらも楽しみなブロックですね！			ウル王杯闘技会の始まり							
あぁ！今後の試合も、楽しみにしてくれよな！			あぁ！今後の試合も、楽しみにしてくれよな！			ウル王杯闘技会の始まり							
……さて、と。ここまでは、予定どおりか。			……さて、と。ここまでは、予定どおりか。			ウル王杯闘技会の始まり							
あのForenameとかいう姉ちゃん兄ちゃんは、自由騎士とやらを名乗っている英雄さまだ。万が一にも、負けることはないだろうよ。			あのForenameとかいう姉ちゃん兄ちゃんは、自由騎士とやらを名乗っている英雄さまだ。万が一にも、負けることはないだろうよ。			ウル王杯闘技会の始まり							
ひっひっひっ……このまま勝ち進んで、俺たちをヒト儲けさせてくれよ？Forenameや……。			ひっひっひっ……このまま勝ち進んで、俺たちをヒト儲けさせてくれよ？Forenameや……。			ウル王杯闘技会の始まり							
決勝戦進出、おめでとうございます！			決勝戦進出、おめでとうございます！			ウル王杯闘技会の始まり							
見事な戦いぶりだったな！せっかくだし、戦った者たちと健闘を称え合うといいだろう。話が終わったら、また声をかけてくれ。			見事な戦いぶりだったな！せっかくだし、戦った者たちと健闘を称え合うといいだろう。話が終わったら、また声をかけてくれ。			ウル王杯闘技会の始まり							
さすがForename殿、見事であった！私も、もっと研鑽せねばな……。			さすがForename殿、見事であった！私も、もっと研鑽せねばな……。			ウル王杯闘技会の始まり							
完敗です……。貴方はいったい、何を守るために、そのように強くなられたのです？			完敗です……。貴方はいったい、何を守るために、そのように強くなられたのです？			ウル王杯闘技会の始まり							
我々には、ナナモ陛下という守るべき主がいます。陛下をお守りすることこそ、我々、銀冑団の本分……そのために、強くあらねばと思っていました。			我々には、ナナモ陛下という守るべき主がいます。陛下をお守りすることこそ、我々、銀冑団の本分……そのために、強くあらねばと思っていました。			ウル王杯闘技会の始まり							
しかし貴方を見ていると、それだけではないように感じます。この先の貴方の戦いをこの目で見て、それが何なのか、学び取ることにしますよ！			しかし貴方を見ていると、それだけではないように感じます。この先の貴方の戦いをこの目で見て、それが何なのか、学び取ることにしますよ！			ウル王杯闘技会の始まり							
俺っちが、この剣でもって、テッペンを取ってやろうと思ってたんだが……。あんたには感服だよ、まだまだ修行が足りねぇようだ！			俺っちが、この剣でもって、テッペンを取ってやろうと思ってたんだが……。あんたには感服だよ、まだまだ修行が足りねぇようだ！			ウル王杯闘技会の始まり							
せっかくウルダハまでやってきたことだし、このまま大会の行方を見守らせてもらうとするよ。我々の分まで頑張ってほしい、Forename殿！			せっかくウルダハまでやってきたことだし、このまま大会の行方を見守らせてもらうとするよ。我々の分まで頑張ってほしい、Forename殿！			ウル王杯闘技会の始まり							
そういえば、さきほど「ミラ」という女性が、Forename殿を探していたようだったぞ。声をかけてみたらどうだ？			そういえば、さきほど「ミラ」という女性が、Forename殿を探していたようだったぞ。声をかけてみたらどうだ？			ウル王杯闘技会の始まり							
見事、決勝戦に勝ち上がったじゃないか！私も試合を見させてもらっていたが、恐れ入ったぞ！			見事、決勝戦に勝ち上がったじゃないか！私も試合を見させてもらっていたが、恐れ入ったぞ！			ウル王杯闘技会の始まり							
次のForenameの出番は、決勝戦。今度行われるナル・ブロックを制した者と、優勝を懸けて戦うことになる……！			次のForenameの出番は、決勝戦。今度行われるナル・ブロックを制した者と、優勝を懸けて戦うことになる……！			ウル王杯闘技会の始まり							
私もForenameと決勝戦で戦えるよう、全力で挑むぞ！よければ、応援してほしい！			私もForenameと決勝戦で戦えるよう、全力で挑むぞ！よければ、応援してほしい！			ウル王杯闘技会の始まり							
ファルコンネストのコンスタンは、聖剣の行方について手がかりを見つけたようだ。			ファルコンネストのコンスタンは、聖剣の行方について手がかりを見つけたようだ。			己の聖剣							
コンスタンが見つけたソルクザギルの遺品の手帳から、彼がファルコンネストの北へ向かったとわかった。クルザス西部高地のゴルガニュ牧場南西にいる「コンスタン」と話そう。			コンスタンが見つけたソルクザギルの遺品の手帳から、彼がファルコンネストの北へ向かったとわかった。クルザス西部高地のゴルガニュ牧場南西にいる「コンスタン」と話そう。			己の聖剣							
コンスタンと話し、周辺を探すことになった。ゴルガニュ牧場南西で聖剣の手がかりを探そう。			コンスタンと話し、周辺を探すことになった。ゴルガニュ牧場南西で聖剣の手がかりを探そう。			己の聖剣							
近衛騎士の小冠と凍った血痕を発見した。ゴルガニュ牧場南西の「コンスタン」に「近衛騎士の小冠」を渡そう。			近衛騎士の小冠と凍った血痕を発見した。ゴルガニュ牧場南西の「コンスタン」に「近衛騎士の小冠」を渡そう。			己の聖剣							
ソルクザギルは、ゴルガニュ牧場南西に来ていたのは間違いなさそうだ。さらなる手がかりを求め、凍った血痕を追ってみることにした。ゴルガニュ牧場南西で血痕を見つけよう。			ソルクザギルは、ゴルガニュ牧場南西に来ていたのは間違いなさそうだ。さらなる手がかりを求め、凍った血痕を追ってみることにした。ゴルガニュ牧場南西で血痕を見つけよう。			己の聖剣							
新たな血痕を発見した。血痕はダスクヴィジル方面へ続いているようだ。クルザス西部高地のダスクヴィジル南で血痕を見つけよう。			新たな血痕を発見した。血痕はダスクヴィジル方面へ続いているようだ。クルザス西部高地のダスクヴィジル南で血痕を見つけよう。			己の聖剣							
新たな血痕を発見した。血痕は西へ続いているようだ。クルザス西部高地のベーンプール付近で血痕を見つけよう。			新たな血痕を発見した。血痕は西へ続いているようだ。クルザス西部高地のベーンプール付近で血痕を見つけよう。			己の聖剣							
見えざる毒尾に襲われ、これを倒した。しかし、一部は更に西へ逃げていったようだ。クルザス西部高地のドラゴンスピット西にいる「コンスタン」と話そう。			見えざる毒尾に襲われ、これを倒した。しかし、一部は更に西へ逃げていったようだ。クルザス西部高地のドラゴンスピット西にいる「コンスタン」と話そう。			己の聖剣							
見えざる毒尾を討伐した。ドラゴンスピット西の「コンスタン」と再び話そう。			見えざる毒尾を討伐した。ドラゴンスピット西の「コンスタン」と再び話そう。			己の聖剣							
コンスタンと話した。ファルコンネストの「コンスタン」と話そう。			コンスタンと話した。ファルコンネストの「コンスタン」と話そう。			己の聖剣							
コンスタンから、ソルクザギルへ弟子入りした理由を聞いた。彼は冒険者のような自由騎士となって、本当に守りたいものを守るためにナイトとなったそうだ。彼の想いに応えるため、そして怯える人々のため、見えざる毒尾と決着をつけなくては。※ナイトのレベルが56以上になると、ファルコンネストのコンスタンから次のナイトクエストを受注することができます。			コンスタンから、ソルクザギルへ弟子入りした理由を聞いた。彼は冒険者のような自由騎士となって、本当に守りたいものを守るためにナイトとなったそうだ。彼の想いに応えるため、そして怯える人々のため、見えざる毒尾と決着をつけなくては。※ナイトのレベルが56以上になると、ファルコンネストのコンスタンから次のナイトクエストを受注することができます。			己の聖剣							
コンスタンと話す			コンスタンと話す			己の聖剣							
聖剣の手がかりを探す			聖剣の手がかりを探す			己の聖剣							
コンスタンに近衛騎士の小冠を渡す			コンスタンに近衛騎士の小冠を渡す			己の聖剣							
血痕を探す			血痕を探す			己の聖剣							
再び血痕を探す			再び血痕を探す			己の聖剣							
さらに血痕を探す			さらに血痕を探す			己の聖剣							
コンスタンと話す			コンスタンと話す			己の聖剣							
コンスタンと再び話す			コンスタンと再び話す			己の聖剣							
ファルコンネストのコンスタンと話す			ファルコンネストのコンスタンと話す			己の聖剣							
見えざる毒尾を倒せ！			見えざる毒尾を倒せ！			己の聖剣							
姉さん兄さん！ソルクザギルさんの遺品から、手記が見つかりました。その最後のページに、地図らしきものが記されていたんです。			姉さん兄さん！ソルクザギルさんの遺品から、手記が見つかりました。その最後のページに、地図らしきものが記されていたんです。			己の聖剣							
彼は「聖剣」を求めて、そこに行ったのではないでしょうか？問題の場所は、「ゴルガニュ牧場」の南西の辺りです。僕たちも行ってみましょう！			彼は「聖剣」を求めて、そこに行ったのではないでしょうか？問題の場所は、「ゴルガニュ牧場」の南西の辺りです。僕たちも行ってみましょう！			己の聖剣							
……僕は、ソルクザギルさんが託してくれた、装備を身につけてから向かいますね！それでは、現地で合流しましょう！			……僕は、ソルクザギルさんが託してくれた、装備を身につけてから向かいますね！それでは、現地で合流しましょう！			己の聖剣							
姉さん兄さん、見てください！ソルクザギルさんに託された、唯一のナイトの装備なんですよ！……ふふ、少しは、カッコもついたでしょうか。			姉さん兄さん、見てください！ソルクザギルさんに託された、唯一のナイトの装備なんですよ！……ふふ、少しは、カッコもついたでしょうか。			己の聖剣							
さて、手記に記されていたのは、この辺りですね。手がかりがないか探してみましょう。			さて、手記に記されていたのは、この辺りですね。手がかりがないか探してみましょう。			己の聖剣							
手記に記されていたのは、この辺りですね。手がかりがないか探してみましょう。			手記に記されていたのは、この辺りですね。手がかりがないか探してみましょう。			己の聖剣							
凍った血痕が続いている……。			凍った血痕が続いている……。			己の聖剣							
雪の中に「近衛騎士の小冠」が埋もれていた……！			雪の中に「近衛騎士の小冠」が埋もれていた……！			己の聖剣							
ふぅ、ここには、特に手がかりはありませんでした。……姉さん兄さんは、何か見つかりましたか？			ふぅ、ここには、特に手がかりはありませんでした。……姉さん兄さんは、何か見つかりましたか？			己の聖剣							
……こ、これは、ソルクザギルさんの！？彼が手記を書いた後、ここに来たのは間違いないようです……。うう、ソルクザギルさん……。			……こ、これは、ソルクザギルさんの！？彼が手記を書いた後、ここに来たのは間違いないようです……。うう、ソルクザギルさん……。			己の聖剣							
手がかりは、それくらいですね……。それにしても、凍った血痕というのが気になります。跡を辿ってみましょう。			手がかりは、それくらいですね……。それにしても、凍った血痕というのが気になります。跡を辿ってみましょう。			己の聖剣							
姉さん兄さん、見てください！			姉さん兄さん、見てください！			己の聖剣							
どうやら、ダスクヴィジルの方に向かっているようですね。追ってみましょう！			どうやら、ダスクヴィジルの方に向かっているようですね。追ってみましょう！			己の聖剣							
姉さん兄さん、ほら、ここにも！			姉さん兄さん、ほら、ここにも！			己の聖剣							
ここから西に向かっているようです。行きましょう！			ここから西に向かっているようです。行きましょう！			己の聖剣							
奴の仲間か！？			奴の仲間か！？			己の聖剣							
しつこい奴らめ！			しつこい奴らめ！			己の聖剣							
くっ、今のは「見えざる毒尾」……！？やつら、僕たちを誰かの仲間だと思ったようです。……まさか、ソルクザギルさんの？			くっ、今のは「見えざる毒尾」……！？やつら、僕たちを誰かの仲間だと思ったようです。……まさか、ソルクザギルさんの？			己の聖剣							
西の方面に逃げたやつらが居ます。後を追いましょう！			西の方面に逃げたやつらが居ます。後を追いましょう！			己の聖剣							
……居ました、やつらです！			……居ました、やつらです！			己の聖剣							
「聖剣」を探すのが目的ではありますが、それ以上に、この地を脅かしているやつらを放置できません。……「見えざる毒尾」には多くの人が殺されているんです。			「聖剣」を探すのが目的ではありますが、それ以上に、この地を脅かしているやつらを放置できません。……「見えざる毒尾」には多くの人が殺されているんです。			己の聖剣							
姉さん兄さん、戦いましょう！			姉さん兄さん、戦いましょう！			己の聖剣							
……僕は、この甲冑に誓います。ソルクザギルさんの教えのとおり、憎しみの連鎖を呼ぶ戦いではなく、守るために戦うと！			……僕は、この甲冑に誓います。ソルクザギルさんの教えのとおり、憎しみの連鎖を呼ぶ戦いではなく、守るために戦うと！			己の聖剣							
や、やりましたね……！どうやら、先ほど倒したやつはリーダー格。これで、少しは被害が減ることでしょう！			や、やりましたね……！どうやら、先ほど倒したやつはリーダー格。これで、少しは被害が減ることでしょう！			己の聖剣							
ですが、残念ながら「聖剣」の手がかりは、途絶えてしまいました……。……ひとまず、「ファルコンネスト」に帰りましょう。			ですが、残念ながら「聖剣」の手がかりは、途絶えてしまいました……。……ひとまず、「ファルコンネスト」に帰りましょう。			己の聖剣							
おかえりなさい、姉さん兄さん……。……実は、行商人だった僕の母は、「見えざる毒尾」に襲われて命を失いました。			おかえりなさい、姉さん兄さん……。……実は、行商人だった僕の母は、「見えざる毒尾」に襲われて命を失いました。			己の聖剣							
当時、やつらの存在は知られていなく、野盗かと思われました。神殿騎士団に野盗退治を嘆願しましたが、ドラゴン族や異端者の絡まない案件として、うやむやに……。			当時、やつらの存在は知られていなく、野盗かと思われました。神殿騎士団に野盗退治を嘆願しましたが、ドラゴン族や異端者の絡まない案件として、うやむやに……。			己の聖剣							
それどころか、母が行商に向かったチョコボの森は、危険な場所だということはイシュガルド人の常識。それを知っていながら行ったのだから、自己責任だと……。			それどころか、母が行商に向かったチョコボの森は、危険な場所だということはイシュガルド人の常識。それを知っていながら行ったのだから、自己責任だと……。			己の聖剣							
……その後、ソルクザギルさんからやつらの話を聞き、犯行の手法などから、母を襲ったのが「見えざる毒尾」だとわかったのです。			……その後、ソルクザギルさんからやつらの話を聞き、犯行の手法などから、母を襲ったのが「見えざる毒尾」だとわかったのです。			己の聖剣							
神殿騎士団総長のアイメリク様は、僕たち貧民の言葉をも、聞いてくださるお方と耳にします。			神殿騎士団総長のアイメリク様は、僕たち貧民の言葉をも、聞いてくださるお方と耳にします。			己の聖剣							
ですが、僕たちの言葉は、アイメリク様に届く前に、古き体制にもみ消されてしまう……。			ですが、僕たちの言葉は、アイメリク様に届く前に、古き体制にもみ消されてしまう……。			己の聖剣							
……だから、僕はソルクザギルさんに弟子入りを志願したのです！ゆくゆくは、姉さん兄さんのような自由騎士となって、本当に守りたい人を守れるように！			……だから、僕はソルクザギルさんに弟子入りを志願したのです！ゆくゆくは、姉さん兄さんのような自由騎士となって、本当に守りたい人を守れるように！			己の聖剣							
さっき倒したのは、やつらの一派でしょう。おそらく、まだ残党はいるはず……。……いずれ、決着を付けなくては。			さっき倒したのは、やつらの一派でしょう。おそらく、まだ残党はいるはず……。……いずれ、決着を付けなくては。			己の聖剣							
……僕は、ソルクザギルさんや家族のためだけじゃない。やつらに怯えている、すべての人のために戦いたいのです！			……僕は、ソルクザギルさんや家族のためだけじゃない。やつらに怯えている、すべての人のために戦いたいのです！			己の聖剣							
「見えざる毒尾」め、よくも……！姉さん兄さん、ここでやつらを倒しましょう！			「見えざる毒尾」め、よくも……！姉さん兄さん、ここでやつらを倒しましょう！			己の聖剣							
忌々しき王党派の犬どもめ！こうなれば奥の手だ……来たれヴォイドの妖異よ！			忌々しき王党派の犬どもめ！こうなれば奥の手だ……来たれヴォイドの妖異よ！			己の聖剣							
こ、これは……！？　術者は僕が引きつけます！姉さん兄さんは、あの魔法陣と魔物をお願いします！			こ、これは……！？　術者は僕が引きつけます！姉さん兄さんは、あの魔法陣と魔物をお願いします！			己の聖剣							
……くそがっ！　まだ終わったわけではないぞ！			……くそがっ！　まだ終わったわけではないぞ！			己の聖剣							
ご、ごめんなさい、姉さん兄さん……。			ご、ごめんなさい、姉さん兄さん……。			己の聖剣							
キャンプ・リバーズミート付近のコンスタンは、冒険者にお願いがあるようだ。			キャンプ・リバーズミート付近のコンスタンは、冒険者にお願いがあるようだ。			堕ちた蠍							
コンスタンから、見えざる毒尾と、ともに戦ってほしいと頼まれた。頷く冒険者に、コンスタンはファルコンネストまでついてきてほしいと頼む。クルザス西部高地のファルコンネストにいる「コンスタン」と話そう。			コンスタンから、見えざる毒尾と、ともに戦ってほしいと頼まれた。頷く冒険者に、コンスタンはファルコンネストまでついてきてほしいと頼む。クルザス西部高地のファルコンネストにいる「コンスタン」と話そう。			堕ちた蠍							
