彫金師ギルドのセレンディピティーは、わたわたしているようだ。			彫金師ギルドのセレンディピティーは、わたわたしているようだ。			ギルドへの私的な依頼							
依頼品は「エレクトラムサークレット(アンバー)」、「エレクトラムサークレット(ジルコン)」と「エレクトラムサークレット(スピネル)」。			依頼品は「エレクトラムサークレット(アンバー)」、「エレクトラムサークレット(ジルコン)」と「エレクトラムサークレット(スピネル)」。			色とりどりの王冠							
Forenameさん、3種類のサークレットを1個ずつ製作していただけますでしょうか？			Forenameさん、3種類のサークレットを1個ずつ製作していただけますでしょうか？			色とりどりの王冠							
ネジジ……！サークレット　ヲ　サァ、クレット！……ネジジ……。			ネジジ……！サークレット　ヲ　サァ、クレット！……ネジジ……。			色とりどりの王冠							
ミッツ　トモ　ホン　ノ　チョッピリ　エクセレンツ！デモ　チョーシ　ノルナ！彫金師　ノ　道ハ　マダマダ　遠イ！			ミッツ　トモ　ホン　ノ　チョッピリ　エクセレンツ！デモ　チョーシ　ノルナ！彫金師　ノ　道ハ　マダマダ　遠イ！			色とりどりの王冠							
え～と、サークレットは、冠の一種ですね。同じエレクトラムのサークレットでも、あしらった宝石によって、違った表情を見せます。			え～と、サークレットは、冠の一種ですね。同じエレクトラムのサークレットでも、あしらった宝石によって、違った表情を見せます。			色とりどりの王冠							
「アンバー」は、そのものずばり琥珀のこと。樹木の樹液が長い年月を経て、固まり石のようになったもの。そのため、正確には「宝石」ではありません。			「アンバー」は、そのものずばり琥珀のこと。樹木の樹液が長い年月を経て、固まり石のようになったもの。そのため、正確には「宝石」ではありません。			色とりどりの王冠							
元が樹液なので、土属性のエーテル伝導率に優れています。また、独特の艶めきは生命力の象徴ともされ、アクセサリーや魔器の念珠として珍重されているのです。			元が樹液なので、土属性のエーテル伝導率に優れています。また、独特の艶めきは生命力の象徴ともされ、アクセサリーや魔器の念珠として珍重されているのです。			色とりどりの王冠							
「ジルコン」は、半ば透き通った色合いが特徴的な鉱石。純粋なものほど透明度が高く、不純物次第では青、赤、緑といった色合いを宿すこともあります。			「ジルコン」は、半ば透き通った色合いが特徴的な鉱石。純粋なものほど透明度が高く、不純物次第では青、赤、緑といった色合いを宿すこともあります。			色とりどりの王冠							
古くから氷の属性と相性がいいとされ、また、良質なジルコンの持つ高貴な透明感から、知性の象徴ともされてきました。			古くから氷の属性と相性がいいとされ、また、良質なジルコンの持つ高貴な透明感から、知性の象徴ともされてきました。			色とりどりの王冠							
「スピネル」は、尖晶石とも呼ばれます。紫、ないし赤、青、茶、緑、黄色など……さまざまな色を宿す半透明の宝石です。			「スピネル」は、尖晶石とも呼ばれます。紫、ないし赤、青、茶、緑、黄色など……さまざまな色を宿す半透明の宝石です。			色とりどりの王冠							
なかでもウルダハでは、紫色の物が最も高価とされています。雷属性のエーテル伝導率に優れるとされ、また、器用さを象徴しているとも考えられています……。			なかでもウルダハでは、紫色の物が最も高価とされています。雷属性のエーテル伝導率に優れるとされ、また、器用さを象徴しているとも考えられています……。			色とりどりの王冠							
Forenameさんの作品は、こうした宝石の特徴を、見事に引き出しています。ネジも納得、ギルドでもトップクラスのセンスですよ！			Forenameさんの作品は、こうした宝石の特徴を、見事に引き出しています。ネジも納得、ギルドでもトップクラスのセンスですよ！			色とりどりの王冠							
早速、これらの品をルビーロード国際市場にいる依頼人のロロトンさんに届けてください！あ、そうだ、その前にもうひとつ。			早速、これらの品をルビーロード国際市場にいる依頼人のロロトンさんに届けてください！あ、そうだ、その前にもうひとつ。			色とりどりの王冠							
いつぞや、ギルドにお仕事を依頼してきた、銀冑団のロバートさんが、Forenameさんを訪ねてきています。			いつぞや、ギルドにお仕事を依頼してきた、銀冑団のロバートさんが、Forenameさんを訪ねてきています。			色とりどりの王冠							
「ロバート」さんに話を聞いてから、ロロトンさんのところへ、お届けに行ってくださいね。			「ロバート」さんに話を聞いてから、ロロトンさんのところへ、お届けに行ってくださいね。			色とりどりの王冠							
ネジ……気ヲツケロ！アイツ　ハ　マガイモノ！　マガイモノ！騙サレルナ！　キケン！　キケン！			ネジ……気ヲツケロ！アイツ　ハ　マガイモノ！　マガイモノ！騙サレルナ！　キケン！　キケン！			色とりどりの王冠							
ネジ！　何？　突然！「アイツ」って……もしかしてロロトンさんのこと？			ネジ！　何？　突然！「アイツ」って……もしかしてロロトンさんのこと？			色とりどりの王冠							
いくらロロトンさんが嫌いだからって、お得意様にそんな暴言はしちゃダメって前に言ったでしょ！　もう……！			いくらロロトンさんが嫌いだからって、お得意様にそんな暴言はしちゃダメって前に言ったでしょ！　もう……！			色とりどりの王冠							
……とにかく、Forenameさんお忙しい中、すみません！　よろしくお願いします！			……とにかく、Forenameさんお忙しい中、すみません！　よろしくお願いします！			色とりどりの王冠							
あっ、待ってたよ！実は折り入って、君に頼みごとがあるんだ……内密にね。			あっ、待ってたよ！実は折り入って、君に頼みごとがあるんだ……内密にね。			色とりどりの王冠							
今、我々銀冑団はナナモ陛下誕生式典の準備に追われている。その役目は、主に出席者の安全を守ること。			今、我々銀冑団はナナモ陛下誕生式典の準備に追われている。その役目は、主に出席者の安全を守ること。			色とりどりの王冠							
……「狐のジェイド」という名前を知っているかい？最近、このウルダハに潜伏していると噂の詐欺師だ。			……「狐のジェイド」という名前を知っているかい？最近、このウルダハに潜伏していると噂の詐欺師だ。			色とりどりの王冠							
彼の目的は、未だ不明……。しかし、今回の豪華な式典を目の前にして、奴が指をくわえて見ているはずがない。			彼の目的は、未だ不明……。しかし、今回の豪華な式典を目の前にして、奴が指をくわえて見ているはずがない。			色とりどりの王冠							
きっと奴は、何かしらの策を企んで、式典に出席する貴人の装飾品を狙ってくるに違いない！			きっと奴は、何かしらの策を企んで、式典に出席する貴人の装飾品を狙ってくるに違いない！			色とりどりの王冠							
そこで僕は、式典の関係者の身元を洗ってみたんだ。そして、捜査線上に一人の男が浮かびあがった。……宝石商のロロトンだ。			そこで僕は、式典の関係者の身元を洗ってみたんだ。そして、捜査線上に一人の男が浮かびあがった。……宝石商のロロトンだ。			色とりどりの王冠							
他の商人は皆、ウルダハの大手商会か隊商互助会に所属しているというのに……彼だけは、出自や経歴がはっきりしない。怪しいだろ？			他の商人は皆、ウルダハの大手商会か隊商互助会に所属しているというのに……彼だけは、出自や経歴がはっきりしない。怪しいだろ？			色とりどりの王冠							
聞けば、君はロロトンさんから頻繁に依頼を受ける仲だそうじゃないか。気心知れた相手なら、きっと奴の口も緩むはず。			聞けば、君はロロトンさんから頻繁に依頼を受ける仲だそうじゃないか。気心知れた相手なら、きっと奴の口も緩むはず。			色とりどりの王冠							
ルビーロード国際市場の「ロロトン」に会って、どうにか奴の尻尾を掴んでくれないか？狡猾な「狐のジェイド」の尻尾を、な。			ルビーロード国際市場の「ロロトン」に会って、どうにか奴の尻尾を掴んでくれないか？狡猾な「狐のジェイド」の尻尾を、な。			色とりどりの王冠							
やあやあ！　Forenameさん。待ってましたよ、さぁ、私に傑作の品を見せてください！			やあやあ！　Forenameさん。待ってましたよ、さぁ、私に傑作の品を見せてください！			色とりどりの王冠							
はああ、流石は私の見込んだお人だ！きっと、これを身に着けた貴婦人の方は、今度の誕生式典の話題の中心となるでしょうな！			はああ、流石は私の見込んだお人だ！きっと、これを身に着けた貴婦人の方は、今度の誕生式典の話題の中心となるでしょうな！			色とりどりの王冠							
……ん？　どうしました？Forenameさん。			……ん？　どうしました？Forenameさん。			色とりどりの王冠							
ロロトンさん、聞きたいことが……			ロロトンさん、聞きたいことが……			色とりどりの王冠							
アナタは何をしていた人ですか？			アナタは何をしていた人ですか？			色とりどりの王冠							
ズバリ、アナタは「狐のジェイド」なんですか？			ズバリ、アナタは「狐のジェイド」なんですか？			色とりどりの王冠							
私は、しがない宝石商ですよ。商会や隊商互助会に所属せず、各地を放浪しつつ個人で商いをしてきたのには、理由があります。			私は、しがない宝石商ですよ。商会や隊商互助会に所属せず、各地を放浪しつつ個人で商いをしてきたのには、理由があります。			色とりどりの王冠							
それは、浮世のしがらみに囚われることなく、「マスターピース」と呼ぶに相応しい逸品を集め、それを「真の美」を理解する方に提供すること。			それは、浮世のしがらみに囚われることなく、「マスターピース」と呼ぶに相応しい逸品を集め、それを「真の美」を理解する方に提供すること。			色とりどりの王冠							
しかし、そんな装飾品には滅多に出会えません。なのに……私は、ついに出会ったのです！ずばり、それはあなたが生み出した品々！			しかし、そんな装飾品には滅多に出会えません。なのに……私は、ついに出会ったのです！ずばり、それはあなたが生み出した品々！			色とりどりの王冠							
あなたの手から生み出される芸術品は、全エオルゼア中の人々の心を豊かにしてくれると信じています！			あなたの手から生み出される芸術品は、全エオルゼア中の人々の心を豊かにしてくれると信じています！			色とりどりの王冠							
これからも、よろしくお願いしますよ！彫金師ギルドの「セレンさん」にも、そのように、お伝えください。			これからも、よろしくお願いしますよ！彫金師ギルドの「セレンさん」にも、そのように、お伝えください。			色とりどりの王冠							
ええっ？　私が……「狐のジェイド」ですって!?			ええっ？　私が……「狐のジェイド」ですって!?			色とりどりの王冠							
……クックックックック……。クックックックックック…………。			……クックックックック……。クックックックックック…………。			色とりどりの王冠							
あははははは！　何を馬鹿なことを！Forenameさんが冗談の好きな人だとは思わなかった！			あははははは！　何を馬鹿なことを！Forenameさんが冗談の好きな人だとは思わなかった！			色とりどりの王冠							
あなたが生み出した芸術品は、エオルゼア中の人々の心を豊かにします！これからも、よろしくお願いしますよ。			あなたが生み出した芸術品は、エオルゼア中の人々の心を豊かにします！これからも、よろしくお願いしますよ。			色とりどりの王冠							
おかえりなさい！そういえば、先ほどギルドにも銀冑団のロバートさんが、いらっしゃいましたよ。			おかえりなさい！そういえば、先ほどギルドにも銀冑団のロバートさんが、いらっしゃいましたよ。			色とりどりの王冠							
「Forenameさん君にも伝えたが、君も用心してくれ。高額のかかった仕事を、安請け合いしないように」……だそうです。			「Forenameさん君にも伝えたが、君も用心してくれ。高額のかかった仕事を、安請け合いしないように」……だそうです。			色とりどりの王冠							
例の「狐のジェイド」という詐欺師のことでしょうか。詐欺だなんて……とても悲しいことです。私たち彫金師は、優れた装飾品を作るのが役目。			例の「狐のジェイド」という詐欺師のことでしょうか。詐欺だなんて……とても悲しいことです。私たち彫金師は、優れた装飾品を作るのが役目。			色とりどりの王冠							
お金は大事ですが、お金に代えられない「豊かな心」を、お客様にご提供したいですよね。まずは、誕生式典の成功目指して、がんばりましょー！			お金は大事ですが、お金に代えられない「豊かな心」を、お客様にご提供したいですよね。まずは、誕生式典の成功目指して、がんばりましょー！			色とりどりの王冠							
宝飾店「エシュテム」のマルセルは、少しあわてているようだ。			宝飾店「エシュテム」のマルセルは、少しあわてているようだ。			心すれちがい							
スティル・リバーが訪れ、「妻のジュエルド・ピークには内密で」との条件で、妻と同じオルゴールを注文していった。夫妻は、おたがいに同じ品を贈ろうとしていることに、まだ気づいていない。ウルダハの彫金師ギルドにいる「セレンディピティー」に助言を求めよう。			スティル・リバーが訪れ、「妻のジュエルド・ピークには内密で」との条件で、妻と同じオルゴールを注文していった。夫妻は、おたがいに同じ品を贈ろうとしていることに、まだ気づいていない。ウルダハの彫金師ギルドにいる「セレンディピティー」に助言を求めよう。			心すれちがい							
オルゴールに使う流行り歌を作曲した、音楽家への会見を提案された。イシュガルドのアインハルト伯爵邸に向かい、門前に立つ衛兵に、「セレンディピティーの封書」を渡そう。			オルゴールに使う流行り歌を作曲した、音楽家への会見を提案された。イシュガルドのアインハルト伯爵邸に向かい、門前に立つ衛兵に、「セレンディピティーの封書」を渡そう。			心すれちがい							
衛兵のバーテロットによると、問題の楽曲を書いた音楽家ピエリヴァンは現在、アバラシア雲海に滞在しているという。アバラシア雲海のキャンプ・クラウドトップに向かい、「ピエリヴァン」と話そう。			衛兵のバーテロットによると、問題の楽曲を書いた音楽家ピエリヴァンは現在、アバラシア雲海に滞在しているという。アバラシア雲海のキャンプ・クラウドトップに向かい、「ピエリヴァン」と話そう。			心すれちがい							
ピエリヴァンの胸中には、問題を解決に導く妙案があるようだ。そのためには、彼を満足させる音色のオルゴールが必要だという。オルゴール製作に必須となる「ハードシルバーインゴット」を製作し、キャンプ・クラウドトップの「ピエリヴァン」に納品しよう。			ピエリヴァンの胸中には、問題を解決に導く妙案があるようだ。そのためには、彼を満足させる音色のオルゴールが必要だという。オルゴール製作に必須となる「ハードシルバーインゴット」を製作し、キャンプ・クラウドトップの「ピエリヴァン」に納品しよう。			心すれちがい							
ピエリヴァンから、もとは同じ曲でありながら、異なるふたつのメロディを持つオルゴールの製作を提案され、その楽譜を受け取った。宝飾店「エシュテム」の「マルセル」に「ピエリヴァンの譜面」を渡そう。			ピエリヴァンから、もとは同じ曲でありながら、異なるふたつのメロディを持つオルゴールの製作を提案され、その楽譜を受け取った。宝飾店「エシュテム」の「マルセル」に「ピエリヴァンの譜面」を渡そう。			心すれちがい							
マルセルにピエリヴァンの譜面を渡した。彼は冒険者の徹底した姿勢に感銘を受けたようだ。その賛辞に応えうる「超一流」の職人としての矜持を胸に、これからも求道を続けてゆこう。※彫金師のレベルが58以上になると、宝飾店「エシュテム」のマルセルから次の彫金師クエストを受注することができます。			マルセルにピエリヴァンの譜面を渡した。彼は冒険者の徹底した姿勢に感銘を受けたようだ。その賛辞に応えうる「超一流」の職人としての矜持を胸に、これからも求道を続けてゆこう。※彫金師のレベルが58以上になると、宝飾店「エシュテム」のマルセルから次の彫金師クエストを受注することができます。			心すれちがい							
彫金師ギルドのセレンディピティーと話す			彫金師ギルドのセレンディピティーと話す			心すれちがい							
アインハルト伯爵邸の衛兵にセレンディピティーの封書を渡す			アインハルト伯爵邸の衛兵にセレンディピティーの封書を渡す			心すれちがい							
キャンプ・クラウドトップのピエリヴァンと話す			キャンプ・クラウドトップのピエリヴァンと話す			心すれちがい							
ハードシルバーインゴットを製作ピエリヴァンにハードシルバーインゴットを納品			ハードシルバーインゴットを製作ピエリヴァンにハードシルバーインゴットを納品			心すれちがい							
ウルダハのマルセルにピエリヴァンの譜面を渡す			ウルダハのマルセルにピエリヴァンの譜面を渡す			心すれちがい							
これは、Surname様。申し訳ありません、少々あわただしいことになっております。実は、依頼人ジュエルド・ピーク様のご主人がご来店なさるのです！			これは、Surname様。申し訳ありません、少々あわただしいことになっております。実は、依頼人ジュエルド・ピーク様のご主人がご来店なさるのです！			心すれちがい							
もちろん、奥様の依頼のことは、ご存じないはず……。軍務で急遽ウルダハにお戻りのようで、そのついでだとか。……ああ、いらっしゃったようです。			もちろん、奥様の依頼のことは、ご存じないはず……。軍務で急遽ウルダハにお戻りのようで、そのついでだとか。……ああ、いらっしゃったようです。			心すれちがい							
マルセル君、久方ぶりですね！すぐに行かねばならんので、手短に伝えましょう。実は妻への贈り物として、オルゴールを作ってほしいのです。			マルセル君、久方ぶりですね！すぐに行かねばならんので、手短に伝えましょう。実は妻への贈り物として、オルゴールを作ってほしいのです。			心すれちがい							
どうです、我ながら、なかなか気の利いた贈り物でしょう。曲目は古い流行り歌……あの有名な「ウルダハの歌姫」が、世に出るきっかけとなった曲を使ってください。			どうです、我ながら、なかなか気の利いた贈り物でしょう。曲目は古い流行り歌……あの有名な「ウルダハの歌姫」が、世に出るきっかけとなった曲を使ってください。			心すれちがい							
当時、歌姫の美声に聞きいっていたとき、たまたま隣の席にいたことが、妻と私のなれ初めでね。ふたりが出会った記念日に贈って、驚かせてやりたいのです。			当時、歌姫の美声に聞きいっていたとき、たまたま隣の席にいたことが、妻と私のなれ初めでね。ふたりが出会った記念日に贈って、驚かせてやりたいのです。			心すれちがい							
オルゴールの外観は、マルセル君と職人さんにまかせます。……ただし妻には、くれぐれも内密に頼みますぞ！			オルゴールの外観は、マルセル君と職人さんにまかせます。……ただし妻には、くれぐれも内密に頼みますぞ！			心すれちがい							
……こ、これは、大変なことになりましたね。ご夫婦はともに、同じ日に、同じ曲のオルゴールを、おたがいに内緒で贈ろうとされています。			……こ、これは、大変なことになりましたね。ご夫婦はともに、同じ日に、同じ曲のオルゴールを、おたがいに内緒で贈ろうとされています。			心すれちがい							
どちらかに正直にお話しして、あきらめていただくか……？いやしかし、それでは「内密に」という約束を破ることに……。			どちらかに正直にお話しして、あきらめていただくか……？いやしかし、それでは「内密に」という約束を破ることに……。			心すれちがい							
……ここはひとつ、あなた様のお師匠様にあたる、「セレンディピティー」様に相談してみましょう。知恵を貸していただけるかもしれません。			……ここはひとつ、あなた様のお師匠様にあたる、「セレンディピティー」様に相談してみましょう。知恵を貸していただけるかもしれません。			心すれちがい							
……ここはひとつ、あなた様のお師匠様にあたる、「セレンディピティー」様に相談してみましょう。知恵を貸していただけるかもしれません。			……ここはひとつ、あなた様のお師匠様にあたる、「セレンディピティー」様に相談してみましょう。知恵を貸していただけるかもしれません。			心すれちがい							
……ふむふむ、それは弱りましたね～！いい加減な職人なら、注文どおりに同じ曲のオルゴールを、納品して終わりですけど……もちろん、それはありえません。			……ふむふむ、それは弱りましたね～！いい加減な職人なら、注文どおりに同じ曲のオルゴールを、納品して終わりですけど……もちろん、それはありえません。			心すれちがい							
かといって、ご夫婦に正直に話しちゃうのもダメですよね。秘密のプレゼントに込められた「心」が台なしです！			かといって、ご夫婦に正直に話しちゃうのもダメですよね。秘密のプレゼントに込められた「心」が台なしです！			心すれちがい							
私も、すぐにいい解決法は思いつきませんけど……私のお師匠様は、こんなことをおっしゃっていましたよ。あれこれ思い悩むより、トコトン技術的な可能性を追究しろって！			私も、すぐにいい解決法は思いつきませんけど……私のお師匠様は、こんなことをおっしゃっていましたよ。あれこれ思い悩むより、トコトン技術的な可能性を追究しろって！			心すれちがい							
たとえば、オルゴールに使う曲を深く掘り下げることで、妙案が浮かぶかもしれませんよ。……ご夫婦の想い出の曲って、どんな曲なんでしょう？			たとえば、オルゴールに使う曲を深く掘り下げることで、妙案が浮かぶかもしれませんよ。……ご夫婦の想い出の曲って、どんな曲なんでしょう？			心すれちがい							
「ウルダハの歌姫」が世に出るきっかけになった歌……？あれ……その流行り歌を作った方、私、知ってますよ？むかしお世話になった、ピエリヴァンさんという方です。			「ウルダハの歌姫」が世に出るきっかけになった歌……？あれ……その流行り歌を作った方、私、知ってますよ？むかしお世話になった、ピエリヴァンさんという方です。			心すれちがい							
いっそ曲を書いたご本人に、お話を伺ってみたらどうでしょう？歌について深く知れば、いい案が浮かぶかもしれませんしっ！			いっそ曲を書いたご本人に、お話を伺ってみたらどうでしょう？歌について深く知れば、いい案が浮かぶかもしれませんしっ！			心すれちがい							
あの方は今……イシュガルドの名門貴族である、アインハルト伯爵のお屋敷にお世話になってるそうですが……こうなったらもう、イシュガルドまで行っちゃいましょう！			あの方は今……イシュガルドの名門貴族である、アインハルト伯爵のお屋敷にお世話になってるそうですが……こうなったらもう、イシュガルドまで行っちゃいましょう！			心すれちがい							
イシュガルドの「アインハルト伯爵邸」で、衛兵さんに、私からの紹介状をお渡ししてください！きっと、ピエリヴァンさんに会えると思いますっ！			イシュガルドの「アインハルト伯爵邸」で、衛兵さんに、私からの紹介状をお渡ししてください！きっと、ピエリヴァンさんに会えると思いますっ！			心すれちがい							
イシュガルドの「アインハルト伯爵邸」で、衛兵さんに、私からの紹介状をお渡ししてください！きっと、ピエリヴァンさんに会えると思いますっ！			イシュガルドの「アインハルト伯爵邸」で、衛兵さんに、私からの紹介状をお渡ししてください！きっと、ピエリヴァンさんに会えると思いますっ！			心すれちがい							
アインハルト家に何用だ？用件なら、私が承ろう。			アインハルト家に何用だ？用件なら、私が承ろう。			心すれちがい							
……ほう、はるばるウルダハからピエリヴァン様に。あいにくあのお方は今、アバラシア雲海に滞在中だ。お館様の旗下にある、騎兵団に同道しておるのだよ。			……ほう、はるばるウルダハからピエリヴァン様に。あいにくあのお方は今、アバラシア雲海に滞在中だ。お館様の旗下にある、騎兵団に同道しておるのだよ。			心すれちがい							
伯爵の奥方は、ピエリヴァン様の楽曲が大のお気に入りでね。この話も、奥方が現場のほうに強引にねじ込んでしまったのだ。雲の上なら霊感が降るやも……などという戯言を真に受けてな。			伯爵の奥方は、ピエリヴァン様の楽曲が大のお気に入りでね。この話も、奥方が現場のほうに強引にねじ込んでしまったのだ。雲の上なら霊感が降るやも……などという戯言を真に受けてな。			心すれちがい							
どうしても「ピエリヴァン」様に会いたいのなら、アバラシア雲海の「キャンプ・クラウドトップ」に赴くといい。			どうしても「ピエリヴァン」様に会いたいのなら、アバラシア雲海の「キャンプ・クラウドトップ」に赴くといい。			心すれちがい							
どうしても「ピエリヴァン」様に会いたいのなら、アバラシア雲海の「キャンプ・クラウドトップ」に赴くといい。			どうしても「ピエリヴァン」様に会いたいのなら、アバラシア雲海の「キャンプ・クラウドトップ」に赴くといい。			心すれちがい							
君は……？おお、かのセレンディピティー嬢のお弟子さんですと？なんと麗しきお嬢さん精悍な御仁でありましょう！			君は……？おお、かのセレンディピティー嬢のお弟子さんですと？なんと麗しきお嬢さん精悍な御仁でありましょう！			心すれちがい							
……ふむ、オルゴールに僕の曲を使いたいとは、光栄至極！あれは「ウルダハの歌姫」、フ・ラミンさんの美声に触発されて、わずか一夜で書きあげた曲でしてね……。			……ふむ、オルゴールに僕の曲を使いたいとは、光栄至極！あれは「ウルダハの歌姫」、フ・ラミンさんの美声に触発されて、わずか一夜で書きあげた曲でしてね……。			心すれちがい							
……なるほど。夫は妻に、妻は夫に、それぞれ内緒で、同じ歌を贈りあおうとしていて弱っていると？			……なるほど。夫は妻に、妻は夫に、それぞれ内緒で、同じ歌を贈りあおうとしていて弱っていると？			心すれちがい							
ふふふ……このピエリヴァン、ご夫婦を満足させる、完璧な方法を思いつきましたよ！オルゴール用に、ある特別な「編曲」を施すのです。			ふふふ……このピエリヴァン、ご夫婦を満足させる、完璧な方法を思いつきましたよ！オルゴール用に、ある特別な「編曲」を施すのです。			心すれちがい							
しかし、編曲にあたって譲れぬ点がひとつだけあります。あれは、歌姫の「美声」から霊感を得た楽曲……かの美声に匹敵する音色の、オルゴールにしていただきたい！			しかし、編曲にあたって譲れぬ点がひとつだけあります。あれは、歌姫の「美声」から霊感を得た楽曲……かの美声に匹敵する音色の、オルゴールにしていただきたい！			心すれちがい							
その条件を満たす音色を、一度だけ聴いたことがあります。音色の要である「櫛歯」にハードシルバーを用いた、とある名工の「最高傑作」とされるオルゴールでした。			その条件を満たす音色を、一度だけ聴いたことがあります。音色の要である「櫛歯」にハードシルバーを用いた、とある名工の「最高傑作」とされるオルゴールでした。			心すれちがい							
ゆえに製作には、ハードシルバーの精錬技術が必須。どうでしょう、ひとつ、お持ちいただけませんか？僕を満足させる「ハードシルバーインゴット」を……。			ゆえに製作には、ハードシルバーの精錬技術が必須。どうでしょう、ひとつ、お持ちいただけませんか？僕を満足させる「ハードシルバーインゴット」を……。			心すれちがい							
「ハードシルバーインゴット」は、お持ちいただけましたか？			「ハードシルバーインゴット」は、お持ちいただけましたか？			心すれちがい							
楽器の材となる金属には、一家言ある者と自認しておりますが、純度が一見してわかるこの輝き……おお、サリャク河の源流のごとき澄んだ音色が聞こえてくるよう！			楽器の材となる金属には、一家言ある者と自認しておりますが、純度が一見してわかるこの輝き……おお、サリャク河の源流のごとき澄んだ音色が聞こえてくるよう！			心すれちがい							
……いいでしょう、君に、この楽譜を託します！ご夫婦のオルゴールのために、特別な編曲を施したもの……。もとは同じ曲ですが、譜面は2曲にわかれています。			……いいでしょう、君に、この楽譜を託します！ご夫婦のオルゴールのために、特別な編曲を施したもの……。もとは同じ曲ですが、譜面は2曲にわかれています。			心すれちがい							
その楽譜に従って、ふたつのオルゴールをお作りください。夫のオルゴールと、妻のオルゴールは、それぞれ別のメロディを奏でることになります。			その楽譜に従って、ふたつのオルゴールをお作りください。夫のオルゴールと、妻のオルゴールは、それぞれ別のメロディを奏でることになります。			心すれちがい							
ふたつはそれぞれ、まるで違う曲のように聞こえることでしょう。ところが、夫婦のオルゴールを同時に鳴らすと……別々のメロディが鮮やかに調和して、ひとつの曲となるのです！			ふたつはそれぞれ、まるで違う曲のように聞こえることでしょう。ところが、夫婦のオルゴールを同時に鳴らすと……別々のメロディが鮮やかに調和して、ひとつの曲となるのです！			心すれちがい							
古の聖歌に端を発し、聖職者の手で育まれた技法ですが……現在の流行り歌を、このように編曲した例は極めて稀。耳に新しく聞こえること請け合いです！			古の聖歌に端を発し、聖職者の手で育まれた技法ですが……現在の流行り歌を、このように編曲した例は極めて稀。耳に新しく聞こえること請け合いです！			心すれちがい							
君に、この楽譜を託しましょう！ご夫婦のオルゴールのために、特別な編曲を施したものです！もとは同じ曲ですが、譜面は2曲にわかれています。			君に、この楽譜を託しましょう！ご夫婦のオルゴールのために、特別な編曲を施したものです！もとは同じ曲ですが、譜面は2曲にわかれています。			心すれちがい							
古の聖歌に端を発し、聖職者の手で育まれた技法ですが……現在の流行り歌を、このように編曲した例は極めて稀。耳に新しく聞こえること請け合いです！			古の聖歌に端を発し、聖職者の手で育まれた技法ですが……現在の流行り歌を、このように編曲した例は極めて稀。耳に新しく聞こえること請け合いです！			心すれちがい							
おや……Surname様。もしかして、何か進展があったのでしょうか？			おや……Surname様。もしかして、何か進展があったのでしょうか？			心すれちがい							
なるほど、2曲で1曲を……そんな方法があったのですね！曲を書いた音楽家の消息を求めて、イシュガルドにまで？ひとつの品にかける執念……これぞ「一流」の域を超えた方の証。			なるほど、2曲で1曲を……そんな方法があったのですね！曲を書いた音楽家の消息を求めて、イシュガルドにまで？ひとつの品にかける執念……これぞ「一流」の域を超えた方の証。			心すれちがい							
御尽力に報いるため、私もいただいた楽譜をもとに、製作の手順について段取りを進めてまいります。この場所でまた、お会いしましょう！			御尽力に報いるため、私もいただいた楽譜をもとに、製作の手順について段取りを進めてまいります。この場所でまた、お会いしましょう！			心すれちがい							
ラールガーズリーチのエメロスは、ある人物からの連絡を待っているようだ。			ラールガーズリーチのエメロスは、ある人物からの連絡を待っているようだ。			発令、恩返し大作戦							
エメロスと話した。徒弟たちの仕事が認められ、冒険者の指南は早くも成果を収めつつあるようだ。ラールガーズリーチのチャクラ大滝付近にいる「ジャ・ケビカ」と話そう。			エメロスと話した。徒弟たちの仕事が認められ、冒険者の指南は早くも成果を収めつつあるようだ。ラールガーズリーチのチャクラ大滝付近にいる「ジャ・ケビカ」と話そう。			発令、恩返し大作戦							
ジャ・ケビカと話し、ウルダハのナナモ女王に恩返しをしたいという相談を受けた。ウルダハの宝飾店「エシュテム」にいる「マルセル」と話そう。			ジャ・ケビカと話し、ウルダハのナナモ女王に恩返しをしたいという相談を受けた。ウルダハの宝飾店「エシュテム」にいる「マルセル」と話そう。			発令、恩返し大作戦							
マルセルと話した。ウルダハのサファイアアベニュー国際市場にいる「ジャ・ケビカ」「ウィド」「ハル」と話そう。			マルセルと話した。ウルダハのサファイアアベニュー国際市場にいる「ジャ・ケビカ」「ウィド」「ハル」と話そう。			発令、恩返し大作戦							
徒弟たちと話した。ナナモ女王に似たお嬢様が、お忍びでよく訪れる場所があるという。サファイアアベニュー国際市場の「指定地点」で待機しよう。			徒弟たちと話した。ナナモ女王に似たお嬢様が、お忍びでよく訪れる場所があるという。サファイアアベニュー国際市場の「指定地点」で待機しよう。			発令、恩返し大作戦							
ナナモ女王は、小さくて可愛いオーケストリオンを欲しがっていることがわかった。ラールガーズリーチへと戻り、「エメロス」と話そう。			ナナモ女王は、小さくて可愛いオーケストリオンを欲しがっていることがわかった。ラールガーズリーチへと戻り、「エメロス」と話そう。			発令、恩返し大作戦							
