巴術士ギルドのムリーには、冒険者に任せたい仕事があるようだ。			巴術士ギルドのムリーには、冒険者に任せたい仕事があるようだ。			学問ノススメ							
そして、奴が姿を現したら、作戦は最終段階……。君たち新生「海兵団」の総力を挙げて、奴を叩きつぶすのだ！			そして、奴が姿を現したら、作戦は最終段階……。君たち新生「海兵団」の総力を挙げて、奴を叩きつぶすのだ！			次代の「海兵団」							
うおおおおぉぉぉぉ！燃えてきたぞ、Forename君！僕らの海兵魂を見せてやろうじゃないか！！			うおおおおぉぉぉぉ！燃えてきたぞ、Forename君！僕らの海兵魂を見せてやろうじゃないか！！			次代の「海兵団」							
フェアリー君も頼むよ！なんたって、この作戦の要は君なんだからね！			フェアリー君も頼むよ！なんたって、この作戦の要は君なんだからね！			次代の「海兵団」							
作戦は、以上だ！「トンベリ病」の新たな被害者を出さぬため、そして、今も病に苦しむ同胞を救うため……作戦開始だ！			作戦は、以上だ！「トンベリ病」の新たな被害者を出さぬため、そして、今も病に苦しむ同胞を救うため……作戦開始だ！			次代の「海兵団」							
行くぞ、海兵魂ぃぃぃぃ！！！			行くぞ、海兵魂ぃぃぃぃ！！！			次代の「海兵団」							
まずは「南洋の飾り壺」を見つけた「ニーム浮遊遺跡」から、奴の「食事」の痕跡を探すのだ……頼んだぞ！			まずは「南洋の飾り壺」を見つけた「ニーム浮遊遺跡」から、奴の「食事」の痕跡を探すのだ……頼んだぞ！			次代の「海兵団」							
フェアリーが、かすかなエーテルの残滓を感じ取った！どうやら「消えた妖異」は、動物や魔物を襲いながら、高地ラノシアの「ゼルマ渓谷」方面に向かったようだ……。			フェアリーが、かすかなエーテルの残滓を感じ取った！どうやら「消えた妖異」は、動物や魔物を襲いながら、高地ラノシアの「ゼルマ渓谷」方面に向かったようだ……。			次代の「海兵団」							
リリィベルと協力し、「消えた妖異」が遺した痕跡を追うのだ。皆の未来がかかっている……頼んだぞ！			リリィベルと協力し、「消えた妖異」が遺した痕跡を追うのだ。皆の未来がかかっている……頼んだぞ！			次代の「海兵団」							
どこだ……。いったい「消えた妖異」はどこに行ったんだ！			どこだ……。いったい「消えた妖異」はどこに行ったんだ！			次代の「海兵団」							
フェアリーが、かすかなエーテルの残滓を感じ取った！どうやら「消えた妖異」は、動物や魔物を襲いながら、「キャンプ・ブロンズレイク」方面に向かったようだ……。			フェアリーが、かすかなエーテルの残滓を感じ取った！どうやら「消えた妖異」は、動物や魔物を襲いながら、「キャンプ・ブロンズレイク」方面に向かったようだ……。			次代の「海兵団」							
どうした、奴の居所がわかったのかい？			どうした、奴の居所がわかったのかい？			次代の「海兵団」							
な、なんだって！？この先は「キャンプ・ブロンズレイク」じゃないか！			な、なんだって！？この先は「キャンプ・ブロンズレイク」じゃないか！			次代の「海兵団」							
あそこは、黒渦団の傷病兵が沢山いる、療養所がある場所なんだぞ！			あそこは、黒渦団の傷病兵が沢山いる、療養所がある場所なんだぞ！			次代の「海兵団」							
そうか！　「消えた妖異」は、身体の弱った人たちに「トンベリ病」を広めるつもりなんだ！			そうか！　「消えた妖異」は、身体の弱った人たちに「トンベリ病」を広めるつもりなんだ！			次代の「海兵団」							
こ、こうしちゃいられない！すぐさま「キャンプ・ブロンズレイク」に乗り込んで、奴を見つけ出して、決着を付けるんだ！			こ、こうしちゃいられない！すぐさま「キャンプ・ブロンズレイク」に乗り込んで、奴を見つけ出して、決着を付けるんだ！			次代の「海兵団」							
くそっ、やっぱり今日も多くの傷病兵がいやがる！早く奴をブチのめさないと！			くそっ、やっぱり今日も多くの傷病兵がいやがる！早く奴をブチのめさないと！			次代の「海兵団」							
だが、どうやって妖異をおびき出すんだ？姿が見えないっていうのに……。			だが、どうやって妖異をおびき出すんだ？姿が見えないっていうのに……。			次代の「海兵団」							
ふたりは傷病兵たちをどうにか説得して、避難させるんだ！君はフェアリー君の輝きで、妖異の痕跡を見つけてくれ！僕もいざと言う時のためについていく！			ふたりは傷病兵たちをどうにか説得して、避難させるんだ！君はフェアリー君の輝きで、妖異の痕跡を見つけてくれ！僕もいざと言う時のためについていく！			次代の「海兵団」							
「消えた妖異」の痕跡を探し出せるのは、Forename君たちだけだ……頼んだぞ！			「消えた妖異」の痕跡を探し出せるのは、Forename君たちだけだ……頼んだぞ！			次代の「海兵団」							
な、ななな、なんだあの光は！？			な、ななな、なんだあの光は！？			次代の「海兵団」							
ハッ……あれが「消えた妖異」なのか？よし、みんな、光の後を追うぞ！！			ハッ……あれが「消えた妖異」なのか？よし、みんな、光の後を追うぞ！！			次代の「海兵団」							
「トンベリ病」の発生を絶対に防ぐんだ！ここが踏ん張りどころだぞ！　燃やせ海兵魂ぃぃぃぃ！			「トンベリ病」の発生を絶対に防ぐんだ！ここが踏ん張りどころだぞ！　燃やせ海兵魂ぃぃぃぃ！			次代の「海兵団」							
ま、まずいぞ、「トンベリ病」の毒素だッ！Forename君、エスナで治療してくれ！			ま、まずいぞ、「トンベリ病」の毒素だッ！Forename君、エスナで治療してくれ！			次代の「海兵団」							
祖国「ニーム」を襲った悲劇、繰り返させてなるものか！我ら「ニーム海兵団」、全力で諸君らを支援する！			祖国「ニーム」を襲った悲劇、繰り返させてなるものか！我ら「ニーム海兵団」、全力で諸君らを支援する！			次代の「海兵団」							
スリト・カリトさん！　それに軍曹まで！？き、来てくれたんですね！			スリト・カリトさん！　それに軍曹まで！？き、来てくれたんですね！			次代の「海兵団」							
あぁ……僕がトンベリに……なってしまうなんて……。			あぁ……僕がトンベリに……なってしまうなんて……。			次代の「海兵団」							
な、なんてことだ、Forename君が、トンベリになってしまうなんて！			な、なんてことだ、Forename君が、トンベリになってしまうなんて！			次代の「海兵団」							
わわっ……トンベリになってしまったのか！？			わわっ……トンベリになってしまったのか！？			次代の「海兵団」							
修行不足……だったのか……。			修行不足……だったのか……。			次代の「海兵団」							
Forename君！　フェアリー君！			Forename君！　フェアリー君！			次代の「海兵団」							
こ、こいつが……「トンベリ病」の根源！魔法都市「マハ」が送り込んだ病の妖異かッ！			こ、こいつが……「トンベリ病」の根源！魔法都市「マハ」が送り込んだ病の妖異かッ！			次代の「海兵団」							
ば、化け物が出たぞ～！			ば、化け物が出たぞ～！			次代の「海兵団」							
いくぞ、みんな！今こそ、僕たち新生「海兵団」の力を見せつける時だ！リムサ・ロミンサの市民と、トンベリたちを救うために！			いくぞ、みんな！今こそ、僕たち新生「海兵団」の力を見せつける時だ！リムサ・ロミンサの市民と、トンベリたちを救うために！			次代の「海兵団」							
(-新生「海兵団」たち-)うおおおぉぉぉぉ、海兵魂ぃぃぃぃ！！！			(-新生「海兵団」たち-)うおおおぉぉぉぉ、海兵魂ぃぃぃぃ！！！			次代の「海兵団」							
や、やったか！？			や、やったか！？			次代の「海兵団」							
まだだ！　まだ倒れてないッ！奴は最後の力で、「トンベリ病」をバラ撒こうとしているんだ！			まだだ！　まだ倒れてないッ！奴は最後の力で、「トンベリ病」をバラ撒こうとしているんだ！			次代の「海兵団」							
いかん……！			いかん……！			次代の「海兵団」							
Forename君！リリィベルと君の力を合わせて、奴を浄化するのだ！			Forename君！リリィベルと君の力を合わせて、奴を浄化するのだ！			次代の「海兵団」							
やった！　やった！　僕たちはやったんだ！どうだ、見たか、これが僕たちの海兵魂だぞッ！！			やった！　やった！　僕たちはやったんだ！どうだ、見たか、これが僕たちの海兵魂だぞッ！！			次代の「海兵団」							
ついにやったか……。多くの者を異形の姿へと変えた元凶を倒し……「トンベリ病」患者たちが抱えた怨みが、今、晴らされた……。			ついにやったか……。多くの者を異形の姿へと変えた元凶を倒し……「トンベリ病」患者たちが抱えた怨みが、今、晴らされた……。			次代の「海兵団」							
ありがとう、Forename君、アルカ・ゾルカ君。君たちがいなければ、私たちは未だに怨みに囚われ、未来に希望を抱くことさえ、できなかっただろう。			ありがとう、Forename君、アルカ・ゾルカ君。君たちがいなければ、私たちは未だに怨みに囚われ、未来に希望を抱くことさえ、できなかっただろう。			次代の「海兵団」							
あぁ、俺からも礼を言わせてくれ。貴様たちこそ、「海兵団」を名乗るに相応しい。俺は……俺は……貴様たちを、誇りに思うぞ……。			あぁ、俺からも礼を言わせてくれ。貴様たちこそ、「海兵団」を名乗るに相応しい。俺は……俺は……貴様たちを、誇りに思うぞ……。			次代の「海兵団」							
そうとも、君たちこそが、正真正銘の最強軍団……。バイルブランド島の市民を護る、次代の「海兵団」だ！			そうとも、君たちこそが、正真正銘の最強軍団……。バイルブランド島の市民を護る、次代の「海兵団」だ！			次代の「海兵団」							
あんたたちと一緒に戦えて、光栄だったよ。アタイたちは、同じ「海兵団」の仲間になったんだ。また何かあったら、いつでも呼んどくれ！			あんたたちと一緒に戦えて、光栄だったよ。アタイたちは、同じ「海兵団」の仲間になったんだ。また何かあったら、いつでも呼んどくれ！			次代の「海兵団」							
アンタに背中を預けていると、不思議と安心感を感じたんだ。これが学者とフェアリーの力か……大したもんだぜ。また、アンタと一緒に戦いたいもんだな！			アンタに背中を預けていると、不思議と安心感を感じたんだ。これが学者とフェアリーの力か……大したもんだぜ。また、アンタと一緒に戦いたいもんだな！			次代の「海兵団」							
……グス……バ、バカ野郎……！これは涙なんかじゃない！　ただのトンベリ汁だ！！			……グス……バ、バカ野郎……！これは涙なんかじゃない！　ただのトンベリ汁だ！！			次代の「海兵団」							
貴様たちは、今日から新生「海兵団」だ！その名に恥じるような生き方をしやがったら、どこまでも追いかけて、背中からブスリと刺してやるからな！！			貴様たちは、今日から新生「海兵団」だ！その名に恥じるような生き方をしやがったら、どこまでも追いかけて、背中からブスリと刺してやるからな！！			次代の「海兵団」							
へへっ……君と僕ら、新生「海兵団」なら、必ずやり遂げられるって信じていたよ。やっぱり、君は最高の相棒だ！			へへっ……君と僕ら、新生「海兵団」なら、必ずやり遂げられるって信じていたよ。やっぱり、君は最高の相棒だ！			次代の「海兵団」							
病の妖異は倒され、1500年越しの脅威は払われた。万事、めでたし、めでたしだよな！			病の妖異は倒され、1500年越しの脅威は払われた。万事、めでたし、めでたしだよな！			次代の「海兵団」							
でも、僕は修行を止めたりはしないよ。新生「海兵団」の名を名乗るからには、日々、精進さ！うおおおっ、海兵魂ぃぃぃぃ！			でも、僕は修行を止めたりはしないよ。新生「海兵団」の名を名乗るからには、日々、精進さ！うおおおっ、海兵魂ぃぃぃぃ！			次代の「海兵団」							
さあ、ともに戦ってくれた戦友たちに、声をかけてくるがいい。軍学者にとって、戦友ほど大切な者はいないのだから。			さあ、ともに戦ってくれた戦友たちに、声をかけてくるがいい。軍学者にとって、戦友ほど大切な者はいないのだから。			次代の「海兵団」							
病の妖異の心核が遺されていたよ。これを詳細にわたり調べ、研究を続けていくことで、必ずや「トンベリ病」の治療に繋がる手がかりとなるだろう。			病の妖異の心核が遺されていたよ。これを詳細にわたり調べ、研究を続けていくことで、必ずや「トンベリ病」の治療に繋がる手がかりとなるだろう。			次代の「海兵団」							
すぐに完全な治療法が見つかるほど、現実が甘くないことくらい、私もわかっている。だが、必ずや私は、病の進行を止める方法を見つけるつもりだ。			すぐに完全な治療法が見つかるほど、現実が甘くないことくらい、私もわかっている。だが、必ずや私は、病の進行を止める方法を見つけるつもりだ。			次代の「海兵団」							
そして、私たちトンベリと君たち現代の民が、手を取り合い共存していける未来を、ともに作っていこう。			そして、私たちトンベリと君たち現代の民が、手を取り合い共存していける未来を、ともに作っていこう。			次代の「海兵団」							
ありがとう、Forename君。1500年の時を超え、第五星暦時代の「ニーム」と、現代とを結びつけた君がいれば、未来は明るい。			ありがとう、Forename君。1500年の時を超え、第五星暦時代の「ニーム」と、現代とを結びつけた君がいれば、未来は明るい。			次代の「海兵団」							
うむ、今こそ君に伝えるべきだろうな……。「ニーム軍学」の博士のみが修得を許された秘術「転化」を……この力を、未来のために使ってくれ。			うむ、今こそ君に伝えるべきだろうな……。「ニーム軍学」の博士のみが修得を許された秘術「転化」を……この力を、未来のために使ってくれ。			次代の「海兵団」							
さあ、しばしの別れだ。第七星暦に新生した、次代の学者よ！			さあ、しばしの別れだ。第七星暦に新生した、次代の学者よ！			次代の「海兵団」							
「学者」の物語が、ひとつの区切りを迎えました！次の「学者」のジョブクエストを開始するためには、以下の条件を満たす必要があります。			「学者」の物語が、ひとつの区切りを迎えました！次の「学者」のジョブクエストを開始するためには、以下の条件を満たす必要があります。			次代の「海兵団」							
1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			次代の「海兵団」							
条件を満たし、斧術士ギルドの「アルカ・ゾルカ」に話しかけ、新たなジョブクエストを開始しましょう！			条件を満たし、斧術士ギルドの「アルカ・ゾルカ」に話しかけ、新たなジョブクエストを開始しましょう！			次代の「海兵団」							
ワンダラーパレスのスリト・カリトは、冒険者に知らせたいことがあるようだ。			ワンダラーパレスのスリト・カリトは、冒険者に知らせたいことがあるようだ。			セトトの足跡							
スリト・カリトと話した。リムサ・ロミンサの斧術士ギルドにいる、「アルカ・ゾルカ」と話そう。			スリト・カリトと話した。リムサ・ロミンサの斧術士ギルドにいる、「アルカ・ゾルカ」と話そう。			セトトの足跡							
アルカ・ゾルカによると、セトトの足跡が判明したらしい。南部森林のキャンプ・トランキルへ向かい「アルカ・ゾルカ」と合流しよう。			アルカ・ゾルカによると、セトトの足跡が判明したらしい。南部森林のキャンプ・トランキルへ向かい「アルカ・ゾルカ」と合流しよう。			セトトの足跡							
アルカ・ゾルカと合流した。セトトを探すため、南部森林の根渡り沼にある「指定地点」で見渡そう。			アルカ・ゾルカと合流した。セトトを探すため、南部森林の根渡り沼にある「指定地点」で見渡そう。			セトトの足跡							
指定地点で見渡したが、セトトの姿は見当たらなかった。再度、根渡り沼にある「指定地点」で見渡そう。			指定地点で見渡したが、セトトの姿は見当たらなかった。再度、根渡り沼にある「指定地点」で見渡そう。			セトトの足跡							
指定地点で見渡したが、セトトの姿は見当たらなかった。さらに、根渡り沼にある「指定地点」で見渡そう。			指定地点で見渡したが、セトトの姿は見当たらなかった。さらに、根渡り沼にある「指定地点」で見渡そう。			セトトの足跡							
指定地点で見渡して、密猟者に襲われているセトトを発見した。根渡り沼で密猟者を討伐しよう。			指定地点で見渡して、密猟者に襲われているセトトを発見した。根渡り沼で密猟者を討伐しよう。			セトトの足跡							
密猟者を討伐したが、セトトは傷ついているようだ。根渡り沼の「セトト」に「鼓舞激励の策」をしよう。			密猟者を討伐したが、セトトは傷ついているようだ。根渡り沼の「セトト」に「鼓舞激励の策」をしよう。			セトトの足跡							
鼓舞激励の策でセトトを治療した。セトトは、父親の形見を探して、アムダプールへ向かおうとしていたようだ。キャンプ・トランキルに戻り「アルカ・ゾルカ」と話そう。			鼓舞激励の策でセトトを治療した。セトトは、父親の形見を探して、アムダプールへ向かおうとしていたようだ。キャンプ・トランキルに戻り「アルカ・ゾルカ」と話そう。			セトトの足跡							
アルカ・ゾルカは、セトトの目的である父親の形見探しに協力することを決める。まずは、セトトの怪我が癒えるのを待とう。※学者のレベルが65以上になると、キャンプ・トランキルのアルカ・ゾルカから次の学者クエストを受注することができます。			アルカ・ゾルカは、セトトの目的である父親の形見探しに協力することを決める。まずは、セトトの怪我が癒えるのを待とう。※学者のレベルが65以上になると、キャンプ・トランキルのアルカ・ゾルカから次の学者クエストを受注することができます。			セトトの足跡							
斧術士ギルドのアルカ・ゾルカと話す			斧術士ギルドのアルカ・ゾルカと話す			セトトの足跡							
キャンプ・トランキルのアルカ・ゾルカと合流			キャンプ・トランキルのアルカ・ゾルカと合流			セトトの足跡							
指定地点で見渡す			指定地点で見渡す			セトトの足跡							
指定地点で再度見渡す			指定地点で再度見渡す			セトトの足跡							
指定地点でさらに見渡す			指定地点でさらに見渡す			セトトの足跡							
密猟者たちを討伐			密猟者たちを討伐			セトトの足跡							
セトトに「鼓舞激励の策」をする			セトトに「鼓舞激励の策」をする			セトトの足跡							
キャンプ・トランキルのアルカ・ゾルカと話す			キャンプ・トランキルのアルカ・ゾルカと話す			セトトの足跡							
おぉ、Forename君。君に知らせたいことがある。			おぉ、Forename君。君に知らせたいことがある。			セトトの足跡							
どうやら、アルカ・ゾルカ君が、セトトについて新たな情報を掴んだらしい。			どうやら、アルカ・ゾルカ君が、セトトについて新たな情報を掴んだらしい。			セトトの足跡							
すまないが、リムサ・ロミンサの斧術士ギルドへ向かい、「アルカ・ゾルカ」君から話を聞いてきてもらえないか。			すまないが、リムサ・ロミンサの斧術士ギルドへ向かい、「アルカ・ゾルカ」君から話を聞いてきてもらえないか。			セトトの足跡							
よく来てくれたね、相棒！密航騒ぎの犯人と思しき化け物が、あの後、巡回中の銅刃団に発見されたようだ。			よく来てくれたね、相棒！密航騒ぎの犯人と思しき化け物が、あの後、巡回中の銅刃団に発見されたようだ。			セトトの足跡							
追い詰められた化け物は、黒衣森方面へと逃げて行ったらしい。森の中はグリダニア領だから、銅刃団に捜査権はない。それ以上の追跡は諦めたそうだ。			追い詰められた化け物は、黒衣森方面へと逃げて行ったらしい。森の中はグリダニア領だから、銅刃団に捜査権はない。それ以上の追跡は諦めたそうだ。			セトトの足跡							
いったい何の目的で大陸を渡る旅をしているのかわからないが、とにかく南部森林の「キャンプ・トランキル」へ急ごう！			いったい何の目的で大陸を渡る旅をしているのかわからないが、とにかく南部森林の「キャンプ・トランキル」へ急ごう！			セトトの足跡							
セトト……無事に見つかると良いのだが。			セトト……無事に見つかると良いのだが。			セトトの足跡							
セトトの捜索を、この場所から始めるのには、理由がある。ザナラーン方面から黒衣森へと向かったのであれば、必ず、この場所を通るはずだからね。			セトトの捜索を、この場所から始めるのには、理由がある。ザナラーン方面から黒衣森へと向かったのであれば、必ず、この場所を通るはずだからね。			セトトの足跡							
セトトが銅刃団の追跡を振り切ったのは、数日前……。とはいえ、バイルブランド島で生活していたニームの民が、1500年経過したこの辺りの地理に、詳しいとも思えない。			セトトが銅刃団の追跡を振り切ったのは、数日前……。とはいえ、バイルブランド島で生活していたニームの民が、1500年経過したこの辺りの地理に、詳しいとも思えない。			セトトの足跡							
つまり、追いつくチャンスはあるってことさ。僕は、キャンプの北側を探すから、君は「南側」一帯を頼む！			つまり、追いつくチャンスはあるってことさ。僕は、キャンプの北側を探すから、君は「南側」一帯を頼む！			セトトの足跡							
セトトの姿は見当たらない。この付近にはいないようだ……。			セトトの姿は見当たらない。この付近にはいないようだ……。			セトトの足跡							
セトトらしきトンベリを発見した！……が、武装した集団に襲われているようだ！			セトトらしきトンベリを発見した！……が、武装した集団に襲われているようだ！			セトトの足跡							
まさかこんなお宝と出会えるなんてなぁ！こんな魔物、今までに見たこともない！きっと、皮を剥いで売れば、いい儲けになるぜ！			まさかこんなお宝と出会えるなんてなぁ！こんな魔物、今までに見たこともない！きっと、皮を剥いで売れば、いい儲けになるぜ！			セトトの足跡							
それにしても、しぶとい魔物だね！さっさと死んじまいなッ！			それにしても、しぶとい魔物だね！さっさと死んじまいなッ！			セトトの足跡							
敵が襲いかかってきた！！			敵が襲いかかってきた！！			セトトの足跡							
獲物は渡さねぇ！			獲物は渡さねぇ！			セトトの足跡							
横取りするつもりかい！			横取りするつもりかい！			セトトの足跡							
はぁぁ～……た、助かった……。			はぁぁ～……た、助かった……。			セトトの足跡							
って、今あなたが使った治癒魔法は、ニームの軍学魔法ですよね？ひょっとして、あなたがスリト・カリトさんが言っていた、次代の学者なの？			って、今あなたが使った治癒魔法は、ニームの軍学魔法ですよね？ひょっとして、あなたがスリト・カリトさんが言っていた、次代の学者なの？			セトトの足跡							
はぁ……はぁ……よかった、無事に見つけていたのか！			はぁ……はぁ……よかった、無事に見つけていたのか！			セトトの足跡							
北側を探しても見つからなかったから、一度合流するためにキャンプに戻ったんだ……。でも、あまりにも帰りが遅いから、心配になって……。			北側を探しても見つからなかったから、一度合流するためにキャンプに戻ったんだ……。でも、あまりにも帰りが遅いから、心配になって……。			セトトの足跡							
はじめまして、セトト。僕は、新生「海兵団」の海兵、アルカ・ゾルカだ。こっちは、相棒で学者のForename君！			はじめまして、セトト。僕は、新生「海兵団」の海兵、アルカ・ゾルカだ。こっちは、相棒で学者のForename君！			セトトの足跡							
それにしても、思ったとおりだよ。やっぱり、セトトは素敵なレディだったんだね！君もそう思うだろう？			それにしても、思ったとおりだよ。やっぱり、セトトは素敵なレディだったんだね！君もそう思うだろう？			セトトの足跡							
何と答える？			何と答える？			セトトの足跡							
なぜわかる？			なぜわかる？			セトトの足跡							
男性だと思う			男性だと思う			セトトの足跡							
見ればわかるじゃないか！どこからどう見ても、セトトはうら若きレディだろう！			見ればわかるじゃないか！どこからどう見ても、セトトはうら若きレディだろう！			セトトの足跡							
冗談にしては、失礼すぎるぞ！どこからどう見ても、セトトはうら若きレディだろう！			冗談にしては、失礼すぎるぞ！どこからどう見ても、セトトはうら若きレディだろう！			セトトの足跡							
セトト、ひとつ聞いていいかな。どうしてブロンズレイクを離れたんだい？			セトト、ひとつ聞いていいかな。どうしてブロンズレイクを離れたんだい？			セトトの足跡							
私、スリト・カリトさんには、とっても感謝してるの。こんな姿になっちゃったけど、あの人のおかげで、心まで化け物にならずに済んだんだもの。			私、スリト・カリトさんには、とっても感謝してるの。こんな姿になっちゃったけど、あの人のおかげで、心まで化け物にならずに済んだんだもの。			セトトの足跡							
でも……私には、どうしてもやらなければならないことがあるの。「トンベリ病」が進行する心配がなくなった今なら、それができると思って……。			でも……私には、どうしてもやらなければならないことがあるの。「トンベリ病」が進行する心配がなくなった今なら、それができると思って……。			セトトの足跡							
いったい、なにをしようとしたんだ？			いったい、なにをしようとしたんだ？			セトトの足跡							
……少し、長い話になるわ。1500年前のこと、海兵団の軍学者だった私のお父さんは、ある極秘任務で、アムダプールへの潜入を試みたの……。			……少し、長い話になるわ。1500年前のこと、海兵団の軍学者だった私のお父さんは、ある極秘任務で、アムダプールへの潜入を試みたの……。			セトトの足跡							
でも、待てど暮らせど、お父さんは帰ってこなかった。きっと、アムダプールの兵に発見されて、任務に失敗したんだと思う……。			でも、待てど暮らせど、お父さんは帰ってこなかった。きっと、アムダプールの兵に発見されて、任務に失敗したんだと思う……。			セトトの足跡							
確かに、ここはかつてアムダプールがあった場所だけど、ひとりで行動するなんて無茶だよ！			確かに、ここはかつてアムダプールがあった場所だけど、ひとりで行動するなんて無茶だよ！			セトトの足跡							
それに、君の言うとおり、もう1500年もの時間が経過してるんだ。君のお父さんは、すでに……。			それに、君の言うとおり、もう1500年もの時間が経過してるんだ。君のお父さんは、すでに……。			セトトの足跡							
うん、わかってる……。ワンダラーパレスに封じられていた私たちと違って、お父さんには1500年の時が流れてる……生きているはずがない。			うん、わかってる……。ワンダラーパレスに封じられていた私たちと違って、お父さんには1500年の時が流れてる……生きているはずがない。			セトトの足跡							
でも、それでも形見だけは……何でもいい、お父さんを感じることができる物があれば……！！			でも、それでも形見だけは……何でもいい、お父さんを感じることができる物があれば……！！			セトトの足跡							
な、な、なんて……健気で……いい子なんだ……！			な、な、なんて……健気で……いい子なんだ……！			セトトの足跡							
それなら、僕たち新生「海兵団」が力になるよ！頑張ってお父さんの形見を探そう！なぁ、Forename君！			それなら、僕たち新生「海兵団」が力になるよ！頑張ってお父さんの形見を探そう！なぁ、Forename君！			セトトの足跡							
ふたりとも……ありがとう。			ふたりとも……ありがとう。			セトトの足跡							
よーし、そうと決まれば準備をしなくちゃ！一度、「キャンプ・トランキル」に戻ろう！			よーし、そうと決まれば準備をしなくちゃ！一度、「キャンプ・トランキル」に戻ろう！			セトトの足跡							
う、うう……。			う、うう……。			セトトの足跡							
セトトは傷を負っているようだ……。「鼓舞激励の策」で治療しよう。			セトトは傷を負っているようだ……。「鼓舞激励の策」で治療しよう。			セトトの足跡							
セトトが無事に見つかってよかった。スリト・カリトさんには、僕から状況を説明しておくよ。			セトトが無事に見つかってよかった。スリト・カリトさんには、僕から状況を説明しておくよ。			セトトの足跡							
いいかい、セトト。もうひとりで歩き回っちゃだめだよ。君にとって、この世界はあまりにも危険なんだ。			いいかい、セトト。もうひとりで歩き回っちゃだめだよ。君にとって、この世界はあまりにも危険なんだ。			セトトの足跡							
うん、わかった。ありがとう、アルカ・ゾルカって優しいのね。			うん、わかった。ありがとう、アルカ・ゾルカって優しいのね。			セトトの足跡							
ははは、よせよ。			ははは、よせよ。			セトトの足跡							
それじゃ、Forename君。セトトの怪我が癒え次第、彼女のお父さんの形見を探しに、アムダプールの遺跡を探索しよう！			それじゃ、Forename君。セトトの怪我が癒え次第、彼女のお父さんの形見を探しに、アムダプールの遺跡を探索しよう！			セトトの足跡							
あなたたちが力を貸してくれるんだもん、きっと上手くいくって信じてるわ。			あなたたちが力を貸してくれるんだもん、きっと上手くいくって信じてるわ。			セトトの足跡							
ワンダラーパレスのスリト・カリトは、冒険者に頼みたいことがあるようだ。			ワンダラーパレスのスリト・カリトは、冒険者に頼みたいことがあるようだ。			魔法都市「マハ」の陰謀							
スリト・カリトの依頼を受けた。外地ラノシアのニーム浮遊遺跡にある「指定地点」で見渡して、南洋の飾り壺を探そう。			スリト・カリトの依頼を受けた。外地ラノシアのニーム浮遊遺跡にある「指定地点」で見渡して、南洋の飾り壺を探そう。			魔法都市「マハ」の陰謀							
辺りを見渡したが、南洋の飾り壺は見つからなかった。ニーム浮遊遺跡の「指定地点」で再度見渡して、南洋の飾り壺を探そう。			辺りを見渡したが、南洋の飾り壺は見つからなかった。ニーム浮遊遺跡の「指定地点」で再度見渡して、南洋の飾り壺を探そう。			魔法都市「マハ」の陰謀							
再度辺りを見渡したが、南洋の飾り壺は見つからなかった。ニーム浮遊遺跡の「指定地点」でさらに見渡して、南洋の飾り壺を探そう。			再度辺りを見渡したが、南洋の飾り壺は見つからなかった。ニーム浮遊遺跡の「指定地点」でさらに見渡して、南洋の飾り壺を探そう。			魔法都市「マハ」の陰謀							
さらに周囲を見渡したところ、埋もれた壺を見つけた。ニーム浮遊遺跡の「埋もれた壺」を掘り出そう。			さらに周囲を見渡したところ、埋もれた壺を見つけた。ニーム浮遊遺跡の「埋もれた壺」を掘り出そう。			魔法都市「マハ」の陰謀							
埋もれた壺を掘り出したところ、妖異に襲われ、これを討伐した。改めて、ニーム浮遊遺跡の「埋もれた壺」を掘り出そう。			埋もれた壺を掘り出したところ、妖異に襲われ、これを討伐した。改めて、ニーム浮遊遺跡の「埋もれた壺」を掘り出そう。			魔法都市「マハ」の陰謀							
埋もれた壺を掘り出し、からっぽの壺を入手した。ワンダラーパレスの「スリト・カリト」に「からっぽの壺」を渡そう。			埋もれた壺を掘り出し、からっぽの壺を入手した。ワンダラーパレスの「スリト・カリト」に「からっぽの壺」を渡そう。			魔法都市「マハ」の陰謀							
スリト・カリトにからっぽの壺を渡した。渡した壺は、南洋の飾り壺で間違いないようだ。彼は、トンベリ病に繋がる重要な証拠である、南洋の飾り壺について詳しく調べてみるつもりらしい。※学者のレベルが56以上になると、ワンダラーパレスのスリト・カリトから次の学者クエストを受注することができます。			スリト・カリトにからっぽの壺を渡した。渡した壺は、南洋の飾り壺で間違いないようだ。彼は、トンベリ病に繋がる重要な証拠である、南洋の飾り壺について詳しく調べてみるつもりらしい。※学者のレベルが56以上になると、ワンダラーパレスのスリト・カリトから次の学者クエストを受注することができます。			魔法都市「マハ」の陰謀							
ニーム浮遊遺跡の指定地点で見渡して南洋の飾り壺を探す			ニーム浮遊遺跡の指定地点で見渡して南洋の飾り壺を探す			魔法都市「マハ」の陰謀							
再度指定地点で見渡して南洋の飾り壺を探す			再度指定地点で見渡して南洋の飾り壺を探す			魔法都市「マハ」の陰謀							
さらに指定地点で見渡して南洋の飾り壺を探す			さらに指定地点で見渡して南洋の飾り壺を探す			魔法都市「マハ」の陰謀							
埋もれた壺を掘り出す			埋もれた壺を掘り出す			魔法都市「マハ」の陰謀							
