剣術士ギルドのミラは何やら慌てているようだ。			剣術士ギルドのミラは何やら慌てているようだ。			ナルザルの双剣							
弓に臆することなく戦い、アマルジャ族を倒した。「負傷した剣術士」に話しかけて無事を確認しよう。			弓に臆することなく戦い、アマルジャ族を倒した。「負傷した剣術士」に話しかけて無事を確認しよう。			矢衾から見える勝機							
負傷した剣術士は命に別状はないようだ。「剣術士ギルド」に戻って「ミラ」に報告しよう。			負傷した剣術士は命に別状はないようだ。「剣術士ギルド」に戻って「ミラ」に報告しよう。			矢衾から見える勝機							
彼女は冒険者の活躍を認めているようだ。報告の最中に、突然現れたアルディス。何やらミラと因縁があるようだが、彼は冒険者と話がしたいという。「クイックサンド」へ行き、「アルディス」と話そう。			彼女は冒険者の活躍を認めているようだ。報告の最中に、突然現れたアルディス。何やらミラと因縁があるようだが、彼は冒険者と話がしたいという。「クイックサンド」へ行き、「アルディス」と話そう。			矢衾から見える勝機							
話の最中に襲ってきた弓術士は、アルディスを狙っていたようだ……。一度「剣術士ギルド」に戻り「ミラ」と話そう。			話の最中に襲ってきた弓術士は、アルディスを狙っていたようだ……。一度「剣術士ギルド」に戻り「ミラ」と話そう。			矢衾から見える勝機							
ミラと話をすることができた。彼女から授かった戦技を活用し、さらに腕をあげよう。※剣術士のレベルが20以上になると、ミラから次の剣術士クエストを受注することができます。			ミラと話をすることができた。彼女から授かった戦技を活用し、さらに腕をあげよう。※剣術士のレベルが20以上になると、ミラから次の剣術士クエストを受注することができます。			矢衾から見える勝機							
負傷した剣術士と話しアマルジャ族を討伐			負傷した剣術士と話しアマルジャ族を討伐			矢衾から見える勝機							
負傷した剣術士と話す			負傷した剣術士と話す			矢衾から見える勝機							
剣術士ギルドのミラに報告			剣術士ギルドのミラに報告			矢衾から見える勝機							
クイックサンドのアルディスと話す			クイックサンドのアルディスと話す			矢衾から見える勝機							
剣術士ギルドのミラと話す			剣術士ギルドのミラと話す			矢衾から見える勝機							
よくきた、Forename Surname。お前も大分、剣に慣れてきた頃だろう。私からの試練も、そろそろ中盤だ。			よくきた、Forename Surname。お前も大分、剣に慣れてきた頃だろう。私からの試練も、そろそろ中盤だ。			矢衾から見える勝機							
最近、ドライボーン周辺、街道沿いに「アマルジャ族」の一団が出没し、商隊を襲う事件が多発しているらしい。			最近、ドライボーン周辺、街道沿いに「アマルジャ族」の一団が出没し、商隊を襲う事件が多発しているらしい。			矢衾から見える勝機							
ドライボーンは、アラグ陽道の中継地であり、不滅隊や銅刃団が守備を固める辺境の要地。我がギルドの手錬も、戦力として派遣されているのだ。			ドライボーンは、アラグ陽道の中継地であり、不滅隊や銅刃団が守備を固める辺境の要地。我がギルドの手錬も、戦力として派遣されているのだ。			矢衾から見える勝機							
アマルジャは蛮族の中でも知恵に長ける。しかも商隊を襲ったアマルジャ族は組織だった動きをする弓兵集団だったと聞く。			アマルジャは蛮族の中でも知恵に長ける。しかも商隊を襲ったアマルジャ族は組織だった動きをする弓兵集団だったと聞く。			矢衾から見える勝機							
さあ、行け！お前の持つ盾で、雨のような矢を弾き飛ばせ！そして振り払い、奴らを薙ぎ払ってこい！			さあ、行け！お前の持つ盾で、雨のような矢を弾き飛ばせ！そして振り払い、奴らを薙ぎ払ってこい！			矢衾から見える勝機							
おお……ギルドからの応援か……！た、助かるぜ……！			おお……ギルドからの応援か……！た、助かるぜ……！			矢衾から見える勝機							
(CUT)※にぎやかしに変更			(CUT)※にぎやかしに変更			矢衾から見える勝機							
すまんな、助けてくれてありがとよ。俺の剣もまだまだ未熟だな……。こんなんじゃ、ミラさんにドヤされちまう。			すまんな、助けてくれてありがとよ。俺の剣もまだまだ未熟だな……。こんなんじゃ、ミラさんにドヤされちまう。			矢衾から見える勝機							
俺の剣もまだまだ未熟だな……。			俺の剣もまだまだ未熟だな……。			矢衾から見える勝機							
(CUT)※にぎやかしに変更			(CUT)※にぎやかしに変更			矢衾から見える勝機							
Forename Surname、お手柄だな。フフ……私の目に狂いはなかったようだ。ギルドマスターとして鼻が高いぞ。			Forename Surname、お手柄だな。フフ……私の目に狂いはなかったようだ。ギルドマスターとして鼻が高いぞ。			矢衾から見える勝機							
(CUT)			(CUT)			矢衾から見える勝機							
(CUT)			(CUT)			矢衾から見える勝機							
相変わらず男臭ェギルドだな、ここは。お前らちゃんと風呂入ってんのかァ？			相変わらず男臭ェギルドだな、ここは。お前らちゃんと風呂入ってんのかァ？			矢衾から見える勝機							
アルディスさん！			アルディスさん！			矢衾から見える勝機							
(CUT)			(CUT)			矢衾から見える勝機							
(CUT)			(CUT)			矢衾から見える勝機							
よぅ、おめェら。久しぶりじゃねェか。相変わらずバカやってるか？			よぅ、おめェら。久しぶりじゃねェか。相変わらずバカやってるか？			矢衾から見える勝機							
アルディス……!?			アルディス……!?			矢衾から見える勝機							
よぉ、ミラ。元気そうじゃねェか。しばらく見ないうちに、キレイになったんじゃねェか？			よぉ、ミラ。元気そうじゃねェか。しばらく見ないうちに、キレイになったんじゃねェか？			矢衾から見える勝機							
(CUT)			(CUT)			矢衾から見える勝機							
(CUT)			(CUT)			矢衾から見える勝機							
アルディス、貴様、どこをほっつき歩いていた!?そして何故、いまごろになって帰ってきた!?答えろ！			アルディス、貴様、どこをほっつき歩いていた!?そして何故、いまごろになって帰ってきた!?答えろ！			矢衾から見える勝機							
そうカッカするなよ、ミラ。いわゆる自分探しの旅ってやつか？俺、こうみえてもセンチメンタルなんだよな。			そうカッカするなよ、ミラ。いわゆる自分探しの旅ってやつか？俺、こうみえてもセンチメンタルなんだよな。			矢衾から見える勝機							
冗談は顔だけにしろッ！金輪際、ギルドの敷居を跨ぐな！今度私の前に現れたら、ニヤけた面をバッサリいくぞ！			冗談は顔だけにしろッ！金輪際、ギルドの敷居を跨ぐな！今度私の前に現れたら、ニヤけた面をバッサリいくぞ！			矢衾から見える勝機							
(CUT)			(CUT)			矢衾から見える勝機							
(CUT)			(CUT)			矢衾から見える勝機							
お～お、眉吊り上げちゃって、まァ。せっかくのいい女が台無しだぜ。ミラ。			お～お、眉吊り上げちゃって、まァ。せっかくのいい女が台無しだぜ。ミラ。			矢衾から見える勝機							
……わかったよ。そう怒るなって。さっさと退散するとするか。お～怖ッ。			……わかったよ。そう怒るなって。さっさと退散するとするか。お～怖ッ。			矢衾から見える勝機							
おい、お前……折り入って話したいことがある。顔を貸してくれ。「クイックサンド」で待ってるぜ。もちろん……ミラには内緒だぜ？			おい、お前……折り入って話したいことがある。顔を貸してくれ。「クイックサンド」で待ってるぜ。もちろん……ミラには内緒だぜ？			矢衾から見える勝機							
(CUT)			(CUT)			矢衾から見える勝機							
(CUT)			(CUT)			矢衾から見える勝機							
アルディス……あのバカ……なんで今さらになってウルダハに帰ってきたの……？			アルディス……あのバカ……なんで今さらになってウルダハに帰ってきたの……？			矢衾から見える勝機							
よぉ、Forename、来てくれたか。さっきはみっともねェ所をみせちまったな。			よぉ、Forename、来てくれたか。さっきはみっともねェ所をみせちまったな。			矢衾から見える勝機							
「遠方より故郷に帰る、万雷の拍手に迎えられ」……とはいかねェようだ。ま、それもいいさ。			「遠方より故郷に帰る、万雷の拍手に迎えられ」……とはいかねェようだ。ま、それもいいさ。			矢衾から見える勝機							
Forename。お前に折り入って頼みがある。剣術士ギルド……ミラにも関わることだ。			Forename。お前に折り入って頼みがある。剣術士ギルド……ミラにも関わることだ。			矢衾から見える勝機							
お前はまだ駆け出しの剣術士だ。……だが、お前の目には「炎」が宿っている。			お前はまだ駆け出しの剣術士だ。……だが、お前の目には「炎」が宿っている。			矢衾から見える勝機							
信念っていう名の「炎」だ。煤けちまった俺には、もう種火も残ってねぇが……。			信念っていう名の「炎」だ。煤けちまった俺には、もう種火も残ってねぇが……。			矢衾から見える勝機							
伝説の武具職人ゲロルトの最高傑作「フレンジー」。コロセウムの英雄たちに贈られた名剣のひと振り。……俺には過ぎた得物だ。			伝説の武具職人ゲロルトの最高傑作「フレンジー」。コロセウムの英雄たちに贈られた名剣のひと振り。……俺には過ぎた得物だ。			矢衾から見える勝機							
そしてもう一人、同じ剣を持っている男がいた。かつてはお前と同じく、信念という名の炎をその瞳に宿した男だった……。			そしてもう一人、同じ剣を持っている男がいた。かつてはお前と同じく、信念という名の炎をその瞳に宿した男だった……。			矢衾から見える勝機							
いいか、頼みってのは……。			いいか、頼みってのは……。			矢衾から見える勝機							
おッと！			おッと！			矢衾から見える勝機							
剣術士アルディスだなッ！？貴様の命、頂きに来たッ！			剣術士アルディスだなッ！？貴様の命、頂きに来たッ！			矢衾から見える勝機							
いやなこった、やんないよ。			いやなこった、やんないよ。			矢衾から見える勝機							
ほざくなッ！　覚悟しろッ！			ほざくなッ！　覚悟しろッ！			矢衾から見える勝機							
やれやれ、冗談の通じないヤツらはこれだから。酒を味わう暇もありゃしねェ。			やれやれ、冗談の通じないヤツらはこれだから。酒を味わう暇もありゃしねェ。			矢衾から見える勝機							
俺が敵の攻撃をひきつける。その間に、奴らを殲滅しろ。さあ、頼んだぜ、相棒！			俺が敵の攻撃をひきつける。その間に、奴らを殲滅しろ。さあ、頼んだぜ、相棒！			矢衾から見える勝機							
(CUT)			(CUT)			矢衾から見える勝機							
……白昼堂々、クイックサンドで襲ってくるとは、奴さん、いよいよ焼きが回ったとみえる。……安心しろ、命を狙われたのは俺だ。			……白昼堂々、クイックサンドで襲ってくるとは、奴さん、いよいよ焼きが回ったとみえる。……安心しろ、命を狙われたのは俺だ。			矢衾から見える勝機							
(CUT)			(CUT)			矢衾から見える勝機							
(CUT)			(CUT)			矢衾から見える勝機							
(CUT)			(CUT)			矢衾から見える勝機							
まったく、カワイコちゃんなら大歓迎なんだがね。どうしてこう、関わりたくない連中にばかりモテるんだかなァ。			まったく、カワイコちゃんなら大歓迎なんだがね。どうしてこう、関わりたくない連中にばかりモテるんだかなァ。			矢衾から見える勝機							
すまんが、話はまた次回にしよう……。俺は、そうだな、場所を変えて飲みなおすさ。次こそは、グラマーな美女に囲まれたいもんだねェ。			すまんが、話はまた次回にしよう……。俺は、そうだな、場所を変えて飲みなおすさ。次こそは、グラマーな美女に囲まれたいもんだねェ。			矢衾から見える勝機							
(CUT)			(CUT)			矢衾から見える勝機							
私としたことが、馬鹿な男のおかげで、お前に新たな技を伝授するのを忘れていた。あの男は他人の血圧を上げるのが、大の得意でな……。			私としたことが、馬鹿な男のおかげで、お前に新たな技を伝授するのを忘れていた。あの男は他人の血圧を上げるのが、大の得意でな……。			矢衾から見える勝機							
(CUT)			(CUT)			矢衾から見える勝機							
(CUT)			(CUT)			矢衾から見える勝機							
(CUT)			(CUT)			矢衾から見える勝機							
(CUT)			(CUT)			矢衾から見える勝機							
(CUT)			(CUT)			矢衾から見える勝機							
(CUT)			(CUT)			矢衾から見える勝機							
(CUT)			(CUT)			矢衾から見える勝機							
「シールドロブ」という戦技だ。盾を投擲することで遠方の敵を攻撃し、注意を引き付けることができる。			「シールドロブ」という戦技だ。盾を投擲することで遠方の敵を攻撃し、注意を引き付けることができる。			矢衾から見える勝機							
(CUT)			(CUT)			矢衾から見える勝機							
(CUT)			(CUT)			矢衾から見える勝機							
(CUT)			(CUT)			矢衾から見える勝機							
近接戦闘しかできない剣術士にはかなり重宝する技だ。戦場で大いに活用しろ！			近接戦闘しかできない剣術士にはかなり重宝する技だ。戦場で大いに活用しろ！			矢衾から見える勝機							
次のクラスクエストは「レベル20」に受注可能になります。レベルを上げ、またギルドを訪れてください。			次のクラスクエストは「レベル20」に受注可能になります。レベルを上げ、またギルドを訪れてください。			矢衾から見える勝機							
敵の気配を感じた！！			敵の気配を感じた！！			矢衾から見える勝機							
クエスト「矢衾から見える勝機」のバトルを開始しますか？			クエスト「矢衾から見える勝機」のバトルを開始しますか？			矢衾から見える勝機							
はい			はい			矢衾から見える勝機							
いいえ			いいえ			矢衾から見える勝機							
謎めいた襲撃者たちを倒せ			謎めいた襲撃者たちを倒せ			矢衾から見える勝機							
Forename、よく見ておけよ。剣術士の戦い方ってモンを教えてやるぜ。			Forename、よく見ておけよ。剣術士の戦い方ってモンを教えてやるぜ。			矢衾から見える勝機							
ナメられたモンだな。こんな数で俺を倒せると思ったか？			ナメられたモンだな。こんな数で俺を倒せると思ったか？			矢衾から見える勝機							
おい、そっちのチビどもはお前に任せるぜ。			おい、そっちのチビどもはお前に任せるぜ。			矢衾から見える勝機							
ほぅ、なかなか骨のあるやつもいるじゃねェか。			ほぅ、なかなか骨のあるやつもいるじゃねェか。			矢衾から見える勝機							
Forename、弓のクイックノックに巻きこまれるなよ！			Forename、弓のクイックノックに巻きこまれるなよ！			矢衾から見える勝機							
剣術士ギルドのミラは、冒険者に槍術士討伐の試練を与えたいようだ。			剣術士ギルドのミラは、冒険者に槍術士討伐の試練を与えたいようだ。			剣閃は槍を折る							
槍術士の集団が、剣術士ばかりを襲う事件が多発している。「ストーンズスロー貧民窟」で「弱気な剣術士」を助けよう。			槍術士の集団が、剣術士ばかりを襲う事件が多発している。「ストーンズスロー貧民窟」で「弱気な剣術士」を助けよう。			剣閃は槍を折る							
槍術士を倒した。「弱気な剣術士」に話しかけて無事を確認しよう。			槍術士を倒した。「弱気な剣術士」に話しかけて無事を確認しよう。			剣閃は槍を折る							
弱気な剣術士に怪我はなかったようだ。「剣術士ギルド」に戻り、「ミラ」に報告しよう。			弱気な剣術士に怪我はなかったようだ。「剣術士ギルド」に戻り、「ミラ」に報告しよう。			剣閃は槍を折る							
剣術士を襲っていた槍術士はシェーダー族の傭兵団だったらしい。そこに彼らの別働隊が「ブラックブラッシュ停留所」の南にある鉄道トンネルで暴れているとの報告が入った。先輩剣術士「ブルース」とともに向かい、「シェーダー族の傭兵団」を倒そう。			剣術士を襲っていた槍術士はシェーダー族の傭兵団だったらしい。そこに彼らの別働隊が「ブラックブラッシュ停留所」の南にある鉄道トンネルで暴れているとの報告が入った。先輩剣術士「ブルース」とともに向かい、「シェーダー族の傭兵団」を倒そう。			剣閃は槍を折る							
無事、傭兵団を討伐できた。彼らは「アルディス」という名前の剣術士を狙っていたようだ。ギルドに戻る前に一度「ブルース」と話そう。			無事、傭兵団を討伐できた。彼らは「アルディス」という名前の剣術士を狙っていたようだ。ギルドに戻る前に一度「ブルース」と話そう。			剣閃は槍を折る							
冒険者の活躍により事件は解決した。「剣術士ギルド」に戻り「ミラ」に報告しよう。			冒険者の活躍により事件は解決した。「剣術士ギルド」に戻り「ミラ」に報告しよう。			剣閃は槍を折る							
ミラに報告することができた。彼女は、傭兵団が狙っていたと思われる賞金首の剣術士が気になるようだ……。※剣術士のレベルが15以上になると、ミラから次の剣術士クエストを受注することができます。			ミラに報告することができた。彼女は、傭兵団が狙っていたと思われる賞金首の剣術士が気になるようだ……。※剣術士のレベルが15以上になると、ミラから次の剣術士クエストを受注することができます。			剣閃は槍を折る							
弱気な剣術士と話し、槍術士と戦う			弱気な剣術士と話し、槍術士と戦う			剣閃は槍を折る							
弱気な剣術士と話す			弱気な剣術士と話す			剣閃は槍を折る							
剣術士ギルドのミラに報告			剣術士ギルドのミラに報告			剣閃は槍を折る							
鉄道トンネルにある指定地点で待機する			鉄道トンネルにある指定地点で待機する			剣閃は槍を折る							
剣術士ブルースと話す			剣術士ブルースと話す			剣閃は槍を折る							
剣術士ギルドのミラに報告			剣術士ギルドのミラに報告			剣閃は槍を折る							
久しぶりだな、Forename Surname。どうやら自己鍛錬を怠らなかったようだな。では、お待ちかねの次の試練だ、準備はいいな？			久しぶりだな、Forename Surname。どうやら自己鍛錬を怠らなかったようだな。では、お待ちかねの次の試練だ、準備はいいな？			剣閃は槍を折る							
今、巷では剣を持つ者を狙った殺傷事件が起きている。何故、剣術士だけを狙って攻撃してくるのか？その動機や目的は一切、謎だ。			今、巷では剣を持つ者を狙った殺傷事件が起きている。何故、剣術士だけを狙って攻撃してくるのか？その動機や目的は一切、謎だ。			剣閃は槍を折る							
幸いまだギルドメンバーが襲われたケースはないが、将来、我々が標的になることは想像に難くない。しかも相手は複数、その得物は「槍」だそうだ……。			幸いまだギルドメンバーが襲われたケースはないが、将来、我々が標的になることは想像に難くない。しかも相手は複数、その得物は「槍」だそうだ……。			剣閃は槍を折る							
私の言いたいことはわかるな？お前にはこの犯人探しと、討伐を頼みたい。つまりお前の試練は「槍術士」との戦いだ。			私の言いたいことはわかるな？お前にはこの犯人探しと、討伐を頼みたい。つまりお前の試練は「槍術士」との戦いだ。			剣閃は槍を折る							
相手は複数で「ストーンズスロー貧民窟」周辺に出没しているらしい。頭を使え、そして「戦術」を意識しろ。			相手は複数で「ストーンズスロー貧民窟」周辺に出没しているらしい。頭を使え、そして「戦術」を意識しろ。			剣閃は槍を折る							
さあ、行け、Forename Surname。ギルドの威信に懸けて、剣に仇なす敵を倒し、われらが剣の最強たることを証明するのだ！			さあ、行け、Forename Surname。ギルドの威信に懸けて、剣に仇なす敵を倒し、われらが剣の最強たることを証明するのだ！			剣閃は槍を折る							
ひッ！ご、ごめんなさいごめんなさいィィィィ！殺さないでェェ！			ひッ！ご、ごめんなさいごめんなさいィィィィ！殺さないでェェ！			剣閃は槍を折る							
はぁ……歩いてたら、いきなり「お前、アルディスか!?」なんて意味不明なこと言われて、襲われたんだ……こ、怖かったよォ～。			はぁ……歩いてたら、いきなり「お前、アルディスか!?」なんて意味不明なこと言われて、襲われたんだ……こ、怖かったよォ～。			剣閃は槍を折る							
襲撃犯の討伐、御苦労だったな。どうやら、犯人グループは、黒衣森から流れたシェーダー族の傭兵団らしい。			襲撃犯の討伐、御苦労だったな。どうやら、犯人グループは、黒衣森から流れたシェーダー族の傭兵団らしい。			剣閃は槍を折る							
(CUT)			(CUT)			剣閃は槍を折る							
(CUT)			(CUT)			剣閃は槍を折る							
(CUT)			(CUT)			剣閃は槍を折る							
きっと故郷で食い詰め、目先の金欲しさにザナラーンに流れてきたんだろう。傭兵団も一歩間違えれば、盗賊団と変わらんな。			きっと故郷で食い詰め、目先の金欲しさにザナラーンに流れてきたんだろう。傭兵団も一歩間違えれば、盗賊団と変わらんな。			剣閃は槍を折る							
……しかし妙な話だな。「剣術士」ばかりを狙った犯行というのが解せない。いったい奴らは何が目的なんだ？			……しかし妙な話だな。「剣術士」ばかりを狙った犯行というのが解せない。いったい奴らは何が目的なんだ？			剣閃は槍を折る							
マスター！			マスター！			剣閃は槍を折る							
どうした？			どうした？			剣閃は槍を折る							
例のシェーダー族の槍術傭兵団が、ブラックブラッシュ近郊に出現したとの報告です！			例のシェーダー族の槍術傭兵団が、ブラックブラッシュ近郊に出現したとの報告です！			剣閃は槍を折る							
……ちっ、やつら複数いたのか……。よし、Forename、乗りかけた船だ。お前にさらなる傭兵団の討伐を任じる。			……ちっ、やつら複数いたのか……。よし、Forename、乗りかけた船だ。お前にさらなる傭兵団の討伐を任じる。			剣閃は槍を折る							
(CUT)			(CUT)			剣閃は槍を折る							
(CUT)			(CUT)			剣閃は槍を折る							
おい、ブルース。今度の戦いはForenameだけでは心もとない。先輩であるお前が共に行き、討伐の手助けをしろ。			おい、ブルース。今度の戦いはForenameだけでは心もとない。先輩であるお前が共に行き、討伐の手助けをしろ。			剣閃は槍を折る							
(CUT)			(CUT)			剣閃は槍を折る							
(CUT)			(CUT)			剣閃は槍を折る							
新米のお守りってやつですか？いいでしょう。かわいがってやりますよ。			新米のお守りってやつですか？いいでしょう。かわいがってやりますよ。			剣閃は槍を折る							
いいか、Forename Surname。今回は敵味方の双方が入り乱れる集団戦になる。相手の「敵視」を引きつけること、忘れるな！			いいか、Forename Surname。今回は敵味方の双方が入り乱れる集団戦になる。相手の「敵視」を引きつけること、忘れるな！			剣閃は槍を折る							
(CUT)			(CUT)			剣閃は槍を折る							
(CUT)			(CUT)			剣閃は槍を折る							
(CUT)			(CUT)			剣閃は槍を折る							
(CUT)			(CUT)			剣閃は槍を折る							
(CUT)			(CUT)			剣閃は槍を折る							
頼んだぜ、新米！俺の背中を預けられるに足る剣術士か、戦場でじっくり見極めてやるからな。			頼んだぜ、新米！俺の背中を預けられるに足る剣術士か、戦場でじっくり見極めてやるからな。			剣閃は槍を折る							
よし、任務開始だ！シェーダー族の邪な槍を、その剣で叩き折ってこい！			よし、任務開始だ！シェーダー族の邪な槍を、その剣で叩き折ってこい！			剣閃は槍を折る							
槍術傭兵団の目撃情報はこのへんらしい。ここはじっくり「待機」して、敵が再び出現するのを待つぞ。			槍術傭兵団の目撃情報はこのへんらしい。ここはじっくり「待機」して、敵が再び出現するのを待つぞ。			剣閃は槍を折る							
よくやった！お前が敵を引きつけてくれたおかげで命拾いしたぜ。さぁ、早く帰って、お褒めの言葉を頂こうぜ。へへ。			よくやった！お前が敵を引きつけてくれたおかげで命拾いしたぜ。さぁ、早く帰って、お褒めの言葉を頂こうぜ。へへ。			剣閃は槍を折る							
見事だ。Forename Surname。お前の戦いぶり、ブルースの報告により聞き及んでいるぞ。			見事だ。Forename Surname。お前の戦いぶり、ブルースの報告により聞き及んでいるぞ。			剣閃は槍を折る							
しかし……奴らは、賞金を目当てに剣術士を狙っていたんだな？賞金首の剣術士……誰なんだ……？			しかし……奴らは、賞金を目当てに剣術士を狙っていたんだな？賞金首の剣術士……誰なんだ……？			剣閃は槍を折る							
「謎の剣術士」の正体は……？			「謎の剣術士」の正体は……？			剣閃は槍を折る							
やつらは「アルディス」と言っていた。			やつらは「アルディス」と言っていた。			剣閃は槍を折る							
やつらは「ナイディス」と言っていた。			やつらは「ナイディス」と言っていた。			剣閃は槍を折る							
アルディスだと！？おい！　Forename今、お前、「アルディス」と言ったのか！？			アルディスだと！？おい！　Forename今、お前、「アルディス」と言ったのか！？			剣閃は槍を折る							
……まさか。まさか……帰ってきたのか……ウルダハへ……。			……まさか。まさか……帰ってきたのか……ウルダハへ……。			剣閃は槍を折る							
ナイディス？知らん名前だな。まあいい……細かい話は終わりにするか。			ナイディス？知らん名前だな。まあいい……細かい話は終わりにするか。			剣閃は槍を折る							
次のクラスクエストは「レベル15」以上で受注可能になります。レベルを上げ、再度ギルドを訪れてください。			次のクラスクエストは「レベル15」以上で受注可能になります。レベルを上げ、再度ギルドを訪れてください。			剣閃は槍を折る							
敵の気配を感じた！！			敵の気配を感じた！！			剣閃は槍を折る							
クエスト「剣閃は槍を折る」のバトルを開始しますか？			クエスト「剣閃は槍を折る」のバトルを開始しますか？			剣閃は槍を折る							
はい			はい			剣閃は槍を折る							
いいえ			いいえ			剣閃は槍を折る							
シェーダー族の傭兵団を倒せ			シェーダー族の傭兵団を倒せ			剣閃は槍を折る							
ふう、なんとか片付いたか……槍術士ってのは手強いぜ			ふう、なんとか片付いたか……槍術士ってのは手強いぜ			剣閃は槍を折る							
むっ、まだいやがったか！			むっ、まだいやがったか！			剣閃は槍を折る							
その調子だ。敵の攻撃を引き受けてくれ！			その調子だ。敵の攻撃を引き受けてくれ！			剣閃は槍を折る							
槍の特殊攻撃に気をつけろ！動きを読んで避けるんだ！			槍の特殊攻撃に気をつけろ！動きを読んで避けるんだ！			剣閃は槍を折る							
敵を引きつけてくれ！受けた傷は、俺が回復してやる！			敵を引きつけてくれ！受けた傷は、俺が回復してやる！			剣閃は槍を折る							
くっ！　こいつはちょっとキツいぜ……。			くっ！　こいつはちょっとキツいぜ……。			剣閃は槍を折る							
そんな……バカなッ……。			そんな……バカなッ……。			剣閃は槍を折る							
剣術士ギルドのミラは、冒険者に槍術士討伐の試練を与えたいようだ。			剣術士ギルドのミラは、冒険者に槍術士討伐の試練を与えたいようだ。			剣閃は槍を折る							
槍術士の集団が、剣術士ばかりを襲う事件が多発している。「ストーンズスロー貧民窟」で「弱気な剣術士」を助けよう。			槍術士の集団が、剣術士ばかりを襲う事件が多発している。「ストーンズスロー貧民窟」で「弱気な剣術士」を助けよう。			剣閃は槍を折る							
槍術士を倒した。「弱気な剣術士」に話しかけて無事を確認しよう。			槍術士を倒した。「弱気な剣術士」に話しかけて無事を確認しよう。			剣閃は槍を折る							
弱気な剣術士に怪我はなかったようだ。「剣術士ギルド」に戻り、「ミラ」に報告しよう。			弱気な剣術士に怪我はなかったようだ。「剣術士ギルド」に戻り、「ミラ」に報告しよう。			剣閃は槍を折る							
剣術士を襲っていた槍術士はシェーダー族の傭兵団だったらしい。そこに彼らの別働隊が「ブラックブラッシュ停留所」の南にある鉄道トンネルで暴れているとの報告が入った。先輩剣術士「ブルース」とともに向かい、「シェーダー族の傭兵団」を倒そう。			剣術士を襲っていた槍術士はシェーダー族の傭兵団だったらしい。そこに彼らの別働隊が「ブラックブラッシュ停留所」の南にある鉄道トンネルで暴れているとの報告が入った。先輩剣術士「ブルース」とともに向かい、「シェーダー族の傭兵団」を倒そう。			剣閃は槍を折る							
無事、傭兵団を討伐できた。彼らは「アルディス」という名前の剣術士を狙っていたようだ。ギルドに戻る前に一度「ブルース」と話そう。			無事、傭兵団を討伐できた。彼らは「アルディス」という名前の剣術士を狙っていたようだ。ギルドに戻る前に一度「ブルース」と話そう。			剣閃は槍を折る							
冒険者の活躍により事件は解決した。「剣術士ギルド」に戻り「ミラ」に報告しよう。			冒険者の活躍により事件は解決した。「剣術士ギルド」に戻り「ミラ」に報告しよう。			剣閃は槍を折る							
ミラに報告することができた。彼女は、傭兵団が狙っていたと思われる賞金首の剣術士が気になるようだ……。※剣術士のレベルが15以上になると、ミラから次の剣術士クエストを受注することができます。			ミラに報告することができた。彼女は、傭兵団が狙っていたと思われる賞金首の剣術士が気になるようだ……。※剣術士のレベルが15以上になると、ミラから次の剣術士クエストを受注することができます。			剣閃は槍を折る							
弱気な剣術士と話し、槍術士と戦う			弱気な剣術士と話し、槍術士と戦う			剣閃は槍を折る							
弱気な剣術士と話す			弱気な剣術士と話す			剣閃は槍を折る							
剣術士ギルドのミラに報告			剣術士ギルドのミラに報告			剣閃は槍を折る							
鉄道トンネルにある指定地点で待機する			鉄道トンネルにある指定地点で待機する			剣閃は槍を折る							
剣術士ブルースと話す			剣術士ブルースと話す			剣閃は槍を折る							
剣術士ギルドのミラに報告			剣術士ギルドのミラに報告			剣閃は槍を折る							
久しぶりだな、Forename Surname。どうやら自己鍛錬を怠らなかったようだな。では、お待ちかねの次の試練だ、準備はいいな？			久しぶりだな、Forename Surname。どうやら自己鍛錬を怠らなかったようだな。では、お待ちかねの次の試練だ、準備はいいな？			剣閃は槍を折る							
今、巷では剣を持つ者を狙った殺傷事件が起きている。何故、剣術士だけを狙って攻撃してくるのか？その動機や目的は一切、謎だ。			今、巷では剣を持つ者を狙った殺傷事件が起きている。何故、剣術士だけを狙って攻撃してくるのか？その動機や目的は一切、謎だ。			剣閃は槍を折る							
幸いまだギルドメンバーが襲われたケースはないが、将来、我々が標的になることは想像に難くない。しかも相手は複数、その得物は「槍」だそうだ……。			幸いまだギルドメンバーが襲われたケースはないが、将来、我々が標的になることは想像に難くない。しかも相手は複数、その得物は「槍」だそうだ……。			剣閃は槍を折る							
私の言いたいことはわかるな？お前にはこの犯人探しと、討伐を頼みたい。つまりお前の試練は「槍術士」との戦いだ。			私の言いたいことはわかるな？お前にはこの犯人探しと、討伐を頼みたい。つまりお前の試練は「槍術士」との戦いだ。			剣閃は槍を折る							
相手は複数で「ストーンズスロー貧民窟」周辺に出没しているらしい。頭を使え、そして「戦術」を意識しろ。			相手は複数で「ストーンズスロー貧民窟」周辺に出没しているらしい。頭を使え、そして「戦術」を意識しろ。			剣閃は槍を折る							
さあ、行け、Forename Surname。ギルドの威信に懸けて、剣に仇なす敵を倒し、われらが剣の最強たることを証明するのだ！			さあ、行け、Forename Surname。ギルドの威信に懸けて、剣に仇なす敵を倒し、われらが剣の最強たることを証明するのだ！			剣閃は槍を折る							
ひッ！ご、ごめんなさいごめんなさいィィィィ！殺さないでェェ！			ひッ！ご、ごめんなさいごめんなさいィィィィ！殺さないでェェ！			剣閃は槍を折る							
