ゲートタウンのルー・リークは、冒険者に白状したいことがあるようだ。			ゲートタウンのルー・リークは、冒険者に白状したいことがあるようだ。			不滅なる名コンビ							
ついにみつけたぞ、バラム・キツェー！お前がノルヴラント中で食い殺した、無辜の人々の恨みを晴らしてやる！			ついにみつけたぞ、バラム・キツェー！お前がノルヴラント中で食い殺した、無辜の人々の恨みを晴らしてやる！			レンダ・レイの敗北							
そして、駆け出しの賞金稼ぎである、アタシたちの名声を確かなものにするんだ！			そして、駆け出しの賞金稼ぎである、アタシたちの名声を確かなものにするんだ！			レンダ・レイの敗北							
アタシは後方、ふたりは左右に回り込んで、三方から仕掛けることで、敵をかく乱させる作戦でいくよ！			アタシは後方、ふたりは左右に回り込んで、三方から仕掛けることで、敵をかく乱させる作戦でいくよ！			レンダ・レイの敗北							
気づかれた……！			気づかれた……！			レンダ・レイの敗北							
こうなったら、私たちが囮になって敵を引き付けるわ！レンダは援護をお願い！			こうなったら、私たちが囮になって敵を引き付けるわ！レンダは援護をお願い！			レンダ・レイの敗北							
ま、待って！いちど、態勢を整えてから……			ま、待って！いちど、態勢を整えてから……			レンダ・レイの敗北							
クソッ……！			クソッ……！			レンダ・レイの敗北							
くっ……耳が……みんな……待って…………			くっ……耳が……みんな……待って…………			レンダ・レイの敗北							
ま、待て……まだ……終わってない、ぞ……。			ま、待て……まだ……終わってない、ぞ……。			レンダ・レイの敗北							
ごめんね……アタシが弱かったばっかりに……。			ごめんね……アタシが弱かったばっかりに……。			レンダ・レイの敗北							
もっともっと強くなって、いつか必ず仇を討ってあげるから……。			もっともっと強くなって、いつか必ず仇を討ってあげるから……。			レンダ・レイの敗北							
おい、どうしたってんだ？頭なんか抱えて、普通じゃなかったぞ……。			おい、どうしたってんだ？頭なんか抱えて、普通じゃなかったぞ……。			レンダ・レイの敗北							
アンドレイアに遭遇したってのも驚きだが、過去を視る能力だなんて、にわかには信じがたいな……。			アンドレイアに遭遇したってのも驚きだが、過去を視る能力だなんて、にわかには信じがたいな……。			レンダ・レイの敗北							
だが、レンダ・レイが、巨大な角のある魔獣と戦って、ふたりの仲間を失っていただって？それと似たような話をどこかで……。			だが、レンダ・レイが、巨大な角のある魔獣と戦って、ふたりの仲間を失っていただって？それと似たような話をどこかで……。			レンダ・レイの敗北							
まあいい、大罪人のことなんざ知ったことじゃない。どうやら獲物は、お前が先に討伐したようだな。彷徨う階段亭に戻って祝杯といこうぜ！			まあいい、大罪人のことなんざ知ったことじゃない。どうやら獲物は、お前が先に討伐したようだな。彷徨う階段亭に戻って祝杯といこうぜ！			レンダ・レイの敗北							
さあ、祝杯といこう！遠慮せずに、じゃんじゃんやってくれ……！			さあ、祝杯といこう！遠慮せずに、じゃんじゃんやってくれ……！			レンダ・レイの敗北							
モグモグ…………どうだ……？勝利の味は………ゴクゴク……とことん味わってくれ…………ゴックン。			モグモグ…………どうだ……？勝利の味は………ゴクゴク……とことん味わってくれ…………ゴックン。			レンダ・レイの敗北							
もういいのか？もっと、頼んでもいいんだぞ……。			もういいのか？もっと、頼んでもいいんだぞ……。			レンダ・レイの敗北							
そういえば……お前の名を聞いてなかったな。俺たちはもう仲間なんだ、名前を教えてくれ。			そういえば……お前の名を聞いてなかったな。俺たちはもう仲間なんだ、名前を教えてくれ。			レンダ・レイの敗北							
Forenameだな。リーク＆Forenameか……悪くないな、俺たちはきっと名コンビになるぜ！			Forenameだな。リーク＆Forenameか……悪くないな、俺たちはきっと名コンビになるぜ！			レンダ・レイの敗北							
ふたりでアンドレイア討伐を果たして、このノルヴラント中に、その名を轟かせてやるんだ……！			ふたりでアンドレイア討伐を果たして、このノルヴラント中に、その名を轟かせてやるんだ……！			レンダ・レイの敗北							
だが、狩人に焦りは禁物だ。しばらく準備を整えつつ、アンドレイアの動向を伺おう。今回の報酬も弾むんで、次もまた絶対に来てくれよな！			だが、狩人に焦りは禁物だ。しばらく準備を整えつつ、アンドレイアの動向を伺おう。今回の報酬も弾むんで、次もまた絶対に来てくれよな！			レンダ・レイの敗北							
何と言う？			何と言う？			レンダ・レイの敗北							
羽振りが良すぎじゃないか？			羽振りが良すぎじゃないか？			レンダ・レイの敗北							
金は大丈夫なのか？			金は大丈夫なのか？			レンダ・レイの敗北							
金なら心配しないでくれ。そんなことより、絶対にまた来てくれよ、約束だぞ……！			金なら心配しないでくれ。そんなことより、絶対にまた来てくれよ、約束だぞ……！			レンダ・レイの敗北							
彷徨う階段亭のルー・リークは、何やら思い出したようだ。			彷徨う階段亭のルー・リークは、何やら思い出したようだ。			勇気の狩人							
ルー・リークは、冒険者が以前に視たレンダ・レイの過去が、アンドレイアの行方を探る糸口になるという。コルシア島のゲートタウンで「ルー・リーク」と話そう。			ルー・リークは、冒険者が以前に視たレンダ・レイの過去が、アンドレイアの行方を探る糸口になるという。コルシア島のゲートタウンで「ルー・リーク」と話そう。			勇気の狩人							
ルー・リークと話し、彼の乳母をしていたオルヴァラから、レンダ・レイの武勇伝だという「勇気の狩人」の物語を聞いた。ルー・リークは、レンダ・レイの旅路からアンドレイアの出現場所を推測した。ラケティカ大森林のシチュア湿地で「ルー・リーク」と話そう。			ルー・リークと話し、彼の乳母をしていたオルヴァラから、レンダ・レイの武勇伝だという「勇気の狩人」の物語を聞いた。ルー・リークは、レンダ・レイの旅路からアンドレイアの出現場所を推測した。ラケティカ大森林のシチュア湿地で「ルー・リーク」と話そう。			勇気の狩人							
ルー・リークと話し、アンドレイアを発見した。だが、冒険者は過去視に陥ってしまい、レンダ・レイが光の戦士一行とともに、魔獣バラム・キツェーを討伐している光景を視る。ラケティカ大森林で、戦いの結末を見届けよう。			ルー・リークと話し、アンドレイアを発見した。だが、冒険者は過去視に陥ってしまい、レンダ・レイが光の戦士一行とともに、魔獣バラム・キツェーを討伐している光景を視る。ラケティカ大森林で、戦いの結末を見届けよう。			勇気の狩人							
冒険者が気が付くと、アンドレイアは去っていた。獲物に逃げられたことで、ルー・リークと冒険者は衝突し、仲違いしてしまう。ゲートタウンの「ルー・リーク」と話そう。			冒険者が気が付くと、アンドレイアは去っていた。獲物に逃げられたことで、ルー・リークと冒険者は衝突し、仲違いしてしまう。ゲートタウンの「ルー・リーク」と話そう。			勇気の狩人							
ルー・リークと話し、彼は去っていった。オルヴァラはひとりになったルー・リークが心配だという。彼女にまた来るよう頼まれたので、折を見てオルヴァラを訪ねよう。※いずれかのファイター系DPSジョブのレベルが78以上になると、ゲートタウンのオルヴァラから次のファイター系DPSロールクエストを受注することができます。			ルー・リークと話し、彼は去っていった。オルヴァラはひとりになったルー・リークが心配だという。彼女にまた来るよう頼まれたので、折を見てオルヴァラを訪ねよう。※いずれかのファイター系DPSジョブのレベルが78以上になると、ゲートタウンのオルヴァラから次のファイター系DPSロールクエストを受注することができます。			勇気の狩人							
ゲートタウンのルー・リークと話す			ゲートタウンのルー・リークと話す			勇気の狩人							
シチュア湿地のルー・リークと話す			シチュア湿地のルー・リークと話す			勇気の狩人							
ゲートタウンのルー・リークと話す			ゲートタウンのルー・リークと話す			勇気の狩人							
Forename！来てくれたか、お前のことをずっと待っていたぞ……。			Forename！来てくれたか、お前のことをずっと待っていたぞ……。			勇気の狩人							
あれから、神出鬼没のアンドレイアの行方を調べようと、クリスタリウムで聞き込みしてまわったんだがな……ヤツの目撃情報はなかった。			あれから、神出鬼没のアンドレイアの行方を調べようと、クリスタリウムで聞き込みしてまわったんだがな……ヤツの目撃情報はなかった。			勇気の狩人							
何と言う？			何と言う？			勇気の狩人							
クリスタリウムだけ？			クリスタリウムだけ？			勇気の狩人							
外には行ってないのか？			外には行ってないのか？			勇気の狩人							
ああ、そうだ。金がなくて人を雇えないんだから、これが限界だろう？			ああ、そうだ。金がなくて人を雇えないんだから、これが限界だろう？			勇気の狩人							
だがな……以前にお前が視たという、レンダ・レイの過去の話が、糸口になるかもしれないんだよ。			だがな……以前にお前が視たという、レンダ・レイの過去の話が、糸口になるかもしれないんだよ。			勇気の狩人							
あの話には、どこか聞き覚えがあったんだが……俺が幼い頃に、乳母が語って聞かせてくれた寝物語に、まったく同じ描写があることを思い出したんだ。			あの話には、どこか聞き覚えがあったんだが……俺が幼い頃に、乳母が語って聞かせてくれた寝物語に、まったく同じ描写があることを思い出したんだ。			勇気の狩人							
それは「勇気の狩人」という物語だ。主人公は賞金稼ぎの狩人で、仲間とともに、各地でヌシと呼ばれるような、凶暴な魔獣を狩ってまわっていた。			それは「勇気の狩人」という物語だ。主人公は賞金稼ぎの狩人で、仲間とともに、各地でヌシと呼ばれるような、凶暴な魔獣を狩ってまわっていた。			勇気の狩人							
あるとき、砂漠で巨大な角のある魔獣と戦うんだ。だが、狩人の弱点のせいで、ふたりの仲間を失ってしまう。そして、狩人は死んだ仲間の仇討ちを誓うんだよ……。			あるとき、砂漠で巨大な角のある魔獣と戦うんだ。だが、狩人の弱点のせいで、ふたりの仲間を失ってしまう。そして、狩人は死んだ仲間の仇討ちを誓うんだよ……。			勇気の狩人							
どうだ……？お前の視たレンダ・レイの過去とまったく同じだろう？			どうだ……？お前の視たレンダ・レイの過去とまったく同じだろう？			勇気の狩人							
だよな！「勇気の狩人」は、レンダ・レイの物語なんだ……！			だよな！「勇気の狩人」は、レンダ・レイの物語なんだ……！			勇気の狩人							
物語は、狩人が新たな仲間を作るが、己の弱点を補うことで、彼らに頼ることなく、ひとりで魔獣に仇討ちを果たして終わるんだ。			物語は、狩人が新たな仲間を作るが、己の弱点を補うことで、彼らに頼ることなく、ひとりで魔獣に仇討ちを果たして終わるんだ。			勇気の狩人							
俺の乳母だった「オルヴァラ」は、かつて賞金稼ぎの狩人だった。どこかで、レンダ・レイの物語を聞いたのかもしれない。			俺の乳母だった「オルヴァラ」は、かつて賞金稼ぎの狩人だった。どこかで、レンダ・レイの物語を聞いたのかもしれない。			勇気の狩人							
そしてもうひとつ……この酒場で聞き込みしたことで、四使徒について重要なことを知ることができたんだ。ヤツらは生前の能力や習性を引き継いでいるというんだよ……。			そしてもうひとつ……この酒場で聞き込みしたことで、四使徒について重要なことを知ることができたんだ。ヤツらは生前の能力や習性を引き継いでいるというんだよ……。			勇気の狩人							
アンドレイアがモブの魔獣ばかり狩っているのは、賞金稼ぎだった、レンダ・レイの習性によるものに違いない！			アンドレイアがモブの魔獣ばかり狩っているのは、賞金稼ぎだった、レンダ・レイの習性によるものに違いない！			勇気の狩人							
となると、レンダ・レイの物語を知ることによって、アンドレイアの行方も掴めるかもしれない……。			となると、レンダ・レイの物語を知ることによって、アンドレイアの行方も掴めるかもしれない……。			勇気の狩人							
さっそく、オルヴァラから、「勇気の狩人」の物語を詳しく聞きたい。彼女の住むコルシア島のゲートタウンに向かおう！			さっそく、オルヴァラから、「勇気の狩人」の物語を詳しく聞きたい。彼女の住むコルシア島のゲートタウンに向かおう！			勇気の狩人							
あら、リーク坊ちゃんのお友達かしら……？			あら、リーク坊ちゃんのお友達かしら……？			勇気の狩人							
紹介するよ、俺の乳母だったオルヴァラだ。彼女は労役市民ではあるが、俺が成長してからは、都市内に与えられた居室ではなく、ゲートタウンで暮らしてるんだ。			紹介するよ、俺の乳母だったオルヴァラだ。彼女は労役市民ではあるが、俺が成長してからは、都市内に与えられた居室ではなく、ゲートタウンで暮らしてるんだ。			勇気の狩人							
あらまあ、かわいいリーク坊ちゃん。わざわざ、私に会いにきてくれたのかしら……？			あらまあ、かわいいリーク坊ちゃん。わざわざ、私に会いにきてくれたのかしら……？			勇気の狩人							
そ、その呼び方は勘弁してくれよぉ……。今日は、オルヴァラに聞きたいことがあって来たんだ。			そ、その呼び方は勘弁してくれよぉ……。今日は、オルヴァラに聞きたいことがあって来たんだ。			勇気の狩人							
俺が幼い頃、よく話してくれた物語「勇気の狩人」。あれは、「光の戦士たち」のひとり……レンダ・レイの話なんだろう……？			俺が幼い頃、よく話してくれた物語「勇気の狩人」。あれは、「光の戦士たち」のひとり……レンダ・レイの話なんだろう……？			勇気の狩人							
まさか……リーク坊ちゃんの口から、その名を聞くなんてね……。			まさか……リーク坊ちゃんの口から、その名を聞くなんてね……。			勇気の狩人							
ええ、そのとおりよ。あれはかつて、賞金稼ぎの間で語られた話。「勇気の狩人」と謳われた、レンダ・レイの物語なの……。			ええ、そのとおりよ。あれはかつて、賞金稼ぎの間で語られた話。「勇気の狩人」と謳われた、レンダ・レイの物語なの……。			勇気の狩人							
私が若い頃、賞金稼ぎをしていたのは知ってるわね。そのとき、すでに「光の戦士たち」は大罪人とされていて、彼らのことは語ることも憚られていたわ。			私が若い頃、賞金稼ぎをしていたのは知ってるわね。そのとき、すでに「光の戦士たち」は大罪人とされていて、彼らのことは語ることも憚られていたわ。			勇気の狩人							
でも、仲間の間では、レンダ・レイが伝説的な狩人として崇められ、その武勇伝が密かに語り継がれていたの。			でも、仲間の間では、レンダ・レイが伝説的な狩人として崇められ、その武勇伝が密かに語り継がれていたの。			勇気の狩人							
その物語を、引退して乳母となった私が、幼いリーク坊ちゃんに語って聞かせたということ。もちろん、大罪人とされた主人公の名は伏せてね……。			その物語を、引退して乳母となった私が、幼いリーク坊ちゃんに語って聞かせたということ。もちろん、大罪人とされた主人公の名は伏せてね……。			勇気の狩人							
やっぱり、そうだったのか……。そして、俺はその話に感化され、オルヴァラから弓を習って、賞金稼ぎになった……。			やっぱり、そうだったのか……。そして、俺はその話に感化され、オルヴァラから弓を習って、賞金稼ぎになった……。			勇気の狩人							
俺たちはいま、レンダ・レイの姿をした罪喰い、アンドレイアを狙っていて、ヤツの行方を調べている。そのために、どうか彼女の物語を改めて聞かせてくれ……。			俺たちはいま、レンダ・レイの姿をした罪喰い、アンドレイアを狙っていて、ヤツの行方を調べている。そのために、どうか彼女の物語を改めて聞かせてくれ……。			勇気の狩人							
そう……あのアンドレイアを、リーク坊ちゃんがね……。わかったわ……。			そう……あのアンドレイアを、リーク坊ちゃんがね……。わかったわ……。			勇気の狩人							
レンダ・レイは先天的に感覚が鋭く、なかでも聴覚が発達していて、幼い頃より狩猟にその才能を発揮していたそうよ。			レンダ・レイは先天的に感覚が鋭く、なかでも聴覚が発達していて、幼い頃より狩猟にその才能を発揮していたそうよ。			勇気の狩人							
かすかな物音でも察知し、どんなに見つけにくい獲物でも、彼女は確実にとらえて仕留めていたというわ。			かすかな物音でも察知し、どんなに見つけにくい獲物でも、彼女は確実にとらえて仕留めていたというわ。			勇気の狩人							
成長すると、レンダ・レイはその能力を生かして賞金稼ぎになった。仲間とともに各地のヌシと呼ばれる凶暴な魔獣を、次々と倒すことで名を上げていったの。			成長すると、レンダ・レイはその能力を生かして賞金稼ぎになった。仲間とともに各地のヌシと呼ばれる凶暴な魔獣を、次々と倒すことで名を上げていったの。			勇気の狩人							
そして、アム・アレーンにて、ノルヴラント中を渡り歩いて人々を襲う魔獣……バラム・キツェーの討伐に臨んだ。			そして、アム・アレーンにて、ノルヴラント中を渡り歩いて人々を襲う魔獣……バラム・キツェーの討伐に臨んだ。			勇気の狩人							
しかし、ここで長所である耳の良さが仇となって、彼女は魔獣の咆哮で動けなくなり、ふたりの仲間を失ってしまう。レンダ・レイは彼らの墓前で、仇討ちを誓ったというわ。			しかし、ここで長所である耳の良さが仇となって、彼女は魔獣の咆哮で動けなくなり、ふたりの仲間を失ってしまう。レンダ・レイは彼らの墓前で、仇討ちを誓ったというわ。			勇気の狩人							
彼女は仇討ちのために、新たな仲間を探すことにした。そのときに、後の「光の戦士たち」、アルバート一行のことを知り、接近して転がり込むように仲間になったの。			彼女は仇討ちのために、新たな仲間を探すことにした。そのときに、後の「光の戦士たち」、アルバート一行のことを知り、接近して転がり込むように仲間になったの。			勇気の狩人							
彼らに受け入れられようと、レンダ・レイは努めて明るく振舞ったというわ。仲間を失った暗い過去も隠し、しばらく一緒に旅を続けた。			彼らに受け入れられようと、レンダ・レイは努めて明るく振舞ったというわ。仲間を失った暗い過去も隠し、しばらく一緒に旅を続けた。			勇気の狩人							
一行と任務をこなすなか、どんどん腕を磨いていった。コルシア島では、己の弱点を補うために、魔獣の咆哮を止める技も編み出したのだとか……。			一行と任務をこなすなか、どんどん腕を磨いていった。コルシア島では、己の弱点を補うために、魔獣の咆哮を止める技も編み出したのだとか……。			勇気の狩人							
そして、一行がラケティカ大森林に立ち寄った際、レンダ・レイは、シチュア湿地に、バラム・キツェーが現れたという噂を耳にした。			そして、一行がラケティカ大森林に立ち寄った際、レンダ・レイは、シチュア湿地に、バラム・キツェーが現れたという噂を耳にした。			勇気の狩人							
ついに、仇討ちのときが来たと確信した彼女だけど……アルバートたちは、ほかに重要な任務があって、なかなか切り出すことができなかった。			ついに、仇討ちのときが来たと確信した彼女だけど……アルバートたちは、ほかに重要な任務があって、なかなか切り出すことができなかった。			勇気の狩人							
それに、今さら暗い過去を打ち明けるのも気が引けたし、何より、自分の私闘に巻き込んで、また仲間を失うのが怖かった。			それに、今さら暗い過去を打ち明けるのも気が引けたし、何より、自分の私闘に巻き込んで、また仲間を失うのが怖かった。			勇気の狩人							
悩んだ末に、レンダ・レイは仲間に黙って、ひとりで、バラム・キツェーの討伐に向かうことにした。			悩んだ末に、レンダ・レイは仲間に黙って、ひとりで、バラム・キツェーの討伐に向かうことにした。			勇気の狩人							
そして、彼女はその勇気と、咆哮を止める技によって、仲間に頼ることなく、見事に魔獣を倒すことに成功したの……。			そして、彼女はその勇気と、咆哮を止める技によって、仲間に頼ることなく、見事に魔獣を倒すことに成功したの……。			勇気の狩人							
その後、レンダ・レイは何事もなかったように、アルバートたちに合流し、冒険を続けたというわ。この偉業から、後に「勇気の狩人」と謳われるようになったのよ。			その後、レンダ・レイは何事もなかったように、アルバートたちに合流し、冒険を続けたというわ。この偉業から、後に「勇気の狩人」と謳われるようになったのよ。			勇気の狩人							
そうだ……俺は幼い頃、そんな勇気の狩人に憧れていた。まさかそれが、あの大罪人だったとは思いもしなかったが、その成れの果てを倒そうとしているなんて……皮肉なもんだな。			そうだ……俺は幼い頃、そんな勇気の狩人に憧れていた。まさかそれが、あの大罪人だったとは思いもしなかったが、その成れの果てを倒そうとしているなんて……皮肉なもんだな。			勇気の狩人							
ただ、この話はレンダ・レイを神格化する、賞金稼ぎたちによって、口承で伝えられてきたもの。伝わるにつれて、尾ひれもついているので、真相はわからないわ。			ただ、この話はレンダ・レイを神格化する、賞金稼ぎたちによって、口承で伝えられてきたもの。伝わるにつれて、尾ひれもついているので、真相はわからないわ。			勇気の狩人							
オルヴァラ、話してくれてありがとう。久しぶりに会えてよかったよ。			オルヴァラ、話してくれてありがとう。久しぶりに会えてよかったよ。			勇気の狩人							
アンドレイアは、アム・アレーンに出没した後、コルシア島に現れた。ヤツがレンダ・レイの習性を引き継いでいて、その旅路を辿っていると推測したら、次に現れるのは……			アンドレイアは、アム・アレーンに出没した後、コルシア島に現れた。ヤツがレンダ・レイの習性を引き継いでいて、その旅路を辿っていると推測したら、次に現れるのは……			勇気の狩人							
何と言う？			何と言う？			勇気の狩人							
ラケティカ大森林			ラケティカ大森林			勇気の狩人							
イル・メグ			イル・メグ			勇気の狩人							
そうだ！レンダ・レイがバラム・キツェー討伐を果たした、ラケティカ大森林のシチュア湿地に違いない！			そうだ！レンダ・レイがバラム・キツェー討伐を果たした、ラケティカ大森林のシチュア湿地に違いない！			勇気の狩人							
おいおい、何でそうなるんだよ？レンダ・レイがバラム・キツェー討伐を果たした、ラケティカ大森林のシチュア湿地に決まってるだろ！			おいおい、何でそうなるんだよ？レンダ・レイがバラム・キツェー討伐を果たした、ラケティカ大森林のシチュア湿地に決まってるだろ！			勇気の狩人							
さっそく、俺たちの標的、アンドレイアを探しに、シチュア湿地に向かうとしよう！			さっそく、俺たちの標的、アンドレイアを探しに、シチュア湿地に向かうとしよう！			勇気の狩人							
リーク坊ちゃん、「勇気の狩人」の真相があやふやなように、この世界は広くて、本当はわからないことだらけよ。			リーク坊ちゃん、「勇気の狩人」の真相があやふやなように、この世界は広くて、本当はわからないことだらけよ。			勇気の狩人							
だから、世間の常識なんかにとらわれず、あなたのその目で見て、耳で聞いて、自分で考えるの。そして、坊ちゃんなりの答えを見つけてちょうだい。			だから、世間の常識なんかにとらわれず、あなたのその目で見て、耳で聞いて、自分で考えるの。そして、坊ちゃんなりの答えを見つけてちょうだい。			勇気の狩人							
Forenameさんと言ったかしら？リーク坊ちゃんのお友達になってくれて、どうもありがとう。			Forenameさんと言ったかしら？リーク坊ちゃんのお友達になってくれて、どうもありがとう。			勇気の狩人							
あの子は、両親の愛情を受けることなく育ったので、至らない点もあるけど、根はいい子なの。			あの子は、両親の愛情を受けることなく育ったので、至らない点もあるけど、根はいい子なの。			勇気の狩人							
どうか、どうか、リーク坊ちゃんをよろしくお願いします……。			どうか、どうか、リーク坊ちゃんをよろしくお願いします……。			勇気の狩人							
どうか、リーク坊ちゃんをよろしくお願いします……。			どうか、リーク坊ちゃんをよろしくお願いします……。			勇気の狩人							
オルヴァラには長いこと会ってなかったが、あんなに老いて小さくなっているなんて、驚いたよ……。			オルヴァラには長いこと会ってなかったが、あんなに老いて小さくなっているなんて、驚いたよ……。			勇気の狩人							
さあ、アンドレイアの捜索を始めよう。見つけ次第、戦うことになるから、覚悟しとけよ。リーク＆Forenameの伝説の始まりだ！			さあ、アンドレイアの捜索を始めよう。見つけ次第、戦うことになるから、覚悟しとけよ。リーク＆Forenameの伝説の始まりだ！			勇気の狩人							
推測は、ドンピシャだったようだな……。いいか、必ず仕留めるぞ……。			推測は、ドンピシャだったようだな……。いいか、必ず仕留めるぞ……。			勇気の狩人							
お、おい！　嘘だろっ！？こんなときに……！			お、おい！　嘘だろっ！？こんなときに……！			勇気の狩人							
ごめんね、みんな。アタシの仇討ちは、ひとりで果たしてみせる……。			ごめんね、みんな。アタシの仇討ちは、ひとりで果たしてみせる……。			勇気の狩人							
咆哮を止める技、「ダグリングアロー」を編み出したいま、もうお前には負けない！いまこそ、仲間の仇を討ってやる……！			咆哮を止める技、「ダグリングアロー」を編み出したいま、もうお前には負けない！いまこそ、仲間の仇を討ってやる……！			勇気の狩人							
ふう……なんとか、倒すことができたな……！無事か、レンダ？			ふう……なんとか、倒すことができたな……！無事か、レンダ？			勇気の狩人							
アルバート……みんな……ありがとう。			アルバート……みんな……ありがとう。			勇気の狩人							
そして……勝手な行動をして……ごめんなさい。			そして……勝手な行動をして……ごめんなさい。			勇気の狩人							
聞かせてくれない？ノルヴラント中で恐れられた魔獣と、たったひとりで戦おうとしたわけを……。			聞かせてくれない？ノルヴラント中で恐れられた魔獣と、たったひとりで戦おうとしたわけを……。			勇気の狩人							
アタシには……みんなと知り合う前に、賞金首の魔獣を狩って旅をする仲間がいたんだ……。			アタシには……みんなと知り合う前に、賞金首の魔獣を狩って旅をする仲間がいたんだ……。			勇気の狩人							
怖いもの知らずだったアタシたちは、どんどん強い魔獣に挑んだ。同業者の間でも名を上げて、いつしか傲慢になっていた。そんなとき、バラム・キツェーと戦って……みんな……。			怖いもの知らずだったアタシたちは、どんどん強い魔獣に挑んだ。同業者の間でも名を上げて、いつしか傲慢になっていた。そんなとき、バラム・キツェーと戦って……みんな……。			勇気の狩人							
アタシは仇討ちを誓った。アルバートたちに加わったのも、本当はバラム・キツェーの討伐に協力してもらうためだった……。			アタシは仇討ちを誓った。アルバートたちに加わったのも、本当はバラム・キツェーの討伐に協力してもらうためだった……。			勇気の狩人							
でも、みんなと仲良くなるにつれて、過去の暗い話を打ち明けづらくなっていった。			でも、みんなと仲良くなるにつれて、過去の暗い話を打ち明けづらくなっていった。			勇気の狩人							
舞い込む依頼も増えてきて、アタシの私闘に、みんなを巻き込むわけにいかなくなった。			舞い込む依頼も増えてきて、アタシの私闘に、みんなを巻き込むわけにいかなくなった。			勇気の狩人							
そして何より……また仲間を……みんなを失うのが怖かったんだ……。			そして何より……また仲間を……みんなを失うのが怖かったんだ……。			勇気の狩人							
レンダ……俺たちは仲間だ……そうだろう？			レンダ……俺たちは仲間だ……そうだろう？			勇気の狩人							
どれだけ依頼が舞い込もうと、仲間のために動かない、「仲間」がどこにいる？それこそ、仲間からの「依頼」だったら、最優先で引き受けるさ。			どれだけ依頼が舞い込もうと、仲間のために動かない、「仲間」がどこにいる？それこそ、仲間からの「依頼」だったら、最優先で引き受けるさ。			勇気の狩人							
それに、仲間を失うのが怖いだって……？俺たちだって同じってことくらい、わかれよ！			それに、仲間を失うのが怖いだって……？俺たちだって同じってことくらい、わかれよ！			勇気の狩人							
レンダの弓と耳に救われたことだって、一度や二度じゃない。今やなくてはならない戦力なんだ！			レンダの弓と耳に救われたことだって、一度や二度じゃない。今やなくてはならない戦力なんだ！			勇気の狩人							
何より、レンダがいなけりゃ誰が、ブランデンの小言とナイルベルトの嫌味を聞かされると思う？そんなの俺ひとりじゃ、耐えられるかっての！			何より、レンダがいなけりゃ誰が、ブランデンの小言とナイルベルトの嫌味を聞かされると思う？そんなの俺ひとりじゃ、耐えられるかっての！			勇気の狩人							
ところでさ……コイツには、莫大な懸賞金が掛けられてるんだろ？それを倒したんなら、俺たちの名も……！			ところでさ……コイツには、莫大な懸賞金が掛けられてるんだろ？それを倒したんなら、俺たちの名も……！			勇気の狩人							
やれやれ、すぐ調子に乗って……。			やれやれ、すぐ調子に乗って……。			勇気の狩人							
勝って兜のなんとやら、だな……。だが、バラム・キツェーが現れ、怖れていた住人たちは、討伐の報を知れば喜んでくれることだろう。			勝って兜のなんとやら、だな……。だが、バラム・キツェーが現れ、怖れていた住人たちは、討伐の報を知れば喜んでくれることだろう。			勇気の狩人							
そ、そういうことだ！それにレンダが喜ぶことだって、俺たちには重要さ。だから、今後は何でも相談して、独走は慎んでくれよな！			そ、そういうことだ！それにレンダが喜ぶことだって、俺たちには重要さ。だから、今後は何でも相談して、独走は慎んでくれよな！			勇気の狩人							
アタシはみんなのことを思っているようで、結局は独りよがりなだけだったんだね……。			アタシはみんなのことを思っているようで、結局は独りよがりなだけだったんだね……。			勇気の狩人							
わかった！これからは、仲間のために生きる！どんなことがあっても、みんなについていくって誓うよ！			わかった！これからは、仲間のために生きる！どんなことがあっても、みんなについていくって誓うよ！			勇気の狩人							
さて……討伐の証を回収すべきじゃないのか？どうせなら、懸賞金とやらも得ておきたいからな……。			さて……討伐の証を回収すべきじゃないのか？どうせなら、懸賞金とやらも得ておきたいからな……。			勇気の狩人							
あら、綺麗なクリスタルですね……。せっかくですし、貴方の物にしたらどうです？かつての仲間の形見……いえ、貴方の決意の証として……。			あら、綺麗なクリスタルですね……。せっかくですし、貴方の物にしたらどうです？かつての仲間の形見……いえ、貴方の決意の証として……。			勇気の狩人							
おい……おい！しっかりしろって……！			おい……おい！しっかりしろって……！			勇気の狩人							
お前、なに考えてるんだよ！獲物を前にして、また過去を視てたってのか！？おかげで、アンドレイアに逃げられちまったじゃないか……！！			お前、なに考えてるんだよ！獲物を前にして、また過去を視てたってのか！？おかげで、アンドレイアに逃げられちまったじゃないか……！！			勇気の狩人							
この……役立たず！！			この……役立たず！！			勇気の狩人							
もういい！お前なんかいらない、俺はひとりでアンドレイアを倒す！			もういい！お前なんかいらない、俺はひとりでアンドレイアを倒す！			勇気の狩人							
何と言う？			何と言う？			勇気の狩人							
勝手にしろ……			勝手にしろ……			勇気の狩人							
こっちから願い下げだ！			こっちから願い下げだ！			勇気の狩人							
今回の報酬だけはくれてやるから、ゲートタウンまで来い。そこで、俺たちは終わりだ……。			今回の報酬だけはくれてやるから、ゲートタウンまで来い。そこで、俺たちは終わりだ……。			勇気の狩人							
何かあったようだけど、とにかく、ふたりとも無事に帰ってきてくれてよかったわ……。			何かあったようだけど、とにかく、ふたりとも無事に帰ってきてくれてよかったわ……。			勇気の狩人							
