バルデシオン分館の新顔のバルデシオン委員は、冒険者の到来を待っていたようだ。			バルデシオン分館の新顔のバルデシオン委員は、冒険者の到来を待っていたようだ。			委員会へのとある依頼							
月神メネフィナの秘石から情報を入手し、月神メネフィナが人の信仰について抱いている想いを聞いた。神と人との交流は、順調に進んでいるようだ。			月神メネフィナの秘石から情報を入手し、月神メネフィナが人の信仰について抱いている想いを聞いた。神と人との交流は、順調に進んでいるようだ。			神々との道行き							
早霜峠のデリックと話す			早霜峠のデリックと話す			神々との道行き							
ハルオーネの射目のデリックと話す			ハルオーネの射目のデリックと話す			神々との道行き							
月神メネフィナを探す			月神メネフィナを探す			神々との道行き							
デリックと話す			デリックと話す			神々との道行き							
まったく、好き勝手なこと言って……。			まったく、好き勝手なこと言って……。			神々との道行き							
メネフィナはまこと愛らしい。我らは末の妹のように思っている。			メネフィナはまこと愛らしい。我らは末の妹のように思っている。			神々との道行き							
ウキャッキャ！			ウキャッキャ！			神々との道行き							
ではさっそく秘石のもとへと向かいましょ！わたくし、早くお出かけしたいの！			ではさっそく秘石のもとへと向かいましょ！わたくし、早くお出かけしたいの！			神々との道行き							
はいはい……すぐに出発するからそう焦るな……。			はいはい……すぐに出発するからそう焦るな……。			神々との道行き							
Forename、じゃあ行こうか。			Forename、じゃあ行こうか。			神々との道行き							
ここからなら、サリャクの秘石が近い。銀泪湖畔の「早霜峠」にあるはずだ。			ここからなら、サリャクの秘石が近い。銀泪湖畔の「早霜峠」にあるはずだ。			神々との道行き							
うむ、ここだな。			うむ、ここだな。			神々との道行き							
Forenameは、お出かけは好き？わたくしは大好き！			Forenameは、お出かけは好き？わたくしは大好き！			神々との道行き							
人の世界で人の想いに触れるのも、わたくしたちの大事な役目だもの。			人の世界で人の想いに触れるのも、わたくしたちの大事な役目だもの。			神々との道行き							
ウキ～。			ウキ～。			神々との道行き							
ええと……神々に渡された記録媒体を、この秘石にかざすんだったな。Forename、やってみてくれるか？			ええと……神々に渡された記録媒体を、この秘石にかざすんだったな。Forename、やってみてくれるか？			神々との道行き							
十二神の秘石にかざした記録媒体が、小さく震えた……！			十二神の秘石にかざした記録媒体が、小さく震えた……！			神々との道行き							
それでよい。秘石の情報は、汝の手元の媒体に刻まれた。			それでよい。秘石の情報は、汝の手元の媒体に刻まれた。			神々との道行き							
この秘石は、アルジクが話したように不壊の結晶なの。どんなに形や置かれる場所が変わっても、性質は変わらないままなのよ。			この秘石は、アルジクが話したように不壊の結晶なの。どんなに形や置かれる場所が変わっても、性質は変わらないままなのよ。			神々との道行き							
太古の昔……。そう、わたくしたちがオムファロスの碑文を記したころから、ずっと変わらないまま。			太古の昔……。そう、わたくしたちがオムファロスの碑文を記したころから、ずっと変わらないまま。			神々との道行き							
碑文や秘石は、人が私たちを想い始め、私たちが星を想い始めたことによって成立したのだ。			碑文や秘石は、人が私たちを想い始め、私たちが星を想い始めたことによって成立したのだ。			神々との道行き							
人はその事実を知らなくとも、秘石に祈りを捧げる。祈りとはすなわち、「絆」である。			人はその事実を知らなくとも、秘石に祈りを捧げる。祈りとはすなわち、「絆」である。			神々との道行き							
誰かのために祈るのは、人と人の絆。神を讃える祈りは、人と私たちとの絆。			誰かのために祈るのは、人と人の絆。神を讃える祈りは、人と私たちとの絆。			神々との道行き							
そして私たちが星を想って記した秘石は、星と私たちの絆である。			そして私たちが星を想って記した秘石は、星と私たちの絆である。			神々との道行き							
だからね、人がこの秘石に祈るのは、人と星とわたくしたちの絆が結われているようで……とっても嬉しく思っているの！			だからね、人がこの秘石に祈るのは、人と星とわたくしたちの絆が結われているようで……とっても嬉しく思っているの！			神々との道行き							
話したいことがたくさんあるんだろうが、行く先々で少しずつ話したらどうだ？			話したいことがたくさんあるんだろうが、行く先々で少しずつ話したらどうだ？			神々との道行き							
次の場所に向かわないと、ほかの人たちを待たせることになる。			次の場所に向かわないと、ほかの人たちを待たせることになる。			神々との道行き							
では、クルザス中央高地に向かうがいい。「ハルオーネの射目」に、私の秘石が待ちかまえているぞ！			では、クルザス中央高地に向かうがいい。「ハルオーネの射目」に、私の秘石が待ちかまえているぞ！			神々との道行き							
私の信仰が厚いこの地は、ことさら愛おしいな。			私の信仰が厚いこの地は、ことさら愛おしいな。			神々との道行き							
お話ししながらお出かけできるの、とっても楽しいわ！			お話ししながらお出かけできるの、とっても楽しいわ！			神々との道行き							
キッ、ウキャッ……！			キッ、ウキャッ……！			神々との道行き							
ベイビーオポオポは、とても寒そうにしている……！			ベイビーオポオポは、とても寒そうにしている……！			神々との道行き							
これがハルオーネの秘石だな。			これがハルオーネの秘石だな。			神々との道行き							
Forename、君に任せきりにしたくはないし、ここは俺がやろう。			Forename、君に任せきりにしたくはないし、ここは俺がやろう。			神々との道行き							
そういえばハルオーネは、ここ千年で目に見えて勇ましくなったわよねぇ。氷天にも像が増えて……			そういえばハルオーネは、ここ千年で目に見えて勇ましくなったわよねぇ。氷天にも像が増えて……			神々との道行き							
ねぇ、Forename！ハルオーネの信仰に関して、あなたの知っていることを教えてほしいわ！			ねぇ、Forename！ハルオーネの信仰に関して、あなたの知っていることを教えてほしいわ！			神々との道行き							
ハルオーネのことを、人がどう思っているのか、人の口から聞いてみたいの！			ハルオーネのことを、人がどう思っているのか、人の口から聞いてみたいの！			神々との道行き							
何と言う？			何と言う？			神々との道行き							
イシュガルドの信仰に深く根ざしていた			イシュガルドの信仰に深く根ざしていた			神々との道行き							
戦勝祈願でよく名前を聞いた			戦勝祈願でよく名前を聞いた			神々との道行き							
政治から離れ、古き教えに立ち返ろうとしていた			政治から離れ、古き教えに立ち返ろうとしていた			神々との道行き							
ああ、人々の祈りは強く、そして時の中で組織化され、人の祈りの内容は変遷していった。私もその変容を肌で感じていたよ。			ああ、人々の祈りは強く、そして時の中で組織化され、人の祈りの内容は変遷していった。私もその変容を肌で感じていたよ。			神々との道行き							
ああ、何かを護るために強くありたいと願う祈りは、非常に強かったな。			ああ、何かを護るために強くありたいと願う祈りは、非常に強かったな。			神々との道行き							
ああ、人の信仰は常に変化を続けているな。歩みを止めないその姿勢を、愛しく思う。			ああ、人の信仰は常に変化を続けているな。歩みを止めないその姿勢を、愛しく思う。			神々との道行き							
まぁ、そうなのね！やっぱり人の声を直接聞くのって、嬉しいわ。			まぁ、そうなのね！やっぱり人の声を直接聞くのって、嬉しいわ。			神々との道行き							
でも、同じ星に生きる者たち……すなわち人と竜とが互いに血を流しあうのを目の当たりにして、ハルオーネはどこか哀しげだったわね。			でも、同じ星に生きる者たち……すなわち人と竜とが互いに血を流しあうのを目の当たりにして、ハルオーネはどこか哀しげだったわね。			神々との道行き							
メネフィナ、人の信仰について、私たちが言及しては人のためにならないぞ。			メネフィナ、人の信仰について、私たちが言及しては人のためにならないぞ。			神々との道行き							
私たちは、この星に生きる人々の支えにはなっても、人の営みに介入したり、直接的に導いたりするのは慎むべきだ。			私たちは、この星に生きる人々の支えにはなっても、人の営みに介入したり、直接的に導いたりするのは慎むべきだ。			神々との道行き							
人の子よ。エオルゼア十二神への信仰は、人のものにほかならない。			人の子よ。エオルゼア十二神への信仰は、人のものにほかならない。			神々との道行き							
私たちや神域は……人の祈りによって、在るべき姿となるのだ。			私たちや神域は……人の祈りによって、在るべき姿となるのだ。			神々との道行き							
待たせたな、Forename。			待たせたな、Forename。			神々との道行き							
情報を刻み終えたのね！それじゃあ次はわたくしの秘石まで向かいましょ！			情報を刻み終えたのね！それじゃあ次はわたくしの秘石まで向かいましょ！			神々との道行き							
場所は、スチールヴィジルの手前から、西に向かって進んだ小高い丘の上ね。ここからは少し遠いけど、頑張ってついてきて！			場所は、スチールヴィジルの手前から、西に向かって進んだ小高い丘の上ね。ここからは少し遠いけど、頑張ってついてきて！			神々との道行き							
あら、あなたが一番乗りね！ここをまっすぐ進めばすぐ着くはずだから、ハルオーネたちを待ってから一緒に向かいましょ。			あら、あなたが一番乗りね！ここをまっすぐ進めばすぐ着くはずだから、ハルオーネたちを待ってから一緒に向かいましょ。			神々との道行き							
あら、先客かしら？嬉しいわね、わたくしのところに通っている子がいるなんて！			あら、先客かしら？嬉しいわね、わたくしのところに通っている子がいるなんて！			神々との道行き							
(-赤いローブの男-)月神メネフィナよ……どうか私を救ってください、どうか、どうか……。			(-赤いローブの男-)月神メネフィナよ……どうか私を救ってください、どうか、どうか……。			神々との道行き							
(-赤いローブの男-)あ、あなたは……残党狩りのForename……！！			(-赤いローブの男-)あ、あなたは……残党狩りのForename……！！			神々との道行き							
きっと「最後の群民」の生き残りを捕らえにきたんだ……。ああ、これが私の終わり……双月の導きだなんて……。			きっと「最後の群民」の生き残りを捕らえにきたんだ……。ああ、これが私の終わり……双月の導きだなんて……。			神々との道行き							
「最後の群民」って……月の衛星ダラガブを信仰していた者たちか？			「最後の群民」って……月の衛星ダラガブを信仰していた者たちか？			神々との道行き							
ほら、第七霊災の前後に名を馳せた一団だ。人をさらって生贄にしたり、自らの死でもってその信仰を証明したりしていたとか……。			ほら、第七霊災の前後に名を馳せた一団だ。人をさらって生贄にしたり、自らの死でもってその信仰を証明したりしていたとか……。			神々との道行き							
わ、私は！！絶対に罪を犯してはいないとメネフィナ様に誓います！			わ、私は！！絶対に罪を犯してはいないとメネフィナ様に誓います！			神々との道行き							
そもそも最初は、ただ双月に祈りを捧げていただけなんです。いつか慈愛の月神メネフィナ様のもとへ迎え入れてほしい……その番犬たるダラガブよ、我らをどうか運んでくれって。			そもそも最初は、ただ双月に祈りを捧げていただけなんです。いつか慈愛の月神メネフィナ様のもとへ迎え入れてほしい……その番犬たるダラガブよ、我らをどうか運んでくれって。			神々との道行き							
でも、みんな徐々に、空に輝く怪しく赤い光に魅せられて……ダラガブ様は救世神だ、信じぬ者には神罰が下るぞ、その命を差し出して忠誠を示せ、と変わっていった……。			でも、みんな徐々に、空に輝く怪しく赤い光に魅せられて……ダラガブ様は救世神だ、信じぬ者には神罰が下るぞ、その命を差し出して忠誠を示せ、と変わっていった……。			神々との道行き							
そうして、過激な終末思想に傾倒してゆき、各国の官憲から危険視されることになったのか……。			そうして、過激な終末思想に傾倒してゆき、各国の官憲から危険視されることになったのか……。			神々との道行き							
君も、どこぞの国からの求めに応じて、「最後の群民」の拠点を制圧したことがあるんじゃないか？それで「残党狩り」として噂になっていた、ということだろう。			君も、どこぞの国からの求めに応じて、「最後の群民」の拠点を制圧したことがあるんじゃないか？それで「残党狩り」として噂になっていた、ということだろう。			神々との道行き							
自分は、もとは砂都の商人でした。でも、どうにも気が小さいもので、人に傷つけられるのも、人を傷つけるのも、怖くてたまらなくて。			自分は、もとは砂都の商人でした。でも、どうにも気が小さいもので、人に傷つけられるのも、人を傷つけるのも、怖くてたまらなくて。			神々との道行き							
だからこそ、メネフィナ様に優しく受け止められたかったし、絶対の強さを持つダラガブ様に救いを求めました。			だからこそ、メネフィナ様に優しく受け止められたかったし、絶対の強さを持つダラガブ様に救いを求めました。			神々との道行き							
そうでないと、この世は生きていくにはつらすぎた……。なのに、罪を犯した仲間も、彼らと私をひとくくりにする者たちも、みんなが私から、縋る神を奪ったんだ……！			そうでないと、この世は生きていくにはつらすぎた……。なのに、罪を犯した仲間も、彼らと私をひとくくりにする者たちも、みんなが私から、縋る神を奪ったんだ……！			神々との道行き							
ねぇ、あなたは強いのでしょう？そんなに強いなら、私を裁いて、導いて、救ってくださいよ！			ねぇ、あなたは強いのでしょう？そんなに強いなら、私を裁いて、導いて、救ってくださいよ！			神々との道行き							
姿も見えず、いくら祈っても救ってくれない神様なんて……もうまっぴらだ……。			姿も見えず、いくら祈っても救ってくれない神様なんて……もうまっぴらだ……。			神々との道行き							
…………神に求めるような役割を、他人に求めてはだめだ。			…………神に求めるような役割を、他人に求めてはだめだ。			神々との道行き							
俺に言わせれば、こいつだって……ただの人だ。人生を歩み、己の考えを持ち、血が通ったもの。それ以上でもそれ以下でもあるものか。			俺に言わせれば、こいつだって……ただの人だ。人生を歩み、己の考えを持ち、血が通ったもの。それ以上でもそれ以下でもあるものか。			神々との道行き							
自分を卑下して、他者を過大に評価することはない。君なりの人生を歩んで、悲しみに暮れてもまだ生きていて、いま「ここ」にいる点では、この人となにも変わらないだろう？			自分を卑下して、他者を過大に評価することはない。君なりの人生を歩んで、悲しみに暮れてもまだ生きていて、いま「ここ」にいる点では、この人となにも変わらないだろう？			神々との道行き							
ほら、大丈夫。十二神の中でも慈愛を司るメネフィナ神を信じる君ならきっと、彼女への信心を力にして、人も、自分も、愛すことができるよ。			ほら、大丈夫。十二神の中でも慈愛を司るメネフィナ神を信じる君ならきっと、彼女への信心を力にして、人も、自分も、愛すことができるよ。			神々との道行き							
すみません、急に変なことを言って……。心細くて、不安で、どうかしていました。			すみません、急に変なことを言って……。心細くて、不安で、どうかしていました。			神々との道行き							
ここであなた方に諭されたのも、きっとメネフィナ様のお導き。頭を冷やして、新しい道を探してみます。			ここであなた方に諭されたのも、きっとメネフィナ様のお導き。頭を冷やして、新しい道を探してみます。			神々との道行き							
ああ、どうにもならなくなったら、各地を旅してみるといい。この世界にはたくさんのものや、考え方が溢れているから。			ああ、どうにもならなくなったら、各地を旅してみるといい。この世界にはたくさんのものや、考え方が溢れているから。			神々との道行き							
愛しい子……これからの旅路に祝福があらんことを。			愛しい子……これからの旅路に祝福があらんことを。			神々との道行き							
いま、なにか……？			いま、なにか……？			神々との道行き							
私たちへの信仰は人を救うこともあれば、傷つけることもある。だが忘れないでくれ、私たちを信じる心は人のものだ。			私たちへの信仰は人を救うこともあれば、傷つけることもある。だが忘れないでくれ、私たちを信じる心は人のものだ。			神々との道行き							
あの子なら、きっと大丈夫よ。			あの子なら、きっと大丈夫よ。			神々との道行き							
ウキャ？			ウキャ？			神々との道行き							
あー…………。ちょっとお節介だったかもしれないが、思いつめていた様子だったし、後悔はしてないよ。			あー…………。ちょっとお節介だったかもしれないが、思いつめていた様子だったし、後悔はしてないよ。			神々との道行き							
Forename。じゃあ、改めてメネフィナの秘石に、記録媒体をかざしてくれるか？			Forename。じゃあ、改めてメネフィナの秘石に、記録媒体をかざしてくれるか？			神々との道行き							
十二神の秘石にかざした記録媒体が、小さく震えた……！			十二神の秘石にかざした記録媒体が、小さく震えた……！			神々との道行き							
さっきの子が、ごめんなさいね。困らせちゃったでしょう？			さっきの子が、ごめんなさいね。困らせちゃったでしょう？			神々との道行き							
よかった……。Forenameは、強い子なのね。			よかった……。Forenameは、強い子なのね。			神々との道行き							
わたくしからお願いするのも、おかしなことだけれど……あの子のことを恨まないであげてほしいの。			わたくしからお願いするのも、おかしなことだけれど……あの子のことを恨まないであげてほしいの。			神々との道行き							
もちろん、こちらの存在が人を傷つけるのは本意ではないわ。			もちろん、こちらの存在が人を傷つけるのは本意ではないわ。			神々との道行き							
でもね、どんな信仰でも……いまのわたくしたちが「在る」のは、存在を信じてくれる人たちがいるからなの。			でもね、どんな信仰でも……いまのわたくしたちが「在る」のは、存在を信じてくれる人たちがいるからなの。			神々との道行き							
わたくしの番犬(ダラガブ)もそう。人が打ち上げた星を、のちの世の人々が信仰したからこそ、月を守る存在としてあの子は生まれたのよ。			わたくしの番犬(ダラガブ)もそう。人が打ち上げた星を、のちの世の人々が信仰したからこそ、月を守る存在としてあの子は生まれたのよ。			神々との道行き							
わたくしたちは万能ではないし、人の願いをすべて叶えることはできないけれど……			わたくしたちは万能ではないし、人の願いをすべて叶えることはできないけれど……			神々との道行き							
愛しい愛しい、人の願いや想いは、どんなに小さいものでも、こちらにしかと届いているわ。			愛しい愛しい、人の願いや想いは、どんなに小さいものでも、こちらにしかと届いているわ。			神々との道行き							
って、どうしても伝えたかったの！わたくしたちは、人が大好きだから！			って、どうしても伝えたかったの！わたくしたちは、人が大好きだから！			神々との道行き							
神意の地のデリックは、なにか気になることがあるようだ。			神意の地のデリックは、なにか気になることがあるようだ。			神の想い、人の想い							
デリックと話し、クルルの様子を見にいくことにした。グリダニアの水車四辻で「デリック」と合流しよう。			デリックと話し、クルルの様子を見にいくことにした。グリダニアの水車四辻で「デリック」と合流しよう。			神の想い、人の想い							
クルルに同行していたはずの地神ノフィカと工神ビエルゴは、なぜか別行動をしているらしい。地神ノフィカの気配を察知して豊穣神祭壇方面へ走っていった「戦神ハルオーネ」を追おう。			クルルに同行していたはずの地神ノフィカと工神ビエルゴは、なぜか別行動をしているらしい。地神ノフィカの気配を察知して豊穣神祭壇方面へ走っていった「戦神ハルオーネ」を追おう。			神の想い、人の想い							
戦神ハルオーネを追った先には地神ノフィカがいた。彼女はクルルの、ひとりで調査を進めたいという意思を尊重してグリダニアに残ったらしい。南部森林の根渡り沼付近で工神ビエルゴを探そう。			戦神ハルオーネを追った先には地神ノフィカがいた。彼女はクルルの、ひとりで調査を進めたいという意思を尊重してグリダニアに残ったらしい。南部森林の根渡り沼付近で工神ビエルゴを探そう。			神の想い、人の想い							
工神ビエルゴによると、クルルはアルジクの秘石へと向かったらしい。神々が移動手段を用意してくれるというので、根渡り沼で「デリック」と話そう。			工神ビエルゴによると、クルルはアルジクの秘石へと向かったらしい。神々が移動手段を用意してくれるというので、根渡り沼で「デリック」と話そう。			神の想い、人の想い							
壊神ラールガーの使いの鷹に乗ってクルルを探し、彼女の秘めたる想いを聞いた。クォーリーミルの「デリック」と話しながら、クルルが情報を入手するのを待っていよう。			壊神ラールガーの使いの鷹に乗ってクルルを探し、彼女の秘めたる想いを聞いた。クォーリーミルの「デリック」と話しながら、クルルが情報を入手するのを待っていよう。			神の想い、人の想い							
デリックと話した。彼は人との関わり方について、思うところがあるようだ。			デリックと話した。彼は人との関わり方について、思うところがあるようだ。			神の想い、人の想い							
グリダニアのデリックと話す			グリダニアのデリックと話す			神の想い、人の想い							
戦神ハルオーネと話す			戦神ハルオーネと話す			神の想い、人の想い							
根渡り沼付近で依り代の姿の工神ビエルゴを探す			根渡り沼付近で依り代の姿の工神ビエルゴを探す			神の想い、人の想い							
デリックと話す			デリックと話す			神の想い、人の想い							
デリックと再度話す			デリックと再度話す			神の想い、人の想い							
メネフィナは人に近しく、親身になれる。彼女の良きところだ。			メネフィナは人に近しく、親身になれる。彼女の良きところだ。			神の想い、人の想い							
Forenameのことも、もちろん大好きよ！			Forenameのことも、もちろん大好きよ！			神の想い、人の想い							
ウキャ～ン？			ウキャ～ン？			神の想い、人の想い							
これで俺たちの持ち分が終わったな。このままオムファロスに帰ってもいいんだが……			これで俺たちの持ち分が終わったな。このままオムファロスに帰ってもいいんだが……			神の想い、人の想い							
神々がついているとはいえ、あのお嬢さん……クルルは大丈夫なのか？			神々がついているとはいえ、あのお嬢さん……クルルは大丈夫なのか？			神の想い、人の想い							
グ・ラハ・ティアも気にかけていただろう？なにか考えがあるようだったから、少し気になる。			グ・ラハ・ティアも気にかけていただろう？なにか考えがあるようだったから、少し気になる。			神の想い、人の想い							
何と言う？			何と言う？			神の想い、人の想い							
気になるなら、行動あるのみ！			気になるなら、行動あるのみ！			神の想い、人の想い							
自分で聞いてみるといい			自分で聞いてみるといい			神の想い、人の想い							
…………			…………			神の想い、人の想い							
それもそうだな……。Forename、君の言うとおりだ。			それもそうだな……。Forename、君の言うとおりだ。			神の想い、人の想い							
そんなこと聞かれても困るよな。すまない、Forename。			そんなこと聞かれても困るよな。すまない、Forename。			神の想い、人の想い							
あーー…………。じゃあ、心配だしクルルの様子を見にいかないか。			あーー…………。じゃあ、心配だしクルルの様子を見にいかないか。			神の想い、人の想い							
それならひとまず、黒衣森の都市へ向かえばいいんじゃないかしら！			それならひとまず、黒衣森の都市へ向かえばいいんじゃないかしら！			神の想い、人の想い							
さすがにこの距離じゃわからないけれど……近くに行けば、依り代に移った状態でも、ノフィカやビエルゴの気配を追えると思うわ！			さすがにこの距離じゃわからないけれど……近くに行けば、依り代に移った状態でも、ノフィカやビエルゴの気配を追えると思うわ！			神の想い、人の想い							
黒衣森の都市……グリダニアか。じゃあひとまず新市街に向かおう。			黒衣森の都市……グリダニアか。じゃあひとまず新市街に向かおう。			神の想い、人の想い							
人の通説では、私とノフィカが不仲だという話もあるようだな。それを信じるも信じないも、人の自由だ。			人の通説では、私とノフィカが不仲だという話もあるようだな。それを信じるも信じないも、人の自由だ。			神の想い、人の想い							
人の子のためにこんなところまで……。デリックって面白いわね！			人の子のためにこんなところまで……。デリックって面白いわね！			神の想い、人の想い							
ウキッ！			ウキッ！			神の想い、人の想い							
ひとまずグリダニアに来てみたが……クルルに同行した、ノフィカとビエルゴはどこにいる？			ひとまずグリダニアに来てみたが……クルルに同行した、ノフィカとビエルゴはどこにいる？			神の想い、人の想い							
そうねぇ……なんだかちょっとおかしいわ。			そうねぇ……なんだかちょっとおかしいわ。			神の想い、人の想い							
うむ、ノフィカとビエルゴはそれぞれ離れた場所にいるな。			うむ、ノフィカとビエルゴはそれぞれ離れた場所にいるな。			神の想い、人の想い							
ひとまずノフィカの気配は近くに感じる。ついてこい！			ひとまずノフィカの気配は近くに感じる。ついてこい！			神の想い、人の想い							
待つんだ、単独行動するんじゃない！			待つんだ、単独行動するんじゃない！			神の想い、人の想い							
ああ、もう！Forename、追いかけるぞ……！			ああ、もう！Forename、追いかけるぞ……！			神の想い、人の想い							
まったく、好き勝手な行動は控えてくれ……。			まったく、好き勝手な行動は控えてくれ……。			神の想い、人の想い							
ノフィカもハルオーネも、いつもとても良くしてくれるわ。わたくしたちは、常に助けあう関係なの。			ノフィカもハルオーネも、いつもとても良くしてくれるわ。わたくしたちは、常に助けあう関係なの。			神の想い、人の想い							
ウキャン……。			ウキャン……。			神の想い、人の想い							
あなたたち、自分のところはもう回ってきたの？			あなたたち、自分のところはもう回ってきたの？			神の想い、人の想い							
そら、いただろう？			そら、いただろう？			神の想い、人の想い							
あらまぁ。皆そろって、どうしたのかしら？			あらまぁ。皆そろって、どうしたのかしら？			神の想い、人の想い							
クルルはどうした。一緒に行動していたはずだろう。			クルルはどうした。一緒に行動していたはずだろう。			神の想い、人の想い							
それが、はぐれちゃったのよね。この土地の祈りや精霊の声を聞いているうちに。			それが、はぐれちゃったのよね。この土地の祈りや精霊の声を聞いているうちに。			神の想い、人の想い							
精霊たちは森に生きるものの仲介者。私のような「土地を守る役割の者」が近づくと、森の様子を伝えずにはいられないみたいなの。			精霊たちは森に生きるものの仲介者。私のような「土地を守る役割の者」が近づくと、森の様子を伝えずにはいられないみたいなの。			神の想い、人の想い							
お互いの気配がわかるはずなのに……はぐれたって、どういうことだ？			お互いの気配がわかるはずなのに……はぐれたって、どういうことだ？			神の想い、人の想い							
…………ノフィカ、はぐらかすのはやめた方がいい。なにか隠しているだろう？			…………ノフィカ、はぐらかすのはやめた方がいい。なにか隠しているだろう？			神の想い、人の想い							
もう、ハルオーネったらお見通しなのねぇ！しかたないわ、白状します。			もう、ハルオーネったらお見通しなのねぇ！しかたないわ、白状します。			神の想い、人の想い							
実はあの子が、ひとりで秘石を巡りたいって言ってきたのよ。私たちに守られずに、このフィールドワークをやり遂げたいって。			実はあの子が、ひとりで秘石を巡りたいって言ってきたのよ。私たちに守られずに、このフィールドワークをやり遂げたいって。			神の想い、人の想い							
だから、あの子の意志を尊重することにしました。			だから、あの子の意志を尊重することにしました。			神の想い、人の想い							
あの子くらい魔力があれば、森歩きも問題はないでしょう。それでも心配性のビエルゴは、気づかれないように付いていってしまったのだけれど。			あの子くらい魔力があれば、森歩きも問題はないでしょう。それでも心配性のビエルゴは、気づかれないように付いていってしまったのだけれど。			神の想い、人の想い							
人の子が望んだことだったのね。なら、できる限りそれに沿わなくっちゃ！			人の子が望んだことだったのね。なら、できる限りそれに沿わなくっちゃ！			神の想い、人の想い							
ビエルゴの気配は……そうね、人の呼び方だと「南部森林」だったかしら。そこから感じるわ。			ビエルゴの気配は……そうね、人の呼び方だと「南部森林」だったかしら。そこから感じるわ。			神の想い、人の想い							
南部森林の「根渡り沼」のほとりに秘石があったはずだ。行って、依り代の姿のビエルゴを探してみよう。			南部森林の「根渡り沼」のほとりに秘石があったはずだ。行って、依り代の姿のビエルゴを探してみよう。			神の想い、人の想い							
草むらは風で揺れていただけだった。このあたりに、工神ビエルゴはいないようだ……。			草むらは風で揺れていただけだった。このあたりに、工神ビエルゴはいないようだ……。			神の想い、人の想い							
壊れたタルの影に……工神ビエルゴはいないようだ。			壊れたタルの影に……工神ビエルゴはいないようだ。			神の想い、人の想い							
あなたたちは……！			あなたたちは……！			神の想い、人の想い							
クルルの様子を見にきたんだ。このあたりにはいないようだが、どこにいる？			クルルの様子を見にきたんだ。このあたりにはいないようだが、どこにいる？			神の想い、人の想い							
私の秘石から情報を入手し、さきほど、アルジクの秘石に向かったところです。			私の秘石から情報を入手し、さきほど、アルジクの秘石に向かったところです。			神の想い、人の想い							
あまり近づくと気づかれてしまうゆえ、私はちょうど待機していたところで……。			あまり近づくと気づかれてしまうゆえ、私はちょうど待機していたところで……。			神の想い、人の想い							
あの子の担当は、アルジクの秘石で終わりよね？ビエルゴも人の子たちと一緒に、あの子を迎えにいきましょ。			あの子の担当は、アルジクの秘石で終わりよね？ビエルゴも人の子たちと一緒に、あの子を迎えにいきましょ。			神の想い、人の想い							
わかりました、それが皆の望みであれば。			わかりました、それが皆の望みであれば。			神の想い、人の想い							
そういうことなら、お師様ラールガーの使いを借り受けましょう。人の子らの移動が楽になるはずですよ。			そういうことなら、お師様ラールガーの使いを借り受けましょう。人の子らの移動が楽になるはずですよ。			神の想い、人の想い							
こいつらがラールガーの使いか……。どうやら俺たちを乗せてくれるみたいだから、上空からクルルを探すことにしよう。			こいつらがラールガーの使いか……。どうやら俺たちを乗せてくれるみたいだから、上空からクルルを探すことにしよう。			神の想い、人の想い							
神々やオポオポは俺が連れていくから心配はいらない。Forename、準備はいいか？			神々やオポオポは俺が連れていくから心配はいらない。Forename、準備はいいか？			神の想い、人の想い							
ラールガーズ・エミッサリーに乗って移動しますか？			ラールガーズ・エミッサリーに乗って移動しますか？			神の想い、人の想い							
よしよし、いい子だ……。さあ、風を切って飛んでくれ。			よしよし、いい子だ……。さあ、風を切って飛んでくれ。			神の想い、人の想い							
Forename、ありがとうな。君と話したおかげで、クルルに会いにいこうと思えたんだ。			Forename、ありがとうな。君と話したおかげで、クルルに会いにいこうと思えたんだ。			神の想い、人の想い							
彼女の姿は見えないな……。このまま、北東のアルジクの秘石の方へ向かおう。			彼女の姿は見えないな……。このまま、北東のアルジクの秘石の方へ向かおう。			神の想い、人の想い							
見つけた。もう秘石の場所に到着していたんだな。			見つけた。もう秘石の場所に到着していたんだな。			神の想い、人の想い							
あら、どうしたの？もしかして様子を見にきてくれたのかしら？			あら、どうしたの？もしかして様子を見にきてくれたのかしら？			神の想い、人の想い							
もし闘神オーディンなんかと遭遇したら大変だから、ちょっと気を張ってて、びっくりしちゃった。			もし闘神オーディンなんかと遭遇したら大変だから、ちょっと気を張ってて、びっくりしちゃった。			神の想い、人の想い							
単独行動を望んだと、ノフィカに聞いた。神々に頼んでまで、ひとりで行動をしたい理由が、なにかあったのか？			単独行動を望んだと、ノフィカに聞いた。神々に頼んでまで、ひとりで行動をしたい理由が、なにかあったのか？			神の想い、人の想い							
ああ、えっと……			ああ、えっと……			神の想い、人の想い							
知りたいと思う「真実」を……もっと自分の歩みで追い求めたいと思ったから、かしら。			知りたいと思う「真実」を……もっと自分の歩みで追い求めたいと思ったから、かしら。			神の想い、人の想い							
神々は、人と戦うことの先にある「叶えたい願い」について、「その手、その足で突き止めるといい」と言っていたでしょう？			神々は、人と戦うことの先にある「叶えたい願い」について、「その手、その足で突き止めるといい」と言っていたでしょう？			神の想い、人の想い							
現に神々は、ヒントや鍵を与えながら、私たちの調査を見守ってくれている。			現に神々は、ヒントや鍵を与えながら、私たちの調査を見守ってくれている。			神の想い、人の想い							
