シャバーブチェのズーヘは、優れた魔道士である冒険者の知恵と力を借りたいようだ。			シャバーブチェのズーヘは、優れた魔道士である冒険者の知恵と力を借りたいようだ。			祭器の秘された力							
ラザハンで信奉者から情報を集める			ラザハンで信奉者から情報を集める			人気はいつまで続くのか							
ザッシャルと話す			ザッシャルと話す			人気はいつまで続くのか							
テペケと話す			テペケと話す			人気はいつまで続くのか							
パーラカの里でテペケと話す			パーラカの里でテペケと話す			人気はいつまで続くのか							
指定地点で待機			指定地点で待機			人気はいつまで続くのか							
指定地点で待機し、信奉者らしき若者を尾行			指定地点で待機し、信奉者らしき若者を尾行			人気はいつまで続くのか							
テペケと話す			テペケと話す			人気はいつまで続くのか							
テペケと再度話す			テペケと再度話す			人気はいつまで続くのか							
ジャスティス・Ｒ……いえ、ヴィラザーンの自作自演について、彼のお父さんが告白してくれた真実が広まってきました。			ジャスティス・Ｒ……いえ、ヴィラザーンの自作自演について、彼のお父さんが告白してくれた真実が広まってきました。			人気はいつまで続くのか							
星戦士団もいよいよ捕縛に動き出したそうです。ジャスティス・Ｒを信奉してた若者たちの間でも、戸惑いが広まっており、その人気も下降してるとか。			星戦士団もいよいよ捕縛に動き出したそうです。ジャスティス・Ｒを信奉してた若者たちの間でも、戸惑いが広まっており、その人気も下降してるとか。			人気はいつまで続くのか							
それと、星戦士団の皆さんから気になることを聞きました。魔物退治に使われた岩石を、ひとつずつ確認したところ、いずれも現場にある種類の石だったとのこと。			それと、星戦士団の皆さんから気になることを聞きました。魔物退治に使われた岩石を、ひとつずつ確認したところ、いずれも現場にある種類の石だったとのこと。			人気はいつまで続くのか							
たとえば、ギガントガル採石場の近くでは、周辺で採れる巨人石が、転がっていたというんですよ。この情報も、祭器の能力を探るのに役に立つと思いますか？			たとえば、ギガントガル採石場の近くでは、周辺で採れる巨人石が、転がっていたというんですよ。この情報も、祭器の能力を探るのに役に立つと思いますか？			人気はいつまで続くのか							
何と言う？			何と言う？			人気はいつまで続くのか							
周囲の岩石を転移させている？			周囲の岩石を転移させている？			人気はいつまで続くのか							
岩石は魔法で生成された物ではない			岩石は魔法で生成された物ではない			人気はいつまで続くのか							
なるほど……つまり祭器について、より正確に表すなら、「付近の岩石を転移させる力」ということですね！いよいよ、能力の全貌を解き明かせる日も近そう……！			なるほど……つまり祭器について、より正確に表すなら、「付近の岩石を転移させる力」ということですね！いよいよ、能力の全貌を解き明かせる日も近そう……！			人気はいつまで続くのか							
そうそう、ジャスティス・Ｒを支持していた若者たちですが、大半が彼を見限り、離れていったようです。逆に言うと、今残っているのは熱烈な信奉者ってことですね。			そうそう、ジャスティス・Ｒを支持していた若者たちですが、大半が彼を見限り、離れていったようです。逆に言うと、今残っているのは熱烈な信奉者ってことですね。			人気はいつまで続くのか							
特に都市内で暮らす信奉者たちは、ジャスティス・Ｒから手紙を受け取っているなんて噂も……。この手紙……調べてみる価値があると思いませんか？			特に都市内で暮らす信奉者たちは、ジャスティス・Ｒから手紙を受け取っているなんて噂も……。この手紙……調べてみる価値があると思いませんか？			人気はいつまで続くのか							
さっそくラザハンに向かうとして……私は、商店街の方で情報を集めてみますので、街の西側で信奉者の子どもや若者に、聞き込みをお願いします！			さっそくラザハンに向かうとして……私は、商店街の方で情報を集めてみますので、街の西側で信奉者の子どもや若者に、聞き込みをお願いします！			人気はいつまで続くのか							
ラザハンで聞き込みが終わったら、また合流して、情報を照らし合わせましょう！			ラザハンで聞き込みが終わったら、また合流して、情報を照らし合わせましょう！			人気はいつまで続くのか							
あ、Forenameさん！このあたりでの情報収集は私がやりますので、街の西側で信奉者の子どもや若者に、聞き込みをお願いします！			あ、Forenameさん！このあたりでの情報収集は私がやりますので、街の西側で信奉者の子どもや若者に、聞き込みをお願いします！			人気はいつまで続くのか							
あなた、テペケって娘とよく一緒にいるでしょう。彼女がジャスティス・Ｒ様の悪い噂を広めてるって、聞いたことがあるわ。			あなた、テペケって娘とよく一緒にいるでしょう。彼女がジャスティス・Ｒ様の悪い噂を広めてるって、聞いたことがあるわ。			人気はいつまで続くのか							
また、変に嗅ぎ回られるのも嫌だし、悪いけど、何も教えられることはないわね……。			また、変に嗅ぎ回られるのも嫌だし、悪いけど、何も教えられることはないわね……。			人気はいつまで続くのか							
ああ、手紙をガラの悪い奴らに奪われちゃった……。せっかくジャスティス・Ｒ直々の招集だったのに。			ああ、手紙をガラの悪い奴らに奪われちゃった……。せっかくジャスティス・Ｒ直々の招集だったのに。			人気はいつまで続くのか							
ん？　君もジャスティス・Ｒに会いたいのかい？少ししか読めなかったけど、どこかに信奉者を集めて、伝えたいことがあるらしいよ。			ん？　君もジャスティス・Ｒに会いたいのかい？少ししか読めなかったけど、どこかに信奉者を集めて、伝えたいことがあるらしいよ。			人気はいつまで続くのか							
それにしても、あのゴロツキ、手紙を奪ってどうするつもりなんだろう……。「恨みを晴らしてやる」とか口走ってたけど。			それにしても、あのゴロツキ、手紙を奪ってどうするつもりなんだろう……。「恨みを晴らしてやる」とか口走ってたけど。			人気はいつまで続くのか							
手紙のことは知ってるけど、もらえそうにないや。最近ジャスティス・Ｒのことを話すと、大人たちが怒るんだ。あと、ちょっとでも帰りが遅いとすぐ探しにきたりしてさ。			手紙のことは知ってるけど、もらえそうにないや。最近ジャスティス・Ｒのことを話すと、大人たちが怒るんだ。あと、ちょっとでも帰りが遅いとすぐ探しにきたりしてさ。			人気はいつまで続くのか							
ほかの子どもたちも、手紙は持ってないと思うけど……さっきザッシャルって商人さんが、彼の名前を呟いてたよ。笑顔で、メリードズメイハネのほうへ歩いていったけど。			ほかの子どもたちも、手紙は持ってないと思うけど……さっきザッシャルって商人さんが、彼の名前を呟いてたよ。笑顔で、メリードズメイハネのほうへ歩いていったけど。			人気はいつまで続くのか							
……それと、彼はヒーローじゃないって噂も聞いた。もしそれが本当だったら、残念だな。			……それと、彼はヒーローじゃないって噂も聞いた。もしそれが本当だったら、残念だな。			人気はいつまで続くのか							
信奉者を呼び集める手紙について、商人のザッシャルが関係しているかもしれない。メリードズメイハネへ「ザッシャル」を探しにいこう。			信奉者を呼び集める手紙について、商人のザッシャルが関係しているかもしれない。メリードズメイハネへ「ザッシャル」を探しにいこう。			人気はいつまで続くのか							
……いくら聞かれても、何も答えないわよ。			……いくら聞かれても、何も答えないわよ。			人気はいつまで続くのか							
手紙を全部読む前に、ゴロツキに奪われちゃった……。でも、どこかに信奉者を集めて伝えたいことがあるらしいよ。			手紙を全部読む前に、ゴロツキに奪われちゃった……。でも、どこかに信奉者を集めて伝えたいことがあるらしいよ。			人気はいつまで続くのか							
手紙はもらってないけど、ザッシャルって商人さんが、ジャスティス・Ｒの名前を呟いてたのは聞いたよ。笑顔で、メリードズメイハネのほうへ歩いていったけど。			手紙はもらってないけど、ザッシャルって商人さんが、ジャスティス・Ｒの名前を呟いてたのは聞いたよ。笑顔で、メリードズメイハネのほうへ歩いていったけど。			人気はいつまで続くのか							
いやあ、これほど懐が潤うとはな！あそこまで金払いのいい客は久しぶりだぜ。			いやあ、これほど懐が潤うとはな！あそこまで金払いのいい客は久しぶりだぜ。			人気はいつまで続くのか							
って、いつぞやの英雄サマじゃありませんか！？まさか今頃、あんたのお仲間に売った地図のことで、なにか物言いでも……？			って、いつぞやの英雄サマじゃありませんか！？まさか今頃、あんたのお仲間に売った地図のことで、なにか物言いでも……？			人気はいつまで続くのか							
アルザダール3世が遺した宝の地図……って触れ込みに、なんら嘘はなかったはずですぜ？そりゃ、売り方にちょいと工夫はしましたがね。			アルザダール3世が遺した宝の地図……って触れ込みに、なんら嘘はなかったはずですぜ？そりゃ、売り方にちょいと工夫はしましたがね。			人気はいつまで続くのか							
何と言う？			何と言う？			人気はいつまで続くのか							
聞きたいのは別のことだ			聞きたいのは別のことだ			人気はいつまで続くのか							
まだ、悪どい商売をしてるのか？			まだ、悪どい商売をしてるのか？			人気はいつまで続くのか							
それなら良いんですが……だとしたら、英雄サマがなんの御用です？			それなら良いんですが……だとしたら、英雄サマがなんの御用です？			人気はいつまで続くのか							
清く正しければ、腹がふくれる訳でもなし。儲けのためならば、下衆なことでもしますが……。まさか、そんなことを聞きに来たわけじゃないですよね？			清く正しければ、腹がふくれる訳でもなし。儲けのためならば、下衆なことでもしますが……。まさか、そんなことを聞きに来たわけじゃないですよね？			人気はいつまで続くのか							
アン？　ジャスティス・Ｒがばらまいてる手紙について？そりゃまた、ずいぶん妙なことに首を突っ込んでますな。			アン？　ジャスティス・Ｒがばらまいてる手紙について？そりゃまた、ずいぶん妙なことに首を突っ込んでますな。			人気はいつまで続くのか							
奴の使いだという、妙に自信満々な兄ちゃんから、ウズネアカナルへの転送魔紋が開く地図を所望されましてね。手持ちの地図を、片っ端から売ってやっただけですよ。			奴の使いだという、妙に自信満々な兄ちゃんから、ウズネアカナルへの転送魔紋が開く地図を所望されましてね。手持ちの地図を、片っ端から売ってやっただけですよ。			人気はいつまで続くのか							
小耳に挟んだ話じゃ、ばらまかれてる手紙には、地図のうち、複製された一枚が同封されているようで。大方、ウズネアカナルで秘密の会合でもするつもりでしょう。			小耳に挟んだ話じゃ、ばらまかれてる手紙には、地図のうち、複製された一枚が同封されているようで。大方、ウズネアカナルで秘密の会合でもするつもりでしょう。			人気はいつまで続くのか							
ただ、まあ……奴はずいぶん恨みも買ってますからね。そうそう望みどおりにいくかは怪しいですが。			ただ、まあ……奴はずいぶん恨みも買ってますからね。そうそう望みどおりにいくかは怪しいですが。			人気はいつまで続くのか							
ラザハンには、幸い大きな盗賊団などはいませんが、食うに困った島民が、悪事に手を染めることがままあります。			ラザハンには、幸い大きな盗賊団などはいませんが、食うに困った島民が、悪事に手を染めることがままあります。			人気はいつまで続くのか							
以前、ジャスティス・Ｒの魔物退治に巻き込まれて、強盗に失敗したゴロツキが逆恨みをしてると聞いたんですよ。そうした連中も、復讐のため紛れ込んでくるかもしれませんな。			以前、ジャスティス・Ｒの魔物退治に巻き込まれて、強盗に失敗したゴロツキが逆恨みをしてると聞いたんですよ。そうした連中も、復讐のため紛れ込んでくるかもしれませんな。			人気はいつまで続くのか							
さ、俺が知ってる話はこんなもんです！地図に記された場所も、衆園の森のどこかとしか覚えてないんで、そろそろ勘弁してもらえますか？			さ、俺が知ってる話はこんなもんです！地図に記された場所も、衆園の森のどこかとしか覚えてないんで、そろそろ勘弁してもらえますか？			人気はいつまで続くのか							
地図に記された場所は、衆園の森のどこかですよ！それ以上は何も覚えてないんで、勘弁してくださいな。			地図に記された場所は、衆園の森のどこかですよ！それ以上は何も覚えてないんで、勘弁してくださいな。			人気はいつまで続くのか							
私がジャスティス・Ｒに否定的なことが、信奉者にも知られているらしく、みんな口が固くて……。そちらはどうでした？			私がジャスティス・Ｒに否定的なことが、信奉者にも知られているらしく、みんな口が固くて……。そちらはどうでした？			人気はいつまで続くのか							
おお、さすがForenameさんですね！信奉者を集めているということは、落ちた人気を回復しようと企んでるとか……？			おお、さすがForenameさんですね！信奉者を集めているということは、落ちた人気を回復しようと企んでるとか……？			人気はいつまで続くのか							
……彼らの多くは、戦闘経験のない若者や子どもたち。ならば地図の場所へ直行せず、落ち着ける近くの集落で、一度、目的地の確認をするのではないでしょうか？			……彼らの多くは、戦闘経験のない若者や子どもたち。ならば地図の場所へ直行せず、落ち着ける近くの集落で、一度、目的地の確認をするのではないでしょうか？			人気はいつまで続くのか							
衆園の森ですと、パーラカの里がありますね。たしか、終末という現象が起きたときに避難してきた人が、今も身を寄せているとか。			衆園の森ですと、パーラカの里がありますね。たしか、終末という現象が起きたときに避難してきた人が、今も身を寄せているとか。			人気はいつまで続くのか							
あそこなら、信奉者が紛れても気づきにくいかもしれません。私たちも、いったんパーラカの里に向かってみましょう。			あそこなら、信奉者が紛れても気づきにくいかもしれません。私たちも、いったんパーラカの里に向かってみましょう。			人気はいつまで続くのか							
予想が当たりました……。ジャスティス・Ｒからと思しき、手紙のようなものを持ってる若者がチラホラいます！			予想が当たりました……。ジャスティス・Ｒからと思しき、手紙のようなものを持ってる若者がチラホラいます！			人気はいつまで続くのか							
ただ、みんな私が近づくと距離を取ってしまって……どうも完全に警戒されてしまったようですね。			ただ、みんな私が近づくと距離を取ってしまって……どうも完全に警戒されてしまったようですね。			人気はいつまで続くのか							
私に見られながら、転送魔紋の場所を目指す者はいないでしょう。なので……今から私は、オトリになろうと思います！			私に見られながら、転送魔紋の場所を目指す者はいないでしょう。なので……今から私は、オトリになろうと思います！			人気はいつまで続くのか							
まず、私の存在をしっかり相手に意識させます。そして、こちらに見つからぬよう集落を離れる人を、Forenameさんが尾行するんです！			まず、私の存在をしっかり相手に意識させます。そして、こちらに見つからぬよう集落を離れる人を、Forenameさんが尾行するんです！			人気はいつまで続くのか							
物陰から周囲の様子を窺い、それらしき人を見つけたら、尾行をお願いしますね！私も、そのさらに後をこっそりと追いかけますので！			物陰から周囲の様子を窺い、それらしき人を見つけたら、尾行をお願いしますね！私も、そのさらに後をこっそりと追いかけますので！			人気はいつまで続くのか							
あっ、オトリに近づいちゃ駄目ですよ……！私に見つからぬよう集落を離れる人がいたら、そっと尾行をお願いします……。			あっ、オトリに近づいちゃ駄目ですよ……！私に見つからぬよう集落を離れる人がいたら、そっと尾行をお願いします……。			人気はいつまで続くのか							
信奉者らしき若者の「尾行」に、再挑戦しますか？			信奉者らしき若者の「尾行」に、再挑戦しますか？			人気はいつまで続くのか							
よし、ここで魔紋を開けば、その先にジャスティス・Ｒが……！			よし、ここで魔紋を開けば、その先にジャスティス・Ｒが……！			人気はいつまで続くのか							
あ、あなたはラザハンを救ってくださった……！どうして、ここにいるんですか？			あ、あなたはラザハンを救ってくださった……！どうして、ここにいるんですか？			人気はいつまで続くのか							
集落にいた彼女は、オトリだったんですか……！ジャスティス・Ｒに関する噂は耳に入っていますが、まさか、あなたまで調査を……。			集落にいた彼女は、オトリだったんですか……！ジャスティス・Ｒに関する噂は耳に入っていますが、まさか、あなたまで調査を……。			人気はいつまで続くのか							
荷運びの仕事は、護衛も付けてもらえず危険も少なくありません。そんな中、魔物に襲われたとき真っ先に駆けつけてくれた、ジャスティス・Ｒには、いくら感謝しても足りなかった……。			荷運びの仕事は、護衛も付けてもらえず危険も少なくありません。そんな中、魔物に襲われたとき真っ先に駆けつけてくれた、ジャスティス・Ｒには、いくら感謝しても足りなかった……。			人気はいつまで続くのか							
だから……噂に惑わされず、自分の目で真実を確かめよう。そんな気持ちで、ここを目指したのですが……。			だから……噂に惑わされず、自分の目で真実を確かめよう。そんな気持ちで、ここを目指したのですが……。			人気はいつまで続くのか							
……ゴロツキの話もありますし、私は引き返しましょう。地図はお渡ししますので、ジャスティス・Ｒが何を語るのか、代わりに確かめてきてください。			……ゴロツキの話もありますし、私は引き返しましょう。地図はお渡ししますので、ジャスティス・Ｒが何を語るのか、代わりに確かめてきてください。			人気はいつまで続くのか							
すみません、もう少し前に着いていたのですが、話し込んでいたので、物陰から様子をみてました……。彼を信奉する人も、様々な思いを抱いているのですね。			すみません、もう少し前に着いていたのですが、話し込んでいたので、物陰から様子をみてました……。彼を信奉する人も、様々な思いを抱いているのですね。			人気はいつまで続くのか							
……さあ、魔紋を開きましょう。きっとその先に、ジャスティス・Ｒがいるはずです！			……さあ、魔紋を開きましょう。きっとその先に、ジャスティス・Ｒがいるはずです！			人気はいつまで続くのか							
大量の岩石……これも祭器の力……？			大量の岩石……これも祭器の力……？			人気はいつまで続くのか							
む、ラザハンを、いや世界を救いし英雄殿ではないか！こんなところで相まみえるとは、なんたる僥倖！			む、ラザハンを、いや世界を救いし英雄殿ではないか！こんなところで相まみえるとは、なんたる僥倖！			人気はいつまで続くのか							
なんてノンキな発言を……！そこまでですよ、ヴィラザーン！			なんてノンキな発言を……！そこまでですよ、ヴィラザーン！			人気はいつまで続くのか							
これはまた無粋な呼びかけ……。たしかに、私にはヴィラザーンとしての一面もあるが、それはあくまで、平素の姿にすぎない。			これはまた無粋な呼びかけ……。たしかに、私にはヴィラザーンとしての一面もあるが、それはあくまで、平素の姿にすぎない。			人気はいつまで続くのか							
こうして仮面を被り、ヒーローとして君臨している以上……その名を語ることは許されぬのだ！			こうして仮面を被り、ヒーローとして君臨している以上……その名を語ることは許されぬのだ！			人気はいつまで続くのか							
えっと……つまり、ヴィラザーンなんです、よね……？			えっと……つまり、ヴィラザーンなんです、よね……？			人気はいつまで続くのか							
何と言う？			何と言う？			人気はいつまで続くのか							
ヒーローたる者、自分の名に誇りを持て			ヒーローたる者、自分の名に誇りを持て			人気はいつまで続くのか							
敵に名を知られるなんて、この上ない窮地だな！			敵に名を知られるなんて、この上ない窮地だな！			人気はいつまで続くのか							
正体を明かせば、もっと人気者になれるよ			正体を明かせば、もっと人気者になれるよ			人気はいつまで続くのか							
ほほう……そういった考え方もあるか。ヒーローの陰に潜む一面が、白日の下に晒されしとき、それは大いなる窮地であり、新たなる活躍への序章！			ほほう……そういった考え方もあるか。ヒーローの陰に潜む一面が、白日の下に晒されしとき、それは大いなる窮地であり、新たなる活躍への序章！			人気はいつまで続くのか							
人気者……なるほど。人々の注目を集めること、それは私の悲願でもある。本名を白日のもとに晒すことでそれが叶うのならば……。			人気者……なるほど。人々の注目を集めること、それは私の悲願でもある。本名を白日のもとに晒すことでそれが叶うのならば……。			人気はいつまで続くのか							
改めて名乗りを上げよう。この私、ジャスティス・Ｒこそがヴィラザーンであり、ヴィラザーンこそが……ジャスティス・Ｒなのだと！			改めて名乗りを上げよう。この私、ジャスティス・Ｒこそがヴィラザーンであり、ヴィラザーンこそが……ジャスティス・Ｒなのだと！			人気はいつまで続くのか							
な、なんだか、よくわかりませんが……何故あなたを信奉する人にまで祭器の力を使ったんですか！			な、なんだか、よくわかりませんが……何故あなたを信奉する人にまで祭器の力を使ったんですか！			人気はいつまで続くのか							
祭器を知っているとは……そうか、お前サカ・トラルの集落で会った娘か。			祭器を知っているとは……そうか、お前サカ・トラルの集落で会った娘か。			人気はいつまで続くのか							
信奉者に紛れ、私への敵意を秘めた連中がいたのでな。能力に巻き込まれた者たちは「不運」だったが……			信奉者に紛れ、私への敵意を秘めた連中がいたのでな。能力に巻き込まれた者たちは「不運」だったが……			人気はいつまで続くのか							
自作自演で惹きつけた人を、自ら傷つけておいて……何がヒーローですか！			自作自演で惹きつけた人を、自ら傷つけておいて……何がヒーローですか！			人気はいつまで続くのか							
私に武器を向けるとは。あなたという英雄を尊敬すらしていたのだが……。			私に武器を向けるとは。あなたという英雄を尊敬すらしていたのだが……。			人気はいつまで続くのか							
どうやら、我らは道を違える運命だったようだ。このかつてない危機に、私の心も沸き立つ！			どうやら、我らは道を違える運命だったようだ。このかつてない危機に、私の心も沸き立つ！			人気はいつまで続くのか							
我らの対決は、きっと避けられぬであろう。しかし、それはより相応しき戦場にて……また会おう！			我らの対決は、きっと避けられぬであろう。しかし、それはより相応しき戦場にて……また会おう！			人気はいつまで続くのか							
ああ、もう！			ああ、もう！			人気はいつまで続くのか							
ア、イテッ！			ア、イテッ！			人気はいつまで続くのか							
……何があったのか、教えてもらえますか？			……何があったのか、教えてもらえますか？			人気はいつまで続くのか							
彼は集まった私たちに向けて、自分の目的を語りだしたんです。「魔物から、サベネア島を救うヒーローになるのだ」って……。			彼は集まった私たちに向けて、自分の目的を語りだしたんです。「魔物から、サベネア島を救うヒーローになるのだ」って……。			人気はいつまで続くのか							
しかし、最近の悪評が不服のようでして。私たちに、もっとジャスティス・Ｒの名声を広めて、自分を尊敬する人間を増やすのだと、熱弁を振るっていました。			しかし、最近の悪評が不服のようでして。私たちに、もっとジャスティス・Ｒの名声を広めて、自分を尊敬する人間を増やすのだと、熱弁を振るっていました。			人気はいつまで続くのか							
俺たちは、ヤツに痛い目を見せてやろうと潜り込んでたんだ。で、その高慢ちきな演説に我慢できなくなってな……。			俺たちは、ヤツに痛い目を見せてやろうと潜り込んでたんだ。で、その高慢ちきな演説に我慢できなくなってな……。			人気はいつまで続くのか							
こんなところで、お山の大将を気取っていても、星戦士団はもちろん、ほとんどの連中は相手にしていない。さっさと自作自演を認めろ、と……そう詰め寄ったんだ。			こんなところで、お山の大将を気取っていても、星戦士団はもちろん、ほとんどの連中は相手にしていない。さっさと自作自演を認めろ、と……そう詰め寄ったんだ。			人気はいつまで続くのか							
あの野郎、その脅しを意に介さず、噂に聞いた、岩石を降らせる力を使ってきやがった。だが……。			あの野郎、その脅しを意に介さず、噂に聞いた、岩石を降らせる力を使ってきやがった。だが……。			人気はいつまで続くのか							
何故かその岩は、ジャスティス・Ｒを信奉している、私たちに向けて降ってきたんです……！			何故かその岩は、ジャスティス・Ｒを信奉している、私たちに向けて降ってきたんです……！			人気はいつまで続くのか							
それを見たジャスティス・Ｒは、「この力は制御不可能なもの、戦いに犠牲はつきものだ」と、そう言いながら……笑っていました。			それを見たジャスティス・Ｒは、「この力は制御不可能なもの、戦いに犠牲はつきものだ」と、そう言いながら……笑っていました。			人気はいつまで続くのか							
驚いた私たちは、止めてくださいと必死に叫んだんですが、それが癇に障ったか、彼はさらに岩を降らせはじめて……。			驚いた私たちは、止めてくださいと必死に叫んだんですが、それが癇に障ったか、彼はさらに岩を降らせはじめて……。			人気はいつまで続くのか							
そこから先は、ひどい有様でした。この場に集まった全員、大なり小なり岩石の被害を受けて、動けずにいたところに、おふたりが現れたんです。			そこから先は、ひどい有様でした。この場に集まった全員、大なり小なり岩石の被害を受けて、動けずにいたところに、おふたりが現れたんです。			人気はいつまで続くのか							
なるほど……。お話しいただき、ありがとうございます。			なるほど……。お話しいただき、ありがとうございます。			人気はいつまで続くのか							
最後に、ひとつ確認なんですが……先に武器を出して脅迫をしたのは、あなたたちなんですね？			最後に、ひとつ確認なんですが……先に武器を出して脅迫をしたのは、あなたたちなんですね？			人気はいつまで続くのか							
あ、ああ……間違いないが、それもすべては、ジャスティス・Ｒの悪事を暴くためというか、ごく個人的な恨みを晴らすためというか……。			あ、ああ……間違いないが、それもすべては、ジャスティス・Ｒの悪事を暴くためというか、ごく個人的な恨みを晴らすためというか……。			人気はいつまで続くのか							
パーラカの里に向かう前、星戦士団にお願いしておいたんです。里の周囲を警戒しておいてほしいって。			パーラカの里に向かう前、星戦士団にお願いしておいたんです。里の周囲を警戒しておいてほしいって。			人気はいつまで続くのか							
外に戻ったら、きっと待ち構えていると思うので、今と同じ話を星戦士団の人に聞かせてあげてください。			外に戻ったら、きっと待ち構えていると思うので、今と同じ話を星戦士団の人に聞かせてあげてください。			人気はいつまで続くのか							
皆さん、星戦士団に連れていかれました。ゴロツキの方々は、ヴィラザーンに武器を向けたことよりも、過去の強盗行為などについて調べられるそうです。			皆さん、星戦士団に連れていかれました。ゴロツキの方々は、ヴィラザーンに武器を向けたことよりも、過去の強盗行為などについて調べられるそうです。			人気はいつまで続くのか							
信奉者の中には、大きな怪我を負った者もいました。死者が出なかったことは、不幸中の幸いでしたが……			信奉者の中には、大きな怪我を負った者もいました。死者が出なかったことは、不幸中の幸いでしたが……			人気はいつまで続くのか							
……嫌ですね、幸運とか、不幸とか。「所持者に幸運が訪れるが、周囲に不幸をもたらす」という、祭器の逸話どおりになってしまっているようで。			……嫌ですね、幸運とか、不幸とか。「所持者に幸運が訪れるが、周囲に不幸をもたらす」という、祭器の逸話どおりになってしまっているようで。			人気はいつまで続くのか							
ですが、この一件もまた、残る信奉者たちの目を覚ますきっかけになるはず……。私たちも、拠点にしているイェドリマンに戻りましょう。			ですが、この一件もまた、残る信奉者たちの目を覚ますきっかけになるはず……。私たちも、拠点にしているイェドリマンに戻りましょう。			人気はいつまで続くのか							
さて……落ち着いたところで、情報を整理しましょう。まず、これまでの調査から私たちが予想していたとおり、落石は祭器の力によるものでした。			さて……落ち着いたところで、情報を整理しましょう。まず、これまでの調査から私たちが予想していたとおり、落石は祭器の力によるものでした。			人気はいつまで続くのか							
落ちていた岩石の質からして、周囲から転移させているのではないかという仮説も、正しいと考えてよさそうです。			落ちていた岩石の質からして、周囲から転移させているのではないかという仮説も、正しいと考えてよさそうです。			人気はいつまで続くのか							
ただ命中精度については、怪しいところ。祭器を持つヴィラザーンに当たることはありませんでしたが、ゴロツキだけでなく、信奉者まで巻き込んでいましたから……。			ただ命中精度については、怪しいところ。祭器を持つヴィラザーンに当たることはありませんでしたが、ゴロツキだけでなく、信奉者まで巻き込んでいましたから……。			人気はいつまで続くのか							
あと、以前調査した岩石よりも、今回ウズネアカナルで見た岩石の方が大きかったような……。気のせいかもしれませんが、頭の片隅に留めておこうと思います。			あと、以前調査した岩石よりも、今回ウズネアカナルで見た岩石の方が大きかったような……。気のせいかもしれませんが、頭の片隅に留めておこうと思います。			人気はいつまで続くのか							
残る謎としては、能力の発動条件がまだわかっていませんね。この点についても、引き続き調査を進めておかないと。			残る謎としては、能力の発動条件がまだわかっていませんね。この点についても、引き続き調査を進めておかないと。			人気はいつまで続くのか							
そして……直接、ヴィラザーンと向かい合い実感しました。その思想は、彼のお父さんが語っていたとおり、ひどく薄っぺらいものにすぎないと。			そして……直接、ヴィラザーンと向かい合い実感しました。その思想は、彼のお父さんが語っていたとおり、ひどく薄っぺらいものにすぎないと。			人気はいつまで続くのか							
ヒーローを自称してはいても、本気で周囲の人を慮る様子はなく、人気を得たいという虚栄心だけが強い……。			ヒーローを自称してはいても、本気で周囲の人を慮る様子はなく、人気を得たいという虚栄心だけが強い……。			人気はいつまで続くのか							
ですが、熱心な信奉者すら、今回の一件で、彼の下を離れていくのは確実です……。ヴィラザーンは、追い詰められた状態と言っていいでしょう。			ですが、熱心な信奉者すら、今回の一件で、彼の下を離れていくのは確実です……。ヴィラザーンは、追い詰められた状態と言っていいでしょう。			人気はいつまで続くのか							
それだけに今後、彼が何をしでかすのか不安です。自暴自棄になって、あの祭器の力を無差別に使われたら、どんな被害が出ることか……。			それだけに今後、彼が何をしでかすのか不安です。自暴自棄になって、あの祭器の力を無差別に使われたら、どんな被害が出ることか……。			人気はいつまで続くのか							
とにかく私は、星戦士団の皆さんと協力して、ジャスティス・Rことヴィラザーンの行方を追ってみます。新たな情報が入るまで、お待ちくださいね……！			とにかく私は、星戦士団の皆さんと協力して、ジャスティス・Rことヴィラザーンの行方を追ってみます。新たな情報が入るまで、お待ちくださいね……！			人気はいつまで続くのか							
次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「サカ・トラルへ」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「サカ・トラルへ」を完了する必要があります。			人気はいつまで続くのか							
イェドリマンのテペケは、手紙が届いたことを報告したいようだ。			イェドリマンのテペケは、手紙が届いたことを報告したいようだ。			人気の裏に隠された素顔							
手紙は、意識がなかったテペケの父親が目を覚ましたという知らせだった。テペケに代わり、トライヨラのシャバーブチェにいる「ズーヘ」と話そう。			手紙は、意識がなかったテペケの父親が目を覚ましたという知らせだった。テペケに代わり、トライヨラのシャバーブチェにいる「ズーヘ」と話そう。			人気の裏に隠された素顔							
テペケの父親の居場所を聞いた。シャーローニ荒野のパリヨーナン沃野で父親の「ネッゼ」を探そう。			テペケの父親の居場所を聞いた。シャーローニ荒野のパリヨーナン沃野で父親の「ネッゼ」を探そう。			人気の裏に隠された素顔							
ネッゼを襲う魔物を倒した。パリヨーナン沃野で「ネッゼ」を救助しよう。			ネッゼを襲う魔物を倒した。パリヨーナン沃野で「ネッゼ」を救助しよう。			人気の裏に隠された素顔							
ネッゼと、祭器の能力を発動させる条件について話した。ラザハンのエーテライト・プラザにいる「テペケ」と話そう。			ネッゼと、祭器の能力を発動させる条件について話した。ラザハンのエーテライト・プラザにいる「テペケ」と話そう。			人気の裏に隠された素顔							
