トライヨラの武の院のマムージャ族は、冒険者のことを探しているようだ。			トライヨラの武の院のマムージャ族は、冒険者のことを探しているようだ。			トラル大陸のモブハント（初級）							
サボテンダーバレーの奥地までを調査し、ヨカフイ族とも異なる様式の古代遺跡と、覚醒した大蛇らしき存在を発見した。パリヨーナン沃野で待機している「ゼイキハン」と話そう。			サボテンダーバレーの奥地までを調査し、ヨカフイ族とも異なる様式の古代遺跡と、覚醒した大蛇らしき存在を発見した。パリヨーナン沃野で待機している「ゼイキハン」と話そう。			荒野秘境 サボテンダーバレー							
ゼイキハンは、サボテンダーバレーの地下遺跡について、鏡像世界と近似する文明であるのではとの大胆な仮説を立てているようだ。ヨカフイ族からも証言を得るため、オルコ・パチャのウォーラーの残響で「ゼイキハン」と合流しよう。			ゼイキハンは、サボテンダーバレーの地下遺跡について、鏡像世界と近似する文明であるのではとの大胆な仮説を立てているようだ。ヨカフイ族からも証言を得るため、オルコ・パチャのウォーラーの残響で「ゼイキハン」と合流しよう。			荒野秘境 サボテンダーバレー							
ゼイキハンと合流し、ヨカフイ族の古い伝承に詳しい祭拝殿の語り部を紹介された。荒野の遺跡についての伝承を聞きとるべく、オルコ・パチャの忘れじの深奥で「祭拝殿の語り部」と話そう。			ゼイキハンと合流し、ヨカフイ族の古い伝承に詳しい祭拝殿の語り部を紹介された。荒野の遺跡についての伝承を聞きとるべく、オルコ・パチャの忘れじの深奥で「祭拝殿の語り部」と話そう。			荒野秘境 サボテンダーバレー							
祭拝殿の語り部からヨカフイ族の伝承を聞き、ゼイキハンはサボテンダーバレー遺跡についての仮説に自信を深めたようだ。彼はこれからさらなる調査を行い、遺跡の謎に挑んでいくつもりだという。そして遺跡に現れた大蛇らしき存在は、これからも悠久の歴史と冒険者の果てなき旅路を見守っている……のかもしれない。			祭拝殿の語り部からヨカフイ族の伝承を聞き、ゼイキハンはサボテンダーバレー遺跡についての仮説に自信を深めたようだ。彼はこれからさらなる調査を行い、遺跡の謎に挑んでいくつもりだという。そして遺跡に現れた大蛇らしき存在は、これからも悠久の歴史と冒険者の果てなき旅路を見守っている……のかもしれない。			荒野秘境 サボテンダーバレー							
パリヨーナン沃野のゼイキハンと話す			パリヨーナン沃野のゼイキハンと話す			荒野秘境 サボテンダーバレー							
「荒野秘境 サボテンダーバレー」を攻略			「荒野秘境 サボテンダーバレー」を攻略			荒野秘境 サボテンダーバレー							
ゼイキハンと話す			ゼイキハンと話す			荒野秘境 サボテンダーバレー							
ウォーラーの残響のゼイキハンと話す			ウォーラーの残響のゼイキハンと話す			荒野秘境 サボテンダーバレー							
祭拝殿の語り部と話す			祭拝殿の語り部と話す			荒野秘境 サボテンダーバレー							
やぁ、もしやForenameくんでは！？ここにいれば出会えるのではと、待ち構えていたのだよ……ぜひとも、キミのような御仁に頼みたいことがあってね。			やぁ、もしやForenameくんでは！？ここにいれば出会えるのではと、待ち構えていたのだよ……ぜひとも、キミのような御仁に頼みたいことがあってね。			荒野秘境 サボテンダーバレー							
おっと失敬、私はゼイキハンという。シャーレアン魔法大学で考古学部教授の任にあり、前理王の招聘のもと、トラル大陸各地で発掘調査を行っている。			おっと失敬、私はゼイキハンという。シャーレアン魔法大学で考古学部教授の任にあり、前理王の招聘のもと、トラル大陸各地で発掘調査を行っている。			荒野秘境 サボテンダーバレー							
連王宮からのツテで、冒険者として名高いキミが、ここトラル大陸に渡ってきていると聞いたものでね。トラル史の開拓のため、その手を貸してほしいのだ。			連王宮からのツテで、冒険者として名高いキミが、ここトラル大陸に渡ってきていると聞いたものでね。トラル史の開拓のため、その手を貸してほしいのだ。			荒野秘境 サボテンダーバレー							
というのも実は……私は最近、サカ・トラルの荒野に眠る古代遺跡を発見したのだよッ！！			というのも実は……私は最近、サカ・トラルの荒野に眠る古代遺跡を発見したのだよッ！！			荒野秘境 サボテンダーバレー							
とある筋の情報から、場所にアタリをつけ、気球で上空を飛び、見事、千年近く所在の失われていた遺跡を探し当てた！しかし、そこまではよかったのだがね……。			とある筋の情報から、場所にアタリをつけ、気球で上空を飛び、見事、千年近く所在の失われていた遺跡を探し当てた！しかし、そこまではよかったのだがね……。			荒野秘境 サボテンダーバレー							
意気揚々、護衛を連れ調査に赴いたが、良き旅路とはならず……。遺跡の半ばまで進んだものの、手強き魔物たちに阻まれ、命からがら、逃げ帰ってきたのだ。			意気揚々、護衛を連れ調査に赴いたが、良き旅路とはならず……。遺跡の半ばまで進んだものの、手強き魔物たちに阻まれ、命からがら、逃げ帰ってきたのだ。			荒野秘境 サボテンダーバレー							
キミならば、謎眠る遺跡の最深部へも到達できることだろう……。どうかな、私の調査への協力を兼ねて、さらなる冒険に踏み出してはみないかね！？			キミならば、謎眠る遺跡の最深部へも到達できることだろう……。どうかな、私の調査への協力を兼ねて、さらなる冒険に踏み出してはみないかね！？			荒野秘境 サボテンダーバレー							
うむ、そう答えてくれると信じていたとも！遺跡は、シャーローニ荒野にてまずトーリ湖へ向かい、北の川を辿った先にあるゆえ、かの地で合流できればありがたい！			うむ、そう答えてくれると信じていたとも！遺跡は、シャーローニ荒野にてまずトーリ湖へ向かい、北の川を辿った先にあるゆえ、かの地で合流できればありがたい！			荒野秘境 サボテンダーバレー							
来てくれたか、感謝するぞ！秘されし歴史が眠るのは、この川の上流にある渓谷……			来てくれたか、感謝するぞ！秘されし歴史が眠るのは、この川の上流にある渓谷……			荒野秘境 サボテンダーバレー							
人呼んで「サボテンダーバレー」……！！動かざるサボテンと、動き回るサボテンダーで満ち溢れた、世界に類を見ない土地なのだッ！			人呼んで「サボテンダーバレー」……！！動かざるサボテンと、動き回るサボテンダーで満ち溢れた、世界に類を見ない土地なのだッ！			荒野秘境 サボテンダーバレー							
目標とする遺跡が長い年月、忘れ去られていたのは、言わずもがな、その周囲の環境ゆえと言えよう……！誰も針まみれになりたくなど、ないからな！			目標とする遺跡が長い年月、忘れ去られていたのは、言わずもがな、その周囲の環境ゆえと言えよう……！誰も針まみれになりたくなど、ないからな！			荒野秘境 サボテンダーバレー							
奥地に鎮座する遺跡は、ヨカフイ族の旧址と推測されるが、進むうち、研究者である私すら未知の意匠も見かけられた。何とも、新発見の気配に満ちているというわけだ！			奥地に鎮座する遺跡は、ヨカフイ族の旧址と推測されるが、進むうち、研究者である私すら未知の意匠も見かけられた。何とも、新発見の気配に満ちているというわけだ！			荒野秘境 サボテンダーバレー							
しかし、当の遺跡自体にも防衛機構が現存しているのが厄介だ。私が雇った護衛では、まるで歯が立たなかったほど……どうか気をつけてくれたまえよ。			しかし、当の遺跡自体にも防衛機構が現存しているのが厄介だ。私が雇った護衛では、まるで歯が立たなかったほど……どうか気をつけてくれたまえよ。			荒野秘境 サボテンダーバレー							
そういえば……前回撤退時の道すがら、書き溜めてきた調査記録の一部を、落としてしまったようでな。もし君が考古学的観点に興味があるなら、探してみてくれたまえ。			そういえば……前回撤退時の道すがら、書き溜めてきた調査記録の一部を、落としてしまったようでな。もし君が考古学的観点に興味があるなら、探してみてくれたまえ。			荒野秘境 サボテンダーバレー							
私は、ここで待機させてもらっているよ。遺跡に眠る謎を最初に発見する栄誉は、キミに託そう……世界の歴史のロマンを、ぜひとも存分に味わってくるといい！			私は、ここで待機させてもらっているよ。遺跡に眠る謎を最初に発見する栄誉は、キミに託そう……世界の歴史のロマンを、ぜひとも存分に味わってくるといい！			荒野秘境 サボテンダーバレー							
調査に加わりたい気持ちもあるが、私がいては、足手まといになってしまうことだろう……。遺跡の安全が確保された後、改めて調査隊を結成させてもらうさ。			調査に加わりたい気持ちもあるが、私がいては、足手まといになってしまうことだろう……。遺跡の安全が確保された後、改めて調査隊を結成させてもらうさ。			荒野秘境 サボテンダーバレー							
無事戻ったのだな、恐ろしい遺跡だったろう。あのサボテンダーの針ときたら……しばらくの鋭い痛みののち、私の長年の腰痛を、すっかり取り去っていったのだからな……ッ！			無事戻ったのだな、恐ろしい遺跡だったろう。あのサボテンダーの針ときたら……しばらくの鋭い痛みののち、私の長年の腰痛を、すっかり取り去っていったのだからな……ッ！			荒野秘境 サボテンダーバレー							
さぁ、キミはどこまで到達し、そして何を見たのだ！？遺跡で何が待ち受けていたのか、教えてくれ！！			さぁ、キミはどこまで到達し、そして何を見たのだ！？遺跡で何が待ち受けていたのか、教えてくれ！！			荒野秘境 サボテンダーバレー							
なるほどなるほど、それは大変興味深い……！ヨカフイ文明の遺跡の奥に、異なる様式の遺跡が続き、その最奥で大蛇……らしき生物と出会い、戦ったとは……！			なるほどなるほど、それは大変興味深い……！ヨカフイ文明の遺跡の奥に、異なる様式の遺跡が続き、その最奥で大蛇……らしき生物と出会い、戦ったとは……！			荒野秘境 サボテンダーバレー							
サカ・トラル史にとって重要な発見であることは、すでに間違いがないと言えるだろう。キミは遺跡の奥で目撃したものについて、どう思ったかね？			サカ・トラル史にとって重要な発見であることは、すでに間違いがないと言えるだろう。キミは遺跡の奥で目撃したものについて、どう思ったかね？			荒野秘境 サボテンダーバレー							
何と答える？			何と答える？			荒野秘境 サボテンダーバレー							
ヨカフイ族よりもっと古い時代の遺跡だろう			ヨカフイ族よりもっと古い時代の遺跡だろう			荒野秘境 サボテンダーバレー							
鏡像世界で見たロンカ遺跡がよく似ていた			鏡像世界で見たロンカ遺跡がよく似ていた			荒野秘境 サボテンダーバレー							
なんかすごい感じがした			なんかすごい感じがした			荒野秘境 サボテンダーバレー							
大蛇様こそ、荒野の聖詩に記されし存在ッ！			大蛇様こそ、荒野の聖詩に記されし存在ッ！			荒野秘境 サボテンダーバレー							
おお、私の予想していたところもまったく同じだ！他のヨカフイ族の遺跡に比して、驚くべき魔法機構の数々……何らかの先行する文明を手本にしたに違いないと感じたからね。			おお、私の予想していたところもまったく同じだ！他のヨカフイ族の遺跡に比して、驚くべき魔法機構の数々……何らかの先行する文明を手本にしたに違いないと感じたからね。			荒野秘境 サボテンダーバレー							
今、何と言ったかね！？鏡像世界のロンカ遺跡だと……それは、大変貴重な証言となるぞ！			今、何と言ったかね！？鏡像世界のロンカ遺跡だと……それは、大変貴重な証言となるぞ！			荒野秘境 サボテンダーバレー							
太古の遺跡を目にし、荘厳さに身が打ち震えたわけだな……！まさに、キミのその感覚こそ遺跡の神秘を証明するもの……これは西紀の大発見と言って過言ではないだろう！			太古の遺跡を目にし、荘厳さに身が打ち震えたわけだな……！まさに、キミのその感覚こそ遺跡の神秘を証明するもの……これは西紀の大発見と言って過言ではないだろう！			荒野秘境 サボテンダーバレー							
ヨカフイの導師が記したとされる伝説の碑文を知っているのか！？まだ解読は進んでいないが、56章3節の存在が大蛇であれば……しかし、キミの知見の広さにはまったく恐れ入るよ！			ヨカフイの導師が記したとされる伝説の碑文を知っているのか！？まだ解読は進んでいないが、56章3節の存在が大蛇であれば……しかし、キミの知見の広さにはまったく恐れ入るよ！			荒野秘境 サボテンダーバレー							
実に興味深い……ッ！！ヨカフイ族は、大いなる力を秘めた存在を目にし、畏れ、敬い、敬意を以て遺跡を覆うように神殿を築いたのだろう。			実に興味深い……ッ！！ヨカフイ族は、大いなる力を秘めた存在を目にし、畏れ、敬い、敬意を以て遺跡を覆うように神殿を築いたのだろう。			荒野秘境 サボテンダーバレー							
これは、かねてよりの私の仮説を証明する機会となるかもしれん！すなわち「鏡像世界間における文明近似発展説」を、裏付けていくことができるとしたら……！			これは、かねてよりの私の仮説を証明する機会となるかもしれん！すなわち「鏡像世界間における文明近似発展説」を、裏付けていくことができるとしたら……！			荒野秘境 サボテンダーバレー							
私も魔法大学の教授だからな。我々が住まう原初世界と、分かたれた鏡像世界の関係、そこに生じた文明についての「暁」の報告書は読ませてもらった。			私も魔法大学の教授だからな。我々が住まう原初世界と、分かたれた鏡像世界の関係、そこに生じた文明についての「暁」の報告書は読ませてもらった。			荒野秘境 サボテンダーバレー							
それによれば、世界分割で人類は獣の如くに知性が低下し、かつての優れた文明は忘れられてしまったそうだな。そして鏡像世界は独自の道を歩み、各個に文明が生まれた……と。			それによれば、世界分割で人類は獣の如くに知性が低下し、かつての優れた文明は忘れられてしまったそうだな。そして鏡像世界は独自の道を歩み、各個に文明が生まれた……と。			荒野秘境 サボテンダーバレー							
だがそれらの文明は、まるで共通点のない別物と言えるだろうか？我々が古代世界から分かたれた同一の存在であれば、文明の推移、文化の発想に類似性があるほうが、むしろ自然では？			だがそれらの文明は、まるで共通点のない別物と言えるだろうか？我々が古代世界から分かたれた同一の存在であれば、文明の推移、文化の発想に類似性があるほうが、むしろ自然では？			荒野秘境 サボテンダーバレー							
つまりだな、ヨカフイ族が栄えるより遥かに昔……鏡像世界の古代ロンカと共通要素を持つ文明が生じたとしても、有り得ないことではないと、私はそう訴えたいのだよ！			つまりだな、ヨカフイ族が栄えるより遥かに昔……鏡像世界の古代ロンカと共通要素を持つ文明が生じたとしても、有り得ないことではないと、私はそう訴えたいのだよ！			荒野秘境 サボテンダーバレー							
無論、さながら別世界に生まれた双子とも呼べるふたつの文明が、異なる環境下でどう発展したか、より調査の必要はあるだろう。だが今回の発見を以て、私の仮説を補強していくには申し分ない！			無論、さながら別世界に生まれた双子とも呼べるふたつの文明が、異なる環境下でどう発展したか、より調査の必要はあるだろう。だが今回の発見を以て、私の仮説を補強していくには申し分ない！			荒野秘境 サボテンダーバレー							
ところで、もう少しばかり付き合ってはもらえんか？その足で異世界へと渡り、その目で古代ロンカの遺構を見てきた、事情に通じたキミならではの見識を借りたいのだ。			ところで、もう少しばかり付き合ってはもらえんか？その足で異世界へと渡り、その目で古代ロンカの遺構を見てきた、事情に通じたキミならではの見識を借りたいのだ。			荒野秘境 サボテンダーバレー							
私は、これより現代に生きるヨカフイ族の里を訪ねようと思う。もしよければ「ウォーラーの残響」に来てくれたまえ、共に彼らの伝承を聞き、文明の類似点を探ろうではないか！			私は、これより現代に生きるヨカフイ族の里を訪ねようと思う。もしよければ「ウォーラーの残響」に来てくれたまえ、共に彼らの伝承を聞き、文明の類似点を探ろうではないか！			荒野秘境 サボテンダーバレー							
ゼイキハン殿から、次第は拝聴したところ。さて、役立てることがあればよいが……。			ゼイキハン殿から、次第は拝聴したところ。さて、役立てることがあればよいが……。			荒野秘境 サボテンダーバレー							
来てくれたか、足労であったな。私はアルパカに乗りどおしの旅路だったが、サボテンダーの針治療が効いたのか、腰も痛まず済んでいるよ。			来てくれたか、足労であったな。私はアルパカに乗りどおしの旅路だったが、サボテンダーの針治療が効いたのか、腰も痛まず済んでいるよ。			荒野秘境 サボテンダーバレー							
さて、こちらがヨカフイ族の祭司殿……。シャーローニ荒野にヨカフイ族遺跡が残存する可能性を、私に教示くださった方でもある。			さて、こちらがヨカフイ族の祭司殿……。シャーローニ荒野にヨカフイ族遺跡が残存する可能性を、私に教示くださった方でもある。			荒野秘境 サボテンダーバレー							
以前にフィールドワークで、ここを訪れたとき世話になってな。古の伝承にも通じておられる、大変博識な御仁なのだ。			以前にフィールドワークで、ここを訪れたとき世話になってな。古の伝承にも通じておられる、大変博識な御仁なのだ。			荒野秘境 サボテンダーバレー							
さて、サカ・トラルで見つかった遺跡については、すでにお伝えしたとおりだが……。どうだろう、何か類似する伝承はあるだろうか？			さて、サカ・トラルで見つかった遺跡については、すでにお伝えしたとおりだが……。どうだろう、何か類似する伝承はあるだろうか？			荒野秘境 サボテンダーバレー							
かつて祖先が行った北進にまつわる逸話は、病に関わることを除いては、さほど多く語り継がれてはおらん。			かつて祖先が行った北進にまつわる逸話は、病に関わることを除いては、さほど多く語り継がれてはおらん。			荒野秘境 サボテンダーバレー							
だが何より、ヴァリガルマンダを打倒せし恩人のためならば……大蛇にまつわる秘められし伝承を、喜んで語り聞かせよう。「忘れじの深奥」の、壁画のもとへ来てもらいたい。			だが何より、ヴァリガルマンダを打倒せし恩人のためならば……大蛇にまつわる秘められし伝承を、喜んで語り聞かせよう。「忘れじの深奥」の、壁画のもとへ来てもらいたい。			荒野秘境 サボテンダーバレー							
これがヨカフイ族の伝承が刻まれた壁画……！前回、この地を訪れたときには、ここまで入らせてはもらえなかったのだよ……！			これがヨカフイ族の伝承が刻まれた壁画……！前回、この地を訪れたときには、ここまで入らせてはもらえなかったのだよ……！			荒野秘境 サボテンダーバレー							
この壁画にも、我らに伝わる大蛇の逸話が秘められている。どれ、貴殿らにも注目してもらいながら語ろうぞ……。			この壁画にも、我らに伝わる大蛇の逸話が秘められている。どれ、貴殿らにも注目してもらいながら語ろうぞ……。			荒野秘境 サボテンダーバレー							
その昔、北の大地に進出したヨカフイの一派が、とある谷の奥深くにて、太古の昔に築かれた遺跡を発見した。			その昔、北の大地に進出したヨカフイの一派が、とある谷の奥深くにて、太古の昔に築かれた遺跡を発見した。			荒野秘境 サボテンダーバレー							
すでに住む者はなく、いったい何者が何のために築いたのかすらわからぬ。その遺跡の最奥にて、祖先は眠れる大蛇と出会ったという。			すでに住む者はなく、いったい何者が何のために築いたのかすらわからぬ。その遺跡の最奥にて、祖先は眠れる大蛇と出会ったという。			荒野秘境 サボテンダーバレー							
蛇とは、世界の果てを司ると考えられた神聖な獣……。眠れる大蛇から、大いなる力を感じ取った祖先たちは、加護を求め、古き遺跡を囲うよう地上に神殿を築いたのだ。			蛇とは、世界の果てを司ると考えられた神聖な獣……。眠れる大蛇から、大いなる力を感じ取った祖先たちは、加護を求め、古き遺跡を囲うよう地上に神殿を築いたのだ。			荒野秘境 サボテンダーバレー							
しかしその後、ヨカフイ族を病が襲った。祖先たちは壺深くで眠り続ける大蛇に救いを求めたが、いかに祈りを捧げようとも、目覚めることはなし。			しかしその後、ヨカフイ族を病が襲った。祖先たちは壺深くで眠り続ける大蛇に救いを求めたが、いかに祈りを捧げようとも、目覚めることはなし。			荒野秘境 サボテンダーバレー							
やがて、ヨカフイの主流派は北の大地からの撤退を決める。大蛇を信仰する一派だけが、かの地に残り続けるも、最後には葬列にも似た撤退の道に加わったという……。			やがて、ヨカフイの主流派は北の大地からの撤退を決める。大蛇を信仰する一派だけが、かの地に残り続けるも、最後には葬列にも似た撤退の道に加わったという……。			荒野秘境 サボテンダーバレー							
ふむ……遺跡の一派は大蛇の目覚めを乞い続けたが、当の大蛇といえばグースカと寝続け、救いなど与えなかったと。			ふむ……遺跡の一派は大蛇の目覚めを乞い続けたが、当の大蛇といえばグースカと寝続け、救いなど与えなかったと。			荒野秘境 サボテンダーバレー							
しかし、なぜ今になって目覚めたのだ？その上キミの話では、随分荒ぶる様子だったとか……寝起きで機嫌を損ねでもしていたか、他の意味合いがあったのか。			しかし、なぜ今になって目覚めたのだ？その上キミの話では、随分荒ぶる様子だったとか……寝起きで機嫌を損ねでもしていたか、他の意味合いがあったのか。			荒野秘境 サボテンダーバレー							
かつての、かの神殿を築いたヨカフイたちの思想では、『聖なる蛇が目覚めるとき、世界は広がる』と考えられたという。大蛇の発見こそ、北進に正当性を与えるものと当て嵌めた訳だ。			かつての、かの神殿を築いたヨカフイたちの思想では、『聖なる蛇が目覚めるとき、世界は広がる』と考えられたという。大蛇の発見こそ、北進に正当性を与えるものと当て嵌めた訳だ。			荒野秘境 サボテンダーバレー							
だが、彼らの祈りには瞼すら開かず、我らが恩人の前では覚醒したとは……実に興味深い。			だが、彼らの祈りには瞼すら開かず、我らが恩人の前では覚醒したとは……実に興味深い。			荒野秘境 サボテンダーバレー							
此度、遭遇したとの存在が、まことに聖なる蛇なのであれば……貴殿にこそ、その加護が与えられるのかもしれぬな。			此度、遭遇したとの存在が、まことに聖なる蛇なのであれば……貴殿にこそ、その加護が与えられるのかもしれぬな。			荒野秘境 サボテンダーバレー							
ふむ、異世界を渡り歩く冒険者が、世界の果てを司る存在に祝福されたと考えれば、遺跡の一派が掲げた解釈ともピタリと一致するが、はてさて……！			ふむ、異世界を渡り歩く冒険者が、世界の果てを司る存在に祝福されたと考えれば、遺跡の一派が掲げた解釈ともピタリと一致するが、はてさて……！			荒野秘境 サボテンダーバレー							
ともかくだ、Forenameくんの証言と、ヨカフイ族に伝わる伝承は、非常に重要な要素となりそうだ。我が新説を検証していく上で、欠かせぬことだろう。			ともかくだ、Forenameくんの証言と、ヨカフイ族に伝わる伝承は、非常に重要な要素となりそうだ。我が新説を検証していく上で、欠かせぬことだろう。			荒野秘境 サボテンダーバレー							
次元をまたいだ、ふたつの文明の共通点を証明し、「鏡像世界間における文明近似発展説」を確立できれば……より広い視野での世界史を、切り拓いていけるだろうとも！			次元をまたいだ、ふたつの文明の共通点を証明し、「鏡像世界間における文明近似発展説」を確立できれば……より広い視野での世界史を、切り拓いていけるだろうとも！			荒野秘境 サボテンダーバレー							
加えて文明発生過程も、世界分割から間もなく発展が近似したか、ヴォイドクラックのような局所的な異世界との繋がりがあったか、はたまた、異能の夢見師的存在が異なる世界を覗いたのか……			加えて文明発生過程も、世界分割から間もなく発展が近似したか、ヴォイドクラックのような局所的な異世界との繋がりがあったか、はたまた、異能の夢見師的存在が異なる世界を覗いたのか……			荒野秘境 サボテンダーバレー							
何が世界の隔たりを超えて我々を繋いだのか、考えるだけで胸が高鳴るというものだ。実にッ……実に興味深いことだよ、キミたち！！			何が世界の隔たりを超えて我々を繋いだのか、考えるだけで胸が高鳴るというものだ。実にッ……実に興味深いことだよ、キミたち！！			荒野秘境 サボテンダーバレー							
さぁて、これから忙しくなるぞ！キミが安全を確保してくれた遺跡の再調査を行いつつ、論文執筆に向けて動き出すとしよう！			さぁて、これから忙しくなるぞ！キミが安全を確保してくれた遺跡の再調査を行いつつ、論文執筆に向けて動き出すとしよう！			荒野秘境 サボテンダーバレー							
Forenameくんも、祭司殿も、此度の協力、まことにありがとう！私が世界のふしぎを追う限り、また何処かで会えることだろう！			Forenameくんも、祭司殿も、此度の協力、まことにありがとう！私が世界のふしぎを追う限り、また何処かで会えることだろう！			荒野秘境 サボテンダーバレー							
特殊ルール： レベルアジャスト翼鏡の街にいるマムージャ族の子どもは、信用できる大人を探しているようだ。			特殊ルール： レベルアジャスト翼鏡の街にいるマムージャ族の子どもは、信用できる大人を探しているようだ。			丘より見ゆる、絵になる街							
マムージャ族の子どもと話して同行させる			マムージャ族の子どもと話して同行させる			丘より見ゆる、絵になる街							
マムージャ族の子どもを連れてシャトナ族の画家と話す			マムージャ族の子どもを連れてシャトナ族の画家と話す			丘より見ゆる、絵になる街							
お姉お兄ちゃん、お願いがあるんだけど……聞いてもらえる？			お姉お兄ちゃん、お願いがあるんだけど……聞いてもらえる？			丘より見ゆる、絵になる街							
さっき、ベイサイド・ベヴィーで会ったシャトナ族の画家さんに、この街の風景を描いた、素敵な絵を貰ったんだ。母ちゃんに見せたら、すごく気に入ってくれてさ！			さっき、ベイサイド・ベヴィーで会ったシャトナ族の画家さんに、この街の風景を描いた、素敵な絵を貰ったんだ。母ちゃんに見せたら、すごく気に入ってくれてさ！			丘より見ゆる、絵になる街							
お礼に果物を持っていきなって言われたんだけど、会った場所には、もういなくなってて……。お姉お兄ちゃん、一緒に探してくれないかな？			お礼に果物を持っていきなって言われたんだけど、会った場所には、もういなくなってて……。お姉お兄ちゃん、一緒に探してくれないかな？			丘より見ゆる、絵になる街							
やった、ありがとう！画家さんは、この絵の景色をもう一枚描くつもりって言ってたよ。			やった、ありがとう！画家さんは、この絵の景色をもう一枚描くつもりって言ってたよ。			丘より見ゆる、絵になる街							
多分、この場所で絵を描いてるんじゃないかな……。お姉お兄ちゃんの準備ができたら、出発しよう！			多分、この場所で絵を描いてるんじゃないかな……。お姉お兄ちゃんの準備ができたら、出発しよう！			丘より見ゆる、絵になる街							
それじゃ、画家さんを探しにいこう！この絵、建物の屋根や港を上から見下ろしてるから……翼鏡の街を、もっと登った先にいると思うんだ。			それじゃ、画家さんを探しにいこう！この絵、建物の屋根や港を上から見下ろしてるから……翼鏡の街を、もっと登った先にいると思うんだ。			丘より見ゆる、絵になる街							
「高台からの風景画」を預かった。アイテムを使用することで、描かれた場所のヒントを確認できるようだ。			「高台からの風景画」を預かった。アイテムを使用することで、描かれた場所のヒントを確認できるようだ。			丘より見ゆる、絵になる街							
トライヨラの街並みが、高台から描かれているようだ。この絵の風景が見える場所へ、シャトナ族の画家を探しに行こう。			トライヨラの街並みが、高台から描かれているようだ。この絵の風景が見える場所へ、シャトナ族の画家を探しに行こう。			丘より見ゆる、絵になる街							
このクエストを進行させるには、マムージャ族の子どもが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			このクエストを進行させるには、マムージャ族の子どもが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			丘より見ゆる、絵になる街							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			丘より見ゆる、絵になる街							
何をする？			何をする？			丘より見ゆる、絵になる街							
話す			話す			丘より見ゆる、絵になる街							
同行状態を解除する			同行状態を解除する			丘より見ゆる、絵になる街							
キャンセル			キャンセル			丘より見ゆる、絵になる街							
翼鏡の街は、いろんな色をしたおうちがあるでしょ？鳥の翼にあるキレイな色の羽を、翼鏡って言うらしいんだけど、そんなふうにカラフルな場所だから名前がつけられたんだって！			翼鏡の街は、いろんな色をしたおうちがあるでしょ？鳥の翼にあるキレイな色の羽を、翼鏡って言うらしいんだけど、そんなふうにカラフルな場所だから名前がつけられたんだって！			丘より見ゆる、絵になる街							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			丘より見ゆる、絵になる街							
あれ、何かご用？それなら「翼鏡の街」の、坂下の入口のほうで待ってるね！			あれ、何かご用？それなら「翼鏡の街」の、坂下の入口のほうで待ってるね！			丘より見ゆる、絵になる街							
お姉お兄ちゃん、もう行けそう？それじゃ、シャトナ族の画家さんを探しにいこう！			お姉お兄ちゃん、もう行けそう？それじゃ、シャトナ族の画家さんを探しにいこう！			丘より見ゆる、絵になる街							
おや、あなたは……？先ほど会った子まで……。			おや、あなたは……？先ほど会った子まで……。			丘より見ゆる、絵になる街							
画家さん、やっと見つけた……！素敵な絵をくれたお礼に、この果物を渡したかったの！			画家さん、やっと見つけた……！素敵な絵をくれたお礼に、この果物を渡したかったの！			丘より見ゆる、絵になる街							
おやおや……それで、私を探しにきてくれたのかい？あの絵は習作だし、気に入ってくれて私も嬉しかったのだから、お礼なんてよかったのに。			おやおや……それで、私を探しにきてくれたのかい？あの絵は習作だし、気に入ってくれて私も嬉しかったのだから、お礼なんてよかったのに。			丘より見ゆる、絵になる街							
あなたは……この子に付き添って、私を探してくれたというところかな。わざわざ、ありがとう。			あなたは……この子に付き添って、私を探してくれたというところかな。わざわざ、ありがとう。			丘より見ゆる、絵になる街							
私は、この街が気に入っているんだ。私たちシャトナ族は長命でね、街ができあがっていく過程も、ずっと見てきた……。			私は、この街が気に入っているんだ。私たちシャトナ族は長命でね、街ができあがっていく過程も、ずっと見てきた……。			丘より見ゆる、絵になる街							
正直言って、こんな興味深い国に発展するとは思わなかったよ。いろんな部族が争いなく集い、活気ある営みを送っている……。その情景を、余すことなく描き残したいと思っているんだ。			正直言って、こんな興味深い国に発展するとは思わなかったよ。いろんな部族が争いなく集い、活気ある営みを送っている……。その情景を、余すことなく描き残したいと思っているんだ。			丘より見ゆる、絵になる街							
画家さん、そんなふうに思って描いたのかぁ……。貰った絵のこと、もっと素敵に思えそう！			画家さん、そんなふうに思って描いたのかぁ……。貰った絵のこと、もっと素敵に思えそう！			丘より見ゆる、絵になる街							
ふふ、大事にしてくれるなら私も嬉しいよ。			ふふ、大事にしてくれるなら私も嬉しいよ。			丘より見ゆる、絵になる街							
……さて、ちょうどまた1枚描き終わったところだったし、トライヨラの、新たな景色を探しにいくとしよう。見かけたら、また声をかけてね。			……さて、ちょうどまた1枚描き終わったところだったし、トライヨラの、新たな景色を探しにいくとしよう。見かけたら、また声をかけてね。			丘より見ゆる、絵になる街							
