イディルシャイアのイロアズは、冒険者に興味があるようだ。			イディルシャイアのイロアズは、冒険者に興味があるようだ。			イシュガルドのモブハント（上級）							
ルールでギチギチ　素敵じゃないゴブ。自由民の　自由の都市なら　自由な気持ち　一番大事！			ルールでギチギチ　素敵じゃないゴブ。自由民の　自由の都市なら　自由な気持ち　一番大事！			最初の誓い							
ゴブが間違って　いたみたい。あの日の誓いを　忘れてしまい　問題ばかり　見てたみたい。スローフィクス　お願いゴブを　殴ってほしい！			ゴブが間違って　いたみたい。あの日の誓いを　忘れてしまい　問題ばかり　見てたみたい。スローフィクス　お願いゴブを　殴ってほしい！			最初の誓い							
……その必要は　まったくないゴブ！ゴブたち　仲間を　大切にする！仲間に　優しく　当然ゴブ！			……その必要は　まったくないゴブ！ゴブたち　仲間を　大切にする！仲間に　優しく　当然ゴブ！			最初の誓い							
スローフィクス……。それこそ　僕たち　必要なルール！「仲間に　優しく」　それひとつ！			スローフィクス……。それこそ　僕たち　必要なルール！「仲間に　優しく」　それひとつ！			最初の誓い							
そうそれだけで　十分ゴブ！それ以外は　適当ゴブ～！			そうそれだけで　十分ゴブ！それ以外は　適当ゴブ～！			最初の誓い							
シュコォ……シュコォ……スローフィクス　大変よ～！貸出用の　釣り竿一本　足りないよ～！			シュコォ……シュコォ……スローフィクス　大変よ～！貸出用の　釣り竿一本　足りないよ～！			最初の誓い							
台帳まったく　書いてない～。誰かが　勝手に　持ってった～。誰が　持ってる　知～らない？			台帳まったく　書いてない～。誰かが　勝手に　持ってった～。誰が　持ってる　知～らない？			最初の誓い							
シュコォ……シュコォ…………そ　それなら　ゴブが　借りたゴブ。			シュコォ……シュコォ…………そ　それなら　ゴブが　借りたゴブ。			最初の誓い							
大物　魚影を　見つけたからあせって　いそいで　借りたゴブ！			大物　魚影を　見つけたからあせって　いそいで　借りたゴブ！			最初の誓い							
シュコォ……シュコォ……このおバカ！やっぱり　ルールが必要よ～～！			シュコォ……シュコォ……このおバカ！やっぱり　ルールが必要よ～～！			最初の誓い							
シュコォ……シュコォ……しっかり　こってり　怒られたゴブ。最低限の　ルールは　必要かも　しれんゴブ……。			シュコォ……シュコォ……しっかり　こってり　怒られたゴブ。最低限の　ルールは　必要かも　しれんゴブ……。			最初の誓い							
ドリップウィクス　最低限の　ルール　決めるってずいぶん　とっても　張り切りゴブ！次はきっと　間違えんゴブ！			ドリップウィクス　最低限の　ルール　決めるってずいぶん　とっても　張り切りゴブ！次はきっと　間違えんゴブ！			最初の誓い							
ともかく　ゴブらは　決めたゴブ「仲間に優しく」　これだけは大切なルールとして　広めるゴブ！			ともかく　ゴブらは　決めたゴブ「仲間に優しく」　これだけは大切なルールとして　広めるゴブ！			最初の誓い							
ここまで　どうも　ありがとさん！心の底から　ありがとさん！			ここまで　どうも　ありがとさん！心の底から　ありがとさん！			最初の誓い							
イディルシャイアのドリップウィクスは、ルールの策定にやる気を見せている。			イディルシャイアのドリップウィクスは、ルールの策定にやる気を見せている。			ルール施行ゴブ！							
貸し出し道具の問題を解決するため、貸出記録台帳をドライドクスに渡すよう頼まれた。イディルシャイアの「ドライドクス」に「貸出記録台帳」を渡そう。			貸し出し道具の問題を解決するため、貸出記録台帳をドライドクスに渡すよう頼まれた。イディルシャイアの「ドライドクス」に「貸出記録台帳」を渡そう。			ルール施行ゴブ！							
ドライドクスは、貸出記録台帳へ書き込む項目が多いことに、不満があるようだ……。イディルシャイアの「ドリップウィクス」と話そう。			ドライドクスは、貸出記録台帳へ書き込む項目が多いことに、不満があるようだ……。イディルシャイアの「ドリップウィクス」と話そう。			ルール施行ゴブ！							
見張りの問題を解決するため、境界線入りの地図をタップクリクスに渡すよう頼まれた。低地ドラヴァニアのショートストップ野営地にいる「タップクリクス」に「境界線入りの地図」を渡そう。			見張りの問題を解決するため、境界線入りの地図をタップクリクスに渡すよう頼まれた。低地ドラヴァニアのショートストップ野営地にいる「タップクリクス」に「境界線入りの地図」を渡そう。			ルール施行ゴブ！							
タップクリクスは地図に書かれた境界線の複雑さに、不安を感じたようだ……。イディルシャイアの「ドリップウィクス」に報告しよう。			タップクリクスは地図に書かれた境界線の複雑さに、不安を感じたようだ……。イディルシャイアの「ドリップウィクス」に報告しよう。			ルール施行ゴブ！							
ドリップウィクスは問題が解決したと、満足そうだ。はたして、彼の作ったルールは上手く運用できるのだろうか……？			ドリップウィクスは問題が解決したと、満足そうだ。はたして、彼の作ったルールは上手く運用できるのだろうか……？			ルール施行ゴブ！							
ドライドクスに貸出記録台帳を渡す			ドライドクスに貸出記録台帳を渡す			ルール施行ゴブ！							
ドリップウィクスと話す			ドリップウィクスと話す			ルール施行ゴブ！							
ショートストップ野営地のタップクリクスに境界線入りの地図を渡す			ショートストップ野営地のタップクリクスに境界線入りの地図を渡す			ルール施行ゴブ！							
イディルシャイアのドリップウィクスに報告			イディルシャイアのドリップウィクスに報告			ルール施行ゴブ！							
シュコォ……シュコォ……ようやく　僕が考えた　ルールを使う　時がきた！			シュコォ……シュコォ……ようやく　僕が考えた　ルールを使う　時がきた！			ルール施行ゴブ！							
まずは道具の　貸し出しからルールをちゃんと　決めていこ～！			まずは道具の　貸し出しからルールをちゃんと　決めていこ～！			ルール施行ゴブ！							
一番　とっても重要なのは　借りた人を　管理すること！今後は　名前・目的・行き先　などなどしっかり　台帳　書くルール！			一番　とっても重要なのは　借りた人を　管理すること！今後は　名前・目的・行き先　などなどしっかり　台帳　書くルール！			ルール施行ゴブ！							
「台帳」　ちゃんと　作ってあるから貸出係の「ドライドクス」に　これをバッチリ渡してほしい！ゴブは次の　新たなルール　しっかりがっつり決めていく～！			「台帳」　ちゃんと　作ってあるから貸出係の「ドライドクス」に　これをバッチリ渡してほしい！ゴブは次の　新たなルール　しっかりがっつり決めていく～！			ルール施行ゴブ！							
「台帳」　ちゃんと　作ってあるから貸出係の「ドライドクス」に　これをバッチリ渡してほしい！ゴブは次の　新たなルール　しっかりがっつり決めていく～！			「台帳」　ちゃんと　作ってあるから貸出係の「ドライドクス」に　これをバッチリ渡してほしい！ゴブは次の　新たなルール　しっかりがっつり決めていく～！			ルール施行ゴブ！							
シュコォ……シュコォ……この前は　ツルハシ回収　ありがと～。今回は　いったい　ぜんたい　なんの用～？			シュコォ……シュコォ……この前は　ツルハシ回収　ありがと～。今回は　いったい　ぜんたい　なんの用～？			ルール施行ゴブ！							
シュコォ……シュコォ……貸し出す時は　この台帳　必ず使うの？　めんどくさ～！項目　いっぱい　大変そ～！			シュコォ……シュコォ……貸し出す時は　この台帳　必ず使うの？　めんどくさ～！項目　いっぱい　大変そ～！			ルール施行ゴブ！							
シュコォ……シュコォ……貸し出す時は　この台帳　必ず使うの？　めんどくさ～！項目　いっぱい　大変そ～！			シュコォ……シュコォ……貸し出す時は　この台帳　必ず使うの？　めんどくさ～！項目　いっぱい　大変そ～！			ルール施行ゴブ！							
シュコォ……シュコォ……台帳　ちゃんと　届けてくれた？これで　貸し出し　問題なし！			シュコォ……シュコォ……台帳　ちゃんと　届けてくれた？これで　貸し出し　問題なし！			ルール施行ゴブ！							
お次は　見張りの問題よ～！ゴブが作った　新たな「地図」！領地の線を　しっかり書いた！			お次は　見張りの問題よ～！ゴブが作った　新たな「地図」！領地の線を　しっかり書いた！			ルール施行ゴブ！							
これさえあれば　見張りの問題　大解決！「タップクリクス」にこの地図を　渡してくれるとありがたい！ゴブは次の　新たなルール　しっかりがっつり決めていく～！			これさえあれば　見張りの問題　大解決！「タップクリクス」にこの地図を　渡してくれるとありがたい！ゴブは次の　新たなルール　しっかりがっつり決めていく～！			ルール施行ゴブ！							
これさえあれば　見張りの問題　大解決！「タップクリクス」にこの地図を　渡してくれるとありがたい！ゴブは次の　新たなルール　しっかりがっつり決めていく～！			これさえあれば　見張りの問題　大解決！「タップクリクス」にこの地図を　渡してくれるとありがたい！ゴブは次の　新たなルール　しっかりがっつり決めていく～！			ルール施行ゴブ！							
シュコォ……シュコォ……この前は　見張りを呼んでくれて　ありがと～。今度は　あにたが　ゴブに用？			シュコォ……シュコォ……この前は　見張りを呼んでくれて　ありがと～。今度は　あにたが　ゴブに用？			ルール施行ゴブ！							
シュコォ……シュコォ……なにこれ　おめめが　チカチカする！			シュコォ……シュコォ……なにこれ　おめめが　チカチカする！			ルール施行ゴブ！							
領地の線が　複雑すぎ！ゴブたち　こんなの　覚えるの？覚えられるか　とっても不安……。			領地の線が　複雑すぎ！ゴブたち　こんなの　覚えるの？覚えられるか　とっても不安……。			ルール施行ゴブ！							
シュコォ……シュコォ……この地図　おめめが　チカチカする！			シュコォ……シュコォ……この地図　おめめが　チカチカする！			ルール施行ゴブ！							
シュコォ……シュコォ……恩人さんよ　おかえりよ～！これで　見張りの問題　大解決！			シュコォ……シュコォ……恩人さんよ　おかえりよ～！これで　見張りの問題　大解決！			ルール施行ゴブ！							
ここまで　協力　大感謝！ゴブは　新たな問題点　探しに見回り　行ってくる！困った時は　また協力　お願いするので　よろしくね～！			ここまで　協力　大感謝！ゴブは　新たな問題点　探しに見回り　行ってくる！困った時は　また協力　お願いするので　よろしくね～！			ルール施行ゴブ！							
イディルシャイアのスローフィクスは、問題解決に冒険者の力を借りたいようだ。			イディルシャイアのスローフィクスは、問題解決に冒険者の力を借りたいようだ。			道具回収ゴブ！							
スローフィクスから、貸し出した道具を返さないゴブリン族から事情を聞いてくるよう頼まれた。低地ドラヴァニアのシャーレアン工匠街で「粗忽者のゴブリン族」を探そう。			スローフィクスから、貸し出した道具を返さないゴブリン族から事情を聞いてくるよう頼まれた。低地ドラヴァニアのシャーレアン工匠街で「粗忽者のゴブリン族」を探そう。			道具回収ゴブ！							
襲われていた粗忽者のゴブリン族を見つけた。妨害を退けて、「粗忽者のゴブリン族」を救助しよう。			襲われていた粗忽者のゴブリン族を見つけた。妨害を退けて、「粗忽者のゴブリン族」を救助しよう。			道具回収ゴブ！							
粗忽者のゴブリン族を救助したところ、自分のかわりに貸出ツルハシを返してほしいと頼まれた。イディルシャイアの「ドライドクス」に「貸出ツルハシ」を渡そう。			粗忽者のゴブリン族を救助したところ、自分のかわりに貸出ツルハシを返してほしいと頼まれた。イディルシャイアの「ドライドクス」に「貸出ツルハシ」を渡そう。			道具回収ゴブ！							
ドライドクスに貸出ツルハシを返した。イディルシャイアの「スローフィクス」に報告しよう。			ドライドクスに貸出ツルハシを返した。イディルシャイアの「スローフィクス」に報告しよう。			道具回収ゴブ！							
スローフィクスに報告した。貸した道具を回収した冒険者に、スローフィクスは感激したようだ。			スローフィクスに報告した。貸した道具を回収した冒険者に、スローフィクスは感激したようだ。			道具回収ゴブ！							
シャーレアン工匠街で粗忽者のゴブリン族を探す			シャーレアン工匠街で粗忽者のゴブリン族を探す			道具回収ゴブ！							
粗忽者のゴブリン族を救助			粗忽者のゴブリン族を救助			道具回収ゴブ！							
イディルシャイアのドライドクスに貸出ツルハシを渡す			イディルシャイアのドライドクスに貸出ツルハシを渡す			道具回収ゴブ！							
スローフィクスに報告			スローフィクスに報告			道具回収ゴブ！							
シュコォ……シュコォ……ゴブたち　ここに　建国中「自由民のための自由の都市」　建設中！			シュコォ……シュコォ……ゴブたち　ここに　建国中「自由民のための自由の都市」　建設中！			道具回収ゴブ！							
国作りには　お金が　必要～でもでも　ここは　自由の都市～！自由にくらす　都市民から　無理やりお金は　とれぬゴブ！！			国作りには　お金が　必要～でもでも　ここは　自由の都市～！自由にくらす　都市民から　無理やりお金は　とれぬゴブ！！			道具回収ゴブ！							
だから　ゴブたち　考えた～みんなに道具　貸し出して　代わりにお金　もらうゴブ！			だから　ゴブたち　考えた～みんなに道具　貸し出して　代わりにお金　もらうゴブ！			道具回収ゴブ！							
でもでも　残念　問題発生～貸した物を　返さない　困った都市民　いるんだゴブ！			でもでも　残念　問題発生～貸した物を　返さない　困った都市民　いるんだゴブ！			道具回収ゴブ！							
持ち出し　去ったは　「粗忽者のゴブリン族」～彼に　事情を　聞いてほしいゴブ～！			持ち出し　去ったは　「粗忽者のゴブリン族」～彼に　事情を　聞いてほしいゴブ～！			道具回収ゴブ！							
「粗忽者のゴブリン族」は「シャーレアン工匠街」に　行ってるはずゴブ～どうにか　よろしく　お願いゴブ！			「粗忽者のゴブリン族」は「シャーレアン工匠街」に　行ってるはずゴブ～どうにか　よろしく　お願いゴブ！			道具回収ゴブ！							
「粗忽者のゴブリン族」は「シャーレアン工匠街」に　行ってるはずゴブ～どうにか　よろしく　お願いゴブ！			「粗忽者のゴブリン族」は「シャーレアン工匠街」に　行ってるはずゴブ～どうにか　よろしく　お願いゴブ！			道具回収ゴブ！							
シュコォ……シュコォ……ありがと～　あにたは　命の恩人！ゴブに　いったい　なにか用？			シュコォ……シュコォ……ありがと～　あにたは　命の恩人！ゴブに　いったい　なにか用？			道具回収ゴブ！							
あらあら　すっかり　忘れてた！「貸出ツルハシ」　返すの　忘れてた！			あらあら　すっかり　忘れてた！「貸出ツルハシ」　返すの　忘れてた！			道具回収ゴブ！							
わなしは　これから　旅に出る～わるいんだけど　貸出係の「ドライドクス」にこのツルハシを　返してほしい～！			わなしは　これから　旅に出る～わるいんだけど　貸出係の「ドライドクス」にこのツルハシを　返してほしい～！			道具回収ゴブ！							
わなしは　これから　旅に出る～わるいんだけど　貸出係の「ドライドクス」にこのツルハシを　返してほしい～！			わなしは　これから　旅に出る～わるいんだけど　貸出係の「ドライドクス」にこのツルハシを　返してほしい～！			道具回収ゴブ！							
シュコォ……シュコォ……ヒトが　あたしに　なにかよ～？			シュコォ……シュコォ……ヒトが　あたしに　なにかよ～？			道具回収ゴブ！							
シュコォ……シュコォ……期限　過ぎても　戻らなかった　貸出ツルハシ！あなたが回収～　ありがと～！			シュコォ……シュコォ……期限　過ぎても　戻らなかった　貸出ツルハシ！あなたが回収～　ありがと～！			道具回収ゴブ！							
シュコォ……シュコォ……期限　過ぎても　戻らなかった　貸出ツルハシ！あなたが回収～　ありがと～！			シュコォ……シュコォ……期限　過ぎても　戻らなかった　貸出ツルハシ！あなたが回収～　ありがと～！			道具回収ゴブ！							
シュコォ……シュコォ……貸してた道具　返した　ゴブ！？とっても　いっぱい　ありがとさん！			シュコォ……シュコォ……貸してた道具　返した　ゴブ！？とっても　いっぱい　ありがとさん！			道具回収ゴブ！							
イディルシャイアのノッチド・ボーンは、動けなくなるほど腹が減っているようだ。			イディルシャイアのノッチド・ボーンは、動けなくなるほど腹が減っているようだ。			ふたりの食事							
ノッチド・ボーンはどんなに腹が減っても、ゴブリン族にもらった食べ物には手を付けたくないようだ。冒険者はクロウラーの臭い肉を入手し、それを焼くよう頼まれた。低地ドラヴァニアのシャーレアン学士街にいる「クロウラー」から「クロウラーの臭い肉」を入手しよう。			ノッチド・ボーンはどんなに腹が減っても、ゴブリン族にもらった食べ物には手を付けたくないようだ。冒険者はクロウラーの臭い肉を入手し、それを焼くよう頼まれた。低地ドラヴァニアのシャーレアン学士街にいる「クロウラー」から「クロウラーの臭い肉」を入手しよう。			ふたりの食事							
クロウラーの臭い肉を入手した。シャーレアン学士街の「焚き火」で「クロウラーの臭い肉」を焼こう。			クロウラーの臭い肉を入手した。シャーレアン学士街の「焚き火」で「クロウラーの臭い肉」を焼こう。			ふたりの食事							
クロウラーの臭い肉を焼いた。イディルシャイアの「ノッチド・ボーン」に「クロウラーの焼き肉」を渡そう。			クロウラーの臭い肉を焼いた。イディルシャイアの「ノッチド・ボーン」に「クロウラーの焼き肉」を渡そう。			ふたりの食事							
クロウラーの焼き肉をノッチド・ボーンに渡したところ、水牛の干し肉をゴブリン族に返すよう頼まれた。シャーレアン学士街の「焚き火番のゴブリン族」に「水牛の干し肉」を渡そう。			クロウラーの焼き肉をノッチド・ボーンに渡したところ、水牛の干し肉をゴブリン族に返すよう頼まれた。シャーレアン学士街の「焚き火番のゴブリン族」に「水牛の干し肉」を渡そう。			ふたりの食事							
焚き火番のゴブリン族にクロウラーの焼き肉のことを話した。焚き火番のゴブリン族は、人がクロウラーの焼き肉を食べると腹を壊すかもしれないと心配し、薬茶をくれた。ノッチド・ボーンたちの様子を確認するため、イディルシャイアの「ノッチド・ボーン」と話そう。			焚き火番のゴブリン族にクロウラーの焼き肉のことを話した。焚き火番のゴブリン族は、人がクロウラーの焼き肉を食べると腹を壊すかもしれないと心配し、薬茶をくれた。ノッチド・ボーンたちの様子を確認するため、イディルシャイアの「ノッチド・ボーン」と話そう。			ふたりの食事							
ノッチド・ボーンとデデアンは、腹を壊していた。イディルシャイアの「ノッチド・ボーン」と「デデアン」に「ゴブリン族の薬茶」を使おう。			ノッチド・ボーンとデデアンは、腹を壊していた。イディルシャイアの「ノッチド・ボーン」と「デデアン」に「ゴブリン族の薬茶」を使おう。			ふたりの食事							
ゴブリン族の薬茶をふたりに飲ませた。イディルシャイアの「ノッチド・ボーン」と話そう。			ゴブリン族の薬茶をふたりに飲ませた。イディルシャイアの「ノッチド・ボーン」と話そう。			ふたりの食事							
ゴブリン族の薬茶が効いて、ノッチド・ボーンたちの腹痛は和らいだようだ。しかし、ノッチド・ボーンのゴブリン族への不信が和らぐことはなかった……。			ゴブリン族の薬茶が効いて、ノッチド・ボーンたちの腹痛は和らいだようだ。しかし、ノッチド・ボーンのゴブリン族への不信が和らぐことはなかった……。			ふたりの食事							
シャーレアン学士街のクロウラーからクロウラーの臭い肉を入手			シャーレアン学士街のクロウラーからクロウラーの臭い肉を入手			ふたりの食事							
焚き火でクロウラーの臭い肉を焼く			焚き火でクロウラーの臭い肉を焼く			ふたりの食事							
イディルシャイアのノッチド・ボーンにクロウラーの焼き肉を渡す			イディルシャイアのノッチド・ボーンにクロウラーの焼き肉を渡す			ふたりの食事							
シャーレアン学士街の焚き火番のゴブリン族に水牛の干し肉を渡す			シャーレアン学士街の焚き火番のゴブリン族に水牛の干し肉を渡す			ふたりの食事							
イディルシャイアのノッチド・ボーンと話す			イディルシャイアのノッチド・ボーンと話す			ふたりの食事							
ノッチド・ボーンにゴブリン族の薬茶を使う			ノッチド・ボーンにゴブリン族の薬茶を使う			ふたりの食事							
デデアンにゴブリン族の薬茶を使う			デデアンにゴブリン族の薬茶を使う			ふたりの食事							
ノッチド・ボーンと話す			ノッチド・ボーンと話す			ふたりの食事							
チッ、ゴブリン族の洗脳を解く鍵が、見つからねえとはな。それにしても、腹が空きすぎて倒れそうだぜ。……ここについてから、ろくに飯をくってねぇ。			チッ、ゴブリン族の洗脳を解く鍵が、見つからねえとはな。それにしても、腹が空きすぎて倒れそうだぜ。……ここについてから、ろくに飯をくってねぇ。			ふたりの食事							
兄貴、僕のお腹もきゅうきゅういってるっす……。焚き火の番をしてるゴブリン族から貰った、水牛の干し肉を食べてみないっすか……？			兄貴、僕のお腹もきゅうきゅういってるっす……。焚き火の番をしてるゴブリン族から貰った、水牛の干し肉を食べてみないっすか……？			ふたりの食事							
……馬鹿野郎！ゴブリン族にもらった肉が食えるか！干し肉には、毒が入ってるに決まってるぜ！			……馬鹿野郎！ゴブリン族にもらった肉が食えるか！干し肉には、毒が入ってるに決まってるぜ！			ふたりの食事							
しかたねえ、アンタよお、「クロウラー」の肉を、取ってきてくれねえか？			しかたねえ、アンタよお、「クロウラー」の肉を、取ってきてくれねえか？			ふたりの食事							
生では食えねえが、「学士街」の「焚き火」で焼けば食えるはずだ。俺たちは、空腹で動けそうにねえからな、頼んだぜ！			生では食えねえが、「学士街」の「焚き火」で焼けば食えるはずだ。俺たちは、空腹で動けそうにねえからな、頼んだぜ！			ふたりの食事							
しかたねえ、アンタよお、「クロウラー」の肉を、取ってきてくれねえか？			しかたねえ、アンタよお、「クロウラー」の肉を、取ってきてくれねえか？			ふたりの食事							
生では食えねえが、「学士街」の「焚き火」で焼けば食えるはずだ。俺たちは、空腹で動けそうにねえからな、頼んだぜ！			生では食えねえが、「学士街」の「焚き火」で焼けば食えるはずだ。俺たちは、空腹で動けそうにねえからな、頼んだぜ！			ふたりの食事							
もう限界、倒れそうっす……。毒じゃなきゃなんでもいいので、お願いするっす……。			もう限界、倒れそうっす……。毒じゃなきゃなんでもいいので、お願いするっす……。			ふたりの食事							
シュコォ……シュコォ……あなた　焚き火で　なにか焼きたい？火を消さないなら　問題ない　いっぱい焼いて　問題ない！			シュコォ……シュコォ……あなた　焚き火で　なにか焼きたい？火を消さないなら　問題ない　いっぱい焼いて　問題ない！			ふたりの食事							
おう、アンタ！「クロウラーの臭い肉」は、焼いてきてくれたかい？			おう、アンタ！「クロウラーの臭い肉」は、焼いてきてくれたかい？			ふたりの食事							
……おうおう、思ったよりも美味そうじゃねえか！これがあれば、「水牛の干し肉」なんていらねえぜ！			……おうおう、思ったよりも美味そうじゃねえか！これがあれば、「水牛の干し肉」なんていらねえぜ！			ふたりの食事							
そうだ、ついでに「水牛の干し肉」を「焚き火番のゴブリン族」に突き返してくれ！			そうだ、ついでに「水牛の干し肉」を「焚き火番のゴブリン族」に突き返してくれ！			ふたりの食事							
俺たちにはクロウラーの焼き肉があるから、そんなもんいらねえって、伝えてくれや！ガッハッハ！			俺たちにはクロウラーの焼き肉があるから、そんなもんいらねえって、伝えてくれや！ガッハッハ！			ふたりの食事							
「水牛の干し肉」を「焚き火番のゴブリン族」に突き返してくれ！			「水牛の干し肉」を「焚き火番のゴブリン族」に突き返してくれ！			ふたりの食事							
「水牛の干し肉」を返すのは、敵に借りを作らないって事っす！兄貴、カッコイイっす！			「水牛の干し肉」を返すのは、敵に借りを作らないって事っす！兄貴、カッコイイっす！			ふたりの食事							
シュコォ……シュコォ……わたし　しがない　焚き火番。あなた　わたし　何か用？			シュコォ……シュコォ……わたし　しがない　焚き火番。あなた　わたし　何か用？			ふたりの食事							
流民に　あげた　水牛の干し肉？代わりに　クロウラーの焼き肉　食べる？……人が食べても　大丈夫？　あれは結構　お腹痛める！			流民に　あげた　水牛の干し肉？代わりに　クロウラーの焼き肉　食べる？……人が食べても　大丈夫？　あれは結構　お腹痛める！			ふたりの食事							
わたし　人のおなかが　とっても心配！一応あげる　この薬茶　お腹痛いのを　治してくれる！			わたし　人のおなかが　とっても心配！一応あげる　この薬茶　お腹痛いのを　治してくれる！			ふたりの食事							
わたし　人のおなかが　とっても心配！一応あげる　この薬茶　お腹痛いのを　治してくれる！			わたし　人のおなかが　とっても心配！一応あげる　この薬茶　お腹痛いのを　治してくれる！			ふたりの食事							
お腹、ぎゅるぎゅるっす……。素直に……「水牛の干し肉」……食べておけば良かったっす……。			お腹、ぎゅるぎゅるっす……。素直に……「水牛の干し肉」……食べておけば良かったっす……。			ふたりの食事							
お……おう……アンタ……。は、腹が……ヤベエ……死ぬほど、痛え……。やっぱりクロウラーは、火を通しても……む、無理……？			お……おう……アンタ……。は、腹が……ヤベエ……死ぬほど、痛え……。やっぱりクロウラーは、火を通しても……む、無理……？			ふたりの食事							
うぐぐ……や、薬茶……だって……？ありがてえ……いただくぜ……。			うぐぐ……や、薬茶……だって……？ありがてえ……いただくぜ……。			ふたりの食事							
くう……痛みに……負けるか……。俺は……デデアンと……ふたりで生きていくんだ……。……むう……薬茶のおかげか……痛みが……和らいで……。			くう……痛みに……負けるか……。俺は……デデアンと……ふたりで生きていくんだ……。……むう……薬茶のおかげか……痛みが……和らいで……。			ふたりの食事							
あぐぐ……死んだ婆ちゃんが……呼んでるっす……。だ、ダメっす……薬茶……飲むっす……！			あぐぐ……死んだ婆ちゃんが……呼んでるっす……。だ、ダメっす……薬茶……飲むっす……！			ふたりの食事							
うぐぐ……ごめんよう……婆ちゃん……。兄貴を置いて……そっちにいけないっす……。あれ……痛みが……和らいで……婆ちゃんも消えて……。			うぐぐ……ごめんよう……婆ちゃん……。兄貴を置いて……そっちにいけないっす……。あれ……痛みが……和らいで……婆ちゃんも消えて……。			ふたりの食事							
うぐぐ……徐々にだが、痛みが和らいできたぜ……。手間かけちまって、すまねえな、アンタ。アンタの情けにゃ、目頭が熱くなってくらあ……。			うぐぐ……徐々にだが、痛みが和らいできたぜ……。手間かけちまって、すまねえな、アンタ。アンタの情けにゃ、目頭が熱くなってくらあ……。			ふたりの食事							
……あの薬茶は、ゴブリン族が心配してくれた物？まさか、嘘だろう……俺たちを心配する奴なんて、このエオルゼアにいるもんかよ！			……あの薬茶は、ゴブリン族が心配してくれた物？まさか、嘘だろう……俺たちを心配する奴なんて、このエオルゼアにいるもんかよ！			ふたりの食事							
いままで、俺たちに優しくする奴は、皆、裏があった。俺たちをはめた、あの悪徳金貸しだってそうだった。だから、奴らだって……裏があるにちげえねえ！			いままで、俺たちに優しくする奴は、皆、裏があった。俺たちをはめた、あの悪徳金貸しだってそうだった。だから、奴らだって……裏があるにちげえねえ！			ふたりの食事							
イディルシャイアのデデアンは、ゴブリン族洗脳方法を突き止めたいようだ。			イディルシャイアのデデアンは、ゴブリン族洗脳方法を突き止めたいようだ。			ひとりの不信							
デデアンは、ゴブリン族に連れられて学士街へ向かった新入りの人たちを見たと言う。冒険者は、その新入りの人たちを洗脳から救ってほしいと頼まれた。低地ドラヴァニアの聖モシャーヌ植物園付近にいる冒険者たちと話そう。			デデアンは、ゴブリン族に連れられて学士街へ向かった新入りの人たちを見たと言う。冒険者は、その新入りの人たちを洗脳から救ってほしいと頼まれた。低地ドラヴァニアの聖モシャーヌ植物園付近にいる冒険者たちと話そう。			ひとりの不信							
冒険者たちと話し、彼らがゴブリン族の案内を受けていたことを聞いた。聖モシャーヌ植物園付近の「案内役のゴブリン族」と話そう。			冒険者たちと話し、彼らがゴブリン族の案内を受けていたことを聞いた。聖モシャーヌ植物園付近の「案内役のゴブリン族」と話そう。			ひとりの不信							
案内役のゴブリン族と話した。案内役のゴブリン族は、イディルシャイアでの暮らしに必要な情報を教えるため、新しい仲間たちを案内していたようだ。イディルシャイアの「デデアン」に報告しよう。			案内役のゴブリン族と話した。案内役のゴブリン族は、イディルシャイアでの暮らしに必要な情報を教えるため、新しい仲間たちを案内していたようだ。イディルシャイアの「デデアン」に報告しよう。			ひとりの不信							
デデアンに報告した。彼は、新しい仲間のために案内していたと言っても、信じてはくれなかった……。			デデアンに報告した。彼は、新しい仲間のために案内していたと言っても、信じてはくれなかった……。			ひとりの不信							
聖モシャーヌ植物園付近の冒険者と話す			聖モシャーヌ植物園付近の冒険者と話す			ひとりの不信							
案内役のゴブリン族と話す			案内役のゴブリン族と話す			ひとりの不信							
イディルシャイアのデデアンに報告			イディルシャイアのデデアンに報告			ひとりの不信							
恐ろしいことっす……！都市にいる「人」がみんな、ゴブリン族に洗脳されてるとは！正気に戻すには、ゴブリン族が危険だって証拠が必要っす！			恐ろしいことっす……！都市にいる「人」がみんな、ゴブリン族に洗脳されてるとは！正気に戻すには、ゴブリン族が危険だって証拠が必要っす！			ひとりの不信							
そういえば僕、見ちゃったっす！ゴブリン族が、僕たちのような新入りを、「聖モシャーヌ植物園」の方へ、連れていっちゃったっす！			そういえば僕、見ちゃったっす！ゴブリン族が、僕たちのような新入りを、「聖モシャーヌ植物園」の方へ、連れていっちゃったっす！			ひとりの不信							
僕は賢いから、誘いはお断りしたっす。きっと、植物園のような人気のない場所で、洗脳をしてるに違いないっす！			僕は賢いから、誘いはお断りしたっす。きっと、植物園のような人気のない場所で、洗脳をしてるに違いないっす！			ひとりの不信							
冒険者さん、「植物園」へ行った人に話を聞いてほしいっす。叶うなら、ゴブリン族の洗脳方法を突き止めてほしいっす！お願いするっす！			冒険者さん、「植物園」へ行った人に話を聞いてほしいっす。叶うなら、ゴブリン族の洗脳方法を突き止めてほしいっす！お願いするっす！			ひとりの不信							
冒険者さん、「植物園」へ行った人に話を聞いてほしいっす。叶うなら、彼らをゴブリン族から助けだしてほしいっす！お願いするっす！			冒険者さん、「植物園」へ行った人に話を聞いてほしいっす。叶うなら、彼らをゴブリン族から助けだしてほしいっす！お願いするっす！			ひとりの不信							
