トメラの村の噂好きのドワーフは、困っているようだ。			トメラの村の噂好きのドワーフは、困っているようだ。			コメラの村の事件							
村人たちの意見を聞いた。機械遺跡の坑道の「グラッグ」と話そう。			村人たちの意見を聞いた。機械遺跡の坑道の「グラッグ」と話そう。			争いと責任							
グラッグと話した。機械遺跡の坑道の「グラッグ」と再度話そう。			グラッグと話した。機械遺跡の坑道の「グラッグ」と再度話そう。			争いと責任							
グラッグと話して、もっとも正しいと思う意見を選んだ。しかし、２Ｂが現れて、白いアンドロイドの襲撃の責任は、自身にあると話し、半ば力尽くで村人たちを解散させた。機械遺跡の坑道の「コノッグ」と話そう。			グラッグと話して、もっとも正しいと思う意見を選んだ。しかし、２Ｂが現れて、白いアンドロイドの襲撃の責任は、自身にあると話し、半ば力尽くで村人たちを解散させた。機械遺跡の坑道の「コノッグ」と話そう。			争いと責任							
コノッグと話した。機械遺跡の坑道の「コノッグ」と再度話そう。			コノッグと話した。機械遺跡の坑道の「コノッグ」と再度話そう。			争いと責任							
コノッグと話した。村人たちに誤解されたままでも構わないと話す２Ｂは、９Ｓを連れて立ち去ってしまった。コノッグは、ふたりを見送った後、アノッグがいないことに気づく。機械遺跡の坑道の「コノッグ」とさらに話そう。			コノッグと話した。村人たちに誤解されたままでも構わないと話す２Ｂは、９Ｓを連れて立ち去ってしまった。コノッグは、ふたりを見送った後、アノッグがいないことに気づく。機械遺跡の坑道の「コノッグ」とさらに話そう。			争いと責任							
コノッグと話した。コルシア島のドヴェルガル山脈の「指定地点」で見渡して、アノッグを探そう。			コノッグと話した。コルシア島のドヴェルガル山脈の「指定地点」で見渡して、アノッグを探そう。			争いと責任							
指定地点で見渡してアノッグを探したが、見つからなかった。ドヴェルガル山脈の「指定地点」で再度見渡して、アノッグを探そう。			指定地点で見渡してアノッグを探したが、見つからなかった。ドヴェルガル山脈の「指定地点」で再度見渡して、アノッグを探そう。			争いと責任							
指定地点で再度見渡してアノッグを探したが、見つからなかった。ドワーフの洞窟の「指定地点」でさらに見渡して、アノッグを探そう。			指定地点で再度見渡してアノッグを探したが、見つからなかった。ドワーフの洞窟の「指定地点」でさらに見渡して、アノッグを探そう。			争いと責任							
指定地点でさらに見渡してアノッグを探したが、見つからなかった。コメラの村の「コノッグ」と話そう。			指定地点でさらに見渡してアノッグを探したが、見つからなかった。コメラの村の「コノッグ」と話そう。			争いと責任							
コノッグと話した。やはり、アノッグは見つからなかったようだ。２Ｐに騙されたとはいえ、村が襲われる原因を作ってしまったことを後悔するコノッグは、これからどうしたらいいのかと呟く。			コノッグと話した。やはり、アノッグは見つからなかったようだ。２Ｐに騙されたとはいえ、村が襲われる原因を作ってしまったことを後悔するコノッグは、これからどうしたらいいのかと呟く。			争いと責任							
コノッグと話す			コノッグと話す			争いと責任							
グラッグと話す			グラッグと話す			争いと責任							
村人たちと話す			村人たちと話す			争いと責任							
グラッグと話す			グラッグと話す			争いと責任							
グラッグと再度話す			グラッグと再度話す			争いと責任							
コノッグと話す			コノッグと話す			争いと責任							
コノッグと再度話す			コノッグと再度話す			争いと責任							
コノッグとさらに話す			コノッグとさらに話す			争いと責任							
指定地点で見渡してアノッグを探す			指定地点で見渡してアノッグを探す			争いと責任							
指定地点で再度見渡してアノッグを探す			指定地点で再度見渡してアノッグを探す			争いと責任							
指定地点でさらに見渡してアノッグを探す			指定地点でさらに見渡してアノッグを探す			争いと責任							
コノッグと話す			コノッグと話す			争いと責任							
ワタシは……何も……。			ワタシは……何も……。			争いと責任							
そういえば、せっかくお祭りの準備をしたのに、ゆっくり遊んだりなんて、できませんでしたね……。			そういえば、せっかくお祭りの準備をしたのに、ゆっくり遊んだりなんて、できませんでしたね……。			争いと責任							
ボクはちょっと村の様子を見てきます。			ボクはちょっと村の様子を見てきます。			争いと責任							
アノッグも一緒に行くかい？			アノッグも一緒に行くかい？			争いと責任							
…………あぁ。			…………あぁ。			争いと責任							
ん……？今のは何の音だ……？			ん……？今のは何の音だ……？			争いと責任							
ちょっと様子を見てこよう。			ちょっと様子を見てこよう。			争いと責任							
み……みんな、話を聞いてくれ……！			み……みんな、話を聞いてくれ……！			争いと責任							
参ったな……これは……。			参ったな……これは……。			争いと責任							
コメラの村が崩壊した事件について、責任を追及しなければならない……。			コメラの村が崩壊した事件について、責任を追及しなければならない……。			争いと責任							
俺は見たんだ！　ここで！村を襲った奴が眠っているのを！			俺は見たんだ！　ここで！村を襲った奴が眠っているのを！			争いと責任							
アノッグとコノッグの奴、いつも何かを企んだりして、あいつらは信用できないな……。			アノッグとコノッグの奴、いつも何かを企んだりして、あいつらは信用できないな……。			争いと責任							
村が崩壊して、家が潰れちまったんだ！誰が責任取ってくれるんだ！			村が崩壊して、家が潰れちまったんだ！誰が責任取ってくれるんだ！			争いと責任							
恐ろしい……。もう二度とこんな目にはあいたくない……。			恐ろしい……。もう二度とこんな目にはあいたくない……。			争いと責任							
いったいどうしてこんなことに……。			いったいどうしてこんなことに……。			争いと責任							
みんな……落ち着いてください……！ワレワレも状況がよくわかってなくて……。			みんな……落ち着いてください……！ワレワレも状況がよくわかってなくて……。			争いと責任							
うるさい！　黙れ！俺は、アノッグとコノッグが、この村を襲撃した奴を、この坑道に匿っていたのを知っているんだ！			うるさい！　黙れ！俺は、アノッグとコノッグが、この村を襲撃した奴を、この坑道に匿っていたのを知っているんだ！			争いと責任							
お前らが襲撃犯に関与していたのは明白だ！お前らのせいで、この村が崩壊したんだ！			お前らが襲撃犯に関与していたのは明白だ！お前らのせいで、この村が崩壊したんだ！			争いと責任							
アノッグとコノッグ、より責任があるほうに、この罪を償ってもらうぞ。反論があるなら、ここで証明してみせろ！			アノッグとコノッグ、より責任があるほうに、この罪を償ってもらうぞ。反論があるなら、ここで証明してみせろ！			争いと責任							
そんなことを言われても……。			そんなことを言われても……。			争いと責任							
みんな混乱していて……ボク達の話を聞いてくれない……			みんな混乱していて……ボク達の話を聞いてくれない……			争いと責任							
旅人であるアナタの話なら、聞いてもらえるかもしれない。村の最長老、「グラッグ」と話をしてもらえませんか？			旅人であるアナタの話なら、聞いてもらえるかもしれない。村の最長老、「グラッグ」と話をしてもらえませんか？			争いと責任							
ど……どうしたらいいんでしょう……。とにかく、誤解を解かないと……！			ど……どうしたらいいんでしょう……。とにかく、誤解を解かないと……！			争いと責任							
そんな…………。			そんな…………。			争いと責任							
おや、その格好……あんたは旅人か？うーむ……なんだか見覚えがあるような、ないような……まあよい、今はそんなこと気にしている場合ではないのじゃ。			おや、その格好……あんたは旅人か？うーむ……なんだか見覚えがあるような、ないような……まあよい、今はそんなこと気にしている場合ではないのじゃ。			争いと責任							
今回村が襲撃された件について、責任の所在を明らかにするために、最長老たるワシがわざわざ出向いたのじゃが……			今回村が襲撃された件について、責任の所在を明らかにするために、最長老たるワシがわざわざ出向いたのじゃが……			争いと責任							
村人たちに話を聞いてみても、見事に意見が割れてしまっておってのう……。			村人たちに話を聞いてみても、見事に意見が割れてしまっておってのう……。			争いと責任							
そうじゃ……旅人のあんたならば、公正な目線を持てるかもしれん。			そうじゃ……旅人のあんたならば、公正な目線を持てるかもしれん。			争いと責任							
どの村人の意見が正しいと思うか、村人たちと話しながら考えて、見解を聞かせてくれんか。考えが固まったら、ワシのもとへ来てくれい。			どの村人の意見が正しいと思うか、村人たちと話しながら考えて、見解を聞かせてくれんか。考えが固まったら、ワシのもとへ来てくれい。			争いと責任							
こんなことになるだなんて……巻き込んでしまいすみません。			こんなことになるだなんて……巻き込んでしまいすみません。			争いと責任							
…………すまない。			…………すまない。			争いと責任							
今回の事件によって村は未曽有の被害を受けた……村人たちと話し、あんたの見解を聞かせてくれんか。			今回の事件によって村は未曽有の被害を受けた……村人たちと話し、あんたの見解を聞かせてくれんか。			争いと責任							
村が襲撃された原因は、アノッグの軽率な行動にある！きっとコノッグのように慎重に行動していれば、村が襲撃されたりなんかしなかったはず！			村が襲撃された原因は、アノッグの軽率な行動にある！きっとコノッグのように慎重に行動していれば、村が襲撃されたりなんかしなかったはず！			争いと責任							
あれ？　もしかしてあなた噂の……「アノッグの積極的な調査」に協力していた旅人じゃないか？			あれ？　もしかしてあなた噂の……「アノッグの積極的な調査」に協力していた旅人じゃないか？			争いと責任							
私はアノッグが興味本位で機械遺跡に入り込んだことが、今回の村の襲撃の原因になったと思っているんだ。あなたもその一翼を担ったのなら、その責任を負うべきだ！			私はアノッグが興味本位で機械遺跡に入り込んだことが、今回の村の襲撃の原因になったと思っているんだ。あなたもその一翼を担ったのなら、その責任を負うべきだ！			争いと責任							
あれ？　もしかしてあなた噂の……「コノッグの慎重な調査」に協力していた旅人じゃないか？			あれ？　もしかしてあなた噂の……「コノッグの慎重な調査」に協力していた旅人じゃないか？			争いと責任							
あなたは正しい選択をしたようだね。アノッグも、コノッグのように慎重な行動を心がけていたら、村が襲撃されるようなことには、ならなかったんじゃないかな？			あなたは正しい選択をしたようだね。アノッグも、コノッグのように慎重な行動を心がけていたら、村が襲撃されるようなことには、ならなかったんじゃないかな？			争いと責任							
村が襲撃された原因は、アノッグの軽率な行動にある！きっとコノッグのように慎重に行動していれば、村が襲撃されたりなんかしなかったはず！			村が襲撃された原因は、アノッグの軽率な行動にある！きっとコノッグのように慎重に行動していれば、村が襲撃されたりなんかしなかったはず！			争いと責任							
アノッグは問題を解決しようと、積極的に行動した！それに比べてコノッグは、優柔不断で悩んでばかり……。グズグズしていたコノッグよりも、行動したアノッグの方が正しい！			アノッグは問題を解決しようと、積極的に行動した！それに比べてコノッグは、優柔不断で悩んでばかり……。グズグズしていたコノッグよりも、行動したアノッグの方が正しい！			争いと責任							
その見慣れない格好……。「アノッグの積極的な調査」に協力していた旅人というのは、あんたのことか？			その見慣れない格好……。「アノッグの積極的な調査」に協力していた旅人というのは、あんたのことか？			争いと責任							
俺は、あんたの選択は正しかったと思うぞ！アノッグはどんな問題も果敢に挑戦する気概のあるヤツだ。どうやらあんたも気概があるみたいだな。			俺は、あんたの選択は正しかったと思うぞ！アノッグはどんな問題も果敢に挑戦する気概のあるヤツだ。どうやらあんたも気概があるみたいだな。			争いと責任							
その見慣れない格好……。「コノッグの慎重な調査」に協力していた旅人というのは、あんたのことか？			その見慣れない格好……。「コノッグの慎重な調査」に協力していた旅人というのは、あんたのことか？			争いと責任							
コノッグの行動に協力していたなんてがっかりだ。あんたがアノッグに協力していれば、問題をもっと早く見つけられたかもしれないのに！			コノッグの行動に協力していたなんてがっかりだ。あんたがアノッグに協力していれば、問題をもっと早く見つけられたかもしれないのに！			争いと責任							
アノッグは問題を解決しようと、積極的に行動した！それに比べてコノッグは、優柔不断で悩んでばかり……。責めるならコノッグを責めるべきだ！			アノッグは問題を解決しようと、積極的に行動した！それに比べてコノッグは、優柔不断で悩んでばかり……。責めるならコノッグを責めるべきだ！			争いと責任							
僕が当事者だったら、慎重かつ積極的に問題を解決して、村が崩壊するような結果は招かなかったね！今回の件はアノッグとコノッグ、ふたりとも悪い！			僕が当事者だったら、慎重かつ積極的に問題を解決して、村が崩壊するような結果は招かなかったね！今回の件はアノッグとコノッグ、ふたりとも悪い！			争いと責任							
貴方のその格好は……例の旅人か。アノッグ達に協力している旅人だって、噂になってるよ。あんな奴らに関わるから、厄介なことに巻き込まれるのさ。			貴方のその格好は……例の旅人か。アノッグ達に協力している旅人だって、噂になってるよ。あんな奴らに関わるから、厄介なことに巻き込まれるのさ。			争いと責任							
貴方のその格好は……例の旅人か。コノッグ達に協力している旅人だって、噂になってるよ。あんな奴らに関わるから、厄介なことに巻き込まれるのさ。			貴方のその格好は……例の旅人か。コノッグ達に協力している旅人だって、噂になってるよ。あんな奴らに関わるから、厄介なことに巻き込まれるのさ。			争いと責任							
僕が当事者だったら、慎重かつ積極的に問題を解決して、村が崩壊するような結果は招かなかったね！今回の件はアノッグとコノッグ、ふたりとも悪い！			僕が当事者だったら、慎重かつ積極的に問題を解決して、村が崩壊するような結果は招かなかったね！今回の件はアノッグとコノッグ、ふたりとも悪い！			争いと責任							
私は機械遺跡のことなんて全然知らなかった！だから私に責任はないぞ！			私は機械遺跡のことなんて全然知らなかった！だから私に責任はないぞ！			争いと責任							
アノッグ達から聞いたが、あんたは過去に、「アノッグの積極的な調査」に協力したらしいな！あんたも責任を負う必要があるのではないか！？			アノッグ達から聞いたが、あんたは過去に、「アノッグの積極的な調査」に協力したらしいな！あんたも責任を負う必要があるのではないか！？			争いと責任							
あんたが「アノッグの積極的な調査」に協力していたことは、他の村人達にも伝えておいたからな！			あんたが「アノッグの積極的な調査」に協力していたことは、他の村人達にも伝えておいたからな！			争いと責任							
コノッグ達から聞いたが、あんたは過去に、「コノッグの慎重な調査」に協力したらしいな！あんたも責任を負う必要があるのではないか！？			コノッグ達から聞いたが、あんたは過去に、「コノッグの慎重な調査」に協力したらしいな！あんたも責任を負う必要があるのではないか！？			争いと責任							
あんたが「コノッグの慎重な調査」に協力していたことは、他の村人達にも伝えておいたからな！			あんたが「コノッグの慎重な調査」に協力していたことは、他の村人達にも伝えておいたからな！			争いと責任							
私は機械遺跡のことなんて全然知らなかった！だから私に責任はないぞ！			私は機械遺跡のことなんて全然知らなかった！だから私に責任はないぞ！			争いと責任							
参ったな……こんなことになるなんて……ま、まずは皆の意見を聞かないと……。			参ったな……こんなことになるなんて……ま、まずは皆の意見を聞かないと……。			争いと責任							
旅の人は以前「アノッグの積極的な調査」に協力してたな……その行動の積極性は認めるが、それが災いを生んでしまったのかもしれないな……。			旅の人は以前「アノッグの積極的な調査」に協力してたな……その行動の積極性は認めるが、それが災いを生んでしまったのかもしれないな……。			争いと責任							
しかし俺には、誰が悪いかなんてわからない……。			しかし俺には、誰が悪いかなんてわからない……。			争いと責任							
旅の人は以前「コノッグの慎重な調査」に協力してたな……その行動は慎重だったが、何も行動しないヤツが本当に偉いんだろうか……。			旅の人は以前「コノッグの慎重な調査」に協力してたな……その行動は慎重だったが、何も行動しないヤツが本当に偉いんだろうか……。			争いと責任							
しかし俺には、誰が悪いかなんてわからない……。			しかし俺には、誰が悪いかなんてわからない……。			争いと責任							
俺には、誰が悪いかなんてわからない……。まずは皆の意見を聞かないと……。			俺には、誰が悪いかなんてわからない……。まずは皆の意見を聞かないと……。			争いと責任							
すべてがめちゃくちゃになってしまった……。こんな状態じゃ何も考えられない。もうだめだ……この村は終わりだ……。			すべてがめちゃくちゃになってしまった……。こんな状態じゃ何も考えられない。もうだめだ……この村は終わりだ……。			争いと責任							
もうだめだ……こんな状態じゃ何も考えられない。この村は終わりだ……。			もうだめだ……こんな状態じゃ何も考えられない。この村は終わりだ……。			争いと責任							
ボク達がしたことは……間違っていたのでしょうか……。			ボク達がしたことは……間違っていたのでしょうか……。			争いと責任							
…………。			…………。			争いと責任							
ふむ……各々の意見がバラバラでまとまりそうにないか……。			ふむ……各々の意見がバラバラでまとまりそうにないか……。			争いと責任							
じゃが、こういうときこそ冷静にならなければならぬ。結局だれが責任を負うのか……ここにいる者たちの投票で決めることにするぞい。			じゃが、こういうときこそ冷静にならなければならぬ。結局だれが責任を負うのか……ここにいる者たちの投票で決めることにするぞい。			争いと責任							
お前らいい加減にせい！こんな状態じゃ、まともに投票も始められんわい！			お前らいい加減にせい！こんな状態じゃ、まともに投票も始められんわい！			争いと責任							
仕方ない……おい旅の人よ。			仕方ない……おい旅の人よ。			争いと責任							
これまでの旅で得た経験を活かし、正しい判断というものを示してくれい。			これまでの旅で得た経験を活かし、正しい判断というものを示してくれい。			争いと責任							
どの意見を選ぶか迷っておるなら、もう一度村人たちの話を聞いてみてもよかろう。			どの意見を選ぶか迷っておるなら、もう一度村人たちの話を聞いてみてもよかろう。			争いと責任							
選ぶ意見が決まったら、ワシに話しかけるのじゃ。			選ぶ意見が決まったら、ワシに話しかけるのじゃ。			争いと責任							
アノッグの行動が、村が崩壊した原因に違いない！だから私の意見は、アノッグが悪いということだ。			アノッグの行動が、村が崩壊した原因に違いない！だから私の意見は、アノッグが悪いということだ。			争いと責任							
村が崩壊した原因は、コノッグが優柔不断で悩んでばかりいたからだ！だから俺の意見は、コノッグが悪いということだ！			村が崩壊した原因は、コノッグが優柔不断で悩んでばかりいたからだ！だから俺の意見は、コノッグが悪いということだ！			争いと責任							
僕の意見はアノッグとコノッグふたりとも悪いということだ！だって僕が当事者なら、こんな結果は招かなかったからね。			僕の意見はアノッグとコノッグふたりとも悪いということだ！だって僕が当事者なら、こんな結果は招かなかったからね。			争いと責任							
え？　私の意見？　そんなものないよ！とにかく、私に責任はないからな！			え？　私の意見？　そんなものないよ！とにかく、私に責任はないからな！			争いと責任							
みんなの意見を集めることが大事だと思ってるんだが、意見がバラバラな時には、どうしたらいいのかわからないんだ……。			みんなの意見を集めることが大事だと思ってるんだが、意見がバラバラな時には、どうしたらいいのかわからないんだ……。			争いと責任							
もうだめだ……この村は終わりだよ……。こんなことになって、立ち直れない。僕はこの村は終わりだと思う……。			もうだめだ……この村は終わりだよ……。こんなことになって、立ち直れない。僕はこの村は終わりだと思う……。			争いと責任							
意見は決まったようじゃな。あんたはどの村人の意見を選ぶのじゃ？			意見は決まったようじゃな。あんたはどの村人の意見を選ぶのじゃ？			争いと責任							
どの意見が正しい？			どの意見が正しい？			争いと責任							
「アノッグが悪い」という用心深い村人の意見			「アノッグが悪い」という用心深い村人の意見			争いと責任							
「コノッグが悪い」という勇ましい村人の意見			「コノッグが悪い」という勇ましい村人の意見			争いと責任							
「アノッグとコノッグが悪い」という利口な村人の意見			「アノッグとコノッグが悪い」という利口な村人の意見			争いと責任							
「どうしたらいいのかわからない」というドワーフ族の親方の意見			「どうしたらいいのかわからない」というドワーフ族の親方の意見			争いと責任							
「この村は終わりだ」という弱気な村人の意見			「この村は終わりだ」という弱気な村人の意見			争いと責任							
もう少し考える			もう少し考える			争いと責任							
あぁ、これは大切な選択じゃからな。ゆっくり考えるがいい。			あぁ、これは大切な選択じゃからな。ゆっくり考えるがいい。			争いと責任							
なるほど……わかった。あとは、最長老であるワシが話をまとめよう。			なるほど……わかった。あとは、最長老であるワシが話をまとめよう。			争いと責任							
静粛に……！今回村が襲撃された事件について、責任を負うべき者を決定する…………。			静粛に……！今回村が襲撃された事件について、責任を負うべき者を決定する…………。			争いと責任							
ちょっと待って！聞いてくれ……今回の事件はワタシが……！			ちょっと待って！聞いてくれ……今回の事件はワタシが……！			争いと責任							
白いアンドロイド達による襲撃、その責任を取るべき者がいるとすれば、私だ。だから、こんな言い争いは無意味……。			白いアンドロイド達による襲撃、その責任を取るべき者がいるとすれば、私だ。だから、こんな言い争いは無意味……。			争いと責任							
お……おい、あれは！この村を襲った奴とそっくりだ……！			お……おい、あれは！この村を襲った奴とそっくりだ……！			争いと責任							
２Ｂ……ボク達のこと、助けてくれたの……？			２Ｂ……ボク達のこと、助けてくれたの……？			争いと責任							
下らない諍いに、興味はない。			下らない諍いに、興味はない。			争いと責任							
あっ……ねぇ、ちょっと！			あっ……ねぇ、ちょっと！			争いと責任							
きっと２Ｂはボク達を助けてくれたんだ。お礼を言いに行かないと……。			きっと２Ｂはボク達を助けてくれたんだ。お礼を言いに行かないと……。			争いと責任							
俺からも、村の奴らに説明をしてみるよ、聞く耳を持ってもらえるかはわからないが……。			俺からも、村の奴らに説明をしてみるよ、聞く耳を持ってもらえるかはわからないが……。			争いと責任							
…………。			…………。			争いと責任							
２Ｂは少年のアンドロイド……９Ｓのもとに向かったようです。追いかけましょう。			２Ｂは少年のアンドロイド……９Ｓのもとに向かったようです。追いかけましょう。			争いと責任							
助けて……くれたんだよね、ありがとう。でも、このままでは２Ｂまで敵だと思われてしまう……。村人達の誤解を解こうよ。			助けて……くれたんだよね、ありがとう。でも、このままでは２Ｂまで敵だと思われてしまう……。村人達の誤解を解こうよ。			争いと責任							
いや、その必要はない。私はここを去る。			いや、その必要はない。私はここを去る。			争いと責任							
まだすべてが終わった訳じゃない。私達も、敵も……。			まだすべてが終わった訳じゃない。私達も、敵も……。			争いと責任							
２Ｂ……。			２Ｂ……。			争いと責任							
あれ？　そういえば、アノッグが見当たらない？まだ拠点の作業場にいるのかな？			あれ？　そういえば、アノッグが見当たらない？まだ拠点の作業場にいるのかな？			争いと責任							
アノッグのことが心配なので、ちょっと様子を見に行きましょう。			アノッグのことが心配なので、ちょっと様子を見に行きましょう。			争いと責任							
大変です！　アノッグがいないんです！今はむやみに出歩かないほうがいいんじゃないかな……。			大変です！　アノッグがいないんです！今はむやみに出歩かないほうがいいんじゃないかな……。			争いと責任							
手分けして、一緒にアノッグを探してくれませんか……！ボクはコメラの村の中を探してみます。アナタは村の周辺を見回ってください。			手分けして、一緒にアノッグを探してくれませんか……！ボクはコメラの村の中を探してみます。アナタは村の周辺を見回ってください。			争いと責任							
辺りを見回ったあとは、村の真ん中で合流しましょう！			辺りを見回ったあとは、村の真ん中で合流しましょう！			争いと責任							
アノッグの姿は見当たらない……。別の場所を探してみよう。			アノッグの姿は見当たらない……。別の場所を探してみよう。			争いと責任							
どこを探しても、アノッグの姿は見当たらない……。一度コメラの村に戻って、「コノッグ」と話そう。			どこを探しても、アノッグの姿は見当たらない……。一度コメラの村に戻って、「コノッグ」と話そう。			争いと責任							
アノッグは見つかりましたか？			アノッグは見つかりましたか？			争いと責任							
村もこんな状態になってしまって、みんなに迷惑をかけて……。			村もこんな状態になってしまって、みんなに迷惑をかけて……。			争いと責任							
２Ｂは消え、アノッグも帰ってこない……。			２Ｂは消え、アノッグも帰ってこない……。			争いと責任							
ボクは……これからどうしたらいいんだろう……。			ボクは……これからどうしたらいいんだろう……。			争いと責任							
コメラの村のコノッグは、苦悩しているようだ。			コメラの村のコノッグは、苦悩しているようだ。			コメラの村の傷痕							
前回までの冒険録：活動停止していた２Ｐの再起動に成功したアノッグとコノッグ。２Ｐが「鍵」と呼ばれる装置を操作すると、突如、機械遺跡の坑道を激しい揺れが襲った。坑道の外へと飛び出した冒険者と双子のドワーフ族は、コメラの村がアンドロイドたちの攻撃を受けている光景を目撃する。２Ｐを止めるため、彼女とそっくりな姿をしたアンドロイド「２Ｂ」とともに、ドヴェルガル山脈に突如出現した巨大な建造物へ進入する一行。最奥で待ち受けていた２Ｐを退けることに成功するも、アノッグは意図せず２Ｐの策謀に手を貸してしまっていた事実を知り、ひどく落胆する。さらにその噂を聞きつけたコメラの村人たちが、双子の姉弟を弾劾せんと、坑道まで押しかけてきた。２Ｂの介入により村人たちは退散したが、機能停止している少年型のアンドロイド「９Ｓ」を抱き上げると、２Ｂは立ち去って行った。これで一連の騒動は沈静化したかに思えたが、今度は双子の姉、アノッグが姿をくらました。残された弟コノッグは、呆然と立ち尽くすことしかできないのであった……。　　　　　　　　　　　　*　*　*コノッグは、アンドロイドたちによる襲撃の件で村人たちから責められ、泣いてしまったようだ。コルシア島のコメラの村の「コノッグ」に、エモート「なぐさめる」をしよう。			前回までの冒険録：活動停止していた２Ｐの再起動に成功したアノッグとコノッグ。２Ｐが「鍵」と呼ばれる装置を操作すると、突如、機械遺跡の坑道を激しい揺れが襲った。坑道の外へと飛び出した冒険者と双子のドワーフ族は、コメラの村がアンドロイドたちの攻撃を受けている光景を目撃する。２Ｐを止めるため、彼女とそっくりな姿をしたアンドロイド「２Ｂ」とともに、ドヴェルガル山脈に突如出現した巨大な建造物へ進入する一行。最奥で待ち受けていた２Ｐを退けることに成功するも、アノッグは意図せず２Ｐの策謀に手を貸してしまっていた事実を知り、ひどく落胆する。さらにその噂を聞きつけたコメラの村人たちが、双子の姉弟を弾劾せんと、坑道まで押しかけてきた。２Ｂの介入により村人たちは退散したが、機能停止している少年型のアンドロイド「９Ｓ」を抱き上げると、２Ｂは立ち去って行った。これで一連の騒動は沈静化したかに思えたが、今度は双子の姉、アノッグが姿をくらました。残された弟コノッグは、呆然と立ち尽くすことしかできないのであった……。　　　　　　　　　　　　*　*　*コノッグは、アンドロイドたちによる襲撃の件で村人たちから責められ、泣いてしまったようだ。コルシア島のコメラの村の「コノッグ」に、エモート「なぐさめる」をしよう。			コメラの村の傷痕							
コノッグをなぐさめると、少し元気を取り戻したようだ。コメラの村の事情に詳しそうな村人から話を聞こう。			コノッグをなぐさめると、少し元気を取り戻したようだ。コメラの村の事情に詳しそうな村人から話を聞こう。			コメラの村の傷痕							
利口な村人と話して、襲撃の被害に遭った夫婦の話を聞いた。コメラの村の「コノッグ」と話そう。			利口な村人と話して、襲撃の被害に遭った夫婦の話を聞いた。コメラの村の「コノッグ」と話そう。			コメラの村の傷痕							
コノッグと話して、夫婦が蜂蜜酒を好んでいたことを伝えると、スティルタイドまでの道案内を頼まれた。ドヴェルガル山脈にいる「コノッグ」と再度話そう。			コノッグと話して、夫婦が蜂蜜酒を好んでいたことを伝えると、スティルタイドまでの道案内を頼まれた。ドヴェルガル山脈にいる「コノッグ」と再度話そう。			コメラの村の傷痕							
コノッグと話して、スティルタイドまでの道を教えた。スクリー山地にいる「コノッグ」とさらに話そう。			コノッグと話して、スティルタイドまでの道を教えた。スクリー山地にいる「コノッグ」とさらに話そう。			コメラの村の傷痕							
コノッグと話した。トップラングにいる「コノッグ」と話そう。			コノッグと話した。トップラングにいる「コノッグ」と話そう。			コメラの村の傷痕							
コノッグと話した。ボトムラングにいる「コノッグ」と話そう。			コノッグと話した。ボトムラングにいる「コノッグ」と話そう。			コメラの村の傷痕							
コノッグと話した。スティルタイドにいる「コノッグ」と話そう。			コノッグと話した。スティルタイドにいる「コノッグ」と話そう。			コメラの村の傷痕							
コノッグと話した。コノッグは、穴あき小舟亭のセヴァから、蜂蜜酒を買い入れることができた。コメラの村にいる「コノッグ」と話そう。			コノッグと話した。コノッグは、穴あき小舟亭のセヴァから、蜂蜜酒を買い入れることができた。コメラの村にいる「コノッグ」と話そう。			コメラの村の傷痕							
コメラの村のコノッグと話して、被害に遭った夫婦の見舞いへ向かうことになった。コメラの村にいる「コノッグ」と再度話そう。			コメラの村のコノッグと話して、被害に遭った夫婦の見舞いへ向かうことになった。コメラの村にいる「コノッグ」と再度話そう。			コメラの村の傷痕							
コノッグと話して、見舞いのために悲しむ村人の妻を訪ねたが、門前払いにされた。逃げるように走り去ってしまった「コノッグ」を探そう。			コノッグと話して、見舞いのために悲しむ村人の妻を訪ねたが、門前払いにされた。逃げるように走り去ってしまった「コノッグ」を探そう。			コメラの村の傷痕							
コノッグを探していたところ、蜂蜜酒の入った瓶を見つけた。すると、そこへドワーフ族の親方がやってきて、コノッグがクレーターに向かったという情報を話してくれた。人形タチノ軍事基地の「指定地点」で見渡そう。人形タチノ軍事基地へは、コルシア島のコメラの村から移動できるようだ。			コノッグを探していたところ、蜂蜜酒の入った瓶を見つけた。すると、そこへドワーフ族の親方がやってきて、コノッグがクレーターに向かったという情報を話してくれた。人形タチノ軍事基地の「指定地点」で見渡そう。人形タチノ軍事基地へは、コルシア島のコメラの村から移動できるようだ。			コメラの村の傷痕							
指定地点で見渡してコノッグを探したが、見つからなかった。人形タチノ軍事基地の「指定地点」で再度見渡そう。			指定地点で見渡してコノッグを探したが、見つからなかった。人形タチノ軍事基地の「指定地点」で再度見渡そう。			コメラの村の傷痕							
指定地点で再度見渡してコノッグを探したが、見つからなかった。人形タチノ軍事基地で「コノッグ」を探そう。			指定地点で再度見渡してコノッグを探したが、見つからなかった。人形タチノ軍事基地で「コノッグ」を探そう。			コメラの村の傷痕							
