ワチュメキメキ万貨街のパメカは、こちらの様子を窺っている。			ワチュメキメキ万貨街のパメカは、こちらの様子を窺っている。			不思議なお話を							
つまり、トラル公用語を「自分たちの言葉にしない」ことで、各部族が受け継いできた文化を護りたかったんです！			つまり、トラル公用語を「自分たちの言葉にしない」ことで、各部族が受け継いできた文化を護りたかったんです！			文字では伝わらない想い							
……それが、文字を不要と断じた理由かと。			……それが、文字を不要と断じた理由かと。			文字では伝わらない想い							
曽祖父は各地を旅した末、ヨカフイ族の絵文字を見て、独自の文字体系を残すことの意義に気づいた……。だから、この石板も大事に保管していたのでしょう。			曽祖父は各地を旅した末、ヨカフイ族の絵文字を見て、独自の文字体系を残すことの意義に気づいた……。だから、この石板も大事に保管していたのでしょう。			文字では伝わらない想い							
どうやら、あなたも曽祖父殿の物語を、正しく継承することができたようですね。			どうやら、あなたも曽祖父殿の物語を、正しく継承することができたようですね。			文字では伝わらない想い							
それは……！まさしく、私がこの旅で明らかにしようとしていたもの……私が語らなければ、このまま忘れ去られてしまう物語！			それは……！まさしく、私がこの旅で明らかにしようとしていたもの……私が語らなければ、このまま忘れ去られてしまう物語！			文字では伝わらない想い							
今すぐにでも本にしたい気持ちが湧いてきました！ここでキミに、装丁の作成をお願いできないでしょうか？			今すぐにでも本にしたい気持ちが湧いてきました！ここでキミに、装丁の作成をお願いできないでしょうか？			文字では伝わらない想い							
本というのは、我々には小さく扱いづらいが……どのようにして作られるのか、興味がありますね。			本というのは、我々には小さく扱いづらいが……どのようにして作られるのか、興味がありますね。			文字では伝わらない想い							
曽祖父の旅路の転換点となったヨカフイ族との出会い。その出来事を象徴する本を作るのであれば、この一帯の石材を装丁に採り入れるのがよさそうですが……。			曽祖父の旅路の転換点となったヨカフイ族との出会い。その出来事を象徴する本を作るのであれば、この一帯の石材を装丁に採り入れるのがよさそうですが……。			文字では伝わらない想い							
石材ならここにいくらでもあります。好きなだけ使ってくれて構いませんよ。			石材ならここにいくらでもあります。好きなだけ使ってくれて構いませんよ。			文字では伝わらない想い							
ありがとうございます！			ありがとうございます！			文字では伝わらない想い							
こんなこともあろうかと、紙とペン、そして携帯式の文机を持ってきていましてね。ですので、これからここで本の執筆を始めようかと。			こんなこともあろうかと、紙とペン、そして携帯式の文机を持ってきていましてね。ですので、これからここで本の執筆を始めようかと。			文字では伝わらない想い							
その間、Forename君は、「ヨカフイの伝統素材」を分けていただいて、「ヨカフイ様式の装丁」の作成をお願いします！			その間、Forename君は、「ヨカフイの伝統素材」を分けていただいて、「ヨカフイ様式の装丁」の作成をお願いします！			文字では伝わらない想い							
書物というものは知っていましたが、その装飾に石を使うこともあるとは知りませんでした。ここにはいくらでもあるから、好きなだけ使ってください。			書物というものは知っていましたが、その装飾に石を使うこともあるとは知りませんでした。ここにはいくらでもあるから、好きなだけ使ってください。			文字では伝わらない想い							
おお、石を採り入れてそのような装飾を……！私にも、あなたの腕前の素晴らしさがわかりますよ。			おお、石を採り入れてそのような装飾を……！私にも、あなたの腕前の素晴らしさがわかりますよ。			文字では伝わらない想い							
ヨカフイ族の石工さんから「ヨカフイの伝統素材」をお借りして、「ヨカフイ様式の装丁」の作成をお願いします！			ヨカフイ族の石工さんから「ヨカフイの伝統素材」をお借りして、「ヨカフイ様式の装丁」の作成をお願いします！			文字では伝わらない想い							
ああ、ついにうちの一族についての本ができあがりました。これは私にとって、とても大事な1冊となるでしょう……！			ああ、ついにうちの一族についての本ができあがりました。これは私にとって、とても大事な1冊となるでしょう……！			文字では伝わらない想い							
この中には、あなた方ヨカフイ族のことも書かれています。それで、すべての事柄を文字で書くのは、ちょっと違うと思いまして……			この中には、あなた方ヨカフイ族のことも書かれています。それで、すべての事柄を文字で書くのは、ちょっと違うと思いまして……			文字では伝わらない想い							
曽祖父が目にしたであろう石碑の数々を、僭越ながらいくつか模写させていただきました。なんというか、挿絵のようなものですね。			曽祖父が目にしたであろう石碑の数々を、僭越ながらいくつか模写させていただきました。なんというか、挿絵のようなものですね。			文字では伝わらない想い							
なるほど、絵文字を読めはしなくとも、我々の文化がどのようなものであるか、それで伝わりますね。大変ありがたいことです。			なるほど、絵文字を読めはしなくとも、我々の文化がどのようなものであるか、それで伝わりますね。大変ありがたいことです。			文字では伝わらない想い							
想いを伝えるのは、文字だけではない……そう、曽祖父に教わったような気がします。			想いを伝えるのは、文字だけではない……そう、曽祖父に教わったような気がします。			文字では伝わらない想い							
大変お世話になりました。これにて私たちはトライヨラに戻ろうと思います。			大変お世話になりました。これにて私たちはトライヨラに戻ろうと思います。			文字では伝わらない想い							
80年近くも前の出来事が、今に伝わり、新たな異文化交流を育ませるとは……。これもグルージャジャ様が望んだ未来の姿かもしれませんね。			80年近くも前の出来事が、今に伝わり、新たな異文化交流を育ませるとは……。これもグルージャジャ様が望んだ未来の姿かもしれませんね。			文字では伝わらない想い							
曽祖父の物語を知ることができ、トライヨラを飛び出していった甲斐がありました。			曽祖父の物語を知ることができ、トライヨラを飛び出していった甲斐がありました。			文字では伝わらない想い							
作った本は、デモウェニ君にお貸ししようかと思います。最近の彼、少しずつ文字が読めるようになってきたそうですし、挿絵もありますから、内容も理解しやすいかと。			作った本は、デモウェニ君にお貸ししようかと思います。最近の彼、少しずつ文字が読めるようになってきたそうですし、挿絵もありますから、内容も理解しやすいかと。			文字では伝わらない想い							
元はと言えば、彼の依頼がきっかけですから。読んでいただけたら、嬉しいです！			元はと言えば、彼の依頼がきっかけですから。読んでいただけたら、嬉しいです！			文字では伝わらない想い							
キミにはウォーラーの残響まで連れていってもらっただけでなく、素晴らしい装丁まで仕上げていただいて……今回は本当にお世話になりました。			キミにはウォーラーの残響まで連れていってもらっただけでなく、素晴らしい装丁まで仕上げていただいて……今回は本当にお世話になりました。			文字では伝わらない想い							
また次の依頼があったときには、よろしくお願いしますね！			また次の依頼があったときには、よろしくお願いしますね！			文字では伝わらない想い							
次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「すべての路は希望とともに」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「すべての路は希望とともに」を完了する必要があります。			文字では伝わらない想い							
「木工師／革細工師／裁縫師」のいずれかが、レベル98以上になると、万貨街の「パメカ」から、次のクエストが受注可能です。			「木工師／革細工師／裁縫師」のいずれかが、レベル98以上になると、万貨街の「パメカ」から、次のクエストが受注可能です。			文字では伝わらない想い							
本クエストで製作した「NQアイテム」を所持しています。このアイテムは、使用することはありません。売却もできませんので、不用でしたら破棄してください。			本クエストで製作した「NQアイテム」を所持しています。このアイテムは、使用することはありません。売却もできませんので、不用でしたら破棄してください。			文字では伝わらない想い							
ワチュメキメキ万貨街のパメカは、次の依頼を心待ちにしているようだ。			ワチュメキメキ万貨街のパメカは、次の依頼を心待ちにしているようだ。			樹冠の向こうに							
パメカから装丁に使う部材の製作を依頼された。「マムージャ様式の装丁部材」を6個製作し、ワチュメキメキ万貨街の「パメカ」へ納品しよう。※納品は、収集価値「260」以上で可能となりますが、「530」以上で納品した場合、より多くの報酬が得られます。			パメカから装丁に使う部材の製作を依頼された。「マムージャ様式の装丁部材」を6個製作し、ワチュメキメキ万貨街の「パメカ」へ納品しよう。※納品は、収集価値「260」以上で可能となりますが、「530」以上で納品した場合、より多くの報酬が得られます。			樹冠の向こうに							
パメカに「マムージャ様式の装丁部材」を納品した。デモウェニは自分の一族に伝わる物語について、思うところがあるようだ。次の依頼が来るまで、パメカとともに待とう。			パメカに「マムージャ様式の装丁部材」を納品した。デモウェニは自分の一族に伝わる物語について、思うところがあるようだ。次の依頼が来るまで、パメカとともに待とう。			樹冠の向こうに							
パメカにマムージャ様式の装丁部材を納品			パメカにマムージャ様式の装丁部材を納品			樹冠の向こうに							
本クエストを進行するためには、「メインクエスト：黄金のレガシー」の、「すべての路は希望とともに」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：黄金のレガシー」の、「すべての路は希望とともに」を完了する必要があります。			樹冠の向こうに							
どうも、待ってましたよ。前回、ウォーラーの残響では、いろいろなことがわかりましたね。			どうも、待ってましたよ。前回、ウォーラーの残響では、いろいろなことがわかりましたね。			樹冠の向こうに							
私の曽祖父や、ヨカフイ族の皆さん、それにグルージャジャ様……違う文化の人々が、想いを伝えるために何をしてきたか。			私の曽祖父や、ヨカフイ族の皆さん、それにグルージャジャ様……違う文化の人々が、想いを伝えるために何をしてきたか。			樹冠の向こうに							
今なら、私たちもデモウェニ君の依頼に、より高い精度で応えられそうです！			今なら、私たちもデモウェニ君の依頼に、より高い精度で応えられそうです！			樹冠の向こうに							
やあ、おふたりとも。なにやら楽しそうだね？			やあ、おふたりとも。なにやら楽しそうだね？			樹冠の向こうに							
デモウェニ君、いらっしゃい。			デモウェニ君、いらっしゃい。			樹冠の向こうに							
実は、あれから私の一族について調べまして……曽祖父に関する物語を、1冊の本にしたんです。きっかけをくれたデモウェニ君にも、読んでもらいたくて。			実は、あれから私の一族について調べまして……曽祖父に関する物語を、1冊の本にしたんです。きっかけをくれたデモウェニ君にも、読んでもらいたくて。			樹冠の向こうに							
それは光栄だ！僕も少しは文字が読めるようになってきたし、喜んでお借りします！			それは光栄だ！僕も少しは文字が読めるようになってきたし、喜んでお借りします！			樹冠の向こうに							
そろそろ、読みだけじゃなくて、書く方も上達したいところだけど……当面は、まだこの工房のお世話になりそうだ。			そろそろ、読みだけじゃなくて、書く方も上達したいところだけど……当面は、まだこの工房のお世話になりそうだ。			樹冠の向こうに							
というのも、マムージャ族のお客さんから興味深い話を聞いてね。今度はその物語を本にしてみたいんだ。			というのも、マムージャ族のお客さんから興味深い話を聞いてね。今度はその物語を本にしてみたいんだ。			樹冠の向こうに							
承知しました。では、少しお時間をください。			承知しました。では、少しお時間をください。			樹冠の向こうに							
今回の物語にふさわしいのは、ヤクテル樹海で採れる素材を用いたものになるかと。どうか「マムージャ様式の装丁部材」の準備をお願いします！			今回の物語にふさわしいのは、ヤクテル樹海で採れる素材を用いたものになるかと。どうか「マムージャ様式の装丁部材」の準備をお願いします！			樹冠の向こうに							
僕はパメカさんからお借りした本を読んでますから、じっくり時間をかけて準備してもらって大丈夫ですよ。うわぁ、楽しみだな～！			僕はパメカさんからお借りした本を読んでますから、じっくり時間をかけて準備してもらって大丈夫ですよ。うわぁ、楽しみだな～！			樹冠の向こうに							
マムージャ族の物語を本にするにあたって必要な、「マムージャ様式の装丁部材」の準備をお願いします！			マムージャ族の物語を本にするにあたって必要な、「マムージャ様式の装丁部材」の準備をお願いします！			樹冠の向こうに							
なるほど、おぼろげながら装丁の完成形がイメージできそうです。はたしてマムージャ族の物語はどのようなものなのか……今から期待が高まりますね！			なるほど、おぼろげながら装丁の完成形がイメージできそうです。はたしてマムージャ族の物語はどのようなものなのか……今から期待が高まりますね！			樹冠の向こうに							
こちらは、ヤクテル樹海に由来する織物や木材を、より一層丁寧かつキメ細やかに加工していますね……今回もまた、良い本ができあがりそうです！			こちらは、ヤクテル樹海に由来する織物や木材を、より一層丁寧かつキメ細やかに加工していますね……今回もまた、良い本ができあがりそうです！			樹冠の向こうに							
さて、今回のお話を僕に教えてくれたのは、マムージャ族……それも、ドプロ族のお客さんでした。			さて、今回のお話を僕に教えてくれたのは、マムージャ族……それも、ドプロ族のお客さんでした。			樹冠の向こうに							
ドプロ族といえば騎獣の扱いに長けた部族ですが、その用途は、何も戦いに限ったものではなかったようです。これはそんなドプロ族に伝わる、古い、古い物語……。			ドプロ族といえば騎獣の扱いに長けた部族ですが、その用途は、何も戦いに限ったものではなかったようです。これはそんなドプロ族に伝わる、古い、古い物語……。			樹冠の向こうに							
あるところにドプロ族の青年がいた。彼の部族には「太陽の陽射しが差し込む地を目指せ」、という教えがあり、皆その地を探して戦いに明け暮れていた。			あるところにドプロ族の青年がいた。彼の部族には「太陽の陽射しが差し込む地を目指せ」、という教えがあり、皆その地を探して戦いに明け暮れていた。			樹冠の向こうに							
しかし、青年ときたら腕っぷしはからっきし。戦場に出ることは許されず、任されるのはウィヴルに荷車をひかせて荷物を運ぶ仕事だけ。			しかし、青年ときたら腕っぷしはからっきし。戦場に出ることは許されず、任されるのはウィヴルに荷車をひかせて荷物を運ぶ仕事だけ。			樹冠の向こうに							
そこで彼は、飛獣を操ることができれば、高い樹木の樹冠を抜けて、太陽を拝めるのではないかと考えた。			そこで彼は、飛獣を操ることができれば、高い樹木の樹冠を抜けて、太陽を拝めるのではないかと考えた。			樹冠の向こうに							
こうして、森のあちこちを歩き……空を飛べる生き物を見つけては、その背に飛び乗ろうとする毎日が始まった。			こうして、森のあちこちを歩き……空を飛べる生き物を見つけては、その背に飛び乗ろうとする毎日が始まった。			樹冠の向こうに							
腕っぷしの弱い彼では、小型の獣を手懐けるのもひと苦労。何度振り落とされても同じことを繰り返す、彼の姿を見た仲間たちは、ついにおかしくなったのかと笑った。			腕っぷしの弱い彼では、小型の獣を手懐けるのもひと苦労。何度振り落とされても同じことを繰り返す、彼の姿を見た仲間たちは、ついにおかしくなったのかと笑った。			樹冠の向こうに							
それでも彼は諦めず、果敢に挑戦を続け……やがてレルムザシャールという獣を操る術を見つけた。部族の中で、初めて飛獣を乗りこなすことに成功したのだ！			それでも彼は諦めず、果敢に挑戦を続け……やがてレルムザシャールという獣を操る術を見つけた。部族の中で、初めて飛獣を乗りこなすことに成功したのだ！			樹冠の向こうに							
すぐさまその方法を老いた両親にも教えると、彼はレルムザシャールに乗って飛び立った。……そして、樹冠の向こうへと消えた。			すぐさまその方法を老いた両親にも教えると、彼はレルムザシャールに乗って飛び立った。……そして、樹冠の向こうへと消えた。			樹冠の向こうに							
それから彼は二度と帰らなかったが、きっと太陽の陽射しが差し込む地へと辿りついたのだろう。			それから彼は二度と帰らなかったが、きっと太陽の陽射しが差し込む地へと辿りついたのだろう。			樹冠の向こうに							
やがて、彼が遺した技術が広まり、今では陽射しを浴びて空を往くドプロ族の姿は珍しくない。			やがて、彼が遺した技術が広まり、今では陽射しを浴びて空を往くドプロ族の姿は珍しくない。			樹冠の向こうに							
おお……この深く吸い込まれるような青の装丁は……陽の光届かぬ森のセノーテ、いや、彼らが目指した空の青？いろいろと想像が湧きますね！			おお……この深く吸い込まれるような青の装丁は……陽の光届かぬ森のセノーテ、いや、彼らが目指した空の青？いろいろと想像が湧きますね！			樹冠の向こうに							
あなたは、今の物語のどこが印象に残りましたか？			あなたは、今の物語のどこが印象に残りましたか？			樹冠の向こうに							
何と言う？			何と言う？			樹冠の向こうに							
彼は勇敢な青年だったに違いない			彼は勇敢な青年だったに違いない			樹冠の向こうに							
彼は本当に辿りついたのだろうか？			彼は本当に辿りついたのだろうか？			樹冠の向こうに							
敵と戦って土地を奪うのではなく、別の動物の力を借りて、まだ見ぬ土地へ……それが事実なら、称えられるべき冒険譚です！			敵と戦って土地を奪うのではなく、別の動物の力を借りて、まだ見ぬ土地へ……それが事実なら、称えられるべき冒険譚です！			樹冠の向こうに							
戦争の最中だったそうですから、敵に撃ち落とされ、そのままどこかの樹冠に引っかかってしまった……そういう可能性もなくはないでしょうが、夢がありませんよね。			戦争の最中だったそうですから、敵に撃ち落とされ、そのままどこかの樹冠に引っかかってしまった……そういう可能性もなくはないでしょうが、夢がありませんよね。			樹冠の向こうに							
私たちは、過去に戻って真実を明らかにすることはできません。しかし、物語を聞いて抱いた今の想いを、さらに未来へと語り継いでいくことはできます。			私たちは、過去に戻って真実を明らかにすることはできません。しかし、物語を聞いて抱いた今の想いを、さらに未来へと語り継いでいくことはできます。			樹冠の向こうに							
本を書くということは、想いを未来へ託すこと……そう言ってしまっても良いのではないでしょうか。			本を書くということは、想いを未来へ託すこと……そう言ってしまっても良いのではないでしょうか。			樹冠の向こうに							
想いを未来へ託す……。逆に言えば、誰かが受け継がないかぎり、そこで想いは途絶えてしまう、ということでもあるのか。			想いを未来へ託す……。逆に言えば、誰かが受け継がないかぎり、そこで想いは途絶えてしまう、ということでもあるのか。			樹冠の向こうに							
これまでに口述し、本にしてくださった物語には、そういった想いがたくさん詰まっていました。			これまでに口述し、本にしてくださった物語には、そういった想いがたくさん詰まっていました。			樹冠の向こうに							
けれど、うちの一族には記録なんてひとつもない。口伝で語り継いでる物語はあるものの、よそで暮らす人は誰も知らない。			けれど、うちの一族には記録なんてひとつもない。口伝で語り継いでる物語はあるものの、よそで暮らす人は誰も知らない。			樹冠の向こうに							
このまま、誰かに知られることなく消えてしまったら、一族が生きていたという事実さえ、なかったのと同じことに……。			このまま、誰かに知られることなく消えてしまったら、一族が生きていたという事実さえ、なかったのと同じことに……。			樹冠の向こうに							
……デモウェニ君？			……デモウェニ君？			樹冠の向こうに							
おおっと、失礼。そろそろ仕事の時間だし、僕はもう行きます。おふたりとも、素敵な本をありがとう！			おおっと、失礼。そろそろ仕事の時間だし、僕はもう行きます。おふたりとも、素敵な本をありがとう！			樹冠の向こうに							
パメカの筆記工房の貢献ランクが上昇しました！パメカはあなたの事を、「高みを目指す装丁家」と感じているようです！			パメカの筆記工房の貢献ランクが上昇しました！パメカはあなたの事を、「高みを目指す装丁家」と感じているようです！			樹冠の向こうに							
また、万貨街取引のストーリークエストが発行されました！「木工師／革細工師／裁縫師」のいずれかが、レベル100以上になると「パメカ」から受注可能です。			また、万貨街取引のストーリークエストが発行されました！「木工師／革細工師／裁縫師」のいずれかが、レベル100以上になると「パメカ」から受注可能です。			樹冠の向こうに							
ワチュメキメキ万貨街のパメカは、デモウェニの様子が気になっているようだ。			ワチュメキメキ万貨街のパメカは、デモウェニの様子が気になっているようだ。			辿りつく故郷							
パメカと話した。デモウェニから次の依頼がないため、様子を見にいくことになった。トライヨラのシャバーブチェにいる「デモウェニ」と話そう。			パメカと話した。デモウェニから次の依頼がないため、様子を見にいくことになった。トライヨラのシャバーブチェにいる「デモウェニ」と話そう。			辿りつく故郷							
デモウェニと話した。「トナワータの伝統素材」をもとに「トナワータ様式の装丁部材」を製作し、トライヨラのワチュメキメキ万貨街にいる「パメカ」に納品しよう。※「トナワータの伝統素材」を失った場合は、ワチュメキメキ万貨街のデモウェニに話しかけましょう。材料を入手し、再挑戦が可能になります。			デモウェニと話した。「トナワータの伝統素材」をもとに「トナワータ様式の装丁部材」を製作し、トライヨラのワチュメキメキ万貨街にいる「パメカ」に納品しよう。※「トナワータの伝統素材」を失った場合は、ワチュメキメキ万貨街のデモウェニに話しかけましょう。材料を入手し、再挑戦が可能になります。			辿りつく故郷							
パメカにトナワータ様式の装丁部材を渡した。完成した本を、ほかの人々にも語り聞かせることになった。シャバーブチェの「指定地点」で待機しよう。			パメカにトナワータ様式の装丁部材を渡した。完成した本を、ほかの人々にも語り聞かせることになった。シャバーブチェの「指定地点」で待機しよう。			辿りつく故郷							
シャバーブチェで、デモウェニの一族について書かれた本の朗読が行われた。文字を持たない彼らの物語を、多くの人々に伝えることができたようだ。シャバーブチェの「デモウェニ」と話そう。			シャバーブチェで、デモウェニの一族について書かれた本の朗読が行われた。文字を持たない彼らの物語を、多くの人々に伝えることができたようだ。シャバーブチェの「デモウェニ」と話そう。			辿りつく故郷							
デモウェニと話した。ワチュメキメキ万貨街の「パメカ」と話そう。			デモウェニと話した。ワチュメキメキ万貨街の「パメカ」と話そう。			辿りつく故郷							
パメカと話した。文字は、人々の想いを後世にまで残すことができる優れた道具である。だが、文字だけではすべての想いをすくいとることはできない……。そう学んだパメカは、より一層、人々の想いに寄り添える代筆を行えるよう、これからも精進していくようだ。そんな彼女の足跡もまた、いつの日か物語となることだろう。			パメカと話した。文字は、人々の想いを後世にまで残すことができる優れた道具である。だが、文字だけではすべての想いをすくいとることはできない……。そう学んだパメカは、より一層、人々の想いに寄り添える代筆を行えるよう、これからも精進していくようだ。そんな彼女の足跡もまた、いつの日か物語となることだろう。			辿りつく故郷							
デモウェニと話す			デモウェニと話す			辿りつく故郷							
製作手帳 万貨街取引：トナワータ様式の装丁部材を製作パメカにトナワータ様式の装丁部材を納品			製作手帳 万貨街取引：トナワータ様式の装丁部材を製作パメカにトナワータ様式の装丁部材を納品			辿りつく故郷							
指定地点で待機			指定地点で待機			辿りつく故郷							
デモウェニと話す			デモウェニと話す			辿りつく故郷							
パメカと話す			パメカと話す			辿りつく故郷							
ああ、Forename君。この前のデモウェニ君、なにやら悩んでそうでしたよね。			ああ、Forename君。この前のデモウェニ君、なにやら悩んでそうでしたよね。			辿りつく故郷							
次の依頼についても話してませんでしたし……もしかして、本の製作はもうおしまいなんでしょうか。			次の依頼についても話してませんでしたし……もしかして、本の製作はもうおしまいなんでしょうか。			辿りつく故郷							
そういえば、元々はお客さんから求められて、物語を披露する際の助けとして本を作ってたんですよね。			そういえば、元々はお客さんから求められて、物語を披露する際の助けとして本を作ってたんですよね。			辿りつく故郷							
普段は、どういう感じでやっているんでしょうか。ちょっと気になってきたので、一緒に、彼が勤めているシャバーブチェに行ってみませんか？			普段は、どういう感じでやっているんでしょうか。ちょっと気になってきたので、一緒に、彼が勤めているシャバーブチェに行ってみませんか？			辿りつく故郷							
ありがとうございます！ではデモウェニ君のところに行ってみましょう！			ありがとうございます！ではデモウェニ君のところに行ってみましょう！			辿りつく故郷							
私は店を閉める支度をしていきます。キミはシャバーブチェのデモウェニ君のところへ、先に向かっててもらえますか？			私は店を閉める支度をしていきます。キミはシャバーブチェのデモウェニ君のところへ、先に向かっててもらえますか？			辿りつく故郷							
おや、おふたりとも、仕事あがりの一杯ですか？			おや、おふたりとも、仕事あがりの一杯ですか？			辿りつく故郷							
ああ、それも悪くありませんが……普段デモウェニ君がどんな風に物語を披露しているのかと、ちょっと気になったものですから。			ああ、それも悪くありませんが……普段デモウェニ君がどんな風に物語を披露しているのかと、ちょっと気になったものですから。			辿りつく故郷							
でしたら、今はちょっと間が悪かったかも……。まだお客さんの入りもそこまでじゃないから、多分すぐにはやらないかな。			でしたら、今はちょっと間が悪かったかも……。まだお客さんの入りもそこまでじゃないから、多分すぐにはやらないかな。			辿りつく故郷							
そうですか、それは残念です……。			そうですか、それは残念です……。			辿りつく故郷							
そうだ、次にご依頼される内容は決まっていますか？先にわかれば、Forename君に、素材の準備だけでも進めてもらえるのですが。			そうだ、次にご依頼される内容は決まっていますか？先にわかれば、Forename君に、素材の準備だけでも進めてもらえるのですが。			辿りつく故郷							
次の依頼、ですか……。			次の依頼、ですか……。			辿りつく故郷							
ハッ、もしや、もう本にしたい物語がなかったとか？それでしたら無理は言いませんので！			ハッ、もしや、もう本にしたい物語がなかったとか？それでしたら無理は言いませんので！			辿りつく故郷							
いえ、お客さんから聞いた話はまだまだたくさんあります。ただ次は、知られざる曽祖父の足跡を書いたパメカさんのように、僕も自分の一族のことを本にしたいなと思って。			いえ、お客さんから聞いた話はまだまだたくさんあります。ただ次は、知られざる曽祖父の足跡を書いたパメカさんのように、僕も自分の一族のことを本にしたいなと思って。			辿りつく故郷							
僕らの物語も、よその人にはまったく知られていません。口伝が絶えれば永久に失われてしまうわけで、そうならないよう、記録に残しておきたいんです。			僕らの物語も、よその人にはまったく知られていません。口伝が絶えれば永久に失われてしまうわけで、そうならないよう、記録に残しておきたいんです。			辿りつく故郷							
おお、それは素敵ですね！しかし、それならば何を悩んでいるのです？			おお、それは素敵ですね！しかし、それならば何を悩んでいるのです？			辿りつく故郷							
そういう本を作ったとして……肝心の故郷の皆は、文字を知らないから読めないんです。そんなものを残して、本当に想いを継いだと言えるでしょうか？			そういう本を作ったとして……肝心の故郷の皆は、文字を知らないから読めないんです。そんなものを残して、本当に想いを継いだと言えるでしょうか？			辿りつく故郷							
言われてみれば、たしかに……。文字を使わない方たちの想い、どうすれば残せるのでしょうか。			言われてみれば、たしかに……。文字を使わない方たちの想い、どうすれば残せるのでしょうか。			辿りつく故郷							
何と言う？			何と言う？			辿りつく故郷							
文字が読めない人にも読める本にしよう			文字が読めない人にも読める本にしよう			辿りつく故郷							
パメカはもう、その方法を知っているはずだ			パメカはもう、その方法を知っているはずだ			辿りつく故郷							
なるほど、文字だけに頼らなければよいのですね。たとえば挿絵を入れるとか……。			なるほど、文字だけに頼らなければよいのですね。たとえば挿絵を入れるとか……。			辿りつく故郷							
……そうか、この前はヨカフイ族の絵文字を模写しましたね。文字が読めなくても、絵を見てもらうことはできるはず。			……そうか、この前はヨカフイ族の絵文字を模写しましたね。文字が読めなくても、絵を見てもらうことはできるはず。			辿りつく故郷							
いえ、なんなら実物をそのまま使っても構いません。登場する生き物の羽根や、咲いている花などを直接貼付すれば、その感触や香りを確かめることさえできます。			いえ、なんなら実物をそのまま使っても構いません。登場する生き物の羽根や、咲いている花などを直接貼付すれば、その感触や香りを確かめることさえできます。			辿りつく故郷							
もちろん本として保存がきく加工を施す必要はあるでしょう。しかし、そういった工夫を凝らせば、文字に頼らず物語の世界観を伝えられるのでは！？			もちろん本として保存がきく加工を施す必要はあるでしょう。しかし、そういった工夫を凝らせば、文字に頼らず物語の世界観を伝えられるのでは！？			辿りつく故郷							
さまざまな感覚に訴えかけるような本……それならうちの一族にも、内容が伝わると思います。			さまざまな感覚に訴えかけるような本……それならうちの一族にも、内容が伝わると思います。			辿りつく故郷							
ちょうど今、僕が故郷の品を持ってますから、ぜひ装丁の部材作成に使ってください！念のため、予備の品を取りに戻ってから筆記工房まで伺います。			ちょうど今、僕が故郷の品を持ってますから、ぜひ装丁の部材作成に使ってください！念のため、予備の品を取りに戻ってから筆記工房まで伺います。			辿りつく故郷							
では、私も戻って口述筆記の支度をしますね。キミは「トナワータ様式の装丁部材」の準備をしつつ、筆記工房の方まで来てください！			では、私も戻って口述筆記の支度をしますね。キミは「トナワータ様式の装丁部材」の準備をしつつ、筆記工房の方まで来てください！			辿りつく故郷							
僕の故郷に関する物語ですからね。よりイメージに近い装丁を作ってもらうため、素材はこちらで準備しますよ！			僕の故郷に関する物語ですからね。よりイメージに近い装丁を作ってもらうため、素材はこちらで準備しますよ！			辿りつく故郷							
おお、装丁の部材が完成しましたか。ではそれを「パメカ」さんにも見せて、口述筆記を始めましょう！			おお、装丁の部材が完成しましたか。ではそれを「パメカ」さんにも見せて、口述筆記を始めましょう！			辿りつく故郷							
さまざまな感覚に訴えかける本にふさわしい装丁。「トナワータ様式の装丁部材」の準備はできましたか？			さまざまな感覚に訴えかける本にふさわしい装丁。「トナワータ様式の装丁部材」の準備はできましたか？			辿りつく故郷							
ああ、なんと丁寧な仕上がり……素敵な本になりそうですね！それでは、すぐに口述筆記を始めましょう。			ああ、なんと丁寧な仕上がり……素敵な本になりそうですね！それでは、すぐに口述筆記を始めましょう。			辿りつく故郷							
これは……なんて素晴らしい本なんだ。文字で物語が記録されているだけでなく、貼付された羽根や草花を通じて、物語を体験できるなんて。			これは……なんて素晴らしい本なんだ。文字で物語が記録されているだけでなく、貼付された羽根や草花を通じて、物語を体験できるなんて。			辿りつく故郷							
この本を故郷に持ち帰って、家族にも見てもらおう。文字は読めなくとも、自分たちのことが記されているんだって、きっと理解してもらえると思う。			この本を故郷に持ち帰って、家族にも見てもらおう。文字は読めなくとも、自分たちのことが記されているんだって、きっと理解してもらえると思う。			辿りつく故郷							
何と言う？			何と言う？			辿りつく故郷							
朗読をすれば、さらに多くの人に理解してもらえそうだ			朗読をすれば、さらに多くの人に理解してもらえそうだ			辿りつく故郷							
シャバーブチェのお客さんと一緒に聞きたい			シャバーブチェのお客さんと一緒に聞きたい			辿りつく故郷							
ええ、それが当初の目的でしたからね。おかげさまで、僕もずいぶんと文字を読めるようになりましたし、暗唱するのではなく、朗読会という形にしてみましょう。			ええ、それが当初の目的でしたからね。おかげさまで、僕もずいぶんと文字を読めるようになりましたし、暗唱するのではなく、朗読会という形にしてみましょう。			辿りつく故郷							
