先輩レターモーグリは、冒険者に敏腕美容師への手紙を託したいようだ。			先輩レターモーグリは、冒険者に敏腕美容師への手紙を託したいようだ。			敏腕美容師の華麗なる妙技							
「チャボアザミ」は、集まったかい？			「チャボアザミ」は、集まったかい？			チャボアザミが繋ぐ願い							
ありがとう、これは僕にとって特別な花でね……。それじゃ、僕はこの花を使って準備をするから、君は、先に中央森林の「翡翠湖畔」で待っててくれるかい？			ありがとう、これは僕にとって特別な花でね……。それじゃ、僕はこの花を使って準備をするから、君は、先に中央森林の「翡翠湖畔」で待っててくれるかい？			チャボアザミが繋ぐ願い							
僕は「チャボアザミ」を使って準備をするから、君は、先に中央森林の「翡翠湖畔」で待っててくれるかい？			僕は「チャボアザミ」を使って準備をするから、君は、先に中央森林の「翡翠湖畔」で待っててくれるかい？			チャボアザミが繋ぐ願い							
やあ、お待たせ。			やあ、お待たせ。			チャボアザミが繋ぐ願い							
ここから見る景色も格別だろ？ご覧、あれがグリダニア最大の水車……「フィガガ大水車」さ。			ここから見る景色も格別だろ？ご覧、あれがグリダニア最大の水車……「フィガガ大水車」さ。			チャボアザミが繋ぐ願い							
……とても大きいだろう？僕の祖父とララフェル族の父親が作り上げた水車だけど……実は、ふたりとも完成した姿を見ていないんだ。			……とても大きいだろう？僕の祖父とララフェル族の父親が作り上げた水車だけど……実は、ふたりとも完成した姿を見ていないんだ。			チャボアザミが繋ぐ願い							
ちょうど設計図面が完成したころに、その父親は、流行病で亡くなってしまったのさ。			ちょうど設計図面が完成したころに、その父親は、流行病で亡くなってしまったのさ。			チャボアザミが繋ぐ願い							
だけど話はここで終わらない。移民の娘……フィガガが、父親の遺志を継ぐと申し出たんだ。			だけど話はここで終わらない。移民の娘……フィガガが、父親の遺志を継ぐと申し出たんだ。			チャボアザミが繋ぐ願い							
まったくの素人だった彼女は、木工師ギルドで技を学び、10年越しで、父親が残した設計図面を元に、大水車を完成させてくれたんだよ。			まったくの素人だった彼女は、木工師ギルドで技を学び、10年越しで、父親が残した設計図面を元に、大水車を完成させてくれたんだよ。			チャボアザミが繋ぐ願い							
グリダニアにやって来た時には、チャボアザミの花飾りを好んで身に着けるような、おしとやかな女の子だったフィガガ……。			グリダニアにやって来た時には、チャボアザミの花飾りを好んで身に着けるような、おしとやかな女の子だったフィガガ……。			チャボアザミが繋ぐ願い							
そんな彼女が、父親の死を境に、自分を「僕」と呼ぶ男勝りの女性になった。父親の遺志を継ぐ、覚悟の表れだったんだろうね。			そんな彼女が、父親の死を境に、自分を「僕」と呼ぶ男勝りの女性になった。父親の遺志を継ぐ、覚悟の表れだったんだろうね。			チャボアザミが繋ぐ願い							
決してあきらめず、努力し続けたフィガガは、僕にとって永遠の憧れであり、目標なんだ。……自分を「僕」と呼ぶマネをするほどにね。			決してあきらめず、努力し続けたフィガガは、僕にとって永遠の憧れであり、目標なんだ。……自分を「僕」と呼ぶマネをするほどにね。			チャボアザミが繋ぐ願い							
そんな彼女も、父親と同じ病で亡くなってしまった……。だから、親子の思いがつまった大水車がよく見えるよう、ここで、ふたりを葬送したのさ。			そんな彼女も、父親と同じ病で亡くなってしまった……。だから、親子の思いがつまった大水車がよく見えるよう、ここで、ふたりを葬送したのさ。			チャボアザミが繋ぐ願い							
君のおかげで、いい墓参りになったよ。……さあ、帰ろうか。フィガガが好きだったチャボアザミの名をつけた、僕のカフェへ。			君のおかげで、いい墓参りになったよ。……さあ、帰ろうか。フィガガが好きだったチャボアザミの名をつけた、僕のカフェへ。			チャボアザミが繋ぐ願い							
わざわざ付き合ってくれてありがとう。君のような異邦の民にこそ、この話を知っておいてほしかったんだ……。			わざわざ付き合ってくれてありがとう。君のような異邦の民にこそ、この話を知っておいてほしかったんだ……。			チャボアザミが繋ぐ願い							
僕が祖父の水車小屋をカフェに改装したのも、異邦からの訪問者を歓迎するためなんだ。フィガガ父娘のように、辛い想いをする人が出ないようにね。			僕が祖父の水車小屋をカフェに改装したのも、異邦からの訪問者を歓迎するためなんだ。フィガガ父娘のように、辛い想いをする人が出ないようにね。			チャボアザミが繋ぐ願い							
だからこそ、冒険者ギルドの顔役を引き受けもした。			だからこそ、冒険者ギルドの顔役を引き受けもした。			チャボアザミが繋ぐ願い							
そして、君と出会い、この良き手紙を手にすることができた……。			そして、君と出会い、この良き手紙を手にすることができた……。			チャボアザミが繋ぐ願い							
手紙は、冒険者ギルドの本部からでね。僕の申請が通って、さらに多くの冒険者を、受け入れることができるようになったんだ。			手紙は、冒険者ギルドの本部からでね。僕の申請が通って、さらに多くの冒険者を、受け入れることができるようになったんだ。			チャボアザミが繋ぐ願い							
どうしても君と一緒に、フィガガにこの報告をしたくてね。……だって、君の活躍のおかげで、冒険者ギルドは発展しているんだから。			どうしても君と一緒に、フィガガにこの報告をしたくてね。……だって、君の活躍のおかげで、冒険者ギルドは発展しているんだから。			チャボアザミが繋ぐ願い							
……そう、君はまるで光だね。これからも、グリダニアを……いや、エオルゼアを照らし、導く光でいておくれよ。			……そう、君はまるで光だね。これからも、グリダニアを……いや、エオルゼアを照らし、導く光でいておくれよ。			チャボアザミが繋ぐ願い							
先輩レターモーグリから託された手紙の配達に成功したため、「配達士」として成長しました！			先輩レターモーグリから託された手紙の配達に成功したため、「配達士」として成長しました！			チャボアザミが繋ぐ願い							
先輩レターモーグリは、冒険者にウルダハへの手紙を託したいようだ。			先輩レターモーグリは、冒険者にウルダハへの手紙を託したいようだ。			夢あふれる髪飾り							
先輩レターモーグリから、配達を依頼された。ウルダハのクイックサンドで女将を務める「モモディ」に手紙を配達しよう。			先輩レターモーグリから、配達を依頼された。ウルダハのクイックサンドで女将を務める「モモディ」に手紙を配達しよう。			夢あふれる髪飾り							
モモディに手紙を配達した。手紙の差出人トーマスは、モモディが昔想いを寄せていた人を調べたいようだ。ウルダハの「彫金師ギルド」へ聞き込みをしに行こう。			モモディに手紙を配達した。手紙の差出人トーマスは、モモディが昔想いを寄せていた人を調べたいようだ。ウルダハの「彫金師ギルド」へ聞き込みをしに行こう。			夢あふれる髪飾り							
彫金師ギルドのメメデスに話を聞いた。彼によると、モモディの想い人だった「モモロト」はクレセントコーヴにいるようだ。西ザナラーンの「クレセントコーヴ」へ行き、彼に話を聞こう。			彫金師ギルドのメメデスに話を聞いた。彼によると、モモディの想い人だった「モモロト」はクレセントコーヴにいるようだ。西ザナラーンの「クレセントコーヴ」へ行き、彼に話を聞こう。			夢あふれる髪飾り							
モモロトから話を聞くことができた。想像以上に張り合いのない相手に、憤怒したトーマスは帰ってしまった。クイックサンドへ戻り、「モモディ」に報告しよう。			モモロトから話を聞くことができた。想像以上に張り合いのない相手に、憤怒したトーマスは帰ってしまった。クイックサンドへ戻り、「モモディ」に報告しよう。			夢あふれる髪飾り							
モモディは、モモロトとの過去があってから人生相談はお断りしているらしい。トーマスの努力もむなしく、彼はふられてしまったようだ。彼の努力が実る日は来るのだろうか……。			モモディは、モモロトとの過去があってから人生相談はお断りしているらしい。トーマスの努力もむなしく、彼はふられてしまったようだ。彼の努力が実る日は来るのだろうか……。			夢あふれる髪飾り							
クイックサンドのモモディに手紙を配達			クイックサンドのモモディに手紙を配達			夢あふれる髪飾り							
彫金師ギルドのメメデスと話す			彫金師ギルドのメメデスと話す			夢あふれる髪飾り							
クレセントコーヴのモモロトと話す			クレセントコーヴのモモロトと話す			夢あふれる髪飾り							
クイックサンドのモモディと話す			クイックサンドのモモディと話す			夢あふれる髪飾り							
後輩君への、次なるお仕事があるクポ！ウルダハにあるクイックサンドの女将、「モモディ」さんへの手紙クポ！			後輩君への、次なるお仕事があるクポ！ウルダハにあるクイックサンドの女将、「モモディ」さんへの手紙クポ！			夢あふれる髪飾り							
モモディさんは、いつもモグの話を聞いてくれる、とっても優しいおば……お姉さんクポ！			モモディさんは、いつもモグの話を聞いてくれる、とっても優しいおば……お姉さんクポ！			夢あふれる髪飾り							
この手紙、差出人の名前がないのが、ちょっぴり怪しいけど……配達士としては、届けないわけにはいかないクポ！			この手紙、差出人の名前がないのが、ちょっぴり怪しいけど……配達士としては、届けないわけにはいかないクポ！			夢あふれる髪飾り							
ウルダハにあるクイックサンドの女将、「モモディ」さんに手紙を届けるクポ！よろしくクポ！			ウルダハにあるクイックサンドの女将、「モモディ」さんに手紙を届けるクポ！よろしくクポ！			夢あふれる髪飾り							
あら、Forenameじゃない。あなたの活躍は、たくさん耳にしているわよ！今日は、顔を見せに来てくれたの？			あら、Forenameじゃない。あなたの活躍は、たくさん耳にしているわよ！今日は、顔を見せに来てくれたの？			夢あふれる髪飾り							
まぁ、私に手紙を？　ありがとう。あら、差出人の名前がないわね……。……なになに？			まぁ、私に手紙を？　ありがとう。あら、差出人の名前がないわね……。……なになに？			夢あふれる髪飾り							
『愛するモモディさんへ。　あなたの笑顔は、エシュテムの宝石より輝いて美しい……　どうか、恋人という、僕だけの宝石になってください。』			『愛するモモディさんへ。　あなたの笑顔は、エシュテムの宝石より輝いて美しい……　どうか、恋人という、僕だけの宝石になってください。』			夢あふれる髪飾り							
…………。この捻りのない恋文……さては……。			…………。この捻りのない恋文……さては……。			夢あふれる髪飾り							
(-？？？？-)モモディさん……！僕からの手紙は、もう読んでくれましたか？			(-？？？？-)モモディさん……！僕からの手紙は、もう読んでくれましたか？			夢あふれる髪飾り							
やっぱり、この恋文はあなたが書いたのね。差出人の名前がなくても、一読でわかったわ……。			やっぱり、この恋文はあなたが書いたのね。差出人の名前がなくても、一読でわかったわ……。			夢あふれる髪飾り							
いつもは直接、愛を囁いてくれているのに、今日は恋文だなんて、どういう風の吹き回しかしら？			いつもは直接、愛を囁いてくれているのに、今日は恋文だなんて、どういう風の吹き回しかしら？			夢あふれる髪飾り							
(-裕福そうな男-)押してダメなら引いてみろ、ですよ。現にあなたは、文面からほとばしる僕の静かな情熱に、自然と胸が高鳴ったはずだ！			(-裕福そうな男-)押してダメなら引いてみろ、ですよ。現にあなたは、文面からほとばしる僕の静かな情熱に、自然と胸が高鳴ったはずだ！			夢あふれる髪飾り							
(-裕福そうな男-)ただ、返信を待つだけなんて、もどかしくて無理でした！一刻も早く、あなたから色よい返事をいただきたくて、こうして、はせ参じたというわけです！			(-裕福そうな男-)ただ、返信を待つだけなんて、もどかしくて無理でした！一刻も早く、あなたから色よい返事をいただきたくて、こうして、はせ参じたというわけです！			夢あふれる髪飾り							
……結局、引いてないじゃない。			……結局、引いてないじゃない。			夢あふれる髪飾り							
彼は、トーマスくん。香辛料の取引で財を成した豪商さんよ。			彼は、トーマスくん。香辛料の取引で財を成した豪商さんよ。			夢あふれる髪飾り							
トーマスくん、まずは彼女彼にお礼を言ったら？この手紙は、彼女彼が届けてくれたのよ。			トーマスくん、まずは彼女彼にお礼を言ったら？この手紙は、彼女彼が届けてくれたのよ。			夢あふれる髪飾り							
おぉ！　そうでしたか……！こんなに良いタイミングで届けてくれるとは、君はとても良い仕事をしてくれました！！			おぉ！　そうでしたか……！こんなに良いタイミングで届けてくれるとは、君はとても良い仕事をしてくれました！！			夢あふれる髪飾り							
さぁさぁ、モモディさん！僕だけの宝石になってくれると、その麗しい唇から、愛の言葉を囁いてください！			さぁさぁ、モモディさん！僕だけの宝石になってくれると、その麗しい唇から、愛の言葉を囁いてください！			夢あふれる髪飾り							
……何度も言っているけれど、あなただけの、モモディになるつもりはないわ。			……何度も言っているけれど、あなただけの、モモディになるつもりはないわ。			夢あふれる髪飾り							
……やはり今でも、その髪飾りを作った男のことが好きなのですか？			……やはり今でも、その髪飾りを作った男のことが好きなのですか？			夢あふれる髪飾り							
どうして、今さらその話を……。もう、随分と昔の話じゃない。			どうして、今さらその話を……。もう、随分と昔の話じゃない。			夢あふれる髪飾り							
昔の話……。本当にそうでしょうか？			昔の話……。本当にそうでしょうか？			夢あふれる髪飾り							
あなたがつけている髪飾りは、昔の想い人の手による品だと聞いたことがあります。そして、霊災以降、それを身に着けるようになったと……。			あなたがつけている髪飾りは、昔の想い人の手による品だと聞いたことがあります。そして、霊災以降、それを身に着けるようになったと……。			夢あふれる髪飾り							
未練がないとは、とても思えない！！僕への対応がつれないのも、彼を想っているからでしょう？……その人は、僕よりも財ある人なのですか！？			未練がないとは、とても思えない！！僕への対応がつれないのも、彼を想っているからでしょう？……その人は、僕よりも財ある人なのですか！？			夢あふれる髪飾り							
それとこれとは、別の話よ。確かに、この髪飾りは昔好きだった人からの貰い物だけれど、彼に未練があるから着けているってわけじゃないわ。			それとこれとは、別の話よ。確かに、この髪飾りは昔好きだった人からの貰い物だけれど、彼に未練があるから着けているってわけじゃないわ。			夢あふれる髪飾り							
……なんとも、歯切れの悪い言葉です。そうだ、あくまでモモディさんが、はぐらかすおつもりなら、僕が贈り主の男よりも優れていると、証明してみせますよ！			……なんとも、歯切れの悪い言葉です。そうだ、あくまでモモディさんが、はぐらかすおつもりなら、僕が贈り主の男よりも優れていると、証明してみせますよ！			夢あふれる髪飾り							
冒険者さん、手伝ってください！髪飾りの贈り主を探し出し、第三者の公平な目で、僕とその男のどちらが優れているか、判定してもらいます！			冒険者さん、手伝ってください！髪飾りの贈り主を探し出し、第三者の公平な目で、僕とその男のどちらが優れているか、判定してもらいます！			夢あふれる髪飾り							
ひとまず、その男の情報収集ですね……。髪飾りを作ったということは、彼はおそらく彫金師！まずは、彫金師ギルドに探りを入れてみましょう！			ひとまず、その男の情報収集ですね……。髪飾りを作ったということは、彼はおそらく彫金師！まずは、彫金師ギルドに探りを入れてみましょう！			夢あふれる髪飾り							
変なことに巻き込んでごめんなさい。よかったら、トーマスくんに付き合ってあげて。彼ったら思い込んだら一直線で、あぶなっかしいから。			変なことに巻き込んでごめんなさい。よかったら、トーマスくんに付き合ってあげて。彼ったら思い込んだら一直線で、あぶなっかしいから。			夢あふれる髪飾り							
冒険者さん、この方に聞いてみましょう。モモディさんと僕のためにも、協力願いますよ！			冒険者さん、この方に聞いてみましょう。モモディさんと僕のためにも、協力願いますよ！			夢あふれる髪飾り							
モモディに髪飾りを贈ったやつ？あぁ、モモロトのことだな。			モモディに髪飾りを贈ったやつ？あぁ、モモロトのことだな。			夢あふれる髪飾り							
数年前は、人気の彫金師だったんだがな……。王宮へ献上する品の納品日に、逃げ出しちまったんだよ。			数年前は、人気の彫金師だったんだがな……。王宮へ献上する品の納品日に、逃げ出しちまったんだよ。			夢あふれる髪飾り							
腕の良さを買われての大役だったんだが、やっこさん、小心者なところがあってなぁ……。周囲からの過度な期待に堪えきれなくなったって噂だぜ？			腕の良さを買われての大役だったんだが、やっこさん、小心者なところがあってなぁ……。周囲からの過度な期待に堪えきれなくなったって噂だぜ？			夢あふれる髪飾り							
ウルダハを飛び出してからは、確か……西ザナラーンの漁村、「クレセントコーヴ」で暮らしてるって聞いたぞ。			ウルダハを飛び出してからは、確か……西ザナラーンの漁村、「クレセントコーヴ」で暮らしてるって聞いたぞ。			夢あふれる髪飾り							
恋敵が、まだザナラーンにいたとは好都合です！クレセントコーヴへ行きましょう！！			恋敵が、まだザナラーンにいたとは好都合です！クレセントコーヴへ行きましょう！！			夢あふれる髪飾り							
モモロトなら、ウルダハを飛び出してからは、確か……西ザナラーンの漁村、「クレセントコーヴ」で暮らしてるって聞いたぞ。			モモロトなら、ウルダハを飛び出してからは、確か……西ザナラーンの漁村、「クレセントコーヴ」で暮らしてるって聞いたぞ。			夢あふれる髪飾り							
おや……。こんな寂れた場所に、強そうな冒険者さんが何用で？			おや……。こんな寂れた場所に、強そうな冒険者さんが何用で？			夢あふれる髪飾り							
この人がモモロトさんですね。モモディさんの期待と愛を受けながら、それを投げ捨て逃げだした方ですか……。			この人がモモロトさんですね。モモディさんの期待と愛を受けながら、それを投げ捨て逃げだした方ですか……。			夢あふれる髪飾り							
ふん、ずいぶんとみすぼらしい男ですね。どうしてモモディさんは、こんなヤツからの髪飾りなんて大事にしているんだ。			ふん、ずいぶんとみすぼらしい男ですね。どうしてモモディさんは、こんなヤツからの髪飾りなんて大事にしているんだ。			夢あふれる髪飾り							
彼女は、あの髪飾りをつけてくれているのか……。……モモディには悪いことをしたと思っている。逃げ出したことについては、言い訳はしない。			彼女は、あの髪飾りをつけてくれているのか……。……モモディには悪いことをしたと思っている。逃げ出したことについては、言い訳はしない。			夢あふれる髪飾り							
夢だったはずの人気彫金師になったはいいが、大きすぎる期待に、僕は押しつぶされてしまった……。そんな僕が彼女に相応しいはずがない。			夢だったはずの人気彫金師になったはいいが、大きすぎる期待に、僕は押しつぶされてしまった……。そんな僕が彼女に相応しいはずがない。			夢あふれる髪飾り							
だからこそ逃げたし、それで良かったんだ……。人気彫金師だなんて、僕には分不相応だったのさ。ここでの静かな暮らしの方がお似合いなんだよ。			だからこそ逃げたし、それで良かったんだ……。人気彫金師だなんて、僕には分不相応だったのさ。ここでの静かな暮らしの方がお似合いなんだよ。			夢あふれる髪飾り							
な、なんて張り合いのない！！僕ならば、どんな手を使ってでも、モモディさんの期待に応えるというのに！！			な、なんて張り合いのない！！僕ならば、どんな手を使ってでも、モモディさんの期待に応えるというのに！！			夢あふれる髪飾り							
……僕と彼、どちらが優れているかなんて、一目瞭然です。冒険者さんに、判定していただく必要もありませんでした。早くモモディさんのところへ帰りましょう！			……僕と彼、どちらが優れているかなんて、一目瞭然です。冒険者さんに、判定していただく必要もありませんでした。早くモモディさんのところへ帰りましょう！			夢あふれる髪飾り							
……そうだったのか。彼は、モモディのことが好きなんだ……。だから、僕のことを調べにきたのだね。			……そうだったのか。彼は、モモディのことが好きなんだ……。だから、僕のことを調べにきたのだね。			夢あふれる髪飾り							
あの髪飾りは、僕が独立して最初に創ったものでね……。彼女に贈ったときは、もったいないと言って、着けてくれなかったんだ。			あの髪飾りは、僕が独立して最初に創ったものでね……。彼女に贈ったときは、もったいないと言って、着けてくれなかったんだ。			夢あふれる髪飾り							
今になって、着けてくれるようになった理由はわからない。だけど、モモディのことだから、きっと未練なんかじゃなく……もっと彼女らしい理由があるんじゃないかな。			今になって、着けてくれるようになった理由はわからない。だけど、モモディのことだから、きっと未練なんかじゃなく……もっと彼女らしい理由があるんじゃないかな。			夢あふれる髪飾り							
……なんて、僕が口に出せた義理じゃないか。それよりも、早くモモディのところへ行ってやってくれ。今頃、まっすぐな彼の求愛に困っているだろうからね。			……なんて、僕が口に出せた義理じゃないか。それよりも、早くモモディのところへ行ってやってくれ。今頃、まっすぐな彼の求愛に困っているだろうからね。			夢あふれる髪飾り							
早くモモディのところへ行ってやってくれ。今頃、まっすぐな彼の求愛に困っているだろうからね。			早くモモディのところへ行ってやってくれ。今頃、まっすぐな彼の求愛に困っているだろうからね。			夢あふれる髪飾り							
モモディさん！あんな男のどこに惚れたんですか……！僕の方が、よっぽど素晴らしいじゃないですか！！！			モモディさん！あんな男のどこに惚れたんですか……！僕の方が、よっぽど素晴らしいじゃないですか！！！			夢あふれる髪飾り							
おかえりなさい、Forename。何だか変なことに巻き込んじゃって、ごめんなさいね。			おかえりなさい、Forename。何だか変なことに巻き込んじゃって、ごめんなさいね。			夢あふれる髪飾り							
あんな男が、あなたと釣り合うとは思えない！僕と天秤にかけること自体が間違いでした。冒険者さん、あなたもそう思ったでしょう！？			あんな男が、あなたと釣り合うとは思えない！僕と天秤にかけること自体が間違いでした。冒険者さん、あなたもそう思ったでしょう！？			夢あふれる髪飾り							
あんなヤツの贈り物をつけている理由が、僕には、まったく理解できません！！			あんなヤツの贈り物をつけている理由が、僕には、まったく理解できません！！			夢あふれる髪飾り							
言ったでしょう？未練があって、この髪飾りを着けたわけではないの。……この髪飾りはね、夢に向かう人の象徴なのよ。			言ったでしょう？未練があって、この髪飾りを着けたわけではないの。……この髪飾りはね、夢に向かう人の象徴なのよ。			夢あふれる髪飾り							
モモロトは、以前私が勤めていたお店の常連でね。彼の話を聞いたり、相談に乗ってあげたりしていたのよ。あの時の彼は、夢に向かってまっすぐだったわ……。			モモロトは、以前私が勤めていたお店の常連でね。彼の話を聞いたり、相談に乗ってあげたりしていたのよ。あの時の彼は、夢に向かってまっすぐだったわ……。			夢あふれる髪飾り							
私は、そんな彼のことが好きだったの。だから彼の気持ちも考えず、背中を押し続けてしまった。……私の期待が、彼の夢を台無しにするとは知らずにね。			私は、そんな彼のことが好きだったの。だから彼の気持ちも考えず、背中を押し続けてしまった。……私の期待が、彼の夢を台無しにするとは知らずにね。			夢あふれる髪飾り							
自分の過ちに気付いたのは、彼が消えた後よ……。残された髪飾りには、彼の夢がたくさん詰まっていたから、私なんかが着けちゃいけないって思っていたの。			自分の過ちに気付いたのは、彼が消えた後よ……。残された髪飾りには、彼の夢がたくさん詰まっていたから、私なんかが着けちゃいけないって思っていたの。			夢あふれる髪飾り							
ではなぜ、霊災後になってからつけたのですか！？			ではなぜ、霊災後になってからつけたのですか！？			夢あふれる髪飾り							
第七霊災があって、たくさんのものが失われた。……けれど、人々は新しい夢を見つけ、復興へと歩んでいった。			第七霊災があって、たくさんのものが失われた。……けれど、人々は新しい夢を見つけ、復興へと歩んでいった。			夢あふれる髪飾り							
それを見ていて、気付いたの。やっぱり私、夢を追いかけている人が好きなんだって。彼らを見守っていくことが、私にとっての夢なのよ。			それを見ていて、気付いたの。やっぱり私、夢を追いかけている人が好きなんだって。彼らを見守っていくことが、私にとっての夢なのよ。			夢あふれる髪飾り							
この夢を、今度は私自身が追いかけたい……そう思ったから、この髪飾りを着けて、窓口に立つことにしたの。			この夢を、今度は私自身が追いかけたい……そう思ったから、この髪飾りを着けて、窓口に立つことにしたの。			夢あふれる髪飾り							
ちょっとだけ、戒めの意味もあるんだけどね。他人の人生に、余計な口を出さないこと……おせっかいな私には、必要な戒めよ。			ちょっとだけ、戒めの意味もあるんだけどね。他人の人生に、余計な口を出さないこと……おせっかいな私には、必要な戒めよ。			夢あふれる髪飾り							
すっ、素晴らしい……！やはり、あなたは僕の見込んだとおりの女性でした！！			すっ、素晴らしい……！やはり、あなたは僕の見込んだとおりの女性でした！！			夢あふれる髪飾り							
ああ、愛しています、モモディさん！今度は、僕のとなりで、僕の夢を見守ってください！			ああ、愛しています、モモディさん！今度は、僕のとなりで、僕の夢を見守ってください！			夢あふれる髪飾り							
だーかーらっ、私はみんなのモモディなの！今は、誰かのものになるつもりはないわ！			だーかーらっ、私はみんなのモモディなの！今は、誰かのものになるつもりはないわ！			夢あふれる髪飾り							
そ、そんなぁ～！			そ、そんなぁ～！			夢あふれる髪飾り							
フフフ……。あなたが、自分の力で、とびきり素敵な夢を見つけたら……その時は、考えちゃうかもしれないけれどね？			フフフ……。あなたが、自分の力で、とびきり素敵な夢を見つけたら……その時は、考えちゃうかもしれないけれどね？			夢あふれる髪飾り							
そ、それは本当ですか……！だったら、今すぐ帰って、あなた好みの壮大な計画に、投資するといたしましょう！			そ、それは本当ですか……！だったら、今すぐ帰って、あなた好みの壮大な計画に、投資するといたしましょう！			夢あふれる髪飾り							
冒険者さん、今回は礼を言います！次は、僕とモモディさんの結婚式でお会いしましょう！			冒険者さん、今回は礼を言います！次は、僕とモモディさんの結婚式でお会いしましょう！			夢あふれる髪飾り							
なんだか、まだ勘違いしている気がするけれど……。フフフ、あなたたちのおかげで、なんだかスッキリしたわ。ありがとう、Forename。			なんだか、まだ勘違いしている気がするけれど……。フフフ、あなたたちのおかげで、なんだかスッキリしたわ。ありがとう、Forename。			夢あふれる髪飾り							
先輩レターモーグリから託された手紙の配達に成功したため、「配達士」として成長しました！			先輩レターモーグリから託された手紙の配達に成功したため、「配達士」として成長しました！			夢あふれる髪飾り							
先輩レターモーグリは、冒険者に碩老樹瞑想窟への小包を託したいようだ。			先輩レターモーグリは、冒険者に碩老樹瞑想窟への小包を託したいようだ。			記憶を失う男							
先輩レターモーグリから、配達を依頼された。グリダニアの碩老樹瞑想窟にいる「ブレイヤ」に小包を配達しよう。			先輩レターモーグリから、配達を依頼された。グリダニアの碩老樹瞑想窟にいる「ブレイヤ」に小包を配達しよう。			記憶を失う男							
ブレイヤに小包を配達した。妖異に憑かれているという相談者が、まだ面談に現れないという。南部森林のクォーリーミルにいる「エドック」に、相談者についての話を聞こう。			ブレイヤに小包を配達した。妖異に憑かれているという相談者が、まだ面談に現れないという。南部森林のクォーリーミルにいる「エドック」に、相談者についての話を聞こう。			記憶を失う男							
エドックと話した。相談者は、すでに職場へ向かった可能性があるという。南部森林の「ムントゥイ醸造庫」にて、エドックの兄ペンスについての話を聞こう。			エドックと話した。相談者は、すでに職場へ向かった可能性があるという。南部森林の「ムントゥイ醸造庫」にて、エドックの兄ペンスについての話を聞こう。			記憶を失う男							
ムントゥイ醸造庫にて、エドックの兄ペンスについての話を聞いた。彼は、まじめで働き者のようだが、妖異のせいで見知らぬ場所で目覚めることがあるらしい。クォーリーミルとムントゥイ醸造庫の間にある「指定地点」で周囲を見渡そう。			ムントゥイ醸造庫にて、エドックの兄ペンスについての話を聞いた。彼は、まじめで働き者のようだが、妖異のせいで見知らぬ場所で目覚めることがあるらしい。クォーリーミルとムントゥイ醸造庫の間にある「指定地点」で周囲を見渡そう。			記憶を失う男							
周囲をよく見渡したところ、相談者を発見した。相談者は酒房「バスカロンドラザーズ」で悪名高い「酔客のスペンサー」だった。スペンサーは、妖異に憑かれたのではなく、悪酔いして喧嘩に巻き込まれていたことを忘れていただけだった。碩老樹瞑想窟にいる「ブレイヤ」に、事の顛末を報告しよう。			周囲をよく見渡したところ、相談者を発見した。相談者は酒房「バスカロンドラザーズ」で悪名高い「酔客のスペンサー」だった。スペンサーは、妖異に憑かれたのではなく、悪酔いして喧嘩に巻き込まれていたことを忘れていただけだった。碩老樹瞑想窟にいる「ブレイヤ」に、事の顛末を報告しよう。			記憶を失う男							
ブレイヤに報告した。彼女は、問題が妖異のせいではないと知り、安心したようだ。しかし、今後も、スペンサーが酔って喧嘩に巻き込まれる恐れがある。酒房「バスカロンドラザーズ」で「酔客のスペンサー」を見かけたら、彼のためにも力ずくで追い返してあげよう。			ブレイヤに報告した。彼女は、問題が妖異のせいではないと知り、安心したようだ。しかし、今後も、スペンサーが酔って喧嘩に巻き込まれる恐れがある。酒房「バスカロンドラザーズ」で「酔客のスペンサー」を見かけたら、彼のためにも力ずくで追い返してあげよう。			記憶を失う男							
碩老樹瞑想窟のブレイヤに小包を配達			碩老樹瞑想窟のブレイヤに小包を配達			記憶を失う男							
クォーリーミルのエドックと話す			クォーリーミルのエドックと話す			記憶を失う男							
ムントゥイ醸造庫でエドックの兄の話を聞く			ムントゥイ醸造庫でエドックの兄の話を聞く			記憶を失う男							
指定地点で見渡す			指定地点で見渡す			記憶を失う男							
碩老樹瞑想窟のブレイヤに報告			碩老樹瞑想窟のブレイヤに報告			記憶を失う男							
後輩君、配達士の仕事には慣れてきたクポ？今回のお仕事は、ウルダハの呪術士ギルドからの小包の配達クポ。			後輩君、配達士の仕事には慣れてきたクポ？今回のお仕事は、ウルダハの呪術士ギルドからの小包の配達クポ。			記憶を失う男							
宛先は、グリダニアの碩老樹瞑想窟にいる、幻術士様「ブレイヤ」さんクポ！			宛先は、グリダニアの碩老樹瞑想窟にいる、幻術士様「ブレイヤ」さんクポ！			記憶を失う男							
クポクポ……幻術士様と呪術士が連絡を取りあうなんて、なにか不思議な問題の相談でもしてるのかもクポ……。きっと待ってるから、急いで配達してあげてクポ！			クポクポ……幻術士様と呪術士が連絡を取りあうなんて、なにか不思議な問題の相談でもしてるのかもクポ……。きっと待ってるから、急いで配達してあげてクポ！			記憶を失う男							
小包の宛先は、グリダニアの碩老樹瞑想窟にいる、幻術士様「ブレイヤ」さんクポ！			小包の宛先は、グリダニアの碩老樹瞑想窟にいる、幻術士様「ブレイヤ」さんクポ！			記憶を失う男							
