リムサ・ロミンサの下甲板層にいるナシュメラは、冒険者の成長を喜んでいるようだ。			リムサ・ロミンサの下甲板層にいるナシュメラは、冒険者の成長を喜んでいるようだ。			新天地へと舞い挑め							
……私たち踊り子が舞う「クリークタンツ」は、死の舞踏を鎮めるために、編み出されたものだったんですね。			……私たち踊り子が舞う「クリークタンツ」は、死の舞踏を鎮めるために、編み出されたものだったんですね。			黒衣森に広がる不安							
ええ、この真実は一座の座長だけに、代々受け継がれてきたの。私がシェーダー族相手にやってみせたように、人の心を揺さぶり、その闇を引き出し具現化させる舞も、そのひとつよ。			ええ、この真実は一座の座長だけに、代々受け継がれてきたの。私がシェーダー族相手にやってみせたように、人の心を揺さぶり、その闇を引き出し具現化させる舞も、そのひとつよ。			黒衣森に広がる不安							
けれど、最後に「トーテンタンツ」が起きたのは数百年前……。万が一に備えて、エオルゼア巡業を決めたものの、実際に起きるかは、私も半信半疑だったわ。			けれど、最後に「トーテンタンツ」が起きたのは数百年前……。万が一に備えて、エオルゼア巡業を決めたものの、実際に起きるかは、私も半信半疑だったわ。			黒衣森に広がる不安							
でも、実際にこの目で確認した今、踊り子の技を受け継ぐ者として、私は行動を起こしたい……！これまで黙っていたことは謝る……どうか、力を貸して。			でも、実際にこの目で確認した今、踊り子の技を受け継ぐ者として、私は行動を起こしたい……！これまで黙っていたことは謝る……どうか、力を貸して。			黒衣森に広がる不安							
何と答える？			何と答える？			黒衣森に広がる不安							
もちろんだ			もちろんだ			黒衣森に広がる不安							
今後、もう秘密はなしだ			今後、もう秘密はなしだ			黒衣森に広がる不安							
ええ、私もForenameも踊り子なんです……！使命を果たすため、「トーテンタンツ」に立ち向かいましょう。その代わり、もう独りで抱え込まないでください……。			ええ、私もForenameも踊り子なんです……！使命を果たすため、「トーテンタンツ」に立ち向かいましょう。その代わり、もう独りで抱え込まないでください……。			黒衣森に広がる不安							
ラナー、Forename、それにみんな……ありがとう……。			ラナー、Forename、それにみんな……ありがとう……。			黒衣森に広がる不安							
ふむ……実際の対処は、君たちに託すとしても、どの国でも「トーテンタンツ」が起きる可能性があるなら、各国も連携して、解決に動くべきだろう。			ふむ……実際の対処は、君たちに託すとしても、どの国でも「トーテンタンツ」が起きる可能性があるなら、各国も連携して、解決に動くべきだろう。			黒衣森に広がる不安							
この件、同盟各国にも情報を共有したうえで、一座への協力を呼びかけようと思うのだが、構わぬか？			この件、同盟各国にも情報を共有したうえで、一座への協力を呼びかけようと思うのだが、構わぬか？			黒衣森に広がる不安							
ええ、こちらこそお願いしたいわ！各国の支援が得られれば、私たちも心強いもの。			ええ、こちらこそお願いしたいわ！各国の支援が得られれば、私たちも心強いもの。			黒衣森に広がる不安							
残るは、イシュガルドとアラミゴの二ヶ国……。竜詩戦争の終結から、多少の月日を経たイシュガルドから、優先的に公演に行きたいけれど……。			残るは、イシュガルドとアラミゴの二ヶ国……。竜詩戦争の終結から、多少の月日を経たイシュガルドから、優先的に公演に行きたいけれど……。			黒衣森に広がる不安							
残るは、イシュガルドとアラミゴの二ヶ国……。けれど、帝国占領下のアラミゴに向かう手段はまだない。となれば、優先すべきはイシュガルドね……。			残るは、イシュガルドとアラミゴの二ヶ国……。けれど、帝国占領下のアラミゴに向かう手段はまだない。となれば、優先すべきはイシュガルドね……。			黒衣森に広がる不安							
残るは、イシュガルドとアラミゴの二ヶ国……。けれど、どちらも民間の旅一座が潜り込める情勢にはない。双蛇党の呼びかけに答えてくれることを期待するしかないかしら。			残るは、イシュガルドとアラミゴの二ヶ国……。けれど、どちらも民間の旅一座が潜り込める情勢にはない。双蛇党の呼びかけに答えてくれることを期待するしかないかしら。			黒衣森に広がる不安							
ただ、いずれにせよ、少し時間が必要よ。ラナー、あなたには双蛇党からの連絡を待つ間に、公演を続けながら、心の闇を引き出す舞を継承してもらうわ。			ただ、いずれにせよ、少し時間が必要よ。ラナー、あなたには双蛇党からの連絡を待つ間に、公演を続けながら、心の闇を引き出す舞を継承してもらうわ。			黒衣森に広がる不安							
わかりました、先生ッ！			わかりました、先生ッ！			黒衣森に広がる不安							
そして、Forename……。あなたは実戦経験をさらに積んで、武の技を磨いてほしい。			そして、Forename……。あなたは実戦経験をさらに積んで、武の技を磨いてほしい。			黒衣森に広がる不安							
「クリークタンツ」によって、心の闇を引き出せても、それを打ち倒せなくちゃ、鎮めたことにはならない……。戦闘センスが光る、あなたに討伐の役目を任せたいの。			「クリークタンツ」によって、心の闇を引き出せても、それを打ち倒せなくちゃ、鎮めたことにはならない……。戦闘センスが光る、あなたに討伐の役目を任せたいの。			黒衣森に広がる不安							
では、限られた時間を最大限に活用しましょう。これからが、正念場なのだから……。			では、限られた時間を最大限に活用しましょう。これからが、正念場なのだから……。			黒衣森に広がる不安							
コスタ・デル・ソルのナシュメラは、ゲゲルジュのところに向かいたいようだ。			コスタ・デル・ソルのナシュメラは、ゲゲルジュのところに向かいたいようだ。			ザナラーンにて踊る者							
ナシュメラは、ラナー・ミーゴを呼んでから向かうという。コスタ・デル・ソルの「ゲゲルジュ」と話そう。			ナシュメラは、ラナー・ミーゴを呼んでから向かうという。コスタ・デル・ソルの「ゲゲルジュ」と話そう。			ザナラーンにて踊る者							
ゲゲルジュは、ウルダハでの公演許可まで取り付けてくれていた。彼は、ラナー・ミーゴの舞を大層気に入ったようだ。ウルダハのナル回廊で「ナシュメラ」と話そう。※「メインクエスト：新生エオルゼア」の「森都と砂都と海都と砂都と海都と森都と」を完了することで、「ウルダハ」へ行くことができるようになります。			ゲゲルジュは、ウルダハでの公演許可まで取り付けてくれていた。彼は、ラナー・ミーゴの舞を大層気に入ったようだ。ウルダハのナル回廊で「ナシュメラ」と話そう。※「メインクエスト：新生エオルゼア」の「森都と砂都と海都と砂都と海都と森都と」を完了することで、「ウルダハ」へ行くことができるようになります。			ザナラーンにて踊る者							
ウルダハの貧民たちが立てている暴動計画を鎮めるため、冒険者とラナー・ミーゴが計画阻止に挑むことになった。中央ザナラーンのストーンズスロー貧民窟付近で「ラナー・ミーゴ」と話そう。			ウルダハの貧民たちが立てている暴動計画を鎮めるため、冒険者とラナー・ミーゴが計画阻止に挑むことになった。中央ザナラーンのストーンズスロー貧民窟付近で「ラナー・ミーゴ」と話そう。			ザナラーンにて踊る者							
二手に分かれて聞き込みをすることになった。中央ザナラーンの刺突盆地に暮らす貧民たちに話を聞こう。			二手に分かれて聞き込みをすることになった。中央ザナラーンの刺突盆地に暮らす貧民たちに話を聞こう。			ザナラーンにて踊る者							
富裕層から暴動を企てている者たちの情報を聞いた。ストーンズスロー貧民窟付近の「指定地点」で待機して、ラナー・ミーゴを待とう。			富裕層から暴動を企てている者たちの情報を聞いた。ストーンズスロー貧民窟付近の「指定地点」で待機して、ラナー・ミーゴを待とう。			ザナラーンにて踊る者							
ラナー・ミーゴは、暴動の扇動者についていってしまったらしい。刺突盆地を北に向かい、ラナー・ミーゴを追いかけよう。			ラナー・ミーゴは、暴動の扇動者についていってしまったらしい。刺突盆地を北に向かい、ラナー・ミーゴを追いかけよう。			ザナラーンにて踊る者							
ラナー・ミーゴを襲っていた扇動者たちを倒した。中央ザナラーンのブラックブラッシュで「ラナー・ミーゴ」を救助しよう。			ラナー・ミーゴを襲っていた扇動者たちを倒した。中央ザナラーンのブラックブラッシュで「ラナー・ミーゴ」を救助しよう。			ザナラーンにて踊る者							
ラナー・ミーゴから、自分の失態を伝えてほしいと頼まれた。ナル回廊の「ナシュメラ」に報告しよう。			ラナー・ミーゴから、自分の失態を伝えてほしいと頼まれた。ナル回廊の「ナシュメラ」に報告しよう。			ザナラーンにて踊る者							
ナシュメラに叱責されたラナー・ミーゴは、自分の失態を噛み締め去っていった。そして、ナシュメラは扇動者たちが踊っていた謎の舞が気にかかるようだ……。公演はラナー・ミーゴに任せ、冒険者は実戦で修行を積もう。※踊り子のレベルが65以上になると、ナル回廊のナシュメラから次の踊り子クエストを受注することができます。			ナシュメラに叱責されたラナー・ミーゴは、自分の失態を噛み締め去っていった。そして、ナシュメラは扇動者たちが踊っていた謎の舞が気にかかるようだ……。公演はラナー・ミーゴに任せ、冒険者は実戦で修行を積もう。※踊り子のレベルが65以上になると、ナル回廊のナシュメラから次の踊り子クエストを受注することができます。			ザナラーンにて踊る者							
ゲゲルジュと話す			ゲゲルジュと話す			ザナラーンにて踊る者							
ウルダハのナシュメラと話す			ウルダハのナシュメラと話す			ザナラーンにて踊る者							
ストーンズスロー貧民窟付近でラナー・ミーゴと話す			ストーンズスロー貧民窟付近でラナー・ミーゴと話す			ザナラーンにて踊る者							
貧民たちに聞き込みを行う			貧民たちに聞き込みを行う			ザナラーンにて踊る者							
指定地点で待機			指定地点で待機			ザナラーンにて踊る者							
ラナー・ミーゴを追う			ラナー・ミーゴを追う			ザナラーンにて踊る者							
ラナー・ミーゴを救助			ラナー・ミーゴを救助			ザナラーンにて踊る者							
ウルダハのナシュメラに報告			ウルダハのナシュメラに報告			ザナラーンにて踊る者							
踊り子さんの衣装、私の衣装よりさらに露出度が高いね。それとも、これはゲゲルジュさんの趣味……？……専属契約、断れてよかったよ。			踊り子さんの衣装、私の衣装よりさらに露出度が高いね。それとも、これはゲゲルジュさんの趣味……？……専属契約、断れてよかったよ。			ザナラーンにて踊る者							
ラザハンも島国だったので、海は身近ですが、こちらの方が、潮の香りが強い気がしますねえ。			ラザハンも島国だったので、海は身近ですが、こちらの方が、潮の香りが強い気がしますねえ。			ザナラーンにて踊る者							
あら、良いところに！ゲゲルジュ様によれば、砂蠍衆への根回しが終わったそうよ。			あら、良いところに！ゲゲルジュ様によれば、砂蠍衆への根回しが終わったそうよ。			ザナラーンにて踊る者							
私はラナーを呼んでから向かうから、先に、「ゲゲルジュ」様のところへ向かってくれるかしら？			私はラナーを呼んでから向かうから、先に、「ゲゲルジュ」様のところへ向かってくれるかしら？			ザナラーンにて踊る者							
アタシらはいい返答がきたと信じて、旅支度をしておきます。どうぞ、「ゲゲルジュ」さんのところへ。			アタシらはいい返答がきたと信じて、旅支度をしておきます。どうぞ、「ゲゲルジュ」さんのところへ。			ザナラーンにて踊る者							
よく来てくれたのじゃ。懇意にしている砂蠍衆に根回しをしておったのじゃが、見事、ウルダハでの興行許可証が届いたぞい！			よく来てくれたのじゃ。懇意にしている砂蠍衆に根回しをしておったのじゃが、見事、ウルダハでの興行許可証が届いたぞい！			ザナラーンにて踊る者							
まあ、すでに興行の許可まで……！これも、ゲゲルジュ様の推薦のおかげですわ！			まあ、すでに興行の許可まで……！これも、ゲゲルジュ様の推薦のおかげですわ！			ザナラーンにて踊る者							
わしとしても、これだけ素晴らしい公演を見せてくれた、ファルシャム一座を支援できること、誇りに思っておるぞ！			わしとしても、これだけ素晴らしい公演を見せてくれた、ファルシャム一座を支援できること、誇りに思っておるぞ！			ザナラーンにて踊る者							
特に、溌剌としたラナーちゃんの舞……荒削りながら、そこが野性味を感じさせ、目が離せないほどじゃ！ウルダハでも評判になること、間違いなしじゃぞ！			特に、溌剌としたラナーちゃんの舞……荒削りながら、そこが野性味を感じさせ、目が離せないほどじゃ！ウルダハでも評判になること、間違いなしじゃぞ！			ザナラーンにて踊る者							
そ、そんなに褒められると、照れるや……。			そ、そんなに褒められると、照れるや……。			ザナラーンにて踊る者							
じゃが、その舞も見納めかと思うと、根回しの結果を、心から喜べないわしがいるのじゃ。どうじゃろう、最後に、もう一度公演を……。			じゃが、その舞も見納めかと思うと、根回しの結果を、心から喜べないわしがいるのじゃ。どうじゃろう、最後に、もう一度公演を……。			ザナラーンにて踊る者							
申し訳ございません、興行許可をいただけた以上、一刻でも早くウルダハへと赴き、公演を行いたいのです。目標である、エオルゼア五ヶ国での巡業を成功させるためにも……。			申し訳ございません、興行許可をいただけた以上、一刻でも早くウルダハへと赴き、公演を行いたいのです。目標である、エオルゼア五ヶ国での巡業を成功させるためにも……。			ザナラーンにて踊る者							
それと、座員を評価してくださるのはありがたいのですが、過度な賛辞は、本人の気の緩みを招く恐れもあります……。お褒めの言葉も、どうかここで終いとさせてください。			それと、座員を評価してくださるのはありがたいのですが、過度な賛辞は、本人の気の緩みを招く恐れもあります……。お褒めの言葉も、どうかここで終いとさせてください。			ザナラーンにて踊る者							
ラナー・ミーゴ……わかっているわね？あなたは修行中の身、これまでの努力が評価されたとて、まだまだ技巧を磨いていかねばならないことを。			ラナー・ミーゴ……わかっているわね？あなたは修行中の身、これまでの努力が評価されたとて、まだまだ技巧を磨いていかねばならないことを。			ザナラーンにて踊る者							
はい！　肝に銘じます！でも……こうして褒めてもらえると、自分の上達が実感できて、とっても嬉しいものですね！			はい！　肝に銘じます！でも……こうして褒めてもらえると、自分の上達が実感できて、とっても嬉しいものですね！			ザナラーンにて踊る者							
……そうね、評価されること自体は表現者にとって大切なこと。調子にだけは乗らず、ウルダハでも全力で踊ってちょうだい。			……そうね、評価されること自体は表現者にとって大切なこと。調子にだけは乗らず、ウルダハでも全力で踊ってちょうだい。			ザナラーンにて踊る者							
それでは、私どもは失礼いたします。此度のご協力、ご支援には感謝の念に堪えません。興行が終わった暁には、またご挨拶に伺いますので。			それでは、私どもは失礼いたします。此度のご協力、ご支援には感謝の念に堪えません。興行が終わった暁には、またご挨拶に伺いますので。			ザナラーンにて踊る者							
あなたは、わざわざ一座のみなと向かわなくても大丈夫よね？「ウルダハ」で合流しましょう。			あなたは、わざわざ一座のみなと向かわなくても大丈夫よね？「ウルダハ」で合流しましょう。			ザナラーンにて踊る者							
興行が終わったら、今度は個人的に一座を招待したいものじゃ！			興行が終わったら、今度は個人的に一座を招待したいものじゃ！			ザナラーンにて踊る者							
埃っぽい街並みながらも、立ち並ぶ装飾は豪奢なもの。こうした都市の住民は、世俗的で地味な内容を嫌うもんです。前口上や演奏も、大仰にしたほうが受けそうですね。			埃っぽい街並みながらも、立ち並ぶ装飾は豪奢なもの。こうした都市の住民は、世俗的で地味な内容を嫌うもんです。前口上や演奏も、大仰にしたほうが受けそうですね。			ザナラーンにて踊る者							
この都市でも、たくさんの人に舞を観てもらって……それで、また褒めてもらえたら嬉しいなあ。			この都市でも、たくさんの人に舞を観てもらって……それで、また褒めてもらえたら嬉しいなあ。			ザナラーンにて踊る者							
さ、新しい都市に着いたことだし、さっそく公演予定地へと向かいましょう！			さ、新しい都市に着いたことだし、さっそく公演予定地へと向かいましょう！			ザナラーンにて踊る者							
実は、もう当たりはつけてあってね。都市の外れにあるという貧民窟で公演を行いたいのよ。			実は、もう当たりはつけてあってね。都市の外れにあるという貧民窟で公演を行いたいのよ。			ザナラーンにて踊る者							
貧民窟、ですか……？アタシとしても、舞を見るのに身分など関係ないと思いますが、初演をそちらで行う意図はなんでしょう？			貧民窟、ですか……？アタシとしても、舞を見るのに身分など関係ないと思いますが、初演をそちらで行う意図はなんでしょう？			ザナラーンにて踊る者							
それが、「踊り子」の使命でもあるからよ。ちょうどいいわ、Forenameも聞いておいて。			それが、「踊り子」の使命でもあるからよ。ちょうどいいわ、Forenameも聞いておいて。			ザナラーンにて踊る者							
以前も説明したけど、武の舞踏「クリークタンツ」には、観衆の心を鼓舞し、胸の内に抱える不安を鎮める力がある。社会的な不安を持った人々を勇気づけるのも、私たちの使命なの。			以前も説明したけど、武の舞踏「クリークタンツ」には、観衆の心を鼓舞し、胸の内に抱える不安を鎮める力がある。社会的な不安を持った人々を勇気づけるのも、私たちの使命なの。			ザナラーンにて踊る者							
海賊の街と謳われるリムサ・ロミンサは、不満は溜め込まずに発散するお国柄のようでね。多少の不安はあれど、心に闇を抱えている人は少なかった……。			海賊の街と謳われるリムサ・ロミンサは、不満は溜め込まずに発散するお国柄のようでね。多少の不安はあれど、心に闇を抱えている人は少なかった……。			ザナラーンにて踊る者							
でも、ここウルダハには霊災や戦災で痛みを抱え、未来に希望を持つどころか、今の生活に不安を抱えてる人も多い。だからこそ、貧民窟での公演を希望したというわけ……。			でも、ここウルダハには霊災や戦災で痛みを抱え、未来に希望を持つどころか、今の生活に不安を抱えてる人も多い。だからこそ、貧民窟での公演を希望したというわけ……。			ザナラーンにて踊る者							
(-？？？？-)失礼、ファルシャム一座の皆さんですね！？			(-？？？？-)失礼、ファルシャム一座の皆さんですね！？			ザナラーンにて踊る者							
私は、ウルダハの治安を守る「銅刃団」の衛兵です。どうか、公演を中止してください！			私は、ウルダハの治安を守る「銅刃団」の衛兵です。どうか、公演を中止してください！			ザナラーンにて踊る者							
実は……ストーンズスロー貧民窟で、待遇改善を訴える者たちが、暴動の計画を立てていることが発覚したのです。			実は……ストーンズスロー貧民窟で、待遇改善を訴える者たちが、暴動の計画を立てていることが発覚したのです。			ザナラーンにて踊る者							
もちろん、彼らの怒りの矛先はウルダハの富裕層でしょう……。ですが、暴動となれば、皆さんが巻き込まれないとは限りません。大変申し訳無いのですが……。			もちろん、彼らの怒りの矛先はウルダハの富裕層でしょう……。ですが、暴動となれば、皆さんが巻き込まれないとは限りません。大変申し訳無いのですが……。			ザナラーンにて踊る者							
あら、私たちの身を案じての提案であれば、どうかご安心を。一座の者は、みな身を護る術を会得しております。それに、不安を抱える方々の暴動計画ならば……			あら、私たちの身を案じての提案であれば、どうかご安心を。一座の者は、みな身を護る術を会得しております。それに、不安を抱える方々の暴動計画ならば……			ザナラーンにて踊る者							
胸の内に抱える不安を鎮めることも、踊り子の使命！私たちの舞で、その暴動を止めてみせればいいんですね！？			胸の内に抱える不安を鎮めることも、踊り子の使命！私たちの舞で、その暴動を止めてみせればいいんですね！？			ザナラーンにて踊る者							
しかし、他国からの客人にそんなお願いをするわけには……。戦闘が本業というわけでもないのでしょう？			しかし、他国からの客人にそんなお願いをするわけには……。戦闘が本業というわけでもないのでしょう？			ザナラーンにて踊る者							
何と答える？			何と答える？			ザナラーンにて踊る者							
ファルシャム一座の踊り子は、一味違う			ファルシャム一座の踊り子は、一味違う			ザナラーンにて踊る者							
自分は冒険者でもある			自分は冒険者でもある			ザナラーンにて踊る者							
うーむ……そうも、はっきりと仰るのなら、もし荒事になったとしても、信じるしかなさそうですね。			うーむ……そうも、はっきりと仰るのなら、もし荒事になったとしても、信じるしかなさそうですね。			ザナラーンにて踊る者							
なるほど、ウルダハの事情に詳しい冒険者もいる、と……。それならば荒事になったとしても、対処できそうですね。			なるほど、ウルダハの事情に詳しい冒険者もいる、と……。それならば荒事になったとしても、対処できそうですね。			ザナラーンにて踊る者							
でしたら、貧民窟へ向かうことはお止めしませんが、どうか無茶だけはなさらぬよう……！			でしたら、貧民窟へ向かうことはお止めしませんが、どうか無茶だけはなさらぬよう……！			ザナラーンにて踊る者							
ナシュメラ先生、ここは任せてください！貧民窟の人たちに「クリークタンツ」を披露して、心を鎮め、暴動計画を阻止してみせます！			ナシュメラ先生、ここは任せてください！貧民窟の人たちに「クリークタンツ」を披露して、心を鎮め、暴動計画を阻止してみせます！			ザナラーンにて踊る者							
そうね……ただし、ひとりで向かうことは許しません。Forenameから決して離れないこと。それが守れるなら、貧民窟へ行くのを許可します。			そうね……ただし、ひとりで向かうことは許しません。Forenameから決して離れないこと。それが守れるなら、貧民窟へ行くのを許可します。			ザナラーンにて踊る者							
よしっ！　それじゃ、Forename、「ストーンズスロー貧民窟」の近くで待ち合わせよう！			よしっ！　それじゃ、Forename、「ストーンズスロー貧民窟」の近くで待ち合わせよう！			ザナラーンにて踊る者							
ラナーの嬢ちゃん、妙に気持ちが逸っているような……？			ラナーの嬢ちゃん、妙に気持ちが逸っているような……？			ザナラーンにて踊る者							
ラナーには、この巡業を通じて、踊り子として大成してほしい。真の使命を知って成長するためにも、ここが転機になるでしょう。踊り子としては彼女の方が先輩だけど……見守ってあげて。			ラナーには、この巡業を通じて、踊り子として大成してほしい。真の使命を知って成長するためにも、ここが転機になるでしょう。踊り子としては彼女の方が先輩だけど……見守ってあげて。			ザナラーンにて踊る者							
待ってたよ～！まずは誰が暴動を扇動しているのか、調べるところからだね。効率よく、二手に別れて聞き込みしよう！			待ってたよ～！まずは誰が暴動を扇動しているのか、調べるところからだね。効率よく、二手に別れて聞き込みしよう！			ザナラーンにて踊る者							
えっ、離れるなと言われただろうって……？大丈夫、大丈夫！　話を聞いて回るだけで、危ないところへ行くわけじゃないんだから！			えっ、離れるなと言われただろうって……？大丈夫、大丈夫！　話を聞いて回るだけで、危ないところへ行くわけじゃないんだから！			ザナラーンにて踊る者							
貧民窟の人たちから話を聞き終えたら、またここに集合！それじゃ、後でね！			貧民窟の人たちから話を聞き終えたら、またここに集合！それじゃ、後でね！			ザナラーンにて踊る者							
聞き込みって初めて……なんだか冒険者みたいだね！キミも、暴動を扇動する人たちについて聞いてみて！			聞き込みって初めて……なんだか冒険者みたいだね！キミも、暴動を扇動する人たちについて聞いてみて！			ザナラーンにて踊る者							
暴動の計画……？ああ、最近そんなことを騒いでる連中がいるね。私も迷惑してるんだ。			暴動の計画……？ああ、最近そんなことを騒いでる連中がいるね。私も迷惑してるんだ。			ザナラーンにて踊る者							
関係ない私らまで、銅刃団に疑いの眼差しで見られてさ。……ま、無関係を装って加担している奴もいるらしい。目をつけられたくなきゃ、派手に動かないことだね。			関係ない私らまで、銅刃団に疑いの眼差しで見られてさ。……ま、無関係を装って加担している奴もいるらしい。目をつけられたくなきゃ、派手に動かないことだね。			ザナラーンにて踊る者							
暴動を起こそうとしている連中だと？そういえば……このところ、物騒な発言をする奴が増えたな。			暴動を起こそうとしている連中だと？そういえば……このところ、物騒な発言をする奴が増えたな。			ザナラーンにて踊る者							
もともと、富裕層に不満を抱いている奴は多かったが、最近、急に「都市内に住む連中は抹殺だ」なんて言い出してな。冗談だと思っていたが……本気だったのか。			もともと、富裕層に不満を抱いている奴は多かったが、最近、急に「都市内に住む連中は抹殺だ」なんて言い出してな。冗談だと思っていたが……本気だったのか。			ザナラーンにて踊る者							
誰が暴動を企てているかなんて知らないよ。ただ、無関係を装って加担している奴もいるらしい。アンタも、目をつけられないよう気をつけな。			誰が暴動を企てているかなんて知らないよ。ただ、無関係を装って加担している奴もいるらしい。アンタも、目をつけられないよう気をつけな。			ザナラーンにて踊る者							
もともと、富裕層に不満を抱いている奴は多かったが、最近、急に「都市内に住む連中は抹殺だ」なんて言い出してな。冗談だと思っていたが……本気だったのか。			もともと、富裕層に不満を抱いている奴は多かったが、最近、急に「都市内に住む連中は抹殺だ」なんて言い出してな。冗談だと思っていたが……本気だったのか。			ザナラーンにて踊る者							
(-心配そうな貧民-)あなた、もしかして……ミコッテ族の女の子を待っている？ヒラヒラした綺麗な服を着た子……。			(-心配そうな貧民-)あなた、もしかして……ミコッテ族の女の子を待っている？ヒラヒラした綺麗な服を着た子……。			ザナラーンにて踊る者							
(-心配そうな貧民-)あの子、暴動を扇動してる連中を探しているんでしょう？それがさ……まさに、その扇動者のひとりに声をかけてたんだよ。			(-心配そうな貧民-)あの子、暴動を扇動してる連中を探しているんでしょう？それがさ……まさに、その扇動者のひとりに声をかけてたんだよ。			ザナラーンにて踊る者							
(-心配そうな貧民-)なにを話していたかは知らないけど、扇動者に連れられて、北の方角へ歩いていったわ。大丈夫かしら……。			(-心配そうな貧民-)なにを話していたかは知らないけど、扇動者に連れられて、北の方角へ歩いていったわ。大丈夫かしら……。			ザナラーンにて踊る者							
助けてくれて、ありがとう……！扇動者のアジトに連れて行ってやるって騙されて……。			助けてくれて、ありがとう……！扇動者のアジトに連れて行ってやるって騙されて……。			ザナラーンにて踊る者							
それにしても、こいつら変だったよ。私がここに着いたとき、妙な動きをしていたんだ。不気味な動きを繰り返して……まるで舞を踊るように……。			それにしても、こいつら変だったよ。私がここに着いたとき、妙な動きをしていたんだ。不気味な動きを繰り返して……まるで舞を踊るように……。			ザナラーンにて踊る者							
……って、話は後でもできるね。私は、銅刃団の人たちを呼んで、こいつらを引き渡しておくよ。			……って、話は後でもできるね。私は、銅刃団の人たちを呼んで、こいつらを引き渡しておくよ。			ザナラーンにて踊る者							
Forenameは、ウルダハに戻って、ナシュメラ先生に報告してくれる？……ラナーは、言いつけを守れず失敗しました、って。			Forenameは、ウルダハに戻って、ナシュメラ先生に報告してくれる？……ラナーは、言いつけを守れず失敗しました、って。			ザナラーンにて踊る者							
Forenameは、ウルダハに戻って、ナシュメラ先生に報告してくれる？……ラナーは、言いつけを守れず失敗しました、って。			Forenameは、ウルダハに戻って、ナシュメラ先生に報告してくれる？……ラナーは、言いつけを守れず失敗しました、って。			ザナラーンにて踊る者							
おや、ラナーの嬢ちゃんは……？			おや、ラナーの嬢ちゃんは……？			ザナラーンにて踊る者							
そう、やはりあの子は先走って……。とにかく、ラナーが戻るのを待ちましょう。それに……不気味な舞とやらも気になるしね。			そう、やはりあの子は先走って……。とにかく、ラナーが戻るのを待ちましょう。それに……不気味な舞とやらも気になるしね。			ザナラーンにて踊る者							
皆様、ありがとうございました！おかげさまで、扇動者の捕縛が叶いましたよ。これで、しばらく暴動の心配はないでしょう。			皆様、ありがとうございました！おかげさまで、扇動者の捕縛が叶いましたよ。これで、しばらく暴動の心配はないでしょう。			ザナラーンにて踊る者							
ただ、わからない点もありまして……。ラナーさんが目撃したという、彼らの「不気味な舞」です。本人たち、どうやら覚えていないようなんですよね。			ただ、わからない点もありまして……。ラナーさんが目撃したという、彼らの「不気味な舞」です。本人たち、どうやら覚えていないようなんですよね。			ザナラーンにて踊る者							
覚えていないというと……自分たちが踊っていたことを？			覚えていないというと……自分たちが踊っていたことを？			ザナラーンにて踊る者							
いえ、踊っていたという自覚はあるらしいのですが、その理由がわからない、と……。急に「踊らなければ」と思ったなどと言っていまして。			いえ、踊っていたという自覚はあるらしいのですが、その理由がわからない、と……。急に「踊らなければ」と思ったなどと言っていまして。			ザナラーンにて踊る者							
それどころか、過激派の連中、目覚めたときには、全員、憑き物でも落ちたようにスッキリした顔で……暴動を計画した理由すら、よくわからないと証言しているのです。			それどころか、過激派の連中、目覚めたときには、全員、憑き物でも落ちたようにスッキリした顔で……暴動を計画した理由すら、よくわからないと証言しているのです。			ザナラーンにて踊る者							
ご禁制の怪しい錬金薬でもやっていたのか……銅刃団としても、詳しく調査をしてみるつもりですよ。ともかく、ご協力ありがとうございました！			ご禁制の怪しい錬金薬でもやっていたのか……銅刃団としても、詳しく調査をしてみるつもりですよ。ともかく、ご協力ありがとうございました！			ザナラーンにて踊る者							
ナシュメラ先生、すみませんでした。結局、私ひとりで行動して窮地に陥り、彼らの心を鎮めるどころか、舞を披露することもできず……。			ナシュメラ先生、すみませんでした。結局、私ひとりで行動して窮地に陥り、彼らの心を鎮めるどころか、舞を披露することもできず……。			ザナラーンにて踊る者							
戦うこともまた、武の舞踏「クリークタンツ」の一環……。Forenameが踊り子の技で相手を撃退したなら、それは、十分に舞を見せつけたことになるわ。			戦うこともまた、武の舞踏「クリークタンツ」の一環……。Forenameが踊り子の技で相手を撃退したなら、それは、十分に舞を見せつけたことになるわ。			ザナラーンにて踊る者							
だからこそ、扇動者たちは、正気を取り戻し……いえ、それは今は関係ないわね。			だからこそ、扇動者たちは、正気を取り戻し……いえ、それは今は関係ないわね。			ザナラーンにて踊る者							
とにかく、あなたの問題は失敗したことじゃないわ。自尊心を満たしたいがため、先走って軽率な行動をしたこと。			とにかく、あなたの問題は失敗したことじゃないわ。自尊心を満たしたいがため、先走って軽率な行動をしたこと。			ザナラーンにて踊る者							
「クリークタンツ」は、観衆や仲間の心を鼓舞する舞踏。自分が褒められるために踊ろうなど本末転倒。いくら技術を磨こうと、心が伴わなければ素人のままよ。			「クリークタンツ」は、観衆や仲間の心を鼓舞する舞踏。自分が褒められるために踊ろうなど本末転倒。いくら技術を磨こうと、心が伴わなければ素人のままよ。			ザナラーンにて踊る者							
はい……肝に銘じ精進します。もう二度と、同じ失態は繰り返しません……！			はい……肝に銘じ精進します。もう二度と、同じ失態は繰り返しません……！			ザナラーンにて踊る者							
