弓術士ギルドマスター、ルシアヌの周囲で、何やら揉め事があるようだが……。			弓術士ギルドマスター、ルシアヌの周囲で、何やら揉め事があるようだが……。			迷い無き瞳							
弓術の基礎を学び終えた証として、ギルドに伝わる技をひとつ、伝授しましょう。			弓術の基礎を学び終えた証として、ギルドに伝わる技をひとつ、伝授しましょう。			シルヴェルの弓術							
あなたに教えるのは、「リペリングショット」。これは、矢を放つと同時に後方にジャンプする技。上手く使えば、窮地から脱することができるわ。			あなたに教えるのは、「リペリングショット」。これは、矢を放つと同時に後方にジャンプする技。上手く使えば、窮地から脱することができるわ。			シルヴェルの弓術							
実際に使って確かめてみるといいわ。あなたの目があれば、使うべき時はわかるはずよ。この調子で頑張ってちょうだい。			実際に使って確かめてみるといいわ。あなたの目があれば、使うべき時はわかるはずよ。この調子で頑張ってちょうだい。			シルヴェルの弓術							
クエスト「シルヴェルの弓術」のバトルを開始しますか？			クエスト「シルヴェルの弓術」のバトルを開始しますか？			シルヴェルの弓術							
はい			はい			シルヴェルの弓術							
いいえ			いいえ			シルヴェルの弓術							
グウッ！　ナニヤツ……！？			グウッ！　ナニヤツ……！？			シルヴェルの弓術							
巡視でイクサル族と遭遇するとはなっ！冒険者よ、俺も加勢するぞ！			巡視でイクサル族と遭遇するとはなっ！冒険者よ、俺も加勢するぞ！			シルヴェルの弓術							
衛兵の意地を見せてやる！			衛兵の意地を見せてやる！			シルヴェルの弓術							
注意しろ、水系の高位魔法を使いやがる！距離をとって戦うんだ！			注意しろ、水系の高位魔法を使いやがる！距離をとって戦うんだ！			シルヴェルの弓術							
無念、衛兵の名折れだ……			無念、衛兵の名折れだ……			シルヴェルの弓術							
弓術士ギルドのルシアヌは、冒険者に、さまざまな視点からものを見ることを学ばせようとしている。			弓術士ギルドのルシアヌは、冒険者に、さまざまな視点からものを見ることを学ばせようとしている。			レイ・アリアポーの弓術							
ルシアヌから、姉弟子であるレイ・アリアポーから指導を受けるよう言われた。「弓術士ギルド」にいる「レイ・アリアポー」に声をかけよう。			ルシアヌから、姉弟子であるレイ・アリアポーから指導を受けるよう言われた。「弓術士ギルド」にいる「レイ・アリアポー」に声をかけよう。			レイ・アリアポーの弓術							
レイ・アリアポーから、森の中で的を壊す試練を与えられた。彼女の言葉に従って、周囲の様子に気をつけながら、中央森林に仕掛けられた「弓術用の的」を6つ、「ヘヴィショット」で破壊してこよう。			レイ・アリアポーから、森の中で的を壊す試練を与えられた。彼女の言葉に従って、周囲の様子に気をつけながら、中央森林に仕掛けられた「弓術用の的」を6つ、「ヘヴィショット」で破壊してこよう。			レイ・アリアポーの弓術							
的を壊すことができた。「弓術士ギルド」に戻り、「レイ・アリアポー」に報告しよう。			的を壊すことができた。「弓術士ギルド」に戻り、「レイ・アリアポー」に報告しよう。			レイ・アリアポーの弓術							
更に周囲に目を配りながら戦うことを学ぶため、東部森林の「ハニーヤード」付近にいる魔物「ツリースラッグ」と「ヴァルチャー」の討伐を命じられた。魔物の「特徴」と周囲をよく見ながら、それぞれ8体、討伐しよう。			更に周囲に目を配りながら戦うことを学ぶため、東部森林の「ハニーヤード」付近にいる魔物「ツリースラッグ」と「ヴァルチャー」の討伐を命じられた。魔物の「特徴」と周囲をよく見ながら、それぞれ8体、討伐しよう。			レイ・アリアポーの弓術							
ツリースラッグとヴァルチャーの討伐を終えた。「弓術士ギルド」の「レイ・アリアポー」に報告しよう。			ツリースラッグとヴァルチャーの討伐を終えた。「弓術士ギルド」の「レイ・アリアポー」に報告しよう。			レイ・アリアポーの弓術							
レイから、周囲と自分の立ち位置に気を使って戦うことの大切さを説かれた。レイからの指導を終えたことを、「弓術士ギルド」の「ルシアヌ」に報告しよう。			レイから、周囲と自分の立ち位置に気を使って戦うことの大切さを説かれた。レイからの指導を終えたことを、「弓術士ギルド」の「ルシアヌ」に報告しよう。			レイ・アリアポーの弓術							
兄弟子のシルヴェルは冒険者を良く思っていないようだ。ルシアヌは、そんなシルヴェルの態度をたしなめる。次回の指導はシルヴェルに依頼するつもりだというが……。レイから教わったことを念頭に、より鍛錬に励もう。※弓術士のレベルが15以上になると、ルシアヌから次の弓術士クエストを受注することができます。			兄弟子のシルヴェルは冒険者を良く思っていないようだ。ルシアヌは、そんなシルヴェルの態度をたしなめる。次回の指導はシルヴェルに依頼するつもりだというが……。レイから教わったことを念頭に、より鍛錬に励もう。※弓術士のレベルが15以上になると、ルシアヌから次の弓術士クエストを受注することができます。			レイ・アリアポーの弓術							
レイ・アリアポーと話す			レイ・アリアポーと話す			レイ・アリアポーの弓術							
中央森林の弓術用の的をヘヴィショットで破壊			中央森林の弓術用の的をヘヴィショットで破壊			レイ・アリアポーの弓術							
弓術士ギルドのレイ・アリアポーに報告			弓術士ギルドのレイ・アリアポーに報告			レイ・アリアポーの弓術							
ツリースラッグを討伐			ツリースラッグを討伐			レイ・アリアポーの弓術							
ヴァルチャーを討伐			ヴァルチャーを討伐			レイ・アリアポーの弓術							
弓術士ギルドのレイ・アリアポーに報告			弓術士ギルドのレイ・アリアポーに報告			レイ・アリアポーの弓術							
ルシアヌに報告			ルシアヌに報告			レイ・アリアポーの弓術							
また少し、成長したみたいね。素直な「目」を持つということは、弓術士には大切なことよ。喜ばしいわ。			また少し、成長したみたいね。素直な「目」を持つということは、弓術士には大切なことよ。喜ばしいわ。			レイ・アリアポーの弓術							
自分の目でものごとを捉えることを知ったら、これからは、いろいろな視点から見ることを学んでほしいの。			自分の目でものごとを捉えることを知ったら、これからは、いろいろな視点から見ることを学んでほしいの。			レイ・アリアポーの弓術							
今回は、以前紹介したあなたの姉弟子、「レイ・アリアポー」に指導を頼んだわ。彼女に声をかけてみて。			今回は、以前紹介したあなたの姉弟子、「レイ・アリアポー」に指導を頼んだわ。彼女に声をかけてみて。			レイ・アリアポーの弓術							
お、来たな。それじゃさっそく、指導に入ろうか。			お、来たな。それじゃさっそく、指導に入ろうか。			レイ・アリアポーの弓術							
前回、的を壊す試練をしただろ？今回はそれを応用した練習をするんだ。			前回、的を壊す試練をしただろ？今回はそれを応用した練習をするんだ。			レイ・アリアポーの弓術							
前回との違いは、「森の中で」的を探すということ。			前回との違いは、「森の中で」的を探すということ。			レイ・アリアポーの弓術							
わかってると思うが、森は決して安全な場所じゃない。常に周囲に気を配っていなければならないということだ。			わかってると思うが、森は決して安全な場所じゃない。常に周囲に気を配っていなければならないということだ。			レイ・アリアポーの弓術							
周囲にいる敵の位置を確認し、十分な距離を保てていれば、もし見つかっても、すぐに逃げて、追撃を避けることができるだろ？			周囲にいる敵の位置を確認し、十分な距離を保てていれば、もし見つかっても、すぐに逃げて、追撃を避けることができるだろ？			レイ・アリアポーの弓術							
対象だけを見るんじゃなく、周囲にも目を配り、周りの様子を気にかけながら戦えってことだ。			対象だけを見るんじゃなく、周囲にも目を配り、周りの様子を気にかけながら戦えってことだ。			レイ・アリアポーの弓術							
的は、中央森林に配置してある。前と同じく、「ヘヴィショット」で壊せるぞ。んじゃ頑張って。健闘を祈っているよ。			的は、中央森林に配置してある。前と同じく、「ヘヴィショット」で壊せるぞ。んじゃ頑張って。健闘を祈っているよ。			レイ・アリアポーの弓術							
（仮）todoが来たら入れます			（仮）todoが来たら入れます			レイ・アリアポーの弓術							
よし、上出来だ。自分の周囲に目を配って戦えたみたいだな。			よし、上出来だ。自分の周囲に目を配って戦えたみたいだな。			レイ・アリアポーの弓術							
それじゃ次は、魔物との戦いで実践してみるんだ。確か、ちょうどいい魔物の討伐依頼が来てたような……			それじゃ次は、魔物との戦いで実践してみるんだ。確か、ちょうどいい魔物の討伐依頼が来てたような……			レイ・アリアポーの弓術							
ああ、そうだ、思い出したぞ。東部森林のハニーヤードで、増殖した魔物、ツリースラッグとヴァルチャーが付近を荒らしてるらしい。			ああ、そうだ、思い出したぞ。東部森林のハニーヤードで、増殖した魔物、ツリースラッグとヴァルチャーが付近を荒らしてるらしい。			レイ・アリアポーの弓術							
幻術士様からの討伐依頼だ。鬼哭隊や神勇隊の手を借りるほどでもない依頼がこうして弓術士ギルドにくることがあるのさ。			幻術士様からの討伐依頼だ。鬼哭隊や神勇隊の手を借りるほどでもない依頼がこうして弓術士ギルドにくることがあるのさ。			レイ・アリアポーの弓術							
……押し付けたんじゃないぞ？こいつらは、ある「特徴」をもった敵なんだ。			……押し付けたんじゃないぞ？こいつらは、ある「特徴」をもった敵なんだ。			レイ・アリアポーの弓術							
敵の「特徴」を見抜くことは、前回ルシアヌから学んだな？今回学んだ、「周囲の様子に目を配ること」と合わせてよーく考えながら、8体ずつ、討伐してきな。			敵の「特徴」を見抜くことは、前回ルシアヌから学んだな？今回学んだ、「周囲の様子に目を配ること」と合わせてよーく考えながら、8体ずつ、討伐してきな。			レイ・アリアポーの弓術							
よ、おかえり！その目、弓術士らしくなったじゃん。特徴をとらえつつ、周囲に気を配りながら戦えたみたいだな。			よ、おかえり！その目、弓術士らしくなったじゃん。特徴をとらえつつ、周囲に気を配りながら戦えたみたいだな。			レイ・アリアポーの弓術							
ヴァルチャーは、その翼で突風を起こす。間合いを取ったり、裏手に回り込むなどして、突風をまともに受けないように戦うんだ。			ヴァルチャーは、その翼で突風を起こす。間合いを取ったり、裏手に回り込むなどして、突風をまともに受けないように戦うんだ。			レイ・アリアポーの弓術							
ツリースラッグの液汁は、魔法の詠唱を妨げる。仲間の魔道士が受けないように、敵の位置を気にしてやらなきゃいけない。			ツリースラッグの液汁は、魔法の詠唱を妨げる。仲間の魔道士が受けないように、敵の位置を気にしてやらなきゃいけない。			レイ・アリアポーの弓術							
敵の特徴を知った上で、自分の周囲に気を配りつつ、立ち位置を意識しながら戦うことの重要さが、よくわかっただろ？			敵の特徴を知った上で、自分の周囲に気を配りつつ、立ち位置を意識しながら戦うことの重要さが、よくわかっただろ？			レイ・アリアポーの弓術							
この戦法は、「狩り」において基本中の基本だ。そう……弓術は、森での狩猟を生業とするムーンキーパーの「狩り」の技術から生まれたのさ。			この戦法は、「狩り」において基本中の基本だ。そう……弓術は、森での狩猟を生業とするムーンキーパーの「狩り」の技術から生まれたのさ。			レイ・アリアポーの弓術							
今回の指導は、狩りの術のレクチャーだったわけだ。フフン。ルシアヌも、それをわかっていてアタシに任せたんだろうね。			今回の指導は、狩りの術のレクチャーだったわけだ。フフン。ルシアヌも、それをわかっていてアタシに任せたんだろうね。			レイ・アリアポーの弓術							
「狩りの術」……。村で暮らしてた時は意識したことがなかったが、アタシも、故郷を離れてよくわかったよ……			「狩りの術」……。村で暮らしてた時は意識したことがなかったが、アタシも、故郷を離れてよくわかったよ……			レイ・アリアポーの弓術							
……と、悪い悪い！しんみりはガラじゃないんだ、忘れてくれ。			……と、悪い悪い！しんみりはガラじゃないんだ、忘れてくれ。			レイ・アリアポーの弓術							
いいか、狩りにおいては一瞬の隙が命取りになる。今回学んだこと、常々頭のスミに置いておけよ。			いいか、狩りにおいては一瞬の隙が命取りになる。今回学んだこと、常々頭のスミに置いておけよ。			レイ・アリアポーの弓術							
それじゃ、アタシの指導はこれでオシマイ。ルシアヌに報告してきな。			それじゃ、アタシの指導はこれでオシマイ。ルシアヌに報告してきな。			レイ・アリアポーの弓術							
あら、おかえりなさい。レイの指導をこなしたそうね。			あら、おかえりなさい。レイの指導をこなしたそうね。			レイ・アリアポーの弓術							
おい……ツリースラッグとヴァルチャーを討伐したというのは本当か？			おい……ツリースラッグとヴァルチャーを討伐したというのは本当か？			レイ・アリアポーの弓術							
ツリースラッグとヴァルチャーを討伐した？			ツリースラッグとヴァルチャーを討伐した？			レイ・アリアポーの弓術							
はい			はい			レイ・アリアポーの弓術							
いいえ			いいえ			レイ・アリアポーの弓術							
見え透いた嘘をつくな。俺の目は誤魔化せないぞ。			見え透いた嘘をつくな。俺の目は誤魔化せないぞ。			レイ・アリアポーの弓術							
チッ……あのムーンキーパーめ！都市からの依頼を冒険者におしつけるとは、責任感のかけらもない！			チッ……あのムーンキーパーめ！都市からの依頼を冒険者におしつけるとは、責任感のかけらもない！			レイ・アリアポーの弓術							
ルシアヌ、言ったはずだ。弓術を理解せぬ者をギルドに置くべきではないと。あいつは、都市を守るべき弓術を狩りの手段などと言う。			ルシアヌ、言ったはずだ。弓術を理解せぬ者をギルドに置くべきではないと。あいつは、都市を守るべき弓術を狩りの手段などと言う。			レイ・アリアポーの弓術							
この冒険者も同じだ。所詮はよそ者、弓術を理解できるはずがない。			この冒険者も同じだ。所詮はよそ者、弓術を理解できるはずがない。			レイ・アリアポーの弓術							
シルヴェル。あなたの弓術の腕は認めるわ。あなたがグリダニアを大切に思っていることも。			シルヴェル。あなたの弓術の腕は認めるわ。あなたがグリダニアを大切に思っていることも。			レイ・アリアポーの弓術							
けれど、それだけではいけません。あなたはまだ知らなければいけないことがある。			けれど、それだけではいけません。あなたはまだ知らなければいけないことがある。			レイ・アリアポーの弓術							
Forenameは成長したわ。彼女彼から目をそらさないで。			Forenameは成長したわ。彼女彼から目をそらさないで。			レイ・アリアポーの弓術							
…………。			…………。			レイ・アリアポーの弓術							
彼女彼の次回の指導は、あなたにお願いするつもりよ、シルヴェル。			彼女彼の次回の指導は、あなたにお願いするつもりよ、シルヴェル。			レイ・アリアポーの弓術							
Forename、あなたもそのつもりで。レイに教わったことを念頭に、しっかりと腕を磨いてくること。			Forename、あなたもそのつもりで。レイに教わったことを念頭に、しっかりと腕を磨いてくること。			レイ・アリアポーの弓術							
フン……。勝手にしろ。			フン……。勝手にしろ。			レイ・アリアポーの弓術							
……と、そうだわ。Forename、あなたに伝えなくちゃいけないことがあるの。			……と、そうだわ。Forename、あなたに伝えなくちゃいけないことがあるの。			レイ・アリアポーの弓術							
これまで、私たちの指導に、真摯に取り組んだあなたの姿勢を認めて……「他のギルドにて術を学ぶこと」を許可します。			これまで、私たちの指導に、真摯に取り組んだあなたの姿勢を認めて……「他のギルドにて術を学ぶこと」を許可します。			レイ・アリアポーの弓術							
グリダニアでは、槍術、幻術はもちろん、革細工や木工、園芸なんかも学ぶことができるわ。			グリダニアでは、槍術、幻術はもちろん、革細工や木工、園芸なんかも学ぶことができるわ。			レイ・アリアポーの弓術							
でもね……視野を広げるのは良いことだけれど、ひとつの術をしっかりと学ぶというのも、大切よ。			でもね……視野を広げるのは良いことだけれど、ひとつの術をしっかりと学ぶというのも、大切よ。			レイ・アリアポーの弓術							
まっすぐ飛ばない矢は、いくら撃っても当たらないわ。あなたにはまず「弓術」をしっかり極めて……その経験を生かして、他の術を学んでほしいの。			まっすぐ飛ばない矢は、いくら撃っても当たらないわ。あなたにはまず「弓術」をしっかり極めて……その経験を生かして、他の術を学んでほしいの。			レイ・アリアポーの弓術							
どんな学び方を選ぶかは、あなた次第。いずれにせよ、より成長したあなたに会えることを楽しみにしているわ。			どんな学び方を選ぶかは、あなた次第。いずれにせよ、より成長したあなたに会えることを楽しみにしているわ。			レイ・アリアポーの弓術							
「クラスチェンジ」が開放されました。他のクラスのギルドを訪れ、受付に話しかけると新たなクラスを習得するためのクエストが発行されます。			「クラスチェンジ」が開放されました。他のクラスのギルドを訪れ、受付に話しかけると新たなクラスを習得するためのクエストが発行されます。			レイ・アリアポーの弓術							
エオルゼアには、さまざまなクラスが存在します。まずは、現在学んでいる「弓術」について熟知し、そのうえで他のクラスを学ぶと、より理解が深まるでしょう。			エオルゼアには、さまざまなクラスが存在します。まずは、現在学んでいる「弓術」について熟知し、そのうえで他のクラスを学ぶと、より理解が深まるでしょう。			レイ・アリアポーの弓術							
弓術士ギルドのルシアヌは、冒険者に、さまざまな視点からものを見ることを学ばせようとしている。			弓術士ギルドのルシアヌは、冒険者に、さまざまな視点からものを見ることを学ばせようとしている。			レイ・アリアポーの弓術							
ルシアヌから、姉弟子であるレイ・アリアポーから指導を受けるよう言われた。「弓術士ギルド」にいる「レイ・アリアポー」に声をかけよう。			ルシアヌから、姉弟子であるレイ・アリアポーから指導を受けるよう言われた。「弓術士ギルド」にいる「レイ・アリアポー」に声をかけよう。			レイ・アリアポーの弓術							
レイ・アリアポーから、森の中で的を壊す試練を与えられた。彼女の言葉に従って、周囲の様子に気をつけながら、中央森林に仕掛けられた「弓術用の的」を6つ、「ヘヴィショット」で破壊してこよう。			レイ・アリアポーから、森の中で的を壊す試練を与えられた。彼女の言葉に従って、周囲の様子に気をつけながら、中央森林に仕掛けられた「弓術用の的」を6つ、「ヘヴィショット」で破壊してこよう。			レイ・アリアポーの弓術							
的を壊すことができた。「弓術士ギルド」に戻り、「レイ・アリアポー」に報告しよう。			的を壊すことができた。「弓術士ギルド」に戻り、「レイ・アリアポー」に報告しよう。			レイ・アリアポーの弓術							
更に周囲に目を配りながら戦うことを学ぶため、東部森林の「ハニーヤード」付近にいる魔物「ツリースラッグ」と「ヴァルチャー」の討伐を命じられた。魔物の「特徴」と周囲をよく見ながら、それぞれ8体、討伐しよう。			更に周囲に目を配りながら戦うことを学ぶため、東部森林の「ハニーヤード」付近にいる魔物「ツリースラッグ」と「ヴァルチャー」の討伐を命じられた。魔物の「特徴」と周囲をよく見ながら、それぞれ8体、討伐しよう。			レイ・アリアポーの弓術							
ツリースラッグとヴァルチャーの討伐を終えた。「弓術士ギルド」の「レイ・アリアポー」に報告しよう。			ツリースラッグとヴァルチャーの討伐を終えた。「弓術士ギルド」の「レイ・アリアポー」に報告しよう。			レイ・アリアポーの弓術							
レイから、周囲と自分の立ち位置に気を使って戦うことの大切さを説かれた。レイからの指導を終えたことを、「弓術士ギルド」の「ルシアヌ」に報告しよう。			レイから、周囲と自分の立ち位置に気を使って戦うことの大切さを説かれた。レイからの指導を終えたことを、「弓術士ギルド」の「ルシアヌ」に報告しよう。			レイ・アリアポーの弓術							
兄弟子のシルヴェルは冒険者を良く思っていないようだ。ルシアヌは、そんなシルヴェルの態度をたしなめる。次回の指導はシルヴェルに依頼するつもりだというが……。レイから教わったことを念頭に、より鍛錬に励もう。※弓術士のレベルが15以上になると、ルシアヌから次の弓術士クエストを受注することができます。			兄弟子のシルヴェルは冒険者を良く思っていないようだ。ルシアヌは、そんなシルヴェルの態度をたしなめる。次回の指導はシルヴェルに依頼するつもりだというが……。レイから教わったことを念頭に、より鍛錬に励もう。※弓術士のレベルが15以上になると、ルシアヌから次の弓術士クエストを受注することができます。			レイ・アリアポーの弓術							
レイ・アリアポーと話す			レイ・アリアポーと話す			レイ・アリアポーの弓術							
中央森林の弓術用の的をヘヴィショットで破壊			中央森林の弓術用の的をヘヴィショットで破壊			レイ・アリアポーの弓術							
弓術士ギルドのレイ・アリアポーに報告			弓術士ギルドのレイ・アリアポーに報告			レイ・アリアポーの弓術							
ツリースラッグを討伐			ツリースラッグを討伐			レイ・アリアポーの弓術							
ヴァルチャーを討伐			ヴァルチャーを討伐			レイ・アリアポーの弓術							
弓術士ギルドのレイ・アリアポーに報告			弓術士ギルドのレイ・アリアポーに報告			レイ・アリアポーの弓術							
ルシアヌに報告			ルシアヌに報告			レイ・アリアポーの弓術							
また少し、成長したみたいね。素直な「目」を持つということは、弓術士には大切なことよ。喜ばしいわ。			また少し、成長したみたいね。素直な「目」を持つということは、弓術士には大切なことよ。喜ばしいわ。			レイ・アリアポーの弓術							
自分の目でものごとを捉えることを知ったら、これからは、いろいろな視点から見ることを学んでほしいの。			自分の目でものごとを捉えることを知ったら、これからは、いろいろな視点から見ることを学んでほしいの。			レイ・アリアポーの弓術							
今回は、以前紹介したあなたの姉弟子、「レイ・アリアポー」に指導を頼んだわ。彼女に声をかけてみて。			今回は、以前紹介したあなたの姉弟子、「レイ・アリアポー」に指導を頼んだわ。彼女に声をかけてみて。			レイ・アリアポーの弓術							
お、来たな。それじゃさっそく、指導に入ろうか。			お、来たな。それじゃさっそく、指導に入ろうか。			レイ・アリアポーの弓術							
前回、的を壊す試練をしただろ？今回はそれを応用した練習をするんだ。			前回、的を壊す試練をしただろ？今回はそれを応用した練習をするんだ。			レイ・アリアポーの弓術							
前回との違いは、「森の中で」的を探すということ。			前回との違いは、「森の中で」的を探すということ。			レイ・アリアポーの弓術							
わかってると思うが、森は決して安全な場所じゃない。常に周囲に気を配っていなければならないということだ。			わかってると思うが、森は決して安全な場所じゃない。常に周囲に気を配っていなければならないということだ。			レイ・アリアポーの弓術							
周囲にいる敵の位置を確認し、十分な距離を保てていれば、もし見つかっても、すぐに逃げて、追撃を避けることができるだろ？			周囲にいる敵の位置を確認し、十分な距離を保てていれば、もし見つかっても、すぐに逃げて、追撃を避けることができるだろ？			レイ・アリアポーの弓術							
対象だけを見るんじゃなく、周囲にも目を配り、周りの様子を気にかけながら戦えってことだ。			対象だけを見るんじゃなく、周囲にも目を配り、周りの様子を気にかけながら戦えってことだ。			レイ・アリアポーの弓術							
的は、中央森林に配置してある。前と同じく、「ヘヴィショット」で壊せるぞ。んじゃ頑張って。健闘を祈っているよ。			的は、中央森林に配置してある。前と同じく、「ヘヴィショット」で壊せるぞ。んじゃ頑張って。健闘を祈っているよ。			レイ・アリアポーの弓術							
よし、上出来だ。自分の周囲に目を配って戦えたみたいだな。			よし、上出来だ。自分の周囲に目を配って戦えたみたいだな。			レイ・アリアポーの弓術							
それじゃ次は、魔物との戦いで実践してみるんだ。確か、ちょうどいい魔物の討伐依頼が来てたような……			それじゃ次は、魔物との戦いで実践してみるんだ。確か、ちょうどいい魔物の討伐依頼が来てたような……			レイ・アリアポーの弓術							
ああ、そうだ、思い出したぞ。東部森林のハニーヤードで、増殖した魔物、ツリースラッグとヴァルチャーが付近を荒らしてるらしい。			ああ、そうだ、思い出したぞ。東部森林のハニーヤードで、増殖した魔物、ツリースラッグとヴァルチャーが付近を荒らしてるらしい。			レイ・アリアポーの弓術							
幻術士様からの討伐依頼だ。鬼哭隊や神勇隊の手を借りるほどでもない依頼がこうして弓術士ギルドにくることがあるのさ。			幻術士様からの討伐依頼だ。鬼哭隊や神勇隊の手を借りるほどでもない依頼がこうして弓術士ギルドにくることがあるのさ。			レイ・アリアポーの弓術							
……押し付けたんじゃないぞ？こいつらは、ある「特徴」をもった敵なんだ。			……押し付けたんじゃないぞ？こいつらは、ある「特徴」をもった敵なんだ。			レイ・アリアポーの弓術							
敵の「特徴」を見抜くことは、前回ルシアヌから学んだな？今回学んだ、「周囲の様子に目を配ること」と合わせてよーく考えながら、8体ずつ、討伐してきな。			敵の「特徴」を見抜くことは、前回ルシアヌから学んだな？今回学んだ、「周囲の様子に目を配ること」と合わせてよーく考えながら、8体ずつ、討伐してきな。			レイ・アリアポーの弓術							
よ、おかえり！その目、弓術士らしくなったじゃん。特徴をとらえつつ、周囲に気を配りながら戦えたみたいだな。			よ、おかえり！その目、弓術士らしくなったじゃん。特徴をとらえつつ、周囲に気を配りながら戦えたみたいだな。			レイ・アリアポーの弓術							
ヴァルチャーは、その翼で突風を起こす。間合いを取ったり、裏手に回り込むなどして、突風をまともに受けないように戦うんだ。			ヴァルチャーは、その翼で突風を起こす。間合いを取ったり、裏手に回り込むなどして、突風をまともに受けないように戦うんだ。			レイ・アリアポーの弓術							
ツリースラッグの液汁は、魔法の詠唱を妨げる。仲間の魔道士が受けないように、敵の位置を気にしてやらなきゃいけない。			ツリースラッグの液汁は、魔法の詠唱を妨げる。仲間の魔道士が受けないように、敵の位置を気にしてやらなきゃいけない。			レイ・アリアポーの弓術							
敵の特徴を知った上で、自分の周囲に気を配りつつ、立ち位置を意識しながら戦うことの重要さが、よくわかっただろ？			敵の特徴を知った上で、自分の周囲に気を配りつつ、立ち位置を意識しながら戦うことの重要さが、よくわかっただろ？			レイ・アリアポーの弓術							
この戦法は、「狩り」において基本中の基本だ。そう……弓術は、森での狩猟を生業とするムーンキーパーの「狩り」の技術から生まれたのさ。			この戦法は、「狩り」において基本中の基本だ。そう……弓術は、森での狩猟を生業とするムーンキーパーの「狩り」の技術から生まれたのさ。			レイ・アリアポーの弓術							
今回の指導は、狩りの術のレクチャーだったわけだ。フフン。ルシアヌも、それをわかっていてアタシに任せたんだろうね。			今回の指導は、狩りの術のレクチャーだったわけだ。フフン。ルシアヌも、それをわかっていてアタシに任せたんだろうね。			レイ・アリアポーの弓術							
「狩りの術」……。村で暮らしてた時は意識したことがなかったが、アタシも、故郷を離れてよくわかったよ……			「狩りの術」……。村で暮らしてた時は意識したことがなかったが、アタシも、故郷を離れてよくわかったよ……			レイ・アリアポーの弓術							
……と、悪い悪い！しんみりはガラじゃないんだ、忘れてくれ。			……と、悪い悪い！しんみりはガラじゃないんだ、忘れてくれ。			レイ・アリアポーの弓術							
いいか、狩りにおいては一瞬の隙が命取りになる。今回学んだこと、常々頭のスミに置いておけよ。			いいか、狩りにおいては一瞬の隙が命取りになる。今回学んだこと、常々頭のスミに置いておけよ。			レイ・アリアポーの弓術							
それじゃ、アタシの指導はこれでオシマイ。ルシアヌに報告してきな。			それじゃ、アタシの指導はこれでオシマイ。ルシアヌに報告してきな。			レイ・アリアポーの弓術							
あら、おかえりなさい。レイの指導をこなしたそうね。			あら、おかえりなさい。レイの指導をこなしたそうね。			レイ・アリアポーの弓術							
おい……ツリースラッグとヴァルチャーを討伐したというのは本当か？			おい……ツリースラッグとヴァルチャーを討伐したというのは本当か？			レイ・アリアポーの弓術							
ツリースラッグとヴァルチャーを討伐した？			ツリースラッグとヴァルチャーを討伐した？			レイ・アリアポーの弓術							
はい			はい			レイ・アリアポーの弓術							
いいえ			いいえ			レイ・アリアポーの弓術							
見え透いた嘘をつくな。俺の目は誤魔化せないぞ。			見え透いた嘘をつくな。俺の目は誤魔化せないぞ。			レイ・アリアポーの弓術							
チッ……あのムーンキーパーめ！都市からの依頼を冒険者におしつけるとは、責任感のかけらもない！			チッ……あのムーンキーパーめ！都市からの依頼を冒険者におしつけるとは、責任感のかけらもない！			レイ・アリアポーの弓術							
ルシアヌ、言ったはずだ。弓術を理解せぬ者をギルドに置くべきではないと。あいつは、都市を守るべき弓術を狩りの手段などと言う。			ルシアヌ、言ったはずだ。弓術を理解せぬ者をギルドに置くべきではないと。あいつは、都市を守るべき弓術を狩りの手段などと言う。			レイ・アリアポーの弓術							
この冒険者も同じだ。所詮はよそ者、弓術を理解できるはずがない。			この冒険者も同じだ。所詮はよそ者、弓術を理解できるはずがない。			レイ・アリアポーの弓術							
シルヴェル。あなたの弓術の腕は認めるわ。あなたがグリダニアを大切に思っていることも。			シルヴェル。あなたの弓術の腕は認めるわ。あなたがグリダニアを大切に思っていることも。			レイ・アリアポーの弓術							
けれど、それだけではいけません。あなたはまだ知らなければいけないことがある。			けれど、それだけではいけません。あなたはまだ知らなければいけないことがある。			レイ・アリアポーの弓術							
Forenameは成長したわ。彼女彼から目をそらさないで。			Forenameは成長したわ。彼女彼から目をそらさないで。			レイ・アリアポーの弓術							
…………。			…………。			レイ・アリアポーの弓術							
彼女彼の次回の指導は、あなたにお願いするつもりよ、シルヴェル。			彼女彼の次回の指導は、あなたにお願いするつもりよ、シルヴェル。			レイ・アリアポーの弓術							
Forename、あなたもそのつもりで。レイに教わったことを念頭に、しっかりと腕を磨いてくること。			Forename、あなたもそのつもりで。レイに教わったことを念頭に、しっかりと腕を磨いてくること。			レイ・アリアポーの弓術							
フン……。勝手にしろ。			フン……。勝手にしろ。			レイ・アリアポーの弓術							
ダミーテキスト（仮）			ダミーテキスト（仮）			レイ・アリアポーの弓術							
弓術士ギルドの受付、アセリナは、ギルドへの入門手続きをするにあたって、冒険者の決心を確かめようとしているようだ。			弓術士ギルドの受付、アセリナは、ギルドへの入門手続きをするにあたって、冒険者の決心を確かめようとしているようだ。			弓術士の射抜くもの							
弓術士ギルドの受付からギルドマスターのルシアヌを紹介された。ギルド奥にいる「ルシアヌ」に声をかけよう。			弓術士ギルドの受付からギルドマスターのルシアヌを紹介された。ギルド奥にいる「ルシアヌ」に声をかけよう。			弓術士の射抜くもの							
