アゴラの大繁盛商店の新人店員は、呼び込みをしているようだ。			アゴラの大繁盛商店の新人店員は、呼び込みをしているようだ。			出航！ いざ、無人島へ！							
とはいえ、行きたい場所もなかなか見つからなくてねぇ……。			とはいえ、行きたい場所もなかなか見つからなくてねぇ……。			大団円？ 幸せ無人島開拓							
もともと研究以外では遠出をする方じゃなかったし、ムーンブリダを亡くしてからは、ますますそんな気力もなくなってしまった。			もともと研究以外では遠出をする方じゃなかったし、ムーンブリダを亡くしてからは、ますますそんな気力もなくなってしまった。			大団円？ 幸せ無人島開拓							
ククロ・ダンクロ氏から、「迷ってんなら南の島がいいぞ」とは言われていたものの、重い腰を上げられずにいたんだよ。			ククロ・ダンクロ氏から、「迷ってんなら南の島がいいぞ」とは言われていたものの、重い腰を上げられずにいたんだよ。			大団円？ 幸せ無人島開拓							
それをウリエンジェに話したら、あんたが開拓してる島はどうか……って。			それをウリエンジェに話したら、あんたが開拓してる島はどうか……って。			大団円？ 幸せ無人島開拓							
単純なもので、縁のある場所だと思うと、俄然行ってみたくなってね。ふたりして服まで買いそろえて出てきたってわけさ。			単純なもので、縁のある場所だと思うと、俄然行ってみたくなってね。ふたりして服まで買いそろえて出てきたってわけさ。			大団円？ 幸せ無人島開拓							
さてさて、ここはまだ普通の砂浜のようだけど、開拓されている場所はすごいって話じゃないか。			さてさて、ここはまだ普通の砂浜のようだけど、開拓されている場所はすごいって話じゃないか。			大団円？ 幸せ無人島開拓							
ラヴィリンソスのいち研究員としても興味があるし、さっそく案内をしてくれないかい？			ラヴィリンソスのいち研究員としても興味があるし、さっそく案内をしてくれないかい？			大団円？ 幸せ無人島開拓							
ではでは、おふたりを開拓拠点へとお連れしまっす！			ではでは、おふたりを開拓拠点へとお連れしまっす！			大団円？ 幸せ無人島開拓							
私も久しぶりに伺いまっしたが、さらに開拓が進んでいるご様子……さすがForenameさんでっす！			私も久しぶりに伺いまっしたが、さらに開拓が進んでいるご様子……さすがForenameさんでっす！			大団円？ 幸せ無人島開拓							
これを、あんたと魔法人形だけでやったのかい？……本当に？			これを、あんたと魔法人形だけでやったのかい？……本当に？			大団円？ 幸せ無人島開拓							
驚いた……！ずいぶんしっかりとした造りの施設じゃないか！			驚いた……！ずいぶんしっかりとした造りの施設じゃないか！			大団円？ 幸せ無人島開拓							
最初は荒れた野山だったんだろう？ここまで拠点を整えるには、かなり苦労したはずだ。			最初は荒れた野山だったんだろう？ここまで拠点を整えるには、かなり苦労したはずだ。			大団円？ 幸せ無人島開拓							
私たちも、直接の専門じゃないが、ラヴィリンソスでいろいろな開拓プランを見てきたからね。これが一朝一夕でできるものじゃないって、よくわかるよ。			私たちも、直接の専門じゃないが、ラヴィリンソスでいろいろな開拓プランを見てきたからね。これが一朝一夕でできるものじゃないって、よくわかるよ。			大団円？ 幸せ無人島開拓							
そうなんです、Forenameさんはすごいんでっす！			そうなんです、Forenameさんはすごいんでっす！			大団円？ 幸せ無人島開拓							
なんといっても…………			なんといっても…………			大団円？ 幸せ無人島開拓							
いけません、案内に夢中で、お伝えすべき重大報告を忘れてまっした……！			いけません、案内に夢中で、お伝えすべき重大報告を忘れてまっした……！			大団円？ 幸せ無人島開拓							
(-？？？？-)こんにちはーっ！この島のプディングを、くださーー－い！！			(-？？？？-)こんにちはーっ！この島のプディングを、くださーー－い！！			大団円？ 幸せ無人島開拓							
えっと、レポリットの……			えっと、レポリットの……			大団円？ 幸せ無人島開拓							
プディングウェイです！南の島のキラキラプディングをいただきに参りましたっ！			プディングウェイです！南の島のキラキラプディングをいただきに参りましたっ！			大団円？ 幸せ無人島開拓							
なるほどプディングウェイさん……今回お連れしたのはこちらのご夫妻だけだったはずでっすが、いったいどうやってこの島に？			なるほどプディングウェイさん……今回お連れしたのはこちらのご夫妻だけだったはずでっすが、いったいどうやってこの島に？			大団円？ 幸せ無人島開拓							
ぼく、以前Forenameさんに教わったとおり、ラストスタンドでお手伝いをしてたんです。またレインボープディングを食べるために……。			ぼく、以前Forenameさんに教わったとおり、ラストスタンドでお手伝いをしてたんです。またレインボープディングを食べるために……。			大団円？ 幸せ無人島開拓							
ぼく、ラストスタンドの名物だという、レインボープディングを食べてみたくって、お店のまわりをうろうろしてたんです……。			ぼく、ラストスタンドの名物だという、レインボープディングを食べてみたくって、お店のまわりをうろうろしてたんです……。			大団円？ 幸せ無人島開拓							
そしたら、そちらのおふたりが、これからお出かけする南の島について話してらっしゃって……。			そしたら、そちらのおふたりが、これからお出かけする南の島について話してらっしゃって……。			大団円？ 幸せ無人島開拓							
……確かに、海都行きの船が出るまで時間があったから、ラストスタンドでお茶をしたねぇ。			……確かに、海都行きの船が出るまで時間があったから、ラストスタンドでお茶をしたねぇ。			大団円？ 幸せ無人島開拓							
勝手にごめんなさい。あんまり素敵なものだったから、つい聞き入っちゃったんです。			勝手にごめんなさい。あんまり素敵なものだったから、つい聞き入っちゃったんです。			大団円？ 幸せ無人島開拓							
だって、そんな場所には、さぞおいしいプディングがあるに違いないでしょう？			だって、そんな場所には、さぞおいしいプディングがあるに違いないでしょう？			大団円？ 幸せ無人島開拓							
ぼく、いてもたってもいられなくなって……おふたりの隣に置いてあった大きな旅行鞄に、こっそりもぐりこんじゃいました。			ぼく、いてもたってもいられなくなって……おふたりの隣に置いてあった大きな旅行鞄に、こっそりもぐりこんじゃいました。			大団円？ 幸せ無人島開拓							
あんた、何にも気づかなかったのかい？			あんた、何にも気づかなかったのかい？			大団円？ 幸せ無人島開拓							
面目ない。久々の旅行なもので、鞄の重さもこんなものかなと……。			面目ない。久々の旅行なもので、鞄の重さもこんなものかなと……。			大団円？ 幸せ無人島開拓							
プディングウェイさん、大冒険をしていただいたところ、非常にお伝えしづらいのでっすが……			プディングウェイさん、大冒険をしていただいたところ、非常にお伝えしづらいのでっすが……			大団円？ 幸せ無人島開拓							
ないのでっす。この島に、プディングを提供するお店は存在しないのでっす！			ないのでっす。この島に、プディングを提供するお店は存在しないのでっす！			大団円？ 幸せ無人島開拓							
な、なんとーーーーっ！？			な、なんとーーーーっ！？			大団円？ 幸せ無人島開拓							
嘘だ……そんなことって……アーテリスには、プディングの存在しない地域が……ある……？			嘘だ……そんなことって……アーテリスには、プディングの存在しない地域が……ある……？			大団円？ 幸せ無人島開拓							
ありまっすね。			ありまっすね。			大団円？ 幸せ無人島開拓							
むしろ確実に存在してる方が少ないんじゃないかい？			むしろ確実に存在してる方が少ないんじゃないかい？			大団円？ 幸せ無人島開拓							
そうだね、似た料理まで含めれば多少は範囲が広がるだろうが。			そうだね、似た料理まで含めれば多少は範囲が広がるだろうが。			大団円？ 幸せ無人島開拓							
うわあああああああん……！会いたい食べたい恋しいプディングーーー！			うわあああああああん……！会いたい食べたい恋しいプディングーーー！			大団円？ 幸せ無人島開拓							
プディングくらいなら、食材と調理器具さえあれば、作ってやれるんだけどねぇ。			プディングくらいなら、食材と調理器具さえあれば、作ってやれるんだけどねぇ。			大団円？ 幸せ無人島開拓							
昔はよくムーンブリダと一緒に作ったものさ。お店で売ってるのよりおいしいって、気に入られてたよ。			昔はよくムーンブリダと一緒に作ったものさ。お店で売ってるのよりおいしいって、気に入られてたよ。			大団円？ 幸せ無人島開拓							
(-？？？？-)何か「作る」ことでお困りですかニャー？			(-？？？？-)何か「作る」ことでお困りですかニャー？			大団円？ 幸せ無人島開拓							
ふむふむ。プディングなるものがこの島で販売されていなかったために、そちらのお客人は落胆してらっしゃると……。			ふむふむ。プディングなるものがこの島で販売されていなかったために、そちらのお客人は落胆してらっしゃると……。			大団円？ 幸せ無人島開拓							
それを作るのに必要な食材と調理器具は、どういったものですかニャー？			それを作るのに必要な食材と調理器具は、どういったものですかニャー？			大団円？ 幸せ無人島開拓							
まず食材が、ミルクに卵、それから砂糖だね。器具の方は……とにかく火に掛けられる場所がいる。あとは液を注ぐ容器と、蒸し焼きにするための鍋か何かかな。			まず食材が、ミルクに卵、それから砂糖だね。器具の方は……とにかく火に掛けられる場所がいる。あとは液を注ぐ容器と、蒸し焼きにするための鍋か何かかな。			大団円？ 幸せ無人島開拓							
私たちの見立てでは、ご指示さえいただければ、食材も調理器具も用意できそうですニャー！			私たちの見立てでは、ご指示さえいただければ、食材も調理器具も用意できそうですニャー！			大団円？ 幸せ無人島開拓							
何と言う？			何と言う？			大団円？ 幸せ無人島開拓							
それじゃあ、みんなで作ろう！			それじゃあ、みんなで作ろう！			大団円？ 幸せ無人島開拓							
この島に不可能はない……！			この島に不可能はない……！			大団円？ 幸せ無人島開拓							
やったぁ～！！さすがはハイデリン様が見込んだお方、愛してる(ビッグラブ)！			やったぁ～！！さすがはハイデリン様が見込んだお方、愛してる(ビッグラブ)！			大団円？ 幸せ無人島開拓							
そういうことなら、重大報告については、プディング作りが一段落してから改めてお伝えしますね！			そういうことなら、重大報告については、プディング作りが一段落してから改めてお伝えしますね！			大団円？ 幸せ無人島開拓							
じゃあ、我が家特製のプディングについて、作り方を説明するよ！みんなで食べられるよう、とびきり大きく作ろうじゃないか！			じゃあ、我が家特製のプディングについて、作り方を説明するよ！みんなで食べられるよう、とびきり大きく作ろうじゃないか！			大団円？ 幸せ無人島開拓							
ふふ、思いがけない展開になったけど、これはこれで楽しい滞在になりそうだね。			ふふ、思いがけない展開になったけど、これはこれで楽しい滞在になりそうだね。			大団円？ 幸せ無人島開拓							
それじゃあ、お互い作業に取り掛かろう。私とタタルとプディングウェイは、魔法人形たちの案内で、食材を集めてくることになってる。			それじゃあ、お互い作業に取り掛かろう。私とタタルとプディングウェイは、魔法人形たちの案内で、食材を集めてくることになってる。			大団円？ 幸せ無人島開拓							
あんたとうちの旦那、残りの魔法人形たちの役目は、調理器具を「作り出す」ことさ！			あんたとうちの旦那、残りの魔法人形たちの役目は、調理器具を「作り出す」ことさ！			大団円？ 幸せ無人島開拓							
まずは奥の坂を上ったところにいるっていう、「おかたづけくん」から資材を受け取っておいで。砂浜で準備をしている旦那に渡せば、事が進むはずさ。			まずは奥の坂を上ったところにいるっていう、「おかたづけくん」から資材を受け取っておいで。砂浜で準備をしている旦那に渡せば、事が進むはずさ。			大団円？ 幸せ無人島開拓							
オツカレサマデス！調理器具の製作に必要な資材を、かき集めてきました！			オツカレサマデス！調理器具の製作に必要な資材を、かき集めてきました！			大団円？ 幸せ無人島開拓							
アナタ様と我々は、これまで島の開拓を重ねてきた……その際に出た端材や廃材を再利用すれば、今回は事足りそうです！			アナタ様と我々は、これまで島の開拓を重ねてきた……その際に出た端材や廃材を再利用すれば、今回は事足りそうです！			大団円？ 幸せ無人島開拓							
こちらの箱に詰めておきましたので、お手数ですが南西の海岸までお運びください。2箱ありますが、重いので1箱ずつですよ……！			こちらの箱に詰めておきましたので、お手数ですが南西の海岸までお運びください。2箱ありますが、重いので1箱ずつですよ……！			大団円？ 幸せ無人島開拓							
何かに使えるんじゃないかと思って、毎度毎度、開拓の現場をお片づけしていた甲斐がありました！調理器具に生まれ変わるなんて、ワタシも嬉しいです！			何かに使えるんじゃないかと思って、毎度毎度、開拓の現場をお片づけしていた甲斐がありました！調理器具に生まれ変わるなんて、ワタシも嬉しいです！			大団円？ 幸せ無人島開拓							
さて、ひとつひとつ進めていこう。			さて、ひとつひとつ進めていこう。			大団円？ 幸せ無人島開拓							
新たな任務のお手伝いができて、光栄デス！火を焚く設備に、うつわにお鍋……ついでに食材を混ぜるボウルまで、しっかり製作いたしマス！			新たな任務のお手伝いができて、光栄デス！火を焚く設備に、うつわにお鍋……ついでに食材を混ぜるボウルまで、しっかり製作いたしマス！			大団円？ 幸せ無人島開拓							
ああ、資材を運んできてくれたのか。どうもありがとう、そこに置いてもらって大丈夫だよ。			ああ、資材を運んできてくれたのか。どうもありがとう、そこに置いてもらって大丈夫だよ。			大団円？ 幸せ無人島開拓							
これだけでもたっぷり資材が入っていそうだが……なるほど、もう1箱あるのだね。君が構わないというなら、もちろん使わせてもらうとも！			これだけでもたっぷり資材が入っていそうだが……なるほど、もう1箱あるのだね。君が構わないというなら、もちろん使わせてもらうとも！			大団円？ 幸せ無人島開拓							
オ、オツカレサマデス……どこからともなくやってきたニワトリに絡まれて、為すすべもなく……このありさまに……。			オ、オツカレサマデス……どこからともなくやってきたニワトリに絡まれて、為すすべもなく……このありさまに……。			大団円？ 幸せ無人島開拓							
破損はしていないので、ご心配には及びません。それよりも、こいつの気がワタシに向いているうちに、2箱目の資材をお運びください……！			破損はしていないので、ご心配には及びません。それよりも、こいつの気がワタシに向いているうちに、2箱目の資材をお運びください……！			大団円？ 幸せ無人島開拓							
そしてどうかお気をつけを……ニワトリは……ニワトリはまだほかにも……！			そしてどうかお気をつけを……ニワトリは……ニワトリはまだほかにも……！			大団円？ 幸せ無人島開拓							
くっ、なんて隙のないニワトリなのでしょう。検索……ニワトリに襲撃された際の対処法…………			くっ、なんて隙のないニワトリなのでしょう。検索……ニワトリに襲撃された際の対処法…………			大団円？ 幸せ無人島開拓							
レファレンス用の魔法人形より応答あり。該当の文献は2件……			レファレンス用の魔法人形より応答あり。該当の文献は2件……			大団円？ 幸せ無人島開拓							
著者不明『エッグハント史、あるいは転がる卵の追想』ポーリン・モーニング著『鶏愛～僕のかわいこちゃんたち～』ひとまず内容の把握を試みます。			著者不明『エッグハント史、あるいは転がる卵の追想』ポーリン・モーニング著『鶏愛～僕のかわいこちゃんたち～』ひとまず内容の把握を試みます。			大団円？ 幸せ無人島開拓							
荒ぶるニワトリに、まとわりつかれた……！			荒ぶるニワトリに、まとわりつかれた……！			大団円？ 幸せ無人島開拓							
貫禄あるニワトリに、全力でつつかれた……！			貫禄あるニワトリに、全力でつつかれた……！			大団円？ 幸せ無人島開拓							
ご苦労さま、資材はそれで全部だね。			ご苦労さま、資材はそれで全部だね。			大団円？ 幸せ無人島開拓							
なら、次は私と魔法人形たちががんばる番だ。じき食材調達に行った皆も戻ってくるだろうし、君はしばらく休憩をしているといい。			なら、次は私と魔法人形たちががんばる番だ。じき食材調達に行った皆も戻ってくるだろうし、君はしばらく休憩をしているといい。			大団円？ 幸せ無人島開拓							
遠出をする方ではなかったと言ったが、その分、ムーンブリダやウリエンジェと一緒に工作をしたものさ。			遠出をする方ではなかったと言ったが、その分、ムーンブリダやウリエンジェと一緒に工作をしたものさ。			大団円？ 幸せ無人島開拓							
きっかけは、娘がウリエンジェの興味を引くために、彼の読んでいる本に出てきた遺構を再現したいと言ったこと。粘土で建物を作り、魔法陣を刻み……小さな遺構の完成だ。			きっかけは、娘がウリエンジェの興味を引くために、彼の読んでいる本に出てきた遺構を再現したいと言ったこと。粘土で建物を作り、魔法陣を刻み……小さな遺構の完成だ。			大団円？ 幸せ無人島開拓							
作るものはどんどん多彩に、ときに大きくなっていってね。庭一面を使って古代アラグ帝国の街並みを再現したときなんか、妻に呆れられたものだよ……。			作るものはどんどん多彩に、ときに大きくなっていってね。庭一面を使って古代アラグ帝国の街並みを再現したときなんか、妻に呆れられたものだよ……。			大団円？ 幸せ無人島開拓							
今日は久々に、思う存分腕を振るおう！多少のブランクは、君と開拓を成し遂げてきた魔法人形たちが、うまく補ってくれるだろうしね。			今日は久々に、思う存分腕を振るおう！多少のブランクは、君と開拓を成し遂げてきた魔法人形たちが、うまく補ってくれるだろうしね。			大団円？ 幸せ無人島開拓							
資材の運搬、おつかれさまでした！おかげさまで資材も十分にありますし、大きなプディングを作れるように、やってみマス！			資材の運搬、おつかれさまでした！おかげさまで資材も十分にありますし、大きなプディングを作れるように、やってみマス！			大団円？ 幸せ無人島開拓							
よし、あとは待つだけだ……！			よし、あとは待つだけだ……！			大団円？ 幸せ無人島開拓							
ではでは、待つ時間を利用して、私から大事な報告をさせてください！			ではでは、待つ時間を利用して、私から大事な報告をさせてください！			大団円？ 幸せ無人島開拓							
えー、コホン……。			えー、コホン……。			大団円？ 幸せ無人島開拓							
ご存じのとおり、この島の開拓は、メルウィブ提督が海賊の失業対策として始めた、「無人島開拓事業」の一環として行われていまっす。			ご存じのとおり、この島の開拓は、メルウィブ提督が海賊の失業対策として始めた、「無人島開拓事業」の一環として行われていまっす。			大団円？ 幸せ無人島開拓							
私が応募した、現地調達をベースとした開拓論……それをForenameさんに実現していただいて、ここまでの発展を遂げてきまっした。			私が応募した、現地調達をベースとした開拓論……それをForenameさんに実現していただいて、ここまでの発展を遂げてきまっした。			大団円？ 幸せ無人島開拓							
その成果を認められ、事業の中間報告においても、賞賛すべき事例として取り上げられましたが……			その成果を認められ、事業の中間報告においても、賞賛すべき事例として取り上げられましたが……			大団円？ 幸せ無人島開拓							
なんと！　この度！正式に最優秀賞を贈呈するとのご連絡をいただきまっした！			なんと！　この度！正式に最優秀賞を贈呈するとのご連絡をいただきまっした！			大団円？ 幸せ無人島開拓							
今後は、こちらの島をモデルケースとして、無人島開拓事業を拡大してくことになるそうでっす！			今後は、こちらの島をモデルケースとして、無人島開拓事業を拡大してくことになるそうでっす！			大団円？ 幸せ無人島開拓							
この島の開拓を主導したForenameさんには、島の永年利用権が授与されるとのこと……。			この島の開拓を主導したForenameさんには、島の永年利用権が授与されるとのこと……。			大団円？ 幸せ無人島開拓							
つまり来放題、遊び放題、儲け放題でっす！どうぞこれからも、冒険の合間の休息にお使いください！			つまり来放題、遊び放題、儲け放題でっす！どうぞこれからも、冒険の合間の休息にお使いください！			大団円？ 幸せ無人島開拓							
となれば、着々と完成に近づいているこの子を、ただのプディングと呼ぶわけにはいきませんね……。			となれば、着々と完成に近づいているこの子を、ただのプディングと呼ぶわけにはいきませんね……。			大団円？ 幸せ無人島開拓							
みなさんの功績を称えた、ハピネス・セレモニープディングとしましょう！			みなさんの功績を称えた、ハピネス・セレモニープディングとしましょう！			大団円？ 幸せ無人島開拓							
さあ……来い……来い……！			さあ……来い……来い……！			大団円？ 幸せ無人島開拓							
出たッ、プディングだぁーーーーーーーー！			出たッ、プディングだぁーーーーーーーー！			大団円？ 幸せ無人島開拓							
やりましたね！私たちの分まで、たっぷり堪能してくださいニャー。			やりましたね！私たちの分まで、たっぷり堪能してくださいニャー。			大団円？ 幸せ無人島開拓							
何言ってるんだい！これは、作ったみんなで食べるんだよ。			何言ってるんだい！これは、作ったみんなで食べるんだよ。			大団円？ 幸せ無人島開拓							
君たちは、作業中に停止してしまうことがないよう、自力でエーテルを吸収できるように作られているはずだ。			君たちは、作業中に停止してしまうことがないよう、自力でエーテルを吸収できるように作られているはずだ。			大団円？ 幸せ無人島開拓							
新鮮な材料で作られたそのプディングには、多量のエーテルが含まれている。遠慮せず、味見をしてみるといい。			新鮮な材料で作られたそのプディングには、多量のエーテルが含まれている。遠慮せず、味見をしてみるといい。			大団円？ 幸せ無人島開拓							
おお、こりゃすげェ！			おお、こりゃすげェ！			大団円？ 幸せ無人島開拓							
いつものエーテル補給と違う気がします！			いつものエーテル補給と違う気がします！			大団円？ 幸せ無人島開拓							
とってもまろやか……！			とってもまろやか……！			大団円？ 幸せ無人島開拓							
(-魔法人形たち-)なんだかハピネス！！			(-魔法人形たち-)なんだかハピネス！！			大団円？ 幸せ無人島開拓							
ハァ……ハァ……ハァ…………			ハァ……ハァ……ハァ…………			大団円？ 幸せ無人島開拓							
会いたい……食べたい……恋しいプディング……！			会いたい……食べたい……恋しいプディング……！			大団円？ 幸せ無人島開拓							
い・た・だ・き・ますッ！			い・た・だ・き・ますッ！			大団円？ 幸せ無人島開拓							
アアアァァおいしいいぃぃ……！！			アアアァァおいしいいぃぃ……！！			大団円？ 幸せ無人島開拓							
さあ、なくなってしまう前に、Forenameさんもどうぞ！			さあ、なくなってしまう前に、Forenameさんもどうぞ！			大団円？ 幸せ無人島開拓							
ふぅー、私もご相伴にあずかりましたが、おなかいっぱいでっす……！			ふぅー、私もご相伴にあずかりましたが、おなかいっぱいでっす……！			大団円？ 幸せ無人島開拓							
魔法人形たちがはりきってくれたおかげで、後片づけも滞りなく完了だ。やはり、楽しんだあとは綺麗にしておかなくてはね。			魔法人形たちがはりきってくれたおかげで、後片づけも滞りなく完了だ。やはり、楽しんだあとは綺麗にしておかなくてはね。			大団円？ 幸せ無人島開拓							
なんて……なんて夢のような時間だったんでしょう……！			なんて……なんて夢のような時間だったんでしょう……！			大団円？ 幸せ無人島開拓							
はー、食べた食べた！やっぱり賑やかだと食も進むねぇ。			はー、食べた食べた！やっぱり賑やかだと食も進むねぇ。			大団円？ 幸せ無人島開拓							
どうだった？　うちの特製プディングは。なかなか悪くなかっただろう？			どうだった？　うちの特製プディングは。なかなか悪くなかっただろう？			大団円？ 幸せ無人島開拓							
何と言う？			何と言う？			大団円？ 幸せ無人島開拓							
すごくおいしかった！			すごくおいしかった！			大団円？ 幸せ無人島開拓							
あまりに多かった……ッ！！			あまりに多かった……ッ！！			大団円？ 幸せ無人島開拓							
たまになら、まあ……			たまになら、まあ……			大団円？ 幸せ無人島開拓							
そう思ってもらえたなら何よりだ！また食べたくなったら、いつでもうちを訪ねておいで。			そう思ってもらえたなら何よりだ！また食べたくなったら、いつでもうちを訪ねておいで。			大団円？ 幸せ無人島開拓							
確かに、少しはしゃぎすぎだったかもしれないね。プディングウェイにとっては、丁度よかったようだけど……。			確かに、少しはしゃぎすぎだったかもしれないね。プディングウェイにとっては、丁度よかったようだけど……。			大団円？ 幸せ無人島開拓							
おや、甘いものは苦手なクチかい？それじゃあ次の機会があったときには、みんなで巨大フリカデレでも作ってみようかね。			おや、甘いものは苦手なクチかい？それじゃあ次の機会があったときには、みんなで巨大フリカデレでも作ってみようかね。			大団円？ 幸せ無人島開拓							
魔法人形たちも、皆とても楽しそうだった。			魔法人形たちも、皆とても楽しそうだった。			大団円？ 幸せ無人島開拓							
聞いたところによると、星外脱出計画が立ち消えたことで不要になっていた彼らを、ここで再雇用してくれたのだとか。			聞いたところによると、星外脱出計画が立ち消えたことで不要になっていた彼らを、ここで再雇用してくれたのだとか。			大団円？ 幸せ無人島開拓							
ラヴィリンソスに勤める、いちシャーレアン人として、何とお礼を言ったらいいやら……。			ラヴィリンソスに勤める、いちシャーレアン人として、何とお礼を言ったらいいやら……。			大団円？ 幸せ無人島開拓							
本当だね。しかもそれで開拓の最優秀賞まで取ったっていうんだから、これほど嬉しくてありがたいことはないよ。			本当だね。しかもそれで開拓の最優秀賞まで取ったっていうんだから、これほど嬉しくてありがたいことはないよ。			大団円？ 幸せ無人島開拓							
お祝いといえるほど華やかな品ではないのだが、楽しい時間を過ごさせてくれたお礼に、これを受け取ってほしい。			お祝いといえるほど華やかな品ではないのだが、楽しい時間を過ごさせてくれたお礼に、これを受け取ってほしい。			大団円？ 幸せ無人島開拓							
君がこの島にいるときゆったりと過ごせるように、シンプルで着心地のいい服を選んできたんだ。			君がこの島にいるときゆったりと過ごせるように、シンプルで着心地のいい服を選んできたんだ。			大団円？ 幸せ無人島開拓							
それから、魔導船にも用いられた素材を使った、最新型の腕時計だよ。水に濡れたり、海に潜ったりしてもまず壊れないだろう。			それから、魔導船にも用いられた素材を使った、最新型の腕時計だよ。水に濡れたり、海に潜ったりしてもまず壊れないだろう。			大団円？ 幸せ無人島開拓							
プディングウェイさんは、いかがでっした？信じられないくらい、プディングを吸い込んでましたが……。			プディングウェイさんは、いかがでっした？信じられないくらい、プディングを吸い込んでましたが……。			大団円？ 幸せ無人島開拓							
本当に、ほんっっっとうに、今まででいちばんハピネスな時間でした！			本当に、ほんっっっとうに、今まででいちばんハピネスな時間でした！			大団円？ 幸せ無人島開拓							
これからは、この島を模範にして無人島開拓が進む……なら、困難はあったとしても、いずれはきっとどこも素晴らしい場所になるはずです。			これからは、この島を模範にして無人島開拓が進む……なら、困難はあったとしても、いずれはきっとどこも素晴らしい場所になるはずです。			大団円？ 幸せ無人島開拓							
ゆくゆくは、それぞれの島に名物プディングができて、アーテリスいち……いえ宇宙いちのプディング諸島になるかも！			ゆくゆくは、それぞれの島に名物プディングができて、アーテリスいち……いえ宇宙いちのプディング諸島になるかも！			大団円？ 幸せ無人島開拓							
Forenameさん……ぼく、この星が救われてよかったです！			Forenameさん……ぼく、この星が救われてよかったです！			大団円？ 幸せ無人島開拓							
さぁて、そろそろおいとましようかね。いっぱい元気をもらったし、このあとの旅行も楽しめそうだ。			さぁて、そろそろおいとましようかね。いっぱい元気をもらったし、このあとの旅行も楽しめそうだ。			大団円？ 幸せ無人島開拓							
あんたも、休めるときには存分に休むんだよ。それで、また元気にいっておいで。			あんたも、休めるときには存分に休むんだよ。それで、また元気にいっておいで。			大団円？ 幸せ無人島開拓							
それではみなさんをお送りしまっすので、船のところでお待ちください！			それではみなさんをお送りしまっすので、船のところでお待ちください！			大団円？ 幸せ無人島開拓							
今回もお付き合いいただき感謝でっす。			今回もお付き合いいただき感謝でっす。			大団円？ 幸せ無人島開拓							
実はでっすね……開拓を進めるにあたって第三者の感想も聞ければと思って、これまで見学希望の方をご案内しておりまっした。			実はでっすね……開拓を進めるにあたって第三者の感想も聞ければと思って、これまで見学希望の方をご案内しておりまっした。			大団円？ 幸せ無人島開拓							
開拓がひとつのゴールに辿りついた今、その必要ももうありません。あとは親しいご友人とゆっくりお過ごしください……			開拓がひとつのゴールに辿りついた今、その必要ももうありません。あとは親しいご友人とゆっくりお過ごしください……			大団円？ 幸せ無人島開拓							
と言いたいところなのでっすが、先日ご招待したエマネランさんとシカルドさんから、どうしても行かせてやりたい奴らがいると相談がありまっして。			と言いたいところなのでっすが、先日ご招待したエマネランさんとシカルドさんから、どうしても行かせてやりたい奴らがいると相談がありまっして。			大団円？ 幸せ無人島開拓							
あとひと組だけ、こちらにお呼びしてもよろしいでっすか……？			あとひと組だけ、こちらにお呼びしてもよろしいでっすか……？			大団円？ 幸せ無人島開拓							
ありがとうございまっす！			ありがとうございまっす！			大団円？ 幸せ無人島開拓							
それでは、段取りができ次第お連れしますので……そのときはまた、よろしくお願いしまっす！			それでは、段取りができ次第お連れしますので……そのときはまた、よろしくお願いしまっす！			大団円？ 幸せ無人島開拓							
開拓拠点のれんらくくんは、伝えたいことがあるようだ。			開拓拠点のれんらくくんは、伝えたいことがあるようだ。			珍客？ 東方からの来訪者！							
れんらくくんと話した。無人島の南西の浜辺に向かい、「指定地点」でタタルを待とう。			れんらくくんと話した。無人島の南西の浜辺に向かい、「指定地点」でタタルを待とう。			珍客？ 東方からの来訪者！							
タタルと共に、シリナとサドゥが冒険者の島にやってきた。いずれ、無人島の浜辺に仲間たちを招き、宴を開いてみるのも良さそうだ。引き続き、島の開拓を続けてみよう。			タタルと共に、シリナとサドゥが冒険者の島にやってきた。いずれ、無人島の浜辺に仲間たちを招き、宴を開いてみるのも良さそうだ。引き続き、島の開拓を続けてみよう。			珍客？ 東方からの来訪者！							
指定地点で待機			指定地点で待機			珍客？ 東方からの来訪者！							
ご連絡、ご連絡！またまた、タタルから連絡がありました。			ご連絡、ご連絡！またまた、タタルから連絡がありました。			珍客？ 東方からの来訪者！							
お客人を連れてこの島に向かっている、とのこと！以前のように、南西の浜辺で待っていれば落ち合えるでしょう！			お客人を連れてこの島に向かっている、とのこと！以前のように、南西の浜辺で待っていれば落ち合えるでしょう！			珍客？ 東方からの来訪者！							
お客人を連れて島に向かっている、とのこと！以前のように、南西の浜辺で待っていれば落ち合えるでしょう！			お客人を連れて島に向かっている、とのこと！以前のように、南西の浜辺で待っていれば落ち合えるでしょう！			珍客？ 東方からの来訪者！							
Forenameさーん！			Forenameさーん！			珍客？ 東方からの来訪者！							
お出迎えありがとうございまっす！			お出迎えありがとうございまっす！			珍客？ 東方からの来訪者！							
お久しぶりです、Forenameさん。突然押しかけてしまってすみません……！			お久しぶりです、Forenameさん。突然押しかけてしまってすみません……！			珍客？ 東方からの来訪者！							
こんな装いをしていますが、私シリナです。サドゥさんも一緒ですよ！			こんな装いをしていますが、私シリナです。サドゥさんも一緒ですよ！			珍客？ 東方からの来訪者！							
