宝杖通りの商人マスは、商品の手配に追われているようだ。			宝杖通りの商人マスは、商品の手配に追われているようだ。			聖アンダリム神学院の消えた書物							
そう言ってもらえただけで、救われた気がします。次は、もっとがんばりますね！			そう言ってもらえただけで、救われた気がします。次は、もっとがんばりますね！			慈愛の神学生							
確かに、手がかりが埋もれてるかもしれないが、見つけ出せなくちゃ、意味がないだろう？			確かに、手がかりが埋もれてるかもしれないが、見つけ出せなくちゃ、意味がないだろう？			慈愛の神学生							
だったら、見つけ出せる人物に託せばいい。ブレジーちゃんの兄上って、あの事件屋男爵なんだろう？お嬢さん兄さんにメモを渡して、検証してもらおうよ。			だったら、見つけ出せる人物に託せばいい。ブレジーちゃんの兄上って、あの事件屋男爵なんだろう？お嬢さん兄さんにメモを渡して、検証してもらおうよ。			慈愛の神学生							
特別顧問のふたりなら、何かを閃くかもしれないしさ。そうだろう？			特別顧問のふたりなら、何かを閃くかもしれないしさ。そうだろう？			慈愛の神学生							
では、Forenameさん……今までブレジーさんが書き留めてくれたメモを託しますので、ブリアルディアンさんに、お渡しください。			では、Forenameさん……今までブレジーさんが書き留めてくれたメモを託しますので、ブリアルディアンさんに、お渡しください。			慈愛の神学生							
それじゃあ、そろそろ俺たちは、次の場所に行ってみようぜ。			それじゃあ、そろそろ俺たちは、次の場所に行ってみようぜ。			慈愛の神学生							
戻ったか、こちらには成果があったぞ。酒場のツケを支払った人物と、薬を探していた人物が、同一人物だったらしいことを突き止めた。			戻ったか、こちらには成果があったぞ。酒場のツケを支払った人物と、薬を探していた人物が、同一人物だったらしいことを突き止めた。			慈愛の神学生							
該当する人物は、「顔に傷があるエレゼン族の男」だ。元は雲霧街にたむろする薄汚いゴロツキだったらしいが、急に商人風の小ぎれいな身なりになったらしい。			該当する人物は、「顔に傷があるエレゼン族の男」だ。元は雲霧街にたむろする薄汚いゴロツキだったらしいが、急に商人風の小ぎれいな身なりになったらしい。			慈愛の神学生							
手下の男たちを引き連れて雲霧街を出て、皇都の外で見つけたという「新しい仕事」に就いているが、定期的に都市内に戻ってはきているようだ。			手下の男たちを引き連れて雲霧街を出て、皇都の外で見つけたという「新しい仕事」に就いているが、定期的に都市内に戻ってはきているようだ。			慈愛の神学生							
さて、君はブレジーから情報を得てきたのだったな？……さっそく、そのメモとやらを渡してくれ。			さて、君はブレジーから情報を得てきたのだったな？……さっそく、そのメモとやらを渡してくれ。			慈愛の神学生							
おお、これほど大量の情報を集めるとは、さすがは我が妹。「宝杖通り」の商店主たちから情報を集めているようだな。関連性がありそうな記述を優先的に確認しよう。			おお、これほど大量の情報を集めるとは、さすがは我が妹。「宝杖通り」の商店主たちから情報を集めているようだな。関連性がありそうな記述を優先的に確認しよう。			慈愛の神学生							
『マーケットの顔役のエレイズさん。　厳しい冷え込みのせいか、腰が痛い。　ただし、市場の景気が上向きで、気分も上向き』			『マーケットの顔役のエレイズさん。　厳しい冷え込みのせいか、腰が痛い。　ただし、市場の景気が上向きで、気分も上向き』			慈愛の神学生							
『貴族層からの需要低下を心配したが、　商店の中には、新規の大口顧客を獲得した者もいる。　行商人風の男だが、価格交渉もしない素人らしい』			『貴族層からの需要低下を心配したが、　商店の中には、新規の大口顧客を獲得した者もいる。　行商人風の男だが、価格交渉もしない素人らしい』			慈愛の神学生							
『素材屋 パドゥビレさん。　噂の「行商人風の男」は、一度だけ毛布を買いに来たが、　それっきり来店はなしだと、ぼやいていた』			『素材屋 パドゥビレさん。　噂の「行商人風の男」は、一度だけ毛布を買いに来たが、　それっきり来店はなしだと、ぼやいていた』			慈愛の神学生							
『薬屋 ピエヌさん。　最近、咳止め薬を仕入れるそばから、　料理屋 メストノさんが買い占めて、品不足となっている』			『薬屋 ピエヌさん。　最近、咳止め薬を仕入れるそばから、　料理屋 メストノさんが買い占めて、品不足となっている』			慈愛の神学生							
『料理屋 メストノさん。　新規顧客を獲得。　数人分の食料を、定期的に売る契約を結ぶ』			『料理屋 メストノさん。　新規顧客を獲得。　数人分の食料を、定期的に売る契約を結ぶ』			慈愛の神学生							
『風体からして、顧客は行商人らしい。　最近は、彼が契約を交わしたほかの商店からも、　品物を集めておくようにしている』			『風体からして、顧客は行商人らしい。　最近は、彼が契約を交わしたほかの商店からも、　品物を集めておくようにしている』			慈愛の神学生							
これで、メモはすべて読み終えた。内容は、まさに玉石混交だったが、雲霧街で得られた情報と合致するものも多い。			これで、メモはすべて読み終えた。内容は、まさに玉石混交だったが、雲霧街で得られた情報と合致するものも多い。			慈愛の神学生							
ウラーが消えた「復学促進運動」の最終日あたりから、急に羽振りがよくなった顔に傷のあるエレゼン族の男……。商人風の身なりをするようになり、宝杖通りの上客となった。			ウラーが消えた「復学促進運動」の最終日あたりから、急に羽振りがよくなった顔に傷のあるエレゼン族の男……。商人風の身なりをするようになり、宝杖通りの上客となった。			慈愛の神学生							
彼が定期的に仕入れるのは、数人ぶんの食料と大量の薬。そして、ウラーは咳止め薬が欠かせない喘息持ち……。となると我々がすべきは、何だと思うかね？			彼が定期的に仕入れるのは、数人ぶんの食料と大量の薬。そして、ウラーは咳止め薬が欠かせない喘息持ち……。となると我々がすべきは、何だと思うかね？			慈愛の神学生							
何をすべき？			何をすべき？			慈愛の神学生							
「エレイズ」付近で張り込む			「エレイズ」付近で張り込む			慈愛の神学生							
「素材屋 パドゥビレ」付近で張り込む			「素材屋 パドゥビレ」付近で張り込む			慈愛の神学生							
「薬屋 ピエヌ」付近で張り込む			「薬屋 ピエヌ」付近で張り込む			慈愛の神学生							
「料理屋 メストノ」付近で張り込む			「料理屋 メストノ」付近で張り込む			慈愛の神学生							
…………			…………			慈愛の神学生							
どうやら、買いかぶりすぎていたようですね……。ここはぼくの推理に従って、「料理屋 メストノ」付近で、張り込みをさせてもらいますよ。			どうやら、買いかぶりすぎていたようですね……。ここはぼくの推理に従って、「料理屋 メストノ」付近で、張り込みをさせてもらいますよ。			慈愛の神学生							
……ぼくも同意見だ。では、君の推理に従って、「料理屋 メストノ」付近で、張り込むとしよう。			……ぼくも同意見だ。では、君の推理に従って、「料理屋 メストノ」付近で、張り込むとしよう。			慈愛の神学生							
……迷うのも無理はない。では、ここはぼくの推理に従って、「料理屋 メストノ」付近で、張り込むとしよう。			……迷うのも無理はない。では、ここはぼくの推理に従って、「料理屋 メストノ」付近で、張り込むとしよう。			慈愛の神学生							
聖レマノー大聖堂のブリアルディアンは、市場に張り込みに行こうとしている。			聖レマノー大聖堂のブリアルディアンは、市場に張り込みに行こうとしている。			雪中の福音							
ウラーの失踪に関与していると予想される行商人風の男を待ち伏せするため、宝杖通りの「指定地点」で見張ろう。			ウラーの失踪に関与していると予想される行商人風の男を待ち伏せするため、宝杖通りの「指定地点」で見張ろう。			雪中の福音							
宝杖通りで見張りをして、行商人風の男に目星を付けた。男を追跡するため、イシュガルド下層の「ブリアルディアン」と話そう。			宝杖通りで見張りをして、行商人風の男に目星を付けた。男を追跡するため、イシュガルド下層の「ブリアルディアン」と話そう。			雪中の福音							
聖徒門のブリアルディアンと話した。行商人風の男は、聖徒門からイシュガルドを後にしたらしい。引き続き、男を追跡するため、クルザス中央高地の「ブリアルディアン」と話そう。			聖徒門のブリアルディアンと話した。行商人風の男は、聖徒門からイシュガルドを後にしたらしい。引き続き、男を追跡するため、クルザス中央高地の「ブリアルディアン」と話そう。			雪中の福音							
ブリアルディアンと話した。追っていた行商人風の男は、荷車に乗り込んだようだ。ブリアルディアンが、荷車の中を調査したいという。クルザス中央高地の「指定地点」にて、チャットの「Say」モードで『積み荷検査だ』と入力して、行商人風の男の注意を引こう。			ブリアルディアンと話した。追っていた行商人風の男は、荷車に乗り込んだようだ。ブリアルディアンが、荷車の中を調査したいという。クルザス中央高地の「指定地点」にて、チャットの「Say」モードで『積み荷検査だ』と入力して、行商人風の男の注意を引こう。			雪中の福音							
行商人風の男たちの注意を引き、おびき出すことができた。ブリアルディアンの調査時間を稼ぐため、クルザス中央高地の「行商人風の男」に近づき、襲ってきたら討伐しよう。			行商人風の男たちの注意を引き、おびき出すことができた。ブリアルディアンの調査時間を稼ぐため、クルザス中央高地の「行商人風の男」に近づき、襲ってきたら討伐しよう。			雪中の福音							
行商人風の男たちを討伐し、捕獲することができた。クルザス中央高地の「ブリアルディアン」と話そう。			行商人風の男たちを討伐し、捕獲することができた。クルザス中央高地の「ブリアルディアン」と話そう。			雪中の福音							
ブリアルディアンと話した。荷車に囚われていたウラーも、無事に救出された。行商人風の男たちは神殿騎士に連行され、ウラーはブリアルディアンに寮まで送り届けられることになった。聖レマノー大聖堂の「ブリアルディアン」と話そう。			ブリアルディアンと話した。荷車に囚われていたウラーも、無事に救出された。行商人風の男たちは神殿騎士に連行され、ウラーはブリアルディアンに寮まで送り届けられることになった。聖レマノー大聖堂の「ブリアルディアン」と話そう。			雪中の福音							
ブリアルディアンと話した。ウラーは寮で療養しながら、神殿騎士の事情聴取に対応していくようだ。ついに聖アンダリム神学院の階級対立を煽る存在と、その動機が明らかになるのだろうか……？			ブリアルディアンと話した。ウラーは寮で療養しながら、神殿騎士の事情聴取に対応していくようだ。ついに聖アンダリム神学院の階級対立を煽る存在と、その動機が明らかになるのだろうか……？			雪中の福音							
宝杖通りの指定地点で見張る			宝杖通りの指定地点で見張る			雪中の福音							
下層のブリアルディアンと話す			下層のブリアルディアンと話す			雪中の福音							
クルザス中央高地のブリアルディアンと話す			クルザス中央高地のブリアルディアンと話す			雪中の福音							
指定地点にてチャットの「Say」モードで『積み荷検査だ』と入力し行商人風の男の注意を引く			指定地点にてチャットの「Say」モードで『積み荷検査だ』と入力し行商人風の男の注意を引く			雪中の福音							
行商人風の男に近づき襲われたら討伐			行商人風の男に近づき襲われたら討伐			雪中の福音							
ブリアルディアンと話す			ブリアルディアンと話す			雪中の福音							
聖レマノー大聖堂のブリアルディアンと話す			聖レマノー大聖堂のブリアルディアンと話す			雪中の福音							
まだ可能性に過ぎないが、「行商人風の男」が、ウラーの失踪に関与している可能性がある。「宝杖通り」で料理屋を見張り、奴が現れたら尾行してみよう。			まだ可能性に過ぎないが、「行商人風の男」が、ウラーの失踪に関与している可能性がある。「宝杖通り」で料理屋を見張り、奴が現れたら尾行してみよう。			雪中の福音							
さて、点と点を結んだ先にある、真実の形を確かめに行こうではないか……。			さて、点と点を結んだ先にある、真実の形を確かめに行こうではないか……。			雪中の福音							
行商人風の男が現れたら、尾行してみよう。			行商人風の男が現れたら、尾行してみよう。			雪中の福音							
妹ブレジーのメモを総合すると、問題の「行商人風の男」は、毎週決まった日に現れ、数人分の食料を買っていくらしい。そして、情報が正しければ、そろそろ現れるはずだ。			妹ブレジーのメモを総合すると、問題の「行商人風の男」は、毎週決まった日に現れ、数人分の食料を買っていくらしい。そして、情報が正しければ、そろそろ現れるはずだ。			雪中の福音							
ムッ……あの服装に、背格好……。			ムッ……あの服装に、背格好……。			雪中の福音							
ブレジーのメモに酷似している。もしや、例の男か……！？			ブレジーのメモに酷似している。もしや、例の男か……！？			雪中の福音							
いらっしゃいませ、毎度お世話になってます。食料でしたら、すでに用意できておりますよ。もちろん、例の「薬」も。			いらっしゃいませ、毎度お世話になってます。食料でしたら、すでに用意できておりますよ。もちろん、例の「薬」も。			雪中の福音							
……ああ、いつもの数で頼む。			……ああ、いつもの数で頼む。			雪中の福音							
間違いない、妹のメモに記された「行商人風の男」だ！下層へ向かったようだ……。さあ、尾行しよう、ついてきてくれ。			間違いない、妹のメモに記された「行商人風の男」だ！下層へ向かったようだ……。さあ、尾行しよう、ついてきてくれ。			雪中の福音							
……来たか。行商人風の男は、先ほど、聖徒門から外へ出ていった。引き続き、後を追おう。			……来たか。行商人風の男は、先ほど、聖徒門から外へ出ていった。引き続き、後を追おう。			雪中の福音							
男は、あの荷車に乗り込んだ。いかつい護衛までつけて、とても普通の行商人には見えんな。			男は、あの荷車に乗り込んだ。いかつい護衛までつけて、とても普通の行商人には見えんな。			雪中の福音							
荷車の中を調べたい……奴らを引き付けておいてくれ。「積み荷検査だ」とでも叫べば、注目を集められるはずだ。その隙に、ぼくが調査する……。			荷車の中を調べたい……奴らを引き付けておいてくれ。「積み荷検査だ」とでも叫べば、注目を集められるはずだ。その隙に、ぼくが調査する……。			雪中の福音							
もし、奴らが、ぼくのことを察知するようなことがあれば、そのときはやむを得ない……実力行使で行動を封じてくれ。では、行動を開始するぞ。			もし、奴らが、ぼくのことを察知するようなことがあれば、そのときはやむを得ない……実力行使で行動を封じてくれ。では、行動を開始するぞ。			雪中の福音							
チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『積み荷検査だ』を含む好きな言葉を入力し、行商人たちの注目を集めましょう。			チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『積み荷検査だ』を含む好きな言葉を入力し、行商人たちの注目を集めましょう。			雪中の福音							
荷車の中を調べたい……奴らを引き付けておいてくれ。「積み荷検査だ」とでも叫べば、注目を集められるはずだ。その隙に、ぼくが調査する……。			荷車の中を調べたい……奴らを引き付けておいてくれ。「積み荷検査だ」とでも叫べば、注目を集められるはずだ。その隙に、ぼくが調査する……。			雪中の福音							
もし、奴らが、ぼくのことを察知するようなことがあれば、そのときはやむを得ない……実力行使で行動を封じてくれ。			もし、奴らが、ぼくのことを察知するようなことがあれば、そのときはやむを得ない……実力行使で行動を封じてくれ。			雪中の福音							
積み荷検査だ			積み荷検査だ			雪中の福音							
荷物の検査だって……？神殿騎士団の巡回は、もう終わったはずだ……。……本当に神殿騎士か？			荷物の検査だって……？神殿騎士団の巡回は、もう終わったはずだ……。……本当に神殿騎士か？			雪中の福音							
気を付けろ……例の「荷」を、嗅ぎつけられるなよ。いざとなったら……わかるな？ついてこい。			気を付けろ……例の「荷」を、嗅ぎつけられるなよ。いざとなったら……わかるな？ついてこい。			雪中の福音							
さて……何の権限があって、検査しようっていうんだ？おれたちから、たかろうってんなら、承知しねぇぞ！			さて……何の権限があって、検査しようっていうんだ？おれたちから、たかろうってんなら、承知しねぇぞ！			雪中の福音							
おい、お前……よそ見してる場合か！			おい、お前……よそ見してる場合か！			雪中の福音							
す、すまねぇ……。……後ろの方で、人の気配がしたんだが……。念のため、荷車を確認してみる……。			す、すまねぇ……。……後ろの方で、人の気配がしたんだが……。念のため、荷車を確認してみる……。			雪中の福音							
待て、待て、今はこの検査野郎の方が先だ！徹底的に痛めつけてやれ！			待て、待て、今はこの検査野郎の方が先だ！徹底的に痛めつけてやれ！			雪中の福音							
やっちまえ！			やっちまえ！			雪中の福音							
予想どおりだったぞ……。まずは、行商人たちを黙らせてくれ。			予想どおりだったぞ……。まずは、行商人たちを黙らせてくれ。			雪中の福音							
よくやってくれた、Forename。推理どおり、荷車にウラーが監禁されていたぞ。外傷はないようだが、気が動転しているようでな……。			よくやってくれた、Forename。推理どおり、荷車にウラーが監禁されていたぞ。外傷はないようだが、気が動転しているようでな……。			雪中の福音							
聞きたいことは多いが、ひとまず彼女には休養が必要だ。それに、君が叩きのめした連中がいるからな。まずはコイツらをたっぷり締め上げて、情報を聞きだすとしよう。			聞きたいことは多いが、ひとまず彼女には休養が必要だ。それに、君が叩きのめした連中がいるからな。まずはコイツらをたっぷり締め上げて、情報を聞きだすとしよう。			雪中の福音							
貴様ら、何をしている！？もめごとか！？			貴様ら、何をしている！？もめごとか！？			雪中の福音							
巡回中の神殿騎士が、騒動を聞きつけたようだな。ちょうどいい、コイツらは神殿騎士に任せるとしよう。			巡回中の神殿騎士が、騒動を聞きつけたようだな。ちょうどいい、コイツらは神殿騎士に任せるとしよう。			雪中の福音							
ウラーは、ぼくがイシュガルドの寮まで送り届ける。のちほど、聖レマノー大聖堂で合流しよう。			ウラーは、ぼくがイシュガルドの寮まで送り届ける。のちほど、聖レマノー大聖堂で合流しよう。			雪中の福音							
今回は、ご苦労だったな。君と神学生たちのおかげで、大きな心配事がひとつ解消できた。これが、残る問題を解決する突破口となるはずだ……。			今回は、ご苦労だったな。君と神学生たちのおかげで、大きな心配事がひとつ解消できた。これが、残る問題を解決する突破口となるはずだ……。			雪中の福音							
ウラーのことならば、安心してくれ。寮に送り届け、ガエテル司祭に彼女の世話を任せてきた。落ち着いたら、詳しい話を聞きだせるだろう。			ウラーのことならば、安心してくれ。寮に送り届け、ガエテル司祭に彼女の世話を任せてきた。落ち着いたら、詳しい話を聞きだせるだろう。			雪中の福音							
犯人の事情聴取は、神殿騎士団が進めている。奴らは行商を装って各地を転々とし、捜索から逃れていたようだ。そして今回のように、移動の際に食料などを調達していた……。			犯人の事情聴取は、神殿騎士団が進めている。奴らは行商を装って各地を転々とし、捜索から逃れていたようだ。そして今回のように、移動の際に食料などを調達していた……。			雪中の福音							
ウラーを救えたことは良かったが、事件が解決したわけではない。連中は雇われの実行犯……覆面の人物から金を受け取り、犯行に及んだのだと主張しているそうだ。			ウラーを救えたことは良かったが、事件が解決したわけではない。連中は雇われの実行犯……覆面の人物から金を受け取り、犯行に及んだのだと主張しているそうだ。			雪中の福音							
真の黒幕は、別にいる。その人物こそ、ぼくらが捕らえるべき、学内の対立を煽る者……。			真の黒幕は、別にいる。その人物こそ、ぼくらが捕らえるべき、学内の対立を煽る者……。			雪中の福音							
その目的も動機も、いまだ見えはしない。だが、ぼくらは確実に、神学院に満ちた腐臭の源に近づきつつある。怯むことなく前へと進み、全貌を白日の下にさらしてやろう。			その目的も動機も、いまだ見えはしない。だが、ぼくらは確実に、神学院に満ちた腐臭の源に近づきつつある。怯むことなく前へと進み、全貌を白日の下にさらしてやろう。			雪中の福音							
不安にさいなまれる神学生たちに、安息を取り戻し、本来の学びの道に専念させてやらねば。ひいては、それが皇都のより良き未来につながるのだから。			不安にさいなまれる神学生たちに、安息を取り戻し、本来の学びの道に専念させてやらねば。ひいては、それが皇都のより良き未来につながるのだから。			雪中の福音							
闇に潜みし影を照らすは 純粋なる祈りの光そのとき 神学生たちが求める ハルオーネの救いとは――			闇に潜みし影を照らすは 純粋なる祈りの光そのとき 神学生たちが求める ハルオーネの救いとは――			雪中の福音							
聖レマノー大聖堂のブリアルディアンは、ウラー誘拐の黒幕について思うところがあるようだ。			聖レマノー大聖堂のブリアルディアンは、ウラー誘拐の黒幕について思うところがあるようだ。			弱者の反乱							
前回までの冒険録：聖アンダリム神学院では、首席の座を巡り、貴族出身の神学生と平民出身の神学生が対立していた。冒険者は、事件屋ブリアルディアンとともに、この対立を煽る黒幕の存在を探ることになった。そんな中、姿を消した神学生ウラーが所持していた「正教法大全11巻」が、アルションバダンの部屋から発見された。いっぽう、神学生ウラーは無事に救出され、一連の事件の真相が、明らかにされようとしていた……。　　　　　　　　　　　　*　*　*聖アンダリム神学院の神学生たちの間では、ウラーを監禁した犯人はアルションバダンであるという噂が広まっているらしい。噂の真相を探るため、「聖アンダリム神学院」に赴こう。			前回までの冒険録：聖アンダリム神学院では、首席の座を巡り、貴族出身の神学生と平民出身の神学生が対立していた。冒険者は、事件屋ブリアルディアンとともに、この対立を煽る黒幕の存在を探ることになった。そんな中、姿を消した神学生ウラーが所持していた「正教法大全11巻」が、アルションバダンの部屋から発見された。いっぽう、神学生ウラーは無事に救出され、一連の事件の真相が、明らかにされようとしていた……。　　　　　　　　　　　　*　*　*聖アンダリム神学院の神学生たちの間では、ウラーを監禁した犯人はアルションバダンであるという噂が広まっているらしい。噂の真相を探るため、「聖アンダリム神学院」に赴こう。			弱者の反乱							
聖アンダリム神学院に赴いたところ、神学生たちの衝突が起きかけていた。冷静な話し合いのため、聖アンダリム神学院の「厳格な先輩神学生」に、エモート「なだめる」をしよう。			聖アンダリム神学院に赴いたところ、神学生たちの衝突が起きかけていた。冷静な話し合いのため、聖アンダリム神学院の「厳格な先輩神学生」に、エモート「なだめる」をしよう。			弱者の反乱							
厳格な先輩神学生をなだめた。すると、無邪気な後輩神学生がアルションバダンの報復を恐れて、怯えはじめた。聖アンダリム神学院の「無邪気な後輩神学生」に、エモート「励ます」をしよう。			厳格な先輩神学生をなだめた。すると、無邪気な後輩神学生がアルションバダンの報復を恐れて、怯えはじめた。聖アンダリム神学院の「無邪気な後輩神学生」に、エモート「励ます」をしよう。			弱者の反乱							
無邪気な後輩神学生を励ました。聖アンダリム神学院の「テオモサン」と話そう。			無邪気な後輩神学生を励ました。聖アンダリム神学院の「テオモサン」と話そう。			弱者の反乱							
テオモサンと話した。アルションバダンを擁護する彼は、怒れる神学生たちを説得することができなかった。怒れる神学生たちは、アルションバダンの除籍を求めて独自に動きだすようだ。テオモサンたちは、アルションバダンの除籍を防ぐことができるのだろうか？			テオモサンと話した。アルションバダンを擁護する彼は、怒れる神学生たちを説得することができなかった。怒れる神学生たちは、アルションバダンの除籍を求めて独自に動きだすようだ。テオモサンたちは、アルションバダンの除籍を防ぐことができるのだろうか？			弱者の反乱							
聖アンダリム神学院に行く			聖アンダリム神学院に行く			弱者の反乱							
厳格な先輩神学生にエモート「なだめる」をする			厳格な先輩神学生にエモート「なだめる」をする			弱者の反乱							
無邪気な後輩神学生にエモート「励ます」をする			無邪気な後輩神学生にエモート「励ます」をする			弱者の反乱							
テオモサンと話す			テオモサンと話す			弱者の反乱							
あれから、ウラーも大分落ち着いたようだ。彼女の世話を手伝う、我が妹ブレジーによると、神殿騎士団による事情聴取が始まったらしい。			あれから、ウラーも大分落ち着いたようだ。彼女の世話を手伝う、我が妹ブレジーによると、神殿騎士団による事情聴取が始まったらしい。			弱者の反乱							
どうやら、終わったようだな。少しばかり、探りを入れてみるとしよう。			どうやら、終わったようだな。少しばかり、探りを入れてみるとしよう。			弱者の反乱							
お勤め、ご苦労様です。我々は、神学院内の問題を調査している特別顧問です。ウラー誘拐の件ですが、捜査は順調ですか？			お勤め、ご苦労様です。我々は、神学院内の問題を調査している特別顧問です。ウラー誘拐の件ですが、捜査は順調ですか？			弱者の反乱							
これは事件屋男爵……捜査の協力には感謝しています。被害者から事情を聞いているところですが、真犯人に繋がる情報は特にありません。			これは事件屋男爵……捜査の協力には感謝しています。被害者から事情を聞いているところですが、真犯人に繋がる情報は特にありません。			弱者の反乱							
彼女が目にしていたのは、いずれも実行役の下っ端のみ。実行犯も、覆面の男から金と指示を受け、行動していただけらしく、黒幕につながる情報はありません。			彼女が目にしていたのは、いずれも実行役の下っ端のみ。実行犯も、覆面の男から金と指示を受け、行動していただけらしく、黒幕につながる情報はありません。			弱者の反乱							
実行犯は、いずれも聖職者に育てられた孤児のようですが、恩をあだで返すとは、このことですな……。では、私はこれにて失礼します。			実行犯は、いずれも聖職者に育てられた孤児のようですが、恩をあだで返すとは、このことですな……。では、私はこれにて失礼します。			弱者の反乱							
やはり、そう簡単にはいかないか……。ブレジー、些細なことでも良い……。ウラーが監禁中のことを語ることがあったら、教えてくれ。			やはり、そう簡単にはいかないか……。ブレジー、些細なことでも良い……。ウラーが監禁中のことを語ることがあったら、教えてくれ。			弱者の反乱							
わかりました。ですが、神学生の間では、ウラー誘拐の黒幕は、アルションバダンだ、という噂でもちきりです。			わかりました。ですが、神学生の間では、ウラー誘拐の黒幕は、アルションバダンだ、という噂でもちきりです。			弱者の反乱							
浅はかな……。確かに、ウラーと対立していたアルションバダンには動機がある。だが、証拠もなく糾弾するのは、事件屋としては許しがたい。			浅はかな……。確かに、ウラーと対立していたアルションバダンには動機がある。だが、証拠もなく糾弾するのは、事件屋としては許しがたい。			弱者の反乱							
私も、そう思うのですが……。もともとアルションバダンに反感を抱いていた神学生たちが、これを好機と、彼の除籍を求めて動きだしました。			私も、そう思うのですが……。もともとアルションバダンに反感を抱いていた神学生たちが、これを好機と、彼の除籍を求めて動きだしました。			弱者の反乱							
テオモサンが、除籍運動を止めようと、説得にあたっているようです。私も、手伝いにいってきます。			テオモサンが、除籍運動を止めようと、説得にあたっているようです。私も、手伝いにいってきます。			弱者の反乱							
神学生たちの不安が爆発して、混乱が激化したか……。噂の出所に、黒幕の手がかりがあるかもしれない。			神学生たちの不安が爆発して、混乱が激化したか……。噂の出所に、黒幕の手がかりがあるかもしれない。			弱者の反乱							
だが、ぼくは教皇庁に出向かねばならない用がある。神学院の様子は、きみが調べてみてくれ。			だが、ぼくは教皇庁に出向かねばならない用がある。神学院の様子は、きみが調べてみてくれ。			弱者の反乱							
もしも、寮長が噂どおり暴漢を雇って、目障りな神学生を排除したのなら、断じて許せません！そして、寮長が潔白を主張するなら、我々に説明すべきです！			もしも、寮長が噂どおり暴漢を雇って、目障りな神学生を排除したのなら、断じて許せません！そして、寮長が潔白を主張するなら、我々に説明すべきです！			弱者の反乱							
それができないなら……今すぐ寮長は退学すべきです！テオモサン……寮長と首席の座を争っていた貴方が、この除籍運動の先頭に立ってください！			それができないなら……今すぐ寮長は退学すべきです！テオモサン……寮長と首席の座を争っていた貴方が、この除籍運動の先頭に立ってください！			弱者の反乱							
たいへんです！司祭様たちが、緊急会議で席を外された途端に、皆さんが騒ぎだしてしまって……！			たいへんです！司祭様たちが、緊急会議で席を外された途端に、皆さんが騒ぎだしてしまって……！			弱者の反乱							
もう私たちでは、彼らの怒りを抑えきれません。落ち着いて話し合いができるよう、リーダー格の神学生を「なだめ」てください！			もう私たちでは、彼らの怒りを抑えきれません。落ち着いて話し合いができるよう、リーダー格の神学生を「なだめ」てください！			弱者の反乱							
落ち着いてください……落ち着いてください……！まずは、冷静に話し合いましょう。			落ち着いてください……落ち着いてください……！まずは、冷静に話し合いましょう。			弱者の反乱							
これが、腹黒寮長に対するみんなの本心ってやつだ。だが、テオを困らせるのは許さねえぞ……。あんた、こいつを「なだめ」てくれ。			これが、腹黒寮長に対するみんなの本心ってやつだ。だが、テオを困らせるのは許さねえぞ……。あんた、こいつを「なだめ」てくれ。			弱者の反乱							
みんな、今まで抑え込んでいた不満を爆発させてるんだ。これも祭りと言えば祭りだけど、もっと幸せなのがいいよね。			みんな、今まで抑え込んでいた不満を爆発させてるんだ。これも祭りと言えば祭りだけど、もっと幸せなのがいいよね。			弱者の反乱							
皆さん、頭に血がのぼっていて、話になりません。どうすれば、落ち着いた話し合いができるのでしょう……？			皆さん、頭に血がのぼっていて、話になりません。どうすれば、落ち着いた話し合いができるのでしょう……？			弱者の反乱							
アルションバダンの勝手には、もう耐えられないわ！テオモサンたちなら、なおさらでしょ！？勇気を出して、除籍を訴えましょうよ！			アルションバダンの勝手には、もう耐えられないわ！テオモサンたちなら、なおさらでしょ！？勇気を出して、除籍を訴えましょうよ！			弱者の反乱							
見苦しいこと……。寮長の立場が危うくなると、団結しはじめるなんて……。いかに偽りの意思で行動していたかが、わかりますわね。			見苦しいこと……。寮長の立場が危うくなると、団結しはじめるなんて……。いかに偽りの意思で行動していたかが、わかりますわね。			弱者の反乱							
ズルばっかりしてる寮長なんて、除籍にしちゃえー！それが、世のため、人のためってやつなんでしょ！？			ズルばっかりしてる寮長なんて、除籍にしちゃえー！それが、世のため、人のためってやつなんでしょ！？			弱者の反乱							
横暴な寮長の行いには、もう我慢なりません！寮長と首席の座を争ったテオモサン！貴方が先頭にたち、我々を導いてください！			横暴な寮長の行いには、もう我慢なりません！寮長と首席の座を争ったテオモサン！貴方が先頭にたち、我々を導いてください！			弱者の反乱							
何か用ですか……？今は取り込み中なので、後にしてくれませんか？			何か用ですか……？今は取り込み中なので、後にしてくれませんか？			弱者の反乱							
た、確かに……あなたの言うとおり、短気は損気……。相手は富も権力も併せ持つ大貴族……下手をすれば返り討ちです。冷静になり、確実に除籍を実現する方法を検討すべきですね……。			た、確かに……あなたの言うとおり、短気は損気……。相手は富も権力も併せ持つ大貴族……下手をすれば返り討ちです。冷静になり、確実に除籍を実現する方法を検討すべきですね……。			弱者の反乱							
