石の家のウヌクアルハイは、冒険者に蛮神問題に関する依頼をしたいようだ。			石の家のウヌクアルハイは、冒険者に蛮神問題に関する依頼をしたいようだ。			極まりし雲神ビスマルク							
あの折、ウリエンジェの口からほのめかされたように……僕は、貴方とは別種の「超える力」を持つ者。			あの折、ウリエンジェの口からほのめかされたように……僕は、貴方とは別種の「超える力」を持つ者。			星の命運を懸けて							
僕は、この異能を世界の救済のために役立てたい……。そのためには「蛮神を封じる技術」が拡散するのを、なんとしても阻止したいと考えているのです。			僕は、この異能を世界の救済のために役立てたい……。そのためには「蛮神を封じる技術」が拡散するのを、なんとしても阻止したいと考えているのです。			星の命運を懸けて							
……これから話すのは、こことは違う、とある次元でのことです。そこでは「聖石」という石に蛮神の力を封じる魔法が発達しました。英雄たちは「聖石」を使い、次々と蛮神を封じたのです。			……これから話すのは、こことは違う、とある次元でのことです。そこでは「聖石」という石に蛮神の力を封じる魔法が発達しました。英雄たちは「聖石」を使い、次々と蛮神を封じたのです。			星の命運を懸けて							
ですが、「聖石」は不完全だった……。英雄たちは、いつしか蛮神の力に呑まれて変異を遂げました。無限にエーテルを喰らう「魔」と化し、争いを始めた……。			ですが、「聖石」は不完全だった……。英雄たちは、いつしか蛮神の力に呑まれて変異を遂げました。無限にエーテルを喰らう「魔」と化し、争いを始めた……。			星の命運を懸けて							
過ぎた力が、ひとつの世界を滅ぼしたのです。……ウリエンジェに指摘されたように、僕はそのような力を、弄ぼうとする輩を前にすると、つい我を忘れてしまうようです。			過ぎた力が、ひとつの世界を滅ぼしたのです。……ウリエンジェに指摘されたように、僕はそのような力を、弄ぼうとする輩を前にすると、つい我を忘れてしまうようです。			星の命運を懸けて							
そして我が主もまた、この世界が同じ結末をたどることを、良しとせぬ者……。悲劇を未然に防ぐ枷(かせ)として、僕はここに送られたのです。			そして我が主もまた、この世界が同じ結末をたどることを、良しとせぬ者……。悲劇を未然に防ぐ枷(かせ)として、僕はここに送られたのです。			星の命運を懸けて							
石の家のウヌクアルハイは、冒険者に贈りたいものがあるようだ。			石の家のウヌクアルハイは、冒険者に贈りたいものがあるようだ。			極まりし魔神セフィロト							
ウヌクアルハイから、アラグの記録媒体を受け取った。所有者は、制御不能に陥った魔神「セフィロト」との模擬戦を体験できるという。アジス・ラー旗艦島の「認証システム」に「アラガントームストーン：魔神」を渡そう。			ウヌクアルハイから、アラグの記録媒体を受け取った。所有者は、制御不能に陥った魔神「セフィロト」との模擬戦を体験できるという。アジス・ラー旗艦島の「認証システム」に「アラガントームストーン：魔神」を渡そう。			極まりし魔神セフィロト							
認証システムにアラガントームストーン：魔神を渡し、模擬戦への参加登録が完了した。仲間とともに、制御不能に陥った想定の魔神「セフィロト」を倒そう！※コンテンツファインダーから攻略に参加できます。			認証システムにアラガントームストーン：魔神を渡し、模擬戦への参加登録が完了した。仲間とともに、制御不能に陥った想定の魔神「セフィロト」を倒そう！※コンテンツファインダーから攻略に参加できます。			極まりし魔神セフィロト							
アジス・ラー旗艦島の認証システムにアラガントームストーン：魔神を渡す			アジス・ラー旗艦島の認証システムにアラガントームストーン：魔神を渡す			極まりし魔神セフィロト							
……光の戦士、貴方に預けておきたいものがあります。先に魔神「セフィロト」を討滅した折、入手した品です。			……光の戦士、貴方に預けておきたいものがあります。先に魔神「セフィロト」を討滅した折、入手した品です。			極まりし魔神セフィロト							
それは、古代アラグ文明が用いた記録媒体……。どうやら南方大陸メラシディア遠征における、魔神との戦闘記録が記されているようです。			それは、古代アラグ文明が用いた記録媒体……。どうやら南方大陸メラシディア遠征における、魔神との戦闘記録が記されているようです。			極まりし魔神セフィロト							
さらにこの情報を、認証システムに転送することで、訓練用プログラム……つまり「模擬戦」も体験できるとのこと。魔神「セフィロト」が制御不能に陥ったと仮定しての戦闘ですね。			さらにこの情報を、認証システムに転送することで、訓練用プログラム……つまり「模擬戦」も体験できるとのこと。魔神「セフィロト」が制御不能に陥ったと仮定しての戦闘ですね。			極まりし魔神セフィロト							
想定外の最悪事態……つまり「本物」の魔神との戦い以上に、過酷な状況を設定することも可能なようです。フフフ……貴方の「戦士」の血が騒いできたのではありませんか？			想定外の最悪事態……つまり「本物」の魔神との戦い以上に、過酷な状況を設定することも可能なようです。フフフ……貴方の「戦士」の血が騒いできたのではありませんか？			極まりし魔神セフィロト							
もしも挑戦する勇気があるならば、この記録媒体を、アジス・ラー旗艦島の「認証システム」に提示してください。……そのあとは、機械の指示にしたがえばよいでしょう。			もしも挑戦する勇気があるならば、この記録媒体を、アジス・ラー旗艦島の「認証システム」に提示してください。……そのあとは、機械の指示にしたがえばよいでしょう。			極まりし魔神セフィロト							
アラグの「訓練プログラム」に挑戦するなら、例の記録媒体を、アジス・ラー旗艦島の「認証システム」に提示してください。……そのあとは、機械の指示にしたがえばよいでしょう。			アラグの「訓練プログラム」に挑戦するなら、例の記録媒体を、アジス・ラー旗艦島の「認証システム」に提示してください。……そのあとは、機械の指示にしたがえばよいでしょう。			極まりし魔神セフィロト							
ブゥン……「認証システム」起動……。「訓練プログラム」への参加を希望される方は、指定のアラガントームストーンを提示してください。			ブゥン……「認証システム」起動……。「訓練プログラム」への参加を希望される方は、指定のアラガントームストーンを提示してください。			極まりし魔神セフィロト							
ブゥン……戦闘データ、転送完了……。対魔神「セフィロト」、特別戦闘訓練プログラム……訓練難易度は……ノーマル……ハード…………			ブゥン……戦闘データ、転送完了……。対魔神「セフィロト」、特別戦闘訓練プログラム……訓練難易度は……ノーマル……ハード…………			極まりし魔神セフィロト							
ブゥン……「エクストリーム」に設定！なお、特別戦闘訓練中の死亡事故については、アラグ帝国軍服務規程の免責事項となりますので、あしからず。			ブゥン……「エクストリーム」に設定！なお、特別戦闘訓練中の死亡事故については、アラグ帝国軍服務規程の免責事項となりますので、あしからず。			極まりし魔神セフィロト							
ブゥン……現実拡張、システム起動。アラグ帝国万歳！　ザンデ皇帝陛下に栄光あれ！			ブゥン……現実拡張、システム起動。アラグ帝国万歳！　ザンデ皇帝陛下に栄光あれ！			極まりし魔神セフィロト							
石の家のウヌクアルハイは、「三闘神」討滅計画の次なる一手を実行しようとしている。			石の家のウヌクアルハイは、「三闘神」討滅計画の次なる一手を実行しようとしている。			黄金色の災禍							
前回までの冒険録：アジス・ラーの魔科学研究所に帝国軍が侵入した。古代の蛮神制御技術がその手に渡らぬよう、冒険者は「暁」の仲間とともに研究所に急行。敵将レグラ・ヴァン・ヒュドルスを退けたものの、実はこの戦い自体が、敵を陥れるためにウヌクアルハイが仕掛けた罠であった。ウリエンジェに独断専行をとがめられたウヌクアルハイは、冒険者に謝罪し、三闘神の討滅計画に身を投じた理由を明かす。それは、異なる世界で起きた災厄に関係することのようだった……。　　　　　　　　　　　　*　*　*覚醒の時が迫る古の女神「ソフィア」を討滅することになった。アジス・ラー旗艦島にいる「ウヌクアルハイ」と合流しよう。			前回までの冒険録：アジス・ラーの魔科学研究所に帝国軍が侵入した。古代の蛮神制御技術がその手に渡らぬよう、冒険者は「暁」の仲間とともに研究所に急行。敵将レグラ・ヴァン・ヒュドルスを退けたものの、実はこの戦い自体が、敵を陥れるためにウヌクアルハイが仕掛けた罠であった。ウリエンジェに独断専行をとがめられたウヌクアルハイは、冒険者に謝罪し、三闘神の討滅計画に身を投じた理由を明かす。それは、異なる世界で起きた災厄に関係することのようだった……。　　　　　　　　　　　　*　*　*覚醒の時が迫る古の女神「ソフィア」を討滅することになった。アジス・ラー旗艦島にいる「ウヌクアルハイ」と合流しよう。			黄金色の災禍							
女神「ソフィア」のテンパードとおぼしき古代の民から襲撃を受けた。すでに女神の覚醒は始まっているらしく、事態は急を要する。仲間とともに、女神「ソフィア」を倒そう！※コンテンツファインダーから攻略に参加できます。			女神「ソフィア」のテンパードとおぼしき古代の民から襲撃を受けた。すでに女神の覚醒は始まっているらしく、事態は急を要する。仲間とともに、女神「ソフィア」を倒そう！※コンテンツファインダーから攻略に参加できます。			黄金色の災禍							
女神「ソフィア」を討滅した。アジス・ラー旗艦島に戻ろう。			女神「ソフィア」を討滅した。アジス・ラー旗艦島に戻ろう。			黄金色の災禍							
危機の原因は、古代に企図された女神の計画であったようだ。石の家の「ウヌクアルハイ」と話そう。			危機の原因は、古代に企図された女神の計画であったようだ。石の家の「ウヌクアルハイ」と話そう。			黄金色の災禍							
ウヌクアルハイと話をしていたところ、ヤ・シュトラが訪れた。彼女は独断で行動したウヌクアルハイを責め、冒険者を偶像視すべきではないと諭す。魔大陸に封じられた「三闘神」は、残り一柱となった。しかしアラグの遺したこの施設は、当初考えられていたよりも、はるかに大きな危機の萌芽をはらむ存在のようだ……。			ウヌクアルハイと話をしていたところ、ヤ・シュトラが訪れた。彼女は独断で行動したウヌクアルハイを責め、冒険者を偶像視すべきではないと諭す。魔大陸に封じられた「三闘神」は、残り一柱となった。しかしアラグの遺したこの施設は、当初考えられていたよりも、はるかに大きな危機の萌芽をはらむ存在のようだ……。			黄金色の災禍							
アジス・ラー旗艦島でウヌクアルハイと合流			アジス・ラー旗艦島でウヌクアルハイと合流			黄金色の災禍							
女神「ソフィア」を討滅			女神「ソフィア」を討滅			黄金色の災禍							
石の家のウヌクアルハイと話す			石の家のウヌクアルハイと話す			黄金色の災禍							
光の戦士よ……いよいよ「三闘神」討滅計画の、次なる一手を打つときが来ました。今度の討滅目標は、女神「ソフィア」です。			光の戦士よ……いよいよ「三闘神」討滅計画の、次なる一手を打つときが来ました。今度の討滅目標は、女神「ソフィア」です。			黄金色の災禍							
実は、先に帝国軍と一戦交えた際、女神を封じた区画で、ヤ・シュトラ殿が奇妙なエーテル反応を検知したのです。分析結果は「覚醒の危険あり」……！			実は、先に帝国軍と一戦交えた際、女神を封じた区画で、ヤ・シュトラ殿が奇妙なエーテル反応を検知したのです。分析結果は「覚醒の危険あり」……！			黄金色の災禍							
女神「ソフィア」の討滅を急ぐ必要があります。各々の準備を整えましたら、アジス・ラー旗艦島にて、合流いたしましょう。			女神「ソフィア」の討滅を急ぐ必要があります。各々の準備を整えましたら、アジス・ラー旗艦島にて、合流いたしましょう。			黄金色の災禍							
女神「ソフィア」の討滅を急ぐ必要があります。各々の準備を整えましたら、アジス・ラー旗艦島にて、合流いたしましょう。			女神「ソフィア」の討滅を急ぐ必要があります。各々の準備を整えましたら、アジス・ラー旗艦島にて、合流いたしましょう。			黄金色の災禍							
「暁」の方々は、まだのようです。ここで到着をお待ちしましょう。			「暁」の方々は、まだのようです。ここで到着をお待ちしましょう。			黄金色の災禍							
あの音は……？			あの音は……？			黄金色の災禍							
Forenameさん、ウヌクアルハイくん！			Forenameさん、ウヌクアルハイくん！			黄金色の災禍							
敵襲よ！いま、ヤ・シュトラさんたちが応戦しているわ！			敵襲よ！いま、ヤ・シュトラさんたちが応戦しているわ！			黄金色の災禍							
ハハハッ……手応え充分だな！アラグにも、こんな使い手がいたか！			ハハハッ……手応え充分だな！アラグにも、こんな使い手がいたか！			黄金色の災禍							
あらァ？惰眠をむさぼってる間に、腕が鈍ったのかしらァ？			あらァ？惰眠をむさぼってる間に、腕が鈍ったのかしらァ？			黄金色の災禍							
無駄口はいらんぞ！時は充分に稼いだ……引き揚げるッ！			無駄口はいらんぞ！時は充分に稼いだ……引き揚げるッ！			黄金色の災禍							
『女神は死なず、天空の繭(まゆ)より再誕す。　暴虐なる龍王を傍らに、天の秤もて神罰を下さん……』			『女神は死なず、天空の繭(まゆ)より再誕す。　暴虐なる龍王を傍らに、天の秤もて神罰を下さん……』			黄金色の災禍							
我らが女神は、すでに目覚めた！貴様らアラグの民が造りし揺籃(ようらん)が、貴様ら自身の滅びを招く……覚えておけ！			我らが女神は、すでに目覚めた！貴様らアラグの民が造りし揺籃(ようらん)が、貴様ら自身の滅びを招く……覚えておけ！			黄金色の災禍							
ありがとう、Forename。助けにきてくれたのね？			ありがとう、Forename。助けにきてくれたのね？			黄金色の災禍							
聞き慣れぬ言葉をあやつる、異形の襲撃者……。古式の南方言語のようにも聞こえましたが……。			聞き慣れぬ言葉をあやつる、異形の襲撃者……。古式の南方言語のようにも聞こえましたが……。			黄金色の災禍							
わたしたちのことを「アラグの民」と呼んでいたわ。それから、「我らが女神は、すでに目覚めた」って……！			わたしたちのことを「アラグの民」と呼んでいたわ。それから、「我らが女神は、すでに目覚めた」って……！			黄金色の災禍							
「超える力」で、彼らの言葉が理解できたようね。我らが女神……すなわち、ソフィアのこと？			「超える力」で、彼らの言葉が理解できたようね。我らが女神……すなわち、ソフィアのこと？			黄金色の災禍							
なるほど……。彼らは、アラグ帝国が滅びたことを知らぬ南方大陸の民……女神ソフィアのテンパードでしょう。			なるほど……。彼らは、アラグ帝国が滅びたことを知らぬ南方大陸の民……女神ソフィアのテンパードでしょう。			黄金色の災禍							
彼らはアラグの侵攻に抗するために、蛮神を召喚したと聞きます。我らを憎きアラグの民と見誤って、危害をくわえんとした……。			彼らはアラグの侵攻に抗するために、蛮神を召喚したと聞きます。我らを憎きアラグの民と見誤って、危害をくわえんとした……。			黄金色の災禍							
それよりも、女神の覚醒が真実だとしたら、一大事です！……現にその信者は目覚め、研究所を抜け出しています。			それよりも、女神の覚醒が真実だとしたら、一大事です！……現にその信者は目覚め、研究所を抜け出しています。			黄金色の災禍							
急ぎましょう！わたしとウヌクアルハイくんとで、拘束具の制御を奪う。Forenameさんは、その間に女神を討滅して！			急ぎましょう！わたしとウヌクアルハイくんとで、拘束具の制御を奪う。Forenameさんは、その間に女神を討滅して！			黄金色の災禍							
あなたたちは、女神を封じた閉鎖区画へ急いで！ウリエンジェと私は、ほかに目覚めた信者がいないか探すわ。……これ以上の妨害を、許すつもりはない。			あなたたちは、女神を封じた閉鎖区画へ急いで！ウリエンジェと私は、ほかに目覚めた信者がいないか探すわ。……これ以上の妨害を、許すつもりはない。			黄金色の災禍							
……クルル殿。襲撃者が最後に何と言っていたか、覚えていますか？			……クルル殿。襲撃者が最後に何と言っていたか、覚えていますか？			黄金色の災禍							
『女神は死なず、天空の繭(まゆ)より再誕す。　暴虐なる龍王を傍らに、天の秤もて神罰を下さん……』繭、天の秤、そして龍王……気になる言葉ね。			『女神は死なず、天空の繭(まゆ)より再誕す。　暴虐なる龍王を傍らに、天の秤もて神罰を下さん……』繭、天の秤、そして龍王……気になる言葉ね。			黄金色の災禍							
『女神は死なず、天空の繭(まゆ)より再誕す。　暴虐なる龍王を傍らに、天の秤もて神罰を下さん……』いったい、何を暗示した言葉なのでしょうか？			『女神は死なず、天空の繭(まゆ)より再誕す。　暴虐なる龍王を傍らに、天の秤もて神罰を下さん……』いったい、何を暗示した言葉なのでしょうか？			黄金色の災禍							
ごくろうさま……その様子だと、上首尾だったようね！クルルたちからも、まもなく戻ると連絡があったわ。			ごくろうさま……その様子だと、上首尾だったようね！クルルたちからも、まもなく戻ると連絡があったわ。			黄金色の災禍							
それにしても……なぜいま、古代のテンパードたちが覚醒してしまったのかしら？数千年も眠りについていた彼らが……。			それにしても……なぜいま、古代のテンパードたちが覚醒してしまったのかしら？数千年も眠りについていた彼らが……。			黄金色の災禍							
……その謎は、解明できたわ！			……その謎は、解明できたわ！			黄金色の災禍							
閉鎖区画で、ガレマール帝国兵の遺体を発見しました。先に研究所に侵入した際、女神に近づきすぎ、テンパードと化したものと思われます。			閉鎖区画で、ガレマール帝国兵の遺体を発見しました。先に研究所に侵入した際、女神に近づきすぎ、テンパードと化したものと思われます。			黄金色の災禍							
すでに女神は、なかば覚醒状態にあったのでしょう。侵入した兵士に命じて封印を解かせ、3人の従者……古代のテンパードを解放したのです。			すでに女神は、なかば覚醒状態にあったのでしょう。侵入した兵士に命じて封印を解かせ、3人の従者……古代のテンパードを解放したのです。			黄金色の災禍							
研究所の調査を命じられた兵となれば、相応の知識もあるはず。古の機器を操作し、眠れる従者を覚醒させることもできたと……。			研究所の調査を命じられた兵となれば、相応の知識もあるはず。古の機器を操作し、眠れる従者を覚醒させることもできたと……。			黄金色の災禍							
どうやら、それだけではないようです。アラグの記録によれば、実は女神を封じた拘束具には、保安上の「穴」があったようなのです。			どうやら、それだけではないようです。アラグの記録によれば、実は女神を封じた拘束具には、保安上の「穴」があったようなのです。			黄金色の災禍							
第三星暦の末期、南方大陸の諸族は、アラグ帝国に侵攻を受け、敗滅が決定的となっていました。そこで狡智に長けた女神は神託を通じ、信徒に計略をさずけたとか。			第三星暦の末期、南方大陸の諸族は、アラグ帝国に侵攻を受け、敗滅が決定的となっていました。そこで狡智に長けた女神は神託を通じ、信徒に計略をさずけたとか。			黄金色の災禍							
彼らはアラグ帝国内部の反乱分子と手を結び、女神の拘束具に、保安上の穴を開けておいたのです。そして女神とその従者は、あえてアラグに捕縛されました……！			彼らはアラグ帝国内部の反乱分子と手を結び、女神の拘束具に、保安上の穴を開けておいたのです。そして女神とその従者は、あえてアラグに捕縛されました……！			黄金色の災禍							
囚われの身となって、アラグの都の奥深くへと入り込む。それから拘束具を解いて、巨大帝国の中枢に一撃を加える……それが、女神と反乱分子の計画だったの！			囚われの身となって、アラグの都の奥深くへと入り込む。それから拘束具を解いて、巨大帝国の中枢に一撃を加える……それが、女神と反乱分子の計画だったの！			黄金色の災禍							
しかし、この計画は事前に露見し、未遂に終わりました。イシュガルド教皇とガレマール帝国が侵入することがなければ、歴史の闇に葬られ、陽の目をみることもなかったはず。			しかし、この計画は事前に露見し、未遂に終わりました。イシュガルド教皇とガレマール帝国が侵入することがなければ、歴史の闇に葬られ、陽の目をみることもなかったはず。			黄金色の災禍							
……女神の従者たちは、こんな予言を口にしていたわ。『女神は死なず、天空の繭(まゆ)より再誕す。　暴虐なる龍王を傍らに、天の秤もて神罰を下さん……』			……女神の従者たちは、こんな予言を口にしていたわ。『女神は死なず、天空の繭(まゆ)より再誕す。　暴虐なる龍王を傍らに、天の秤もて神罰を下さん……』			黄金色の災禍							
「繭」が示すは、女神の拘束具……。再び現れし女神が「龍王」……つまり、バハムートをも解き放ち、アラグに神罰を下すという筋書きですか……。			「繭」が示すは、女神の拘束具……。再び現れし女神が「龍王」……つまり、バハムートをも解き放ち、アラグに神罰を下すという筋書きですか……。			黄金色の災禍							
……愚かすぎる計画ね。実行すれば、霊災にも匹敵する大惨事が引き起こされる……南方大陸だって無事では済まなかったことでしょう。			……愚かすぎる計画ね。実行すれば、霊災にも匹敵する大惨事が引き起こされる……南方大陸だって無事では済まなかったことでしょう。			黄金色の災禍							
南方の民の故郷は、すでに滅びようとしていたんです。蛮神という「毒」をもって、アラグという毒を制する可能性に、懸けてみたくもなったのでしょう。			南方の民の故郷は、すでに滅びようとしていたんです。蛮神という「毒」をもって、アラグという毒を制する可能性に、懸けてみたくもなったのでしょう。			黄金色の災禍							
いかなる技術も、故意に仕組まれた罠の前には無力。真に脅威を排除するには、蛮神を滅するほかないということです。「石の家」へと戻り、次なる討滅計画を練るといたしましょう。			いかなる技術も、故意に仕組まれた罠の前には無力。真に脅威を排除するには、蛮神を滅するほかないということです。「石の家」へと戻り、次なる討滅計画を練るといたしましょう。			黄金色の災禍							
…………脅威は、皆が考えているよりも、ずっと大きい。だから、誰かがやらなくてはならないんだ。残る女神のテンパードすべてを……「抹消」する仕事を。			…………脅威は、皆が考えているよりも、ずっと大きい。だから、誰かがやらなくてはならないんだ。残る女神のテンパードすべてを……「抹消」する仕事を。			黄金色の災禍							
ブゥン……休眠中のテンパードの生命維持を停止します。機密コードを入力してください。			ブゥン……休眠中のテンパードの生命維持を停止します。機密コードを入力してください。			黄金色の災禍							
…………。			…………。			黄金色の災禍							
生命維持プロセスの停止が完了しました。			生命維持プロセスの停止が完了しました。			黄金色の災禍							
ようこそ、光の戦士よ。ちょうどヤ・シュトラ殿もこの部屋にいらっしゃるとか……。			ようこそ、光の戦士よ。ちょうどヤ・シュトラ殿もこの部屋にいらっしゃるとか……。			黄金色の災禍							
Forename、あなたも来ていたのね。今日は、彼に話があって来たの。			Forename、あなたも来ていたのね。今日は、彼に話があって来たの。			黄金色の災禍							
「魔科学研究所」で眠っていた女神のテンパードが、何者かに生命維持を止められ、すべて「抹消」されていたわ。手を下したのは……あなたね？			「魔科学研究所」で眠っていた女神のテンパードが、何者かに生命維持を止められ、すべて「抹消」されていたわ。手を下したのは……あなたね？			黄金色の災禍							
…………はい、僕の独断行動です。先に閲覧したアラグの記録から、あの場所が、僕たちの想像よりはるかに危険な施設だと知ったからです。			…………はい、僕の独断行動です。先に閲覧したアラグの記録から、あの場所が、僕たちの想像よりはるかに危険な施設だと知ったからです。			黄金色の災禍							
「魔科学研究所」は単なる研究施設ではありません。より遠大な計画の一環として建造された、「実験場」です！			「魔科学研究所」は単なる研究施設ではありません。より遠大な計画の一環として建造された、「実験場」です！			黄金色の災禍							
魔神と女神は、いずれも奇妙な球体に封じられていました。その球体は、とある小天体の試作品なのです……！			魔神と女神は、いずれも奇妙な球体に封じられていました。その球体は、とある小天体の試作品なのです……！			黄金色の災禍							
小天体って……衛星「ダラガブ」のこと！？			小天体って……衛星「ダラガブ」のこと！？			黄金色の災禍							
蛮神バハムートを封じ、第七霊災をもたらした衛星「ダラガブ」……闘神たちを封じた球体は、その雛型に間違いありません。あの施設は、霊災の萌芽を3つも抱えていたのです！			蛮神バハムートを封じ、第七霊災をもたらした衛星「ダラガブ」……闘神たちを封じた球体は、その雛型に間違いありません。あの施設は、霊災の萌芽を3つも抱えていたのです！			黄金色の災禍							
かかる脅威を排除するために、無抵抗のテンパードの生命を断つ……それは英雄たる光の戦士にふさわしい仕事とは言えません。だから…………僕が手を下しました。			かかる脅威を排除するために、無抵抗のテンパードの生命を断つ……それは英雄たる光の戦士にふさわしい仕事とは言えません。だから…………僕が手を下しました。			黄金色の災禍							
事情は了解したわ。私の想像以上に、事態は深刻だったということもね。……ただ、これだけは言わせてちょうだい。			事情は了解したわ。私の想像以上に、事態は深刻だったということもね。……ただ、これだけは言わせてちょうだい。			黄金色の災禍							
そうやって、彼女を、「英雄」という偶像に押し込めるのはやめなさい！			そうやって、彼女を、「英雄」という偶像に押し込めるのはやめなさい！			黄金色の災禍							
蛮神と戦うと決めた時点で、信徒との戦いが避けられないことは、彼女だけじゃない、「暁」の誰もが覚悟してるわ。英雄としてでなく、人として罪を負う決意で戦っているのよ！			蛮神と戦うと決めた時点で、信徒との戦いが避けられないことは、彼女だけじゃない、「暁」の誰もが覚悟してるわ。英雄としてでなく、人として罪を負う決意で戦っているのよ！			黄金色の災禍							
……承知…………しました。たしかに僕は……貴方たちの心を、理解していなかった……。			……承知…………しました。たしかに僕は……貴方たちの心を、理解していなかった……。			黄金色の災禍							
言いたいことは、それだけよ。本当にわかってくれたのならいいのだけど。…………いえ、最後にひとつ知らせておくことがあったわ。			言いたいことは、それだけよ。本当にわかってくれたのならいいのだけど。…………いえ、最後にひとつ知らせておくことがあったわ。			黄金色の災禍							
女神のテンパードが目覚めた原因は、閉鎖区画に入り込んだ、ガレマール帝国兵のしわざ……ということだったわね？その兵士はおそらく、偶然迷い込んだわけではないわ。			女神のテンパードが目覚めた原因は、閉鎖区画に入り込んだ、ガレマール帝国兵のしわざ……ということだったわね？その兵士はおそらく、偶然迷い込んだわけではないわ。			黄金色の災禍							
亡命者からの情報によると、第VI軍団にはレグラの失脚を狙う工作員が潜伏しているそうよ。わざと任務を失敗させようという輩がね。			亡命者からの情報によると、第VI軍団にはレグラの失脚を狙う工作員が潜伏しているそうよ。わざと任務を失敗させようという輩がね。			黄金色の災禍							
彼は名門出身ながら、叩き上げ同然で成り上がった、生来の武人。その武才を見出した現皇帝に、絶対の忠誠を誓っている。……そんな彼を追い落としたい連中もいるのよ。			彼は名門出身ながら、叩き上げ同然で成り上がった、生来の武人。その武才を見出した現皇帝に、絶対の忠誠を誓っている。……そんな彼を追い落としたい連中もいるのよ。			黄金色の災禍							
つまり……危機の原因は、またも技術的な欠陥ではなく、人の営みだったと……？			つまり……危機の原因は、またも技術的な欠陥ではなく、人の営みだったと……？			黄金色の災禍							
そういうこと……だからこそ、世界の存亡をゆるがす力など、人の手の届く場所に存在すべきではないの。……少なくともその志において、あなたは同志だと信じているわ。			そういうこと……だからこそ、世界の存亡をゆるがす力など、人の手の届く場所に存在すべきではないの。……少なくともその志において、あなたは同志だと信じているわ。			黄金色の災禍							
石の家のウヌクアルハイは、「三闘神」最後の一柱に関する依頼をしたいようだ。			石の家のウヌクアルハイは、「三闘神」最後の一柱に関する依頼をしたいようだ。			永き冥路の果てに							
前回までの冒険録：女神ソフィアが永き眠りより甦り、魔大陸アジス・ラーに大いなる危機が訪れた。冒険者は厳しい対処を強いられつつも、討滅に成功。三闘神は一柱を残すのみとなった。そんななか、三闘神を封じたアラグの拘束具が、霊災を引き起こした衛星「ダラガブ」の雛型であったことが判明。災厄を回避すべく独断行動に出たウヌクアルハイだが、ヤ・シュトラの叱責を受け入れ、素直に反省の意を示すのだった。　　　　　　　　　　　　*　*　*鬼神「ズルワーン」のテンパードに関する調査が開始された。アジス・ラー旗艦島の「指定地点」で待機しよう。			前回までの冒険録：女神ソフィアが永き眠りより甦り、魔大陸アジス・ラーに大いなる危機が訪れた。冒険者は厳しい対処を強いられつつも、討滅に成功。三闘神は一柱を残すのみとなった。そんななか、三闘神を封じたアラグの拘束具が、霊災を引き起こした衛星「ダラガブ」の雛型であったことが判明。災厄を回避すべく独断行動に出たウヌクアルハイだが、ヤ・シュトラの叱責を受け入れ、素直に反省の意を示すのだった。　　　　　　　　　　　　*　*　*鬼神「ズルワーン」のテンパードに関する調査が開始された。アジス・ラー旗艦島の「指定地点」で待機しよう。			永き冥路の果てに							
魔大陸でウヌクアルハイらと合流したところ、事態は一変していた。魔科学研究所内では、目覚めたテンパードの手により、鬼神「ズルワーン」はすでに覚醒しつつあるという……！「暁」の一同は、帝国軍のレグラ・ヴァン・ヒュドルスと一時休戦し、決死の突入を試みる。アジス・ラー旗艦島にいる「ウヌクアルハイ」と話そう。			魔大陸でウヌクアルハイらと合流したところ、事態は一変していた。魔科学研究所内では、目覚めたテンパードの手により、鬼神「ズルワーン」はすでに覚醒しつつあるという……！「暁」の一同は、帝国軍のレグラ・ヴァン・ヒュドルスと一時休戦し、決死の突入を試みる。アジス・ラー旗艦島にいる「ウヌクアルハイ」と話そう。			永き冥路の果てに							
ウヌクアルハイと話した。冒険者は鬼神「ズルワーン」の完全覚醒を阻止すべく、アジス・ラーの「魔大陸中枢」へと向かうのだった。※「魔大陸中枢」へは、アジス・ラー旗艦島の「認証システム」に話しかけると移動できます。			ウヌクアルハイと話した。冒険者は鬼神「ズルワーン」の完全覚醒を阻止すべく、アジス・ラーの「魔大陸中枢」へと向かうのだった。※「魔大陸中枢」へは、アジス・ラー旗艦島の「認証システム」に話しかけると移動できます。			永き冥路の果てに							
冒険者らはアラグの装置を破壊し、鬼神「ズルワーン」の完全覚醒を阻止した。しかしレグラはウヌクアルハイをかばい、壮絶な最期を遂げる。ズルワーン討滅の任務は、生き残った者たちの手に託された。魔大陸中枢にいる「ウヌクアルハイ」と話そう。※「魔大陸中枢」へは、アジス・ラー旗艦島の「認証システム」に話しかけると移動できます。			冒険者らはアラグの装置を破壊し、鬼神「ズルワーン」の完全覚醒を阻止した。しかしレグラはウヌクアルハイをかばい、壮絶な最期を遂げる。ズルワーン討滅の任務は、生き残った者たちの手に託された。魔大陸中枢にいる「ウヌクアルハイ」と話そう。※「魔大陸中枢」へは、アジス・ラー旗艦島の「認証システム」に話しかけると移動できます。			永き冥路の果てに							
