レヴナンツトールのラドヴァンは、新たな後継者を探しているようだ。			レヴナンツトールのラドヴァンは、新たな後継者を探しているようだ。			もうひとりのガンブレイカー							
そして、かつて悪人であっても、善行を働こうとしている者を、黙って殺させるわけにはいかない。			そして、かつて悪人であっても、善行を働こうとしている者を、黙って殺させるわけにはいかない。			悪因悪果？ 犯罪組織の首領を護れ！							
グルドウェイツが法廷で証言し、犯罪組織が摘発されれば、きっと多くの者が救われるはずだ……。			グルドウェイツが法廷で証言し、犯罪組織が摘発されれば、きっと多くの者が救われるはずだ……。			悪因悪果？ 犯罪組織の首領を護れ！							
どうか、どうか、その機会を奪わないでくれ……。			どうか、どうか、その機会を奪わないでくれ……。			悪因悪果？ 犯罪組織の首領を護れ！							
よ、よかった、彼女を止めてくれたんですね……。上層部に確認したら、命令なんて出してないことがわかり、急いで後を追ってきました。			よ、よかった、彼女を止めてくれたんですね……。上層部に確認したら、命令なんて出してないことがわかり、急いで後を追ってきました。			悪因悪果？ 犯罪組織の首領を護れ！							
イエロージャケットにも、グルドウェイツに恨みを持つ者は多い。しかし、まさか暗殺まで企てるとは……迂闊でした。			イエロージャケットにも、グルドウェイツに恨みを持つ者は多い。しかし、まさか暗殺まで企てるとは……迂闊でした。			悪因悪果？ 犯罪組織の首領を護れ！							
かの警備兵は、イエロージャケットで連行しておきました。それでは、護送を再開しましょう。			かの警備兵は、イエロージャケットで連行しておきました。それでは、護送を再開しましょう。			悪因悪果？ 犯罪組織の首領を護れ！							
その前に、礼を言わせてくれ。死んで当然の私を護ってくれて……どうもありがとう。			その前に、礼を言わせてくれ。死んで当然の私を護ってくれて……どうもありがとう。			悪因悪果？ 犯罪組織の首領を護れ！							
どのみち、私は重い病に冒されているので、余命いくばくかもないのだがな……。			どのみち、私は重い病に冒されているので、余命いくばくかもないのだがな……。			悪因悪果？ 犯罪組織の首領を護れ！							
一家の首領のまま、死を迎えることもできたろうに。いったいなぜ、自首して司法取引を……？			一家の首領のまま、死を迎えることもできたろうに。いったいなぜ、自首して司法取引を……？			悪因悪果？ 犯罪組織の首領を護れ！							
年端もいかぬ頃から悪行を重ねてきた。そういう生き方しか知らなかった私だが、死が目前に迫ると、そんな人生に後悔が押し寄せてきてな……。			年端もいかぬ頃から悪行を重ねてきた。そういう生き方しか知らなかった私だが、死が目前に迫ると、そんな人生に後悔が押し寄せてきてな……。			悪因悪果？ 犯罪組織の首領を護れ！							
今更、許されようとは思っておらぬが、死ぬ前にひとつだけでも、善いことをしたくなったのだ……。			今更、許されようとは思っておらぬが、死ぬ前にひとつだけでも、善いことをしたくなったのだ……。			悪因悪果？ 犯罪組織の首領を護れ！							
そうか……。やはり、あなたの護衛を引き受けたこと……間違いではなかった。			そうか……。やはり、あなたの護衛を引き受けたこと……間違いではなかった。			悪因悪果？ 犯罪組織の首領を護れ！							
さあ、早く法廷へと連れていってくれ。			さあ、早く法廷へと連れていってくれ。			悪因悪果？ 犯罪組織の首領を護れ！							
やっと着いたね。グルドウェイツの証言で、たくさんの人が救われるといいな。			やっと着いたね。グルドウェイツの証言で、たくさんの人が救われるといいな。			悪因悪果？ 犯罪組織の首領を護れ！							
どうもありがとうございました。			どうもありがとうございました。			悪因悪果？ 犯罪組織の首領を護れ！							
護衛に感謝する……。			護衛に感謝する……。			悪因悪果？ 犯罪組織の首領を護れ！							
よし、リムサ・ロミンサまでたどり着けたな。ここまでくれば、もう大丈夫だろう。			よし、リムサ・ロミンサまでたどり着けたな。ここまでくれば、もう大丈夫だろう。			悪因悪果？ 犯罪組織の首領を護れ！							
あとは、グルドウェイツを街中の法廷に連れていくだけです。この度は、本当にありがとうございました。			あとは、グルドウェイツを街中の法廷に連れていくだけです。この度は、本当にありがとうございました。			悪因悪果？ 犯罪組織の首領を護れ！							
護衛に感謝する……。			護衛に感謝する……。			悪因悪果？ 犯罪組織の首領を護れ！							
危ういところもあったが、最後まで護衛できてよかった。それでは、次なる都市へ向かうとするか。			危ういところもあったが、最後まで護衛できてよかった。それでは、次なる都市へ向かうとするか。			悪因悪果？ 犯罪組織の首領を護れ！							
エオルゼア三都市は周ったし、アラミゴは通ってきたからね。そうなるともう、イシュガルドしかないわけか……。アタシ、寒いの苦手なんだけどな～。			エオルゼア三都市は周ったし、アラミゴは通ってきたからね。そうなるともう、イシュガルドしかないわけか……。アタシ、寒いの苦手なんだけどな～。			悪因悪果？ 犯罪組織の首領を護れ！							
きっと、その地にも護衛を必要としている人はいるはず。さあ、イシュガルドへと向かおう。			きっと、その地にも護衛を必要としている人はいるはず。さあ、イシュガルドへと向かおう。			悪因悪果？ 犯罪組織の首領を護れ！							
うう～、寒い！いち早くこの防寒着を買ったけど、それでも寒いよ……！			うう～、寒い！いち早くこの防寒着を買ったけど、それでも寒いよ……！			悪因悪果？ 犯罪組織の首領を護れ！							
イシュガルドとは、想像以上に極寒の地なのだな。幸い私は寒さに強いので、何てことないが……。			イシュガルドとは、想像以上に極寒の地なのだな。幸い私は寒さに強いので、何てことないが……。			悪因悪果？ 犯罪組織の首領を護れ！							
寒すぎるよ！いち早くこの防寒着を買ったけど、それでも寒い……！			寒すぎるよ！いち早くこの防寒着を買ったけど、それでも寒い……！			悪因悪果？ 犯罪組織の首領を護れ！							
この地には冒険者ギルドがないようだが、代わりに、神殿騎士団リーヴというものがあった。			この地には冒険者ギルドがないようだが、代わりに、神殿騎士団リーヴというものがあった。			悪因悪果？ 犯罪組織の首領を護れ！							
だが、護衛の依頼はきてないようなので、仕事が入るまで、君にはしばらく力をつけておいてほしい。			だが、護衛の依頼はきてないようなので、仕事が入るまで、君にはしばらく力をつけておいてほしい。			悪因悪果？ 犯罪組織の首領を護れ！							
クイックサンドのラドヴァンは、何やら遠い目をしている。			クイックサンドのラドヴァンは、何やら遠い目をしている。			痴話喧嘩？ 怯える母子を護れ！							
ラドヴァンに護衛の仕事が入ったようだ。ウルダハのザル大門で依頼人の「オリエル」と話そう。			ラドヴァンに護衛の仕事が入ったようだ。ウルダハのザル大門で依頼人の「オリエル」と話そう。			痴話喧嘩？ 怯える母子を護れ！							
オリエルと話し、彼女に付きまとう別れた夫、ゲラートから母子を護衛することになった。中央ザナラーンの刺抜盆地で「ラドヴァン」と話そう。			オリエルと話し、彼女に付きまとう別れた夫、ゲラートから母子を護衛することになった。中央ザナラーンの刺抜盆地で「ラドヴァン」と話そう。			痴話喧嘩？ 怯える母子を護れ！							
ラドヴァンと話し、現れたゲラートに警告した。ソフィーが気になることがあるので、オリエルを尾行するという。東ザナラーンのドライボーンで「ラドヴァン」と話そう。			ラドヴァンと話し、現れたゲラートに警告した。ソフィーが気になることがあるので、オリエルを尾行するという。東ザナラーンのドライボーンで「ラドヴァン」と話そう。			痴話喧嘩？ 怯える母子を護れ！							
オリエルは息子を人買いに売ろうとしていた。そこへ、ゲラートが止めに入ったが、倒されてしまった。ドライボーンで、人買いの男たちを討伐しよう。			オリエルは息子を人買いに売ろうとしていた。そこへ、ゲラートが止めに入ったが、倒されてしまった。ドライボーンで、人買いの男たちを討伐しよう。			痴話喧嘩？ 怯える母子を護れ！							
人買の男たちを討伐した。ドライボーンで、「ゲラート」を救助しよう。			人買の男たちを討伐した。ドライボーンで、「ゲラート」を救助しよう。			痴話喧嘩？ 怯える母子を護れ！							
ゲラートを救助した。オリエルはソムヌス香中毒で、ゲラートは息子を救おうとしていたようだ。ゲラートはこれから、家族とやり直すと誓うのだった。ラドヴァンは次の仕事をリムサ・ロミンサで探すという。リムサ・ロミンサの溺れた海豚亭で「ラドヴァン」と話そう。			ゲラートを救助した。オリエルはソムヌス香中毒で、ゲラートは息子を救おうとしていたようだ。ゲラートはこれから、家族とやり直すと誓うのだった。ラドヴァンは次の仕事をリムサ・ロミンサで探すという。リムサ・ロミンサの溺れた海豚亭で「ラドヴァン」と話そう。			痴話喧嘩？ 怯える母子を護れ！							
ラドヴァンと話した。護衛の仕事が見つかるまで、冒険者は鍛錬を積むことになった。※ガンブレイカーのレベルが65以上になると、溺れた海豚亭のラドヴァンから次のガンブレイカークエストを受注することができます。			ラドヴァンと話した。護衛の仕事が見つかるまで、冒険者は鍛錬を積むことになった。※ガンブレイカーのレベルが65以上になると、溺れた海豚亭のラドヴァンから次のガンブレイカークエストを受注することができます。			痴話喧嘩？ 怯える母子を護れ！							
ザル大門のオリエルと話す			ザル大門のオリエルと話す			痴話喧嘩？ 怯える母子を護れ！							
刺抜盆地のラドヴァンと話す			刺抜盆地のラドヴァンと話す			痴話喧嘩？ 怯える母子を護れ！							
ドライボーンのラドヴァンと話す			ドライボーンのラドヴァンと話す			痴話喧嘩？ 怯える母子を護れ！							
人買いの男たちを討伐する			人買いの男たちを討伐する			痴話喧嘩？ 怯える母子を護れ！							
ゲラートを救助			ゲラートを救助			痴話喧嘩？ 怯える母子を護れ！							
溺れた海豚亭のラドヴァンと話す			溺れた海豚亭のラドヴァンと話す			痴話喧嘩？ 怯える母子を護れ！							
ゴールドソーサーってところに行ってみたいんだけど、オッサンが遊びに来たんじゃないってうるさいんだ。息抜きも必要だと思わない……？			ゴールドソーサーってところに行ってみたいんだけど、オッサンが遊びに来たんじゃないってうるさいんだ。息抜きも必要だと思わない……？			痴話喧嘩？ 怯える母子を護れ！							
よく来てくれた、Forename……。この街には、どこか懐かしさを感じていたのだが、城塞に囲まれた姿が祖国に似ていることに気がついた。			よく来てくれた、Forename……。この街には、どこか懐かしさを感じていたのだが、城塞に囲まれた姿が祖国に似ていることに気がついた。			痴話喧嘩？ 怯える母子を護れ！							
帝国に支配された我が国は、こうも賑やかではなかったがな。それでもまだ、故郷がこの世に存在していた頃はよかった……。			帝国に支配された我が国は、こうも賑やかではなかったがな。それでもまだ、故郷がこの世に存在していた頃はよかった……。			痴話喧嘩？ 怯える母子を護れ！							
ちょっと、ひとりで感傷的にならないでよ。Forenameが、困っちゃうじゃない。			ちょっと、ひとりで感傷的にならないでよ。Forenameが、困っちゃうじゃない。			痴話喧嘩？ 怯える母子を護れ！							
すまない、年のせいか、つい……。私の話はさておいて、護衛の依頼が舞い込んできたぞ。			すまない、年のせいか、つい……。私の話はさておいて、護衛の依頼が舞い込んできたぞ。			痴話喧嘩？ 怯える母子を護れ！							
依頼人は「オリエル」という女性だ。ザル大門にて、彼女と待ち合わせしているので、話を聞きにいこう。			依頼人は「オリエル」という女性だ。ザル大門にて、彼女と待ち合わせしているので、話を聞きにいこう。			痴話喧嘩？ 怯える母子を護れ！							
オリエルさんから依頼の内容を聞こう。			オリエルさんから依頼の内容を聞こう。			痴話喧嘩？ 怯える母子を護れ！							
かわいいお子さんだね。			かわいいお子さんだね。			痴話喧嘩？ 怯える母子を護れ！							
は、はじめまして……。			は、はじめまして……。			痴話喧嘩？ 怯える母子を護れ！							
どうも、依頼したオリエルといいます。お願いしたいのは、私と息子のティムの護衛……付きまとってくる別れた夫から、私たちを護ってほしいのです。			どうも、依頼したオリエルといいます。お願いしたいのは、私と息子のティムの護衛……付きまとってくる別れた夫から、私たちを護ってほしいのです。			痴話喧嘩？ 怯える母子を護れ！							
ううむ……困ったぞ。これは、我らが介入すべきなのだろうか？相手が元夫ならば、オリエルさんからしっかりと言った方が……			ううむ……困ったぞ。これは、我らが介入すべきなのだろうか？相手が元夫ならば、オリエルさんからしっかりと言った方が……			痴話喧嘩？ 怯える母子を護れ！							
そう言わず、引き受けてあげなよ……。別れた女に執着する男は、何をしでかすかわからないからね。			そう言わず、引き受けてあげなよ……。別れた女に執着する男は、何をしでかすかわからないからね。			痴話喧嘩？ 怯える母子を護れ！							
そ、そういうものか……。わかった、あなたたちをお護りしよう。			そ、そういうものか……。わかった、あなたたちをお護りしよう。			痴話喧嘩？ 怯える母子を護れ！							
ありがとうございます。元夫の「ゲラート」は、ひとけのないところで現れます。私が街の外にでも出れば、きっと言い寄ってくるでしょう。			ありがとうございます。元夫の「ゲラート」は、ひとけのないところで現れます。私が街の外にでも出れば、きっと言い寄ってくるでしょう。			痴話喧嘩？ 怯える母子を護れ！							
なるほど、それでは我らは物陰に隠れておいて、ゲラートが現れたら、すぐさま飛び出すことにしよう。そして、付きまとわぬよう警告し、従わぬなら脅しをかけよう。			なるほど、それでは我らは物陰に隠れておいて、ゲラートが現れたら、すぐさま飛び出すことにしよう。そして、付きまとわぬよう警告し、従わぬなら脅しをかけよう。			痴話喧嘩？ 怯える母子を護れ！							
どうぞ、よろしくお願いします。では、中央ザナラーンの刺抜盆地あたりに向かいましょう。			どうぞ、よろしくお願いします。では、中央ザナラーンの刺抜盆地あたりに向かいましょう。			痴話喧嘩？ 怯える母子を護れ！							
どうか、物陰に隠れていてください。			どうか、物陰に隠れていてください。			痴話喧嘩？ 怯える母子を護れ！							
お父ちゃん……。			お父ちゃん……。			痴話喧嘩？ 怯える母子を護れ！							
ゲラートってのは、どんな男なんだろうね……。			ゲラートってのは、どんな男なんだろうね……。			痴話喧嘩？ 怯える母子を護れ！							
できるだけ手荒な真似はしたくない、ゲラートが現れたら、まずは私から警告しよう。			できるだけ手荒な真似はしたくない、ゲラートが現れたら、まずは私から警告しよう。			痴話喧嘩？ 怯える母子を護れ！							
そこまでだ！彼女から離れろ……！！			そこまでだ！彼女から離れろ……！！			痴話喧嘩？ 怯える母子を護れ！							
な、なんだ、あんたらは……？			な、なんだ、あんたらは……？			痴話喧嘩？ 怯える母子を護れ！							
我らはオリエルさんに雇われた護衛。彼女に付きまとうのは、もうやめるんだ……！！			我らはオリエルさんに雇われた護衛。彼女に付きまとうのは、もうやめるんだ……！！			痴話喧嘩？ 怯える母子を護れ！							
そんな……俺は息子を護りたいだけ……			そんな……俺は息子を護りたいだけ……			痴話喧嘩？ 怯える母子を護れ！							
この子の親権は私にあるの！あなたはもう、私たちに関わらないでちょうだい！			この子の親権は私にあるの！あなたはもう、私たちに関わらないでちょうだい！			痴話喧嘩？ 怯える母子を護れ！							
二度とオリエルさんたちに付きまとうな！さもなくば、痛い目に遭うことになるぞ……！！			二度とオリエルさんたちに付きまとうな！さもなくば、痛い目に遭うことになるぞ……！！			痴話喧嘩？ 怯える母子を護れ！							
よかった！これでやっと、安心できます。どうもありがとうございました……！			よかった！これでやっと、安心できます。どうもありがとうございました……！			痴話喧嘩？ 怯える母子を護れ！							
喧嘩沙汰にならずに済んでよかった。かなり脅してやったので、さすがに懲りたろう。			喧嘩沙汰にならずに済んでよかった。かなり脅してやったので、さすがに懲りたろう。			痴話喧嘩？ 怯える母子を護れ！							
今回は君の力を借りるまでもなかったが、誰も傷つくことなく、穏便に済んでなにより……			今回は君の力を借りるまでもなかったが、誰も傷つくことなく、穏便に済んでなにより……			痴話喧嘩？ 怯える母子を護れ！							
待って……。あのオリエルって人、まさか……			待って……。あのオリエルって人、まさか……			痴話喧嘩？ 怯える母子を護れ！							
ごめん、どうしても気になることがあるの。彼女を尾行させて！			ごめん、どうしても気になることがあるの。彼女を尾行させて！			痴話喧嘩？ 怯える母子を護れ！							
いったいぜんたい、何が起こっているのかサッパリだが、我らも後を追おう。			いったいぜんたい、何が起こっているのかサッパリだが、我らも後を追おう。			痴話喧嘩？ 怯える母子を護れ！							
彼女、やっぱり怪しい。こんなところで、何を……？			彼女、やっぱり怪しい。こんなところで、何を……？			痴話喧嘩？ 怯える母子を護れ！							
オリエルさんは、こんなところでいったい……おっと、誰か来たようだ。			オリエルさんは、こんなところでいったい……おっと、誰か来たようだ。			痴話喧嘩？ 怯える母子を護れ！							
この子か……。ちょいと幼すぎるんじゃないか……？			この子か……。ちょいと幼すぎるんじゃないか……？			痴話喧嘩？ 怯える母子を護れ！							
いや、数年もすればいい働き手になる。今のうちに買っとかない手はない……。			いや、数年もすればいい働き手になる。今のうちに買っとかない手はない……。			痴話喧嘩？ 怯える母子を護れ！							
ま、まさか、子供を売る気か……！？許せん……！！			ま、まさか、子供を売る気か……！？許せん……！！			痴話喧嘩？ 怯える母子を護れ！							
むむ、あれは……！？			むむ、あれは……！？			痴話喧嘩？ 怯える母子を護れ！							
待て……！			待て……！			痴話喧嘩？ 怯える母子を護れ！							
俺の息子は渡さない……！！			俺の息子は渡さない……！！			痴話喧嘩？ 怯える母子を護れ！							
なんだお前は？話を聞いてたってんなら、タダじゃ済まねぇぞ！			なんだお前は？話を聞いてたってんなら、タダじゃ済まねぇぞ！			痴話喧嘩？ 怯える母子を護れ！							
我らで彼を助けるのだ……！			我らで彼を助けるのだ……！			痴話喧嘩？ 怯える母子を護れ！							
ウウッ……！			ウウッ……！			痴話喧嘩？ 怯える母子を護れ！							
す、すまない、また古傷が……。ここは頼んだ！			す、すまない、また古傷が……。ここは頼んだ！			痴話喧嘩？ 怯える母子を護れ！							
す、すまない、また古傷が……。奴らを始末してくれ！			す、すまない、また古傷が……。奴らを始末してくれ！			痴話喧嘩？ 怯える母子を護れ！							
オッサンってば、またこんなときに……！Forename、ヤツらをやっつけて！			オッサンってば、またこんなときに……！Forename、ヤツらをやっつけて！			痴話喧嘩？ 怯える母子を護れ！							
ほかにもいやがったか！			ほかにもいやがったか！			痴話喧嘩？ 怯える母子を護れ！							
生かして帰すな！			生かして帰すな！			痴話喧嘩？ 怯える母子を護れ！							
かたじけない……。私は大丈夫だ、それよりゲラートを頼む。			かたじけない……。私は大丈夫だ、それよりゲラートを頼む。			痴話喧嘩？ 怯える母子を護れ！							
ありがとう！やっぱり、オッサンはポンコツだね。			ありがとう！やっぱり、オッサンはポンコツだね。			痴話喧嘩？ 怯える母子を護れ！							
た、助かった。どうもありがとう……。			た、助かった。どうもありがとう……。			痴話喧嘩？ 怯える母子を護れ！							
お父ちゃん！			お父ちゃん！			痴話喧嘩？ 怯える母子を護れ！							
またも醜態を見せてしまい、すまなかった。それにしても、いったいどういう状況なのだ……？			またも醜態を見せてしまい、すまなかった。それにしても、いったいどういう状況なのだ……？			痴話喧嘩？ 怯える母子を護れ！							
オリエルはソムヌス香の中毒者なんだね？あれは中毒になると、正常な判断ができなくなる。それこそ、薬を買うためなら実の息子を売ってしまうほどに……。			オリエルはソムヌス香の中毒者なんだね？あれは中毒になると、正常な判断ができなくなる。それこそ、薬を買うためなら実の息子を売ってしまうほどに……。			痴話喧嘩？ 怯える母子を護れ！							
中毒者は、まともを装おうとしても、感情の起伏が激しい、情緒不安定の症状を隠せない。さっきの彼女の様子で気づいたよ……。			中毒者は、まともを装おうとしても、感情の起伏が激しい、情緒不安定の症状を隠せない。さっきの彼女の様子で気づいたよ……。			痴話喧嘩？ 怯える母子を護れ！							
そのとおりだ。でも、オリエルがそうなったのは、俺のせいなんだよ……。			そのとおりだ。でも、オリエルがそうなったのは、俺のせいなんだよ……。			痴話喧嘩？ 怯える母子を護れ！							
妻は俺が博打にハマって、借金を作ってしまったため、息子を連れて逃げていったんだ。もちろん、自業自得だってことはわかってるさ……。			妻は俺が博打にハマって、借金を作ってしまったため、息子を連れて逃げていったんだ。もちろん、自業自得だってことはわかってるさ……。			痴話喧嘩？ 怯える母子を護れ！							
そこで、後悔した俺は、心を入れ替えて博打をやめ、必死で働いて借金を返し、オリエルに復縁してもらおうとした。すると、今度は彼女がソムヌス香中毒になっていたんだ……。			そこで、後悔した俺は、心を入れ替えて博打をやめ、必死で働いて借金を返し、オリエルに復縁してもらおうとした。すると、今度は彼女がソムヌス香中毒になっていたんだ……。			痴話喧嘩？ 怯える母子を護れ！							
ウルダハで、女手ひとつで子供を育てるのは容易じゃない。孤独や生活苦から逃れようと、つい手を出してしまったんだろう。			ウルダハで、女手ひとつで子供を育てるのは容易じゃない。孤独や生活苦から逃れようと、つい手を出してしまったんだろう。			痴話喧嘩？ 怯える母子を護れ！							
妻と息子の人生を狂わせたのはこの俺だ。だからこそ、なんとか救ってやりたかったんだ……。			妻と息子の人生を狂わせたのはこの俺だ。だからこそ、なんとか救ってやりたかったんだ……。			痴話喧嘩？ 怯える母子を護れ！							
それで……これから、どうするつもりなの？			それで……これから、どうするつもりなの？			痴話喧嘩？ 怯える母子を護れ！							
オリエルはフロンデール薬学院にある、薬物依存症の更生施設に入れる。ティムは俺が責任をもって育てよう。			オリエルはフロンデール薬学院にある、薬物依存症の更生施設に入れる。ティムは俺が責任をもって育てよう。			痴話喧嘩？ 怯える母子を護れ！							
そして、妻が更生して戻ってきたら、もう一度、家族三人でやり直すつもりだ。どうか信じてくれ、俺は本気だ……！			そして、妻が更生して戻ってきたら、もう一度、家族三人でやり直すつもりだ。どうか信じてくれ、俺は本気だ……！			痴話喧嘩？ 怯える母子を護れ！							
……わかった。屈強な男たちに丸腰で向かっていった、その勇気に免じて、君を信じることにしよう。			……わかった。屈強な男たちに丸腰で向かっていった、その勇気に免じて、君を信じることにしよう。			痴話喧嘩？ 怯える母子を護れ！							
ありがとう。今度こそ、絶対に家族を幸せにすると誓うよ……。			ありがとう。今度こそ、絶対に家族を幸せにすると誓うよ……。			痴話喧嘩？ 怯える母子を護れ！							
今回はソフィーの機転に救われたな。情けないことに、私はまた肝心なときに……。			今回はソフィーの機転に救われたな。情けないことに、私はまた肝心なときに……。			痴話喧嘩？ 怯える母子を護れ！							
いや、本当に勘弁してよ。Forenameも気になってるだろうから、オッサンがポンコツになった理由でも教えてあげたら？			いや、本当に勘弁してよ。Forenameも気になってるだろうから、オッサンがポンコツになった理由でも教えてあげたら？			痴話喧嘩？ 怯える母子を護れ！							
ポンコツではないと言いたいところだが……二度にわたって、私が見せた醜態のわけを話そう……。			ポンコツではないと言いたいところだが……二度にわたって、私が見せた醜態のわけを話そう……。			痴話喧嘩？ 怯える母子を護れ！							
帝国軍の徴用兵だった頃、私は上官に逆らったことで投獄され、実に10年以上、独房に入れられていたのだ。			帝国軍の徴用兵だった頃、私は上官に逆らったことで投獄され、実に10年以上、独房に入れられていたのだ。			痴話喧嘩？ 怯える母子を護れ！							
そこでは、囚人の反抗を抑えるための、忌まわしき魔導仕掛けの「首輪」を付けられていた。			そこでは、囚人の反抗を抑えるための、忌まわしき魔導仕掛けの「首輪」を付けられていた。			痴話喧嘩？ 怯える母子を護れ！							
それは、囚人の身体に雷気を流し、苦痛を与えて全身の自由を奪い、服従させるというもの。			それは、囚人の身体に雷気を流し、苦痛を与えて全身の自由を奪い、服従させるというもの。			痴話喧嘩？ 怯える母子を護れ！							
収監中、繰り返し雷気を流された私には後遺症が残り、ときに身体中に激痛が走って、動けなくなるようになった。くだんの醜態はその症状によるものだったのだ。			収監中、繰り返し雷気を流された私には後遺症が残り、ときに身体中に激痛が走って、動けなくなるようになった。くだんの醜態はその症状によるものだったのだ。			痴話喧嘩？ 怯える母子を護れ！							
だが、安心してくれ。エオルゼアに来たことで、逃亡中よりも生活が改善されたため、この後遺症は完治しつつある……もう二度と醜態は繰り返さない！			だが、安心してくれ。エオルゼアに来たことで、逃亡中よりも生活が改善されたため、この後遺症は完治しつつある……もう二度と醜態は繰り返さない！			痴話喧嘩？ 怯える母子を護れ！							
それならいいんだけどね……。ついでに話しておくけど、アタシもオッサンと同じ帝国の監獄にいたの。			それならいいんだけどね……。ついでに話しておくけど、アタシもオッサンと同じ帝国の監獄にいたの。			痴話喧嘩？ 怯える母子を護れ！							
まあ、アタシの場合はレジスタンスの諜報活動中に囚われ、処刑を待つ間、雑居房に入れられてたんだけどね。			まあ、アタシの場合はレジスタンスの諜報活動中に囚われ、処刑を待つ間、雑居房に入れられてたんだけどね。			痴話喧嘩？ 怯える母子を護れ！							
ちなみに、そこでソムヌス香中毒者と過ごしたもんで、今回、見抜くことができたんだ。			ちなみに、そこでソムヌス香中毒者と過ごしたもんで、今回、見抜くことができたんだ。			痴話喧嘩？ 怯える母子を護れ！							
ところでなぜ、アタシたちが出会ったかというと、これがまたおかしな話でさぁ……。			ところでなぜ、アタシたちが出会ったかというと、これがまたおかしな話でさぁ……。			痴話喧嘩？ 怯える母子を護れ！							
オッサンは脱獄するために、10年かけて独房から外に至る抜け穴を掘っていたの。それがついに開通した先がぁ……アタシのいる雑居房だったんだ！			オッサンは脱獄するために、10年かけて独房から外に至る抜け穴を掘っていたの。それがついに開通した先がぁ……アタシのいる雑居房だったんだ！			痴話喧嘩？ 怯える母子を護れ！							
ちょ、ちょっと、計算が狂っただけだ。お前はそれで命拾いしたのだから、ありがたく思え。			ちょ、ちょっと、計算が狂っただけだ。お前はそれで命拾いしたのだから、ありがたく思え。			痴話喧嘩？ 怯える母子を護れ！							
はいはい、感謝してるよ。絶望のなかで、処刑を待つばかりだったアタシは、穴から出てきた、オッサンの間抜け面に救われたんだからね。			はいはい、感謝してるよ。絶望のなかで、処刑を待つばかりだったアタシは、穴から出てきた、オッサンの間抜け面に救われたんだからね。			痴話喧嘩？ 怯える母子を護れ！							
結果的に、ふたりで力をあわせることで、警備が手薄だった雑居房から抜け出すことができたってわけ。			結果的に、ふたりで力をあわせることで、警備が手薄だった雑居房から抜け出すことができたってわけ。			痴話喧嘩？ 怯える母子を護れ！							
ああ、だが脱獄は果たしたものの……			ああ、だが脱獄は果たしたものの……			痴話喧嘩？ 怯える母子を護れ！							
私はすでに帰るべき場所を失っていたんだ。ゲラートと同じく、私にも妻と幼い息子がいたのだが、ふたりとも……護ることができなかった……。			私はすでに帰るべき場所を失っていたんだ。ゲラートと同じく、私にも妻と幼い息子がいたのだが、ふたりとも……護ることができなかった……。			痴話喧嘩？ 怯える母子を護れ！							
おっといかん、またひとりで感傷的になってしまった……。さて、また次の都市へ向かうとしよう。			おっといかん、またひとりで感傷的になってしまった……。さて、また次の都市へ向かうとしよう。			痴話喧嘩？ 怯える母子を護れ！							
じゃあ、海を渡って、リムサ・ロミンサに行こう！港の街だから、世界中の物が集まっているらしいね！			じゃあ、海を渡って、リムサ・ロミンサに行こう！港の街だから、世界中の物が集まっているらしいね！			痴話喧嘩？ 怯える母子を護れ！							
いいだろう、それではまた、リムサ・ロミンサの冒険者ギルドへ向かい、仕事を探そう。			いいだろう、それではまた、リムサ・ロミンサの冒険者ギルドへ向かい、仕事を探そう。			痴話喧嘩？ 怯える母子を護れ！							
また、新しい服を買っちゃった！どうかしら、これ……？			また、新しい服を買っちゃった！どうかしら、これ……？			痴話喧嘩？ 怯える母子を護れ！							
リムサ・ロミンサとは、海賊が興した街だけに、自由で大らかな雰囲気が漂っているな。			リムサ・ロミンサとは、海賊が興した街だけに、自由で大らかな雰囲気が漂っているな。			痴話喧嘩？ 怯える母子を護れ！							
海はキレイだし、珍しい物も売ってるし、最高だね！また、新しい服を買っちゃった！			海はキレイだし、珍しい物も売ってるし、最高だね！また、新しい服を買っちゃった！			痴話喧嘩？ 怯える母子を護れ！							
冒険者ギルドには、いまのところ護衛の依頼はなかった。また仕事が見つかるまで、君は鍛錬を積んでおいてほしい。			冒険者ギルドには、いまのところ護衛の依頼はなかった。また仕事が見つかるまで、君は鍛錬を積んでおいてほしい。			痴話喧嘩？ 怯える母子を護れ！							
茨の森のラドヴァンは、ガンブレイカーとなった冒険者を見定めている。			茨の森のラドヴァンは、ガンブレイカーとなった冒険者を見定めている。			殺害予告？ 人気演奏家を護れ！							
ラドヴァンと話し、冒険者ギルドで仕事を探すことになった。グリダニアのカーラインカフェで「ラドヴァン」と話そう。			ラドヴァンと話し、冒険者ギルドで仕事を探すことになった。グリダニアのカーラインカフェで「ラドヴァン」と話そう。			殺害予告？ 人気演奏家を護れ！							
ラドヴァンは護衛の依頼を紹介されたようだ。グリダニアの鬼哭隊屯所付近で依頼人の「ラサンシュー」と話そう。			ラドヴァンは護衛の依頼を紹介されたようだ。グリダニアの鬼哭隊屯所付近で依頼人の「ラサンシュー」と話そう。			殺害予告？ 人気演奏家を護れ！							
