ポルタ・プレトリアのアラミゴ解放軍の上級闘士は、冒険者を待っていたようだ。			ポルタ・プレトリアのアラミゴ解放軍の上級闘士は、冒険者を待っていたようだ。			英雄への鎮魂歌							
魔導兵器でも苦戦するか……。これ以上、奴らに手間取るくらいなら、いっそ……！			魔導兵器でも苦戦するか……。これ以上、奴らに手間取るくらいなら、いっそ……！			再会信じ紅玉海へ							
おい！　あの魔導兵器、様子がおかしいぞ！自爆でもしようってのか！？			おい！　あの魔導兵器、様子がおかしいぞ！自爆でもしようってのか！？			再会信じ紅玉海へ							
クッ、しぶとい奴らめ……！　さらに戦力を集中させろ！			クッ、しぶとい奴らめ……！　さらに戦力を集中させろ！			再会信じ紅玉海へ							
同時に、2体を相手取るには……！Forename殿、魔導兵器をこちらに誘導してくれ！			同時に、2体を相手取るには……！Forename殿、魔導兵器をこちらに誘導してくれ！			再会信じ紅玉海へ							
ええい、いまだ排除できんとは！母艦に通信……魔導ヘキサローラーを投入しろ！！			ええい、いまだ排除できんとは！母艦に通信……魔導ヘキサローラーを投入しろ！！			再会信じ紅玉海へ							
いよいよ切り札の投入ということか！？どんな攻撃をしてくるかわからない、注意するんだ！			いよいよ切り札の投入ということか！？どんな攻撃をしてくるかわからない、注意するんだ！			再会信じ紅玉海へ							
ぬううっ！　魔導タレット改を展開！撃て！　撃て！　撃てェーーー！！			ぬううっ！　魔導タレット改を展開！撃て！　撃て！　撃てェーーー！！			再会信じ紅玉海へ							
まずい、距離を取るんだ！！			まずい、距離を取るんだ！！			再会信じ紅玉海へ							
ええい！　全戦力を集結させるのだ！連中を排除せねば、我らの勝利はないぞ！！			ええい！　全戦力を集結させるのだ！連中を排除せねば、我らの勝利はないぞ！！			再会信じ紅玉海へ							
さすがに数が多いか……ならば、私も切り札を使わせてもらう！こちらに魔導兵器を集めてくれ！！			さすがに数が多いか……ならば、私も切り札を使わせてもらう！こちらに魔導兵器を集めてくれ！！			再会信じ紅玉海へ							
こちらも……里に伝わる奥義で！霧を呼びて、我が影と成す……！　疾れ、霧影たちッ！			こちらも……里に伝わる奥義で！霧を呼びて、我が影と成す……！　疾れ、霧影たちッ！			再会信じ紅玉海へ							
魔導兵器の半数は、私の影たちが引きつけよう……。Forename殿、残りの誘導を！			魔導兵器の半数は、私の影たちが引きつけよう……。Forename殿、残りの誘導を！			再会信じ紅玉海へ							
よし、魔力が溜まったぞ……！時は来た……小さき星よ、砕け降り注げ！　プチメテオ！			よし、魔力が溜まったぞ……！時は来た……小さき星よ、砕け降り注げ！　プチメテオ！			再会信じ紅玉海へ							
ゴウセツ……やっと、ここまで近づけたというのに……！			ゴウセツ……やっと、ここまで近づけたというのに……！			再会信じ紅玉海へ							
すまない……力に、なれず……。			すまない……力に、なれず……。			再会信じ紅玉海へ							
この俺がやられちまうなんざ、情けねえ……。			この俺がやられちまうなんざ、情けねえ……。			再会信じ紅玉海へ							
ドマ町人地のヒエンは、冒険者たちに要請があるようだ。			ドマ町人地のヒエンは、冒険者たちに要請があるようだ。			帝都に潜む影							
帰燕館に向かう			帰燕館に向かう			帝都に潜む影							
ヒエンと話す			ヒエンと話す			帝都に潜む影							
ドマ町人地のリセと話す			ドマ町人地のリセと話す			帝都に潜む影							
帰燕館のヒエンと話す			帰燕館のヒエンと話す			帝都に潜む影							
…………ごめんなさい、少しだけ時間をちょうだい。			…………ごめんなさい、少しだけ時間をちょうだい。			帝都に潜む影							
さて……最悪の事態とはならなかったけど、決して楽観はできない状況のようね。			さて……最悪の事態とはならなかったけど、決して楽観はできない状況のようね。			帝都に潜む影							
アルフィノ殿の行方も心配だが……帝国が動き出したとなると、そちらの対策も検討せねばならんな。			アルフィノ殿の行方も心配だが……帝国が動き出したとなると、そちらの対策も検討せねばならんな。			帝都に潜む影							
ヒエン様の館「帰燕館」へ入られますか？			ヒエン様の館「帰燕館」へ入られますか？			帝都に潜む影							
「帰燕館」へ入りますか？			「帰燕館」へ入りますか？			帝都に潜む影							
さて、一息つきたいところではあるが……どうも、そうはいかんらしくてな。何やら異国からの使者が来ているというのだ。			さて、一息つきたいところではあるが……どうも、そうはいかんらしくてな。何やら異国からの使者が来ているというのだ。			帝都に潜む影							
あら、それなら私たちは席を外した方がよくて？			あら、それなら私たちは席を外した方がよくて？			帝都に潜む影							
いや、そなたらにも同席を頼めるか？相手の用件はわからぬが、内容次第では「暁」の意見を聞きたい。			いや、そなたらにも同席を頼めるか？相手の用件はわからぬが、内容次第では「暁」の意見を聞きたい。			帝都に潜む影							
ええ……もちろん構わないわ。			ええ……もちろん構わないわ。			帝都に潜む影							
ありがたい。では、共に「帰燕館」へ向かうとしよう。			ありがたい。では、共に「帰燕館」へ向かうとしよう。			帝都に潜む影							
ドマの忍びたちも動いてくれるんだし、無事を信じて、気分を切り替えなくちゃ。って、理屈ではわかっているんだけどね……。			ドマの忍びたちも動いてくれるんだし、無事を信じて、気分を切り替えなくちゃ。って、理屈ではわかっているんだけどね……。			帝都に潜む影							
「暁」に加えて、ドマを招くとはね。ガレマール帝国と、その背後にいるアシエンの存在には、同盟軍としても強い危機感を抱いている、といったところかしら。			「暁」に加えて、ドマを招くとはね。ガレマール帝国と、その背後にいるアシエンの存在には、同盟軍としても強い危機感を抱いている、といったところかしら。			帝都に潜む影							
エオルゼア同盟軍との連帯強化は必須だろう。しかし、ドマ独自でできることも模索しなければ……。			エオルゼア同盟軍との連帯強化は必須だろう。しかし、ドマ独自でできることも模索しなければ……。			帝都に潜む影							
これまでの旅の中でも、アルフィノは何度も、厳しい状況をくぐり抜けてきたんだ。だから、アタシはまた再会できるって確信しているよ。			これまでの旅の中でも、アルフィノは何度も、厳しい状況をくぐり抜けてきたんだ。だから、アタシはまた再会できるって確信しているよ。			帝都に潜む影							
さて、ドマの防備に関してだが、「暁」の者らに、ぜひ意見を聞かせてもらいたい。この後の軍議にも、出席してはくれんか？			さて、ドマの防備に関してだが、「暁」の者らに、ぜひ意見を聞かせてもらいたい。この後の軍議にも、出席してはくれんか？			帝都に潜む影							
ええ、もちろんよ。アシエンの影がちらついている状況で、中立を決め込むことはできないわ。			ええ、もちろんよ。アシエンの影がちらついている状況で、中立を決め込むことはできないわ。			帝都に潜む影							
かたじけない……。			かたじけない……。			帝都に潜む影							
リセも使者の役割、ごくろうだったな。抜き差しならない状況とはいえ、元気そうな顔を見れてよかった。			リセも使者の役割、ごくろうだったな。抜き差しならない状況とはいえ、元気そうな顔を見れてよかった。			帝都に潜む影							
アタシも復興しつつあるドマ町人地を見て、気合をもらったよ。それじゃ、アタシはこれで……。			アタシも復興しつつあるドマ町人地を見て、気合をもらったよ。それじゃ、アタシはこれで……。			帝都に潜む影							
ねぇ、Forename……帰る前に、ちょっと外までいいかな？ふたりだけで話したいことがあってさ。			ねぇ、Forename……帰る前に、ちょっと外までいいかな？ふたりだけで話したいことがあってさ。			帝都に潜む影							
ふむ……そういうことなら、行ってくるといい。その間、こちらはハクロウら国防に携わる侍衆を、招集しておくのでな。			ふむ……そういうことなら、行ってくるといい。その間、こちらはハクロウら国防に携わる侍衆を、招集しておくのでな。			帝都に潜む影							
ありがとう……。じゃあ、船着場で待ってるね。			ありがとう……。じゃあ、船着場で待ってるね。			帝都に潜む影							
リセの話したいことって、何なのかしら……。			リセの話したいことって、何なのかしら……。			帝都に潜む影							
船着場へ行き、リセの話とやらを聞いてくるといい。こちらは、その間にハクロウを呼んでおこう。			船着場へ行き、リセの話とやらを聞いてくるといい。こちらは、その間にハクロウを呼んでおこう。			帝都に潜む影							
ヒエン様が、我を呼びに来るはずだと？……承知した、リセ殿が来訪してきたときから、何かが起きるのではと思っていたのだ。			ヒエン様が、我を呼びに来るはずだと？……承知した、リセ殿が来訪してきたときから、何かが起きるのではと思っていたのだ。			帝都に潜む影							
来てくれて、ありがとう。もう察しがついているかもしれないけど……アリゼーのことでさ。			来てくれて、ありがとう。もう察しがついているかもしれないけど……アリゼーのことでさ。			帝都に潜む影							
ヒエンの前では、がんばって笑顔を見せてはいたけど、たったひとりの双子のお兄さんが行方不明の状況で、心細くないはずはないと思うんだ。			ヒエンの前では、がんばって笑顔を見せてはいたけど、たったひとりの双子のお兄さんが行方不明の状況で、心細くないはずはないと思うんだ。			帝都に潜む影							
アリゼーって強気で、一途で、無鉄砲でさえある。でもそれは、信じて前に進まなければ折れそうになる、そんな弱さの裏返しでもあると思うの。			アリゼーって強気で、一途で、無鉄砲でさえある。でもそれは、信じて前に進まなければ折れそうになる、そんな弱さの裏返しでもあると思うの。			帝都に潜む影							
アタシにも似たところがあったから……。			アタシにも似たところがあったから……。			帝都に潜む影							
でも、今のアタシに、ナーゴやラウバーン、そして、解放軍の仲間たちがいてくれるように、アリゼーには、あなたや「暁」のみんながいる……。			でも、今のアタシに、ナーゴやラウバーン、そして、解放軍の仲間たちがいてくれるように、アリゼーには、あなたや「暁」のみんながいる……。			帝都に潜む影							
だから、身勝手だし、お節介だとも思うけど……あなたに、アリゼーの支えになってあげてほしいんだ。			だから、身勝手だし、お節介だとも思うけど……あなたに、アリゼーの支えになってあげてほしいんだ。			帝都に潜む影							
何と答える？			何と答える？			帝都に潜む影							
任せておけ！			任せておけ！			帝都に潜む影							
心配するな！			心配するな！			帝都に潜む影							
ありがとう……。アタシとしても、できることは何でもするから、力が必要なときは遠慮なく言ってよね！			ありがとう……。アタシとしても、できることは何でもするから、力が必要なときは遠慮なく言ってよね！			帝都に潜む影							
それじゃあ、次はアラミゴでの会議の席で会いましょう。またね！			それじゃあ、次はアラミゴでの会議の席で会いましょう。またね！			帝都に潜む影							
リセの話ってなんだったの？……ううん、やっぱり話さなくていい。必要なことなら、あなたは言ってくれるものね。			リセの話ってなんだったの？……ううん、やっぱり話さなくていい。必要なことなら、あなたは言ってくれるものね。			帝都に潜む影							
リセが内緒話なんて珍しいわね。まあ、どんな内容だったかは想像がつくけど…………大丈夫、当の本人は気づいてないみたいだから。			リセが内緒話なんて珍しいわね。まあ、どんな内容だったかは想像がつくけど…………大丈夫、当の本人は気づいてないみたいだから。			帝都に潜む影							
戻られたか。こちらも、ハクロウたちに説明をし終えたところだ。			戻られたか。こちらも、ハクロウたちに説明をし終えたところだ。			帝都に潜む影							
帝国め、先の捕虜交換より、その蛮行は目に余る……！和平の芽が残っているからと目をつむった……その結果がこれか。			帝国め、先の捕虜交換より、その蛮行は目に余る……！和平の芽が残っているからと目をつむった……その結果がこれか。			帝都に潜む影							
おお、戻ったか。こちらも皆揃っておる……それでは、軍議を始めるとしよう。			おお、戻ったか。こちらも皆揃っておる……それでは、軍議を始めるとしよう。			帝都に潜む影							
アラミガン・クォーターのアレンヴァルドは、ニヤニヤしている。			アラミガン・クォーターのアレンヴァルドは、ニヤニヤしている。			復讐と正義							
アラミガン・クォーターのリセと話す			アラミガン・クォーターのリセと話す			復讐と正義							
リセと再度話す			リセと再度話す			復讐と正義							
捕虜収容所の衛兵と話す			捕虜収容所の衛兵と話す			復讐と正義							
なんだか最近、からかわれる頻度が増してきた気がするぞ。何故だ……何故こうなってしまったんだ……！？			なんだか最近、からかわれる頻度が増してきた気がするぞ。何故だ……何故こうなってしまったんだ……！？			復讐と正義							
冗談はともかくとして、せっかくの朗報なんだ。「廃王の黄金」を発見したってことを、リセに報せてやらないか？			冗談はともかくとして、せっかくの朗報なんだ。「廃王の黄金」を発見したってことを、リセに報せてやらないか？			復讐と正義							
そうだね、きっと喜んでくれることだろう。			そうだね、きっと喜んでくれることだろう。			復讐と正義							
それでは、助っ人の仕事もこれで終いということで……。私は、ここで失礼させていただきやす。			それでは、助っ人の仕事もこれで終いということで……。私は、ここで失礼させていただきやす。			復讐と正義							
ああ、助かったよ。マハにも、よろしく伝えておいてくれ。			ああ、助かったよ。マハにも、よろしく伝えておいてくれ。			復讐と正義							
さて、確か「リセ」は会議のため市街地に来ているはずだったね。辺りを探して、声をかけるとしよう。			さて、確か「リセ」は会議のため市街地に来ているはずだったね。辺りを探して、声をかけるとしよう。			復讐と正義							
珍しい取り合わせね。三人そろってどうしたの？			珍しい取り合わせね。三人そろってどうしたの？			復讐と正義							
リセに報告したいことがあるんだ。Forenameたちと見つけた、ある物についてね。			リセに報告したいことがあるんだ。Forenameたちと見つけた、ある物についてね。			復讐と正義							
廃王テオドリックの隠し財宝を発見したですって？すごいじゃない！			廃王テオドリックの隠し財宝を発見したですって？すごいじゃない！			復讐と正義							
それで、財宝の使い道なんだが……貧しさに苦しむアラミゴの人々のために使ってもらいたいんだ。			それで、財宝の使い道なんだが……貧しさに苦しむアラミゴの人々のために使ってもらいたいんだ。			復讐と正義							
アレンヴァルド……。			アレンヴァルド……。			復讐と正義							
王宮の地下監獄から、財宝の秘匿場所までの地図も作ってある。後ほど、解放軍の闘士の中から、信頼できる者たちを選抜して、回収に向かわせてもらえると、ありがたい。			王宮の地下監獄から、財宝の秘匿場所までの地図も作ってある。後ほど、解放軍の闘士の中から、信頼できる者たちを選抜して、回収に向かわせてもらえると、ありがたい。			復讐と正義							
わかったわ。あなたたちの想い、決して無駄にしないって約束する。しっかりと使い方を考えないといけないね。			わかったわ。あなたたちの想い、決して無駄にしないって約束する。しっかりと使い方を考えないといけないね。			復讐と正義							
ありがとう。			ありがとう。			復讐と正義							
それと、もうひとつ提案がある。アルフィノに「廃王の黄金」を元手にした支援策について、検討してもらいたいんだが、どうかな？			それと、もうひとつ提案がある。アルフィノに「廃王の黄金」を元手にした支援策について、検討してもらいたいんだが、どうかな？			復讐と正義							
俺は、細かいことが苦手な性分だし、何より学がない。単に金をバラまくだけじゃ、問題が解決しないことはわかるが、具体的にどうすればいいのかまでは、頭が回らないんだ。			俺は、細かいことが苦手な性分だし、何より学がない。単に金をバラまくだけじゃ、問題が解決しないことはわかるが、具体的にどうすればいいのかまでは、頭が回らないんだ。			復讐と正義							
いい考えだね。……アタシからもお願いさせて。中立の「暁」からの視点で、案を作ってもらえると嬉しいな。			いい考えだね。……アタシからもお願いさせて。中立の「暁」からの視点で、案を作ってもらえると嬉しいな。			復讐と正義							
……了解だ、任されよう。			……了解だ、任されよう。			復讐と正義							
リセ隊長！緊急事態がッ！			リセ隊長！緊急事態がッ！			復讐と正義							
ちょっと落ち着いて……。そんなに慌てて、どうしたっていうの？			ちょっと落ち着いて……。そんなに慌てて、どうしたっていうの？			復讐と正義							
解放軍に抗議したいことがあると、市民たちが集まってきていて、大変なことになっているんです。とにかく、現場まで来てくださいッ！			解放軍に抗議したいことがあると、市民たちが集まってきていて、大変なことになっているんです。とにかく、現場まで来てくださいッ！			復讐と正義							
フォルドラたち髑髏連隊は、人種的にはアラミゴ人ではあるが、帝国人として振る舞ってきた。多くのアラミゴ人にとって、彼女たちは同族殺しと映るだろうね。			フォルドラたち髑髏連隊は、人種的にはアラミゴ人ではあるが、帝国人として振る舞ってきた。多くのアラミゴ人にとって、彼女たちは同族殺しと映るだろうね。			復讐と正義							
敵ではあるが、捕虜を引きずり出して八つ裂きだなんて、いい気持ちのする言葉じゃあないぜ……。			敵ではあるが、捕虜を引きずり出して八つ裂きだなんて、いい気持ちのする言葉じゃあないぜ……。			復讐と正義							
20年間の帝国支配によって、積もってきた恨みを思えば、騒ぎ立てるのも、わからなくもないのだが……。なかなかどうして、頭が痛い話だ。			20年間の帝国支配によって、積もってきた恨みを思えば、騒ぎ立てるのも、わからなくもないのだが……。なかなかどうして、頭が痛い話だ。			復讐と正義							
ラウバーン局長の言葉には力がありますね。市民たちを解散させてくれて、本当に助かりました……。			ラウバーン局長の言葉には力がありますね。市民たちを解散させてくれて、本当に助かりました……。			復讐と正義							
許可の無い方の立ち入りは禁止されておりますッ！			許可の無い方の立ち入りは禁止されておりますッ！			復讐と正義							
……ありがとう、ラウバーン。怒っている人たちの声を聞いたら、なんだか呑まれちゃって……。			……ありがとう、ラウバーン。怒っている人たちの声を聞いたら、なんだか呑まれちゃって……。			復讐と正義							
難しい問題だな。彼らが抱く怒りは、アラミゴ奪還に向けた戦意の源でもあった。目的が達成された今、その感情が無節操な私刑に向かいつつある。			難しい問題だな。彼らが抱く怒りは、アラミゴ奪還に向けた戦意の源でもあった。目的が達成された今、その感情が無節操な私刑に向かいつつある。			復讐と正義							
はい……。今回の騒動以外にも、各地で私刑の動きが見られるんです。			はい……。今回の騒動以外にも、各地で私刑の動きが見られるんです。			復讐と正義							
帝国統治下で、帝国人たちに取り入ることで、利益を得ていた人たちが、売国奴と呼ばれて非難されていて……。暴力沙汰も、何件か報告されているのが現状です。			帝国統治下で、帝国人たちに取り入ることで、利益を得ていた人たちが、売国奴と呼ばれて非難されていて……。暴力沙汰も、何件か報告されているのが現状です。			復讐と正義							
ゼノスをはじめとする帝国軍の将兵たちを埋葬した墓まで、荒らされたという話もあるくらいで……。			ゼノスをはじめとする帝国軍の将兵たちを埋葬した墓まで、荒らされたという話もあるくらいで……。			復讐と正義							
ギラバニアに生きるすべての人たちが、種族や性別、出身にかかわらず、協力する国を造りたい。そんな理想を掲げてみても、現実は厳しいね……。			ギラバニアに生きるすべての人たちが、種族や性別、出身にかかわらず、協力する国を造りたい。そんな理想を掲げてみても、現実は厳しいね……。			復讐と正義							
でも、沈んでばかりはいられない。これからアラミゴを、どんな体制の国にするのかを決めるため、代表者会議が開催されるんだから……！			でも、沈んでばかりはいられない。これからアラミゴを、どんな体制の国にするのかを決めるため、代表者会議が開催されるんだから……！			復讐と正義							
代表者会議……？			代表者会議……？			復讐と正義							
ええ、アラミゴ都市内だけではなく、各地の集落や、ギラバニアの外に逃れていた難民たちに、代表者を派遣してもらって、国造りについて話し合うんだ。			ええ、アラミゴ都市内だけではなく、各地の集落や、ギラバニアの外に逃れていた難民たちに、代表者を派遣してもらって、国造りについて話し合うんだ。			復讐と正義							
もちろん、アナンタ族やキキルン族といった、獣人種族に対しても、参加を呼びかけているよ。			もちろん、アナンタ族やキキルン族といった、獣人種族に対しても、参加を呼びかけているよ。			復讐と正義							
この会議だけは、何としても成功させねばならん。アラミゴという国の未来を左右する、大切な時期だからこそ、フォルドラの処遇を巡って、対立が広がるのは避けたいところだな。			この会議だけは、何としても成功させねばならん。アラミゴという国の未来を左右する、大切な時期だからこそ、フォルドラの処遇を巡って、対立が広がるのは避けたいところだな。			復讐と正義							
ただ、フォルドラのことですが、これまでの行動から、処刑を求める意見もわかるんです。何より、獄中の彼女自身が死刑を求めていますし……。			ただ、フォルドラのことですが、これまでの行動から、処刑を求める意見もわかるんです。何より、獄中の彼女自身が死刑を求めていますし……。			復讐と正義							
ナーゴ！それはしないって、言ったはずでしょう！？			ナーゴ！それはしないって、言ったはずでしょう！？			復讐と正義							
彼女を処刑すれば、みんなの気持ちが鎮まるかもしれない。でも、死と恐怖で国を導いてしまったら、廃王テオドリックや、ゼノスと何も変わりがなくなってしまう。			彼女を処刑すれば、みんなの気持ちが鎮まるかもしれない。でも、死と恐怖で国を導いてしまったら、廃王テオドリックや、ゼノスと何も変わりがなくなってしまう。			復讐と正義							
なぁ、フォルドラと面会させてくれないか？俺は戦いの最中で、彼女の過去を垣間見ているんだ。			なぁ、フォルドラと面会させてくれないか？俺は戦いの最中で、彼女の過去を垣間見ているんだ。			復讐と正義							
彼女がやってきた行為は、もちろん許せないものだろう。とはいえ、生まれついた時代に翻弄された部分だって、確かにあったはずだから……俺は…………。			彼女がやってきた行為は、もちろん許せないものだろう。とはいえ、生まれついた時代に翻弄された部分だって、確かにあったはずだから……俺は…………。			復讐と正義							
……わかった。面会するつもりなら、「捕虜収容所の衛兵」に声をかけて。アタシも彼女と話してみたいから、同行させてもらうわ。			……わかった。面会するつもりなら、「捕虜収容所の衛兵」に声をかけて。アタシも彼女と話してみたいから、同行させてもらうわ。			復讐と正義							
それでは吾輩は、任務に戻るとしよう。件のフォルドラが処置を受けた、研究所の調査の途中だったのでな。難しい局面だが、あまり感情に流されぬよう気を付けるのだぞ。			それでは吾輩は、任務に戻るとしよう。件のフォルドラが処置を受けた、研究所の調査の途中だったのでな。難しい局面だが、あまり感情に流されぬよう気を付けるのだぞ。			復讐と正義							
面会には、私も同行させてもらうよ。			面会には、私も同行させてもらうよ。			復讐と正義							
……フォルドラの味方をしたいってわけじゃない。だけど、自分から処刑を求めるなんて……。			……フォルドラの味方をしたいってわけじゃない。だけど、自分から処刑を求めるなんて……。			復讐と正義							
フォルドラに面会するつもりなら、「捕虜収容所の衛兵」に声をかけて。			フォルドラに面会するつもりなら、「捕虜収容所の衛兵」に声をかけて。			復讐と正義							
私は、警備の方に回ります。メッフリッドやコンラッド隊長の仇を目の前にして、冷静にしていられる自信、ありませんから……。			私は、警備の方に回ります。メッフリッドやコンラッド隊長の仇を目の前にして、冷静にしていられる自信、ありませんから……。			復讐と正義							
捕虜との面会でありますか？			捕虜との面会でありますか？			復讐と正義							
捕虜収容所に入る？			捕虜収容所に入る？			復讐と正義							
コロセウムのナナモ・ウル・ナモは、過去に思いを馳せているようだ。			コロセウムのナナモ・ウル・ナモは、過去に思いを馳せているようだ。			ナナモの本気							
アルダネス聖櫃堂のナナモ・ウル・ナモと話す			アルダネス聖櫃堂のナナモ・ウル・ナモと話す			ナナモの本気							
ウルダハ・ランディングのナナモ・ウル・ナモと話す			ウルダハ・ランディングのナナモ・ウル・ナモと話す			ナナモの本気							
ゴールドソーサーのナナモ・ウル・ナモと話す			ゴールドソーサーのナナモ・ウル・ナモと話す			ナナモの本気							
ナナモ・ウル・ナモと話す			ナナモ・ウル・ナモと話す			ナナモの本気							
さて、また移動してもよいか？そろそろ王宮内でも、わらわの不在が露見していよう。近衛騎士に見つかる前に、行っておきたい場所があるのだ。			さて、また移動してもよいか？そろそろ王宮内でも、わらわの不在が露見していよう。近衛騎士に見つかる前に、行っておきたい場所があるのだ。			ナナモの本気							
目的地は「アルダネス聖櫃堂」。さあ、参ろうぞ！			目的地は「アルダネス聖櫃堂」。さあ、参ろうぞ！			ナナモの本気							
5年前の第七霊災の折……ラウバーン率いるエオルゼア同盟軍が、カルテノー平原で戦っていた時、わらわはここにいた。			5年前の第七霊災の折……ラウバーン率いるエオルゼア同盟軍が、カルテノー平原で戦っていた時、わらわはここにいた。			ナナモの本気							
賢者ルイゾワが行った「神降ろし」の力とすべく、ザル神に、祈りを捧げていたのじゃ。			賢者ルイゾワが行った「神降ろし」の力とすべく、ザル神に、祈りを捧げていたのじゃ。			ナナモの本気							
その日以来、王宮を抜け出すたびに聖櫃堂を訪れては、ウルダハの守護神に加護を願いつつ、自問自答をしておる。わらわは、女王としての務めを果たせているのかと……。			その日以来、王宮を抜け出すたびに聖櫃堂を訪れては、ウルダハの守護神に加護を願いつつ、自問自答をしておる。わらわは、女王としての務めを果たせているのかと……。			ナナモの本気							
では、王とは何か……。そなたが数々の戦いの先頭に立ってきたように、危機にあって人々を導く度量こそ、王の器であろう。			では、王とは何か……。そなたが数々の戦いの先頭に立ってきたように、危機にあって人々を導く度量こそ、王の器であろう。			ナナモの本気							
なればこそ、ウルダハが直面する危機から、目を背けてはいられまいな……。			なればこそ、ウルダハが直面する危機から、目を背けてはいられまいな……。			ナナモの本気							
決めたぞ、Forename。アラミゴ奪還が成った今だからこそ、わらわは女王として、難民問題に正面から取り組むこととする！			決めたぞ、Forename。アラミゴ奪還が成った今だからこそ、わらわは女王として、難民問題に正面から取り組むこととする！			ナナモの本気							
すでに一部のアラミゴ難民は、故郷への帰還のため、動き出していると聞く。			すでに一部のアラミゴ難民は、故郷への帰還のため、動き出していると聞く。			ナナモの本気							
わらわが、彼らアラミゴの民のため、職人養成塾を開いたことは、そなたは知っておるな？だが、その成果が出るには時間が必要じゃ。			わらわが、彼らアラミゴの民のため、職人養成塾を開いたことは、そなたは知っておるな？だが、その成果が出るには時間が必要じゃ。			ナナモの本気							
わらわとしても、彼らアラミゴの民のため、職人養成塾の開設に向けて、個人として動いてはおる。だが、その成果が出るには時間が必要じゃ。			わらわとしても、彼らアラミゴの民のため、職人養成塾の開設に向けて、個人として動いてはおる。だが、その成果が出るには時間が必要じゃ。			ナナモの本気							
故郷へ帰ろうとする難民にとって、住む場所も糧を得るための職も、今すぐにいるもの……。これを、公費を投じて用意してやるのじゃ！			故郷へ帰ろうとする難民にとって、住む場所も糧を得るための職も、今すぐにいるもの……。これを、公費を投じて用意してやるのじゃ！			ナナモの本気							
しかし、どこから手を付ければよいのかとなると、わらわには、見当も付かぬ……どうしたものか……。			しかし、どこから手を付ければよいのかとなると、わらわには、見当も付かぬ……どうしたものか……。			ナナモの本気							
何と答える？			何と答える？			ナナモの本気							
砂蠍衆に助言を求めるべき			砂蠍衆に助言を求めるべき			ナナモの本気							
難民の雇用に詳しい者に助言を求めるべき			難民の雇用に詳しい者に助言を求めるべき			ナナモの本気							
…………			…………			ナナモの本気							
なるほど、一理あるな。確か砂蠍衆に名を連ねる豪商、ゴッドベルトは、経営する遊技場で、多数のアラミゴ難民を雇用していたはずじゃ。			なるほど、一理あるな。確か砂蠍衆に名を連ねる豪商、ゴッドベルトは、経営する遊技場で、多数のアラミゴ難民を雇用していたはずじゃ。			ナナモの本気							
さしもの、そなたでも答えが出ぬか……。ならば、実際に多数のアラミゴ難民を雇用している者に……砂蠍衆に名を連ねる、ゴッドベルトに助言を求めよう。			さしもの、そなたでも答えが出ぬか……。ならば、実際に多数のアラミゴ難民を雇用している者に……砂蠍衆に名を連ねる、ゴッドベルトに助言を求めよう。			ナナモの本気							
ところで、そなたはゴッドベルトは知っておるか？			ところで、そなたはゴッドベルトは知っておるか？			ナナモの本気							
ほう、知り合いであったか！ならば話は早い、連絡を入れゴールドソーサーに赴くとしよう。確か「ウルダハ・ランディング」から定期船が出ていたはずじゃな。			ほう、知り合いであったか！ならば話は早い、連絡を入れゴールドソーサーに赴くとしよう。確か「ウルダハ・ランディング」から定期船が出ていたはずじゃな。			ナナモの本気							
ふむ、面識はないか……。ともかく、彼に連絡を入れゴールドソーサーに赴くとしよう。確か「ウルダハ・ランディング」から定期船が出ていたはずじゃな。			ふむ、面識はないか……。ともかく、彼に連絡を入れゴールドソーサーに赴くとしよう。確か「ウルダハ・ランディング」から定期船が出ていたはずじゃな。			ナナモの本気							
ウルダハ：ナル回廊にてレベル15から受注できるクエスト、「いざ、魅惑の遊技場へ」を受注または完了することで、「ゴールドソーサー」へ行くことができるようになります。			ウルダハ：ナル回廊にてレベル15から受注できるクエスト、「いざ、魅惑の遊技場へ」を受注または完了することで、「ゴールドソーサー」へ行くことができるようになります。			ナナモの本気							
いやはや楽しかった。やはり、遊技場「ゴールドソーサー」はいいですな！			いやはや楽しかった。やはり、遊技場「ゴールドソーサー」はいいですな！			ナナモの本気							
遊技場「ゴールドソーサー」に行ったことはありますかな？もしもないなら、ナル回廊にいる「羽振りのいい若者」に、声をかけ、チケットをもらうとよろしいでしょう。			遊技場「ゴールドソーサー」に行ったことはありますかな？もしもないなら、ナル回廊にいる「羽振りのいい若者」に、声をかけ、チケットをもらうとよろしいでしょう。			ナナモの本気							
ウルダハ：ナル回廊にてレベル15から受注できるクエスト、「いざ、魅惑の遊技場へ」を受注または完了することで、「ゴールドソーサー」へ行くことができるようになります。			ウルダハ：ナル回廊にてレベル15から受注できるクエスト、「いざ、魅惑の遊技場へ」を受注または完了することで、「ゴールドソーサー」へ行くことができるようになります。			ナナモの本気							
公用で飛空艇に乗ることはあっても、遊技場「ゴールドソーサー」に行くのは、はじめてじゃ。さあさあ、参ろうぞ！			公用で飛空艇に乗ることはあっても、遊技場「ゴールドソーサー」に行くのは、はじめてじゃ。さあさあ、参ろうぞ！			ナナモの本気							
