レヴナンツトールの異国風の男は、冒険者に紹介したい仕事があるようだ。			レヴナンツトールの異国風の男は、冒険者に紹介したい仕事があるようだ。			古代アラグ文明の遺産							
彼らは、ザンデの凶行を……世界を案じていた。だから、クローンのひとつにすぎなかった私たちに、戦うための心をくれた。			彼らは、ザンデの凶行を……世界を案じていた。だから、クローンのひとつにすぎなかった私たちに、戦うための心をくれた。			シルクスの塔							
だが、この使命は、僕らだけでは成しえない。クリスタルタワーとともに目覚めた僕らは、ずっと待ち続けていたんだ。			だが、この使命は、僕らだけでは成しえない。クリスタルタワーとともに目覚めた僕らは、ずっと待ち続けていたんだ。			シルクスの塔							
古代の民の迷宮を乗り越えて、ザンデの闇を振り払う「光の戦士」がやってくるのを……！			古代の民の迷宮を乗り越えて、ザンデの闇を振り払う「光の戦士」がやってくるのを……！			シルクスの塔							
……俺たちの調査は、ずっと見られてたってわけだ。なるほど、委員会の存在を知ってたのにも、納得だぜ。			……俺たちの調査は、ずっと見られてたってわけだ。なるほど、委員会の存在を知ってたのにも、納得だぜ。			シルクスの塔							
さて……どうする、Forename？今のうちにザンデとやらを倒さなければ、調査どころか、世界の危機らしいが？			さて……どうする、Forename？今のうちにザンデとやらを倒さなければ、調査どころか、世界の危機らしいが？			シルクスの塔							
力を貸してくれるんだな。ありがたい……ともに、アラグの闇の歴史を終わらせよう。			力を貸してくれるんだな。ありがたい……ともに、アラグの闇の歴史を終わらせよう。			シルクスの塔							
我々はクリスタルタワーの調査を続けてきた。だが、聞いてのとおり、その危険性は明らかだ。			我々はクリスタルタワーの調査を続けてきた。だが、聞いてのとおり、その危険性は明らかだ。			シルクスの塔							
シドも、我々聖コイナク財団も、遺産が悲劇を起こすことを望んではいない。ゆえにノアの使命を、調査から「封印」へと移行する。			シドも、我々聖コイナク財団も、遺産が悲劇を起こすことを望んではいない。ゆえにノアの使命を、調査から「封印」へと移行する。			シルクスの塔							
これより、クリスタルタワーの中枢、「シルクスの塔」へ突入し、封印を試みるぞ！			これより、クリスタルタワーの中枢、「シルクスの塔」へ突入し、封印を試みるぞ！			シルクスの塔							
先鋒は、Surname率いる冒険者部隊だ。防衛機構と始皇帝ザンデを突破し、塔内の脅威を排除してほしい。			先鋒は、Surname率いる冒険者部隊だ。防衛機構と始皇帝ザンデを突破し、塔内の脅威を排除してほしい。			シルクスの塔							
その他の人員は、冒険者部隊の任務完了に備え、クリスタルタワー封印の準備をすすめてくれ！			その他の人員は、冒険者部隊の任務完了に備え、クリスタルタワー封印の準備をすすめてくれ！			シルクスの塔							
な、なあ……。あんたたちの眼と、オレの眼が同じなら、オレもクローンってことなのかな……。			な、なあ……。あんたたちの眼と、オレの眼が同じなら、オレもクローンってことなのかな……。			シルクスの塔							
その眼は、親から継いだといったな。……僕ら人造生命体は、子を残すことができない。だから、クローンの血族という線はないだろう。			その眼は、親から継いだといったな。……僕ら人造生命体は、子を残すことができない。だから、クローンの血族という線はないだろう。			シルクスの塔							
お前はその眼を「紅血の魔眼」と呼んだが、僕らは「皇血の魔眼」と呼んでいた。アラグ人の中でも、皇族に近しい者のみが有した特徴だ。			お前はその眼を「紅血の魔眼」と呼んだが、僕らは「皇血の魔眼」と呼んでいた。アラグ人の中でも、皇族に近しい者のみが有した特徴だ。			シルクスの塔							
それを不自然に継承してきたとあれば、確かに、何か意味のあることなのだろう……。			それを不自然に継承してきたとあれば、確かに、何か意味のあることなのだろう……。			シルクスの塔							
そこにきっと、お前の運命が待っている。			そこにきっと、お前の運命が待っている。			シルクスの塔							
歴史にこそ残っていないだろうけれど、私たちの元となったアラグの皇族……オリジナルのウネとドーガは、それは聡明な方々だった。			歴史にこそ残っていないだろうけれど、私たちの元となったアラグの皇族……オリジナルのウネとドーガは、それは聡明な方々だった。			シルクスの塔							
復活したザンデに王座を譲りながらも、「闇の力」で繁栄していく帝国の未来を案じ、私たちに、知恵と心をわけてくださったんだ。			復活したザンデに王座を譲りながらも、「闇の力」で繁栄していく帝国の未来を案じ、私たちに、知恵と心をわけてくださったんだ。			シルクスの塔							
あの方々だったら、あるいは……数千年先に、あんたのような「光の戦士」が現れることも、見抜いてらっしゃったのかもしれないね。			あの方々だったら、あるいは……数千年先に、あんたのような「光の戦士」が現れることも、見抜いてらっしゃったのかもしれないね。			シルクスの塔							
シルクスの塔の中には、おそらく僕らと同じ姿をした、クローンがいる……。だが、その姿に惑わされてはいけない。			シルクスの塔の中には、おそらく僕らと同じ姿をした、クローンがいる……。だが、その姿に惑わされてはいけない。			シルクスの塔							
彼らは、自我を持たぬ傀儡にすぎないのだ。「クリスタルタワーを守れ」という命令を遂行するために、侵入者たる君たちに襲い掛かってくるだろう。			彼らは、自我を持たぬ傀儡にすぎないのだ。「クリスタルタワーを守れ」という命令を遂行するために、侵入者たる君たちに襲い掛かってくるだろう。			シルクスの塔							
本来、自分と「同じもの」である存在が倒されるのは、もちろん好ましい光景ではない……。それでも、情け容赦は無用だ。			本来、自分と「同じもの」である存在が倒されるのは、もちろん好ましい光景ではない……。それでも、情け容赦は無用だ。			シルクスの塔							
強大な支配力をもつ帝国に、卓越した技術……人のために育んだはずのものが、人の心を腐らせるんだ。……歴史は繰り返す、か。			強大な支配力をもつ帝国に、卓越した技術……人のために育んだはずのものが、人の心を腐らせるんだ。……歴史は繰り返す、か。			シルクスの塔							
ネロなら、ヤボ用だとかで、どっか行っちまったぞ。勝手についてきたり離れたり、何を考えてるんだか……。			ネロなら、ヤボ用だとかで、どっか行っちまったぞ。勝手についてきたり離れたり、何を考えてるんだか……。			シルクスの塔							
今回、オイラとビッグスは、裏方の裏方にまわるッス！冒険者部隊がシルクスの塔でドンパチしている間に、古代の民の迷宮に異変がないか見てくるッス！			今回、オイラとビッグスは、裏方の裏方にまわるッス！冒険者部隊がシルクスの塔でドンパチしている間に、古代の民の迷宮に異変がないか見てくるッス！			シルクスの塔							
ん？　大丈夫かって？……わるいな、余計な心配かけちまって。考えても仕方ねーし、今は気にしないでおくさ！			ん？　大丈夫かって？……わるいな、余計な心配かけちまって。考えても仕方ねーし、今は気にしないでおくさ！			シルクスの塔							
それよりも、「シルクスの塔」への突入だ！			それよりも、「シルクスの塔」への突入だ！			シルクスの塔							
あんたがザンデをぶっとばして、オレたちでクリスタルタワーを封印するんだ。気ぃ引き締めて、頼むぜ！			あんたがザンデをぶっとばして、オレたちでクリスタルタワーを封印するんだ。気ぃ引き締めて、頼むぜ！			シルクスの塔							
オレの運命か……いまいちピンとこないが、ひとつだけわかることがあるぜ。何を進めるにも、あんたに勝ってもらわなきゃってことさ！			オレの運命か……いまいちピンとこないが、ひとつだけわかることがあるぜ。何を進めるにも、あんたに勝ってもらわなきゃってことさ！			シルクスの塔							
おーい、Forename！			おーい、Forename！			シルクスの塔							
始皇帝ザンデを倒したんだな！すげーよ、あんたやっぱりタダモノじゃねー！			始皇帝ザンデを倒したんだな！すげーよ、あんたやっぱりタダモノじゃねー！			シルクスの塔							
ああ、本当に……。アラグの技術が失われても、人の強さは、失われていなかったようだ。			ああ、本当に……。アラグの技術が失われても、人の強さは、失われていなかったようだ。			シルクスの塔							
これで、ザンデが遺した禍根を断てる。お前は、僕らが何千年も待ち続けた、悲願の英雄だ……！			これで、ザンデが遺した禍根を断てる。お前は、僕らが何千年も待ち続けた、悲願の英雄だ……！			シルクスの塔							
……その鎧。今さら引っぱりだしてきて、何を企んでいる？			……その鎧。今さら引っぱりだしてきて、何を企んでいる？			シルクスの塔							
念のため、塔内の危険に備えただけだ。お前たちに壊された鎧でも、着ないよりはマシだからな。……もっとオレを信じろよ、シド。			念のため、塔内の危険に備えただけだ。お前たちに壊された鎧でも、着ないよりはマシだからな。……もっとオレを信じろよ、シド。			シルクスの塔							
ま、オレのことは気にすンな。早いとこ、クリスタルタワーを封印するがいいさ。			ま、オレのことは気にすンな。早いとこ、クリスタルタワーを封印するがいいさ。			シルクスの塔							
それじゃあ、やることをやってしまおうかね。……封印といっても、方法はいろいろあるんだ。			それじゃあ、やることをやってしまおうかね。……封印といっても、方法はいろいろあるんだ。			シルクスの塔							
クリスタルタワーを外界から封鎖するのか、あるいは動力を落とすのか……そのあたりは任せるよ。いずれにせよ、私たちの出番が先だ。			クリスタルタワーを外界から封鎖するのか、あるいは動力を落とすのか……そのあたりは任せるよ。いずれにせよ、私たちの出番が先だ。			シルクスの塔							
何をするんだ……？その黒い歪みに、何かあるのか？			何をするんだ……？その黒い歪みに、何かあるのか？			シルクスの塔							
……ザンデは、「闇の力」を求めたといっただろう？「闇の力」というのはね、この世界に隣接している異界……「ヴォイド」から引き出されるんだ。			……ザンデは、「闇の力」を求めたといっただろう？「闇の力」というのはね、この世界に隣接している異界……「ヴォイド」から引き出されるんだ。			シルクスの塔							
私たちの時代、そこは「闇の世界」と呼ばれていた。ザンデが世界統一のために得ようとしたのは、闇の世界の勢力……妖異の軍勢だったのさ。			私たちの時代、そこは「闇の世界」と呼ばれていた。ザンデが世界統一のために得ようとしたのは、闇の世界の勢力……妖異の軍勢だったのさ。			シルクスの塔							
妖異は、餌であるエーテルが豊富な、この世界を狙っている。そこでザンデは、彼らと血の契約を交わした。			妖異は、餌であるエーテルが豊富な、この世界を狙っている。そこでザンデは、彼らと血の契約を交わした。			シルクスの塔							
こちらと異界をつなげる「門」を開くかわりに、皇帝の血脈に従い、力と繁栄をもたらせ……とな。			こちらと異界をつなげる「門」を開くかわりに、皇帝の血脈に従い、力と繁栄をもたらせ……とな。			シルクスの塔							
その契約は、今でも続いている。だが、クローンであれ皇族の血をひく僕らなら、契約を破棄できるだろう。			その契約は、今でも続いている。だが、クローンであれ皇族の血をひく僕らなら、契約を破棄できるだろう。			シルクスの塔							
この場所に生じている世界の裂け目から、闇の世界に、僕らの血を刻むんだ。そうすることで、ザンデの野望を終わらせられる。			この場所に生じている世界の裂け目から、闇の世界に、僕らの血を刻むんだ。そうすることで、ザンデの野望を終わらせられる。			シルクスの塔							
さあ、ウネ……。			さあ、ウネ……。			シルクスの塔							
わかってるよ、ドーガ。やっと……私たちの役目を果たせるね……。			わかってるよ、ドーガ。やっと……私たちの役目を果たせるね……。			シルクスの塔							
クク……ククククク…………ハハハハハハッ！			クク……ククククク…………ハハハハハハッ！			シルクスの塔							
そうだよなぁ、そうこなくちゃなぁッ！本当にこのまま終わるのかと、内心ヒヤヒヤしたぜ？			そうだよなぁ、そうこなくちゃなぁッ！本当にこのまま終わるのかと、内心ヒヤヒヤしたぜ？			シルクスの塔							
オレがクリスタルタワー上部に観測した反応は、あの「アルテマウェポン」以上のものだった。そう、始皇帝なんて、ちゃちなもンじゃあないッ！			オレがクリスタルタワー上部に観測した反応は、あの「アルテマウェポン」以上のものだった。そう、始皇帝なんて、ちゃちなもンじゃあないッ！			シルクスの塔							
何だとッ……！？			何だとッ……！？			シルクスの塔							
(-？？？？-)古き契約……決して破らせはせんぞ……。			(-？？？？-)古き契約……決して破らせはせんぞ……。			シルクスの塔							
メラシディアを平定した今、我が軍に敗北はなし……。「闇の力」も加われば、統一は遠からず現実となろう。			メラシディアを平定した今、我が軍に敗北はなし……。「闇の力」も加われば、統一は遠からず現実となろう。			シルクスの塔							
しかし……。望むものを得るほどに、死の記憶がよぎる……。かつて私に訪れた死は、一切の無であった。			しかし……。望むものを得るほどに、死の記憶がよぎる……。かつて私に訪れた死は、一切の無であった。			シルクスの塔							
幾度うつつに蘇ろうとも、先にはただ、死あるのみ。「人の命」という枷からは、逃れられぬ宿命か……。			幾度うつつに蘇ろうとも、先にはただ、死あるのみ。「人の命」という枷からは、逃れられぬ宿命か……。			シルクスの塔							
人造の命よ……意志なき魂よ……。貴様らにはわかるまい。私の怒りも、倦怠も……この、底知れぬ恐怖さえ。			人造の命よ……意志なき魂よ……。貴様らにはわかるまい。私の怒りも、倦怠も……この、底知れぬ恐怖さえ。			シルクスの塔							
いずれ無となる命に、富や名声など不要。世界のすべてを無に還す……それこそが、唯一絶対の覇道といえよう。			いずれ無となる命に、富や名声など不要。世界のすべてを無に還す……それこそが、唯一絶対の覇道といえよう。			シルクスの塔							
……力を集め、さらなる門を開くのだ。さすれば「暗闇の雲」が満ち、この世界を覆うであろう。			……力を集め、さらなる門を開くのだ。さすれば「暗闇の雲」が満ち、この世界を覆うであろう。			シルクスの塔							
雲は、この世のすべてを食らう。わずかな希望すら残さずに、世界を原初の無に還すのだ。我が命と……同じように…………。			雲は、この世のすべてを食らう。わずかな希望すら残さずに、世界を原初の無に還すのだ。我が命と……同じように…………。			シルクスの塔							
どうしたんだよ、あんたらしくもない！			どうしたんだよ、あんたらしくもない！			シルクスの塔							
くそッ、キリがねー！いったい何が起きて……			くそッ、キリがねー！いったい何が起きて……			シルクスの塔							
くッ！？　なん、で……！また……眼がッ…………！			くッ！？　なん、で……！また……眼がッ…………！			シルクスの塔							
おい、ネロ！これもお前の予想どおりか！？			おい、ネロ！これもお前の予想どおりか！？			シルクスの塔							
馬鹿いえ！たかだかクローンと戯れるために、お前たちと、お仲間ごっこまでするもンかよ！			馬鹿いえ！たかだかクローンと戯れるために、お前たちと、お仲間ごっこまでするもンかよ！			シルクスの塔							
……何かが、こいつらを動かしてやがる。恐らくは妖異だ……それも最上位のな……。やはり、あの反応の正体は……！			……何かが、こいつらを動かしてやがる。恐らくは妖異だ……それも最上位のな……。やはり、あの反応の正体は……！			シルクスの塔							
ああ、ドーガッ！			ああ、ドーガッ！			シルクスの塔							
チッ……！あいつらを持ってかれたら、「闇の力」を御せなくなる！			チッ……！あいつらを持ってかれたら、「闇の力」を御せなくなる！			シルクスの塔							
ザンデが契約を交わした、究極の力……手に入れるのは、このオレだ！			ザンデが契約を交わした、究極の力……手に入れるのは、このオレだ！			シルクスの塔							
ネロッ！！			ネロッ！！			シルクスの塔							
(-？？？？-)すべてを闇に包み……そして、光も闇も無に還す……。			(-？？？？-)すべてを闇に包み……そして、光も闇も無に還す……。			シルクスの塔							
(-暗闇の雲-)私は、暗闇の雲……。契約はいずれ、必ず果たそうぞ……。			(-暗闇の雲-)私は、暗闇の雲……。契約はいずれ、必ず果たそうぞ……。			シルクスの塔							
くそ、ネロの奴まで……。駄目だ……ゲートが閉じちまった。			くそ、ネロの奴まで……。駄目だ……ゲートが閉じちまった。			シルクスの塔							
これじゃあ、追いかけようにも方法がない……。一度、調査地に戻って、ラムブルースに協力を要請しよう。			これじゃあ、追いかけようにも方法がない……。一度、調査地に戻って、ラムブルースに協力を要請しよう。			シルクスの塔							
…………悪い、なんだか頭まではっきりしねー。何かすごく大事なことを、思い出さなきゃいけないような……。			…………悪い、なんだか頭まではっきりしねー。何かすごく大事なことを、思い出さなきゃいけないような……。			シルクスの塔							
……後悔していても仕方ない。ネロたちのこと、ラムブルースに相談してみよう。			……後悔していても仕方ない。ネロたちのこと、ラムブルースに相談してみよう。			シルクスの塔							
俺たちへの気遣いはいいから、話をしてきたらどうだ。事情は、あとで親方から聞いておくさ。			俺たちへの気遣いはいいから、話をしてきたらどうだ。事情は、あとで親方から聞いておくさ。			シルクスの塔							
みんな、暗い顔してるッス。何かあったッス……？			みんな、暗い顔してるッス。何かあったッス……？			シルクスの塔							
なんと……。シルクスの塔で、そんなことが……。			なんと……。シルクスの塔で、そんなことが……。			シルクスの塔							
……しかし、わかってきたぞ。玉座の前に出現したのは、恐らく、この世界と異界をつなぐ門「ヴォイドゲート」だ。			……しかし、わかってきたぞ。玉座の前に出現したのは、恐らく、この世界と異界をつなぐ門「ヴォイドゲート」だ。			シルクスの塔							
妖異をこちらの世界に招きいれる場合、高位の妖異であるほど、大規模なヴォイドゲートを要するという……。			妖異をこちらの世界に招きいれる場合、高位の妖異であるほど、大規模なヴォイドゲートを要するという……。			シルクスの塔							
ザンデは、クリスタルタワーの生み出す力を使って、超巨大なヴォイドゲートを開こうとしたのだろう。……その「暗闇の雲」という妖異のために。			ザンデは、クリスタルタワーの生み出す力を使って、超巨大なヴォイドゲートを開こうとしたのだろう。……その「暗闇の雲」という妖異のために。			シルクスの塔							
幸い、今回はゲートが開ききらなかったようだが……。暗闇の雲……それほどの妖異ということか……。			幸い、今回はゲートが開ききらなかったようだが……。暗闇の雲……それほどの妖異ということか……。			シルクスの塔							
敵が何であれ、あいつらを拐われたままにはしておけない。どうにか助ける方法はないのか！？			敵が何であれ、あいつらを拐われたままにはしておけない。どうにか助ける方法はないのか！？			シルクスの塔							
残念だが……異界ヴォイドには、踏み込むことができない。			残念だが……異界ヴォイドには、踏み込むことができない。			シルクスの塔							
妖異召喚の例はいくつでもあるが、その逆となると、成功例を聞いたことがない。拐われた3人が、生きているのかさえ……。			妖異召喚の例はいくつでもあるが、その逆となると、成功例を聞いたことがない。拐われた3人が、生きているのかさえ……。			シルクスの塔							
くそ……。諦めるしかないのか……？			くそ……。諦めるしかないのか……？			シルクスの塔							
……それでもオレは、ウネとドーガを助けたい。			……それでもオレは、ウネとドーガを助けたい。			シルクスの塔							
同じ眼だから同情してるわけじゃねー。ただ、あいつらが数千年前から大事に抱えてた使命を、果たさせてやりたいんだ。			同じ眼だから同情してるわけじゃねー。ただ、あいつらが数千年前から大事に抱えてた使命を、果たさせてやりたいんだ。			シルクスの塔							
それに……。			それに……。			シルクスの塔							
……このままじゃ駄目だ。どうしても、そんな気がする……。			……このままじゃ駄目だ。どうしても、そんな気がする……。			シルクスの塔							
契約が破棄されなければ、暗闇の雲は、いずれこの世界に現れる……。世界に闇が氾濫する……その前に……止めないと……。			契約が破棄されなければ、暗闇の雲は、いずれこの世界に現れる……。世界に闇が氾濫する……その前に……止めないと……。			シルクスの塔							
……グ・ラハ・ティア。ドーガたちに会ってから、あなたは様子がおかしい。その眼、やはり何かあるのでは……？			……グ・ラハ・ティア。ドーガたちに会ってから、あなたは様子がおかしい。その眼、やはり何かあるのでは……？			シルクスの塔							
わからねー。……ただ、どうしても……何かを思い出さなきゃならない気がするんだ……。			わからねー。……ただ、どうしても……何かを思い出さなきゃならない気がするんだ……。			シルクスの塔							
眼の秘密はアラグにある……歴史から眼を離すな……それが、親父から受け継いだ言葉だ。でも、今は……まだ……。			眼の秘密はアラグにある……歴史から眼を離すな……それが、親父から受け継いだ言葉だ。でも、今は……まだ……。			シルクスの塔							
俺からも頼む。あいつらを助け出す方法を模索してみないか？			俺からも頼む。あいつらを助け出す方法を模索してみないか？			シルクスの塔							
ウネとドーガはもちろんだが……俺の旧友は、放っておくとタチが悪いんでな。連れ戻して、釘を刺しておく必要がある。			ウネとドーガはもちろんだが……俺の旧友は、放っておくとタチが悪いんでな。連れ戻して、釘を刺しておく必要がある。			シルクスの塔							
ほんの一時のこととはいえ、彼らは我々の優秀な仲間だった。私とて、失いたくない気持ちはある……。			ほんの一時のこととはいえ、彼らは我々の優秀な仲間だった。私とて、失いたくない気持ちはある……。			シルクスの塔							
……わかった。専門家をあたって、何か手が打てないか考えよう。			……わかった。専門家をあたって、何か手が打てないか考えよう。			シルクスの塔							
ただし、相手は闇の世界……。すぐにとはいかないだろうから、しばし時間がほしい。			ただし、相手は闇の世界……。すぐにとはいかないだろうから、しばし時間がほしい。			シルクスの塔							
Surname、協力に感謝する。君はしばし、休息をとってくれ。方法を見つけ次第、また力を借りることになるからな。			Surname、協力に感謝する。君はしばし、休息をとってくれ。方法を見つけ次第、また力を借りることになるからな。			シルクスの塔							
あいつらのこと、必ず連れ戻してやろうぜ！			あいつらのこと、必ず連れ戻してやろうぜ！			シルクスの塔							
調査団「ノア」のラムブルースは、冒険者に報告したいことがあるようだ。			調査団「ノア」のラムブルースは、冒険者に報告したいことがあるようだ。			闇の世界							
前回までの冒険録：調査団「ノア」は、クリスタルタワーの中枢である「シルクスの塔」の調査に乗り出した。開かずの扉に悪戦苦闘する最中、ウネとドーガを名乗る男女がノアに合流する。彼らの正体は、アラグ帝国に作られた皇族の複製品……「クローン」だった。ウネとドーガは、シルクスの塔の扉を開く代わりに、塔とともに目覚めたアラグ始皇帝「ザンデ」の討伐を依頼。冒険者の働きによって、蘇りし始皇帝の野望は潰えたかのように思えた。しかし、ザンデと妖異「暗闇の雲」が交わした契約を破棄しようと試みた瞬間、突如ヴォイドゲートが開き、ウネとドーガ、そして調査に加わっていたネロが「闇の世界」へと拐われてしまった。どうにか3人を救出したいと、道を模索するノア。一方で、アラグ皇族の特徴だという「紅血の魔眼」を宿すグ・ラハ・ティアにも、小さな異変が起きているのだった……。　　　　　　　　　　　　*　*　*ラムブルースたちから、闇の世界へ突入するための作戦が進んでいることを聞いた。モードゥナの八剣士の前庭にいる「ウェッジ」と話し、シルクスの塔へ向かおう。			前回までの冒険録：調査団「ノア」は、クリスタルタワーの中枢である「シルクスの塔」の調査に乗り出した。開かずの扉に悪戦苦闘する最中、ウネとドーガを名乗る男女がノアに合流する。彼らの正体は、アラグ帝国に作られた皇族の複製品……「クローン」だった。ウネとドーガは、シルクスの塔の扉を開く代わりに、塔とともに目覚めたアラグ始皇帝「ザンデ」の討伐を依頼。冒険者の働きによって、蘇りし始皇帝の野望は潰えたかのように思えた。しかし、ザンデと妖異「暗闇の雲」が交わした契約を破棄しようと試みた瞬間、突如ヴォイドゲートが開き、ウネとドーガ、そして調査に加わっていたネロが「闇の世界」へと拐われてしまった。どうにか3人を救出したいと、道を模索するノア。一方で、アラグ皇族の特徴だという「紅血の魔眼」を宿すグ・ラハ・ティアにも、小さな異変が起きているのだった……。　　　　　　　　　　　　*　*　*ラムブルースたちから、闇の世界へ突入するための作戦が進んでいることを聞いた。モードゥナの八剣士の前庭にいる「ウェッジ」と話し、シルクスの塔へ向かおう。			闇の世界							
ウェッジと話し、シルクスの塔へと通された。シドたちの実験は成功し、闇の世界に続くヴォイドゲートが開いたようだ。八剣士の前庭にいる「グ・ラハ・ティア」と話そう。			ウェッジと話し、シルクスの塔へと通された。シドたちの実験は成功し、闇の世界に続くヴォイドゲートが開いたようだ。八剣士の前庭にいる「グ・ラハ・ティア」と話そう。			闇の世界							
グ・ラハ・ティアと話した。彼とともに「闇の世界」へ向かい、暗闇の雲に拐われた3人を救出しよう。※コンテンツファインダーから攻略に参加できます。			グ・ラハ・ティアと話した。彼とともに「闇の世界」へ向かい、暗闇の雲に拐われた3人を救出しよう。※コンテンツファインダーから攻略に参加できます。			闇の世界							
闇の世界の最奥にて、暗闇の雲を討伐し、拐われた3人と再会した。冒険者たちに希望という心を託して、ザンデの結んだ契約を断つために残ったウネとドーガ。彼らのためにも、無事にモードゥナへ戻ろう。			闇の世界の最奥にて、暗闇の雲を討伐し、拐われた3人と再会した。冒険者たちに希望という心を託して、ザンデの結んだ契約を断つために残ったウネとドーガ。彼らのためにも、無事にモードゥナへ戻ろう。			闇の世界							
モードゥナに戻った。皇血を託されたグ・ラハ・ティアにより、クリスタルタワーが封印されるらしい。ひとまず、聖コイナク財団の調査地にいる「ラムブルース」と話そう。			モードゥナに戻った。皇血を託されたグ・ラハ・ティアにより、クリスタルタワーが封印されるらしい。ひとまず、聖コイナク財団の調査地にいる「ラムブルース」と話そう。			闇の世界							
ラムブルースに労われた。ついに、ノアの目的が果たされようとしている。クリスタルタワーを巡る、悠久の時を超えた物語は、いかなる終幕を迎えるのだろうか……。			ラムブルースに労われた。ついに、ノアの目的が果たされようとしている。クリスタルタワーを巡る、悠久の時を超えた物語は、いかなる終幕を迎えるのだろうか……。			闇の世界							
八剣士の前庭のウェッジと話す			八剣士の前庭のウェッジと話す			闇の世界							
八剣士の前庭のグ・ラハ・ティアと話す			八剣士の前庭のグ・ラハ・ティアと話す			闇の世界							
「クリスタルタワー：闇の世界」を攻略			「クリスタルタワー：闇の世界」を攻略			闇の世界							
ラムブルースと話す			ラムブルースと話す			闇の世界							
Surname、いいところに来てくれたな。君に報告しておかなければならないことがあるんだ。……あまり良い報告ではないのだがね。			Surname、いいところに来てくれたな。君に報告しておかなければならないことがあるんだ。……あまり良い報告ではないのだがね。			闇の世界							
「闇の世界」へ拐われた、ウネやドーガ、ネロにも関係する話だ。			「闇の世界」へ拐われた、ウネやドーガ、ネロにも関係する話だ。			闇の世界							
まず、前回の作戦について、思い出してくれ。あんたは「シルクスの塔」へと乗り込み、塔とともに目覚めた、アラグ始皇帝「ザンデ」を倒した。			まず、前回の作戦について、思い出してくれ。あんたは「シルクスの塔」へと乗り込み、塔とともに目覚めた、アラグ始皇帝「ザンデ」を倒した。			闇の世界							
だが、「闇の世界」へ続くヴォイドゲートが開き、ザンデと契約を結んだ妖異「暗闇の雲」によって、ウネたち3人が拐われたんだ……。			だが、「闇の世界」へ続くヴォイドゲートが開き、ザンデと契約を結んだ妖異「暗闇の雲」によって、ウネたち3人が拐われたんだ……。			闇の世界							
以来、我々、クリスタルタワー調査団「ノア」は、3人の救出法を模索してきたが……先ごろの調査で、新たな問題が判明した。			以来、我々、クリスタルタワー調査団「ノア」は、3人の救出法を模索してきたが……先ごろの調査で、新たな問題が判明した。			闇の世界							
クリスタルタワーは、ザンデを失った今も、ヴォイドゲートを開くために力を集積しているようなのだ。……未だ、ザンデの命令を果たそうとしているわけだな。			クリスタルタワーは、ザンデを失った今も、ヴォイドゲートを開くために力を集積しているようなのだ。……未だ、ザンデの命令を果たそうとしているわけだな。			闇の世界							
どうにか命令を変えられないかと苦心したが、かのタワーの制御には、アラグ皇族の血が不可欠だった。ウネとドーガが開けた、入口の扉と同じだよ。			どうにか命令を変えられないかと苦心したが、かのタワーの制御には、アラグ皇族の血が不可欠だった。ウネとドーガが開けた、入口の扉と同じだよ。			闇の世界							
まったく、面倒な機構にしたもんだぜ……。ネロの持ってきたアラガントームストーンによれば、アラグ帝国健在のころは、少し事情が違ってたらしいがな。			まったく、面倒な機構にしたもんだぜ……。ネロの持ってきたアラガントームストーンによれば、アラグ帝国健在のころは、少し事情が違ってたらしいがな。			闇の世界							
なんでも当時の皇族は、他者に血をわけあたえる術ってのを扱えたらしいぜ？アモンたち重臣は、それを受けて塔を制御してたらしい。			なんでも当時の皇族は、他者に血をわけあたえる術ってのを扱えたらしいぜ？アモンたち重臣は、それを受けて塔を制御してたらしい。			闇の世界							
……何にせよ、今の我々には皇血を宿す協力者がいない。このままでは、いずれ巨大なヴォイドゲートが開き、「暗闇の雲」がこちらの世界へとやってくるだろう……。			……何にせよ、今の我々には皇血を宿す協力者がいない。このままでは、いずれ巨大なヴォイドゲートが開き、「暗闇の雲」がこちらの世界へとやってくるだろう……。			闇の世界							
そうなる前に、ザンデが結んだという契約を破棄した上で、クリスタルタワーを停止させる必要がある。つまりは……完全に「封印」するのさ。			そうなる前に、ザンデが結んだという契約を破棄した上で、クリスタルタワーを停止させる必要がある。つまりは……完全に「封印」するのさ。			闇の世界							
契約を破棄するだけでは、集めた力の使い道を失ったクリスタルタワーが暴走し、「第四霊災」のような惨事を起こしかねないからね。			契約を破棄するだけでは、集めた力の使い道を失ったクリスタルタワーが暴走し、「第四霊災」のような惨事を起こしかねないからね。			闇の世界							
……我々に託されたのは、3人の命だけではないということだ。諦めれば、じき世界に未曽有の脅威が訪れる。必ずや、皇血を宿すウネとドーガを連れ帰らねば……！			……我々に託されたのは、3人の命だけではないということだ。諦めれば、じき世界に未曽有の脅威が訪れる。必ずや、皇血を宿すウネとドーガを連れ帰らねば……！			闇の世界							
なぁに、もとからあいつらを助けるつもりだったんだし、今さら気負う必要はねーさ。……それに、こいつは朗報でもあるんだぜ？			なぁに、もとからあいつらを助けるつもりだったんだし、今さら気負う必要はねーさ。……それに、こいつは朗報でもあるんだぜ？			闇の世界							
クリスタルタワーが、今もヴォイドゲートを開くために動作してるっていうなら……そいつを逆手にとって、「闇の世界」に行けるかもしれない。			クリスタルタワーが、今もヴォイドゲートを開くために動作してるっていうなら……そいつを逆手にとって、「闇の世界」に行けるかもしれない。			闇の世界							
