オールド・シャーレアンのネミングウェイは、周囲の様子を窺っているようだ。			オールド・シャーレアンのネミングウェイは、周囲の様子を窺っているようだ。			再会と、新たな計画！							
さっそく、宇宙船に搭乗なさいますか？出発の準備は整っていますよ。			さっそく、宇宙船に搭乗なさいますか？出発の準備は整っていますよ。			新たなる未知へ！							
惑星「UL96」へ移動しますか？			惑星「UL96」へ移動しますか？			新たなる未知へ！							
そうですか、どうぞお気兼ねなく。準備ができましたら、またお声がけください。			そうですか、どうぞお気兼ねなく。準備ができましたら、またお声がけください。			新たなる未知へ！							
それでは、どうぞ船内へとご搭乗ください。ワタシがご案内いたしましょう。			それでは、どうぞ船内へとご搭乗ください。ワタシがご案内いたしましょう。			新たなる未知へ！							
全乗員の搭乗を確認……			全乗員の搭乗を確認……			新たなる未知へ！							
下部浮行補助エンジン……作動よし。反重力機関、起動……！！			下部浮行補助エンジン……作動よし。反重力機関、起動……！！			新たなる未知へ！							
宙脈との同期を開始、目標、惑星「UL96」……座標固定、宙脈跳躍を開始します！			宙脈との同期を開始、目標、惑星「UL96」……座標固定、宙脈跳躍を開始します！			新たなる未知へ！							
エーテル体からの実体化に問題なし。宙脈跳躍に成功……！！乗員の皆さん、無事に到着ですよ！			エーテル体からの実体化に問題なし。宙脈跳躍に成功……！！乗員の皆さん、無事に到着ですよ！			新たなる未知へ！							
す、すごいや……！			す、すごいや……！			新たなる未知へ！							
連なるガラス質の山々と、まるでプリズムの偏光を溶かしたような大地……			連なるガラス質の山々と、まるでプリズムの偏光を溶かしたような大地……			新たなる未知へ！							
そうだねぇ…………			そうだねぇ…………			新たなる未知へ！							
この星の名前は、「輝ける者(パエンナ)」！			この星の名前は、「輝ける者(パエンナ)」！			新たなる未知へ！							
まばゆい彩りで包まれた、光り輝く惑星さ！			まばゆい彩りで包まれた、光り輝く惑星さ！			新たなる未知へ！							
うわ～っ、惑星に名前を付けちゃった！！まだホクホクした気分だよ、とっても感動的だったなー！			うわ～っ、惑星に名前を付けちゃった！！まだホクホクした気分だよ、とっても感動的だったなー！			新たなる未知へ！							
ここが、UL96あらため、「惑星パエンナ」ッス！			ここが、UL96あらため、「惑星パエンナ」ッス！			新たなる未知へ！							
ケイ素が豊富な星で、見てのとおり、地表の大半がガラス質……！鉱物資源の埋蔵量は、かなり豊富と見込まれているッス！			ケイ素が豊富な星で、見てのとおり、地表の大半がガラス質……！鉱物資源の埋蔵量は、かなり豊富と見込まれているッス！			新たなる未知へ！							
上空を漂流する高エーテル濃度の雲から、ときにガラスの雨や塵が降るくらい過酷な環境だけど……それだけエーテルは豊富で、独自の植生が育まれてるッスね！			上空を漂流する高エーテル濃度の雲から、ときにガラスの雨や塵が降るくらい過酷な環境だけど……それだけエーテルは豊富で、独自の植生が育まれてるッスね！			新たなる未知へ！							
もちろん、この辺り一帯は、先遣隊が設置したセントラルクリスタルの効力で、ヒトの活動に問題がない状態に調整済みッス！			もちろん、この辺り一帯は、先遣隊が設置したセントラルクリスタルの効力で、ヒトの活動に問題がない状態に調整済みッス！			新たなる未知へ！							
とはいえ、どんな危険があるのかは未知数……注意して探索にあたってほしいッス！			とはいえ、どんな危険があるのかは未知数……注意して探索にあたってほしいッス！			新たなる未知へ！							
もちろん、この辺り一帯は、設置済みのセントラルクリスタルの効力で、ヒトの活動に問題がない状態に調整済みッス！			もちろん、この辺り一帯は、設置済みのセントラルクリスタルの効力で、ヒトの活動に問題がない状態に調整済みッス！			新たなる未知へ！							
さらに、先に到着して活動してくれた協力者さんたちのおかげで、惑星の資源を活用して、いろんな施設が完成したッスよ！だけどキミたちの探索に油断は禁物……気を付けてほしいッス！			さらに、先に到着して活動してくれた協力者さんたちのおかげで、惑星の資源を活用して、いろんな施設が完成したッスよ！だけどキミたちの探索に油断は禁物……気を付けてほしいッス！			新たなる未知へ！							
わわわ、異星に来たって感じの環境だねぇ！アーテリスの常識は通じないって、肝に銘じて行動するよ……！			わわわ、異星に来たって感じの環境だねぇ！アーテリスの常識は通じないって、肝に銘じて行動するよ……！			新たなる未知へ！							
だけど、どうしてこの星を最初の探索目標に選んだの？確かに魅力的な星ではあるけど……。			だけど、どうしてこの星を最初の探索目標に選んだの？確かに魅力的な星ではあるけど……。			新たなる未知へ！							
いい質問ッスね！それには、オイラたちが乗ってきたギャラクティックウェイ号も、深く関係しているッスよ。			いい質問ッスね！それには、オイラたちが乗ってきたギャラクティックウェイ号も、深く関係しているッスよ。			新たなる未知へ！							
オイラたちの宇宙船は、実は跳躍可能な距離が短いッス。その上、宙脈の流れが通ってない場所にも行けないから、いきなり「大本命」の星に跳ぶのは無理！			オイラたちの宇宙船は、実は跳躍可能な距離が短いッス。その上、宙脈の流れが通ってない場所にも行けないから、いきなり「大本命」の星に跳ぶのは無理！			新たなる未知へ！							
でも、遠くにあるキャロットに手が届かないのであれば、ホップ、ステップと段階を踏んで、最後にジャンプ！いざキャロットに向かって跳びはねるッス～！			でも、遠くにあるキャロットに手が届かないのであれば、ホップ、ステップと段階を踏んで、最後にジャンプ！いざキャロットに向かって跳びはねるッス～！			新たなる未知へ！							
つまり、ここは計画の第一中継地……次のステップへ必要となる資源を集めることができるうえ、さらに遠くへの探索を見据えられる星として、選ばれたッスよ！			つまり、ここは計画の第一中継地……次のステップへ必要となる資源を集めることができるうえ、さらに遠くへの探索を見据えられる星として、選ばれたッスよ！			新たなる未知へ！							
Forenameさんは、月面での活動と同じく、タブレットを見ながらオイラたちに協力してほしいッス！新しいお知らせも更新してくッスからね。			Forenameさんは、月面での活動と同じく、タブレットを見ながらオイラたちに協力してほしいッス！新しいお知らせも更新してくッスからね。			新たなる未知へ！							
それじゃあボクは、この星でもいっぱい名前を付けなくっちゃ！みんなの役に立てるように、がんばってくるねーっ！			それじゃあボクは、この星でもいっぱい名前を付けなくっちゃ！みんなの役に立てるように、がんばってくるねーっ！			新たなる未知へ！							
惑星パエンナでの探索活動が可能になりました！「エクスプローラータブレット」で最新の情報を確認し、コスモエクスプローラー計画に協力していきましょう！			惑星パエンナでの探索活動が可能になりました！「エクスプローラータブレット」で最新の情報を確認し、コスモエクスプローラー計画に協力していきましょう！			新たなる未知へ！							
また、焦がれの入江のクルージングウェイに加え、ベストウェイ・バローのドライビングウェイからも、惑星パエンナへのワープが可能になりました！			また、焦がれの入江のクルージングウェイに加え、ベストウェイ・バローのドライビングウェイからも、惑星パエンナへのワープが可能になりました！			新たなる未知へ！							
さらに、レポリットたちが月面の磁場の制御に成功したようです。ベストウェイ・バローのエーテライトからも、最新の探索フィールドへ、片道でのワープが可能になりました。			さらに、レポリットたちが月面の磁場の制御に成功したようです。ベストウェイ・バローのエーテライトからも、最新の探索フィールドへ、片道でのワープが可能になりました。			新たなる未知へ！							
グラスブロワーズ基地のサーチングウェイは、コスモエクスプローラー計画のさらなる進行に満足しているようだ。			グラスブロワーズ基地のサーチングウェイは、コスモエクスプローラー計画のさらなる進行に満足しているようだ。			希望の輝き							
サーチングウェイと話すうちに、周囲を見回ってきていたネミングウェイが合流した。惑星パエンナの各所を見にいくために、グラスブロワーズ基地の「ネミングウェイ」と話し、同行させよう。			サーチングウェイと話すうちに、周囲を見回ってきていたネミングウェイが合流した。惑星パエンナの各所を見にいくために、グラスブロワーズ基地の「ネミングウェイ」と話し、同行させよう。			希望の輝き							
ネミングウェイを連れて、彼が紹介したいという惑星パエンナの各所へと向かおう。まずはグラスブロワーズ基地を見渡せる場所へ行くといいだろう。※同行状態が解除された場合、再度「ネミングウェイ」に話しかけることで同行を再開できます。			ネミングウェイを連れて、彼が紹介したいという惑星パエンナの各所へと向かおう。まずはグラスブロワーズ基地を見渡せる場所へ行くといいだろう。※同行状態が解除された場合、再度「ネミングウェイ」に話しかけることで同行を再開できます。			希望の輝き							
ネミングウェイと同行し、まずはグラスブロワーズ基地の位置する洞窟を眺め、ネミングウェイがその名に込めた想いを聞いた。引き続きネミングウェイと同行し、「ソーダライム・フロート」へと向かおう。			ネミングウェイと同行し、まずはグラスブロワーズ基地の位置する洞窟を眺め、ネミングウェイがその名に込めた想いを聞いた。引き続きネミングウェイと同行し、「ソーダライム・フロート」へと向かおう。			希望の輝き							
ソーダライム・フロートでネミングウェイと話し、この惑星の生命への期待が込められた名付けについて聞くことができた。引き続きネミングウェイと同行し、「フュージングウェイ・ヴェント」へと向かおう。			ソーダライム・フロートでネミングウェイと話し、この惑星の生命への期待が込められた名付けについて聞くことができた。引き続きネミングウェイと同行し、「フュージングウェイ・ヴェント」へと向かおう。			希望の輝き							
フュージングウェイ・ヴェントでネミングウェイと話し、熱い星の息吹を感じる火口への名付けについて聞くことができた。引き続きネミングウェイと同行して「イリデセント・ステップス」へと向かい、「指定地点」から辺りを見渡し、観察を始めよう。			フュージングウェイ・ヴェントでネミングウェイと話し、熱い星の息吹を感じる火口への名付けについて聞くことができた。引き続きネミングウェイと同行して「イリデセント・ステップス」へと向かい、「指定地点」から辺りを見渡し、観察を始めよう。			希望の輝き							
イリデセント・ステップスを観察し、今回のネミングウェイの新たな発見について聞いた。グラスブロワーズ基地へと帰り、「サーチングウェイ」に散策を楽しんだことを伝えよう。			イリデセント・ステップスを観察し、今回のネミングウェイの新たな発見について聞いた。グラスブロワーズ基地へと帰り、「サーチングウェイ」に散策を楽しんだことを伝えよう。			希望の輝き							
サーチングウェイに天体望遠鏡「パエンナ・ステラスコープ」へと案内され、コスモエクスプローラー計画の今後にかける想いを聞くことができた。完成した天体望遠鏡によって、より遙かな宇宙を観測し、新たに興味深い星を見つけていくことになるだろう。その準備が整うまで、しばらく待つこととしよう。また、計画実績「惑星パエンナのコスモミッションを50回達成する」を取得すれば、新たなサブクエストを受注することができるようだ。コスモエクスプローラー計画に携わる人々とさらに関わるべく、これからもエクスプローラータブレットからミッションなどに積極的に参加していこう。			サーチングウェイに天体望遠鏡「パエンナ・ステラスコープ」へと案内され、コスモエクスプローラー計画の今後にかける想いを聞くことができた。完成した天体望遠鏡によって、より遙かな宇宙を観測し、新たに興味深い星を見つけていくことになるだろう。その準備が整うまで、しばらく待つこととしよう。また、計画実績「惑星パエンナのコスモミッションを50回達成する」を取得すれば、新たなサブクエストを受注することができるようだ。コスモエクスプローラー計画に携わる人々とさらに関わるべく、これからもエクスプローラータブレットからミッションなどに積極的に参加していこう。			希望の輝き							
ネミングウェイと話して同行させる			ネミングウェイと話して同行させる			希望の輝き							
ネミングウェイを連れてグラスブロワーズ基地内を見に行き、ネミングウェイと話す			ネミングウェイを連れてグラスブロワーズ基地内を見に行き、ネミングウェイと話す			希望の輝き							
連れているネミングウェイとソーダライム・フロートで話す			連れているネミングウェイとソーダライム・フロートで話す			希望の輝き							
連れているネミングウェイとフュージングウェイ・ヴェントで話す			連れているネミングウェイとフュージングウェイ・ヴェントで話す			希望の輝き							
ネミングウェイを連れて指定地点で観察する			ネミングウェイを連れて指定地点で観察する			希望の輝き							
サーチングウェイと話す			サーチングウェイと話す			希望の輝き							
Forenameさん、引き続きご協力感謝ッス！ガラス質の大地での作業は大変だったと思うけど……よく見て回れたッスか？			Forenameさん、引き続きご協力感謝ッス！ガラス質の大地での作業は大変だったと思うけど……よく見て回れたッスか？			希望の輝き							
何と言う？			何と言う？			希望の輝き							
ひととおり堪能したかも			ひととおり堪能したかも			希望の輝き							
作業に熱を入れていたから……			作業に熱を入れていたから……			希望の輝き							
探索計画のためにたくさん頑張ってくれて、ありがとうッス！月面で準備してきたことを着実に実現してくれたおかげで、オイラたちも研究者さんも大助かりッスよ～！			探索計画のためにたくさん頑張ってくれて、ありがとうッス！月面で準備してきたことを着実に実現してくれたおかげで、オイラたちも研究者さんも大助かりッスよ～！			希望の輝き							
あちこち見て歩いて、戻ってきたよーっ！どこもかしこもキラキラが詰まった風景ばかりで、色彩と興奮で、目がチカチカしちゃってるや！			あちこち見て歩いて、戻ってきたよーっ！どこもかしこもキラキラが詰まった風景ばかりで、色彩と興奮で、目がチカチカしちゃってるや！			希望の輝き							
ネミングウェイ！オイラのタブレットにも通知がたくさん届いてるッスよ、この惑星でもたくさんの場所や物に名前を付けてくれたって！			ネミングウェイ！オイラのタブレットにも通知がたくさん届いてるッスよ、この惑星でもたくさんの場所や物に名前を付けてくれたって！			希望の輝き							
えへへ、もちろんだよっ！星そのものから始まって、あちこちに名付けていくのは、ボクのセンスを試されてるみたいで緊張したけどね！			えへへ、もちろんだよっ！星そのものから始まって、あちこちに名付けていくのは、ボクのセンスを試されてるみたいで緊張したけどね！			希望の輝き							
まだまだ、焦がれの入江を旅立ってひとつ目の星ッスよ！これからも、うーんといっぱいお願いするッスー！			まだまだ、焦がれの入江を旅立ってひとつ目の星ッスよ！これからも、うーんといっぱいお願いするッスー！			希望の輝き							
うんうん、まっかせてー！！			うんうん、まっかせてー！！			希望の輝き							
ボクが名付けた今回の成果、Forenameさんにも紹介したいな！パエンナの大地を一緒に巡ってみない？			ボクが名付けた今回の成果、Forenameさんにも紹介したいな！パエンナの大地を一緒に巡ってみない？			希望の輝き							
ネミングウェイの今回の成果、ぜひぜひ聞いてやってほしいッスよ。いってらっしゃいッス～！			ネミングウェイの今回の成果、ぜひぜひ聞いてやってほしいッスよ。いってらっしゃいッス～！			希望の輝き							
この惑星パエンナでネミングウェイが見つけたもの、いっぱい聞いてやってほしいッス！			この惑星パエンナでネミングウェイが見つけたもの、いっぱい聞いてやってほしいッス！			希望の輝き							
Forenameさん、一緒に行けそうかな？？それじゃ、まずはこの基地がある洞窟の中から、よぉく眺めてみようよーっ！			Forenameさん、一緒に行けそうかな？？それじゃ、まずはこの基地がある洞窟の中から、よぉく眺めてみようよーっ！			希望の輝き							
このクエストを進行させるには、ネミングウェイが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			このクエストを進行させるには、ネミングウェイが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			希望の輝き							
同行者がまだ到着していない。近くまで迎えにいって、ともに探索しよう。			同行者がまだ到着していない。近くまで迎えにいって、ともに探索しよう。			希望の輝き							
何をする？			何をする？			希望の輝き							
話す			話す			希望の輝き							
同行状態を解除する			同行状態を解除する			希望の輝き							
キャンセル			キャンセル			希望の輝き							
よぉし、どんどん見に行くよーっ！			よぉし、どんどん見に行くよーっ！			希望の輝き							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			希望の輝き							
ありゃりゃ？　何か用事を思い出したの？サーチングウェイのところで待ってるから、また声をかけてね！			ありゃりゃ？　何か用事を思い出したの？サーチングウェイのところで待ってるから、また声をかけてね！			希望の輝き							
ボクと一緒に行けそうかなー？よぉし、それじゃもう一度、行っくぞー！			ボクと一緒に行けそうかなー？よぉし、それじゃもう一度、行っくぞー！			希望の輝き							
高～い岩の天井に、すっぽりと覆われた基地……なんだか不思議な光景だよねぇ……。			高～い岩の天井に、すっぽりと覆われた基地……なんだか不思議な光景だよねぇ……。			希望の輝き							
この星ではガラスの雨や塵、激しい雷雨もたくさん降るからね。だから、アーテリスから持ち込んだ精密機器を守れるように、大きな洞窟の中に基地を作ることにしたんだって！			この星ではガラスの雨や塵、激しい雷雨もたくさん降るからね。だから、アーテリスから持ち込んだ精密機器を守れるように、大きな洞窟の中に基地を作ることにしたんだって！			希望の輝き							
そんな、ボクらを守ってくれる特別な洞窟には、「グラスブロワーズ岩窟」って名前を付けてみたよ。			そんな、ボクらを守ってくれる特別な洞窟には、「グラスブロワーズ岩窟」って名前を付けてみたよ。			希望の輝き							
この洞窟を、ガラス工芸の職人が集まる工房って考えたんだ！職人たちが熱した炉でこの惑星の鉱物資源を溶かして、新しいワクワクが創造される光景をイメージしたのさ！			この洞窟を、ガラス工芸の職人が集まる工房って考えたんだ！職人たちが熱した炉でこの惑星の鉱物資源を溶かして、新しいワクワクが創造される光景をイメージしたのさ！			希望の輝き							
さあて、お次に紹介したいのはここから西へ……「ソーダライム・フロート」のあたりに向かってみよー！			さあて、お次に紹介したいのはここから西へ……「ソーダライム・フロート」のあたりに向かってみよー！			希望の輝き							
「パエンナ・ガラス」について話す			「パエンナ・ガラス」について話す			希望の輝き							
見て見て、あのステンドグラスみたいなパーツは、この星の資源を活かした特殊な素材で作られているんだって！名付けて「パエンナ・ガラス」さ！			見て見て、あのステンドグラスみたいなパーツは、この星の資源を活かした特殊な素材で作られているんだって！名付けて「パエンナ・ガラス」さ！			希望の輝き							
見た目の美しさはもちろんのこと、グラスレインの粉塵なんかに襲われたって、へっちゃらさ！とっても気密性が高くて頑丈で、機材を守ってくれるんだよ。			見た目の美しさはもちろんのこと、グラスレインの粉塵なんかに襲われたって、へっちゃらさ！とっても気密性が高くて頑丈で、機材を守ってくれるんだよ。			希望の輝き							
しかも、パエンナの空から降り注ぐ光線を、エネルギーに変換する機能も盛り込まれているとか……。異星の資源で便利なものを作っちゃうなんてスゴイよねぇー！			しかも、パエンナの空から降り注ぐ光線を、エネルギーに変換する機能も盛り込まれているとか……。異星の資源で便利なものを作っちゃうなんてスゴイよねぇー！			希望の輝き							
「ブロワーズ・マーブル」について話す			「ブロワーズ・マーブル」について話す			希望の輝き							
岩窟の内外に、びっしり天然ガラスがくっついてるでしょ？球状のものや鍾乳石みたいなのとか……形や大きさも様々でさ。これは、昔この岩窟がガラスで埋まってた時代の名残らしいんだ。			岩窟の内外に、びっしり天然ガラスがくっついてるでしょ？球状のものや鍾乳石みたいなのとか……形や大きさも様々でさ。これは、昔この岩窟がガラスで埋まってた時代の名残らしいんだ。			希望の輝き							
研究者さんが言うには、むかしむかし岩窟全部が、溶岩みたいに溶けたガラスに侵食されてたんだって。そして地熱の変動で、それらが流れ去って空洞ができたってコト！			研究者さんが言うには、むかしむかし岩窟全部が、溶岩みたいに溶けたガラスに侵食されてたんだって。そして地熱の変動で、それらが流れ去って空洞ができたってコト！			希望の輝き							
色彩が混ざったような独特の模様が特徴的だから、このガラスは「ブロワーズ・マーブル」って呼ぶことにしたよ！この岩窟や、惑星パエンナのあちこちで見てみてねー！			色彩が混ざったような独特の模様が特徴的だから、このガラスは「ブロワーズ・マーブル」って呼ぶことにしたよ！この岩窟や、惑星パエンナのあちこちで見てみてねー！			希望の輝き							
洞窟を覆うミルフィオリの丘から南北に流れるのが、水色に澄んだ「ソーダライム・フロート」だよっ！			洞窟を覆うミルフィオリの丘から南北に流れるのが、水色に澄んだ「ソーダライム・フロート」だよっ！			希望の輝き							
沼地状態の川っていうところかな……。透明度が高くて底まで見えるほどだけど、実は水の成分的には、ガラス化一歩手前なんだって。			沼地状態の川っていうところかな……。透明度が高くて底まで見えるほどだけど、実は水の成分的には、ガラス化一歩手前なんだって。			希望の輝き							
その証拠となるのが水場にいる「サカナモドキ」だね。固着したガラス質に水脈を流れる濃いエーテルが宿って、魚みたいな姿になって辺りを漂っているんだ。			その証拠となるのが水場にいる「サカナモドキ」だね。固着したガラス質に水脈を流れる濃いエーテルが宿って、魚みたいな姿になって辺りを漂っているんだ。			希望の輝き							
この星には厳密な意味での「動物」は発見されてない。川を泳いでいるのも、ゴーレムのような存在……一種の魔法生物なんだ。			この星には厳密な意味での「動物」は発見されてない。川を泳いでいるのも、ゴーレムのような存在……一種の魔法生物なんだ。			希望の輝き							
今は魂と呼ぶには不確かで、精霊と呼ぶにも、まだまだ心もとない存在だけど……この星ならではの巡りを感じさせてくれるよね。			今は魂と呼ぶには不確かで、精霊と呼ぶにも、まだまだ心もとない存在だけど……この星ならではの巡りを感じさせてくれるよね。			希望の輝き							
よぉし、まだまだキミに伝えたい風景があるぞーっ！次は「フュージングウェイ・ヴェント」のほうに一緒に行こうよ！			よぉし、まだまだキミに伝えたい風景があるぞーっ！次は「フュージングウェイ・ヴェント」のほうに一緒に行こうよ！			希望の輝き							
色とりどりに輝く惑星パエンナの大地に、黒々とそびえる目立つやつ……それがこの火山！「フュージングウェイ・ヴェント」さ！			色とりどりに輝く惑星パエンナの大地に、黒々とそびえる目立つやつ……それがこの火山！「フュージングウェイ・ヴェント」さ！			希望の輝き							
内部で煮えたぎる溶岩は、ケイ素の割合が高くって、それって、ほとんど熱せられたガラスと近い組成なんだって。だから、ガラスを溶融させる技法にちなんで命名してみたんだ！			内部で煮えたぎる溶岩は、ケイ素の割合が高くって、それって、ほとんど熱せられたガラスと近い組成なんだって。だから、ガラスを溶融させる技法にちなんで命名してみたんだ！			希望の輝き							
冷えたり溶け出したりして、火口は常に活動してるよ。アツアツの部分に近づくなら、自分もくっついちゃわないように、うんと気をつけないといけないねっ！			冷えたり溶け出したりして、火口は常に活動してるよ。アツアツの部分に近づくなら、自分もくっついちゃわないように、うんと気をつけないといけないねっ！			希望の輝き							
えへへ、パエンナに欠かせない光景を踏破できてきたね！次は「イリデセント・ステップス」に行って、この星の風景や植物を、よぉく見てみてほしいなーっ！			えへへ、パエンナに欠かせない光景を踏破できてきたね！次は「イリデセント・ステップス」に行って、この星の風景や植物を、よぉく見てみてほしいなーっ！			希望の輝き							
「イリデセント・ステップス」からは、色とりどりの風景や、パエンナならではの地形が一望できるんだ！高台からの開けた眺めが、ボクのお気に入りなんだよー！			「イリデセント・ステップス」からは、色とりどりの風景や、パエンナならではの地形が一望できるんだ！高台からの開けた眺めが、ボクのお気に入りなんだよー！			希望の輝き							
このイベントはスキップすることができないため、コンテンツファインダー申請中の場合などは、ご注意ください。			このイベントはスキップすることができないため、コンテンツファインダー申請中の場合などは、ご注意ください。			希望の輝き							
イリデセント・ステップス周辺を観察しますか？			イリデセント・ステップス周辺を観察しますか？			希望の輝き							
ここから見渡す景色、とってもカラフルだよねー！丘のうえに佇んで、遠くに見えるものを眺めながら、その名前をゆっくり考えて……そんな時間が大好きなんだ！			ここから見渡す景色、とってもカラフルだよねー！丘のうえに佇んで、遠くに見えるものを眺めながら、その名前をゆっくり考えて……そんな時間が大好きなんだ！			希望の輝き							
気になるものがあったらボクが名前や由来を説明するから、じっくり観察して選んでみてねー！			気になるものがあったらボクが名前や由来を説明するから、じっくり観察して選んでみてねー！			希望の輝き							
すごいよね、いろんな色の段々が上から下まで続いてるんだー！この場所には「イリデセント・ステップス」って名前をつけたよ！			すごいよね、いろんな色の段々が上から下まで続いてるんだー！この場所には「イリデセント・ステップス」って名前をつけたよ！			希望の輝き							
研究者さんたちの見立てでは、その昔、ここは液状ガラスが流れる小さな池の連なりだった。でも、地熱が失われて冷えて固まったんじゃないかって……。			研究者さんたちの見立てでは、その昔、ここは液状ガラスが流れる小さな池の連なりだった。でも、地熱が失われて冷えて固まったんじゃないかって……。			希望の輝き							
場所により色合いが異なるのは、池ごとに堆積物の成分が違っていたためみたい……。にぎやかな虹色の段々は、仲間のレポリットたちにも人気なんだ！			場所により色合いが異なるのは、池ごとに堆積物の成分が違っていたためみたい……。にぎやかな虹色の段々は、仲間のレポリットたちにも人気なんだ！			希望の輝き							
この星では、未だに動物は誕生していないけれど、植物に極めて近い生命体が確認されていてね。これを「疑似植物」って呼ぶことにしたんだ。			この星では、未だに動物は誕生していないけれど、植物に極めて近い生命体が確認されていてね。これを「疑似植物」って呼ぶことにしたんだ。			希望の輝き							
「ディステンパーオーク」も、そんな樹木のひとつさ！トゲトゲの澄んだ樹葉をうんと伸ばして、必要なエネルギーを太陽光からそのまま取り入れてるんだ！			「ディステンパーオーク」も、そんな樹木のひとつさ！トゲトゲの澄んだ樹葉をうんと伸ばして、必要なエネルギーを太陽光からそのまま取り入れてるんだ！			希望の輝き							
枝であり葉でもあるその部位を、どうやって形成しているのか謎は多いけど……。この星の過酷な環境に適応した、素晴らしい命だよね！			枝であり葉でもあるその部位を、どうやって形成しているのか謎は多いけど……。この星の過酷な環境に適応した、素晴らしい命だよね！			希望の輝き							
地面から生えてるお花みたいなのが見えるかな？まるでカットガラスの作品みたいな姿をしているから、「ファセットグラス」って呼ぶことにしたんだー！			地面から生えてるお花みたいなのが見えるかな？まるでカットガラスの作品みたいな姿をしているから、「ファセットグラス」って呼ぶことにしたんだー！			希望の輝き							
ガラス質はクリスタルとは違うから、同じ形の結晶が連なるのは、本来難しいはずなんだ。だけどこの星の疑似植物は、同じような形で繁茂してるよね？			ガラス質はクリスタルとは違うから、同じ形の結晶が連なるのは、本来難しいはずなんだ。だけどこの星の疑似植物は、同じような形で繁茂してるよね？			希望の輝き							
シャーレアンの学者さんは、エーテルの特性によって、本来起こりにくいような形状の反復が生じてるんじゃないかって！植物学とエーテル学と……複雑な研究になってるみたいだよ！			シャーレアンの学者さんは、エーテルの特性によって、本来起こりにくいような形状の反復が生じてるんじゃないかって！植物学とエーテル学と……複雑な研究になってるみたいだよ！			希望の輝き							
このお花は「ムリーネミルラ」！小さいお花がいくつもぎゅっと集まっては、それぞれ細かな模様があって、とっても可愛いんだー！			このお花は「ムリーネミルラ」！小さいお花がいくつもぎゅっと集まっては、それぞれ細かな模様があって、とっても可愛いんだー！			希望の輝き							
作り物みたいに思えるかもしれないけど、ちゃんと花粉や種のような部位が形成されているんだよ。			作り物みたいに思えるかもしれないけど、ちゃんと花粉や種のような部位が形成されているんだよ。			希望の輝き							
この星には花粉や種を運んでくれる動物がいないから、たまの荒天での突風が、繁殖に役立ってると考えられてるとか！こんな小さなお花なのに、とっても逞しいよね！			この星には花粉や種を運んでくれる動物がいないから、たまの荒天での突風が、繁殖に役立ってると考えられてるとか！こんな小さなお花なのに、とっても逞しいよね！			希望の輝き							
ピンク色の大きな傘が生えてるみたいだよね！月面でキノコに見慣れてると菌類の一種かと思っちゃうけど、樹上部でガラス質が平らに発達した樹木なんだよ！			ピンク色の大きな傘が生えてるみたいだよね！月面でキノコに見慣れてると菌類の一種かと思っちゃうけど、樹上部でガラス質が平らに発達した樹木なんだよ！			希望の輝き							
名付けて、「ディスプレー・アケーンシア」！なんでも枝で支えたお盆の上に乗せちゃうみたいだなって！			名付けて、「ディスプレー・アケーンシア」！なんでも枝で支えたお盆の上に乗せちゃうみたいだなって！			希望の輝き							
どうして樹上部がこんなふうに発達するかは研究中らしいけど、天候によって傷つきやすい幹を守るため、硬い傘を作ったのかな？おかげで幹もしっかり育ってるみたいだね！			どうして樹上部がこんなふうに発達するかは研究中らしいけど、天候によって傷つきやすい幹を守るため、硬い傘を作ったのかな？おかげで幹もしっかり育ってるみたいだね！			希望の輝き							
このあたりのこと、十分に眺められたかな？もう一度よく見てみたかったら、教えてね！			このあたりのこと、十分に眺められたかな？もう一度よく見てみたかったら、教えてね！			希望の輝き							
何と言う？			何と言う？			希望の輝き							
じゅーぶん見た！			じゅーぶん見た！			希望の輝き							
もうちょっと見たいかも			もうちょっと見たいかも			希望の輝き							
うんうんっ、じっくり見てくれてたよね！今回もボクが名付けた新しい子たちを、紹介できて嬉しいなーっ！			うんうんっ、じっくり見てくれてたよね！今回もボクが名付けた新しい子たちを、紹介できて嬉しいなーっ！			希望の輝き							
ここに来る前から、きっと宇宙には、「知らないもの」がいっぱいあると思ってはいたけど……最初の惑星からこんな風景が待ってるとは予想してなかったよ。			ここに来る前から、きっと宇宙には、「知らないもの」がいっぱいあると思ってはいたけど……最初の惑星からこんな風景が待ってるとは予想してなかったよ。			希望の輝き							
ガラスが作り出すひとつずつ個性的な形や色は、奇想天外なものばかりで、とっても興味をそそられるんだっ！			ガラスが作り出すひとつずつ個性的な形や色は、奇想天外なものばかりで、とっても興味をそそられるんだっ！			希望の輝き							
どうして、こんな形に、姿に、色に、音になったのか……「なぜ」っていう疑問が湧き出して、止まらなくなるみたい。			どうして、こんな形に、姿に、色に、音になったのか……「なぜ」っていう疑問が湧き出して、止まらなくなるみたい。			希望の輝き							
きっとその謎の全部を解くことなんて、誰もできない。そう、ボク一匹が長いレポリット生を使い尽くしたってさ。			きっとその謎の全部を解くことなんて、誰もできない。そう、ボク一匹が長いレポリット生を使い尽くしたってさ。			希望の輝き							
