シャバーブチェのブルケブは、冒険者に頼みがあるようだ。			シャバーブチェのブルケブは、冒険者に頼みがあるようだ。			超常の力、宿りし祭器							
アパーヒの目論みが判明した。手に入れた情報をラマジュンに共有するため、トライヨラに戻ろう。			アパーヒの目論みが判明した。手に入れた情報をラマジュンに共有するため、トライヨラに戻ろう。			祭器が結んだ縁							
おかえりなさい！「自由の扉」の首領について、何か手がかりは掴めましたか？			おかえりなさい！「自由の扉」の首領について、何か手がかりは掴めましたか？			祭器が結んだ縁							
幹部のオーディションに合格して、首領にも会えたんですか！さすがForenameさんですね！			幹部のオーディションに合格して、首領にも会えたんですか！さすがForenameさんですね！			祭器が結んだ縁							
けれど、次の攻撃目標がトライヨラだなんて……。嫌な予感、的中です！			けれど、次の攻撃目標がトライヨラだなんて……。嫌な予感、的中です！			祭器が結んだ縁							
実は、こちらでもそれらしき不穏な兆候をつかんでまして。勇連隊の方々に協力して、調査を進めていたんですよ。			実は、こちらでもそれらしき不穏な兆候をつかんでまして。勇連隊の方々に協力して、調査を進めていたんですよ。			祭器が結んだ縁							
あんたが外つ国に行っているあいだに、助っ人が駆けつけてくれてな。			あんたが外つ国に行っているあいだに、助っ人が駆けつけてくれてな。			祭器が結んだ縁							
ほら、噂をすれば……！			ほら、噂をすれば……！			祭器が結んだ縁							
オマエに協力するため、向こうに渡ろうと港に向かったら、あやしいヤツらが入港してきてさ。それで、ちょっとそいつらの動向を調べてたんだ。			オマエに協力するため、向こうに渡ろうと港に向かったら、あやしいヤツらが入港してきてさ。それで、ちょっとそいつらの動向を調べてたんだ。			祭器が結んだ縁							
その人たちは、季節労働者として働きたいからと、通行手形をもらってシャーローニ荒野へ渡っていったの。			その人たちは、季節労働者として働きたいからと、通行手形をもらってシャーローニ荒野へ渡っていったの。			祭器が結んだ縁							
でも、現地に着いた彼らに働く様子はなく、トライヨラという国の体制について、尋ね回っているみたい。			でも、現地に着いた彼らに働く様子はなく、トライヨラという国の体制について、尋ね回っているみたい。			祭器が結んだ縁							
それ以外のときは、フーサタイ宿場町の酒場にいるようです。店主の話によると、ろくに注文もせずに話し合っていて、「作戦」という言葉をよく耳にするんだとか。			それ以外のときは、フーサタイ宿場町の酒場にいるようです。店主の話によると、ろくに注文もせずに話し合っていて、「作戦」という言葉をよく耳にするんだとか。			祭器が結んだ縁							
そいつらが「自由の扉」の戦闘員で間違いないだろう。急ぎ作戦とやらの全容と、アパーヒが持つ祭器の能力を調べ、連中の悪巧みを阻止しなくちゃな！			そいつらが「自由の扉」の戦闘員で間違いないだろう。急ぎ作戦とやらの全容と、アパーヒが持つ祭器の能力を調べ、連中の悪巧みを阻止しなくちゃな！			祭器が結んだ縁							
なら分担しよ！ウチは戦闘員たちに近づいて、作戦の内容を探ってみるー！			なら分担しよ！ウチは戦闘員たちに近づいて、作戦の内容を探ってみるー！			祭器が結んだ縁							
あ、それなら……いい考えがある！アタシもそっちを手伝うよ。			あ、それなら……いい考えがある！アタシもそっちを手伝うよ。			祭器が結んだ縁							
すまないけど、Forenameも、一緒にセートジャちゃんの方に手を貸してくれるかい？			すまないけど、Forenameも、一緒にセートジャちゃんの方に手を貸してくれるかい？			祭器が結んだ縁							
それじゃ、オレとローシュカナ、テペケの3人で、祭器の能力について調べよう。			それじゃ、オレとローシュカナ、テペケの3人で、祭器の能力について調べよう。			祭器が結んだ縁							
互いに連絡を取りやすくするため、リンクパールをどうぞ。こんなこともあろうかと、外つ国の船乗りさんたちから買い取っておいたんです。			互いに連絡を取りやすくするため、リンクパールをどうぞ。こんなこともあろうかと、外つ国の船乗りさんたちから買い取っておいたんです。			祭器が結んだ縁							
よし、何かわかったら合流しよう。場所は、フーサタイ宿場町のエーテライト付近で！			よし、何かわかったら合流しよう。場所は、フーサタイ宿場町のエーテライト付近で！			祭器が結んだ縁							
それじゃあ、あっちでアタシの考えを話すよ。			それじゃあ、あっちでアタシの考えを話すよ。			祭器が結んだ縁							
クイーキちゃんの考えって、どんなことだろーね？			クイーキちゃんの考えって、どんなことだろーね？			祭器が結んだ縁							
実はアタシ、アゲハの祭器を持ってきてるんだ。集落の大切なものだけど、組織だってイットカの仇だし、それを討つためならって、みんなが許可を出してくれたのさ。			実はアタシ、アゲハの祭器を持ってきてるんだ。集落の大切なものだけど、組織だってイットカの仇だし、それを討つためならって、みんなが許可を出してくれたのさ。			祭器が結んだ縁							
キミはアパーヒと直接対面したそうじゃないか。ということは、この祭器の力を使えば、彼女に擬態することができるんだよ！			キミはアパーヒと直接対面したそうじゃないか。ということは、この祭器の力を使えば、彼女に擬態することができるんだよ！			祭器が結んだ縁							
それってすっごい！首領のフリをして近づけば、作戦について簡単に聞き出せそう！			それってすっごい！首領のフリをして近づけば、作戦について簡単に聞き出せそう！			祭器が結んだ縁							
そういうこと！情報収集をするなら、本物が姿を現す前がチャンス、さっそくフーサタイ宿場町の酒場に向かおう！			そういうこと！情報収集をするなら、本物が姿を現す前がチャンス、さっそくフーサタイ宿場町の酒場に向かおう！			祭器が結んだ縁							
そういえば手紙で呼び出されたときのこと、覚えてる？あのときも、Forenameちゃんが変装して……カクージャのおじさんに会いにいってくれたんだよね！			そういえば手紙で呼び出されたときのこと、覚えてる？あのときも、Forenameちゃんが変装して……カクージャのおじさんに会いにいってくれたんだよね！			祭器が結んだ縁							
中を軽く覗いてみたら、外つ国の訛りで話すゴロツキがいたよ。きっと「自由の扉」の戦闘員たちだろうね。			中を軽く覗いてみたら、外つ国の訛りで話すゴロツキがいたよ。きっと「自由の扉」の戦闘員たちだろうね。			祭器が結んだ縁							
アパーヒらしき特徴をした女性はいなかったから、やっぱり、まだ着いてないみたいだ。彼女に擬態するなら今がチャンスだよ！			アパーヒらしき特徴をした女性はいなかったから、やっぱり、まだ着いてないみたいだ。彼女に擬態するなら今がチャンスだよ！			祭器が結んだ縁							
ここなら、ウチらにも中の話し声が聞こえるね。外も見張っとくから、本物が店に近づいてきたら、リンクパールですぐに報せるよ！			ここなら、ウチらにも中の話し声が聞こえるね。外も見張っとくから、本物が店に近づいてきたら、リンクパールですぐに報せるよ！			祭器が結んだ縁							
それじゃあ、Forename。アゲハの祭器を持って……頭にアパーヒの姿を思い浮かべてみて！			それじゃあ、Forename。アゲハの祭器を持って……頭にアパーヒの姿を思い浮かべてみて！			祭器が結んだ縁							
へぇ、アパーヒって、そんな顔なんだね。擬態はうまくいってると思うけど、気になるなら、もう一度姿を思い浮かべてみて！			へぇ、アパーヒって、そんな顔なんだね。擬態はうまくいってると思うけど、気になるなら、もう一度姿を思い浮かべてみて！			祭器が結んだ縁							
慣れないうちは、変身が解除されちゃうこともあるんだ。大丈夫、もう一度アゲハの祭器を握りしめて、頭にアパーヒの姿を思い浮かべてみて！			慣れないうちは、変身が解除されちゃうこともあるんだ。大丈夫、もう一度アゲハの祭器を握りしめて、頭にアパーヒの姿を思い浮かべてみて！			祭器が結んだ縁							
何かあったらウチがリンクパールでサポートするから、Forenameちゃんは首領っぽく、どーんと振る舞ってみて！			何かあったらウチがリンクパールでサポートするから、Forenameちゃんは首領っぽく、どーんと振る舞ってみて！			祭器が結んだ縁							
なんだオマエ……？新しい幹部が来るだなんて聞いてないぞ。知らねぇ奴とは口利いちゃダメなんだぜ～。			なんだオマエ……？新しい幹部が来るだなんて聞いてないぞ。知らねぇ奴とは口利いちゃダメなんだぜ～。			祭器が結んだ縁							
このクエストを進行させるには、「変身状態」である必要があります。「クイーキ」に話しかけましょう。			このクエストを進行させるには、「変身状態」である必要があります。「クイーキ」に話しかけましょう。			祭器が結んだ縁							
んあ……もしかして首領ですか……？なんか、いつもと雰囲気が違うような気が……。			んあ……もしかして首領ですか……？なんか、いつもと雰囲気が違うような気が……。			祭器が結んだ縁							
首領だったら、いつも初っ端は、「自由のポーズ」でキメてくれるんですけどね～！			首領だったら、いつも初っ端は、「自由のポーズ」でキメてくれるんですけどね～！			祭器が結んだ縁							
アパーヒであることを証明するため、「変身状態」でエモート「自由のポーズ」をしてみせよう。			アパーヒであることを証明するため、「変身状態」でエモート「自由のポーズ」をしてみせよう。			祭器が結んだ縁							
やっぱり首領だ！おつかれさまでーす！			やっぱり首領だ！おつかれさまでーす！			祭器が結んだ縁							
首領がこちらにお見えになったということは……ついに、作戦決行の時が来たんですね！？			首領がこちらにお見えになったということは……ついに、作戦決行の時が来たんですね！？			祭器が結んだ縁							
何と言う？			何と言う？			祭器が結んだ縁							
そっちの準備は終わったの？			そっちの準備は終わったの？			祭器が結んだ縁							
あなたたち、ちゃんと作戦を覚えてるの？			あなたたち、ちゃんと作戦を覚えてるの？			祭器が結んだ縁							
そう言われると不安になってきたぞ……念のため、作戦の概要を復唱してみますね。			そう言われると不安になってきたぞ……念のため、作戦の概要を復唱してみますね。			祭器が結んだ縁							
心配いりませんよ！オレっちたちでも覚えられるように、手分けして覚えましたから！			心配いりませんよ！オレっちたちでも覚えられるように、手分けして覚えましたから！			祭器が結んだ縁							
みんなでトライヨラ関門からダダーっと攻め込むだけ！			みんなでトライヨラ関門からダダーっと攻め込むだけ！			祭器が結んだ縁							
くすねてきた青燐水の樽で、関門をドカーン！			くすねてきた青燐水の樽で、関門をドカーン！			祭器が結んだ縁							
エルレットさんの強化薬で、オイラたちもムキムキです！			エルレットさんの強化薬で、オイラたちもムキムキです！			祭器が結んだ縁							
この人たちらしいっていうか……あんまり複雑な作戦じゃなさそーだね？その調子で、もっと情報を聞き出しちゃおーよ！			この人たちらしいっていうか……あんまり複雑な作戦じゃなさそーだね？その調子で、もっと情報を聞き出しちゃおーよ！			祭器が結んだ縁							
何と言う？			何と言う？			祭器が結んだ縁							
それじゃ、私の役割を覚えてるかしら？			それじゃ、私の役割を覚えてるかしら？			祭器が結んだ縁							
私の祭器の能力を知ってる人ー？			私の祭器の能力を知ってる人ー？			祭器が結んだ縁							
はい、ご注文はお決まりですか？			はい、ご注文はお決まりですか？			祭器が結んだ縁							
何と言う？			何と言う？			祭器が結んだ縁							
景気づけに、とびっきり上等の酒をちょうだい！			景気づけに、とびっきり上等の酒をちょうだい！			祭器が結んだ縁							
今いいところだから、あとでね～！			今いいところだから、あとでね～！			祭器が結んだ縁							
ええっ、店で注文するなんて、どうしたんですか！？どこで何をするかは私の自由、誰にも強制されたりしない、って、いつも仰ってたのに……。			ええっ、店で注文するなんて、どうしたんですか！？どこで何をするかは私の自由、誰にも強制されたりしない、って、いつも仰ってたのに……。			祭器が結んだ縁							
ったく、こっちは場所を使ってるだけなんだよ。隙あらば金を取ろうとするんじゃねえ。			ったく、こっちは場所を使ってるだけなんだよ。隙あらば金を取ろうとするんじゃねえ。			祭器が結んだ縁							
マズイ、本物のアパーヒが近づいてきてる！			マズイ、本物のアパーヒが近づいてきてる！			祭器が結んだ縁							
アタシたちで、時間を稼ごう。			アタシたちで、時間を稼ごう。			祭器が結んだ縁							
Forenameちゃんは、もう少し情報を聞き出してみて！			Forenameちゃんは、もう少し情報を聞き出してみて！			祭器が結んだ縁							
ねえ、そこのキミ！ええと……この店は、マズイお酒しか出さないから、やめといた方がいいよ！			ねえ、そこのキミ！ええと……この店は、マズイお酒しか出さないから、やめといた方がいいよ！			祭器が結んだ縁							
あら、そうなの！？			あら、そうなの！？			祭器が結んだ縁							
でも私、喉渇いてないから。			でも私、喉渇いてないから。			祭器が結んだ縁							
ダメダメダメダメ……！ごはんも……今ちょっと提供できないみたい！			ダメダメダメダメ……！ごはんも……今ちょっと提供できないみたい！			祭器が結んだ縁							
うっそー、ホントにー！？			うっそー、ホントにー！？			祭器が結んだ縁							
でも、元から何も注文しないから。場所代だって、死んでも払わないわ。			でも、元から何も注文しないから。場所代だって、死んでも払わないわ。			祭器が結んだ縁							
(-クイーキ＆セートジャ-)迷惑な客だな！			(-クイーキ＆セートジャ-)迷惑な客だな！			祭器が結んだ縁							
え、ほかにも準備がなかったかって？オレっちたち、そんないくつも仕事与えられてないですよー。			え、ほかにも準備がなかったかって？オレっちたち、そんないくつも仕事与えられてないですよー。			祭器が結んだ縁							
ていうか、オイラたちだけじゃ不安だから、首領が戦力を集めてくるって話でしたよね？祭器の力があれば楽勝だからって。			ていうか、オイラたちだけじゃ不安だから、首領が戦力を集めてくるって話でしたよね？祭器の力があれば楽勝だからって。			祭器が結んだ縁							
ごめんForenameちゃん！本物が中に向かってるから、今すぐ離れてー！			ごめんForenameちゃん！本物が中に向かってるから、今すぐ離れてー！			祭器が結んだ縁							
あら、もう来てたの？早いのね。			あら、もう来てたの？早いのね。			祭器が結んだ縁							
すぐに決行だから、私の戦いをぜひ見物していきなさい。その後で、祝勝会をしましょう。			すぐに決行だから、私の戦いをぜひ見物していきなさい。その後で、祝勝会をしましょう。			祭器が結んだ縁							
あれが本物のアパーヒ……。ここで手を出せないのが悔しいけど、必ず！			あれが本物のアパーヒ……。ここで手を出せないのが悔しいけど、必ず！			祭器が結んだ縁							
私にも準備があってね。ここに来るまでに、いろいろ寄り道してたのよ。			私にも準備があってね。ここに来るまでに、いろいろ寄り道してたのよ。			祭器が結んだ縁							
あんた、新しい幹部なんですって？あの厳しいオーディションを突破したなんて、マジ尊敬だぜ……！			あんた、新しい幹部なんですって？あの厳しいオーディションを突破したなんて、マジ尊敬だぜ……！			祭器が結んだ縁							
間一髪だったねー！バレたらどうしよーって、ドキドキだったよ！			間一髪だったねー！バレたらどうしよーって、ドキドキだったよ！			祭器が結んだ縁							
ウチらは途中から話を聞けなかったけど、なにか手がかりは得られたかな？			ウチらは途中から話を聞けなかったけど、なにか手がかりは得られたかな？			祭器が結んだ縁							
よかった！それじゃ、集合場所に向かって、テントーワちゃんたちと合流しよう。			よかった！それじゃ、集合場所に向かって、テントーワちゃんたちと合流しよう。			祭器が結んだ縁							
ワタシたちはサカ・トラルの出身だからね。少ない知己を頼って、なんとか情報を集めてきたわ。			ワタシたちはサカ・トラルの出身だからね。少ない知己を頼って、なんとか情報を集めてきたわ。			祭器が結んだ縁							
アゲハの祭器はアタシが大事に持ってるから安心して。			アゲハの祭器はアタシが大事に持ってるから安心して。			祭器が結んだ縁							
テントーワちゃんたちの方は、どうだったのかな？			テントーワちゃんたちの方は、どうだったのかな？			祭器が結んだ縁							
アパーヒの姿に化けたって聞きましたけど……そういう能力を持った祭器もあるんですね。			アパーヒの姿に化けたって聞きましたけど……そういう能力を持った祭器もあるんですね。			祭器が結んだ縁							
アパーヒと鉢合わせになっちゃったんだって？何があったのか、詳しく聞かせてくれ。			アパーヒと鉢合わせになっちゃったんだって？何があったのか、詳しく聞かせてくれ。			祭器が結んだ縁							
なるほど、シャーローニ荒野からトライヨラに一斉攻撃か。ヨカ・トラル側からの襲撃がないとわかっただけでも、護りやすくなるから朗報だな。			なるほど、シャーローニ荒野からトライヨラに一斉攻撃か。ヨカ・トラル側からの襲撃がないとわかっただけでも、護りやすくなるから朗報だな。			祭器が結んだ縁							
アパーヒの祭器の力で、戦力を集めると言っていたのね？それなら、ワタシたちがつかんだ情報とも辻褄が合うわ。			アパーヒの祭器の力で、戦力を集めると言っていたのね？それなら、ワタシたちがつかんだ情報とも辻褄が合うわ。			祭器が結んだ縁							
実は祭器に封じられているトラルヴィドラールを推測するため、危険な獣に詳しいヴァイパーたちから話を聞いていたの。			実は祭器に封じられているトラルヴィドラールを推測するため、危険な獣に詳しいヴァイパーたちから話を聞いていたの。			祭器が結んだ縁							
そうしたら最近、各地にいる危険な魔物が、シャトナ族の女に連れ去られるという事件が起きてるらしくて……どんなに獰猛な相手も、そいつは簡単に手懐けちゃうんだとか。			そうしたら最近、各地にいる危険な魔物が、シャトナ族の女に連れ去られるという事件が起きてるらしくて……どんなに獰猛な相手も、そいつは簡単に手懐けちゃうんだとか。			祭器が結んだ縁							
何と言う？			何と言う？			祭器が結んだ縁							
アパーヒが巨大な魔物に命令するのを見た			アパーヒが巨大な魔物に命令するのを見た			祭器が結んだ縁							
祭器の能力で魔物を手駒にしているのか！			祭器の能力で魔物を手駒にしているのか！			祭器が結んだ縁							
どうやら祭器の能力は見抜けたみたいね！			どうやら祭器の能力は見抜けたみたいね！			祭器が結んだ縁							
ある種の動物は、超音波や匂い、それに魔力を放つことで、獲物を催眠状態にして、狩りをすることがあるそうですよ。			ある種の動物は、超音波や匂い、それに魔力を放つことで、獲物を催眠状態にして、狩りをすることがあるそうですよ。			祭器が結んだ縁							
祭器に封じられているトラルヴィドラールが、どんな動物から変化したものかは、わかりませんけれどね。			祭器に封じられているトラルヴィドラールが、どんな動物から変化したものかは、わかりませんけれどね。			祭器が結んだ縁							
それでも、大きな収穫だよ！作戦の全容も、祭器の能力もわかったんだもん！			それでも、大きな収穫だよ！作戦の全容も、祭器の能力もわかったんだもん！			祭器が結んだ縁							
あとは全力でアパーヒの野望を阻止するだけだ！ゾーゴー永結橋の手前、トライヨラ関門に陣取って、「自由の扉」を迎え撃とう！			あとは全力でアパーヒの野望を阻止するだけだ！ゾーゴー永結橋の手前、トライヨラ関門に陣取って、「自由の扉」を迎え撃とう！			祭器が結んだ縁							
オレはこのあたりからヤツらを見張って、なにか動きがあったら、すぐに連絡するよ。オマエはわかったことをラマジュンに報せておいてくれ。			オレはこのあたりからヤツらを見張って、なにか動きがあったら、すぐに連絡するよ。オマエはわかったことをラマジュンに報せておいてくれ。			祭器が結んだ縁							
ここならヤツらのことがよくわかる。何か動きがあったらすぐにリンクパールで報せるよ。			ここならヤツらのことがよくわかる。何か動きがあったらすぐにリンクパールで報せるよ。			祭器が結んだ縁							
ええっ、祭器の能力で手駒にした魔物を引き連れて、トライヨラ関門を襲う計画ですってー！？			ええっ、祭器の能力で手駒にした魔物を引き連れて、トライヨラ関門を襲う計画ですってー！？			祭器が結んだ縁							
しかし、危険な魔物を意のままに操れるのなら、人に対しても効果を発揮する可能性もありそう……。			しかし、危険な魔物を意のままに操れるのなら、人に対しても効果を発揮する可能性もありそう……。			祭器が結んだ縁							
とにかく、これまでに得られた情報を勇連隊にも共有して、トライヨラの守りを固めてもらいますね。住民への被害は、なんとしても抑えないと……！			とにかく、これまでに得られた情報を勇連隊にも共有して、トライヨラの守りを固めてもらいますね。住民への被害は、なんとしても抑えないと……！			祭器が結んだ縁							
決戦のときは近そうです。アパーヒを捕まえ、「自由の扉」を壊滅させましょう！			決戦のときは近そうです。アパーヒを捕まえ、「自由の扉」を壊滅させましょう！			祭器が結んだ縁							
シャバーブチェのラマジュンは、緊張しているようだ。			シャバーブチェのラマジュンは、緊張しているようだ。			決戦、ゾーゴー永結橋							
アパーヒが動き出したようだ。シャーローニ荒野のトライヨラ関門にいる「ローシュカナ」と話そう。			アパーヒが動き出したようだ。シャーローニ荒野のトライヨラ関門にいる「ローシュカナ」と話そう。			決戦、ゾーゴー永結橋							
アパーヒを倒した。シャーローニ荒野で彼女を捕まえよう。			アパーヒを倒した。シャーローニ荒野で彼女を捕まえよう。			決戦、ゾーゴー永結橋							
祭器を破壊し、アパーヒをトラル勇連隊に引き渡した。トライヨラ関門にいる「セートジャ」と話そう。			祭器を破壊し、アパーヒをトラル勇連隊に引き渡した。トライヨラ関門にいる「セートジャ」と話そう。			決戦、ゾーゴー永結橋							
セートジャと話した。シャバーブチェの「ラマジュン」と話そう。			セートジャと話した。シャバーブチェの「ラマジュン」と話そう。			決戦、ゾーゴー永結橋							
ラマジュンと話した。シャバーブチェ付近の「テントーワ」と話そう。			ラマジュンと話した。シャバーブチェ付近の「テントーワ」と話そう。			決戦、ゾーゴー永結橋							
テントーワと話した。シャバーブチェ付近の「ローシュカナ」と話そう。			テントーワと話した。シャバーブチェ付近の「ローシュカナ」と話そう。			決戦、ゾーゴー永結橋							
ローシュカナと話した。シャバーブチェ付近の「クイーキ」と話そう。			ローシュカナと話した。シャバーブチェ付近の「クイーキ」と話そう。			決戦、ゾーゴー永結橋							
クイーキと話した。シャバーブチェ付近の「セートジャ」と話そう。			クイーキと話した。シャバーブチェ付近の「セートジャ」と話そう。			決戦、ゾーゴー永結橋							
セートジャと話した。シャバーブチェ付近の「テペケ」と話そう。			セートジャと話した。シャバーブチェ付近の「テペケ」と話そう。			決戦、ゾーゴー永結橋							
テペケと話した。シャバーブチェの「ブルケブ」と話そう。			テペケと話した。シャバーブチェの「ブルケブ」と話そう。			決戦、ゾーゴー永結橋							
冒険者のほかにも幹部2期生の合格者がいたようだが、あえなくお縄についた。超常の力を秘めし祭器がもたらした事件は、これにて一件落着したようだ。			冒険者のほかにも幹部2期生の合格者がいたようだが、あえなくお縄についた。超常の力を秘めし祭器がもたらした事件は、これにて一件落着したようだ。			決戦、ゾーゴー永結橋							
トライヨラ関門のローシュカナと話す			トライヨラ関門のローシュカナと話す			決戦、ゾーゴー永結橋							
セートジャと話す			セートジャと話す			決戦、ゾーゴー永結橋							
トライヨラのラマジュンと話す			トライヨラのラマジュンと話す			決戦、ゾーゴー永結橋							
テントーワと話す			テントーワと話す			決戦、ゾーゴー永結橋							
ローシュカナと話す			ローシュカナと話す			決戦、ゾーゴー永結橋							
クイーキと話す			クイーキと話す			決戦、ゾーゴー永結橋							
セートジャと話す			セートジャと話す			決戦、ゾーゴー永結橋							
テペケと話す			テペケと話す			決戦、ゾーゴー永結橋							
ブルケブと話す			ブルケブと話す			決戦、ゾーゴー永結橋							
ここならヤツらのことがよくわかる。何か動きがあったらすぐにリンクパールで報せるよ。			ここならヤツらのことがよくわかる。何か動きがあったらすぐにリンクパールで報せるよ。			決戦、ゾーゴー永結橋							
私にも準備があってね。ここに来るまでに、いろいろ寄り道してたのよ。			私にも準備があってね。ここに来るまでに、いろいろ寄り道してたのよ。			決戦、ゾーゴー永結橋							
あんた、新しい幹部なんですって？あの厳しいオーディションを突破したなんて、マジ尊敬だぜ……！			あんた、新しい幹部なんですって？あの厳しいオーディションを突破したなんて、マジ尊敬だぜ……！			決戦、ゾーゴー永結橋							
「自由の扉」の動向は、テントーワさんが見張ってくれているんですよね？まだ特に連絡はないみたいですが……。			「自由の扉」の動向は、テントーワさんが見張ってくれているんですよね？まだ特に連絡はないみたいですが……。			決戦、ゾーゴー永結橋							
(-テントーワ-)アパーヒが手下を率いて、宿場町を発つみたいだ。みんな、急いでトライヨラ関門に集まってくれ！			(-テントーワ-)アパーヒが手下を率いて、宿場町を発つみたいだ。みんな、急いでトライヨラ関門に集まってくれ！			決戦、ゾーゴー永結橋							
ついに「自由の扉」の首領との決戦ですね！			ついに「自由の扉」の首領との決戦ですね！			決戦、ゾーゴー永結橋							
彼女が持つ祭器は強力ですが……Forenameさんと、みなさんなら、絶対に勝利できるはずです！			彼女が持つ祭器は強力ですが……Forenameさんと、みなさんなら、絶対に勝利できるはずです！			決戦、ゾーゴー永結橋							
トライヨラの平和を、どうかよろしくお願いします！			トライヨラの平和を、どうかよろしくお願いします！			決戦、ゾーゴー永結橋							
アパーヒが宿場町を出るところまでは確認した。もうすぐ、こちらに姿を見せるはずだ。			アパーヒが宿場町を出るところまでは確認した。もうすぐ、こちらに姿を見せるはずだ。			決戦、ゾーゴー永結橋							
安心して、もう狙いは外さないよ……。			安心して、もう狙いは外さないよ……。			決戦、ゾーゴー永結橋							
ウチは戦えないけど、お薬ならあるし……できることをさせてー！			ウチは戦えないけど、お薬ならあるし……できることをさせてー！			決戦、ゾーゴー永結橋							
祭器の力で、魔物を従えてるとなると、激しい戦いになりそうですね……！			祭器の力で、魔物を従えてるとなると、激しい戦いになりそうですね……！			決戦、ゾーゴー永結橋							
不思議な縁で集まった仲間たちだけど、みんなで協力すれば、祭器の力だって打ち破れるはず。			不思議な縁で集まった仲間たちだけど、みんなで協力すれば、祭器の力だって打ち破れるはず。			決戦、ゾーゴー永結橋							
トライヨラを「自由の扉」の好きにはさせない。ここでアパーヒを倒しましょう！			トライヨラを「自由の扉」の好きにはさせない。ここでアパーヒを倒しましょう！			決戦、ゾーゴー永結橋							
このクエストバトルでは進行度が保存され、ある程度まで進めてから敗北した場合、途中から再挑戦することができます。			このクエストバトルでは進行度が保存され、ある程度まで進めてから敗北した場合、途中から再挑戦することができます。			決戦、ゾーゴー永結橋							
ほかのクエストバトルに挑戦したり、ログアウトすると、保存された進行度は破棄されますので、ご注意ください。			ほかのクエストバトルに挑戦したり、ログアウトすると、保存された進行度は破棄されますので、ご注意ください。			決戦、ゾーゴー永結橋							
……来たわ！			……来たわ！			決戦、ゾーゴー永結橋							
オマエたちの計画は筒抜けだ。ここから先には行かせないぞ！			オマエたちの計画は筒抜けだ。ここから先には行かせないぞ！			決戦、ゾーゴー永結橋							
あなた、そちら側についたの……？国家の犬に成り下がるなんて、残念ねえ。			あなた、そちら側についたの……？国家の犬に成り下がるなんて、残念ねえ。			決戦、ゾーゴー永結橋							
何と言う？			何と言う？			決戦、ゾーゴー永結橋							
「自由の扉」を、野放しにはしておけない			「自由の扉」を、野放しにはしておけない			決戦、ゾーゴー永結橋							
はじめから仲間になったつもりはない			はじめから仲間になったつもりはない			決戦、ゾーゴー永結橋							
フフッ、まぁ、そう言うんじゃないかと思っていたわ。……エオルゼアの英雄さんなら、ね！			フフッ、まぁ、そう言うんじゃないかと思っていたわ。……エオルゼアの英雄さんなら、ね！			決戦、ゾーゴー永結橋							
初めて会ったときから気づいていたわよ。なのに、なぜ私たちの計画を洗いざらい話したか、わかる？			初めて会ったときから気づいていたわよ。なのに、なぜ私たちの計画を洗いざらい話したか、わかる？			決戦、ゾーゴー永結橋							
あなたに我々の活動を見せたかったの。真の自由の素晴らしさを知って、本心から同志になってもらいたかったのよ。			あなたに我々の活動を見せたかったの。真の自由の素晴らしさを知って、本心から同志になってもらいたかったのよ。			決戦、ゾーゴー永結橋							
どうせ、そこにいる手下たちも、祭器の能力で、操っているんでしょう！？こんな無謀な作戦に従う者なんて、いるわけないんだから！			どうせ、そこにいる手下たちも、祭器の能力で、操っているんでしょう！？こんな無謀な作戦に従う者なんて、いるわけないんだから！			決戦、ゾーゴー永結橋							
ふーん……なるほど。あなたたちは、この祭器の能力を、他者を操るものだと考えているのね？			ふーん……なるほど。あなたたちは、この祭器の能力を、他者を操るものだと考えているのね？			決戦、ゾーゴー永結橋							
ち、違うんですか……！？			ち、違うんですか……！？			決戦、ゾーゴー永結橋							
ざーんねん、大ハズレ！自由を愛する私が、そんな横暴なことするはずないじゃない！			ざーんねん、大ハズレ！自由を愛する私が、そんな横暴なことするはずないじゃない！			決戦、ゾーゴー永結橋							
アパーヒが、消えた……！？			アパーヒが、消えた……！？			決戦、ゾーゴー永結橋							
本物はこっち。			本物はこっち。			決戦、ゾーゴー永結橋							
た、大変だッ！トライヨラ側に魔物が現れたぞ！			た、大変だッ！トライヨラ側に魔物が現れたぞ！			決戦、ゾーゴー永結橋							
ええっ、どうしてー！？			ええっ、どうしてー！？			決戦、ゾーゴー永結橋							
マズい、こっちに警備が集中してるから、向こう側は手薄になってるぞ！門を開けて、追いかけよう！			マズい、こっちに警備が集中してるから、向こう側は手薄になってるぞ！門を開けて、追いかけよう！			決戦、ゾーゴー永結橋							
明日への路は、常に開かれている……さあ、追いかけてらっしゃい！			明日への路は、常に開かれている……さあ、追いかけてらっしゃい！			決戦、ゾーゴー永結橋							
(-逞しい勇連隊士-)ここは我々に任せて、貴殿は門の向こう側へ！			(-逞しい勇連隊士-)ここは我々に任せて、貴殿は門の向こう側へ！			決戦、ゾーゴー永結橋							
どうやら、黙ってこの先には行かせてもらえないみたいね。			どうやら、黙ってこの先には行かせてもらえないみたいね。			決戦、ゾーゴー永結橋							
それならそれで……ここで英雄たるあなたを倒し、悪の旗のもとに人々を導いてみせましょう。			それならそれで……ここで英雄たるあなたを倒し、悪の旗のもとに人々を導いてみせましょう。			決戦、ゾーゴー永結橋							
祭器よ、我が願いに応えて超常の力を！そしてこの手に真の自由を……！			祭器よ、我が願いに応えて超常の力を！そしてこの手に真の自由を……！			決戦、ゾーゴー永結橋							
