円蓋の座の真面目そうな衛兵は、冒険者に聞きたいことがあるようだ。			円蓋の座の真面目そうな衛兵は、冒険者に聞きたいことがあるようだ。			始まりの「楽園」							
異なるエーテル属性を司る蛮神同士の融合……ガレマール帝国のアルテマウェポンにも似た恐るべき性質だ。もっとも、お前はそれすらも倒していたんだったな。			異なるエーテル属性を司る蛮神同士の融合……ガレマール帝国のアルテマウェポンにも似た恐るべき性質だ。もっとも、お前はそれすらも倒していたんだったな。			焔嵐、再転							
二属性の同時励起も、成功に終わったようで何よりです……。これも、我が幼馴染が遺したエーテル学の賜物。今と明日を生きる者のため、知を用いさせていただきました。			二属性の同時励起も、成功に終わったようで何よりです……。これも、我が幼馴染が遺したエーテル学の賜物。今と明日を生きる者のため、知を用いさせていただきました。			焔嵐、再転							
リーン……。同時召喚で、かなり疲れてるでしょうに。どうしてそんなに頑張れるの？			リーン……。同時召喚で、かなり疲れてるでしょうに。どうしてそんなに頑張れるの？			焔嵐、再転							
すごいです、Forenameさん！ガルーダとイフリートを同時に倒すため、2体を融合させるなんて、思いつきもしませんでした……！			すごいです、Forenameさん！ガルーダとイフリートを同時に倒すため、2体を融合させるなんて、思いつきもしませんでした……！			焔嵐、再転							
今度こそ、「無の大地」に変化が出ているでしょうか……？さっそく外に様子を観に行きましょう！			今度こそ、「無の大地」に変化が出ているでしょうか……？さっそく外に様子を観に行きましょう！			焔嵐、再転							
やりました、雨が降ってきましたよ……！			やりました、雨が降ってきましたよ……！			焔嵐、再転							
まさに恵みの雨だな。それに、風に潮の香りを感じる。原初世界の海都を思い出すよ。			まさに恵みの雨だな。それに、風に潮の香りを感じる。原初世界の海都を思い出すよ。			焔嵐、再転							
お見事です、リーン。			お見事です、リーン。			焔嵐、再転							
みんなのおかげです。私ひとりではとても……。あとは、氷属性だけですね！			みんなのおかげです。私ひとりではとても……。あとは、氷属性だけですね！			焔嵐、再転							
ガイア……？			ガイア……？			焔嵐、再転							
そんな……次で終わり？　まだ「妖精」のこと、何もわかってないのに……！？			そんな……次で終わり？　まだ「妖精」のこと、何もわかってないのに……！？			焔嵐、再転							
私には、もう家族がいない。誰も私の過去を知らない。誰も私の孤独を理解できない。			私には、もう家族がいない。誰も私の過去を知らない。誰も私の孤独を理解できない。			焔嵐、再転							
誰も私の未来と交わらない。私は止まった時間の中で、独りぼっち……！今も、これからも、ずっと、ずっと……！			誰も私の未来と交わらない。私は止まった時間の中で、独りぼっち……！今も、これからも、ずっと、ずっと……！			焔嵐、再転							
「無の大地」に属性を取り戻す？そんなすごいことができるなら、私の記憶くらい、元に戻して！			「無の大地」に属性を取り戻す？そんなすごいことができるなら、私の記憶くらい、元に戻して！			焔嵐、再転							
なんとか言いなさいよ、エデンッ！			なんとか言いなさいよ、エデンッ！			焔嵐、再転							
足りぬ――！			足りぬ――！			焔嵐、再転							
あぁッ……！			あぁッ……！			焔嵐、再転							
忌々しき光の力では 真の覚醒は果たせぬ我も そしてお前も――			忌々しき光の力では 真の覚醒は果たせぬ我も そしてお前も――			焔嵐、再転							
アンタ、私のこと知ってるの？だったら本当のことを教えて！			アンタ、私のこと知ってるの？だったら本当のことを教えて！			焔嵐、再転							
お前は――			お前は――			焔嵐、再転							
私は……			私は……			焔嵐、再転							
ガイア			ガイア			焔嵐、再転							
……ガイア。			……ガイア。			焔嵐、再転							
ガイア？　どうしたんですか？			ガイア？　どうしたんですか？			焔嵐、再転							
真なる記憶を取り戻すのだ そしてともに使命を果たそうぞ！			真なる記憶を取り戻すのだ そしてともに使命を果たそうぞ！			焔嵐、再転							
そんなの知らない！			そんなの知らない！			焔嵐、再転							
ガイア、ねぇ大丈夫！？しっかりして、ガイア！！			ガイア、ねぇ大丈夫！？しっかりして、ガイア！！			焔嵐、再転							
うるさい！私に話しかけないで！			うるさい！私に話しかけないで！			焔嵐、再転							
ハァ……ハァ……。			ハァ……ハァ……。			焔嵐、再転							
雨音に紛れて聞こえる呼び声が、私の心をかき乱す。気まぐれな天気のように、すぐに移ろうものと思っていたのに……			雨音に紛れて聞こえる呼び声が、私の心をかき乱す。気まぐれな天気のように、すぐに移ろうものと思っていたのに……			焔嵐、再転							
その声は、いつまでも私の心深くに残っていた……。			その声は、いつまでも私の心深くに残っていた……。			焔嵐、再転							
無の大地のリーンは、感極まっているようだ。			無の大地のリーンは、感極まっているようだ。			共鳴する種子							
リーンと話した。今回の作戦はここで打ち切り、戻って休むことになった。アム・アレーンの物見櫓にいる「リーン」と話そう。			リーンと話した。今回の作戦はここで打ち切り、戻って休むことになった。アム・アレーンの物見櫓にいる「リーン」と話そう。			共鳴する種子							
リーンと話した。ウリエンジェとサンクレッドは、ひと足先にクリスタリウムに戻るようだ。アム・アレーンのモルド・スークにいる「ヤルフォート」と話そう。			リーンと話した。ウリエンジェとサンクレッドは、ひと足先にクリスタリウムに戻るようだ。アム・アレーンのモルド・スークにいる「ヤルフォート」と話そう。			共鳴する種子							
ヤルフォートと話した。大地に十分なエーテルが行きわたるまで、作戦は中断となった。次なる調査に向けて、しっかりと休息と準備を整えておこう。※次のクエストを進めるには、「メインクエスト：暁の帰還編」の、「追憶の凶星」を完了する必要があります。			ヤルフォートと話した。大地に十分なエーテルが行きわたるまで、作戦は中断となった。次なる調査に向けて、しっかりと休息と準備を整えておこう。※次のクエストを進めるには、「メインクエスト：暁の帰還編」の、「追憶の凶星」を完了する必要があります。			共鳴する種子							
物見櫓のリーンと話す			物見櫓のリーンと話す			共鳴する種子							
ヤルフォートと話す			ヤルフォートと話す			共鳴する種子							
これはすごいな……。期待してはいたが、まさか本当に緑が蘇るとは……！			これはすごいな……。期待してはいたが、まさか本当に緑が蘇るとは……！			共鳴する種子							
緑が茂っているのは、結節点の周辺だけのようです。されど、虚ろなる庭園に蒔かれた種子は、確かに芽吹いたのです……。			緑が茂っているのは、結節点の周辺だけのようです。されど、虚ろなる庭園に蒔かれた種子は、確かに芽吹いたのです……。			共鳴する種子							
すごい……本当にこんなことが起こるなんて。まるで、100年前にミンフィリアが起こした奇跡を、今ふたたび目撃してるみたいだわ。			すごい……本当にこんなことが起こるなんて。まるで、100年前にミンフィリアが起こした奇跡を、今ふたたび目撃してるみたいだわ。			共鳴する種子							
停滞していた環境エーテルから、あらゆる属性のはたらきを感じます！			停滞していた環境エーテルから、あらゆる属性のはたらきを感じます！			共鳴する種子							
エデンによる世界再生が、うまくいったみたいです……！			エデンによる世界再生が、うまくいったみたいです……！			共鳴する種子							
何と言う？			何と言う？			共鳴する種子							
頑張ったね、リーン			頑張ったね、リーン			共鳴する種子							
ハンマーのおかげ			ハンマーのおかげ			共鳴する種子							
今回も大変だった……			今回も大変だった……			共鳴する種子							
最後の最後で迷惑をかけちゃいましたけど……。うまくいって、本当に良かったです！			最後の最後で迷惑をかけちゃいましたけど……。うまくいって、本当に良かったです！			共鳴する種子							
理論上は可能でした。しかしそれは、想像を絶するほどの困難を伴う道のり……。成し遂げられたのは、あなたの強い信念があればこそ。			理論上は可能でした。しかしそれは、想像を絶するほどの困難を伴う道のり……。成し遂げられたのは、あなたの強い信念があればこそ。			共鳴する種子							
リーン。お前の決意が皆を、そして世界を動かしたんだ。よくやったな。			リーン。お前の決意が皆を、そして世界を動かしたんだ。よくやったな。			共鳴する種子							
なんのことかしら……？心当たりがないのだけれど。			なんのことかしら……？心当たりがないのだけれど。			共鳴する種子							
また記憶を失ってる、ってわけじゃないのよ？そんなもの、最初から「なかった」ってだけ。異論は認めない……いいわね？			また記憶を失ってる、ってわけじゃないのよ？そんなもの、最初から「なかった」ってだけ。異論は認めない……いいわね？			共鳴する種子							
そうそう！ガイアにハンマーなんて持てるわけないじゃないですか。きっと、目の錯覚ですよ、フフフ……！			そうそう！ガイアにハンマーなんて持てるわけないじゃないですか。きっと、目の錯覚ですよ、フフフ……！			共鳴する種子							
毎回「こんなハズじゃ……」みたいな顔してたけど、アナタの記憶、本当に大丈夫なの？記憶のない私に心配されるなんて、よっぽどよ？			毎回「こんなハズじゃ……」みたいな顔してたけど、アナタの記憶、本当に大丈夫なの？記憶のない私に心配されるなんて、よっぽどよ？			共鳴する種子							
疑似神降ろしとは、記憶の再現ではないのです。抽象的な概念から新たな存在を生み出す、いわば「創造魔法」に近いもの。			疑似神降ろしとは、記憶の再現ではないのです。抽象的な概念から新たな存在を生み出す、いわば「創造魔法」に近いもの。			共鳴する種子							
特に属性のような事物の根幹を成す概念となれば、連想される記憶も、無数に連なってゆくことでしょう。あまり、からかうものではありませんよ。			特に属性のような事物の根幹を成す概念となれば、連想される記憶も、無数に連なってゆくことでしょう。あまり、からかうものではありませんよ。			共鳴する種子							
このまま、地脈を通じて、世界中に変化が広まってくれれば、いいのだけれど……。			このまま、地脈を通じて、世界中に変化が広まってくれれば、いいのだけれど……。			共鳴する種子							
今は、とにかく待ちましょう。大地にも、私たちにも休息が必要です。			今は、とにかく待ちましょう。大地にも、私たちにも休息が必要です。			共鳴する種子							
もう、焦ってはいないようだな、リーン。以前のお前なら、もっと頑張れると、意地になって無理をしていたところだ。			もう、焦ってはいないようだな、リーン。以前のお前なら、もっと頑張れると、意地になって無理をしていたところだ。			共鳴する種子							
私は、まだまだ未熟です……。でも今回の励起を通じて、学ぶことができたんです。誰もひとりでは完璧には生きられないんだって。			私は、まだまだ未熟です……。でも今回の励起を通じて、学ぶことができたんです。誰もひとりでは完璧には生きられないんだって。			共鳴する種子							
ほう？			ほう？			共鳴する種子							
私はこれまで、多くの人に助けられてきました。だからこれからの人生は、他人に迷惑をかけず、多くの人を救える立派な人になりたい、と考えていました。			私はこれまで、多くの人に助けられてきました。だからこれからの人生は、他人に迷惑をかけず、多くの人を救える立派な人になりたい、と考えていました。			共鳴する種子							
でもそれは、とても傲慢な考えだったのではないかと、ふと、そう思ったんです。			でもそれは、とても傲慢な考えだったのではないかと、ふと、そう思ったんです。			共鳴する種子							
さっきの疑似神降ろし、氷神の憑依には成功しましたが、やっぱり暴走してしまって……ガイアがいなかったら、私の意識は、戻ってこられなかったかもしれません。			さっきの疑似神降ろし、氷神の憑依には成功しましたが、やっぱり暴走してしまって……ガイアがいなかったら、私の意識は、戻ってこられなかったかもしれません。			共鳴する種子							
それはお互い様でしょ？私だって、リーンの呼びかけがなかったら、あのまま目覚めなかったかも……。			それはお互い様でしょ？私だって、リーンの呼びかけがなかったら、あのまま目覚めなかったかも……。			共鳴する種子							
そう！　ふたりとも、そうなんです！私もガイアも、ひとりでは不安で、心細くて。誰かの助けなしでは生きられないけど……。			そう！　ふたりとも、そうなんです！私もガイアも、ひとりでは不安で、心細くて。誰かの助けなしでは生きられないけど……。			共鳴する種子							
だったら、無理に背伸びしなくても、ふたりで助け合えば、いいだけなんじゃないかって……そう思ったんだけど……。			だったら、無理に背伸びしなくても、ふたりで助け合えば、いいだけなんじゃないかって……そう思ったんだけど……。			共鳴する種子							
迷惑……かな？			迷惑……かな？			共鳴する種子							
これから迷惑かけるけど、いい？……なんて、いちいち許可取る人がいるかしら？リーンが今、したいようにすればいいじゃない。			これから迷惑かけるけど、いい？……なんて、いちいち許可取る人がいるかしら？リーンが今、したいようにすればいいじゃない。			共鳴する種子							
それを私が迷惑だ、と感じたなら、今すぐにだって、いなくなるわ。私も、したいようにするだけよ。			それを私が迷惑だ、と感じたなら、今すぐにだって、いなくなるわ。私も、したいようにするだけよ。			共鳴する種子							
けれど、もし、迷惑かけられても嫌じゃなかったら……。明日も傍にいるんじゃないかしら。ついでに私も、リーンに迷惑かけるかも、ね？			けれど、もし、迷惑かけられても嫌じゃなかったら……。明日も傍にいるんじゃないかしら。ついでに私も、リーンに迷惑かけるかも、ね？			共鳴する種子							
はい……！お願いします！			はい……！お願いします！			共鳴する種子							
それでは、アム・アレーンに帰還しましょう。属性が戻りつつあるとはいえ、万全ではありません。この地に長居は無用です。			それでは、アム・アレーンに帰還しましょう。属性が戻りつつあるとはいえ、万全ではありません。この地に長居は無用です。			共鳴する種子							
サンクレッド？			サンクレッド？			共鳴する種子							
……大丈夫だ、行こう。			……大丈夫だ、行こう。			共鳴する種子							
年ごろの女の子がふたり揃うと、賑やかすぎて敵わないな。リーンひとりの頃は、こんなことなかったんだが……。とはいえ、楽しい運転になったよ。			年ごろの女の子がふたり揃うと、賑やかすぎて敵わないな。リーンひとりの頃は、こんなことなかったんだが……。とはいえ、楽しい運転になったよ。			共鳴する種子							
「無の大地」の調査拠点は、そのままにしてあります。またいずれ、彼の地を訪れた時に役に立ちましょう……。			「無の大地」の調査拠点は、そのままにしてあります。またいずれ、彼の地を訪れた時に役に立ちましょう……。			共鳴する種子							
モルド・スークか……行商で賑わってるのはいいけど、やかましすぎるのよね。ま、品性のなさじゃユールモアもいい勝負だけど。			モルド・スークか……行商で賑わってるのはいいけど、やかましすぎるのよね。ま、品性のなさじゃユールモアもいい勝負だけど。			共鳴する種子							
それじゃあ、協力者さんたちのところに戻りましょう。今回の作戦も、無事に完了したことを報告しないと！			それじゃあ、協力者さんたちのところに戻りましょう。今回の作戦も、無事に完了したことを報告しないと！			共鳴する種子							
ねぇ、さっき話してた……モルド族の珍味？私はモチモチおやつ串っていうのにするわ。			ねぇ、さっき話してた……モルド族の珍味？私はモチモチおやつ串っていうのにするわ。			共鳴する種子							
ええっ！？それ、私が食べようと思ってたのに……！			ええっ！？それ、私が食べようと思ってたのに……！			共鳴する種子							
リーンは、ほら、アレがいいんじゃない？ぷりぷりミミズ漬け！			リーンは、ほら、アレがいいんじゃない？ぷりぷりミミズ漬け！			共鳴する種子							
それだけは絶っっっ対イヤ！！			それだけは絶っっっ対イヤ！！			共鳴する種子							
おいおい……作戦は、帰還するまでが作戦だぞ！まったく、お嬢さん方には困ったもんだ……。			おいおい……作戦は、帰還するまでが作戦だぞ！まったく、お嬢さん方には困ったもんだ……。			共鳴する種子							
リーンとガイア、Forenameさんは、モルド・スークに向かい、作戦の報告をお願いします。			リーンとガイア、Forenameさんは、モルド・スークに向かい、作戦の報告をお願いします。			共鳴する種子							
私とサンクレッドは、ひと足先にクリスタリウムに戻り、ほかの賢人たちと互いの状況を共有しあうことにいたします。			私とサンクレッドは、ひと足先にクリスタリウムに戻り、ほかの賢人たちと互いの状況を共有しあうことにいたします。			共鳴する種子							
ガイアを早くクリスタリウムに連れていきたいな。……あ、でもルーリーさんに報告書出さなきゃ。			ガイアを早くクリスタリウムに連れていきたいな。……あ、でもルーリーさんに報告書出さなきゃ。			共鳴する種子							
ここは相変わらず、すごい匂いね……。モルド族の珍味はまた今度にするわ。……べ、別に怖気づいたわけじゃないわよ！			ここは相変わらず、すごい匂いね……。モルド族の珍味はまた今度にするわ。……べ、別に怖気づいたわけじゃないわよ！			共鳴する種子							
お帰りなさい！「無の大地」での作戦、本当におつかれさまです！ガイア様も、お元気なようで安心しました。			お帰りなさい！「無の大地」での作戦、本当におつかれさまです！ガイア様も、お元気なようで安心しました。			共鳴する種子							
ここで療養するのは、もうこりごり……。早くふかふかのベッドで休みたいわ。			ここで療養するのは、もうこりごり……。早くふかふかのベッドで休みたいわ。			共鳴する種子							
なにか補給が必要なものはありますか？			なにか補給が必要なものはありますか？			共鳴する種子							
ええと、またしばらくは休息を取りますので、今回の作戦の報告書と一緒に、まとめてお報せします！			ええと、またしばらくは休息を取りますので、今回の作戦の報告書と一緒に、まとめてお報せします！			共鳴する種子							
Forenameさん、今回は本当に……私がたくさん、ご迷惑をおかけしてしまって……			Forenameさん、今回は本当に……私がたくさん、ご迷惑をおかけしてしまって……			共鳴する種子							
いつまで過去を引っ張ってるのよ。イヤな記憶なんて、忘れてしまうに限るわ。もっと前向きに生きましょう？			いつまで過去を引っ張ってるのよ。イヤな記憶なんて、忘れてしまうに限るわ。もっと前向きに生きましょう？			共鳴する種子							
……わかりました！今は美味しいもののことを考えることにします！			……わかりました！今は美味しいもののことを考えることにします！			共鳴する種子							
では、次の作戦が決まったら、またお報せしますので、それまではしっかり休息を取ってください。次回もまた……がんばります！			では、次の作戦が決まったら、またお報せしますので、それまではしっかり休息を取ってください。次回もまた……がんばります！			共鳴する種子							
私も一緒に……ね！			私も一緒に……ね！			共鳴する種子							
次のクエストを進めるには、「メインクエスト：暁の帰還編」の、「追憶の凶星」を完了する必要があります。			次のクエストを進めるには、「メインクエスト：暁の帰還編」の、「追憶の凶星」を完了する必要があります。			共鳴する種子							
モルド・スークのヤルフォートは、冒険者に話があるようだ。			モルド・スークのヤルフォートは、冒険者に話があるようだ。			この闘いが終わったら							
前回までの冒険録：闇の力を操る少女ガイアとともに、再び無の大地を訪れた冒険者たちは、属性の励起を再開した。雷属性に続き、風属性と火属性の同時励起にも成功し、無の大地に雨を取り戻す。一方、「謎の声」の介入によって、己の身体から闇を溢れさせたガイアが昏倒してしまうが、リーンの叫びによって意識を取り戻す。最後に残ったのは、氷属性の励起。リーンが依り代となって疑似神降ろしを行うが、その身に宿した光の力が暴走してしまう。世界を停滞へと導きかねない事態となるも、ガイアの闇の力によって光は相殺され、励起は完了する。そうして六属性がすべて取り戻され、無の大地には緑が蘇るのだった。　　　　　　　　　　　　*　*　*無の大地の再生状況を確認しにいくことになった。アム・アレーンの物見櫓にいる「リーン」と話そう。			前回までの冒険録：闇の力を操る少女ガイアとともに、再び無の大地を訪れた冒険者たちは、属性の励起を再開した。雷属性に続き、風属性と火属性の同時励起にも成功し、無の大地に雨を取り戻す。一方、「謎の声」の介入によって、己の身体から闇を溢れさせたガイアが昏倒してしまうが、リーンの叫びによって意識を取り戻す。最後に残ったのは、氷属性の励起。リーンが依り代となって疑似神降ろしを行うが、その身に宿した光の力が暴走してしまう。世界を停滞へと導きかねない事態となるも、ガイアの闇の力によって光は相殺され、励起は完了する。そうして六属性がすべて取り戻され、無の大地には緑が蘇るのだった。　　　　　　　　　　　　*　*　*無の大地の再生状況を確認しにいくことになった。アム・アレーンの物見櫓にいる「リーン」と話そう。			この闘いが終わったら							
リーンと話した。ホバー船の運転は、ガイアが行うらしい。アム・アレーンの物見櫓にいる「ガイア」と話そう。			リーンと話した。ホバー船の運転は、ガイアが行うらしい。アム・アレーンの物見櫓にいる「ガイア」と話そう。			この闘いが終わったら							
ガイアと話し、ホバー船に乗って再び調査拠点へと戻ってきた。しかし、そこで一行が目にしたのは、無残にも枯れ果てた緑の残骸だった。「妖精」の声が聞こえたらしく、ガイアの様子が少しおかしい。現在の状況を確認しよう。			ガイアと話し、ホバー船に乗って再び調査拠点へと戻ってきた。しかし、そこで一行が目にしたのは、無残にも枯れ果てた緑の残骸だった。「妖精」の声が聞こえたらしく、ガイアの様子が少しおかしい。現在の状況を確認しよう。			この闘いが終わったら							
物見櫓のリーンと話す			物見櫓のリーンと話す			この闘いが終わったら							
物見櫓のガイアと話す			物見櫓のガイアと話す			この闘いが終わったら							
これはForename様。「無の大地」の調査に関して、補給が完了いたしました。			これはForename様。「無の大地」の調査に関して、補給が完了いたしました。			この闘いが終わったら							
リーン様、ガイア様にも連絡をしたところ、そろそろ「無の大地」の経過観察に行くべきですね、とおっしゃってましたから、もしかすると……。			リーン様、ガイア様にも連絡をしたところ、そろそろ「無の大地」の経過観察に行くべきですね、とおっしゃってましたから、もしかすると……。			この闘いが終わったら							
あら、Forenameもいるじゃない。			あら、Forenameもいるじゃない。			この闘いが終わったら							
こちらに、いらしてたんですね！			こちらに、いらしてたんですね！			この闘いが終わったら							
実は、そろそろ「無の大地」の様子を、見にいった方がいいんじゃないかと思いまして。もし時間があるようでしたら、一緒に行きませんか？			実は、そろそろ「無の大地」の様子を、見にいった方がいいんじゃないかと思いまして。もし時間があるようでしたら、一緒に行きませんか？			この闘いが終わったら							
そうだ、大事なことを、お伝えするのを忘れていました。ユールモアもだいぶ安定してきたそうで、ガイア様の身元に関して、本格的な調査が始まったそうです。			そうだ、大事なことを、お伝えするのを忘れていました。ユールモアもだいぶ安定してきたそうで、ガイア様の身元に関して、本格的な調査が始まったそうです。			この闘いが終わったら							
ああ、そうなの……？			ああ、そうなの……？			この闘いが終わったら							
嬉しくないの？			嬉しくないの？			この闘いが終わったら							
……みんなを襲ったときの記憶は、まだ戻ってない。けど、今さら自分の身元を証明するまでもなく、みんな私を仲間だと受け入れてくれてるわ。			……みんなを襲ったときの記憶は、まだ戻ってない。けど、今さら自分の身元を証明するまでもなく、みんな私を仲間だと受け入れてくれてるわ。			この闘いが終わったら							
だったら、今は「妖精」の正体や、なぜ私は闇の力を操ることができるのかを、明らかにすることの方が、大事だと思うの。			だったら、今は「妖精」の正体や、なぜ私は闇の力を操ることができるのかを、明らかにすることの方が、大事だと思うの。			この闘いが終わったら							
闇の力、か……。前回の作戦では、いろいろあったせいで、わからずじまいだったもんね。			闇の力、か……。前回の作戦では、いろいろあったせいで、わからずじまいだったもんね。			この闘いが終わったら							
何と言う？			何と言う？			この闘いが終わったら							
ネックレスは作ったの？			ネックレスは作ったの？			この闘いが終わったら							
コーヒークッキーは美味しかった？			コーヒークッキーは美味しかった？			この闘いが終わったら							
え？　ああ……。氷神の疑似神降ろしのときに拾った、永久氷晶のこと？まだ溶けずに残ってるわよ。			え？　ああ……。氷神の疑似神降ろしのときに拾った、永久氷晶のこと？まだ溶けずに残ってるわよ。			この闘いが終わったら							
ただ、ネックレスに加工したはいいけど、いまいち私には似合わなかったっていうか……。大事に仕舞ってあるわ。			ただ、ネックレスに加工したはいいけど、いまいち私には似合わなかったっていうか……。大事に仕舞ってあるわ。			この闘いが終わったら							
そんなことないよ、すっごく似合ってたのに……！本当は、照れくさいだけなんじゃないの？			そんなことないよ、すっごく似合ってたのに……！本当は、照れくさいだけなんじゃないの？			この闘いが終わったら							
て、照れてなんか……！とにかく、無の大地の調査に持ってきたりしないわよ。コーヒークッキーを持ってこようとした、リーンと違ってね。			て、照れてなんか……！とにかく、無の大地の調査に持ってきたりしないわよ。コーヒークッキーを持ってこようとした、リーンと違ってね。			この闘いが終わったら							
ああっ、それ、内緒にしといてって言ったのに！			ああっ、それ、内緒にしといてって言ったのに！			この闘いが終わったら							
はい、とっても！でも……たくさん食べると太っちゃうから、ガイアと半分こにして、ちょっとだけ。			はい、とっても！でも……たくさん食べると太っちゃうから、ガイアと半分こにして、ちょっとだけ。			この闘いが終わったら							
結局それで足りずに、おかわりしちゃったんじゃ、意味ないじゃない。			結局それで足りずに、おかわりしちゃったんじゃ、意味ないじゃない。			この闘いが終わったら							
だから、それも半分こに……。			だから、それも半分こに……。			この闘いが終わったら							
はじめから分けなきゃいいじゃない。まったくもう……！			はじめから分けなきゃいいじゃない。まったくもう……！			この闘いが終わったら							
ま、おかげでいい休息が取れたわ。大氷河から持ち帰った氷も、ネックレスに加工できたし……。			ま、おかげでいい休息が取れたわ。大氷河から持ち帰った氷も、ネックレスに加工できたし……。			この闘いが終わったら							
休んでいるあいだも、ちゃんと訓練は続けていました。「妖精」が何をしてきても、私がガイアを守ります！			休んでいるあいだも、ちゃんと訓練は続けていました。「妖精」が何をしてきても、私がガイアを守ります！			この闘いが終わったら							
頼りにしてるわよ。もうサンクレッドもウリエンジェもいないから……。自分たちだけでしっかりやらないとね！			頼りにしてるわよ。もうサンクレッドもウリエンジェもいないから……。自分たちだけでしっかりやらないとね！			この闘いが終わったら							
さぁ、それじゃ、「物見櫓」のホバー船のところに向かいましょう！			さぁ、それじゃ、「物見櫓」のホバー船のところに向かいましょう！			この闘いが終わったら							
あれからずいぶん時間も経ちましたし、「無の大地」がどれだけ再生しているか、楽しみですね！			あれからずいぶん時間も経ちましたし、「無の大地」がどれだけ再生しているか、楽しみですね！			この闘いが終わったら							
ホバー船、ちゃんとメンテナンスされてるのはいいけど……。ついでにモルド・スークに運んでおいてくれても、良かったんじゃないかしら？			ホバー船、ちゃんとメンテナンスされてるのはいいけど……。ついでにモルド・スークに運んでおいてくれても、良かったんじゃないかしら？			この闘いが終わったら							
ホバー船の運転なんですけど……今回はForenameさんに、お願いしてもよいでしょうか？			ホバー船の運転なんですけど……今回はForenameさんに、お願いしてもよいでしょうか？			この闘いが終わったら							
……私が運転するわ！			……私が運転するわ！			この闘いが終わったら							
ええっ！？ガイア、ホバー船の運転なんてできるの？			ええっ！？ガイア、ホバー船の運転なんてできるの？			この闘いが終わったら							
私だって、いつも遊んでばかりじゃないのよ？クリスタリウムにあった同型機で、こっそりと練習を、ね。			私だって、いつも遊んでばかりじゃないのよ？クリスタリウムにあった同型機で、こっそりと練習を、ね。			この闘いが終わったら							
すごい！			すごい！			この闘いが終わったら							
世界の再生についてはリーンに頼りっぱなしだから。せめてこれくらいはしないと。			世界の再生についてはリーンに頼りっぱなしだから。せめてこれくらいはしないと。			この闘いが終わったら							
アナタも、ここは私に任せて、ゆっくり休んでて。			アナタも、ここは私に任せて、ゆっくり休んでて。			この闘いが終わったら							
ガイアが運転の練習をしてたなんて、全然知りませんでした。なんだかドキドキしてきました……！			ガイアが運転の練習をしてたなんて、全然知りませんでした。なんだかドキドキしてきました……！			この闘いが終わったら							
さ、行くわよ。席についてくれる？			さ、行くわよ。席についてくれる？			この闘いが終わったら							
すごい、本当に運転できるんだね！どうして内緒にしてたの？			すごい、本当に運転できるんだね！どうして内緒にしてたの？			この闘いが終わったら							
フフッ、リーンをビックリさせようと思って。私だって、作戦の役に立てるんだから。			フフッ、リーンをビックリさせようと思って。私だって、作戦の役に立てるんだから。			この闘いが終わったら							
ハンマーで氷を割ったり？			ハンマーで氷を割ったり？			この闘いが終わったら							
楽勝よ。			楽勝よ。			この闘いが終わったら							
あ、そうだ。今度、クリスタリウムの有志が協力して、「水晶祭」という催しをやる計画があるの、ご存知ですか？			あ、そうだ。今度、クリスタリウムの有志が協力して、「水晶祭」という催しをやる計画があるの、ご存知ですか？			この闘いが終わったら							
Forenameさんや、みんなのおかげで、世界に夜闇が戻りはしました。けれど……それからもいろいろなことがありました。			Forenameさんや、みんなのおかげで、世界に夜闇が戻りはしました。けれど……それからもいろいろなことがありました。			この闘いが終わったら							
気持ちの整理をする間もなく、新たな生活への適応に迫られ……大人たちはみんな、前向きに頑張っているけれど、本当は疲れているんじゃないかって。			気持ちの整理をする間もなく、新たな生活への適応に迫られ……大人たちはみんな、前向きに頑張っているけれど、本当は疲れているんじゃないかって。			この闘いが終わったら							
だから、私たちのような若者世代が主体となって、市民みんなを労い、元気づけるお祭りを開催しようと、その実行委員を募っているそうなんです。			だから、私たちのような若者世代が主体となって、市民みんなを労い、元気づけるお祭りを開催しようと、その実行委員を募っているそうなんです。			この闘いが終わったら							
それで……私もこの調査が終わったら、実行委員として参加してみようかと思ってるんです！			それで……私もこの調査が終わったら、実行委員として参加してみようかと思ってるんです！			この闘いが終わったら							
何と言う？			何と言う？			この闘いが終わったら							
自分にも協力させてほしい			自分にも協力させてほしい			この闘いが終わったら							
お祭りはゆっくり楽しみたい			お祭りはゆっくり楽しみたい			この闘いが終わったら							
フフッ、Forenameさんなら大歓迎です。でも、お祭りのときくらい、のんびり休んでもいいんですよ？			フフッ、Forenameさんなら大歓迎です。でも、お祭りのときくらい、のんびり休んでもいいんですよ？			この闘いが終わったら							
Forenameさんは一番の立役者ですから。お祭りのときくらい、のんびり休んでください。			Forenameさんは一番の立役者ですから。お祭りのときくらい、のんびり休んでください。			この闘いが終わったら							
ね、ガイアも一緒にやらない？			ね、ガイアも一緒にやらない？			この闘いが終わったら							
えっ……？ああ、ゴメン……。			えっ……？ああ、ゴメン……。			この闘いが終わったら							
はじめての運転だからかな、ちょっと、緊張して足がつりそうで……。			はじめての運転だからかな、ちょっと、緊張して足がつりそうで……。			この闘いが終わったら							
ええっ！？			ええっ！？			この闘いが終わったら							
……も、もう大丈夫よ。			……も、もう大丈夫よ。			この闘いが終わったら							
ホントに大丈夫？もう、ビックリさせすぎだよ！			ホントに大丈夫？もう、ビックリさせすぎだよ！			この闘いが終わったら							
