マエヌは、最後にひとつ冒険者にお願いをしたいようだ。			マエヌは、最後にひとつ冒険者にお願いをしたいようだ。			歴史的邂逅							
モグモグホームのモグプウは、困ったように花を見ている。			モグモグホームのモグプウは、困ったように花を見ている。			水場に居座る魔物							
モグプウの話を聞いた。水場にドラゴンフット・ロプケンがいて、水を汲むのを妨害されてしまうようだ。ドラヴァニア雲海のエイル・トームで「ドラゴンフット・ロプケン」を討伐し、「清らかな泉」で水を汲もう。			モグプウの話を聞いた。水場にドラゴンフット・ロプケンがいて、水を汲むのを妨害されてしまうようだ。ドラヴァニア雲海のエイル・トームで「ドラゴンフット・ロプケン」を討伐し、「清らかな泉」で水を汲もう。			水場に居座る魔物							
素焼きの水瓶に水を汲んだ。モグモグホームの「モグプウ」に「水で充たされた水瓶」を渡そう。			素焼きの水瓶に水を汲んだ。モグモグホームの「モグプウ」に「水で充たされた水瓶」を渡そう。			水場に居座る魔物							
モグプウに水で充たされた水瓶を渡した。もともと、ドラゴンフット・ロプケンはいなかったが、いつの間にか棲み着いていたようだ。モグプウは、ドラゴン族の乱暴者がモーグリ族に嫌がらせしているに違いないと怒っていた。			モグプウに水で充たされた水瓶を渡した。もともと、ドラゴンフット・ロプケンはいなかったが、いつの間にか棲み着いていたようだ。モグプウは、ドラゴン族の乱暴者がモーグリ族に嫌がらせしているに違いないと怒っていた。			水場に居座る魔物							
ドラゴンフット・ロプケンを討伐し清らかな泉で水を汲む			ドラゴンフット・ロプケンを討伐し清らかな泉で水を汲む			水場に居座る魔物							
モグプウに水で充たされた水瓶を渡す			モグプウに水で充たされた水瓶を渡す			水場に居座る魔物							
困ったくぽ……このままじゃ、お花が枯れちゃうくぽ……。実は、水場に近づけなくて、水が汲めないくぽ。			困ったくぽ……このままじゃ、お花が枯れちゃうくぽ……。実は、水場に近づけなくて、水が汲めないくぽ。			水場に居座る魔物							
水場に居座るロプケンをやっつけて、この「素焼きの水瓶」に水を汲んできてほしいくぽ！			水場に居座るロプケンをやっつけて、この「素焼きの水瓶」に水を汲んできてほしいくぽ！			水場に居座る魔物							
水場に居座るロプケンをやっつけて、「素焼きの水瓶」に水を汲んできてほしいくぽ！			水場に居座るロプケンをやっつけて、「素焼きの水瓶」に水を汲んできてほしいくぽ！			水場に居座る魔物							
水場に居座るロプケンをやっつけて、「素焼きの水瓶」に水を汲んできてほしいくぽ！			水場に居座るロプケンをやっつけて、「素焼きの水瓶」に水を汲んできてほしいくぽ！			水場に居座る魔物							
これでお花に水やりできるくぽ！　よかったくぽ！もともと、水場にはロプケンなんていなかったのに、いつの間にか棲み着いていたくぽ。			これでお花に水やりできるくぽ！　よかったくぽ！もともと、水場にはロプケンなんていなかったのに、いつの間にか棲み着いていたくぽ。			水場に居座る魔物							
きっと、乱暴者のドラゴン族が、嫌がらせをするために、どっかから運んできたに違いないくぽ！			きっと、乱暴者のドラゴン族が、嫌がらせをするために、どっかから運んできたに違いないくぽ！			水場に居座る魔物							
モンステリエで、ぷかぷかモーグリが倒れている。			モンステリエで、ぷかぷかモーグリが倒れている。			メキメキ草まで飛んでゆけ！							
ぷかぷかモーグリの話を聞いた。友達が熱を出してしまったためメキメキ草を取りに来たが、探し疲れてしまったようだ。ドラヴァニア雲海のモンステリエ南東にある「メキメキ草」を入手しよう。			ぷかぷかモーグリの話を聞いた。友達が熱を出してしまったためメキメキ草を取りに来たが、探し疲れてしまったようだ。ドラヴァニア雲海のモンステリエ南東にある「メキメキ草」を入手しよう。			メキメキ草まで飛んでゆけ！							
メキメキ草を入手した。モンステリエの「ぷかぷかモーグリ」と話そう。			メキメキ草を入手した。モンステリエの「ぷかぷかモーグリ」と話そう。			メキメキ草まで飛んでゆけ！							
ぷかぷかモーグリから、彼の代わりにメキメキ草を届けるよう頼まれた。ドラヴァニア雲海のモグモグホームにいる「せわせわモーグリ」に「メキメキ草」を渡そう。			ぷかぷかモーグリから、彼の代わりにメキメキ草を届けるよう頼まれた。ドラヴァニア雲海のモグモグホームにいる「せわせわモーグリ」に「メキメキ草」を渡そう。			メキメキ草まで飛んでゆけ！							
せわせわモーグリにメキメキ草を渡した。これでふらふらモーグリに薬を作ることができると喜んでいた。			せわせわモーグリにメキメキ草を渡した。これでふらふらモーグリに薬を作ることができると喜んでいた。			メキメキ草まで飛んでゆけ！							
メキメキ草を入手			メキメキ草を入手			メキメキ草まで飛んでゆけ！							
ぷかぷかモーグリと話す			ぷかぷかモーグリと話す			メキメキ草まで飛んでゆけ！							
せわせわモーグリにメキメキ草を渡す			せわせわモーグリにメキメキ草を渡す			メキメキ草まで飛んでゆけ！							
お友達が、熱を出しちゃったから、お薬の材料を取りにきたけど……探し疲れたくぽ～。モ、モグの体力はもう限界くぽ……。			お友達が、熱を出しちゃったから、お薬の材料を取りにきたけど……探し疲れたくぽ～。モ、モグの体力はもう限界くぽ……。			メキメキ草まで飛んでゆけ！							
代わりに「メキメキ草」を採ってきてほしいくぽ。モンステリエの南東にあるはずくぽ！歩いてはいけないけど、モグみたいに飛べば楽々くぽ～。			代わりに「メキメキ草」を採ってきてほしいくぽ。モンステリエの南東にあるはずくぽ！歩いてはいけないけど、モグみたいに飛べば楽々くぽ～。			メキメキ草まで飛んでゆけ！							
代わりに「メキメキ草」を採ってきてほしいくぽ。モンステリエの南東にあるはずくぽ！歩いてはいけないけど、モグみたいに飛べば楽々くぽ～。			代わりに「メキメキ草」を採ってきてほしいくぽ。モンステリエの南東にあるはずくぽ！歩いてはいけないけど、モグみたいに飛べば楽々くぽ～。			メキメキ草まで飛んでゆけ！							
メキメキ草くぽ！　ありがとうくぽ！でも、モグは疲れてて、まだ動けそうにないくぽ……。モグモグホームの「せわせわモーグリ」に届けてくぽ。			メキメキ草くぽ！　ありがとうくぽ！でも、モグは疲れてて、まだ動けそうにないくぽ……。モグモグホームの「せわせわモーグリ」に届けてくぽ。			メキメキ草まで飛んでゆけ！							
メキメキ草くぽ！　ありがとうくぽ！でも、モグは疲れてて、まだ動けそうにないくぽ……。モグモグホームの「せわせわモーグリ」に届けてくぽ。			メキメキ草くぽ！　ありがとうくぽ！でも、モグは疲れてて、まだ動けそうにないくぽ……。モグモグホームの「せわせわモーグリ」に届けてくぽ。			メキメキ草まで飛んでゆけ！							
くぽ……もうダメだくぽ……。			くぽ……もうダメだくぽ……。			メキメキ草まで飛んでゆけ！							
早くお薬を用意しないと、患者さんが……メキメキ草はまだくぽ？			早くお薬を用意しないと、患者さんが……メキメキ草はまだくぽ？			メキメキ草まで飛んでゆけ！							
……頼まれて届けに来てくれたくぽ？ありがとう、助かったくぽ！これで熱を出した患者さんに、お薬を作ってあげられるくぽ！			……頼まれて届けに来てくれたくぽ？ありがとう、助かったくぽ！これで熱を出した患者さんに、お薬を作ってあげられるくぽ！			メキメキ草まで飛んでゆけ！							
モグモグホームのふらふらモーグリは、唸っているようだ。			モグモグホームのふらふらモーグリは、唸っているようだ。			戻らない友達							
ふらふらモーグリの話を聞いた。ぷかぷかモーグリが戻ってこないため、心配なようだ。ドラヴァニア雲海のランドロード遺構で「ぷかぷかモーグリ」を探そう。			ふらふらモーグリの話を聞いた。ぷかぷかモーグリが戻ってこないため、心配なようだ。ドラヴァニア雲海のランドロード遺構で「ぷかぷかモーグリ」を探そう。			戻らない友達							
ぷかぷかモーグリを見つけた。モグモグホームの「ふらふらモーグリ」に報告しよう。			ぷかぷかモーグリを見つけた。モグモグホームの「ふらふらモーグリ」に報告しよう。			戻らない友達							
ふらふらモーグリに報告した。ふらふらモーグリは、友人の無事に安堵し、体調がよくなってきたと感謝するのだった。			ふらふらモーグリに報告した。ふらふらモーグリは、友人の無事に安堵し、体調がよくなってきたと感謝するのだった。			戻らない友達							
ぷかぷかモーグリを探す			ぷかぷかモーグリを探す			戻らない友達							
ふらふらモーグリに報告			ふらふらモーグリに報告			戻らない友達							
熱を出した患者さんの快復には、もう少し時間がかかるくぽ……。			熱を出した患者さんの快復には、もう少し時間がかかるくぽ……。			戻らない友達							
メキメキ草を採りに行った友達は……どこくぽ？あいつがいないと、体調も治らないくぽ……。			メキメキ草を採りに行った友達は……どこくぽ？あいつがいないと、体調も治らないくぽ……。			戻らない友達							
「モンステリエ」の近くにまだいるくぽ……？だれか、探してきてほしいくぽ……。			「モンステリエ」の近くにまだいるくぽ……？だれか、探してきてほしいくぽ……。			戻らない友達							
メキメキ草を採りに行った友達は……どこくぽ？あいつがいないと、体調も治らないくぽ……。だれか、探してきてほしいくぽ……。			メキメキ草を採りに行った友達は……どこくぽ？あいつがいないと、体調も治らないくぽ……。だれか、探してきてほしいくぽ……。			戻らない友達							
メキメキ草を採りに行ったモーグリは、確かにまだ戻ってきていないくぽ……。「モンステリエ」の近くにまだいるくぽ？			メキメキ草を採りに行ったモーグリは、確かにまだ戻ってきていないくぽ……。「モンステリエ」の近くにまだいるくぽ？			戻らない友達							
冒険者……くぽ？　よかったくぽ～。大きな蜂が飛んで来たから、隠れていたくぽ。これで帰れるくぽ！　急いで友達の看病にいくくぽ～！			冒険者……くぽ？　よかったくぽ～。大きな蜂が飛んで来たから、隠れていたくぽ。これで帰れるくぽ！　急いで友達の看病にいくくぽ～！			戻らない友達							
無事に帰ってこられたくぽ！まったく、大きな蜂に追い回されたときは、どうなることかと思ったくぽ。			無事に帰ってこられたくぽ！まったく、大きな蜂に追い回されたときは、どうなることかと思ったくぽ。			戻らない友達							
無事に戻ってきて本当によかったくぽ。患者さんも、友達の姿を見て、少し元気になったくぽ。みんな、冒険者さんのお陰くぽ！			無事に戻ってきて本当によかったくぽ。患者さんも、友達の姿を見て、少し元気になったくぽ。みんな、冒険者さんのお陰くぽ！			戻らない友達							
少し、体調がよくなってきたくぽ……！モグの友達も、無事に戻ってきてくれたくぽ……。冒険者さんには、いろいろ感謝くぽ……！			少し、体調がよくなってきたくぽ……！モグの友達も、無事に戻ってきてくれたくぽ……。冒険者さんには、いろいろ感謝くぽ……！			戻らない友達							
モグモグホームのせわせわモーグリは、メキメキ草を見ているようだ。			モグモグホームのせわせわモーグリは、メキメキ草を見ているようだ。			ビリビリの鱗を削りとれ！							
せわせわモーグリの話を聞いた。ドラヴァニア雲海のエイル・トームにいる「ミスト・ビアスト」に「モグリンナイフ」を使い、「ビリビリの鱗」を入手しよう。			せわせわモーグリの話を聞いた。ドラヴァニア雲海のエイル・トームにいる「ミスト・ビアスト」に「モグリンナイフ」を使い、「ビリビリの鱗」を入手しよう。			ビリビリの鱗を削りとれ！							
ビリビリの鱗を入手した。モグモグホームの「せわせわモーグリ」に渡そう。			ビリビリの鱗を入手した。モグモグホームの「せわせわモーグリ」に渡そう。			ビリビリの鱗を削りとれ！							
せわせわモーグリにビリビリの鱗を渡した。ビリビリの鱗を煎じ、メキメキ草と一緒にお茶にすると、熱冷ましの薬になるようだ。今度こそふらふらモーグリに薬を渡すことができるだろう。			せわせわモーグリにビリビリの鱗を渡した。ビリビリの鱗を煎じ、メキメキ草と一緒にお茶にすると、熱冷ましの薬になるようだ。今度こそふらふらモーグリに薬を渡すことができるだろう。			ビリビリの鱗を削りとれ！							
ミスト・ビアストにモグリンナイフを使いビリビリの鱗を入手			ミスト・ビアストにモグリンナイフを使いビリビリの鱗を入手			ビリビリの鱗を削りとれ！							
せわせわモーグリにビリビリの鱗を渡す			せわせわモーグリにビリビリの鱗を渡す			ビリビリの鱗を削りとれ！							
熱を出した友達が心配くぽ……。でもまだ、モグも疲れて動けそうにないくぽ……。			熱を出した友達が心配くぽ……。でもまだ、モグも疲れて動けそうにないくぽ……。			ビリビリの鱗を削りとれ！							
ダメくぽ……。くらくらするくぽ……。			ダメくぽ……。くらくらするくぽ……。			ビリビリの鱗を削りとれ！							
メキメキ草を持ってきてくれたのは、助かったくぽ！だけど、残りの材料が切れているのを忘れていたくぽ……。			メキメキ草を持ってきてくれたのは、助かったくぽ！だけど、残りの材料が切れているのを忘れていたくぽ……。			ビリビリの鱗を削りとれ！							
ミスト・ビアストの「ビリビリの鱗」が必要くぽ！このモグリンナイフなら、気付かれずに削りとれるくぽ！……お願いしていいくぽ？			ミスト・ビアストの「ビリビリの鱗」が必要くぽ！このモグリンナイフなら、気付かれずに削りとれるくぽ！……お願いしていいくぽ？			ビリビリの鱗を削りとれ！							
ミスト・ビアストの「ビリビリの鱗」が必要くぽ！モグリンナイフなら、気付かれずに削りとれるくぽ！……お願いしていいくぽ？			ミスト・ビアストの「ビリビリの鱗」が必要くぽ！モグリンナイフなら、気付かれずに削りとれるくぽ！……お願いしていいくぽ？			ビリビリの鱗を削りとれ！							
ミスト・ビアストの「ビリビリの鱗」が必要くぽ！モグリンナイフなら、気付かれずに削りとれるくぽ！……お願いしていいくぽ？			ミスト・ビアストの「ビリビリの鱗」が必要くぽ！モグリンナイフなら、気付かれずに削りとれるくぽ！……お願いしていいくぽ？			ビリビリの鱗を削りとれ！							
ありがとうくぽ！　これがあれば完璧くぽ！このビリビリの鱗を煎じて、メキメキ草と一緒にお茶にすれば、いい熱冷ましのお薬になるくぽ！			ありがとうくぽ！　これがあれば完璧くぽ！このビリビリの鱗を煎じて、メキメキ草と一緒にお茶にすれば、いい熱冷ましのお薬になるくぽ！			ビリビリの鱗を削りとれ！							
アサー天空廊のモグモンは、うろうろと落ち着かないようだ。			アサー天空廊のモグモンは、うろうろと落ち着かないようだ。			広場の不届き者							
モグモンから、竜のタマゴの奪取を頼まれた。ドラヴァニア雲海の白亜の宮殿前の広場にある「ソートレス・ドラゴン」の巣へ向かおう。			モグモンから、竜のタマゴの奪取を頼まれた。ドラヴァニア雲海の白亜の宮殿前の広場にある「ソートレス・ドラゴン」の巣へ向かおう。			広場の不届き者							
巣に近寄ったところ、ソートレス・ドラゴンが襲ってきた。妨害を退けて、「竜のタマゴ」を入手しよう。			巣に近寄ったところ、ソートレス・ドラゴンが襲ってきた。妨害を退けて、「竜のタマゴ」を入手しよう。			広場の不届き者							
竜のタマゴを入手した。アサー天空廊の「モグモン」に渡そう。			竜のタマゴを入手した。アサー天空廊の「モグモン」に渡そう。			広場の不届き者							
竜のタマゴをモグモンに渡した。白亜の宮殿は聖竜の大切な場所のため、邪竜配下のドラゴン族たちの横暴に怒っているようだ。モグモンは竜のタマゴをソートレス・ドラゴンに突き返して説教すると意気込んでいた。			竜のタマゴをモグモンに渡した。白亜の宮殿は聖竜の大切な場所のため、邪竜配下のドラゴン族たちの横暴に怒っているようだ。モグモンは竜のタマゴをソートレス・ドラゴンに突き返して説教すると意気込んでいた。			広場の不届き者							
竜のタマゴを入手			竜のタマゴを入手			広場の不届き者							
モグモンに竜のタマゴを渡す			モグモンに竜のタマゴを渡す			広場の不届き者							
白亜の宮殿前の広場が、邪竜様配下のドラゴン族に占拠されて、困ってるくぽ！このまま放っておくわけにはいかないくぽ！			白亜の宮殿前の広場が、邪竜様配下のドラゴン族に占拠されて、困ってるくぽ！このまま放っておくわけにはいかないくぽ！			広場の不届き者							
広場で巣作りした不届き者のソートレス・ドラゴンから、「竜のタマゴ」を奪ってきてほしいくぽ！			広場で巣作りした不届き者のソートレス・ドラゴンから、「竜のタマゴ」を奪ってきてほしいくぽ！			広場の不届き者							
広場で巣作りした不届き者のソートレス・ドラゴンから、「竜のタマゴ」を奪ってきてほしいくぽ！			広場で巣作りした不届き者のソートレス・ドラゴンから、「竜のタマゴ」を奪ってきてほしいくぽ！			広場の不届き者							
広場で巣作りした不届き者のソートレス・ドラゴンから、「竜のタマゴ」を奪ってきてほしいくぽ！			広場で巣作りした不届き者のソートレス・ドラゴンから、「竜のタマゴ」を奪ってきてほしいくぽ！			広場の不届き者							
大きな竜のタマゴくぽ～！ありがとうくぽ！……どうするのか気になるくぽ？			大きな竜のタマゴくぽ～！ありがとうくぽ！……どうするのか気になるくぽ？			広場の不届き者							
ソートレス・ドラゴンに突き返して、説教するくぽ！あそこは聖竜様の大切な場所だから、大切にしろって言ってやるくぽ！			ソートレス・ドラゴンに突き返して、説教するくぽ！あそこは聖竜様の大切な場所だから、大切にしろって言ってやるくぽ！			広場の不届き者							
モグモグホーム付近のモグミルは、楽しそうに何かを見ている。			モグモグホーム付近のモグミルは、楽しそうに何かを見ている。			ナイショの穴場							
モグミルの話を聞いた。モーグリ族の間では、人が作った金属が流行っているようだ。ドラヴァニア雲海の手紙の家で「ピカピカの宝箱」から「ピカピカの金属片」を5個入手しよう。			モグミルの話を聞いた。モーグリ族の間では、人が作った金属が流行っているようだ。ドラヴァニア雲海の手紙の家で「ピカピカの宝箱」から「ピカピカの金属片」を5個入手しよう。			ナイショの穴場							
ピカピカの金属片を入手した。モグモグホーム付近の「モグミル」に「ピカピカの金属片」を渡そう。			ピカピカの金属片を入手した。モグモグホーム付近の「モグミル」に「ピカピカの金属片」を渡そう。			ナイショの穴場							
モグミルにピカピカの金属片を渡した。ピカピカの金属片を受け取ったモグミルは、かっこいいと称賛しながら喜んでいた。			モグミルにピカピカの金属片を渡した。ピカピカの金属片を受け取ったモグミルは、かっこいいと称賛しながら喜んでいた。			ナイショの穴場							
ピカピカの宝箱からピカピカの金属片を入手			ピカピカの宝箱からピカピカの金属片を入手			ナイショの穴場							
モグミルにピカピカの金属片を渡す			モグミルにピカピカの金属片を渡す			ナイショの穴場							
モグたちの間では、ヒトが作った金属が大流行くぽ！でも、モグたちには、ピカピカは作れないくぽ……。だから、みんなはサルウーム・カシュに拾いに行くくぽ。			モグたちの間では、ヒトが作った金属が大流行くぽ！でも、モグたちには、ピカピカは作れないくぽ……。だから、みんなはサルウーム・カシュに拾いに行くくぽ。			ナイショの穴場							
ナイショだけど、実は「手紙の家」に落ちてるピカピカの宝箱に、「ピカピカの金属片」が入ってるくぽ！モグミルのために、5個ほど拾ってきてほしいくぽ！			ナイショだけど、実は「手紙の家」に落ちてるピカピカの宝箱に、「ピカピカの金属片」が入ってるくぽ！モグミルのために、5個ほど拾ってきてほしいくぽ！			ナイショの穴場							
ナイショだけど、実は「手紙の家」に落ちてるピカピカの宝箱に、「ピカピカの金属片」が入ってるくぽ！モグミルのために、5個ほど拾ってきてほしいくぽ！			ナイショだけど、実は「手紙の家」に落ちてるピカピカの宝箱に、「ピカピカの金属片」が入ってるくぽ！モグミルのために、5個ほど拾ってきてほしいくぽ！			ナイショの穴場							
ナイショだけど、実は「手紙の家」に落ちてるピカピカの宝箱に、「ピカピカの金属片」が入ってるくぽ！モグミルのために、5個ほど拾ってきてほしいくぽ！			ナイショだけど、実は「手紙の家」に落ちてるピカピカの宝箱に、「ピカピカの金属片」が入ってるくぽ！モグミルのために、5個ほど拾ってきてほしいくぽ！			ナイショの穴場							
すごいくぽ！　かっこいいくぽ！　ありがとうくぽ！みんなも羨ましがるに違いないくぽ！ふふふ、あの場所は、ふたりのナイショくぽ！			すごいくぽ！　かっこいいくぽ！　ありがとうくぽ！みんなも羨ましがるに違いないくぽ！ふふふ、あの場所は、ふたりのナイショくぽ！			ナイショの穴場							
アサー天空廊のモグーグは、ビクビクしている。			アサー天空廊のモグーグは、ビクビクしている。			猛るドラゴン族							
モグーグの話を聞いた。エルダーワイバーンの数が日に日に増えているらしい。ドラヴァニア雲海のフォーアームズにいる「エルダーワイバーン」を4体討伐しよう。			モグーグの話を聞いた。エルダーワイバーンの数が日に日に増えているらしい。ドラヴァニア雲海のフォーアームズにいる「エルダーワイバーン」を4体討伐しよう。			猛るドラゴン族							
エルダーワイバーンを討伐した。アサー天空廊の「モグーグ」に報告しよう。			エルダーワイバーンを討伐した。アサー天空廊の「モグーグ」に報告しよう。			猛るドラゴン族							
モグーグに報告した。殺気立つ邪竜の眷属に、モグーグは恐怖を感じているようだ。			モグーグに報告した。殺気立つ邪竜の眷属に、モグーグは恐怖を感じているようだ。			猛るドラゴン族							
エルダーワイバーンを討伐			エルダーワイバーンを討伐			猛るドラゴン族							
モグーグに報告			モグーグに報告			猛るドラゴン族							
最近、エルダーワイバーンが集まって、この辺りにちょっかいを出そうと、企んでいるくぽ。だから警戒しているんだけど、もう疲れちゃったくぽ……。			最近、エルダーワイバーンが集まって、この辺りにちょっかいを出そうと、企んでいるくぽ。だから警戒しているんだけど、もう疲れちゃったくぽ……。			猛るドラゴン族							
冒険者さん、お願いくぽ……。「エルダーワイバーン」をこらしめて、散らしてほしいくぽ。4体ほど、立ち退かせれば安心できるくぽ～。			冒険者さん、お願いくぽ……。「エルダーワイバーン」をこらしめて、散らしてほしいくぽ。4体ほど、立ち退かせれば安心できるくぽ～。			猛るドラゴン族							
冒険者さん、お願いくぽ……。「エルダーワイバーン」をこらしめて、散らしてほしいくぽ。4体ほど、立ち退かせれば安心できるくぽ～。			冒険者さん、お願いくぽ……。「エルダーワイバーン」をこらしめて、散らしてほしいくぽ。4体ほど、立ち退かせれば安心できるくぽ～。			猛るドラゴン族							
すっかりエルダーワイバーンの数が減ったくぽ！少し安心くぽ、ありがとうくぽ！			すっかりエルダーワイバーンの数が減ったくぽ！少し安心くぽ、ありがとうくぽ！			猛るドラゴン族							
邪竜様が咆吼を発してから、配下のドラゴンたちが殺気立ってて、超怖いくぽ……。			邪竜様が咆吼を発してから、配下のドラゴンたちが殺気立ってて、超怖いくぽ……。			猛るドラゴン族							
アサー天空廊のモグネルは、何か困っていることがあるようだ。			アサー天空廊のモグネルは、何か困っていることがあるようだ。			外来種を運ぶのは？							
モグネルの話を聞いた。大きくて怖い虫が出現しているという。ドラヴァニア雲海のフォーアームズで「エクスペクティング・フライ」を3体討伐しよう。			モグネルの話を聞いた。大きくて怖い虫が出現しているという。ドラヴァニア雲海のフォーアームズで「エクスペクティング・フライ」を3体討伐しよう。			外来種を運ぶのは？							
エクスペクティング・フライを討伐した。アサー天空廊の「モグネル」に報告しよう。			エクスペクティング・フライを討伐した。アサー天空廊の「モグネル」に報告しよう。			外来種を運ぶのは？							
モグネルに報告した。ドラゴン族が地上に行って帰ってくると、植物の種や虫のタマゴなどが付着し、時々こういったことが起こるようだ。			モグネルに報告した。ドラゴン族が地上に行って帰ってくると、植物の種や虫のタマゴなどが付着し、時々こういったことが起こるようだ。			外来種を運ぶのは？							
フォーアームズで怖い虫を討伐			フォーアームズで怖い虫を討伐			外来種を運ぶのは？							
モグネルに報告			モグネルに報告			外来種を運ぶのは？							
最近、「フォーアームズ」のあたりに、大きくてお化けみたいな、怖い虫が飛んでるくぽ！繁殖する前に、どうにか駆除してもらいたいくぽ～！			最近、「フォーアームズ」のあたりに、大きくてお化けみたいな、怖い虫が飛んでるくぽ！繁殖する前に、どうにか駆除してもらいたいくぽ～！			外来種を運ぶのは？							
最近、「フォーアームズ」のあたりに、大きくてお化けみたいな、怖い虫が飛んでるくぽ！繁殖する前に、どうにか駆除してもらいたいくぽ～！			最近、「フォーアームズ」のあたりに、大きくてお化けみたいな、怖い虫が飛んでるくぽ！繁殖する前に、どうにか駆除してもらいたいくぽ～！			外来種を運ぶのは？							
お化けみたいな虫は、しっかり駆除してくれたくぽ？ありがとうくぽ！　これで繁殖しないくぽ！			お化けみたいな虫は、しっかり駆除してくれたくぽ？ありがとうくぽ！　これで繁殖しないくぽ！			外来種を運ぶのは？							
ドラゴン族が地上に行って帰ってくると、たまに、変な植物の種とか虫のタマゴとか持ってきて、こういうことが起こるくぽ……まったく困ったものくぽ～！			ドラゴン族が地上に行って帰ってくると、たまに、変な植物の種とか虫のタマゴとか持ってきて、こういうことが起こるくぽ……まったく困ったものくぽ～！			外来種を運ぶのは？							
白亜の宮殿のきりきりモーグリは、心配事があるようだ。			白亜の宮殿のきりきりモーグリは、心配事があるようだ。			モーグリたちの大冒険							
きりきりモーグリの話を聞いた。冒険者に憧れたモーグリたちが、冒険するためにオール・ターンへ向かってしまったようだ。ドラヴァニア雲海のオール・ターンにいるモーグリたちを探そう。			きりきりモーグリの話を聞いた。冒険者に憧れたモーグリたちが、冒険するためにオール・ターンへ向かってしまったようだ。ドラヴァニア雲海のオール・ターンにいるモーグリたちを探そう。			モーグリたちの大冒険							
モーグリたちを見つけた。白亜の宮殿の「きりきりモーグリ」に伝えよう。			モーグリたちを見つけた。白亜の宮殿の「きりきりモーグリ」に伝えよう。			モーグリたちの大冒険							
きりきりモーグリに報告した。冒険者に憧れたモーグリ族たちは懲りた様子もなく、ますます冒険者に憧れてしまったようだ。			きりきりモーグリに報告した。冒険者に憧れたモーグリ族たちは懲りた様子もなく、ますます冒険者に憧れてしまったようだ。			モーグリたちの大冒険							
モーグリたちを探す			モーグリたちを探す			モーグリたちの大冒険							
きりきりモーグリに報告			きりきりモーグリに報告			モーグリたちの大冒険							
大変くぽ、大変くぽ！　命知らずもいいとこくぽ！冒険者さん、急いで頼みたいことがあるくぽ！			大変くぽ、大変くぽ！　命知らずもいいとこくぽ！冒険者さん、急いで頼みたいことがあるくぽ！			モーグリたちの大冒険							
冒険者に憧れたモーグリたちが、気性の荒いドラゴン族がいる、「オール・ターン」へ、冒険しに行っちゃったくぽ！とっても心配だから、連れ戻してほしいくぽ！			冒険者に憧れたモーグリたちが、気性の荒いドラゴン族がいる、「オール・ターン」へ、冒険しに行っちゃったくぽ！とっても心配だから、連れ戻してほしいくぽ！			モーグリたちの大冒険							
冒険者に憧れたモーグリたちが、気性の荒いドラゴン族がいる、「オール・ターン」へ、冒険しに行っちゃったくぽ！とっても心配だから、連れ戻してほしいくぽ！			冒険者に憧れたモーグリたちが、気性の荒いドラゴン族がいる、「オール・ターン」へ、冒険しに行っちゃったくぽ！とっても心配だから、連れ戻してほしいくぽ！			モーグリたちの大冒険							
冒険者さん……くぽ？　すごいくぽ！まったく疲れてないくぽ……モグはすごい疲れたくぽ。今日のところは、もう帰るくぽ。			冒険者さん……くぽ？　すごいくぽ！まったく疲れてないくぽ……モグはすごい疲れたくぽ。今日のところは、もう帰るくぽ。			モーグリたちの大冒険							
くぽ……これ以上は怖いくぽ……。冒険者の勇気に感服……くぽ。帰れというなら……すぐに帰るくぽ。			くぽ……これ以上は怖いくぽ……。冒険者の勇気に感服……くぽ。帰れというなら……すぐに帰るくぽ。			モーグリたちの大冒険							
ふっふっふくぽ、冒険は楽しいくぽ。でも、ドラゴン族がいっぱいいるから、怖くはないけど帰るくぽ。			ふっふっふくぽ、冒険は楽しいくぽ。でも、ドラゴン族がいっぱいいるから、怖くはないけど帰るくぽ。			モーグリたちの大冒険							
冒険者さんは、体力がすごいくぽ！かっこいいくぽ～。			冒険者さんは、体力がすごいくぽ！かっこいいくぽ～。			モーグリたちの大冒険							
冒険者の勇気……あこがれるくぽ。			冒険者の勇気……あこがれるくぽ。			モーグリたちの大冒険							
モグたちを探しにくるなんて優しいくぽ。さすが冒険者くぽ！			モグたちを探しにくるなんて優しいくぽ。さすが冒険者くぽ！			モーグリたちの大冒険							
冒険者さん、ありがとうくぽ。オール・ターンまで行って、何もなかったのは幸運くぽ！			冒険者さん、ありがとうくぽ。オール・ターンまで行って、何もなかったのは幸運くぽ！			モーグリたちの大冒険							
もう、無茶したらだめくぽ！わかったくぽ！？			もう、無茶したらだめくぽ！わかったくぽ！？			モーグリたちの大冒険							
……モ、モグたちも、冒険者さんみたいになりたいくぽー！			……モ、モグたちも、冒険者さんみたいになりたいくぽー！			モーグリたちの大冒険							
わー！　また行っちゃったくぽ―！戻ってくるくぽ―！			わー！　また行っちゃったくぽ―！戻ってくるくぽ―！			モーグリたちの大冒険							
アサー天空廊のモグーグは、ソワソワしている。			アサー天空廊のモグーグは、ソワソワしている。			新芽を護ろう							
モグーグの話を聞いた。フォーアームズにたくさんの新芽が出てきているらしい。ドラヴァニア雲海のフォーアームズにある「ポカポカ草の苗」を5個入手しよう。			モグーグの話を聞いた。フォーアームズにたくさんの新芽が出てきているらしい。ドラヴァニア雲海のフォーアームズにある「ポカポカ草の苗」を5個入手しよう。			新芽を護ろう							
